AgeGroup,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
18-25,Veteran,-97.83063296924423,D,E,-120.23293346716119,B,21.390920567081192,73.61262539646242,74.1138591330018,106.85217252092305,D,-198.1113606701973,1
26-35,Veteran,-120.2659255283628,D,B,13.359000942423748,D,-64.07663292264402,-175.95735624619235,25.566387753972986,-122.80227325976124,D,-8.577096860739635,1
26-35,Veteran,39.12647912630838,A,D,-124.59357875633015,D,-5.622143202959149,79.29600905751897,164.32469420720236,87.39536199914583,C,106.08090533283175,1
26-35,Non-Veteran,-43.122111994026476,B,B,173.92879282613248,D,226.32069916470735,-8.735842072323813,50.59533582363252,-153.28569043959826,E,-65.04662867068372,0
18-25,Veteran,-67.43716562161765,A,C,-144.7413991153928,D,39.467622239545705,103.07481185134026,87.90298343968533,-35.609693465852146,C,9.282992199772986,0
51-65,Yes,103.20867394000545,B,B,11.362882754476113,D,56.9698837274791,-76.7404613062651,49.73523887776888,-29.441630157461113,D,-49.069905324181455,1
26-35,Veteran,-131.029622987476,E,E,65.34858295751181,B,-2.4302185333893123,77.52506286662828,45.55130589722902,-2.3989217605598263,B,65.34325117723355,0
51-65,Veteran,19.99770452327629,D,D,77.58501667924985,B,106.28653295590311,9.2193949083945,8.065400002549115,148.17821846042833,C,166.98452198113276,1
65+,Non-Veteran,-86.15757038989061,D,C,31.495044299642018,E,65.68132933586593,51.184927331885845,0.9220720046422524,138.69034234867576,E,-71.02776113531394,0
65+,Yes,-187.80257326456865,E,C,27.599521682890817,A,103.65132965522012,32.365312890460544,83.5703507420669,-78.85711117942301,A,-21.34793257354901,1
36-50,Yes,166.73948707738373,D,B,23.079915970061776,D,-60.31699147475816,-154.09842336296074,-4.045156553993326,28.844576397970144,C,-124.60565351236608,1
36-50,Veteran,1.5140275624907762,B,A,88.43069839872126,C,-195.08813388451847,-99.04645419892687,31.63938523324104,-45.702067876711894,C,-23.294708926625574,1
18-25,No,22.770010375616845,D,B,-0.10490230810953965,A,-59.460148567014635,33.43988692927288,14.620861874954505,-97.8160367432967,B,-308.76458479835634,1
36-50,Veteran,-267.4251341370053,E,A,-134.63275971607993,D,-75.04357172325874,-110.334094031788,-25.94453029332065,-73.64523623720942,E,-85.3478486571026,0
36-50,No,-81.83869400643286,E,C,-210.47268233916557,E,27.764095633173547,130.39195700549817,173.3440636196397,-76.8193613004321,B,-4.687711704675471,1
65+,Veteran,184.5107532156667,E,B,-53.84014697596231,C,30.226924961169132,-159.01915241048962,191.05676925527868,-84.45654136471097,D,17.358366635749594,1
18-25,Non-Veteran,-50.306288585340056,C,E,97.70418549094693,A,-65.55591673583132,78.71599732010708,-2.2843713335183513,45.36482441667856,B,94.3809002864034,0
36-50,Veteran,-130.38646635824352,A,B,128.2875266786389,D,-31.863178699376377,38.38780794683899,-149.57958192342156,-219.26806753686793,C,180.48667032741557,0
36-50,Veteran,-1.937816681342352,C,C,179.7006962132435,D,68.08281414159649,-111.45126784437409,43.56758022438555,-158.2629393681486,D,130.3664252598236,1
36-50,Non-Veteran,-81.64423828695104,C,C,16.91617351048426,D,-59.80969264335144,-167.20970164016407,-142.75975020502375,-22.805651666322102,D,48.22274272520757,0
51-65,Non-Veteran,57.10358822583343,E,B,51.189571792136334,B,-35.23201739372471,-42.206201223813856,-79.8366571388671,167.5552741362884,E,-72.55063559654337,1
65+,Veteran,56.723603825119405,B,E,107.4074716015907,C,75.43759124507928,129.22133106052485,-51.46761000925972,229.8616582625466,E,-29.787725598308196,1
65+,No,97.15806887306266,C,A,86.56495889807663,E,-61.65241016381976,-107.59630199672776,19.363885070522826,-163.60609909377916,A,-32.47568219575508,0
26-35,Non-Veteran,-161.0843798923655,C,A,-33.68703100401412,C,-54.787531882118564,125.84523988099785,210.21933827472276,70.007401904858,A,-65.50433718015023,1
51-65,Non-Veteran,-64.52232685092144,D,E,120.34216899032417,D,-61.58791375655991,5.67193793153282,-8.931128152637042,-2.030164105569637,D,-5.864559861209086,1
51-65,Veteran,100.39781737980871,A,B,4.610265864785739,C,-17.880380742022904,12.00984669177524,108.7413287628276,-48.420689933918624,A,-77.65442066901603,0
18-25,Non-Veteran,-0.19908966580349324,C,C,89.88158666685142,E,-98.46889426076176,131.0080449340289,30.67354148688457,94.790816080681,C,101.19975456582486,1
26-35,Yes,5.277097776714187,C,C,63.78899602042314,E,-56.54041859052546,-77.34706170859693,42.63762952144631,17.617169842836418,D,56.012534402906454,0
65+,Veteran,-124.3356956616168,A,B,-1.7324779089592501,B,-110.45568578691633,-150.97085335978753,159.7495453750344,-68.00828215094612,D,101.7153650196271,1
51-65,Non-Veteran,63.11172968668804,E,D,-6.489271348490873,D,39.18059983916279,-82.335926021544,64.61188743071234,10.925355084698074,B,135.9883342303031,1
18-25,No,-7.207120675962394,A,A,-10.339880791762706,C,-92.46715651066137,33.24146109556453,210.4922133608544,-56.418521145854974,D,-73.76034112411993,1
36-50,Non-Veteran,-23.010925695942102,A,E,49.488927322388605,C,-147.03871605427472,1.7342558825380228,-37.91834717268578,29.022631949106277,A,13.020175890780001,0
36-50,Yes,-13.350040765514146,D,B,156.01309577708264,E,-90.37903159962973,-212.34519592720255,207.57289326890026,-86.74126119889016,E,176.46871325513095,0
65+,No,81.07583941486084,C,C,-74.89499925968126,B,67.79721140185848,-99.7029375541596,-19.231504814452002,72.74640900243816,D,-35.7903325136561,1
18-25,Veteran,-145.33678854554785,B,A,115.26586913403771,C,-0.26800961485449987,-114.95722865437392,-23.57161080544661,22.80161561932551,D,128.85478825434845,1
26-35,No,30.30516004830577,D,C,61.94439377037022,B,131.5613502824565,-223.9443965909176,111.75898942245664,-66.74796739255133,A,11.782757535811243,1
36-50,Veteran,-215.96274855440151,C,C,196.88429664342448,B,-32.53785373524665,-27.90846399740937,-120.41490666357409,-74.54706832784197,C,69.71440965962934,1
36-50,Non-Veteran,225.80569653845407,E,B,-47.957266755640674,C,-54.234502220676525,-55.02283432342765,1.7916367443704135,14.396337546331397,E,6.307704820485246,0
18-25,Yes,-80.15394173553226,C,D,44.26414900415121,A,87.7023011519741,16.304370061132207,-19.64488906272284,-42.356134329340534,D,43.53011066566799,0
18-25,Veteran,135.06225160388706,A,A,55.49692314684312,E,-121.35435926251905,121.86079910417409,-77.14678561619999,86.82940809941924,A,-94.29738484245303,1
26-35,Yes,53.26945682473987,C,C,69.87520104212234,D,40.56084535475545,107.71193480093943,-448.0870925340218,2.04399530818767,D,-98.27735009881098,0
36-50,Veteran,-26.980941886480586,D,D,-228.62641197934587,E,65.72265619543278,-81.40035818735191,-32.04757519349031,15.522601682532096,B,101.5645750313467,1
65+,Yes,172.8616982259947,E,A,112.50417556565016,C,221.96888302360858,-9.916472286248954,-30.374026649408087,144.37528924817644,D,-27.844657901477838,1
26-35,Yes,118.89293469469371,C,B,-84.48810231387321,A,-3.901017713368206,-8.295673420917863,94.59920770393501,-102.15001340884231,E,6.1618446092031,1
26-35,Yes,-49.63597993365758,C,D,-64.8720047370809,C,-0.3656969164439786,67.26186629933329,-12.797191688601991,-32.97689982953237,D,30.300322014916013,1
36-50,No,32.33225765733443,E,A,-69.6305359685193,C,-82.86904108265846,86.8085458640296,-78.51270436130442,65.56546805710336,A,-39.51176226674668,1
51-65,Yes,-63.63964826265154,C,B,36.027152435316644,E,8.156938738367577,-163.9705039429827,-225.31660958950107,-30.678464345899943,C,-51.19595811354449,1
26-35,Veteran,236.35473145868087,C,C,67.5680746475279,E,29.675616223659638,16.208705366730474,14.822048935820195,78.17965276610266,D,108.49288078924914,1
51-65,Yes,156.63088173453554,E,A,-2.526176531203376,E,-78.09813348324978,-171.79546418472455,162.54514879631697,144.59474393594246,B,134.7236204310307,0
26-35,Non-Veteran,-241.79134104110273,D,B,-73.68352903524463,D,-233.95332571541724,-70.96452657124168,147.26063334114892,144.2228098172742,E,-19.52457352954168,0
65+,Yes,-94.91910880266106,E,D,-38.268205768716754,C,55.72220089783401,20.43665777127721,-86.14726879071677,-175.3202203575485,E,83.58792878202732,0
51-65,Non-Veteran,174.59889427326652,E,E,26.63856434424118,D,115.59797702133889,53.384482120689604,-107.95420608360125,11.179601922680355,A,64.94225799782956,0
36-50,Non-Veteran,-91.94431572254956,E,C,-63.45723249106096,D,25.448697779736566,-97.48186741948551,160.60198659030388,-44.79082894403037,D,123.16869470236841,1
36-50,Veteran,-12.891131434679945,D,B,-99.09889787640131,D,-137.1023054255385,45.77374600244494,-52.15257087108902,36.276470045541444,A,-94.967235948608,0
36-50,Yes,-29.980938261994023,A,A,29.500377842554947,E,-8.480083199763174,73.7979349624584,-168.40635338510072,81.63413594155601,E,-77.33077840149947,0
51-65,Non-Veteran,65.9019026273349,A,C,-155.77272633973408,A,-69.79952822453754,47.44286567669728,125.70372222142024,-200.13986900098874,E,-55.76381815592829,0
65+,Yes,-46.628106980794804,D,B,-69.46811015296632,E,30.99736604449796,-63.30296223020221,162.06304855463463,-10.434621496912172,E,-15.716136958787095,1
65+,Non-Veteran,-20.217980289888903,B,D,-25.762278621488466,E,-85.96183245779227,-161.972175359794,-35.58427055222252,-43.80609832122692,C,4.6750008281568824,1
36-50,No,96.95813991690548,D,D,117.73014671423508,B,199.2551177399761,-0.7654429409912156,16.815209046939763,-92.89578050426557,B,92.86709625166677,0
36-50,No,13.799578970598805,E,C,-81.35933715530776,A,-8.458142232487456,-42.43416119778531,24.71896352602113,3.7796001287350487,E,42.96319815040933,1
36-50,Yes,-27.58011463504671,E,C,-6.592961063462904,E,-49.2887613613951,-14.751767930681902,-181.45134453698856,71.58463885329053,C,148.42241938508178,0
26-35,Non-Veteran,64.33523896051429,A,A,69.85775792389306,C,210.4429865367114,-43.86771081696207,-59.895655629540244,-16.469909596040615,E,-153.0903216049089,1
65+,Veteran,-145.91434098697036,B,B,13.833368540525049,C,-79.04711976575263,80.7659451883814,-65.48350874737963,-77.936243611466,A,1.4482537223931118,1
51-65,Non-Veteran,-100.67592531167632,A,C,59.358649680782236,A,51.071229551590655,-118.95867258807844,-203.0685058260567,-150.35216183109708,C,99.32502516644003,0
36-50,Veteran,52.64184441373859,C,A,6.709762868868903,A,96.65825932722738,221.411045500723,40.51301867883145,146.31904879790264,B,216.618678204757,1
51-65,No,-13.125662571995045,E,C,-26.20215227581205,C,244.70311901580826,-43.698435045144514,-170.92820640794798,32.73308715136663,B,53.942699278655915,0
18-25,Non-Veteran,36.89507024939677,A,E,211.91387043224017,B,-31.063843329697942,-131.00465213227199,-56.2846567579643,38.58209772289763,A,-113.36214131634783,0
18-25,Non-Veteran,-17.86382701749406,E,B,-53.33300803836087,A,-51.880550852991924,-57.02447756981097,74.05880757068988,81.48578909256211,C,100.4307524534968,0
36-50,Non-Veteran,21.167689729231668,E,B,-4.276327031991153,A,30.251205613473676,-68.67974132672792,102.54934257552077,8.168718255502911,E,-5.239453353538033,0
26-35,Yes,134.99698861022057,D,C,-149.8585798021051,C,87.15879845159476,56.85751369219911,-85.9764170019469,1.6346966549287916,E,-162.47019120330523,0
36-50,Non-Veteran,68.67137318786668,C,D,-105.70434238057351,E,-100.30147541448706,85.85674804781068,-75.73003469345115,-98.21259936504117,B,77.15509271263576,1
36-50,Veteran,47.70006507701579,B,E,-191.17914245177795,C,87.01909408083719,-21.367340231651006,-241.8343304207964,50.272735118245706,B,-45.818262046457505,1
26-35,No,103.75009344202391,A,E,-41.242373797908336,A,142.42744619584306,165.41188345748196,-2.776620868267358,-17.21005852154317,E,-12.207345858805379,0
36-50,Yes,-42.25127041848932,C,C,126.96659515450035,A,-3.2156900511816127,30.148002689972376,177.7171446131145,26.811136530591916,A,85.4866142537104,0
36-50,Non-Veteran,55.18250784771479,A,C,-80.41796241653827,B,116.0801030844117,108.76696767379978,-45.89459604159132,12.320357060265625,D,-171.7205082066855,0
51-65,No,128.04627370502874,D,B,-176.21908192996014,B,-5.064963024195433,-128.46335742867007,-76.89032988260018,4.0121571343050855,C,248.56707398084393,1
65+,No,-8.134228483421827,D,E,42.43139104760449,C,-39.38307737999659,-125.53842514988278,215.5676881190627,-32.5067740300224,C,25.004068054188284,1
26-35,Non-Veteran,-7.429265091594617,D,D,-12.407104467521563,D,-13.002421786404769,20.62846537621027,72.5045799569379,-33.68274867426522,C,-15.375931749476354,0
51-65,Non-Veteran,-91.751845338628,E,A,107.60029836982201,B,82.68964698766577,-72.9186393192404,17.392516120181966,173.38667557261016,B,-64.1218033009301,0
36-50,No,-80.0327895327482,B,A,46.88806509536046,B,84.9077286070943,124.85982570420863,53.23782248440452,32.562825408970355,C,60.200326363982995,0
65+,No,7.631419219619165,C,A,18.623202827329813,A,34.196775559149046,-13.299580233098535,22.990550134333926,-22.450953113589765,D,-42.816014803285704,1
36-50,Yes,-30.56131100175639,B,B,32.36883934460785,B,-113.7927248994662,104.87010222336714,74.11303436497182,30.750284972657273,A,71.03661489422095,1
26-35,Veteran,0.8785577790979364,B,B,-19.038658982005806,E,-37.96644602716853,-86.22721370199234,87.07409708461375,91.36662042946372,D,16.622444914479644,1
51-65,Yes,-71.62060892333479,E,B,133.8462286925379,E,-8.31042278395322,-142.6909242043678,16.561077177602932,-47.60046950748594,D,-126.60090357187845,0
18-25,Veteran,-34.81938644237778,C,A,-161.91688172671562,A,112.71207946913266,29.838231750781436,-88.34239104056617,-68.69778165163255,C,-157.29323721562275,0
18-25,No,-125.36565407224455,B,E,26.188386568107962,B,-15.859598686941851,4.796379544821101,86.42374620441093,-96.0149118039678,C,-8.52096273512471,0
36-50,No,-26.937563886963602,C,A,-49.90400486966732,A,143.97121635147468,28.331272217123527,3.7906661369459873,-75.42197991500687,A,71.90842059899016,0
51-65,No,199.03502659480353,D,E,124.92297203799339,E,-85.2159931738251,56.28163438926565,-71.71765661875484,17.26240526522859,A,30.962845683810276,1
26-35,Non-Veteran,-208.70064891484708,A,D,-59.379756346663825,D,11.809195425094774,-170.22790038074228,106.8753455874217,-87.7692115326727,B,267.11575381485767,0
65+,Non-Veteran,-78.50777165429953,D,E,97.27918129662487,B,96.43967054732836,-36.100924546481274,-15.99945640669399,47.87455447216623,E,27.843726461223035,1
65+,Non-Veteran,28.714580138026925,B,D,-170.4038664638384,B,-155.80831118401653,81.15684771162694,-172.65340363535876,80.55875847007714,D,-169.04142477353187,0
36-50,Veteran,38.972792165922165,D,A,-89.60074426141408,B,-177.68455203726776,-61.44829820916318,-14.043933653926603,-45.8418489112069,D,70.1100523723606,0
26-35,Non-Veteran,-195.82437065036834,D,D,163.39660307436932,E,-24.66723309062198,-128.30906812320438,11.856481158690556,-31.090808803339236,C,-21.826964747183695,0
51-65,Yes,-112.37031170349856,D,E,32.724676704648786,E,-323.9288197431804,-98.35071144363772,22.11791902227079,27.19849917795208,B,98.73284233011472,1
51-65,Non-Veteran,-51.60471597413506,A,D,-180.29817794087245,C,-9.03450776767112,-81.3655025321589,-34.70322179434633,-102.5196869350628,D,239.34656117031926,0
26-35,Veteran,-69.59241765088989,E,C,-221.16850242305824,B,-199.02181043026147,87.19732664513917,194.86663022268496,-87.08339107290126,E,153.87631233914348,0
18-25,Yes,-78.91826665693775,D,E,49.192318589546566,E,17.968421737832248,105.57702041713561,10.696413817485729,76.17983326988497,D,155.25085642003003,1
51-65,No,38.066279619064204,D,C,-202.8627739781833,C,-113.28108280543765,91.40491613034183,-40.79919408482154,-8.46953339530188,A,203.34689077149352,0
51-65,Yes,-59.11558697561323,C,B,68.65650692523504,A,-89.83759824178838,-179.854664014537,17.110125076201474,67.22163766366351,B,72.94135781372893,1
51-65,No,11.92910429558185,A,E,-67.40404441860817,D,-47.812259039953936,-31.809096451735602,-127.90961532620157,-69.24978678331179,E,-154.9066590782466,0
51-65,Yes,4.642116117025692,D,E,45.225248357949916,D,-13.558260886589366,-126.83487848147148,250.3575789941555,-118.13878495231647,E,-125.8385821214076,1
51-65,Veteran,-34.49995901770566,D,C,55.92597857026246,C,230.20643468059757,115.95374412123066,103.59897350674277,69.0076576953274,C,-0.2874804001222934,0
18-25,No,-42.4007183824731,A,E,138.91927561663547,C,95.5677176617384,-36.42713793274602,172.01283713953126,92.93268528697006,E,-64.4688168831287,0
51-65,Non-Veteran,89.32879207434887,E,B,79.23283199824998,E,-153.40683850848043,-210.80573661999824,18.139900995966503,48.0690117726207,A,-2.4390901912686505,0
26-35,Yes,28.333986926199202,E,C,-230.33352863933604,E,-121.95658756156251,75.50102751771085,32.17660191327573,15.401811111648897,A,-3.6468441380309273,1
65+,Yes,-30.854012202455504,D,D,-65.92234284701158,D,40.44963022684801,50.26619554878259,-24.972319442205112,272.8004334277236,B,-120.50359900297467,0
18-25,Veteran,19.635130254718337,A,C,63.74908908672343,E,-29.14741433240082,-2.9479597272105815,-18.173211726686187,45.22339052660796,A,0.263657827816849,0
26-35,Yes,-62.35245594224891,B,A,27.88689562750699,C,-20.357761940862712,-7.944457780304781,56.05288703314824,87.74690741587033,B,62.35053331455636,0
18-25,Yes,-129.5340420126462,B,B,-36.31855020179305,E,-162.45421005325454,86.99626249521802,11.235491817257175,-44.66575388301877,E,-42.897009921440116,0
65+,Veteran,49.050659591952886,B,D,88.67269113084228,B,48.68517818051431,130.4307825264945,-150.87110781061673,173.68884150802634,C,144.16028592677853,0
26-35,Yes,27.728673777006968,A,E,145.4779796461183,D,-82.50499635281555,-208.94136892449163,-68.89628221716885,-44.45289290951632,D,10.26358524634876,1
26-35,Non-Veteran,-45.95157321326216,D,D,-148.6066803420709,B,14.974412031760146,186.03899173384383,-150.91394757497562,-71.22068551404773,E,-15.189882216743495,0
18-25,Yes,118.4247188397489,A,E,182.93865993121125,A,88.27016411652284,66.1408685309382,121.29957070192911,-181.30682031389503,A,18.673858335038798,1
65+,Non-Veteran,210.22067117766733,D,E,96.94572464912082,E,-43.708986215944144,193.5914368866866,26.806540412637876,-55.531370157893,E,-13.872044207790369,0
18-25,Yes,-100.53527955481023,A,A,-49.54560008884156,D,17.203916723606127,8.269220491255412,-82.5510040497802,94.70991792482606,A,73.61019156788724,1
65+,No,11.949536168227663,E,B,28.129951922266084,C,-26.05758737696698,-45.90991206085326,57.79373553841315,-223.198817830579,D,-215.47570926405547,0
26-35,Veteran,-123.19728495958498,C,C,-98.79357973896953,B,199.39598321599473,99.60672647300018,12.143500562290793,-51.75870352250487,E,-95.71817439680525,0
65+,Yes,-37.73107798874339,D,A,39.38120885372378,B,90.09387240965256,-4.226569721695225,75.65135108623464,-55.486168665519465,C,102.41053470940851,0
51-65,Veteran,-157.71721245767978,C,E,14.44886630393194,D,138.96361811828604,59.05922721451545,99.68356863942351,-12.897995651861708,C,-146.13172843561185,0
18-25,Non-Veteran,87.70809865453477,D,D,61.7117690752462,C,48.57137030526935,-71.96207785343444,-66.2662973001432,22.559762422895044,A,24.071952673574195,1
