sex,orientation,married,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
F,Other,Married,18-25,C,A,E,E,-51.04733051094315,B,B,D,97.90288392495542,C,-105.17666602946676,42.90545147382402,-8.990648105608729,134.814786852785,26.353275838575403,E,D,0
F,Bisexual,Widowed,26-35,A,B,B,C,41.74717994319841,E,D,D,133.50809983018,C,64.30298884260911,16.10533319226069,-141.55105609285863,-197.8288284574297,-27.386766259314538,A,C,1
Male,Homosexual,Married,26-35,B,B,A,A,-81.67861851375953,B,D,E,33.11942321297893,B,182.34058618489715,4.03958915315917,-142.41123133480423,14.850899902480213,-178.41634568355897,A,C,1
Male,Bisexual,Married,51-65,A,C,D,E,30.77365365726243,B,D,C,21.581572929109587,D,177.81050779899724,69.9940785456693,73.63987778908287,18.974388386963962,194.39241838183256,C,C,1
Female,Other,Widowed,51-65,B,D,D,D,-43.52826905949831,D,D,C,-12.781096852946211,B,-7.241380135935689,-153.85287495593454,203.4115057412114,-125.00595622263918,-51.351697828081754,D,A,1
M,Other,Divorced,26-35,B,B,B,C,-92.83004014723004,B,D,E,42.6804015133077,A,-7.293919288452138,323.0629357793889,76.2793263527559,117.01253198124286,245.87600929943378,B,B,1
Non-binary,Other,Single,26-35,A,E,A,A,-83.08504634434959,E,A,A,20.85921733875067,D,-90.51237555029911,-115.41678739051358,228.10907766441613,-49.25200716295468,-4.160935629364029,E,B,0
Female,Heterosexual,Married,18-25,D,C,E,B,-75.4779429163447,B,C,C,3.7281765078325395,B,-24.9482685552967,-52.57111175725001,-114.78741787316818,-87.7086780324611,-63.80723091435959,C,D,0
Non-binary,Heterosexual,Single,65+,D,D,A,A,-169.9013454135186,C,B,E,-57.06739986622594,D,54.64545893912723,-47.44267071652656,76.3822565014123,-75.59593916917092,186.429605091062,C,A,0
F,Homosexual,Widowed,65+,C,D,C,C,298.9214689072838,E,B,C,-85.31202111020839,B,-41.051745243386705,55.00725474828816,13.764550794580424,237.61149076835605,87.02866795123727,E,E,1
F,Other,Widowed,65+,E,E,E,C,39.559016739797194,D,C,C,-19.398204545612742,E,52.902532570604855,5.501969901158968,-6.02391143270432,57.7839956766021,35.67819226169371,E,C,0
Female,Homosexual,Married,18-25,E,E,E,C,26.562419754859036,A,A,B,185.1761190845748,E,7.392592272454602,19.958577508818315,-25.24628410841724,-17.703658880513935,-39.11675653587167,D,E,0
F,Bisexual,Divorced,51-65,E,A,C,B,34.79541506947557,B,A,E,-142.0017789148095,E,139.05462119587614,37.30525031150489,-92.62046661498508,-8.564513215755412,-122.43850715621242,D,D,1
Male,Heterosexual,Divorced,36-50,B,E,C,E,137.26146311848865,C,D,D,56.837899557632795,D,65.20949981007495,64.00562010418673,175.51895338458812,-105.09458246572756,-66.90352906249176,C,B,0
M,Bisexual,Married,36-50,E,E,B,A,182.8094263424698,C,C,A,-12.475261076302942,B,-197.63033811417245,-67.56678177455593,-111.32157135350336,-88.3370153316609,16.420300395075962,C,D,1
Other,Other,Divorced,36-50,C,E,A,C,-177.35885735540054,E,C,E,-121.53058662413127,A,-83.16862624426842,142.03100251444198,116.44931872789516,23.41389043029278,-12.625085573167926,A,A,1
Female,Bisexual,Single,65+,B,E,C,D,-40.641633133374576,D,A,D,-74.16873008860377,A,-30.20413149068079,-34.35919911235231,143.4310811057853,253.04462614486502,61.932787029254364,A,D,1
Female,Heterosexual,Single,65+,B,B,B,C,64.50159037746243,A,B,B,-11.627063444186065,A,-84.29903750253548,232.45035872161867,82.3238335389907,136.82754268765856,-164.95443689563734,B,E,1
Male,Heterosexual,Single,65+,C,B,B,D,-43.49552159809598,A,B,D,-41.611021763188624,A,-154.93617763390256,236.56452970939367,-41.99400959363729,14.529005037395908,-53.549049825963166,E,B,0
Female,Homosexual,Single,26-35,B,C,C,A,142.61602661491906,C,E,E,174.336752045791,E,100.10765754232185,-242.98207837695935,47.95043169415442,93.71195479982035,-65.90083963706628,A,A,0
Other,Heterosexual,Married,26-35,B,B,E,B,85.08219733746492,C,C,E,39.21835871650402,E,61.51959463912869,79.27825884187864,-118.10190847947545,41.6332880831915,115.9991714393631,C,C,1
Non-binary,Heterosexual,Widowed,26-35,C,A,C,B,-89.08882713920787,D,C,E,-9.787827759046605,C,109.18934040734368,-17.370866652545093,-178.48733591521616,39.225953256634526,112.14051616634765,C,B,1
Non-binary,Other,Divorced,51-65,D,D,E,A,179.54554233419097,E,A,C,-139.36252678288568,D,63.63259045693955,-0.3875153844718634,-125.03251568636178,-53.899052155119065,-87.6006470245638,B,A,0
Male,Other,Married,51-65,D,E,A,B,-114.50352822291698,B,D,D,27.04159020149301,D,-152.6778549439282,68.90937395121935,164.30618895226795,2.080266585246293,67.2838015202433,D,A,1
Non-binary,Other,Widowed,51-65,D,B,B,C,51.10577671782479,D,A,E,-80.92818276456926,E,7.771350746046419,113.27200092402722,-65.88490474210614,68.49494475685202,156.4727188357529,A,B,1
M,Bisexual,Single,26-35,C,D,A,D,-55.8553052613288,A,B,A,-19.79045406091922,C,-56.52128245269237,31.94866273493526,148.87679866873444,43.64178994694686,55.946587306378284,A,A,1
Male,Other,Widowed,51-65,A,B,E,E,134.35787304294197,E,B,A,-54.60290262691,C,185.30135613612018,80.62500611208864,35.102118115572075,61.24937774392849,31.720494522153054,D,A,0
M,Bisexual,Married,65+,B,E,C,B,-56.21213302530697,E,C,C,-34.080141754299355,C,-105.56411430788329,-64.9151657798961,-0.328333199381334,-120.58190371211607,-144.68808330668762,A,B,0
F,Heterosexual,Married,26-35,B,B,A,E,151.70172945211954,A,A,B,5.418051802887317,B,27.443918589256445,65.56958813490463,-71.38987075881333,-3.259189097578948,-110.39798051324684,A,E,0
F,Heterosexual,Single,36-50,D,A,E,E,-57.9878709760048,C,A,C,-18.206047775594207,B,117.71042403804277,15.682203627606606,-87.82208404794709,204.96241679316452,-121.26903857514077,E,E,0
F,Other,Single,26-35,D,B,C,E,-119.5151250706192,E,D,A,19.788192861604074,E,-26.305028787947794,53.48557135067288,38.586978048322415,133.73819125579004,237.75221992841594,B,A,1
Non-binary,Other,Married,26-35,D,E,D,E,61.93513881780879,A,A,C,-72.7714393093047,C,-71.23753342010465,101.96027677586628,-2.591898841165555,111.19794692880124,-23.388219147257825,C,E,1
F,Bisexual,Married,36-50,D,B,C,A,-64.29392689840992,A,D,A,-124.69167744529584,C,-22.9430275928408,19.549761572311596,-75.24663646363017,97.25814818976941,-9.208702103854566,C,E,0
M,Heterosexual,Widowed,36-50,E,C,A,E,212.63495605261434,D,D,B,12.467280227405125,A,-60.09339887675751,-86.33266874991364,-24.057933825645772,310.78935364890367,-152.1823080872866,B,B,1
Other,Other,Single,18-25,A,D,B,E,-88.69655623784602,D,D,A,106.40880315145824,D,84.1113125043003,-22.330857496671037,-23.48543547110972,51.96755520302817,79.56474924820603,D,A,1
M,Bisexual,Divorced,26-35,A,C,E,D,5.509165868064951,C,C,C,-42.5214833503472,C,139.37694367900585,63.100893706166474,-86.23550462203863,136.66531786019817,7.132365240676634,C,E,0
Male,Heterosexual,Widowed,36-50,C,C,A,A,-6.6394055564990975,C,C,A,-138.30394136797452,E,4.338266919238525,121.1681550768416,35.85280795768538,-27.031325897894593,3.411714491567376,B,A,0
Non-binary,Homosexual,Widowed,65+,D,C,E,C,-23.779767818303732,C,B,E,57.71030160604319,A,-60.67633847224118,26.60758340651819,60.342401881938144,-73.97385348554243,103.43597599154508,E,A,0
Female,Heterosexual,Married,65+,A,D,B,C,-53.59192083039036,E,A,A,-99.23211789850863,D,-14.983839047497414,-116.29153618130434,-133.58377154270184,-35.60982399309452,-7.854756620223744,A,A,0
Non-binary,Homosexual,Widowed,26-35,D,B,B,B,146.6987722012798,B,B,B,-27.709725916662887,E,-165.34014055084458,30.604385957382096,-61.928107681102276,80.3115300884378,44.40569541980407,E,E,0
Non-binary,Homosexual,Single,65+,B,E,E,B,-215.64103813511565,E,E,E,51.17676595175051,E,190.5546362407234,-25.27661928881294,-17.43227564001301,145.98030293475117,18.27797223643301,A,E,0
Male,Bisexual,Single,65+,C,B,B,B,-11.67534775632044,C,D,A,84.96063225779392,E,-31.06518003179297,172.31396042458448,109.26781852742218,191.77569383415226,81.77054300741804,C,B,0
Female,Heterosexual,Divorced,18-25,C,B,D,B,37.93994293476477,E,C,B,-2.8809079091124867,E,-182.37142801358647,26.104592231790914,-102.64400093334336,55.95421965117846,58.13909472061144,E,C,1
M,Heterosexual,Widowed,36-50,B,A,D,D,197.31375143060234,D,A,B,67.7225076867454,D,-22.320923072025888,-5.723719270739182,56.30080866936029,-164.24317400448746,152.52255332070095,B,E,0
M,Other,Single,18-25,E,E,D,C,-41.835492787500414,C,B,B,-10.51884754718904,C,-52.97334934174025,-10.751911155017245,24.066989890357238,-149.2597349955585,7.663395664632776,C,D,1
M,Homosexual,Single,18-25,B,C,C,D,-203.29955475065697,E,A,E,71.11202330527776,A,87.4891355185828,152.31236743007085,-62.93336746985896,-50.88672891615011,-3.2307556031024984,D,B,0
Male,Heterosexual,Married,65+,C,E,B,C,9.754448938991136,B,D,C,78.09976457562517,A,122.38130350769671,-92.06677881314369,-93.35130366197973,17.185737250383987,129.11552431426193,A,C,0
Female,Bisexual,Married,36-50,C,E,C,C,189.88560334797836,B,D,A,-48.58974716576213,C,2.5281657688069124,-80.43833748277413,-120.51403064858405,-10.085674911761828,-63.22664030695216,C,D,1
Other,Bisexual,Divorced,26-35,E,E,A,B,-61.68857391424072,C,E,D,17.939848890838427,E,86.94397592851162,23.467150877693825,136.64116933461764,5.547837966635695,-31.787660776096555,D,A,0
Male,Heterosexual,Divorced,26-35,B,B,B,B,-160.0966873124341,E,E,B,115.48630075977285,A,67.42148966318894,94.5852574837225,10.911324716625339,29.518060930633006,60.04207041513012,D,B,0
Male,Heterosexual,Divorced,65+,B,E,E,E,12.894866957081025,E,C,A,-45.763835841910115,A,-156.84387640612718,-47.91117394307767,54.982775130088335,54.825378909626366,47.43502045774833,D,D,1
Male,Bisexual,Married,65+,B,D,D,C,19.10042481391079,A,D,D,-58.99999290010277,A,27.191730432841542,138.32210554943148,72.32803531421573,-146.3373135809411,-12.73284350973547,C,A,0
Non-binary,Other,Widowed,18-25,E,D,D,D,-74.98535160253414,C,E,A,-126.93700887284356,D,71.8724970732501,81.99819572482284,76.65110289558332,28.66473729528486,7.794572960208977,A,E,1
Other,Other,Divorced,26-35,E,E,D,C,-31.257270442728597,B,A,D,-100.7800055179328,D,0.19152159337071517,-42.579880587110516,-52.787002294420674,-39.882372007603045,39.56971235715616,E,E,0
Other,Other,Divorced,18-25,A,E,A,B,-261.52797100722063,C,A,C,63.5119968083056,E,105.83303962172819,62.25349713925,8.862039243300563,-5.723931672387812,87.91755210486717,E,D,1
Other,Other,Widowed,36-50,B,A,E,E,3.474494509729075,D,A,B,9.549262975640065,C,141.60178470695791,178.48757525104222,-8.119653945726983,36.489319108597456,76.78176332419349,D,A,1
Other,Bisexual,Widowed,26-35,C,D,D,A,-14.734803065727275,E,B,A,-85.69274671581056,D,-93.46499701308969,-102.78983425039736,110.30190110477902,-242.37049979018357,10.924196286532109,D,A,1
Non-binary,Other,Divorced,36-50,E,D,C,E,-188.90506266409454,A,A,B,-12.022059283018068,E,-30.038636316060074,-33.00545264565887,-20.89187124408644,-10.926891108617495,-120.2533837649668,B,E,0
M,Homosexual,Widowed,36-50,E,A,D,B,89.12771421151255,D,A,A,-144.51668702534428,D,-29.084162859765577,73.07843290872506,-57.01365370544485,31.283342410536314,-52.79745203972897,B,D,1
F,Other,Single,51-65,A,C,D,E,233.46001319847267,B,C,E,143.86596499837677,D,69.70665934650219,-7.02939976826999,-14.610568337546095,-104.32595541606653,-97.16814669610812,D,C,1
Non-binary,Bisexual,Divorced,18-25,B,A,C,C,76.41254689274668,B,E,B,-178.7683475892444,B,294.57274283974436,1.1072498345074908,43.679009473429296,-102.3364440714577,202.01926531781237,D,A,1
Other,Other,Divorced,18-25,C,A,C,C,-54.134346018378885,C,A,A,37.3944742278053,B,-175.66146857459856,268.78272153046134,-153.88113884282183,-126.33815945562266,-51.956647168981995,A,D,1
Male,Other,Divorced,51-65,A,B,C,C,-123.77940532098113,D,E,C,133.10889027859446,C,-187.181430271823,-62.278716346468,-3.594041226531631,-54.81230706260758,-69.33857649613034,C,B,0
Other,Bisexual,Married,36-50,C,C,E,D,21.675492112792572,C,D,C,107.47729256911676,A,-43.561342007308376,-18.669908717867187,85.95255543677234,18.16209730858103,71.49057796001098,D,B,0
Male,Homosexual,Widowed,65+,C,A,A,B,-51.47336940195959,D,A,B,-52.31647613237044,C,-7.509546456668727,111.58594307581917,-137.64580712645198,142.94368308522297,34.60313280317267,C,D,0
Male,Heterosexual,Married,51-65,B,A,E,B,-98.2599454774717,D,D,A,-14.405200762006745,B,56.02863564099872,-125.54220176246037,127.4563275751033,93.37036821618321,-36.47180857471201,D,C,1
Non-binary,Other,Single,65+,C,B,C,B,-144.47390756046283,C,E,E,16.17172954013178,B,74.9002794281785,117.75299641746537,175.82042697590137,-40.14205456024465,1.1935681265026266,B,C,1
Other,Bisexual,Widowed,65+,E,E,B,D,97.0305737372923,C,D,B,141.03135118667583,A,30.916416495644317,-137.34626483986446,134.329370355763,-41.95261061775774,189.29509768991798,A,C,1
Non-binary,Homosexual,Divorced,18-25,D,C,D,A,-215.68752399650353,D,B,D,-221.91934161152327,A,57.460116497714,265.09850975611096,41.607946332381836,-179.2520509904825,25.389664149708818,B,B,1
Non-binary,Homosexual,Widowed,36-50,B,A,C,D,109.6786898584184,C,A,E,16.685607412748002,E,-16.622760603693727,-201.48198636169266,133.89831128405825,147.68146682630282,-24.21423558756972,C,D,1
Non-binary,Bisexual,Married,51-65,C,C,C,C,247.00247219388635,D,E,D,4.492778132130111,E,-38.132109583951824,-209.12189598978222,-56.73332987666018,47.82439309247614,84.8940731892741,B,B,1
Non-binary,Bisexual,Married,51-65,D,D,E,B,-10.130764365205218,D,B,E,118.9794682587604,B,-74.51543725891574,57.0103439720165,-79.11204730779252,73.06004946614365,39.558621896441096,D,C,0
Other,Homosexual,Single,51-65,E,A,E,E,-24.787940282446115,D,D,E,-3.702746128955391,E,-42.4015767732032,-33.508595655162345,135.21335454331896,-60.91870761566318,-97.59137810352809,D,B,1
Other,Bisexual,Single,65+,B,A,D,C,-82.3265537363588,E,A,A,14.08969081430063,B,-108.14061746167485,-119.74347594949938,-108.35663056830373,-25.641800826484147,67.58382354373705,D,D,1
M,Heterosexual,Married,65+,C,C,C,C,61.07604040482965,A,C,C,115.60974365905805,B,35.685619315467406,98.81676848412371,-50.508701188484636,55.68159530209507,-50.3894604756184,C,C,1
Female,Heterosexual,Married,26-35,C,E,A,A,4.406099296509802,E,A,B,7.414564673149977,A,116.6431142424324,32.855908570246285,-157.3849441123265,-36.16569319487337,-53.91723103519727,E,C,0
M,Heterosexual,Divorced,65+,D,C,C,D,-154.1955962957002,D,E,D,-23.57614985846423,B,-123.41365901690102,-62.11653961150346,205.35401444899767,29.13418222240564,146.1608065149237,E,C,0
M,Homosexual,Divorced,26-35,A,D,A,B,166.92722554580746,A,A,A,23.446734263476525,E,86.3488308232543,-4.975548954349622,-128.14594318307186,-0.5103827751450846,-39.56279663849651,B,B,1
Female,Other,Single,36-50,C,A,E,A,26.752416840352318,E,C,B,65.51521909746528,D,-68.74558748500024,-142.49741995505656,133.5877425138662,-109.02932922486323,-25.45924502275178,A,B,0
Female,Heterosexual,Divorced,18-25,D,D,C,D,-98.4036873648073,B,C,C,-64.40823095082655,A,-190.59075764856274,-75.95867692054937,-166.93988246041988,38.963593934295645,92.66678929275307,B,C,0
Male,Homosexual,Married,36-50,B,C,D,B,26.47936778914707,D,C,D,-1.4640902121123294,B,-80.58843406371264,38.573788126868905,-88.58379329864083,147.39937532736775,34.59030457454228,B,E,1
M,Bisexual,Widowed,51-65,D,A,D,D,-148.02299435637224,C,A,E,-248.97427357766264,A,17.924077972977724,227.431267688557,7.355445060065229,171.10971536217988,-136.30309573591438,A,E,1
Non-binary,Bisexual,Widowed,36-50,C,C,C,A,74.11658905246382,A,D,C,-28.943125941109056,A,-29.962185275283808,-58.35444544295707,12.197046401334596,160.66822991403444,15.615670163142395,C,A,1
Male,Homosexual,Widowed,26-35,A,E,E,B,133.15057335421722,A,C,E,-79.55016045586517,C,-72.23641468365257,24.399645449900216,-33.46640034504325,-75.09118631553896,25.282180552275413,B,E,1
M,Heterosexual,Divorced,18-25,A,D,B,C,-54.344586776195115,B,D,C,-93.84007642373598,E,114.85208226425962,45.361425533488095,-101.49875454471248,156.60849097776105,47.65827723900816,B,D,0
Male,Homosexual,Widowed,26-35,D,C,D,D,-50.68247088015476,C,B,E,-135.45512625040723,A,151.37312016365863,80.43001508058558,-17.87371157164677,8.12969461647455,-49.06734493281326,E,A,1
Other,Homosexual,Widowed,51-65,B,C,D,E,23.979309164811923,D,A,B,53.42201266522517,E,-95.51353243425632,-98.4624698726601,181.67495744502318,31.023024243430804,-65.28178560547695,B,A,1
Female,Heterosexual,Divorced,36-50,D,E,A,D,-33.0037387076064,B,A,B,11.980527389848024,C,97.58453639236085,-196.02136926418856,106.66823607744786,158.83943375367215,-133.92085961142976,C,A,1
Female,Bisexual,Divorced,18-25,D,A,A,D,-132.11812000899258,C,D,E,-16.32536249611042,E,120.85147426805682,-38.8567803657658,9.581434347650527,25.371464626832342,-167.02731529504214,D,E,1
M,Other,Married,36-50,B,E,E,A,88.0614400606967,E,C,A,131.34827732626312,B,-66.25403743002875,-184.38856196241355,153.1729917359103,-16.49084581969568,115.36962663278301,B,E,0
F,Heterosexual,Widowed,36-50,B,A,B,A,-59.93979688428627,C,E,B,-95.02465867282741,B,2.169542593146072,-116.02849075767479,-130.47162777109224,-80.9454833375877,-117.52263759759039,A,A,0
M,Heterosexual,Married,36-50,B,B,C,A,-21.685328371493885,A,C,A,16.76401527870727,C,3.5135750170157922,76.22341765780286,-63.957120917287334,38.28971295308119,-42.85712538798913,D,C,0
Female,Bisexual,Divorced,36-50,C,A,E,D,20.010969999340336,E,B,B,-108.59125717534968,A,-107.38161018111734,33.99983574393327,-2.266077291988531,98.24705003278967,32.98764325033226,E,C,0
Non-binary,Other,Divorced,51-65,E,D,D,E,-68.95354137874712,B,B,A,-47.825180986039314,A,138.50825439592683,53.27217333780956,103.99035309401057,10.308819811677527,87.75346546256877,E,D,0
Female,Heterosexual,Widowed,65+,E,C,A,C,61.672454383864725,D,E,C,89.89651501839894,A,1.129920800074062,35.17317383224314,17.823004943478367,-6.4753927465527275,74.93447170581246,C,B,0
F,Homosexual,Widowed,51-65,E,D,D,A,-149.63047661910252,E,C,A,8.413362874353837,C,142.97594535664066,156.53096545993674,-31.86949749281044,31.47921556718261,68.92280104443653,C,E,0
Female,Heterosexual,Single,65+,C,C,B,C,-3.4888631842642717,D,C,A,119.20319385176343,A,70.27895337478512,-36.16908339807337,72.3088782673236,74.9669851727285,9.700678501280846,B,C,1
Other,Homosexual,Single,51-65,B,B,A,D,-165.80284178305936,E,A,E,-176.29156540829334,B,22.699302190494183,-112.10230316088531,-26.455384651747636,-193.22688553063304,79.23248224348795,E,C,0
Male,Heterosexual,Single,36-50,C,E,A,E,20.11069884753073,D,B,C,58.970202825993645,B,58.04713407133981,-109.45986783610795,44.98309846334696,209.2863560358979,-45.53984617926491,A,A,0
Female,Heterosexual,Married,51-65,E,A,A,B,68.21630363441429,E,C,B,93.22881098465633,C,58.64844561584239,-83.64260017719998,135.7223245996039,-109.40056509838885,-54.113293575398856,B,D,0
M,Other,Widowed,26-35,D,E,E,E,-251.95346495466316,E,C,A,-145.31769777869513,E,-35.50223059757019,-63.63954652990217,116.65983968443643,81.59045635362689,53.86830036103204,C,A,0
M,Homosexual,Married,18-25,C,D,A,E,34.601670342234705,B,E,A,35.29046241988726,E,92.22774129147669,-168.92635568480202,-90.95146305857472,4.738572414521657,182.48991222304986,C,C,1
Other,Bisexual,Divorced,51-65,A,B,D,C,151.43633044821814,E,E,A,37.13640274342671,A,169.4298493440606,3.218856665593986,-132.61162953175372,107.8749889551694,105.73101026297913,A,C,0
M,Bisexual,Widowed,36-50,B,D,E,D,-185.9618880000909,D,E,D,64.76645776325647,D,-61.82680622193383,-9.354033040819253,66.63020551973042,-49.261515851776984,-49.28438704719979,A,A,1
Non-binary,Bisexual,Widowed,65+,B,C,C,C,-78.21681551833368,E,D,B,-28.908826278813542,E,-20.519475512983192,20.64361869162773,-15.562135654662491,-80.36252844454266,-60.83750589647461,A,E,0
Non-binary,Other,Single,18-25,E,B,D,A,55.95478943510251,D,C,A,180.10452192671735,C,62.2510176284243,95.85629351545194,39.18029512389421,-80.07341812277691,97.38371525817641,B,A,1
F,Bisexual,Single,65+,A,D,C,A,-226.06461832667134,C,A,B,-138.87670594108639,E,137.09065891070122,90.44874037525643,-30.323433666683265,-16.89353286117406,-66.01508833959451,C,A,0
M,Bisexual,Divorced,18-25,D,B,D,B,-171.838437690418,E,A,E,156.564938006889,A,46.81197834661988,-81.56697361608632,-92.59330593830651,80.59095903686982,-56.344880496169104,A,E,0
Other,Other,Single,26-35,A,B,D,D,146.57203852107003,E,A,A,110.09273384217553,B,73.85015211585778,-167.2170461870567,-61.364403338827266,76.35292058747551,-6.874152105076934,B,C,1
Male,Heterosexual,Married,65+,D,B,B,D,58.264461959545685,D,E,D,39.0527275366506,D,3.9703165992182257,21.37541325108373,38.169469809793114,176.2308889300542,-106.86462821019668,D,C,0
Female,Heterosexual,Married,18-25,B,E,B,B,-30.539771463449828,C,B,B,-22.42044690197774,A,34.28091938156334,-303.0201557688025,-312.95382461222727,-101.3853098927801,100.44817614579095,E,D,0
Male,Homosexual,Divorced,65+,D,B,C,B,68.66448405411244,E,B,B,149.58570827632485,A,-169.48094475507943,54.923882720031145,45.44399163023045,-155.2666212289481,-9.33997725317334,D,B,1
Non-binary,Heterosexual,Single,51-65,C,E,A,B,103.61454007131412,D,D,A,45.51340760803599,C,141.6314726246505,-33.67833116318926,-66.01697790059428,-154.80473698099374,110.31596644852142,C,A,1
Male,Homosexual,Widowed,65+,D,B,D,C,129.84251124851534,E,C,E,131.0685114539623,C,-19.238934936810818,-40.804722307601274,30.623116929049704,-12.698076352008956,0.9754471501879228,C,D,0
Non-binary,Heterosexual,Married,36-50,E,D,B,C,21.766499157940395,E,D,A,-3.738685407802425,B,102.64175626103147,115.30769785829749,-169.72722130737296,27.88897867702575,89.39935833991628,C,C,1
F,Heterosexual,Widowed,26-35,D,C,E,C,13.860123858935797,C,B,C,-223.35282752294293,C,-303.12462220174024,-142.231938286806,-90.01277640915059,104.25812805368516,117.8824180845507,E,C,1
