Nationality,age,military,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
India,32,Non-Veteran,Muslim,149.69607287716934,B,D,D,-117.29355402176127,D,-53.03263300703984,6.245457720750251,C,0
Mexico,24,Yes,Buddhist,119.87286130591188,D,D,D,95.85739839374143,D,61.30524079808165,-77.16239797268523,E,0
India,66,Veteran,None,83.28137900596766,E,A,A,70.92626998707462,C,-87.24007878416946,49.40959163257897,C,1
UK,27,Veteran,Jewish,-147.22360112415848,C,D,A,-150.4532585639604,E,-110.25148814489802,196.3488579433186,B,0
Germany,55,Non-Veteran,None,-52.7900463077864,C,A,A,-66.1822815939172,B,31.803485292220667,284.6139836251401,D,0
Germany,73,No,Hindu,40.86181971592847,A,E,A,-13.948429464458009,E,17.79815865502669,-250.21991754927808,A,1
Brazil,34,Yes,Buddhist,143.26718823716052,C,C,A,49.0765030981935,A,64.58532127193978,44.36258228226809,D,0
UK,50,Veteran,Buddhist,-11.540959216333503,D,B,B,75.52062711889398,A,-20.755299139254628,252.89818213490355,E,1
India,41,Non-Veteran,Christian,-109.34597328724645,D,A,E,78.34984061555149,C,5.8589257749986645,132.00820135786174,A,1
India,61,Yes,Jewish,73.62653548280058,B,C,E,64.49642779413072,D,-44.880959327666645,0.7778118816531377,B,0
Brazil,35,Veteran,Hindu,-56.90324674095234,B,E,D,171.9712280506581,E,76.48935229863241,137.51831214287574,B,0
UK,60,Non-Veteran,None,-34.84912914037134,A,E,D,113.8170169059777,D,-73.62473774560638,-12.393805151011945,A,0
Other,24,No,Hindu,50.05713629281047,B,D,A,-6.83935934381558,B,142.81253767121112,9.678804503843189,E,1
Other,21,Veteran,Buddhist,-38.819196274222364,A,D,D,127.60853657414111,D,-179.1875078230738,58.800922953653334,E,0
Germany,25,Veteran,Other,-18.500768307906693,C,E,D,-50.63402632185608,C,67.78937254643085,93.47282943020124,A,1
Brazil,18,No,Hindu,-126.4355370327164,D,E,A,-49.68828449544479,E,-111.0734031202574,43.17725230155867,B,1
Brazil,33,No,Buddhist,-104.1290069702179,A,A,D,64.22436663137191,C,-121.01562188878322,-48.28580388222903,B,1
Brazil,50,Veteran,Other,-49.15917728766022,E,A,D,67.87628514913277,A,-149.98860274263532,-21.948906501426013,D,1
US,25,Non-Veteran,Christian,48.35215993212508,A,C,D,-94.73265802850197,C,189.7539631213024,7.306954759217485,E,0
US,68,Veteran,Hindu,-64.18786753729509,C,C,B,-66.30682393204394,E,-32.214038378982785,-63.51017687994035,A,1
US,72,Non-Veteran,Muslim,-13.408163047237483,C,A,B,-204.395516180571,E,-33.49275363155628,-102.24939829044011,B,1
UK,72,Non-Veteran,Muslim,70.06456799121466,A,C,A,-106.08025040135732,D,150.72925568572916,81.06607719991872,C,0
India,27,No,Hindu,-29.13311318482966,D,B,B,33.61966905413425,E,10.228819745288856,-83.01453356826352,B,1
India,43,Non-Veteran,Buddhist,97.14196828682844,B,A,D,-42.04605379607188,E,-5.936142292064035,0.7327366563227972,A,0
Other,41,Yes,Other,2.870566436780296,A,D,B,131.8665735367642,C,-96.71955043510906,21.988892720882472,B,0
China,24,No,Jewish,-9.44410928737464,A,B,E,201.7707751979057,B,-73.83935297984908,48.339370918179156,C,0
UK,28,Non-Veteran,Muslim,-68.8350566977479,C,D,A,113.6026253505778,E,85.05843296187942,-203.49077954012535,E,0
Mexico,38,Veteran,Hindu,-8.33900753480192,C,D,B,99.26041487192745,B,-157.1112452595782,-20.66239765916872,B,0
UK,43,Non-Veteran,Muslim,63.873431731461615,D,D,B,92.68086065251009,B,-16.4581376380961,31.177328021600957,E,1
UK,48,Yes,Other,-197.7427258981423,C,D,A,81.50082776091571,E,-249.79884887500106,53.98625240922854,C,1
India,73,Yes,Christian,36.76346284114127,B,A,E,-177.96237794579412,E,234.27878765746362,-14.646814988244014,C,0
China,61,Non-Veteran,Jewish,-67.08503674673513,D,E,C,3.8902302942259817,D,32.82955838377455,85.3716731253608,E,0
Brazil,31,No,Christian,23.4729898141882,B,A,B,-96.48865134428299,D,-97.6760964525122,3.5672599072296967,A,1
China,34,Veteran,Buddhist,127.1574120887617,B,D,B,134.37937232762303,E,120.01432193045936,-38.98201960771435,A,1
Germany,19,Non-Veteran,Christian,54.375123673338656,B,C,D,44.09535353806176,E,52.12492878662568,-81.66121317043108,C,0
China,22,Yes,Other,-53.211657296284976,E,A,A,-4.8024950558071895,B,13.119470628781787,-1.288587763732391,C,0
China,56,Yes,None,-13.166664770146333,D,C,C,125.99865127104628,A,16.905890454108334,-29.421333776159,A,0
UK,63,Yes,Buddhist,62.92347794788561,A,B,C,-125.1694148727019,C,33.85950886835538,-13.641361782839844,D,0
Mexico,42,Non-Veteran,Christian,-39.122108161150365,C,C,D,-9.34429444623208,D,-32.65208612554821,-137.30613446735066,E,1
Germany,44,Veteran,Muslim,-167.08639340021102,D,C,B,-311.1329519029711,C,-165.84802010070695,84.98786978489582,A,1
Other,51,No,Christian,-108.20942715589523,A,C,B,87.5704508429464,E,13.560222555001737,89.78678170393114,D,0
Brazil,34,Yes,Jewish,127.92417642097236,A,D,A,-42.62001428530187,E,-1.0036160929266438,-60.03472318658828,D,0
India,65,Non-Veteran,Other,128.5273939027919,A,D,E,45.668617741301496,C,-143.09445248492864,-27.817844354100618,B,1
Mexico,59,Veteran,None,-146.67309331817899,A,E,E,186.69650386755424,C,3.892472936344096,-73.39164605164797,B,1
UK,51,Yes,Jewish,37.79437574125707,A,E,D,-17.185118476888412,C,170.46316114419375,47.21325087678995,A,0
Brazil,65,Non-Veteran,Christian,55.48158178231226,D,C,D,-125.03241842845134,B,25.869638922972406,23.864495509487224,A,1
Brazil,19,Veteran,Buddhist,118.2896937696039,C,C,D,-48.326171770818945,C,37.24801503761952,-85.54044032976962,C,1
UK,30,Yes,Muslim,115.7663545587832,A,B,C,46.64607002174735,B,-162.09823256203842,-2.8371661780618336,A,1
UK,29,Veteran,None,132.98298821442097,C,A,A,-117.27083784084304,B,49.66454687350666,70.81523256785937,B,1
Brazil,70,Veteran,Christian,77.8419395084728,E,D,C,38.55071286142107,A,-93.42974514561568,58.98592662793065,B,1
Mexico,65,Non-Veteran,Buddhist,-21.34372474376722,B,B,E,88.21300561992167,E,-11.872913961358895,-58.06238669766691,A,0
China,76,Yes,Jewish,-25.483900603036318,E,E,D,-106.91749813708078,B,-23.188442033935264,102.24204325807911,C,1
China,53,No,Hindu,57.21004101417041,D,B,A,39.290183061119585,D,16.293005031561194,58.57586800314626,A,0
US,40,Non-Veteran,None,26.456713008244098,A,A,A,62.58802857435845,A,-12.39715262277595,18.48728060555858,A,0
Mexico,37,No,Christian,-118.29588246373433,B,D,B,-136.29040825903738,A,-106.75143449181166,-25.75116053433112,B,1
Germany,32,Veteran,Christian,131.51984532152377,B,C,E,-93.264743593475,C,-88.40893420774482,-147.9818939017718,C,0
Mexico,45,Yes,None,55.43079322851464,C,A,D,49.27738732761644,D,-69.93934277158803,208.88846593541314,B,1
China,36,Yes,Buddhist,214.07760683694318,E,D,A,102.33672140218475,E,-13.468540659788907,25.96552804417366,B,1
UK,27,Non-Veteran,Christian,-24.43826829458256,A,E,A,54.15756982769185,D,-81.92812842585613,-142.60939350475445,D,1
Germany,45,Veteran,Hindu,67.3695317830174,C,D,C,133.54451615214478,E,1.0022859310384777,130.69197398579539,E,1
India,48,No,Hindu,-28.314307257293226,E,E,A,146.85048790569718,B,-138.35708757146793,147.50044795695047,B,0
Mexico,41,Veteran,Jewish,83.27346271887343,B,D,A,-32.21903508087411,D,97.58396523900166,-36.06502338380191,A,1
Germany,77,No,Buddhist,127.42337838595567,D,B,B,-25.47729632070989,B,11.776160581525069,93.58131600587583,D,1
Brazil,56,Yes,Hindu,103.09375632541087,C,D,D,-116.87685574531477,A,-140.2299602172521,-4.312497810500223,B,1
Mexico,21,Non-Veteran,Buddhist,-10.191324223124777,E,A,D,132.5465724681399,D,-50.55560946485051,-57.62857839271501,B,1
US,60,Veteran,Buddhist,96.09739111333829,B,C,D,140.2606526498252,B,44.38149517022051,-71.98715558541912,E,0
India,21,Yes,None,-34.833094419588726,C,A,D,-50.6895039407352,C,8.248873300815214,76.83896465840556,B,1
Germany,25,No,None,-57.98062612929861,B,D,A,26.446706067086474,C,34.32818502768042,-63.60124843879632,B,1
UK,22,Yes,Buddhist,0.5813737922524804,D,A,E,-72.39221052843105,A,24.57733812151185,155.2799883681669,A,1
UK,72,Non-Veteran,None,102.0574710181742,C,E,B,-26.450815230347608,C,9.697167072309238,17.628214052453345,C,1
Brazil,38,Veteran,Jewish,43.465979132272096,B,B,C,14.689667217137018,D,-92.51989924930551,112.14286339583266,D,0
India,33,No,Buddhist,-71.13536272156989,B,A,D,7.187510084862836,C,-31.25578929698851,-57.35245013007347,C,1
India,58,Veteran,Other,75.9441186604221,A,E,A,-40.45861946482597,C,1.973687191160229,-120.08025145568195,C,1
Mexico,70,No,None,222.47143489259585,B,A,E,32.2779280795959,B,29.896319603563352,158.76523109746435,D,1
Other,49,Veteran,Hindu,-4.070910160080267,A,E,E,140.4395553057084,D,55.90633670473781,-38.82570525322481,B,1
UK,47,Yes,Muslim,68.97824231382627,B,E,E,31.204921785141913,C,-39.139990196345366,-107.08594704387629,C,0
India,34,Veteran,Buddhist,273.7480513951402,E,A,D,-181.65053636344996,C,78.3591672926341,25.894419261029,C,0
US,53,Non-Veteran,Buddhist,13.927561671388187,C,A,D,-13.021387756138536,D,-18.184380602661193,-96.92537765352269,B,0
UK,73,Veteran,Muslim,54.8189863308282,E,A,A,6.1672037183805255,B,-121.14644775042139,31.428205803511684,E,0
Germany,34,Veteran,Buddhist,-102.55752316948073,D,C,A,-41.16442790390167,B,80.70740924642182,-195.17407194862474,C,0
China,61,Non-Veteran,Muslim,-43.839636101179906,E,E,B,7.252320309896462,C,97.92718952783805,55.43362789460367,A,1
US,43,No,None,-105.77589181469862,D,E,D,9.959085725820051,D,49.14073838481326,170.59471861072393,E,1
UK,60,Yes,Hindu,38.600113937080955,E,E,E,-15.570819698884097,A,-14.98188077371485,-182.12350436528038,D,1
Germany,18,No,Buddhist,18.065208044388637,E,B,D,-158.49449690114085,E,10.647718373114737,-5.885381173231089,A,0
China,34,No,Buddhist,-171.67229661061987,D,B,A,-101.33960431325522,C,-119.07756177785541,70.95248299636312,B,1
India,27,Yes,Other,-129.7084620825197,D,A,B,40.004975373734304,C,-69.62694162169952,-49.31790658594197,D,0
Germany,47,Yes,Other,-40.65312832428822,A,D,C,62.34873261195695,B,-104.64539567510151,161.38621257328631,B,0
Mexico,59,Yes,Hindu,-2.830202562393059,B,D,A,-188.5758081950594,E,-128.0649462998006,-76.45039402381346,D,0
Germany,41,Yes,Hindu,22.927337609800688,D,B,D,-6.757474483930132,E,-17.79369281059298,9.981751988081,A,0
India,20,Non-Veteran,None,-30.573978094550842,A,C,C,121.80164725040241,D,-29.48235635034794,4.556045146467421,D,0
Brazil,51,Yes,Hindu,101.48695197902133,C,E,B,103.20072439371644,A,-110.30888902403618,-51.97283830893147,E,0
Mexico,33,Yes,Muslim,-66.0516888698144,C,C,C,138.92891380272292,E,27.401747190883835,49.49895886643516,A,1
India,43,Yes,Jewish,-48.96063483489912,B,A,B,-35.494759256940696,B,26.12532599463502,-184.69096276620334,C,0
Other,32,Yes,Other,-103.45516871434364,D,A,C,-14.110042901096795,C,-47.301099467816584,23.92552204994892,C,1
Other,72,Non-Veteran,Other,4.1381105058287,B,B,A,15.72967819085695,E,42.91000955341256,76.66006380450926,A,1
India,39,Yes,Christian,155.35060112944277,B,C,C,222.48616480135905,D,219.6838238597059,83.1549805013924,E,0
US,57,Veteran,Christian,-99.57325814682633,C,B,D,17.18154867828631,B,-14.090358380876713,31.409007828515733,E,0
China,68,No,Hindu,-63.06267866414959,C,C,A,41.05530187712513,B,-95.70400209660264,8.546227214729777,B,1
India,71,No,Other,110.8695682514711,C,D,B,-20.874666104691425,B,-148.0253498510874,-20.63696476867691,B,0
Brazil,68,Non-Veteran,Muslim,-11.663236582787356,C,E,B,-247.3072218099532,A,30.3134509033207,53.808238675337805,C,0
US,21,Non-Veteran,Muslim,1.8069791642069795,D,A,E,-93.53086746534755,D,90.17554710610945,-53.63326724722426,E,0
Germany,33,Non-Veteran,Muslim,15.665433537700569,C,B,E,-22.870580698080154,E,-24.145966502632575,7.111535827885815,A,0
Brazil,79,Veteran,Christian,129.6575731404388,B,D,A,56.523431606439054,E,-143.39973688256967,48.10347235339816,B,1
Brazil,68,No,Other,187.118564307903,B,C,A,-246.924590985678,E,-102.30903101844169,-212.9346166197592,D,1
Germany,79,Veteran,Muslim,-160.5422417754919,D,B,E,3.859023192494504,B,171.1408973772522,102.74008449553345,B,1
Germany,43,Non-Veteran,Buddhist,18.93313111227765,D,C,C,-36.31489457151911,E,80.08311424725272,-190.98133614297788,D,0
Germany,39,Veteran,Other,67.41976529965358,D,D,E,-14.613215911519143,C,-0.34673693929186267,25.203641466573483,D,1
Mexico,53,Veteran,Jewish,146.00286596169678,A,C,A,38.14926256787187,E,-63.26117246460705,90.94406426599608,B,0
US,59,Yes,Christian,-99.75790445247725,E,A,B,107.90209661289832,B,-0.5589004243069353,125.92825365105223,C,0
US,30,Yes,Jewish,-183.63727429568775,A,C,A,128.50140452123705,C,1.2447174737361941,46.64860872654661,B,1
UK,77,No,None,227.3042528726657,E,D,C,285.80173605795005,D,16.32435672802002,-93.206181384805,E,0
Other,51,Veteran,Buddhist,-167.13614565617686,D,B,C,134.7438256746999,A,98.23482558492177,231.41212796387106,A,0
US,46,No,Christian,-80.24031096294806,A,B,D,-94.53881804433834,D,12.382666014015038,-40.195617469889086,A,0
Mexico,21,Veteran,Buddhist,274.6298406688682,E,B,C,-67.37860112223767,A,-42.499569749492174,-57.799056538957394,E,0
China,33,No,Hindu,-154.93110752764605,C,D,C,170.59968949801748,A,-20.9213714346275,123.04147837259727,A,0
Germany,25,Veteran,Muslim,-34.420684037594945,B,B,B,70.1471136022213,D,-118.08450377634108,-208.69194002098834,E,1
Brazil,75,Veteran,Other,61.079095628847114,B,E,E,-52.836336280908554,C,41.55863066158042,110.70572323130885,C,0
India,66,Non-Veteran,Jewish,-41.9183338455195,A,B,E,-118.64650311186344,B,141.87190021615734,-97.31982062523123,B,1
Mexico,64,Veteran,None,47.60221508965958,E,A,A,69.20856658308554,A,98.01756323600722,-81.37987263538835,E,0
UK,55,Non-Veteran,Hindu,189.4419050931319,D,B,B,-76.1995277250048,C,-52.93018204897344,-58.18971884020942,B,0
US,52,Yes,Christian,83.67696921812225,E,B,B,-103.31307958849814,D,10.002457188643692,137.8554803808593,A,0
China,38,Non-Veteran,Buddhist,67.57603900435831,D,C,C,-215.75863281064883,C,-113.11983679920993,-25.822681594699752,A,0
UK,18,Veteran,Christian,-96.14896755789475,B,B,A,18.599999864357983,C,-114.43134977793497,104.26896030308966,A,0
Mexico,61,Veteran,Buddhist,-38.272737508933716,E,C,C,82.86827264635296,D,-41.6345070417506,-62.67907830431423,A,1
India,32,No,Jewish,124.09971749102439,A,B,E,101.46264776880633,B,31.5334003464191,-25.883989104021076,D,1
US,23,No,Buddhist,31.601683070954156,A,C,B,-126.52260241115289,A,-126.93162464893366,-111.60720605367298,A,1
US,52,Veteran,None,-9.697235010242522,C,D,D,39.459296308975645,A,-39.15755034827199,-85.86646768378272,D,0
Brazil,29,No,None,7.153138882767716,A,B,C,-16.7011414134817,C,53.38765931730438,-47.54452844600951,C,1
Mexico,21,Non-Veteran,Jewish,41.766721477752164,B,B,A,-5.086390330380653,A,-90.01600303962344,-17.310905462178177,B,0
Other,68,Veteran,Jewish,-38.534885978243835,E,C,B,-10.45580291480732,A,137.6942887269513,-21.286274963882565,C,0
US,44,Yes,Other,-53.363315441465446,D,A,C,192.25641520779948,B,16.42774229087889,154.19144273268975,D,1
UK,49,Non-Veteran,Other,157.21678814896543,D,D,E,120.08813617000875,C,-52.7760244010196,18.289805443757196,D,1
Brazil,22,No,Muslim,-163.94638710804625,B,A,D,45.70697071510263,B,-51.369812176329724,-152.95439734581822,C,1
Mexico,29,Yes,Muslim,-26.694140840283296,C,D,D,201.67901559350136,C,40.9387374625997,-7.226657413948747,E,0
China,60,No,Christian,39.49500125405918,D,C,E,-124.71821979570414,B,80.15078938552165,18.99949437591279,B,1
China,51,No,Christian,52.68994260613907,C,B,A,41.437215642507226,A,-132.30618334541657,70.12916969516361,E,1
China,53,Veteran,Muslim,1.053621811062714,B,D,D,208.3559019459406,C,-155.6563401950765,105.09152326956833,B,1
Mexico,69,Yes,None,66.1970303839999,C,C,D,202.09299449060305,C,86.7646634434056,16.496043158154166,D,0
Brazil,68,Yes,Christian,-117.02312133865573,A,D,A,-71.47259485788184,A,-13.269616959058528,-43.41575481691207,B,0
Germany,28,Veteran,Jewish,29.54940118310559,B,B,B,36.06211598216592,A,-0.2798162468607159,36.967947242715496,C,1
China,69,Non-Veteran,Buddhist,13.743016669445332,B,D,E,11.002566261996721,B,-31.423495997773994,33.54854276995346,B,1
China,60,Yes,Muslim,-130.32005322631682,B,D,D,103.05451837656452,E,32.06768775678088,278.0914972601667,A,1
China,36,Yes,Christian,-86.5404342819397,E,C,E,-11.366361392487235,A,58.38435402107005,-88.39979663996903,B,0
Other,40,Veteran,Hindu,-129.94066860612733,A,E,D,-14.763941779947556,C,124.99542218633206,-209.71258436152107,B,1
Other,36,Non-Veteran,Buddhist,-46.84117109751555,B,A,A,26.057758931823656,C,-12.666408084972836,10.09160303292038,A,1
Brazil,78,No,Muslim,-9.187628616392285,A,B,B,65.40085850980023,C,-96.49495456465064,-69.56105270128671,A,0
Mexico,57,Non-Veteran,Other,-208.46150249848358,B,B,D,-81.5215361920631,A,76.30965264136887,-116.7405070750205,D,1
Brazil,50,Non-Veteran,Hindu,-53.45012964088976,C,D,B,-38.27769917505478,B,234.47390078004852,-75.37696459430708,C,1
Germany,72,No,Muslim,165.76162156937826,E,A,A,77.85251048849757,E,152.0620655500766,26.55396295659597,E,0
Mexico,46,Veteran,Christian,-57.99861533826699,C,E,D,-2.1295182073022967,A,28.715110651811106,60.26647764971433,A,0
US,48,Non-Veteran,None,-246.81311937006026,A,D,B,133.23733035174203,D,-127.36122449286678,-86.79854754008707,A,0
Germany,43,No,Christian,-27.353654953738204,B,D,D,-2.8671103594745215,C,53.06287100295343,-45.75813061612906,A,1
Other,78,Non-Veteran,Hindu,-13.763852802721338,A,A,A,-93.3025782337226,E,100.60473203999601,53.24894658330641,A,1
Mexico,31,Veteran,Other,-196.97739384853526,E,D,C,57.68862394863338,E,-35.64963829282606,-20.40435903155742,C,0
US,79,Yes,Christian,-72.88371275761969,E,E,A,63.849512919753415,A,-54.65791762918785,52.95904921487502,E,0
Germany,33,Yes,Jewish,-83.1178878214309,B,A,B,112.89162189722606,C,-137.2792988725349,-52.92330017527978,A,1
Other,71,Non-Veteran,Jewish,-126.59986857480065,D,D,B,25.28549562986317,B,-207.39899119997656,-20.772259902960855,E,1
Other,49,No,Jewish,80.21457674262533,D,D,E,12.918256060075203,E,-102.33666639757789,161.5059939282202,D,1
US,64,Non-Veteran,Muslim,-102.92329038274126,A,E,C,2.410746465680237,A,-161.71417203552954,-5.310527541231077,D,1
UK,25,Veteran,Jewish,65.0847466608791,A,A,C,7.908961313350657,E,-157.440845574358,12.101216916877696,A,0
China,43,No,Buddhist,-89.53668533810331,D,C,D,-27.748810115530446,C,-94.07936575457349,73.21644134534424,B,0
Mexico,47,Veteran,Hindu,64.34890197762624,C,A,C,40.43540872595895,E,12.282100080825638,79.89449028654765,A,1
India,50,Veteran,Buddhist,165.19685745795434,D,B,E,44.13520698111114,D,-152.61874600691436,28.77890409360169,C,0
China,54,Veteran,Hindu,-85.9399544763836,E,A,E,-48.78866056888522,C,-38.07652837834708,141.8020813480487,C,1
China,75,Non-Veteran,Christian,81.28807554623576,E,D,E,118.65275231786705,D,26.62495386257534,71.99842756529074,B,1
US,46,No,Hindu,94.14175790947661,C,E,D,-33.80483071340769,C,-201.34439711521793,-76.27729514403416,A,0
Other,59,Non-Veteran,Christian,-17.451531598867852,E,D,C,39.03715280152494,A,23.008757624014326,60.529781070498046,A,0
UK,57,Yes,Hindu,116.59910893478056,C,C,E,182.00000755173085,E,136.007597426988,60.29178081582147,C,1
Mexico,28,Yes,Hindu,54.159348736998545,D,A,E,82.30042152421966,E,1.3045045125137527,-116.2985984414653,B,1
China,19,Non-Veteran,None,25.722088212869032,C,C,B,35.36829909403016,C,4.850146917171199,117.19245536852037,B,0
Germany,62,Veteran,Christian,7.501536368206977,D,B,A,-0.772239433984737,B,-68.9554834146589,-31.927942097434542,A,1
Germany,25,Veteran,Muslim,-45.07265406074566,A,D,D,-139.85638786460797,E,105.20634927747177,57.804810430198906,D,1
China,70,Yes,Hindu,43.11406577050327,C,E,D,-57.22823467615545,D,-97.3702593963766,35.824318823305454,C,0
Germany,20,Non-Veteran,Jewish,-27.05183217634785,C,E,C,184.03513172091252,C,-55.67570288543361,50.39785860385344,D,0
Mexico,24,No,Buddhist,-117.72616830215054,B,A,B,-7.085115918312305,D,-85.16708942041676,-141.24186684578993,B,0
Brazil,38,Yes,None,115.08940244882359,C,A,A,88.85532393156834,C,7.5000630441209735,-60.59108913814727,C,1
Brazil,61,Yes,Hindu,-158.12171984077764,E,A,C,-80.36481767780137,A,60.58299107923191,187.5205354600593,C,0
India,26,Non-Veteran,Hindu,171.50407646199034,E,B,B,-196.00169935999853,E,145.0888440505864,-98.26393178209955,B,1
Brazil,78,No,Hindu,39.331820938438135,C,E,D,75.27184852827614,B,-85.40925069106781,-74.01982988093418,D,0
UK,21,Yes,Hindu,-156.88174070398352,B,C,D,144.44058197898735,B,61.36124830931228,-36.52783470707583,C,1
China,77,Veteran,Jewish,172.8391998641257,D,D,A,-99.92063755300589,A,18.469112449232732,-45.47846718900598,D,0
Brazil,77,Non-Veteran,Hindu,-90.67449851949317,D,C,A,17.017615488564225,E,-189.93778645419076,-17.81305657226346,B,0
Germany,76,Yes,Christian,201.2287410198267,A,E,B,27.762411867751236,D,63.572678690931184,48.76326280124035,C,0
China,26,No,Buddhist,28.606103515874608,A,A,C,-121.57556253814228,D,20.40912030323601,-41.789959177709804,A,0
Brazil,30,Non-Veteran,Jewish,51.91386921075228,E,C,A,-15.9452704491893,D,-111.02156912507559,139.5248260299439,E,1
China,76,Yes,Muslim,108.64980822112558,E,B,E,30.06901407828525,D,-59.934321643757784,85.22012656630838,C,0
Other,53,No,None,136.9062093960629,E,B,C,11.261412389178718,D,-61.53548939004164,64.94878484610155,A,0
Brazil,33,Non-Veteran,Jewish,30.06868208262859,A,B,A,73.90166308392001,C,167.8864453630344,241.96676966171276,E,0
Germany,55,Yes,Other,-179.06747714677311,C,B,D,-27.938673456710855,A,-38.90358652753811,-101.72123801334851,A,1
China,41,No,Christian,-55.84062606017341,A,B,D,98.12068152505404,C,-92.54474852672833,109.81369983151387,B,1
Germany,68,Yes,None,18.054444482329608,D,B,D,-1.1694528431001494,B,130.96865325532022,-34.638066005371506,C,0
UK,43,Veteran,Christian,-189.0663879184646,A,B,D,32.1431968339246,C,-38.46075226752636,88.3693878096076,E,0
Brazil,26,No,Hindu,-143.91049375680478,C,E,D,209.0112496363671,B,-107.36610963501738,39.308021107742576,D,0
Brazil,74,Yes,Muslim,9.81158683620109,D,A,A,81.62003438985906,A,-44.17279166083909,46.522161167612424,D,1
China,29,Non-Veteran,Buddhist,32.154740963074,C,B,B,103.67134005660259,A,110.48627299136689,40.31492438467733,E,0
Other,23,Non-Veteran,Jewish,155.50108204687484,D,B,A,84.60731811555426,D,-189.09829514924374,-198.92490018762294,A,1
Brazil,61,No,Muslim,7.297419809118111,E,D,C,-19.50193874957169,D,80.02456753107742,21.761795181368697,C,1
Germany,45,Non-Veteran,Other,123.93045785397561,E,A,D,-24.882044234412565,E,-25.03611563911305,-71.99013110338143,E,1
India,22,Veteran,Muslim,-20.023780546185716,D,C,B,-147.25754528377567,C,-201.9432908181848,-132.86446292536195,C,0
UK,42,No,Buddhist,196.38533291511584,B,E,D,48.76728388227703,B,-22.51427588759906,-95.7961326710357,C,1
Brazil,35,No,Buddhist,8.553318477176978,E,E,C,64.4614472201856,C,25.868316888359455,-33.32913376675734,D,0
India,45,Veteran,Buddhist,-50.890759371900664,A,E,E,80.73584876494255,B,-188.79049528282314,-13.814748478090422,E,0
Other,74,Yes,Muslim,-67.24255669146186,D,C,C,-97.41309435661863,D,79.29176691040819,140.04790387771112,D,1
Mexico,66,Yes,Christian,-19.58269074595068,A,D,E,145.21729186498175,D,-139.79686213755005,-0.20648276384152017,D,0
US,76,Yes,Buddhist,61.83430997448478,C,D,D,-150.2936005057691,D,36.313753427714076,-114.37313339602571,C,0
