faith,Veteran,married,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Christian,Veteran,Single,Non-binary,C,-164.4543149526637,A,A,C,B,D,65.36172501135525,-38.730088238341125,E,A,38.06260793587626,0
Hindu,Veteran,Married,F,E,-27.28332040830395,E,A,B,D,B,117.81603798673916,-137.69032707742562,E,A,205.49984033333487,0
Muslim,Yes,Single,Non-binary,D,6.1627418089190735,A,C,C,B,E,-149.1368666906234,-74.56479165125623,D,E,-26.093678550358412,1
Jewish,Veteran,Divorced,Male,C,-212.7041636586322,D,E,C,D,E,-196.02463105680516,-98.09210593174778,B,A,75.84854175465969,1
Jewish,Yes,Widowed,M,C,-52.086820314318935,E,C,A,C,A,36.64202877473552,65.27450318479036,E,E,-71.79289451723278,0
Christian,Veteran,Divorced,Male,D,5.733810174112981,C,E,A,D,D,-108.54966681045921,-1.3405007826573951,B,B,-291.09052793559954,0
Christian,Yes,Married,Non-binary,B,123.44372031407065,B,A,C,C,E,120.48988040416681,-20.66687898052727,D,D,31.276824303448393,0
Muslim,Yes,Divorced,F,E,-113.15859498431216,C,C,C,D,C,-58.424362307067746,-79.70356410171723,A,B,-19.145842969505615,0
Jewish,Veteran,Divorced,Other,A,-29.1836577886284,E,D,B,A,A,-47.63334273734145,-87.36460750853688,A,C,126.25900590646111,0
Jewish,Non-Veteran,Married,M,E,-7.267421540522684,A,A,D,E,E,-162.23937945656954,-14.525581592613221,D,B,-97.62163202506218,0
None,Yes,Married,M,B,39.173265523750295,D,E,D,D,B,89.33231336857412,25.60674242679718,E,E,-44.5750680797785,0
None,Non-Veteran,Single,Other,B,-0.792621729673481,C,C,C,E,D,-0.16182729013984326,-243.00452095965701,A,A,54.023373892038016,0
Jewish,Veteran,Single,Non-binary,A,20.261362958234088,B,C,D,C,C,-59.29714296109362,27.010288595938796,A,E,-6.750145893079104,1
Muslim,Yes,Single,M,D,99.63067428519759,E,B,A,A,C,61.763971065913225,-112.70839737267531,B,E,205.83060357543067,1
Christian,No,Divorced,M,C,-104.04708012444628,C,B,B,A,A,7.873340953026877,92.59762404674649,D,C,177.12177467628757,1
Christian,Non-Veteran,Married,M,C,-47.19759291584397,B,C,C,E,B,-14.653150910508185,-19.392065981745176,E,C,-5.371850988439956,1
Buddhist,Non-Veteran,Divorced,Non-binary,D,-77.95036319565185,E,C,A,D,E,-65.95839585189277,-5.828172702340701,C,E,234.23740267205378,1
Christian,Yes,Widowed,Male,D,116.92112512950249,C,C,D,E,E,-71.34138232635648,139.1420333985134,B,A,83.60890373166451,1
Hindu,Non-Veteran,Widowed,M,A,161.08337923044374,E,C,E,A,E,82.92934640922446,-52.23279055902843,B,E,-80.99476877602982,1
Other,Yes,Divorced,F,C,-72.55353128059554,B,D,A,D,B,-78.42024191206923,33.68925945254154,A,A,69.19827677957855,1
Christian,Veteran,Single,Other,E,-34.35157343765164,B,B,E,C,B,-86.56875062020256,-34.99458831489529,E,B,-103.4730268322454,1
Other,No,Single,Other,D,-18.253563062413896,D,D,A,E,B,48.88395012016314,8.736462769305945,E,B,-160.21809669705553,1
Other,No,Divorced,Male,A,94.92932883401076,A,B,B,A,E,104.57503404289542,-106.84557831088371,C,E,28.77517482421049,1
Buddhist,Non-Veteran,Single,Female,D,57.812022056114984,D,C,B,C,E,-183.50805689765258,-73.00783517849777,E,B,-158.0435428516608,0
Muslim,Yes,Married,Other,A,-42.6430750014996,E,C,D,C,E,-65.14685868645402,10.269278703029858,C,B,-70.70845739227136,0
Jewish,Non-Veteran,Single,Other,C,-22.2277585123998,A,C,C,E,B,-21.63224912489678,42.11044851745467,E,C,-5.843821173614678,1
Other,Non-Veteran,Widowed,Other,B,-154.59527176151676,E,B,E,C,D,121.11220062042784,126.11785116558207,B,B,-110.9816241671629,0
Muslim,Non-Veteran,Single,Other,C,18.8472991702653,E,C,A,D,A,132.04351648562817,54.357186231244924,A,D,70.50685831163702,0
None,No,Widowed,Female,A,-28.204910495037556,E,B,E,E,E,86.56513345881648,76.31147929654784,E,A,-110.16568205857997,0
Other,Yes,Divorced,Other,D,154.89155535807848,A,B,A,D,D,9.505422437659414,171.94792348363598,E,E,10.808760984703722,0
Jewish,Non-Veteran,Widowed,Male,E,17.520703322871952,E,C,C,A,C,15.715537023696713,-168.18914603009998,A,D,47.93713358176211,0
Christian,No,Divorced,Male,E,-161.96963205447392,A,C,A,B,E,-15.372121357018722,-195.42285279667956,C,A,-81.90182131780449,0
Hindu,Non-Veteran,Single,F,C,-19.96083788212834,E,A,D,E,D,124.84594535342599,244.15043973922792,C,A,-26.32954747855511,0
Jewish,Veteran,Married,F,E,111.54659719356826,C,D,A,C,E,5.6352095072652935,-53.93749204907472,B,B,109.32667333195447,0
Jewish,Yes,Divorced,Other,C,17.54191163768735,E,C,E,A,B,58.8248500707399,-21.306503702610254,A,C,-5.349334193328075,1
Buddhist,No,Divorced,Male,E,-9.925801111143699,B,E,A,B,E,-12.618482267474135,56.593367924437544,C,C,-20.6160808040852,0
Buddhist,Veteran,Widowed,Non-binary,D,79.4609712226804,A,A,C,B,A,-69.12907346035414,4.178720543855411,D,B,216.43034172228573,1
None,Veteran,Single,M,B,11.719110419658872,C,E,B,B,E,-31.828974335199028,34.725940968237666,B,E,24.892494733001268,0
Other,No,Married,Female,A,-114.46381779036956,D,E,D,E,D,-181.54593410972936,-132.4486629946594,C,E,0.3291309320469413,1
Muslim,Veteran,Married,Non-binary,E,44.35893373712761,A,A,B,C,D,-113.77093122138304,93.73942202592642,B,A,1.9591550772210702,1
Jewish,No,Divorced,F,D,261.50456717621927,A,B,D,D,E,-27.627235749903083,-31.47611547317146,A,C,-138.7428812542038,0
Muslim,Yes,Widowed,Other,C,-120.25204145921666,E,D,C,A,E,-37.74730129580952,-133.48648841987725,E,B,-16.034767569992045,0
Muslim,No,Married,F,B,-193.6013339071675,D,B,E,A,A,106.13850209041173,-31.269452293214144,D,C,-201.2636460742458,0
Other,No,Divorced,Male,B,63.87349751400833,C,B,A,C,D,8.527105671057605,17.03117524045436,E,C,-159.66064106725705,1
Other,Non-Veteran,Married,Male,D,-46.04053629765783,D,B,C,A,C,-362.6318113193725,-21.88551164069743,C,D,-0.27671312501497985,1
Hindu,Yes,Married,Other,D,99.80512278401633,E,A,A,E,D,-47.24566037440926,31.644027978870394,E,C,46.694775987012775,1
Muslim,No,Single,Male,D,-187.44189139400976,E,B,C,A,C,-119.86432458718077,-15.182022172920492,D,E,-4.396734501400969,1
Jewish,Non-Veteran,Divorced,F,A,-11.157155695146376,C,C,B,A,C,-64.97895160633063,77.6915453446382,A,E,-120.38743115636908,0
Other,Non-Veteran,Single,F,C,46.62435363436218,A,B,E,B,B,4.948054701906379,76.56865291194732,C,E,68.31045417221426,1
Buddhist,Yes,Single,Female,C,0.2628261788165293,E,A,D,E,E,205.97734439135195,-54.4425913593387,B,C,-124.72178454567941,0
Muslim,Non-Veteran,Divorced,F,E,8.103406063520668,D,A,B,B,C,-10.568531353631528,37.562610288101666,D,E,-131.44313668745374,1
Christian,Non-Veteran,Single,Other,C,-8.393091196551424,D,A,E,E,C,0.7477424546565606,165.0084623162425,A,A,-61.340486388710566,0
Christian,Yes,Widowed,Non-binary,A,57.85800509812537,C,E,B,A,E,159.2996689049425,-47.161928125028105,D,D,-45.4996358017767,0
None,Yes,Divorced,Other,D,11.525584873718305,E,A,D,A,D,-42.36980536661326,-70.57593505644101,E,C,-118.67044071051576,1
Muslim,Non-Veteran,Married,Male,B,130.47968449248913,A,B,E,D,D,-5.243005067420649,-40.88702799810488,E,E,-66.45794114689416,0
Hindu,No,Widowed,F,C,40.19995383624479,A,A,C,A,C,-5.586114094785094,57.260934864066925,B,A,201.1206627862848,0
Jewish,Veteran,Widowed,Non-binary,E,12.996933175236691,A,E,D,A,B,-8.571789874911385,-67.3864157087312,D,D,-131.35998553770173,1
Hindu,Veteran,Single,Male,A,211.71621197269403,D,B,C,A,E,-28.705997536459034,36.95240317313278,E,D,-8.821331737629192,1
Christian,Yes,Divorced,Female,A,-97.89409400503047,C,E,B,D,C,30.558963327448563,24.18066158300469,C,B,89.53628310362521,1
Christian,Yes,Single,Other,A,17.382616502005245,C,B,D,A,C,-203.1264156353114,47.65234554477287,C,B,-59.536659016229635,0
Christian,No,Divorced,Non-binary,D,107.72809520622158,D,B,D,B,C,-34.29631238326161,5.719134402892271,A,D,109.80072831285055,0
None,Veteran,Widowed,F,E,197.33747776159146,D,A,D,D,C,110.74890639075161,25.764667307678618,C,E,-41.77669305313885,1
Christian,No,Single,Non-binary,E,-174.36358449370059,D,C,C,C,C,10.733244836771904,-5.59706619522083,B,E,-25.75762624321979,0
None,Non-Veteran,Single,Male,A,-42.18851896961324,B,E,E,A,C,-79.30945846884326,134.84707594526034,E,A,-237.52780482578615,0
Hindu,No,Married,Male,D,7.253881436029245,B,D,A,B,D,88.31310126770913,-107.29922608914092,A,C,58.26859787708405,1
Muslim,Veteran,Married,M,A,87.55743696659599,C,E,A,B,E,-123.5702996466252,-34.592822321521645,E,C,167.37598049412884,0
Buddhist,Non-Veteran,Divorced,F,C,-77.58188402777172,E,B,D,A,E,25.167348042174087,100.41502839814686,D,B,-6.873920181949977,0
Christian,Non-Veteran,Widowed,Other,D,-50.91784206789196,C,E,C,D,A,89.06981325225978,236.7193859697199,E,B,-78.31883526241126,0
Jewish,No,Widowed,Male,C,160.4178147894498,B,C,B,A,D,-45.93157899343284,25.243944256071916,B,C,-63.78855491575739,1
Other,Yes,Single,Female,E,41.19709091359544,D,C,B,D,E,-138.9968188423522,145.79584796939923,B,E,-58.449237125702126,1
Muslim,Veteran,Single,Female,B,178.4561039306491,A,E,E,E,D,-63.8516069186293,73.69726647863358,D,D,-5.165086010844408,0
Jewish,Non-Veteran,Married,Male,B,-93.22260843694072,B,B,D,C,D,-23.585564907512524,4.081898723362065,B,C,61.3323526684188,1
None,Veteran,Single,M,D,150.53072462935845,A,B,D,B,B,-13.978512043802752,-3.835694969598876,A,B,17.726952846687563,1
Buddhist,No,Single,Female,B,-112.06650363856612,E,A,B,D,E,237.93649158516743,5.356133803640361,E,B,111.54415342853376,1
Jewish,No,Widowed,Other,B,-39.53173369879007,A,A,D,A,A,12.287739416822856,79.45824892721562,E,B,54.094228103794705,0
Christian,Non-Veteran,Married,F,B,69.03158587819823,E,C,D,D,E,35.4589330828516,-14.180608703421807,B,A,-92.58280577515514,0
Hindu,Veteran,Divorced,Male,E,80.30439792481991,E,B,E,A,E,-29.9851150690546,93.9724462524459,A,B,-59.58153113384197,1
Buddhist,Veteran,Widowed,F,A,-33.66251771119554,A,C,E,A,A,-152.59616351070065,15.280931056347752,A,D,-123.8550128790782,1
Other,Non-Veteran,Widowed,Other,D,-92.39447012479874,C,C,B,B,C,-9.92335764404314,-5.103637422133961,C,E,-103.2121389388171,1
None,Veteran,Married,Other,A,56.075706582025774,E,E,A,E,C,-11.530203708629786,-216.30015462703577,D,B,78.65018833507523,0
None,Veteran,Single,Non-binary,B,128.10609857781904,D,B,E,E,E,-61.80238389328084,7.883217808830262,A,D,-3.68431011737558,0
Christian,Veteran,Widowed,Non-binary,B,-92.33506955789922,A,A,D,E,A,54.54655015221854,-121.9511770521874,D,E,2.222403005505065,0
Buddhist,Non-Veteran,Married,Female,B,-5.27444973605531,A,D,B,B,C,15.735281443655236,-37.029158100360625,E,B,-149.2167710984584,1
Hindu,Veteran,Divorced,Other,B,39.3286448192819,A,C,B,B,D,-44.35473384534494,-57.48583462326112,D,A,-100.34515291344593,0
Other,Yes,Widowed,Non-binary,C,161.17528894190548,E,B,B,B,A,-20.543747798782437,40.38420880916617,C,E,-69.41170137610298,0
Muslim,Yes,Single,F,C,163.39765004644207,C,E,C,C,B,114.8655303072886,68.30662684943069,B,B,-197.44375490730565,1
Jewish,Yes,Widowed,M,E,-22.248466275980654,B,A,E,E,E,-57.6052079203066,49.627986877601515,D,B,-63.10780743653625,0
Muslim,No,Widowed,F,B,-60.16928544055341,A,A,E,A,E,-120.22816145399564,-38.222318598988295,A,A,68.13932120114762,1
Buddhist,No,Divorced,Male,A,73.56950972541394,B,D,A,D,E,138.34202362598424,150.76420649081263,B,C,-5.022431328479902,0
None,Non-Veteran,Divorced,F,A,-95.19817188737989,C,B,A,C,C,241.42761456338556,-60.17205392764598,A,D,179.61673719385632,0
Hindu,Yes,Married,Non-binary,E,-40.87621433885065,B,C,D,D,D,182.19966567310584,50.78992835396199,B,B,-155.6239029572863,1
None,No,Married,Non-binary,E,15.440522139126228,C,E,E,B,E,-17.270631045547645,13.273803218866705,C,A,125.21223085375439,1
Jewish,No,Single,Non-binary,A,40.353874016194894,C,A,B,B,C,-55.647930893252195,-17.16510823806331,B,C,-26.515787226825953,1
Buddhist,Yes,Married,Male,C,78.75996200347876,D,C,E,E,D,5.1945804117180305,-72.7617804686792,E,D,124.17721163423168,1
Other,Yes,Single,Male,B,64.28027905931405,E,B,C,C,C,-68.7936747814003,127.69065851569965,A,E,2.921488787914208,0
None,No,Divorced,F,A,-10.538428163179049,C,D,B,C,A,-79.49094253924622,-40.67797735503898,B,E,-154.725270675289,0
Jewish,No,Married,Female,C,41.5051356930072,D,E,E,A,E,-84.07056720404535,10.97231904379887,A,B,-4.657881107457625,0
Buddhist,Yes,Single,Non-binary,E,58.265319153662254,C,D,E,D,A,-44.11127497797978,-200.07864222561676,A,C,-111.46605868302903,0
Christian,Yes,Widowed,M,D,-58.812136473151625,E,E,E,E,B,-56.23700064095261,-150.96494826392265,E,A,-377.9500434001518,1
None,Non-Veteran,Divorced,Non-binary,E,217.50055663801442,C,B,C,E,D,73.24034312236599,-73.5840763909224,D,D,-132.77231397824775,1
None,Non-Veteran,Widowed,F,C,68.59116874912561,C,E,C,E,D,50.99599393084242,3.810222685865387,A,B,85.30296602066257,0
Hindu,Yes,Divorced,Non-binary,A,122.22840562089672,B,D,A,D,B,-90.88561000220714,33.51322920762979,D,E,207.30973784459746,1
Other,No,Single,M,A,-34.044664294143374,C,D,C,B,B,-240.95441747851288,148.21251819217463,B,E,153.2659084041127,0
Muslim,Veteran,Married,Male,A,137.64471572421536,A,A,D,C,E,35.75528586585746,140.36218375368438,C,A,192.55331101063172,1
Christian,Yes,Married,Other,D,-120.59132734874396,C,E,A,C,E,13.272825462315998,142.24728423237084,D,B,-40.82940351223313,0
Christian,Yes,Widowed,Female,A,-36.56263027981126,E,A,E,B,C,-125.77765650938292,21.77276544989099,C,E,79.1262005999767,1
Other,Non-Veteran,Divorced,F,D,-36.55601929029517,D,B,C,B,D,-13.044860256661034,140.53365929751317,A,B,-117.43278357790116,0
Jewish,Veteran,Widowed,Non-binary,C,-45.95021224315285,E,B,C,C,E,251.16182584247687,175.5096430007346,A,E,-60.20630292731891,0
Hindu,Veteran,Single,Female,E,-29.035676146777494,D,D,B,B,A,37.58866277162415,-127.56041788993453,D,B,75.08542634659125,0
Muslim,Veteran,Divorced,Female,A,148.27075125162492,C,E,A,C,E,52.633020189654246,-31.22496438873642,D,A,155.39185875108248,1
Jewish,No,Married,Non-binary,C,140.02645607654668,C,B,D,C,C,-18.71946113443262,-148.77826912639415,B,E,9.007381057040158,0
Buddhist,Veteran,Single,Male,C,201.4565247334692,C,E,B,B,C,-14.200761248583085,4.130654839239719,B,E,-76.65510565338619,0
Other,Non-Veteran,Divorced,Female,D,-121.79327553840378,D,D,D,A,B,90.20568235330816,76.18586795940087,B,C,-11.33295868056441,1
Hindu,Non-Veteran,Divorced,M,C,184.4301024895418,B,B,D,B,E,51.669175902308865,-76.59963992532394,E,C,-41.07195309010498,1
Muslim,No,Widowed,F,E,57.02411095924019,E,D,A,D,E,261.67261875202206,82.5341702816138,E,C,-69.63203084385788,0
Jewish,Non-Veteran,Single,F,A,-64.75306128715694,D,B,B,A,A,212.52528173103693,31.861166510560736,E,B,-95.76294517530755,0
Other,No,Married,Non-binary,C,148.77882141898175,C,B,C,E,E,85.2671413736345,32.24286893832344,D,B,-189.82006252376468,1
Christian,Non-Veteran,Divorced,Male,A,89.71008457183919,C,D,D,E,E,188.61236455129847,-123.1204753563554,D,E,-16.24031777450249,1
Muslim,Yes,Divorced,Non-binary,B,163.3255736336637,A,E,B,A,D,7.466994736054898,-15.799000339114414,C,C,83.91533967532106,0
Christian,Non-Veteran,Widowed,Non-binary,B,40.32113796730592,D,D,D,E,E,-154.06486944699463,-51.16075119901363,A,B,-206.67346018744595,0
Christian,Non-Veteran,Divorced,F,D,-39.30623094864856,C,C,A,C,E,142.8060192528513,-31.801343108788977,D,A,152.9502803807623,1
Hindu,Non-Veteran,Married,Male,E,72.2631748083166,A,C,A,C,B,84.55960583610621,89.84126507589033,C,D,-8.490251122177366,0
Buddhist,Non-Veteran,Married,Female,C,66.60990340625844,D,A,B,B,D,-56.58655732672564,86.9099713126544,D,C,-12.435162602926235,0
Hindu,Yes,Divorced,Other,A,-45.92861282103459,B,A,B,A,A,94.32052675132687,-99.78367254890054,A,E,117.07044864782081,0
Jewish,Non-Veteran,Divorced,F,A,-26.89745053991313,B,E,C,B,B,-96.11393706309092,-58.33174489995976,D,A,87.86067517060435,1
