religion,Race,disabled,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Muslim,Hispanic,Physical,65+,C,B,A,B,-50.858205600464146,A,D,70.42837854961434,-187.1476784008408,0
Other,African American,Yes,26-35,E,A,A,E,83.69339208301604,E,E,123.68776733705499,142.21392276404134,1
Hindu,White,None,36-50,A,C,B,C,-259.5927368438085,C,E,-95.94218905952833,-77.70772710335872,0
Other,Asian,Yes,36-50,D,B,B,A,10.710592964686851,E,A,-105.23187200082498,-14.0769845018335,1
Christian,Other,No,65+,A,D,B,E,-61.38586196600423,D,B,-274.4661608561036,-15.412950851092436,1
Jewish,Black,Both,65+,B,A,D,B,-230.95547521283808,B,A,147.06092537505273,-122.65359450308195,1
Muslim,Asian,Both,65+,E,E,C,C,-156.92172478892695,C,D,-49.488883809112416,16.70051771837439,0
Muslim,African American,Yes,26-35,C,B,E,B,-101.3049851033979,A,B,-62.24878180465518,-127.61057954057978,1
Jewish,Hispanic,None,26-35,C,A,D,E,-77.08314751104399,D,B,220.7740093505111,174.99892288015624,1
Jewish,White,Both,65+,A,C,C,C,5.560285587968259,A,A,83.72357397051951,-32.47965872504424,0
None,Hispanic,No,36-50,D,D,A,E,-8.448464797722739,A,C,-212.2254718934291,103.18373395146321,1
Jewish,White,None,26-35,C,D,A,B,110.16295483312544,B,A,-119.19854260218665,-67.41436734674362,1
None,White,Mental,51-65,B,A,B,A,-113.2188333280645,C,E,73.9551165111576,8.379452579094052,1
None,Hispanic,Mental,65+,D,C,B,A,-115.08858374941468,B,A,95.45792236715879,71.17261530614019,1
Buddhist,Hispanic,Both,51-65,A,A,A,B,-9.855801272929975,B,E,101.78907275438117,77.63549654462388,0
Buddhist,White,No,51-65,C,A,E,B,-26.57319848723647,E,A,-65.12430529662512,4.012454341194212,0
Hindu,Hispanic,Yes,18-25,D,A,C,C,-122.98792905702629,D,D,-31.083258171982038,-18.837990749801595,1
Other,Hispanic,Mental,65+,B,E,E,C,25.534028704003703,D,E,24.77782920633324,219.6369754249079,0
Jewish,Hispanic,None,26-35,E,C,E,C,-48.95171721093835,A,D,-115.03155941951336,-27.511745568192588,1
Other,White,Yes,65+,A,A,D,E,114.3012586147236,A,D,16.440164849337656,138.09570725607804,0
Hindu,White,Physical,18-25,A,D,D,D,-115.19275092333505,D,D,-158.68673213521646,-50.65092526491279,1
Buddhist,Other,Physical,36-50,E,A,C,A,-73.48890630310194,A,E,54.05061952084276,-89.27684492015842,0
Hindu,Other,Both,26-35,C,C,D,D,-156.49125393917123,E,C,-114.21160397812322,-153.8803305316664,0
Hindu,Asian,None,65+,D,A,E,D,-40.41523697942554,B,E,-29.126389365919923,145.16999119887996,1
Jewish,Black,Both,36-50,A,E,C,A,-139.4406865558404,D,D,19.86206470703377,16.902970810709824,0
Hindu,Black,Physical,18-25,D,B,A,A,90.39631900392429,B,B,163.43927167798182,-180.03738847461548,0
Muslim,African American,Both,18-25,D,E,A,E,-46.454933126186226,C,E,-194.91184895460984,-90.13429153831032,1
Muslim,Other,Physical,51-65,E,A,C,D,25.43575882147795,E,E,-28.642878847101365,48.837513306291406,1
Jewish,White,Mental,18-25,B,E,E,A,-119.27858276359788,E,E,-43.267428930449064,-13.108724887334247,1
None,White,Physical,65+,E,E,D,E,-63.78601643656139,E,D,-30.86024163571836,-23.53875505804553,1
None,Other,Both,18-25,A,C,D,D,-110.64292703553633,E,B,95.18291508244765,-126.2049474768293,0
Jewish,Asian,None,51-65,B,E,C,A,29.170787100022633,C,D,284.9567501350878,-82.14420921491167,0
Other,African American,No,65+,E,C,C,E,49.416106578557226,D,A,16.184185306634056,94.45860446482229,0
Buddhist,African American,Yes,18-25,E,B,A,B,-60.270053482473365,E,A,-81.04646605299851,22.414729946902813,0
Other,Other,Yes,18-25,B,C,D,B,-155.39447977666123,E,E,10.24461848288651,110.68072992090757,1
Buddhist,African American,Both,51-65,C,D,B,C,-147.56809835084474,B,C,-94.78075576818074,-117.04708851482783,0
Other,Hispanic,Both,51-65,B,D,B,B,93.9628455538731,D,C,76.41170735564177,-7.382445500477157,1
Hindu,Other,None,18-25,E,D,B,A,130.49557004317995,C,B,-41.73535386857592,28.051140349168097,0
Muslim,Black,No,51-65,E,B,B,C,-26.830132106151172,A,D,-104.42485660986185,-1.3612723453611304,0
Muslim,Hispanic,Yes,36-50,E,B,C,D,-148.47326837194697,B,B,154.34797821089873,-94.88046797088026,0
Buddhist,Asian,None,26-35,C,C,B,D,-59.030216336929776,D,E,-345.62782321034155,-0.033203380061521494,0
Jewish,Other,Yes,65+,B,A,A,B,-27.031753909270424,C,E,57.251709229285154,-38.46133515209927,0
Buddhist,Hispanic,Yes,36-50,D,B,D,B,-48.82734912505426,E,D,-123.7975423488443,-22.470724913109528,1
Christian,Hispanic,Yes,26-35,B,E,B,B,122.09410878903168,D,D,-121.07383406774895,-141.1259343049869,0
Buddhist,Asian,Mental,65+,D,C,E,D,-15.51558173425308,E,C,-110.98244598140326,-222.5350275348649,0
Hindu,Hispanic,Both,26-35,D,E,A,E,-81.84499474840456,E,D,-53.913118031112674,110.94482181090387,1
Other,Hispanic,Yes,51-65,C,B,C,E,-115.4924118884237,D,D,77.01659504721776,20.838756141916054,1
Muslim,Hispanic,Mental,26-35,C,E,D,D,4.790068985938082,D,C,-54.18786674712879,39.65840293758257,1
Other,White,Physical,65+,D,E,C,A,-39.091112895295076,C,A,-117.42129958178484,128.79202828249356,1
Hindu,Hispanic,Both,36-50,A,D,A,C,34.27225122529312,E,E,176.53573299143224,-49.016541950125585,1
Jewish,Black,Physical,51-65,A,B,E,D,54.90137776049191,C,A,-173.17648671581304,-46.85759707961512,1
Jewish,White,Mental,65+,E,B,D,C,21.200629670231823,C,B,18.73323450897768,114.49346345751079,0
Other,White,Both,18-25,A,C,A,B,113.5305336282128,A,A,-23.76262449149814,-121.06703781908585,1
Other,Other,Physical,36-50,D,C,E,C,-64.37987178646269,D,D,4.886147805727913,-197.03819097354062,0
Buddhist,Asian,No,26-35,D,B,C,A,89.5968042530637,B,E,-65.71519974503481,90.87010290709907,0
Jewish,White,Both,18-25,B,D,D,B,-122.58071847295344,C,E,216.3008991756221,71.56904000454095,0
None,Black,Physical,36-50,A,B,C,A,63.92035708630508,A,E,19.94350780554377,131.46241334829702,1
Hindu,Other,None,65+,D,E,A,E,-46.95728033255243,E,E,-237.58554227163637,-44.6384014934796,1
None,Asian,None,26-35,B,C,E,E,-4.582698002339292,B,E,119.2072095256425,13.056642327638201,1
Other,Black,None,36-50,B,B,B,E,99.7619336573477,C,B,-18.639149628030243,176.91973709271173,0
Muslim,Asian,Yes,51-65,B,C,E,B,125.28072340779417,B,C,90.69736390039495,-3.139563980976392,1
Other,Asian,Yes,18-25,B,C,D,E,67.4088611644046,E,D,18.222190277353196,-21.93748549951558,0
Muslim,Asian,Both,65+,C,C,C,D,-117.68935005703382,D,C,-15.069772466296838,6.186003512186896,0
Hindu,White,Yes,18-25,A,A,E,D,-59.39758858585821,A,E,6.06128083279434,49.460520934103776,1
Buddhist,African American,No,65+,C,C,A,D,96.83908581808754,E,A,-146.5269030967166,64.48753257189108,1
None,Black,Mental,18-25,D,B,B,C,5.6208651152217834,B,D,54.2349497859844,-23.87232511696317,0
Muslim,African American,Mental,36-50,D,D,E,A,133.3162611019459,D,C,95.8579295452732,36.220860529317875,1
None,Black,No,18-25,C,E,C,A,-3.3007488030621426,C,A,36.26829406337658,105.43429639392068,1
Christian,Black,Yes,51-65,B,C,E,A,174.4992039575107,B,D,138.84606465257497,118.68166700457958,1
Christian,Black,Mental,36-50,B,B,C,E,-89.00572798958332,C,A,-44.585690729564014,-181.99947715237693,0
Buddhist,White,Physical,51-65,B,C,A,E,34.863138119849154,C,B,219.04080000642293,-16.760777184059737,1
Other,Other,Yes,18-25,E,A,E,E,-9.869663944483952,C,E,38.09133764577171,88.33067387672638,1
Other,Hispanic,Physical,51-65,C,C,B,B,-23.774904000834933,E,E,-82.61971616828137,25.56100682170654,1
Buddhist,Other,None,65+,D,E,D,A,132.65633236699233,D,C,-97.16016007843946,-125.41111907302589,1
Hindu,Hispanic,Mental,36-50,E,C,D,D,-62.42228891269372,A,E,-45.63814397436647,46.011015972909824,1
Buddhist,Hispanic,Mental,36-50,E,A,E,B,-63.47080082531147,C,A,34.410758996506594,20.198576607233402,0
None,Hispanic,Yes,36-50,E,B,D,A,-26.140425655500206,E,A,-7.249835556830404,-68.81753178894509,1
Jewish,African American,No,26-35,B,D,A,C,-21.0924481555457,E,D,18.837055556882742,87.29051919274119,0
Jewish,Black,Mental,65+,A,B,E,B,98.2125763078733,C,E,-73.3031145183145,-96.77973906040272,1
Muslim,White,Physical,51-65,B,C,C,B,-185.83261464968737,C,A,38.82333719051074,-0.08628112234510348,0
Muslim,Hispanic,None,65+,B,B,B,C,10.182990611765595,A,C,205.57127911343133,20.114391666973518,1
Jewish,Asian,None,18-25,C,A,A,A,-51.82426929958039,E,B,-56.41285096956792,-80.9256149479207,1
Hindu,Asian,None,51-65,C,B,E,B,76.32967511552813,D,E,-18.566857897697588,-69.73827035647572,1
Other,Asian,Physical,65+,E,B,A,C,282.69327845605955,C,A,210.14610295852648,-193.46873993963374,1
Jewish,African American,Both,65+,E,B,C,B,237.48352463155135,A,E,124.84082245822805,66.10168617843283,0
Christian,Black,None,18-25,A,A,B,D,-191.5235107756168,A,B,86.4457438007677,-104.5216436944273,0
Muslim,Black,Physical,18-25,D,A,E,E,-24.670619409103534,A,B,-2.2984692693904742,-43.99807715368409,0
Buddhist,Other,Yes,65+,C,E,D,A,184.29022736880847,E,D,-7.808765894356654,-85.31978390051256,0
Christian,Asian,None,51-65,A,E,D,D,3.1867616412243978,C,D,96.97919691898396,59.752441343127416,0
Other,White,No,26-35,D,B,B,A,-91.45004924427569,C,B,-113.66158986084858,77.37777054985534,0
Jewish,Black,None,65+,C,C,A,E,-3.9532155222740615,E,B,135.03918544527934,-8.707864400825489,0
Christian,African American,Both,65+,A,D,B,D,91.25089656070804,D,A,19.624276162614095,24.551850515595927,0
Other,Other,Mental,51-65,D,E,A,B,78.3071563895164,D,B,-114.47883990131835,-171.07536405238912,1
Christian,Asian,Mental,36-50,B,C,E,A,122.66433759959263,B,C,-2.099292088468741,-139.1567436836113,1
None,Hispanic,Physical,51-65,A,A,A,E,173.4333626358482,D,D,5.678763883958212,30.03112529085078,1
Jewish,White,No,26-35,D,D,C,B,-1.528609719351514,B,E,-74.98234973104256,75.74167486238497,1
Christian,Hispanic,Yes,26-35,D,C,E,D,59.77524118575336,A,A,116.99628022154516,97.56446786689715,0
Muslim,Hispanic,Both,36-50,B,B,E,A,120.32943049885615,E,E,9.872663516458688,-32.94171786805908,1
Other,Black,No,26-35,B,D,A,D,13.274817181525947,B,E,-143.4020369351866,-93.9476916107629,0
Buddhist,Asian,No,51-65,E,C,E,E,130.7630588219689,D,D,23.694463721791724,-11.21041581097299,0
Buddhist,Asian,Both,65+,E,B,A,A,8.372165636878904,C,C,78.68919565795463,128.6794364377102,1
Muslim,Other,Physical,26-35,A,C,A,C,-64.09855631774212,A,E,-37.909901473875514,-103.41491107931739,1
None,Asian,None,26-35,B,D,E,E,181.78490261983907,C,B,-248.0018893535921,-122.75885768342225,0
Muslim,Hispanic,Yes,65+,B,D,E,A,9.121291793251963,D,E,-62.509917083786625,-27.53218205991144,1
Buddhist,Black,Mental,65+,C,B,E,C,77.17849861123952,C,C,-66.10419413000804,96.52307584097758,0
Hindu,Hispanic,Both,26-35,B,B,D,A,-87.11540403810312,E,E,148.35736565755138,-134.36548130086035,0
Buddhist,African American,Both,18-25,A,A,C,E,-21.966557437648873,E,A,-3.103541073016784,-29.659415779259035,0
Buddhist,Other,Physical,51-65,E,C,B,A,153.53176232844353,E,C,-117.3689480868309,83.78404263766639,1
Buddhist,Black,Mental,18-25,D,E,B,E,-19.77891178486043,B,A,4.352003407324543,-28.04757783879576,1
Christian,Black,No,18-25,A,A,C,B,-57.144721956415864,E,B,-11.23987627759327,-68.77478434112668,1
None,Asian,Mental,18-25,A,A,B,B,28.51850610856979,C,E,-145.3593724846685,-75.01817781727974,0
Hindu,Black,Yes,51-65,A,A,D,B,-121.10811695908342,B,E,57.29487355403064,8.440464249356275,1
Jewish,African American,Mental,65+,E,A,C,C,-141.8941259194401,A,B,89.73454041127908,139.08318759958095,0
None,White,None,51-65,C,C,B,E,59.0229016894557,C,D,11.632775629086826,-17.228104654840838,1
Jewish,Other,No,51-65,B,C,A,E,168.20761021344427,D,C,-4.741248396816433,117.97892452339818,1
Hindu,Asian,Physical,18-25,C,A,D,D,26.987862265896677,E,C,63.05941703661148,-14.092076730790806,0
Christian,Asian,No,26-35,D,C,E,D,2.514406150048041,C,E,-133.61216148144598,43.479949506993634,0
Buddhist,African American,None,65+,E,B,E,D,15.238309343818774,A,C,-5.059822231283681,84.10471787741082,1
Hindu,African American,Physical,51-65,E,A,E,E,-21.636727841631394,B,E,-100.91382458363998,-58.90926214429286,1
Muslim,Black,No,26-35,B,D,D,B,37.58821462499402,D,D,45.15783936480506,36.71780938581189,0
Muslim,Black,Physical,65+,D,B,E,E,56.354154852036345,C,B,-64.8947268104264,25.533584432845636,1
Other,Asian,No,36-50,E,C,C,C,-31.861225643945843,B,B,-30.14222266392111,-129.22394822822594,0
Christian,Hispanic,None,65+,C,C,A,E,-1.6578389779253955,B,D,-3.6871076091235224,6.603663613617034,0
Other,Asian,Yes,18-25,E,A,C,C,-0.9975263414563199,A,D,-95.2947877211717,20.048061118094168,1
Muslim,Hispanic,None,26-35,D,D,A,D,-57.077100320769546,C,A,8.452783138848655,39.93687520687978,0
Christian,African American,None,18-25,D,D,C,B,66.12721365486368,D,D,-22.639243025610316,10.109023093437177,0
Christian,White,Physical,18-25,E,A,D,D,12.335086061450374,C,C,-85.4282166658866,-142.92533675691615,0
Muslim,Hispanic,Mental,18-25,D,B,E,B,-49.05979487584267,E,A,-62.553175686711896,32.797919348532204,1
Jewish,White,Mental,51-65,E,A,B,D,105.5673552625572,E,C,-179.6894734055034,-81.67004895934407,1
Other,Hispanic,Both,18-25,B,D,C,A,-127.12710514912813,B,A,-171.35704125676182,83.30361462453081,0
None,Other,Mental,36-50,E,D,D,D,-5.385941777667874,B,B,-125.12923364078206,-47.29767094374718,0
Other,White,Physical,51-65,B,D,E,E,-11.093264173156644,E,C,33.67306217998206,232.385862745762,1
Hindu,African American,Both,26-35,B,E,A,A,67.11370820671836,C,E,-83.2034673527323,31.5906964977277,0
Christian,Hispanic,None,18-25,A,B,A,B,-4.964319627807284,D,E,110.71536810128401,-186.9729061534163,0
Buddhist,African American,Yes,18-25,A,E,E,D,-53.94977099074466,B,C,74.68697156955609,114.38029771219387,1
None,Hispanic,Mental,26-35,E,E,C,A,-38.15600720644934,D,A,-95.47850467636614,-136.8358621055097,1
Christian,Asian,None,18-25,D,A,A,C,-87.5467522407945,C,A,183.781527930198,-128.7265773848314,0
Other,White,Physical,26-35,B,A,D,D,32.231614513907594,D,A,24.11559835993855,73.04578976961517,0
Jewish,Other,Physical,51-65,B,D,A,E,-65.60717601963759,C,C,32.394602749482566,-8.440678712554467,1
Hindu,Hispanic,Mental,36-50,B,C,B,E,-31.606097242184532,C,C,-35.09263385637369,33.25824049530736,0
Hindu,African American,Physical,65+,B,C,C,A,74.79480219872212,E,B,-70.75974747182944,-142.57036386936713,1
Hindu,Asian,Physical,65+,E,C,A,D,129.69203715260454,C,E,-23.930156261746024,-131.3758997918383,1
Other,White,None,18-25,B,D,C,B,44.56916995030879,C,D,111.24926555653607,2.8872739404290506,0
Christian,Other,Both,65+,D,A,C,A,-16.95448650248226,B,C,90.02734076677436,-79.20305987578533,0
None,Black,Mental,26-35,A,C,C,E,-24.730078233204846,A,C,-53.55795495191401,-117.76077407820182,0
Hindu,African American,Physical,26-35,D,B,A,D,67.07578004428778,C,E,39.447845971494495,74.89508875861495,1
Other,Asian,Mental,26-35,A,D,C,A,178.85281193854817,E,E,-18.77382656918997,-37.05798009026321,0
Buddhist,Asian,Yes,36-50,A,B,D,C,47.43995150464662,E,B,85.0514540480947,-12.427039801411842,1
Jewish,African American,None,65+,D,D,C,B,18.201010074456857,B,C,106.14890176575307,142.65353851209503,1
Buddhist,Other,Both,51-65,B,E,A,D,105.49107750601283,A,D,-87.82664607466457,31.839072749502172,1
Jewish,Other,Yes,51-65,C,E,E,B,122.47334342934634,E,C,63.600958183611425,53.91666004578708,1
Buddhist,Asian,Yes,26-35,C,D,D,C,-129.52966495743883,D,E,-55.721720552411234,-39.75828548919833,0
None,White,Physical,36-50,C,B,C,D,-99.0193840678881,B,C,-218.87579175338837,130.15430154568668,0
None,African American,Yes,51-65,E,E,E,D,75.08400792406937,B,C,-172.36462835848752,41.19454022279935,1
None,White,Yes,36-50,A,C,B,E,64.76087916687061,D,A,-71.60381476288137,161.86200045284093,1
Buddhist,Black,Mental,18-25,C,A,C,A,-148.8353298326104,A,A,-104.34371497387404,-10.97091156707683,1
None,African American,Yes,51-65,A,A,B,D,169.4649000194937,E,B,132.1162100476696,-42.10530651084612,0
Buddhist,Asian,None,36-50,A,D,A,B,59.12053922951088,D,E,-149.10690692594315,54.22295093481904,0
Christian,Black,Mental,18-25,D,E,A,D,10.96791071117808,A,C,-196.17822677701344,21.515423329197652,1
Christian,White,Both,51-65,A,D,C,E,-18.550977768670176,D,B,84.07707571990642,-137.8497394024834,1
Muslim,Hispanic,Both,36-50,A,C,D,A,103.87976288684828,E,C,-48.81705149034359,71.68175865770466,0
Muslim,Black,Mental,36-50,B,B,E,C,-33.487901801451294,D,A,-25.442346926698043,25.586305013710227,0
None,Other,No,18-25,C,C,E,A,-27.41452836704812,B,B,118.95187504079931,-100.39086078662017,0
Other,White,Yes,36-50,D,C,E,A,-51.49558926660455,C,C,126.14119149161034,-12.85852970123256,0
Buddhist,White,Mental,51-65,A,E,C,E,58.808224460912584,C,C,8.060182870015078,-61.55306215721838,1
Buddhist,Other,No,65+,E,E,D,D,-54.601449068925355,B,E,64.16570433725852,118.13606473769191,0
Christian,Asian,No,36-50,B,D,A,D,44.71212437772935,A,B,-118.93957125184782,44.204954987439166,0
Jewish,White,Physical,26-35,A,B,C,B,55.79804524921019,D,E,3.994919541586048,-198.06801756888404,1
Christian,White,Mental,26-35,E,A,C,D,-33.51578461883017,C,E,-5.955766261032033,182.72022892110618,1
Buddhist,White,None,26-35,E,E,C,A,-39.8446487893671,D,D,-123.0358360559179,-109.16074200331121,0
Muslim,African American,Yes,51-65,A,A,A,B,104.3372932170201,C,A,-13.771746028532228,-16.78061434213652,0
Christian,Asian,Mental,26-35,A,E,B,C,-91.16812634343547,C,A,36.65577366434594,-10.698752014913639,1
Hindu,African American,Yes,51-65,E,E,A,A,58.91769044944392,C,A,197.3353651066905,-125.95676762228203,0
Hindu,African American,Yes,26-35,D,C,D,D,-79.91654106058668,C,D,-112.93734107343877,212.83589009927488,0
Muslim,White,Physical,18-25,B,C,B,A,-90.70323813618018,A,A,67.6080953780199,-76.76660301499436,0
Jewish,Asian,Both,36-50,C,A,E,E,84.71521368604814,A,A,-111.50957839482788,-72.91214180118746,0
Jewish,White,Both,36-50,D,C,D,D,77.94197284957991,A,E,-77.81312869768793,185.67726237298908,0
Other,Asian,None,51-65,C,D,A,B,7.584511030297827,E,E,8.423195327525532,-67.36216765217259,1
Christian,Other,Physical,36-50,E,A,B,B,-122.53490118317585,A,C,163.88682111321114,42.84962651914685,0
Hindu,African American,Yes,51-65,E,E,C,B,219.77715404562906,A,B,37.548323019616554,-66.65151311480759,0
Buddhist,Other,Physical,51-65,A,C,C,A,-124.1187645857496,B,B,-26.346605813668134,42.212751876119796,0
Jewish,Black,None,18-25,A,E,A,A,-66.91930614810695,D,B,5.871127602684454,54.53683271353462,0
Hindu,Other,Mental,65+,D,B,B,B,-0.1409340220737963,A,C,141.3636518069985,24.967983465944872,0
Jewish,Asian,Physical,65+,A,A,A,A,-40.350128190605034,D,B,-54.94562070319241,90.42320465764519,0
Hindu,Other,Yes,36-50,C,A,B,B,-47.661041664038414,E,C,22.21609348168376,9.458496346653646,0
Christian,Black,Yes,51-65,A,B,A,D,133.95513510541946,E,D,56.46545340353124,-82.78880261194412,1
None,White,Yes,36-50,A,B,E,A,-163.33009663712883,C,C,107.37131677651479,-14.189576351561254,0
Jewish,Hispanic,Physical,51-65,C,C,B,A,52.14508056549187,E,D,68.98984277602949,61.0827662882349,0
None,Asian,Physical,26-35,D,B,B,A,2.3091213484274076,E,A,72.12677540653286,141.72970569341547,0
Hindu,Asian,Both,65+,E,A,C,B,-95.76043797088376,D,A,-237.3682285828683,11.935209625517965,1
Jewish,Hispanic,Yes,51-65,D,D,A,A,-0.872326467918967,B,B,251.81325552857098,16.49997170912763,0
None,Hispanic,Both,51-65,E,E,A,C,-57.88027750782976,C,E,72.8088971034662,-0.8976220664186321,1
Christian,White,No,51-65,D,D,C,D,-118.61470133506164,E,E,34.07711736832102,-17.711774242534414,1
Buddhist,Hispanic,Both,36-50,E,D,E,A,-20.290727173126466,D,C,-182.3088213617228,106.83621725393127,1
Christian,African American,Both,65+,B,C,A,A,104.26223368480534,E,E,-16.00687255281407,-12.160866151859441,1
Muslim,Asian,Physical,65+,D,A,D,A,-75.91510631433664,B,C,-43.91041923459714,131.7389238880255,0
Buddhist,Other,Both,36-50,A,C,B,A,123.43174760167852,E,A,122.43753944734085,22.742925530386124,1
None,White,Both,18-25,A,B,E,E,-65.0430872729574,B,E,-34.945427670609924,-57.850102672245896,0
Jewish,Other,Both,18-25,E,E,A,B,-63.78516953589528,D,C,102.18862819768701,-118.97528679021994,0
Buddhist,Black,None,18-25,D,A,E,D,74.19005608878552,B,E,221.0732094547434,-12.165187142328595,0
Jewish,White,None,18-25,D,E,D,E,-91.49083380226205,C,C,-23.758033250002033,-39.73058766892348,0
Muslim,Black,No,51-65,E,B,B,C,38.82233321408842,A,A,22.602154325385193,54.60198357176617,0
Christian,White,Yes,26-35,C,E,D,B,43.044901484803475,A,B,-137.31896987990416,73.34119734527796,0
Buddhist,Hispanic,None,65+,A,D,B,B,-79.72675963881024,E,A,42.142812383225255,-77.64010138582572,1
Hindu,Black,Mental,26-35,B,B,E,E,95.86658051491263,E,C,82.48775636824615,-91.49332880447244,0
None,Other,Yes,65+,C,C,D,C,24.3149888253463,C,D,150.8740332864783,-63.832118041821396,1
Other,Hispanic,Mental,65+,C,B,B,C,122.70099149591812,C,E,67.27984233506078,19.34882625168856,0
Buddhist,African American,Physical,36-50,C,D,E,C,68.57748712380966,A,C,49.389581815039946,84.89349325517898,0
None,Other,Mental,36-50,E,C,D,D,-1.9512021055873625,C,A,35.650797268361565,-98.42077201277932,0
