sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Bisexual,D,16.77638660985439,A,-172.01268846861296,A,B,1
Heterosexual,E,97.37700517041351,A,-90.18650722375394,B,D,0
Other,B,43.7571624527202,B,22.185900175218148,E,B,0
Heterosexual,E,-107.52902898381869,C,-78.97248142517955,C,E,0
Other,D,113.48495967793065,C,-30.38371785112436,E,A,1
Homosexual,D,19.431626311223578,B,60.91861163532168,A,D,0
Heterosexual,B,-44.36790903924446,B,11.512845595607397,A,E,1
Other,D,-131.1699515465618,E,25.910051020059203,B,B,1
Homosexual,D,305.8720705077029,A,-109.091240598767,B,E,1
Other,D,67.1800397173408,C,-7.99470096379223,A,E,1
Bisexual,C,209.82553090879375,B,-49.397633590399096,A,D,1
Heterosexual,A,3.6964791594719637,D,-41.56911728793024,E,C,1
Homosexual,A,45.032574308491554,E,122.63131932274595,D,E,1
Heterosexual,A,-83.05394756964003,D,-20.66114739028103,E,D,1
Homosexual,A,-106.34493568499266,C,54.20037509318198,B,A,1
Heterosexual,B,84.96774423975654,C,-31.54868297827811,D,D,0
Homosexual,A,-103.02043630706808,B,-200.66502708852232,A,E,1
Other,C,-164.41433879727904,B,33.203246651615295,D,E,1
Bisexual,D,-87.65802077396104,D,-29.210873700787985,B,E,0
Homosexual,B,168.626558391561,C,-189.85332347580476,B,E,0
Other,B,-175.28436214421112,E,167.44177228416706,E,C,0
Heterosexual,B,124.86340001160772,B,102.69228397962304,D,D,1
Bisexual,C,-234.95404027665919,D,-34.688892014418805,E,E,0
Heterosexual,D,78.07305687908669,B,-114.49771409789294,D,C,1
Other,A,-53.41771297910556,D,-106.47942414891153,C,C,1
Heterosexual,C,-136.67849542007377,E,-122.46947229247847,B,C,1
Heterosexual,D,-3.548411288455148,A,-1.0564456190570122,E,B,0
Other,D,83.73428445764658,E,88.42067466274803,D,D,0
Other,D,-23.297092035009534,B,117.54164757243358,D,E,1
Heterosexual,E,-142.85871436100106,C,-23.26950239663845,D,E,1
Other,C,-143.9882536215801,C,119.6163774129051,A,B,0
Heterosexual,B,106.17538328871257,E,85.53964408682279,C,B,0
Bisexual,E,128.92785226179615,B,45.771181002997416,D,D,1
Bisexual,C,25.925352151490483,B,102.21403744713828,B,D,1
Homosexual,C,39.12175479902294,E,-22.174104723672166,C,E,1
Bisexual,D,-97.0322616995927,B,-43.36298983753841,E,C,1
Bisexual,C,22.50154169603786,B,19.428668463715248,A,C,1
Other,A,77.46104914004493,E,-79.17931845368574,D,B,1
Heterosexual,B,39.8801887577346,C,31.44303140105041,D,B,1
Homosexual,D,122.26869998457217,D,-33.03761221067331,C,E,1
Bisexual,D,-64.39384071593071,E,18.879303091742848,A,B,0
Homosexual,D,-84.44140480892918,C,16.649070975777665,B,B,0
Heterosexual,D,-42.528940603852504,D,-68.32048878846584,B,A,1
Heterosexual,A,-127.17671030901198,D,56.108450720053085,C,B,0
Heterosexual,A,17.636265445241264,A,-109.4561001028006,E,D,0
Homosexual,D,42.740993126296274,E,32.35552117630425,C,C,0
Heterosexual,B,103.21176015628622,A,34.535310101317975,C,A,0
Homosexual,A,43.051697936519965,B,-1.425190280140343,D,A,0
Other,A,-118.68928988966229,C,-18.06564702751278,A,E,0
Heterosexual,B,25.2992534980064,E,-100.65759652573465,D,D,0
Homosexual,C,-134.9359823929429,E,-170.14402658217972,B,E,0
Homosexual,A,203.4814599179483,E,-68.64141486952694,D,B,0
Heterosexual,E,138.20461553281632,C,29.20045116463722,E,A,0
Bisexual,D,164.23482321342235,B,-4.152957526626758,E,D,0
Homosexual,E,-94.1941036474713,E,85.18551811979927,E,D,0
Heterosexual,D,50.25661971149415,A,166.94364239588947,A,A,1
Bisexual,E,-145.41752907517593,B,157.69617818928046,B,E,0
Heterosexual,E,-154.39482270327156,E,16.823871810852893,C,E,1
Bisexual,C,-166.62309095927765,C,-17.89809164959825,B,C,0
Other,A,-53.195807781972235,C,16.640063778855954,A,B,1
Bisexual,E,181.65113272364633,A,-167.18067685194856,A,B,0
Homosexual,A,-84.61110441732738,A,87.49037935380933,A,A,0
Bisexual,C,-22.918540711585635,E,216.2293335105666,B,D,0
Heterosexual,B,-93.73756662730716,A,-237.7778721441647,C,A,0
Bisexual,A,-10.497729771918987,C,-144.81172407795452,E,B,0
Heterosexual,A,41.61369056624773,B,307.1468441565323,C,E,0
Heterosexual,A,149.5883237486965,C,-18.015632391346212,C,C,1
Homosexual,B,-150.8696136473734,E,74.49150079726522,C,E,1
Heterosexual,B,-76.21605626936504,B,27.776041860061778,E,D,0
Heterosexual,E,72.28615635041994,C,12.938098873271079,A,B,1
Heterosexual,E,28.26954892801051,E,13.96138948389121,D,B,1
Other,C,-106.81917668699117,E,123.13033994084877,A,C,0
Other,E,-115.23545299185099,E,-18.107835797813564,D,A,1
Bisexual,A,-61.39663116676579,C,61.58770242786574,D,A,1
Bisexual,D,31.162642401829682,B,20.39346133513791,C,B,1
Heterosexual,A,97.43461916221699,B,51.5727593919186,B,C,0
Bisexual,D,38.457324193599916,A,65.93737729170638,A,C,0
Bisexual,B,60.6423728308182,C,-9.017868222573963,A,C,1
Heterosexual,B,33.54932744011065,D,-133.98362436965022,C,D,0
Other,D,97.83498283174012,E,-215.6008409889524,D,D,1
Homosexual,B,-124.845457114878,C,-15.79886556301648,A,C,0
Bisexual,C,-156.29412266599735,B,109.14372464083641,C,C,1
Heterosexual,D,63.775363222380285,D,-197.8357881552581,B,C,0
Homosexual,A,-68.7908937959163,A,-60.048893467294285,A,D,1
Heterosexual,C,-11.182161779184856,C,-50.949943644791205,C,E,0
Homosexual,E,-30.63654439419038,C,141.04800432841355,C,D,0
Homosexual,C,-127.44885475512903,B,-4.592441240653986,A,B,0
Bisexual,D,23.47628268611097,E,92.71438872022503,A,B,1
Other,B,-1.289387891113018,B,-36.35957386077392,B,C,1
Homosexual,C,-200.26253219983028,E,21.33290663525215,C,A,0
Other,C,-22.40981572853832,C,43.12305973021541,E,D,1
Homosexual,D,-63.055536155403345,C,38.607365468956324,B,A,0
Other,D,-2.91881458415379,D,-39.69130174140399,C,A,0
Other,D,14.261566845470808,B,-100.13190367929734,A,B,1
Heterosexual,E,-170.7425079249911,C,-147.61022044767859,D,C,1
Bisexual,B,-236.06006198150982,A,117.05757390355127,D,B,0
Heterosexual,E,158.45119538395733,D,-83.6725607053893,C,A,1
Homosexual,E,-12.418629699406694,A,-0.031575006205653094,E,B,1
Other,D,110.49509523560317,A,-2.073358776149823,E,E,0
Homosexual,B,-3.1820151402104035,A,-23.683176933647594,A,E,1
Homosexual,B,-86.64217550887047,C,49.09472318947623,C,C,0
Heterosexual,B,3.578496853592159,A,91.17057358586665,A,B,1
Homosexual,E,69.17434536254781,C,-21.847062609731744,D,A,0
Homosexual,D,158.51610891480382,D,-19.914617612276615,A,A,0
Homosexual,B,18.061066526926204,C,-90.92182676039424,C,A,0
Bisexual,D,-110.47356046127337,C,87.2441006869737,C,A,1
Homosexual,C,-15.241745929780217,B,90.05727711499668,A,A,0
Heterosexual,A,-8.982488795986935,E,-43.81084640933266,C,D,0
Heterosexual,E,-69.44714911880054,D,-9.911458591626426,C,D,0
Heterosexual,C,68.87992698893099,A,-138.5555652340269,B,A,0
Other,D,-223.40460598527798,B,-136.81934200453267,A,B,1
Bisexual,E,-99.17462487856612,C,2.3661411463963766,D,A,0
Heterosexual,B,84.98850179055052,B,76.99365712276855,D,E,0
Homosexual,A,-6.634683232941841,B,-155.09510375466382,A,E,1
Homosexual,C,6.11596128638286,C,146.03510365004956,E,C,0
Homosexual,C,101.93570522073838,A,107.28602594857573,B,C,0
Heterosexual,E,50.201094693046954,D,-16.44452053730294,D,B,1
Heterosexual,D,48.160437097262474,C,-36.97710857617632,C,A,0
Homosexual,B,81.72715668875398,A,68.37342835238303,A,E,1
Other,E,119.43384453208719,A,-40.2930795463258,A,B,0
Homosexual,B,-33.94354099420826,D,-97.13602487626368,D,E,0
Other,B,63.95893441272593,D,75.5338391224596,C,E,0
Bisexual,C,-129.05736504898746,D,57.174927396144405,C,A,1
Homosexual,A,-116.02770946913215,D,-44.731792981088425,E,E,1
Homosexual,D,-51.14487513717203,E,1.0473814857169421,C,E,1
Homosexual,E,127.56978998983357,A,56.98710504129296,E,C,0
Homosexual,E,138.4400835928369,E,-12.082735271780539,D,E,1
Bisexual,E,-136.99871378261798,C,-85.30439537309294,B,A,1
Bisexual,A,-69.98054464121607,D,28.643807460439035,E,B,1
Homosexual,A,120.05247133934402,C,-55.84922048385349,C,B,1
Bisexual,A,-14.947970783104939,B,-14.15255991564845,B,C,1
Other,D,-147.63473031976878,E,20.9272743552756,B,B,0
Bisexual,D,-20.49125778670094,D,176.3931882854524,C,B,1
Homosexual,E,-21.358171909241854,D,160.4725057732437,E,E,0
Heterosexual,A,174.55973047286554,B,-14.786644836635087,C,B,0
Other,C,37.45046381139582,E,46.56049934156378,B,E,1
Bisexual,A,-59.43038831695826,D,-19.647888318316433,C,D,1
Heterosexual,E,46.343103213515874,B,-67.98878975713814,B,C,0
Bisexual,A,-0.7491008921844551,B,-123.44399117529488,A,E,0
Heterosexual,A,-43.59941148876259,C,-87.14596006704916,D,B,0
Bisexual,A,-173.741355125702,B,-106.56306989133029,A,B,0
Other,A,-46.829507103981605,A,168.58208081180356,E,A,0
Heterosexual,B,-23.66241203119457,E,7.474323565309329,B,B,0
Homosexual,C,286.27092395499443,D,-29.879930421035233,A,E,1
Heterosexual,E,4.241226111488848,C,-23.822899393381455,D,A,0
Homosexual,D,-62.3519817965294,C,89.49743507825991,D,B,0
Homosexual,D,131.36677820796297,C,31.345393218686286,A,A,0
Bisexual,B,-154.8185885134008,D,98.50166644367219,A,E,1
Bisexual,E,34.43836362159817,C,-277.55421761910765,B,D,0
Other,A,-44.98403560639034,A,-9.733600228909921,E,A,1
Bisexual,D,-40.41187186935142,C,154.52849544553743,A,B,0
Homosexual,C,75.8131456488779,D,-146.6540242215907,D,A,1
Other,A,43.99291751223258,C,-30.896742280840467,C,C,0
Homosexual,C,64.94783249904398,B,226.00961431130102,B,B,0
Other,B,-2.764687201492311,C,-37.88397701274413,B,A,0
Heterosexual,E,118.37972588095118,A,125.29175936855886,B,E,1
Heterosexual,B,-77.65890527248837,E,53.27748147996566,E,D,0
Homosexual,A,89.87571890517664,E,77.80717321340698,A,A,1
Homosexual,E,25.559014218971914,B,-25.128164979226785,D,E,0
Heterosexual,B,-49.51197017078447,C,13.459012206613213,C,A,1
Homosexual,B,33.8568372088745,C,-70.95615472586805,E,E,0
Bisexual,B,1.2077943690354622,D,-210.55055771715226,D,D,0
Bisexual,B,130.43532264286904,C,103.64917453891202,D,D,0
Heterosexual,A,15.471352260740614,A,-118.9117433054194,E,E,1
Bisexual,E,35.68217290544522,A,-173.54085373108495,D,A,1
Bisexual,C,35.342906668808936,A,111.74591817793961,B,E,1
Bisexual,E,130.17581110505833,C,113.24858441027446,A,A,1
Bisexual,C,74.43033016309411,C,68.8135295879125,A,A,0
Homosexual,C,86.75888092178361,B,23.386863120568,D,A,1
Heterosexual,C,175.80103862266148,E,54.76486554848067,B,D,0
Other,B,51.48894548734989,C,12.69193284987773,C,C,0
Homosexual,C,180.84436751148007,E,26.076060985138078,D,C,1
Homosexual,B,-110.76542892497241,A,-101.05924574326477,E,E,0
Bisexual,E,-216.53308733982897,B,161.52863178752966,B,B,0
Heterosexual,A,45.864965057578154,D,131.58217998261543,E,D,1
Bisexual,E,-73.72159783306394,A,74.04460576275565,C,D,1
Bisexual,E,-17.962372810030484,C,-32.323806190171105,B,D,1
Bisexual,E,-31.705819087630026,D,-52.30641053937607,A,A,0
Other,B,-122.68126394667152,E,20.036606623010343,D,D,1
Heterosexual,D,25.657788315578102,A,-16.976178107216995,A,A,1
Heterosexual,E,21.82515408104078,C,141.38621502280492,D,A,1
Homosexual,A,-112.88248612336838,A,-113.89876885448449,D,E,1
Heterosexual,E,-53.738450216050225,E,370.6366947408265,C,C,1
Other,E,112.40715724433552,C,225.6916793323064,C,B,0
Other,A,-190.797780818021,D,-81.49156005720813,B,E,0
Other,A,2.6302842756650806,E,118.9006831305799,B,D,0
Homosexual,D,-143.41633750963075,D,62.81012751899034,A,C,0
Other,A,-7.874641029569554,E,-35.43865885251044,A,E,0
Other,A,-9.06916191588785,A,29.74365940701461,D,A,1
Bisexual,E,36.014463661637556,A,-21.28709670088029,E,E,1
Bisexual,A,-30.76632699711463,B,65.93877708114911,A,E,1
Homosexual,E,-13.314357516209189,D,121.19683606266119,C,C,0
Bisexual,A,260.4356330222477,A,195.93629756543947,A,A,0
Homosexual,D,188.47413680769648,D,-216.7280736232878,E,C,1
Homosexual,D,77.84187684840907,E,95.72343827004285,E,C,1
Heterosexual,C,37.5546241384975,E,17.005845350286528,A,C,1
Bisexual,D,126.38069329936334,C,19.135789197984938,C,B,0
Bisexual,A,64.31231483043184,E,-57.002531219815076,D,B,0
Other,D,-58.8505258973257,B,-77.18678749423982,A,B,1
Other,A,46.1997745974988,A,53.664045654742544,C,A,0
Other,C,61.76567978002626,C,49.66550326337161,B,C,0
Heterosexual,D,2.3480132738318686,A,-108.13900240036492,C,D,1
Bisexual,B,-140.4132338485226,D,-161.96565035720084,B,D,0
Heterosexual,C,-96.37704328150461,A,12.149084531737413,B,C,0
Other,D,-109.62531427534515,A,29.052837136310682,D,B,1
Bisexual,E,-39.310632154796856,D,-55.61959270293978,A,E,1
Other,D,28.393316282343623,A,-150.76328293660166,C,E,0
Homosexual,D,75.93811447666744,C,-200.09298696832906,A,E,0
Other,D,16.431858604755373,A,-214.15566031612573,B,D,0
Bisexual,A,-42.07161954570853,B,-146.9064917771309,D,A,1
Homosexual,B,103.07254116189857,A,104.19777244614856,D,D,0
Bisexual,D,-89.58881545946491,E,37.18041322935985,D,B,0
Bisexual,D,0.7783457589149511,B,28.585104578337468,B,A,1
Heterosexual,D,-140.10976910631098,C,-115.14216787880116,C,A,1
Other,A,-63.72675677164096,B,10.610009007569413,C,E,0
Other,C,29.8686754720772,E,120.31663115751363,E,B,1
Heterosexual,A,-89.29335040084537,E,15.93637145586056,C,D,0
Other,C,-9.661825152087742,C,-56.650075804005375,A,A,0
Heterosexual,E,44.01704818486941,D,-57.4525453042405,C,A,0
Homosexual,E,50.67835933982345,E,-53.7038415183293,B,D,1
Bisexual,E,-71.61952273831325,D,-15.216313992249495,B,D,1
Homosexual,E,-79.50972754629264,A,-136.5553364595715,D,E,1
Heterosexual,D,-49.96827076862317,B,144.56121669140927,E,E,1
Homosexual,E,-7.282286684514543,A,51.104703167247436,D,E,1
Heterosexual,C,148.25089373782677,A,171.2505028661908,D,B,0
Homosexual,E,-51.357349033540224,C,92.898656869985,A,E,0
Heterosexual,D,-44.027654917124146,B,-122.29218129170619,C,D,1
Bisexual,E,-95.25199310842922,A,-1.5793850841586223,A,B,1
Other,D,-102.5987666450828,C,27.77532076233119,D,A,0
Other,E,18.24742240114505,A,-115.53968573645355,A,B,1
Other,E,-61.241210880835254,D,-54.59531155992789,D,E,0
Homosexual,B,-10.171804372896162,A,-44.82261874881027,C,E,1
Bisexual,E,-261.74866258230355,D,-2.379231432776905,D,A,1
Other,C,206.26046449767986,D,2.1254665130479613,C,A,1
Heterosexual,A,9.376019392542794,B,149.22317981938292,A,B,0
Bisexual,A,8.21918308201485,D,11.836292758044754,C,B,0
Heterosexual,E,144.7836131131418,D,13.774113612021313,D,D,1
Other,C,-224.6662860913269,D,60.69717792101067,A,D,0
Homosexual,A,109.80560708969615,E,-17.315247911318483,B,A,1
Heterosexual,B,0.5739379819245831,C,-47.4361466265087,E,B,0
Heterosexual,C,45.05294901284783,B,89.12531892686039,B,C,0
Bisexual,C,114.70575690064295,D,-205.46596214492158,B,D,1
Bisexual,E,104.93599182805433,E,194.42827880859485,D,C,0
Bisexual,C,-39.066460188058244,B,-34.771179033675196,A,E,0
Heterosexual,B,99.18838833504799,B,-123.87290981114685,E,D,1
Other,A,-50.528852083432994,A,-56.33037414968325,A,C,1
Heterosexual,A,-71.56470586389997,A,142.10377201325883,A,D,1
Heterosexual,D,213.4549957040525,A,102.60783941417901,A,C,0
Bisexual,B,-24.003612723595456,E,82.27760946051072,A,C,1
Other,B,31.152989942556925,D,-108.61921690398084,C,E,1
Other,C,67.29927475157852,E,-98.99512182686476,D,C,0
Other,D,37.143479209655844,B,46.068549337196075,C,C,0
Bisexual,E,53.045857886474614,D,-16.165566350689044,E,A,0
Other,C,-16.292529364484793,B,-150.22040059934832,D,B,0
Other,A,33.991884447728985,A,-2.3739300144273923,D,B,1
Homosexual,B,116.55527695657835,C,-43.55962632110242,E,E,1
Homosexual,B,16.601500010153313,B,-204.34928201719663,C,E,0
Homosexual,A,-145.88980299611367,E,112.17697863087959,E,C,0
Homosexual,D,-106.18561292374262,A,-13.918135607762613,B,C,1
Heterosexual,B,-134.31087469078994,A,-66.09962890153204,E,D,1
Bisexual,A,-123.4612443161462,E,-221.0310139032944,A,E,1
Other,A,-58.284462648944455,D,-76.6617045281921,E,E,1
Homosexual,D,-17.16251256014571,D,19.47550493010424,E,C,1
Bisexual,C,39.29826727818987,A,-31.5092898425254,A,E,0
Bisexual,E,-139.94919167403708,A,168.7882490271215,C,C,1
Other,D,-46.93554664197952,D,177.08716287320135,C,C,0
Heterosexual,D,-50.50544047387812,B,156.09395851325306,D,A,1
Homosexual,C,-9.09653547119572,E,-14.360859845104393,C,B,1
Heterosexual,B,89.53932636586434,D,-47.9309989484442,B,B,0
Other,E,-0.9516771195782404,A,196.89621041929493,B,A,0
Heterosexual,D,-43.47680042120971,B,41.06478419294524,A,E,1
Heterosexual,A,21.11173946200415,D,114.88183710340837,D,D,1
Bisexual,A,-53.08245653541094,C,-30.13734095389417,C,B,1
Homosexual,D,197.5224330421235,A,-25.973203822026857,D,D,0
Homosexual,D,95.34634048406073,C,-124.03476884223375,B,D,0
Other,B,7.0675374790022865,C,-206.13650873322092,D,D,1
Bisexual,D,-51.53102380437053,D,-53.64276258368229,D,B,0
Other,C,106.75412906076369,D,91.20125554039956,E,A,1
Homosexual,A,15.20510501397265,C,-67.63456008156726,E,B,0
Heterosexual,C,129.31139818387948,B,51.95353074726265,E,A,0
Homosexual,D,119.11328876474379,C,-73.03366606667133,E,D,0
Heterosexual,A,-101.23869626955866,B,74.26232994397621,D,C,1
Heterosexual,A,160.43815276633845,D,-66.57042800776465,E,A,1
Heterosexual,E,17.648686082836775,D,117.0875659292093,D,B,1
Heterosexual,B,88.7309899199718,C,107.09359408805388,B,D,0
Bisexual,D,131.83892694005021,B,146.18338460698988,E,C,0
Bisexual,E,-142.33157417132344,A,-67.8213267899554,B,C,1
Homosexual,A,18.69126103641753,D,-99.41415167130906,D,D,0
Homosexual,E,-76.94509536811222,B,-19.662941534367484,B,D,0
Heterosexual,C,150.35706722862923,C,-57.32016020990599,C,C,0
Other,C,87.48919906508405,D,127.30434547023752,B,B,1
Homosexual,A,-139.22003175327197,C,-42.41921358450741,D,C,1
Heterosexual,E,-25.422555027521167,C,-59.98473508629629,E,B,1
Heterosexual,D,-58.17946133273695,B,-70.21918157679968,A,D,1
Other,D,-22.552820057201405,C,-27.831259228643844,B,E,0
Other,E,-54.70973362836564,C,54.62156315930128,B,D,1
Other,A,153.9072062470509,B,130.25696212091,A,A,0
Homosexual,B,72.27732027634669,E,-83.30701493229039,B,E,1
Heterosexual,B,199.573314183293,E,153.00566586040222,D,D,1
Heterosexual,B,1.3861758218060551,B,-78.06781564789296,C,E,0
Bisexual,D,-103.98201101059128,E,-135.4309416459319,D,B,0
Bisexual,C,-54.23758918980782,E,-133.59123610049156,A,E,1
Other,A,-112.40790394453998,D,-87.22382820206207,B,A,0
Heterosexual,C,191.99200426649384,D,98.09337535460759,A,A,0
Heterosexual,A,-6.536669571237819,A,-151.1596878124824,D,E,0
Other,A,-97.25195328100146,B,-3.455147312410926,D,A,1
Bisexual,D,-21.22422527005467,B,-128.56900073329786,E,C,0
Bisexual,E,-260.0839695976611,A,-160.6980738193303,C,A,1
Heterosexual,D,54.755036517924204,D,-82.07333903641589,B,E,0
Other,A,22.008400051705625,C,15.35887893443485,C,C,1
Heterosexual,B,-45.895172674069435,D,-179.32123350257177,E,A,1
Bisexual,A,-23.214374263359794,A,106.58119192029882,C,D,1
Other,A,189.35154581555057,B,40.81291795951992,E,C,1
Homosexual,A,148.71361686315484,B,135.41885407484668,D,C,0
Other,E,-80.09653679100168,D,44.701231489956214,B,C,1
Other,D,78.2327083818854,E,50.7216026727616,C,C,0
Other,E,40.7212013040103,D,-95.79116976581254,D,D,1
Homosexual,D,-90.59870992126542,D,-1.0406166391045852,B,B,0
Homosexual,D,-83.67477677341157,D,111.89853157534269,B,C,1
Heterosexual,E,45.600063534027754,B,-153.36149839790758,C,C,1
Other,D,170.3180033215737,A,100.57676586104718,D,A,1
Heterosexual,D,46.92551035214891,D,-59.84999502540461,B,C,0
Bisexual,E,43.6682157253836,D,-0.891495741874368,E,D,0
Other,D,106.28808680427753,A,-19.708789991937174,D,A,1
Homosexual,D,45.35033369894408,B,-59.034762546543085,D,E,0
Bisexual,B,-58.89570468929727,C,-100.31732504928914,D,B,1
Bisexual,E,91.35063051282111,A,-101.15117899606274,C,C,0
Homosexual,B,-18.974510902895037,A,-76.79725042243012,E,A,0
Homosexual,A,-114.58833969918504,D,-17.29312698183251,C,C,0
Heterosexual,C,-32.54427465891626,A,108.58358763862081,B,B,0
Heterosexual,D,110.75560810547924,C,-86.8709653294222,C,E,1
Other,D,152.37674351546283,D,-30.533280753663643,A,A,0
Bisexual,D,-67.07822977456507,B,-73.19193574689751,B,A,1
Bisexual,D,104.90224131033217,B,-53.258852139924606,D,C,1
Heterosexual,C,-72.70081430105027,A,-97.57441903759559,C,C,1
Bisexual,C,-17.491864225259796,B,-10.787319674213876,B,C,0
Bisexual,C,-76.49002400484952,B,205.06463739200004,A,E,0
Bisexual,A,-132.701835948951,A,-4.872138470917338,B,C,0
Other,E,-219.02421398981602,A,-10.691483615040099,A,C,1
Bisexual,B,-99.30421986239043,C,-23.191282752323517,D,D,0
Homosexual,B,124.66263151888025,A,88.97953489089282,E,B,1
Homosexual,C,-4.968306294914456,E,-32.85620396741016,E,B,1
Heterosexual,B,-54.106459238446526,C,149.5600658139018,D,C,1
Other,D,-76.19339538412423,C,-103.63136095601469,B,E,1
Other,D,-80.45320371240278,B,-4.03173997887801,D,E,1
Bisexual,C,-192.71891709471447,B,-67.35442761318959,D,E,1
Other,A,137.77786506592963,A,-179.92045787525575,E,D,0
Other,E,42.33956100252691,D,86.20055106157642,B,D,1
Bisexual,A,138.58329488308635,C,-84.3182246069404,C,C,0
Homosexual,D,37.38852536526986,B,125.1680732628407,E,A,1
Heterosexual,E,165.85031439768306,E,91.73944404538544,C,E,1
Homosexual,B,-40.94351129347249,C,5.718511157494036,C,E,1
Other,C,-72.24390953037401,E,147.54590387765893,E,D,0
Heterosexual,B,58.785462356468,B,-80.46042816013609,E,E,0
Homosexual,A,-206.04645645088476,B,17.613102628606768,B,C,0
