military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Veteran,A,E,-90.73512409457092,36.12242635013113,C,-3.218488329321619,E,B,C,A,-10.560916659597442,0
No,D,E,51.55868676390667,26.893274650419603,E,-43.2648670548039,B,E,D,B,-25.216056655629732,0
No,D,A,166.41740051142992,91.85645307330688,C,154.34222922409438,A,A,A,B,158.7728166885231,0
No,B,D,49.3762144176933,74.41383924528137,D,-28.840246862397784,C,C,D,E,81.84931150465788,1
Non-Veteran,C,B,-51.338516773035956,-140.0646996595469,B,176.52267060433437,E,A,D,A,-135.80107581112168,1
Non-Veteran,E,E,-122.54897739730323,51.48509236918139,A,73.09379962807957,B,E,D,E,-56.33280823429687,0
No,B,B,56.867178150851196,162.87302679800698,A,43.895484477661086,E,A,C,A,160.79296173298044,0
Yes,E,D,22.295127470187467,-36.59552881835294,C,-17.34722300492532,C,E,D,C,-17.40347539005948,0
Non-Veteran,D,A,-45.34435297102311,-12.146248902366874,C,-17.851364585036986,A,E,E,A,105.69511192482142,1
Yes,A,E,-313.24856392490045,-43.12244304408577,E,15.536279049825666,E,D,D,D,-50.98158296160287,0
No,E,D,86.10191119695942,135.1678030977679,B,46.45253414911851,C,D,E,B,-124.84607150358806,1
No,B,B,20.262906366351167,191.4397812545465,B,72.73485247376126,D,D,B,E,52.04877999691653,1
No,B,A,-130.7817944054023,48.59060656156718,C,182.494675433643,B,E,A,B,141.4957944170406,1
Veteran,C,B,-66.96542728152576,-12.638889717098412,A,-43.8987928518977,E,C,B,C,-16.954742194532134,0
No,C,B,-72.29422243432727,-109.1351649704952,D,56.569056400193695,E,A,A,B,59.669920095914264,0
No,D,B,205.9066564980563,208.13549124628867,C,-258.5237891653464,A,E,D,C,-84.006046535963,1
Yes,D,A,11.813120869814858,82.91481779716577,C,93.54225538777405,A,A,A,A,44.919311309847835,1
Veteran,B,A,174.76278523996714,9.055252886650205,D,162.5401950727151,C,A,E,A,72.2928963481419,0
Non-Veteran,D,A,-152.40590254587852,45.11243590258612,A,-65.86755466736301,C,D,D,B,76.60606863383812,0
Yes,E,B,-11.335068835017104,-14.424836224176236,C,-52.25333403461341,C,D,D,A,28.10888825004838,0
No,E,C,28.35267685411433,-76.864753312326,C,-43.58092767385812,E,A,C,B,43.617947777025144,1
Yes,B,D,266.0203413891695,-37.519163577596224,A,-66.78624312343582,A,B,A,D,-119.15998803460013,1
Veteran,A,E,145.61514813308315,47.66891833801738,A,62.53786529231711,C,D,D,E,245.43172463678204,0
Non-Veteran,A,C,-19.0035988960664,49.676737811126124,D,96.14361290009322,A,B,B,C,44.707926578503475,0
Yes,D,A,-6.3791967939310394,-64.91796000457978,A,189.50757809094625,E,D,D,A,115.24718060371862,1
No,E,A,45.71332276551773,-33.608260071715094,C,-117.41686674374702,A,B,C,E,15.239111416185855,0
No,C,E,-72.872280719486,152.32056266075097,A,74.80679924418607,D,B,A,D,92.69085847804445,0
Veteran,D,D,-1.9948489470956157,-44.37882721660578,E,28.252773456369013,B,A,B,C,-128.09679140427832,1
Non-Veteran,B,E,-165.87746069616372,-128.0779322334323,C,195.99154710848933,E,B,A,E,-37.82990787389926,0
No,A,E,-86.41690918193856,83.53897754606069,A,-108.14507355982317,A,D,E,B,-180.54071922023581,1
Yes,C,D,-25.548806116708572,-90.01623411346623,C,-132.71334080943035,E,A,D,C,-30.272603904671076,0
Yes,B,A,38.11089009240276,-20.19240665747846,B,218.75860470685134,B,C,C,A,-83.09510369438887,1
Non-Veteran,C,C,-6.770370425619447,-2.0603992358446828,A,-27.731356878931347,C,C,C,A,14.552047903855438,0
Veteran,A,A,-7.329689180521845,-59.28988337335488,C,18.26244741348489,A,C,C,A,-151.62352922078674,0
Non-Veteran,C,C,164.0323041641299,-107.42001492677574,B,51.70222726741517,B,D,C,D,136.9135234884271,1
Yes,C,A,-68.63309746913569,54.95477826683969,C,-125.16040020840941,E,E,B,A,151.97059779242744,0
Veteran,E,B,-40.726033328288764,1.4503939334104443,C,11.241385234961628,D,E,A,B,61.40849050601518,0
Veteran,C,A,128.61670391460876,31.29998162516589,B,76.5594649433974,D,E,B,D,149.69677301370018,1
Veteran,D,A,-20.066068049470207,2.1273510401986604,B,-60.92436394330555,E,A,D,E,38.19428694825277,0
Non-Veteran,C,D,-58.12744268355069,20.81151522046606,D,-60.870139721042385,A,E,B,C,45.58905362052611,1
Non-Veteran,C,D,63.867758703333834,2.6159642454849115,A,-64.64052566621636,C,A,C,E,69.23457069399718,0
No,B,A,-42.09958385030369,129.64199505516154,C,-196.67084510603257,C,D,A,D,24.811985118029103,0
Yes,A,D,27.299988106054563,-87.32999743591371,D,181.38832478934262,A,A,D,D,-151.88784505048574,0
Veteran,E,E,-58.07587616356752,-174.055003131396,D,-213.36061178735423,B,D,A,D,44.151092677709975,1
Yes,C,C,-17.911776155233923,-94.6802385404416,A,25.11083859016978,C,B,A,C,93.03486268060298,0
Yes,D,D,-75.37906672917671,-66.3860005752793,D,151.080486695838,E,E,B,E,90.79730251469188,1
Veteran,A,C,18.89189226250928,3.825249668939613,A,169.5747336710823,B,E,B,C,94.46247432013321,1
Yes,D,E,-14.078598882195118,22.395799087489333,D,39.61424713530685,A,E,C,A,105.25731246998835,0
Non-Veteran,D,E,153.67780793323732,-243.91785749980133,C,7.963544448048672,B,C,B,A,57.568410799537176,0
Veteran,E,B,-182.76406960041018,68.37563880204625,A,-99.9776321522147,E,E,B,C,-80.42706615803917,1
Yes,D,A,-141.00709322209383,-55.8468011582251,E,-112.5111502132992,D,E,C,B,-27.95743142363228,0
Veteran,B,D,-0.055593630305803055,101.53186986885441,A,232.41517962490784,D,B,B,C,-3.8246226538454184,1
Non-Veteran,B,B,55.10402316737883,-119.29081665338268,B,12.496236866209003,E,A,C,E,-60.3821228870648,0
No,B,D,106.7510052937015,-110.62827523408725,C,-171.767792830428,B,C,D,E,33.71808443906381,0
Non-Veteran,B,A,77.36570592950326,-124.46876750093105,D,-179.81624825470377,A,D,D,D,36.51838611845554,1
Yes,C,A,-55.229638058095965,36.15285891502446,E,81.0075289456882,C,C,D,A,-55.84090807139649,0
Non-Veteran,D,C,118.2082324493815,59.231482757284894,B,87.76850315334305,D,C,E,B,-24.444161241612427,0
Non-Veteran,B,B,-132.76724991200092,92.36206284656376,D,-0.05767219542745893,A,E,E,A,-39.51009147245679,1
Non-Veteran,A,E,-70.74630135778072,-87.72884736710611,C,37.67253251132425,A,C,D,D,-44.414225487502854,1
Veteran,B,A,-185.97186209705126,171.72433567819624,C,105.16280945203533,C,C,E,A,-22.247303331096294,0
Veteran,D,B,-48.48978099101801,79.11358412576932,C,199.72769975510377,B,A,A,D,76.83606092990051,0
No,C,D,-194.93424688815747,7.757713918060396,E,163.26957964670015,B,A,A,B,91.55928270432916,0
Yes,E,B,125.8582781897835,-3.930642777515473,A,-52.720701223593494,E,D,A,D,13.506325888123003,1
Veteran,B,A,-8.889523778973754,-30.355643441270363,A,-201.2042723043402,B,E,B,E,106.32151175994548,1
No,A,B,-27.904400272172563,11.708763326941064,E,48.08278315921715,D,B,D,C,-58.093525722650455,1
No,E,D,-72.65650786639783,-57.67344489552373,D,-134.4859232753422,B,C,C,B,124.37165434400129,1
Non-Veteran,E,C,93.1805265925931,-21.81267280722835,C,12.790452499815286,E,A,C,D,79.84913823628281,1
Veteran,D,E,212.29912345088434,83.46522288926688,C,-48.45881065426438,B,D,E,B,136.3088300235882,1
Veteran,A,C,-149.0639311331856,190.24241656304375,C,-94.14535740556232,C,B,A,E,126.58497938047273,0
No,D,B,-34.155208432517355,-16.950987106430404,E,119.36620100973217,D,A,D,C,-72.51828148721859,0
Veteran,B,B,18.033417008787712,-189.18086573566887,E,122.776370709595,D,B,C,C,55.0784016815536,0
Non-Veteran,E,A,174.14740189460602,63.45864442709976,E,-13.328395305929835,D,E,E,B,-116.035756315459,1
Yes,B,D,-48.95701870078644,22.78171730944626,B,33.153831492940625,A,C,D,B,149.5223926981027,0
Non-Veteran,E,C,-99.6216651000877,17.19810261155013,E,70.36597820137658,B,E,C,C,-85.05069794179549,0
Veteran,C,B,62.67467981527338,-58.13311442600695,C,-122.51715864388837,E,D,E,E,99.82612189900847,0
Non-Veteran,B,A,47.2631925039293,-34.66247072926475,B,-63.363837136020365,D,C,A,E,-30.470169336585535,1
No,D,E,30.645394694792948,250.26227442812484,A,-16.476918629280465,B,E,E,B,19.149294264190644,1
Veteran,A,E,2.1403836467590516,101.00887290372927,B,-42.084381348667016,D,C,B,B,-20.062772133279953,0
No,D,B,40.073690862127755,-126.01881068381671,C,139.04370608549524,D,B,A,C,-195.50493377078726,1
No,E,B,2.9282482259684657,-81.85346296449474,B,-6.559668776906237,B,E,E,D,45.54770874512966,0
Non-Veteran,E,D,46.49767463074841,13.967879400089323,A,-84.18704474083532,B,B,A,A,-12.700287325940728,1
Veteran,E,A,126.24132619906896,100.15238241729097,E,106.91167625298014,E,E,B,D,-65.5632672528467,0
Veteran,C,A,-9.893484546274077,-125.46446115889916,B,75.53620519791939,B,A,C,E,88.31313967015065,0
Veteran,D,B,2.050455526019931,-73.09371591600417,E,93.54841593625409,C,E,E,C,-41.9502218025987,1
Veteran,E,C,98.85422584892319,-262.90704182763045,B,-100.55582662171689,C,D,E,E,100.48960013395056,1
No,B,D,-78.52276228019782,-52.42304054685534,B,16.086096846449994,E,D,D,E,4.341783958490345,0
Yes,A,C,13.457419893098985,185.36109805973638,A,-8.986925847665962,D,B,A,B,141.64599167774367,1
Non-Veteran,C,D,5.850363630363824,32.253542361420614,A,131.34600752675485,D,D,E,E,9.818650060485256,1
No,C,E,158.3257067738009,-56.19910742417523,B,-34.10375194014385,B,C,B,C,27.787876674524785,0
Non-Veteran,D,B,-125.31370542678309,61.024357296870434,B,77.1525051674083,B,D,C,D,217.86748250979494,0
No,D,C,-144.60988550443383,-11.749351118206624,A,-59.44696423062664,B,A,C,B,-124.34735252137399,0
Non-Veteran,D,E,64.1780530884909,225.89936736592736,A,-58.95867839325762,D,C,B,D,-25.05714263598572,0
No,B,D,-47.631986574436475,-62.34434880987333,C,-13.765301998132335,A,E,D,C,31.696441613971,0
Non-Veteran,A,D,-36.93334990405325,-165.68512205167232,C,85.3477864342253,A,B,E,E,-6.016791713097948,0
Veteran,B,C,-105.698716945074,-22.602754604406005,A,62.55002355745161,A,A,C,E,-68.61915169326764,0
Non-Veteran,C,A,54.605163501129695,-4.669663704219348,E,14.431988347671421,E,B,D,E,-121.85656176093045,1
Yes,E,C,66.07754354245354,68.23359660813145,E,-1.8979352238305238,C,E,B,A,-40.52152362552954,1
Non-Veteran,A,C,-33.477894977179304,-16.939491346866415,A,-9.556065018534158,B,D,A,E,-51.9731158276324,0
Non-Veteran,E,B,-52.27996121618455,-177.05141827175007,C,-160.66950555268252,C,B,D,E,64.90151618406348,0
Non-Veteran,A,A,-33.68990021881586,-80.37037346401056,E,-23.581021944940336,A,B,D,C,15.479255920992522,1
No,E,E,37.93031383838402,-270.93175695925623,C,133.77964269643857,A,C,D,E,48.51785328536057,1
Non-Veteran,D,A,72.41127641663438,-176.85276930028547,B,147.59128024458354,B,D,C,A,59.682719056696754,0
Veteran,A,C,-16.302575375997936,56.07053617612444,B,-30.271519390100387,A,A,D,E,114.18256439101113,0
No,A,B,-74.43043511030578,-245.82376836997355,E,263.9845564832613,A,A,C,E,-25.137852888405714,0
Veteran,B,D,-0.7697118724430239,-239.2284897567158,A,-50.023313108763155,C,D,A,A,184.91191130551195,0
No,C,A,-174.17124366612583,14.309993783823458,E,-6.198752331013127,C,D,C,D,79.1789434265168,1
No,A,A,-183.69447227198415,-36.99347374169028,D,-81.15310764894075,B,A,E,C,45.96445043019237,0
No,C,D,-43.917986202286386,-167.22202382864464,B,-133.8885088288253,E,D,D,E,-61.292875402088335,1
Veteran,C,D,139.6881832848045,-103.69087230598133,A,195.33666509558913,A,A,E,D,-59.523153463318515,0
No,B,D,78.21608437588844,-61.95264255487233,E,55.76175570539218,B,A,B,B,-95.18744996010248,1
Yes,E,E,1.2750561134188008,-115.3215554946127,B,-27.644466198006878,A,D,C,B,-98.71865592955125,1
No,D,B,-28.667553563435,178.96576796060256,A,-38.58490011255379,C,B,B,B,-38.200177014352874,1
Veteran,B,E,70.3571652283947,-7.328385914623152,A,115.99254306201362,E,D,C,C,40.11197226151456,0
Yes,C,A,37.24039694800277,52.8266136311552,C,147.35086582358002,C,D,D,E,-121.00088875770032,1
Yes,D,D,-85.5084304242828,58.28118941722622,D,115.97182174351128,A,D,A,D,-67.74273501586838,0
Veteran,E,C,-93.82257399550232,82.76127364441436,A,28.82383817455509,B,C,C,A,-52.56174330486495,1
No,C,D,90.88607828124898,-18.31103148044939,A,5.2464138933692475,E,E,D,A,78.61498692375369,1
Veteran,B,C,2.8098629516481464,-5.749926086113763,D,23.73356755894333,B,A,C,B,14.57923294103575,1
Non-Veteran,E,B,-114.43959328185474,9.90241260747824,A,-113.20650901983709,E,B,C,B,-110.98038010633921,1
No,D,C,-45.219705253837326,-115.39711279038694,A,178.5377529698763,B,B,D,A,-30.7352492479695,0
Non-Veteran,D,C,58.57907536784587,34.12233147691326,A,61.39469825811852,D,E,C,B,73.68895096009675,0
Non-Veteran,E,B,45.371899085132995,19.68690734593106,C,72.55864138991932,D,B,A,E,-109.62143995885268,0
Non-Veteran,E,A,-30.802836054704496,229.76613610655764,C,-66.07828326444812,D,E,B,C,94.88858972645686,1
Non-Veteran,D,E,-134.26497401806245,-14.035176348568731,B,-9.803626798053164,D,D,B,A,187.08335039508594,0
Yes,D,C,-187.16671779848363,53.92431146984155,C,50.702188335238965,C,A,D,C,-3.5098214004886614,0
No,D,E,-50.25719177419181,-74.09562801813357,B,34.09847906339136,E,A,B,A,156.64388202665282,1
Non-Veteran,A,C,46.36126142075404,27.818338030704915,D,225.90380003834412,B,D,E,A,131.86978898881839,1
Yes,B,E,52.79613206500978,-158.76764166545016,D,85.24345595025054,C,A,D,B,-24.987467854721363,0
Non-Veteran,C,B,48.60237702562713,68.98782014707832,A,-74.1972542095245,B,C,B,A,-77.19698170862613,1
No,E,D,4.5482144313133315,210.0067035657476,E,43.53432565978094,E,E,B,A,-12.105930170831575,1
Yes,D,D,-102.40716740157647,-56.96462880492867,D,-63.865100496283475,B,E,E,E,-38.488600257106455,0
Yes,D,E,250.21683393723245,-6.925862819820374,C,-54.73990650140171,B,B,A,A,20.89147611276167,1
Non-Veteran,C,B,-52.00970400637631,-139.0836753412571,A,37.11991427544304,D,C,B,C,216.27987820979922,1
Non-Veteran,D,C,24.220270304102964,-171.70732993069237,E,-85.46517233931192,D,A,B,E,116.11528134838281,0
Veteran,E,A,-108.76020078740336,-144.6729609381508,D,129.63113858081695,B,B,E,A,3.8009847751387147,0
Veteran,C,A,-74.55458947946167,-82.26480832588776,C,84.7653361353104,E,E,A,C,-25.11955975258929,1
Veteran,E,C,135.88030979183785,103.22171679114656,C,53.59424352633974,B,B,B,C,-69.47778150695252,1
Yes,C,E,-52.01597571838057,-207.2945224127562,D,-31.764706387140894,D,A,D,E,-60.271975934698354,0
Veteran,B,A,141.0817371321597,43.892059768311306,B,154.44167778503908,D,D,A,E,-20.963120606131287,0
Non-Veteran,D,C,12.819831673436575,-122.13581941951377,D,-31.20321336886245,C,A,D,C,68.9183931322151,0
No,B,C,-161.96843598887423,7.8640770396741155,A,-34.92948787194043,B,D,B,B,23.32892663230561,0
Veteran,E,D,-59.69042431774321,48.388947556783165,A,202.05224650829302,E,A,C,B,2.6029453171319195,0
Non-Veteran,B,C,9.078743083093324,239.69635881474053,C,63.23154000081593,B,E,B,B,56.68933592257297,1
Non-Veteran,B,C,-10.087532870299762,40.75865492078286,E,89.26978978591666,A,E,E,B,-35.98304703299432,1
No,A,E,-57.79465540937908,186.51221863283206,B,-2.801214924250596,D,E,A,C,27.124627035818293,1
Non-Veteran,D,C,-13.700783436177755,117.50458596176681,C,-21.818409354403602,D,C,B,E,-131.56784005173702,1
Non-Veteran,E,E,81.32834674192031,-59.092643814146214,B,76.93967755138245,B,E,E,C,-110.70033576566576,1
No,B,A,104.46340441215713,7.677006073946305,B,-95.87409609415187,B,A,A,C,116.97718228853755,1
No,E,B,48.8405406546551,5.517098310988947,E,-48.968680902780534,D,C,D,D,-235.19067580285446,1
Non-Veteran,C,C,24.910521476621962,156.21801069383162,E,-10.951625956238143,E,E,C,B,-115.36308715258397,0
Non-Veteran,B,B,25.250900169017555,-75.67458258776881,A,-36.624558013289644,D,A,E,E,-180.78376228743664,0
Non-Veteran,E,E,-109.37980089391772,-40.65324846048565,A,108.86660807802922,C,B,C,A,82.73099620830445,1
Yes,B,A,-18.140184619674056,-185.9583011888763,B,59.555893788977,A,A,C,E,59.69559337452428,0
Non-Veteran,D,A,28.487259426576035,126.74547697637806,D,-37.74024431522999,A,D,C,E,-124.77710987544417,1
Yes,E,A,86.94286030927357,-60.478824591413115,E,133.41619965774208,A,D,B,B,155.0075675633959,1
Non-Veteran,D,B,-72.03781710195157,-153.21406646840876,A,1.7835134070740846,B,A,E,D,-38.76970855286,0
No,E,B,-95.78420648515473,-215.36486486377817,D,69.3603518512839,D,B,A,B,-110.56492786704848,0
No,B,D,-150.18150423325278,41.862304183134576,C,-40.21238408863097,E,D,E,C,-32.76173447819626,0
Veteran,B,E,-7.797175373578118,-103.09121486785662,B,-16.121943524866534,D,E,A,D,12.502613759266787,0
No,A,E,208.59452976089136,-161.224445528631,E,-17.4450082715535,D,E,D,B,20.679938087042895,0
No,E,B,-23.391287603119753,75.29056877090304,C,-62.6809354197037,E,A,D,D,-124.47414597596389,1
Yes,A,C,-81.74178318387905,-164.72254677147706,D,71.78715527509925,E,A,D,C,-43.80861134295463,0
Non-Veteran,C,C,-120.63005872876423,67.90781745562533,D,-266.72698021430784,B,E,B,A,-102.8835216714734,1
Non-Veteran,E,D,69.29554503238448,1.5416390009818706,A,-77.62299359560237,D,A,E,D,16.176422569308116,0
