marital_status,ethnicity,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Divorced,Asian,Other,27.375401994412922,D,-122.86109510603664,E,C,82.60699871068854,D,C,B,34.468077745993206,0
Widowed,White,F,-49.40728183156775,C,-21.367339285019405,D,A,73.09836018783764,E,B,E,-15.791705369781099,1
Divorced,Black,Non-binary,-93.10053000002088,E,-8.023519376839676,E,A,-87.17431897605937,D,C,A,-213.32300579734905,0
Widowed,White,F,17.211650856365345,C,-154.14448708343917,D,B,145.4690726121714,B,E,D,-54.09431149322723,0
Single,White,Male,-35.313409610257864,C,147.5981947785869,C,B,125.73218671327677,C,B,B,-139.37730021342082,1
Widowed,Hispanic,Female,-35.082256737942906,B,-40.54026371228608,D,E,17.041372846184476,A,D,D,25.71833925911144,0
Divorced,Black,Male,-7.833875565023329,A,140.1323888278536,A,A,-232.26620622953092,C,B,A,-2.3731373232525916,0
Divorced,Black,Non-binary,4.890964181158606,D,9.908883504300277,B,D,123.33081296695174,C,A,A,60.59164279115726,1
Divorced,African American,Non-binary,-90.33838143682821,B,-297.6556311624643,D,D,-29.04543372870766,A,E,A,35.1498596102044,0
Widowed,Hispanic,Non-binary,-10.189003779824537,D,-88.81334469505728,D,C,-93.7173824228436,B,D,D,14.29695013011933,1
Married,Hispanic,F,77.84989606951365,C,122.55563280593893,A,A,43.11212042684423,D,C,B,50.95480291887405,0
Married,White,Other,324.6049826776163,B,-24.741127453139157,C,E,-129.11366210797178,D,B,E,-95.36215948687283,1
Divorced,African American,Non-binary,-14.4700858384683,E,154.68380612308889,B,C,-71.02829040644689,A,D,C,96.17853462375237,1
Single,Other,M,-12.097091033197787,E,35.02421632990708,B,E,120.06864245728381,C,B,C,38.06133116487841,1
Single,Other,Other,85.5273264679555,E,181.58596052566537,E,D,-65.56843574369078,B,D,D,-108.66187916469876,0
Single,Black,Female,-226.5859564492435,B,41.56004201258527,D,B,-96.69443182189526,D,B,C,-59.30584148295516,0
Divorced,White,M,-185.6661365854786,C,-164.58053471186895,D,B,5.614765083939059,D,C,B,-82.3992746597073,0
Married,Hispanic,F,76.31590738348561,C,-110.2372186939578,A,C,14.634468741097825,E,B,E,-116.81694164390059,0
Divorced,White,Female,-44.74171435834118,D,-37.11627870216772,E,C,-152.8075403150281,C,C,A,45.623507730299195,0
Widowed,White,Non-binary,-73.69499797853763,B,-87.79755602933938,E,D,-91.46322501887136,C,B,B,-80.04343378849842,1
Married,Other,Other,111.67867662277374,B,76.11209589187075,A,C,26.85086194651743,B,B,A,-122.4717423026421,1
Single,Hispanic,Other,-73.16039948104475,C,155.68031475006882,A,A,-321.9072050843427,D,B,E,26.793478621414497,0
Divorced,Asian,M,104.00308806654948,D,236.1354090156946,B,E,34.5491300501375,E,B,B,140.02370147186727,1
Divorced,Other,Female,0.760511419581048,C,-33.10440502645729,E,A,221.42874114515752,C,D,E,-24.197026117911367,0
Widowed,White,Non-binary,-9.363196316918813,A,30.20317161680064,E,E,-4.564037660668271,D,C,C,-8.358401395046181,1
Widowed,Other,Other,-91.46883476660514,A,28.809056237674973,A,D,-116.1891010022789,A,E,E,-188.611022437079,1
Widowed,Black,Non-binary,81.55675335145878,B,-69.0869179689488,A,A,59.24577378740331,D,C,A,90.53063457153388,1
Widowed,Hispanic,M,44.217532085591635,C,-4.079634053359124,B,C,-78.72125946974764,E,A,B,111.65559371050513,0
Divorced,Hispanic,Other,-74.30155444745135,C,96.25517813757507,E,E,92.2072685629107,D,D,A,-44.620605084788195,1
Widowed,White,Other,-18.09118871028975,E,49.479555659518574,D,A,108.3659456473637,B,C,B,-20.683576324565774,1
Widowed,Other,M,79.34860458739385,B,-8.579394273995767,D,C,-50.93966919606628,E,A,B,-10.022823738551788,0
Single,Black,M,48.64573388027259,A,-66.2754452570873,E,E,5.829327543064093,A,C,A,-3.0723393761867066,1
Widowed,White,Non-binary,163.80757685283845,B,122.84755354155139,D,E,22.285318615387464,E,C,C,-61.69804797145887,0
Divorced,Other,M,-51.86572625567871,A,-5.655163219968584,A,E,128.871560024636,C,A,C,-90.97293851646579,1
Single,Hispanic,Non-binary,10.021757335939936,D,30.18565594301366,C,C,209.91858409667984,B,D,E,70.8143681989146,0
Married,White,Non-binary,277.2960809717998,D,5.145337039981193,E,C,33.071674094544235,E,C,C,-21.273006195658102,0
Widowed,Other,Non-binary,-29.21884077650658,C,-159.62208274649305,D,D,110.25804603706078,B,B,D,30.592920250311867,1
Divorced,Other,Female,183.04007875725853,B,10.004755413419979,C,D,2.53364145235899,E,B,D,-26.69170788392705,0
Single,Black,Male,-26.08868741450639,B,-104.86409403431132,A,C,158.989045382274,E,C,B,6.078367478049871,1
Divorced,African American,Non-binary,-147.79828011614615,E,-12.522224606948345,B,D,63.186685497058924,E,B,C,191.78562761294003,1
Widowed,African American,Female,57.71141004658203,D,-101.49633270204986,A,B,-180.830526150329,C,B,E,-19.16280638568451,1
Single,Black,F,128.72913734919683,E,-63.278488131922536,C,C,116.54532929949868,D,C,C,-6.236504993647833,0
Divorced,African American,Non-binary,-166.2508517109822,E,93.09328646053653,C,B,-66.66549703687868,E,E,C,67.17557332088319,0
Divorced,Hispanic,M,75.5738632244993,C,104.2052809355845,D,B,30.94658927703217,A,C,D,75.39516530122863,0
Widowed,Black,Female,116.3603125357415,A,-87.25313135069035,B,D,-136.77837339945427,E,C,C,214.66350280308316,1
Divorced,Asian,Male,40.96955214744709,B,43.56481074585748,E,B,10.667240340831844,C,C,A,68.94544102183511,0
Divorced,Hispanic,Female,95.77882208298571,E,-107.19057466409647,E,E,39.14407873125646,C,E,B,228.5596726505259,0
Divorced,Asian,Female,-50.681942631446574,C,166.8074429989475,C,B,-194.03527926069972,C,D,D,-266.52601629854786,0
Married,White,Other,-2.990132137261418,D,-30.292269518961707,D,B,-19.284891653890792,B,C,C,-21.97615021535784,1
Single,Black,F,97.14346375902517,E,-39.273735803156725,A,D,-52.44882252180162,B,B,B,67.73428426331337,0
Divorced,Black,M,21.426969681666932,B,-109.74991488215589,B,C,-56.04568786731415,D,B,C,-6.55736278713693,0
Divorced,Other,Male,43.053352960372685,A,-125.99042492383799,E,C,92.6595853739311,D,C,D,0.8940308382264104,0
Divorced,Other,M,-193.99750381075424,E,-24.265717289434477,B,D,-116.49310981797134,E,D,C,-179.94213402281838,0
Divorced,Asian,M,-20.006440243566185,A,-119.00550042798477,C,E,-127.41666639740296,E,C,C,74.56401994727328,1
Married,White,M,241.66795886883904,A,-6.5997834828050275,B,C,-41.9490803077445,C,C,A,80.51600077872382,0
Married,African American,Male,-105.52706437021735,C,152.01545655456277,A,D,-38.580746147292245,E,D,E,-84.9245907753856,0
Married,Hispanic,Non-binary,-134.54322225643045,E,70.10565574634549,C,A,-31.627784320811177,E,E,A,-70.05031368713273,0
Married,Black,Male,10.237390686329176,D,-34.15148264528989,A,E,-1.0928677664206656,B,B,D,70.93001638005096,1
Married,Other,Male,-145.0753755094518,E,-99.7663682106367,C,D,-22.07561997937732,C,B,B,208.65195407837595,1
Married,Other,Other,107.94368591560526,A,50.5809592837897,E,B,-32.00584376848011,E,D,B,106.87092477442688,0
Married,Asian,Female,53.89396201938017,D,-106.31422942585358,D,D,37.12385239179672,E,C,A,-57.0838572119529,1
Single,Asian,Non-binary,86.26501206792287,C,3.9627766161152094,C,A,170.20095228119757,B,C,E,-47.37273133908985,0
Widowed,African American,Non-binary,-114.40002894053782,C,32.998572794884396,C,A,-220.57172594219577,A,B,B,-9.289457474580043,1
Divorced,Asian,Female,-78.05691303563529,E,146.1800649681814,E,D,-58.34086046594851,C,C,D,78.58368265029391,0
Widowed,Black,F,200.6064530029033,E,187.5666438201743,D,E,-83.63721095246805,E,D,B,-208.30769610159558,1
Single,Other,Male,107.45216239130211,C,105.97127023419029,B,E,-43.34172011813638,B,B,C,-82.93469968398661,0
Widowed,African American,Male,16.52775734757578,A,-10.318499908027166,C,B,-95.62505869943669,A,E,E,-62.106562924348474,0
Divorced,African American,M,192.4603887746608,D,-121.44307767317044,B,C,264.5669514770879,C,E,A,-85.47237091251736,0
Divorced,Hispanic,Female,21.93524260706779,A,77.31740265106252,B,D,6.940325123710816,A,C,D,143.49605368909522,0
Divorced,White,F,102.51251030399318,C,-129.12608639297017,C,D,-239.74291211265015,C,E,D,-71.63846100430888,1
Single,Other,Non-binary,37.43687156471399,D,-138.8722800463615,D,E,-90.51293277130982,B,E,E,44.9098924364071,0
Married,White,Male,-33.284402616626565,D,154.5290905818788,C,D,301.489166566918,C,A,D,-4.7519642984903845,1
Single,African American,F,54.700531295275404,E,216.53274522263172,A,D,-27.550922206007805,C,B,E,-162.39134209496675,1
Single,Other,Female,-64.27027194729237,C,74.96758838370808,E,B,64.63568148058579,D,D,A,-64.61011991273621,1
Divorced,Asian,M,-88.02706166974369,A,-91.94398607982477,E,C,81.578944395856,E,A,D,-139.6230828150613,0
Divorced,Black,Other,65.1508707281256,B,23.067787931405828,B,C,-19.765692054193114,B,D,D,11.66259301640613,1
Widowed,Hispanic,Female,71.03102282628481,E,180.41497065754086,D,B,19.171805696140282,B,D,E,-117.17621803508153,0
Widowed,Black,F,-92.41105105431375,D,-220.70201617119287,E,A,58.1482257116415,A,D,B,45.64845621810733,0
Married,Hispanic,Male,-256.59189112397445,D,-98.71098306098035,A,C,89.82327151439416,A,C,E,-18.926419169124113,0
Divorced,African American,F,-266.03158938416595,E,165.378569017835,D,B,-8.971801431457294,B,C,C,-65.11405924913012,0
Divorced,White,M,1.002690285756661,D,62.02982108792974,E,A,-186.6357076092773,E,D,E,-35.58957155144879,1
Single,Asian,M,-143.6563918138762,D,-21.31928426049629,E,E,233.61862224192726,C,A,B,-0.8067989820733188,1
Widowed,African American,Male,-3.215427577543365,B,1.0425890891744651,E,B,85.11241037705535,C,C,B,-65.56780363664357,0
Single,African American,Other,-151.88109490366185,C,-25.33265430779567,B,C,-16.83430094737949,B,B,A,-59.87733579152654,0
Widowed,Other,Male,-70.18940647332686,A,-132.90558813427182,D,C,-25.964998689857914,D,B,C,-165.2628942327662,1
Divorced,Other,M,-209.9059900439164,A,58.84770648332404,E,A,90.46543711001769,E,D,E,-206.34921714470002,0
Widowed,Black,Other,-21.641365727697163,A,190.05899791767774,D,D,-144.16972920107807,C,E,B,12.30208643460189,1
Divorced,White,Male,-237.23834862087037,C,184.67531277271044,A,A,99.93001695366195,D,B,C,171.11659180222054,1
Widowed,White,F,75.43396481965387,B,-157.78169536365328,A,C,-74.22372827278514,E,D,D,-49.327129591810916,1
Widowed,African American,F,78.98250043208944,C,119.45149452136823,D,B,-57.41239043846377,D,C,D,-85.06384942365186,1
Single,Other,Female,-129.77627893294382,B,9.554592353018734,C,E,-109.50302826444276,D,B,E,93.59573929490091,1
Married,African American,Other,-60.61238979009684,D,-37.479022870348274,D,C,37.83177240927196,A,C,B,6.6511037732892895,1
Married,White,M,36.78497636734366,E,79.36521955105053,D,A,-48.13019141076699,D,B,C,-6.558340551226369,0
Widowed,Asian,Male,-34.07720087051144,C,2.0492956672424345,D,B,88.68648971344557,A,E,A,176.57930501278912,1
Married,White,Male,57.10922116433228,E,135.0240056349759,B,B,69.62171652868344,D,A,B,58.21095443612479,1
Divorced,White,Non-binary,-313.2417760120661,A,-28.40664379701926,D,A,-181.8451292895534,D,C,A,33.9259661804077,0
Divorced,Asian,Other,-36.866550923544196,A,-170.29625621102724,B,C,8.577504515301806,C,E,C,-102.37068048823792,1
Married,White,F,-8.841032468725253,D,99.34757899909633,B,C,-67.40631637975267,B,A,D,-85.16132039779848,0
Divorced,African American,M,-110.0660980164528,A,81.69403422612294,E,E,6.279089051994931,D,C,D,-197.94113509090025,0
Divorced,Hispanic,Female,52.68568798875607,C,135.3356823737061,C,A,13.987809059824356,C,E,B,-147.72880136553746,1
Married,White,Non-binary,48.077825016855826,A,43.80343275115256,C,E,148.4329798254438,E,E,C,94.75465333355297,1
Single,Other,F,128.76551887075064,A,-190.9237016233799,A,C,18.669463375033207,E,D,B,-2.593065358518415,1
Widowed,Hispanic,F,108.16148935651839,A,74.99171450375664,B,C,-130.53270822875965,A,B,A,-141.35733815448756,0
Widowed,Asian,M,27.174008372996727,D,-64.7333707104791,B,A,21.42239217323066,A,E,B,184.96304710083697,0
Married,Hispanic,M,118.18644102896508,D,-48.53229229395354,B,A,95.50577824360259,D,C,A,-118.38616662299151,1
Divorced,Black,Other,-37.263097956967556,A,-38.42126164043679,B,D,-72.21862722206339,B,A,A,-63.032511573218905,0
Widowed,African American,Non-binary,-4.251963488917849,E,-44.47443289485444,E,E,53.05932938019371,E,A,C,-144.79189705898477,0
Divorced,White,Non-binary,-52.54628428083684,B,46.71221117159066,E,B,-25.38255884419763,C,C,C,5.934002863516373,1
Divorced,Asian,F,-22.685057717464936,D,-76.14644079806881,D,B,-62.070706263810614,D,D,A,29.82140188397934,1
Widowed,Hispanic,Other,-128.23057855577468,E,73.36252153744066,A,C,40.743152449947885,A,B,A,-88.78827574318193,0
Married,White,Male,159.0403144289472,A,-88.08473041387245,B,C,-171.90697251271243,E,C,B,-45.31824194585873,0
Married,Hispanic,Other,-14.135457016937423,C,47.065229417900696,B,C,104.67169494852533,C,D,D,129.73815234395195,0
Married,African American,Non-binary,66.82005464486609,B,-59.03420987353386,E,D,-29.358183007621346,C,B,D,78.56593148473753,0
Married,Other,Male,-85.22800374255382,D,6.184715286415039,B,E,27.43828911358151,B,C,E,-175.316488222849,1
Married,White,Female,-52.52394005167639,D,-161.92884273321025,A,A,144.30761469989304,D,B,B,135.4503405950225,1
Single,African American,Male,-27.419113647917566,C,2.7070676142776082,D,E,-121.04355028063824,A,C,B,-110.03276275187655,1
Widowed,Other,Male,33.124195434666035,A,-162.63474796395295,A,D,-70.06434449164301,D,E,C,-53.19009607585878,1
Widowed,African American,Other,-37.061026740375105,E,65.8625826524792,B,B,41.398138910637805,D,C,E,-18.007617634852007,1
Widowed,White,Other,144.1606749182801,D,166.15138535381857,B,C,-43.54153030621834,A,D,E,72.47713587696192,0
Divorced,White,Other,129.9858866837966,D,-46.469389894463504,B,E,24.24723090502395,B,E,D,80.52130936983711,0
Married,White,F,-50.06745178275208,B,51.81369073229162,B,B,-145.60633760371638,B,E,E,-147.61755797748225,1
Divorced,African American,Other,-36.664168116862506,E,56.18794974729809,C,D,-135.69809660391425,A,C,A,-109.07520604883535,0
Widowed,Black,Other,-101.16295821037646,B,-181.3687923098004,B,D,45.51413197250327,C,C,B,-1.5280867842336514,0
Widowed,Other,Female,68.99807775110675,E,-109.97390454837337,D,E,-58.822473134917566,E,B,D,193.65589029745652,1
Single,White,Other,26.408220396696024,B,-21.24903820610306,A,E,-88.26748422042424,D,D,C,-24.671919906193658,1
Divorced,Asian,F,-234.63434793596895,E,-86.90688843212305,A,A,-82.23588508900565,A,E,D,-31.023804482560553,1
Married,Black,Other,53.73139288430009,D,-120.41767856197978,E,C,-34.97034590223027,E,A,A,-8.506921413869941,1
Widowed,Black,Non-binary,53.58056997893006,E,-74.87377268914634,A,D,47.041203435565684,D,D,E,41.437011501235304,0
Widowed,African American,Other,-36.64762995147416,B,132.91815607427867,E,B,175.7242970314987,A,C,A,-66.283008958159,1
Widowed,African American,Male,137.751016502945,D,90.67471260802697,A,A,-166.5506590129733,C,A,E,86.89657975661966,1
Married,Asian,Non-binary,25.646118699091296,B,42.15809419672467,E,B,89.60740741826963,A,E,B,67.13031977008865,0
Divorced,Other,M,168.3390081197919,C,116.95371404632895,D,A,81.22520781977323,E,E,A,-118.9554098239063,0
Single,Other,Non-binary,-84.98421537246128,A,-140.9812110477901,C,C,-175.64936665357968,E,E,A,-140.1259630009448,1
Divorced,African American,Male,39.74158378951969,C,77.68900791199493,D,E,-30.022369868436314,C,C,A,-135.50516395980748,0
Married,White,M,-41.6710625218194,A,207.63132224032663,D,C,8.846859688889696,D,E,E,-33.36500259438659,0
Divorced,White,M,1.0006021753191854,E,150.3201021858652,A,A,65.79757481328643,B,C,A,101.83120252696519,0
Married,Black,Male,198.73197746213478,B,96.82612853503157,C,E,-105.74507640005608,C,C,B,-103.90074519655774,1
Married,White,M,93.34167712044719,A,45.414963625012625,E,A,29.48129954731453,A,C,A,2.7252310419525196,1
Widowed,Black,Non-binary,25.712631959315118,E,-58.42631512071803,B,C,-249.3379305323091,E,A,A,-147.60940435669553,1
Single,Hispanic,Other,-179.1265153225821,B,-146.27132715517092,A,C,-96.42304669713482,A,E,D,-86.1415953439968,1
Widowed,Other,Male,163.22668982074146,D,83.63850325816196,E,D,152.06109840619416,D,D,C,-104.43598865394914,0
Widowed,Black,Male,126.4414397819659,C,150.63849094402985,B,C,-159.5343952659154,B,D,D,139.35073592024625,1
Widowed,White,Female,-57.291328582401725,E,62.781834400049185,A,B,25.532256568575985,C,B,A,-50.980062981945274,0
Widowed,Black,Female,120.45772159625426,A,-13.402500203408904,B,A,-76.35969262218197,A,C,C,-72.3327475171768,1
Single,Asian,F,4.048092752800179,C,-190.50489716174107,B,D,84.75440633976599,A,D,C,48.713560933005,0
Single,Asian,Male,-155.35209960785116,D,-185.55208745628812,D,C,172.42760801953986,E,C,A,84.83273912752527,0
Widowed,Black,Male,-63.55938759949563,A,-272.21890557474717,B,C,-55.02593706179151,A,E,D,-112.94146248981815,0
Widowed,Black,M,49.14824895192173,E,141.40785151288594,C,D,118.00471066458633,E,E,C,-64.17068371322408,1
Married,African American,M,-63.23135052909195,B,-47.03623340480208,D,C,-19.20849939152951,B,D,D,-34.802504969236004,1
Married,Asian,Female,44.74297116685697,D,-146.35637502115856,E,E,-53.426824601734126,E,A,B,91.25122719774544,1
Married,African American,Male,11.94097328114298,E,-126.05356717900705,B,A,31.818946314075447,E,E,A,4.592202859618608,1
Divorced,Asian,Female,0.15825199986885954,A,-16.915687571617944,D,C,5.882038256622138,E,C,B,-188.02290589782635,0
