nation,religious_affiliation,Veteran,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Germany,Other,No,Married,-41.449854725513845,-81.62794072147513,B,C,60.05613530191346,C,D,0
Other,Hindu,Yes,Married,-92.08640116062898,-26.661568637754623,C,A,46.15885238562237,A,D,0
Other,Buddhist,Yes,Married,-97.82531586565939,90.48643753990085,B,D,-93.06917063852484,D,B,1
US,Christian,No,Single,-15.800344662660171,14.560939140233145,A,A,-73.62548612045805,A,A,1
US,Other,Yes,Single,11.106613970517438,-110.2401057502985,C,A,71.85872963054774,B,B,0
China,Christian,Non-Veteran,Married,94.64186862322757,91.18277446103357,B,B,76.16226323023527,E,D,0
Other,None,Non-Veteran,Divorced,-90.31683946667076,21.25500013589157,E,A,13.122613936579974,D,C,1
China,Hindu,Non-Veteran,Married,12.404788086356758,-27.482953361109345,C,A,-42.9039432624435,D,B,0
US,Buddhist,Veteran,Married,-21.497088023747214,244.59631928883917,C,C,50.92047795880569,B,E,0
Brazil,Other,No,Single,58.649042432252564,135.65053467179578,B,A,-19.515887751964307,A,C,0
US,Jewish,No,Widowed,-8.576941355829904,-166.0856252398116,A,E,-9.177570378026179,A,E,1
China,Hindu,No,Single,32.49865803190748,101.27715493315013,D,C,49.04407916524491,A,A,1
Mexico,Hindu,No,Married,-67.94360549746476,-69.16982061358708,A,C,-66.53384581452087,D,A,1
Germany,Hindu,Non-Veteran,Widowed,-136.33443325958382,-19.792416524296765,C,D,-50.4982988006106,D,B,1
Mexico,Jewish,Veteran,Widowed,66.8367686397,201.5468117208575,B,D,-38.21188204259147,D,C,0
UK,Hindu,Non-Veteran,Divorced,30.86022404202688,78.89335126546689,D,B,64.25835453672036,A,D,1
India,Hindu,No,Widowed,71.67608898128081,-116.04929376347697,E,A,140.24496807088477,A,B,1
Other,Jewish,No,Divorced,-69.61646162063087,-20.060905657834606,B,B,145.40753975511672,C,A,1
India,Buddhist,Yes,Married,-6.296311812471994,-25.415252155114736,A,E,47.35599902408346,C,E,1
Other,Christian,Non-Veteran,Married,-9.880496516624966,-164.07053434636936,E,C,142.74568862616988,C,A,1
Germany,Muslim,Non-Veteran,Divorced,103.35789531637809,-209.29464831382884,B,C,21.555299299440886,E,E,0
Other,Other,Veteran,Divorced,254.96860516901813,36.97091440678574,B,A,23.988654828261737,D,E,0
Mexico,Muslim,Yes,Single,183.02253548759978,-1.1284475573444412,D,C,15.183576878744729,E,D,0
UK,Christian,Veteran,Divorced,135.92955471941897,27.89342614862108,A,D,39.51015620627875,B,E,0
Brazil,Buddhist,Veteran,Divorced,185.46274146876527,-69.76503625291463,A,A,16.41682546766735,A,B,1
Other,Hindu,Non-Veteran,Widowed,-40.677413984040264,-106.54021824944107,E,A,77.40058008497529,D,D,0
Mexico,Buddhist,No,Single,75.13674333759839,-25.986023949291727,E,B,45.33509045313014,D,C,1
Other,Hindu,Non-Veteran,Married,-103.56997734810147,-67.55156167826368,E,A,179.3480206135007,B,B,0
Germany,None,Non-Veteran,Married,-52.2479154644057,-15.884675213767371,C,E,111.26309990580829,B,D,1
Other,Hindu,Non-Veteran,Widowed,169.7403487798848,4.064048860544938,A,C,10.934516908673968,B,A,1
India,Muslim,Non-Veteran,Married,70.6209669058741,-156.36002063899323,B,B,-144.20886035418414,A,E,0
Other,Other,No,Single,39.20059049763962,-82.81315199493132,E,C,-15.454793457823163,B,D,1
Germany,Jewish,Yes,Single,260.8308190165786,10.220443751815342,D,D,-42.27830305089225,E,C,1
Germany,None,No,Widowed,-94.32497385852727,89.17223871798586,D,B,-151.25810274044187,B,D,1
UK,Christian,No,Single,-121.44194730531821,-19.017446436257686,E,A,-36.720622090188556,E,D,0
Germany,None,Non-Veteran,Widowed,4.753802856085274,71.02944084864224,C,B,-131.13340113061417,E,B,1
Mexico,Buddhist,No,Widowed,-40.21099912412102,162.97721309046526,B,D,-173.23999932562847,C,D,1
UK,Jewish,Veteran,Single,-58.654244445590955,-29.898498689878444,A,D,35.00049155678025,D,A,1
India,None,No,Widowed,28.744732456313944,128.45053563274183,A,C,92.95411423485253,B,E,0
Mexico,Jewish,Yes,Divorced,-47.70537779021791,-20.424788471489617,E,E,169.18303550493076,C,B,1
China,Hindu,No,Divorced,-35.22520352211874,-49.354625479558955,D,A,19.707116343969574,C,E,0
Germany,None,No,Divorced,-155.2562852244057,160.4298870104162,C,B,66.8765270945699,E,A,1
US,Other,No,Married,196.02993620929888,-159.15420001266776,B,C,-48.367862318411944,B,B,0
UK,None,Yes,Divorced,-178.1600612483342,-8.169693375138989,B,C,62.7801414558261,B,C,0
Germany,None,No,Married,31.46019173881957,-28.91319694243703,E,D,111.07107253953785,D,E,1
India,Jewish,Veteran,Divorced,-106.46005194915591,-68.67822389988396,E,E,-42.320692728266316,C,D,1
Brazil,Buddhist,Veteran,Divorced,-108.2102040453749,-131.9779213120703,D,B,-11.472374784139257,C,A,1
Brazil,Muslim,No,Married,-167.6505997526781,108.74479657537009,D,A,37.60745173454662,A,B,1
US,Christian,Veteran,Single,15.61620113311342,-101.07785493084924,E,C,-95.10382101919629,C,E,0
Mexico,Other,Veteran,Widowed,-152.7394259942183,281.4720021441889,E,E,-161.4989257511422,A,D,1
Mexico,Muslim,No,Single,-73.44609359274116,-11.263269370435916,A,D,-74.07667184560184,A,E,0
China,Jewish,No,Single,-79.62094703725212,-169.2160656842403,B,E,-169.89718133376545,E,D,1
China,Muslim,Veteran,Married,-18.141703299098463,14.893133620061997,B,B,185.45933092662537,E,E,0
Other,Jewish,Veteran,Widowed,-4.078721444897824,-105.04139767451959,D,A,-40.3829549376468,D,C,0
China,None,Yes,Divorced,52.17078347157447,-16.390494913535267,E,D,5.145779256711976,C,E,0
US,Hindu,Non-Veteran,Widowed,-95.03965202778414,59.06850464011511,C,D,55.39844725875695,A,D,0
Other,Muslim,Veteran,Widowed,31.464800450285818,-21.965856167770248,B,B,-78.67417992313949,C,E,0
Brazil,Muslim,Non-Veteran,Divorced,-82.91712923321415,147.74663290319236,B,B,-100.90763472117037,A,D,1
Brazil,Hindu,No,Married,-77.87879303672234,32.93980751178709,A,D,266.2099690148563,D,E,1
US,None,No,Single,215.95744278797255,19.785280215012886,B,C,50.48792179014525,E,A,0
US,Hindu,No,Divorced,-91.9326430450914,-44.19727021160168,D,B,103.2234608788064,C,C,1
China,Muslim,Veteran,Divorced,-207.71134649160638,37.002531535600546,D,C,-131.90375341595976,D,B,1
UK,Hindu,No,Divorced,63.15026503613631,2.7957999255559534,D,A,-292.56883883807114,C,E,1
Brazil,Christian,Non-Veteran,Married,-32.61810855677704,-59.42637110743014,C,E,-32.406241720807,E,A,0
China,Other,No,Single,-209.30604873058326,-18.285765481172252,A,A,21.155215817458885,A,D,0
UK,Hindu,Non-Veteran,Widowed,138.09915378858037,142.04504482237283,E,C,-123.10599498528305,D,D,1
Brazil,Hindu,Veteran,Single,158.91600666353554,-157.26603698899004,E,C,-37.228356841411454,A,A,0
Brazil,None,Yes,Widowed,-71.46068145714123,-74.30258541257928,D,C,-111.72720465091889,A,E,1
India,Christian,Yes,Divorced,41.04355022904457,-24.178920463238274,C,D,-38.297674390074874,E,C,0
Other,Buddhist,Yes,Divorced,-91.74576971724079,-0.9676997407036952,C,B,-157.43196911836708,D,D,1
Germany,Muslim,Non-Veteran,Divorced,180.52794173664566,64.92581586760163,A,B,127.1391824597529,A,B,0
Brazil,None,Veteran,Widowed,135.61654242806205,-129.36314641040607,D,C,-98.4031859069821,C,D,1
Mexico,Buddhist,No,Married,-196.03861735960317,-89.85928034138814,D,E,3.779995765657034,C,A,1
Germany,Buddhist,Yes,Divorced,4.64472174737092,-28.240939807330673,D,A,11.58960401398947,A,E,1
Brazil,Jewish,Yes,Married,53.603604061044464,-50.13407328433509,B,A,-56.60335925550368,B,B,1
US,Buddhist,Yes,Widowed,-146.3769618936499,34.01844012352308,B,B,-12.856527666174278,D,E,0
Other,Hindu,Veteran,Single,124.65911642016509,-78.41324387708568,A,C,-25.4138529476881,A,E,0
UK,Muslim,Non-Veteran,Divorced,40.5643165814262,-47.51672031980757,C,D,-21.900918493801974,B,D,0
Germany,Christian,Veteran,Single,28.746554203607566,-0.4356147504969661,B,C,78.16376354044112,C,E,1
Other,None,No,Single,16.66673750231256,-37.20763707331484,A,C,85.96879724156392,D,A,1
Mexico,Buddhist,No,Widowed,72.77436870825542,-92.87881604514654,D,D,214.96772738757363,A,E,1
UK,Buddhist,Veteran,Single,99.98683436022911,-0.3068653295397061,D,D,185.7840412801815,E,E,0
India,Other,Yes,Divorced,222.9449715178431,-178.8813682202603,E,B,-46.026904536918785,D,D,0
India,Muslim,Veteran,Single,92.16560651662691,-5.595651834832031,C,A,192.12520784225498,B,B,0
UK,Buddhist,Non-Veteran,Widowed,-67.24220366635629,-57.3023608625556,C,D,-224.6642302198167,D,E,0
Mexico,Jewish,Yes,Married,-127.4044410082686,-296.64360290021204,C,C,-73.92090840328265,C,A,0
US,None,Non-Veteran,Single,-120.66222494621557,-50.63258505716097,D,A,-27.986645614210698,E,C,0
Germany,Buddhist,Non-Veteran,Divorced,-129.6812230263647,-76.34069527217073,C,C,149.96469101641895,C,A,1
China,Jewish,Veteran,Married,-37.507538736897885,31.570197641489784,D,D,8.057695311647429,D,C,0
Mexico,Other,No,Widowed,186.99455392328755,-136.5143807406187,A,A,-59.2052135143353,A,B,1
Mexico,Jewish,Non-Veteran,Single,11.9424358878937,-24.22919391989251,D,A,28.20752794378666,D,D,0
Brazil,Other,Yes,Married,96.35238941549132,-13.494266283469278,B,E,11.764470645861175,D,B,0
Brazil,Other,Yes,Married,-175.73020945666477,132.86068898778677,E,D,37.970023259764666,E,D,1
China,Muslim,Yes,Single,-88.74930102280335,-3.2882396645102765,E,D,79.2533367249429,B,C,1
China,Buddhist,Veteran,Widowed,-137.8546702846531,-17.05044634662466,C,B,19.673389361381336,A,D,0
India,Christian,No,Single,-45.87720619086456,-57.909184883118925,E,C,-161.42548705955554,D,A,1
Mexico,Buddhist,Non-Veteran,Widowed,43.866430373726516,-18.44634496045488,E,E,70.68420897569332,B,B,1
Mexico,Other,Veteran,Divorced,-62.787927792246265,75.66604609432962,B,D,-115.25197163354903,A,C,1
Germany,Other,Veteran,Widowed,-83.92388334300931,-78.51555300008984,E,B,131.5374280065597,A,E,1
US,Muslim,Non-Veteran,Divorced,119.97275323019201,-75.60138958298937,B,A,57.27153932554152,D,D,0
Brazil,Hindu,Non-Veteran,Widowed,96.54020328176378,77.90522613072848,B,D,-9.297142492644582,D,A,1
Other,None,Yes,Married,31.676527854038834,202.0340352244661,E,E,124.92772117281952,C,B,1
China,None,No,Widowed,167.91523851160267,80.15364365825288,D,D,125.2791805960106,D,D,0
Other,Other,Veteran,Single,-31.590784124023173,-49.50161695983853,C,A,74.74293163105155,E,B,0
India,Buddhist,Yes,Divorced,-119.35571223025518,-88.31826125162307,C,E,115.9813842818836,E,D,0
Mexico,Other,Non-Veteran,Widowed,-227.33683899621627,-115.6677353866137,D,D,-93.02381011934015,E,E,1
China,Hindu,Non-Veteran,Widowed,41.849692633899224,-44.23353385684894,A,D,129.1373981486826,D,C,1
US,Jewish,Non-Veteran,Married,28.344537712732254,-64.57986279807965,E,E,196.81740679987132,D,B,1
China,Hindu,Veteran,Single,-9.931842760280759,-192.71271484547503,E,E,-49.55497164015213,C,B,1
Mexico,Other,No,Married,3.6249924200623416,-186.17112259062088,B,B,8.570255384878003,B,D,1
Germany,Other,No,Widowed,42.31912278098118,109.5967361669641,B,D,30.208137159017884,B,B,1
Germany,Other,Yes,Divorced,57.76048470129515,-81.76292861107483,E,D,-104.25965939088206,D,C,1
Other,Buddhist,Yes,Widowed,-104.36305243028288,150.77922359103658,B,C,15.936590115067187,A,B,1
Brazil,Muslim,Yes,Single,53.647128669472124,75.34227557511235,D,A,-113.14198584579118,A,B,1
Brazil,Muslim,Non-Veteran,Widowed,105.69403465243433,-96.85445863402077,B,B,-59.918907418162426,B,C,1
India,Other,Non-Veteran,Widowed,92.8305882168334,68.72291432082383,D,E,-4.617544337005918,E,C,0
China,Hindu,No,Widowed,156.99782183065915,22.172549636324014,E,D,-41.578443992403066,A,E,0
Other,Other,No,Widowed,-117.31349803106423,75.06101024142382,A,E,61.424322927468985,E,D,0
China,Hindu,Veteran,Single,48.51117940109557,-65.62950864541632,E,A,-129.9566436875961,A,E,0
India,Hindu,No,Widowed,36.12413291418524,-77.3425195387157,C,A,66.29192572802704,E,D,1
India,Muslim,Veteran,Married,-30.55881531283478,-4.610455813030309,B,B,-15.580392954818617,C,A,1
Other,Hindu,No,Single,2.3420164009161604,10.295317458864893,D,D,152.57263505584436,D,C,0
China,Christian,Non-Veteran,Married,-93.43145160123501,-237.24192881680332,C,C,-44.72738774750722,A,D,1
US,Muslim,Veteran,Married,-12.34968484321549,106.1982667155805,D,B,43.051408094651066,A,B,1
Other,Hindu,Non-Veteran,Single,-82.54847796649722,16.921317744800703,E,A,108.37395515061614,E,B,0
Mexico,Christian,Veteran,Single,138.78740131927992,-15.098920968216175,A,B,152.90039916024466,D,B,1
Mexico,Christian,Yes,Widowed,-42.141543422082805,-76.76249703885001,E,D,149.82316243888675,B,D,0
Mexico,Other,No,Divorced,180.65641872477832,-118.22663955228091,E,A,-48.73130690148146,E,E,0
Germany,None,No,Single,127.82400020755853,-119.59139069194768,A,C,94.30517330327255,C,E,1
China,Jewish,Veteran,Single,85.33779626157833,40.47375480674906,E,A,-37.901825439322955,C,C,1
Brazil,Jewish,No,Single,122.26659958410472,34.62421666581153,C,A,194.31225397709497,E,E,0
Germany,Jewish,Non-Veteran,Single,-30.402265469888512,-71.95048344253973,B,A,18.095775157207434,D,E,1
Germany,Hindu,Yes,Married,57.07285590179569,152.62810055723259,C,A,55.12107087171909,A,C,1
China,Buddhist,No,Single,-19.763756131566556,-121.31535774158573,C,A,-0.9846813384715939,A,C,1
US,None,Non-Veteran,Widowed,1.4732196042066663,105.62649611694015,A,D,47.91335017860544,A,C,1
Other,Muslim,Yes,Widowed,9.074279550950859,39.58890996812387,A,A,99.35547672790065,A,D,1
China,Christian,No,Divorced,-35.84018573009208,31.009890399344343,C,C,-18.411106862738233,C,E,1
Mexico,Christian,Veteran,Single,-59.47073441893716,110.14542128096242,E,A,82.19448841558942,B,B,0
Mexico,Buddhist,Non-Veteran,Single,9.925386605973657,-87.99748512866694,D,A,40.01851914483338,A,B,0
US,Hindu,Yes,Divorced,66.33643346582056,-5.636915954699505,E,C,-45.00199127654834,E,E,0
Brazil,Other,Veteran,Married,-28.59533267363947,-191.5105013593106,B,D,-5.730960219444908,C,D,1
India,Other,Non-Veteran,Divorced,18.59189329326215,141.27784122758757,A,A,-77.91551621916736,C,B,0
Mexico,Muslim,Yes,Single,56.924676150421035,-24.00290997691006,D,B,32.81213188790623,C,D,1
China,None,No,Divorced,-99.01379842586482,4.5862639164548265,A,B,-211.41260646048647,B,E,1
Mexico,Other,Veteran,Married,-36.219076483712016,-71.63686710238528,B,D,94.92562774203516,A,D,0
India,Hindu,Non-Veteran,Married,-47.97952600437618,-21.76584732872049,D,A,114.27784130146843,E,C,1
US,Christian,Yes,Divorced,-161.32275061360826,-118.120956400827,C,D,190.52755184493398,B,C,0
Mexico,Hindu,No,Widowed,1.217536724754238,152.63251698470836,E,B,118.62797009917306,A,D,1
India,Muslim,No,Widowed,53.14590963874492,139.5306842449249,A,A,11.312575409592625,D,C,0
India,Hindu,No,Married,29.19153433206139,106.10719328783966,B,C,217.56739742211425,A,B,1
Germany,Jewish,Yes,Married,-49.36218639066472,-44.6297044948872,C,D,86.21297980468377,B,C,1
US,None,Veteran,Married,-48.64473958067717,-8.811087369657136,B,C,218.98081626939444,D,D,0
Mexico,Buddhist,No,Widowed,116.13359463211899,24.68781506758433,D,E,-48.21510080717346,C,A,0
India,None,No,Widowed,-109.9122564113186,-190.31523956113526,A,A,39.659746900734845,C,A,0
US,None,Yes,Widowed,-160.01504567077959,-128.33141010120755,B,B,23.675247134650203,E,E,0
Germany,Christian,Yes,Single,-96.66484660198948,-19.82490096228446,E,C,69.39154819402856,D,B,1
India,Muslim,No,Divorced,-85.86302773847683,55.87417371254355,A,D,-119.91766774537199,A,C,1
China,Buddhist,Non-Veteran,Single,121.00213982913614,-41.127821107370075,B,C,29.960413881125163,B,C,1
US,Buddhist,Yes,Married,-138.6310649892961,102.89267609369219,A,B,9.024379167806927,A,A,1
Germany,Hindu,Non-Veteran,Married,-41.37804688292716,286.6230991015329,E,B,56.96967033698975,E,C,1
Other,Christian,Non-Veteran,Divorced,-33.47353413623485,28.39202228905673,A,B,-27.63751561986581,D,E,1
India,Jewish,Veteran,Divorced,-16.89094560955444,107.22320709840449,C,B,-44.333226786369615,A,E,1
Brazil,Muslim,Yes,Divorced,239.06567829375712,-23.990824522913332,E,D,23.43810404984254,E,A,0
UK,Other,Veteran,Married,-64.54822380809927,60.877914668861266,A,D,37.44138430094303,A,B,0
Other,Muslim,Veteran,Single,-57.74519329310138,-22.63182816177484,B,E,89.74527287484534,C,B,1
Brazil,Other,No,Single,-10.89415415295477,-139.71460488973693,B,A,133.02013405072984,B,E,1
Other,Buddhist,Veteran,Divorced,17.660624455168154,-98.07760709415867,C,A,-76.2079376243511,C,D,1
China,None,No,Widowed,9.055492467065667,36.62888708629282,C,A,-104.59190912434637,E,E,1
Germany,Muslim,No,Divorced,-26.45124659946692,5.240238474952374,A,E,-108.25628354868823,C,E,0
US,None,Veteran,Married,127.56961571627083,174.30911522853484,E,C,137.05771492359142,E,C,0
Brazil,Buddhist,Non-Veteran,Single,12.141098906582384,-178.98104794241755,C,B,30.42681280080864,E,E,0
India,Christian,Veteran,Married,-42.3251058933094,-195.26781977018257,E,D,6.495224902944027,C,B,1
Mexico,Other,Non-Veteran,Widowed,-84.81389260626666,140.0127640799842,B,C,-151.0754794652344,A,A,1
Mexico,None,No,Married,14.621335377190633,-0.40824833263761,E,B,28.96953522107643,C,E,1
US,None,Veteran,Divorced,-81.38373185116203,-189.49574276619376,C,E,-45.93297767605938,A,D,0
UK,Buddhist,Veteran,Widowed,-192.21027751410315,19.59106241182412,C,A,146.5243734515479,A,C,0
UK,Muslim,No,Widowed,131.9975771971273,31.471288131223474,E,C,75.64545047461908,E,D,1
Germany,Christian,Veteran,Married,168.07979675058272,-72.29575562467598,E,C,-56.26048088740938,B,C,1
China,Buddhist,No,Widowed,-209.28620751360825,150.6656940376118,B,C,-39.65825028203967,E,A,0
Brazil,None,Non-Veteran,Divorced,-63.170249730989994,129.87485849212965,D,B,-97.65576984571747,A,D,1
Mexico,Other,Yes,Married,122.8855353578682,22.70258178581289,D,C,79.93419487003789,D,B,0
UK,Buddhist,Yes,Divorced,13.745110552700499,129.4291931447362,A,A,-38.24117359142267,D,C,0
Other,Christian,Non-Veteran,Widowed,-38.611509759333,118.85472615317228,E,E,-264.4209900560743,E,A,0
Other,Other,Yes,Divorced,-159.85122155241652,-15.60311848388821,E,A,-71.21482271125163,E,E,0
Mexico,Hindu,Non-Veteran,Widowed,194.01078392236377,-165.97635270911522,C,E,-110.14557256893,D,A,0
Mexico,Other,Veteran,Widowed,-46.757693586979784,75.78185708346871,E,D,-45.57232105572349,B,D,0
Mexico,Buddhist,Yes,Married,-62.29057642974686,64.65963360365026,B,D,13.457930801838854,D,E,1
Other,Christian,Yes,Widowed,-82.68967099438771,-41.54676124278684,B,D,20.761298670891726,D,B,1
India,Muslim,Veteran,Married,-126.61646365835229,11.333747571215547,D,C,-73.12129630589988,B,C,0
China,Jewish,Non-Veteran,Divorced,-129.93394337930357,-103.32215699853595,B,E,-132.60589493655434,C,C,0
India,None,Yes,Married,43.8742694174914,-55.676801408113306,E,D,-24.43737795281645,A,A,0
Germany,Hindu,Non-Veteran,Widowed,-24.560580952837515,-12.956677784541132,A,C,-73.04103962400517,A,C,0
US,Buddhist,Veteran,Married,-23.540834559627914,-27.794890824772388,C,A,190.46025016236246,B,E,0
Germany,Muslim,Yes,Single,-76.58276173171977,96.27769599699734,C,B,-8.747537017463273,C,C,0
India,Muslim,Veteran,Divorced,29.64220857391644,37.01651913530256,B,B,-22.88167830555729,C,B,0
Other,Jewish,No,Single,-166.3556555797227,51.047953895084255,D,C,80.75916273334752,E,A,0
UK,Jewish,No,Widowed,40.50180662962543,-42.969218968102425,C,D,-26.957114593781274,A,A,0
Mexico,Hindu,Non-Veteran,Widowed,108.50299688339231,26.573643557227733,B,E,-61.60768972556997,A,E,1
Germany,Jewish,No,Divorced,-178.11924842918575,71.13635143817451,B,D,125.18544504930557,D,A,0
China,None,Non-Veteran,Married,-68.84462079653963,-48.19990211165804,C,E,114.03246049946102,A,D,1
UK,Other,Non-Veteran,Single,12.688195958202744,-124.0713087032363,A,D,-44.07897106480581,C,B,1
US,Other,Yes,Divorced,-84.45024923945785,45.28784373483464,B,D,138.03456718024447,B,D,1
Other,Muslim,No,Single,52.346341609659596,17.486237434190453,D,C,-115.9467279419971,D,A,0
Brazil,Jewish,Yes,Single,-10.822698325979301,129.96987862147503,B,E,72.31104861399538,E,B,0
US,Other,No,Single,-83.93719663133963,-19.70017915529533,D,D,42.3825971252397,D,C,1
China,None,Yes,Divorced,-23.02113862627071,136.55238450743178,C,B,-150.8940345708345,A,D,1
Germany,Christian,No,Divorced,7.157205826088717,-16.002806176083713,E,B,-52.99995253892584,E,B,1
China,Hindu,Veteran,Widowed,-52.05153868319828,10.53783957957166,B,D,5.844714615823086,B,C,0
US,Jewish,No,Widowed,42.83367674396733,167.17951225764708,E,D,-192.2795485144101,D,A,0
Mexico,Muslim,No,Single,23.849338766615098,53.24628218920196,A,C,68.84813393003108,B,C,1
UK,Jewish,Yes,Single,-18.36279168846342,77.18042033418324,C,E,37.64549270213507,E,B,0
Brazil,None,Yes,Single,147.93506107568837,-58.15537572637922,A,B,-203.87817626203892,C,A,0
India,None,Non-Veteran,Divorced,-33.78313775585156,93.7034865873254,B,A,204.4702144195176,D,C,0
Germany,Other,Veteran,Married,95.10754237924111,-0.9923584406985396,D,A,-29.14131113161006,A,A,1
India,Hindu,Yes,Single,231.81658112235533,-45.802524611039935,E,C,-53.72089207643101,A,A,1
China,Buddhist,No,Widowed,-113.7736058898549,-92.58480685881958,B,B,-202.607452283072,A,D,0
Germany,None,Veteran,Divorced,179.4410517118466,-30.547599114923162,B,A,-95.22499695760165,D,E,1
Brazil,Christian,No,Single,-73.79963802640978,207.849094017459,B,E,-68.33852228071449,B,E,1
India,None,Yes,Married,106.46156377086828,130.92339492099174,A,E,-112.86712569673725,D,A,0
Other,Muslim,Veteran,Single,22.233555357638657,132.7003220005113,D,D,73.5470424541451,B,B,0
Germany,Muslim,No,Married,39.631865797520284,51.43918750324311,D,D,123.13769557840499,C,B,0
Germany,Christian,No,Divorced,0.2134729140289579,-46.4888112622572,C,A,235.7348188130905,D,C,1
US,None,No,Single,-34.17867079721222,29.738941062407896,C,E,-2.698290384362153,C,D,0
Other,Jewish,Non-Veteran,Married,1.2668225868801888,-90.13345658691422,C,E,-38.416380944385246,D,B,1
Brazil,Christian,Veteran,Married,-77.15076224073445,48.422209188144365,B,D,10.23810246340782,A,A,0
UK,None,Yes,Single,-124.35561667467208,-136.37066735020525,B,A,40.97076419361774,A,A,1
Germany,Muslim,No,Single,-151.83584624783552,56.830400501461945,C,E,14.111299419007869,C,B,0
India,Buddhist,Non-Veteran,Single,-220.46135124066416,-99.00245143478121,C,D,-18.632157415675017,E,A,0
Germany,None,Veteran,Divorced,29.567131694360537,-110.86502940326677,E,D,129.41431263488042,C,D,1
Brazil,None,Veteran,Divorced,255.69433088766047,107.34124229985815,A,B,128.84145583484036,B,D,1
Germany,Hindu,No,Married,145.94089605464674,121.08078009359606,B,E,17.371697391845604,D,D,1
India,Christian,Yes,Married,-38.674443969742384,252.554268432312,C,D,-200.3520136200371,D,B,1
Other,Jewish,Yes,Widowed,-132.25423762413365,-120.12716467789741,A,E,-129.14873405266584,B,A,1
India,Christian,Yes,Divorced,28.963629764255312,129.4061981937621,E,A,-16.54709789220722,B,B,0
China,Christian,Veteran,Divorced,-80.3812782120235,-63.58494729673437,B,B,267.33579407704457,A,D,0
Brazil,None,Non-Veteran,Single,-19.634371470182174,48.68416013377358,E,A,227.152958825058,C,A,1
India,Hindu,Non-Veteran,Divorced,29.281685394127376,84.96542368280983,B,B,-252.090581629487,B,B,0
China,Jewish,No,Single,245.7288817924694,-73.87374478278737,B,C,-53.39854760576307,C,E,1
Germany,Jewish,Yes,Single,-43.44902455474828,-71.9402208003177,E,D,69.37872515652592,E,C,1
