Race,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Asian,US,B,C,C,D,E,-36.361746641807514,C,0
Asian,Germany,B,B,E,C,E,21.992479175460904,C,0
Hispanic,Other,E,B,C,A,A,-4.456057103210721,B,0
Asian,India,C,D,A,D,C,-42.07423607989334,E,1
White,China,E,E,E,D,E,-213.3319219517598,B,0
Asian,US,D,E,C,C,D,-32.70237268172933,D,0
Black,Brazil,C,C,E,D,A,24.992491218831113,C,0
African American,India,D,B,A,A,B,69.6779542920331,A,1
Asian,US,B,A,A,E,A,-9.618420559532323,A,0
Other,Germany,B,D,E,A,C,74.65394371718956,B,0
White,Other,A,D,D,C,A,-45.00451568692134,D,1
Hispanic,Mexico,D,A,B,C,B,-3.3408526194419528,D,0
Black,Germany,D,E,A,B,E,-128.93470268558215,E,0
Other,India,B,C,A,E,D,-153.46985154501976,B,1
Black,China,E,C,D,E,E,-43.21521265610748,B,0
Asian,China,E,D,C,C,D,-45.0032595105544,C,0
Asian,India,D,B,A,C,C,87.34653736423036,A,0
White,China,D,D,A,D,B,-58.834398413061194,A,0
African American,US,E,A,D,E,C,-124.12297750732819,B,0
Other,Germany,E,E,E,D,C,103.1356209310627,C,0
Black,US,D,A,B,B,E,49.255263101590224,C,0
Hispanic,Germany,E,B,E,D,E,-105.87963956169911,D,1
Asian,UK,E,B,A,B,E,17.506698170573827,D,1
Other,Mexico,C,C,E,E,A,-155.62928484835388,A,1
Other,US,B,B,D,E,B,-15.584847757342146,B,0
Black,Mexico,A,E,E,C,B,-54.29004641109728,C,0
Other,China,A,D,E,C,D,59.87358847057339,A,0
African American,China,E,C,B,A,A,78.22839603108511,C,0
Hispanic,UK,C,A,A,E,B,-31.74084070733197,E,1
African American,Brazil,D,A,B,B,D,-56.22722279519671,A,0
White,Germany,C,B,C,A,D,-167.6324787522052,B,0
Hispanic,Mexico,A,D,B,B,D,59.814557177291604,D,1
African American,Mexico,B,E,E,D,E,-104.74003594610146,A,0
Asian,India,D,C,E,C,C,186.9549288636608,C,0
African American,India,D,C,A,B,C,-19.844673860726996,D,1
Asian,Other,E,B,B,D,D,-149.3997836799324,E,0
African American,Mexico,D,D,C,A,D,-60.82905619267224,C,1
Hispanic,US,D,A,D,E,E,-191.3344116419273,B,1
Asian,Brazil,E,E,E,A,A,-20.625317450632746,E,1
Black,Mexico,C,E,D,A,B,45.08478217979103,D,0
Other,Germany,D,D,E,A,A,-57.41814774690521,C,0
White,US,C,E,D,C,A,60.94277120990279,D,0
Black,Other,E,E,C,E,C,73.91545308124797,E,0
African American,China,C,E,D,A,A,50.43477043429823,D,1
White,Germany,C,B,C,B,C,100.09572326162946,E,1
White,Other,D,E,B,C,D,111.82511931414139,C,1
White,Germany,A,C,E,E,B,-130.44474901139975,D,0
Black,UK,B,C,C,A,B,-58.96347389872093,A,0
White,Germany,D,E,D,E,B,8.238580386154206,B,1
Asian,India,D,A,D,E,C,116.9731747916551,B,1
Other,Other,A,D,B,D,D,140.35173371979792,D,0
White,UK,A,A,D,A,A,-111.36487101636583,E,1
Hispanic,Brazil,E,D,A,E,C,-33.44577188692216,C,0
Other,UK,C,B,E,B,A,14.764245225587317,E,0
Asian,India,C,E,B,C,E,108.23816156004047,A,0
White,Brazil,E,C,B,C,A,67.97627808704848,B,1
Other,Brazil,B,B,C,B,E,104.1561408616746,B,1
African American,Brazil,E,A,D,D,A,-85.78983642756315,D,1
Other,US,A,E,C,B,B,-71.45841710319638,E,0
Asian,Brazil,D,A,D,C,E,-84.11947425552718,C,0
Hispanic,India,C,D,A,E,B,-30.190866843615826,E,0
White,Germany,A,A,A,D,E,-59.50619085465259,C,1
Other,Brazil,C,A,A,B,C,11.686400856007829,B,1
Asian,Brazil,B,B,C,C,B,-117.31451608938366,E,1
Hispanic,Brazil,B,B,B,A,E,-55.873609935049714,D,0
Other,China,D,E,A,B,B,-26.076803679635862,A,0
Other,Other,B,A,D,C,B,-92.23641392419209,C,1
Asian,Mexico,E,B,D,A,B,47.681488685583226,B,1
Hispanic,Other,B,C,A,E,A,-147.76082526356765,C,0
White,US,C,D,E,E,D,97.47239991149463,E,1
Hispanic,UK,B,C,B,D,E,94.90241641048037,A,1
Other,UK,D,D,B,C,B,-101.68210012230416,B,0
African American,Brazil,C,B,E,C,A,-190.95247221846049,D,1
Hispanic,India,C,B,A,E,B,-95.74159912147891,C,1
Asian,Brazil,E,D,A,D,E,-84.57332430443685,B,1
Other,Mexico,B,A,A,C,B,126.14927506154514,A,0
Black,US,C,A,C,D,B,-38.90791134968862,C,1
White,Other,B,A,C,B,E,156.46389080584,A,1
White,Germany,B,A,B,E,C,-65.38785565388285,B,0
Asian,Mexico,B,E,E,E,B,-144.12209314254872,E,1
Black,Germany,A,B,E,A,B,37.40786014629754,E,0
Asian,Brazil,E,B,D,C,D,-6.898474932613759,A,1
Other,UK,D,B,E,C,C,-82.52405013447414,B,0
White,Brazil,B,C,A,D,D,-4.284803034547061,B,1
Asian,Other,D,E,D,E,C,41.47465859241952,B,1
Other,Other,E,E,D,D,B,-13.064125042603472,C,1
Black,India,E,A,C,E,E,-4.019703220929047,B,1
Hispanic,Brazil,D,B,E,B,B,1.4895379789173744,C,0
Asian,Brazil,A,C,E,E,E,-178.92960884144784,E,0
Asian,Germany,C,E,C,B,A,-95.47004856578039,B,0
Hispanic,Brazil,C,D,D,B,E,-29.28122680874275,A,0
Other,US,D,D,B,E,A,-90.6996987712879,C,1
African American,China,D,C,D,E,D,50.42527033506037,C,1
African American,Germany,B,C,E,E,B,-80.676886748596,E,1
Hispanic,Germany,A,D,E,E,B,-58.76530770135108,A,0
African American,US,B,E,E,C,C,80.9638616887059,A,1
African American,India,B,D,A,C,B,-90.1985874820975,C,0
Asian,UK,C,D,D,D,C,138.86931492297927,B,0
White,India,A,E,A,A,D,-29.581482587354024,E,1
Other,Mexico,C,B,B,C,E,-205.22876727295974,A,1
White,Other,B,C,B,B,C,179.62425574267263,D,0
Hispanic,Mexico,B,E,B,A,D,119.08468150028702,A,0
White,Germany,D,B,E,C,E,3.81797033443383,A,1
White,Mexico,E,D,C,E,E,109.12371818020317,D,1
Asian,Germany,B,D,B,C,A,68.9636184517842,C,0
African American,China,B,D,C,D,D,1.571559303124628,A,1
Asian,Brazil,E,C,B,D,C,-27.57241329972451,B,0
Asian,Mexico,E,D,E,A,C,-193.1689049945834,C,1
Other,Other,B,B,B,D,B,0.7422983708937309,D,1
African American,UK,B,E,A,B,D,-63.69517905257014,C,0
Asian,US,D,B,B,E,B,71.13830666501565,D,1
Other,Germany,D,E,D,E,D,-25.790914277568884,B,0
White,Germany,B,A,C,C,B,-122.65777605465674,E,0
Other,Brazil,D,C,A,E,C,-233.97766033240734,E,0
African American,UK,E,B,D,D,D,5.733788344474372,D,0
Asian,China,D,A,E,D,E,-23.53436069586024,C,1
African American,India,A,B,B,A,C,82.71580309567945,E,0
Hispanic,Other,E,E,C,D,E,-90.06674118167207,E,1
Other,China,C,D,B,E,A,-6.33079454391858,A,1
White,US,B,C,E,E,C,54.710510901333485,B,0
Black,Mexico,B,E,D,E,B,-11.598464755701876,A,1
White,Germany,D,A,D,B,A,18.643124913043728,B,0
Black,US,A,A,D,D,E,-49.44687461771535,E,0
Black,China,A,A,C,D,B,-74.06881420302412,E,0
White,China,C,A,C,B,C,-133.001443049762,A,0
Other,Mexico,D,A,D,C,A,-45.09637742406281,D,1
Hispanic,China,D,B,D,B,B,-2.1983235324184043,B,1
Black,China,E,D,D,C,E,-67.46426809798943,B,0
African American,Brazil,A,B,C,A,D,72.95266254518809,B,0
Asian,China,E,B,D,C,E,88.95867610687958,D,0
White,Brazil,B,B,B,C,A,-132.54731048253393,D,1
Hispanic,Brazil,A,C,B,C,B,99.37968364344496,E,1
Other,Other,E,D,A,B,C,-97.77712329950415,A,0
White,US,A,A,B,B,C,31.40280962958602,D,1
Asian,Other,C,A,D,A,A,-186.087370378308,E,0
Asian,China,A,B,E,A,E,67.42595358062641,C,1
Black,China,C,D,E,A,E,-68.55414155139191,A,1
Other,US,E,C,A,B,D,142.3159102172518,E,0
African American,US,C,B,D,E,B,3.773949739412403,E,1
Other,Germany,E,C,E,A,C,125.58332637822073,C,1
African American,Germany,A,C,B,D,B,-12.063804315341981,B,0
African American,Other,C,A,B,D,C,32.80585501911838,B,0
Black,US,E,D,E,C,A,79.75938685047883,C,0
Other,Other,D,A,D,A,A,61.64861581181237,E,1
Other,China,B,E,D,A,B,29.25208657362395,C,1
Black,UK,C,A,D,D,A,-65.47274367129269,B,1
Other,Brazil,A,D,D,E,C,29.697555584587914,C,1
Other,Mexico,C,E,D,C,C,-28.79908082454201,B,1
Hispanic,US,E,A,D,B,E,-114.46476697597757,C,1
Hispanic,Brazil,D,E,D,C,B,49.4289893300514,D,1
African American,Brazil,E,B,B,C,C,40.43596174111999,C,1
Asian,US,C,C,D,C,B,76.42572730838219,B,1
Hispanic,UK,A,C,E,E,A,-165.30554547098222,C,1
Black,Other,C,D,E,D,D,-57.27550128402865,C,1
Black,India,E,D,D,C,A,15.469811594705313,E,1
African American,Other,E,E,A,D,C,-149.060598778306,C,1
Asian,Germany,B,C,E,D,E,-147.0484520606415,C,1
Black,Other,B,D,E,B,C,15.505303030463825,E,0
Asian,US,E,A,C,A,E,-84.34514131517129,B,1
Black,US,E,C,E,E,D,53.986873985738704,B,0
White,Germany,C,D,C,E,A,-174.26760836230838,C,0
Black,China,C,A,C,C,C,54.53650618342751,E,0
Black,China,B,C,E,D,C,37.154497366736486,A,0
African American,Brazil,B,A,A,B,D,24.888048919343788,A,0
White,UK,B,E,D,B,C,98.76657687201651,D,1
Black,Brazil,A,B,D,D,D,-273.5055995678612,C,0
Hispanic,Other,D,E,C,C,D,194.70763591006454,E,1
Black,Other,B,C,E,E,D,282.2061286157187,B,0
Black,UK,E,C,B,E,A,41.096163286379365,E,0
African American,China,B,C,E,C,B,38.45298760873905,D,1
Other,India,E,B,D,E,A,-50.253355016870024,B,0
Black,Other,A,C,B,C,E,-97.41960011942821,A,0
Hispanic,Brazil,E,D,E,D,E,69.02058697827552,D,1
Other,Brazil,A,B,D,A,C,39.31788463517361,D,1
Other,UK,A,D,A,A,D,-3.255318252062287,D,1
Black,Mexico,E,A,A,B,C,-77.88388382883605,C,1
Asian,US,E,E,B,D,C,157.33343906098392,E,0
White,Other,B,D,A,E,A,-28.951993353750037,D,1
Black,Mexico,B,B,D,C,E,41.95317404761714,C,0
Hispanic,Brazil,D,A,C,D,D,-92.32560425311245,E,0
Other,Germany,C,D,C,E,E,-77.27956809617056,B,1
White,Brazil,C,E,D,D,C,89.96864553202148,B,1
Black,China,B,C,B,E,E,-61.30825771504228,E,1
Hispanic,Mexico,E,B,A,C,C,7.545547850909355,C,1
White,China,B,A,B,C,C,45.85137968616325,C,0
African American,Mexico,D,D,E,B,E,116.46107213308979,B,0
Hispanic,India,B,C,B,A,C,18.835275471287762,A,0
African American,China,B,C,D,B,C,82.63492238004176,E,0
White,UK,B,C,E,A,A,-73.3043005212893,D,1
White,Other,C,E,D,A,A,36.47101470993484,A,1
Asian,Other,D,E,B,E,C,-86.48814682643334,E,1
Asian,UK,E,C,B,C,B,78.82271049505208,B,0
African American,Other,C,E,A,B,A,32.307481367151,A,1
Hispanic,Mexico,D,B,A,E,C,-187.8951227113063,B,0
White,Brazil,E,B,B,E,D,-59.262990687283526,C,1
Other,India,D,B,C,E,A,-6.961685240195141,C,1
Asian,Other,E,A,D,E,C,-125.88301232150636,B,1
White,Other,D,C,E,B,D,107.06413943259648,C,1
Hispanic,China,C,E,A,D,D,-90.30670434254144,A,0
Hispanic,Mexico,A,E,A,B,E,47.19356929801498,E,0
Black,UK,A,D,E,C,A,53.416828060202725,D,1
Asian,India,B,D,D,A,C,24.727953037698885,C,0
Hispanic,China,D,E,B,D,B,35.17584591901438,E,0
Hispanic,Other,C,A,C,D,B,-184.30221348221343,A,1
Asian,India,C,D,E,D,C,-142.09552246214943,E,1
White,Other,B,C,A,D,C,117.04571505515146,A,0
White,Mexico,D,E,B,B,C,31.818769583640368,D,1
Asian,China,E,B,D,C,A,-156.70516273910445,B,1
Other,Brazil,C,D,A,D,B,-22.99300597311199,B,0
Asian,China,C,C,C,C,A,68.06426235828582,D,0
Other,China,D,D,E,C,C,-138.16758546576997,B,1
African American,Germany,E,C,B,C,C,97.19727797521023,D,0
White,Germany,D,E,C,B,E,45.572037991630644,D,0
Other,Germany,D,D,D,E,C,-98.02486866303693,D,0
African American,Germany,A,E,B,A,A,-34.00710610139445,B,1
Black,Mexico,B,E,C,B,A,-147.1272625493285,D,1
Black,Other,D,D,D,B,C,75.51888414045789,D,0
Black,US,B,C,E,E,C,41.988484950757304,A,1
Hispanic,UK,C,B,B,B,D,108.72567692843917,D,1
African American,Mexico,B,B,A,A,E,28.298880911065087,A,1
White,Mexico,E,D,E,B,D,-2.104710064780341,A,0
Asian,UK,E,D,B,C,E,-23.00361100216355,A,0
Other,Germany,E,A,A,B,B,-246.85282224709007,E,1
White,Brazil,C,D,B,A,C,-43.81046596680734,A,1
White,US,D,E,D,C,A,-86.91775917097625,A,0
White,UK,E,E,C,A,A,-3.175184646059421,C,0
African American,Germany,A,A,E,B,A,257.1717261380778,B,1
Black,Germany,E,C,A,A,D,-71.29787935275334,D,0
White,UK,C,D,A,B,E,45.72230999795671,C,1
African American,Germany,A,B,E,C,E,114.51569082785007,D,0
White,China,E,B,C,C,E,90.0814048933103,E,1
Other,Brazil,C,D,B,C,D,4.404429862587851,D,1
Hispanic,US,D,D,B,B,E,-36.43644240864249,A,0
Hispanic,Other,A,B,B,B,D,-64.00195333577999,D,1
Hispanic,Brazil,C,A,A,B,D,49.62652418299401,D,0
Other,UK,A,D,C,C,B,74.19232414484907,B,1
Hispanic,US,E,D,C,A,E,-92.75957062469249,B,1
Other,India,A,D,D,C,B,-14.70404579266193,B,0
African American,Germany,E,D,D,E,B,-170.19911493714443,A,0
African American,UK,D,A,E,A,A,-6.6000880667880315,B,1
Black,Germany,B,A,E,C,B,21.563903627789742,B,0
African American,UK,D,A,A,A,B,-25.107435662129397,C,1
White,Mexico,B,D,E,D,D,-174.9994104407508,A,0
Black,US,D,A,C,E,D,2.212311644682048,A,0
Other,UK,E,B,B,B,D,-110.21689155336274,D,0
Other,Brazil,B,B,E,B,A,-60.71341075287974,C,1
White,Germany,D,B,C,D,D,5.158658045159262,B,0
Other,Brazil,D,E,D,B,C,77.76865977580137,A,0
Asian,Other,B,A,E,A,B,100.20093642094507,B,0
Asian,Other,A,D,E,C,E,9.661310198624157,E,0
Black,Germany,E,D,A,D,B,10.311650004962223,C,0
Hispanic,Other,E,E,D,E,A,-34.238890323963986,B,0
Other,Germany,E,A,D,C,A,-135.74211479739637,D,0
Asian,Mexico,B,B,D,B,D,-20.731207140819233,A,1
Other,Germany,A,A,A,B,C,-145.47050900882564,D,1
Asian,Mexico,D,C,C,E,A,31.186250732215044,C,0
White,China,A,E,E,D,B,151.40834870222653,D,0
African American,China,B,C,C,E,E,112.00620649979132,D,1
African American,US,E,E,E,C,C,32.75334026807605,A,1
Asian,Mexico,C,A,B,D,A,168.3069533560841,C,0
African American,Germany,E,E,A,E,E,-6.126409785389287,A,1
White,Other,B,E,B,D,A,98.56114942953911,C,0
Asian,US,D,A,A,C,E,101.42761568777543,E,1
White,Mexico,C,E,E,D,E,-38.26181468485591,D,0
African American,China,A,D,A,A,C,-51.48069496945599,C,0
White,US,C,E,E,C,C,-25.76541018633375,D,1
Black,China,E,D,B,D,A,33.11215449444953,B,1
Other,China,A,D,C,C,D,-69.71393363453232,E,0
Black,Germany,E,A,C,A,B,117.6025927581541,B,0
Asian,China,C,B,C,D,D,-85.22309043674296,C,1
Other,UK,A,D,D,D,A,-204.23607188709943,A,1
Hispanic,China,E,B,D,A,A,25.017844205679328,B,1
African American,UK,D,D,B,D,D,-8.486647521758375,C,1
Hispanic,Brazil,E,E,C,D,E,5.108208760566259,C,0
Other,US,A,C,A,A,A,-84.5344763183775,C,0
Asian,UK,D,B,A,A,C,1.3957823236894253,D,1
Black,UK,E,A,E,A,D,46.30730544404124,C,0
African American,Mexico,A,D,A,A,A,-107.73170148485161,D,0
Hispanic,Other,D,D,E,D,B,-38.61932706133693,E,1
Asian,Brazil,A,A,E,D,C,-53.81339694782036,C,1
African American,Brazil,B,A,B,A,E,80.67776127589858,D,0
Black,China,E,A,C,B,C,-2.347417800010522,E,0
Black,India,D,E,D,C,E,58.51613672669044,B,0
Hispanic,China,C,E,A,E,B,27.38853424101016,C,0
White,India,D,D,D,C,E,24.939431732066318,A,0
White,US,E,B,B,A,C,-31.45086329911535,B,1
Hispanic,India,A,C,E,B,D,156.3377189497731,D,0
Asian,Mexico,E,B,D,C,B,71.30025019229652,D,1
Hispanic,Germany,B,A,B,D,E,-92.1080098134594,A,1
Hispanic,Mexico,B,B,B,D,E,76.58517311695392,C,0
White,Other,E,B,E,D,C,67.94543707226998,D,1
Hispanic,China,E,A,C,B,D,-38.992984014888755,D,1
Black,UK,E,E,D,C,B,120.18040503696305,A,1
Hispanic,UK,C,A,C,B,E,-3.1682697392846544,E,1
Black,China,C,B,D,E,B,-201.6108786188076,A,0
Asian,Brazil,D,A,D,A,A,124.18892976758652,E,0
Other,Other,D,B,E,D,A,-63.12088183927992,C,0
Other,US,E,E,B,D,D,-86.56231618197425,C,0
White,Germany,C,D,B,D,E,68.72737200183767,C,1
White,China,C,D,E,B,C,65.22714635595047,D,0
Black,China,D,D,E,E,A,90.64947330562522,D,1
Black,UK,A,B,C,D,E,-60.891468443319674,D,0
Black,India,E,E,E,C,B,29.935674118724677,A,0
Asian,US,D,D,C,C,A,74.95988748245531,E,1
Hispanic,India,A,E,B,C,E,-122.94098411905665,E,1
Other,Germany,A,B,E,E,A,23.64495962596484,D,1
Black,Germany,C,C,C,E,C,-101.60527299308295,B,1
White,Brazil,B,C,E,B,C,58.06539361375956,C,0
Black,Brazil,C,B,C,D,B,-1.233997673496707,E,1
Black,Germany,D,A,C,C,E,-82.85362699967074,C,1
Hispanic,Other,C,E,C,C,C,36.435176246382504,A,0
African American,Germany,C,A,E,C,A,-19.763221752345842,B,1
Black,Mexico,D,A,D,A,D,-3.9723606796027813,D,0
African American,Brazil,E,B,C,B,D,35.738560323503954,D,0
White,Other,C,C,C,A,E,-115.6285250611766,E,0
African American,China,B,B,C,D,A,-81.0743059506221,B,1
Asian,Other,E,B,B,B,E,143.7428063656021,B,0
Other,UK,D,C,C,A,B,-158.64879604263064,E,0
Other,India,C,A,E,A,A,-81.18488372139497,B,0
Hispanic,Other,C,B,D,E,E,-71.23364781657277,E,1
African American,Mexico,B,B,E,C,E,-133.28601229062545,D,0
White,UK,B,B,D,B,D,-0.9652249985448998,D,0
Other,Brazil,B,D,A,A,E,176.51712155050754,C,0
Asian,China,D,D,B,B,B,-40.541284223520904,A,1
Black,Germany,A,A,A,C,A,86.84079528342761,A,1
African American,Brazil,B,B,D,C,B,50.80825335177832,C,0
White,US,C,E,E,E,C,34.64398481643175,E,1
White,Germany,C,A,E,C,B,88.18880227458514,E,0
Asian,Germany,A,C,D,D,B,-77.62628563226782,D,1
Other,Mexico,D,D,A,C,E,-56.6326588880981,C,1
African American,Mexico,B,B,C,A,A,-16.623301704015685,B,0
White,UK,B,A,C,E,E,-7.837926116228666,B,1
African American,China,A,C,A,D,D,7.479770191286107,D,0
White,China,B,C,E,D,C,-61.268021343021914,B,0
Asian,US,E,D,D,E,B,-166.49259034698915,C,0
White,India,E,D,E,A,B,41.644542333025605,C,0
Hispanic,UK,D,E,A,A,E,11.092868462028136,B,0
Asian,Mexico,D,C,B,A,A,-118.35412910315574,D,1
Hispanic,Other,C,E,A,A,C,-59.058377577367935,B,0
Asian,China,C,A,B,D,E,3.9913978126502014,C,1
White,China,A,E,B,B,D,132.2088810063533,B,0
Hispanic,China,C,A,D,D,A,167.55684199949727,A,1
Other,India,C,C,D,D,D,114.03419769250236,D,1
Black,China,A,A,D,B,C,178.10326113606513,E,0
Black,Germany,C,B,C,C,D,48.76772860572489,B,1
Other,UK,D,D,A,A,B,-108.38341260571596,C,0
White,UK,C,C,A,D,A,58.96570896002411,C,0
Other,China,D,C,E,E,B,15.556090322480731,E,0
White,China,A,D,B,B,C,74.09127109274823,A,1
Other,Other,E,B,A,A,C,-25.5937718243005,E,0
Hispanic,Other,C,D,C,E,E,-73.77740609674656,C,0
Black,Other,E,E,A,D,B,66.61969992440349,A,1
Hispanic,Brazil,A,D,E,A,E,132.90763181874348,E,0
White,India,A,A,C,A,B,-94.3862003826073,C,1
African American,Mexico,E,B,B,A,E,-108.93916511405406,B,0
Black,Germany,B,D,B,A,C,132.2578028052444,A,0
Asian,Mexico,E,A,E,C,E,-97.91385569884761,A,1
African American,Brazil,D,D,D,C,C,-105.874026208032,E,1
Asian,Germany,B,E,C,D,B,-2.3795033908062737,A,1
Asian,China,A,A,E,B,D,140.30108951343445,E,0
African American,India,A,E,C,E,B,-20.916026619209216,C,1
African American,US,D,A,E,D,E,-25.205469083742706,A,1
African American,Germany,D,C,D,D,B,-58.7564178560899,C,0
Other,Brazil,B,E,B,A,E,314.3506596495529,C,0
Asian,India,E,E,A,A,B,-26.357637842678244,D,1
Asian,Germany,A,D,E,B,E,-27.511458750848405,C,0
Asian,Mexico,D,D,A,C,D,27.056965826126962,B,1
Hispanic,India,C,A,E,B,C,-95.59248420025487,B,1
White,Germany,D,B,D,E,C,114.82306263320766,E,1
Other,UK,C,A,C,B,E,95.36886532321066,A,0
Asian,India,B,E,D,E,A,-82.6515932881527,B,0
Black,Brazil,A,D,B,A,C,2.401426799661114,C,1
African American,Mexico,E,B,B,A,C,45.50911665009746,B,0
White,US,E,C,B,E,A,-69.5504111534626,E,0
White,UK,D,D,E,B,C,14.076021677259076,E,1
White,UK,A,A,E,C,B,-36.87908025452449,D,1
African American,Other,C,C,C,E,A,-70.67719067647629,C,0
Asian,India,B,A,C,C,B,-291.4299020754585,A,1
African American,Mexico,B,B,E,A,C,18.125969073720533,C,1
