Nationality,sexuality,Religion,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
UK,Heterosexual,Muslim,Yes,A,-2.8576367403788274,101.889951156997,-98.94125507216195,D,B,1
Brazil,Heterosexual,Other,Both,C,-52.149175102766286,39.06230157910024,109.60780690480829,D,D,1
India,Other,Hindu,Yes,D,145.89281811532825,-26.40264617250593,-58.20843057125104,B,B,1
Other,Heterosexual,Christian,Yes,E,89.75898886859684,-73.1483780489835,-122.0440803214588,E,D,0
India,Heterosexual,Other,Yes,E,26.073171864568245,51.99108590929138,-19.240349424718296,E,A,1
Germany,Heterosexual,None,Yes,D,35.365549211323795,29.18857442659594,-15.447276231497852,D,E,0
Mexico,Bisexual,Hindu,No,B,251.83849374424102,101.98523966047892,-118.13928361945266,C,B,1
Mexico,Bisexual,Buddhist,Physical,D,100.21907109851378,-0.13447793915929984,-20.827110580292608,D,A,0
US,Bisexual,Buddhist,No,B,30.161008865487982,-35.99830438221195,66.07724921075669,D,A,1
India,Homosexual,Jewish,Both,C,-49.42488245499783,132.5907248684993,-22.169737135717675,D,A,1
Other,Bisexual,Buddhist,Physical,E,103.83448140459186,41.92443240352478,-28.11910549325721,A,E,0
Brazil,Bisexual,Other,No,C,-166.1204167252169,-14.465914001802874,182.7481812748606,C,D,1
Mexico,Bisexual,Buddhist,Yes,E,-43.00976875701063,-160.095322703262,6.170864681344501,E,E,1
Mexico,Bisexual,Jewish,Physical,E,-60.73589873669357,142.46600583025187,27.945439887791157,E,C,1
China,Heterosexual,Christian,Mental,A,-17.094241237333684,-120.14571308344199,138.00152833249572,C,C,0
Brazil,Homosexual,Muslim,Mental,A,-46.98286799977553,-10.668288686003851,145.3720569952401,B,C,0
India,Heterosexual,Hindu,Physical,E,-123.82829402388124,-53.272828741541055,31.319268267437682,B,A,0
Mexico,Heterosexual,Jewish,Yes,B,33.570797030662185,-12.936449738148207,90.16132306665962,C,E,0
China,Homosexual,Hindu,Physical,B,11.83139519930361,-15.87688241403868,-223.8385960994934,A,B,1
US,Heterosexual,None,Physical,B,30.335340166572966,-139.26360474953,33.24549194300033,E,A,0
India,Homosexual,Hindu,No,A,-64.39084164239975,41.49038548657099,-3.1680316156037245,B,E,1
Germany,Homosexual,None,None,E,111.33461852433251,2.2227867884934973,-97.79467061109509,D,B,1
Brazil,Other,Christian,Mental,A,-140.73271098405922,-0.2286602143978745,-129.5858812415809,B,A,1
UK,Bisexual,Buddhist,None,E,175.5016773811023,-35.17705570109066,-68.6242553769369,C,A,1
India,Homosexual,None,Mental,C,70.37192741825287,-10.943108685862638,-57.47031031535681,A,B,1
Mexico,Homosexual,Buddhist,Yes,A,44.80312478695604,105.60107815341189,-24.85814284409743,A,C,0
India,Heterosexual,None,Mental,B,-10.746031850054083,74.98785285586229,-104.35634420927411,D,C,1
Brazil,Homosexual,Christian,Both,A,115.19157112057236,76.69740512406503,-2.940975433822884,B,D,1
US,Bisexual,Christian,Yes,D,-18.449623061441205,-188.1599913876742,-71.91564668129786,E,C,1
China,Other,Jewish,Both,A,-54.490663437873124,42.42399320970302,41.443886635746175,E,C,0
Mexico,Heterosexual,Muslim,None,B,-42.09072576167826,28.21954879658251,139.563337364716,A,A,1
India,Bisexual,Buddhist,Both,E,53.62424039545971,-53.38415311271715,32.60555714381287,B,D,0
Germany,Homosexual,None,Mental,C,19.52684337371521,177.61326005591732,32.67821922764281,D,B,0
Mexico,Homosexual,None,No,E,-73.57384574954544,-71.66612974975949,87.7778917130681,E,E,0
Other,Heterosexual,Buddhist,Physical,C,154.96986760507085,-287.01000190481767,197.68018759620682,B,B,1
UK,Bisexual,Christian,Physical,D,35.32553704165538,-148.3615455006286,26.49350352620526,A,E,0
Germany,Heterosexual,Christian,Both,C,63.416173443221055,-55.010874649229336,142.5151529206302,E,E,0
India,Heterosexual,None,Physical,B,96.15853931483173,169.46466616981027,49.06858226534883,A,A,1
Germany,Heterosexual,Jewish,None,E,65.25122858892854,-88.44924358185477,47.46898902074545,C,B,1
China,Heterosexual,Hindu,Yes,B,-38.546667803701915,42.60739754625399,-47.62644775071969,B,B,0
Brazil,Homosexual,Other,Physical,E,116.6431369203814,-47.174587679397376,-71.22307166774195,B,A,1
US,Bisexual,Muslim,Yes,C,-236.75975769016176,25.281261147744686,40.04829906775409,D,D,0
Brazil,Bisexual,Muslim,Mental,B,-74.50923443342005,-181.8719412618625,-23.45969205916188,D,E,1
UK,Heterosexual,None,Mental,C,59.15690145459895,93.54308040905883,104.95487061293049,B,C,1
India,Other,None,Physical,E,3.5063619498589063,121.22230616224783,38.09825937253642,D,C,1
Germany,Other,Buddhist,None,C,37.764893000499924,-23.09840375776418,-156.68270277888604,C,C,0
Brazil,Homosexual,Muslim,No,A,155.81274548028392,58.24547204614584,-89.84300988388746,C,E,1
Mexico,Bisexual,Christian,Physical,C,17.42569176038278,58.15672766768797,-18.45930521708323,E,B,1
China,Bisexual,Christian,Physical,E,131.53426621287616,-61.781413844461575,98.6925675988238,E,D,0
Brazil,Heterosexual,Other,Yes,E,-41.67159769768356,187.79390960183565,55.13609256577998,A,A,1
Germany,Homosexual,None,Physical,A,-122.61223586942471,-232.84071793483866,-1.5139791960476123,B,D,1
India,Heterosexual,Jewish,None,A,-14.395150874906046,8.138532934196698,-132.4980903415844,D,E,1
China,Bisexual,Christian,None,D,-77.56850362275631,-40.27371540189704,152.4188485180933,C,C,0
UK,Other,Hindu,Mental,C,-77.7393929349512,-94.37985040443402,29.419086331346755,D,E,0
US,Bisexual,None,Physical,E,41.21958739544144,-107.7490426145277,-83.18390476620311,B,A,1
Mexico,Heterosexual,Muslim,Yes,A,-11.004888940956702,-13.625574975780152,78.44258008012514,E,A,0
UK,Heterosexual,None,No,C,74.80082634910171,-92.65090645398814,-35.46849215103713,D,B,1
UK,Homosexual,Buddhist,Physical,E,188.72650111256172,30.684618896573156,46.86929450203116,C,E,0
Mexico,Heterosexual,Other,Physical,A,-67.33448549664436,118.84160569500621,92.28023245418929,A,D,0
Mexico,Heterosexual,Jewish,Both,A,-154.41070379015432,-80.27737270891448,49.363673198274924,D,E,1
Other,Homosexual,None,None,B,-48.06833158420348,15.575043514615338,-48.73381107816279,E,D,1
US,Homosexual,Hindu,Mental,C,128.04990154893628,-53.353196638051244,42.61094640831466,E,C,0
Mexico,Homosexual,Other,Mental,A,-10.578034302687687,268.39199527854777,-87.74324233903222,B,A,1
India,Homosexual,Muslim,Mental,D,73.76476239307844,66.71381198363731,105.82963478392156,A,A,0
UK,Heterosexual,Buddhist,Mental,E,76.0485873171047,-165.94747563258605,16.81748370088327,E,B,1
China,Bisexual,Other,Mental,D,196.52082903743897,90.89300022817191,65.47010484249915,B,B,0
India,Homosexual,Hindu,Yes,D,-269.1977878245069,91.43293931136391,-94.89992080570346,D,C,0
Mexico,Other,Hindu,No,B,-103.96987740982291,-153.02393951181924,68.6498983571309,E,B,1
Brazil,Heterosexual,Muslim,No,A,-74.63520154240292,35.09687687103853,-36.79008428102975,D,A,0
India,Bisexual,None,Yes,E,51.52773667995636,-57.418231512596485,8.769367361257755,B,A,0
India,Heterosexual,Other,No,A,18.4906397728397,33.57867679362558,6.436414693104359,B,A,1
UK,Homosexual,Jewish,None,B,29.38183375335946,3.0770554551524927,-26.095322786024365,E,C,1
India,Heterosexual,Christian,None,B,-15.415699762810764,117.1851446050661,75.1237272134418,C,C,0
US,Bisexual,Muslim,No,A,69.7291814887073,170.4914301238786,191.52477294436434,B,B,0
Other,Homosexual,Muslim,Both,B,-23.626405160824877,-145.7897765461363,-28.068422064504894,D,B,0
US,Heterosexual,None,None,A,78.50713126751877,5.68147399652566,-121.88190140603734,A,A,0
Brazil,Bisexual,Christian,None,D,-58.11030642537654,44.464587772137406,7.776947481658772,B,C,1
Other,Bisexual,Muslim,Both,D,15.247591214559545,-113.06342558031339,-3.015981776224822,A,E,1
UK,Bisexual,Jewish,None,C,-149.56304510804944,106.3994114562786,-2.3977267664270214,B,A,0
India,Bisexual,Buddhist,Mental,D,-49.91531222054319,-11.978609821940761,-22.806183518432597,C,D,1
UK,Other,Muslim,Both,E,96.07371505276177,-21.789210459288146,234.34718086736424,B,E,1
India,Other,Other,Physical,E,144.3113441837961,-33.467901262029585,56.06749123906268,B,A,1
Mexico,Bisexual,Muslim,Yes,E,-32.133501980744015,-26.367592205983907,12.928048312675108,A,B,1
China,Other,Muslim,No,B,-23.12746483930741,-54.62078679879511,14.491896214779215,C,A,0
India,Homosexual,Other,Mental,B,70.80530052401002,-73.3823316657991,-106.75537400161204,D,A,0
Germany,Other,Buddhist,Mental,D,155.09611438561717,-59.385923498662706,140.2282353610397,C,D,1
Other,Homosexual,Hindu,None,A,234.67456045836715,-5.311245938988488,123.97169237141496,D,C,0
UK,Homosexual,Jewish,Physical,C,-182.85332804366385,66.37729878256322,69.37189999592684,E,D,1
Brazil,Heterosexual,Muslim,Mental,A,11.206861935468151,-49.40325410301046,142.19075566474245,D,E,0
India,Homosexual,Muslim,Physical,B,-73.03190549615235,136.68150745819884,127.06264098847586,D,A,1
Other,Heterosexual,Muslim,No,A,-199.01902179699795,-257.05905583372726,-44.04807483794945,A,D,1
China,Other,Hindu,Physical,E,28.347290926349412,-102.90033094136062,-18.302655402082106,A,C,1
Brazil,Other,Other,Yes,B,132.25878211117296,55.185097765528766,-56.04137826791358,B,C,1
Brazil,Bisexual,Hindu,Mental,C,57.71924292150461,33.594600136483876,-64.14869714345583,E,D,1
Mexico,Bisexual,Jewish,Yes,B,72.23598248762191,32.12134544260045,30.56760087627436,C,B,0
UK,Bisexual,Hindu,Physical,E,79.6698014881533,25.962978651820762,-117.20053128323313,C,B,0
China,Bisexual,Buddhist,Mental,D,87.56102283350936,-133.54039881832378,33.20778551702991,A,C,0
China,Homosexual,Christian,Both,D,26.921756792090797,-37.62162700713485,-19.907172244156317,E,A,1
China,Heterosexual,Other,Mental,D,-38.2455332546514,-39.243901836193515,-222.7153296014043,C,C,0
Germany,Bisexual,Muslim,Yes,B,-35.30121422476017,-107.8596960584494,-194.34614165589716,E,E,1
Germany,Homosexual,Muslim,No,B,-74.54942643833947,-122.69152900330955,6.889427674509752,A,A,1
Brazil,Bisexual,Muslim,Both,A,-5.276752553746526,-0.1414060481986059,-83.2901276886268,A,B,0
UK,Homosexual,Jewish,None,C,45.07189229439324,-89.51797964867629,-79.28949988924089,C,D,1
Germany,Homosexual,Hindu,Physical,A,-177.754527191373,5.627461279413784,210.76357369096783,B,D,1
Germany,Homosexual,Buddhist,None,E,11.027855974175402,112.63000603921837,-11.558570039994667,E,B,0
Mexico,Homosexual,Jewish,None,C,-131.77571622175012,66.0149197916266,3.553877709578959,D,E,0
Other,Bisexual,Other,Mental,D,121.94152099528787,101.83618196296887,-109.96841307733756,E,C,0
Mexico,Other,Christian,Yes,C,102.96361662883339,127.80824890314966,85.16859253612637,E,E,0
India,Heterosexual,None,Mental,A,82.81504166095522,-23.479657336220228,83.71994488712588,E,E,0
Mexico,Homosexual,None,None,A,-197.24663151759103,130.91098342668062,-180.7484281586252,E,A,0
India,Heterosexual,Other,No,B,45.0320504270912,-152.78875495560646,92.71904748175717,A,A,0
Germany,Bisexual,Christian,Both,E,132.58536877752533,7.798734221340265,-107.24497251859077,C,C,1
Mexico,Homosexual,Jewish,None,E,-95.27700702601166,139.7013035996745,59.55539448646555,C,C,1
US,Heterosexual,Other,None,B,40.1948719159819,-64.62415488777764,158.87625731292906,E,D,1
India,Bisexual,Buddhist,No,B,66.37097074239529,43.60150491703874,-104.39752536885716,A,E,1
Other,Homosexual,Christian,Mental,A,71.38612334686084,125.95448318394861,15.218105865110099,B,C,0
US,Other,Other,None,A,-16.41994932963878,-33.83241984162079,-124.08189755351906,C,C,0
US,Other,None,Physical,A,-41.28821645658957,242.5220097942292,-77.31380478348304,B,D,1
Brazil,Homosexual,Christian,No,C,33.432593546696104,41.56348214045585,13.307151827080826,D,B,0
Mexico,Homosexual,Christian,Yes,C,-154.26548349447614,92.09126485597785,135.5523198557123,A,B,0
India,Homosexual,Christian,No,A,179.94095370483737,66.4055900647588,243.62712667283796,D,D,0
Mexico,Other,None,No,E,-6.571767031890631,53.904647558284125,107.85683146786735,D,D,1
India,Bisexual,Jewish,None,C,-131.05559742246427,-105.24177898565783,217.78792042680078,C,E,0
India,Heterosexual,Jewish,No,A,6.433822122306067,-6.829167111705877,55.043586763342766,D,D,1
Brazil,Homosexual,Other,Physical,D,-106.37034341944323,35.49768044936658,12.170102696534785,D,C,1
Germany,Other,Muslim,Mental,D,104.7950277600039,17.795065517466334,-61.533207955078716,E,E,0
Brazil,Homosexual,None,Physical,B,19.991405853511925,242.91164370654985,-72.01599246227171,B,E,0
Other,Other,Hindu,Mental,C,-27.92432768853778,32.814665887898705,66.23642897271836,C,E,1
US,Other,Buddhist,Yes,E,9.05716969701172,36.26105850996175,-197.87757916276513,E,D,0
China,Heterosexual,None,Yes,D,6.57111129392573,69.74027262253846,-32.845321331780184,B,A,0
China,Other,Other,No,B,-157.68929474143974,-26.48978781962589,-34.642579178559544,C,A,0
China,Bisexual,None,None,E,55.400145813975996,121.4188697680765,-50.365363146467324,C,C,0
Germany,Homosexual,Hindu,Yes,D,73.97947576700305,98.9248649747469,65.66506340774504,D,A,0
Mexico,Homosexual,Other,Both,A,-97.026048593598,10.128065562216005,134.64249090348082,D,A,0
Germany,Heterosexual,None,None,E,-55.47126678732236,-139.7326738885034,173.32565040919204,A,E,0
China,Homosexual,Jewish,Yes,B,19.238886870245416,64.17459094208185,13.965769952431998,C,C,0
China,Homosexual,Buddhist,Yes,B,-54.11359494672139,28.59795336872099,-122.52423861264836,C,A,0
US,Bisexual,Christian,Yes,C,-0.156046344789709,-144.57646021144024,-12.223191035299283,A,A,1
Germany,Bisexual,Christian,None,A,101.7052194368003,-56.90958673491745,-14.98682017016616,B,D,0
India,Other,Christian,None,C,160.107808104087,-60.646331185823065,-14.304068629312594,E,C,1
Brazil,Homosexual,None,Both,E,36.368261147376025,-109.07682137102368,57.50747891926898,B,E,1
Germany,Bisexual,None,Mental,C,-223.53972729169143,83.0485209356647,-163.670566964012,E,D,1
US,Heterosexual,Jewish,Both,C,54.951797345890604,202.92878964888308,92.7420580264667,E,C,0
Mexico,Other,Hindu,Mental,A,49.15554739256504,126.29306278091805,-130.855686198356,C,D,1
US,Homosexual,Hindu,Mental,E,-39.95866469643104,30.192877147736287,-41.28334176443166,C,B,1
Germany,Heterosexual,Other,Mental,C,-92.43148622771646,-22.388966228987638,-57.27840669367256,B,D,1
India,Other,Hindu,No,A,-198.56953697998821,124.6970366555639,-140.9582934578903,E,B,1
US,Homosexual,Jewish,None,C,238.77884932916885,168.60388673848016,-128.55577770624038,E,D,1
China,Other,Jewish,Yes,A,-61.79677201313125,29.420300509516988,148.35155673875437,B,A,1
China,Other,Jewish,Yes,E,64.91756529838612,26.192670885591973,-13.010304880141657,E,E,1
US,Homosexual,Hindu,Physical,E,32.78827298588571,-43.82766759464843,-109.61848808274277,C,B,0
India,Bisexual,None,Mental,A,46.351060278794186,-51.843053889645695,-35.52885745106924,D,D,1
China,Heterosexual,Jewish,None,E,112.89276213085968,-37.68193952220642,48.5684618536468,A,E,0
US,Heterosexual,None,None,D,73.54658092762645,58.248376404524,26.413453293883578,C,E,1
India,Homosexual,Buddhist,Both,E,5.198226671584444,216.51408837556448,112.61584625705842,E,B,0
India,Homosexual,None,No,A,-56.719375792781754,-12.083190870388428,-94.37932510642084,B,E,0
Brazil,Bisexual,Muslim,Mental,E,-22.09828446322593,-68.11434591027067,-240.22985516553095,D,A,1
China,Heterosexual,None,No,A,-133.0557727378544,-126.23294006830893,13.32488402742897,B,D,1
Germany,Bisexual,Jewish,Mental,B,-61.9111767795568,15.038887066910547,249.1473864923059,A,E,0
UK,Bisexual,Hindu,None,C,35.73405534544649,-116.19275534078083,94.09615397501531,C,A,1
US,Other,Hindu,Yes,C,106.65590902061264,-42.661423480077254,-150.5637047162103,C,C,1
Mexico,Heterosexual,Christian,None,C,98.60586259099293,85.3545811258129,18.172167480448884,D,E,1
China,Bisexual,Muslim,No,D,-13.318942978262555,110.6021814059583,107.77948094658481,C,C,0
China,Bisexual,Other,None,A,47.76267108243813,135.95756012477864,48.04842949887682,C,C,0
US,Other,Buddhist,No,E,38.77126303024939,-0.2095412203455989,-87.22591802309947,C,D,1
Brazil,Homosexual,Hindu,No,D,-26.477665625220453,15.732201874730512,12.180337403101573,C,B,1
India,Homosexual,Hindu,Physical,D,35.40819681220919,37.945011632603325,20.540038264052964,B,A,1
India,Heterosexual,Muslim,No,C,68.52039023430392,-16.97803479831819,-66.19717990179664,D,D,0
US,Homosexual,Hindu,Mental,E,-49.70534904956628,7.35303853237834,42.698424674463666,A,E,1
India,Heterosexual,Buddhist,Physical,A,-80.48615998330865,-89.39897810698102,71.49412708026493,D,B,0
Other,Bisexual,None,Physical,B,-8.748339620175082,148.07829371541848,-25.16832835501262,E,E,0
Mexico,Homosexual,Christian,Yes,B,63.67714801880573,-84.27504723057561,145.06955235860357,E,D,1
Mexico,Other,Jewish,No,E,-13.300275535197152,7.823183635629677,-96.94421502799817,A,E,1
Mexico,Homosexual,Hindu,Mental,E,108.84964236115128,-60.66179922311215,-61.466790279365654,B,B,1
China,Other,Jewish,Mental,D,74.35626061063458,-73.99913095843725,-9.147831940787416,D,A,0
Mexico,Bisexual,Buddhist,Yes,B,-55.435721828412355,-81.17061589350308,7.020733890590691,E,E,0
Brazil,Other,Other,No,B,-25.554441945739743,-2.3019157945315025,-58.20588966277542,D,A,0
China,Heterosexual,Hindu,None,C,12.302755862014424,100.32744256170344,227.8297671698114,A,E,1
Mexico,Bisexual,Hindu,Yes,A,-30.04215182816914,5.2183755183671074,18.796489420473858,D,A,1
Germany,Bisexual,Jewish,Physical,A,16.46336806378711,-101.48971795002049,-6.006494710028486,C,A,0
Other,Homosexual,Hindu,Both,E,-77.37310363079744,-105.21356296232199,39.12235233092296,E,A,1
India,Heterosexual,Buddhist,Yes,A,-170.76020104870827,-61.496676229811456,66.72522563338556,B,E,0
China,Homosexual,Jewish,None,D,-56.81717077455887,-156.58572559785236,-63.703571573950356,E,A,1
Mexico,Other,Other,Physical,B,-92.58843460949538,-96.06771861509378,63.58333216906692,E,B,0
Mexico,Other,Muslim,Yes,C,-138.30724164301557,-65.1482762807932,-10.810508269966494,A,D,1
China,Bisexual,Hindu,No,B,117.17243225477552,-43.341071828747424,92.04725064650661,C,E,0
China,Heterosexual,Muslim,Mental,D,-210.86015635491634,-95.70111471225789,-44.116954924096355,D,A,1
US,Other,Muslim,Mental,C,94.56748570001248,12.97603030998736,-56.23266888067712,E,C,0
Other,Bisexual,Muslim,No,C,-5.961015361831651,238.42849333779594,78.76722382282489,E,C,0
China,Homosexual,None,Both,B,143.247735043182,5.723552213070847,-16.293262268067863,D,B,0
Mexico,Other,None,No,C,-74.3050574418705,192.77703015781148,56.66106676687033,C,D,0
China,Heterosexual,Christian,Mental,C,-139.8987975241083,21.188515900743056,-46.407118481186764,B,E,0
Brazil,Bisexual,Christian,Mental,C,-130.71825202540822,0.31189878196974946,102.92139036773193,E,D,0
India,Homosexual,Hindu,Mental,B,56.54266716395659,-125.20218203217416,73.34353276728199,A,C,0
Brazil,Other,Buddhist,No,B,-92.50266965124055,95.97235238521318,2.1296767122193074,E,C,0
Brazil,Bisexual,Hindu,Mental,A,-147.34124377592892,-47.74014304172655,66.4261166145304,E,C,0
China,Bisexual,Christian,Both,D,-1.5874615153523661,168.204720985763,49.47081133868909,B,C,1
US,Bisexual,Hindu,No,B,134.7822286889618,-13.572382106678072,-51.95902243149896,E,A,0
UK,Heterosexual,Christian,Yes,E,-59.15560513935249,28.54519577001563,150.54841589741258,C,A,0
UK,Bisexual,Hindu,Mental,C,10.580246002833785,-14.751873067161558,-115.0647297649918,B,D,1
Mexico,Other,Christian,Yes,C,123.49384279487667,107.87668622896176,131.22648234738625,C,A,1
Other,Bisexual,Christian,No,E,65.24314040667785,173.57167503009538,-65.78367857031357,C,E,0
India,Bisexual,None,Both,E,108.60199253773317,78.74826292169944,-139.96027665579678,C,E,1
China,Other,Christian,Yes,B,69.49553246564915,99.55017933445298,26.67265060146121,E,E,0
UK,Bisexual,None,Both,D,-30.865788215279206,-89.21792589707178,20.51340437466665,C,D,0
India,Other,Muslim,Mental,B,83.12179328435944,-176.19944095916193,-126.13051766640268,A,A,0
Germany,Bisexual,Jewish,Both,E,-0.9978290428015099,92.78420962578073,-218.314556195645,A,D,0
Germany,Heterosexual,Other,Physical,A,201.293643474917,-47.983325718091294,-80.1282528506483,C,C,1
UK,Homosexual,Jewish,Yes,A,88.08336261792009,-21.26376834685106,-172.0314007941866,C,B,1
Other,Bisexual,Jewish,Yes,B,57.379697546458864,52.199784810945374,-94.79396050597221,A,B,0
UK,Homosexual,Buddhist,None,E,28.97981131840435,-106.63329681958243,-25.330851887385602,C,A,1
UK,Bisexual,None,No,D,187.13066917756151,-4.109209980098919,-18.208917995465846,C,C,0
US,Heterosexual,Other,Mental,B,-106.49623882020349,171.5412691155255,130.24336633676603,C,D,0
Other,Homosexual,Christian,Physical,B,143.91650977902225,52.36229612361116,-25.666975713272617,C,E,1
India,Other,Buddhist,Mental,C,-224.35191795614148,95.04480011620106,-109.8867853897393,E,B,1
Other,Other,Muslim,Yes,B,9.565378400028786,45.445488634351854,-47.76864110975346,E,D,1
India,Other,Christian,Physical,B,-70.18847243091582,208.0769908227506,-107.88023748563586,C,A,0
US,Other,Hindu,None,D,61.44296589131139,-124.87548991018218,162.0201487174993,A,A,0
Germany,Other,Christian,None,A,-175.98818185727978,69.52038826989431,59.48361877255892,B,D,1
China,Heterosexual,Hindu,Mental,D,-202.60998666255938,94.42882866176318,-186.99533378500513,C,B,0
Other,Bisexual,Jewish,Yes,A,-5.5252882824165255,94.25642730081816,-67.24688592502656,D,D,0
Germany,Bisexual,Jewish,Yes,E,86.09789955013494,-131.2988185441101,-25.750870062175714,C,B,0
Mexico,Other,Buddhist,No,C,-106.2987128227656,-24.474276547189515,-8.126821196386185,D,A,0
Mexico,Homosexual,Jewish,Both,C,29.880713709355,-1.8420966602197455,-11.04592924141314,E,A,1
China,Heterosexual,Other,Physical,C,178.69454679272738,4.468992089640354,-115.55647367560266,C,B,0
India,Homosexual,Buddhist,None,C,-197.0175886009317,-30.317952643773992,16.26208982674822,B,B,0
UK,Bisexual,Muslim,None,C,-84.97019453797428,17.59544291076548,-91.7116477139936,B,A,1
India,Homosexual,Hindu,Yes,D,-191.45657919644952,-0.5107639582248169,167.82756907125045,D,D,0
Mexico,Bisexual,Christian,None,A,65.72441009210922,56.642116859386846,89.51769690914342,B,A,1
Other,Other,Jewish,Mental,B,-221.18479191691077,133.22835432236306,88.65861266712835,B,C,0
Germany,Heterosexual,Buddhist,None,A,-35.67838683474623,-147.52669680796004,166.89706441098923,B,B,1
Mexico,Bisexual,Hindu,None,A,-63.55246678759669,166.29412961953568,-135.53202103431929,C,E,0
Germany,Other,Muslim,Physical,B,-130.37417729053178,22.741489910887175,-123.03359763702244,C,A,0
India,Heterosexual,Other,Both,B,12.95020569966852,73.85157128299174,-166.17975030312104,D,E,0
Brazil,Bisexual,Muslim,Mental,A,5.087561662708469,9.956117495830409,156.60348694726042,A,D,1
Mexico,Heterosexual,Jewish,Physical,E,108.6365792594552,-12.956990417441139,-196.0194303472926,C,D,0
China,Bisexual,None,No,C,12.607709959405039,12.81582874709685,-13.193403557292427,C,A,1
US,Heterosexual,Jewish,Both,D,62.52711050811149,136.6604810293178,13.470170202712604,E,D,0
UK,Heterosexual,Muslim,Yes,A,-58.24703578267526,-138.71539514473577,-94.51718682883678,D,C,0
Mexico,Other,Jewish,Both,B,-217.0449303770281,71.03803477721361,82.68584235652207,B,C,0
US,Homosexual,Christian,Mental,B,-56.203599525920936,44.02470350977358,-51.81832795177825,C,C,1
India,Homosexual,Jewish,None,A,-82.85190197789177,214.15441109866694,138.15651818950883,A,C,1
Mexico,Bisexual,Other,Both,A,-103.83800930316522,34.21753726982299,-94.12538029382131,A,B,0
Germany,Other,Buddhist,Physical,B,-7.839890459280219,16.87880448336499,-128.29839835110442,A,A,0
UK,Bisexual,Christian,Yes,A,57.312436224770465,53.327519529608146,-108.31387896544673,C,B,0
UK,Homosexual,Jewish,Yes,E,-82.45795557092846,50.70692728185784,-82.03062552018551,B,A,0
Brazil,Homosexual,Hindu,Both,A,-147.4535890149268,129.34441109618822,-11.02720859399191,D,B,0
