disability,birth_year,religious_affiliation,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Yes,47,Christian,No,70.27611485969595,12.7327614622808,E,-39.81650057985793,B,-31.465957475677076,A,C,-182.43929789749888,-90.97804896064122,51.90997574632383,A,0
Both,47,Other,Non-Veteran,30.987040343363688,-100.93706940155911,E,-2.4857518903482627,A,9.907051577593503,B,A,95.63867150342925,-242.36318849567988,-294.46121429245096,A,1
No,25,Hindu,Veteran,-57.727699627609276,156.07354334585423,E,81.01634471288385,E,28.917378300682827,D,A,113.24823276318841,138.88649056344127,-109.89404855240575,B,1
Mental,78,Buddhist,Non-Veteran,64.16127401397566,-139.68466313771427,A,-31.342216306142102,E,-22.935436002210093,A,D,-58.90142719198748,54.15458572035345,69.06319056628061,A,0
Mental,64,None,Non-Veteran,63.25809195076404,-50.39147255050561,E,13.160912362476942,C,-105.51601703914511,D,B,-54.962824851034156,-85.07855444677182,4.0192907993688225,B,1
Mental,88,Other,Non-Veteran,-159.91702859697924,-40.55026423199311,D,-104.45231672080249,B,-18.17835911541085,D,B,-53.64912143203101,-21.85948707837047,31.30553117817402,C,0
Physical,22,None,Non-Veteran,-36.6332078130007,-40.04606609320695,E,-19.84935045103183,C,54.522860005726415,E,E,217.2434697770061,93.62227612146464,-35.36412559058623,A,1
Physical,91,None,No,86.10665974114342,-30.88593819739412,E,57.971678205052946,D,-76.9101367717273,B,C,-59.71835001736095,117.1129072822038,-115.57533164181426,E,0
Both,60,None,No,-8.068117109648128,-17.917136875614283,E,-205.49776699798502,D,-2.8562661393941657,E,C,192.11750219951992,-38.285449070486884,130.13067731851046,D,1
No,22,Christian,Yes,58.98873404696637,49.49326732000704,B,34.737112214659845,E,82.3513217180458,D,D,-10.77364009159357,74.78874039158848,61.042143490267705,C,1
Both,68,Jewish,Veteran,-66.97724414518541,78.05105536587831,D,-106.680018315421,E,-81.73571726264406,C,D,16.086519202425016,16.5222816527904,52.02700613381304,B,0
Physical,29,Christian,Veteran,-18.524206527299285,137.23946580949504,E,-156.65316902425573,D,116.9820858397325,D,E,125.73064553234043,93.99067367712696,-8.286783430242307,D,1
None,50,None,Yes,181.7076271134431,-3.6168005251618127,C,-22.06801463139309,E,44.94291929251871,B,C,61.50061434290216,81.5869305751298,4.675614290886538,E,0
None,47,Other,Yes,16.10791563207688,104.38122123440496,C,-14.377856576536999,B,-43.33221192219204,B,A,-104.86918173182221,-41.42600032760886,11.829239679930415,D,0
None,45,Muslim,Non-Veteran,-178.48400624712184,43.131829440305054,A,-168.76727677854254,A,137.56150418620388,C,D,38.71828792357392,-75.48543277199265,172.47611678014448,C,1
Both,87,Hindu,Yes,108.81614139822675,-128.94335837118106,A,-33.778859588410256,D,-112.11753911613404,C,A,228.85910492125677,-50.11615911696501,-159.55965705495876,D,1
Mental,24,Jewish,Non-Veteran,32.19872186504276,-50.58758502676785,E,40.04004293924158,E,-12.521151554116566,D,D,-67.71597425990866,-5.727359322146692,-92.16185125359304,B,1
Mental,27,Buddhist,Yes,1.3182607660823467,-25.108491516019544,A,19.43099998580632,C,52.71390940979961,A,E,46.827890583321604,-74.1276644124691,-19.02337897839637,B,1
No,81,None,Yes,96.11093093303765,200.8668451069458,E,225.1484301070745,E,155.73172457962156,A,C,-46.70830812732811,-83.2928594715668,-22.452019371403402,D,1
Yes,39,Other,Non-Veteran,15.808372272764275,135.52923309781923,E,179.46462638869605,B,6.447480576290909,C,E,10.755942420898212,-54.8524502559387,-12.91201194347149,E,0
Physical,74,Christian,Yes,53.70136540894771,49.37197197174635,E,-3.3552473363214155,E,126.74867012740751,B,B,-92.35413166637294,-39.839073909211784,-191.46833212585506,E,0
None,57,Christian,Veteran,-49.43397523612798,44.15078246884999,E,2.785496692372979,E,19.06806144197986,C,B,-120.68582265016252,109.9738113284857,101.62624978622891,B,0
No,33,Other,Yes,-183.41612861832746,-6.060457612076138,B,-91.72797160713473,A,138.90646843995685,C,B,28.903956673839314,-60.38528987902488,25.444831883674635,B,0
Both,61,Jewish,No,-119.532549683192,76.03212189006429,C,8.010937905880539,D,-154.72800077295207,C,C,132.8513227112248,-132.85890884508416,24.17035500549304,B,1
No,24,Christian,No,-52.277606193781864,-27.61203008421417,D,198.5907512392958,E,-3.6730999279467715,A,B,-55.36980571737398,-24.670296683678504,36.17225305318183,C,1
Physical,49,Other,Non-Veteran,-48.92349030925907,72.87848388115175,D,173.2293156750706,A,191.9599137208582,E,D,-51.48147116996906,177.06237377507753,190.38931160003725,D,1
Both,22,Buddhist,No,-20.153289304591347,79.27866038068883,E,-136.97687784765267,A,8.10672542756695,B,E,4.587621130903631,129.93916195029013,89.23405515569233,D,0
Mental,51,Christian,Non-Veteran,-73.7393058827329,-57.21433690737214,E,-79.38201273839405,E,-4.078766449056344,A,C,-80.14726043069757,-58.67318714954683,-91.51582352095933,C,1
Mental,35,Hindu,Yes,74.40115146798189,-23.11751473211357,E,-167.5075937296556,C,-27.166498071041858,E,A,-104.99534903244141,36.47977095613869,85.10587635595822,E,0
Both,58,Other,Veteran,-0.8565876440933066,-110.85140176010704,D,39.519706799435525,E,1.2352203230849024,A,A,-39.91152730163108,-50.94809454160632,-89.13213954260523,E,0
Mental,92,Buddhist,No,-46.90798080727388,-73.84454123304619,B,57.86097250751793,E,-1.8100382772254429,E,B,46.58916248484648,-61.10535457889278,-22.936089279045223,E,0
No,26,Hindu,Non-Veteran,-92.43261298525866,-39.46111850552007,E,-85.16017776131478,A,30.430998057311324,E,A,-38.667696877914835,204.00218674795195,-10.527481472006707,D,1
No,31,Christian,No,-104.17798557528133,-40.697340156902406,C,75.90735716418409,D,-61.18075472046722,D,C,-35.44716416608795,-83.81213227370951,-35.47503165487346,E,0
Yes,86,Other,Yes,108.9496160095736,-9.713304408621452,C,138.9211758633926,D,-89.5568609216173,D,D,59.09246504955629,-29.876201560501574,-17.512129444172253,B,0
Yes,48,None,No,-68.56745779286399,-31.29389915730768,B,-3.9010185915717708,D,-18.960263607675756,C,B,44.80127774332615,101.90046920064584,142.19035543877027,E,1
No,81,Christian,Veteran,-187.26369278853767,-160.82711238222473,D,-88.34506288587406,A,6.574512093947163,D,C,9.915988523959676,76.47325066635034,-3.0767445545495176,B,1
Physical,30,Christian,Yes,213.53158657446966,168.61651786880833,D,-35.43735687192668,B,87.31918851457723,D,A,-97.52049242932071,41.23577141938512,-132.767088038498,B,0
Yes,51,Buddhist,Veteran,6.771078539935303,58.15051938301983,C,155.5298511965807,C,-63.839268369574256,C,B,15.783425739448658,134.84871857094947,73.59474127253566,A,0
None,31,Christian,No,-10.18676902898781,14.154301591811569,B,-79.53675323514716,B,-81.1162329815619,A,E,-13.532671586722786,-141.7411210185739,-81.17381443428079,C,1
No,78,Muslim,Yes,-96.08362757277,-125.02089790471314,E,94.72098727675433,D,33.65686957367078,D,A,-38.47100789508098,30.49688062090834,-20.67316592912165,A,1
Yes,71,Buddhist,Non-Veteran,-232.61553679360821,-142.48507962827293,E,25.389904487190762,A,5.222202673151426,D,C,28.225634130152404,125.67161251026555,1.3717618344641587,E,0
None,92,Jewish,Yes,134.53025930378288,-61.765832691123734,B,-82.7278444566201,C,114.76775183962683,A,C,90.52943019965059,177.176979635368,262.35429356643874,B,1
Physical,79,Hindu,Non-Veteran,5.6338904432090295,79.71640118132657,C,73.68183835007827,A,-82.91103269432408,B,A,-15.634647771428966,3.8481001392986136,182.46247061817445,A,0
Physical,84,Hindu,Veteran,-32.944947441770964,68.63963933509051,C,-173.05738120514218,A,86.50966458356156,A,D,145.78266597427017,-70.22343977763757,172.48112515552324,B,1
Physical,72,Muslim,Yes,89.31887032767396,-52.21977367804418,D,100.81692829628032,D,67.26589700447731,A,D,41.89555295251538,-189.43472194417302,-217.85814286430622,A,0
Mental,20,Jewish,Non-Veteran,66.92987686689276,-30.869735817165108,D,85.92470097716885,C,-78.67306641023592,C,A,-64.96515276100168,-54.94363069001027,36.80700403347543,E,0
No,73,Christian,Yes,28.11022820318755,12.130471284938471,C,141.7971069801343,D,74.33713769430199,D,C,29.16977364329544,-136.43424868463552,-145.50278151483488,B,1
None,30,Buddhist,No,-32.135131239068315,99.19767275271852,D,-161.59831849076753,C,116.64185798848501,E,C,-181.60257022209544,193.8342110634528,-132.94708136258373,C,1
Physical,25,Other,Non-Veteran,199.76068473994843,40.64431044493971,B,28.753574022076588,E,34.009470443436406,D,D,50.378732926446155,-62.013052757205834,85.26423636570155,C,0
No,64,Jewish,Yes,80.12761285308615,-32.05446780043009,E,90.5299766627432,B,-27.151510448904858,D,D,152.00407474302523,-177.25039715218313,13.574917572324837,D,1
No,76,Other,Veteran,-223.0582384702251,15.408674114336243,C,9.920146032093632,E,-118.67958016060713,E,C,138.94791190214028,-75.54528301725065,-3.0242625822135927,C,0
None,86,Jewish,No,5.795381312225058,-199.70344835297857,A,-149.41960341105917,A,-55.47625874212022,B,A,0.26877699241080055,-50.46254762818455,-51.082992254458645,C,1
None,18,None,Veteran,-59.168322857741686,-219.86601438374245,D,108.36603637285963,D,124.0074414736417,A,E,-137.2149850788369,79.74593987623213,-194.69168259731916,C,1
Mental,41,Muslim,Non-Veteran,-54.63271675934143,135.53643774415838,A,-235.79404958141842,C,-147.91649942689168,C,D,21.05892930131583,122.5793689992115,24.792841500897016,C,1
None,88,Buddhist,Yes,111.81151077953922,-14.069680016982808,B,5.561969779928621,A,-142.12724388053746,A,E,90.5269918516219,147.98594091025953,-53.874175427622916,D,0
Yes,29,Other,Non-Veteran,-91.77927324468807,-41.65143605745242,E,-57.616508839906984,D,31.89360194676039,A,B,-145.54848311211936,-76.18097433152488,65.71278781008303,B,0
None,99,None,Veteran,17.285947064389823,-75.72156891728308,A,-26.059800093452523,A,15.173440724048659,D,C,78.78954622957912,143.91534454976224,126.90293021990588,A,1
Both,56,Christian,No,-69.56343802123935,70.81004931581761,B,53.16623646680222,C,29.80263635922026,A,E,-47.695723561984806,2.0737505877316265,162.5601640567133,C,0
Yes,90,Christian,Non-Veteran,-133.34290662914097,76.9308471337094,B,123.01764764055389,D,80.06467038583277,E,C,95.65008843863615,21.913110880363522,-100.25894835494726,C,0
Both,82,Christian,No,134.21087933344677,60.29402111336785,C,30.01320110646759,C,-12.027481272536068,C,D,-39.44151370556641,-23.616633624929595,-82.80435639287712,E,1
No,89,Muslim,Non-Veteran,246.46640594778998,-11.30129256748475,D,-24.866061942507496,D,35.81295758571365,D,A,80.23103784320192,44.81910821481979,-92.07343859915149,D,1
Yes,42,Hindu,Veteran,-113.23451920457322,-34.7343438537101,B,-85.71890230608331,B,19.82489358715251,A,D,-79.22172368667006,3.289030156698209,30.192856001057432,A,1
Yes,89,Hindu,Non-Veteran,-71.30548900148177,-5.073033675900076,A,15.773848600033244,C,-2.496822569857581,C,E,14.270282949553579,-36.3293000013548,-81.82694264159899,C,1
Physical,79,Other,Yes,-42.570781573945034,-112.91759300681557,B,-92.48072957499109,E,-27.504494723152156,A,B,-122.53722805895846,-186.2618024216469,0.5952928378690766,B,1
No,70,Other,Veteran,74.14217521201934,38.230169280832705,A,134.01515319065834,B,-64.5659179033883,C,C,160.97537520196724,-16.670469546578072,102.20501504513912,D,0
No,83,Other,No,77.78201942184631,229.07897812643142,D,-158.8496454402832,C,-48.36378583218692,A,E,-69.85618746465488,135.57590539185264,-160.91509669487513,A,0
Physical,56,Other,Yes,-0.8460175896413781,-113.18335811608198,E,82.84624491724604,D,-157.44205873505612,B,A,152.4940519375879,-85.17682887373952,-133.4867775007357,B,0
Both,66,Muslim,Yes,-1.925694924981591,-148.95362234514033,E,12.344471364167127,B,227.93404380961348,C,B,43.18215651835308,-61.55265904676076,-166.55066334085592,D,0
None,96,Jewish,Veteran,102.51459908314784,105.33151054535996,C,-77.81711480943189,B,-92.67672137676934,A,D,-63.65361530045358,14.565435651449784,-57.08977571684676,C,1
Yes,65,Christian,Yes,-115.53548127080877,-79.65928980063846,A,13.726205126841268,C,-35.421215663779535,A,C,126.93482477612612,80.12317338844454,-163.8347784544466,E,1
Both,21,Buddhist,Yes,2.338515370853259,-144.7961236368614,B,-209.59323218866226,D,52.37216562388565,B,B,60.7161123926343,103.17252773372851,22.52654982490761,D,0
No,87,None,Non-Veteran,107.41468840237349,-65.37223130574357,C,-50.8809001015904,C,119.35254246298072,E,B,144.6750722050242,113.3372635375659,-92.84501689342875,C,1
Yes,74,None,Veteran,85.83875060625323,207.49785332552509,C,67.976165477794,C,29.33297266578134,E,B,184.80608566036258,82.46666789264506,-14.195292754854183,E,0
Mental,67,Christian,Veteran,-100.23305752450507,-53.40334531271509,B,91.08771318523358,B,51.27563009182907,D,A,32.48684582649907,85.03743604598496,-89.49467357502722,C,1
No,55,Buddhist,No,-62.337449872185424,54.13255544283704,C,21.20653298904401,A,144.1658271704358,E,B,-52.96956947578845,-117.53901176595217,-4.010401176974717,A,1
Both,39,Other,Veteran,-211.9690665264822,-230.60559262172666,B,198.25564005829926,C,126.5123592751447,E,D,82.04085796813202,-47.09997070299338,-8.761987087755791,D,0
Yes,75,Muslim,Non-Veteran,22.91010158670641,70.76385499530242,D,-31.018282788874068,A,-59.630523678414846,D,C,-144.94853171142782,140.06012695556925,48.13687146187394,C,0
Physical,99,Buddhist,No,-72.49539803103924,38.35656541480995,C,-95.96339471781053,A,-12.646765718752217,C,E,91.29961008802073,50.49231657139863,-80.61078317861579,A,1
None,60,Christian,Non-Veteran,-44.440037907021065,-70.84601027513264,A,-49.423346082163604,D,101.9305191550926,E,B,126.32184355064682,4.6758842315835265,136.60389062251187,A,0
Physical,29,None,Non-Veteran,-57.50575523023866,-86.42480809178704,B,51.885341790381375,B,-43.541228844688995,A,A,-55.216993283343164,-10.393477558729451,-17.130328599085093,D,0
Physical,28,Jewish,No,232.75764329272747,-1.5006768396255885,E,120.74888567595166,E,66.97138208258194,C,D,48.680950191565614,-23.870740524837878,-135.06529257937936,D,0
Both,90,Muslim,Non-Veteran,90.48750392700057,97.22554269926404,B,96.29211372969341,C,33.122199897254355,A,D,13.216069500712832,-32.844515800601734,105.7581058198229,C,0
Yes,36,Other,Yes,39.156356936171264,-17.17811701433076,C,-60.13918275596119,C,25.80175920490136,A,E,4.33150722696321,149.62819891083575,101.25254137058577,D,1
Yes,82,Other,Non-Veteran,-12.637140698288452,-50.03687511865426,A,-53.953691728247556,A,101.28066778017613,A,B,-114.04126413708946,-24.24013460755386,58.432033640881976,E,0
Yes,26,Jewish,No,-6.218684176741999,-39.22135362861065,E,32.126116153451875,D,143.63105025236734,C,C,53.1893379822979,-26.625150859834644,-76.84805225459715,C,0
Yes,82,Muslim,Veteran,213.724148315367,190.61129427398322,D,129.88591708509475,E,47.74923513330234,E,C,18.367212047894512,25.97063755507151,-81.43943970920738,B,0
No,44,Jewish,Veteran,0.9812367149613381,-66.20172884042594,E,90.24142330896612,B,77.16130489320506,D,B,186.99166460587605,90.56076628201566,-37.818862715695964,E,0
None,35,Muslim,No,-69.13877288461144,-127.68152486048415,B,95.40650834015239,D,22.813557886448606,E,C,-100.32262613792209,28.22695185611665,183.88948207383714,C,1
Mental,55,Hindu,Yes,-75.52521366281157,-55.36007069096672,A,67.06589785825298,C,-74.25762698192796,A,D,-24.598648057275092,-104.7443053948037,-73.74319063840734,E,0
Both,48,Buddhist,Veteran,-20.933054100610217,-259.30983419396006,B,55.126852571827825,C,-16.00761023080633,C,D,-119.33324723126202,-91.87281435145812,2.3103199263119585,E,1
Both,95,None,Non-Veteran,26.512864273212717,80.27522454920508,A,43.72475506613024,C,34.99399801421613,D,B,1.349531223747975,-59.254816085173346,213.31108277094089,A,0
None,80,Other,Non-Veteran,160.99031939312638,-144.12523962962692,A,-38.81819137985744,A,106.93004481793196,D,B,-168.08589112292972,67.90572160244304,-49.536656441412745,B,1
Physical,79,None,Non-Veteran,-103.80707896271907,-55.26399370092773,D,16.464443171832723,E,-62.604847145636015,E,E,-57.51534194777951,-111.94961768798738,-96.87750787612782,D,0
Mental,51,Jewish,No,46.20780695226583,54.277472077106346,E,40.414355202660424,A,14.14675798293481,E,E,-16.413231567716878,2.8537467632979783,-49.27818878214802,D,0
No,78,Jewish,Veteran,36.68591690457186,-38.559542355938056,B,-136.9212886081201,A,-133.0944357522571,B,E,-11.2079477940802,-8.486261917228793,-117.20893199629361,A,0
No,88,Muslim,Non-Veteran,-39.76682332421414,32.58081182951733,C,-194.59770611791487,C,-66.09266833887011,C,E,74.6285904384249,-20.581174114744897,-147.32105976838642,D,0
Yes,39,Christian,No,13.050912961069727,11.96985449898813,B,-49.23458202545138,B,123.84367459161507,D,E,-183.03031238626414,-12.891679215733765,-6.502369813051717,C,0
No,25,Hindu,No,56.518152043022354,60.80939502215724,A,-43.76231992358718,A,0.8800893780514484,C,A,-105.94559952626976,137.6781992844814,65.11404641153358,E,0
No,57,Other,Yes,-175.9542757634154,-74.67441473628304,B,151.51815958706953,E,-9.95294047550462,D,A,76.7304509346338,79.69039785821876,-178.67059328421317,A,0
Yes,46,Other,Non-Veteran,295.49612537698306,142.61342406364247,C,119.62227072379017,D,-163.47970325939707,A,D,69.8307638196934,-20.328683765280694,-174.78242269558223,B,1
Mental,84,Jewish,No,88.86688127646033,-40.030407293126686,A,58.13459556236975,B,65.01758646048921,D,D,48.23690561042229,84.78124191370048,-147.91579634616176,C,1
None,64,Hindu,Veteran,83.62236117358087,63.119446352851206,B,-64.32182297570867,D,43.72615166698784,A,C,-267.62894730885137,-61.13520512908415,-0.22824272867826914,D,1
No,67,None,Veteran,7.623090761366188,-20.058429037609365,B,-80.22537939428767,A,-61.85753469762025,C,E,29.05501320316648,43.40221824706011,-97.48611331933805,D,1
No,95,Jewish,Yes,-170.5555484648913,-13.139653671239545,D,-184.24533505035942,C,-43.08341380100276,C,D,125.27527970052299,95.27945470494193,263.7836373252686,E,0
Yes,65,Christian,Non-Veteran,-177.8771611421149,18.578991629173277,A,-17.24635097419377,B,105.4873943563586,B,C,-159.97422447748616,248.9567204424606,129.97099131737926,C,1
Mental,59,Christian,Yes,-201.1137187355555,-25.012622703281146,E,-87.36022658835415,D,-73.34586895299033,C,B,-40.03261997985908,79.6375152022548,18.114213055774123,B,1
No,18,Christian,Veteran,7.078056823952925,2.997878321362783,A,142.07260645756364,B,187.55385572043713,A,D,174.5137947528651,8.216470050584528,-90.39630860945334,B,0
Yes,46,Buddhist,No,-99.37615666527839,-84.16272685701746,D,72.37085096441682,C,-31.231574543489703,C,B,178.17203310289466,-6.961800345725414,-53.41524884023154,E,1
Mental,63,Jewish,Veteran,-81.75456964337597,70.73535204062698,E,-58.757320928588584,C,-168.0869677469279,D,E,83.43998740230069,-129.89305549398844,-54.68464732718347,C,0
Yes,20,Muslim,No,-41.2033299290626,-97.94163192480208,C,-239.23295270987145,C,-54.18317747972282,E,B,-18.580160649927326,106.54696164729276,-76.30546029913319,E,1
Physical,71,None,No,184.60330588918123,-94.18212702141676,C,207.879496825776,C,15.31555715695839,A,C,85.8381165331588,44.47572604381241,-164.202955305804,E,0
Both,40,None,Yes,-138.89872571974402,282.3910783832047,B,-83.53023308919734,E,149.6308604815588,C,B,110.77549457826579,-10.970381460971224,-52.63695765966547,D,0
Both,22,Jewish,Yes,-34.50950322745003,55.14280666817658,C,-37.4446993480273,B,-27.575395213514152,A,D,-67.79540975503305,-178.95910955653764,22.555845316678656,C,0
No,49,Buddhist,No,168.91948551875214,-1.0102092952446668,D,67.79271731143936,E,18.92518829062568,D,C,-91.47703307330643,-60.06237081756296,-68.06944185979236,A,0
Physical,85,None,Veteran,180.60084094328087,132.24389111018186,A,56.25102234668585,D,245.24382984197416,A,A,199.59816376690412,18.697697093487626,-67.14494623484293,E,0
No,30,Muslim,No,27.74414138626148,-64.2486987418915,B,78.204684414823,E,-102.17140675991251,E,C,71.34844598047931,66.75788091911706,-3.7450633395745863,A,0
Mental,52,Buddhist,Yes,98.21106891961202,141.18740763759521,C,-56.62932279900234,A,-129.37676437976893,E,E,-59.22980687755478,90.56816717343507,211.99324152858995,E,0
Physical,63,Hindu,Non-Veteran,-88.06874715524454,29.605208293339754,B,-58.73070977185415,A,26.38662930396772,A,A,-47.815870112653194,-159.68144690757103,-107.30151341323291,C,0
No,49,Other,No,56.36044495384053,57.657607645801434,B,-90.02965468109448,C,3.52365687490098,A,E,-62.287637046480135,156.80658430268406,110.76578638410138,A,0
Mental,44,None,No,-0.09947671102926336,-78.57777657237983,E,-286.50036238173004,C,163.08343873432207,C,E,-40.34174800626076,-30.655780611529153,-58.20263144529045,B,0
Both,44,Muslim,Yes,-48.20758965706698,114.76133667708248,B,98.89270021672242,B,91.38566014918335,A,A,-17.108910183285943,74.65680626825775,9.27301411399813,C,1
None,68,Other,Veteran,53.324140972019684,33.8388325386597,C,-37.17031959267159,C,162.2768473270638,E,D,130.2090081016291,18.604542695431288,82.99664216192637,D,0
Mental,93,Muslim,Yes,120.06281637051484,156.72579857142676,B,-23.908475032409303,A,114.41724940750548,D,B,-177.1399632688356,-111.57830746034294,-246.728711438589,D,0
Both,46,Other,No,20.491794324199752,10.262330657720259,C,43.43125526911845,B,115.89068319440653,B,A,-166.8183973022825,-57.980739536688155,23.537958779221196,B,0
None,64,Hindu,Non-Veteran,-59.849603796904816,121.6435769160041,D,112.40349693114425,C,108.38408273219855,B,A,-90.46840768366377,-150.97429542842394,111.51913163611935,E,1
Yes,52,Buddhist,Non-Veteran,-28.08373228191094,105.28134112424145,C,92.78776009991097,C,84.13304404275983,D,C,-135.25009790201966,220.55480196487585,8.378374636841286,E,1
Physical,35,Muslim,No,-42.49929651159098,-77.40004083315787,D,123.262105156639,B,-197.78443074349747,D,A,-6.179526190386938,120.05905660241159,-16.875731935082207,C,0
Both,59,Christian,No,-136.2032929512653,-41.825260280047964,E,122.39731852080358,A,184.87668692137478,E,D,97.14078224038367,-52.250987731064704,184.15989333705488,D,0
Yes,29,Muslim,No,63.77319508566609,35.95479584063982,B,101.7259086144772,D,189.67454652623033,D,A,68.37596813176329,5.7801051495658315,47.44564496687252,E,0
Both,77,None,Yes,6.585529813373478,27.764536494911994,B,35.39299414923147,E,183.492129663805,D,B,-211.59595468370068,91.59647398582092,-88.13826442331798,E,0
Both,52,Buddhist,Yes,-4.234024298165487,159.39969264119873,A,117.61491837945202,B,54.44501787407524,D,D,174.63422677258245,8.792354709833452,-12.932495063427623,A,0
Both,72,Muslim,No,78.71014715975801,-8.966117992524524,E,-252.5761697723964,D,208.70457522611156,A,E,-65.15376304975055,-119.46821496433427,183.43357375103542,E,1
Physical,81,Jewish,Yes,42.013227407894284,-59.678746241531634,B,126.48830675404652,A,142.18139129584438,D,E,91.56557936061571,-131.76280476473846,-60.52318708755897,B,1
Mental,29,Buddhist,Veteran,12.931875391577979,-34.54505183757428,D,26.744599490140537,E,77.24718423688456,B,D,-24.69509827624926,80.25508475092596,161.10720509235253,B,0
None,78,Muslim,Non-Veteran,46.767217899633856,-178.66049772774474,A,-115.76496993937597,D,-4.558112865293515,D,B,-205.02448535095027,40.299343181563415,-125.75080670806543,E,0
Physical,58,Other,Veteran,-8.436922930634347,93.0229376562306,A,55.41494298513135,B,-121.61580256568787,A,A,-54.90317840217245,79.94064094256693,-204.47443496973884,B,1
None,98,Hindu,No,-15.554157959485815,-19.949788066282725,B,-233.2624444275202,D,-29.602511762307337,A,D,144.99092966193433,30.348112777131647,77.99328011334678,B,0
No,91,Other,Yes,-75.00420303486327,-110.93441154815534,A,-182.21236661513234,C,-63.41370384008334,C,A,187.03713437119904,234.79171149967706,169.31682998204965,D,0
Mental,57,Hindu,Yes,-78.92625213782875,17.002182807592714,E,174.17367349182547,E,58.07343953603103,B,E,-88.863289395104,-116.2131509711529,59.32251514908378,E,0
Yes,33,None,Non-Veteran,-176.58675014832681,-24.24233346251438,A,12.087244786215082,B,127.49157885566827,E,C,-76.10666941879744,-106.94397551801906,-132.6403592767355,D,1
None,44,Jewish,No,38.61104120434015,133.41436264369196,A,68.1252124462878,C,-39.953954017543154,D,E,-87.41702853526276,53.51454923653781,16.086267142191133,C,1
Physical,95,Muslim,Non-Veteran,-45.44060705096637,-29.478263408123272,A,156.8149504392581,D,-51.88592048061819,E,A,203.1463691939403,113.64517051033312,-45.88662001815826,E,1
No,33,None,Veteran,-103.98677143252979,-56.30944663799049,C,30.328515793617285,C,-58.28431761725222,B,D,155.00695096545917,-64.05734426472583,-181.4747193743224,A,1
Yes,84,Muslim,Veteran,115.8157922306895,-60.07493951257602,A,9.892564736199162,B,172.0033344357495,A,C,59.92554809546957,-146.57452567345544,82.3570741688294,B,0
