military,Disability,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Non-Veteran,Yes,36-50,E,33.86779125017928,C,-78.97474775068972,-23.242652623357145,12.855568011542484,-94.13321491981299,A,11.902198777974544,C,0
Yes,Both,18-25,C,-79.30760436658628,B,-95.71436801822126,-28.788896691067627,-57.73750262462271,-42.90450337089812,D,99.36558409263448,E,1
Non-Veteran,Mental,26-35,B,-41.081178893354156,A,14.418940091517321,-14.69477855630125,-198.74352703240322,83.66218579985735,C,-16.619761198643317,B,0
Yes,Both,36-50,C,-100.22698186081894,D,-14.13380882133231,55.093170870076044,-122.90295869906052,-107.67136582814744,D,181.32060287455133,B,0
Non-Veteran,Physical,65+,B,108.6587956386001,E,-75.45901361737586,-3.854009612892115,92.79048427881978,44.047712419613774,D,3.008984852290793,D,1
Veteran,Yes,36-50,E,33.3113471614462,B,44.98040679412712,-178.41425281828523,-105.97415923234112,122.69760334871518,B,-24.92320967274593,B,1
Veteran,None,18-25,C,-8.407043081569942,E,-35.48862733680968,-134.05762802821963,55.7434244700612,-3.3048261379822392,E,-35.89077271187342,C,1
Non-Veteran,Yes,18-25,D,-33.22857811198347,A,-17.58474596085155,190.5645304598332,-13.588592795130298,-29.22492537279539,C,-138.42870430655557,E,0
Non-Veteran,Both,65+,A,-83.55960353428927,B,161.7946049966363,138.13109800638753,-9.159749366260375,3.18439707779335,D,9.900210866058401,A,1
Veteran,Yes,26-35,B,148.9881282947244,C,61.32603643070752,66.63741165858112,-157.8333391705598,-37.78839363110718,E,105.66471371159932,D,0
Veteran,No,36-50,E,13.977457070856547,D,30.9639468800758,17.806454009460523,-228.6966659770175,-95.22434401263592,B,65.01083391815042,C,1
Veteran,Both,65+,E,-34.76459533662281,D,-165.54814289565033,-31.87658536700319,107.1866960400959,-54.7909866921148,D,126.76116940250417,E,1
No,Both,18-25,C,79.45428481724369,A,13.433781577333221,-89.95127470291592,106.28158589727173,30.604536199739556,A,-34.96238015438476,D,0
Yes,Mental,18-25,E,-130.00534302974148,A,54.834112728868824,-76.62749215327274,65.06496843946572,13.93078095949505,D,-110.72307275816185,C,1
Veteran,No,26-35,C,46.696242604302206,D,31.325924562569078,93.08510279015086,-137.61242643543227,41.101270445765095,E,-124.20096291134499,C,1
Veteran,Yes,26-35,A,-17.492131903592963,A,-23.921315931917285,62.64114542491569,42.24756898065626,-55.949990227195215,E,-47.79101690520095,D,0
Non-Veteran,Physical,18-25,A,79.8758262075486,E,-10.45270781521495,-128.72962529953065,1.3898807453284419,-49.503955329641265,B,-22.806061337535326,D,0
Yes,None,65+,A,48.931556892666364,E,-22.289507262833506,80.00363459086812,-181.45011368404272,104.06081474367454,C,-16.718030854070516,A,1
Veteran,Physical,65+,A,71.10045302162503,C,-48.35768737722106,-3.638972064983992,9.145048355734666,154.10896026963584,B,-7.097821160458999,C,1
Yes,Yes,65+,E,-46.25103544228952,E,-80.79438709993352,-7.0328201593478505,-10.95160887751652,3.8812095269146982,A,35.3939800501074,D,1
No,Both,65+,E,3.6483422217815913,A,-214.431146323796,18.591993348685378,-54.90702538014044,180.84126344731965,A,-107.23588967552591,E,1
No,Mental,26-35,E,-52.290228457930276,D,86.66476436759626,-172.63505137379974,-129.87695030783271,-18.732608842869862,C,-100.64910012433683,E,0
No,Both,26-35,E,72.03197556763247,C,-56.51815540944292,-27.04818456046581,-31.62452189872394,-1.4476785313349023,E,-88.13539107937903,B,0
Yes,Both,65+,D,20.04450918251809,E,-52.358302310642166,189.56123873949684,28.71230066885217,76.8232576767026,D,-132.61353690104215,D,1
Veteran,Mental,65+,D,-132.21167286100703,A,-87.83239124934322,-0.1049051193073744,-67.19808361069023,-158.6059871983278,C,94.60223606970048,D,1
Non-Veteran,Yes,26-35,B,3.8985412147666416,C,-176.84580428106628,162.80591658696954,58.56385010241244,28.270532309483045,D,-35.13442103704642,C,1
Yes,No,18-25,B,193.4149387639579,C,80.61629480874609,42.16529933711589,164.11880094436208,83.14771333827828,D,20.13777770141618,B,0
Yes,None,26-35,E,-130.4160547758234,D,80.1255027445601,178.95400100410455,12.272729649756931,-26.200918202373874,E,-39.85261547431307,E,0
Yes,No,51-65,C,-46.04599008907332,A,-41.8261658221981,-122.2518006419957,-3.374738297055271,76.65666081397315,D,35.36263332912722,C,1
Yes,No,51-65,D,77.71759599591797,B,-159.33675545933542,91.53988470685087,-102.52657978628903,122.71324466919718,A,9.63770949961346,D,0
Non-Veteran,No,51-65,D,44.24336377553203,A,46.369825149170325,96.12041389848902,-81.25576746976893,-58.97560701313063,E,151.7915585657744,D,1
Non-Veteran,None,65+,C,108.24854261128903,A,109.7408353662618,56.560731226350235,-36.61728975775151,-173.5088735327073,C,-16.314265780589963,E,1
Non-Veteran,Physical,36-50,E,-107.9159145813427,E,-60.14868404197392,-67.06534024787783,86.77036118094519,-22.277541450577537,D,-3.2664687664399263,A,0
Veteran,Yes,65+,E,65.25928811681268,B,-69.28788562646858,117.45228457705123,-76.56072344095026,57.273400327288314,A,-157.29906117778313,C,0
No,Mental,65+,E,-27.366210414538205,B,-85.95108341287533,-99.57066267471572,-38.453087816937106,-59.966166025000845,E,69.06194196096597,C,1
Non-Veteran,Yes,26-35,E,-103.86242523573924,B,44.96952184632772,20.0736286151638,49.87103652819883,-82.03450571261062,B,30.575610606962744,B,0
No,Both,65+,B,-126.21938999186165,C,-107.38026343575665,-17.42503121124445,-127.4044328255268,-228.08374216229151,C,-241.42363813135992,A,0
Veteran,Mental,51-65,B,-38.76156732375949,B,-27.185686554577682,-67.39538728759482,35.65756706881651,35.99265721922296,A,-5.137754779035407,D,0
No,Yes,51-65,B,-134.77898521866348,B,-5.904538126313377,-78.70687113322843,-51.457565634619314,-140.69225137167783,A,19.81383709874313,E,0
Non-Veteran,No,26-35,A,141.2338949263228,A,-114.90911448023992,99.65339469903789,80.9584836621672,-87.01238527113419,D,-29.896306588652948,A,0
Yes,Physical,18-25,E,169.51094862990215,C,-91.44357858894199,-51.46649919861854,-78.33895054602236,-157.68374077690163,B,57.93753764993084,D,1
Non-Veteran,Yes,26-35,B,89.13752889725352,C,-132.67859779245828,-86.83628063082273,-14.491343038578794,15.326329061139749,D,36.38251928946952,A,1
Veteran,Mental,51-65,E,-194.1536431554169,B,78.29593676338845,-178.46795255914992,-161.9935310105709,4.393316730647976,D,260.40679222113454,C,1
Veteran,Yes,36-50,A,17.6035949058299,E,266.4464514958811,172.529114649008,-22.382131756325528,9.074674788173834,E,-63.962801871028496,E,1
Veteran,No,18-25,E,-25.746875130141422,C,-3.014841885196888,265.32071354862086,127.06349457573955,7.051832826486343,D,26.040983463607542,C,0
Yes,Yes,51-65,D,100.58351503455545,B,-97.47376056565165,-44.361845009459046,-26.061621751921376,-120.80855737129991,E,278.63204145313335,E,0
No,Yes,18-25,A,-69.34948607857233,E,68.17904048815234,-7.398871260109649,37.577851118789845,-55.71717720580328,A,52.680548158802864,D,1
Veteran,No,18-25,A,5.736654185681872,D,-52.474420176533066,-50.00117799973564,-84.01647273595378,14.352608654497374,C,171.7458563636865,D,1
No,Both,65+,C,-30.757895964460076,A,147.2845558840606,-204.01803493234198,-105.02301700197529,140.9435868701129,C,-25.927212224567285,E,0
Non-Veteran,No,26-35,C,-51.639775283110126,B,64.22328936922555,-22.948269916434484,1.784393839046689,-53.48739794348412,B,-36.47907486851926,D,1
Yes,Yes,18-25,C,78.64368646635285,A,-66.65532341658015,5.784571906308152,-104.0133586238972,-168.1924778928529,E,-87.29904096384031,A,0
No,Both,36-50,D,42.96217305682467,A,23.431101101308986,24.321070835599322,-68.0489022701259,-55.81310798908269,B,-57.7357636609741,E,1
No,Yes,36-50,D,83.77440512406965,A,-69.99599239369407,-13.98755216906652,-87.14981278971953,-242.52001691395054,B,-30.08995914124836,C,0
Veteran,Physical,65+,D,-27.30499186069305,D,23.83120873006178,98.06820529421411,-170.78519114412407,21.720773773935232,E,23.8727699777626,D,1
No,Yes,65+,A,51.789155843232706,B,123.88480521746087,54.067836523385125,15.780631229574551,-17.982204213210125,B,28.552113046226246,D,1
Veteran,None,65+,A,-34.91896275654652,A,-6.7263157831326446,193.28497909623448,-64.688256960556,-36.428747945888915,A,140.75621003157735,B,0
Yes,Mental,36-50,B,-26.223793797262264,B,197.9867391366186,-32.516504491447535,259.89270194147514,-25.38431366912024,B,-120.63831703759504,A,1
Veteran,Physical,51-65,E,-25.838249138285548,D,95.23195515017282,41.72493317426885,-154.64682866836492,-61.393998959186305,A,213.74585729543685,A,1
No,Physical,18-25,D,42.45642407425482,C,-43.14832390317634,108.15820540927503,20.42541953211605,-43.40288354707781,C,118.45287002532461,B,1
Non-Veteran,No,26-35,D,5.771960474726629,C,-13.680098783699915,-44.78308592533221,-219.861367877475,86.03116610466725,A,81.68365091179611,B,1
Yes,Physical,18-25,A,-57.440687710439285,D,-92.10074317663737,53.314637216286485,-122.49612548040865,186.39787824180942,E,-147.18316657585115,A,0
No,Mental,18-25,E,-190.99561703779898,E,154.4884637618508,51.29226818572397,19.44939092087388,51.53272612232643,B,87.49024570284931,B,0
No,Mental,18-25,E,23.054497285571234,B,-126.55945539628395,66.8404174066635,-122.77613222183577,-127.54598480241772,C,131.71153827464613,C,0
Yes,Both,65+,B,78.37763531283281,B,-119.50511480194628,47.97662852376173,-190.7424851705763,-62.040431339417864,E,139.54602775074528,B,0
Non-Veteran,Physical,51-65,A,47.765230576551346,C,-101.81871855233304,-5.307886615018473,-10.5477665742078,30.569488229878488,D,-1.9373390301568556,A,1
Veteran,No,65+,E,273.25630085898734,B,-38.80421462188917,-110.332393158953,198.38520800457215,66.03612777381292,B,79.58990865439205,B,0
No,Both,26-35,C,-49.341074859586854,C,68.82282487682171,198.16785950398236,120.74684964481493,-199.29281362571294,C,65.87865849075865,E,0
No,No,65+,E,107.74232243416782,E,-26.12668082644139,-26.571125653526114,-163.10900707359806,39.699120229659265,D,10.570865245470369,D,0
Yes,None,36-50,E,45.647535580600405,B,-98.24618305497478,-49.95166798334085,-30.778268523248205,-25.271229723039003,D,3.7988243641448878,B,0
Non-Veteran,Physical,36-50,D,-79.96368386289335,E,-75.81151444309818,-123.32653421484837,-120.66729961870945,260.50200484020985,A,81.36716143219333,D,0
Non-Veteran,None,26-35,E,27.349075452652194,B,-90.7302734184251,-178.78268065167248,-94.75876600699429,32.279919435465956,C,58.8620912277507,C,0
Non-Veteran,Mental,18-25,B,-43.88531428810564,B,6.735357026121049,-77.0734104401358,21.47644618609549,-108.25701038413587,A,2.209886043407678,B,1
Yes,None,18-25,A,48.94999888860147,A,29.153386304638406,-85.40750608341682,87.22471116092832,127.72065434545459,E,2.640601954515014,A,0
Veteran,Yes,65+,E,-25.912246035779635,B,216.1343705337759,-3.40615575049549,155.9272723170666,-172.9407453391558,A,-116.33987996337592,E,0
Veteran,No,26-35,D,57.20117435653869,C,33.46179604358607,105.46801230600826,-127.23774963660107,95.51880334027328,E,121.92912475608009,E,0
Non-Veteran,Physical,18-25,E,-23.37769841147511,A,4.5837784371918575,-8.239748181987773,-48.02855753412404,-42.12033421010168,A,150.94803283013775,D,1
Yes,No,18-25,D,-155.50092431182594,B,-3.904827542028668,74.73283819620268,-102.31001377363091,-115.78300421583458,E,93.05042354645295,C,1
Veteran,Both,18-25,B,-174.99330983457386,D,-7.081212000988357,59.16257813331192,141.13568727018836,91.9890400712398,E,10.69090081607004,A,0
Veteran,Physical,51-65,B,81.37648733082035,E,62.68095998741021,-82.71144069452808,-23.163579038155465,-64.65324364573148,E,-35.03385269934062,E,1
Veteran,Both,65+,A,21.82835490765332,B,-20.033453794276372,-71.03921712030423,48.104283873415845,-73.98164608359242,D,27.321767078026284,C,0
Non-Veteran,Physical,65+,C,182.8234329598657,C,102.66246490192492,242.6340380930174,-93.81714067458869,45.623420073676954,E,41.55843803000908,D,1
No,No,65+,C,70.63135406780151,C,32.96028384733311,-180.79880680991394,-6.261691753063797,12.233538393562213,D,-0.27802023766196027,E,1
Yes,Yes,65+,A,-112.32087257863974,B,88.91419786497138,-63.21460929956183,59.48139745243465,-69.64386777922408,B,75.53209500034718,A,0
Veteran,Mental,26-35,C,-47.185234450196674,C,126.43843203251512,-167.71523389615942,-153.81549353253214,-7.245038831922705,E,-153.85326888306165,D,0
No,Mental,18-25,B,129.8368224476885,B,-153.57353539734228,-65.05200915944783,-64.66468875660149,-210.09484287567597,B,-67.31827639988136,E,0
No,Mental,36-50,A,2.2099290897375727,E,162.4765758688644,-82.27518170296842,-69.35468944749086,-87.757883278298,E,-111.83226544268008,D,1
Veteran,No,18-25,E,-180.4606227838242,D,151.3963442127411,110.91059519751964,56.053101054489765,-246.72937169701953,C,-66.58787628176817,B,1
No,Both,51-65,D,-11.275348978341723,D,52.903095728125905,-84.62351316661092,18.26024310841564,-16.6597457924876,D,-152.00587892761524,A,0
Non-Veteran,Yes,36-50,A,155.70882857050253,D,-139.18240268600178,43.43930110240139,161.43115718354642,-58.36184854344918,A,-86.34511526359557,B,0
Yes,No,36-50,D,-80.98467855555424,A,162.64864782443476,19.61142467854684,14.367603517628591,4.915002011357515,D,-133.27417658066176,C,0
Non-Veteran,None,18-25,A,27.539021980215413,E,90.57426431689741,-1.7548542733534938,27.40516110408821,-41.40768413679589,A,-84.25874243669745,E,1
Veteran,Yes,65+,E,45.09493915839572,E,-154.5669959558796,46.04509647878909,105.38385580759557,61.959165618918455,B,110.62623532341469,A,0
Veteran,Mental,18-25,E,172.9735352826662,A,142.9400202001094,11.20775093455664,-13.160988463321205,-133.22856192063426,B,70.69143107900827,A,0
Non-Veteran,Physical,51-65,A,14.739005951337608,A,-27.48520915225312,25.662122261146504,85.6568470926951,-80.50925304263431,D,-87.79249371375806,E,0
No,Physical,26-35,E,-173.92246136950888,C,142.38092635794783,88.22899059882288,32.690054482361774,-66.84304764853283,E,85.03697079294965,B,0
Non-Veteran,Both,36-50,D,-73.24878201621719,B,151.59141264142363,-119.8761243967956,44.402070942257886,121.29462912009635,B,1.6850912006214964,A,0
No,Mental,26-35,D,-247.08329176355122,A,-47.322656141888245,162.53025786657375,-125.31247904517964,-116.2625512497457,B,63.12627747802873,B,0
Yes,Physical,26-35,A,-167.45814071737016,D,-9.774265869108726,110.24032724610473,126.84797537419908,38.69422693620623,A,-110.15101685425164,D,1
Veteran,Yes,36-50,D,-58.10452917719542,A,11.426840262645959,-151.98786307808757,-179.86835422138518,-132.16339446684592,A,71.81263030189307,A,0
Non-Veteran,Yes,26-35,A,-83.61209917595208,C,13.588778282033331,-118.19914425368907,27.84788898823716,-101.93266883364022,B,10.20571365560997,C,1
Yes,Both,18-25,D,39.67641424092556,A,114.99974087501417,-8.988321537094036,9.94872578288926,-20.40509026327791,E,141.18695109490037,A,0
Non-Veteran,Mental,26-35,A,-123.79801942421125,D,-11.732297856620937,-1.2572964758401277,-101.64557342243769,-117.26818098500638,B,93.97892495169874,B,1
Non-Veteran,Both,18-25,C,-6.786544688367019,D,-40.63749495528476,84.92093981597412,-145.89734632277137,-260.48867834761006,C,-11.956810931520929,C,1
Non-Veteran,Physical,36-50,E,-158.33267207695576,B,182.6350225473764,44.59620390680982,91.75516418682056,26.640793026761667,D,-165.50024384240882,C,0
No,Both,65+,A,14.607998133777864,E,-11.359245679373815,-325.86881034177077,-34.4376691243874,52.047031554402366,C,-59.930331747695796,E,1
Yes,Both,65+,E,1.1239831527696331,C,-120.42394486247252,-135.46132231942366,-24.557709821055358,-128.07840403936217,D,-121.96133354338521,A,1
No,Mental,36-50,E,-207.03068371913153,E,11.4992454610886,11.20954626816399,-28.397869053590718,-0.9914091037776647,D,-123.94985434535917,D,1
Veteran,No,26-35,D,97.91751523211894,B,-98.2615779223522,201.2322899159057,-6.811058393335359,-198.72547461462815,B,-8.134285420744547,E,1
Non-Veteran,No,65+,D,-93.83802896722983,B,32.56387291798644,-179.19272828033334,-127.18969449808468,117.77249003327057,E,42.768632414184694,B,0
Yes,Yes,36-50,D,-50.79876345377517,A,-77.41311314629743,168.3393591386365,0.9295750262551716,-194.37375879410658,E,69.01591345929434,A,0
Yes,None,65+,E,-124.37870802515751,B,87.50183719574845,-83.86525281875072,22.34010946303118,-44.136064965872755,C,-226.8980978102185,B,0
No,No,36-50,E,222.43244033877843,B,-171.1882863920803,-4.80490561547334,24.214147630392226,-57.73063733998703,C,-99.68526261838649,A,1
Non-Veteran,None,51-65,D,-11.326181007456162,A,-123.66828538552281,56.127610533513675,26.671128504560453,-5.426272449951062,D,-134.44709069185902,E,1
Veteran,None,18-25,C,-150.82409244662082,E,-100.68432711437221,21.933255650737085,90.61327057699607,95.15620096706434,E,-23.10393724032614,B,1
Non-Veteran,No,51-65,D,74.81745508722746,E,33.451181116659754,-9.534609411082613,-56.487845211810736,22.600441996155045,D,39.725745071860494,A,1
Non-Veteran,No,51-65,A,37.583279839615315,C,-121.08129336784128,129.69557493642273,-5.122132998314097,-92.40323028624492,E,122.7202838208998,B,1
No,Yes,18-25,E,-127.76193504411164,D,124.25866689101184,-102.21794757625355,-75.01771638508592,-39.96923688540073,D,-61.073868599042626,D,0
Veteran,Both,51-65,B,209.92834671855834,A,111.49810950994086,-11.380018802928014,60.16661208173931,-41.83978142875882,A,198.63476459946125,E,0
Yes,Yes,65+,C,-130.42309380340356,B,89.50656338404954,85.744971329028,-55.49229188805338,109.92139625621253,E,25.41607125407471,B,1
No,No,65+,B,286.0321786325528,C,-144.00381623305157,55.37365321435146,0.0604364625645816,15.10480159939324,A,105.518187603611,A,1
Yes,No,36-50,C,125.46311220718034,A,-11.649884350880468,17.595698529836575,23.420496208436102,-112.98713979606858,A,305.5421361189297,C,1
Veteran,No,51-65,D,-67.3924535559523,E,-0.24459449077210552,1.6641127493103889,58.5943909353593,-21.678773549663212,C,-23.89041001759372,D,1
Non-Veteran,Mental,26-35,E,108.45142221434938,D,25.250894149370534,-85.21899250722362,18.551577297878197,137.2063267011523,A,-186.07730622185667,B,1
No,Both,36-50,E,174.718338038914,C,96.14011420065266,179.91996628879832,-64.55263282579511,-148.56880228964218,A,-34.107882520494556,E,1
Veteran,Yes,18-25,C,3.6157534225057617,C,-77.31413602752704,-136.8341309849743,-7.26244702115891,43.38144011392217,B,39.04670956470039,A,1
Yes,Yes,51-65,D,-7.024424185930846,E,-2.5626526420819586,-127.57605582600921,-245.94154964465628,13.191106286777785,D,-14.153585342160424,D,1
Non-Veteran,No,26-35,B,-249.02631267692666,C,-93.61738196281593,-1.9588590016739633,167.84165936771706,12.44115449313325,D,124.73644889345307,E,1
Yes,None,51-65,D,33.72648229932311,C,61.37618368792332,-77.87156620146287,-220.48597554469615,-3.6640997018359487,E,51.77858584865592,B,0
Non-Veteran,Mental,51-65,B,11.58737970633302,E,17.815101416675386,123.88929447306943,-40.078878688847006,36.36650965952496,C,21.307222563179394,D,1
Veteran,No,26-35,A,71.99936959131527,A,-52.94914192997147,25.42899193652191,-40.65115401303717,-89.54163372327243,E,20.716934518239434,A,0
Non-Veteran,None,26-35,C,115.85810127920641,E,-127.81573542041069,-169.69542338465192,29.444173695208303,134.81964965109947,E,16.13356490235206,C,0
Veteran,No,36-50,B,-137.04111916458743,A,28.336486672818413,87.23095705260047,-16.061086659910806,-16.40184458061135,B,-161.17231179639455,D,0
Veteran,None,36-50,E,-55.470882571653746,B,260.08644857927584,157.4271838996551,-52.335170386268274,-63.00967110442023,E,-31.483590146157937,B,1
Veteran,None,26-35,B,-156.62743571465003,E,220.26607843936472,-34.97857976300966,-13.950648580583186,245.62554704628937,B,303.5260498245912,D,0
Non-Veteran,None,65+,D,102.91594860749467,B,-104.86946962831456,-85.34828817457723,-205.72923300692256,-152.35282484426625,C,119.07240477021918,A,1
No,Physical,26-35,D,-100.36413162124455,D,-109.69780242875808,16.952102942337003,68.24944458002408,157.77562749275492,E,48.50825336089772,A,0
Non-Veteran,Mental,18-25,A,70.29049764033141,A,-77.1392023478629,151.15643585396134,-55.81833808780783,140.1437619371435,C,122.21389854650091,C,0
Non-Veteran,Mental,36-50,E,323.2660184060474,B,-59.82236394532507,-114.07442122394227,-115.34520549655628,-30.789450899707354,C,-39.105393747957024,C,1
Yes,Physical,26-35,A,-15.2424258268872,D,58.31751321988665,18.396918749234914,30.6428904949072,33.12821430094513,D,-92.51670606497741,D,0
No,Mental,26-35,B,67.06914847166072,E,10.621877185727655,42.62860701498378,-101.68427372334304,-19.86223628757629,A,68.75835994862628,A,1
No,Both,18-25,A,106.16388780314561,D,-97.76776983104929,48.8142108520519,97.35915444304739,-39.42732257382904,C,-40.24191563938771,E,1
Veteran,No,36-50,C,63.3250176521674,C,-264.39846057552177,56.991918040873045,67.87890553886382,-55.005915243352085,D,-72.75479408784848,E,0
Non-Veteran,Mental,26-35,B,104.84791191183007,B,-119.55291314015994,-73.39039480733052,-111.56458795273198,-24.63612454955699,C,182.30637864577085,A,1
Veteran,None,36-50,C,188.87767339354292,B,90.86571136102016,-3.1639300546000824,93.10132181240198,-152.43953262628332,C,128.1748944727778,A,0
Non-Veteran,Both,18-25,B,29.769152381137015,D,62.35535080229414,-171.18991437789364,156.5745916521501,-263.4825066725671,D,31.949482526356455,E,0
Non-Veteran,Physical,36-50,A,-49.603132008605314,D,134.04835811752062,-47.74070245380276,-53.320230215992396,-15.941228290173063,C,-132.96249179429148,A,0
Yes,No,51-65,A,-296.014504877857,B,65.08238135856732,156.71580440321884,22.517713009988288,28.58020869670049,C,-194.2822087995348,C,0
Non-Veteran,No,65+,C,4.1594204421216325,A,-150.87249744207267,9.619325975302528,-30.208086272189373,7.426875280393867,C,75.44502541299852,A,1
Veteran,Mental,51-65,E,114.99760750355439,B,-229.3966844413439,-61.34091120495264,36.35756542596405,-50.24885648698613,A,-31.00874330833352,C,0
Non-Veteran,No,65+,C,11.666214870305891,B,72.81578272160627,134.88855212152745,85.96147029528468,-7.211320965770321,D,-133.48539330427403,C,0
Yes,None,18-25,B,113.35137950621521,B,88.58294551017413,43.71423439603861,-0.7245636889293633,-25.09725868082172,D,-78.5548114065042,C,0
No,None,18-25,E,-94.42076854458344,D,69.63659456194921,93.43035158548294,-69.11844613667685,-168.23190334517903,C,53.01745585196957,D,0
Veteran,No,65+,E,-240.7325403021639,D,-83.9680221820793,99.84742438865777,-7.337966005557524,-78.30732162013275,E,100.29216105927273,C,0
Non-Veteran,Mental,65+,C,-17.818447341418455,B,24.301983561431722,131.4587492907247,-11.79621614853895,-45.068702632371156,C,-151.5840741880292,B,1
Yes,No,18-25,C,-20.46614940841338,C,-35.04143399593596,-2.5095438002915187,-7.00166403908393,-21.37398743833521,A,-16.61967764782179,D,1
Yes,None,26-35,B,-91.17535440428556,D,10.728677551142875,-89.63430500075424,267.1496512882408,-82.79115700815383,B,21.842303898707147,E,1
No,Both,65+,D,-185.66025141745243,E,8.345649456852037,255.5210352363018,-46.628053011813684,32.506529087612165,E,-80.28806036434538,E,0
Veteran,Both,36-50,A,-156.34133333398225,E,-30.835960199418782,135.3140992549634,134.7244642252511,7.362812480629088,D,-30.506841637622056,C,0
Veteran,None,18-25,A,-23.657244852486567,E,-1.9353926570776983,-74.57022995032946,-36.611187299516985,-59.05253853783454,A,86.16393245038381,B,1
No,No,36-50,C,168.24242767878798,A,-175.53798812464524,215.10959322925186,0.017710001798284084,-228.21066421835954,D,-80.15357033129915,A,0
No,Yes,65+,E,-29.69592558878477,A,-131.28789461322174,-103.55169534653517,-21.73544026944933,16.505112765713996,A,-156.60325580657545,B,0
Veteran,Mental,51-65,A,124.24499502622947,B,-109.09609714748237,-11.897412889776444,181.26265579436807,-13.20372973255695,E,127.00681355701948,E,0
Veteran,Physical,65+,B,93.89851973076591,C,-45.29131564098285,-78.86308475590404,-42.35701180044332,74.12290905979127,B,40.94041500943455,A,0
Non-Veteran,Physical,18-25,D,-166.35915796704904,B,-21.719389841533967,15.931765036271706,-232.8573266652561,61.04664703190181,B,-14.411444898032935,B,1
Veteran,Mental,65+,B,19.030754706478888,D,64.78839090739237,-157.4154415376618,50.45865439946955,-116.64933619672139,D,-26.343792264302284,A,0
Non-Veteran,Yes,18-25,C,17.032975202867476,D,-82.83252107983627,133.25127732995324,-173.86272251592789,89.78431803657485,C,6.140433516676383,E,0
Veteran,Yes,26-35,A,-19.375958353218394,E,-23.699310419335117,-35.1771822866244,17.940657910377205,-48.48747927087844,A,7.365582972360234,B,0
No,Mental,18-25,B,-173.94932728731348,B,116.64536199155691,43.643685787363005,97.17702984411716,-96.53018872310096,D,58.810321763620834,B,0
No,Mental,65+,D,-3.738498111572932,E,-82.27113691402047,-33.59144516968596,4.270769670068522,-54.247471920899756,D,-197.65347913989234,A,0
Veteran,Yes,36-50,E,134.8829685771571,C,215.26583813619501,99.77701200410513,-67.56164090865734,-107.34686468208592,E,77.23261179046953,A,0
Non-Veteran,Mental,18-25,A,205.21570258502294,C,108.42183758678073,-96.25378537308548,-9.422364116204813,228.8808603875187,E,-46.70983499994386,D,0
Non-Veteran,None,26-35,B,67.28749159363167,C,-109.160903721078,53.27972380560199,-73.60442071607834,23.97194129978901,B,152.2980119557721,E,1
