religion,birth_year,Disability,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,target
Buddhist,24,No,Other,D,122.64037724650227,E,D,B,0
Muslim,89,No,Other,D,-41.86102240394664,D,A,D,0
Jewish,89,Physical,Other,A,-112.38932698022937,D,B,A,0
Hindu,39,Mental,Bisexual,A,27.92684421956005,D,E,B,0
Muslim,19,Yes,Heterosexual,A,-51.611279600599666,D,C,C,0
Buddhist,48,Both,Other,B,-32.82806124922416,D,D,D,0
Hindu,71,No,Bisexual,E,-80.55214918718082,E,D,A,0
Muslim,99,Mental,Homosexual,E,-99.30858575505526,D,E,A,0
Other,90,None,Heterosexual,B,-26.961918826057847,E,B,A,0
None,34,Mental,Heterosexual,C,-146.39491894200233,A,B,D,0
None,80,Yes,Other,A,42.47754939629784,C,C,D,0
Jewish,61,Both,Heterosexual,B,11.984750699309783,B,B,A,0
Muslim,98,Yes,Bisexual,E,18.980152686126825,D,B,B,0
Buddhist,34,No,Heterosexual,A,180.0826965754988,A,C,A,1
Muslim,29,Yes,Other,D,5.922604136631505,B,D,E,0
Jewish,89,None,Other,B,24.167633127313586,D,B,D,0
Other,73,Yes,Bisexual,D,-121.62223545573451,C,A,E,1
Buddhist,39,Both,Other,D,-110.04032847786559,A,B,C,1
None,43,Mental,Heterosexual,D,-2.945027091285875,C,A,C,0
None,83,Both,Bisexual,A,39.262529878200034,C,B,A,1
Christian,61,Physical,Heterosexual,D,68.50904039936503,A,C,E,1
Jewish,33,Physical,Heterosexual,B,-50.18432782025103,E,E,D,1
Hindu,80,No,Homosexual,E,13.475128968265318,D,B,A,1
Other,21,Mental,Heterosexual,E,3.3760131816272896,E,E,D,0
Other,91,None,Bisexual,A,39.01113045841974,C,E,E,0
Hindu,54,No,Heterosexual,C,121.56385493664645,B,D,B,0
Buddhist,80,Both,Bisexual,D,-118.64322312542217,D,A,C,1
Jewish,19,Yes,Other,D,-166.617964536224,C,D,D,1
Other,68,No,Bisexual,C,77.75244404895773,A,B,A,1
Jewish,38,Yes,Other,C,59.81994076326431,D,E,A,1
Jewish,79,Yes,Bisexual,B,182.26526098442272,C,B,E,1
Christian,75,Both,Heterosexual,B,40.22027043558481,D,D,C,1
Jewish,57,Yes,Bisexual,E,-93.35811292819074,B,E,E,0
Muslim,24,Mental,Heterosexual,C,-131.39624767545908,B,B,B,1
Hindu,51,Physical,Bisexual,D,37.949514531749024,E,A,C,1
Other,78,Physical,Other,E,-21.150286843337575,C,D,C,0
Hindu,54,None,Bisexual,A,14.344415993761894,D,C,B,1
Christian,32,Mental,Bisexual,D,75.09815932343093,A,A,C,0
Jewish,42,Both,Bisexual,A,-62.46752559070018,A,C,E,1
Muslim,55,Yes,Bisexual,D,-110.64370620057713,E,A,C,0
Jewish,75,None,Heterosexual,E,3.413784709772824,C,B,D,1
Muslim,53,Physical,Heterosexual,B,179.4657006943744,C,C,C,1
Muslim,55,Physical,Homosexual,E,42.7083257658211,B,D,D,1
Hindu,58,No,Homosexual,D,-100.14121938831111,C,E,B,1
Buddhist,91,No,Other,E,-85.39484473667399,C,C,A,0
Hindu,43,Physical,Homosexual,E,38.20337682965815,A,B,B,1
Other,78,Both,Heterosexual,E,-23.564007512364682,E,B,D,1
Hindu,94,None,Homosexual,C,32.94873492088733,B,B,E,0
Hindu,18,Mental,Homosexual,D,-11.677266146164026,D,E,C,1
Jewish,62,Physical,Homosexual,E,14.489314718614418,D,E,B,0
None,47,Physical,Other,C,51.59332766631316,D,D,C,1
Hindu,40,Mental,Heterosexual,E,233.11221781537276,E,C,D,0
Other,87,Both,Homosexual,A,28.64234042631612,E,C,E,0
Buddhist,51,Yes,Bisexual,C,-13.111759219937005,E,E,E,0
Other,78,Mental,Heterosexual,A,-10.937289953840974,E,B,D,0
Muslim,19,Mental,Homosexual,D,-38.232225373677835,E,C,E,1
Hindu,49,Mental,Bisexual,B,-169.84942204537373,E,E,A,1
None,90,Physical,Bisexual,D,-55.943482468414565,B,C,A,1
Hindu,56,Both,Other,E,98.56323664298266,B,A,E,0
Jewish,43,Physical,Homosexual,D,-79.69789681803779,E,D,D,1
Christian,70,Physical,Other,B,120.27291089204067,E,A,D,1
Jewish,82,Physical,Other,B,-93.37550911210117,E,D,B,0
Jewish,35,Mental,Bisexual,B,-106.75231194050856,C,B,E,1
Jewish,20,No,Bisexual,D,27.01581337119965,A,D,E,1
Christian,29,None,Other,D,-47.859193322637275,D,C,D,1
None,26,Yes,Homosexual,E,-76.0051920776139,A,D,C,1
None,22,Both,Homosexual,C,42.733147587935065,B,E,A,0
Buddhist,72,Physical,Homosexual,C,129.6837620955089,E,A,B,0
Buddhist,66,Both,Homosexual,D,120.64954166607018,C,E,B,0
Buddhist,51,No,Heterosexual,A,-3.198104636504924,A,C,C,0
Hindu,87,No,Bisexual,E,-63.28090911956633,D,D,B,1
Hindu,52,Both,Other,D,179.61902743710695,E,C,D,1
Hindu,66,No,Other,B,-95.74625773871792,B,C,B,1
None,54,Physical,Bisexual,D,124.46563556503985,E,A,C,0
Hindu,98,Both,Homosexual,C,-120.38389573496147,D,C,C,1
None,51,No,Other,E,90.75800851936107,D,E,B,1
Hindu,59,None,Heterosexual,B,-101.47096217945861,B,C,C,1
Buddhist,98,Physical,Bisexual,C,109.52634391918636,B,C,D,1
Hindu,70,Physical,Homosexual,E,30.90684351756009,A,B,A,0
Hindu,46,Both,Other,B,-27.993700128007415,A,D,C,0
Buddhist,74,None,Other,C,169.01921463470035,B,C,B,0
None,22,None,Other,A,-46.491706550859014,D,D,B,0
Hindu,32,Yes,Other,B,39.837702343959066,C,B,E,0
Other,33,No,Heterosexual,B,-64.83806756521415,D,A,D,0
Christian,49,Yes,Bisexual,B,-5.336592963110492,B,C,B,0
Buddhist,70,No,Other,B,-118.62566754315367,E,A,A,1
Jewish,88,Yes,Other,A,-175.048801600096,C,B,A,0
Jewish,82,Mental,Homosexual,E,-213.576530987548,E,A,D,1
Other,99,Both,Homosexual,C,27.213207809548834,C,A,C,0
Jewish,85,Mental,Homosexual,B,-41.50447698781635,D,E,D,1
Christian,63,None,Heterosexual,E,55.631662775228854,C,A,B,1
Jewish,99,No,Heterosexual,E,65.82722844672247,C,E,E,1
Buddhist,62,Physical,Bisexual,E,-50.36872943085942,D,D,E,0
Christian,35,Both,Other,C,-20.619135666479128,E,B,B,0
Buddhist,52,None,Bisexual,C,137.98602434511494,A,E,D,0
Jewish,85,Yes,Other,E,-66.20331695649921,E,E,A,1
Jewish,45,Yes,Bisexual,B,7.681369370714173,B,A,D,0
Hindu,66,Both,Other,B,66.56735368298385,A,A,E,0
Hindu,57,Physical,Heterosexual,E,-8.957922428141128,E,D,E,0
None,66,No,Other,C,106.50115309132993,A,D,A,0
Hindu,39,Both,Other,E,123.16225819676951,C,A,B,0
Other,71,No,Other,C,23.703489543074465,C,A,A,0
Muslim,46,None,Homosexual,C,63.155334139163024,E,B,A,0
Muslim,79,None,Bisexual,C,-6.471051498716962,D,E,E,0
None,33,None,Heterosexual,E,-31.40775713564416,A,C,A,0
Jewish,28,No,Heterosexual,C,206.8896471763464,C,B,D,0
Buddhist,66,Yes,Homosexual,B,-2.470621637041385,E,E,E,1
Muslim,56,Both,Other,C,83.3388475222396,E,D,A,0
Hindu,21,Both,Homosexual,E,68.21835859110254,B,E,D,0
Hindu,55,Physical,Bisexual,C,-97.42078024561782,A,C,D,0
None,74,Physical,Bisexual,C,-197.0867219492027,A,D,C,1
Hindu,75,Mental,Heterosexual,A,71.63505967824115,A,A,A,0
Muslim,82,Both,Homosexual,B,12.417014175543352,D,E,C,1
Buddhist,47,Mental,Other,B,-166.2450772307208,C,C,E,0
Muslim,78,None,Heterosexual,A,110.8053011265409,E,C,E,1
Muslim,39,No,Other,E,192.84013610185426,E,C,E,0
Hindu,30,None,Bisexual,A,-83.61383920191703,C,A,B,0
Muslim,32,No,Heterosexual,B,-64.1298796475982,D,B,A,0
Christian,44,None,Other,C,46.65498103961775,C,A,C,0
Christian,47,Physical,Homosexual,E,-9.677603357684774,C,D,A,0
Other,22,Both,Bisexual,C,3.3373171527459244,C,B,B,1
Hindu,46,No,Bisexual,A,-28.563534223024828,A,B,B,0
Muslim,46,None,Bisexual,B,-65.04043617971959,E,D,E,0
Other,53,None,Homosexual,C,-112.65796463838151,E,D,C,1
Hindu,52,No,Other,E,59.42218697800984,E,C,B,1
Jewish,39,No,Bisexual,C,-107.73053140763244,D,A,B,1
Muslim,69,Both,Other,D,178.98467852699721,B,E,B,0
Muslim,31,Yes,Other,D,25.507454087956067,E,D,C,0
None,63,Yes,Homosexual,A,274.84407650299244,B,A,D,0
Christian,78,Mental,Bisexual,C,-7.007324261175155,B,D,D,1
Muslim,46,No,Other,A,-86.42780483405168,B,C,A,0
None,55,Yes,Other,E,79.0511629199945,A,E,B,1
None,25,Both,Bisexual,A,-122.40658033224405,D,B,C,0
Hindu,26,None,Homosexual,B,93.28973082558404,C,B,E,1
Other,48,Yes,Heterosexual,E,77.46082945204812,A,C,B,0
None,36,Both,Bisexual,D,-17.05739766973388,C,A,B,1
Christian,49,None,Other,A,-67.6355800844365,D,D,D,1
Jewish,45,No,Homosexual,C,-74.2896150063065,D,B,B,1
Buddhist,49,Mental,Homosexual,E,-156.43059377387314,C,A,E,0
Hindu,41,Yes,Bisexual,E,-106.08758776209952,D,A,D,0
Other,75,Physical,Other,D,-146.9747336987221,D,B,D,1
None,33,None,Homosexual,D,92.26586021888237,A,E,A,1
Muslim,55,No,Heterosexual,A,138.7361126360823,D,D,E,0
None,43,Yes,Other,C,0.6232896125516774,A,D,B,0
Christian,87,Mental,Other,C,95.56268125647985,D,B,E,0
Buddhist,23,No,Other,A,-75.55505434340488,B,D,E,1
Christian,30,Both,Bisexual,B,-3.3543511820667504,B,A,A,0
Christian,71,Yes,Other,A,4.970792224760527,E,D,D,0
Christian,35,No,Other,B,6.543807808707632,C,E,E,0
Hindu,86,Physical,Bisexual,A,-75.1410636583871,C,C,C,1
Muslim,60,Both,Heterosexual,A,30.63518361628065,E,D,E,1
Hindu,22,Both,Homosexual,C,-80.99389732075696,C,D,D,0
None,42,No,Heterosexual,B,7.105734782890682,C,D,D,0
Muslim,44,Physical,Heterosexual,C,102.01175966239656,B,D,C,1
Buddhist,32,Both,Homosexual,D,33.93817201688278,C,A,C,0
None,85,Physical,Bisexual,D,113.31498375174114,A,C,D,0
None,93,Both,Other,C,4.315677363477707,A,C,A,1
Other,37,Both,Homosexual,D,152.3309483128956,E,C,D,1
Other,87,Mental,Homosexual,E,-101.81791764493111,D,D,E,1
Christian,92,Mental,Bisexual,C,-78.20566216751081,E,E,D,0
Other,65,Physical,Other,D,-219.85637058878785,A,C,A,0
None,72,Physical,Heterosexual,D,83.64045287713392,A,C,D,1
Other,68,None,Other,E,-166.83306575536636,E,C,C,0
Other,28,Mental,Other,B,-155.65401396118796,A,D,A,0
Jewish,47,None,Other,D,-23.64638372099618,D,C,C,0
Christian,25,Physical,Bisexual,A,15.353513880578177,E,E,E,1
Hindu,62,No,Heterosexual,B,-229.80705549941572,A,A,C,1
Christian,77,No,Heterosexual,E,-236.19313481028342,A,B,C,1
Hindu,29,No,Bisexual,B,118.21742144011134,A,D,D,0
Other,65,Mental,Bisexual,C,-144.90109843759905,B,A,E,0
None,98,None,Other,A,17.918930567731707,E,B,D,1
Jewish,55,Physical,Homosexual,D,72.08048824410947,B,C,A,0
Hindu,89,Both,Other,D,41.99055497190216,E,C,A,1
Other,79,Yes,Homosexual,B,21.221321562220947,D,B,E,0
Christian,46,Mental,Heterosexual,C,125.09251536149695,B,C,D,1
Other,93,No,Bisexual,D,79.11484301566351,C,B,E,0
Muslim,56,Both,Other,E,-135.4958708771788,D,A,D,0
Jewish,27,Yes,Heterosexual,E,122.08039129393653,D,C,B,0
Christian,59,Physical,Homosexual,D,41.041232588383686,B,B,D,1
Jewish,97,Yes,Other,B,54.17047030617819,D,E,C,1
Other,45,Mental,Homosexual,E,-26.968846953024432,E,A,C,1
Hindu,95,None,Homosexual,C,173.14361974885298,A,C,C,0
None,52,None,Homosexual,C,-170.5383512974058,C,A,E,0
Other,61,None,Homosexual,E,-32.310811304240076,A,E,C,1
Muslim,81,Both,Bisexual,D,22.059726959518027,A,E,E,0
None,53,None,Heterosexual,B,130.96642434900411,A,C,A,1
Other,99,Physical,Homosexual,C,62.78700105764008,E,D,A,0
Christian,92,None,Other,E,157.89005832410993,E,B,A,1
Other,25,No,Heterosexual,E,6.181566899557155,D,C,E,0
Hindu,29,None,Other,A,127.73385039453082,A,D,E,1
Christian,21,Physical,Homosexual,B,45.89131400415321,D,C,A,0
Christian,98,Yes,Bisexual,B,-101.096822909607,D,A,C,1
Christian,23,Yes,Homosexual,E,-142.2230355235671,C,D,C,1
Hindu,59,None,Bisexual,D,-129.01529290809538,C,B,E,1
Jewish,36,None,Heterosexual,E,-89.06349203840603,B,C,C,1
None,57,Yes,Other,A,34.570812464840984,C,A,B,0
Other,79,Yes,Other,A,-63.68298104955873,E,C,C,0
Hindu,66,Yes,Other,A,-300.5568628679245,E,E,D,0
Buddhist,99,None,Heterosexual,D,29.95828986536783,E,D,B,1
Muslim,74,Both,Homosexual,C,110.02420118716267,A,E,B,0
None,95,Yes,Bisexual,B,59.6352081116544,B,B,E,0
Jewish,91,Yes,Homosexual,D,-57.82033435310328,C,E,B,1
Christian,56,Physical,Bisexual,C,65.77039558898636,D,B,E,1
Jewish,19,Yes,Heterosexual,D,-124.88023928851206,C,A,A,1
Muslim,78,None,Heterosexual,D,-5.054651620875869,D,A,A,1
None,69,Mental,Heterosexual,A,-60.745275361533466,E,D,A,1
None,47,Physical,Homosexual,C,-61.4515266015034,B,A,D,0
Hindu,64,None,Homosexual,D,85.40516642456878,C,E,A,0
None,88,No,Heterosexual,C,130.82918244864845,E,E,D,0
None,30,Both,Heterosexual,B,-52.768662559666964,A,A,D,0
Christian,92,Both,Homosexual,B,-95.74226237524992,D,E,A,0
Muslim,36,Physical,Bisexual,B,-79.01730386524297,C,E,D,1
None,23,Physical,Other,C,-189.76062866322633,E,C,D,1
Jewish,79,Yes,Bisexual,D,-10.317803881455005,B,A,C,0
Buddhist,41,None,Heterosexual,B,-90.42701965494284,E,E,E,0
Hindu,31,Both,Homosexual,B,-67.30823231685252,A,E,B,1
Jewish,19,Both,Heterosexual,C,-24.22444867714053,E,E,C,0
None,77,Yes,Bisexual,B,-22.967906393821625,B,B,C,1
Muslim,55,Both,Other,D,-42.95541025987452,B,C,D,1
Muslim,37,Yes,Bisexual,C,-25.943841800795454,D,D,A,0
Muslim,95,Mental,Homosexual,C,86.15635687671997,D,D,D,1
None,22,Mental,Heterosexual,D,-158.61267036540224,C,C,E,1
Buddhist,93,No,Bisexual,D,42.28175053532742,E,E,E,1
None,49,Yes,Bisexual,D,-59.43966818099054,B,B,D,0
Hindu,42,Yes,Homosexual,A,140.88979181174014,C,C,A,0
Buddhist,22,No,Heterosexual,C,51.77616754527694,E,A,C,0
Jewish,58,Mental,Homosexual,C,-7.336687548441838,D,C,A,0
Other,40,Yes,Other,C,-131.6034187961353,D,C,D,0
Buddhist,85,Yes,Heterosexual,A,-2.1432772640579625,C,D,C,0
Buddhist,86,Both,Bisexual,E,64.7260320595929,A,D,D,1
None,94,Mental,Heterosexual,B,52.725073531519925,B,D,A,0
Muslim,68,Physical,Other,E,-10.097729257030021,D,A,C,0
Jewish,62,Physical,Heterosexual,B,0.2392767873411298,C,D,D,1
Muslim,19,Physical,Bisexual,B,-136.73748672428033,D,B,E,0
Jewish,51,Both,Homosexual,E,-11.984286751321436,C,A,C,1
Other,49,No,Homosexual,E,7.6503518964196005,D,B,A,0
Muslim,93,Mental,Bisexual,A,-105.33469813479579,E,A,C,0
Jewish,20,Yes,Heterosexual,B,77.84548445129882,A,D,A,0
Other,65,Yes,Bisexual,E,100.26737112587756,E,B,C,1
Christian,76,No,Bisexual,B,77.76917840876585,D,A,A,0
None,40,Yes,Homosexual,D,-79.93410259617258,D,C,B,1
Other,39,Physical,Homosexual,B,62.280266516444115,E,B,C,0
Muslim,43,No,Other,B,193.89680700813255,E,D,B,1
Christian,45,No,Homosexual,A,227.868131595801,E,C,D,1
Muslim,28,Both,Homosexual,E,151.04288786755606,D,B,D,0
Muslim,47,Mental,Other,C,59.23807958762466,D,B,A,1
Other,19,Both,Other,E,55.768486173755946,A,D,D,0
None,77,Mental,Bisexual,C,110.12193872081129,D,B,A,1
Other,54,Physical,Other,D,130.0567169024082,B,A,D,0
Hindu,44,None,Heterosexual,E,-3.747159876901588,C,C,C,0
Muslim,76,Mental,Homosexual,C,26.310657789216123,B,C,E,0
Muslim,72,Yes,Other,D,-30.6160169601924,D,C,D,0
None,65,Physical,Bisexual,B,3.592735441723738,C,A,C,1
Other,24,Physical,Heterosexual,E,170.82351433097097,E,B,D,1
Christian,24,Yes,Homosexual,B,-94.95462187034902,A,E,D,0
None,83,Yes,Bisexual,B,-20.262508260811295,A,C,B,1
Muslim,49,Yes,Heterosexual,A,173.6304039472609,E,E,D,1
Hindu,75,No,Heterosexual,E,-288.4206459985694,A,A,C,1
Hindu,36,Physical,Heterosexual,A,32.3613177307042,C,A,B,1
Other,79,Mental,Other,B,-88.69209900100188,A,B,A,1
Christian,79,No,Bisexual,C,-26.219917602473856,A,E,C,0
Jewish,30,Mental,Bisexual,D,-137.0151746100244,D,B,C,0
Buddhist,40,Physical,Other,B,-49.1625280208043,E,C,E,1
Jewish,39,Mental,Other,B,-71.94283409270342,B,B,D,1
Other,29,Both,Other,C,-137.90964868411265,C,C,D,0
Muslim,58,No,Bisexual,C,31.826465570949136,A,A,E,0
Buddhist,30,Both,Heterosexual,A,3.251217315344332,E,C,B,0
None,81,Mental,Other,C,-24.266083364616367,E,E,D,1
Other,37,Both,Bisexual,B,88.72293442622019,E,E,D,0
Christian,29,No,Other,C,-37.36070915595223,B,C,C,0
Buddhist,79,Both,Other,C,-131.99066678904774,C,B,B,1
Other,55,No,Other,A,14.716934451240308,B,E,D,0
None,32,Yes,Heterosexual,B,-74.9330493718077,E,D,E,0
None,86,Yes,Other,C,7.194026744076338,B,C,E,1
None,46,No,Other,C,11.361649178393181,E,B,E,0
Jewish,99,No,Bisexual,E,156.66612946405988,B,A,C,0
Jewish,47,Both,Bisexual,A,36.576409928119816,E,C,B,0
Jewish,68,Both,Homosexual,C,-27.277031310378973,B,E,D,1
Muslim,93,No,Bisexual,E,57.56891589881351,D,B,C,1
Jewish,32,Mental,Heterosexual,E,54.36427549052125,C,B,C,1
Other,77,Yes,Homosexual,A,103.93671893353229,A,C,E,0
Jewish,50,Both,Heterosexual,C,49.51049732451083,D,B,A,1
Christian,95,No,Heterosexual,C,14.183253627156327,C,C,B,1
None,65,Yes,Heterosexual,B,-81.20572422076265,D,D,A,0
Buddhist,84,Physical,Bisexual,A,-120.464836592088,B,B,D,0
Hindu,43,Yes,Heterosexual,E,78.06858223983662,D,E,A,1
Hindu,47,None,Heterosexual,A,-68.86059652435182,D,B,C,0
Other,43,Mental,Homosexual,A,0.9468337070421042,A,C,A,0
Christian,31,No,Heterosexual,B,-56.81464952704041,B,A,D,0
Christian,41,Yes,Other,B,-167.32742254673028,E,B,D,1
Christian,78,Mental,Other,E,128.04860757892962,A,E,C,0
Other,40,Both,Homosexual,E,-38.27440983875029,A,C,D,1
Jewish,30,None,Heterosexual,C,1.697911117103595,D,A,E,1
Buddhist,19,Both,Heterosexual,A,-74.3647528351835,D,A,C,0
None,61,Yes,Homosexual,B,-89.61533767740569,E,D,B,0
