AgeGroup,married,nation,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,target
36-50,Married,UK,Veteran,-3.04696074787442,B,E,A,-39.1350602214092,0
26-35,Widowed,India,Yes,131.84353219444574,D,B,E,48.99363832275325,1
26-35,Married,Brazil,Veteran,-46.60196469662087,E,E,A,84.09887502940214,0
51-65,Widowed,Brazil,Non-Veteran,-23.749979706885686,A,A,C,-18.08303554059677,1
65+,Divorced,Germany,Yes,-74.41354449622659,C,B,C,-79.61464562847283,0
65+,Married,China,No,122.19033912780013,A,A,A,144.28247103313024,1
51-65,Divorced,Other,Yes,112.1707315055867,B,A,A,-141.65087013134305,0
18-25,Divorced,Mexico,No,-38.52938528706954,A,D,E,-72.31048830442842,0
26-35,Divorced,India,Veteran,-41.66704371031005,A,B,E,-54.95706117935298,1
65+,Divorced,Brazil,No,-39.01525196603217,C,B,A,-48.953467655912235,0
18-25,Married,Germany,Veteran,8.996283947726365,B,B,C,-26.254063473513018,0
26-35,Single,Other,Non-Veteran,4.051773013336492,E,D,A,-87.73608306680727,1
18-25,Married,Germany,Veteran,-42.98714752215847,E,C,E,-63.54734382923417,1
51-65,Married,Mexico,No,-48.835180439524734,E,C,A,152.56173350777155,0
36-50,Married,Brazil,Yes,-130.07118936004647,C,D,D,84.51033252617388,1
65+,Divorced,Other,No,39.70382546146104,D,B,A,133.05056435210153,0
51-65,Widowed,UK,Veteran,-119.4507571026702,C,C,D,-64.93294117600644,1
18-25,Divorced,India,Veteran,40.189467737263044,E,A,C,136.8601675838798,0
36-50,Widowed,UK,Yes,-77.78423188726411,B,B,B,25.749591844905375,1
51-65,Divorced,Mexico,No,-14.82751919042884,B,D,A,-7.018457800339206,0
18-25,Divorced,China,Yes,-34.54680509340225,B,E,A,-91.0796287897474,0
36-50,Divorced,Germany,No,110.20675399388644,A,C,D,-11.798478065982547,0
18-25,Single,China,No,-69.2484685372205,B,A,D,17.05245248630974,0
26-35,Married,India,Yes,79.72121244359481,B,B,C,-82.43239795460077,1
36-50,Single,India,Non-Veteran,71.34726524535576,A,D,A,-144.03545499602666,1
26-35,Married,India,Yes,-120.88537230947006,C,A,D,-109.02933585906838,0
36-50,Single,Germany,No,125.52499470853556,D,E,B,-19.65249177308391,1
51-65,Divorced,China,Yes,-54.306925040625764,D,A,C,-35.843356839391085,1
18-25,Single,UK,No,108.63520057195566,A,D,E,-28.5424087292318,1
51-65,Married,US,Non-Veteran,-14.344423723397675,E,B,A,-52.91628221828218,1
26-35,Widowed,Mexico,No,64.66978293998682,A,A,E,7.520443776586388,1
51-65,Married,UK,Yes,-0.126626505045079,A,B,A,17.96787478161433,1
65+,Divorced,Mexico,Veteran,31.92741254150909,E,E,C,134.89455058951825,0
51-65,Married,Other,Yes,-112.11313953028956,D,E,C,-57.16749791638972,0
65+,Married,UK,No,-50.40770278147404,C,A,A,103.63321907061922,0
18-25,Divorced,Other,No,53.06176384936781,B,B,E,1.5999316434743136,0
36-50,Single,Other,No,-153.66410361336932,E,B,C,-41.415619270910156,1
36-50,Divorced,US,Non-Veteran,-60.303950531961604,E,C,B,-50.092000751230294,1
36-50,Divorced,US,Veteran,133.2524965724638,D,A,B,-6.033507672220538,0
36-50,Widowed,Mexico,Veteran,52.812618614427755,C,A,E,62.15394047352516,1
65+,Divorced,Other,Non-Veteran,-120.45326213855887,A,C,D,48.178209767326166,0
26-35,Married,US,Non-Veteran,91.93124108705479,B,B,A,67.25897023408562,0
26-35,Divorced,US,Yes,-52.069695766924106,C,B,B,107.67858446470817,0
65+,Widowed,Mexico,Yes,180.68115600361176,A,E,E,-81.31102946342901,1
18-25,Widowed,Germany,No,3.0419924245569248,D,E,E,-169.40706410889229,1
36-50,Divorced,Brazil,Veteran,-72.42903382394992,A,E,B,19.906215135449326,0
36-50,Divorced,US,Yes,-92.9725387393046,A,B,C,-162.83229128773786,0
26-35,Widowed,India,Non-Veteran,52.14019239011727,A,A,C,-27.81129165856741,1
51-65,Divorced,US,No,52.68827776041297,A,C,A,247.2859329068795,0
18-25,Single,Brazil,Yes,102.69118355706483,A,B,B,69.79353992972243,1
36-50,Divorced,Germany,Veteran,-1.5090040514642882,B,E,C,-64.09065550257993,1
18-25,Widowed,Germany,Veteran,48.78232136215668,A,A,E,51.470726726970526,1
65+,Divorced,China,No,24.43289495768879,A,C,C,-79.37667995827151,1
36-50,Married,US,Veteran,29.71839524935464,D,B,A,169.32803644512913,0
51-65,Single,US,No,55.55429934164423,D,D,D,-186.27588353173536,0
65+,Widowed,UK,No,123.37165029579154,C,A,D,202.84635431606662,0
36-50,Single,India,Yes,85.92048682124366,B,D,B,89.17595640060249,1
65+,Married,Other,Yes,35.56176638035446,C,D,B,24.878263565934674,1
18-25,Single,Mexico,Non-Veteran,2.347428358548451,C,C,D,-18.429850271801154,0
26-35,Divorced,India,Yes,-95.82339768782842,E,C,B,-20.5186009035627,1
18-25,Married,Mexico,Veteran,145.30095937241077,B,C,E,-35.680620767074664,1
26-35,Married,Mexico,Yes,-59.930193146885436,A,D,A,22.03968917797899,0
65+,Single,Germany,Non-Veteran,-59.83024310159853,C,C,D,-81.83341652636584,0
65+,Single,China,Non-Veteran,52.955572324044496,E,B,E,59.18809571057309,0
36-50,Divorced,Mexico,Veteran,-141.9795914540008,E,C,C,-215.37416369173005,1
65+,Single,UK,Non-Veteran,8.667453232185117,C,E,B,-66.95089430948337,0
65+,Married,Brazil,Veteran,-107.67402977999924,A,C,A,-18.855569534326087,0
65+,Married,Mexico,Non-Veteran,76.13178509136125,B,E,B,-40.953681654200835,1
51-65,Widowed,UK,Veteran,86.80107878924696,A,B,B,-37.90741413267231,1
65+,Divorced,Brazil,Non-Veteran,91.95409149545077,A,A,E,18.827491061196202,0
36-50,Married,Germany,Non-Veteran,-53.42351712074882,E,A,B,129.75361808351272,0
18-25,Single,India,No,77.76784645346223,A,D,D,-38.39527424611543,0
18-25,Single,Mexico,Veteran,57.34528402288256,B,C,B,49.52365273880725,1
26-35,Married,Germany,No,16.60698302336397,A,A,E,-4.737706675187741,1
65+,Married,Mexico,No,57.675572225150006,E,D,A,-139.21062724724683,0
18-25,Widowed,Other,Veteran,172.17008346228414,B,D,C,56.252412421642326,0
51-65,Single,India,Non-Veteran,-16.898078412354913,A,A,B,164.58882463814075,1
36-50,Divorced,India,Yes,19.529094978440902,D,D,A,42.370270245178,1
65+,Widowed,Germany,Yes,102.804831234765,B,A,A,-79.18080277145162,0
36-50,Married,US,No,-122.93489855696707,A,D,C,-80.09826734524977,1
65+,Widowed,China,No,-174.55065077825904,B,D,A,141.2720823819082,0
36-50,Married,Germany,No,-197.98115598014715,C,E,C,3.047568984125457,0
36-50,Divorced,UK,No,-73.83666379473622,B,B,D,-204.82772718614046,1
18-25,Married,Germany,No,200.2281369951104,B,E,D,-14.25789899663042,1
26-35,Single,China,Non-Veteran,203.2322093915652,B,D,E,32.75146192508675,1
26-35,Single,India,Non-Veteran,16.520803984049028,D,A,D,-124.54018065130204,0
18-25,Single,Brazil,Non-Veteran,-110.08801422954375,A,B,E,-14.948284769340464,1
65+,Divorced,China,Non-Veteran,224.32276661842212,D,A,E,-128.5950009982831,0
26-35,Single,Mexico,No,-52.92394556343785,C,D,E,15.039806269660339,0
51-65,Married,Germany,No,131.86694886730854,D,E,A,23.044217792604535,1
36-50,Widowed,India,Veteran,192.81565380165358,D,E,E,8.826877727810215,0
65+,Divorced,US,Yes,29.580228769557966,A,D,E,-140.08710284331835,1
36-50,Married,China,Non-Veteran,112.27949296547372,A,C,C,49.22108261131122,0
51-65,Married,Mexico,Yes,55.95596067678857,C,C,E,-193.94268104572566,0
51-65,Divorced,China,Veteran,-32.90939807906751,C,D,D,-38.970689770018346,1
18-25,Married,India,Veteran,12.268592898841616,B,E,B,-202.35485321339604,0
26-35,Married,China,Veteran,23.683044442088395,A,A,A,-66.91607896919062,0
36-50,Divorced,Brazil,No,147.50191506839946,A,B,A,-109.07680001035378,0
65+,Widowed,India,Yes,130.5840497168561,A,D,D,-16.330430248449556,1
36-50,Married,Germany,No,147.5200305801035,B,E,B,-16.66191068067707,0
26-35,Divorced,US,Non-Veteran,246.45178536686805,C,E,C,103.75686186891492,0
18-25,Single,US,Yes,91.23274174781444,A,A,B,-93.83757429284333,1
18-25,Divorced,Germany,Yes,10.114768653981894,E,D,E,-90.35033444172407,1
36-50,Married,Other,Non-Veteran,3.3854682753782916,E,B,A,166.0702365740106,0
65+,Married,India,Non-Veteran,-24.55210842396279,D,C,B,4.28199175735569,1
18-25,Married,Mexico,Yes,-78.81163996180712,E,E,B,52.91233171910362,1
36-50,Single,US,Yes,109.60046765637799,B,C,B,-38.63961654033975,0
65+,Divorced,Other,Yes,52.531154411309785,D,A,B,-49.35313611918926,1
51-65,Widowed,US,Veteran,59.4478789388241,C,E,D,45.44828687617796,0
26-35,Single,US,No,34.53907911981443,B,C,C,-70.11411196702039,0
65+,Single,UK,Non-Veteran,-11.82778311138132,B,B,A,87.35909543822308,1
65+,Married,India,Non-Veteran,-19.52346446357621,B,A,B,92.59214125788222,0
36-50,Widowed,US,No,187.8072566337194,C,E,D,67.10249854556422,1
36-50,Married,India,No,69.86983462465443,B,A,A,-11.198507717904242,1
18-25,Widowed,US,No,-6.862611996685327,E,C,E,-93.58390536244003,1
18-25,Divorced,Brazil,Non-Veteran,3.9512606898709097,C,E,C,-65.9457989199925,1
51-65,Married,Other,No,-12.52758719583297,E,D,C,97.61786618455997,1
26-35,Single,India,Veteran,44.35215581003014,D,B,C,-5.563098868575359,1
65+,Widowed,US,Veteran,199.1146361345226,C,B,E,-129.91063189719262,0
36-50,Single,China,Non-Veteran,-95.24342881636193,E,B,A,-120.22822165072604,1
18-25,Married,Mexico,Yes,34.22166905588572,A,C,D,23.086456789025238,0
26-35,Married,Brazil,No,23.832239033432153,A,E,A,-122.04036550725021,1
65+,Divorced,US,Yes,79.13572151492033,E,B,B,-86.55244926204942,1
51-65,Widowed,India,Non-Veteran,-73.75736679703047,E,A,D,-229.42843417084245,0
36-50,Widowed,Mexico,Veteran,23.86561150694718,B,D,E,39.490411757846665,0
18-25,Divorced,China,Veteran,6.370923277004524,E,D,C,24.036130009042953,1
51-65,Widowed,Mexico,Non-Veteran,-36.70086463241685,C,E,C,8.957374938537225,1
65+,Widowed,Germany,Non-Veteran,166.1296299866217,C,C,A,170.7603881065049,0
65+,Widowed,Germany,Non-Veteran,81.70281367340742,B,D,C,49.270609248636475,0
18-25,Single,China,Non-Veteran,51.415125980277566,B,A,E,106.77790244641278,0
51-65,Married,US,Yes,91.08031750968657,B,E,D,54.42692448844526,1
51-65,Married,India,Non-Veteran,-69.82351712710398,B,A,A,-71.12371247639634,1
18-25,Widowed,India,No,-72.59687980951752,D,B,C,-21.431342810021594,1
65+,Married,Other,No,50.725788044419076,D,E,D,90.8887889185352,0
26-35,Divorced,Germany,No,62.52180264655765,D,C,B,-174.6493451263351,0
26-35,Divorced,India,No,61.05087591474092,B,B,C,104.29544701162594,0
51-65,Single,India,Non-Veteran,14.730631345325238,E,C,A,-106.85328360566606,1
51-65,Single,Brazil,Yes,-77.85795951300109,B,A,D,-38.90418971512687,1
65+,Married,Germany,Veteran,-83.56779885998036,E,E,C,-85.2391018903703,1
36-50,Widowed,India,Non-Veteran,15.113671205350943,A,D,E,-69.01260315765553,0
51-65,Widowed,Germany,Yes,33.23259806756898,A,A,C,6.802050679355364,1
65+,Widowed,China,Veteran,65.15903976552683,C,D,A,-173.56572139212005,1
18-25,Widowed,US,Yes,-55.22830432715675,D,A,C,-131.44816767691515,0
18-25,Married,UK,Veteran,54.620156554550114,B,E,A,-57.95151535893047,1
26-35,Single,UK,No,-4.9916016088129975,B,E,D,24.297839965705094,0
18-25,Married,Mexico,Non-Veteran,-15.038849740992733,D,B,D,14.770464231466155,0
18-25,Married,Germany,Veteran,-4.896308650004589,D,E,D,51.58286871306505,1
18-25,Widowed,UK,Yes,-166.61962138635332,E,B,C,-86.65584525980097,0
65+,Widowed,Brazil,No,69.31492660551763,A,E,A,-45.63917948293236,0
36-50,Single,Germany,Non-Veteran,71.30672152879805,A,E,C,7.296797936370707,0
26-35,Divorced,Brazil,Yes,7.7349393207287465,B,B,C,15.490929425670256,1
18-25,Single,Germany,No,-78.32274460779806,E,A,D,-93.12777885106529,0
51-65,Widowed,Germany,Non-Veteran,-13.532656869408704,B,C,E,-51.85733274169522,1
51-65,Divorced,India,Non-Veteran,65.03188903187335,D,A,C,177.16206418567467,0
51-65,Divorced,Other,Veteran,-15.633870454572687,C,A,D,7.957898506601198,1
36-50,Widowed,India,No,120.21987642322263,A,A,C,-53.62372408670348,1
36-50,Married,Brazil,No,-153.05260340977125,A,C,A,65.25415485009961,1
36-50,Divorced,UK,Non-Veteran,-100.78789620963182,C,D,B,-6.179156935782724,1
26-35,Single,UK,Veteran,-101.17100806858947,D,A,B,39.00807248764549,1
18-25,Divorced,Brazil,No,-266.4345076553562,C,B,C,89.43644225827524,0
36-50,Single,India,Non-Veteran,95.16529087066947,E,D,C,-183.87188156745438,0
26-35,Married,Other,No,-150.12842534289788,E,C,A,-62.70504114878152,0
51-65,Divorced,Brazil,Non-Veteran,-104.54997836257469,C,D,D,-34.29477842316917,1
36-50,Divorced,Brazil,Non-Veteran,-34.84338796424554,D,C,B,-50.709503564971826,1
26-35,Widowed,India,Non-Veteran,-107.7988709361463,D,B,C,-162.19200208547002,0
51-65,Widowed,China,Non-Veteran,121.83828175951975,E,D,E,-42.93585316174054,1
36-50,Married,US,Yes,-44.95472445425096,A,B,D,125.70683388397721,0
51-65,Widowed,Germany,Non-Veteran,-141.988744938447,B,D,A,26.544863958474956,1
36-50,Divorced,UK,Non-Veteran,33.21695201598406,C,E,E,46.46653070391771,0
36-50,Single,China,Yes,-92.20962377159657,A,D,B,12.791421674080727,1
36-50,Widowed,Germany,Yes,16.69213507235316,A,E,D,175.163095594966,1
65+,Single,China,Non-Veteran,-75.43298562312685,B,E,B,-73.65933151366917,0
36-50,Widowed,Other,Veteran,-126.94426421765361,D,E,C,-12.149359301738365,0
51-65,Widowed,Germany,No,-137.0755414572903,B,D,A,-104.29415973323668,1
26-35,Married,Brazil,No,56.29973598276868,B,D,A,151.86105467360812,0
18-25,Single,US,Yes,-149.2691642527832,E,D,D,-45.6072994745486,1
36-50,Widowed,US,Non-Veteran,100.66806007776484,C,E,B,-59.69337525601901,0
51-65,Single,India,No,6.368403942237016,E,C,E,-91.68384468972947,1
65+,Married,India,No,12.874767836937531,E,A,A,-61.9714634617141,1
51-65,Divorced,Brazil,Yes,-34.380575363295364,B,E,A,53.18175306883067,1
51-65,Widowed,Germany,Yes,-21.504794491441494,D,C,A,40.84374543896415,0
65+,Divorced,India,Yes,30.761479703740495,E,D,E,17.1185446538168,1
65+,Single,Other,Yes,-21.53391180080007,E,A,D,-50.95111756723421,1
65+,Divorced,Mexico,Veteran,9.248803702444325,B,E,C,-89.50012745827166,1
65+,Married,UK,Non-Veteran,-28.91890733262916,B,C,A,22.284911951141638,0
26-35,Married,UK,Yes,-24.74972848609517,C,A,A,-94.65466223590846,0
51-65,Single,UK,Non-Veteran,172.94591792874328,C,A,E,186.43984737166036,0
65+,Divorced,India,Non-Veteran,97.94191154728583,B,E,E,-6.750694776099604,1
65+,Single,Mexico,Non-Veteran,-38.07729869805322,E,C,A,-15.233804654448244,1
36-50,Married,China,Veteran,121.47782272523222,C,A,B,174.64702250691457,1
18-25,Divorced,Brazil,Yes,34.394092766131905,A,D,E,-19.119841582521993,0
18-25,Widowed,Mexico,Yes,22.471601053367664,B,E,B,48.29394433652526,1
18-25,Widowed,Other,Yes,-41.55859465584628,B,B,D,88.17964350701668,1
51-65,Married,China,Veteran,149.04297585809908,E,D,C,-59.02450434638462,0
18-25,Divorced,Brazil,No,67.42653604316385,B,E,C,132.26462486540208,0
26-35,Married,China,Yes,-149.76472526798804,B,B,B,-48.98696004452388,1
26-35,Divorced,India,Yes,-17.136978712427023,A,B,E,78.60124480817575,1
26-35,Single,UK,No,143.84902181458,D,D,A,-58.99221496693534,1
36-50,Single,UK,Non-Veteran,74.05394323105192,C,E,B,-49.56661851153978,0
51-65,Divorced,India,No,72.31774229178585,B,C,D,168.9076509209762,1
65+,Single,UK,Veteran,-80.74965115037564,A,D,C,-59.75906363178657,0
26-35,Single,India,Non-Veteran,-157.94101248180473,E,C,E,-121.80424078729364,0
18-25,Married,India,No,0.8553089452039755,A,D,E,-28.398144294201032,0
36-50,Widowed,US,No,-5.915809826087172,C,D,E,123.94850472717293,1
36-50,Married,Mexico,Yes,3.227408054346157,C,C,D,-2.1310129129993407,1
65+,Widowed,China,No,15.287934538463482,B,E,C,113.99612503055832,0
26-35,Divorced,Germany,Non-Veteran,255.57759128661104,C,E,A,156.3303180130606,0
26-35,Widowed,US,Non-Veteran,210.7238469336452,D,A,E,145.2232577761969,0
26-35,Divorced,UK,Non-Veteran,210.45189499622614,E,B,B,-144.63782604394996,1
36-50,Widowed,UK,Veteran,-25.439684925720908,C,D,B,-80.60874375055076,0
51-65,Married,US,No,210.86048215515922,B,E,A,-31.322758844112585,0
