disability,marital_status,military,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
No,Widowed,No,Hispanic,A,199.15702315375526,B,-77.54956936144698,B,158.35652350391908,-5.817455541088739,A,E,C,6.439918152276157,-23.143998867029914,-142.1870636335933,-143.52803697062413,0
Physical,Single,Yes,Black,D,71.19751186953845,B,-47.62835267807864,D,-39.52124726283075,132.60854811395217,E,B,D,0.47969960047144794,-0.9232378161105382,-175.7249638729425,-82.60646161799784,0
Yes,Single,No,White,B,-34.674904414423715,B,-110.09138477790425,D,-141.65123711527116,-92.2859692869603,E,D,E,-97.0125448562361,-1.4885064376469561,-64.46059581810361,-180.3108982245921,1
Yes,Married,Yes,Black,B,45.24833601120282,D,14.189224093421817,B,28.35212436637111,128.97783392501165,C,C,A,-65.18758195267915,-86.75427869916412,-23.0082475724065,-145.8417055723519,1
Both,Divorced,Yes,Hispanic,E,-85.12255073915486,C,62.104314701216,B,-54.46961371753286,213.822692751221,D,C,D,140.1196518191226,74.6722125857043,-112.04172249892488,-127.08697903663067,1
Physical,Single,Yes,Hispanic,E,-122.55102950122638,A,-59.549208760263106,E,-56.77615130489212,19.70810673190639,D,A,D,20.260456751088462,-29.05251954014463,-71.68474846335954,51.0443528811448,1
Yes,Divorced,Yes,Black,E,-88.41162836633562,C,-103.30431921120196,E,26.86642484852958,113.04227282770816,A,E,B,146.0629385467248,31.759066769923244,45.20109359886548,-66.49214451871391,1
Mental,Married,Non-Veteran,Hispanic,C,108.92695113637816,A,-36.87625446514573,A,7.358059956813162,-27.161373223867034,B,C,D,16.96139590938632,23.50163719443716,201.94406455395168,-38.29473252450214,0
No,Married,Yes,Hispanic,A,-120.37136435926396,E,57.239024271622974,B,-233.7996105413803,-163.9301089795103,B,C,D,49.73848942632404,30.424401076621095,-74.53644603813443,45.3746261065204,1
No,Divorced,Yes,White,D,0.10823900774607415,C,-17.5693969458728,E,-84.29055852630474,78.6473134343216,B,A,D,60.80561417234311,7.7788870570748045,-97.85665023625214,172.8838780125279,0
Yes,Divorced,No,Black,A,-102.04298431818937,D,-133.67812493942714,C,-43.55607074043461,72.73539357848708,D,C,B,120.3013760954389,-8.403661200535517,58.074829243619405,99.06690371749258,0
No,Married,Yes,Black,B,-176.2421574539533,B,-25.034612888403913,D,-1.7027890874155616,-89.30680308996212,D,A,C,106.38250289258168,116.23495598802742,109.23735410651514,9.87401621237514,0
No,Single,Yes,Hispanic,B,-175.07482363519821,C,17.383813185943794,C,249.73361081228202,228.88535751867832,A,D,E,16.00990417502441,-14.070562175407748,75.7948495191758,-159.3814499643373,1
None,Divorced,No,White,C,-343.0997142673916,A,-52.783626987183894,C,-97.2317285823398,21.756483725587955,C,B,C,-11.351689424219158,-119.7079909801553,-112.22546804985005,-186.84552404494923,1
No,Widowed,Yes,Hispanic,A,-19.51806002351382,D,127.41429260263352,D,-19.099978865989463,181.51046925659546,A,A,E,-6.356221097651115,49.32250741241936,-36.51292659440182,-192.66559926146766,0
Mental,Widowed,Non-Veteran,African American,A,85.68538095955255,A,-83.7367594874132,B,-37.55357987290837,-148.16007750798977,B,A,A,74.56623975201502,-145.9828690409589,162.4217281512139,-84.3509626231298,1
Both,Widowed,Yes,Hispanic,B,122.7065215748101,B,77.39147524510072,C,-125.70645283422124,135.03262951524405,C,E,D,43.4274747643785,-19.078892695982994,-8.472570722975545,51.347644693727425,1
Physical,Married,Non-Veteran,White,D,24.891239512812056,C,-53.53781885352734,B,-52.86013716636757,-4.63279410637042,E,A,B,-7.127257142609979,63.3899155009354,-190.29484040933892,-131.18835614477885,0
Both,Widowed,Yes,Other,E,77.3142456919552,E,-92.63737768041834,D,78.08273570220155,1.2041625117669175,A,A,A,-75.85446789905714,-7.719173530361516,-7.739842850359057,-97.05051232410352,0
Mental,Single,Veteran,Hispanic,E,16.234759146198787,C,-36.99925217852172,B,-2.426545079049464,44.28572512929267,E,D,E,19.4848281091459,-45.54918087541328,-170.2017539999761,77.90241906925043,0
None,Widowed,Yes,Asian,B,148.48498053658972,A,-209.31828627190052,A,-191.41983852790864,-182.89579128153594,B,E,C,11.935272478797094,-169.63402521430518,-35.59330160467887,20.128309053528657,0
No,Single,Yes,Asian,C,263.8252128834421,D,62.07625393619064,C,37.95771467505393,-112.46939988347846,B,A,D,69.33095901537936,-3.566946631689711,-49.19974988502723,-271.165993492041,1
Both,Divorced,No,Black,D,131.18244238237818,A,-27.092925953557838,A,-42.044079365390125,-155.22760722270831,B,B,A,-57.31966524662807,8.85619101808568,52.51773363064153,-84.70804110147883,1
None,Divorced,No,Black,D,4.8215746126467485,B,-86.18253125056216,C,115.37433973896046,-35.060829345205015,B,A,A,-90.69977920860445,-50.81676575079229,84.77289522011779,-2.440927496611535,0
Mental,Married,Yes,Other,B,-3.2777196886165627,D,-57.61205179698546,E,156.0399717036549,110.96264405457718,A,E,A,22.917620385818296,30.964453218287986,-68.4772214723687,86.8736832860934,1
No,Single,Non-Veteran,Black,D,-20.007787713186648,C,69.5567348274411,A,-27.32108913836912,144.39844723601442,B,C,C,35.047674992035574,-96.76889687624902,52.36545605539944,49.67328756736552,0
No,Divorced,No,White,E,-164.86953554999354,B,-78.34183554298555,C,-213.60259494666502,326.6623569781697,A,C,B,52.301239108623264,-4.061782746907166,-182.99058984640524,-174.05510541087136,0
None,Widowed,Non-Veteran,Other,C,-65.8229178983022,E,131.97309345773326,E,46.31842213120248,-69.57001468586714,D,D,A,9.507600825137956,-119.97903425607555,85.22234439487076,-29.479486311105347,0
Both,Divorced,Veteran,Hispanic,E,-89.30792091802425,D,106.15107969170336,C,-58.520466680517146,-68.94918844247393,E,E,C,13.214575245677764,-78.28738569642701,-127.39304103951754,156.4703860614127,1
Mental,Married,Veteran,Black,E,-29.105030884942185,C,53.690723029620244,E,-25.62230862255619,-163.0031067401074,A,D,E,-60.01479027625478,-24.65364547684669,-78.88232962276311,65.84618805747563,0
Both,Widowed,No,African American,D,-29.207753265797855,C,-98.86882946633406,E,-77.32923865713146,82.77310710024629,A,E,D,82.80713147024605,-65.66930090642218,273.325062751519,39.45943671200356,1
Yes,Single,No,Other,C,-88.06871143323593,C,155.48138320034593,E,-37.120276904640924,-72.25199943613299,D,D,A,118.87633722497245,301.39113280749694,279.7198383326349,53.38514518063921,0
No,Divorced,Yes,African American,A,-55.76808656068747,C,-69.41224967176815,B,158.7369168296761,156.55982755152814,D,A,B,128.52412456499323,59.55778558386993,66.05452538504021,-111.17521056202648,0
Both,Widowed,Non-Veteran,African American,A,-90.41625427903578,D,-211.7043143795875,B,180.8312505472597,-32.73500904261999,D,D,E,-116.23273954325487,-70.36036370031009,-6.7033938281106025,42.81586871918272,0
Yes,Married,No,Hispanic,D,49.38037828379343,B,57.56151559122077,E,-17.364319964503796,-105.24345766687277,B,C,B,-46.19951666796283,-105.76179891853378,210.52556491748007,-143.41726796347666,0
Mental,Divorced,No,Hispanic,E,-58.40377414999915,A,114.29746783236192,A,-84.139857196788,-23.445299710206143,B,C,D,145.01107037764845,-6.657803534153202,28.078611309932082,80.41010623160797,0
Yes,Widowed,Veteran,Hispanic,B,32.25219142646436,B,-57.09230611687075,C,-11.818426140401867,-65.83521306801721,E,A,E,26.68066801889663,114.01790880360004,-44.29012928811305,-18.741688723451688,1
Both,Single,Yes,Other,A,206.70835298144925,D,-91.03661545388914,D,-120.66783400022352,-78.61245141794124,B,D,A,-86.24263777110424,129.62741172354572,-29.669985843543433,-24.835787514417397,1
Physical,Widowed,Yes,African American,C,28.06334358141572,A,-25.086105243249047,A,148.21332491497353,-244.6815782191879,B,C,B,-120.76375054341553,-126.7498548146145,16.57579226101391,93.34009765389027,0
None,Widowed,No,Hispanic,D,-40.05321387668091,E,-161.17721042167713,C,-12.979380610174996,64.91252485066296,E,E,D,-119.89035800640993,128.13697370088104,87.81436480542159,87.04525990530297,1
Both,Married,Veteran,White,B,104.43940766826432,A,49.60814543114569,C,31.082718847205378,-19.607713101260025,B,D,B,24.9216367682479,-129.4484319944064,-39.45987694136529,-45.8766835823452,0
Mental,Married,Veteran,Hispanic,D,12.793011745317513,C,-83.26194529588994,E,2.690723179243917,-204.33385461582722,E,A,C,117.94388080829252,51.94701288267491,-134.57319192040111,-91.062020653115,1
No,Single,Veteran,Asian,E,-68.74660179176577,B,-163.7977790613134,A,44.4351888724056,84.11332858605586,B,C,A,-72.26045017026124,63.01432882312382,-68.09357847404578,-32.89248221813691,1
Physical,Divorced,Non-Veteran,African American,B,-54.6280512361604,B,48.838901868143815,D,69.7824160144599,-139.92649661498328,A,E,C,106.6230522725162,35.42319455022234,-58.15714626090188,-145.07437375980112,1
None,Divorced,Yes,Black,E,-6.758025683747465,A,-1.6795437995984386,C,123.18374994961923,1.7816085679503393,D,E,E,97.95333017711266,85.3609286696654,-69.17767005731844,-53.02544271133598,0
None,Married,Yes,Asian,E,18.855400715490607,A,10.22560009308867,A,-55.72321000751259,95.91365805954793,D,A,B,161.03587697282305,-55.535929112933616,-30.30344999972272,-104.20970758044862,0
Mental,Divorced,No,Asian,E,150.2080869382047,A,-83.18767606638544,A,-19.74933935075536,-56.81032545792033,E,C,E,196.32077025684833,-85.77881297906761,-31.565905305834324,54.4846994735201,1
Yes,Divorced,Non-Veteran,Black,E,38.3172776923946,B,213.32778429530003,A,14.078962590022941,29.54735578312248,A,D,A,-87.6900862649371,56.3466131745819,36.837947203343376,-45.12315657069092,0
None,Divorced,Yes,White,D,-43.235971488769295,C,72.36780026221646,E,-4.655021581079418,125.32304465321178,B,B,E,131.8030927933643,35.676690018639164,-32.813779557869545,42.74535542713454,1
Yes,Widowed,Veteran,African American,B,103.10410970496284,A,-42.783897583626306,E,54.99115196968341,112.46750914755164,A,D,D,-133.2577920920037,-0.6649474080059451,-193.62363444844067,-112.59416925192194,0
Physical,Widowed,Non-Veteran,Hispanic,A,94.98082272888439,B,-134.93369489574198,D,-144.78146744119152,-165.12250019016108,A,D,D,53.324334803196734,30.457222641116662,-232.06027703816403,36.10833838102875,0
Yes,Divorced,Yes,White,B,-168.86724502145745,E,19.072906428730406,B,31.676904320178544,-113.76933387904708,B,A,D,153.27156085327306,57.72420934699129,-10.208658265015034,-25.929252444974406,1
Both,Single,Non-Veteran,Black,A,155.94425307860334,E,-198.90296791666304,D,130.11073006573432,184.21240195057598,A,C,E,-100.73939262986032,-29.558587526672547,92.96046458857842,-7.468107158911192,1
Physical,Divorced,No,Other,C,-167.06793736396864,B,-76.22448824925767,E,10.248267564412465,34.67185009763714,A,D,E,-46.94363534113425,27.74159263148741,97.76905511846437,-27.894620688698325,1
Physical,Single,Veteran,Other,A,11.892450780728971,D,-155.6328329701489,A,238.64275946771284,105.41589221199217,E,E,E,-60.58122033937309,-104.48277649569346,98.07755001437945,226.72234208811446,1
No,Married,No,White,D,63.62985225022555,A,-71.34057288341525,A,50.93250389939745,-101.53862925126928,D,A,C,186.94814065963047,14.81135622466397,190.2397886238492,53.83604948188645,1
Yes,Married,Non-Veteran,Hispanic,B,-21.13918539667289,A,24.14385392722746,D,109.9718543750025,-73.84896247333211,D,D,E,32.894821076133944,87.59868499123952,31.342449538015554,-69.643953812819,0
Mental,Widowed,Yes,White,A,-275.3007692256285,B,104.50291256937292,B,-135.00541031189545,194.9338930333982,B,B,C,-82.38144591655868,-69.03079369868938,-9.319243169951534,35.29985516185262,0
None,Widowed,Non-Veteran,African American,A,-109.09593791209981,E,-100.96517465443718,E,-1.033235851642426,90.62634732420126,C,A,E,69.64388289440447,-81.7734125118177,-124.28845260910401,-59.125141121114645,0
No,Married,No,Other,E,-75.81986446100983,D,25.312400316274154,B,-172.79689068838442,63.209285098905276,E,C,A,-46.7716571440173,-12.89340643590091,86.65452541665901,-79.62631303909346,1
Physical,Single,Veteran,White,B,-10.531701329507028,D,1.0333599598703636,C,-39.17885447678386,89.40530628412044,B,B,D,187.92238795198222,111.47380266801248,-37.43130285260831,-83.63381346243749,0
None,Married,No,Asian,E,28.445891194436584,C,46.02911398875745,D,-103.25540907288371,19.154254973339874,C,B,A,194.738426434604,-1.6459557951654344,-208.70448700959847,-144.50509526151018,0
Physical,Married,Yes,Black,B,25.148321531287586,B,8.275103647741346,D,-12.691034041262068,157.07386319924314,D,D,C,-185.62636093076782,91.4466664751116,-33.41178112172715,-50.47218371812126,0
Mental,Single,Yes,Asian,C,48.73526922661483,B,-197.91079870128218,C,140.85041917582933,-125.80704170084482,C,D,C,-185.521391145018,-263.06888237984526,-9.95439686113855,35.81860494768947,0
None,Widowed,Yes,Hispanic,A,-80.9070645384305,E,-149.7593025626991,B,34.57374205996761,131.58128994806808,A,D,E,159.89619085979677,47.97342129361691,-45.790489607571814,61.19497205453983,1
Both,Widowed,Non-Veteran,Other,B,123.6936026911726,D,18.59128552313638,D,43.70534058925466,138.00080738241016,B,C,D,-28.47453597431484,-30.02305353142345,68.52540442321974,143.70146997678125,1
Mental,Married,No,Other,C,-2.3360391854742635,B,-76.43787487672483,D,-11.113232315263517,98.90240503338362,B,A,A,87.51918972834689,-12.257497489926696,79.75763989245182,177.57899022533132,0
Physical,Divorced,No,Asian,D,34.59278448715918,D,174.69376355474532,C,108.91964250988168,20.504867329579973,E,B,E,16.553854203042928,-30.795777036848182,-85.79445997354046,116.28600780524214,1
None,Widowed,No,White,A,48.61367309295056,A,-142.9362694889307,E,-142.9676864309576,51.61313152581243,C,B,D,56.15878697334959,242.19582260313598,-38.57387433458144,-128.88856352246916,0
No,Married,Veteran,African American,D,-233.70276735657126,E,50.679876774798046,E,-17.204102268462112,88.56655065920101,D,B,E,-96.67586054365954,-118.87933260462562,93.16707325663033,42.722805165226404,0
No,Married,No,Hispanic,B,-22.618232516460086,B,-100.48240911816475,D,7.336939724040343,-107.76438125798764,E,A,C,75.57704932224108,-122.73113322943661,33.677398983568295,-19.566556117123916,0
Physical,Divorced,Non-Veteran,Other,E,77.71345309557186,B,-41.0528204744747,E,-18.70472806794622,-26.467246424650714,C,C,D,-32.84562011563587,-2.614552819577328,-38.5691484511545,-227.84238196140709,1
Both,Divorced,Veteran,Black,B,-33.14253810390846,A,-24.697578429491326,E,67.968353013982,-76.25926320944335,A,D,B,140.25164086060568,95.7704210491461,10.65806883696893,-29.33308621264344,1
Yes,Single,Non-Veteran,African American,D,54.23474705958211,D,87.55458304406542,E,-2.3063725231398258,-11.556571409647601,C,B,D,102.90617788027004,-150.6490234558913,-199.36429032827462,109.85463155759258,0
Both,Divorced,Yes,Hispanic,C,-55.037967836344656,A,-92.7702125748877,B,149.75416484595877,148.27432999078036,B,E,C,90.4011699685824,-46.82203109618489,-79.40317759721361,2.306932568982449,1
Mental,Widowed,Non-Veteran,White,E,17.891363724190608,C,91.30257678886886,A,13.207287288594175,-20.636483157026753,E,E,E,188.74944626567645,87.22609979808313,30.323951800875154,-305.7905170257467,1
Both,Single,Yes,Other,D,180.60369294604362,B,-91.25003761637974,C,-199.35773575560154,-62.00049690414529,C,E,D,-41.308764780531774,146.86197698052231,-15.864682375534079,-7.110832518035778,0
Both,Single,Yes,Black,D,46.81097205937982,B,-161.53065471995063,D,-153.32886081540374,-20.79761991124049,C,A,A,-104.7150347804163,80.61542038550743,-16.271797675311397,35.57187581938436,0
Yes,Divorced,Veteran,Hispanic,C,22.725006967231877,E,-180.8734996464714,D,73.3764238028663,-97.29744405545102,D,A,D,171.8417583477668,153.6326259374601,-127.10611025461856,-126.89316146418861,0
Physical,Married,Yes,Asian,C,-7.7549088966246345,A,22.24105181485313,C,119.42058480430799,8.919799865236264,B,A,A,-183.90948744740462,-107.98943018946107,-9.895040575902945,-70.68084070547206,1
No,Married,Yes,Other,C,108.4602345776401,A,27.649786022127117,A,-16.001711216191644,-5.547135042515803,C,C,E,110.21235857803482,-133.61226044955131,67.57465720822135,78.5650705708495,0
No,Married,Veteran,Hispanic,E,-58.32600728092,D,-74.32084930093411,B,-79.31490500779115,-132.8682528687437,B,A,B,-71.2903665219027,122.69597399834002,-71.01831029471383,72.58119370092093,1
Both,Married,Non-Veteran,African American,C,270.03546657248296,C,-68.80542288607836,A,109.05795573378568,-25.878807717603337,D,A,B,77.5149786256601,59.30743316355526,-8.368315120088997,75.80907275811684,1
