AgeGroup,veteran,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
18-25,No,Heterosexual,B,B,-35.82201276140964,D,-332.65298558927543,-114.2868599355499,-33.45760062350542,E,0
26-35,No,Other,E,B,-59.66249477380252,D,12.262689395672071,-34.68095921706821,-115.13543564492966,C,0
18-25,Non-Veteran,Heterosexual,B,A,-28.060330766990305,A,-161.3611805797211,-66.8481989882103,30.85389417494125,E,1
51-65,No,Homosexual,A,E,-168.0136287876016,D,-41.10324493162139,-40.450840663694535,30.781933441227487,E,0
36-50,Non-Veteran,Heterosexual,C,B,-29.78062476542914,D,-40.64169592406144,70.40053675011923,-103.38939068502735,C,1
26-35,Non-Veteran,Bisexual,D,A,-6.158007817721397,B,159.08781314300228,-19.86149307788018,191.93665156420312,D,0
51-65,Non-Veteran,Bisexual,A,D,-16.370337450738734,C,-156.10721538696288,128.8249790499175,-104.2245117644594,A,1
18-25,Veteran,Bisexual,B,A,55.975765630318655,C,-35.146867441452194,59.570110603850345,110.62730190138275,D,1
36-50,No,Bisexual,B,A,72.16064631934938,D,142.75862959654165,26.094921429685275,70.43731375039417,E,1
51-65,Yes,Homosexual,E,C,-84.7971515518363,E,68.58163610838336,-52.27507816707221,-58.35145266140491,A,1
36-50,No,Heterosexual,A,E,68.59770287741605,D,-76.21393316730097,-115.6185310387865,103.21563686971031,C,1
26-35,Non-Veteran,Bisexual,C,B,-141.11289928452388,D,66.98631384154538,-63.580320043296126,-48.206476142625824,D,1
18-25,Veteran,Other,D,A,-88.90996061377469,E,-84.23336326112235,55.94923158787199,259.3831564856496,D,1
26-35,Veteran,Heterosexual,D,E,-28.737810469440877,B,-66.54105972578017,7.947918585794375,99.21684926897329,B,0
51-65,Non-Veteran,Homosexual,B,B,-170.08446038258828,A,-104.8669669544982,-52.517963523728895,-197.4111103424392,A,1
51-65,Yes,Homosexual,C,A,29.0636216006306,A,-140.0820712748808,-124.73208493852049,-5.8031290168440215,E,0
26-35,Yes,Heterosexual,E,A,148.37879276869904,E,115.99886170650164,-26.83494562085044,87.32598579597142,A,1
18-25,No,Bisexual,A,C,-15.357880282431891,D,-92.06387507138427,-19.849124768425888,13.531159086148758,A,0
36-50,Non-Veteran,Other,B,A,-11.25892667314908,E,-178.45514260361765,78.97841263190023,266.1075016822018,B,0
18-25,No,Other,A,A,-156.76220936123707,E,39.765384113027196,-86.76257178335437,-66.22108185390863,B,1
26-35,Non-Veteran,Other,A,D,-74.709670883119,D,-32.65728034799449,6.385495905819267,2.259101070673607,C,1
18-25,Yes,Bisexual,B,D,10.086371979061324,E,-17.899084834583974,-28.72025008779403,136.91291658494035,D,1
36-50,Yes,Heterosexual,B,B,-182.43831111640836,D,-48.75935905616196,74.11237474582738,27.352070176064935,D,1
36-50,No,Bisexual,B,E,-64.31169027027684,E,-64.34042748705394,162.46169267936003,70.00661236015148,A,1
18-25,Non-Veteran,Homosexual,D,C,230.15100147657574,B,0.2896570447959755,23.878604663911577,-161.50892495654588,B,0
18-25,No,Heterosexual,A,A,157.79325443998354,E,240.08719372807107,14.991783377348167,82.25909937071836,D,0
26-35,Yes,Bisexual,A,B,-93.99208849381533,E,-65.1436433259597,-52.2103031424298,-147.6968899408312,B,1
36-50,Veteran,Homosexual,D,E,-180.89549571559783,E,-79.0245775829702,-10.159482051771567,86.46947895068516,A,0
18-25,Veteran,Heterosexual,A,A,-105.38619770085118,C,-77.72114497319915,-65.00586049467995,56.17189866141166,D,0
51-65,Yes,Heterosexual,B,E,-69.79774840788686,B,-224.56956631268676,30.5174324859864,-59.51166809913302,E,1
18-25,No,Homosexual,E,A,-118.93152941778385,B,-61.67195571715281,-78.02671171791667,-35.49720732717878,D,1
65+,Veteran,Bisexual,A,D,-24.52462197724016,D,85.70014336076723,-37.24495844882621,-23.5379131667017,D,0
65+,Yes,Homosexual,E,B,33.371862839037,C,-20.860021821485613,-15.658472702899475,-65.7864614983247,C,1
26-35,Veteran,Bisexual,B,A,18.962353956577704,C,11.791791686995126,71.60690430587529,264.81151190987623,B,0
65+,No,Homosexual,C,B,-27.068807927671408,A,110.67175724537425,80.80434072721194,60.89743446176406,C,1
18-25,Yes,Homosexual,C,B,-98.92230177144118,D,-53.3036830522152,-224.16318661071477,211.05219331925196,B,0
51-65,Non-Veteran,Bisexual,C,D,49.30749585816944,A,-60.07267287040238,-52.34858810477658,5.913775679446076,A,1
26-35,Yes,Heterosexual,A,A,65.8824611206971,D,-22.033069053534014,-125.02637385012783,58.926874170672406,E,1
26-35,No,Other,C,A,20.547172878119493,D,130.46715948379222,-168.69999938861392,191.21459190305399,A,0
26-35,No,Bisexual,B,D,-130.14652451445104,A,-170.0018467459232,-20.19721100408014,10.890196995059677,C,1
51-65,Yes,Other,D,C,157.89319837867174,B,136.39036524683638,6.627184856260171,-58.19763350196929,C,1
51-65,No,Bisexual,E,C,63.238440999556566,A,-145.9412075790433,146.53234938550358,-7.043693777713322,C,0
65+,Yes,Bisexual,D,C,-120.29593968733414,A,85.81213720915913,140.15312532297472,99.6290612752037,D,1
51-65,Veteran,Other,E,B,113.23094796047752,B,37.02499588032393,-8.25337513086852,34.74778426457995,A,0
36-50,No,Heterosexual,E,D,-156.1016589096929,C,-73.60010317937736,-37.616033893910846,-28.028710309165945,E,0
26-35,Yes,Homosexual,E,C,78.05758140851196,A,-26.213679657302237,21.0669827111632,55.385236361142546,C,1
18-25,Veteran,Bisexual,D,A,-21.123308084855125,A,-61.98919994497795,-179.9449849641547,-127.60844329916627,E,0
18-25,Yes,Bisexual,E,C,-48.24650556302462,A,-172.36978999001192,64.70650709915485,142.1951291178065,B,1
26-35,Veteran,Other,E,A,44.89072831007236,E,-139.4473097554564,104.51207662882982,63.65182226693968,D,0
18-25,Yes,Heterosexual,B,B,80.06109365253822,C,-57.87803249587944,43.702525226393654,-48.83655155812759,A,1
65+,No,Other,E,C,-62.10206028525705,E,-125.71510455659056,82.23568969013554,-38.106653686509404,A,0
36-50,No,Heterosexual,C,A,96.60427319426319,C,135.93898805362258,-40.02037532421801,199.00904954740696,E,0
26-35,Non-Veteran,Homosexual,C,C,-58.77715729015599,A,25.985668418954905,58.48488799082971,13.553789628075267,A,1
18-25,No,Bisexual,A,C,158.4946182648382,A,-212.4348698696722,-82.02573077716497,-4.04822025453571,D,1
65+,Yes,Heterosexual,B,C,-232.9658159065229,C,-90.26051531850634,-20.73588849451517,88.61915987905672,D,0
36-50,No,Other,E,E,80.31616925196462,C,-72.86508868282033,-17.63062527614314,-111.13953976045492,E,1
36-50,Yes,Heterosexual,B,D,169.19103821924838,C,56.056115642085246,30.78256990607923,-85.98132956555567,B,0
65+,Non-Veteran,Other,A,C,59.53197741347854,E,10.998235044610057,-117.64760409223274,85.72377455096648,D,1
36-50,No,Bisexual,C,A,76.73830680015375,E,-57.246816829784045,126.23004403019655,-162.22213137034703,A,1
36-50,No,Heterosexual,D,D,11.814696046353836,B,11.006306151256545,-14.520444584580591,-78.19550385100328,B,1
18-25,Non-Veteran,Homosexual,A,E,-54.714534934554,A,-49.95510622208798,-16.027798543000735,-85.02239487477084,D,1
36-50,No,Bisexual,A,C,116.93460462680223,D,-22.641876368894394,-173.79290033519638,-91.33760380624607,E,0
36-50,Veteran,Other,E,D,-105.53483069058946,B,72.437947946623,-25.145989551928118,140.018697794311,B,1
18-25,No,Homosexual,E,A,-36.46441188358487,D,-245.45651754879407,-0.7988397589019912,-59.996146502603274,D,1
51-65,No,Bisexual,C,D,-48.86728473707183,D,185.11106085600207,78.81853511221429,-119.61236931844338,E,0
26-35,Veteran,Heterosexual,A,E,-25.85313073468504,D,-15.397513144878408,143.03482656583157,18.885951802859758,E,0
26-35,Yes,Bisexual,B,A,132.16878406578257,A,137.26914446956985,-202.35255237208995,-27.177941261410215,A,1
26-35,No,Homosexual,A,D,94.96236996586643,B,139.15363435389818,115.96671161967751,-15.933614912586547,A,0
51-65,No,Bisexual,A,C,81.94712209719262,D,-196.26666302655303,-188.17825499526936,103.96425230665946,B,1
65+,Veteran,Other,E,C,50.18589442025797,B,-56.40428485256327,16.72528024793751,-59.99398193050127,C,1
65+,Non-Veteran,Homosexual,B,D,-102.6913189040867,A,95.83671102842136,-185.3565204414941,-156.81255689784874,A,1
36-50,Veteran,Homosexual,E,D,-35.65806667585039,A,33.773337236009354,-25.91271329760818,-76.2512343025165,A,1
65+,Yes,Bisexual,C,B,95.80012540703642,C,-73.1493506127781,138.99717885563837,148.46650813433212,B,1
26-35,Veteran,Other,B,A,73.7552809618664,E,103.77863018932977,8.453009052516563,24.60614207436766,C,1
26-35,Yes,Bisexual,D,C,-74.62050771379343,D,-54.85524387708149,-117.36228912451254,207.49435517608856,B,1
51-65,Yes,Bisexual,B,C,-75.24222330045934,D,-165.21067916715927,80.50029868211588,-101.01516888894628,C,1
18-25,Non-Veteran,Bisexual,C,C,-8.810579259438118,E,52.53524713880394,-54.96144742089288,-113.20925940646096,D,1
65+,Non-Veteran,Heterosexual,C,C,-52.76413471652251,B,94.5406708968059,-20.175969197302827,96.60693708799033,C,0
36-50,Non-Veteran,Homosexual,A,C,-33.4079077980955,D,-121.44909124847922,-72.89115323694968,126.62726762824343,D,1
18-25,Veteran,Other,B,B,-91.25603727776593,C,71.0379937453324,-35.8478582442608,-4.0006445079797714,D,1
18-25,Veteran,Homosexual,B,E,-117.39786626394442,A,-30.09261648280398,-139.53962029894328,-24.22137128344698,A,0
51-65,No,Homosexual,B,E,-28.973091182977967,C,40.65994208549791,83.75746847685804,26.61171509234577,E,1
51-65,No,Bisexual,B,C,98.72423363438338,D,209.06866251161574,-130.4204168029164,136.03149225461453,D,1
65+,No,Bisexual,E,D,-140.30947386119408,B,-17.66417591464898,30.060438796983135,227.9740200757769,D,1
18-25,Veteran,Other,D,D,-22.886231781990524,E,156.02288119072253,21.822809928732827,69.2942118691954,B,1
36-50,No,Heterosexual,B,D,204.9551597537781,B,-33.092923102578,-168.72870774488476,-107.40685306819482,E,0
26-35,No,Other,C,C,47.657537248805724,D,34.34868020023546,-66.78267389411668,113.64500033473422,A,1
18-25,No,Bisexual,E,A,36.742601082686285,B,-65.89206641793103,-55.55155919367781,157.39402834007404,C,0
18-25,Non-Veteran,Other,E,E,-19.513354719954634,D,69.59986971041107,3.040088698593266,12.961952201151835,B,1
51-65,Veteran,Heterosexual,A,E,59.73421218691555,D,123.3928338650917,-36.58824623775219,-110.01696223886674,D,1
18-25,Veteran,Heterosexual,D,A,-44.28447218813307,A,-170.31186138130116,35.07849248069907,-171.10282026183617,B,0
36-50,No,Heterosexual,E,E,-121.75251180708237,D,-85.31075463258601,-26.82127903983976,36.962939439960564,E,0
65+,Yes,Other,C,B,-68.6526674203262,C,137.3907887095956,-86.38972052906844,19.60563983923384,C,1
26-35,Non-Veteran,Bisexual,C,A,-207.48608710283395,A,-1.4746383630845212,123.30900051015013,166.3980157004376,D,1
51-65,Veteran,Heterosexual,B,E,203.34134587367453,A,199.5339487285145,-83.39491173505643,55.388309125585224,C,1
36-50,Veteran,Other,E,A,-23.731047590171038,C,2.455679506828885,-87.46514368278662,-63.833418806429165,D,0
18-25,Veteran,Heterosexual,B,D,102.24023235581832,A,-158.19849251247106,-90.57766790316057,-80.15351554485589,B,1
26-35,Yes,Bisexual,C,A,-40.833356384179254,E,106.9097687549106,-221.82697196402853,114.44915153451751,E,1
18-25,No,Bisexual,A,D,-58.694091216655075,E,8.154865699986685,-40.07199434592493,-67.15789425228658,E,1
18-25,Veteran,Bisexual,A,D,72.45865363921449,D,-97.52176723538788,16.290191586203015,162.615345380099,D,1
26-35,No,Homosexual,C,C,138.4323172912137,C,35.685257571504216,54.4377448996354,117.2353258072059,E,1
65+,Veteran,Heterosexual,B,C,-45.420581832399094,E,-42.46138863565987,-116.39445275560422,39.62210766364668,A,0
36-50,Veteran,Other,A,A,100.62643935103961,D,68.95292920296833,5.876895477423241,123.75389460903732,C,1
18-25,No,Bisexual,D,B,33.281446485220656,D,31.818733949553433,-26.956498827793173,85.4229150456092,D,1
65+,Yes,Heterosexual,C,C,-35.75324080528733,A,-67.66531972600636,-75.17408392700749,122.65779494726104,D,0
18-25,Non-Veteran,Homosexual,A,A,-13.284688294207022,B,55.01384100204848,55.173662378680774,-130.5573105931479,D,1
65+,No,Homosexual,C,D,-51.91123701162237,B,-96.63292990389826,-63.65773898039689,57.954030332840766,D,1
65+,No,Other,C,B,-16.916602906725778,A,14.670964867467648,-23.84543848583561,20.255782096256013,B,1
51-65,No,Heterosexual,E,B,-29.50410033276693,B,40.89467218267477,29.555213798458368,93.99264297478766,D,1
36-50,Yes,Heterosexual,A,C,-39.17837896291555,A,-55.73108315619153,89.4080586200143,-56.21814679683963,C,1
18-25,Yes,Bisexual,A,A,190.51547981925478,E,219.35728896054675,-120.58929638882935,-2.2840974214539576,A,0
65+,Non-Veteran,Heterosexual,C,B,24.640730925905395,E,129.76562825627764,-168.35809402572127,-73.95287694718692,A,1
36-50,Yes,Other,C,C,41.48686326804862,A,-153.07996582034292,-59.398028483687696,47.73699425119438,C,0
36-50,No,Homosexual,C,E,-11.112232210998304,E,149.2967197146296,-23.5949767297231,-61.885564151546966,E,0
36-50,No,Other,D,E,23.571094204168656,E,146.39454880546577,-45.93965341822694,-182.2748550078476,E,0
26-35,Yes,Bisexual,C,B,147.11293905662365,C,-143.94340136708394,-1.2225903946712968,-11.079872098283944,E,1
65+,Veteran,Bisexual,D,E,-7.3464326441990035,D,17.974286007900393,161.2737804928169,104.72723147090564,C,1
26-35,Yes,Other,D,E,151.51738673559882,C,-91.57858822998051,-46.432196682887756,-73.62617657311547,B,0
36-50,Non-Veteran,Heterosexual,D,C,99.9739721183814,C,52.832958536430105,141.77555535835873,48.54308468346409,A,0
36-50,Veteran,Bisexual,C,B,-112.92099404910726,D,56.12062243374856,-50.935043336475,-83.30922760223184,A,0
51-65,Veteran,Heterosexual,A,D,13.78699391129968,A,-13.376273472683062,245.7089359741245,106.01161451001853,A,1
26-35,No,Other,A,B,-36.743821355264316,C,60.5767607715933,46.805809437096705,85.24416655644904,D,0
36-50,Non-Veteran,Homosexual,C,D,-86.52532978892825,A,-32.776933409036715,69.66365635968602,-118.54260811197328,D,1
51-65,Non-Veteran,Bisexual,B,B,-208.8924710722658,C,-68.30694258109189,149.33428266158407,109.43605203760663,A,1
36-50,Veteran,Other,D,E,127.26544271795335,D,42.295267461740735,-46.918922739436816,6.923718605001626,E,1
36-50,Yes,Bisexual,B,A,-90.18286458957418,E,-164.5675084250762,124.01948523447423,-29.725093912554694,D,1
51-65,Veteran,Bisexual,A,C,-241.52013746224688,C,117.07838945730973,45.78983294972473,-34.4688288680426,B,1
18-25,Veteran,Other,A,A,4.407835703000519,E,-119.4438109978436,153.13988236132877,-75.40939306976892,E,1
18-25,Non-Veteran,Homosexual,C,D,150.9914709294136,B,4.498790776085788,103.03505694656212,-51.446585518090096,C,0
65+,No,Heterosexual,A,B,133.26673620474125,C,-11.405587945687909,-86.48485087457516,43.55873213996379,C,0
36-50,Non-Veteran,Other,C,C,-94.55128293794878,D,139.16832209614404,-67.46510056498883,135.7043342783073,C,1
65+,Veteran,Heterosexual,C,A,88.79609348812951,A,15.120177798447376,103.93220385470985,24.452514518468764,B,0
36-50,Non-Veteran,Bisexual,C,B,-29.29243082939496,B,-49.281062199852684,-71.88910268781268,-4.954877460499891,E,0
36-50,Veteran,Heterosexual,D,D,62.238945356585404,C,255.9520368914664,57.595774438361936,93.67019866118567,B,0
51-65,Veteran,Bisexual,B,B,-82.23629541138074,A,185.40325078088392,-210.6979016928496,-70.84452146712887,D,0
51-65,Veteran,Homosexual,C,A,50.53937559479075,B,-166.46065762021453,18.9178325077176,-117.23450147979719,B,1
36-50,No,Bisexual,D,B,-23.345895891899453,C,-134.74670634196812,-49.54831364640747,-260.2315007877408,D,1
36-50,No,Bisexual,B,C,-87.51267025343552,B,-130.92333810194518,11.850393518888076,102.37402901553978,E,0
65+,Non-Veteran,Heterosexual,A,B,-81.26809060802674,D,17.499323851302893,17.92438597874381,105.73701352316067,B,0
26-35,Non-Veteran,Other,E,B,-25.809074776561935,C,-36.1292039722985,101.17463013979433,-34.74006341111156,A,0
65+,Yes,Other,D,E,7.557157332727915,D,107.44790762712823,71.63571434174062,-120.63309659957045,A,0
18-25,Non-Veteran,Bisexual,A,B,-187.74701323515708,C,47.99619164396675,15.044105504583353,56.60549873919031,A,1
65+,Non-Veteran,Bisexual,A,A,43.20772614869829,B,-13.55008342198816,-80.65816350518425,126.9813045959125,E,1
36-50,Non-Veteran,Bisexual,A,E,107.17050510674555,C,-85.77726504356446,-90.56054433624506,-47.47139322572823,D,1
26-35,Veteran,Homosexual,D,A,-51.452575770033135,C,-86.83733580284121,127.39555373384476,51.59782503823956,E,0
36-50,Yes,Heterosexual,B,B,-93.52707346090328,D,-14.939303815330849,207.5305525775524,131.63481481205136,D,1
18-25,Veteran,Bisexual,E,D,190.70156550908283,D,-17.878558298017584,-7.389397979122052,-88.36349816492168,B,1
18-25,Non-Veteran,Heterosexual,C,D,32.41972711267637,E,-145.91906328278822,103.39464383686077,224.27702941615996,C,0
65+,No,Other,A,B,-105.21385263453742,D,-55.463890257730405,88.33300204947552,195.67911053008973,D,1
65+,Veteran,Other,B,A,164.38516596071503,E,-91.53369263780733,-136.21340837312147,55.98127742531449,B,0
18-25,Veteran,Other,C,E,141.24826931249146,C,-189.72376362234002,-7.737371175081936,-110.96677250133486,D,0
18-25,Non-Veteran,Homosexual,D,A,117.38930887235446,D,-62.01804736209271,159.97912844653365,-116.54149139086762,C,0
18-25,No,Homosexual,A,A,23.355745749487518,B,3.4774608338646193,133.84561109220917,-150.91258402677605,E,0
26-35,Veteran,Heterosexual,B,A,42.95056486651332,C,15.590587354796732,-110.73361383634355,146.0142920057859,A,1
36-50,Veteran,Other,D,B,6.538897535527631,D,14.509179302155422,-19.821577673360636,-34.28291331370571,E,0
65+,Veteran,Bisexual,B,B,-5.812043904788821,E,-12.395454038062667,-0.3340986439574023,-89.08204339238381,C,0
36-50,Non-Veteran,Bisexual,B,D,-60.21563551854048,E,-151.5620491335635,-163.15023293327621,139.3666080123441,E,0
18-25,Veteran,Other,B,D,67.13010565145329,B,-93.56380945920661,52.99613418046888,1.2296552772492808,A,1
65+,No,Heterosexual,A,D,25.115413184439067,C,-1.8025241073233593,-79.91768630112827,63.54714283293655,E,1
51-65,Veteran,Homosexual,D,A,22.01253884568333,D,-96.42221865432285,-59.85294018145755,140.51666614031615,E,1
65+,Yes,Other,D,C,-220.63834164975407,D,54.433168081080986,78.67581660225738,85.61169482840356,A,1
51-65,No,Homosexual,D,A,-48.00873178695025,C,-17.24880163773991,37.18997343655057,-6.773810773130775,A,0
26-35,Yes,Homosexual,C,A,75.97695237401463,A,-42.472417873876886,-35.84866875952791,-85.0656904744344,A,0
18-25,Veteran,Heterosexual,B,A,69.08275232453076,D,-128.71309423143833,13.544858569098729,-50.166401225064874,A,0
51-65,No,Other,E,B,-31.68117945036071,A,17.127366027355322,-66.9774869325969,123.58613025564257,D,0
51-65,Non-Veteran,Other,C,C,-132.32599104851047,C,-164.27000014518583,-66.63732055655623,22.55869898448317,C,1
26-35,Non-Veteran,Other,B,C,6.387497155875295,E,30.89334424408346,89.25892721657856,98.62686468059925,B,1
36-50,Veteran,Bisexual,C,E,48.43837200263675,A,9.094944628978455,-92.86090658432737,-95.28479968206383,E,0
51-65,Yes,Other,D,E,63.02571073447619,D,15.785663006658584,119.27083370792697,-26.228261740608,B,0
51-65,No,Heterosexual,C,D,-28.674385413690324,D,-47.35173661171173,-22.898123415141974,-37.000734021941234,B,1
51-65,Non-Veteran,Heterosexual,D,D,-13.618109457253288,B,-116.26384618916843,61.69661545163362,17.66561954824501,B,1
36-50,Non-Veteran,Heterosexual,A,E,140.83745348761187,C,-125.83081621484725,61.57401324890498,-98.5830059471884,E,0
26-35,Yes,Homosexual,D,E,48.879037840176665,A,-118.82775672103006,-97.653444248478,-7.4317762708345505,E,1
36-50,Veteran,Homosexual,A,B,-221.27356310333295,A,-140.52052340915552,-167.4969188006997,83.72464895638777,B,1
36-50,Yes,Other,E,B,-38.12157783267445,C,204.75546663426064,-48.60199217883431,74.3380885605326,D,1
18-25,Non-Veteran,Bisexual,B,D,-140.97688144453633,A,85.61953937465339,122.24312879291499,14.890618367476044,B,0
36-50,No,Heterosexual,D,A,91.68352392829985,D,-13.080096243138376,20.643082932840183,48.077959860654516,E,1
26-35,No,Homosexual,A,A,122.98641219342966,E,2.132010394524309,38.905722809242924,13.588210641451578,C,1
26-35,Veteran,Heterosexual,D,C,-33.89755380927594,B,154.69571744778446,138.54226678883748,79.84497553426058,E,1
26-35,Non-Veteran,Heterosexual,B,C,88.07812525856782,B,66.13366969846706,-81.34702093017924,169.3663362322029,C,1
18-25,Yes,Bisexual,A,E,-48.911732167199176,A,-254.233468362232,-125.64086273823041,-29.87362337675049,B,0
18-25,Yes,Bisexual,B,C,74.89608168135594,D,26.21101952006303,-108.15768581066743,94.84135758206969,E,0
65+,Veteran,Homosexual,C,D,-130.1181029545099,A,-33.905812350205224,-129.75082587690238,-76.72980625088614,A,1
65+,No,Heterosexual,B,D,7.95183384978479,A,110.61523985291954,52.54290471021865,-12.366450635133349,D,1
65+,Non-Veteran,Bisexual,D,E,-70.43723401828545,D,47.82217817033047,-82.5686671672249,-54.83478577128216,C,0
65+,Yes,Heterosexual,A,D,-107.45633063534979,E,19.12381897081372,-91.91548154267255,81.66438999619935,C,0
51-65,Yes,Bisexual,D,A,68.86154470006619,D,102.80352223114409,-98.19191159117644,15.77179875546007,B,1
36-50,Veteran,Other,E,C,-232.73178406722784,D,97.36618262953375,63.614277788502804,13.272488745406912,E,1
51-65,Yes,Heterosexual,B,A,87.87726636745043,A,-89.20944477706392,124.00289042328845,-17.673709890111738,C,1
26-35,Non-Veteran,Bisexual,C,A,-155.0492361108135,A,51.37307252949041,-236.20379412048084,113.67093224678354,E,0
18-25,Yes,Other,A,A,-45.65427798135337,E,4.265967199478896,75.69308984468717,27.31400418284719,A,0
65+,Veteran,Heterosexual,B,B,-12.60758650508298,A,-149.4748841196544,-78.16775269135873,-13.287952753034505,A,0
51-65,Non-Veteran,Bisexual,D,A,-165.93926087987293,C,8.220602340072409,136.3416989697448,20.03064844539161,A,0
36-50,Yes,Bisexual,A,A,18.784107768059435,A,-136.62870376165571,-68.20887793137224,60.378870565561826,E,0
65+,Veteran,Homosexual,D,D,108.42799611337584,B,-17.464986765145245,-213.00468526794782,72.10890661812599,A,1
65+,No,Heterosexual,B,A,15.783103179549377,B,-133.17990954095526,-47.60036523638457,135.23707996910665,D,0
65+,Non-Veteran,Heterosexual,D,C,4.376135982648015,D,-52.58043641274976,-38.602654985578596,97.76157945834646,B,1
51-65,No,Heterosexual,A,D,-127.72580927400668,E,-85.40994574630426,-107.06901540836142,-128.82455719105826,E,0
