age_group,SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
65+,Non-binary,C,B,A,11.310329996495954,B,B,59.46786276235898,-11.12806541731168,B,1
18-25,M,E,A,D,-9.812628395233238,C,B,-28.17972991212958,150.55879762690512,C,1
51-65,Female,B,E,A,7.902948982475268,B,A,26.239577613905894,-46.62393564556663,E,1
51-65,Female,D,A,B,-108.5937675511792,E,E,157.37075506282287,-80.98202372527369,D,1
65+,F,B,A,D,250.63702312239323,A,B,-15.09174707822587,150.1533353405059,A,1
36-50,F,E,D,E,85.3502119102745,B,D,0.2703854699271954,54.026588715480194,C,0
26-35,Male,B,B,E,63.92944170706642,B,A,131.48256006706535,-93.45405599371036,E,1
18-25,Female,A,A,D,47.83817987602217,E,C,46.87881743068111,42.52741412545467,B,0
18-25,Female,C,E,D,-26.265036450397876,C,E,65.42888825418855,33.78602006491423,D,0
18-25,F,C,C,C,-8.812767863666053,B,E,187.2534286289736,98.4789182353313,C,1
26-35,Male,C,C,A,-10.879370397801083,A,C,68.14446032234156,25.844907859466904,E,0
18-25,Female,A,B,C,183.0623558327688,D,A,-23.741586409213607,-14.914308069138624,D,0
51-65,Female,B,A,B,-49.81201489643923,B,C,-100.86909604382863,-22.628141437912312,B,0
26-35,Female,E,D,C,-49.94161127557152,B,C,51.81214833301851,-73.4560794989325,E,1
26-35,Female,B,A,E,-52.706357153578786,A,B,85.57021574800976,81.27678338349439,C,1
18-25,Non-binary,C,C,E,44.21140814409713,B,E,-47.38406387792081,-100.45723167468081,B,0
65+,Male,B,A,D,-33.74483083839415,C,C,-79.72853825164998,152.37917958572285,E,0
65+,Other,C,D,E,23.43822921057715,B,C,52.19192817360534,-155.56965580757281,A,0
18-25,Male,B,A,A,-17.983249451616526,C,B,228.301356276337,15.544754171547371,D,1
36-50,Female,B,B,D,-46.56518690789876,E,D,-55.73541910741155,-56.29074584056962,D,0
26-35,Other,E,B,D,-26.043008555348774,D,A,174.0823636121849,-117.90246007604597,C,0
65+,Male,C,D,D,0.7814665157720582,A,A,216.37515533192135,41.177185262114335,C,1
65+,M,E,C,A,-36.78711216531121,A,D,5.996814871417536,2.982037703576995,E,0
65+,Male,E,D,C,139.30626930376988,D,D,150.62606146382382,130.7378145790339,B,0
26-35,Male,C,C,B,-27.191846843473765,D,A,102.6388331572694,-58.99699240993467,E,0
36-50,M,B,A,C,59.24877310003024,E,B,-64.89126507490813,98.19265714435315,D,0
65+,Male,B,C,E,-23.050143611977457,C,E,171.32735389045,-103.53781885666382,E,1
36-50,Female,E,A,E,72.92577099385854,D,C,-160.398264127064,-40.54869485851613,A,1
18-25,F,A,E,C,-103.88354814589003,E,A,29.453138222642743,-264.60550607952825,B,1
65+,Other,B,E,C,10.706234233985862,C,E,73.81341662439318,-98.94290955168873,D,0
65+,Female,A,A,D,-94.0632999391972,A,D,198.28384503015678,49.48500491085812,C,0
26-35,F,E,A,B,-161.57996428878207,D,E,60.72029724839601,52.054327429321965,D,1
51-65,Other,E,C,D,39.705292424585274,C,D,171.0141390015121,170.31295148550268,A,0
51-65,Other,D,A,C,147.36754080049693,D,C,36.91309746254034,20.88759302047995,A,1
36-50,F,C,A,E,-33.88327570072111,A,B,-345.58584290763685,-85.90123632075479,A,1
26-35,M,E,B,D,-74.66882311099751,C,A,-67.44475331841127,-120.04316087417047,B,0
65+,Male,D,A,B,37.6147637639801,C,A,83.43606751512218,86.68459283451686,C,1
18-25,M,C,D,E,-0.9846957286773074,A,C,-21.641509680477427,-87.04031798849454,A,1
26-35,Non-binary,D,B,D,206.15806440501441,A,D,-26.989422045333868,-13.389906107812017,C,0
36-50,Female,B,A,B,-96.3312172751776,D,B,67.18996761920926,223.71111398326047,C,0
51-65,Male,D,C,E,-164.31204307896923,D,A,43.47944086760974,-48.66285168509235,E,0
36-50,F,A,E,A,274.97905115481126,C,D,-151.04257184099953,100.0542258327481,B,0
18-25,F,D,D,B,53.07181238441745,E,A,89.50358354379718,90.52321076981315,B,1
26-35,Male,E,C,B,30.948147679944636,E,A,-28.917883713848997,199.5033853346699,D,0
36-50,M,C,C,B,-76.00855014125734,D,E,-77.56552367381593,-23.049182905808347,B,0
36-50,Male,B,A,D,-19.577908373481954,C,B,-37.61913906347138,-31.019253053675232,B,1
26-35,Other,E,A,E,37.83394504070349,C,D,-98.46052187368397,33.93653897445362,E,0
51-65,Non-binary,B,D,E,-37.61865378244965,E,B,20.62899006469677,109.34116898702024,D,0
51-65,Non-binary,A,D,D,-107.0213685515368,A,E,48.482723641458335,-20.944897287016143,B,1
36-50,Male,B,C,D,-63.081546562655774,C,A,-29.06523416217211,102.08222077069968,A,1
65+,F,C,D,B,-13.526813837416746,D,B,-109.89757291802,-22.833487337949272,A,1
36-50,Other,E,D,E,83.52811824459543,D,E,61.517043330681965,-85.68183023846242,A,1
51-65,Male,D,E,D,-30.344703328767668,A,A,-123.88326382267788,-96.70498767788801,A,1
26-35,Female,A,C,A,12.731517117153517,A,A,-40.09038700047649,78.53019703393116,A,1
26-35,Other,B,D,D,-158.92021465488136,C,C,-24.682119333443218,-231.2663362455876,E,1
26-35,Female,D,D,E,151.65311769110932,E,D,144.49607937956782,-74.58518803383643,D,1
26-35,Non-binary,D,B,D,145.97036056725426,B,D,-13.453235359314391,32.25428549901393,B,0
26-35,Female,C,A,E,-53.46325822064636,E,D,-23.027654921541593,159.3687902431149,D,0
51-65,M,B,D,D,-87.16646572326509,E,D,7.448479492331344,85.03533492220183,D,1
51-65,F,B,D,C,-33.469015941013915,E,E,-63.068280234466854,113.41778780456757,B,0
36-50,Non-binary,D,E,C,-13.503438474895034,E,C,-186.74890330905063,-56.34106476619644,C,1
36-50,Male,B,E,B,-41.069418539201976,E,C,-22.093829054599702,-155.9043416538425,D,0
51-65,Other,C,B,D,-23.851452025345385,A,E,49.962254146853184,3.230345857951537,A,0
26-35,F,C,A,D,-45.28403848406033,E,B,224.54519272841736,16.73402165115953,E,0
18-25,F,E,D,C,33.90079854940274,E,A,-77.66155795361978,-3.7312419971625053,C,1
65+,M,B,E,E,25.073953135552923,A,D,-16.95436447317228,81.20171091379271,C,0
36-50,Female,B,E,B,-188.25727757525556,E,B,-7.798296174035542,-128.69043987823025,B,0
36-50,M,C,A,C,148.40941724619475,A,D,59.832714329996776,-55.33449778781496,B,1
51-65,F,B,A,B,-52.66782211941967,B,C,118.51212304066394,12.743268314030484,E,1
18-25,Non-binary,D,A,D,132.26243071359437,C,E,-47.677493743719,28.41593826098355,D,1
26-35,Female,D,C,B,-147.08901727196982,E,D,116.67813520146552,76.68551373366844,B,0
51-65,Female,C,B,A,0.7052250250618217,C,E,220.52046479328888,-156.99477540017074,B,0
65+,Female,A,E,E,-27.118235853373022,A,E,-72.99458563375363,2.3199520430387093,C,1
36-50,Other,E,A,C,24.662772936387427,E,E,74.41540806949104,-58.23892081590344,A,0
26-35,Female,C,C,B,-24.886008393803706,E,D,-78.9345490766877,-92.59454159330912,A,0
51-65,Non-binary,E,B,B,-5.064279843191284,B,A,-55.52170186166537,-137.17566933016516,C,0
65+,Other,B,B,D,-103.8451676082377,E,B,-34.07334323921018,148.53911327321464,D,0
65+,Male,A,B,A,-122.33726233554458,D,A,31.9207636412639,133.5818962420851,C,0
65+,Other,A,E,E,106.19915593991047,A,B,6.341636590085985,-153.55342380746438,B,1
36-50,F,A,C,B,45.5477469185561,E,D,135.07417001093168,31.6894776891623,C,1
26-35,Non-binary,E,A,B,-174.69558013056462,D,D,95.19549948572974,-18.27923619016881,A,0
65+,Other,B,E,A,62.7543624652039,A,B,86.23471404333067,-285.6336678412933,B,0
36-50,Other,A,E,B,-194.59567103089842,E,E,74.25031580939587,-149.02517066046323,E,0
51-65,Male,D,C,D,-13.271239654235925,E,E,-11.502961883750414,143.97149392050022,B,0
65+,Female,C,D,A,-21.62356710376416,C,E,82.94393028690578,-36.61035872127424,C,1
26-35,Male,C,A,A,136.60528550702355,B,C,251.04422854814916,-153.30591095267803,D,0
18-25,Male,E,C,B,-64.99205935839538,B,B,37.36300666732827,-91.1456780593126,A,1
51-65,Female,D,D,B,80.10929694535253,D,D,71.47124022263796,-98.81895689840519,E,0
51-65,Other,D,B,D,42.601552716188436,A,A,-191.01029525821252,-80.99376104651923,E,0
51-65,Non-binary,D,D,E,100.47426091276539,A,C,-82.2360484334676,88.494904262704,B,0
51-65,F,B,D,A,180.8752899956574,A,D,114.66024953183201,-10.492196279004874,E,1
36-50,Male,C,A,B,-110.25122901793158,A,B,92.96279247193088,-30.317353848070955,D,0
18-25,Female,C,E,C,14.087341960476142,A,C,-72.06015918060712,50.92932182621064,C,1
18-25,M,E,B,E,8.720445449206478,D,B,-181.01492060091462,-24.395061752561606,D,0
26-35,M,E,B,B,26.822671308974357,C,C,-180.96768030291875,25.184601135877156,E,0
18-25,Other,E,A,C,262.79271344582656,A,E,35.20310446703828,-85.07570861125214,C,1
36-50,Non-binary,C,A,D,9.701191806209659,A,C,-7.417405275659653,154.64704734878416,D,0
18-25,Male,C,E,B,-151.8295154235188,A,B,-15.26714396750006,-156.61659422035913,D,0
18-25,Male,B,B,C,-12.234970369254123,C,C,118.90837844938858,-63.872358418099836,C,1
51-65,Female,A,A,A,-200.03760151963235,C,B,-20.306265004089717,68.05547820789444,A,1
65+,Male,E,A,D,-97.43108902533156,C,E,33.707030819631676,175.75688018259993,A,0
51-65,F,C,E,C,109.78221842906291,D,E,70.4333560487006,31.85072910188519,E,0
26-35,Non-binary,B,B,C,-88.30861038467299,A,E,-64.95874090979007,44.11276414647224,B,0
26-35,M,E,A,D,-25.909722748940784,C,E,102.1024947990391,138.9261343972895,C,1
26-35,Other,B,D,D,-144.82590629276052,B,A,-112.09129776419644,63.90340804084662,E,0
65+,F,B,B,E,-137.41635062431604,B,A,31.47680325476103,147.7815845900867,E,0
26-35,Non-binary,A,C,E,62.670384295301695,A,C,-44.09750096919538,-145.50111480102711,D,1
51-65,Other,B,D,E,39.41754567467944,A,D,26.069739230073775,111.08993715017965,D,1
26-35,Other,A,C,A,-94.98591531019655,B,A,17.2324224442921,7.756049400457387,B,1
65+,Female,D,C,D,-124.71488578470513,D,C,67.1081250418094,35.95199887177307,A,0
18-25,Female,D,A,B,43.370778962439296,C,E,66.916435906529,-37.04095560454274,D,1
65+,Other,C,C,A,-23.92618928096619,E,C,211.99101551579122,90.91357231268951,A,0
65+,Other,B,B,B,-80.30891607251638,D,B,84.9281584128693,-40.16199382408539,E,0
51-65,F,B,D,C,22.088039691977716,C,B,243.0210615331657,216.12401533671445,D,0
36-50,Female,C,D,C,-48.253724903755305,E,E,-205.4491992172311,7.236938246911848,E,0
65+,M,D,D,A,95.21336093537678,E,D,88.33392186837766,-38.30190892084113,A,1
26-35,Other,E,A,D,26.736646446818064,D,C,15.209246609243676,-62.229241006689804,C,1
26-35,Other,C,A,E,115.30426202009052,E,B,-36.5153258738393,284.6347153139829,D,1
18-25,Non-binary,E,A,A,202.42115652514724,C,B,256.4951558777462,-79.80410550494518,E,0
65+,M,C,E,A,84.09853703651406,B,E,-65.45868714129097,169.26125518533084,A,1
36-50,Other,E,E,A,55.998732683752394,C,C,162.2146495566941,56.218311575320826,B,0
65+,Male,D,D,C,-126.67721991468115,B,C,-148.4079699574907,-45.75594088665266,B,1
26-35,Non-binary,B,C,B,123.54086131065709,A,B,-81.64881837344763,-228.03435662985362,B,0
26-35,Male,E,B,E,112.55207850928161,D,D,4.336786026866354,200.96994003242418,D,1
18-25,M,C,C,E,-132.7047656911087,B,A,-50.09815592548592,213.06818978313515,E,1
36-50,Other,E,A,E,-29.654095041555074,C,B,-33.42106474703554,-117.94343384291935,E,1
18-25,Male,C,B,C,149.88294945363984,D,E,-74.09628019528643,-70.0654406378562,C,0
36-50,Female,A,C,D,66.11485728089865,C,B,-106.47514320732468,-31.20421943927238,B,0
65+,Male,B,A,E,104.26158121345695,C,E,-61.36370758135232,117.77735553877558,C,0
51-65,Male,C,D,B,-50.41924794546168,D,B,-10.133624308606635,-55.55043488641164,E,1
36-50,Non-binary,B,E,E,-94.78053328860389,C,E,82.94467888474449,-130.21681861605373,C,1
51-65,Other,A,D,A,21.981836393679348,D,C,-43.96481730558315,-85.38468202840241,E,0
65+,Other,E,B,C,138.593174314267,C,E,-136.03763846855597,22.820912929066335,A,0
65+,F,A,A,B,8.21842899231926,A,E,36.24772501634156,235.54739817480205,A,0
18-25,Female,D,B,E,-104.39051351633029,B,C,-225.9164594896351,-138.0241935267987,A,1
65+,Male,C,D,C,-24.635406384294566,C,E,100.5994576370319,-40.11963856711641,B,0
26-35,Female,E,A,E,-25.69070019621139,D,E,112.23647559248361,37.33579938530088,C,1
51-65,Male,A,B,A,1.059585420031555,B,C,-130.7117402289181,-119.17698079653103,B,0
36-50,Female,C,A,E,228.64255458125356,B,C,62.36695596812367,-61.69619646602052,E,0
26-35,F,E,C,A,-74.30498225376078,E,A,-15.309083499583611,6.045076657699124,C,0
18-25,Female,B,A,E,-53.22945364471189,C,A,-116.56678620600096,-185.12862386849585,D,1
65+,M,B,B,A,93.28477264209504,B,B,-78.5702674536719,76.88256352592052,C,1
18-25,Non-binary,D,B,E,24.744026927639027,D,E,128.94932489166536,8.781891054806922,E,1
36-50,M,E,C,C,-71.42050988126924,D,B,37.9242461884735,-34.63187348431204,C,1
26-35,M,E,D,C,45.117157877451966,D,A,-196.3065200343489,-90.34522361012162,C,0
26-35,Non-binary,C,B,D,21.448329666378335,E,B,-10.26566087981449,-55.693712755567816,B,1
51-65,F,C,A,B,4.84988996795005,C,B,-71.89251838006801,51.368795964741224,D,1
65+,Other,C,E,C,168.0243020942652,E,D,-18.37258041345268,162.67941311034596,D,0
51-65,Other,D,E,B,-49.09881522823869,A,D,-105.64683256805787,-7.963457251006514,D,1
51-65,F,C,E,E,40.61352868207564,C,A,-67.52940924728385,-94.29172345640583,C,0
36-50,Other,B,C,A,-284.53400739055013,A,D,12.969653226731031,65.23072349472481,C,0
26-35,M,E,A,B,-55.40924592631043,E,C,-147.83090078241358,69.37242516979622,E,0
26-35,Female,C,C,C,-22.75341820585833,D,D,71.53988487003812,-47.2090772897653,E,0
65+,Male,D,E,A,170.98691438035138,A,C,58.07438269888944,-29.31255786475519,C,0
65+,F,A,A,B,-129.70821922197794,D,C,-119.21964481391814,-140.38808873401925,D,1
18-25,F,B,C,A,-25.417629639661754,B,D,32.475807306340215,226.8136021073413,A,0
26-35,F,D,A,A,-113.79240522969147,C,C,-93.85481024514425,-32.808390732915996,E,0
26-35,Non-binary,D,A,B,59.188338089963125,A,C,-48.911628732287014,23.97005583203533,B,1
36-50,Male,A,A,D,-53.1579749864431,D,A,-11.695362625809318,28.72063891500482,A,1
51-65,Female,E,A,B,-128.60260423985886,E,E,118.99715257402994,4.381860039266206,B,1
51-65,F,D,E,B,142.1786959193729,D,E,33.89067039990631,49.96034064999025,E,1
18-25,F,A,D,E,-51.41769490702831,E,A,-17.38330327903762,93.46314879376746,C,0
18-25,M,B,E,E,182.72132595221652,C,A,-115.64295361643171,-48.45194981457272,C,1
18-25,F,E,D,B,-180.26612105165432,B,A,-113.12225551872461,30.502647009523244,E,0
51-65,Female,A,D,C,157.87585842498248,E,D,-11.0295643712955,210.77877638438326,E,1
18-25,Other,B,C,B,49.63468228787107,B,C,119.85313337204893,40.503775033130815,E,0
26-35,Other,E,D,E,-10.544563309100102,D,B,-106.59041371193989,-41.13540412853885,D,1
26-35,Non-binary,B,B,D,-103.89337984403322,A,D,-123.13783925902351,-67.50298077847152,E,0
51-65,M,A,D,B,136.88828238262673,D,D,-136.8310266247169,-29.892549043948275,B,1
65+,Female,E,A,A,115.2419363617885,B,E,26.524652305327876,59.618153004389285,A,0
26-35,Male,A,B,C,-88.99478401793837,A,B,35.77072367880167,-225.28230065196283,C,1
65+,Non-binary,A,B,C,-58.42320626668016,B,D,34.67333413936056,11.527936772659425,B,0
65+,Female,D,D,D,14.800841159287762,C,B,124.57245529138557,-149.75467538829156,C,1
65+,Other,E,B,A,-6.216334262518066,C,E,102.36008551098483,89.15225914968524,B,1
26-35,F,C,A,B,127.85523769510618,E,E,-159.1322153908732,-86.08004447914463,B,0
18-25,Other,A,B,D,-140.52008877438823,D,A,17.526238368151432,-8.855697851484674,A,0
36-50,Female,E,A,D,197.21884526332764,B,A,-92.3750990015509,97.5327826516687,E,1
36-50,Other,A,E,A,-46.33832666013397,E,C,-111.18345897272239,-170.7409727032096,C,1
51-65,Non-binary,A,A,B,3.829857559744569,E,A,-19.971059846328675,-47.90636590053377,C,1
26-35,Female,A,B,E,82.79726957263046,B,E,81.9099809602911,-144.78195184863583,D,0
18-25,F,E,C,C,67.44866607047433,A,D,-83.94297061321656,144.01987682730282,C,0
26-35,Non-binary,E,C,C,90.27193281788698,E,D,-25.01284527391265,-11.15002585517158,B,1
18-25,Other,E,B,D,-192.77897087865222,E,C,-55.08462878525562,89.51868436200728,E,1
18-25,M,C,E,C,68.4889667387165,E,D,177.07963832612725,-207.37918375888535,B,1
18-25,Non-binary,E,C,D,43.785104736715844,B,A,-77.73408659528017,34.17664278222973,D,0
36-50,Other,D,B,B,-136.35186913129647,B,A,-56.96040179608983,-28.48125071719105,E,1
65+,F,C,C,D,20.43335899445537,C,D,11.574527198756982,-39.32271129183936,D,0
51-65,Non-binary,E,D,B,41.368139581701115,D,C,-53.47520545442922,-42.58863592849736,C,0
36-50,Female,A,B,E,-98.03863880018383,B,E,-24.09215015198632,245.65347368430105,C,1
36-50,Other,B,D,C,14.360650166551125,B,C,-167.95150435227538,-142.2664090623866,A,1
36-50,M,C,B,B,102.73159173292518,D,D,-89.90080255337621,47.99140724524075,B,1
26-35,M,E,D,C,153.4902213674658,C,E,201.68402104855016,5.583369396156389,D,1
36-50,M,C,D,A,-87.12919631475602,A,B,95.36131042096926,203.68151606123666,D,0
51-65,Other,D,E,E,62.5639610601049,C,B,193.24718661126852,-234.53742546859223,A,0
51-65,F,A,E,C,6.528867744072713,A,C,156.13015431930575,-179.69567271951013,A,1
51-65,M,C,E,E,-54.07465321871629,A,C,-34.65799051464993,-1.6086342454598705,E,0
36-50,Male,B,C,A,-34.85820977908707,E,B,-83.40399851524336,-101.72621416501411,A,0
51-65,M,B,E,E,96.89405935441481,D,D,21.961915956733584,-13.920968304299933,D,1
18-25,M,E,E,C,-182.4587490319664,D,C,29.579575493376403,-140.8969446778049,D,0
36-50,F,E,B,A,-84.14938115623515,D,B,-134.63044529675716,64.49171843074281,A,0
36-50,Non-binary,C,A,A,50.21073556436691,E,A,-180.7161483686168,103.05232730108904,C,0
18-25,Female,C,C,C,-28.981486981856097,E,E,7.975177390274,71.28202815252664,B,0
36-50,F,E,E,C,212.77177501675615,C,D,-54.81111800697229,-72.55247431808056,E,0
65+,M,A,C,B,57.050481842964,A,C,-4.600899568876664,43.11225614672386,D,1
65+,F,B,D,E,159.65318428679717,E,C,-11.15830791045695,-63.3978700914111,B,0
18-25,Male,D,E,B,13.408417122978877,A,D,-96.43589718211008,118.6648819031758,C,1
18-25,Male,E,A,D,-127.17783631704896,D,B,133.94396725540352,-87.15573682751653,B,1
36-50,Female,C,C,B,102.81547262431295,B,C,-88.80784275116102,-106.93753157856789,D,0
26-35,Other,C,E,E,28.878287086611504,C,C,-11.625423447997996,10.713166909430727,E,1
65+,F,C,E,C,102.79032968189625,D,C,-118.0851866587528,-14.4478569034388,D,1
51-65,Other,E,C,C,-4.259870000564704,A,D,1.4023914949528904,25.22115436147972,C,1
26-35,Male,B,B,B,9.160406228416997,B,C,-40.95703650911609,65.93801448126214,D,0
65+,Other,D,D,E,74.13001779759779,D,E,-149.53117943908043,14.8024333387421,E,1
36-50,M,E,D,B,-198.96034980637376,A,B,142.8245640203442,79.69570072916177,A,1
18-25,Female,C,C,E,-38.76493931125383,B,A,258.78317381536095,9.958982192003234,D,0
26-35,Other,C,C,B,-66.66687171030183,E,C,16.795413256737792,154.02537077195052,D,0
51-65,Non-binary,B,B,E,70.1890754059231,C,C,37.59669205450194,-14.666841789187746,B,0
26-35,Female,A,C,A,85.28101349114236,C,A,-91.21605291275195,88.91295980113769,D,1
51-65,F,D,E,A,-125.94927501624373,A,A,-15.904579636345545,-231.68178147016212,E,1
51-65,Female,A,D,E,28.5964114883027,E,A,-17.07546897995325,-138.0419993300017,C,0
26-35,Non-binary,C,C,A,24.3759277917069,B,C,58.061803696142015,195.35883322123775,B,0
18-25,F,E,D,B,-110.36331836412504,D,B,-106.16228733167348,-179.08048859900092,A,1
18-25,Non-binary,B,C,B,31.687948723591074,D,C,33.7727820843749,68.61981715356532,A,0
18-25,Male,C,B,E,-94.90959946128473,D,B,123.82964105682899,-25.50096918677723,B,0
26-35,F,D,D,C,-53.86222353757661,C,E,-2.2999883429928456,52.55438248236264,E,1
51-65,Female,E,A,A,-4.3301890242210614,B,B,172.78832928135796,-5.975229587903926,E,1
26-35,M,D,E,C,135.90524732916634,B,B,109.32391836938953,128.2826451807727,A,1
26-35,M,A,B,A,-9.954322671314637,D,E,-227.99770308446213,-44.523600078340365,D,0
65+,M,D,B,A,-169.26532807150045,D,C,-39.52185342653959,-17.43323983699019,B,0
26-35,M,A,E,B,-98.14374888790695,C,D,34.40313478655408,-50.78218212536266,C,0
65+,Female,E,D,C,67.45062600200906,A,B,154.1757428688506,37.05544803686588,D,1
18-25,Non-binary,C,B,D,112.14630258908265,D,B,-27.676130044978574,-65.343584928645,B,0
36-50,M,C,C,E,-38.86776723576483,B,E,25.711471133473353,-247.77207068637205,E,1
26-35,Non-binary,D,C,C,124.79883955158189,B,D,153.4238071864302,-62.073651848430636,E,0
65+,M,D,B,C,-55.546973534465636,D,C,-53.92573553883422,13.335499753850227,B,1
51-65,M,E,B,B,-7.869277029852707,A,E,112.98232163203087,-128.9012466668684,D,1
18-25,F,A,E,A,60.353572093630056,A,C,-121.44043697365399,-173.44321537182316,E,1
65+,Male,A,D,C,181.22339606371352,A,A,96.71037718834677,33.03167030653418,A,1
65+,Female,D,D,C,-45.80464184291333,C,C,-86.45477939586206,-87.47332137373334,B,1
51-65,Non-binary,B,D,D,-11.114713819892154,C,E,58.07194834742806,46.26643442615892,C,1
36-50,M,E,A,C,85.23538405375193,C,C,-28.391058867198275,1.6612123093374427,E,0
65+,M,E,C,B,-145.21833316867222,A,A,41.03934190410177,-28.78079050527587,B,1
51-65,Other,C,B,C,-117.70277669105191,E,B,71.01504850715831,95.60818073919735,C,1
18-25,Other,A,B,E,8.284264234844956,D,D,-32.62901197777781,88.26749731311797,A,1
18-25,F,B,D,E,-4.225470524027278,A,B,-211.49925456251023,160.4323593828959,A,1
65+,Female,A,D,D,-53.12345796833061,B,E,20.051853784116396,-41.57565045283775,C,1
65+,Non-binary,E,E,D,121.56867514331009,E,C,182.72028591013586,-165.71874876613546,A,1
18-25,M,D,A,C,11.842481316714862,C,B,-22.49109452695873,-63.2670162528267,C,0
36-50,Non-binary,B,C,B,-64.50039097093165,C,A,-53.923054018675046,75.66725511400676,D,0
65+,Male,B,B,C,-158.5060981227668,A,B,-0.898409007995167,172.11908001222932,D,1
26-35,Other,E,B,D,277.95400813057097,E,C,-23.081914515889085,51.523638309850874,D,1
18-25,Non-binary,B,C,D,-28.547590504048653,A,C,102.83917124283188,-68.08092720037543,D,0
18-25,F,D,C,B,106.71703694986465,A,A,68.82088676219014,69.42470242666991,E,0
51-65,Male,A,B,C,135.08954671977034,A,C,166.92959076680526,-164.16865032154732,E,0
36-50,Other,D,B,C,-164.2845276835892,C,E,-27.29747980722396,171.8496059864832,C,1
18-25,Male,D,E,B,-57.90818839057881,C,E,69.92413423204252,-136.80988738081092,A,1
18-25,M,B,A,E,126.38934272091598,C,C,-116.78640518642396,-70.95000068474162,E,1
18-25,Male,D,A,E,28.873890931226132,B,A,25.313414723822696,111.44173530805057,A,0
26-35,Other,C,A,B,84.63439313870225,A,D,-91.53164906192175,114.89956825291883,C,1
26-35,Female,A,D,E,-57.49212103736202,E,B,-187.77698911742488,-71.45457478677316,A,1
26-35,Male,A,A,C,-53.9877323514282,C,A,95.13142853028597,-68.79647653382823,D,0
18-25,M,C,B,D,-52.458249355637655,B,E,59.77733387787135,-74.39852586359169,D,0
36-50,Non-binary,E,E,C,52.22792845366122,E,D,125.36737092029404,102.43811126290285,D,1
36-50,Non-binary,E,C,A,-177.0930557498376,C,D,-134.02265532919984,-76.84774578295432,B,0
65+,Other,A,C,D,11.449254265041073,E,B,28.853489537958698,-89.32516213192298,D,1
26-35,M,E,D,C,22.71175376692047,B,D,63.85474808739849,21.56275434532168,B,0
36-50,Female,E,A,E,-104.63379584102759,D,E,79.99969233675648,60.851855124062226,C,1
65+,Female,E,A,A,-66.31179772860688,B,E,-76.680225856076,70.21835330133548,E,1
18-25,Non-binary,D,D,D,-97.11702787042915,E,D,-71.61151468496317,169.10349354752643,A,1
