SEX,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Female,Heterosexual,33.95448118874656,-32.82591709552719,B,B,C,10.087326448548852,200.2106289159284,A,35.66383127798848,-74.38176321069312,71.18782622659933,-41.66586663272136,-155.22724366638744,C,A,B,-147.44382881080645,E,0
M,Homosexual,18.78673032847872,-31.75147941601521,E,A,D,1.9383988771966416,-41.975318766075105,E,88.60644419462656,-11.897466495703855,-35.111146118558295,88.98740638092937,-201.5867528690086,D,C,D,93.99477424116378,B,1
Female,Homosexual,-22.69696261701042,111.5791599622605,B,E,E,-95.78607904532502,-76.04234527548954,E,-156.7049806489966,-57.19378217438356,-42.55928968387798,95.06904660185536,-23.02546624749579,A,A,A,113.23016653631717,E,1
Female,Heterosexual,-94.38035213132208,-44.90133544336764,C,B,D,112.37763991520086,-139.40597321383575,D,109.41818105532425,-87.0079027339379,-16.526988237173377,-95.64061552416386,81.13649382523266,B,C,D,163.7360618684504,D,1
Non-binary,Homosexual,62.64896516109497,64.45936930029384,B,D,D,-30.220900394291228,-113.3230782752076,A,75.98762781047697,51.165548371254,3.9632027746753793,1.7914186420366085,-15.497256577411154,D,E,B,-21.56536095200748,C,1
M,Heterosexual,-141.66737975941933,51.45595461549517,C,E,E,127.97739850235483,73.87809976450211,A,-116.55468840901666,-108.61582902886428,40.07600808799327,-204.16688616204596,-92.11690961194088,E,C,B,-131.54829452871982,C,0
M,Other,86.22274393806295,16.580437285828605,D,B,A,21.28510221824042,-85.83912991479986,D,-11.756044463020801,-78.08356449686164,-9.389718545618468,89.88549569956601,28.884800922750003,D,E,E,52.71373426574163,C,1
M,Other,87.77695096080139,-137.41844047396978,C,C,D,46.194539964030376,217.51404903155182,E,-131.03657490017147,-62.86172124521031,-53.68965689040572,-127.85027188963637,-31.318990952165066,C,E,A,-17.989681946252198,D,1
Other,Other,-17.92759461027954,-330.94829822250506,A,B,A,262.84364709437614,-66.46857077860163,C,-95.33384106112676,-18.154023366806165,-79.44346293616135,179.0209306799641,174.74151829674923,D,A,A,-30.32116391985352,B,0
F,Other,-195.3051492786487,74.29175882130804,A,A,D,-302.1525353283446,-4.401393918887918,A,57.50791420294913,14.919586388708286,3.525346033622298,203.93420859778567,-24.831652237280135,E,E,C,51.50483186036831,E,0
F,Bisexual,99.38597689286514,110.15532771445633,A,D,E,-159.99886073469492,107.15136269234947,B,12.15861549500223,21.271101524246713,193.97157740810013,-161.76238262939137,-7.5799860856307,D,A,B,-166.07143368051297,D,0
Male,Homosexual,52.55556481366705,74.3939300830244,E,D,B,-14.483050931416763,-54.151209804066866,C,4.5220791868480035,-109.96832733664803,-5.456478850361249,103.53506271177947,88.95551033321544,D,D,B,-135.49193305712873,B,0
F,Heterosexual,1.623567225389284,-9.360689271897552,B,C,C,-20.79941337600511,97.66072884563421,B,-181.5701854781928,5.802569477603977,-124.48234354014893,78.11599964987043,172.71380716466172,E,C,D,91.81364270118404,A,0
Male,Other,91.88250982025178,-68.51337533658605,B,B,D,64.16683867530935,-43.123757945154665,A,-8.020736960241745,63.05926346551782,2.5067786990293044,-13.43977312029313,58.93999661580575,A,C,A,8.345330777710288,E,0
Non-binary,Heterosexual,67.02900777625118,-265.2787201447523,E,B,D,-57.27865990535158,158.66293611674226,A,-76.61892157485234,-95.86457436949487,-136.96739144483854,-101.9266657060862,49.969640115452535,C,B,D,-191.3412646568274,D,0
Female,Other,40.46828544352613,-67.26226716184243,B,A,E,81.17553132238024,-95.2183747916457,C,-130.3146755454428,22.337095377524328,-256.5126547119629,85.15143141657296,-36.43157949196081,A,D,C,3.2638641310450667,B,1
Female,Heterosexual,102.67583108729723,98.54462570430998,A,A,C,-166.56181004518479,87.55123343449507,D,-3.340123210584943,49.77119537990162,37.911667453234664,-11.610314741974076,-46.70360304444729,B,C,C,86.53047676160787,D,0
F,Homosexual,-111.24713511109543,-36.03213480777621,E,B,E,45.448673823395715,-73.49174981154148,B,-4.331613133456934,103.55780732103239,-28.28183885808908,87.39557498883897,-66.08479897180327,D,D,B,-18.511933427773165,A,1
F,Homosexual,105.15712147073309,-70.11177858610162,C,D,E,-132.2174686388382,66.36059879678461,B,-48.201683761041046,-1.8636441152027587,-21.498400486197447,-126.0747738068372,-37.37720011318102,C,C,E,-90.37683450939106,E,1
F,Bisexual,30.0554127623839,-89.2235510891613,A,C,D,139.6110219485444,20.646890532998817,B,39.92507431437311,59.008520552574225,130.24178797795852,-35.43445216151764,-106.29604801738137,C,A,E,-59.39092760344845,A,1
F,Bisexual,161.86103563038097,26.87477520063676,B,D,C,-69.51078841332048,110.24449595783024,B,-20.59496383442829,89.57047164410855,-24.011460889078553,-89.89807842352562,84.14980291641837,C,C,C,-250.40427645049968,D,0
Female,Other,-2.9390076843496993,53.61191220696644,E,B,B,105.36980736388499,-28.100827466176163,D,-203.86624098146112,4.95040449817114,13.828156833667645,107.86285606269259,207.1455700529202,E,C,B,14.902647927553886,B,0
Female,Heterosexual,27.502300502982923,104.29943597283555,E,A,D,-124.57761895352783,-41.03951641616093,E,-9.280376945824063,67.4505136136445,-90.4506199094749,-45.91909564154354,31.41377618985751,D,D,D,-140.56947943709818,A,0
Male,Heterosexual,-78.95430227563448,38.72202596572373,B,E,A,-99.65897880424386,11.322598274615183,C,-68.26549664554706,-23.687712131411743,75.1451029942592,-227.96546537981453,82.35200907523091,D,C,A,-22.028650249871074,D,0
Female,Other,-121.72292456816956,-155.95079436721576,C,E,E,86.63802439766138,-32.783113514977735,E,-34.724372354067015,-98.13747149321995,-25.761438025769976,194.0266914790466,-140.87456710821704,C,E,B,-8.36868443899273,D,1
Non-binary,Bisexual,-121.46208685040274,52.52396334113637,B,D,E,92.39627239968829,-16.20287403650908,B,153.93243426884948,-75.78821981711347,-195.43448535952035,104.91570855873815,22.40363603381455,E,A,A,21.833509139883834,A,0
Other,Heterosexual,0.4421798192596852,-13.45261916415115,C,B,C,93.15328592815317,53.279057203233684,C,10.791539208276403,-35.85119626114758,160.13607306869065,34.87267206328903,14.613611643841923,D,A,D,-211.71290211212815,D,0
Other,Heterosexual,48.203063238939336,47.39253547147332,D,D,A,-55.56949463837998,-6.9944561592415395,C,62.320600039363185,-47.99060185707576,-284.7682482366117,-4.67366178593933,-96.69888288209344,D,E,E,193.5461251146438,D,0
F,Bisexual,138.92040849674942,64.56311958303615,C,E,A,-22.392595401747066,144.06895410341465,B,-88.17295481294389,-260.3436379033677,-90.11182732050365,-28.864424555668478,81.59770971590208,E,A,C,48.68224785320353,C,0
F,Homosexual,-239.39510117928373,47.664680463810996,B,B,D,64.63181817303422,73.40006990352069,B,51.20714889570689,16.05122624373502,27.69812421083871,10.167079164609598,147.4231073039765,B,B,D,23.33163305984356,E,0
F,Heterosexual,2.748389080894717,-42.4589109551728,A,E,D,-85.29920104614558,-48.33023304477039,A,-197.07017796854055,25.050913673256392,-65.26133907253394,-42.525397842698744,110.30163123547352,A,C,C,-45.779130761815935,A,0
Female,Bisexual,-113.80741764887891,-158.81221370889153,D,A,E,40.850546442471384,59.79888103685973,B,5.84100033553546,157.0389571570624,43.36356148342154,-176.96838604980033,-45.915707284841424,A,C,E,160.11572017647018,A,0
M,Homosexual,61.96695286671289,-29.610643473863764,A,E,B,-87.18682117203907,-42.95194602145549,A,-150.95995382413219,-90.59860636260024,-1.792322883282918,-83.54874694126462,91.34720697367533,D,C,D,-62.14069559986418,B,1
Other,Homosexual,-2.240255368281005,163.3979931901545,C,E,A,-29.81781165748645,28.646821403474686,A,73.63184744134108,-61.88893934877915,-134.4416634322496,-50.278949805158526,65.84716355962487,A,D,A,-73.46688657084626,B,0
Other,Homosexual,44.634547814231084,-112.96056973400019,A,E,A,90.01715033449177,134.492597518905,A,154.0361006715293,-42.296318052810804,-24.569054384782373,-26.326594087384986,-36.74981916932235,D,B,E,86.15563281690967,A,0
M,Homosexual,-92.32499203991921,63.814280841291485,E,A,C,39.63194006078075,155.3298675017786,C,-213.5820275082553,38.466079508056374,116.16630960627477,104.64867787724519,-0.30599500776492156,B,D,E,156.5161364177346,E,0
F,Homosexual,203.7570613893174,74.2266036811542,B,C,A,161.77831333571098,-55.54207953055618,C,-156.72850162407534,-71.16788617407721,-144.573382919041,9.866746442191843,211.2545670218423,C,C,E,35.49704351970951,E,1
M,Heterosexual,203.3736016798233,-180.54146696521636,C,E,B,104.91573369812043,-87.69969032592638,A,95.11952430680267,146.8418331355427,21.418568303998743,43.061183064303876,101.92277199811399,A,C,E,-175.65846476389848,A,0
Female,Bisexual,-15.4222963505622,-99.21245051937527,E,D,D,107.8881279295289,48.05341474245955,D,2.0770401375308887,-29.32016600851205,58.91144398564955,69.92277735467998,102.8419285451014,A,A,E,-92.86908820730058,C,0
M,Bisexual,28.535319526586093,-9.633145928507227,A,C,D,99.17162280493774,-80.68070661630027,A,-56.66352760362937,32.65090773864063,81.62455991375789,-94.03015641276414,25.74696013339181,E,A,D,274.95678589934215,A,1
Male,Other,49.47417706685148,-110.5087321912225,D,A,B,-15.653971349372469,32.77197224677727,B,29.71435457857215,80.38502590276718,99.5710914364239,27.316956647712953,-207.47372952549406,D,A,D,75.32600732548363,A,1
Other,Heterosexual,-27.252945147775826,-32.09005218052572,E,D,A,80.75822542483492,-6.754546573983516,A,178.6080190857937,-18.807936942429464,392.0803186941556,-26.481437973701567,-22.73432140294344,C,C,B,51.636601344377084,C,1
M,Other,104.6897001074338,-30.242197019652327,B,D,D,-35.94397777116016,-1.5006134345494628,A,57.02916645105095,17.467233275481114,-143.24288203939886,-72.51220130451999,119.66257711216774,C,B,E,94.6480666730705,B,1
Female,Homosexual,31.294659669295584,113.09108720718652,B,A,C,-133.8754696455273,-126.11101107280795,A,68.43321142773895,33.94747668838059,64.17735515614649,11.607022789051255,110.14156186090725,B,E,E,13.307288325761938,D,0
Female,Other,115.39891084351765,-121.8885788332374,D,E,C,42.41233267587204,-19.6620718757772,E,-116.33271115338941,-148.681636300469,55.15011365219268,152.9476191801298,-182.735002982225,A,B,C,76.7226623188295,C,1
M,Heterosexual,-137.15752397557708,-27.811272116562268,D,B,C,-127.19087981751215,-185.57594340338198,A,16.044219778458316,34.76153142557142,-51.295152469379545,-97.11001426443988,87.08808662768001,D,E,A,-4.244119464480031,D,0
Male,Bisexual,150.8150725721402,-33.25604481748302,B,D,E,-193.62605540265102,-10.916176206988368,E,55.428882820967,21.991209892893814,-56.23561773781318,-44.549648440398336,-56.24237003644359,B,D,A,-28.888769024214696,C,1
Male,Homosexual,96.91191938029378,-29.54225195693219,C,B,A,8.635308724892973,146.739928256668,A,2.0070708067628695,-16.084535136290974,-41.05529022267413,43.16272579348312,-154.64101215903037,A,E,A,-25.925754330982603,E,0
Male,Other,126.65948263868061,204.96309462312854,D,A,C,198.35436318332492,-118.39485509797578,D,172.8688568526463,7.648052676073958,55.957441948527794,80.43704528158139,-286.64088405058607,A,E,E,104.96917947895194,E,1
Male,Bisexual,-12.947131843870189,-60.608047352210384,D,C,B,-86.62516893511469,-71.28493648323129,E,0.7912659968037018,-64.8839762618253,-103.92750200958416,-68.65565808705682,171.3947874159195,C,D,C,-140.76702076201312,B,1
Non-binary,Heterosexual,94.74946835116263,-24.909539266301255,A,E,B,18.256739897807257,-102.14818634234315,A,60.21297750244313,-0.6291785442491589,-87.91528176400864,123.5751617148232,-47.16240790507267,B,E,E,103.963769382059,A,1
F,Bisexual,2.1034136702664465,26.37507023721778,E,B,C,179.69323981780704,-35.88602831520893,B,-41.81230919917225,43.79850812432554,150.11647892250636,17.507888943029872,105.2646629690145,D,E,B,152.9239199494983,E,0
Non-binary,Other,-28.248906079010133,-58.381707649944836,E,B,E,-2.345005829527343,34.278005020096714,E,14.358315303807807,169.7154687463077,81.46695827749345,-28.178878093382124,25.803696433365538,E,A,D,94.56389684287579,C,0
Male,Bisexual,61.007076518531974,61.17848635586043,E,C,A,-29.19823630228841,40.534356641486845,E,-33.25452276576939,48.15166320784464,-76.52001715735587,144.5279281699507,109.03683160113367,E,E,D,-31.854834256432525,D,0
M,Other,-45.88980917397516,-227.98148133014217,A,E,E,84.81957347358892,-175.45612381728398,E,-1.6889060749502,-118.67294356644665,205.08878328244285,104.54539032877778,-225.56802826339504,A,B,C,90.36917110213071,C,1
Other,Bisexual,-98.78368069687497,44.169184432988665,A,C,A,-100.99669144637058,-82.14733266476135,A,55.983293168024574,-88.04689367093445,13.768446370120415,267.6100943737973,65.72485971550532,C,E,D,-67.5379467091012,A,0
M,Other,-64.33992771685446,109.10705526319711,D,B,C,32.03235329804504,-16.8950937008431,C,39.050762327891576,-20.63994694738051,175.5816568325335,-142.41763603283042,-95.04344789481357,A,D,B,2.3857616865046953,A,0
M,Bisexual,44.02722744282288,38.33975888587464,E,B,E,-103.11559120107272,28.9728652466508,D,27.792877846543,-91.21034691813449,-118.59550182916139,-7.750687610060028,-18.777300447674904,D,D,B,-260.7046586539888,B,0
Female,Heterosexual,-90.31502482515621,-33.125752621776286,B,D,C,53.64467755060465,-109.38696353316033,C,80.82768128585795,63.21683658987877,77.24126195852065,84.3114498659926,52.150469812946255,D,B,E,-76.22638715813083,E,0
Female,Heterosexual,76.28692766934512,63.71683777494719,C,C,E,47.34763374672004,-31.900115062525725,D,-49.02947665226552,30.284945729979544,12.661793873080624,-60.62018523734126,77.48126498280115,C,D,C,-51.11313738350075,C,1
Non-binary,Other,23.173151401765242,-13.884322211238667,C,B,C,122.00600578221528,-81.95697732001662,C,56.41579041762397,-46.596274704162965,27.122647644680526,-70.02261698426906,-110.7956129622049,B,A,D,-8.71566221863455,B,0
Male,Homosexual,29.116058659091472,-109.95139079536307,D,E,D,50.8530112843098,-70.93635457496069,A,10.148215412896553,-31.30546193633882,-135.65993429502203,133.4647926390302,-16.75219591837748,E,B,E,77.54547275804967,B,0
Non-binary,Bisexual,104.27375445868508,28.909637690212648,D,B,E,25.19926752767878,-35.95384106327549,E,-30.320482427712992,-11.195107451986889,-69.2048921235442,42.986009862565396,36.05711222949074,C,C,A,31.31335017417132,C,1
Other,Bisexual,51.993098940369585,43.733870563016445,E,E,B,-62.736038125485884,-24.796270824195474,C,-6.966359838933296,-114.99347153388246,71.50042953662931,-35.920175759230034,-155.79290652777033,A,D,B,-151.8012487425596,B,0
Non-binary,Heterosexual,-119.27321875677845,42.454695213543445,B,C,C,-159.31760183647327,44.93296638949455,B,-106.04535334104123,-76.01420663427419,8.839315093891246,-5.889435818733902,-95.3659180506209,B,D,E,-106.03915725517432,A,0
Male,Homosexual,-26.796574757925544,144.82064562427672,A,A,A,30.089038523299834,-121.91913741172024,D,-20.618046538846023,-33.17429592339728,-10.075951846431739,-27.135414121047486,-39.85606936090077,B,E,B,58.179921575133484,A,1
Male,Other,-150.99591175193393,-34.235332297314386,D,E,B,16.28787348333727,30.25631126503804,D,98.99808441127271,72.79536739242491,-148.75710599411929,-38.74977319581418,26.927496209500738,B,D,B,107.98612476259777,D,0
Male,Homosexual,37.08881072864467,41.9399241973513,A,A,C,96.6493135654808,-15.836712866059893,E,90.68596081868425,41.04735989880016,-75.79763635799469,265.580802473998,-38.206607184779756,B,D,A,40.30802975565532,B,0
M,Homosexual,-43.930035884314535,19.824235716918086,D,B,D,-142.31979489786133,-93.56599108447824,E,28.51697100548215,11.508373352158975,82.5479546406985,59.61206756873744,19.11517078833586,D,B,A,286.24064436659353,E,1
M,Heterosexual,238.2766646934821,21.604998676185335,A,D,C,-144.5271551520909,-19.920220275186047,A,72.931996974237,152.65109273839738,-43.6684782400108,-0.41081289488784517,9.73602889265122,B,B,C,22.926110712181533,D,1
Male,Other,32.20731406701486,57.34067982579215,D,B,A,48.70418626833238,-129.1949742379638,C,51.36743323895227,-215.74601188836135,-85.47292800353814,73.96747234291158,-81.06749945064878,A,C,D,-86.60377416333637,B,1
Male,Heterosexual,-40.719996139841044,-176.98202151456596,D,C,D,12.908939860865212,63.06860757970719,D,88.57867861159974,-65.39935267957027,92.94562705833467,39.66906698328297,140.92062290689364,B,C,E,-115.53076862568028,B,0
Male,Bisexual,76.98652905969887,-1.7622011531695039,B,B,A,25.824811367643697,-140.97850356228477,C,124.51074354922423,106.24077048508059,44.395492300036466,-96.51125138375109,-14.262972647697625,D,A,B,-70.83419127974739,C,0
M,Heterosexual,29.29007094965505,-124.3997835571352,E,D,B,115.88997555544512,-85.64711947129628,D,-72.21630474812082,-66.97500677706599,-48.56282880622941,-32.31799740809528,-63.01165825390685,B,E,E,-121.84026591818011,D,0
M,Other,-43.40981602834885,19.632155784165242,D,C,E,-202.1879807543471,70.39284211878122,B,-82.3283462654044,-222.56913184830904,-4.412530662104601,-28.363425592898118,73.67891244178495,B,D,E,-96.07673916608826,D,1
F,Bisexual,-19.974396677884755,69.50066433062707,A,C,E,-53.433728447991534,-71.82477797914638,C,4.247843582566379,12.107064200250718,-54.56162693758735,197.28066191072423,-51.70754841811923,B,E,A,-140.29449029598356,D,0
Non-binary,Heterosexual,-58.212264671747384,19.050738775377347,D,B,E,23.20580319233398,54.94508385358573,B,61.22135448046938,102.00600592524731,-137.4634989332364,138.07481012111273,-44.12563405024106,E,C,C,33.47001534663961,A,0
Other,Other,-6.949352757262549,-29.584097905470706,B,D,A,24.093639407652788,137.933356232874,E,-92.19530144896805,-56.784072356719285,86.78841737398562,-0.7171183593741307,-127.65866607391399,C,B,A,201.3883722050459,B,0
Other,Other,189.15527954360886,67.92035834259391,B,E,B,-13.507293457369501,36.97402256083567,B,-225.89028592432564,165.69425484690382,-204.4884365443576,-44.48571237254665,80.7020497838304,A,E,A,-239.05180865547004,D,0
Non-binary,Homosexual,-66.59092586018794,-156.1501554126492,B,A,E,-12.409844070889028,21.332115745643396,C,-218.15406245572663,-15.5739837628029,-91.47948447180937,-114.52369950449248,-202.01594226492497,C,C,E,93.37475373648651,B,1
Other,Heterosexual,-7.168965129212259,74.55268614809239,B,D,A,4.894452257009056,-79.55130933232691,C,183.25685452029853,-11.778529265601554,-42.683014267206495,33.21175813419862,-55.51716909527031,D,A,A,-89.7926902188237,E,0
Female,Homosexual,145.44614328654703,-30.883811244847315,E,E,D,-24.963466952143406,89.81094741759229,B,-38.7950107981602,-24.541688396692894,16.853955324213164,222.58552419369585,-15.9835347923542,A,B,A,-116.56595532511824,B,0
Male,Other,98.86412365227334,47.83400678838869,E,C,A,-94.15274844451874,-27.588919037538652,B,79.93166252277486,85.34958170969425,15.221855487299827,148.49890951300551,-114.28467305549066,E,A,C,6.567499444301942,D,1
F,Bisexual,-136.51061397125187,-60.57964896928102,D,B,E,202.1258823188704,1.527529296255941,D,82.53661713945333,108.79090534613032,-158.03530389772288,-39.81099771197845,117.30149878204561,D,B,D,-27.661529082877117,C,0
M,Other,22.002673284447027,-96.53877645272061,A,E,C,102.3965368644083,51.63230889903735,C,120.540942143486,-25.692560224127547,-65.54716441396882,70.55510382532752,-9.44263000708715,C,A,D,27.415985594955895,C,0
Non-binary,Other,111.07356655370066,117.74014893491227,B,B,C,-113.33208340524365,0.45909790468147266,C,-86.3119520323904,97.05604921169642,296.9719466779103,-183.2110098038639,40.19856964186672,C,A,B,25.319589537848486,C,0
M,Heterosexual,10.383368227261446,-31.57239196447951,A,C,D,35.28545543611123,46.594732964062615,B,89.61811915243355,-132.2763192475695,136.206494308249,37.533418283343174,280.8867718465085,C,A,D,234.61981985964812,B,1
M,Homosexual,-69.5734842575728,-68.55070927836458,E,D,A,-2.9140322976235007,-46.67231082455828,E,-168.75724304948045,-124.9538623351593,77.04054863619928,176.74064434210575,82.76561097740466,B,C,E,45.88611465230163,B,1
Non-binary,Other,-23.300586419066533,-11.093293117545668,D,B,B,48.42088484665799,49.68612312399165,A,-44.53363318089511,11.415405918562389,19.86586942860868,3.6437050908089312,65.30474966794219,C,B,E,6.291083219433596,B,1
Male,Other,127.3843605743263,166.70365300146136,D,A,B,17.544375327082907,48.88131020022025,E,-109.75748848532874,-142.54426502855156,154.3991015400722,-96.5920660840125,77.41948484585907,E,C,C,-95.26521382063493,B,0
Other,Bisexual,11.932075036287308,4.1284271648929645,E,A,E,-73.1401743113598,189.65844082769553,E,-63.64706522942504,14.02688981284376,-65.58590951688554,-104.78063730105274,-11.160726280110799,C,D,E,9.623949729260998,A,1
M,Heterosexual,7.110334969346091,66.90429627898646,A,D,D,8.281493510532632,-55.51276559257601,B,-12.205483325573487,-104.99288552332816,111.3435283934441,74.40720054142997,-92.10759295993998,A,E,E,219.7741404066353,E,1
Other,Bisexual,85.88310439628181,10.43912019813462,D,A,E,21.660680865536367,-104.60490824808193,E,-212.39590345154156,147.85328564651047,-55.2505772877372,54.43894281675753,63.099768829133296,B,C,D,171.6389995818699,D,1
Female,Other,-81.01491440417007,189.45192034492365,A,C,A,-77.3230042164186,1.8752079575202258,E,-87.4915689263326,191.3045529395665,64.44520932029295,-207.09403935351327,-87.9503985128135,E,E,D,-26.79271028878701,D,1
M,Bisexual,36.49814037623146,-84.7295142841714,D,B,E,-124.7010298253705,35.90060240074634,E,9.46974660639831,-114.68670009916113,63.49168256339105,184.34793647056256,241.008891462578,C,B,C,19.27375916384601,E,1
Male,Homosexual,-6.848989560538793,-107.08962862027407,A,B,C,-9.959461770680266,23.08065191078475,E,-3.271444317484309,-41.07017781426098,-43.46958199130094,-43.6602121333861,-212.7396042033371,A,C,C,-98.1874045489186,B,1
Male,Homosexual,118.21541624196435,-44.81274425644574,B,E,E,-37.20013382389552,-45.510207559461065,E,53.58231109611263,-88.06203609743342,-48.74144447592612,-43.89231102904015,8.798922676126354,E,A,B,-111.0034822363794,D,0
F,Other,152.88228067692586,-108.31651039814712,C,C,A,-125.91722432894295,-118.98017429943026,D,217.92947257848007,125.23818865611014,-112.03469836878743,-13.524113427625235,-19.9388994142849,D,A,E,40.65724176028303,C,0
Other,Other,-119.67691305536148,-6.499756695302744,B,E,D,92.56098249285719,54.42418637962842,C,-42.243060776241684,-22.325959530923345,60.54254136875454,193.51104568206677,34.57895433094564,B,B,E,-86.97336590471757,D,1
F,Bisexual,29.563101070016597,166.53450426101838,C,E,C,-18.61331009422541,151.889758110737,E,49.621802934170056,-169.8439984696126,136.80569866713228,13.05583107525542,-5.015227190813518,C,B,D,-113.91069836975068,C,0
Female,Other,30.264237433380714,-107.81842598204267,B,C,D,58.33234023332554,197.67491603687878,B,-7.986704740888138,200.47576225015308,105.66801871069727,-196.31675784087798,-58.09559188329997,B,A,A,88.88630439049713,A,0
Male,Homosexual,-22.549938622718027,-66.58888009053311,A,D,D,-66.92902193178413,-177.80703454969733,C,157.17517205204646,-61.80269556506196,-156.18066650507876,-74.28982922796905,-23.422419610919363,C,C,E,-84.93310577481412,B,0
Non-binary,Homosexual,-149.04145350719077,-140.38868549479605,E,E,D,-54.79651523190664,56.81639399375189,D,158.54500657689186,-100.9193038943625,12.850772465737768,70.58400728115436,-147.4978035366025,A,B,C,-51.54628424535761,A,0
M,Heterosexual,-77.44675490983072,42.22504883359444,D,E,A,114.31300334179235,-59.398159704141776,D,-24.889972907029108,40.327580960692835,90.57509680029075,59.11229589378488,-40.919945363831786,B,E,D,-108.24069888167034,C,0
F,Other,-112.45417115373041,7.325863991042065,B,B,D,195.70858908749707,-15.441511225800541,D,-66.59805342886742,56.768179336349235,-302.3295413488834,108.7120021051351,60.21495938070605,C,A,E,-91.44517978877457,E,1
Non-binary,Heterosexual,-26.811578317317274,228.26298951131145,E,A,C,-8.830886489730636,87.12445652508704,B,-20.714617395420316,2.4916394957211496,-177.5536997199569,60.32426107596072,64.80533030424628,E,C,A,48.76206609372767,C,0
M,Heterosexual,-88.88593920918649,-91.8022252085274,C,E,B,-77.10079230934885,103.74094996371748,E,-49.679091442907186,120.2512744025911,-85.38929812154639,-16.01277795815699,-122.47428095057498,E,B,E,-122.48124738864112,B,0
Other,Other,-32.25066385247647,-105.01738432450331,A,B,D,0.9306889590918956,121.79996768152532,C,94.04704859082204,-146.20196641788513,-32.81611088761859,-13.565338391832919,-39.835949181668155,D,D,C,-64.09081292688741,B,0
