gender,Veteran,religious_affiliation,anos,feature_0,feature_1,feature_2,feature_3,feature_4,target
Female,No,Muslim,68,-30.149534111371075,-119.87397298794373,B,-60.19183450383938,-44.04733360822129,1
M,Non-Veteran,Hindu,71,-8.434878531878425,-68.3871259384094,C,142.74456574655315,-17.798606757451335,1
Other,Yes,Other,20,-100.41181610437006,-30.111174310614608,C,39.607321168508236,-163.9118702591262,0
Other,No,Hindu,30,122.32945855738406,1.062137534799641,D,-80.22703203888666,102.21738822813975,0
M,Veteran,Christian,79,-16.242286891609808,-42.69928823300862,C,166.85520226474554,82.13495189343772,1
Female,Non-Veteran,Jewish,54,155.12664128696616,70.05029965925273,A,-43.814505557856656,-33.92754192554975,1
Female,No,Hindu,55,-3.422074028942733,-50.68236704259041,E,51.49089422168147,173.4460818818249,0
Non-binary,Yes,Christian,48,-17.513624741597912,202.8333586032759,E,116.32395697045146,-85.09292289089197,0
Male,Non-Veteran,None,44,196.99010344148977,-85.31766539974011,D,101.1631616375557,-9.771940862637285,1
Male,Veteran,Christian,43,20.089420444430452,-8.841430952310066,E,-131.64284249484143,38.57218206368984,0
Other,Yes,Hindu,49,82.02114601520547,74.62248804338955,B,145.20401303639622,-191.4749411636655,1
Male,Veteran,Buddhist,55,90.3792396785519,-159.90931724442862,E,19.597603154019218,43.352346799733105,1
F,Yes,Muslim,75,-3.3495461748727853,-58.269121550080364,D,61.192490703838466,-152.29007927053908,0
Female,Non-Veteran,Jewish,76,35.13404633950567,-121.92076191681531,B,20.556417433161002,10.227603968692364,1
M,Non-Veteran,Jewish,24,-30.274863406623865,201.90990098838185,A,43.36518046096655,-50.800544633798395,0
Non-binary,Yes,None,78,-38.32317942019162,165.88927930468392,C,-28.78082702054124,45.3006245396256,1
F,Non-Veteran,Christian,20,56.71236976485111,9.9758000608939,B,-112.4707769427683,-142.9400096900692,0
Female,Yes,Hindu,38,118.2857179076409,-132.37870618116526,C,47.94198794186398,-51.67046974708106,1
F,No,None,62,-120.45113722921398,-44.021935945743216,C,41.45448421542161,-112.92183865802757,1
Other,No,Other,31,131.2307731808226,90.52543673833907,C,-112.18836412272503,-39.0617990658634,1
Other,Veteran,None,31,85.19537963555382,4.42807334718303,B,-51.7140731049885,-52.05767504408735,0
Female,Yes,None,39,44.909720770615394,17.731318028224372,B,-87.04550810085226,-78.48150320332289,1
Other,Veteran,Christian,24,129.98747903871987,-90.6308568802796,B,-93.12848183068678,67.7835421390239,0
F,Yes,Muslim,28,-182.16533387981337,5.037420918400675,B,135.2572501576236,-6.7958825632991635,0
M,Veteran,None,30,81.78698279708472,161.8257888920945,B,-28.470635116493504,-81.73541454633627,0
Non-binary,No,Muslim,77,58.77680920669655,-75.72916018184488,C,49.8320897206955,-94.43578043313313,0
Non-binary,No,Muslim,55,25.42415748622392,-62.566178932567105,E,134.10775462092005,-66.95382102245291,0
Male,Veteran,Muslim,77,-119.78859495982208,8.702045567753768,A,160.45383676980927,114.8484745901467,1
Non-binary,Yes,Jewish,76,-71.26358301243506,177.50014018641602,C,2.0843694275164006,-305.6797982308225,0
Female,Yes,None,78,-32.67300934499745,-70.44032687141146,A,120.55337913519779,24.620564483122756,0
Male,Veteran,Jewish,35,-131.96054932899327,-5.99469378489776,C,44.898023617528196,-54.369688602942375,0
M,Non-Veteran,Other,62,-84.77406184453523,26.30069913480138,C,54.84464206858492,45.06682065998769,1
Male,Non-Veteran,Jewish,74,-34.46740409243365,-95.82286292138942,E,-72.2434909871231,-4.482610796278718,1
M,No,Jewish,39,58.884838827983884,76.32843341413697,B,-22.46993355747596,-48.19522858517713,1
Female,Non-Veteran,Christian,36,22.905409970765366,-116.32897694119333,B,130.99295795965315,126.71437776339063,1
Other,Non-Veteran,Hindu,76,0.9022708782555541,-169.98505220247438,A,100.17591967172139,51.729107815867984,1
Non-binary,Non-Veteran,None,27,-157.76422397311651,43.420744730616654,A,6.998687079605946,197.02949643543192,0
Non-binary,Veteran,Buddhist,32,37.63115785000536,75.75133352402024,C,-206.40227835254424,83.65623283558986,0
Female,Yes,Christian,62,-142.90461809932725,16.923428873443765,D,120.87459617353895,-44.63198521913461,1
Non-binary,Veteran,Other,19,71.5567308276156,-92.70110095934729,A,-74.81417281520297,-14.182855622410246,1
Non-binary,Veteran,Buddhist,68,45.542081107560804,27.174494374829557,E,-150.09853105447195,50.83897348589468,0
Male,No,Muslim,46,-6.99590625786022,6.2015745674574605,C,201.61793584121014,10.32317328409478,0
Other,Veteran,Hindu,58,-70.5461794949005,-8.358619354309003,C,73.43496761454335,-14.951467717834257,1
Female,Yes,Christian,29,-65.09447102288499,95.96922697344293,E,97.32044480885259,-15.617369760946318,1
Other,No,Muslim,78,91.34344150914673,28.835308956859745,B,-61.9580072751306,-80.56703673960575,0
Male,Veteran,Hindu,60,-42.8970748302313,-86.85718941983046,A,-147.21133971992043,-146.5599757004168,0
Other,Yes,Christian,26,88.36113187930576,-163.6818573686376,A,62.73561216724139,23.40131529812364,0
M,Yes,None,21,55.334611759918175,-30.445830171094475,D,-66.52659029902604,-27.139006423143382,1
Non-binary,Non-Veteran,Buddhist,62,57.042214004756566,36.73112987478639,A,-88.14766188601331,-81.34482600949623,1
M,Non-Veteran,Buddhist,65,-26.130436288999853,-94.45226047947067,A,-28.430381995160953,-30.42658879740894,0
Non-binary,Yes,None,60,-26.780514130303633,15.672530003684543,B,-92.83804734877754,-156.05406058208803,0
Other,Yes,Buddhist,78,18.726155969496592,26.33431574458135,A,-4.956663315994462,-49.8745877173268,1
F,Non-Veteran,Other,58,-27.18107124790346,80.65303509390152,C,-114.89940563273618,-16.52069265159334,0
F,Yes,Christian,23,-34.22415491243452,-81.33775970609088,E,-188.91743121081197,-165.12883153343398,0
Other,Veteran,Jewish,38,-9.149962598140101,18.275859045190803,B,68.44479035339225,-102.84433947927418,1
F,Veteran,Other,47,-51.766967297491185,-170.65553139163103,A,64.06269420615922,22.570442024168518,1
Female,Non-Veteran,Jewish,64,167.3338031922775,-48.04081928980704,C,38.860753355006075,130.51530314598293,1
Female,No,Other,38,-77.5148070665366,67.21055404019111,B,-74.1502943861722,-53.04319329485203,1
F,Veteran,Christian,23,11.276827988074894,-4.644060692659939,C,-55.42911660767725,-113.43869284871188,1
Non-binary,Yes,None,44,-21.13632565248123,-1.0329226163853762,A,45.78899750287536,109.5032136803721,1
Female,Non-Veteran,Muslim,65,-62.37749360902826,-80.35622865336552,B,76.89865265739316,-1.1456464400481134,0
Male,Veteran,Hindu,64,70.18359746606816,-27.582969745224766,D,65.02957627298014,-68.46602960246678,0
Non-binary,No,Christian,63,135.6006947020331,104.24869841741075,A,-64.1342570616018,121.10015411872936,0
Female,No,Buddhist,27,33.5183642309411,7.759438712976335,A,-110.97141257335312,-93.59737452509792,0
Other,Non-Veteran,Buddhist,75,-80.26550463149509,-85.69179735463935,B,75.806403183372,60.62975827056437,0
Other,Veteran,Hindu,65,181.8233331996533,-149.47000526263193,E,-64.36852094167183,48.81069268812838,0
Other,No,Jewish,63,-149.6195713173668,-32.95020560063786,C,4.427306548451051,-88.84680059602222,1
M,Yes,Buddhist,79,-6.86777507452932,7.2731086052986695,A,-146.97315512635961,97.04252901173328,0
F,Veteran,Buddhist,79,-67.36238242385262,-30.184811862229534,E,156.90201606801594,-37.785688741035266,0
Female,Yes,Other,54,-9.99259640472743,64.78750853172566,C,197.49490305210816,-81.4375666366357,0
Other,Yes,Jewish,21,14.089534039562398,13.260913205955854,E,-49.352095700145206,16.359504080876068,0
F,Yes,Other,57,190.24030008640725,-18.60013200716964,A,-89.39437813773633,-55.644290177522706,1
Female,Yes,Hindu,73,-47.30116219079359,99.47609861810089,E,-79.12803214825365,-49.13416499549423,1
Female,No,Jewish,52,68.63770192699252,-21.0198041112559,B,-192.99130183741988,173.88348373840557,0
Non-binary,Non-Veteran,Jewish,19,-17.396189586798673,84.7968102234854,D,0.22463055464873516,-133.49505485870966,1
M,Veteran,Buddhist,66,197.43357993871612,-94.30561888003119,C,-88.06186536348163,130.1803762255344,0
M,Yes,Christian,33,-104.54029807908289,4.012393935387181,C,-53.711551935018086,-43.946653411525915,0
Female,Non-Veteran,Jewish,52,10.875259239358957,-3.953347115777498,A,-48.16937451041343,-185.7960295363237,0
Other,Veteran,Buddhist,50,45.57000148794598,-61.9490783750449,A,-14.399132471631326,82.23553217482284,0
Other,No,Hindu,72,-177.01772682103032,54.358460238347625,A,-84.5043194558724,-18.153834956519503,0
M,Yes,None,47,-76.69995810494243,-142.86780062806673,E,143.19046571050768,12.957972798237282,0
M,Non-Veteran,None,63,-86.81586215221401,-30.717419453623958,C,-0.9485022339654857,-125.89464009622746,1
F,Yes,Jewish,72,88.6607189442986,-3.21907850312279,B,53.689275939639636,-19.10692242723748,1
Other,No,Buddhist,29,23.84806397616793,-2.8808795869439576,B,19.442769545381896,150.32787423566424,0
F,Non-Veteran,None,18,-72.81884504631807,-70.99294069576703,D,-58.44671864783165,-38.43756472920811,0
F,Yes,Jewish,20,-18.642722144742876,-15.238971306596111,D,-128.15385620874486,7.084608145709456,0
Male,Non-Veteran,Christian,44,-93.60523271800821,-65.68679000027406,A,-94.66033306210493,284.2058401358083,0
Female,Non-Veteran,None,57,88.4249622260148,-161.38511819936545,A,-84.13418628183518,17.069440397392505,1
F,Yes,Jewish,22,123.95031650880277,-172.89316352287005,C,-130.0095714862841,-160.86408152565875,0
M,Veteran,Buddhist,44,-24.065597062730433,-43.84105377604939,A,-6.713261491000135,-118.47609672378563,1
M,Non-Veteran,Buddhist,27,-49.674523106847126,-111.71022796112038,D,-110.70143427694845,24.687201456439915,0
Female,Veteran,Hindu,70,-176.30083087404603,-64.85250965204384,E,23.876199901500733,-142.19657875435271,0
Male,Non-Veteran,None,41,-70.71672544220603,185.17655429828807,A,66.64290837278018,-28.04551440839751,1
Other,Yes,None,53,69.51328597786308,-103.54029846098594,E,-22.83634019201721,35.62194917860103,1
Female,No,None,43,53.170873801232766,-191.22779976030574,D,46.89688596527212,-172.51659114661396,1
M,Yes,Christian,35,143.80768375265208,-4.6806210080104265,B,-52.28355104517012,-183.58780024997293,0
Male,Yes,Muslim,64,-33.288106912901064,57.017005243134264,B,-6.615919678610642,-39.152302281825904,1
Other,Non-Veteran,Muslim,59,-225.7418745978462,-31.991292243513193,D,-72.01685812532334,-36.863103751427126,1
M,Non-Veteran,None,67,17.27250045588789,36.17826580504698,B,100.8234452455618,34.91195489363489,0
F,Yes,Christian,52,-183.4989643049286,110.87943815675591,E,-48.73416579103027,-3.815609705679399,1
F,Yes,Muslim,79,3.690067943749447,-0.5297393135182225,A,-17.22392137104782,84.54656440261166,1
Female,Yes,None,31,-181.16072789890205,-111.77636838131386,B,-73.01945567638714,131.80590265485722,1
M,Non-Veteran,Hindu,37,117.19542443676735,1.7650583776162532,C,5.235825798855425,-22.622015013693655,0
M,Non-Veteran,Hindu,18,-34.698839412281316,53.59070474085396,E,138.1631627408839,156.3034419976727,1
Female,No,Other,57,-90.19013054025774,54.81026537930911,D,111.32564813043004,-105.78446099576426,0
Female,No,Hindu,69,135.19368129726962,-20.707629444014465,B,122.61459641840055,28.89714011590553,0
Other,Yes,Hindu,46,-35.854679694709915,-96.2037337865175,D,-76.95728257039582,112.66273404208809,1
F,No,Christian,50,99.40840787502229,25.639812361553343,D,4.495464464797039,-96.65313231320924,0
Male,No,Buddhist,26,-27.377669299579583,-15.01997212112669,B,-172.913511137972,-10.092932612948845,0
Non-binary,Veteran,Hindu,70,38.186100068375815,-137.6388863718796,B,-116.0751762920999,91.31539117446185,0
Non-binary,Yes,None,79,-54.00498128159899,-69.48635863175147,A,-14.99797836651244,-27.95545503106166,1
Female,Non-Veteran,None,63,143.14851381582352,-65.84875712631376,B,-91.40929935523577,-59.15648732085978,0
Male,No,Jewish,40,26.435281967545865,190.05268551517997,D,-64.2395558959068,131.81564166323327,1
F,Non-Veteran,Christian,72,-14.183479689140619,59.4871496186195,B,-167.82590733162016,244.76642008883795,0
Other,No,Jewish,69,-44.84109950767967,247.14347079479663,A,145.66155633528535,-68.71567152395633,0
Female,Yes,Jewish,76,7.307457084986934,-18.76351899825122,C,72.35911441301414,30.294757198818473,1
Other,No,Buddhist,52,-169.8820239772683,116.11708939280854,B,3.2903330029919484,-24.693231111557225,0
F,Non-Veteran,Muslim,46,106.35626167008832,49.259996907137634,B,-179.16332162218865,-43.58163403093691,1
Female,Yes,Other,18,177.2809970627805,215.77816719299264,C,144.89316374785582,48.7952765283952,1
Non-binary,Non-Veteran,Buddhist,76,36.81474660266377,34.16443800050193,B,-27.16431669539898,-38.72332105025213,1
Other,Veteran,Jewish,48,-6.983192281282806,39.97678092309296,A,-28.9000416217904,-173.5879430656677,0
F,Yes,None,38,91.82753064545876,-88.93569323485868,C,-40.00273158056386,-31.15563678607611,1
F,Veteran,Christian,51,57.86807591193781,87.21208282408345,E,86.49691213424853,-93.6952548334059,1
M,Non-Veteran,Christian,67,-19.438406132182447,-118.50867474556033,C,133.96340211615998,-127.64647162341451,1
M,Veteran,Hindu,59,-36.81603282956016,49.23090488784048,A,73.22401236271666,40.869750197508445,1
Other,Veteran,Christian,32,-60.769207725232185,67.08967423202968,D,-125.4652110227446,-117.2701827004957,0
Non-binary,No,Christian,63,-13.047987384361697,33.4300968299919,E,-96.1705698057981,202.66231304078156,0
F,No,None,33,104.39397465577701,-45.27369261115267,B,-13.084040055134771,253.05866900192194,1
Male,Yes,Jewish,52,40.62643222089543,110.89581645005688,D,-98.8734348924711,50.653355213365614,1
M,No,Jewish,49,195.23973364219472,118.6001383748351,C,-21.790874644186776,-104.36234447742028,0
F,No,Other,32,-85.70250441520113,91.30577263881788,E,136.7786560759408,44.741159884156744,0
F,Non-Veteran,None,57,107.6432062981667,211.44237360412004,A,17.198488490173567,75.4604214555413,1
M,Yes,Muslim,18,-33.45727646717201,26.47382821432459,A,-54.93838006794252,-17.170313655863385,0
Male,Veteran,Muslim,51,-8.287709605573681,46.11706224868383,D,1.7779485734717124,-7.448387108280305,1
F,Yes,Jewish,62,-49.350990295207744,-25.00937881483385,A,-27.629409027876335,27.514572222149635,0
F,No,Christian,57,36.511902522863856,174.08095698951232,D,-81.53848683111184,-33.41792648617162,1
Other,No,Christian,56,116.29774478320539,75.37423708679727,A,33.27318239898272,-43.90891121388731,1
Female,Yes,Other,72,85.56859030492164,-67.53587787758335,E,-114.67452779524929,-118.5979360636236,0
Female,No,Muslim,51,-18.509265560872674,-94.7471183809693,D,-124.6445509823516,-9.558116665705867,0
F,Veteran,None,43,118.160103198681,30.68767992677624,D,36.481356637499616,-47.54801924664777,1
M,No,Other,77,-114.37114215068966,-90.0544735270313,D,56.32338567873876,51.54320914058192,0
Male,Non-Veteran,Muslim,27,35.40705572111926,-82.78470238321111,D,-4.9435084520207795,-52.69149512648378,0
Female,Yes,Buddhist,48,-39.69197282468212,-114.84920185640104,B,-17.012566134763937,8.373814922704211,1
M,Veteran,Other,55,47.47628411858302,0.5207091755348069,E,7.478792196539516,-68.38859954991604,0
Male,Veteran,Buddhist,70,-27.304580820109535,-136.9083953242262,D,-30.797829155493673,127.90870822552837,1
Female,No,Jewish,31,-4.758787128619012,-1.1404334283456288,C,110.90067488092727,81.46562092201151,1
Male,Veteran,Other,40,-195.68091724100282,-49.800004707692096,D,44.174645433077295,42.308425354275144,0
Male,No,Jewish,72,21.039871444215464,-18.28955666894124,D,-351.6629997969766,153.7353460610927,1
Female,Non-Veteran,None,60,-47.3560827283189,67.11863626242976,E,-36.920628829361,-55.32162570795799,0
M,Yes,Hindu,63,-32.57123132273993,84.7535615677242,E,-92.98039002441519,-175.80420928114626,0
M,Non-Veteran,Christian,61,13.788016828279082,57.18071707208205,D,191.35079852468786,-21.893882628813415,1
Other,Non-Veteran,Muslim,56,14.668583137865197,182.27681642396524,D,159.55011531034754,21.510156317744514,1
Non-binary,Veteran,Jewish,40,28.5478268102073,-55.8079702584095,E,-100.74117673963951,-14.61964978596026,1
Other,Non-Veteran,Muslim,48,184.7445574101294,-66.83044123322864,E,-46.70653563466601,-133.47025924414154,1
Non-binary,Yes,Christian,59,-136.68303900650403,27.181739965192307,C,-41.14907787636082,-18.689523087722257,0
Female,Yes,Christian,51,-155.87626951409578,-150.31376112764767,D,78.34782701717484,29.302505717088458,0
Other,Yes,Muslim,62,38.53099865311987,-42.23974436833463,C,143.78731718354075,-35.026784871832525,0
F,No,Muslim,73,-12.775320827988711,-1.9873839964133726,B,-131.54565127729057,-19.540609325180515,0
Non-binary,Veteran,Muslim,64,-19.15161194443966,250.12035897977478,C,153.2610941197288,-60.78115379025709,1
Female,Veteran,Christian,74,-63.85467430094772,-150.74425869407722,E,-104.8542761942802,130.61151339528178,1
Male,No,Buddhist,45,-177.30343025625595,89.0084874402757,A,-59.677627473064135,207.19390119435354,1
Other,Yes,Buddhist,46,71.94624544741943,108.3921255317851,E,-52.28999129268471,101.37695942204718,0
M,Yes,Buddhist,49,5.0144862391546345,82.60279391561146,B,211.9430747399512,3.936385068935523,0
Female,Veteran,Christian,40,74.62808033544086,-73.16143040903995,A,-50.96189486522573,58.30903093691692,1
F,No,Muslim,41,-31.02281174236254,-113.74923952379466,A,-58.97396443517997,-28.069076733105554,1
Non-binary,Veteran,Other,34,108.393669561566,-151.68297044470447,D,74.49977218525126,173.6660436696223,0
Other,No,Muslim,63,8.316550583144254,34.54683160347399,A,-58.05619960000102,-34.3577637836923,1
Female,Veteran,Hindu,49,30.824370610828893,-79.88724870851462,B,-124.5867262206294,-53.22914713793902,0
F,Non-Veteran,Buddhist,68,-13.77483418642465,10.101979771744048,E,-123.55803047459833,77.40463160831354,1
Female,Non-Veteran,Muslim,52,41.8036280159522,96.33800187510657,B,-123.26943186079853,2.3619026621397916,1
Female,Non-Veteran,None,23,-8.572374227294492,8.988205712855349,B,-165.82955930465445,-1.1144568491705482,0
F,Yes,Other,27,58.43343291748787,-34.25517901253599,A,28.18795218583075,-42.45146193776881,1
Female,Yes,Jewish,64,52.90297721953093,26.966125652631767,E,-8.311451523025438,3.292959041586521,0
M,Yes,Christian,27,256.75512981411106,-31.652816300740476,D,-275.21028849908737,170.73971266463414,1
Male,Non-Veteran,Christian,58,158.47114118845025,-75.2615883183614,C,-27.419651865012078,96.04211611584736,0
Non-binary,Veteran,Muslim,47,109.34232636475892,-27.28683796568303,A,-59.526358834849226,270.75275073459795,1
Other,No,Muslim,36,75.43055340271104,-32.11848551058466,C,10.8984992506901,-90.96002239075513,0
Male,Yes,None,67,33.14565747908001,-4.626755421295148,A,98.3139542082923,32.456088509219406,0
Non-binary,No,Jewish,79,107.78808508320623,-33.50811437976801,C,-248.5716735932968,69.77803189488567,1
Female,Yes,Muslim,29,-32.07588449078929,-24.129505885515055,E,20.008992591045384,-194.529012851511,1
F,Veteran,Buddhist,68,106.16019392971563,-212.6077400169359,A,-197.98175062515085,97.04826524257587,1
Non-binary,Non-Veteran,Christian,29,80.75877770047722,230.63051536016908,D,-129.28143068917603,-40.250501377243594,0
Male,Non-Veteran,Hindu,73,-70.44011714493959,-180.68122642002965,B,-108.98684509537541,261.5896843771832,1
Other,Veteran,Hindu,72,21.439636259474966,-19.636865738735697,B,-18.44222842012409,164.09252027782793,1
Other,Veteran,Christian,22,-25.4404337562087,-71.50047667711911,B,-159.7647904997123,-154.7308135442019,1
Female,No,None,49,57.97391345599798,51.295276563946956,D,-39.00605474262307,-145.329793382914,1
Male,Non-Veteran,Hindu,44,-68.35833795144332,-29.473726629416845,D,-79.0286914912934,42.852305400288245,0
Other,No,Hindu,28,-176.81252184980485,206.11654557328748,D,-82.94200358439201,-1.962064130387816,0
M,No,None,36,11.491935087770432,-120.23195408641463,B,-228.31591339798229,-62.01745276907592,1
Female,No,Muslim,36,-6.822038379874995,44.64689092848603,A,41.99690728638362,143.87660539742816,1
Non-binary,Yes,Christian,69,160.6990993642141,-40.03996237351724,B,74.77515798044858,-59.06501439849935,0
Male,Veteran,None,79,-1.0207388662051993,163.19158875930552,A,-71.94340900224138,-35.662963578241005,0
Male,No,Other,78,57.75128643600998,-6.505863275279386,A,-4.7939276734096685,128.41172401849934,0
Other,Yes,Hindu,69,16.72303159537459,-218.74123071653773,E,140.4157898504827,-10.630853740924923,0
Other,No,Muslim,28,65.29081658425352,-62.15983870788118,B,69.24202987738283,-0.31121621507983,1
M,Yes,Other,30,31.587177273849885,133.58522521968374,B,13.243643931637756,-43.12668711196162,1
Other,Veteran,None,50,-47.92540142073282,-13.927374546309078,D,104.06816223130484,49.47716452408648,0
M,Yes,Christian,26,-18.572024972755244,107.26937620263364,C,34.98294666700439,12.592063134806338,0
Male,Yes,Christian,53,27.901104606290634,114.85251075897047,A,63.75087050764273,-121.97584100708944,0
Male,No,Other,30,72.0007244992086,-139.75227812942776,E,-141.7642757703412,103.19192058732413,1
M,Veteran,Buddhist,27,-80.64197678912159,-56.953376744152585,D,13.906795846614727,47.768085981613375,0
Other,Veteran,Christian,23,79.39094841098779,26.269064327525022,B,-65.91468286929434,-11.16148565244099,0
F,Non-Veteran,Buddhist,31,-85.43654296366445,32.650792480251525,A,-26.72951510287961,-24.76894568043582,1
Non-binary,Yes,Christian,21,54.93627104374708,37.89885254353437,E,37.2890910374072,145.38056762590256,0
M,Veteran,Jewish,33,19.62333403830652,9.56401213606806,E,2.9044941416920924,-97.60004051856271,0
Male,Yes,Jewish,37,27.463409521068648,143.41056129531725,C,44.51078807201865,-102.52286637352847,0
M,Yes,Buddhist,30,-1.822621132016229,-109.12843822428479,A,40.833089055041896,-57.09589471393988,1
Non-binary,Non-Veteran,Buddhist,53,92.9896905263189,-86.54314756699083,A,-198.46414806940243,-81.32863417877368,0
Non-binary,Non-Veteran,Buddhist,25,-74.94236146848246,-60.50837625454011,D,104.87194120798446,118.21273727318106,0
Female,No,Other,76,-24.165505184828497,61.31902578079559,C,19.984076749079968,-95.83792132654195,1
Female,No,None,37,13.03821004251298,-119.06051190996874,B,-67.5212933230522,54.582527766443626,0
Other,Veteran,Buddhist,34,-93.4643341297545,91.24778705475042,C,-108.18415467562919,-112.22541983785118,1
F,No,Christian,29,28.47649359453986,-53.619479426982316,A,99.71516586667923,25.59238964745519,0
Other,Veteran,Christian,41,-162.91563250797873,133.89394026201552,B,-118.58328225475961,-33.431867225230555,1
Male,Veteran,Hindu,24,-74.49230820242396,-20.857868760840194,E,-236.24098281545773,15.768484993489395,0
F,Veteran,Other,41,-10.49770117161965,-236.73036925547245,D,-3.985142485479358,-50.45478028777695,0
F,No,Jewish,71,111.31076356769667,31.504293467400156,B,-245.46067533851988,45.237778283593244,0
Non-binary,Veteran,Jewish,59,-95.71891255084776,-12.602576527753865,A,95.5968384270059,-63.73984310324753,1
Female,Non-Veteran,Muslim,58,-41.63368722915945,-82.97201430300477,C,-14.599764977216218,64.68741773592507,1
