Age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
90,A,B,E,27.7126022888483,C,B,12.219504974141875,0
18,E,B,A,69.81772761253362,E,A,201.31326266892233,1
69,A,C,D,2.592472973960487,D,C,-74.45191857561932,0
23,E,A,D,75.11827654039215,E,A,-209.16478350942006,0
22,A,C,B,55.5494521667711,D,E,-68.72834920659582,0
88,D,E,D,-82.19812025205837,C,E,93.51760750359566,0
52,E,E,C,-155.58802230569984,D,C,81.55866209432334,1
94,C,D,D,133.1698492879127,C,A,-66.8327287505216,0
66,A,E,A,65.5381258169437,A,D,-109.71511460621535,0
94,B,D,A,65.37058774791466,E,B,73.07463493520171,1
18,E,B,D,-213.8352093738053,E,D,34.56933621827618,1
39,D,A,B,26.8431097488211,C,B,108.19747575111296,1
31,B,A,B,31.4088388251838,C,A,73.62206937388852,1
21,A,C,D,-73.32869975325785,B,B,23.737169747806686,1
70,D,A,C,141.17254153336089,D,E,-5.454599355937642,1
85,A,A,B,-136.7314155913198,C,E,-120.61400740489346,0
37,D,C,D,115.15594450667331,B,A,-116.97736729399824,1
44,A,E,A,71.5317800035429,D,D,148.84193354737135,0
57,D,E,A,36.28437663903381,D,C,-41.252438424039255,0
28,D,D,E,-172.4648089838714,D,A,-87.61122189031691,1
89,B,B,C,14.510962408347186,E,E,249.1211480011585,0
51,A,E,B,30.905467929619974,E,A,-8.273632061631828,1
58,C,E,A,-3.3330997965788027,A,B,135.00782924218876,0
61,A,D,E,-194.5575407645317,E,D,68.94704881846437,1
22,E,A,B,169.50517102982653,D,C,-85.00281438094794,0
30,A,E,E,-59.15565725510194,B,A,50.942131762142,0
90,D,E,E,92.81321017273457,D,B,-132.84902440428573,1
60,C,C,A,64.34012570341888,E,D,-67.97206232106913,0
99,A,B,B,71.98283478316617,C,A,91.14852906209971,0
22,C,C,E,-102.68878996657315,E,D,107.91454962294287,1
58,D,E,A,124.10814705627156,A,E,43.24460786564274,0
80,A,D,C,74.81498549289573,B,B,-62.82816609183913,0
89,A,B,C,30.671855807770825,D,E,49.49607713884963,0
95,E,C,D,155.95841695148238,A,A,182.42918113256258,1
62,C,B,E,-171.94166501484682,C,D,-182.26214545673744,0
91,A,D,E,-67.05419398145945,B,C,-124.83863323365397,0
57,B,D,D,118.60948577715811,B,C,158.78866615758872,0
67,D,B,D,1.928956948272868,C,C,-26.810216311795966,1
60,D,E,A,-130.50679362815717,C,A,-43.22566272868226,1
67,E,D,C,-79.92495020651464,B,A,-47.74697601797701,1
51,B,D,A,148.57730588810944,A,B,40.31465564914837,1
40,C,D,D,-142.89622872421214,A,D,53.57291015760198,1
34,E,A,C,0.0010386625691402424,B,A,80.8499772151843,1
71,C,C,A,34.38814766249099,E,A,74.13680229077906,0
82,B,C,E,93.71830682622937,A,C,-57.16391052908831,0
58,C,D,C,-238.13330706904304,C,C,3.1294770403809133,0
37,E,C,E,52.1950739883003,C,A,-215.7446995805079,1
85,A,B,C,-103.32189416778148,A,A,-5.166569048316147,1
28,B,C,D,69.4818544256101,E,D,-170.63662936923848,1
36,A,E,C,56.10947484206251,B,B,166.816536865459,0
39,A,A,B,-16.26527152656784,A,E,-62.23053103473715,1
39,D,A,B,0.9210682814281057,A,D,109.28866185202415,0
82,D,A,A,122.7003727450166,A,B,67.19990275224191,0
87,D,B,C,37.80596671978923,B,E,-109.55938279529913,0
33,D,E,B,210.34525478301777,D,B,178.08517965187346,0
98,E,E,A,32.96918473800467,A,A,-15.228048534849655,1
77,C,A,B,33.977970235439656,E,C,-89.92198262952137,1
37,C,A,C,24.661879662146998,C,A,13.026701458176158,0
78,D,C,C,91.87197610747802,B,E,203.0408334132107,0
63,C,D,B,-42.95255616297059,A,D,-184.7019180021687,0
73,B,C,B,86.95708489862301,C,A,-114.8577729487839,0
60,D,E,D,14.764505301245096,C,E,110.21535218587877,0
67,B,A,D,-49.996296172932574,D,B,-42.4973430206317,1
65,D,D,A,138.16549116465794,E,C,-109.01056325968031,1
39,D,E,D,55.539718634262044,B,E,124.85567211151974,1
89,C,C,E,109.31428554573105,D,E,9.9920307722683,0
76,D,C,D,-45.649008300566344,A,D,-105.122684489209,1
40,A,D,B,18.900580174677017,E,D,178.7508878378776,0
30,B,E,C,20.58218826536623,A,A,-43.79410524618602,1
52,C,A,D,35.82467516201173,A,A,7.433676327675191,1
76,A,E,C,-13.880504480277123,B,D,-22.235232396310952,1
29,B,E,D,74.06019988214298,C,E,39.77865980669938,0
63,C,B,C,-136.0365786523694,B,D,243.84769480074957,1
75,D,C,B,-15.331033669565707,D,E,102.08472287707258,1
55,E,B,B,102.53220703291208,E,C,89.01212957210112,1
57,B,D,E,61.90106521365808,B,D,-119.83061974037876,1
89,C,A,A,67.86747867117323,D,D,48.0365330027715,0
92,B,B,D,-4.9658556761035735,B,E,164.98437094106652,1
98,A,C,D,-65.92241555335328,B,C,91.48247786382949,0
31,A,B,D,-24.847784574281796,C,B,43.49917561063252,0
69,D,B,A,193.31395923468693,B,A,-118.0422378392202,0
86,A,B,D,-94.9092113337861,A,E,-72.39086796930714,1
41,E,B,E,17.166946662399575,A,B,-54.9307018327646,0
29,B,D,E,-16.08797775180577,A,A,-10.044528677078638,1
36,E,B,A,-7.333077634511402,C,C,-150.16632182029093,1
33,D,C,C,47.86726637016202,E,C,-132.0447605817923,0
36,B,E,A,-68.66245650332375,B,E,-54.419275511113995,1
68,E,B,E,100.7511557989792,B,D,11.67952943422687,1
75,B,B,E,47.62025357366498,D,B,55.50245045371553,0
19,E,C,A,44.75263402186866,A,E,-91.32312752697631,1
44,A,B,B,-123.36562882852078,D,B,-107.77437207580473,1
47,C,C,E,52.39519774895894,E,E,-22.72062309055486,0
27,D,C,A,-97.3847106424755,D,A,119.4824405704459,0
97,A,E,E,-1.1975906432633887,D,B,-156.45552174751376,1
71,E,B,C,51.142309071836245,B,A,-25.14211026813306,1
51,E,E,B,69.93353149323313,C,B,15.162127086550626,0
41,E,E,C,111.38282415742171,B,A,78.26193538352875,1
58,C,B,E,-75.68101126809086,D,D,-127.2835382583601,0
75,D,C,D,-110.32808402292945,D,E,76.47879573557745,1
18,A,B,C,-93.58103841986679,C,A,-66.9963453711453,1
94,A,E,D,-80.04302608449852,B,E,-219.4979588948644,1
59,B,D,E,25.909404974589467,A,B,184.84951028785167,1
68,C,C,C,60.46767476685708,D,A,44.64572726701415,0
42,C,C,C,86.8586055377468,D,D,-68.30520629138893,0
62,A,A,B,-77.45122555361405,E,A,39.28783089151976,1
80,E,D,E,135.1559562419731,C,B,35.76606563248012,0
87,D,D,A,-34.11311461437806,E,C,-222.2819752168518,0
36,D,A,A,49.34242442780026,B,A,6.778521867608781,1
22,D,E,A,33.557932957247985,D,C,-447.4607869778197,0
69,A,A,A,-27.86593933540111,E,D,179.25755712538358,1
22,E,B,C,69.26442370168186,A,D,78.67179629622703,1
99,C,A,D,22.035325484710437,E,B,-51.17220625280393,1
65,A,A,E,203.11713512501956,B,D,142.83747566324126,1
64,A,E,A,-213.181686604437,A,C,26.512399214778696,0
86,C,A,D,16.14846377900989,B,C,-155.34244715473486,1
57,B,A,B,129.87818965581275,B,D,-53.92608486300343,0
50,B,B,E,216.90819515791634,B,E,-118.93379602717306,0
81,E,D,D,58.630959848127276,E,D,152.6719020688875,0
83,E,E,D,11.874172958174297,E,A,49.089277635279025,1
43,A,D,E,-45.10702412093995,E,E,9.085408268786075,1
92,B,C,D,50.40540093476987,C,B,62.52011687773098,1
33,E,E,D,-227.52017564100186,D,C,46.682125312103096,0
98,E,B,E,56.55395304558105,E,A,127.73949701859402,0
87,C,B,C,75.35377352319898,D,A,38.30868912195895,1
78,E,B,E,-52.585224523007355,B,D,-22.707182018336265,0
99,E,E,E,-116.70144542507992,B,E,25.17063485807382,1
29,A,A,A,48.81829395793067,B,C,110.65870257001026,1
73,D,E,B,75.1757082151347,D,D,13.370767984741011,0
87,D,C,D,-79.33791827363937,E,D,-14.278467447492323,0
85,B,C,C,219.2323210976375,B,E,-0.30633857613437143,0
71,C,D,D,39.05822180203546,C,C,-114.86473933479093,1
77,B,D,D,91.56102230699173,C,A,83.02526248045409,1
98,A,E,E,69.59960601585219,A,E,136.33386285000867,0
61,A,B,B,22.172377548122302,E,C,130.5154147777941,1
34,D,B,C,-114.34185651135336,E,A,-41.46270450776549,0
63,C,E,E,75.38213877462621,C,D,57.24879454272941,0
49,C,B,E,51.443988288984364,A,A,97.24723343681877,1
40,D,B,D,-66.72264004496434,C,B,-69.72444768499506,1
44,B,E,E,-72.4050268913489,D,A,2.3896724026309792,1
31,D,A,E,-13.974408134900814,D,D,112.31828320649045,1
93,E,E,C,-108.74223146098726,B,C,-45.0675963768508,0
36,B,D,E,-78.14653431620732,E,A,33.44833097512989,1
36,A,E,B,112.30219672987525,E,A,-14.919568204855885,0
46,D,B,C,55.51236220604022,B,C,76.7829240120094,1
46,C,C,B,44.129855488922246,D,C,-44.139106703176026,1
88,D,A,A,73.34941341473954,A,B,172.82142672518214,0
67,A,E,B,-81.50546126328257,B,E,-135.07179908993714,0
59,B,A,B,165.788486272914,C,B,5.8549299069680565,0
40,E,B,A,32.749582635361975,A,B,-184.3397454874007,0
90,D,A,A,-24.803550899918417,D,E,-98.09061517491394,1
86,C,B,A,125.15799597101547,D,E,-157.49883848579793,1
75,C,B,D,-56.885564377288034,D,B,-76.12038939472158,1
63,B,C,A,-92.83062616867866,A,A,160.74323287684368,1
99,B,C,C,-54.708585444242296,A,E,229.560251741947,1
69,D,D,D,57.22519960965899,C,A,9.972170861455643,1
87,A,B,C,-80.26926272282677,A,B,81.70494249045976,1
24,D,D,C,-85.22261696350449,C,B,-32.986430496362,0
91,B,C,A,-66.14707909404846,A,B,-60.15972598115822,1
80,E,A,B,-125.98759837822342,E,E,-33.61113805910342,1
33,D,A,D,-85.81538586296278,D,C,87.11593082815784,1
72,B,D,A,-53.88849775913142,E,D,74.82216028175363,1
80,B,C,E,13.401277600023102,D,C,135.31617634128133,1
95,B,D,E,-18.78895086597176,E,E,-20.39860368789632,0
21,E,A,C,65.3413416409629,E,E,45.53080754193352,1
22,E,B,A,75.26236748788496,C,A,-91.94369622293031,0
18,B,C,D,19.803996629731294,A,B,43.93705028178755,1
96,C,C,A,196.72989206195618,A,B,125.8527718783586,0
79,C,E,C,38.90662947707007,A,E,-33.13448423286173,0
28,A,C,B,213.39102168610026,C,A,-27.39862045608875,0
69,B,C,B,-93.3954472316391,D,E,207.03606347831473,0
82,C,C,E,-77.59574374098034,B,A,35.58209374361714,0
88,C,E,C,45.348468001005656,A,B,52.967170142824884,1
20,C,D,B,-69.14186685095287,C,B,94.82836861417141,1
69,C,C,C,24.985863098887293,C,B,-7.66510462628102,1
40,A,C,A,-106.50075394340708,D,E,-72.03751348289656,1
79,D,E,D,-33.308496220966866,B,A,-9.180991698406743,0
63,C,E,D,-78.54926104129069,A,C,42.17360619107156,1
75,B,C,C,36.15697744939699,C,B,81.18287406249874,1
79,B,D,A,0.5170205063925374,C,E,-4.041701666393335,0
66,B,A,C,-11.44305520767098,C,C,-17.498242776071184,1
85,C,D,A,-117.24440105448105,D,A,-40.18246401870668,1
61,D,C,A,-53.86703625477365,D,C,137.45752139267142,0
47,A,D,C,-43.68544798826341,A,C,8.748033077335657,0
48,B,E,C,244.10364740395266,B,E,20.462571460107224,1
88,C,C,B,59.607291035367204,C,A,31.840134142381473,1
98,B,B,C,-19.066993245807428,D,A,-4.666107329204415,1
66,D,E,D,-176.57092388598102,A,C,-65.74888762214374,0
31,C,B,C,16.13397024184169,D,A,-69.6838632076409,0
61,E,A,E,-59.5707471855375,B,E,-17.19826447375751,0
37,C,E,E,30.552494792793617,D,E,-30.733584469588553,0
92,A,C,D,-68.2449744012809,C,E,-62.94983782005789,0
20,A,A,D,59.222272524361884,A,C,-96.80760625140232,1
88,D,D,D,-30.655596565175568,C,A,-36.29445709145626,1
81,D,C,B,19.97342199306753,D,C,34.173012853580644,1
79,E,B,B,45.98411204024732,E,B,-65.35326113331718,1
53,A,B,E,-116.5235445595238,C,B,52.99263664750149,0
90,B,A,A,37.12344953708227,B,B,174.91008678581915,0
98,A,C,D,-30.971116703084828,B,E,-151.738519261463,0
41,D,D,E,-73.08871102502479,D,E,1.3448821582555452,1
96,C,D,E,71.1232550964663,D,B,-1.8975758401283918,1
44,D,E,D,-41.61209499178995,A,D,-105.26515635749946,0
64,D,D,C,-124.73748113830676,E,E,63.938713300824105,1
67,E,B,C,193.54526731490782,E,D,86.56367171800716,0
37,B,D,D,39.06180454962123,E,C,34.289869659024305,1
33,A,D,E,35.08181927359414,B,C,-89.57098102330096,0
58,C,E,B,-61.804307111941384,B,C,-6.650687420754774,0
46,B,A,D,-106.95612992238175,B,B,-34.49965131781168,1
28,B,A,C,-122.42505725890167,D,C,1.5157812871235696,1
34,E,D,C,-14.875945798159368,E,A,-65.86907230112354,1
98,E,B,B,36.81944353130082,E,D,9.433292345180453,1
96,E,B,C,-29.380514351293968,A,B,61.515682842092104,1
37,B,C,D,-70.35484130031485,E,E,36.00669863492738,1
62,A,C,A,2.8635715479281503,A,A,-158.21759748169498,0
25,E,A,A,-53.076026971954846,D,A,-14.671590807686751,1
85,B,B,E,-9.432278224823104,A,A,9.277637143476369,1
50,C,B,C,77.20330986669201,B,C,-191.21217124818045,1
82,D,D,C,-36.771490600056055,A,C,-63.631819713159786,1
61,B,D,B,29.799961784409966,E,D,-17.428404829295566,0
56,D,D,C,103.82257481192718,D,C,51.02578759384411,0
55,B,B,D,-65.6660549819735,C,B,-221.33536640746047,0
18,E,D,A,44.589665668275565,D,D,-43.185641864025406,0
65,A,A,D,-65.86695824665956,C,E,-54.1510921410087,0
59,D,D,C,-67.41508216109803,B,C,110.49333662889981,0
81,E,D,C,34.05525229366579,E,E,153.45315842296682,0
48,A,A,A,-32.760909791871384,C,D,66.05543015904918,1
27,D,D,E,-8.09551025812865,A,B,-86.2428533133724,0
54,B,D,D,202.0920721456515,D,D,37.6481133164393,0
39,E,E,E,31.776338162221307,A,E,-93.88140591171529,1
70,B,B,C,32.230322553016975,A,A,-32.937901179953,0
74,C,D,E,-143.18865367853533,B,D,-117.4779954189051,0
47,B,C,A,-295.3186025751836,C,A,-125.47217584793825,1
68,D,C,E,-16.533376044365554,D,D,133.99850361707902,0
54,C,C,C,-173.4338291943523,E,D,76.2418058845577,1
47,B,A,D,15.854138693032818,D,A,-1.912717324340334,1
25,E,E,E,-71.89914186290682,E,A,-14.063713356036391,1
67,A,E,A,-56.0933207490258,C,B,-142.82143322392298,1
53,A,A,B,-244.06793073570196,A,D,-32.664661280823694,0
67,E,B,D,-121.33082378835608,B,A,-46.87376701369797,0
87,C,C,A,206.0367584065919,A,E,-114.03673665330956,0
29,C,C,A,-79.99479798995495,A,B,20.550117210507512,1
48,D,D,C,119.65565026410985,C,B,76.98733963509935,1
22,A,E,E,1.83577691851214,E,D,-6.045875520008217,0
35,D,B,B,65.35212796871642,D,C,9.797508873401327,0
36,B,D,C,10.988888503880933,D,A,-29.4036584880739,0
37,B,D,C,-67.43949046183899,E,D,-104.65213393635504,1
40,C,C,C,49.2170136212852,C,D,-98.20885270256923,1
33,E,E,C,-119.14957360864338,E,B,-152.16436571261406,0
89,D,A,D,12.406075272343331,E,A,72.70175817938332,0
59,E,A,D,158.35212817327385,C,E,105.86301850272068,1
29,D,B,C,33.810188451719796,E,C,-7.646227248741844,0
27,C,B,E,-32.39840466849256,E,D,186.64321193984358,1
87,C,B,A,15.918938692575168,B,A,21.945930141619883,1
88,A,C,D,-97.02362826866616,B,A,1.4733397114154616,1
28,B,B,E,-70.32521762223797,B,E,23.08877664604027,0
87,B,E,E,244.7615404766269,B,A,-23.507282917180156,1
18,E,C,A,-155.14811515654617,B,D,97.41677476588762,1
86,A,A,C,156.65081671029978,E,D,-45.115496555621135,0
74,E,A,C,-68.56268603807433,B,C,62.465544246247696,1
60,E,C,B,157.06917074847098,B,A,20.894355358808323,0
59,A,A,E,77.81985982406702,D,B,-3.096381986821309,1
59,C,B,B,-1.8340901212462135,C,B,-139.04648678000734,1
62,E,E,B,-72.41830097325249,B,B,102.02499338361872,0
32,A,C,A,-199.7668653587483,E,C,86.31209023307889,0
56,B,C,E,-72.16263369025776,B,B,-231.26326775647848,1
81,A,C,D,-253.59026765826633,B,E,3.905976097521988,0
25,C,D,C,-82.18903882232972,A,C,-83.89040352239012,1
42,B,A,A,59.539741837057534,B,C,-18.809180152619877,1
73,D,A,A,25.158531613591666,B,C,-29.42899595767293,1
52,D,E,E,162.80551073787163,E,B,-102.99812998066069,0
55,B,B,C,-114.82562197237425,C,B,-50.245986732601146,1
78,E,C,B,171.84943950821165,E,B,97.37765123258708,0
23,C,B,A,65.8723699106502,C,B,-146.98747503145918,0
62,A,A,B,87.26637114420392,E,A,-127.31232946392896,1
40,B,B,B,-341.22946257275447,E,E,134.5377536908271,0
51,D,D,C,-15.674153916929463,D,C,98.76499198563079,0
70,D,C,D,10.521197208328894,D,C,170.22529453064047,1
46,E,C,B,144.84960638564667,A,A,-126.79638055070205,1
72,B,C,B,-113.43266619358181,C,E,-94.30487694290555,1
24,C,E,E,117.45642850180711,B,D,-14.073677520413552,0
94,A,C,C,-90.29130747687925,B,A,-68.13491439137631,0
62,D,D,A,-165.56483428046448,B,E,-32.42264047383805,0
73,D,B,A,-64.1726260643253,D,D,-65.11050481556798,0
59,D,B,C,107.92741993646821,A,B,0.4920350680324097,1
62,B,C,D,74.5429194395538,E,C,50.648172972592974,0
79,D,A,D,-70.03933831815652,E,B,-38.096853621999074,0
81,A,C,A,95.7918295612038,A,D,8.100754286740806,1
84,B,E,E,-92.18300663964708,D,E,-28.29170547850584,1
18,E,B,A,-164.4586898397782,B,E,0.9917967219762714,1
59,E,A,E,-145.55128054037638,C,D,50.759541507550324,1
66,D,D,A,-83.8640319991677,D,E,-63.09695347368094,1
58,B,B,E,115.92692668568081,A,E,-88.05492728144245,1
45,D,B,D,115.61450020883102,A,D,-76.99256557690157,1
94,B,D,E,-119.28325479216618,A,E,69.34275978318897,1
65,E,C,C,8.115891987420115,A,B,80.47155630714744,1
75,B,D,E,121.77911320715612,B,C,-112.37274581232381,0
68,C,E,D,117.25946898594091,E,A,178.78913162014524,1
89,A,C,E,16.72520227462248,D,E,21.62531809001379,0
44,D,E,C,-136.8159124650286,C,C,96.68038206984833,1
79,D,E,B,86.08397151000611,A,D,37.609296604369966,0
40,E,D,D,183.00056463192803,B,D,-177.20798367013253,1
98,A,B,E,-57.3613376632886,D,D,26.887905416337475,0
75,D,D,B,-89.8801413524345,E,D,207.41092308177173,1
67,D,D,B,-192.06138733149572,C,E,-59.32121108024406,1
38,E,E,A,210.37387379602254,E,D,178.87610705383304,1
26,C,A,E,29.36047384503715,A,B,-45.28626768072858,0
41,E,E,D,-122.13934296712976,D,C,106.25342054072455,1
29,A,B,E,-9.070140242051897,E,E,-125.53774717987632,0
72,A,D,B,192.61105608078924,C,C,16.271597192914104,1
58,B,A,A,-7.322592812753618,E,E,-5.045718915447624,0
68,E,E,D,132.54496996591226,A,E,-65.80047573841335,1
81,C,B,B,-75.71366262156005,C,A,17.24052837044759,0
24,B,D,D,52.7904464493962,B,E,-3.9286632216186086,0
19,D,D,E,-12.211395093636627,A,B,0.7627469453067345,1
23,C,A,D,73.13110162406653,C,D,-69.02951681404458,0
94,E,E,E,-94.3027848960089,D,A,-6.952406485648531,0
60,C,A,D,-29.05983168375446,A,B,25.735212329462282,0
73,B,B,C,134.0510321940824,D,A,115.9744937428447,0
19,E,D,D,-169.89271081700196,B,A,-36.46520258295559,0
90,B,A,A,-77.00010378585378,C,A,-43.48021507852184,0
98,E,E,E,-39.36218592702286,C,B,-42.937405071775295,1
64,A,A,D,35.17282903548683,D,B,6.923058738366433,1
37,A,E,A,82.47587035312453,C,C,136.43990738321634,0
97,C,D,A,60.19939736584661,D,B,253.46281465720543,0
79,A,D,B,22.175537017647198,C,B,-102.06867631155237,0
78,E,A,E,-86.72030695524346,D,C,-44.5833228039096,1
92,B,D,A,109.17202214084281,D,C,91.68476427834584,1
57,C,E,C,-224.0352581006201,A,C,-107.08601055611888,1
61,E,E,C,-82.73786452385946,A,A,84.39144527782516,1
52,B,D,B,-45.07857364930159,D,D,-97.95071586204995,0
