AGE,race,religious_affiliation,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
73,Asian,Buddhist,China,179.30295736215922,18.561414125826854,D,B,C,A,A,E,1
27,Black,None,China,-76.02297074999049,191.07762578652427,B,E,C,A,D,D,1
78,African American,Muslim,Mexico,-94.21790793361586,53.9062717159312,D,B,E,D,B,D,0
77,Hispanic,Muslim,Germany,9.565015478130125,131.98889211190524,D,A,D,B,E,D,1
67,White,Muslim,US,-129.9610983053223,49.87038683657213,B,C,E,A,C,B,1
22,African American,Buddhist,Mexico,-64.54213577892853,-24.40081317645605,A,B,A,E,C,C,0
61,White,Other,Mexico,177.48032520747606,79.84369960429835,B,C,D,D,A,E,1
67,African American,Christian,Germany,-16.722401120835336,-71.25446026543793,C,C,A,D,A,B,1
20,African American,Other,Germany,-101.81528067127124,-116.92800763186406,E,B,E,E,B,E,0
79,Black,Hindu,India,-172.56405829112973,55.976671671458824,A,A,C,B,D,A,0
34,Black,Muslim,Other,68.88733903733295,-3.3155834428058286,E,E,D,D,C,A,0
72,Black,Buddhist,India,87.29961434024877,-118.78511466442987,A,C,C,E,A,E,0
36,Other,Christian,Brazil,-23.284565194323136,-3.425765952068241,B,E,E,E,E,E,0
23,Black,Jewish,Other,-76.24668146613683,40.28438935215621,E,D,D,C,E,A,0
28,White,Other,Germany,-103.1480404065736,-80.01848187924597,B,D,D,D,D,D,0
35,African American,None,US,-69.87612143051533,-91.47295356543877,E,C,A,E,E,D,0
41,White,Hindu,Brazil,52.98121635170365,243.12134433671127,C,D,B,B,E,D,0
53,African American,Jewish,UK,-208.8258758630308,66.8942865189728,C,E,A,D,A,D,0
44,Black,Christian,US,123.0733665971127,183.7732126915502,E,C,C,A,E,B,1
30,Black,Buddhist,UK,-73.43577368200825,-220.8082945287279,A,A,D,A,C,E,0
46,White,Muslim,Other,84.19154349726561,-103.64356012901294,E,A,D,C,E,A,0
48,White,Jewish,China,-97.4999688084192,41.021203771201314,D,E,D,D,A,B,1
65,Black,Christian,US,-207.31226839526568,88.89343228675317,B,E,C,D,B,B,1
62,Black,Hindu,Mexico,-78.9295043120292,51.759469549148086,C,C,C,B,E,E,1
31,African American,Other,US,21.229065781001644,158.49635518028742,A,B,C,E,B,D,1
27,Black,Buddhist,UK,-50.87642010494468,33.772604248673694,B,A,A,C,A,D,1
75,Hispanic,None,Mexico,-102.55723705873187,20.409825265269156,B,A,B,C,B,C,0
27,African American,Other,UK,-36.2517394547922,36.53451727692192,E,A,A,B,A,C,1
21,Black,Muslim,India,71.98735531807999,-139.07200560065326,A,B,C,E,D,E,1
62,Other,Jewish,Brazil,81.61043125049964,-50.6663560495552,E,C,B,B,E,E,0
29,Other,Hindu,UK,-141.69570859349548,29.466633471079746,E,E,B,B,B,A,1
75,African American,Other,Brazil,29.737157588910083,-34.81668305503492,E,B,D,D,E,C,1
37,Asian,Other,China,127.04388593895102,-122.13708017504818,A,C,E,B,E,B,1
78,Other,Buddhist,China,95.34879929746347,-32.990854167212,B,C,A,E,D,E,0
61,African American,Christian,US,13.201655122625983,70.6966264745856,B,A,E,C,C,A,0
50,Black,None,Mexico,50.404648275892214,-80.97388917640652,E,D,D,B,C,C,1
42,Hispanic,Hindu,Germany,-38.66419085065344,139.15688899656567,B,E,A,B,E,B,0
70,African American,Christian,UK,-70.84935417167118,-213.36636859906076,D,B,E,B,E,A,1
54,Asian,Hindu,Mexico,-53.60165126129067,-149.57783106405594,B,B,C,A,B,B,0
19,African American,Christian,Other,-148.71824225312133,-107.81403717774624,E,E,E,B,A,B,1
70,White,Christian,India,84.0209017836419,12.224151294951865,B,B,A,C,C,C,1
27,Other,Other,Mexico,22.82222922308062,98.0918404104744,D,B,C,A,D,D,1
75,Black,Hindu,US,-16.574744121018934,5.333849129934066,E,B,B,B,B,D,0
74,Asian,Muslim,US,38.008361102606855,69.44802149290201,E,B,E,E,C,C,0
38,Hispanic,None,Other,157.74408659646434,-144.86733074707797,A,D,A,E,A,E,0
50,Black,None,Germany,-134.23601007132677,-74.96631824282186,D,D,C,E,D,D,1
19,Black,Jewish,Mexico,30.53670190575588,-34.23259196945181,D,A,E,C,A,C,0
19,Other,Muslim,Mexico,-73.96968261211808,81.60976591662448,C,C,D,D,D,E,1
38,White,Other,Brazil,97.35324609745776,-46.51248420665212,C,A,A,A,A,A,0
74,Asian,Other,UK,36.10786144792185,-52.4091215928805,A,A,E,A,B,B,0
65,Other,Buddhist,China,-25.883765746977893,-108.02096966669535,B,B,E,B,A,D,1
19,Asian,Other,Mexico,-114.01437628088851,239.68791246657216,D,B,D,A,D,E,0
57,African American,None,India,-88.57200521232733,-9.983559861770761,C,B,B,D,E,D,1
50,White,Hindu,Other,-52.61453401735097,-20.044193387709697,B,B,D,D,B,C,0
40,White,Jewish,Mexico,-6.80856790503404,-109.9524814492951,B,A,D,A,D,B,0
37,Hispanic,Christian,US,60.779379657497,-175.5687640894459,B,C,C,A,E,A,0
36,Black,Other,Other,-178.76524178624317,71.90634435700899,E,B,A,C,E,A,0
58,Black,Muslim,Mexico,34.92838734858583,-20.83151905579628,D,C,C,B,D,A,0
53,Hispanic,Muslim,US,-236.53571636372902,-228.5996273809245,B,C,E,B,C,B,0
48,Asian,Christian,China,36.43663605519903,169.71819741738554,B,C,D,E,E,A,0
65,White,None,Other,-62.96163102262023,160.27579875253068,A,E,E,E,B,E,1
45,Hispanic,Christian,China,-150.85163703563427,-1.389683328097783,A,A,D,E,B,D,0
26,African American,Buddhist,India,46.87294109527963,45.10020237819545,A,B,D,E,B,D,1
48,Hispanic,None,Mexico,58.628479975682524,136.56545394338332,A,E,A,B,D,C,0
26,Black,Buddhist,China,-10.630816666530558,87.7453578373154,D,C,C,A,A,C,0
35,Other,Jewish,China,96.97236781127091,-62.363050194338534,A,B,E,A,A,E,0
44,Other,Christian,UK,34.71302066316547,120.26597183118548,A,C,A,A,D,C,0
42,Black,Hindu,Other,-121.98923497516809,29.007426061237823,E,E,A,E,B,A,1
64,Asian,Buddhist,Brazil,9.048746919160942,-1.5125994202030206,B,E,C,E,B,D,0
52,White,Muslim,US,-120.48419399029635,-109.19324276463071,B,C,B,D,D,D,0
71,Asian,Buddhist,Other,-155.8670491889139,31.44179408222858,A,B,E,C,A,D,1
23,Asian,None,US,78.35558094617318,122.54001367443767,C,A,C,B,D,D,0
68,Other,None,China,153.2708294074384,52.04927951324167,C,A,D,A,D,A,1
36,Black,Buddhist,Mexico,24.61788254955892,58.92399637830361,E,D,D,A,D,B,1
79,Other,Other,UK,-184.9628668636794,-34.49537811536686,D,D,E,E,C,C,0
76,White,Buddhist,China,-148.84174350772977,-168.57994576190103,D,B,A,B,A,B,0
39,Other,Other,Mexico,-86.80359551168165,160.12814722836976,E,B,D,D,C,D,0
27,Hispanic,Christian,China,86.23489941913219,-9.735224107887548,C,A,D,D,D,B,0
28,Black,Jewish,India,181.71599322112348,36.930137946084635,C,E,E,C,C,E,1
77,Black,Buddhist,Germany,-59.69399278755916,112.64193183528342,A,C,B,B,D,B,0
50,Hispanic,Christian,US,-85.800106536357,-165.511022675857,A,B,C,A,D,B,1
59,Other,Other,US,-79.83321674081132,144.4167611455384,B,D,B,B,A,C,1
44,Asian,Other,Brazil,46.153262926663515,-48.7991296064568,C,D,D,D,A,B,1
27,Hispanic,None,Other,167.34015746650172,148.61604156447942,B,B,D,B,C,D,1
63,Hispanic,Hindu,Brazil,-31.78544495726227,41.334633849384176,C,D,A,C,C,D,1
51,White,Buddhist,India,41.9783244808264,-37.92377815059613,B,E,D,B,B,C,0
65,Hispanic,Buddhist,India,195.5774963740986,71.2680466314027,D,D,D,E,E,D,1
77,Black,Buddhist,Germany,41.000660199153074,12.129319260570428,C,D,E,B,D,E,1
65,White,Other,China,108.75965122563225,51.8223665724021,C,A,D,C,E,B,0
78,Black,Christian,US,-5.245420170663485,51.75229782721106,C,A,B,E,C,E,1
44,White,None,US,-156.85269426377977,-172.16974013127356,E,A,B,A,D,E,1
60,White,Jewish,Brazil,59.137485328493725,-135.89436484157187,B,C,D,B,B,D,0
28,Other,Muslim,China,26.660248484908163,-202.73962030504703,C,E,A,B,E,C,0
37,Other,Jewish,Mexico,66.69057610646176,-146.23992813471682,B,A,E,E,C,E,0
23,White,Jewish,Other,49.67267709704487,-205.9302348022627,E,D,D,A,A,C,0
40,White,None,Other,-39.57553767145567,-0.11870141990948889,E,E,B,C,C,E,0
74,Asian,Hindu,Brazil,-54.98109338296528,-46.2598401393766,B,D,A,C,E,A,1
34,Black,None,Other,226.88774916178153,-40.04251373536764,B,D,E,B,D,D,1
37,Other,Muslim,UK,-100.8322951270195,103.0397241535801,B,C,A,E,D,C,1
57,Other,Jewish,Germany,-135.5799889295796,-118.66939711578708,A,E,D,C,E,B,0
55,White,Muslim,US,-59.621668609864166,-43.29095444835016,D,C,B,A,C,A,1
72,Other,Hindu,Mexico,45.450272604747795,103.73912130217565,E,D,B,E,C,C,1
44,Hispanic,Hindu,US,19.370145804953594,25.50742554314043,B,A,A,B,C,D,0
63,White,Other,China,-145.31502741459624,-52.58849221560602,D,A,B,D,E,C,0
58,Other,Jewish,UK,181.44343159175284,-186.11379540129477,B,E,D,C,A,E,0
71,White,Buddhist,Brazil,-156.18935098502632,-88.49342363572742,E,E,A,E,E,B,0
48,White,Christian,China,75.93118417126846,-91.46295310276595,C,B,D,B,A,B,0
27,Hispanic,Muslim,Germany,-104.36242649104553,50.08680019368496,D,C,C,B,D,E,0
36,Hispanic,Buddhist,Brazil,65.64726726228992,96.75922322397989,B,A,D,C,C,E,0
32,Black,Christian,Germany,214.77326554753594,93.79359545891288,B,D,C,A,A,D,1
23,Black,Muslim,Brazil,75.78262337423847,4.510623645290112,A,D,D,E,B,A,0
75,White,Other,US,-67.10189666360229,141.12620300161564,B,E,D,A,B,B,0
19,Other,Buddhist,Germany,2.663322312532904,3.2089698051799163,E,E,B,A,A,B,0
63,African American,Christian,Brazil,60.26891310608396,56.196804887485776,D,D,D,A,C,B,1
57,Asian,Jewish,Mexico,33.94738172338391,54.16506709061737,C,A,A,E,E,D,0
42,Asian,Other,Mexico,-68.41696430736178,-101.26086149287023,C,D,B,D,C,B,1
46,Hispanic,Jewish,US,135.4272735919023,-34.48099762531282,B,B,A,E,D,A,0
33,Other,Hindu,India,-52.63562069947282,48.52908587700963,D,C,B,E,A,B,1
35,White,Muslim,Other,128.22713458606955,-188.81635531667055,D,A,C,D,C,E,0
24,Black,Christian,Other,-160.57992643722028,-164.8701789781613,B,A,C,B,E,D,1
69,White,Muslim,Germany,180.65570239158788,139.73978227154566,A,E,A,C,E,E,1
32,African American,None,Other,-6.579140710019699,180.4155478662035,D,A,D,E,D,E,0
75,Hispanic,Muslim,India,-33.131852801800036,205.63547729631387,D,C,C,B,B,B,0
31,African American,Jewish,Other,-53.70732342826655,-91.702525056104,D,C,E,E,E,A,0
66,Black,Jewish,Other,21.63908170686106,-198.3279135014123,D,D,D,A,B,A,1
59,Other,Muslim,Brazil,84.16524430868549,-65.5864412092994,C,D,C,E,E,A,1
57,White,Jewish,UK,125.32713513074876,-218.62712039875038,E,A,D,A,D,D,0
46,Black,Jewish,Mexico,55.47619492346675,41.48029527857881,B,D,B,D,D,B,0
21,Other,Christian,US,-14.633564580977144,133.61344770888712,A,B,C,E,C,A,0
52,White,Jewish,Other,121.31816023395186,110.39670777853866,B,E,D,C,B,D,1
36,Asian,Hindu,Mexico,-137.11486718166802,23.01278213376096,D,B,D,A,B,C,1
60,Other,Hindu,US,17.564141565132154,126.42845466447613,A,C,D,C,E,B,0
65,African American,Hindu,Brazil,61.383976698437024,60.32781556388341,C,E,B,E,D,D,1
76,Hispanic,Muslim,India,107.64888587562244,37.02147529730385,E,B,B,B,E,C,1
