nation,RACE,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Mexico,White,Mental,163.34821816264403,E,84.65067364742922,C,D,A,-53.439783960204615,A,-162.0848176801893,6.078065452595773,B,B,83.81892397998728,A,B,0
US,Asian,Yes,184.69435960646004,E,33.38256642477938,A,C,C,-110.49846147319803,D,1.3282069610568419,-54.51144937854296,C,D,-56.98191094519976,C,A,0
China,Hispanic,No,-121.55775368969162,D,84.09186232240538,B,E,A,-94.45551861026613,B,181.15546470514258,87.22202242552845,A,C,-190.48905062061877,D,C,1
India,Other,No,32.13460694762738,B,2.9668431588626127,C,A,D,-39.82485506222093,D,-110.9686253381692,-50.584502180631,D,A,-13.445792625843755,B,C,1
US,African American,None,55.12850449172441,E,-82.37293759748175,D,A,C,-183.20153999131088,B,33.952725231569005,82.62584739034779,A,C,-87.821217215419,B,C,1
China,Hispanic,None,-10.079718694423482,D,27.30023509496479,C,B,A,-55.47135303929704,E,4.082711473529374,24.94381247274207,C,B,-74.10090968996454,B,D,0
UK,Hispanic,Yes,-172.70815891727926,A,14.352984909810024,D,A,E,-28.08293457627618,E,19.959629481713403,-21.79870784275511,C,B,153.7342500888049,A,A,0
UK,White,None,127.15385789257405,C,-219.36569959991778,E,B,D,24.92624403624875,E,-66.23648563102869,-126.79230374470013,D,E,70.33814421938006,B,B,1
China,African American,Mental,68.23087583025155,E,285.82682345732616,A,C,B,-83.87720859780713,B,89.62896075085467,77.20312449231639,B,D,76.09837851782424,D,A,0
India,Other,No,31.72029953004163,A,-119.44182713605818,D,D,E,-56.10879369775411,C,123.61269203574881,220.67784926334562,D,C,-70.975417784695,D,D,1
Mexico,Black,Physical,65.73139237105386,B,-100.56448537777436,C,E,B,59.44960089741954,A,42.08717670471669,-43.85895390735396,C,A,-25.28637716057034,C,E,0
UK,White,Yes,166.2911060215388,B,177.29140328350078,B,C,A,50.95014501509305,A,-32.33677945405334,-65.14991141313129,E,E,29.974478441902296,D,E,1
India,Hispanic,Mental,40.3058007232204,A,231.00770669240904,E,A,D,76.72408995458731,E,-125.55462911795038,21.376101282197247,A,A,41.76122812439775,E,E,0
Brazil,White,No,-127.69668470852862,E,68.24836373479809,E,A,C,-48.59186752414521,E,-20.91738567917654,-45.215188778663865,E,E,-93.39490628665679,D,E,1
UK,White,None,-206.84364168337663,A,24.19216489736967,B,A,C,67.53855876807563,D,-124.59763302626456,-156.28852696909863,A,E,210.32428234685457,E,E,0
Germany,White,Both,59.03724597001149,C,-129.05981786206664,A,E,E,-69.71003868735104,B,-71.74297121257297,-16.317790317241343,E,E,9.786605814352555,B,D,1
Mexico,Black,Both,66.60413437209549,D,-85.53660867025461,C,B,A,175.97005459908465,A,-152.86982125356212,-28.09921190594539,B,E,-26.09846066736961,E,B,1
Brazil,Black,Yes,117.76957751298454,C,-28.036793362293967,C,D,B,-60.060492413398,A,-145.31943474031453,-149.43126991915037,A,B,-6.296380173606965,A,B,1
Mexico,White,Both,-135.35360619069024,A,63.95161278817505,D,D,B,54.7999408711891,A,-119.9276377717335,62.96955262941345,E,A,-91.24199921625352,C,D,1
Other,Black,Mental,-62.95498490848529,A,-90.92478943616683,A,E,D,73.08327237037686,A,49.37776305687757,-153.34302562792232,C,E,-117.44272651611651,D,A,1
Other,Asian,Mental,28.21194021728554,E,99.36728043455643,C,E,A,-212.0572716951046,A,60.64527453418235,29.95123457389235,A,C,50.495451501486976,D,B,1
China,Hispanic,None,5.829498750726611,B,-220.78855587619844,C,B,E,-9.269309358582928,A,-178.63928256690477,-21.125029397855354,A,C,-59.973237175410446,E,A,1
Brazil,Asian,Yes,43.78422412890813,B,11.344335710769675,E,B,D,79.85342899272374,D,87.37386870356022,-70.32664188492097,B,D,35.09972653906212,E,C,0
Other,Black,Yes,59.202775255206404,D,220.58360648930812,A,E,A,-168.35589167454964,C,-63.567951955092326,38.75762864592275,E,A,-39.340872556162246,E,D,1
Mexico,Black,Mental,-168.66831860662379,D,-11.703440283790076,D,A,D,63.89452762703788,E,179.6503009730344,14.765720463685994,C,C,93.50395229598516,A,A,0
Mexico,Asian,Both,50.28931367539619,A,174.13972555537492,C,C,C,-114.39947499957806,D,-15.37217342893708,-76.45535082092383,E,E,-266.9492553694919,B,E,1
Other,Other,No,-37.72115239305863,A,-44.998129726963114,C,B,A,-110.95426432201272,C,28.442252556887066,-10.472635333445348,C,D,55.88661144495305,E,E,1
Germany,Asian,Physical,148.82892538113276,B,87.88680086749288,A,D,C,18.443556299718892,A,86.10881653490308,-28.704824119318552,E,C,257.9615954012547,A,A,0
Germany,Black,Mental,28.37528375337665,A,8.537647542630047,A,E,D,-41.17966776540193,C,117.13221636269672,40.9014402134776,B,E,53.12374707056915,E,A,0
US,Other,None,223.86282498991775,D,-57.14664249333702,A,E,E,149.9535792671286,E,-133.81044353720011,4.237137559420842,A,C,146.33459715056446,E,B,1
Germany,White,No,-54.38308697626648,A,-26.355552597004255,B,B,B,-5.7622619625437865,A,-46.428969267564796,40.04612332265465,B,C,-31.74792345086755,B,A,0
UK,African American,Mental,109.96973689079739,C,-301.71050033865293,A,D,C,-9.428067120276525,D,-109.55406985898826,-6.921922503981756,C,A,64.29302404235037,E,C,1
US,White,Mental,-14.397494511033571,D,-203.44654238629008,A,B,A,-87.85309447040689,C,-65.939150923436,-36.59811202576799,A,E,-41.978623121826736,D,C,0
US,Asian,Yes,-3.2241286631605934,B,-2.0791529919894467,C,B,A,-35.81039318088358,C,-131.23517588779865,-128.35187053279748,B,E,11.950902590679274,B,B,0
Brazil,White,No,132.76666014697398,C,96.53928333055984,B,D,A,140.00011726003046,E,116.17949675309589,-84.68244741555093,B,A,148.48203500675987,D,E,0
Germany,Asian,No,96.80415538451024,E,-10.204520130041589,A,C,B,23.72956330287609,D,-59.23822696080746,41.408640681472306,C,D,-74.20210370657783,B,B,0
Mexico,Hispanic,None,-122.5991016895428,D,25.36105244972402,A,B,B,23.39397454996071,E,134.87123175416846,27.901360066689207,B,A,110.45296328382521,D,E,0
Germany,White,No,-36.811982754361075,E,30.550401346860077,B,B,C,134.58558484321546,A,124.79626279430272,-125.75025283305739,D,A,-52.30197239365665,E,D,1
Other,White,Yes,237.58991922846883,B,72.98582479801752,E,B,C,-60.49836742747946,D,94.13860093152559,-36.267392308836854,C,D,79.58990162339919,A,C,0
Germany,African American,Physical,3.1302756678532995,E,-20.11796795386664,C,A,E,64.59469641958484,B,14.207975433689949,-15.785609942005657,D,E,-7.961594792968151,A,E,1
UK,Other,Physical,152.72159485257006,D,31.08868733914657,B,D,C,-91.17720115980926,A,112.69576162352301,195.8983813106573,B,B,3.4631093838813825,A,A,0
India,Hispanic,Mental,128.84613661164488,B,103.28006633421288,D,B,A,118.62872566133566,C,-229.693210985136,-119.2714597684191,C,D,81.65858243217966,C,E,1
UK,Hispanic,None,-76.7847343995506,D,-23.190800344932242,D,B,C,13.27059806990507,D,-37.69206650670753,121.35194470953536,A,B,5.473125404412178,E,D,0
Brazil,White,Yes,16.386731501485112,C,-52.6698580090978,D,A,C,-31.917979227290495,A,-103.70590477569732,26.723911198252402,A,A,27.444054538825206,C,D,0
UK,Other,No,143.50489778390258,E,-151.7203123358739,D,E,E,-178.3972635456248,B,-41.90685654419909,-9.970956400407726,A,D,69.74048003280036,B,A,1
Brazil,White,No,124.12812874304802,E,-60.64838283765547,C,C,D,30.647861327004016,C,13.165765302792357,-96.50674553235122,C,C,143.070232802304,A,D,1
India,White,Mental,166.633807648392,D,71.2924744524982,D,B,E,-34.91792656251241,A,-52.29939408544788,240.84614128144267,A,E,-18.55585918474922,C,A,1
India,Asian,Physical,31.327871080586018,A,-9.419684975891427,A,D,C,-67.6526039677025,A,-31.32030734870855,37.62078500267009,E,E,-118.24109760563606,C,D,1
India,Other,Physical,-104.26740856893136,B,100.76039365034705,E,E,B,-25.576993977704337,D,-97.46101778501199,39.31161763411568,B,D,-38.63812537986364,B,B,1
India,Black,Yes,104.2759172556857,A,8.359770704803056,C,B,C,-82.05294465051158,E,77.03310548763791,-32.36142190339517,D,D,82.89740824684878,B,C,1
UK,African American,Mental,-132.24195317120092,E,187.19692376178426,D,B,E,3.2154291640908363,C,-90.59547452081254,208.30116660622463,B,D,68.28237892211519,A,B,1
Brazil,Other,Both,-23.189764290306748,C,-19.03035559805127,D,C,D,-91.17358964701732,E,-123.35172453641614,-73.5691009373594,C,A,95.29377208701852,A,B,0
Germany,Black,Yes,59.77023719615572,E,14.735155091687362,C,E,D,-30.960875607860693,A,-144.66949870199136,14.484049880173961,C,D,14.893545301266956,B,E,1
Brazil,Black,Mental,-94.74688909766758,A,-64.58384879598816,A,C,B,143.9980523349445,D,-66.89420460306665,90.68072589197426,C,E,34.6460002716636,D,A,0
India,Hispanic,Mental,119.5843835194712,D,-131.69945106485346,A,D,C,-95.41969640896477,D,-55.02608016670665,-76.14995634974264,C,D,-316.64408369127057,E,C,1
India,Asian,Yes,-61.090772081200825,D,-73.23645561119008,D,D,E,34.383668348864,C,156.85162735867365,9.981653049724883,B,D,14.939929279334462,A,B,1
US,White,Mental,42.49805068253501,C,-3.345786164227292,B,C,A,-1.6465564004868962,C,116.49745103296252,-103.19765429402497,C,A,-53.18507136621513,E,D,0
US,Hispanic,Both,18.847336509402034,C,153.4738057897034,E,B,A,53.20066554118089,B,13.99014300749332,61.94925624274401,B,D,14.415435375401863,C,B,0
Brazil,White,No,-42.010205585091306,B,195.21147774139942,C,B,C,85.59772659218974,B,-42.38796227348883,-18.102500011031584,B,E,9.652783321348156,E,B,0
Mexico,Other,Physical,2.2290482125575983,D,-4.896769162338434,B,D,E,-0.6053878953596795,E,83.22211885325156,-100.93661643512091,B,D,-8.458497084026826,A,C,1
Brazil,Asian,Yes,98.983024978565,E,47.37353938136932,E,C,D,63.29363622264634,D,59.77345192744578,-18.268257557197824,D,E,-91.91185921227178,A,C,0
Mexico,Other,Both,42.882647586631165,B,56.49387542899623,B,D,B,-28.55371947046018,C,107.25156174437652,99.05172731438319,D,C,-13.983692729105012,E,C,0
Other,Asian,Yes,-99.82129222478311,A,83.69073438883953,D,D,A,2.036539192670971,E,-97.38743721571534,-24.132749155755324,D,D,-142.86842766238868,D,A,1
Germany,African American,Both,-9.207969249325886,D,-46.060543886518026,D,C,B,-15.9715566254572,E,60.75175604923917,150.22561593145173,D,D,-3.7132513769760096,B,A,1
Mexico,Other,Mental,93.45981745360163,D,-11.088120483435619,E,E,A,270.1663869482222,C,45.46412024672864,-102.07691528571598,A,E,29.561523158211283,A,D,0
Other,Asian,No,196.03656843188432,E,-230.59074594747665,C,A,C,43.80693456288578,B,110.47190182899999,61.52368941595861,E,E,91.28753491220854,D,A,1
Germany,Black,No,71.63461461329462,C,-194.62778435831274,A,E,A,-121.48254767553128,C,-11.209662799039625,-22.21042326852585,D,E,15.637211117143272,D,A,1
UK,Black,Physical,41.34015987992752,D,73.43853761782067,B,C,C,113.37869766105406,A,12.037159709639713,140.59091433911433,D,A,161.07755827366918,E,B,1
Brazil,Other,Yes,-48.03350483990796,E,115.4128162126807,A,D,E,-47.24273445861745,B,66.40197291807212,-69.02405195036887,B,A,-107.09587502723903,C,B,0
Germany,Hispanic,Yes,-25.050191769964453,B,-24.40783144560704,C,D,A,-162.1033033706812,C,42.268404949572734,130.1046066036642,A,D,-196.19965780910857,A,D,1
UK,African American,Physical,-3.7860844417059667,D,-85.25009109817368,C,E,B,5.877762046911712,A,-72.90727273956318,-4.595879750203237,D,E,68.4502791704432,D,E,0
India,Other,Both,-11.80256865182496,D,8.223714526181165,E,C,C,40.788062853827114,C,16.97727517917759,-239.12177926158188,B,B,38.79346673480519,B,A,1
US,Other,Yes,77.13344962046155,B,22.28219332168274,A,D,C,32.82036372916269,E,-57.75553624033264,-91.31249326228253,A,E,-120.92714286917531,B,C,1
US,White,Mental,55.38674645839408,C,32.25781935846607,A,A,B,154.71346564452602,C,-127.74976169076619,61.604891093750894,C,C,23.488159173703895,D,E,1
Brazil,Asian,Both,-51.12434574672312,D,-104.89282535801007,C,E,C,54.6351632672703,A,99.83169473350812,22.42848067629151,A,A,46.40492048820043,B,A,1
China,Hispanic,Yes,75.87956376759027,D,-91.16287485921106,A,C,D,-148.5313332033671,D,146.75087138384788,-11.650964474847699,C,A,-191.30754758265024,A,D,1
Mexico,Hispanic,Yes,-92.38998035953321,A,-37.83247913369062,D,A,E,-18.133885752358346,C,-40.97880985245293,-32.68057009965231,B,A,-140.91416754052744,E,B,1
Germany,Black,None,-99.80998226333107,E,-24.07542986333434,B,E,D,-155.1940757527598,A,-28.913009057349104,3.946310853804035,E,A,72.66078339119218,B,E,1
China,White,Both,189.75058691689318,D,41.31330518516995,C,E,E,13.980712209854445,A,46.33881835059091,-153.51657251994135,A,C,-10.882042700875017,C,D,0
Germany,Hispanic,None,12.487586365396114,E,-90.75359600919863,B,E,C,-18.469422160009106,C,83.04370184623917,9.200873409673799,E,D,-29.456084790477817,B,A,0
Brazil,Other,Physical,-14.610674641544005,D,-152.47822508252753,B,A,D,-0.9876348658923239,E,54.70839522814818,45.76986175274908,B,B,-153.4249420155834,E,D,1
India,Black,None,-110.03418879433247,D,51.75892879328422,D,D,A,-45.80956461768846,D,19.837015094212777,-90.30608160306248,D,D,33.7037760498329,D,C,0
India,Asian,Mental,-33.35655694861318,B,-5.270299263263764,E,D,B,75.77687959988371,B,-55.603948951093244,-66.15513403058712,C,D,153.58569703072357,B,C,1
