disability,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
None,47,119.61285862004878,-4.54526266285867,0.11581964806240351,E,C,A,0
No,52,-108.50051276497912,-75.00833195076471,39.99280567459175,D,D,C,1
Both,82,-142.88702456847818,30.335431880954538,-152.1693489230429,B,D,E,1
None,88,148.57859406155575,13.3387495324182,-41.11568490084447,B,E,C,1
No,19,127.00318201146115,76.6065740202197,-51.59425077507059,C,A,C,1
Physical,76,-6.123538993489989,108.23794762502853,-80.92200565838192,A,C,C,1
No,32,287.8223383906862,47.734855524372364,-0.22607496449857262,C,B,B,0
None,96,-94.17121077293949,28.20128422163444,-31.047199360071225,D,C,B,0
None,53,3.3078415823295253,85.91819368920454,19.086989123870453,C,C,C,1
Mental,90,-169.75393867557028,-150.97998218440495,-62.639295874039846,A,C,E,0
None,51,226.69813996915437,39.2506022444253,71.3222763876689,C,A,D,0
Yes,93,45.08939998885947,-124.83391652467166,-31.552351201960093,C,E,C,0
Yes,50,-27.979694099810455,-9.664454342680541,-83.69030816843673,A,E,C,0
None,45,-19.04785748272136,104.45498438049295,56.04788214323432,E,A,E,0
Both,44,16.62472713150944,55.25822312861818,-169.4188770061658,E,A,A,1
Yes,28,60.57861957087876,15.208812320787251,91.88503981527258,C,E,E,0
Mental,26,2.7076653693026067,119.31800822598876,192.1489756498819,B,B,D,0
No,89,194.8692546625838,104.69815593563361,-63.47236628680426,B,A,C,0
Mental,41,86.09728208601568,-48.460148141847476,40.15691958887737,A,D,E,0
Mental,35,3.504281270218291,-67.65498127528735,35.9391656325714,A,A,A,1
Both,19,17.855674659741048,58.54583962248123,90.16735315345225,D,E,B,0
Mental,18,91.82248582114826,-6.47012087608535,93.63261567553121,A,B,D,0
No,67,-15.135000104426712,-0.2813684957839487,-11.251715851847075,D,E,D,0
Both,57,-159.50759405572836,-49.427362434307604,-43.86474598336722,B,B,B,0
None,72,2.1657329254366,13.903160257486475,-175.37473979837753,A,B,B,1
Physical,74,139.3764661195823,-10.602707322988019,-36.40092978809444,C,D,A,1
Both,29,91.86528975386022,-26.615507593124637,-12.33773753004678,B,B,A,0
Mental,91,-29.265897905061788,-128.20985584603326,-117.14339876248839,D,A,D,1
Yes,82,168.47193834382279,-7.80443260664975,44.38501612278218,D,B,E,1
Yes,59,96.40810990531263,-43.22091953431574,-10.66103372950051,E,D,C,1
Both,88,-108.51239081427903,-122.37429310128063,-233.63424437555685,D,C,A,0
Yes,73,-59.49945467837057,-88.31008790846498,78.37905546237046,A,D,C,1
None,44,-166.25597887562117,46.351992428215816,46.28052826450594,E,D,E,0
None,57,-118.78287099216212,-61.09274159468856,110.39850501682832,D,B,D,0
Mental,78,-132.74443605630228,-24.949261872475812,196.11980780736337,E,D,B,1
Yes,43,-118.47878357870255,-102.56239142414863,-169.7011077711126,A,D,D,1
Yes,57,167.6577069374252,-125.67673087443565,51.986886766802385,C,A,B,0
Both,86,243.34849603878905,32.911660325191555,74.73300339385071,C,E,E,1
None,23,-35.234880151338885,83.86893428904571,5.91157999364772,D,A,A,0
No,22,-90.92516975373225,-74.62677580019688,23.440330214397484,E,E,D,1
Both,69,-32.59951776699773,165.82068567839863,43.321879876698446,A,B,A,1
Yes,45,61.60820886943357,-94.31653022775916,4.713446948981627,B,B,B,1
Yes,84,-31.90919397920463,-6.297019924831675,-109.52158517012576,E,C,E,1
Both,87,-25.661720350506684,70.49400454506308,207.8014021523526,E,D,A,0
Physical,21,69.97141640975345,47.00778937267091,-69.33214687124138,E,C,D,1
Both,99,-82.04633963817847,-4.797769623890929,-113.52595270104666,B,E,A,1
Physical,87,-200.85706373606445,-26.975019476232255,-123.05925381839056,C,C,B,1
Physical,92,-25.701785022816846,-12.051580625378206,-96.86157259276995,A,B,A,0
No,99,220.51339350223506,28.12097260849566,20.025254984806118,B,C,E,0
Physical,79,9.879675498126012,-217.5462784737342,-86.10909622842757,C,E,C,1
Mental,83,92.54682409014286,-41.81339961908813,80.15537120410194,B,A,E,0
No,26,120.48855108627738,34.608517848011736,-117.37998215189151,C,C,C,1
Both,67,-97.85658641086263,-205.10305732267722,-87.98085191626294,B,B,A,1
No,44,70.53690266704727,-151.8668871352149,4.5528438652486045,C,D,D,0
No,76,-53.2553199729284,-39.35039024450523,39.86424562665197,D,C,C,1
None,37,149.08175040838628,143.67387404246375,68.9310988017233,C,B,D,0
None,74,-302.12836202447676,-270.42957393055485,-30.884645122477718,C,D,D,1
None,91,217.97826137838553,168.11061494726593,61.58241638025306,D,D,C,1
Yes,75,163.96699211568057,-140.32013092671886,105.13047525029002,C,D,B,0
Yes,86,-47.08335932451998,-117.45818268358501,-30.156093588076256,E,D,A,1
Mental,98,-47.042510065604844,30.90646243147764,-167.4298421381535,B,B,B,0
Physical,86,6.601011657619058,-4.61879748459366,-165.80625564539167,C,D,A,0
Mental,83,-112.26217604724549,12.988794389422406,-77.85063654428008,B,A,E,1
None,43,-36.98649115640906,37.50566824996355,-73.89392534358508,D,D,C,0
Mental,78,86.83421075268734,3.2639113536437447,132.37606753848925,A,C,C,1
Both,57,-50.37790664942007,10.206687146905356,73.57307086523072,A,D,B,1
Mental,85,-89.27538556530716,132.53583140185674,-21.606616959251056,E,A,C,0
Both,60,-133.6569537236257,182.8672466107299,56.16480623918824,B,D,E,1
Mental,72,-128.26000184952187,12.206401633102839,-64.07753549437604,A,B,D,0
Yes,78,76.79134825403511,-118.80842669925948,68.92222870520412,E,B,B,1
No,40,-75.15666583488382,-26.247993327326935,-77.92565232093185,E,E,A,0
Both,51,-42.83089294995865,2.532391250761534,-36.2778311165419,B,B,B,1
Both,28,62.468803344270164,-67.33163550499047,-30.51839924629356,C,A,C,0
Mental,69,63.64697788566824,10.727763797489422,62.578005927256875,C,B,C,1
None,79,5.840883031437494,-73.87820495886693,174.3121153677822,E,A,D,1
Mental,56,56.8623923477514,-43.36760171696504,28.830104289543485,B,A,C,0
Both,20,95.86328438509493,-21.173664880817967,-207.83039352716887,A,C,B,1
Physical,89,-121.48538748432556,-121.8000367173238,-46.842054871620604,B,C,A,0
None,90,-5.68353480234959,68.83921438754477,21.30142830384164,E,A,C,1
None,72,-53.129942317994605,73.54008903691962,-153.22653211697525,D,E,C,1
Both,28,-43.18096755200651,-127.7348785713907,-28.84058854984195,A,E,D,1
Mental,65,113.50986052937004,111.28341224543112,59.40786408351951,A,A,D,1
No,71,81.63442586942249,-21.838514965379144,30.85743874435351,C,D,D,0
No,92,106.015158174229,-57.13326242674172,-15.30708744611271,B,C,E,0
Both,63,128.93029818124944,-63.82145298890784,211.6803835905194,D,B,C,0
Yes,96,-90.84710335450553,-40.26820192894746,-122.40215473920712,C,E,E,1
Yes,37,-143.32979217564002,37.40074766939507,-82.92372375447901,E,D,C,0
Yes,52,113.94763313703945,-29.888905702395636,109.56916887857622,A,C,B,0
None,28,40.72600265006952,166.9938948023817,113.80376849546371,A,A,C,1
None,62,77.74044356560917,82.21431594835077,-82.40866008524169,D,D,D,0
Physical,71,-88.02344610232839,-33.69943549073662,194.82419734881037,B,D,E,1
None,59,17.46839643710114,196.69856740851216,75.70841721208576,E,E,A,1
Mental,97,138.46211703200183,-51.9096660853218,-175.33353071510726,E,C,D,0
Mental,22,82.24466897033092,-141.32960251099234,-116.9799854636324,B,C,D,0
None,49,-25.813160560918625,-8.915210805877445,-12.785162650245379,D,E,B,1
No,90,67.47148801761259,40.572842867025805,-16.320739687089592,D,E,A,0
Physical,89,136.26386683691314,29.09658579378145,122.28469007563352,C,D,E,0
None,50,79.6673797600521,78.8993976625088,91.53344199229225,D,E,A,1
None,67,-161.44063975661572,33.400125877461456,-45.53113678005498,A,B,A,1
Physical,95,94.70383456559539,-19.016625574380612,81.35470426611853,D,E,C,0
Both,78,59.04461376433753,-0.3073106414864848,-142.8524450397025,D,B,A,0
Yes,70,41.11222367285815,-114.8047735524746,10.048582684224714,A,D,C,0
Yes,32,52.75353468827168,-9.628381958878524,-74.36589554872963,A,C,D,0
Both,84,-20.930894040669575,-36.81609227525408,-1.7350763539888816,A,A,C,1
No,60,162.87416313027785,236.35523390375303,52.85951563236231,C,C,E,1
None,96,13.803419827968892,91.9315161932047,-139.829787167817,E,E,E,1
Yes,71,7.697812588534882,162.36096435014133,-76.31015944720845,A,C,A,0
Both,61,-136.04204235604686,-3.6846653846917246,138.15957157746297,B,D,B,1
Mental,65,223.4082266786289,56.356314360108605,-55.75770939570256,A,C,A,1
None,19,-149.1418294879444,-95.53274953537729,29.057404158974265,D,B,E,0
Physical,75,66.86753409212801,33.61773935489127,-8.053293900832346,D,E,A,1
No,64,-45.66115439427932,-191.6416735113438,54.09253476463365,D,E,D,1
None,91,-161.14855511060048,-150.85127082114977,-93.18994377873719,E,B,D,0
None,53,-38.107204913693806,-77.6734734886545,139.5189454930839,E,E,C,0
Both,21,-67.63253193371142,-193.4687804783796,-151.477232210656,A,E,D,0
No,63,23.36225224234247,-47.07965152022609,75.59747762195275,D,D,E,1
Physical,79,-43.724354529569446,-0.19720401763437403,-28.648228003753633,A,D,E,0
No,75,78.19507184379235,147.89823187459407,-62.08814465316941,E,C,E,1
Both,35,-182.1593499126862,195.05712548084207,101.43870229919258,E,C,B,1
Physical,89,-101.24742689738643,57.274058860343644,72.32815731578744,B,B,E,0
Physical,66,-148.15412981924413,-30.292192731702315,-172.9964790928698,D,A,B,0
Physical,35,75.54193704431941,-128.27639964012957,-45.21900793620717,E,A,B,0
Both,98,60.68125040236468,87.02880402962185,112.98439438010992,C,B,A,0
Physical,57,-83.69569863070977,-309.63694126418045,-117.23446241042978,C,A,C,0
Mental,74,-6.076376441291564,126.41776834047383,155.70823061194602,A,E,C,0
No,33,-139.69693759018227,28.31249011181435,-82.00803509092026,C,B,D,1
None,75,21.4153176524823,48.933533826154616,55.458573861788,C,E,E,0
None,72,34.03345292736604,31.60545983838502,-5.569889204540333,C,C,C,0
Both,84,29.330833667223438,45.33274228813236,125.08856163311424,C,A,E,1
Physical,52,25.411767365370913,-61.3763399524117,-0.4385838965932633,E,C,E,0
Both,76,28.349424218233732,34.08530962809715,-86.04253003012913,D,D,A,0
None,31,164.17558603285917,167.47877986288063,68.99201145726873,A,B,A,0
Mental,27,-150.48457416163086,-56.12654469533296,102.72336452127905,E,E,D,0
None,79,110.54540769704371,-177.78582394786542,-32.815409063347914,A,D,B,1
Yes,50,-139.2524631773352,25.69319122847186,116.23445505939907,A,B,E,0
None,26,208.066349860674,124.26088261541454,-81.09237329110076,C,B,C,0
No,20,64.22217929412585,115.98412298035257,116.5670253735962,A,C,A,1
Both,22,78.8136309548008,-207.3490789183809,117.84713180529245,A,A,C,0
Mental,50,-275.1822769221142,-76.30248064513337,-64.4161824420338,C,D,A,0
None,50,-33.66600287020227,-88.99183914765027,60.82985285546969,E,A,B,1
Both,29,73.7900061607503,140.54068003910677,290.52186324399736,C,A,B,0
No,53,-10.057963701714193,138.38544048522868,141.71076094939187,E,A,B,1
Mental,30,32.17251353959023,-121.2116181293553,118.92723174188673,E,A,B,0
No,66,-160.29786486443675,-52.782198673136435,79.95407089478965,C,C,B,0
None,47,36.71062521646132,27.729499306108345,125.52258445962876,E,A,A,0
Yes,78,31.94057826687976,-49.18094700999725,-98.29079439996713,D,D,D,0
No,85,153.58467895351978,37.44691401017621,26.30341553091295,E,B,E,1
Physical,90,55.841494276310556,-15.43533730306725,-27.40379374945524,C,B,B,1
Both,41,41.738855407104644,53.398435174205375,54.33823721818909,E,E,A,1
Both,55,83.2865940037359,-31.204965826378867,16.800976354090533,C,E,C,0
No,38,-144.52097210753425,29.191803724762348,-15.193750979418356,A,B,D,0
None,55,72.98666777288331,-70.67056371047717,-57.349770156385546,A,A,C,1
Mental,94,55.64049096333895,-114.52034362220822,28.647653227089897,D,B,A,0
Physical,54,-105.43038317689914,73.42969386075092,82.53681763133291,C,C,D,1
Yes,41,-148.97044725431257,-17.65749255393815,-72.87973019405635,C,E,E,1
Both,98,-26.413134149780948,-120.21878220514999,-29.13830245413968,A,B,A,0
No,87,-31.512388141988463,-269.9817708333248,-104.17046376402439,E,A,D,1
No,18,58.41346879938618,-8.62992282999932,-28.750753344379092,D,E,E,0
Mental,33,-115.99775327586647,244.82726930281208,56.17085588389033,E,A,D,0
Mental,32,-51.071364433711906,-139.90974204244517,281.2021801151859,A,D,A,0
None,38,-36.130944651969486,10.381062150440108,68.1196439996767,D,D,E,0
No,70,79.94012382671329,-58.62918189067665,10.55869571405089,B,A,D,0
Yes,34,-65.35473530582173,157.55013912855878,56.15214143748399,D,D,A,0
Mental,83,-103.43318898946538,-30.435210676249024,0.9087342831010851,D,A,A,1
No,57,-76.00817499794512,30.508047373928466,-52.88269752441225,D,A,D,1
None,62,138.946616334918,-102.76608472996752,-35.096625911081865,B,E,A,1
Mental,90,65.67997855648024,-50.47947752663546,-7.419628178183904,E,A,D,0
No,83,114.36036825764835,-21.94131418767654,159.5971182378007,B,A,E,1
Physical,76,-5.687627332364887,-57.82237192388231,78.5400748146127,E,E,A,1
Mental,50,10.520440761133008,-62.01084620074714,-113.11821126826693,A,A,D,1
No,61,4.952308621671916,96.90453475065074,66.9054830694907,E,B,E,1
No,18,-115.48663225385111,53.309613398469565,105.17090588788245,D,C,D,1
Mental,89,42.49029620738938,-49.692986591163056,4.373612770306876,A,A,B,1
Both,97,38.226865634252576,11.851015076595628,-62.69036451372641,A,A,D,1
Mental,44,-72.26298864440584,40.62503073207292,23.438365608749752,E,B,A,0
Physical,85,0.3928277976290166,98.70006717571165,132.84998593066243,B,C,B,1
Physical,76,-130.23558906540066,-107.33518947583096,-3.1343151000422225,B,E,D,0
Yes,53,15.694266522729533,-111.50046171191002,-126.49885984933329,E,C,E,1
None,64,-175.96488762990543,59.85145480386145,-24.1671336417204,C,D,B,1
No,45,0.39878702868827015,-100.05986914638754,-13.128711048703309,A,C,B,0
No,21,162.21539194881782,118.44831060332778,205.23182128154312,E,B,C,1
No,56,17.327310906450442,-7.014326313516911,73.52677162626388,B,D,D,1
No,47,17.177698444251206,16.9569744852786,-4.452348542740854,C,C,E,0
No,99,-168.6681642492409,83.79400324528022,22.84114034551801,B,E,A,0
Yes,38,-23.922426920062268,63.22615117288568,-211.26040564265048,B,D,C,0
None,90,80.86008239898672,-39.31644398056366,60.540948297843336,E,D,C,0
Yes,88,153.49477732962356,-136.1503883228538,-30.59910984247826,A,A,C,1
Mental,90,-85.92887905908471,69.66687910938941,-61.81374094568296,E,C,D,1
Both,22,168.40093189106065,101.81231487866546,63.351012102246486,C,E,E,1
Yes,65,80.53917922742305,186.20964121732305,-139.92118677157802,E,D,B,1
No,56,-17.624762360982086,25.797509030958338,62.575033997913124,C,B,B,0
Mental,26,116.1846926656259,-96.82689783714544,37.364061266402864,E,B,E,1
No,45,-45.040660170062075,-45.50587866073323,62.338820390768,B,C,A,0
Yes,89,20.173694351809875,33.601230197953484,143.68618485380634,A,E,A,1
Yes,30,34.923060251924554,-42.11445387737474,56.27636022503858,A,E,A,0
Mental,33,-47.92644827681833,11.709289639243075,-53.817505281610465,A,D,B,1
Yes,30,113.91773084558055,-64.50798954683353,-46.6863398797731,C,B,A,0
Yes,84,-6.500800003871079,-19.660984498112978,84.53374831325627,B,B,B,0
Mental,47,-47.859043869875286,-10.682147110512833,139.8202364238557,C,B,E,1
Physical,21,-19.519632511308693,322.5168837176136,18.663055653316512,C,B,C,0
No,18,-8.204902911485288,190.2198036557367,-98.4618364184081,D,E,D,1
Yes,27,130.10934923062138,85.97636084312265,185.8292473269116,A,B,C,0
Both,60,149.5950283429827,4.069858252478646,-107.14712332158425,A,A,B,1
Physical,46,149.7603507286417,-27.20113313098272,-58.909288861778606,A,D,C,1
Mental,65,15.55638288153249,-27.283050156581858,-110.30711052283664,B,C,E,1
Mental,56,12.736288482307941,66.68625946459065,80.37715939250096,B,C,A,1
Yes,73,22.163401880305845,48.389516907814105,-132.27282886106724,A,C,A,1
No,77,19.364698561221733,84.95762588329411,74.18568089698243,C,B,C,0
None,44,-55.493606525985626,-65.47345692377806,133.19121912724214,B,E,D,0
Both,29,231.4908298989701,-178.6450094552851,-53.00015956475964,C,E,E,0
Yes,99,94.9051669331232,15.620785266155924,69.27708632695848,A,A,D,1
None,75,-37.03599046181372,8.408395962052005,-149.59268780333204,E,B,A,0
None,63,-49.95568949374846,-72.69723838558471,-63.094928742817835,E,A,A,0
No,46,94.52420368887655,188.4736261603508,78.52014744375529,C,A,E,0
None,74,109.49648837674107,117.72309682569282,28.077624679839364,E,E,C,1
None,82,15.26516965187073,108.8544466712133,45.58824311303089,C,B,A,0
Mental,87,44.250477459511,-14.63090697577961,-103.50142658967944,C,D,E,0
Mental,68,-6.37756504502198,92.4815896210493,-6.802503993347808,C,C,C,0
Yes,34,40.844741439655614,-39.66733655463855,-42.21541543973133,A,C,E,1
None,59,-210.67177597428346,110.86243594433014,-0.7846160398074972,E,C,D,1
Mental,70,124.26000861080428,54.10570690429779,196.45712839678714,E,D,D,1
None,50,-9.010654870812623,-77.15516242327945,-96.33820570651926,D,B,B,0
Yes,38,-51.300189754367494,63.98316671649621,46.717271246180324,E,A,E,1
No,69,-31.627572850435282,-86.9103054270239,-6.184512205268616,A,A,C,1
No,62,-108.33411236780093,-8.87553209193997,113.7941297041682,E,A,C,1
Physical,23,-22.82667873086421,-15.518894776413333,-59.82132479578068,D,C,C,0
Physical,19,-33.63595521252265,119.84486589341181,125.54376457412253,C,D,E,1
None,60,-18.029696142288216,-57.61061555333401,-74.5266778563869,E,A,A,0
Both,21,-102.72648927737775,101.46168557908692,21.64753757525505,A,D,B,0
Both,40,121.98471768810775,-17.195343822129153,-35.650664345354805,E,C,B,0
Yes,33,40.89322053179154,-369.31364564152665,168.73352236012147,A,C,D,1
None,59,20.513710483737885,50.45661529958342,-85.12190584548269,C,C,D,1
Both,31,-6.742197207467574,94.84403229572409,-100.66667245078304,E,E,E,1
Yes,47,35.56563637519685,56.90727588120178,48.515802277527,B,A,D,1
No,82,-20.94299124262065,-236.49815002235636,64.85591119594999,D,E,C,0
Mental,53,113.35878698814685,31.32500020193008,92.79897825610715,C,B,D,0
Both,61,-85.28471818139339,-65.87189133888194,-33.21761867780816,B,E,C,1
Mental,76,-130.82073006395382,79.37588462679274,-21.50443558343014,A,B,A,1
None,48,-40.103470917132306,-108.5621836793673,44.894473641113194,B,B,B,1
None,81,-81.16360831009654,-146.6478647100113,-45.72988571517856,C,B,C,1
Both,35,34.368469943266014,-18.236690437196916,35.69601283245474,A,E,B,1
Physical,33,-81.5363666485258,76.82890024322045,35.784130386252706,B,B,B,1
Mental,66,131.3020325207705,161.18364841641272,-86.35990436812678,B,D,D,1
Yes,29,6.365519645017501,161.89778588660033,124.67576247022399,A,D,D,1
No,54,-63.37478101771015,13.148131884549501,-85.2564892677146,B,B,E,1
None,81,7.197010043996016,-145.03337538357954,56.15734624228653,B,B,B,0
Mental,65,-145.72071223251277,114.69208909887334,183.69389371262886,A,E,E,0
No,64,-79.01187106695042,-125.78115046955966,-20.682025855274382,B,D,A,0
None,52,89.91973158209944,46.93560594473102,-29.871798503208215,A,B,C,0
Both,18,43.16925195706677,-128.13114687577118,-2.3576553348526885,C,A,D,1
Yes,80,66.84819398915187,19.55737437762598,18.801362716252555,B,C,C,0
Mental,23,-191.24075955965154,23.359777231230396,6.62395684612204,C,B,D,0
Both,74,91.90388477046794,114.55633578666964,69.71379878092752,A,D,C,1
None,36,-56.470487217885754,40.15403647080448,28.267627196788958,E,E,B,1
No,59,-76.18920304819191,42.66964652418745,71.69506981325478,E,E,A,1
None,36,190.2516205464832,199.54619933640228,-102.17438057071506,E,C,B,1
Mental,70,-112.1359050908762,148.55218945289388,-53.80666930067125,A,D,E,1
Mental,21,38.71732324393886,129.50639038523437,70.58366978155524,C,B,D,1
None,74,-46.278054137858874,52.46608227647906,79.19269510916817,D,D,C,0
None,54,76.93906970318399,77.42004844564113,-87.01559992318607,D,E,D,1
Physical,23,-20.959664194585955,204.0552765300344,-102.32098541406596,B,A,D,1
Mental,93,95.97284562783922,82.75219640474012,-82.4358901914719,C,C,D,1
None,59,-129.62265333184726,-74.80906062320639,92.93452457451643,A,D,C,0
Both,57,-171.21499597184734,54.64146129180051,94.05864177796762,A,B,D,1
Both,44,108.9622712265485,-3.0665120274802136,-135.63336139098897,B,C,A,0
Physical,98,58.03858127669238,220.54179768538899,-89.59514334004015,A,E,A,0
None,67,68.01380215978455,-102.21261592800602,-85.69901832459576,E,C,D,1
Physical,56,138.95376233533833,52.536224025953416,31.190684334311204,E,A,B,0
Physical,57,-36.87979938446323,-35.09334741048097,-60.94436334907534,E,D,E,1
Mental,97,-106.4304854226624,99.88775894061563,-65.14469912692022,E,B,C,0
Mental,69,-25.174227209481902,191.8156753199727,-124.56258726670188,C,C,C,0
Physical,82,19.040541031611294,-25.8131885866466,4.378663299924723,D,A,B,1
Mental,42,90.35214904953847,-36.1919963494544,182.61859325378785,C,B,A,1
Both,54,-72.80391902712039,-44.76487934742808,11.967479467176513,D,B,B,1
Physical,42,97.45996929152751,-124.88084249790587,121.61486782590684,A,B,B,0
Yes,71,53.32048431156514,22.36873356198593,-67.3470254699086,B,D,C,1
Yes,49,-109.69323490259846,201.77508221482313,-19.57592424860578,B,E,E,1
Mental,65,-57.551923410275016,-113.0439460270465,-110.34732273376315,B,D,A,1
Mental,88,153.33696733910946,159.3971242769686,96.7167602650448,B,D,B,0
Yes,26,25.36288038419352,-2.826295190756521,77.9680091284409,C,D,A,0
Mental,35,-256.68422255000127,-145.65842802276242,106.23934418355283,D,C,D,1
Both,25,-35.66190566103595,-103.57920961688556,-113.2172225473954,D,B,D,1
None,95,86.83206358754528,17.723173858500616,-37.238950477115765,C,B,E,1
None,92,33.31973231037327,-24.52629753101107,-8.17113239039057,E,A,E,0
Physical,54,78.69965865656026,-55.92646136370034,57.62741579128874,B,E,C,0
None,41,102.15194234754314,-48.04692084425165,44.9769906479096,A,D,E,1
None,83,-85.49788061429634,1.1935486542355558,-203.1147163435472,C,C,B,1
Both,75,1.8408049611106294,-102.08077784176494,-27.567677400358093,A,B,A,1
Both,73,82.3698227290974,127.20570064293484,119.10031909488058,E,E,C,0
No,51,-126.75838872043568,-74.3038115375775,7.768259689196409,D,D,A,1
Mental,54,38.089319699695764,-89.1082506731257,58.16520397354089,E,D,C,0
Mental,91,-186.1060702831891,125.52711071979346,-85.96974024828047,D,E,D,1
None,56,49.251809396197494,191.39385238998844,4.625501232589993,C,C,B,0
Physical,43,80.29329312023926,79.5329567650845,146.56273521610143,E,C,B,0
None,43,-66.27732626749163,-20.176271603261235,-103.06323294948395,D,C,D,0
Physical,70,-50.812353025721926,-159.23381110349862,26.213853941017977,C,E,A,1
Mental,44,-119.77092102933756,16.212562598234168,-14.274186414825465,B,E,E,1
No,61,40.16001220708098,-102.06975886844778,-19.156637543477046,E,B,E,1
Mental,47,-110.21350606526252,-25.30661601028227,14.209827676010272,B,B,E,0
No,73,53.932404667047365,-86.69329466595386,-149.07973242338574,C,B,C,1
None,30,-15.579169402659993,24.344958160550455,63.60033283020252,C,C,D,1
Yes,43,-2.923691035551464,-76.9128608170559,161.60766536713928,B,A,E,1
Physical,89,67.79438235597031,149.43578075666863,-84.23286504186622,B,A,C,0
No,20,-128.91605568637758,-19.361446887470667,73.70520029942331,E,D,C,0
Mental,76,-60.50860507791459,19.764077246071583,-31.32061279120657,B,D,D,0
Physical,27,-40.509332074749224,-53.10819386067257,-126.2544996946549,E,C,C,0
No,50,-74.02614564381324,-52.461439080249164,45.65116580377797,B,A,E,1
