gender,country,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
M,Brazil,Muslim,B,-13.978926817424902,205.01457929051261,E,156.55471148937195,91.73683122620496,274.2103413617893,A,-114.92159788908634,E,-146.67279952979266,C,D,0
Non-binary,US,Hindu,C,-183.55068796514317,178.94596785286575,C,-45.74476753444781,103.25186737278398,142.5502570466004,B,85.82482746434408,A,-41.34839531861354,A,E,0
M,Brazil,Other,C,-177.56519808505374,124.34391672644605,E,-23.990353325382742,81.87688595123744,46.26677085843296,C,-3.0337125341090303,C,82.8311192183926,B,A,1
Female,UK,Other,D,159.8181790236525,151.88879975276586,D,194.86377532106687,114.03180654615777,196.57810702140372,A,0.9790686081242413,B,-51.20245363495029,D,B,0
Other,UK,Buddhist,D,-38.94181455024662,-93.84517741770277,B,61.731108856444074,-51.72250596262018,-198.8627958675413,C,19.15214467256433,B,35.019091761994055,B,C,0
Non-binary,China,Muslim,E,24.28222210411546,-165.69731686804644,C,30.00221256620948,33.34234178747988,14.11824497596193,E,61.044244186418915,C,133.0201022988658,C,E,1
M,UK,Christian,C,5.1185832419649815,-44.01597620944974,E,119.96364633449879,-54.68391199374487,-27.62431501765017,D,7.540343498017249,D,135.81835245777293,D,B,1
F,Other,None,D,75.4049288263279,-62.83135930417948,E,21.592483337718022,-50.38519545571462,-17.254914508507987,D,-100.89139429662433,B,136.35960102833818,A,A,0
F,US,Hindu,D,100.055974978779,-110.56974805803996,E,-159.6293459751119,-175.2271556720514,70.97387161837,A,64.32008915120471,C,78.7248630109703,C,C,0
Non-binary,UK,Muslim,B,-82.22689399619969,-55.196676517226926,C,-7.988270728320362,-62.17436298991596,20.99928706480671,B,-110.93858080918915,E,-38.30405734951461,A,E,0
Female,Mexico,Jewish,E,110.38882803674372,107.21640485245037,D,120.49442987878135,42.61150792764068,4.585891383457977,D,18.25821390132296,E,44.40650021851482,A,E,1
M,US,Other,D,-89.16734761667702,-175.82141050591028,B,-24.297983715720704,-36.831920223400886,112.73510556699901,D,317.0672091295116,B,9.983627454287193,C,D,0
Male,China,Other,A,147.65391661709384,105.61588061758643,C,166.78060440901197,54.788255178260535,-43.55114204437249,E,-208.1864226507057,E,10.985411131334885,B,E,0
F,UK,None,A,58.75328302516623,134.730465977378,A,136.53354678374515,12.131439775749392,-149.30767916673648,C,-45.30129133119028,E,-78.51213014804053,B,B,0
F,India,Christian,E,128.05921815445512,-45.43690811067878,A,-74.85311386762818,-69.85425077408762,-91.49705542242509,B,98.77587302646475,E,145.50993203774166,C,B,0
Female,US,Hindu,A,99.6531839103042,14.577386015339183,B,82.73972231717633,-85.22815689662922,-141.3321725374221,C,48.06480312528619,B,-125.3301598621718,E,A,1
Other,India,None,E,-224.00364582795405,-25.736237835430025,B,-62.667934086410526,50.35847296546476,-96.02399415607094,A,-59.71231752267854,B,-26.51127316245964,B,C,0
F,China,Hindu,D,129.14629424933293,-82.58913205760207,B,-220.0821915977772,-34.78532315798192,-102.18620951537463,D,-57.418255574851216,A,138.32036512331572,C,B,0
Other,India,Christian,B,74.83333790255486,107.59338039521626,C,147.98324792658838,-144.60600200911264,16.873985766867776,E,149.45053774617222,D,-107.27444980808454,B,D,0
M,Brazil,None,E,1.3099191951892912,-136.1852417528815,E,-42.599858611895975,59.41605871351913,-90.30834406144488,D,16.42441450555705,C,-31.380452942386782,D,B,1
Male,India,Christian,E,57.20751064750099,78.5180588369807,B,-29.83124361064644,20.319038792500315,-116.07852481340657,D,97.46878205727143,D,24.572994392377094,C,C,0
M,Germany,Muslim,A,144.16398353674853,-34.01673940614397,B,41.2196136034025,8.510234610988059,137.04494371901305,A,-25.746125904342556,E,-115.2592215944883,C,A,0
Non-binary,Germany,Hindu,B,-92.72978652769687,-27.60133584734011,D,-60.51876067703412,3.710740877255618,-167.91430401294173,E,-51.60390805054279,C,-73.23756166594706,A,A,1
Other,Mexico,Other,E,-227.95155404939607,-17.740391720697364,B,11.050074366222557,68.91846560070755,-29.633336783346543,C,-95.03951709095514,A,203.1081715644076,B,D,1
M,US,Other,A,111.73067872136056,3.649540028275732,E,-152.60548659222647,-100.10060316057887,10.78735312093793,C,60.64621737783605,D,-180.50455593909726,A,A,0
Non-binary,Mexico,Hindu,B,109.12924334564539,-53.66832787484926,C,-114.47004226656661,4.962824581281647,67.33381404877379,E,7.409545880884851,E,-83.34116526624855,C,A,0
Female,China,Muslim,B,-38.53343071392746,33.55528697132127,D,134.27146275339814,22.612069625362288,-68.57371963062369,E,-109.09986027658232,E,-16.210285602485502,A,A,0
M,Germany,Christian,D,-122.05577026400954,-109.11558026707479,B,101.14309142017102,17.26482797442618,-14.897594285547994,E,-12.036231968334594,A,-35.123089921816145,E,D,0
Other,Brazil,Jewish,A,-74.85688531743112,-112.32789655124351,B,108.43800892591776,-212.66980124563918,3.674913473861939,A,-67.68445625520579,E,38.96756592321459,D,D,1
M,India,Christian,C,-188.7334928102992,75.50863167130957,E,-153.86198570185985,-29.055380635255062,-25.72834891390969,B,3.7458795108794054,A,42.566570500845586,C,B,1
Male,Mexico,Jewish,B,62.143473355152246,-48.89551108938254,C,-127.12941842752062,-47.15442755234708,65.16234388997164,D,-197.61213536588374,A,144.92394305293087,B,D,1
Other,UK,Jewish,A,73.49311221489494,21.789106363561473,C,-32.99036645108544,130.9460058460408,89.50154997296247,D,-49.050975882476486,B,-219.7679516323954,E,A,1
M,China,Other,D,160.37011761989223,-116.31553194185122,A,6.047858056187945,3.1666072602416246,-128.81406023484087,A,-123.93664935503605,B,-69.62820208887271,C,A,0
Female,Germany,Hindu,C,-14.702518496147016,84.9003932619385,C,34.19555954527352,-7.36304286055016,55.85452334805466,D,-6.830475187798085,D,-127.75856518825093,B,D,0
F,UK,Other,C,-172.7771280921349,-149.09642178501576,E,34.764466527131596,70.87842015581717,20.33523644923332,C,-0.6747850796414699,A,-53.728790223622305,A,A,0
Female,Brazil,Christian,D,169.20464968748627,-0.2214409560173083,A,23.094248117506766,-106.4251499330028,125.5114763714376,E,92.84878582741572,D,-154.1487576310336,D,D,0
Non-binary,Other,Muslim,D,-103.33511213241167,136.04211446967525,B,-14.125889103881391,-73.64567216912941,175.42591639586612,E,-54.6243419774236,D,-41.595911902445344,E,D,1
Non-binary,Germany,Muslim,C,-133.5724277183346,-49.58731496020749,B,23.95152556421524,31.917449501640526,-150.66996457816043,A,-20.309498964635527,A,-7.7236294411117425,C,B,0
Male,US,Jewish,B,94.62629230838819,-55.95657893411655,B,-9.878383916116752,-288.73744456751575,96.55294862667685,B,-44.98428614535941,A,-89.40534570886162,D,D,1
Other,Other,Jewish,A,47.41733327450058,131.23041482998764,C,-95.46373763552413,11.290783242583588,-36.22943430431462,E,-179.69243186508072,E,113.07172140590514,D,A,1
F,Mexico,Muslim,E,-29.365608746230553,115.24301292552694,B,-10.44560899582976,-104.98814710968875,25.056020215532737,E,-24.072390192042548,E,-125.59533822907241,E,A,1
M,UK,Buddhist,A,-48.80764203148747,-110.71024751998999,E,-97.78370531448533,-31.477919910882964,-28.45026821336888,E,-124.61453150582341,A,59.87832078999566,A,D,1
M,Other,None,A,56.47752996537129,-56.473948579352516,A,-49.74827894665389,-43.17760979838565,109.49378054654848,D,52.042579286816746,D,155.34543734450688,E,E,1
Male,Brazil,Hindu,B,126.29384362531428,-8.583707586292384,A,319.56421308278925,70.93961948337142,42.303565873142226,A,50.04029399707049,E,47.1334635180921,B,C,1
Female,US,None,B,-31.463106479458926,96.33480545812992,C,13.54576164323888,13.850738775948582,-147.35306872783082,B,7.088181266428719,B,47.44956083907793,C,B,0
M,China,Other,E,-35.81416999275628,-136.6800797074601,E,105.51852486761786,10.98335893595472,-16.72058917630481,E,-127.66849969167879,E,-44.219857336077034,C,E,0
Male,India,Muslim,C,-116.12161883068946,14.344092259937547,E,-27.21121161824361,-89.67109158901668,-135.10811070604302,C,-137.57232303684478,C,-184.19851577264376,C,E,1
Non-binary,Other,Other,D,218.13563413462606,4.962675958715256,D,6.705761397864111,24.576887584591653,79.01521063711789,B,-39.362625261417584,A,230.81726784225424,A,D,1
F,Germany,None,C,-79.89609561539088,158.89750635453566,A,38.12263379429298,15.19527085168138,-96.87915208878711,A,-169.76362989921822,C,101.85073295779223,D,B,1
Non-binary,China,Jewish,C,-70.55640402538393,8.65473101084425,B,-156.1163971464226,-162.7716813971325,19.6929269344702,D,56.918408008537924,A,106.04930746788028,D,A,0
Male,US,Muslim,A,-8.18843119656314,36.324788079854336,A,-58.131103191264344,91.10217441319092,-137.95497569205492,E,-187.64315848498097,A,77.3598757992218,E,A,1
Female,China,Buddhist,B,-11.116801430757805,-100.94870424904101,A,-135.9251252776686,67.13424856355282,-38.4131447690353,D,91.46605179501583,C,-111.09437893383345,E,E,1
Non-binary,UK,Buddhist,E,-131.08967231164024,-38.64832896618599,E,-216.30111589683844,-144.39855903524094,50.12063439453656,B,61.935523916887824,A,-29.10467195985585,A,B,0
F,Germany,Christian,A,-79.40026518877168,134.82716886035806,D,34.113514465953926,-12.904111302073499,-95.61908120953967,E,-192.33443631402517,B,-146.92568930853938,D,C,0
Female,Other,Other,C,30.927669851827293,-21.157809131802622,E,75.53351884366792,58.349100478669854,5.641475960313325,E,-114.08444560034275,D,-64.05612205370275,D,E,1
M,Other,None,A,44.19435532322023,90.48570489754533,A,83.6217446538022,-63.638882278867705,90.58150504158641,B,-32.723242003104744,C,69.42507666815382,C,B,1
M,US,Buddhist,C,43.77957068106533,5.715112309158508,C,3.364870539471587,-132.88382217469973,-38.72596179975522,A,14.782992935973951,E,-49.04298667489863,B,E,0
M,UK,Hindu,B,-27.160225315364894,-81.41526287575763,D,60.45702134451743,79.18045989979665,-30.15384558135384,E,-17.354420766018983,C,11.53116176266103,A,E,1
Male,China,Buddhist,A,-62.00763460885263,-48.43688319084299,E,-98.77117068895328,46.256687619805255,94.34318671779629,B,-69.6367253342353,A,8.900009002818457,E,B,0
Non-binary,India,Hindu,C,122.8821637721435,184.986461978848,E,4.90214606488897,-176.77452253174894,91.04381936538158,A,12.656340779386726,D,124.6322624266634,C,E,1
F,Other,Buddhist,B,2.931509891673362,-6.092523904779188,C,167.74927277617894,327.2184745726377,-17.351919677983478,D,-61.1312170468229,E,-23.43263626531241,B,E,1
Non-binary,Mexico,Jewish,B,44.58034422868424,48.16900127594573,D,-63.06316413688492,-237.3471994242389,-15.419387384239913,C,9.625033617854562,E,-18.33362802718871,A,E,1
Other,US,Christian,B,115.14093276926663,239.1389503838604,A,77.3315462759817,18.71361083910004,46.19983935356034,B,-31.14182812438433,C,-33.79042470329359,E,E,0
F,Other,Jewish,D,-266.5334750737791,41.498986770202826,E,-113.0750075480625,40.311233883605496,-169.69420768545206,D,26.73860097629283,B,208.32265075723916,E,B,0
Other,US,Hindu,B,177.02197915351724,-77.85370984804325,D,-39.642978098500805,-37.021783891802905,-34.128820461964494,C,-67.94813771673785,B,-119.67093646478757,D,A,1
Female,Other,Buddhist,A,-111.86459768052173,30.9307595483492,B,11.402214589924686,11.90240675077685,93.42484872990468,E,94.94337397588004,B,-80.04423235479588,D,B,0
Other,UK,Hindu,C,251.47160615063578,10.214485201077068,C,107.32108525640803,-69.71106698311374,32.53182251844031,E,-41.783806337410404,C,-141.10714164506507,A,B,0
Male,UK,None,A,-130.7583661179013,-139.19545406981914,E,-74.2709349071183,39.699817405618994,237.69781671302792,D,-72.39518120370565,D,-41.61012989365577,E,E,0
F,China,Muslim,C,-3.29198816201068,141.07946559946583,C,155.90199216515802,-121.70831181448314,-35.02905576407364,D,-65.48297278386738,D,81.79095558542502,E,C,1
M,Germany,Muslim,B,13.505209969479534,199.23685603724937,E,-21.708307765201997,313.7813320917265,-105.74852278532643,A,-152.00982140069243,E,-53.164893597974114,A,C,0
Male,India,Hindu,E,99.75598533436168,9.41797962104756,C,-92.9165072148717,-21.23553932825299,94.99598751787639,E,-58.49458592418462,D,-25.63429153250239,D,B,1
Female,Germany,Jewish,E,-61.40713085704811,47.24671198596451,E,45.49189666897305,-234.62954128213548,-112.61234492562275,A,-171.83343604346848,D,-124.9908202603332,A,A,0
M,UK,Muslim,E,63.48046676781507,204.35941864576574,D,-237.55099854004104,-82.49432713330724,72.97769029213299,C,62.59169239158145,E,2.2917392812615307,D,A,0
M,US,Hindu,B,11.344306213255937,141.18053471736783,C,-68.62058431416645,-10.477234980932588,124.69440954746749,A,-155.01171655567666,D,54.26607312778904,E,C,0
Non-binary,Other,Muslim,A,99.23432960954315,47.03845647525802,C,-148.19844633984414,-147.79509070931562,-87.82418780452029,C,94.43295390504312,A,42.47148273470056,D,D,1
Other,China,Other,C,-41.504746775904074,-213.97074330858666,D,-25.456462865121587,-92.41657706194619,-128.07199760660953,E,183.966416892841,B,-20.41395938050764,B,B,1
F,China,None,B,-25.00762347690364,44.01825060595623,B,-206.3675774541906,155.59154230071204,-82.21315761630407,C,-11.88421769040561,E,27.3745791103593,A,A,1
Non-binary,Mexico,Jewish,A,-44.69521027434816,20.091589965798068,E,-25.911865752396857,-77.94526307306506,2.6643098279869206,C,204.86314052058952,D,-24.021977946857103,C,C,0
Female,Brazil,Other,D,-4.912336223122411,103.99633769418648,D,143.7029770152104,101.61008026106421,-38.03100762770488,D,-49.5641639026741,E,-240.2310959646266,C,D,1
Other,UK,Jewish,B,-68.65460345308158,94.0501695918345,A,42.90293681705812,-72.53452305150655,38.16697915578264,C,50.02243099373461,E,5.257411046036286,A,A,0
M,Brazil,None,E,123.20575374648581,35.782771474532396,E,122.82345645072348,126.0534797170193,-54.99615319843044,E,-51.25643192139451,E,-9.083644705264424,C,B,1
Male,Germany,Buddhist,D,89.47504584461596,-29.479399903489906,A,24.66182332797901,41.70760788423118,-132.82853468257784,A,-51.25141053110962,C,193.44865956205535,D,A,0
Female,India,Hindu,E,24.97879683542979,62.95007963104015,E,8.343224160932465,96.50043052785956,92.83794760933058,B,-34.58927079981653,E,-38.6749972162281,D,B,0
Non-binary,Other,Muslim,B,-56.23906236888511,-9.648338018351012,B,-34.1033943318939,65.07704496768076,62.4953635811295,D,102.79599708359979,B,99.508408264514,A,A,0
Male,Mexico,Buddhist,C,23.245530081441483,-42.295942543066815,E,16.661316558457496,-20.061660469476656,-235.43348393967554,A,63.93929148215092,A,2.060520773058951,E,B,1
F,Mexico,Christian,C,13.147742485186692,35.588332891944404,A,-1.4867757812198767,85.79744439755459,30.97921557886543,D,37.01632710736005,C,-4.863550349846775,D,A,0
Male,Other,Jewish,C,94.99627145557827,9.420887191830843,C,-54.84291044119909,-45.73512359358925,-8.523396818255275,A,124.87821901085441,E,-131.83648257089718,B,E,0
Other,Brazil,None,D,-73.66841556828946,-87.57172435130599,A,58.391290066871726,11.225706039258514,63.76334058998157,A,-87.46268843850785,C,-27.59346864732757,E,D,0
Female,India,Christian,A,-60.67956352095657,-95.24216970695397,B,23.964295004853213,233.65125747631822,38.77681792871238,A,-61.03139077073574,E,86.82638594176572,E,B,0
Non-binary,China,Other,A,-3.2749826446335817,37.98556858002044,E,-127.82971506670653,-26.892710298604293,43.198217682498296,D,-75.36023430801383,A,-108.85986365882817,A,B,0
Male,China,Buddhist,C,2.1406488163722184,144.8798605170179,B,-23.99408933283736,184.0592381812325,-15.901897715735592,B,-134.74125144215554,D,51.52517883534683,C,B,0
Other,Germany,Buddhist,C,41.52493893321319,-3.9753766334307468,E,-94.1377088025248,26.500741171579058,-64.00016017357272,A,-36.31766869378752,C,-23.42323105162362,D,A,0
Female,UK,Other,B,-46.240055556269084,-30.89083820285229,E,19.424558025741078,-6.997292585948464,60.47932106626555,A,84.35909940667541,E,99.16134823441168,A,C,1
Male,Mexico,None,C,-8.267597959117168,22.707450683561458,C,-17.708241709268613,66.86391737707424,-15.466177623979855,B,20.99175367576911,D,13.628752004041583,B,C,1
Other,Mexico,Muslim,B,82.35314984919955,96.03117628920452,A,-5.541980192404591,63.61486984526032,-39.44431018581626,B,17.55887021792611,C,-75.21898253309485,E,C,0
Male,Mexico,Hindu,B,22.506648899047352,-59.82284060071318,E,-84.29954884636672,54.65371171640564,-61.768096766608124,B,-31.101630402745396,D,-120.09020757707928,C,B,1
Other,Mexico,Christian,E,196.5053851987599,-203.32356875710232,B,-7.019196883753126,92.55896354671547,169.10259190294735,D,30.211718294936436,B,9.271123996070775,A,B,0
Male,India,None,E,107.40603915712535,-63.97675696066221,E,109.12183744782236,-46.93723796660533,-23.806346512610393,C,-55.650450067213775,A,8.397602615559103,C,C,1
Non-binary,Germany,Hindu,C,-18.56907962876648,128.46261411412178,A,109.41487765874666,-3.4776374846176425,88.40753267890904,A,-50.580832170678455,B,-2.5658343672632675,C,B,1
Female,Mexico,Muslim,E,-82.25751879675252,-13.761930638469739,A,-66.5417600514455,88.02581599784953,38.20229376737115,A,-201.8176577643428,E,162.53388308467908,D,A,0
Female,UK,Other,C,62.86687462183548,76.9214037067926,B,28.440164512621447,2.746294097201889,170.03316118933142,C,-76.91841363435404,A,99.7965219132555,E,B,1
F,UK,Muslim,C,143.89635676032074,-23.205388903192826,C,-49.90420751800567,139.86304357074724,61.47158729242279,A,-34.605952799666724,C,-72.7174739334317,D,C,1
Other,US,Jewish,D,60.84603116086619,135.9792657012396,B,-42.543629620946554,-172.85869245109842,-89.15518655985302,A,42.560681069144806,A,-99.25904085735372,B,B,1
F,China,Jewish,A,170.5447207650014,-54.61070893753819,D,40.32716361105925,89.89340059591639,115.39690481599617,D,25.47058934579497,C,-66.62036732510221,A,A,1
Male,US,None,A,-34.074903655224794,51.357720329078006,B,-14.231529107707813,-98.42529520368896,-157.43949915023464,D,-53.9129773747344,B,-149.69489469793848,D,C,1
F,Brazil,Other,E,65.78749477752783,44.17380563841224,B,76.41949369074507,-66.8863779762557,232.1932125893257,D,-157.65165201540148,B,98.88175746636615,A,B,1
Other,Brazil,Buddhist,B,-40.44335528763416,-89.57208241721972,E,-56.20674028082851,-75.93409327264045,-2.8010539939794294,C,111.59580976005618,B,-105.74600383538875,C,C,1
M,US,Hindu,C,-101.19976202088753,-141.63951314276198,A,-8.514584991366181,30.2578712904555,19.490819759650897,B,7.5885172247163375,B,-11.262736150038444,C,D,1
Non-binary,Other,Jewish,C,-171.0808906701835,81.18006922583514,E,87.05597794596312,329.58249865768477,-124.06340683026913,C,-55.16793986917678,B,-125.73977437854582,A,B,0
Other,India,Jewish,A,-87.3590856475934,-6.779774675895315,E,-23.16181977539603,20.80159974770803,-36.309730026491955,D,-39.8479868720447,C,-297.0548395942291,D,C,1
Other,Germany,None,E,-160.75344896816864,-22.540503480933037,A,133.13387840629122,84.89404954039746,23.3715471423501,B,-48.07085397732877,C,73.98357079969165,E,A,1
Non-binary,US,Other,E,-1.9601528669020662,172.77436991747635,A,-70.21574459301925,-141.07619664426645,85.70708498995063,B,151.80425987194758,C,80.35404968702368,D,C,0
F,Other,Christian,E,-11.050989627461574,71.75933002942824,C,47.85722051168068,93.98330274396183,-66.36427385068374,A,-72.64931631602022,A,-39.91532659871558,C,D,1
F,Other,Jewish,C,116.6805002190552,-25.0678420537806,A,111.89685275484229,25.089891646492724,139.86896157423288,E,-180.4055975793738,A,-38.72557609853606,B,A,1
Other,Mexico,None,E,54.14583093697708,47.540865919007565,B,-5.989250609941747,139.72981502481062,75.2308817304679,A,180.03362766623866,D,103.17635004015185,D,A,0
M,Other,Hindu,B,187.3954510129728,-70.02694089892142,D,191.63968355787944,221.81830841805498,-66.74864845589308,C,-80.3422342963442,E,81.53663837954387,B,A,0
F,Other,Buddhist,B,-164.29751609763503,-64.25614581811881,E,-30.235757207190062,53.57428283912672,31.85020079408471,A,68.20786158939752,C,-165.40653034835373,B,B,0
F,UK,Buddhist,E,-55.13929080483948,90.37178416305188,C,-172.86746650886917,-147.70729748308798,-41.02487091519352,D,-34.40752012383536,D,-48.330124711337824,A,A,0
Other,China,Buddhist,B,-3.4084531160574185,-143.66113682660523,E,-129.39886034577233,4.004756996530863,-129.94266559581106,C,8.104391818324665,B,-138.35749552157574,D,D,0
M,Other,None,A,79.86224020057846,102.6259611190886,C,22.224139464854748,38.93077623719342,142.58484504609962,A,39.33176651575148,D,156.916572203409,D,A,0
Non-binary,Brazil,Buddhist,C,-7.946241456842324,80.7548516893373,B,-161.34964689025003,-164.65635209667357,176.0197918281257,B,49.64072490135825,B,-65.93957668254346,E,C,1
Male,US,Other,A,-259.25665785698936,106.94735989837699,A,10.323885517953395,-36.23721318016385,-13.794076326027039,B,-20.56205685441123,B,11.109828640456602,B,C,1
F,Mexico,Other,D,-58.73624621576693,-221.5225939062774,E,-17.785928747219316,-38.09098639411258,33.25017643683124,E,35.774301944063254,C,-61.06901073566324,E,D,0
Male,Germany,Other,A,67.08116393904248,119.3125870679176,C,98.09879681985004,68.7480763651828,-64.18200529125272,D,-4.217883509876159,D,-92.92479638517824,C,A,0
F,Mexico,None,A,-185.63615880423492,176.7189436447828,D,65.9068537214017,115.67865987370449,-45.90342288016232,D,5.251140265171637,E,190.67650389631805,A,B,0
M,UK,Other,B,65.64977952019846,59.151437540194806,E,-82.41990845383121,12.921012136051113,-69.26050926406515,E,-127.74216654323934,C,131.41278935534092,E,A,0
Other,Other,Hindu,A,-176.1881027992207,63.19634308776242,C,-76.83673023086635,-75.3665092188536,-65.29146155326967,C,75.68855162701252,B,179.53266861761225,B,B,1
F,Brazil,Other,B,-100.52527737650172,6.586776950068882,D,-96.82201915164468,97.56691579412646,216.8040501656228,C,-28.22238754893401,C,-14.261036124277734,C,C,1
Other,Germany,Buddhist,E,-13.730367323410189,-9.48457739373964,E,-2.0800676857799076,184.60848036676634,22.92433909640506,E,-209.209980978144,B,-43.752557747646314,B,B,1
M,Other,Christian,B,96.3043924618735,26.032833185439806,B,-9.939009476112746,-55.40779006686266,-71.50009582522479,B,-1.757033127145758,B,148.33029445066032,B,C,1
Other,Germany,Muslim,E,28.775667613544837,101.00588519897002,D,24.745657790069707,97.98403172030558,205.39223391192994,E,71.60983662330167,B,42.585696430651424,E,C,1
Non-binary,Other,Christian,C,158.80762790774648,-72.54277620332032,C,52.07083056174616,152.91742052653444,-38.299142178713936,A,-200.67544219055785,E,-107.95893226179119,D,C,1
F,Mexico,Jewish,B,96.74350358368282,196.1460369149297,E,-98.54289325967896,20.078829064855416,-23.860525190634476,A,64.36789145276006,A,-37.69064097910842,D,B,0
Other,Germany,Christian,D,90.43499138096304,116.92444881812851,C,-142.17463319963426,-51.04229997001332,-95.69561335459427,A,-27.064323346762002,E,-16.910972189096793,C,E,0
Female,China,Muslim,B,-51.53574945903512,228.28339255796118,B,146.0549789616999,-140.22014656136986,63.569109783188104,E,-99.08289893422025,B,-100.89897421133483,E,B,1
F,India,None,D,61.45475830164177,-47.774989233675065,A,43.1901186372924,-92.010814464475,20.537964635350463,E,72.33072084085464,E,-27.173987231987535,E,A,0
Other,US,Christian,E,-105.37150329983037,91.61702418377071,D,-156.9531177358812,-54.48436189339918,133.30870060259312,C,66.87692826137157,A,-42.462214280628416,E,E,0
Male,Other,Jewish,B,23.79786095457841,146.84904880737463,D,90.23578821191961,-70.13486631467552,-48.9744572485233,E,-30.57186753545113,C,141.20764949439237,E,A,0
Other,China,Christian,E,142.74686605469583,-131.1594716613586,A,-88.79529229284063,68.58035997756475,177.21248073160737,B,110.13640217689202,D,-90.78945494230075,E,C,1
M,Germany,None,C,-59.861868387388895,26.488054720585602,D,265.6122571683111,-21.93049337953691,-97.86859834684226,E,-44.720624391651384,E,-27.681591741734053,D,A,1
F,India,Jewish,A,-12.163542116563407,15.001588526562829,C,204.3537104708954,17.598754744849437,91.5818751543453,B,-2.4885691657448246,B,-39.299964389222616,B,C,1
Female,Germany,Other,C,-43.146462231692,73.6990652257575,C,-5.652129690070119,-0.9931392494138493,-62.581948970907696,E,5.420625469608354,E,-37.94505426814494,D,A,1
Non-binary,Germany,Buddhist,A,96.14412964204726,-8.960346643736745,A,111.14831609725788,26.47976346513386,190.7105255206849,A,-75.97887217416101,D,-77.69603267750767,D,B,0
Other,India,Muslim,D,-90.3286778472685,1.1033313808893939,C,81.47204289857663,-17.839078502704908,-4.104437073506905,D,13.656423773077064,D,-81.60695231065769,D,A,0
Non-binary,US,Other,C,77.30535472038363,-131.3292254675556,A,-91.48851715345899,16.269481022519127,-166.69534153289817,C,-46.584384739170744,A,58.925043165076275,E,D,0
F,Other,Muslim,C,22.46175164277086,125.5623061172276,D,68.13560431343477,-95.90663147289175,2.007675796351004,A,32.18102740896327,A,133.23304989398187,D,A,0
