veteran,sexual_orientation,age_group,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Non-Veteran,Homosexual,65+,Hindu,-103.37418216605585,E,B,-61.70836990137602,E,C,0
No,Bisexual,51-65,Jewish,11.620761884577679,D,B,-61.22785207796597,A,E,0
Non-Veteran,Other,51-65,Christian,-60.68379035017767,E,D,-28.567522190221922,B,A,1
No,Homosexual,26-35,Jewish,-60.460714591924884,E,C,101.40884677120295,B,C,1
Veteran,Bisexual,65+,Christian,-19.84994010013717,A,B,113.20711280948301,E,C,1
Non-Veteran,Other,65+,Muslim,-2.4487620123524123,C,E,9.057709612098732,D,A,0
Veteran,Other,36-50,Other,4.369531891602564,D,B,151.56131195666137,C,E,0
Veteran,Heterosexual,26-35,None,-54.758072352207535,A,E,123.11373500288478,B,D,1
Non-Veteran,Heterosexual,18-25,Jewish,-32.45967178428373,C,B,105.33325928868018,E,B,0
Non-Veteran,Homosexual,51-65,Jewish,-127.89162100848792,B,E,124.11707883039864,D,B,1
Non-Veteran,Bisexual,26-35,Christian,-53.54149423718123,E,A,26.398561354711674,A,C,0
Yes,Bisexual,65+,Other,-14.765369691114923,E,E,156.00878998231917,A,E,1
Veteran,Other,18-25,Buddhist,175.48808337125033,D,D,249.8336075531092,E,D,1
Non-Veteran,Bisexual,65+,Christian,115.83901940413818,C,A,244.987304522384,A,B,1
Yes,Heterosexual,18-25,None,-11.354184482388792,D,C,-185.45896592909085,B,D,1
Non-Veteran,Homosexual,26-35,Buddhist,-57.85006893183792,B,E,179.0819565260248,B,C,0
Veteran,Homosexual,65+,Christian,41.60679586322472,E,C,261.20294497909214,C,E,1
No,Homosexual,18-25,Christian,-222.69515289091268,A,B,45.76337235542036,E,A,1
No,Homosexual,36-50,Buddhist,26.74627614671942,A,A,-72.12855590265582,A,B,1
Veteran,Bisexual,51-65,Christian,61.28783174462045,A,B,137.59218093624267,A,E,0
Non-Veteran,Bisexual,51-65,Hindu,-45.421945528404095,A,E,153.97820075516725,D,A,1
Veteran,Other,26-35,Muslim,-17.92631439316951,A,D,-158.8341526218776,B,A,0
Non-Veteran,Heterosexual,18-25,Hindu,137.39459280361444,A,E,31.341283382124235,A,D,0
Yes,Other,18-25,Muslim,-20.278643566532846,B,A,-35.42326205674019,C,E,1
Yes,Homosexual,51-65,None,-90.64878145262483,B,D,-98.85289288910309,C,C,1
Yes,Homosexual,65+,Buddhist,51.7773988953671,A,B,-15.172258746129765,C,B,1
Non-Veteran,Bisexual,65+,Jewish,69.97009361078044,B,B,-55.796307259510826,A,C,1
Non-Veteran,Homosexual,18-25,None,-110.99070069579201,A,D,33.443414684315215,A,D,0
Non-Veteran,Heterosexual,51-65,Other,-24.03841124970571,B,B,13.991733151047336,E,B,1
Non-Veteran,Bisexual,65+,Hindu,-19.556051036165478,E,A,-131.0838897142543,B,D,0
Non-Veteran,Homosexual,18-25,Christian,-28.512701847184474,C,E,58.90480116934212,D,E,0
No,Homosexual,65+,None,-86.9668544248572,A,D,44.885389411486344,C,C,1
Yes,Bisexual,18-25,Christian,-86.78333896975609,D,B,-8.99887454664765,E,D,0
Yes,Other,65+,Other,108.78800763430132,D,D,134.5146556406886,D,D,1
Yes,Bisexual,65+,Jewish,183.01731850437827,C,B,176.0624669314139,D,D,1
Non-Veteran,Other,65+,Hindu,-92.17391464103332,D,E,-174.79603238812587,E,A,1
No,Homosexual,65+,None,-98.99440218897199,C,C,0.1944393108013644,C,C,0
Veteran,Other,51-65,Christian,30.93977036319383,B,A,12.166510164232983,C,E,0
Veteran,Homosexual,26-35,Hindu,-84.27804347790607,D,C,71.42308099401366,A,A,1
Veteran,Homosexual,18-25,Muslim,-246.92217711596257,D,D,-134.38114510845278,A,A,0
No,Other,51-65,None,69.88596882043824,C,C,-224.5781127574879,A,A,1
Yes,Other,18-25,Muslim,17.755349841510785,A,D,139.49813511870735,E,D,0
No,Other,26-35,Hindu,-50.441545291409774,A,B,52.01327243222932,A,C,0
Veteran,Bisexual,36-50,Christian,30.705631329930256,A,E,-51.23670416491808,A,B,1
No,Heterosexual,36-50,Jewish,19.413103848187696,D,A,240.052029053764,A,D,0
Veteran,Other,65+,Muslim,-13.069339606967636,A,D,-58.95998269035637,E,D,1
Veteran,Bisexual,65+,None,56.08986932723153,E,E,114.60916623924517,E,A,0
Veteran,Heterosexual,65+,Buddhist,32.09112113564297,E,E,103.12370212588742,A,A,1
Yes,Other,26-35,Muslim,1.1676615948057205,A,C,-55.93681795086647,C,E,0
Non-Veteran,Heterosexual,51-65,Jewish,-35.962005410815635,D,E,-200.1707103309605,E,E,1
Yes,Other,36-50,Christian,-38.71624075811022,A,D,27.06091789461845,B,D,1
No,Other,18-25,Hindu,139.3192530904184,B,A,87.03818059917862,A,E,0
Yes,Other,26-35,Buddhist,64.42165063350956,C,E,-80.0207461628663,C,E,1
Yes,Homosexual,18-25,Christian,-75.36578995543793,E,D,34.110551750291435,E,E,1
Veteran,Other,65+,Muslim,65.57686002899209,C,A,-53.1625232945438,B,E,1
Non-Veteran,Bisexual,18-25,Hindu,-47.06049479215261,D,D,94.6570103311767,B,D,0
Yes,Homosexual,36-50,None,-141.78499016222077,D,B,-17.19802681966829,B,C,1
Yes,Heterosexual,51-65,Other,-53.58700393703011,A,D,-136.1879932995183,E,A,1
Veteran,Other,36-50,Muslim,-9.228803384480068,A,A,-129.26129331201247,A,B,0
No,Homosexual,36-50,Hindu,-134.40939873323683,D,A,-178.9688258688862,A,A,0
Yes,Bisexual,26-35,Christian,-60.88077203139797,D,C,110.39271817954418,E,A,1
Non-Veteran,Heterosexual,18-25,Buddhist,119.01406873133257,E,C,-9.245874535590195,C,C,0
No,Other,51-65,None,81.23463910809838,A,A,103.01284307052205,D,E,1
Veteran,Bisexual,51-65,Hindu,-114.06560889789708,C,B,27.266495499656095,A,E,0
Yes,Homosexual,36-50,Jewish,10.320975731839779,C,C,-144.71636781934617,C,C,0
Yes,Homosexual,36-50,Hindu,-38.59368127088815,E,D,194.96839318342595,D,A,0
Yes,Homosexual,26-35,Christian,122.44343284023871,C,A,6.798728251062489,D,C,0
Yes,Heterosexual,51-65,Buddhist,45.08658713883372,C,A,16.83645452492996,A,D,1
Veteran,Bisexual,51-65,None,-156.89802703516614,D,C,18.12757551326643,C,E,1
Veteran,Homosexual,36-50,Other,69.96669864503802,E,C,69.9040839827812,A,D,0
Veteran,Bisexual,65+,Buddhist,15.871491820956141,D,E,-132.38286260870612,E,E,1
Veteran,Bisexual,18-25,Hindu,60.428721919893405,A,B,-145.06346856703007,C,D,1
No,Heterosexual,18-25,Jewish,196.1775097586109,A,B,56.56945361780007,B,D,1
Veteran,Homosexual,26-35,None,87.31009360157871,B,D,-15.475807696295554,D,E,0
Yes,Homosexual,36-50,Jewish,8.786899694030325,E,C,102.40845424810412,A,A,0
Non-Veteran,Other,18-25,None,-53.745473578458366,A,A,-33.25435544607113,D,A,0
Veteran,Heterosexual,51-65,Other,-119.7578283092706,D,A,6.096908986121581,C,D,0
Non-Veteran,Bisexual,51-65,Jewish,88.77542724983782,B,B,-89.79216273489209,A,E,0
Veteran,Homosexual,18-25,Christian,9.913886689395806,A,C,10.726085969072315,B,D,1
Non-Veteran,Heterosexual,36-50,Hindu,-194.9559901142103,C,A,52.40231643678812,D,D,1
Yes,Other,65+,Hindu,55.36641374000818,D,B,-46.53146741094131,C,B,0
Non-Veteran,Bisexual,65+,Muslim,-3.428014125018345,A,A,151.19396997500084,A,E,1
Non-Veteran,Homosexual,51-65,Muslim,17.77715328275879,C,E,108.37306214791018,B,D,1
No,Heterosexual,18-25,Christian,-8.068919720182517,C,B,-32.98032590021262,C,D,0
Veteran,Heterosexual,65+,Jewish,-211.24812883504492,B,C,-193.25466131321232,A,D,1
Non-Veteran,Bisexual,51-65,Buddhist,-76.69287998871947,E,C,85.25955483348032,A,A,0
Veteran,Homosexual,26-35,Jewish,-24.407488283334526,E,A,176.26995068173957,D,B,0
No,Heterosexual,26-35,Muslim,4.9585079793190125,C,E,48.96938004275067,D,C,1
Veteran,Heterosexual,51-65,Hindu,45.5938117194172,A,B,44.283732444727015,A,D,0
No,Heterosexual,18-25,Christian,13.535691540209452,A,E,100.24265834946999,A,C,0
Non-Veteran,Other,26-35,Jewish,55.87731523699502,C,D,119.65420460466112,E,A,1
Yes,Bisexual,36-50,Buddhist,-175.89804759784153,B,A,-0.9064768017407765,C,E,0
No,Heterosexual,26-35,Buddhist,29.872771036028787,B,C,23.783486907918718,E,D,1
No,Heterosexual,36-50,Muslim,74.04808015811525,A,B,77.82081632981932,E,B,1
Non-Veteran,Heterosexual,51-65,Jewish,-244.63023228869662,A,C,-122.27401252496988,D,C,1
Yes,Other,65+,Jewish,-119.05177354921344,E,B,114.0431549155704,A,D,0
Yes,Heterosexual,51-65,Hindu,17.488635127635845,E,A,16.468305155845044,B,A,0
Non-Veteran,Heterosexual,18-25,Christian,227.1339611913298,E,B,-96.12281452778103,D,B,0
Yes,Bisexual,26-35,Other,-6.494086304675969,E,D,-79.1733900866829,B,E,1
Non-Veteran,Heterosexual,18-25,Other,-83.98103302283238,C,C,230.18916220808669,E,E,1
Veteran,Homosexual,65+,Hindu,-18.240955121646994,D,B,-87.3136143152601,A,A,1
Yes,Heterosexual,26-35,Christian,-51.30210451625188,D,A,32.93121380300475,D,E,1
Veteran,Other,18-25,Other,39.16128752532601,B,A,22.340924111940087,E,A,1
No,Heterosexual,51-65,Christian,133.235352278368,A,C,102.14958401663452,C,B,0
Non-Veteran,Bisexual,26-35,Hindu,15.744868489740952,A,B,-154.5660514048767,C,B,1
Non-Veteran,Other,51-65,Muslim,-39.94657173467483,C,B,-17.618513944093575,B,A,1
No,Bisexual,18-25,Hindu,24.986645380791032,A,C,-197.2707820452609,C,C,0
No,Other,65+,Muslim,-53.234231530775375,A,D,-62.50876604688308,E,D,0
Veteran,Heterosexual,65+,Hindu,-237.23750884818338,E,C,-82.07488312211318,A,A,0
Veteran,Bisexual,26-35,Other,36.72184886384535,D,B,46.19721764964884,D,D,0
Veteran,Heterosexual,65+,Jewish,-108.94734711092869,D,B,-38.7439738598732,C,D,1
Non-Veteran,Homosexual,51-65,Hindu,81.98246619031707,C,B,72.08009271461448,B,B,0
No,Bisexual,36-50,Hindu,56.646579938645104,D,A,2.50126477239326,B,C,0
Veteran,Bisexual,26-35,Buddhist,41.05634634267068,E,A,-160.0072590521501,C,E,1
Non-Veteran,Bisexual,26-35,Christian,57.95310475103421,D,C,-105.60436576757574,D,C,1
No,Other,26-35,None,24.178294734830303,D,B,132.11554967129533,B,D,0
No,Heterosexual,51-65,Jewish,-3.362877593390072,E,A,-98.42395348151028,E,B,0
Veteran,Other,36-50,Jewish,-248.71144717037822,B,A,62.53433953189954,D,D,0
Yes,Heterosexual,36-50,Christian,-122.508752003608,C,E,-99.02336269640529,A,A,1
Veteran,Heterosexual,65+,Hindu,26.501346273581316,A,E,-11.18290348523971,A,E,0
Non-Veteran,Bisexual,26-35,Jewish,-0.695269566360209,A,E,-94.04512920385213,A,D,1
Yes,Homosexual,65+,Hindu,29.51268974142104,A,D,83.14763340813363,A,B,1
Yes,Other,65+,None,69.86702548208184,D,B,-100.21385976769568,D,C,0
Yes,Homosexual,65+,Muslim,2.7195879057957297,E,A,-146.68160665833472,C,D,0
Non-Veteran,Homosexual,18-25,Christian,52.92785282491133,A,B,-93.56930740214284,B,A,0
Yes,Other,36-50,Muslim,-46.1320181086193,B,B,-50.320103037425156,E,B,0
Non-Veteran,Homosexual,36-50,None,159.79815645150558,D,A,116.20395239800017,A,D,1
Non-Veteran,Heterosexual,65+,Christian,174.75608649300023,D,E,-9.611980127013757,B,A,1
Yes,Bisexual,65+,Hindu,-7.5222474922488,A,C,136.35611457198326,B,E,0
Yes,Homosexual,26-35,None,42.097433767886294,B,A,-189.29046800798105,B,D,0
Yes,Heterosexual,36-50,Muslim,-79.28606400288201,A,C,38.38905976251483,D,E,1
Non-Veteran,Heterosexual,26-35,Hindu,128.50056662221093,A,D,-183.02064621426487,D,A,1
Non-Veteran,Heterosexual,26-35,Hindu,42.41315906679133,C,A,158.99323861585907,D,B,0
Non-Veteran,Bisexual,26-35,Jewish,181.87443804741764,E,B,127.94283861372506,D,D,0
No,Other,26-35,Christian,-163.74791378306784,A,A,12.814132007485284,A,B,1
Veteran,Homosexual,51-65,Muslim,114.62055815010008,D,D,-165.3824043852908,B,E,1
Yes,Heterosexual,65+,Muslim,-92.34331403173731,C,B,-36.77446778235893,E,C,0
Non-Veteran,Bisexual,18-25,Buddhist,-94.93385421158074,D,D,-21.245719209237883,C,B,1
No,Bisexual,26-35,Other,-78.65603202339705,B,A,35.41037792841564,B,B,0
Non-Veteran,Heterosexual,18-25,Christian,40.5775444370043,A,E,-65.26476436710715,D,A,1
Yes,Heterosexual,26-35,Jewish,-39.62839012639834,B,E,75.25394757812064,D,D,1
Non-Veteran,Homosexual,18-25,Buddhist,-197.81419265823658,E,A,38.294159295357524,E,A,1
No,Other,51-65,Muslim,8.637294331473418,D,D,28.686399725196193,E,B,1
No,Heterosexual,18-25,Buddhist,174.03208566367041,D,B,-47.967383312768554,E,C,1
Non-Veteran,Other,65+,Jewish,-148.65776537108363,E,E,10.051781117128126,D,B,0
No,Homosexual,36-50,None,57.201549849257475,E,B,8.568802343611411,C,D,0
No,Bisexual,26-35,Other,-68.41722461928174,D,D,-70.19145821980037,A,E,1
Yes,Homosexual,36-50,Christian,-54.357280989885545,A,A,100.35839057794176,C,D,0
Yes,Homosexual,51-65,Muslim,-147.43201705322016,B,B,-6.636805511182407,B,B,0
No,Homosexual,18-25,Christian,18.72498435411359,A,C,-123.88414489103499,A,D,1
Non-Veteran,Other,65+,Other,30.91800884108412,C,C,-15.923370732526024,D,E,0
Non-Veteran,Heterosexual,36-50,None,-84.33095461454944,A,A,65.42961621881219,D,D,1
Yes,Bisexual,65+,Muslim,131.6936650295961,A,E,-151.13994928072123,B,D,0
No,Heterosexual,36-50,Muslim,87.54420865412486,D,E,-64.2541669586921,D,D,1
Non-Veteran,Bisexual,18-25,None,-15.455316899252283,A,E,15.109545059174714,D,D,1
Yes,Bisexual,51-65,None,57.15922856847536,B,B,112.39738907642148,B,B,0
Yes,Other,36-50,Other,59.12403884976513,A,E,-0.6061929357893242,B,A,0
Veteran,Other,26-35,Other,-211.27386371729412,B,A,40.27097303944934,E,D,1
No,Heterosexual,26-35,Jewish,156.93507374862887,D,C,-174.5128142440495,C,A,1
No,Homosexual,18-25,Muslim,102.92075771639844,B,D,-48.10623789262235,E,D,0
Non-Veteran,Homosexual,65+,Other,-55.64218002667551,C,B,76.3598242068793,C,C,0
Yes,Homosexual,51-65,Buddhist,-200.84677053896186,B,B,-61.09624486769434,B,E,0
Veteran,Homosexual,65+,Christian,-84.52712507465465,D,B,98.6466284629756,E,B,1
No,Bisexual,26-35,Other,8.738573783375418,A,D,104.07846373349238,A,A,0
No,Other,65+,Jewish,148.25716078072767,A,C,121.08428562158097,E,E,0
Non-Veteran,Heterosexual,18-25,None,139.92529851445937,D,D,18.815243798024365,D,D,0
Veteran,Other,65+,Buddhist,-127.51716426559267,A,C,74.0620107524429,D,B,0
Non-Veteran,Other,36-50,Other,-112.64979616953335,E,B,-72.66984295915144,C,B,1
Veteran,Other,65+,Christian,-15.093465035490148,B,E,-219.04578684887582,B,C,0
Veteran,Bisexual,51-65,Jewish,-136.90454688584092,D,E,116.73876155400373,E,B,1
Non-Veteran,Heterosexual,18-25,Other,98.1785372905965,D,B,3.510199716348666,D,C,1
Veteran,Homosexual,51-65,Christian,-185.2975968092565,E,B,-158.27510661767792,C,B,0
No,Other,18-25,None,46.40242457265113,B,B,-106.78965901256028,E,B,1
Veteran,Heterosexual,36-50,Buddhist,-109.51441119648766,C,C,31.086309947009603,A,D,1
Non-Veteran,Heterosexual,65+,Jewish,-94.3000232518963,D,C,-27.551202324041917,C,C,0
Yes,Other,26-35,Other,71.82295088898191,C,A,-36.657431994882145,D,A,0
Veteran,Other,26-35,None,276.1000617219516,B,D,-68.73443503303714,D,C,0
Non-Veteran,Homosexual,18-25,Jewish,0.7415660650740141,A,B,-108.46801407514441,E,E,0
Veteran,Bisexual,18-25,Muslim,72.23690928452193,A,D,-70.77373817806435,A,B,1
Yes,Other,51-65,Buddhist,-84.54974745084375,B,A,-124.98280003871511,C,B,1
Non-Veteran,Bisexual,65+,Muslim,-112.38578451620529,A,C,80.66234164799852,B,B,0
Veteran,Other,18-25,Jewish,-89.13792133206908,C,D,-177.32433884033435,C,D,1
Non-Veteran,Bisexual,65+,Hindu,126.11103799462798,C,C,-54.46385196318882,D,D,1
No,Homosexual,65+,Hindu,-25.761313387349905,E,B,-184.29390615595744,A,B,1
Veteran,Homosexual,18-25,Hindu,97.23730621664419,D,A,86.63543976071803,D,B,0
Yes,Heterosexual,36-50,Jewish,87.24609715876936,A,E,-36.21854194376949,E,A,1
Non-Veteran,Homosexual,36-50,Christian,-92.82139038279671,C,A,40.91058208966504,B,C,0
Yes,Homosexual,51-65,Buddhist,58.46218839780217,A,C,-114.76840810976566,A,A,1
Yes,Heterosexual,18-25,Jewish,66.89408052088494,B,A,84.09858244256071,D,C,1
Yes,Homosexual,26-35,Christian,60.23326884513883,E,D,-95.16678894917428,A,A,0
