anos,religion,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
77,Buddhist,Other,-16.39143366054603,B,C,D,A,A,-168.7224142091206,B,A,-71.4457968262398,B,-166.55402981085496,C,B,D,0
29,Hindu,Bisexual,35.60991981998261,D,B,D,E,B,-3.8645925263899974,E,C,109.800756141252,B,-111.14929073713293,A,C,E,0
55,Buddhist,Homosexual,80.1353451343253,E,A,E,A,C,27.851283127042926,E,D,-89.21618954682839,D,-124.69800114880599,D,C,A,0
25,Other,Heterosexual,-16.787814663077285,B,C,E,E,B,-37.72389135098013,A,A,23.41067529502292,A,-98.22256086529394,B,E,C,0
46,Other,Other,1.4390703356778631,D,E,B,B,D,-71.29710827973868,D,D,-46.845242467844194,B,36.970655087702355,A,A,C,1
54,Muslim,Heterosexual,51.490319254523286,D,C,C,A,A,48.206021766737706,D,C,-101.80478009294683,E,-131.5718486926151,C,B,B,1
33,Hindu,Homosexual,34.950881721419115,A,A,D,D,A,-107.87801500240558,A,C,8.071962942273775,C,189.29713609569768,D,E,B,1
76,Buddhist,Other,-26.350254061766137,B,A,E,B,E,-22.54787854194754,B,D,25.28094135351033,E,177.26904994265306,D,E,A,0
41,Hindu,Other,-4.658027241048345,B,C,B,D,C,35.9846528871506,B,B,43.24637396782582,A,100.8388888794912,A,D,E,1
52,Muslim,Homosexual,-63.67940513221016,D,E,A,E,C,83.18509111693109,A,B,-19.24833456046282,D,-24.8151026727354,C,B,A,1
62,Hindu,Other,-61.07451847861343,A,D,A,C,C,109.19197929025897,B,D,-38.41395928990436,D,124.69966702462393,E,E,D,1
64,Other,Heterosexual,91.05975939398871,C,B,A,D,A,-134.32839471908707,C,C,48.70500594557023,C,-60.56054448063464,E,C,E,0
19,Jewish,Bisexual,-125.71713168296763,A,D,A,A,C,-150.67975504493754,D,D,-69.28038447063174,A,55.059041009145126,E,D,C,0
44,Muslim,Other,96.36630595372915,B,A,A,B,A,50.28314561218795,C,A,-186.43061493196933,B,-132.16125345310837,C,A,B,0
66,None,Other,-76.02846594955803,E,D,A,D,D,94.17483426350847,E,A,-199.8896806513319,D,-3.8318970618561092,A,C,E,1
57,Jewish,Other,-4.05623232997452,C,A,C,A,B,-8.612007212105311,B,D,49.25945964007792,C,-5.077019026290734,A,C,C,1
69,Hindu,Heterosexual,-46.08359899683144,B,D,E,D,A,24.3009024736369,E,A,-7.774639983528725,B,-60.11315981184888,D,B,E,0
65,Buddhist,Homosexual,87.5064300275146,E,A,A,C,E,190.81027231740217,B,C,152.54338875497015,E,-181.94993370226948,D,D,A,0
28,Other,Bisexual,-166.48342823077087,B,E,E,C,C,-93.52762614570727,A,E,-44.77200455726562,D,296.88700642723296,B,A,D,0
49,Hindu,Other,-7.883509585338149,C,E,A,A,B,-9.480225162831312,C,E,-2.2217014493143568,E,40.05750809226415,C,A,B,1
56,None,Homosexual,-102.87294265558602,E,E,C,D,A,38.467452757946354,E,B,-5.283749369321198,E,49.02026243038415,B,B,E,0
53,Buddhist,Other,-150.6332702387097,A,C,A,D,E,-46.64181429872909,C,C,-93.60428481179191,C,103.27401027618764,B,A,A,0
35,Hindu,Heterosexual,-75.79241856062269,D,A,D,E,D,59.444527576618135,B,B,-62.78436184428659,C,123.41749649764431,E,B,C,0
61,Other,Homosexual,-48.87812163461887,A,A,B,C,C,18.760542209381512,E,C,3.768617406175053,D,132.94822969356517,D,E,E,1
44,Other,Bisexual,136.4281088424668,A,D,E,E,A,4.654167049603202,E,E,-22.44145689271685,D,111.50308914497799,D,A,A,0
41,Muslim,Homosexual,-38.40860212131237,E,C,C,E,E,-90.23825750277594,D,C,170.386488803236,C,6.309103879523419,C,E,E,0
48,Buddhist,Heterosexual,23.799246951549396,E,E,D,B,B,75.88438284881798,E,E,172.38265186798105,C,-136.25226690603228,A,E,B,0
41,Hindu,Bisexual,77.66603221903915,E,C,D,A,C,123.9540026218128,D,E,57.00731150404587,E,-68.88501229901021,A,D,E,1
57,Muslim,Other,-147.9723235665078,A,D,C,A,D,-135.07930673697132,D,B,-51.849781462570355,D,20.497941946703392,B,B,D,1
72,Muslim,Homosexual,-26.92909374534964,C,C,D,D,E,187.9024764886252,A,B,-51.38171194305965,E,93.13985677480095,A,E,B,1
50,Christian,Other,-38.218127883771615,E,D,D,C,C,166.06725970292428,A,C,-125.57646909957217,E,38.43378711073805,B,D,C,1
49,Other,Heterosexual,66.1470644397072,B,E,B,E,A,-209.7662673039,A,C,62.596913298250456,D,29.255165643818653,E,E,D,0
35,Buddhist,Bisexual,-38.66709075446991,A,B,D,B,A,33.941697670876756,A,B,26.023401130977565,D,167.9382676023866,C,A,C,0
56,Other,Bisexual,122.54743246024722,D,C,B,A,C,-128.89068546648943,E,D,106.27397001693365,C,-149.91003348898272,A,E,D,1
58,Jewish,Heterosexual,-75.8526007312237,E,A,B,B,D,-27.9256217512588,B,A,-85.73161181207696,C,-13.256325999181733,D,C,A,1
78,Muslim,Homosexual,91.72766230047438,D,B,C,D,C,48.773075988089765,B,D,-0.662981595664004,B,104.95134617111196,E,B,A,1
46,Other,Bisexual,84.91425171601877,A,E,A,D,A,117.90063944707612,A,A,-61.08347141273808,B,-132.34211895924267,E,A,B,1
61,None,Heterosexual,-181.7891675150352,B,D,A,A,D,-138.99888186454407,E,C,79.98174266009903,E,45.15509919659805,C,E,A,1
72,Hindu,Heterosexual,18.15362815562887,E,C,B,A,A,93.79367094667255,C,C,-41.87587687027226,D,-11.329041843058448,A,B,E,0
26,Jewish,Other,77.96843041117165,B,C,D,E,A,2.135043796305457,A,A,-18.96202167297582,E,111.99790044111433,D,A,A,1
43,Other,Heterosexual,-21.000409503661885,B,B,B,C,B,70.63355979282997,D,B,92.36907807213937,D,-68.98299162663079,D,B,B,1
27,Muslim,Other,28.42823828569542,C,B,E,C,B,50.15221543808725,B,B,-92.94366695691193,D,-65.99037249974613,C,E,D,1
35,Christian,Bisexual,89.66291247642286,A,B,B,E,A,-24.630289170136333,D,A,112.97488562942108,D,-105.50326408467632,D,E,B,0
59,Christian,Bisexual,-77.79476789183708,B,C,A,E,B,42.547026631380376,A,B,97.68258882829124,E,-102.70203104314864,B,D,E,1
60,None,Bisexual,-96.92537219221708,C,A,B,A,A,55.85439504528797,B,E,90.43556070521507,D,-36.91960734057044,D,A,C,1
66,Jewish,Heterosexual,3.6669573951282626,B,D,A,E,E,284.47978362855554,A,D,26.335308223352843,E,-123.13599380947562,E,C,C,1
71,Christian,Heterosexual,-164.37688616812366,C,E,A,A,A,25.080676620562375,D,A,22.24104843345761,D,-139.6764518746963,C,D,C,1
26,Jewish,Other,173.1301845157464,A,D,B,E,E,-80.73899460034436,B,E,-22.095483353450142,E,-119.81164854828836,E,E,C,1
51,Christian,Heterosexual,-135.73124791880628,E,A,A,B,E,136.0223468051148,E,E,120.0240317717016,A,122.73679915452114,C,B,C,1
21,None,Other,-82.23795945232585,A,B,B,C,B,-198.15640429516856,E,A,6.902557870920242,A,101.81964372778627,B,A,D,0
43,Hindu,Heterosexual,-57.3566669013471,C,B,B,C,B,70.22319626147127,C,E,-4.936096326800145,E,-96.16634008156049,A,B,E,1
60,Hindu,Heterosexual,-24.379855651960526,E,E,D,A,E,-166.87296519107647,C,B,-76.79072984400754,E,-121.52778859000952,C,E,B,0
28,Hindu,Other,-67.84458015501914,E,E,B,C,D,24.544911655967685,D,E,115.57316214305192,C,-7.512590613924821,A,C,E,1
44,Buddhist,Bisexual,-89.59593297315071,A,E,D,D,E,118.78990553694106,B,D,-61.352734485542825,A,151.8110393258199,D,E,D,1
26,Jewish,Bisexual,-142.12709332945963,D,D,A,B,C,152.32917107856153,C,E,-5.8591965328578794,D,-110.78233857401922,A,A,C,0
66,Hindu,Bisexual,46.92417803671196,D,D,D,D,D,-72.11532127471214,D,E,-168.99729927554264,C,-184.6702221394262,B,E,B,1
79,Jewish,Bisexual,-100.13977704414485,B,A,C,A,B,-48.866589910038186,C,E,-36.89377248691266,C,-11.857837745584185,C,D,D,0
73,Jewish,Homosexual,-63.72624255172721,B,D,C,A,E,-126.3295792011139,B,C,-54.66905372687933,A,0.12474160890264455,B,E,E,1
73,Other,Bisexual,-215.95043902711893,E,A,C,B,E,-96.70655068720986,E,C,4.674747972594756,C,-5.260491348753198,C,A,E,0
47,Muslim,Heterosexual,-66.18832606673924,D,B,C,C,A,-97.05387716309566,B,D,13.278897399955051,A,-6.848127238803372,C,B,A,0
45,Buddhist,Other,-123.44057370472059,C,A,E,A,C,15.200852496137662,D,C,121.517364229158,D,2.63435854101376,A,D,A,1
34,Hindu,Heterosexual,161.97664744161065,E,D,B,A,A,-110.89606892862254,C,D,170.6706604551309,C,-71.30666081825049,C,D,E,0
71,Hindu,Homosexual,133.02750540973963,B,C,E,C,E,-66.92554366436543,C,C,-104.61245868436939,C,89.64112605282901,C,E,D,0
68,Other,Heterosexual,-11.807135705557139,D,E,D,B,A,48.07304452628098,A,A,34.59620472243667,C,-75.39278465744769,E,E,B,0
29,Christian,Other,-12.419236371756782,B,B,A,A,D,-112.2021113577673,C,C,-123.6245147748369,E,-3.6725108041637125,B,D,C,1
38,Buddhist,Other,179.13963350008254,C,D,B,E,A,34.05040918837335,B,C,1.6781157061546987,A,-109.92697213681237,C,B,E,1
61,Christian,Bisexual,-80.60204188985611,B,C,E,D,D,125.88140067649205,D,C,-204.3400687701069,C,86.98044029971179,B,E,B,0
23,Muslim,Other,43.5523634437686,A,C,A,C,E,-135.70045789365767,B,B,16.80648361278178,C,62.69451641919297,E,E,B,0
52,Buddhist,Bisexual,43.018046690431845,E,C,B,A,C,-118.06764567543486,D,A,125.66298960234106,E,80.48470672241763,B,E,C,0
66,Other,Other,-0.04564136309876733,E,E,A,E,E,141.50861198195193,C,B,-269.90126230221307,D,189.30324976221328,A,C,E,0
32,Christian,Homosexual,-158.39197910415442,C,A,C,E,B,-99.00453390856036,C,C,-100.499361777034,C,114.74563303035856,D,D,E,0
56,None,Other,-39.68344783429541,D,D,C,A,A,113.6456902372202,B,E,-99.30924342935579,D,22.477532970649065,A,E,A,0
41,Hindu,Homosexual,75.52321108333831,B,B,C,D,D,-50.27543347689715,E,A,-63.25990474565993,E,53.01951336445926,C,D,A,0
68,Other,Other,95.98872775397608,C,D,B,D,C,4.095489367856196,A,C,-30.637567645608748,D,156.16802628319192,B,A,C,0
35,Hindu,Other,47.60525163146619,A,A,D,C,B,65.79559654826693,B,D,-35.59953542528376,D,-8.50693765717818,D,B,E,1
70,None,Heterosexual,-105.56836244161445,B,A,C,A,D,4.591513080547191,C,C,81.49029151933696,E,-134.62085237151717,E,C,A,1
46,Buddhist,Other,103.53433662287206,D,B,A,E,A,70.61792712038984,A,A,86.46833440975362,C,26.210203963148444,A,E,A,0
18,Christian,Homosexual,-80.42147057635354,D,A,E,E,C,92.39933002287059,C,E,-16.70063170565268,A,-78.49750718300267,A,A,C,1
57,Other,Bisexual,122.9808578832903,A,C,A,E,B,104.23918203837283,E,B,-2.659560356200592,C,1.0008090285523537,C,D,A,1
53,Other,Homosexual,309.77433430208293,C,A,A,D,E,-82.62270985063547,E,E,-184.48322398400148,A,-48.91131755108333,E,C,C,0
43,Muslim,Other,-76.12698551806837,D,E,C,C,A,-76.88489393832438,B,D,104.14503680738893,D,-92.00968980863371,A,B,D,0
18,None,Homosexual,35.88097740483708,C,B,B,E,C,-21.19153634780047,E,E,-41.258570895700544,A,156.74798749233673,E,B,B,1
54,Muslim,Heterosexual,-179.47273697788688,E,E,E,B,E,-203.9844730094929,A,E,111.28498136669826,C,-29.23242836178065,C,D,B,0
27,Muslim,Homosexual,-129.87574911106213,B,B,E,C,B,38.58772541116351,B,D,-22.5544617894143,C,-50.494827756352144,E,C,A,1
46,Other,Heterosexual,26.187444888221112,C,B,C,D,B,45.40208771243669,D,A,138.72475932434656,E,-181.07564197066355,D,D,A,1
78,Other,Bisexual,-11.972950773059424,E,E,E,B,A,-132.93782660075993,D,D,-169.78982005525108,D,-148.60707057232372,E,C,A,1
57,Buddhist,Bisexual,20.464559973196174,C,A,D,C,B,-83.61667563915249,C,B,21.625596048277135,E,-78.50294520022172,B,E,D,1
59,None,Homosexual,-39.266529672556494,A,A,C,D,C,-40.94871659464711,A,E,36.438295790049715,B,2.465838475292134,B,C,B,1
34,Other,Other,151.3696897380311,D,B,C,A,B,-6.411810950144909,E,C,47.69126984975734,B,322.7528784303394,E,C,C,1
39,Other,Other,-141.52731551550565,E,C,B,E,E,90.29386743404456,B,A,52.84342531841985,E,-6.556880092238276,D,D,B,0
33,Other,Other,119.34571126914007,C,B,D,B,B,161.84584462805168,B,C,211.51168874244726,A,235.85026482358666,C,C,E,0
73,Other,Bisexual,-236.63167850190322,B,C,A,A,D,30.229230258312818,B,C,10.382862405163626,D,-85.26478190502118,D,C,B,1
55,Christian,Homosexual,50.83122248019176,E,B,E,E,E,-49.3923756458362,C,A,-109.14458739671629,C,122.82951158644808,E,A,E,1
54,Muslim,Other,-18.996031076302188,D,B,D,D,A,-63.77235951590858,B,A,-31.50940838357772,B,75.66396747079193,C,A,B,1
75,Muslim,Bisexual,161.05986877097317,E,B,C,D,D,167.48190732658918,E,B,-46.91235196268269,E,-203.6700550156326,B,B,A,1
74,Hindu,Bisexual,-121.41374921820712,D,E,B,B,A,62.83266816879397,B,A,85.13525226488674,E,-191.61976992480356,E,D,C,1
26,Hindu,Heterosexual,90.51239049726401,C,A,E,B,C,-18.11421766991029,C,C,119.11528748180977,A,63.35990173606315,C,E,B,0
19,Hindu,Heterosexual,33.609254225624795,C,A,C,E,A,92.01113013087145,D,D,4.156311596574592,D,10.061015759358245,C,E,E,1
42,Christian,Bisexual,-130.78756880946693,E,E,D,D,B,-165.45713263863234,E,C,9.439409997796224,E,7.1010518009262125,C,C,D,1
53,Christian,Bisexual,63.94731186811751,A,A,A,E,D,-272.746729752183,C,A,-83.6818287597023,A,-104.64440475420184,B,C,A,1
58,Christian,Homosexual,-47.2984551059023,B,C,D,D,C,130.14817020584226,B,E,93.55721008484205,D,-6.030338637212504,A,D,C,1
49,Hindu,Heterosexual,94.47510446609576,E,D,E,A,A,195.07724343727253,D,D,94.2424802524429,B,25.286528318307028,D,C,E,0
55,Buddhist,Bisexual,49.037932073270056,B,D,B,A,E,-82.98153143711711,D,C,-148.67869960370933,C,-78.46302916780684,E,A,A,0
31,Hindu,Other,18.03697660760082,A,B,C,A,B,77.58164557325932,E,D,147.88554762201693,E,52.508533497544875,B,E,B,0
51,Christian,Other,0.21431576294398297,D,A,E,B,D,-143.74227872044185,E,C,-136.48543417788147,B,-29.332761502612176,D,B,B,1
73,Buddhist,Bisexual,53.35468326674862,A,A,E,A,B,-58.437580865945115,C,B,47.70797365530102,E,-39.45974691195681,C,A,B,0
55,Christian,Homosexual,-118.96756261662884,C,E,B,C,C,5.979371204084961,C,B,-138.15751389985425,B,17.459199805440743,D,C,A,1
38,Other,Heterosexual,94.91844960428979,A,C,A,A,D,77.77733992780279,E,E,-6.53103348614655,E,150.60774566872817,D,D,C,1
31,Other,Homosexual,-46.58898968725846,C,B,B,E,B,47.4108674710249,B,B,184.28930755701614,E,139.77582141983177,D,A,E,1
35,Jewish,Bisexual,46.54152512840048,B,B,B,C,C,-7.172414237809553,A,A,-234.49469363116017,C,193.44621354363375,B,B,E,0
37,None,Bisexual,-78.14285672277774,E,D,E,C,C,59.16099827232598,B,C,202.89721973333727,A,-62.926882533486996,E,C,C,0
28,Buddhist,Homosexual,6.680760136723082,B,B,C,A,A,230.26251297009503,D,A,-46.28325878669792,B,79.65338059410459,D,E,E,0
40,Hindu,Heterosexual,103.47535296758588,E,C,C,B,C,133.5922856114105,E,E,-71.96877269394733,B,104.69021329625141,A,D,B,1
46,Other,Heterosexual,-73.8226460292233,A,A,B,A,D,-2.738163448599869,E,E,-5.97620062184467,B,17.753679003088443,C,D,A,0
64,Muslim,Bisexual,87.27790252470258,C,B,C,C,B,148.55724275430924,C,B,-20.30249248681758,D,24.976391113105763,D,A,B,0
