military,age_range,nation,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Yes,18-25,India,M,18.533902741536863,55.96003406017923,127.33714599628303,B,59.088801871033084,A,E,25.200828698591813,A,-27.52700945037373,0
Non-Veteran,18-25,Germany,Male,50.91965806928963,-69.25201733806576,-37.4179072701702,D,-150.71850278326275,A,B,-32.72404849309656,A,-61.28462366608536,1
Yes,26-35,UK,Male,57.566788155262195,32.28712776017385,-15.513051908822877,E,-199.01978258748096,A,C,142.85215371240153,E,-148.4602841267229,0
Veteran,26-35,China,F,-166.34985426567124,-67.74821572020913,86.57140238864149,D,-100.3341337106699,B,E,-123.2510206206086,A,-82.1046027595437,0
Veteran,51-65,UK,Non-binary,14.268550107910254,131.96355737494278,-9.994467804918976,E,43.139865078312326,D,E,-46.71862407646314,A,34.626157972106355,0
Veteran,51-65,Brazil,Other,129.63549499062265,28.92359321541952,-4.500312650154732,D,102.35718644251888,A,C,15.576008309980056,E,74.37439945358602,0
Veteran,36-50,Brazil,Female,-42.11589652384928,-54.97884911788968,153.66193834189596,D,120.16006869612058,A,E,68.76688480418596,E,33.14581912549293,1
Non-Veteran,65+,Germany,F,113.17566677710522,126.45922636187355,143.858156089318,C,153.70568218446024,E,B,100.11826830053433,B,148.96304978890552,1
Non-Veteran,18-25,China,M,155.1138572944967,140.9919009513322,-33.23419032714418,A,97.51465349922994,C,E,-82.94920149257173,E,-29.29911976936023,0
No,36-50,Germany,Non-binary,20.619625145147495,-124.63565658444897,12.201697532793803,B,-14.926199555240752,E,E,24.17835471958727,A,-108.97194678965494,0
Veteran,36-50,Other,Other,-132.02331432776919,37.32751819193601,-96.7565745341371,B,205.0017773296554,A,B,-81.00409173329128,A,-27.850856454095002,1
Non-Veteran,65+,Other,Male,-107.73736803635634,23.08267639361275,-135.08349713501707,A,145.18197827080212,A,D,56.787987754509025,B,-42.38563982427159,1
Non-Veteran,36-50,UK,Non-binary,-159.73461240233956,106.94156735058885,-13.99150235074452,B,164.0069146092791,B,D,-8.75494139058991,E,126.18409887728477,0
No,51-65,UK,Other,-135.87620202434357,-180.63938321606324,104.10647009907754,C,5.832067418122268,C,D,-50.30523625717787,D,169.7952343086039,0
Non-Veteran,65+,US,Other,-8.020837984682801,-44.70348937293107,-35.2008938518502,B,69.6028637440965,C,D,-214.86281798657552,E,70.15291958272292,0
No,51-65,Other,M,27.13839562023481,123.72642810085826,126.00521365635089,A,-36.49754562061561,D,D,79.17161142578014,D,-45.05637963354614,1
Yes,36-50,Other,F,-98.1095844721723,72.7608068865011,-86.07706125000257,D,49.42073114649729,D,C,46.50529992776674,E,59.50366544711121,1
Veteran,65+,Brazil,M,-185.12818796825698,77.7400793250108,-5.562564605070762,B,20.591905232527484,E,A,-157.7242860505278,C,-33.79881609443871,0
Yes,18-25,Brazil,Female,76.9747113836567,38.49609190338142,-120.7133726545042,D,242.37140166757402,E,B,93.62375191363674,A,-32.17593146311657,0
Non-Veteran,36-50,India,Male,-20.95122147699755,-95.0309919622444,-154.64140431470605,A,-3.1035035389612298,A,E,-13.394206784541893,D,1.7807508769098555,1
Yes,26-35,Other,F,161.12582751396798,-101.97669474167333,-157.62200772820665,A,68.76428403586706,B,A,14.160432836140494,E,146.47844192090608,1
No,18-25,Other,Female,51.44754286337451,208.24639005833868,-156.01160029517183,B,20.204117900592895,A,B,-68.3128188616577,B,140.31301060764676,1
No,18-25,India,M,27.10464890336709,11.055635358368345,30.82607413616435,D,-26.040257923713884,A,A,-84.88793887730185,E,-67.14486087589204,0
Non-Veteran,51-65,US,M,-10.969046781968252,50.37386168289322,55.20118755310999,A,-29.99919086838621,C,D,36.77152385456045,C,57.45865387153827,0
No,51-65,Germany,F,-212.88026203397487,43.51727940708249,22.967981064707516,D,-0.22303161380431819,E,E,-83.09108507980095,A,-94.67992601059831,0
Veteran,36-50,Other,M,6.698776295903913,-14.707678962187703,-61.10009992177492,C,-22.116587518270396,D,E,204.74088766080865,A,61.26030813238559,1
Yes,51-65,UK,Non-binary,-89.10689358044583,-153.74034481936434,-139.67612284727113,E,-69.85453494628358,C,A,14.766828261951034,D,43.55413186563848,0
Non-Veteran,18-25,Brazil,Female,57.548529664653344,-84.64314593824753,-58.995182982700946,C,-5.365901748722882,E,D,198.97777405594005,E,-49.14985044634069,0
Veteran,26-35,India,Female,246.5811083732838,-0.3031016567177188,102.58588822349617,C,74.23040805229519,C,C,92.24999131463227,E,37.12984059048493,0
Non-Veteran,36-50,Brazil,F,148.52632643054227,-5.993670379847496,-3.6474961918216127,E,-78.16292352663558,E,C,119.03947481693766,D,189.4475896725995,0
Non-Veteran,18-25,UK,F,59.801767553745755,-16.259734320154706,-45.809627885714335,B,-116.27307532516676,D,C,13.36946494302929,D,-5.20998290697466,0
No,36-50,Mexico,Female,69.4975550039917,0.2588369895158532,-80.1285147501487,D,-105.678983162526,D,B,17.68378792722069,B,30.126809421825822,0
No,18-25,China,Non-binary,15.293021181572113,-59.08738385076605,23.692696189102637,B,160.47379859776808,A,A,-8.405993678248384,A,12.2988280648988,1
Non-Veteran,26-35,Mexico,Female,-133.10077995286525,-132.13624465890317,232.75322147567556,C,21.02773188786568,C,B,111.76919154369156,D,-65.37568623947931,1
Yes,26-35,Mexico,Other,-77.89935239989421,126.18712703436445,45.45987850467848,C,103.25367822419483,A,D,-59.29871424476237,B,-40.363266013454705,0
Non-Veteran,18-25,China,Non-binary,115.13624740832155,-52.028155724627126,80.5159513872795,C,145.76878615067503,D,C,189.01152271080863,D,-28.87401241394647,1
Non-Veteran,51-65,Germany,Non-binary,85.97419405438754,48.74032354064658,-184.63935451451658,A,-75.84890116620271,A,D,-107.68622248879282,B,34.741873380976095,0
No,51-65,Germany,F,16.939611835600587,154.55502885862953,-102.74206899001877,C,-66.45540945730431,D,B,43.89269689652846,C,-185.7064297207196,1
Non-Veteran,26-35,India,Other,100.10412531109756,89.8763938347868,36.48619006205494,D,37.58406269470627,E,D,72.98404913812917,C,112.16273082835843,0
Veteran,51-65,India,M,-141.22825084292793,189.5356334548816,-29.13622392419587,D,16.851644955733995,B,A,-200.34897014858922,E,-118.75740111024957,1
Yes,51-65,China,M,81.9602760952671,1.876748155784245,127.55319473561923,E,-8.800200350242449,D,B,72.70867243267088,B,-153.75004136939555,1
No,18-25,US,Male,-23.368608837636764,64.17489554496251,-118.83527579856931,B,-51.596546779429886,E,C,-31.099819716013315,E,-168.68288344671726,1
Non-Veteran,65+,US,Female,28.8313977421376,-105.23698904230908,106.66338563418492,C,-89.44655587442189,B,E,148.21001752278997,D,40.2904632562529,0
Yes,51-65,Brazil,Non-binary,94.46432145492707,108.0227096665588,-75.80832840843016,A,-13.536019695455678,D,B,-84.73646814938193,B,-41.96228037934156,1
Yes,36-50,US,Non-binary,51.747148829163436,240.7709491137154,1.060899216958913,E,-31.04525690149481,C,A,-21.203286858626207,A,-206.35513784391057,0
Veteran,36-50,UK,M,-15.084823327467525,-147.64941338747758,96.8596315457815,D,7.277688739993923,D,B,-148.8080704903816,D,128.26961900953745,1
Yes,18-25,India,Male,-96.00191289466206,65.65067722184395,66.10478412865046,A,-0.8156329115837718,D,D,88.69724803436605,B,-144.58127451618032,1
Yes,65+,China,Non-binary,-129.846027786334,-97.07937165061828,56.141121276332385,D,-26.658394912603278,A,B,62.61282943226062,C,-62.95397639837898,1
Non-Veteran,65+,Germany,Non-binary,-92.63922074465937,-82.21705402056791,-77.48242591868842,B,-92.07660926589668,E,D,-151.84756678723397,E,59.569054943746345,1
No,65+,Mexico,Non-binary,131.88075819662254,27.401631859683988,-31.119514426432055,E,-213.81620458287708,B,B,-114.82076128433778,C,-62.5760326419869,1
Yes,36-50,Brazil,Non-binary,-41.3169631783326,73.67989469102804,-11.599161573281728,B,3.3094467157823235,D,A,-129.3930601167283,B,31.812711083284,0
Non-Veteran,18-25,UK,Male,128.79298651858028,-127.11834282694127,150.8417509039856,D,15.403006594944005,C,B,55.349295896678505,B,-100.32984777708947,1
Yes,65+,China,Male,18.65897760333728,65.3561589354459,133.68877176149348,D,-78.44923235894693,B,A,-169.65388627257175,A,33.744496499211095,0
Non-Veteran,36-50,China,Male,33.01246904351542,27.001110112421962,-78.64257154588513,D,127.80649598181748,B,D,-99.41847385514147,E,26.708864862080034,0
No,51-65,India,Other,53.25116587567371,73.45042908217184,50.87811892552989,E,149.38438414215037,E,C,13.34588028119364,C,118.42217047280954,1
Non-Veteran,26-35,China,Female,-292.79741245205366,82.70702596990638,-21.45139803859314,A,50.722950053060025,C,B,-239.2984944909562,C,86.87645726964561,1
Yes,51-65,Mexico,Female,258.4091746673511,124.2005428534932,62.63888166302946,A,26.560528228681328,D,A,267.3312905092799,C,41.84323794651563,0
No,18-25,US,Female,-26.13357438724664,153.7790995849046,-90.19787769339382,C,-86.96880621860966,B,A,63.9433545094113,E,53.760682604279495,1
No,18-25,US,F,224.68582945631167,-33.537054122958644,-113.23347667767563,A,49.68849987639319,C,C,1.3450365682577186,C,-133.01484889989882,0
Non-Veteran,36-50,India,F,322.0713224703521,119.62101244798069,-36.687162836134576,D,75.81006376060407,B,A,-14.923669710220574,E,157.77431468667822,0
Non-Veteran,51-65,Germany,Other,19.65457494781205,136.7039292418274,-17.829159498131443,D,-120.41194676398494,A,C,115.05994713731913,C,11.942215887939495,1
Veteran,18-25,Other,M,-22.69781161645258,-157.3000201504683,-35.028118040922685,C,66.64768175274989,C,B,44.805562877179696,C,-139.31565656367255,0
Non-Veteran,36-50,Germany,Male,171.59446465831522,-29.607568908698074,100.61808035484808,E,-19.637006088572953,C,D,-70.77977448363458,E,-48.37360130403546,0
No,51-65,India,Male,-27.577666206452538,-91.51864057842111,-82.40654394564754,A,24.288683677341975,A,C,93.43205417940901,D,178.45416919146774,0
No,36-50,UK,Female,-6.612200263774135,-149.3885727246328,145.95844478886178,A,149.70565156341215,A,B,-97.82608318642988,C,-9.777156837845094,0
Non-Veteran,51-65,Brazil,F,-135.60060823516844,92.44335959762321,-188.98073955588106,D,-3.279000861298071,A,A,55.81142319336464,D,-39.268704952056396,0
Non-Veteran,65+,India,M,-69.45204611149181,-39.216509048430446,46.796630281680045,A,-152.4052357904541,C,C,27.539495796908614,B,-213.18142256102507,0
Veteran,26-35,UK,Female,-95.98303047538131,-307.6575384922885,-78.9407862677183,C,0.4851112560462981,C,A,-29.980531146605742,E,260.6152896554987,0
Veteran,36-50,US,Male,-61.46077744562861,-109.24169774791095,-55.74379194426857,A,-63.655155381066855,C,D,169.43775514322869,A,105.20010734333913,0
Non-Veteran,65+,Brazil,Male,-21.567832948986545,9.861154982477675,-112.57708902081296,E,30.10431450438787,C,C,-102.01784076800699,E,73.38494457204645,1
No,65+,Mexico,Non-binary,-156.93581491416458,-40.95120950031976,50.095652267537425,B,-6.732567263117388,E,B,89.82630028705734,E,-179.870964974599,0
Non-Veteran,36-50,China,Female,71.26446677250382,14.13411292523555,-51.60713766461866,A,200.50801484872113,D,A,32.025462416824126,C,85.0092840764887,0
No,51-65,US,Female,-67.1473282766837,156.00726230074068,142.3839750279389,E,-53.683824993546146,E,C,-196.40447006194884,C,-19.562890595387746,1
Non-Veteran,26-35,US,F,-29.511275808495363,-94.85855297970865,64.03180703586085,A,-28.44272191444589,E,D,36.30324795113265,E,-153.85012005611944,1
Non-Veteran,51-65,India,Non-binary,-17.531250588656018,-115.46282437051812,-10.081769264980856,B,-3.8340037547950914,C,E,-58.982482922354485,B,49.457221675211436,1
Yes,36-50,Brazil,Other,-81.28592940513008,113.34996631309437,-34.547258455459186,E,-168.93396805830275,C,B,5.580853140196985,E,-107.10172075846627,1
Non-Veteran,26-35,China,M,37.81825851545306,-11.433939881603958,168.69672710769922,C,33.38440310605022,A,A,-11.974994884502385,B,6.929233115264635,0
No,65+,China,Male,22.412774069477766,-1.8624096415668825,151.98014215912286,D,-23.664757413986592,E,B,-162.37416922120588,B,163.1866688004452,1
Veteran,65+,Mexico,Female,50.52646126814294,-113.55806629031062,33.168655593573746,B,243.61769289847328,E,D,16.535780410584415,E,-111.0728419740739,0
Non-Veteran,26-35,Other,Male,-170.89220101087972,59.74137781912313,-16.092771806276236,B,104.62391548924572,C,D,13.429542726462888,C,-100.0279912775354,1
No,26-35,India,Non-binary,59.033482726323996,-21.716992462139224,-10.029902608876332,E,-20.453080551806412,D,E,-17.07364154312763,C,-149.58513580277432,1
No,18-25,Germany,Female,-85.42682690892276,14.32843783811938,35.319299282648814,A,-50.65091095232055,C,A,132.33163015831258,D,129.77840180112094,1
No,26-35,Other,Female,-14.899123095316638,166.80785029311897,-10.256886692176602,A,173.23249231275486,A,D,4.847874335211257,C,-11.700403878212938,1
Veteran,51-65,Brazil,F,-158.10988183078734,80.57279544832342,-28.472750821689267,A,-250.34593387485873,A,D,-31.192780944537063,E,-90.01186951555513,0
Veteran,18-25,India,M,67.68212672757613,-39.574217061423575,42.76537210643818,D,47.00510332017265,A,C,-62.92946804433183,B,-52.08329530981811,0
Veteran,36-50,Germany,Female,6.7932966041647935,74.57139736435316,20.10827192826847,E,-51.18796741309099,B,D,-75.05742882050691,D,28.609025332323363,0
Non-Veteran,26-35,Other,Non-binary,-95.10202076483036,-8.488737660689699,-38.81268553167763,A,-115.31484338883493,C,A,-52.119426995247366,C,59.90999344565816,0
Veteran,36-50,Mexico,Female,-112.63069375381139,115.17311125822664,31.87510860456324,C,-133.6484142111684,B,D,109.42072129749427,E,69.9837243960166,1
Non-Veteran,36-50,China,Non-binary,111.87617369817436,9.655511061564932,-34.77682025736765,D,134.65777274206977,D,B,-176.46726172655346,B,-120.22436388414017,1
Veteran,36-50,Other,Non-binary,-27.691135997938975,-201.76232927109425,-80.70998959524395,A,28.742051806424833,A,D,-69.3231197491459,A,-53.9231557972883,0
Yes,26-35,China,Other,-62.22034356408239,-25.650242964037044,41.28318337037142,A,-40.636862566887224,E,C,-13.150326638774617,C,95.34251880280124,0
Yes,65+,Other,F,16.5472745273701,70.78499551937645,-14.496640708674727,B,-31.54023798483462,D,E,-69.0822214074992,D,-46.05577329460807,0
Non-Veteran,65+,US,Other,114.18347909553175,204.1396610892717,156.22322184167706,A,44.53155293283781,C,C,47.92391985225212,A,129.8311343337574,1
Non-Veteran,26-35,China,Other,63.877545081510064,6.6885690731820215,-145.1280081318699,E,-28.191149307885755,A,D,72.74481134485347,B,42.22529099794803,1
Yes,51-65,Other,Female,18.328759300269866,-18.79832343046351,145.63573374680317,B,-15.166897106312483,B,C,-185.5322070134895,A,-27.851989465937045,1
Veteran,18-25,India,Male,-5.58790679058127,-4.594562057949892,6.780061433870935,D,80.52612902537028,D,E,-80.79496433562664,D,66.46959206187161,0
No,65+,UK,Male,-7.723751643146477,-158.5674613511439,14.018235139583807,C,26.633745043635663,D,E,38.24063162011868,E,114.62207889428551,1
No,51-65,Germany,F,-36.61210393567077,210.79044635769554,4.305013693997596,A,11.51715744101985,E,B,63.75708596788624,E,-22.360958105449708,1
Yes,18-25,UK,F,19.475099268700372,52.88054870916824,52.32236333213759,A,-54.63939952410758,D,D,19.720734918317017,D,-127.48668837843451,0
Veteran,18-25,Germany,Female,-95.37740777589924,14.356888408369972,-58.72950829561512,E,-27.428343808802637,E,A,96.03330039023678,A,-51.413495827211065,0
No,18-25,Mexico,Male,125.12760065253474,-115.0898291436474,21.43134942583128,D,-64.52282622220359,E,C,33.67843732844139,E,-19.434149045690237,0
Yes,18-25,China,M,69.95680817703074,-18.452470259908143,-32.93151982077859,C,-41.374815480443914,A,A,94.66941292359937,B,47.469403927195636,0
Non-Veteran,18-25,India,Male,-15.228068583729012,-205.95348754100522,-107.8009011378823,B,91.25263432242858,B,A,40.67098165880919,A,44.52847375089702,1
Yes,36-50,India,M,61.14434765335331,132.31972082187184,-28.960890353133138,B,35.23573930901176,B,B,75.86738591449952,B,-89.59457309617093,0
Veteran,51-65,India,Female,105.41090650339788,-67.76451230840507,-266.9637789060177,D,59.99445983102899,D,E,46.679712442971514,D,-153.17182825038552,1
No,36-50,US,Female,173.3040133237391,98.89455519555466,42.77839466240641,C,114.48097008027196,C,B,75.000734271748,A,-5.4543353106836205,0
Non-Veteran,26-35,US,M,135.77872087060297,-81.66958536731576,-40.45179237102513,C,23.179946603491224,B,A,-36.394177402333725,A,120.23564215874265,1
Yes,65+,China,F,34.38818652783971,285.2867793705511,143.8871925935608,C,-141.42894825945058,C,E,-79.38381696825495,A,86.69705781835584,1
Non-Veteran,51-65,Brazil,Male,-28.55704824334559,-100.78759719102435,54.00293461693876,C,106.07168150975792,B,A,85.28002202926692,E,69.44715658311101,1
Veteran,51-65,China,Female,12.698264593825426,37.30202874025872,142.0380018454324,E,-26.36506709438341,C,D,99.09927713187481,C,125.44112586110556,0
No,65+,Other,M,-156.42924785280078,-18.316456267632766,66.19738696480911,A,19.344951189684252,A,C,114.83614266387406,D,-6.605994222783658,1
Non-Veteran,26-35,US,M,-97.73476316706663,-37.13989229896745,-15.261350111776556,B,-44.59056666778602,C,B,1.1593279931340603,B,-86.77718830907595,1
Yes,51-65,Brazil,M,83.30979135574178,-108.35862712990819,-59.546873628421594,A,110.08572512178094,B,B,-5.464151430346981,B,-206.44995015847897,0
Veteran,65+,Germany,F,97.4434212050848,90.68069797985547,67.59611320810457,C,-132.94154635104252,A,E,-101.2483324043058,E,129.65375210960931,1
Non-Veteran,51-65,Mexico,Male,-9.238833731562075,98.9776427617635,-23.432760962637666,C,-27.874108410822284,E,E,-38.26291141402352,D,40.916502870903436,0
No,26-35,India,Male,157.89304283599043,88.31162400104327,-41.346474417058054,B,19.46192637945972,C,E,-12.616697160748144,A,-0.4224413360037287,0
No,36-50,US,F,-142.69871553564744,-79.30230022739451,-80.17469138069721,A,-100.2649723491043,C,C,78.08484182231213,C,97.03495837444468,0
No,18-25,Brazil,Female,-132.6722859501702,-132.29209382338283,-64.65010827145133,A,49.46056123867022,E,D,56.28156947426729,A,-91.54034893188066,0
Veteran,26-35,Other,Other,76.74491625065015,207.02785456141228,250.9648099089534,A,99.31717735086391,A,D,114.10934170188725,A,-102.84448432259718,0
Yes,26-35,Mexico,Male,149.14206117787614,85.33806683407514,-186.05466234908545,C,94.13483283422556,C,E,-6.279004206563934,E,23.554043460312887,1
Non-Veteran,65+,UK,Other,-157.1464906870023,277.75866703402664,61.03056783869943,A,105.45490963006692,B,A,175.27199759908396,D,-15.467576465616965,0
Yes,18-25,China,M,128.9254169010126,-153.07950974116162,-29.84779578011646,C,2.1644421621444874,C,A,27.31998712478758,E,16.237875965046,1
Yes,51-65,Germany,M,121.81013238260732,6.211167152327776,-137.75013755701903,E,-72.47618092967284,A,D,-193.4700110659133,C,-44.36551734712146,0
No,36-50,Mexico,Female,31.47921812758331,81.94995654707762,-13.604294310581716,C,12.555904894733361,D,B,13.45858407911756,D,73.62669812867604,0
No,36-50,India,F,-3.465577382399813,-76.16075761445177,11.076293246420558,B,-141.95800743948584,D,A,-97.97710045815037,B,108.4310846797671,1
Yes,36-50,India,Other,-215.68962425980814,-62.86338812341186,17.725043119896256,D,-101.56727034736267,B,E,38.43465648223284,C,39.82367758158893,0
Veteran,18-25,Brazil,Other,224.98346273262953,-33.25992241990688,90.15575051443857,D,-28.966349743398567,B,B,65.01251269900796,C,-18.91160064053298,0
Yes,51-65,UK,Male,9.14108930583135,-36.130514040928254,-4.50596599692572,A,5.346635134290416,A,E,7.990845017587354,E,102.01802193144607,0
No,18-25,UK,M,69.03085009432802,101.28498431163948,3.1023545557342085,D,-147.93519845134432,A,E,-5.514381224451591,B,-26.692222247425175,1
No,18-25,India,Male,178.78454740017975,116.64163294849426,-114.55123832018899,C,-166.15392669103258,C,B,99.57140195868038,E,95.87877565180156,1
No,26-35,US,M,-89.93003037430266,-25.39120140249637,130.0258268237287,C,-28.91936371577508,E,A,98.43234944482269,E,-62.59019206041273,1
No,26-35,China,Female,-60.774979710468735,-129.13844209657395,131.63238025653177,E,-79.394522649864,C,E,189.02262300397894,C,-88.03293453448973,0
Veteran,36-50,Brazil,M,3.3262936956656017,-17.94213258408567,-150.84908616265096,B,34.15238761664387,D,C,43.83070379427737,E,-64.48947962083584,1
Non-Veteran,26-35,India,Other,169.71263686982562,-75.339977486559,-4.139406739978369,E,46.97627124275288,D,A,6.2979130366720035,E,21.746237484638538,0
No,36-50,China,Other,64.9862214136465,-66.50448960851692,-50.39856652524003,A,17.16568389037943,D,E,176.88265237757014,C,-42.2145644894568,1
Yes,65+,Brazil,Male,66.56028065325272,5.251087133816642,235.13107793343707,A,96.99898618164934,A,B,94.64540083530115,D,-32.43472097366647,0
Non-Veteran,65+,UK,F,-124.42810344545288,92.24709895111303,-5.756068542073333,C,-97.52555517723054,E,B,-76.69725170271329,A,15.748010603437665,0
Non-Veteran,36-50,India,Male,-35.72671594311663,-37.54486024533928,49.18373187318668,C,126.27706898675208,D,E,11.178222859082872,E,71.58790393637375,0
Yes,36-50,Germany,F,42.45078473295719,-110.54985012087639,-71.40875886473208,C,-47.30108559243832,D,B,29.629218422352178,B,-85.26878158361315,1
Yes,51-65,UK,Female,-185.02353632958125,-62.35142162524427,-44.99168935079914,E,54.77125668581236,E,E,-29.744060718934843,B,24.32485147361897,0
No,36-50,China,M,-69.15588404646054,87.45199215782536,-20.544488523961036,D,118.13370964930219,D,D,1.184920147416152,C,-18.081317022184102,0
Non-Veteran,26-35,Mexico,Non-binary,-197.14870561342937,-0.5970478801525122,16.971788621694568,C,-8.946442193568895,B,C,3.7989220521567466,E,-206.18700881505322,0
No,18-25,Mexico,F,45.53244571662861,-4.448217029395015,6.054714655247741,C,-51.68277513630263,E,B,-152.58831738658506,B,-270.89050127950856,0
Non-Veteran,26-35,UK,F,126.7341210842633,70.25723502416224,48.79369860766388,E,45.16062546818455,C,E,125.22555183333736,D,91.30920008687795,1
Non-Veteran,18-25,India,Female,-42.61085301394881,146.1073705742072,32.56281393525304,C,-169.07940028791592,D,E,17.923705973280306,E,43.877391450636225,0
No,26-35,Brazil,Non-binary,238.78330851757514,79.58235446036784,-62.16072200841191,B,44.48776798787182,A,A,152.67207163856366,E,-20.422722359183574,0
