nation,birth_year,age_range,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
China,42,36-50,Male,E,D,D,-32.892963229428375,59.217607945920705,A,D,A,78.20954257367245,-100.34209634935077,A,-63.66344280435213,1
Other,47,36-50,Male,A,D,E,132.5184359699234,11.26984123748039,D,D,D,-51.06665367138129,-3.103773562095599,C,99.38556008204833,1
Other,30,18-25,M,A,C,B,125.90075489001804,-67.22006414456546,C,C,E,122.46221012314531,-59.87607087817031,E,33.714352002874655,0
Germany,32,36-50,Male,E,A,E,-3.8046966240190363,32.87164677999238,E,D,A,-49.77543928549197,-201.75501228553205,B,52.07184913491517,1
India,24,36-50,Other,C,C,E,-178.68618161983443,-236.8758511642539,A,E,C,-7.250777060240475,-4.854265746021225,B,140.7274527092768,0
Brazil,44,18-25,Non-binary,C,D,B,61.93709830481805,-17.629473129802985,D,D,D,38.07477414792068,83.03789050699032,C,-24.975445927072574,0
Mexico,27,65+,F,A,B,D,24.650616637370014,31.26047986768225,B,D,C,-35.514404652077566,-113.94472229192559,A,-173.77188316743513,0
China,27,26-35,Non-binary,E,E,D,-133.09537140634959,-247.37205971508084,A,E,B,-1.8106470063827655,-50.120428782640914,A,-91.08335744988659,0
US,74,36-50,Female,D,A,A,-128.3570618094684,55.870464968115385,A,A,B,-60.55164942253754,-5.213463987321652,A,-127.8325648855765,1
Brazil,41,51-65,Male,E,C,D,-85.90716445921424,20.425657367483666,D,E,E,-116.74108906553474,-97.3723939575301,C,-84.33558805547908,1
Brazil,73,18-25,M,A,D,D,-25.978708861000687,73.04343114938669,B,E,B,51.64816469280932,47.12515235856298,B,-19.23591548464015,1
UK,23,36-50,Non-binary,B,E,C,21.30243202662547,65.5036947307272,E,E,D,93.19958061841992,66.7527181476909,C,142.07845929228623,0
UK,70,26-35,Male,D,D,A,-17.2776246117052,13.892441985706128,B,E,C,84.45750104535043,-9.874792344717601,B,72.81249695130809,1
US,73,36-50,Non-binary,A,C,D,-34.74727131306137,50.55396382213786,A,E,E,112.52773759633897,91.74141665590041,E,-13.849745521363973,1
China,58,18-25,F,A,B,A,-117.88336608271504,-109.93730407387041,D,C,D,190.96955774096668,24.008459599135634,C,29.52470761146439,0
US,58,51-65,M,E,E,B,-95.34282929502328,-12.76291161525355,D,C,B,-27.57642711353934,23.63705516833356,D,92.98203484478536,0
Brazil,58,26-35,Female,C,A,B,-110.4075169849933,-41.67456177694553,B,E,E,74.41093648391197,-81.93740724547659,A,39.694818516817634,0
UK,44,36-50,M,D,C,A,40.51148926905479,109.66726745390687,A,E,A,-140.64472207444888,155.07759935130835,E,-77.76204254166126,0
US,71,65+,Other,A,B,B,158.0925342103226,-128.60249401614362,E,E,B,119.25463294403554,142.5829633007092,A,-22.822509418661056,1
UK,56,26-35,M,A,B,A,33.26911061373213,60.5571638895493,E,E,A,-24.572666642600474,-55.25352045974328,D,-155.65827588152317,0
Other,19,36-50,Female,C,C,B,63.61073348147374,-7.814279850766916,A,B,B,-2.1863833911200223,27.884959012530764,A,4.245748153288033,0
US,51,51-65,F,D,E,A,40.93301743881949,70.4786973518705,D,E,B,-71.25554168698116,-93.32969512074646,A,22.39786020075189,1
US,74,65+,Female,D,A,B,37.403691395742705,105.80953743673074,B,E,A,-88.5036459188229,-81.0963909461312,C,225.60293995646177,0
Mexico,42,51-65,F,A,B,D,-2.138096963591407,-19.728305913229942,B,A,B,-99.46588512620319,36.316815933405536,D,-66.80871659224938,1
Other,22,18-25,Non-binary,A,A,B,-103.56477185226211,-8.022095826568124,B,A,E,-91.7783268601548,-51.6009627301997,A,100.31840563677896,0
US,69,65+,Other,A,D,C,-85.09567122772415,-55.53619455623051,B,E,C,-15.018374763354576,84.18225962103809,C,-77.95094826462137,0
India,68,65+,Female,B,A,C,-128.59174490794643,69.88984894666646,E,E,A,41.113736781118966,192.98929066731162,A,-158.062124626336,0
Mexico,32,26-35,Male,B,B,B,-74.64205375486063,5.006788860078188,C,E,A,-57.54024695076302,-81.87738555317637,E,-0.37031220853633723,0
Brazil,79,18-25,Non-binary,E,D,C,63.58801645973629,108.48470995200286,E,B,D,115.36095949209164,32.477288142265095,E,113.6759742177514,1
US,36,65+,Male,E,B,B,49.595040996729985,-99.71432512422392,E,C,D,-43.07266383622349,-82.95816261282334,B,18.18418229032933,0
China,48,36-50,Other,B,C,E,-2.535893501203659,4.609879718105752,A,A,A,-94.93774273193213,-23.754686773805922,D,-3.7213606426099823,0
Mexico,69,65+,Non-binary,C,B,E,41.960598985653604,-121.26546160370148,B,B,B,21.533186923857865,-9.401456190795347,A,-150.20360014120922,1
UK,58,36-50,Male,C,B,C,159.84339550933214,36.348854088540705,D,B,A,133.02967909617823,-50.12278246254025,C,-28.04358117164696,0
China,73,26-35,Female,B,B,A,118.3522197874818,-159.18702905191563,E,A,A,-44.33161877150812,23.40472933772962,B,95.39723244838204,0
Germany,38,18-25,Non-binary,E,E,C,-80.03787933702552,62.75406418195787,A,A,A,-28.236765831711132,155.76989731132005,C,-307.2804602476853,0
Germany,34,65+,F,C,D,A,111.9961288757486,100.1097296027681,A,E,E,-0.21065118333056843,-132.23391069508813,A,88.71968235322296,0
Germany,52,51-65,Male,D,B,A,-49.076445859137905,38.41565363879688,D,E,C,153.5048569924992,55.61714374784097,E,-77.36586365389279,0
US,59,51-65,Male,D,E,B,-61.65143402062161,-29.577851550503603,B,E,B,-265.79792661938575,57.00226032020331,D,-68.07214162498838,1
Germany,43,18-25,Other,E,A,E,21.375752601998087,-43.18732089865977,C,C,A,70.56953483234216,136.87887482745342,C,-122.91107813203794,1
US,64,65+,Non-binary,B,D,A,301.20404471126096,145.9537017039566,A,A,B,7.830360120989437,116.95909762424756,A,29.988451109782222,1
Brazil,78,18-25,Other,E,C,C,63.62095448393409,71.26439209317238,D,E,C,-88.82024585224245,-35.86835436607415,E,19.636377159950346,1
Germany,40,36-50,Male,D,D,D,-58.549136253081244,9.195708218219254,E,E,C,-70.71526638573377,27.240830474593196,D,194.87398836104518,0
Brazil,75,18-25,F,E,A,B,74.62266679545583,-139.24772010728103,A,C,A,-167.01527114365533,27.239738073343382,C,51.368726970464095,0
Mexico,71,26-35,F,B,B,E,-208.29602928793216,-50.807464471077054,D,A,E,-77.04457810443398,-10.893035411258305,C,133.82818233538546,0
Brazil,18,26-35,Female,A,D,E,-81.99312077178482,-73.49828228278042,B,D,C,349.71271645450497,33.97518187348677,E,-68.25565966699946,1
US,58,26-35,Male,A,C,B,100.02120882936212,-154.49950581327383,B,E,C,168.7056748706524,39.04179806014309,C,28.69620280338764,0
Other,72,26-35,Male,C,A,A,-137.84682531229438,57.34171568335302,D,D,E,36.71354946411322,16.646158251140307,A,-104.40338686588211,1
UK,53,65+,Female,C,E,C,-76.82739132929315,44.395790705945885,B,E,E,-60.12442954998618,162.01005846904465,E,58.209958607288904,0
Brazil,67,36-50,F,A,B,C,54.385366159825466,4.89425817816096,E,D,D,170.3055886941678,23.767305400027976,D,-94.03368255710201,1
India,61,51-65,Other,C,A,E,194.48741878151262,-85.88224510704198,E,E,B,-91.08178729483588,-101.6556566060435,D,3.9467477606390204,0
US,21,65+,Non-binary,E,C,A,3.5617495817758487,-11.004865406578665,B,E,A,-97.79539139938936,-133.9332966215268,A,-37.4228685402644,0
US,23,18-25,F,E,B,B,184.34990084149166,19.690829426634473,C,E,D,77.19096616572416,16.074569944606782,D,-102.4306684001409,1
India,34,18-25,Male,A,C,C,-217.27343718086627,-96.26481491125224,E,B,A,-196.244483088212,-63.28254440620641,A,190.14457552030655,0
Brazil,70,36-50,Female,B,E,B,-61.622600576911815,-143.82326967560377,B,B,A,53.45376376590883,-39.66510289028108,C,192.99588605509018,1
India,48,18-25,M,C,E,E,-70.7608743500278,156.64354527327282,B,D,D,0.31635109435220293,28.25908647274883,C,95.34849338416211,1
UK,43,36-50,Female,B,B,A,-154.29200527814524,-42.69035026127993,E,C,C,44.05446889621357,191.75392308786522,E,107.70638748684405,0
Other,73,51-65,F,E,D,C,-28.365160536970336,-46.15222543841288,A,E,E,109.48021814965377,-79.26609388758288,E,-97.69456890033993,1
US,29,18-25,F,A,A,D,31.450109624392457,-17.819324608106214,C,B,B,-275.48287013713406,-9.814074803921091,D,184.5055133663083,1
India,65,18-25,Female,D,B,D,-75.08797697588159,30.478560450991083,C,E,A,-42.656687906258234,-70.85310015518792,E,-143.84771462228963,0
Germany,76,65+,Non-binary,C,D,E,-144.18173382600438,110.91720359414936,C,C,B,127.12654852767267,112.15245135921663,D,5.796475055163032,1
UK,74,26-35,Non-binary,D,E,C,58.67699421298418,-43.60319763273381,B,B,B,3.882059786946913,125.35275656405614,E,-74.90279836500532,0
Mexico,19,65+,Male,D,B,B,6.240581306634805,79.02878796180833,B,C,A,66.93004611934353,-0.3054352309037612,A,-146.79130126341312,1
Other,56,65+,Other,C,C,C,49.39281037581404,142.8461326392387,C,A,C,-2.1277860390602816,65.41238660967146,A,43.5067282369048,1
Brazil,49,18-25,Male,D,A,B,-14.130481113554975,205.89562383888222,C,D,E,-52.69207452178334,134.32554042308342,E,63.79372902225033,0
Brazil,67,36-50,Other,E,A,B,-131.27742246812423,-6.11435091385585,B,E,A,-7.626152358312674,61.23678495230133,E,-64.56429597872389,1
UK,32,51-65,Non-binary,D,B,B,-3.043554059175653,-39.04617430686916,B,B,D,-16.602144434182126,-17.110930258206565,A,-88.68716746489463,0
UK,63,51-65,Female,D,C,C,206.41903347998684,121.47188279651063,E,A,A,-136.11690758787154,-141.90117380166566,C,-78.4341314992575,1
UK,71,26-35,Female,D,B,D,8.910147402952614,78.0747171415627,C,D,A,5.543437214627414,-103.18231899451773,D,-17.215100802947614,0
China,60,26-35,Non-binary,C,D,D,-115.0961845670032,14.25942980852484,B,D,D,32.84187071375466,-205.2028842983114,B,38.418008491779105,1
India,77,26-35,M,B,D,A,66.58395059200166,81.66581887840897,D,A,C,102.6745097704059,-294.1116679984531,B,120.87190596856523,0
US,37,65+,Other,B,A,A,-39.08617382909709,-285.07734282827374,D,B,C,58.64589535806726,135.9620267961431,B,207.93595775719683,1
India,79,65+,Female,E,A,C,143.4812080310234,53.51965357516267,A,B,D,94.99612183342369,-68.42613004516946,D,-15.011015627831911,1
UK,42,65+,M,A,C,E,61.28337023476328,70.65900977259997,D,B,C,-215.44924064936572,-118.25490641607634,C,-98.50329912002175,0
India,34,18-25,Non-binary,E,C,A,143.69479221762472,-111.89646240510018,A,A,C,221.50373513875437,54.3705560943079,A,-218.9490666785268,0
US,35,18-25,Female,E,D,C,-11.505058986395731,-11.339936205490757,E,B,E,138.9338690562254,-153.75919186332865,A,-137.58292415447147,1
UK,49,51-65,F,A,D,E,217.44441218855889,-61.24911831716631,C,D,D,92.51778607525397,88.52560321518908,A,45.38942675608215,1
India,25,51-65,Female,E,C,B,127.61088594421655,-120.83199465930612,E,C,A,-54.071708070178204,5.901567782669321,A,95.43909902074587,1
China,23,51-65,Female,D,C,C,19.036356090981695,-173.5810147611953,D,B,A,117.02536280886812,44.38447057929793,C,50.30453821310855,0
China,36,26-35,Other,A,E,D,4.127997586170359,17.005562807623004,E,C,B,83.3975886853559,-34.4219741779128,E,89.9473550806678,1
India,36,65+,M,C,A,B,93.60058734721517,70.27589335975672,D,B,B,108.5801992631082,38.06621388609307,C,161.1105311710705,1
China,18,51-65,Female,B,A,C,62.994824290273876,59.34385231441043,B,C,C,48.44198088769549,-71.52582814698944,E,16.71169907098743,1
Brazil,33,65+,Female,B,C,E,-49.41648545124207,-44.40647513918849,C,C,D,146.254700813481,193.20629715856705,A,-104.4261353772202,1
UK,23,65+,M,D,D,B,-144.1553353484673,-196.7359997215974,D,B,B,37.99243604730429,45.80773579778939,D,155.7833843837479,1
Mexico,60,65+,F,E,D,D,59.241806851365666,130.57383709574688,A,A,B,128.83291346914012,0.4126154715312514,C,-60.9836417619675,1
Mexico,58,26-35,M,C,E,E,57.025231982214606,-21.128404714191287,A,B,B,118.00584847016108,210.91211643148836,B,120.88039080998779,0
UK,54,36-50,M,E,B,B,-4.662963813472822,34.741922368337136,B,D,C,-31.197578385563723,161.70997072036738,B,-31.886763775359977,0
Germany,66,51-65,Male,D,C,A,-3.976028884006013,-31.975651630426466,C,A,B,-116.22231271379972,-15.221651368024109,C,88.98600106212355,0
Other,21,36-50,Male,B,E,A,81.58848421408388,-70.86947277326199,B,B,D,111.68153584869754,60.67927366413407,C,115.31420688523863,1
Brazil,26,51-65,Female,C,E,E,-16.296853014241144,140.89279645229894,E,B,D,11.571407342362534,73.60596541857329,B,151.12546065811065,1
Germany,59,51-65,Male,E,A,E,71.45079102119102,10.051062596970219,E,C,C,-162.71528249999255,185.19856962977124,E,82.18662135906595,0
US,50,18-25,F,A,A,A,-1.291912669126077,31.087526787859964,B,B,B,38.48600777732767,4.123346984679984,C,65.38501389273998,0
US,30,51-65,Non-binary,D,B,E,-29.133239230934688,7.550577141944631,A,D,D,121.00778484722323,51.29206746751305,C,-98.37012918266682,0
India,43,18-25,Female,A,D,D,-22.893753314952676,-192.4987263720208,A,E,B,-4.656438027905731,120.50528905705139,E,38.461357518876824,0
US,44,36-50,Non-binary,A,D,A,-65.75793686684298,33.736738460275355,B,C,E,6.720858866015757,-4.271129975517742,B,9.914346438612323,0
Other,38,36-50,Other,C,C,C,22.74577233701864,69.67762446219429,A,C,E,-65.15794582004044,-8.471611894368557,B,-33.03064192441669,0
Other,77,36-50,Other,C,D,E,-66.93677604178826,249.96549101373682,A,B,A,60.18510016424442,-177.77353880189483,B,142.41293628731387,1
India,29,51-65,Female,D,D,B,-107.30820544577465,201.12858098652913,B,E,E,-48.93342941251273,-93.00420628541022,B,-15.763151688654686,0
India,33,18-25,Male,E,E,D,-83.67112825982034,94.72696584287371,D,E,C,98.52299458939426,-221.2812045214275,A,265.0953823137253,1
US,44,26-35,M,D,A,B,88.0759093935905,169.37636356326806,B,C,B,21.686573888183986,-43.50639667286165,E,115.1132647095753,1
Mexico,78,26-35,Other,E,D,C,108.8465161887816,178.78637041809412,C,D,A,-2.3037696141748434,34.678765848790334,A,-4.475577602340847,0
China,18,51-65,M,E,E,B,259.97859789234434,1.953748377006205,C,D,A,-64.58797482179173,74.46602013229321,A,-21.71131925535462,0
Brazil,54,26-35,M,D,D,D,-19.040494577964076,-93.47936080341572,B,C,D,-10.448508458596589,-95.03549409141048,D,10.412762989583634,1
Other,27,36-50,Other,A,C,B,-365.1791282969532,240.69172472919246,A,C,E,166.5027179726059,-73.76854543027862,A,100.81841245680062,0
India,73,26-35,Other,C,B,A,46.34487413866723,-7.13880364341241,A,B,E,-233.88836995791138,139.31295679795738,D,-76.49280783871552,1
India,62,36-50,F,D,B,D,0.5465336401134824,118.40881274678226,E,A,A,18.884186861516053,-16.17697066151477,D,-78.84872358648344,1
Germany,68,36-50,Male,E,E,D,75.1620193496274,8.378946563903451,A,D,D,-96.69604352596777,31.062145477410795,C,56.990898394110765,1
Other,27,51-65,Male,E,D,A,175.66494124307727,-9.176467645259514,B,A,B,19.341745499624523,76.08060790667321,C,122.730670956127,1
Brazil,62,18-25,Female,B,C,B,-167.59882221320976,120.29469152202326,A,D,A,-97.5539157530293,42.86021347182543,C,86.26826711612888,1
India,59,51-65,Non-binary,A,D,D,-37.45030737699546,-42.17360053744175,E,E,A,-3.243372607740317,56.57170445806137,C,15.270283130965092,1
Brazil,69,18-25,Female,D,A,E,-214.99391992169484,116.49332899388773,D,E,C,-55.69148115585539,36.731258503254494,B,98.98616303587667,1
Other,45,65+,F,E,E,A,-148.3263314816098,-141.3291901103717,E,B,D,-131.85857259369652,-21.688240825760364,B,-143.25019190544265,1
Brazil,79,18-25,F,D,A,A,-156.89939410085765,-147.05188247494522,C,E,A,46.10912709970118,-109.22356353541691,B,16.466805818189943,0
US,32,36-50,Female,D,B,C,5.931592612497136,66.00604317281412,C,A,B,28.15823906222793,-122.5368351701428,E,-88.54234762949477,0
UK,68,65+,Other,D,D,E,64.2755202390878,-170.52535601054566,B,A,D,188.2304377689012,45.79442983389524,D,33.96378951936253,1
US,63,65+,Non-binary,C,D,E,107.29116287699827,28.644445100086763,A,D,D,-99.06974611890287,198.39906647198274,A,-104.8795175724009,1
Mexico,75,51-65,F,D,E,A,-0.8232503007387773,-1.006554591667762,C,E,E,-180.84209258437332,-54.31857802226734,A,-102.9868397479459,0
Germany,44,65+,Other,B,A,A,55.656714252189374,-5.363620189509953,E,C,B,296.4592462614171,93.40043156828783,D,268.68507779327564,1
Brazil,19,65+,Female,A,C,B,-106.25185812539483,233.07660929893777,E,E,C,156.51475729339782,-86.68928593945614,C,85.32419369303544,0
Other,45,18-25,Male,E,C,A,-141.28938173385305,-109.56461053510789,C,B,D,-42.55882174790312,-96.19863055354416,C,76.49562564088174,0
UK,74,18-25,F,B,A,A,-154.91873253927264,-76.55876349975976,E,E,A,109.86520087674394,-36.743564497462884,A,-36.631284050028725,0
UK,73,36-50,M,C,A,E,-132.31696898087282,-104.46916892538323,E,B,B,147.35666028904927,-124.86962826418963,A,214.2642771054423,0
Other,45,36-50,F,C,B,E,126.36428263676981,-15.062506656236046,D,C,B,-98.55100394680524,-108.80823418274194,A,-7.982153066880328,0
US,20,36-50,Male,D,C,C,165.03223468279944,110.36279662354139,B,B,E,-313.1808250035,-84.29253958398382,D,-45.041789543013266,0
UK,60,36-50,Other,E,E,C,49.049594871585775,-111.42435026610684,B,C,B,-24.514741144628115,-29.16352867765185,C,104.80284578237465,0
Other,33,65+,F,E,D,A,102.96034793085276,64.57388053889447,C,A,E,53.013640423934895,-201.8239730789819,A,17.886847771050274,0
US,31,51-65,Non-binary,E,C,D,39.81581419762002,-117.6445845753615,E,C,D,141.83186417853472,-232.22621675376422,A,-182.05516823464106,1
Germany,57,26-35,Male,E,B,B,-40.63274209247242,73.30732795182459,D,E,B,-97.53852209277453,22.01429260029989,C,-151.66765543041288,1
Brazil,60,36-50,F,B,A,E,48.659926954132786,23.383253306019117,D,D,D,-85.6379610597632,94.19637791854679,B,-76.50475333951825,0
Mexico,37,51-65,F,B,E,A,121.78843977535048,-114.01978892428059,E,A,E,47.355456010683504,-80.19528009440879,D,105.2495416769622,0
Mexico,75,18-25,Male,D,A,A,-37.63139694481577,-143.86347056489896,D,C,E,-77.32765587997156,41.45624703035263,E,-98.92966506662437,0
Brazil,28,26-35,M,E,D,B,6.817659088284217,-78.64002059297725,B,B,E,-77.96597535292015,59.499730352146386,D,-182.99820100661893,1
US,29,65+,M,C,D,C,0.9235935752006859,-14.705125763111166,D,D,A,-35.84565359942128,-148.74424672366652,C,-67.50682036041658,1
China,60,36-50,F,A,D,A,119.78067355879287,79.25609539768583,D,D,A,-58.17048347704918,178.1550336811398,E,-98.32984946757387,1
Germany,68,26-35,Non-binary,A,E,A,61.67196684940074,51.51251643968882,B,C,B,102.56553121695397,-81.89724518629275,C,-160.41457581356283,0
Mexico,74,65+,Non-binary,C,C,C,118.68034825153035,-15.249739511447427,D,C,A,143.34442936423542,-4.8980272557136075,A,-130.09765662594882,1
Mexico,41,18-25,Other,D,A,E,-194.28900630541784,-27.10337754649134,E,C,C,-0.5003387808597899,62.50697582407953,B,224.44401055646574,0
US,19,18-25,F,D,A,D,-6.155156450479423,-113.20446986512461,E,C,C,-11.446449003395117,-113.0370043103909,E,-144.39408798440653,1
India,27,65+,M,E,A,D,167.627549141528,42.515971577287125,B,E,A,171.85865638048517,43.454810855893705,B,22.232748973658374,0
Mexico,40,26-35,Other,A,D,C,27.08662152118324,215.40608150083546,B,A,C,110.066952636907,-109.88104045033553,B,-8.87543832579127,1
Brazil,59,36-50,Non-binary,A,D,D,-51.368436100901604,-88.68522956154521,D,E,A,166.03936427173375,92.5846229013854,B,-69.6004984171424,1
UK,21,51-65,Other,A,C,E,19.678550367351345,-79.0760485571647,C,B,A,-7.128833846250944,121.2630049424918,E,132.54030491809908,0
Brazil,68,18-25,Non-binary,B,C,A,-49.24304029568648,59.55536048636091,C,B,B,218.89624459109146,-172.68404591468044,A,-34.52864919246299,0
Mexico,69,26-35,Other,B,E,B,-107.11860830352396,126.50104411201148,E,E,D,-12.640140729019963,-98.85547553612571,C,176.2724959068815,1
India,61,18-25,M,C,D,E,-29.170880118349658,-79.25619175902867,A,B,E,143.2928642923879,28.59179181553879,C,-11.366266671185302,0
India,75,18-25,M,C,B,C,10.88722410219676,-265.34619324746086,C,B,B,25.309385255659755,-56.21731789268073,E,205.4323900847594,1
Brazil,54,65+,Female,A,A,D,69.177897195853,-105.71021863649439,C,A,B,111.16946788561589,-71.50481486581364,A,-215.6621053477752,0
China,59,51-65,Male,C,C,A,68.51081542183866,100.90689962721548,B,B,C,-40.81772503531063,216.54832510805755,D,-144.24053097899557,0
UK,32,26-35,F,D,A,E,19.78369142733371,108.37849796345435,C,A,C,62.60697013964609,-139.89439496945542,E,115.79288503088199,0
India,63,36-50,Non-binary,B,D,B,104.43597868526695,-52.43485631158826,D,A,B,-62.56208114620168,19.45120990870785,C,-39.21624291617553,1
India,58,65+,Male,D,D,C,99.85198604783155,29.887152911014418,D,B,B,32.92555436393298,103.03206059865171,B,92.85674470675927,0
China,69,18-25,Other,A,A,B,198.31658432152582,4.445577758062863,A,E,D,-131.71742618897704,211.56485044212397,A,-63.076255785565536,1
India,45,51-65,Female,E,C,B,20.653375251348198,-99.33104216038522,C,C,D,-19.63947019674776,56.784762909871745,A,-31.43446521233868,1
Brazil,57,18-25,Other,E,C,D,106.3686650168787,12.242038300327103,C,E,E,20.085174889441795,15.718809569371542,A,-16.328230262895396,0
Germany,22,26-35,F,E,C,A,163.99829456638318,119.77278039805503,C,A,A,-59.48736399137575,-67.92371742330941,D,-43.271075749948736,1
Other,74,51-65,Female,D,B,A,-201.39038458424307,-49.392102105822005,C,E,C,-28.492569885021958,44.13800127240452,D,98.32886270120987,1
Mexico,53,65+,F,B,C,E,-105.51275735964147,-172.04556690961746,B,C,D,33.471947596727155,-92.14034317670176,C,-18.606230915415097,0
Mexico,40,26-35,Male,D,B,D,31.246203257087586,60.96079315352741,E,A,B,24.357619207649815,132.6409208445309,D,-37.38560262346904,1
UK,25,18-25,Female,A,A,D,179.8921524195414,183.2189254073279,B,A,B,217.7865265524785,-41.93708854560898,C,-104.31067925680433,0
Brazil,50,26-35,F,E,B,C,27.268926586398827,-107.68625164558536,D,B,D,19.396202860882163,-116.33967568767936,E,-141.9653144407999,0
India,68,65+,Non-binary,D,B,E,-158.7344425699463,-12.70909741221854,C,B,C,149.01239725332113,13.613116933122402,C,-0.2873542906634096,0
Brazil,79,51-65,F,A,B,A,54.160357586768505,26.25043941653295,A,B,E,47.32550385630291,118.72516937465083,D,57.638589431730104,1
China,18,18-25,M,D,C,B,35.32782789411163,82.62053763596704,C,D,D,-78.47301027232409,-221.06497921974358,E,-146.77558626883265,1
Other,51,18-25,Male,E,D,D,197.14390341508542,-152.280314740758,B,B,E,-118.82276818135757,-128.65163129627032,C,29.46920794050864,1
Germany,70,26-35,Female,A,B,A,94.18135606517228,-144.3680208288728,B,B,B,-7.966594064227311,-84.59322376045732,B,-141.18680085351735,0
Other,27,18-25,Male,E,D,D,53.955295853234254,326.54021162001436,C,B,D,-15.042627211110787,87.40533950540056,C,23.877131400542833,0
Germany,45,18-25,Other,D,C,A,37.474459568144155,0.3969422744060307,D,C,C,29.86666980856356,-7.565287991122024,D,25.592685374573126,0
Germany,59,51-65,Non-binary,A,B,A,84.144117228616,5.633052879787993,A,E,D,51.385512127752165,-16.348701976571782,A,-130.75728395047767,0
Brazil,66,26-35,Other,C,A,E,160.11857103833023,26.24724568730507,B,D,A,41.51244644009051,192.82708797580793,A,-121.72468549157071,0
UK,19,65+,Male,A,C,B,-138.54455320765786,84.36295390730483,D,A,B,4.189934556252068,-53.50314171781561,C,-128.72159919799853,1
Other,74,26-35,Other,A,A,C,-3.531629399637364,99.24223341646355,D,D,D,-300.23451938488364,170.8980976586198,D,28.03556476712937,1
Other,36,26-35,Male,E,B,C,-57.1903460498721,-108.67836712407663,B,A,C,-69.22519585910227,-41.21495697119412,E,84.89757294140604,1
India,33,51-65,Other,A,B,E,-134.62151634858978,-1.6677630294539156,C,A,C,21.450427007984786,-159.66437528520953,B,125.75685684706981,0
Other,31,26-35,Female,D,D,E,21.64634138180148,73.511927784941,A,B,C,-3.656449402291506,-52.52717451654365,A,27.142258636719678,0
Brazil,44,51-65,Other,C,D,E,73.67743217555032,148.20364720154328,D,D,E,24.885613114678243,-145.39841977944224,A,-9.09539653188294,1
Brazil,42,65+,Male,A,C,B,204.64048354756318,219.05937173072996,D,C,D,59.10466491464784,-39.242412195741494,A,-124.47780579317237,1
Other,42,18-25,M,C,B,C,117.89991551259678,-83.22706706393393,C,C,A,-104.34790354879242,-61.43918060227708,E,-35.81998532522784,0
