Religion,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Muslim,Single,E,-112.59634881863892,E,D,B,C,A,B,E,-28.652178090882032,B,D,1
Jewish,Married,D,171.80171425963022,B,C,D,D,C,D,B,189.77030821728573,B,D,1
Other,Divorced,C,-24.75954525037975,C,C,B,E,A,A,D,79.112085415923,E,E,0
Muslim,Married,A,-26.257831976285324,A,D,E,D,B,A,C,102.19375952289586,D,D,1
Other,Married,B,30.813276079668178,B,B,E,D,E,B,E,-102.26859706837107,A,C,1
None,Single,B,-33.74111793605479,C,D,E,E,E,E,D,-33.86129327214149,B,A,0
Buddhist,Married,C,83.57568628192905,B,A,D,C,A,B,C,-130.2291790198973,E,A,1
None,Single,A,-59.71563184860686,C,C,A,E,A,E,D,95.91881938600501,D,A,1
Buddhist,Divorced,B,160.6082475389872,B,B,E,A,C,E,C,106.2584430370718,D,D,0
Buddhist,Divorced,E,-111.70691525126728,B,C,D,D,E,E,B,-38.904163944290715,A,B,0
None,Widowed,D,52.8635298560644,C,E,A,D,C,E,E,76.20218913260756,C,B,0
Jewish,Married,D,-201.71556667046087,D,B,C,E,A,C,D,73.3642180608769,E,A,1
Buddhist,Widowed,C,112.85319062516295,A,D,C,C,B,B,E,-41.5564766559521,D,C,1
Jewish,Divorced,B,-104.06488153176493,E,A,A,B,D,E,E,-156.91479083522623,A,D,1
Other,Married,A,-95.70035155357006,D,D,A,A,A,B,E,-46.00826567429508,D,B,0
Christian,Married,E,98.7845543933141,D,C,D,A,D,A,A,157.28064610864885,C,D,0
Christian,Married,A,112.8813085168987,D,E,B,E,A,A,B,13.506634876723044,A,D,0
Christian,Married,A,-136.43912568349103,A,D,A,D,A,D,E,14.164933275979857,E,B,0
Buddhist,Divorced,B,46.50359591974148,B,B,D,C,D,D,A,102.35720106325965,A,D,1
Muslim,Widowed,E,-58.275009690076566,A,B,D,C,E,D,C,-10.689993433988612,B,E,1
Other,Widowed,D,-31.774740342793628,C,B,D,A,C,E,E,-34.80264034351399,D,A,0
Buddhist,Married,E,-84.56486323674164,D,A,C,A,A,C,A,-75.91426205516917,D,A,0
None,Single,A,25.31933878774359,B,B,A,D,A,D,A,116.08712842354898,A,B,0
None,Single,A,-34.59942806424608,E,A,E,A,D,B,A,33.45715623071504,A,C,0
Hindu,Married,D,29.57427537729626,A,B,A,E,B,E,B,79.84927564051895,E,B,0
Buddhist,Single,E,-11.51711500955682,C,B,C,D,A,B,E,98.71143513490314,D,E,0
Jewish,Widowed,D,101.52221339458185,C,D,E,B,D,D,C,-11.16491772464894,B,B,0
Christian,Divorced,C,0.7514269082964032,D,B,E,E,A,B,B,27.657876962923574,B,D,0
Muslim,Married,B,71.10414275879151,E,A,D,E,C,C,D,-171.1122675722265,A,E,0
Jewish,Widowed,A,58.176738407874154,E,C,D,C,D,C,E,60.472206488274736,E,E,0
Other,Single,C,140.67194755716943,B,E,D,A,B,A,C,-188.62681014599124,E,A,1
Muslim,Single,D,-49.90802551787704,C,B,C,A,B,E,D,-32.86703830779502,E,A,0
Christian,Divorced,D,-277.00068181108435,C,C,C,D,B,C,E,-73.5644215127786,B,A,1
Other,Divorced,C,25.23157524534537,C,D,C,B,B,B,C,-41.32519366769052,C,D,0
Buddhist,Married,A,-37.65709684136713,D,C,B,A,D,E,A,10.425837290513416,C,D,0
None,Widowed,E,75.9023359125269,E,E,D,A,E,A,E,-130.96825843882647,D,B,1
Christian,Married,B,-7.399543346560414,C,E,D,B,B,E,B,-130.19707941137028,C,D,1
Hindu,Widowed,D,33.16761947991484,A,B,B,E,E,E,B,-36.40562436493611,D,D,0
Buddhist,Divorced,B,-106.1711405654706,E,D,E,A,E,E,A,-68.29571493716867,D,D,1
Buddhist,Divorced,A,-74.05146496194529,C,E,A,A,E,B,A,-26.074560679235553,A,C,1
None,Single,E,105.43069292603458,A,E,C,B,B,C,D,-60.80666868158858,B,C,0
Hindu,Widowed,E,-191.09935669831754,E,D,B,B,B,C,E,53.61412895954538,B,C,0
Christian,Married,A,106.64669093732562,D,C,E,B,B,C,B,64.98597831156096,D,E,1
Jewish,Divorced,B,-7.701390309194559,B,A,A,D,C,E,C,-245.8361416929502,B,C,0
Buddhist,Divorced,B,5.804232425537101,C,A,C,A,A,E,C,65.7286513717791,A,E,1
Christian,Single,E,-30.731094305277246,A,E,E,E,A,E,A,67.42556409726768,D,C,0
None,Single,B,-3.805073250776213,D,E,D,C,A,E,C,84.03570637451415,B,D,0
Other,Widowed,B,-111.78405682411127,B,A,A,E,C,C,D,-86.27934863904066,C,E,0
Muslim,Single,D,-42.340728144288995,A,A,D,B,D,D,B,106.59134887128599,C,D,0
None,Divorced,A,37.92990311871748,C,D,E,C,A,C,D,-62.68016978591901,A,B,0
Hindu,Widowed,A,79.56701133750042,D,E,E,C,C,C,E,147.80510271200978,D,B,0
None,Widowed,E,-84.81344554878463,A,C,C,D,D,B,C,3.765330715311305,D,E,0
Hindu,Divorced,B,62.45546638092493,B,E,D,D,A,E,D,82.96611286087492,A,A,1
Jewish,Single,E,150.18262966880508,D,D,B,B,B,A,A,147.12674689430457,E,D,0
Jewish,Married,C,-43.9294731272434,D,A,D,B,C,A,C,21.263750629224496,C,B,1
Christian,Single,C,-68.36070048751661,B,D,E,A,E,D,D,6.5139784191187795,B,D,0
Muslim,Single,E,-16.274030828032814,D,D,D,A,D,D,C,-40.058713312683544,B,E,0
Christian,Widowed,D,14.365449258769653,B,E,A,B,B,E,A,19.72271153411317,D,B,1
Jewish,Married,D,18.155796961430056,E,E,B,A,C,A,B,-160.38159961326173,A,E,0
None,Married,A,-27.176137446287257,A,E,B,C,D,D,C,-86.07313319643059,A,E,0
Hindu,Single,E,-38.77296251138821,D,B,A,E,C,C,E,149.05998523076198,E,A,1
Jewish,Divorced,C,145.7254444979552,B,B,E,A,B,B,D,53.07905001931814,C,D,1
Jewish,Divorced,C,91.65682401633792,A,E,E,A,A,A,A,-193.6682466025843,E,A,0
None,Widowed,A,93.16958639752656,D,A,A,B,C,A,B,106.8525528970754,A,E,1
Other,Married,A,56.21276549228076,A,D,C,D,D,C,D,-165.63614647553445,C,C,0
None,Married,E,-122.75603043512919,D,D,E,B,A,B,E,3.2965538955577594,D,D,1
Jewish,Married,B,-278.68406606975077,D,B,A,E,D,A,A,-47.231595873647706,D,D,0
Buddhist,Married,E,78.74431606159764,D,B,C,B,A,A,C,29.827094599124866,A,B,1
Buddhist,Widowed,A,-48.78619688956597,E,E,E,A,B,B,A,126.34292878634969,E,D,0
Christian,Widowed,C,73.4808895632951,B,A,E,E,E,E,E,141.19833803054541,D,A,0
Christian,Divorced,E,-107.0424075155831,A,B,D,C,D,A,B,-165.44312364350156,E,D,0
Hindu,Widowed,C,-60.51506948189247,E,D,E,D,A,C,E,62.960535072324475,B,A,1
Buddhist,Married,A,-9.502701335911157,D,C,E,D,C,D,D,115.822581967073,D,E,1
Other,Divorced,E,-35.765887167939894,C,A,D,B,A,D,A,-61.57204411544425,D,A,1
Muslim,Divorced,E,118.14086506291474,E,C,A,D,C,C,A,24.887200051263502,C,A,1
Muslim,Widowed,E,32.06388829402121,A,C,D,E,A,A,B,139.23928527663975,B,C,0
Buddhist,Married,D,-36.96864683337299,B,E,D,C,D,B,B,-14.233261662762619,C,B,1
Buddhist,Divorced,A,54.96356191953886,D,E,C,E,B,B,E,-10.060869638733086,C,E,0
Other,Widowed,E,176.61052903073477,C,D,A,E,D,B,D,-68.16253747653445,A,B,1
Jewish,Divorced,B,-32.96777711107747,D,B,E,E,E,A,B,77.98110027867925,E,D,0
Buddhist,Married,E,-155.0180964879895,B,B,E,D,D,C,C,-73.62232700548674,D,B,0
None,Divorced,D,20.146424632321217,D,E,E,B,D,E,A,-221.4635884431684,B,A,1
Buddhist,Single,E,-17.32140296854062,B,C,B,B,A,B,D,-94.37475319077559,D,D,0
Christian,Single,A,-307.0041934464713,D,A,B,C,A,B,E,-174.77734851336112,C,D,0
Jewish,Married,A,153.00116393649162,C,B,B,E,B,E,B,-11.243942534933488,A,C,1
None,Married,A,162.27443634267124,B,E,A,E,B,C,A,80.90154029019541,C,E,0
Muslim,Divorced,A,-162.88103632523692,C,C,D,B,D,A,E,-26.629706546486364,E,A,1
Muslim,Widowed,A,-24.028674855669426,A,D,D,E,C,B,A,-22.194345124106068,C,D,0
Muslim,Divorced,C,-97.66353388240822,B,D,B,D,B,A,B,38.024201462807056,C,D,1
Muslim,Divorced,E,22.604895063917578,D,B,B,C,E,C,D,-146.33401307916984,A,C,0
Buddhist,Married,D,163.72851663885373,B,E,E,C,B,C,A,-16.16913178826065,B,B,0
Hindu,Single,B,123.13136280033036,D,D,B,B,B,E,A,-118.93155968322088,B,D,1
Hindu,Divorced,D,64.82792787188853,D,D,B,B,E,A,A,22.497938800030482,D,B,0
Muslim,Divorced,A,62.14002309976286,A,A,E,B,C,D,D,-86.40817467966933,D,E,1
Jewish,Single,B,-37.68714853042377,C,A,A,D,E,A,A,182.85727693815002,C,A,0
Muslim,Married,B,123.0254300768985,D,A,E,A,A,E,E,-142.2489402799856,E,B,1
Christian,Widowed,E,12.806591564606972,C,C,E,A,D,C,B,-15.059345452435988,E,E,1
Christian,Single,C,123.8073685059808,C,B,C,D,C,E,D,108.7075283773068,B,A,0
Christian,Divorced,A,181.7502885858268,C,C,C,C,E,A,B,14.307956333099584,C,B,1
Other,Single,D,-65.44669671970082,B,C,A,C,D,C,D,48.76740568439117,B,C,0
Other,Widowed,A,-63.323680875524204,C,D,B,D,B,B,A,58.690786502559156,A,A,1
Other,Widowed,D,-62.09909090132663,C,A,C,D,C,B,A,-98.40956602622623,E,B,1
Jewish,Married,A,-67.7782440576901,B,E,E,B,D,A,B,82.51372791231996,C,A,1
Other,Single,C,-62.024815343346816,E,C,E,D,A,A,B,19.138722903200403,B,B,1
None,Widowed,D,7.526155511587997,D,E,C,C,E,E,D,-36.08991523469674,A,D,0
Christian,Widowed,A,-7.875284576535728,C,E,B,D,B,E,C,169.628809993844,B,C,1
Jewish,Married,A,142.02952562331487,B,A,B,B,B,B,B,140.51294203337682,B,A,0
Other,Widowed,E,50.177715167884195,C,E,A,E,D,A,A,72.51357653120046,D,D,0
Jewish,Divorced,B,-57.84724547734322,C,C,D,B,E,C,A,-163.11183861775464,B,B,1
Buddhist,Widowed,E,28.04733940824079,C,D,A,B,D,E,A,183.20209127438196,C,B,0
Jewish,Married,B,-50.488009695111636,E,B,D,E,D,A,E,-81.86170607807368,D,C,0
None,Married,A,150.24340128956112,E,C,C,B,C,A,E,-35.82806286605458,B,D,1
Other,Divorced,B,-159.69540361116032,D,D,C,B,E,C,A,164.63431231751466,A,B,0
Jewish,Single,E,30.66544639284009,A,D,D,E,E,B,A,25.46896621587026,C,B,1
None,Single,E,55.92001241998889,B,C,B,C,E,A,C,-19.468866536089003,E,B,1
Buddhist,Married,A,-38.05138018743653,D,A,A,E,D,D,E,127.8038514217132,B,C,1
Jewish,Widowed,E,27.078676793130207,D,E,B,E,D,E,C,221.77580961315152,D,B,1
Muslim,Divorced,D,-35.56276061576348,E,A,E,E,C,A,B,10.565927348924996,C,C,1
Hindu,Single,B,-36.71233797788158,A,E,B,A,C,C,A,-11.010773506593342,D,B,1
Christian,Widowed,D,-99.32747669915273,C,A,C,E,D,E,B,57.41982868160318,A,E,1
Muslim,Divorced,B,-221.86157304082315,B,B,E,C,A,D,B,10.704475180886783,E,D,0
Hindu,Single,E,-97.17997250565264,A,A,D,B,D,A,C,56.65296820287323,A,B,1
Hindu,Married,B,-61.64713310346923,E,C,D,E,D,A,B,118.21489888991412,E,B,0
Other,Married,D,131.96140007360344,E,E,D,E,B,E,A,-20.93164724433298,D,D,0
Muslim,Widowed,E,53.57531605539815,A,C,C,D,B,E,D,134.44705296000842,C,B,1
None,Widowed,A,-122.91726089648523,C,B,B,C,C,C,B,-25.082895507561265,B,E,0
Hindu,Widowed,D,-30.605476603907494,C,E,E,D,E,A,D,33.18997795839355,D,A,0
Other,Divorced,C,-126.89983076534818,E,A,C,E,C,A,B,100.6872009770104,C,D,0
Buddhist,Widowed,E,150.18378434095962,D,C,E,D,C,E,A,70.55839041348227,A,D,1
Muslim,Widowed,D,-1.2665076451909292,C,B,B,B,B,E,B,-8.232442672371015,E,C,0
Buddhist,Married,E,43.81797645581076,B,C,D,A,B,B,B,76.33624923286614,E,A,0
Hindu,Divorced,B,-45.12893874739326,A,A,A,B,D,D,B,-10.420399979336361,A,B,0
None,Single,D,-220.22628958535302,D,D,E,E,E,D,A,-0.13723633956865008,B,E,1
None,Widowed,A,12.553294788354966,C,A,A,B,C,E,D,110.17604026462979,D,A,1
Christian,Divorced,B,128.6708350945365,E,C,E,B,D,B,E,180.60201177735945,B,D,0
Christian,Widowed,A,-250.13959201401735,B,B,E,A,B,B,A,25.01042075623487,C,D,1
Jewish,Married,A,-108.39586254342922,E,B,B,E,A,E,D,-47.84521405458395,C,E,0
Christian,Widowed,B,-144.97347683156525,B,A,C,D,C,B,B,-10.49090329347483,C,A,1
Jewish,Single,E,-77.60907413949565,E,C,C,A,C,C,D,-35.351509722663366,C,C,1
None,Widowed,A,143.77593512303133,A,C,A,D,D,E,A,42.02017556382369,C,A,0
Hindu,Married,B,119.78684846967317,C,A,C,C,C,D,E,-81.67287354279767,D,C,1
Buddhist,Divorced,C,-147.17008523682807,D,A,C,B,A,D,E,137.79304076086066,D,E,0
Buddhist,Married,B,-210.31048956607427,B,B,C,C,A,B,A,35.195078814528834,B,E,1
Muslim,Single,B,197.32944667824557,C,A,D,D,D,A,A,43.82154458862608,B,B,0
Buddhist,Single,D,-10.477677272553432,D,E,C,D,B,A,A,-68.04676452332247,B,C,1
None,Married,E,117.86641065139993,D,B,B,A,A,C,C,-150.51526882773183,C,C,1
Buddhist,Married,A,70.84086249151447,D,D,E,E,B,B,D,6.160667478616426,A,A,1
Buddhist,Widowed,E,-49.54096828088702,A,A,A,A,B,C,B,13.118320970741657,C,A,1
Other,Widowed,E,-30.984658775382368,D,D,A,E,A,E,B,-210.65970265147405,C,C,0
Christian,Single,B,154.57469917369528,D,C,A,C,C,E,A,-11.375088648469092,A,E,0
Hindu,Single,C,43.32892586668956,C,A,E,C,B,C,A,22.527182287871874,D,D,1
Buddhist,Married,A,-15.159360539443412,C,A,B,E,E,B,C,-32.78932066717991,A,A,0
None,Widowed,C,1.8120185280786678,A,E,E,A,D,D,D,81.70031129246208,B,E,1
Jewish,Widowed,E,-3.761696447856637,C,C,D,D,D,A,C,-102.46139416341491,B,B,1
Hindu,Single,B,-109.7401139931484,E,D,D,D,C,A,D,-0.7596893090210377,D,C,0
Jewish,Single,E,65.33851310182098,E,C,D,E,A,C,D,133.80836170313248,A,E,0
Hindu,Single,D,-69.62398962037962,A,D,D,D,A,D,C,-44.93322978015512,D,A,0
Buddhist,Married,B,-100.0187977374159,B,D,A,B,D,E,B,138.7998341781284,D,D,0
Buddhist,Divorced,C,-172.11601861408593,A,A,C,C,C,C,D,54.135509539181,C,C,1
Jewish,Widowed,A,10.519416212707906,D,C,A,A,A,E,E,24.226990712381472,D,B,0
Other,Divorced,B,-103.50092927459073,D,E,E,D,D,A,B,0.14955503027794337,E,C,1
Jewish,Single,C,-40.305215293018485,A,A,E,B,D,D,C,56.238853199107375,E,C,0
Jewish,Married,D,115.40984925569467,B,C,E,E,D,B,A,-14.678563070361184,E,E,1
None,Single,B,-72.45314687376215,E,C,A,B,A,E,A,168.98745320846808,D,E,1
Jewish,Divorced,D,1.9119535890886232,E,C,E,D,D,C,A,23.60174335759827,D,B,0
Jewish,Divorced,D,-70.30327158519162,D,C,D,B,E,E,A,36.00885948300406,A,D,1
Christian,Single,D,-3.3230162290636236,D,A,D,C,C,D,E,12.702198404848067,A,C,1
Buddhist,Single,E,130.69674529875402,E,E,A,E,D,B,B,-10.790768697735952,E,E,0
Buddhist,Married,C,-140.6822242293411,E,E,C,E,D,B,B,-33.77397723788548,E,A,1
Muslim,Single,B,-121.19719917114458,C,E,B,A,E,A,A,-59.72503308482901,A,A,1
Christian,Divorced,D,86.8295590071295,B,D,E,D,E,E,B,-64.46624569097217,C,E,1
Other,Single,C,54.597105276929355,C,D,D,E,E,C,C,146.06825970148407,A,A,0
Muslim,Married,B,0.03984953975874214,B,E,A,C,C,D,D,248.48428580682486,B,E,1
Buddhist,Married,D,-42.22724962029774,B,E,A,B,D,D,B,-92.21105685330258,E,B,0
Other,Divorced,E,-25.677947870730613,B,C,C,B,B,D,A,40.54688687756367,A,D,1
Christian,Married,C,-290.1294518184591,B,B,E,C,D,A,C,-99.33693382796761,A,D,0
Christian,Single,A,-93.7383733334007,D,E,D,C,D,E,E,-56.347459964741645,A,B,1
Muslim,Single,E,32.45084463664368,E,B,C,C,A,C,B,146.00564253305205,A,B,1
Christian,Divorced,B,-176.33031015626764,C,B,E,A,C,C,A,140.0691406922389,C,B,1
Buddhist,Married,C,-25.498994896844195,E,E,E,E,D,A,D,81.39919632049981,A,A,1
Christian,Divorced,D,-88.91238935963825,A,D,C,C,B,D,D,1.2462524079359085,C,E,0
Hindu,Married,E,41.40443660729154,D,C,A,A,C,C,A,-168.67484477617296,B,A,0
Muslim,Single,C,64.18759424377848,B,D,B,E,D,D,B,-117.4605407941921,C,C,1
Buddhist,Married,A,92.58901939108199,E,B,A,E,E,C,C,60.13478087189774,D,A,1
Buddhist,Widowed,B,-4.821858054625991,B,D,C,A,C,B,A,36.21366687752069,B,A,1
Hindu,Divorced,B,-12.285506631257027,D,E,B,C,B,B,A,117.1350797874485,C,B,0
Hindu,Married,D,89.27787063984923,C,D,A,A,C,D,A,-207.0749455842523,A,C,0
Jewish,Single,A,-158.25341621047482,B,B,B,D,A,C,B,-128.50218336994251,D,E,0
Buddhist,Married,E,4.058894278456323,B,E,D,D,B,C,E,54.2488535853328,B,A,0
Hindu,Widowed,B,95.49295278377163,C,E,C,B,D,D,E,-116.21155261990732,E,A,1
Jewish,Single,A,7.05215642911696,E,B,A,C,A,B,C,39.688257639928146,B,C,1
Muslim,Married,E,29.810963264270157,D,C,B,A,E,D,A,138.45418998716784,C,E,0
Christian,Divorced,B,265.95534605371967,A,A,E,A,E,C,A,-110.02142268442381,B,D,0
Christian,Widowed,C,26.271357036881398,B,D,D,A,B,C,B,71.77136071452203,D,B,1
Jewish,Single,A,22.06309623802147,E,A,A,B,A,E,C,94.97586634462955,E,D,1
Other,Single,B,-91.25313388551676,B,B,C,D,B,A,B,-36.552907401022786,C,D,1
Jewish,Single,A,-42.58228258182385,C,A,A,A,B,A,A,-177.27313187530942,E,C,0
Buddhist,Single,E,-93.33506851300294,D,C,B,E,A,D,B,-9.894093013783609,E,B,0
Christian,Single,C,216.10569710399844,C,E,B,E,C,C,E,-49.66818948747168,B,B,0
Jewish,Single,B,9.28156196364453,B,B,A,B,A,D,D,-58.04220735667462,A,D,1
Hindu,Single,A,95.86405018699925,A,D,E,A,E,A,B,-27.548586219706916,E,A,1
Hindu,Widowed,A,-100.94965457008232,C,A,C,B,A,E,B,31.6961306825895,B,C,0
Jewish,Single,E,-16.234354249035857,C,E,E,A,E,D,C,125.844216667903,C,A,0
Jewish,Divorced,B,31.24378460225356,C,B,C,B,A,C,D,156.32519129427942,A,B,0
Hindu,Widowed,E,55.95126488265375,C,B,C,C,C,E,E,138.37105072918314,D,D,1
Jewish,Single,A,-182.0331279071443,B,C,B,E,B,E,A,-46.51897567688852,A,C,1
Christian,Single,D,-10.88570955261791,A,D,C,D,D,D,E,49.826798789912225,D,D,1
None,Widowed,C,66.32839269892933,B,D,E,C,D,C,B,64.2760879328364,E,D,0
Muslim,Married,A,-79.51972601221712,E,A,B,E,A,C,B,-6.280264336295309,A,D,1
Buddhist,Single,C,-62.10972856237073,E,D,B,B,B,B,A,36.616484619167814,A,D,0
None,Married,C,-0.953051811352395,C,C,D,A,D,C,E,135.09115206618833,B,D,0
Buddhist,Married,B,-110.19564194332658,D,E,D,E,A,B,C,-100.6943062829618,D,E,0
Muslim,Married,D,-9.166778929531114,A,A,B,B,C,C,B,54.30724731911655,B,B,0
Jewish,Widowed,C,42.48210333225481,B,C,A,E,C,C,B,144.82016747404148,A,C,1
Buddhist,Married,B,-53.28864058247211,E,E,B,D,A,E,E,9.828040059144522,E,C,0
Hindu,Married,E,154.81819547287984,C,C,E,A,B,A,D,35.878311909183395,E,D,1
Muslim,Widowed,E,-247.57345784378438,A,E,A,D,B,A,D,135.37279701576077,D,A,1
Muslim,Widowed,D,157.38644443557672,C,D,D,A,C,D,E,-70.34814521362026,A,A,0
None,Single,A,-123.65636391193935,C,A,E,A,C,C,B,-33.076911034680414,B,C,1
Jewish,Divorced,D,-91.11117802206566,E,B,D,A,A,A,A,-132.8255216896227,B,B,0
Jewish,Divorced,E,105.79307218836563,E,C,B,D,E,B,D,95.5322311250691,B,D,0
Jewish,Married,E,29.892102428589578,A,E,C,E,A,E,C,-152.70135506709755,D,E,0
Jewish,Single,D,-78.82913324374712,B,B,A,A,B,C,D,53.70227782641961,D,A,1
Hindu,Widowed,D,-68.15883967781828,D,C,E,D,E,D,B,-142.84146923225833,E,B,0
Hindu,Widowed,A,3.598902332217959,A,A,E,C,D,A,B,10.304102678709606,B,D,0
Other,Widowed,A,70.32468051656613,E,B,B,B,E,A,D,-160.63387124957376,D,B,1
Buddhist,Divorced,D,-115.99447794672777,C,A,A,A,B,C,C,-37.19917094444647,A,A,0
Hindu,Married,E,38.93096200355007,D,D,B,C,C,A,C,-8.188941192041904,C,D,1
Hindu,Married,A,-91.69501572577465,A,A,A,D,E,B,E,-15.956456952483375,A,A,0
Buddhist,Married,C,17.536397611940224,B,E,A,C,E,A,A,-215.38261859969623,A,C,0
Jewish,Divorced,E,136.85663426938203,D,A,C,E,E,A,A,61.037587045062466,C,E,1
Christian,Divorced,B,-115.1823851944404,C,C,D,D,E,E,E,-62.390676802117596,B,D,1
None,Widowed,E,-4.09023543299873,E,A,C,A,A,D,E,0.6952653638795343,D,E,0
Christian,Single,B,-74.64974805855373,B,E,E,B,C,B,E,-92.48003818987321,B,A,0
None,Widowed,B,-64.85580004417697,D,A,C,A,B,A,C,-18.4468656436947,C,E,0
Buddhist,Single,E,-115.44208518435737,D,E,D,E,D,C,E,-244.5607723534354,A,B,0
Buddhist,Widowed,E,-40.645155456682595,C,D,A,B,E,C,C,-119.08720245396096,C,B,0
Jewish,Single,B,101.59270214735226,D,C,D,C,B,C,B,-111.46746964391193,B,A,1
None,Divorced,E,-113.40430438878744,A,E,C,E,C,D,D,-77.81509334935176,B,D,0
None,Married,B,116.13672053060662,D,E,B,D,B,E,D,-51.22607946012525,A,B,1
Other,Married,D,57.646733963241815,D,E,C,A,C,C,E,-180.47527848412332,A,C,0
Christian,Widowed,A,-224.70466397734717,D,D,C,D,A,A,C,28.490890387181228,B,C,1
Buddhist,Divorced,B,39.5709607911317,B,C,C,E,A,C,C,-11.693656876555593,D,A,1
Other,Single,B,-25.47633093814997,A,A,A,B,B,E,B,-52.62810038455385,B,C,0
