Gender,religious_affiliation,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,target
Male,Buddhist,Widowed,D,B,-19.12204950965359,A,B,0
Male,Christian,Single,B,D,-44.05972841200693,E,B,0
Non-binary,Buddhist,Widowed,A,C,89.49133104622769,B,A,1
Male,None,Divorced,E,E,-189.44353534422385,A,E,1
Female,Jewish,Divorced,A,D,-230.53448081830595,C,E,0
M,Muslim,Single,E,E,13.443179323962395,A,A,1
Non-binary,Muslim,Divorced,C,D,-66.32456812980988,C,D,1
F,Other,Married,B,A,127.49216984955089,D,B,1
M,Other,Single,A,A,-131.00120562331384,A,D,0
Other,Muslim,Divorced,B,E,-53.69787074623973,E,D,1
F,Jewish,Widowed,A,C,-47.45056308284,E,A,0
Other,Muslim,Married,D,B,-46.199234580453094,E,B,1
Female,Christian,Widowed,E,A,-199.78711698398965,E,A,0
M,Jewish,Married,E,A,14.355170120529287,B,A,1
Non-binary,Hindu,Widowed,E,D,170.8818562535611,C,D,1
Female,None,Single,A,E,6.87568626197964,A,B,0
Male,None,Married,B,D,-96.99293938268735,E,B,0
M,Jewish,Married,B,D,44.39378114313243,C,C,1
M,Buddhist,Widowed,D,B,150.17412182286662,B,C,1
Female,Christian,Widowed,E,B,48.56403265215569,A,A,0
F,Muslim,Widowed,B,D,-128.36083557526337,A,E,1
Other,None,Widowed,B,E,132.79349961889534,A,D,0
Other,Jewish,Divorced,E,E,-113.32622033673145,E,E,1
Non-binary,None,Widowed,E,D,63.67712188305229,A,D,0
Other,Buddhist,Divorced,D,E,-12.598395937590116,B,B,0
M,Muslim,Married,B,B,35.853944752954945,A,A,1
F,Buddhist,Married,C,E,-166.45459315865926,C,E,0
M,Muslim,Married,A,B,-40.91811690083232,D,E,1
Non-binary,Christian,Divorced,A,D,22.235578596695543,C,B,0
Female,Christian,Married,C,A,32.438537984500236,A,B,1
F,Hindu,Widowed,D,B,38.40261886235925,D,B,1
F,Other,Married,D,B,94.35241720322023,E,E,1
Female,Buddhist,Married,E,A,162.87022349882272,C,D,1
Non-binary,Jewish,Married,E,A,-5.975567540477225,D,C,0
M,Christian,Widowed,E,D,-118.47386710375554,D,C,0
F,Hindu,Widowed,D,B,-73.75768113230671,B,B,1
Other,Other,Divorced,E,D,-63.526113264350506,B,E,1
Other,Other,Widowed,E,C,-66.41309904042174,E,E,0
Female,Muslim,Single,E,A,147.32493490647016,A,A,0
M,Christian,Single,A,B,198.49780636571796,D,C,1
Female,Muslim,Divorced,B,E,-194.04720742137002,B,C,0
M,Christian,Married,D,B,117.04597925384452,C,E,0
Male,Buddhist,Married,C,E,17.16591058026302,C,E,0
F,Buddhist,Divorced,E,B,-64.54934916333906,B,E,0
Female,None,Married,C,A,153.52517334410686,A,E,1
Other,Muslim,Widowed,D,A,69.02807012467694,A,A,1
Male,Buddhist,Married,E,B,-180.2173845937281,B,C,1
Other,Christian,Married,C,C,-167.0906726279674,C,D,1
Male,Jewish,Married,C,C,16.465398187404006,C,D,1
Non-binary,None,Single,A,E,-100.99277897841468,B,E,0
M,Jewish,Divorced,B,E,-122.89058762908599,A,C,0
Non-binary,Christian,Married,B,A,0.39714188785923515,D,D,1
Female,Muslim,Married,D,A,-120.72791704591508,B,D,1
Male,Christian,Married,A,C,126.36552864077774,C,B,1
Female,None,Widowed,C,C,-113.14077367433298,A,B,1
Female,Other,Married,B,E,19.996895954869398,B,D,1
F,Buddhist,Married,B,B,-42.64131765235556,C,C,1
Non-binary,Muslim,Divorced,B,B,-204.93321791790225,E,C,1
M,Buddhist,Single,B,C,22.228848024950704,A,B,0
Male,Muslim,Single,A,A,-5.010544348699131,A,B,1
Other,Jewish,Widowed,E,D,97.97557957539775,A,B,0
M,None,Single,D,C,155.21810643120403,E,E,1
Non-binary,Jewish,Divorced,B,A,151.13913415143438,B,D,1
M,Muslim,Divorced,E,B,158.04022193850713,E,C,0
F,None,Widowed,C,A,-194.44179687749954,B,D,0
Male,Other,Married,C,C,46.1579895202962,A,B,1
M,Buddhist,Widowed,B,B,77.02974317652968,E,E,0
Male,Christian,Single,E,A,-229.06282533107202,C,A,0
Non-binary,Christian,Single,D,D,148.54498441187081,E,C,0
Male,None,Married,D,B,71.20016341733746,B,B,0
F,Christian,Married,D,A,2.8198131760516434,B,A,1
Non-binary,Other,Single,C,C,-47.931530037796506,D,B,1
M,Muslim,Widowed,E,C,113.75602611484388,E,B,0
Non-binary,Muslim,Divorced,E,C,14.171858455839475,C,A,0
M,Other,Single,E,C,84.89361077945006,E,D,1
F,Other,Divorced,E,E,30.698327283501136,D,E,1
M,Muslim,Single,C,A,3.2055042189150775,B,B,0
Female,Muslim,Divorced,D,C,10.930608803099831,A,B,0
M,Christian,Single,C,D,-66.76525910162708,D,E,1
Male,Muslim,Widowed,B,D,34.006550847914454,E,B,1
Non-binary,Other,Divorced,D,E,-102.44044069191358,C,A,1
Female,Other,Divorced,C,A,102.44761238755406,D,C,0
Other,Jewish,Widowed,A,B,-36.23865888374995,A,A,0
Non-binary,Christian,Single,B,A,-92.47017025442283,D,D,0
Male,Other,Widowed,E,C,31.20604142932713,C,A,1
M,Christian,Widowed,B,C,-120.89010000322958,E,E,0
M,Buddhist,Divorced,A,C,157.49635184037393,D,B,1
F,Buddhist,Divorced,B,D,-240.19986609970587,C,D,0
Non-binary,Hindu,Married,C,C,223.731947181576,D,B,1
Female,Jewish,Widowed,D,D,-84.3738551023113,A,A,0
Other,Christian,Divorced,E,E,-127.01416750235752,B,A,1
Non-binary,None,Divorced,E,C,-46.095080418360354,C,D,1
Female,Hindu,Married,A,A,28.993052182136154,A,D,1
M,Christian,Widowed,B,A,112.5209235561271,D,D,0
F,Muslim,Divorced,D,E,-41.04548357398167,B,D,1
Female,Hindu,Single,A,D,63.98767786094087,C,E,1
M,None,Married,E,D,-162.2970324767356,C,B,1
M,None,Widowed,E,E,9.880452588154261,C,D,1
Female,Christian,Married,C,E,61.3752924714654,E,B,0
Other,Jewish,Widowed,E,D,34.330158108087346,A,C,0
Other,Jewish,Married,B,B,-98.23761856528812,A,E,0
Male,Buddhist,Married,E,E,-199.65302467997196,A,D,1
Male,Other,Divorced,C,A,-52.25151478355959,D,D,1
F,Buddhist,Single,A,C,-148.1045105114911,D,D,1
Other,Muslim,Married,C,E,-52.21806364728554,B,B,1
Non-binary,None,Divorced,A,E,-70.56227031800576,A,E,0
Male,Christian,Widowed,C,B,-5.804742650195677,A,A,1
Non-binary,Other,Divorced,C,E,-76.75503586608919,B,B,0
Male,Christian,Widowed,C,C,69.47696836852892,C,D,1
F,Hindu,Married,D,B,14.033637024775853,B,E,1
Male,Hindu,Divorced,A,B,59.206876945871514,C,C,0
F,Jewish,Single,A,C,47.32783935036067,E,E,1
Non-binary,Buddhist,Single,C,C,-28.07235880294499,A,E,1
Non-binary,Jewish,Single,E,B,143.36495167826303,C,A,1
Other,Muslim,Divorced,B,A,-36.336025980576714,D,C,0
F,Christian,Single,D,A,44.60803872000278,B,C,0
M,Hindu,Divorced,C,C,-87.91096355911188,D,B,0
F,Other,Married,D,C,9.812726338056763,A,D,0
Non-binary,Hindu,Divorced,B,E,5.842873811432504,D,E,0
Female,Christian,Divorced,A,E,96.80311268569497,C,B,1
Male,None,Single,D,A,-24.176556246973714,E,E,1
Female,Christian,Divorced,B,E,30.743158359069067,A,B,1
F,Muslim,Widowed,A,B,-184.36643878923402,B,C,0
Male,Jewish,Widowed,E,D,-249.28321696025745,D,A,1
F,Christian,Married,C,B,88.27447924217773,B,B,0
F,Christian,Divorced,C,B,-101.87845912773805,D,D,0
Male,Muslim,Divorced,D,D,214.48765168543585,A,D,0
Female,None,Single,E,C,92.08231539544806,B,B,0
Other,None,Divorced,B,A,-127.79589752327294,B,A,1
F,Muslim,Widowed,C,D,-122.0168493375169,C,D,0
F,None,Divorced,E,D,-153.40262398708452,D,A,0
Female,Other,Widowed,E,C,-142.5904044704437,B,C,0
Non-binary,None,Single,D,A,14.667915636028356,C,D,0
Other,Muslim,Married,B,C,103.55389141395821,B,D,1
Female,Other,Divorced,D,C,8.37025270058028,B,E,0
Other,Muslim,Married,E,D,-166.86425946487103,B,C,1
Female,Muslim,Widowed,E,E,-10.922821505703798,A,D,0
Other,Christian,Divorced,B,D,-47.176392980594095,E,C,1
Female,Buddhist,Married,A,B,-55.92583569642306,C,D,1
Male,None,Widowed,E,C,-55.492134921394175,A,C,1
F,Christian,Widowed,B,E,-38.80997321954045,D,D,0
Non-binary,Jewish,Divorced,C,A,-201.04367504957784,A,D,1
M,Hindu,Married,C,A,-25.912697203908408,C,B,1
Male,Hindu,Widowed,E,D,-152.69187263335496,E,A,0
M,Jewish,Widowed,D,D,111.85960835420752,E,A,0
Male,Other,Divorced,D,D,-20.625732611210566,A,B,0
M,None,Single,D,E,78.46288864080879,D,B,1
Other,Buddhist,Divorced,E,E,-2.5326221525580173,E,E,1
Other,Other,Divorced,C,E,-70.12233903190305,B,C,1
M,None,Divorced,D,B,-272.56889105387717,C,D,1
Male,Jewish,Widowed,D,A,-236.5400926179357,D,B,1
Other,Other,Single,C,B,-21.54635640320617,A,B,0
Male,Muslim,Single,C,A,-140.30063802936675,D,C,0
Female,Muslim,Married,C,B,77.142008796724,E,E,1
Male,Buddhist,Divorced,B,E,28.069487447589946,A,D,0
Female,Hindu,Divorced,A,D,-10.470608878536252,A,A,1
M,Hindu,Divorced,C,A,-57.61737128283648,C,D,0
Other,Other,Widowed,A,A,8.432999834120631,E,E,0
Female,Hindu,Widowed,E,D,-11.542854934553155,A,A,0
Non-binary,Hindu,Widowed,D,B,-6.853233052401546,B,A,0
Non-binary,Muslim,Divorced,D,A,4.541036968823652,C,A,1
M,Muslim,Widowed,E,C,66.19961041491477,B,B,0
Other,Muslim,Married,C,C,-144.5364745562076,A,D,0
Male,Muslim,Single,B,B,-78.71109418953299,A,C,0
Female,Muslim,Divorced,E,B,66.64630451334858,B,D,1
Other,None,Married,E,E,4.186692863271362,C,A,1
Non-binary,Jewish,Widowed,D,C,108.38274413649765,B,D,1
Female,None,Widowed,A,A,-255.4798115713123,B,B,1
Non-binary,Buddhist,Single,C,C,-67.90030600637947,E,D,1
Male,Christian,Widowed,A,B,-21.48288586107578,A,C,0
Other,Christian,Widowed,E,C,-8.059137904215241,B,C,0
Non-binary,Christian,Divorced,C,B,157.69653248305812,E,E,1
Male,Christian,Widowed,C,A,60.73138930095882,E,B,1
F,Hindu,Single,A,D,46.77142950675696,C,E,1
Female,None,Single,B,A,1.2898414050963027,E,E,1
Female,Other,Widowed,B,E,-146.78041297825814,A,A,1
Female,Jewish,Divorced,D,D,16.030492813173296,A,E,1
M,Other,Divorced,B,B,48.81874017022943,E,A,1
Other,Jewish,Married,E,C,-14.550480267428545,A,C,1
Non-binary,Hindu,Widowed,D,E,-53.792737448268,C,B,1
Female,Jewish,Married,C,C,-17.01231931492747,A,B,0
M,None,Divorced,B,A,66.57779631518825,B,E,1
M,Muslim,Married,A,A,110.17384535751724,D,C,0
F,Jewish,Single,D,A,91.34014269719358,D,E,1
F,Buddhist,Widowed,A,E,-64.80295475209486,D,B,0
Male,Hindu,Widowed,B,B,66.10705488645729,D,E,1
Other,Christian,Widowed,B,A,-326.44073218197934,A,C,1
Male,Christian,Divorced,C,E,-174.6070103612301,B,C,0
Other,Muslim,Single,C,E,-198.2792773314339,D,C,0
F,Buddhist,Married,B,D,-41.7106936058899,C,A,1
Male,Hindu,Widowed,C,C,-30.7572089620874,D,D,0
Other,Buddhist,Single,B,A,47.52504368994009,E,E,1
Other,Jewish,Widowed,C,C,296.80588192209075,C,C,0
Male,Other,Single,A,B,1.7634387031979906,D,A,1
M,Buddhist,Divorced,B,B,2.242931316142079,A,B,1
F,Other,Divorced,D,B,126.76163186847313,E,D,1
Female,Muslim,Divorced,A,B,-80.69457020788442,C,C,1
Female,Other,Widowed,C,B,44.05730054894975,D,B,1
Female,Hindu,Married,C,D,-160.34186516862596,C,C,0
F,Hindu,Single,C,B,-57.48890185076615,C,B,0
F,Hindu,Single,B,E,74.42529668867395,A,E,0
Male,Christian,Widowed,C,E,-0.6497787762331303,A,E,1
Female,Hindu,Divorced,A,E,-117.83312770234171,A,A,1
Male,Muslim,Married,A,B,-24.88394999709736,E,E,0
F,None,Married,E,C,157.8513191938297,C,A,1
Female,None,Widowed,B,C,-128.13319358667806,A,A,1
Non-binary,Other,Single,B,B,-46.46387885459231,E,E,1
M,Hindu,Single,D,A,100.50987101371787,E,C,1
M,Muslim,Married,A,C,-99.69459094002094,D,D,0
F,Other,Single,C,E,3.3579813976898327,B,D,1
Non-binary,None,Single,A,D,174.30021269394072,B,C,1
M,Other,Married,B,D,80.72181561840556,E,B,0
Non-binary,Muslim,Single,C,C,37.608484155941355,E,C,0
Non-binary,Other,Divorced,D,B,20.18744625082181,C,A,1
Male,Christian,Widowed,B,E,33.836963412071576,C,E,0
Female,None,Divorced,C,D,194.79503236416704,A,B,1
F,None,Single,A,B,47.79701583517818,B,E,1
F,Muslim,Widowed,B,E,-88.48933600580324,A,B,1
Other,None,Married,B,B,-36.63009219655893,A,D,1
Male,Other,Married,B,D,217.40177935310695,E,E,1
Male,Buddhist,Married,A,D,-37.401369606611354,E,C,1
F,Jewish,Widowed,C,C,52.29633083707383,E,D,1
Female,Hindu,Married,D,E,-163.29536098799633,B,D,0
Other,None,Widowed,E,C,187.20938931605255,B,B,0
F,None,Single,E,D,-34.59064863663052,E,C,1
Male,Muslim,Single,C,C,61.74515903740411,C,B,0
M,Other,Divorced,D,D,74.7167054106611,D,D,1
Non-binary,Hindu,Married,A,D,-40.348008015161255,A,E,0
Male,Jewish,Widowed,A,A,-126.6481937871437,C,D,0
F,Other,Single,E,B,-91.10880006610411,E,B,0
F,None,Married,A,A,-52.67025762116987,E,A,1
Non-binary,Buddhist,Single,E,D,-58.16744985112708,C,C,1
Female,Hindu,Divorced,A,C,-124.75345904674732,D,B,1
Male,Hindu,Single,B,C,100.49719826423436,D,E,1
Female,Muslim,Single,C,B,-113.32715845057602,A,C,1
Non-binary,None,Divorced,A,A,131.79364529105132,B,B,0
Female,Buddhist,Single,B,D,-12.814245229523511,E,C,1
M,Jewish,Divorced,D,A,-73.38212180224211,D,B,1
Female,Other,Widowed,A,B,84.62533307559428,B,E,1
Non-binary,Muslim,Widowed,C,C,-75.10903269864231,B,D,0
Male,None,Widowed,C,C,-16.510742511695376,E,C,0
Non-binary,Christian,Single,B,B,-118.17924549305403,C,C,0
Other,Jewish,Married,A,D,22.619066957007195,E,C,1
Male,Jewish,Married,A,C,53.07024997734868,C,D,1
Male,Christian,Divorced,E,E,-124.84468819419594,B,D,0
Male,Muslim,Widowed,B,C,53.435953610620814,B,C,0
Male,None,Married,C,C,177.9061149390677,C,C,1
Female,Hindu,Single,C,D,-65.30589120944154,C,C,0
Female,Muslim,Divorced,D,D,47.42326672897671,E,B,0
M,Christian,Single,A,C,14.415866038280766,E,B,0
Non-binary,Jewish,Divorced,E,E,-84.74106012680454,D,B,0
Female,Hindu,Single,C,B,195.0666575399344,C,C,1
F,None,Single,B,A,-31.349153497058822,E,D,1
Other,Muslim,Divorced,D,C,44.44364528615626,D,E,1
F,Christian,Single,A,B,14.645080167889137,B,B,0
Non-binary,Hindu,Married,D,A,-142.8305800632207,C,E,1
Non-binary,Jewish,Single,B,D,9.910063830067665,E,B,1
Female,Muslim,Single,D,C,-171.31261204277328,D,C,0
M,Jewish,Widowed,A,E,-99.19322021293563,A,C,1
Male,Muslim,Divorced,C,E,-49.00321221415038,A,D,0
Male,None,Single,A,C,-71.67082944717143,A,D,1
Other,Buddhist,Widowed,B,D,181.3812693185205,C,E,0
F,Buddhist,Single,E,D,58.025962001196085,C,A,0
Other,Buddhist,Married,D,A,-84.77864582942533,C,C,1
Male,Hindu,Married,E,D,54.72012313300576,A,B,0
Non-binary,Buddhist,Single,D,E,42.116872373800945,C,C,1
Female,Other,Divorced,C,D,51.0717692110372,B,B,1
F,Buddhist,Married,D,D,102.54431581705875,A,A,1
M,Other,Widowed,B,A,165.41435351355184,D,B,1
M,None,Single,B,B,16.0257052050042,C,E,0
F,Muslim,Divorced,A,B,-20.435273511106118,E,A,0
Other,Christian,Single,B,D,-37.594585385822,E,B,1
F,Jewish,Divorced,B,B,-3.7012237864373208,D,D,1
Non-binary,Christian,Divorced,E,C,-130.41458893587142,B,B,0
Female,Jewish,Divorced,B,A,-7.596275811260761,E,D,1
Non-binary,Christian,Married,B,D,-164.68385486681146,D,E,0
Non-binary,None,Single,A,D,-163.59768300927792,E,A,1
Non-binary,None,Married,C,D,-72.79778291334462,E,D,0
Other,Other,Married,D,C,-162.91564160121123,E,E,1
Non-binary,Muslim,Married,D,E,21.281122136971682,A,A,0
Male,Buddhist,Single,A,E,86.38351800485046,D,E,1
Other,Buddhist,Widowed,D,B,-29.943039363587236,D,A,1
M,Muslim,Single,A,A,-5.030597557532812,D,B,0
F,None,Widowed,E,E,24.44280391992481,C,A,0
Other,Christian,Widowed,B,C,139.55052614392375,D,B,0
Male,Hindu,Single,B,C,28.98524147237736,B,A,1
Other,Buddhist,Divorced,E,B,18.091418125812968,B,E,0
Non-binary,Christian,Widowed,E,B,55.228363522863674,A,E,1
Female,Other,Widowed,A,D,28.843314958442186,D,A,0
M,Other,Married,A,A,-17.534778824458996,E,A,1
Male,Muslim,Married,E,E,54.50429668265605,C,D,1
M,Jewish,Divorced,B,C,101.11215917531138,C,D,0
Other,Other,Single,C,A,122.40875912307685,E,D,0
Female,Other,Widowed,B,E,-29.317816169656425,E,C,0
Non-binary,Other,Single,E,A,27.39000863972436,B,B,0
F,Hindu,Divorced,D,A,122.93093299977198,A,E,0
Non-binary,Other,Married,D,E,16.60940877584002,A,A,0
Male,Buddhist,Widowed,C,A,29.25832930464213,D,E,0
F,Hindu,Married,D,B,-65.53009586753161,E,E,0
Male,Jewish,Divorced,C,C,-64.0883503950234,E,A,1
Female,Hindu,Widowed,E,C,-148.27749125277293,C,A,1
M,Christian,Widowed,A,D,-19.077700766935493,B,A,1
F,Christian,Divorced,C,B,-110.51975504018743,E,E,1
Male,Buddhist,Widowed,E,E,57.64825280152793,D,A,1
F,Hindu,Married,A,D,-43.91696575582565,B,C,0
Female,Jewish,Married,A,D,-0.566192517444789,B,D,0
Female,Jewish,Widowed,B,B,116.91256601537083,C,C,0
Male,Christian,Married,C,D,-9.010184431565541,C,A,1
Male,None,Single,C,A,-100.89316542758631,C,B,0
Non-binary,None,Widowed,D,B,62.37684656452133,C,A,1
F,None,Single,E,C,-108.03146469717169,C,E,1
Other,None,Married,C,B,133.1654239107992,A,D,0
Male,Jewish,Widowed,E,B,50.9972594018301,B,D,0
Male,Hindu,Married,D,C,45.977710253097754,D,A,1
Non-binary,Muslim,Divorced,D,E,-171.84102571612507,E,A,1
Male,Hindu,Divorced,D,E,-111.52499249992812,D,A,0
Female,None,Single,B,A,15.432448072879627,B,D,0
Non-binary,Buddhist,Divorced,E,B,40.380917536914865,E,E,0
F,Other,Divorced,B,D,157.22059867290835,D,E,0
F,Other,Divorced,B,D,39.53529937414872,A,A,0
Other,Muslim,Divorced,B,D,-156.47971863841946,D,E,1
M,Muslim,Widowed,E,E,93.30944708716021,B,C,0
Non-binary,Other,Single,C,D,63.55150469231267,A,D,1
Male,Muslim,Single,C,E,-11.396889640182257,A,B,1
F,Hindu,Single,D,A,23.564983931764807,E,D,0
F,None,Married,C,E,-167.21057678222735,C,D,1
Male,Christian,Widowed,A,E,-146.03712706187733,D,A,1
Non-binary,Christian,Married,E,B,100.68220873905764,A,A,0
Male,None,Single,E,A,-113.43222897733813,B,E,0
Male,None,Married,D,C,-9.656902429868005,E,B,1
Non-binary,Other,Single,C,E,83.61894444554886,A,A,0
Other,Jewish,Divorced,B,D,-23.204062702524002,B,D,0
Non-binary,Buddhist,Divorced,B,D,-78.96425822308201,C,B,1
M,Hindu,Divorced,C,E,44.493202030848806,A,C,0
M,Other,Widowed,A,E,-90.89094600318136,D,B,1
F,Buddhist,Married,C,E,-67.51286365781003,B,A,0
Female,Other,Married,C,D,112.90421565902813,A,B,0
Other,Hindu,Divorced,E,C,-31.06000170380957,C,D,1
Male,Other,Married,E,A,111.923255356011,E,E,0
M,Hindu,Single,D,E,189.99565328358395,E,A,1
M,Hindu,Single,E,B,4.176959021306004,A,E,1
Other,Hindu,Married,B,A,-78.42581544908893,A,C,0
Non-binary,Jewish,Single,A,E,-19.162388150196158,B,A,1
Other,Buddhist,Divorced,C,D,-153.91493383212529,A,C,1
Female,None,Widowed,E,D,124.71054566358055,A,E,0
F,Jewish,Single,B,D,-180.58842737209858,B,E,0
Male,Other,Widowed,B,E,205.76728138534875,D,C,0
Other,Hindu,Widowed,A,C,-114.7108824785948,A,E,0
Male,Hindu,Widowed,E,C,-189.57460752552763,C,C,1
Non-binary,Buddhist,Single,E,C,-24.218727600855424,B,C,0
Male,Christian,Single,E,B,314.3481102248788,A,D,1
Female,None,Married,C,A,38.60237845841357,A,B,0
Other,Other,Single,E,E,13.37185374776034,A,B,0
Other,Muslim,Divorced,C,A,-22.459423515459374,D,C,0
F,None,Married,A,C,-37.77815567263702,D,B,0
Non-binary,Jewish,Widowed,A,A,61.090974196170755,B,A,1
Non-binary,Muslim,Single,B,C,127.35692455502436,C,A,0
Male,Buddhist,Married,C,B,-188.76256258456723,C,A,1
Male,Hindu,Divorced,D,E,96.96163939551819,E,C,0
M,Jewish,Single,D,B,-12.723504865345166,C,E,1
M,Buddhist,Widowed,D,E,58.80680732401663,A,C,0
F,Christian,Widowed,B,A,-294.0425613577482,C,B,0
