Gender,AgeGroup,country,military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
F,51-65,Other,Veteran,E,C,D,-175.95584280595617,64.3820425104537,179.37022251862408,D,C,A,-44.50340833640611,83.03230681528075,1
Other,65+,Mexico,Non-Veteran,B,E,D,120.06369256526948,-116.72441458698755,-3.4731809946808525,A,A,E,97.25624692205987,83.45061078559898,0
M,26-35,Other,Non-Veteran,D,D,D,65.02910081000083,24.577534730025295,58.94668205472705,B,C,E,-104.01768949794513,-28.136024603278244,0
Non-binary,65+,India,Non-Veteran,D,A,E,17.75789444761563,122.34308812013317,62.93278456734958,E,D,D,-253.65571841313806,44.41281993608359,1
M,51-65,China,Non-Veteran,A,E,C,79.14692826789775,10.842073309433989,-96.85040246626824,E,B,D,18.841054729131375,-0.47183811437536266,1
Other,65+,Mexico,Veteran,D,A,A,16.013470831043687,-52.974182080553334,5.481450343092529,B,E,D,119.34732080813626,-63.3604032466066,1
Male,26-35,Other,Yes,E,A,B,-17.126534268030237,37.829962792736616,-18.439175352586513,C,D,B,-93.86643863766156,83.06148276017173,1
Female,51-65,UK,Yes,C,B,A,91.26353353405423,12.41862100896816,35.24483311934624,B,A,A,-12.149995926367591,96.20869931436312,0
Female,36-50,India,Yes,C,A,E,118.463988781013,149.5232863497284,163.17619130029698,B,A,B,62.98120361804605,-135.4445686836489,1
F,36-50,India,Yes,A,D,B,-83.41137551556902,94.08138974178387,33.29170800091904,C,C,B,-70.55294614668585,124.15642366062582,0
F,26-35,US,Non-Veteran,A,A,B,-8.900346000001244,-7.492661638399441,-124.68304530452716,D,E,B,167.04037247566242,-116.22182073676458,1
Other,51-65,Mexico,No,E,D,D,47.82395099475297,171.27987052262498,-35.04623386175779,D,D,D,32.02876302757367,19.48636897541722,1
Male,18-25,Mexico,Yes,A,B,A,130.24509989547505,17.10062460426166,198.18495662394363,C,B,C,-136.413000616015,50.40794563566008,0
Male,36-50,UK,Yes,D,D,C,45.04140652536897,-81.72304526408504,-8.298112551542555,B,E,A,-206.187042744449,-38.65602505973947,0
F,36-50,US,Veteran,C,C,D,-28.85956147220589,-80.70095383344245,-156.31495916923637,B,B,C,-115.1766291615425,-36.43506318611528,1
F,51-65,US,Veteran,B,B,D,-76.22898173456066,40.720783904271315,-21.069393323781245,A,D,C,-0.9998933389434331,78.2954333596792,0
Female,18-25,Mexico,Veteran,B,A,C,199.9534946267236,-26.393731285697697,-26.882515791578903,B,B,C,205.6896046948327,-7.575256870981133,1
Female,18-25,UK,Veteran,C,B,B,-141.56544251374012,-59.470501596861894,-56.559478037751354,D,B,D,-149.42559659649496,204.19675744808643,0
Other,26-35,India,Non-Veteran,E,D,C,-87.3298256398791,36.44167235764544,4.026006737869916,D,A,E,28.717309008465612,-121.55739164373462,0
F,36-50,India,No,D,B,D,-19.16560585925901,214.82179216814438,-72.72997535435121,C,E,B,143.2831531583987,45.9426803092421,1
Other,36-50,Germany,Veteran,B,D,E,10.47756140759813,192.65676337293866,222.43301707905965,D,D,A,-119.09357894649597,-112.47123499784382,1
M,65+,US,No,A,D,D,-83.77546765620994,-128.11146743285258,56.88740724003048,A,C,D,25.841916381198903,94.0907606053597,1
Female,36-50,Germany,Non-Veteran,E,A,B,26.751400277045644,-96.58063988356383,108.70999761764087,E,C,C,-27.633369034652322,68.72876100874443,0
F,18-25,India,Veteran,E,C,A,-46.09777934912426,208.41051237421127,84.41243327413065,A,B,D,68.74627784346593,-3.5535203811588616,0
M,65+,China,Non-Veteran,C,C,D,-14.413997476280386,-179.2492451300737,33.98304682757511,A,A,A,113.9022484270879,121.2381971289958,1
M,65+,China,Veteran,D,D,D,-179.32206204774403,85.5581326830138,55.14329353927201,A,C,C,181.07164518171638,58.691846164595596,1
F,18-25,US,No,D,E,A,-139.14326286681023,219.18457549205255,-152.99960962334282,E,A,C,184.42656157127902,54.91343484034245,1
Non-binary,18-25,Brazil,Yes,E,A,C,28.581683740316517,189.42634210568465,-40.809551308856676,E,A,E,74.58705465875897,-193.7748894396548,0
Other,26-35,India,Yes,D,C,E,62.776734542542556,88.00520392161944,36.32062726321122,B,D,B,109.08153877810203,-79.68950333139905,1
Male,36-50,China,No,C,B,A,-102.49650780771609,96.31782464159647,25.07505224167963,E,A,C,-2.8174809617396357,-79.5467458318397,0
Male,18-25,Germany,Yes,D,B,A,182.70938855021222,-24.607673291947563,86.30878260993869,B,D,C,10.257877866575472,13.497658925563167,1
Other,36-50,UK,Yes,A,C,E,-119.66172345047843,-85.8866936787122,-48.49501191444938,E,E,A,-143.02956108973723,53.04752763424377,0
Non-binary,51-65,Other,Yes,A,B,E,39.6975865009495,-41.51899365664825,112.12401350234755,D,E,E,55.52331949889317,-7.798667406720935,1
M,36-50,India,Non-Veteran,C,C,E,-96.71877145938613,42.31606867304142,-72.27904680212131,B,C,A,-35.42794597646625,-113.92723793929834,0
Female,26-35,Mexico,Yes,A,B,C,-58.3594424986309,-60.01694140875388,-38.988906474852946,C,B,E,-104.84100251577966,-14.230211500311935,0
M,65+,Mexico,Yes,E,B,E,-12.79757583802336,-11.284880228696345,-39.99152951588387,E,C,B,-112.0105371395874,49.79963538372797,0
Non-binary,51-65,China,Veteran,C,B,E,-41.9357389075945,27.68600328830166,-5.7811413093261415,B,A,B,-269.9106539373088,-94.57855222049034,1
Male,36-50,UK,Yes,A,E,E,-119.8055583575439,139.63868931332428,53.542534519394394,B,D,A,-35.801839165904966,-91.7094251688712,0
Female,36-50,UK,Yes,E,B,B,30.58803811457851,152.63606283049683,-98.91914282395453,C,D,D,58.32225307695277,-58.82548071780784,0
F,26-35,Brazil,Non-Veteran,C,D,B,35.21899879532108,126.99071235921022,61.915930789362974,E,E,A,62.51234624715357,21.594625556234064,0
Other,51-65,Brazil,No,E,A,C,-31.44039164097182,24.82681430709575,-212.41901311178032,B,D,B,26.874588386723868,-25.17707533767387,0
Male,26-35,UK,Veteran,E,E,E,-61.69592423685701,204.32985960728146,-44.428706735645434,B,D,B,133.76679676480134,170.02894984785442,1
Male,51-65,US,Veteran,D,C,A,145.9444358422058,15.531983926536796,114.58284172658783,E,B,B,103.00270143550776,-179.71467059770384,0
Non-binary,65+,Mexico,No,B,A,B,-1.2496701214701453,-93.09774043342155,47.17338133164331,B,B,C,7.559705274751896,8.988058268024819,0
Male,65+,Other,Yes,B,B,E,-113.20513209965506,-194.73378272588567,50.553293157595924,C,E,B,89.3107680338032,5.164053840168681,1
Non-binary,36-50,India,Veteran,A,A,D,-75.94025609955321,93.72169633704856,-140.39305637639706,B,A,E,114.18274600589251,93.78095660049864,1
Other,65+,China,Non-Veteran,B,B,C,19.829309271016662,-80.6864571816561,-140.48650158208386,E,C,C,101.01226373741552,-7.486811590391788,0
Non-binary,65+,Other,No,E,C,E,8.552169651467132,87.57954425363084,-111.78199166930733,E,E,E,-85.6079584305099,89.77414121552599,0
Male,26-35,China,Yes,A,A,A,-35.79005188573814,-101.75068639454427,33.02149256000921,E,A,A,99.61278478321051,34.29422168328759,0
Male,51-65,UK,Non-Veteran,C,D,D,92.11117031950533,65.52642778647613,-113.2733081662843,B,B,D,55.220196139419706,53.97731521597204,1
Female,36-50,UK,No,D,D,C,-21.12212975374986,49.666074734864445,10.473442294639776,D,A,E,-192.55513651058124,-48.58524069086149,1
Non-binary,18-25,US,No,C,A,B,42.58315642183908,149.26118333889698,32.832379276118154,E,A,D,35.37513705475013,90.7009919676693,1
Non-binary,51-65,Mexico,Non-Veteran,E,D,B,-39.06546521365309,-21.129602598930553,171.12267105305727,C,D,C,7.749228829618943,54.08318136227429,1
Female,36-50,India,No,C,B,E,127.96978191712273,51.153912532681254,-67.85684644627659,C,D,B,51.77714155994123,67.78145006674085,1
M,36-50,India,Veteran,B,B,D,-0.18441149826307368,-51.836243747146916,170.15870981251308,A,D,E,38.86013465882338,37.40548183106841,1
Male,36-50,Germany,Veteran,B,D,A,-24.670093526138622,-139.1575745070396,64.11176726998974,A,A,C,128.72351077491052,122.05998161548123,1
Non-binary,18-25,China,Non-Veteran,A,A,C,40.03055080123272,15.59273640156094,131.14417550825777,B,B,C,-154.62346563384907,133.37458440041667,0
Male,51-65,UK,Veteran,E,D,B,-75.12167475541808,133.03173426782817,-56.18271600060672,A,D,C,-41.91253508758384,-45.5895331284275,1
Non-binary,36-50,Germany,Veteran,A,E,D,-121.89094717766717,-174.73597976084878,94.34527209603817,E,E,C,46.5675624706666,-51.51767898318451,1
M,18-25,US,No,D,B,A,275.9616342955678,39.767033731820895,-85.40670202972946,C,E,B,-81.03243488570503,5.459416978179528,1
M,26-35,Germany,No,E,B,C,-270.3754173725632,-212.47598454436707,97.86091510233769,A,E,A,-47.68134316883981,-102.84732684523325,0
Female,65+,UK,Non-Veteran,C,E,E,-191.04734948989892,-120.43229176012589,-139.93967473372723,E,D,E,-110.80811351611524,-129.89499045111208,1
Other,18-25,UK,Veteran,B,C,A,-149.00262473935229,152.62757285685217,16.883478258872582,D,C,A,-60.785702281217816,-8.322544444040767,0
M,51-65,Brazil,No,C,A,C,-2.0906862902566803,42.48932933214057,50.73068002057038,B,C,D,-211.9228096167232,-71.17749703558762,1
Non-binary,18-25,Other,Non-Veteran,B,A,E,4.671980388824151,74.57112445123421,-26.434290233182757,D,E,B,74.64607428284792,108.90785226865685,1
Other,26-35,Mexico,No,C,D,C,-42.358276622750154,-29.747467898687972,59.993644902409,B,C,D,15.97389221096429,-46.07968192001264,1
F,51-65,Other,Non-Veteran,C,A,B,80.54951053487582,176.32981564723286,-27.133943669175377,A,D,C,-28.19809051807486,42.172769146253486,1
F,36-50,Germany,Veteran,C,D,B,148.70318654951336,98.87618698820107,-137.27330491659146,A,A,E,-105.38739877685231,-61.99235892516399,1
Other,65+,US,Veteran,B,C,C,-91.4709971902536,-123.68207871022618,101.6969744805992,B,E,A,0.6823203861618375,69.13398014544421,0
F,18-25,India,Non-Veteran,B,B,B,88.66919204195862,44.21496408206686,-22.28755255490351,C,D,E,-70.02672808358172,34.34032146966585,1
M,26-35,Germany,Non-Veteran,B,D,E,3.5531128169897737,50.46479570455708,-156.84921005916237,C,E,E,-184.30869830461617,-81.71661786797667,1
Non-binary,65+,China,Veteran,A,C,E,130.88961099093382,-72.00903781371525,35.85258100023883,D,C,E,135.8901158704001,120.0206027703293,0
M,36-50,Mexico,Non-Veteran,B,E,B,42.95175315579926,226.42200027124844,-79.82317126495403,C,B,D,11.196830623565186,83.31186391769502,0
Non-binary,26-35,Brazil,Non-Veteran,C,D,C,33.01221629216915,55.21458416118404,41.3268217996065,A,C,D,-48.07762246811883,45.96973613689918,0
M,26-35,UK,Non-Veteran,A,D,C,-164.7423146413044,150.56619918072346,-74.23291699571901,A,A,B,-37.37097165739666,-76.31185058448379,1
Other,51-65,China,Veteran,D,A,E,14.300790665301339,-105.39175727799639,-116.00087928625769,C,A,E,-13.76083459274724,121.86330639196794,1
Male,65+,US,Yes,A,E,E,-48.72067825312866,135.8210786856233,45.477177146003214,D,C,D,-133.43222900687073,36.3366671755111,0
Non-binary,18-25,Other,Veteran,D,E,C,-36.78906573821839,-51.848502141321326,-122.9360565637138,B,B,C,69.37913149404797,-264.56296772461064,1
Other,26-35,Brazil,Yes,D,D,A,-269.21642720377446,95.97021839260073,-124.90841903823822,E,E,B,-107.41380090607966,-55.55978749477243,0
Female,36-50,Germany,No,E,A,B,143.48180274416018,7.903521288037592,55.270714783048916,D,D,E,-45.29177819677432,53.551232417943105,1
Female,36-50,Other,Non-Veteran,C,D,B,-181.5444475561308,-37.197239600308876,-63.7091197218301,B,B,D,-23.96316112720783,159.98822739697746,0
F,36-50,China,Non-Veteran,A,A,A,194.34903767687425,-9.268976292133738,134.04040553802471,A,D,E,-14.247414212876091,50.46351789761826,0
F,36-50,China,Yes,D,E,C,63.18035992428168,118.88742727266388,40.41328926860249,A,D,A,84.87797274332985,6.465783597148766,1
Non-binary,26-35,US,No,C,C,D,-177.64898951405718,78.07513548201509,115.31561689933963,D,B,E,19.263226249150527,34.41569181394921,0
Other,18-25,US,Yes,A,B,A,13.23895406872149,46.62379622689613,-40.79444899306877,E,E,B,6.276195196485264,-38.59452193219352,1
Male,18-25,UK,Yes,E,D,D,112.9899103762757,-76.08512663511237,-122.38512839900568,E,C,B,117.55835520626601,-107.08849704038366,1
Other,36-50,Other,Veteran,D,E,D,-65.81554939249332,-59.255215932621056,-135.421432038909,E,B,A,-87.77051360651882,56.9330909740309,1
Non-binary,65+,UK,No,A,C,C,7.966974419101808,16.290108186470572,-47.727251880830416,D,D,C,-49.523144941841885,-86.12411851981408,0
F,36-50,US,Veteran,E,A,E,102.62791574569216,-271.09812073029144,133.97198678506743,A,C,C,-36.79922321688016,42.41477083860825,1
Female,18-25,US,Veteran,D,C,A,81.789919079166,88.8207686347164,-14.291660857103553,A,B,A,58.3666251567345,50.93521091434857,0
F,26-35,Germany,Non-Veteran,D,D,B,-154.2540871744205,-64.8921956256205,10.192844323077198,E,C,A,-174.78495432862388,47.69155111569176,0
Male,65+,US,Veteran,C,C,D,-38.61330380917011,56.99676594834968,238.98448962801032,C,C,C,-119.29175532974227,-87.33592670442411,1
Male,36-50,UK,Non-Veteran,E,E,E,105.68244623349479,143.9914945338834,-27.227856285949077,D,C,B,159.21553452686652,-60.96063336709898,1
Female,18-25,Mexico,Yes,B,E,A,48.33637363547836,54.999389206982904,60.262319614698924,C,C,B,61.547294208989925,189.3496927322723,1
M,65+,Brazil,Veteran,A,A,D,118.26440440516176,-24.649824752296915,-29.256862843837073,A,B,D,55.12552263440556,68.16165465402466,0
Female,18-25,Brazil,Yes,C,C,B,-84.37963683903945,53.47559147370935,-89.57896281918381,E,A,C,-13.408973728946266,151.21659815059607,0
Other,36-50,Germany,No,A,D,C,-136.7114723595093,-152.24588078684474,-70.21541455946287,C,D,C,66.51525925504457,-87.9503816247874,0
Female,65+,US,No,C,C,A,49.732128121580956,53.03555593981745,-33.78176318796874,A,A,D,51.03341835040373,78.04241311757417,1
F,36-50,India,Yes,C,C,B,-86.42249306880271,-13.532905846652831,-156.6835577442769,D,B,D,-94.10619741163077,67.63247057527185,0
Female,26-35,Germany,Veteran,C,E,A,103.98113294406986,-142.6992218190206,246.53374959500817,C,A,E,-18.88233962964604,2.8288555112618137,0
Male,51-65,US,Yes,D,D,B,-79.9587488831187,174.89953068306866,258.3098206236939,A,C,D,-139.3946405991675,20.726282741452373,0
Male,65+,Other,Veteran,D,D,E,-39.20916533018999,-70.34866079878394,-126.30853388875816,D,D,A,-15.91745797320443,-9.532528809838084,1
Other,26-35,Brazil,Yes,B,A,B,-46.93023995896958,155.6671314692744,19.37087199177835,E,D,A,126.63174139826525,55.93029947677059,1
F,51-65,China,No,A,A,D,-100.14602000749926,89.95781443638592,110.4951702675967,A,A,D,41.282575575694395,146.42019578124712,0
Female,26-35,Other,Yes,A,A,A,-156.18177188145694,-29.248176196639854,-48.492607947540264,C,B,B,-18.23637636397415,-93.78943519886992,1
M,51-65,India,Veteran,C,C,C,56.609685636607544,25.32285087751725,-99.54941393681167,D,D,B,-146.9050621298979,-115.9767334410429,0
F,51-65,UK,Non-Veteran,B,A,D,-48.3023461491741,-38.765494827010286,15.549085183245804,E,D,C,-54.77753653471302,-95.53858470481154,1
Male,36-50,India,Non-Veteran,D,A,A,-54.65942069374824,202.64894996103652,-153.29887294542118,B,C,D,-96.20284292720285,139.2616020378124,1
Other,51-65,Other,No,B,A,E,5.596135088408,-86.06581337936166,-36.23121692315732,D,A,D,99.34813102405951,-60.87003603326329,0
Male,51-65,UK,Veteran,B,D,E,42.54245494915937,-79.05480886610984,-166.3298162556871,A,E,A,-44.01827089191688,111.80556831690271,0
M,51-65,Brazil,Non-Veteran,D,E,B,78.63649800105901,-173.43353367993026,196.24256459152417,B,C,C,-123.02406951693618,-68.28073431583839,0
Female,18-25,Germany,No,B,A,B,78.05578638751062,37.65637813940377,117.68815135341156,D,C,B,-11.094150662830197,-3.0059259638717415,1
M,65+,Other,Yes,E,B,E,-8.146421069374613,58.77654388200756,-37.11646574379064,A,D,E,33.79415385768948,-116.76595499487397,0
Female,65+,China,Veteran,E,E,B,147.36984744542045,56.77828472151667,17.274282557974587,D,E,E,-47.50749555858676,-0.9653833182225455,1
Other,65+,UK,Yes,D,E,A,-164.83216800721425,-41.09639407236364,-2.446002467700161,E,E,E,-125.25363674407208,69.46402910893717,1
F,26-35,India,Non-Veteran,D,D,C,28.619300611716454,48.36214533023141,190.59518752255792,A,B,B,-61.13447400975672,-57.330515935049085,1
Female,36-50,UK,Non-Veteran,B,E,C,64.9688477299045,32.66648724387447,22.69272049173507,D,D,B,-4.912757012816529,32.52609332351776,0
F,65+,Germany,No,C,E,B,-53.368802776073096,28.677237141719814,20.89038895153236,D,E,C,-82.36572754717298,51.416441350913566,1
M,18-25,UK,No,D,E,D,104.51487224840028,-89.71279506980608,-48.87045726951703,E,E,B,84.29559562718815,-20.473475968185546,1
M,26-35,UK,No,D,D,C,-97.87959930126878,51.47884855195522,-86.97322793073683,E,E,A,-116.50380699066045,181.8555060750696,0
Other,18-25,Mexico,Veteran,A,D,C,87.10026798000725,-75.45145250305737,195.89579630698074,C,D,A,-130.87574694123532,-52.067915118335115,1
F,18-25,China,Veteran,B,B,B,61.601182683421385,-224.52888090979002,88.72694045362344,C,A,D,37.549040872317654,20.406980893411138,1
Non-binary,26-35,China,Veteran,A,B,E,44.17777665800152,99.2488976001759,-86.71127354453516,D,A,C,88.92890933929372,-65.4429041360386,1
M,18-25,Brazil,Yes,E,E,D,133.16564694880338,40.084211155103716,57.46336580633758,A,A,E,-106.61268337168094,39.64826430435532,1
Other,18-25,Brazil,No,D,D,A,-62.14886374015782,84.56600235643022,-264.27414306357593,E,A,C,-43.79701487286485,80.57349677103689,0
Male,18-25,UK,Veteran,B,A,A,69.84988099267358,20.868334872040116,-64.96335255392607,E,C,E,-71.21512132299192,82.11723003050035,1
M,51-65,US,Yes,A,C,C,-11.251890850110001,-3.5133836410715444,-78.58523189012455,C,A,B,1.7778368742528978,-107.36305061581606,1
M,26-35,Germany,Veteran,D,C,E,118.1155412136827,180.77687117942503,-141.59743940326047,D,E,D,39.861151920574116,-36.73074881328259,1
Male,18-25,Brazil,Veteran,B,B,E,-60.26170833040627,77.52126262344404,8.709221156807406,A,B,A,83.82887032981282,43.29334931109883,1
Male,51-65,Germany,Veteran,A,B,E,-109.52306604463931,-71.34732983838066,36.23977646873355,A,E,D,148.27946622422942,3.0464352135536767,0
F,65+,Brazil,Yes,A,E,C,-23.419365461747052,91.17191693042639,20.535448489101785,B,B,A,-46.285017822337515,88.18521990570488,0
Female,65+,China,No,D,C,E,-3.066104050086625,-64.20301521800107,-141.40452044366972,E,B,A,-62.619380966061854,-120.88248061350946,1
Male,65+,China,No,E,B,A,-21.113986110238994,-55.297042035275425,124.8288920319174,E,C,C,-180.00284099747554,-12.072814515034555,0
Other,36-50,India,Yes,C,C,B,-55.745012368244204,56.97684714596125,49.51643650470914,D,E,E,-64.1812773716554,97.71529108338576,0
F,26-35,Other,Veteran,E,E,B,101.20889132345307,11.165500320732725,31.13494182251062,E,D,B,-178.48227230629217,-20.94758989662284,0
Male,65+,India,No,D,A,E,3.3719863921345516,-133.83364071409613,71.32590059867456,C,E,D,-40.74323443988325,-119.95561679805662,0
M,36-50,India,Yes,E,D,B,-16.87142306630109,145.76118171368572,-54.93221125064798,B,B,E,43.38398864146022,-43.910461161581516,1
Male,65+,China,Veteran,E,B,D,-31.0371621441521,-199.75797135409513,94.06942390271878,D,A,E,217.36711826269232,-127.99874859930472,1
Female,65+,US,Yes,D,E,D,21.62528681196228,32.49903836274423,23.50788449560453,E,C,E,-61.767499489934465,-161.3666894250105,0
Other,18-25,Germany,Non-Veteran,C,A,C,183.19667503994052,12.003885248771958,-107.06090352516028,A,A,D,83.96790270220164,44.86095982006192,1
Male,65+,Other,Veteran,D,B,D,20.008513736925117,-99.71219437888672,-25.31097813799679,D,D,D,233.80347707516037,-33.96830198607875,1
Non-binary,36-50,China,Yes,D,A,B,22.80180311924935,-52.2986035446525,-69.83431875092279,A,A,A,72.61756849481613,-28.698445356844843,0
Female,26-35,UK,No,D,C,D,-52.44433928362984,-99.77770913486738,-10.651928365575557,B,D,B,76.45643938898264,137.9854348844046,0
M,51-65,Brazil,Non-Veteran,C,B,B,-196.0279698376975,215.86609414622603,20.877812157741374,E,A,D,57.81843285945221,-35.86721056410581,0
Male,26-35,US,Yes,B,D,A,-84.53694182531419,65.34924544558534,-8.298592743546482,C,E,E,-127.64332339341453,-9.816112542102303,1
Other,36-50,Germany,Yes,E,C,D,55.05339283828985,-319.7541805001083,52.13770842991992,A,D,C,-209.21652502433278,-168.01579307241113,0
Non-binary,26-35,Germany,Veteran,B,D,C,-79.5591171060373,-41.450130379970204,-153.4675703673412,C,C,A,-47.17401550432154,-101.71009418287191,1
Male,65+,Other,Non-Veteran,C,C,A,-1.5859354392419498,204.6220197113322,39.47369826028078,D,E,C,-2.421794475161473,-73.41279478487944,0
F,36-50,Mexico,No,C,D,B,1.1476196835231633,-33.726284165003314,-133.48557201970158,D,D,C,127.25928702330171,145.64692107741078,0
Non-binary,65+,China,No,D,A,E,-92.82390169744784,-100.53948794193437,104.33135707454773,E,E,E,89.96289414400749,-32.82385761976022,0
Other,51-65,Other,Yes,B,B,D,53.55948913055454,53.94097186781467,39.04385797941574,A,A,C,-109.77608722343182,-99.59422462739201,1
Female,51-65,Germany,No,D,B,E,-29.371762298590156,24.26278730624478,45.50731279510074,C,A,B,37.61288210515652,-55.05949550599119,1
Non-binary,51-65,China,Veteran,E,D,E,-136.30567626647587,-73.36892963812662,16.739956099801464,E,B,B,71.87304414115856,45.045617642863405,0
Male,51-65,Brazil,Yes,A,A,B,-25.42979644254759,-270.54572396373436,22.463642209908617,A,D,E,23.0547258149898,-2.1306400150371454,1
Other,51-65,India,Yes,A,C,D,-25.38956354813142,9.729043389811485,-42.47816080675933,E,D,D,-23.393795301087604,-61.28140148150035,0
Male,26-35,India,Veteran,A,B,A,-72.0340675126829,-15.666523820534112,-70.90061813041551,A,B,E,2.176845360282813,135.64478332135837,0
F,36-50,India,Yes,E,C,D,72.50582394587803,76.80211071836897,-51.39802103155184,C,A,A,-100.48513144185051,24.751366255433645,0
M,65+,Mexico,No,A,C,E,44.7587856601581,-67.41853477222415,-61.57354868135623,E,D,A,-227.68137501467444,77.95203500232704,0
M,65+,China,Yes,C,D,C,-76.52759941167636,-9.458132670908292,94.4467486342855,A,B,A,83.04433212278059,-80.0241791073838,1
Other,65+,Germany,Yes,B,E,A,21.6219714313155,-68.19006299409554,46.23801100308948,C,A,E,95.3331911306529,-67.71821361236081,1
Other,51-65,Brazil,No,D,B,E,45.019075372115104,-41.122274770782404,-221.8684572933542,A,E,A,-140.44025977930895,-92.42403460566709,0
Non-binary,51-65,Germany,Yes,E,B,C,110.80717880801782,-39.44669968369632,-85.94909149452377,E,D,A,12.677908335788684,189.17659796892067,0
F,18-25,UK,Non-Veteran,B,B,A,-5.598837330191732,105.15600456868872,3.6111284169831053,D,D,A,171.97789890823822,127.24825194341753,1
Male,26-35,UK,Non-Veteran,C,E,A,88.96375133702028,-146.0445096171084,108.50731548448786,C,C,C,-60.4604728326407,174.4596092374354,0
F,65+,Mexico,Non-Veteran,E,A,B,-35.45049886904271,-95.91084306362016,16.975539557986448,A,D,A,-191.40707850076865,-96.55353968156444,1
Female,26-35,India,No,C,C,C,19.856293293099508,-13.705527653567644,-62.56024942095241,C,C,A,111.77087359960058,-88.72264937251929,1
Female,36-50,China,Yes,E,A,D,-30.896454528457102,95.42584824709228,-192.8295385796639,E,B,A,40.97011804742531,31.985336036553637,0
Female,36-50,China,Non-Veteran,E,D,C,-2.0047536569043665,148.60855414581104,49.006909561470174,E,A,E,-5.680497496351633,54.09668943374659,0
Male,36-50,China,No,B,C,D,-113.62951538574121,121.49556423621608,121.44641239485084,B,E,C,-21.34003115978874,-70.89134520076968,1
Female,18-25,US,Non-Veteran,E,D,A,-86.21109970150293,-26.415871767676368,-184.8242700642316,E,A,B,-131.10049104120895,-1.5081196748951373,1
Other,26-35,India,Veteran,B,C,C,60.14213584086095,-105.54554877546714,68.99498795749848,A,B,B,-70.01721225438996,-84.57488987923757,1
Non-binary,26-35,Brazil,No,D,A,C,-74.57977265256369,48.52127058130075,87.25212877515828,E,C,D,-22.52783020369312,-97.2505905532826,0
Other,65+,India,Non-Veteran,D,E,D,52.588445842065326,-48.09401024558969,86.59655366199688,B,A,E,10.515187103131458,-64.94809089841705,1
