married,sexuality,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Widowed,Heterosexual,Asian,29.850380806101224,-19.796937532157322,A,E,-152.0126079906563,C,B,C,A,39.877340501439136,81.74934606760722,0
Married,Bisexual,Hispanic,-41.797028265692454,-63.875820984239695,C,A,-16.018867111371144,E,B,B,C,109.83085023339704,-8.79842916924574,1
Widowed,Heterosexual,White,67.3223311628393,-24.329210240078176,B,A,-67.45047435231194,E,C,A,C,60.94185587787413,-34.79001227831161,0
Married,Heterosexual,Other,203.72231327442213,164.58570067994097,E,C,-146.4733933820866,E,E,E,E,-74.74298094145912,-149.86884223599793,1
Divorced,Bisexual,White,-30.452504173139012,41.10555125807295,B,A,-104.98610162425288,B,B,A,E,107.33806182131343,-246.28872935741222,0
Divorced,Homosexual,Black,-88.38722854873676,-91.25825628431258,B,D,84.18395539442548,A,A,C,C,-59.78371580300163,92.6759338961627,1
Divorced,Other,African American,-2.5050177193804672,-26.405859650710976,D,E,-69.62135917028846,A,A,D,B,68.78509230100643,-30.08140206507824,1
Single,Other,Asian,81.30088515554,-33.720021202816916,E,A,-35.864718753164546,B,C,A,C,-59.70652317454825,-46.897517640452875,1
Single,Heterosexual,White,90.91892097673521,-43.97644297633286,E,E,30.286862409871283,D,C,C,C,59.21653912732355,-130.01875190040536,0
Widowed,Heterosexual,African American,-167.05675338210716,-48.045669017650035,D,E,-51.77956382271424,D,E,A,D,81.7783250156223,55.63185452195896,1
Single,Heterosexual,Asian,-44.26601706478156,75.8484934590993,B,C,-3.6992519835803366,B,D,D,B,-174.10973095154952,45.469108946864424,1
Divorced,Heterosexual,Hispanic,-100.01510986524609,4.353246500473024,C,A,56.22533279764808,E,B,A,C,-21.37857091849153,-17.835165315490055,0
Married,Homosexual,African American,-1.2142018480064427,101.40719031231195,C,C,-50.713797725634514,D,E,C,E,286.8986866405754,134.62576870789778,1
Divorced,Heterosexual,African American,-20.06912306227304,-33.667889282516924,B,A,96.37723076391562,B,A,C,A,39.61312622689029,-89.57628656395852,0
Married,Homosexual,Other,95.70805701023228,61.675242136319156,A,C,-15.302724513391116,C,E,D,D,-120.96283585258792,1.872775384735035,1
Divorced,Other,White,129.03244105090954,23.619948119227946,C,C,140.66125531239547,C,E,A,E,88.6110694250753,1.9353404447560854,0
Divorced,Other,Other,122.44311622055287,-34.675860169304144,C,E,145.22296215692182,C,D,B,E,-244.40440686051508,26.018729431423605,0
Divorced,Heterosexual,Black,259.9750937106472,-83.47821475030155,D,A,-53.41593288598235,D,E,A,C,48.944592064693936,93.37370953760794,0
Married,Bisexual,Other,-18.927184685946862,-2.153221888039725,A,A,46.11046850616462,E,E,D,E,-18.40517762173003,167.21719490038654,1
Widowed,Homosexual,African American,-58.531875101513634,142.04655601049518,C,C,123.76065204127661,D,A,C,C,-37.3555455423934,-144.1691257288879,0
Widowed,Homosexual,Hispanic,-71.60456449590251,-129.04362108615953,B,A,-174.668858251371,A,E,A,B,114.66082753605953,-24.057120454699074,0
Married,Bisexual,Asian,2.1594617842994905,218.08325265678582,C,E,-31.61461137486986,A,C,B,A,23.534887583661746,-51.44615460591402,1
Married,Homosexual,Other,-68.77987431170904,-102.41590579511957,C,B,97.26645512684905,B,D,E,E,-93.9971455510267,-59.69906812089844,0
Divorced,Other,Hispanic,-116.55411869101296,19.12911995921015,D,A,-73.45330369786973,B,A,A,E,-227.32112624022454,-41.32446701276127,0
Single,Bisexual,Other,-62.20858999682611,-50.81519621022355,A,B,89.30126226500609,E,B,B,D,26.920154357244876,29.903112671593874,0
Divorced,Bisexual,White,-219.07795386945875,122.81156200290462,B,C,-174.91551745688497,B,C,B,B,-2.4323569107097223,-204.96370320729994,0
Widowed,Other,Hispanic,76.74596100253109,-39.81219323621297,C,A,52.29456736722052,C,A,A,A,3.148756077019215,113.97347699133513,0
Divorced,Homosexual,Hispanic,19.778369864363544,90.66393469904786,C,E,4.857503458505583,D,A,C,E,-81.90697198289544,-226.57901668031877,0
Single,Heterosexual,African American,-143.22072837449045,41.60906974792503,E,B,84.75497082152688,A,B,C,C,53.05239238049765,-149.4373521299536,0
Widowed,Other,White,25.161345820167845,60.49114138485498,E,E,-184.09557776590512,E,B,A,E,-109.25192239074993,-231.2213824716124,1
Divorced,Other,Other,44.16803842389827,47.391467146481396,A,B,-67.83931600194279,E,C,B,B,30.788923396219385,-104.80216730103524,1
Single,Other,Hispanic,-246.97822349436143,-66.24144151880361,E,A,97.47343911829692,E,B,D,E,-29.570947182077674,0.7847719402805908,1
Widowed,Heterosexual,Hispanic,138.400899685164,-80.77350376752118,B,C,114.81476817508111,B,E,D,E,-253.16227538666118,-92.68841474772252,1
Married,Bisexual,Other,44.387668376280466,148.8264716988985,B,A,-91.837371735536,C,C,E,C,-1.7998725398671982,14.27738418824293,1
Single,Homosexual,Other,-71.71602130212001,-3.290721787897742,A,A,50.75333673739249,B,B,D,C,-8.790223219852784,-233.7383723863864,0
Widowed,Other,Hispanic,118.00833011864343,-73.61902789823436,D,C,58.985146597411095,D,E,B,A,-114.49049171155276,32.71105480468378,1
Divorced,Bisexual,White,-41.80555248669795,21.009170831568394,E,D,86.69141289883527,B,A,C,C,-150.18081203844037,-126.9213912993052,0
Married,Heterosexual,Hispanic,29.922848750795282,-113.16414005121236,E,C,-187.19125744574768,B,B,A,E,-90.87099847725891,117.60170442501321,1
Widowed,Heterosexual,White,8.318543246978063,-47.63734540218569,C,A,-95.51168829346172,C,A,A,B,129.1550739667169,-12.040158834265613,0
Widowed,Heterosexual,Other,-67.2809512664792,-6.4465577266761205,C,E,-57.979506789958,B,A,B,A,-85.83869701874116,-181.06974192478728,1
Divorced,Bisexual,White,36.74026551493558,-175.68597514024847,A,C,106.176227383467,B,E,C,E,4.979877077277466,0.5039357757867526,1
Divorced,Homosexual,Asian,35.21849090222297,-117.63530812751387,E,C,127.82639418332546,D,B,C,B,-26.747056371355587,35.086026408545585,1
Widowed,Bisexual,Asian,-49.98263023067762,110.77326489945187,A,B,-109.02895032746281,E,B,A,B,125.67922889364927,156.32224664123774,0
Widowed,Homosexual,Hispanic,105.86668578859535,281.34480373908616,E,A,69.72135683757402,E,D,D,E,24.333321558142718,-2.7795252393028798,0
Single,Heterosexual,Asian,-29.25050183802111,6.19879898805742,B,E,205.37322964855127,E,E,B,E,-158.17098247451136,-46.273664704596634,1
Single,Homosexual,White,145.73703821457323,84.43775137672972,E,E,-64.78556371774249,C,C,D,B,-104.93092714462038,142.22910533638702,1
Widowed,Homosexual,Hispanic,-6.878993725296563,-156.04500863926503,A,B,69.20618268680626,D,B,C,D,112.48415060290698,25.754261572465794,1
Single,Bisexual,White,114.82814374023023,43.5598680124922,A,E,-31.490343513287893,D,B,A,D,-67.5896763475932,63.988377065294266,0
Widowed,Other,White,140.14104277008704,-6.6466616165740104,A,E,49.25720850168733,B,C,C,D,45.96789945908658,-22.593183821944702,1
Widowed,Homosexual,Hispanic,171.0588976983309,-37.71909390715651,B,A,-13.749005807946343,C,B,C,B,-115.27770963543414,-188.66049600812974,1
Widowed,Heterosexual,Black,55.982907096963274,230.4291829057211,B,D,91.30859199024464,E,C,A,E,103.77222138004016,31.59197210792651,1
Single,Bisexual,Asian,57.98089651761544,143.30024479604373,B,D,140.23666917182135,B,A,A,B,-107.6060667736818,4.625294184323545,1
Single,Homosexual,Asian,-112.77471168248651,-54.07556460121483,D,A,-73.88091257554555,E,C,C,C,-69.33022174114723,-95.3284479384565,1
Widowed,Other,Other,45.292863443811896,-5.457678402342208,E,B,31.579201866671124,B,A,E,B,-149.71784054177476,-58.93422849568155,1
Married,Bisexual,Black,8.483435113229865,114.73627745778094,D,C,177.89870967656535,E,A,C,E,74.32130070170795,167.4946962711534,0
Widowed,Heterosexual,White,-204.72320654328874,111.85771723642407,E,A,-7.087510371310825,D,E,E,E,16.392869833197203,64.29892874020354,1
Single,Homosexual,White,2.6275785569132224,129.02097209670714,C,D,-69.55432207288055,E,C,E,B,138.5423880559726,61.41225822021844,1
Single,Homosexual,White,53.7966712201424,-142.2507162003234,A,C,82.50960928675711,C,D,D,B,-184.48420571928568,30.96527987378184,1
Single,Heterosexual,Black,95.17964802914742,-200.6815542869281,C,D,-47.6435531108926,B,B,A,A,54.28314123733743,-44.90822839157123,0
Divorced,Other,White,11.515543441202302,-35.52022251999667,B,A,-99.87263875457026,C,A,E,B,-4.985187825713643,49.646453913365974,1
Widowed,Homosexual,African American,116.3677340317148,41.866096571219344,B,C,1.404786474648954,B,D,B,A,203.37159646076103,-37.75923973713216,0
Widowed,Other,Hispanic,80.45839505624089,-218.77667235448746,C,A,-65.13338644329023,D,E,E,E,-158.88326911619765,54.74041328109476,1
Single,Other,Black,56.80901428790296,-126.74696710516966,A,B,71.89554473499258,C,A,D,E,-40.63218099187373,179.64402237709723,0
Divorced,Homosexual,Hispanic,-92.31051700257862,-264.2526789636156,E,C,-66.20839503580356,B,D,A,D,53.4260262540624,-26.349400459942657,0
Divorced,Other,African American,-64.88956125386316,25.100434858802068,A,C,-14.71369210843498,B,B,C,E,122.43232647823564,-99.84658345220853,0
Single,Bisexual,African American,97.83378159329672,-147.37534670758586,A,E,38.97171831555928,D,E,D,A,75.89340429139433,-37.30687519192738,1
Married,Heterosexual,African American,21.111368337062096,-73.02760255955563,D,D,-15.98859028311953,E,B,A,D,67.8921029932871,129.9637026140178,0
Single,Homosexual,Other,-80.94662399155092,34.373775630089106,B,D,81.2864004251897,D,C,D,B,-54.000655353128046,79.07271246828758,0
Widowed,Heterosexual,Black,40.203967323223985,152.88635761499228,A,B,77.2095436817118,A,B,A,E,-36.16274003234786,1.390346885625859,0
Divorced,Heterosexual,Other,35.68957274095362,-65.47082183301171,C,E,60.88425273648834,C,E,A,B,56.45296729871981,-38.03410430560889,0
Single,Bisexual,Other,7.9103165163126805,-97.08182156885199,E,A,25.997696607402187,A,B,B,C,72.16903934584927,-29.17265116442536,1
Married,Bisexual,White,61.12820388778539,29.494043194096843,D,A,34.511814562715855,B,B,E,A,-93.88324526515902,23.931212720708768,0
Single,Heterosexual,Other,213.25956916053394,76.40377384329601,B,B,113.45852619831824,B,B,D,D,30.203801392780104,-29.710155328896455,0
Divorced,Other,Black,106.65355012244181,23.740276989408926,C,B,36.510858537230135,A,E,A,E,208.67291839961007,-195.8560569936973,0
Widowed,Bisexual,Hispanic,32.44542989916161,-155.1809087431964,B,A,53.20171957308515,A,B,C,B,-81.27618055202288,-160.53128249564378,1
Divorced,Other,Black,16.197667133584904,25.128337619726736,B,E,-45.53492773796636,D,E,E,E,86.64870422330713,7.422497498790595,0
Single,Other,Black,-121.23982162859535,163.26996987137073,E,E,-49.53277859310595,E,E,C,C,-11.670199138839182,-68.9144839389683,0
Widowed,Homosexual,Asian,-76.16646371618246,-163.54469011284098,D,C,137.94010634085606,B,D,A,C,74.53825359844065,-17.481679324229397,0
Married,Homosexual,Black,17.749502075735492,-101.67225542750818,C,A,58.13155474796805,C,D,E,C,181.32162505388703,42.40611967362947,0
Divorced,Heterosexual,Black,18.870333736230048,-37.80480165551043,E,B,-121.32513843109325,B,B,D,C,44.752947043630606,61.50713160374232,0
Widowed,Other,Hispanic,14.605705081414097,76.15691005858154,D,E,42.29731426373149,D,B,B,E,5.058028649346532,-226.76076360997993,0
Single,Other,Black,-19.133021523635033,8.525273948478313,C,B,2.5238786563652247,A,A,A,C,-42.38015972644044,21.122913255782645,1
Divorced,Other,Other,27.658536170622998,-127.8624087949201,E,C,-76.28909453843202,B,B,A,A,71.81084447898101,-49.07687335607172,1
Married,Bisexual,Asian,-171.73296495499287,89.89448694994651,B,D,32.478954964949814,E,B,C,E,73.01278250241538,-38.41586745476791,0
Widowed,Bisexual,African American,192.67653285905342,175.7179854183264,D,E,-183.17195520531428,B,D,C,D,126.71617723703949,-123.29320698421166,1
Single,Homosexual,Asian,-180.12951381113763,-136.56473442720255,C,D,-164.59960367848123,D,A,C,D,-45.289161362403036,122.56504261024608,1
Divorced,Bisexual,White,-115.97012300942089,43.27425592592232,D,D,-68.7937168745721,D,A,D,E,-19.093351042993937,-92.95236319855609,0
Divorced,Homosexual,Asian,26.310860083989883,29.7402630677552,A,E,-118.18720325415998,D,C,D,E,145.0091287724617,-268.94582157296,1
Widowed,Heterosexual,African American,155.86647041709375,-85.21837242872677,A,D,44.62937720186982,B,A,D,C,117.50945907671235,-56.88388402618772,0
Widowed,Heterosexual,Other,-35.40392638528248,-60.779494192713855,C,E,73.93957366380445,D,A,C,C,-64.8386316670554,51.57047365287095,1
Single,Heterosexual,Black,-6.269073255528395,-64.85624839520612,A,E,-140.2030003537595,C,A,B,B,6.15161364707908,-245.9093520311809,1
Widowed,Heterosexual,Asian,34.71042331460326,116.19955742324204,C,B,88.77573774605779,D,D,D,A,32.16432659204109,-92.62863765832071,1
Widowed,Homosexual,White,9.878339851595786,15.560719634822323,D,B,36.96213698217705,C,D,A,E,131.1043270473393,-109.83243512435037,1
Widowed,Homosexual,Asian,125.40737863144152,-52.02899997928381,D,A,-59.1681405245215,A,C,C,B,63.24405867982069,48.24797611604881,1
Married,Bisexual,Black,-77.14860639994842,-28.262300125278927,C,C,28.666557178477454,A,B,D,A,-161.63515965951737,-43.79499507417159,1
Married,Bisexual,Black,-69.61733434114674,-147.46753414776364,C,A,207.76659062971135,B,B,B,B,83.9362946551861,49.370259975397424,1
Single,Homosexual,Asian,62.972204553950895,18.08916590716729,A,E,70.29423473688284,A,C,B,B,114.62104701418482,59.87651709059057,0
Single,Other,African American,74.93042237424851,280.4010106338007,B,C,-64.44234371192576,C,B,E,B,-57.64729585801679,25.805556589439473,0
Widowed,Other,Other,-204.9142945115669,5.836628116411099,A,A,-53.90810767125629,C,B,E,B,39.60724499500451,69.00571546168143,0
Single,Homosexual,Black,77.50158744951749,-10.761024935050047,A,C,-17.944213896247152,B,C,D,E,-24.241852666268944,31.251609959613564,0
Divorced,Homosexual,Other,-33.05784951322641,-31.75997755750127,A,D,138.5892287674989,C,B,A,E,-162.80962168203314,6.4611197390102655,1
Divorced,Heterosexual,Other,30.235437098126276,27.72227747284341,C,C,-70.18908787155996,A,E,C,C,19.013378161388285,-8.08786913759254,0
Single,Other,Other,-61.26712636612708,30.402372981594954,C,C,-48.899665456772055,A,A,A,C,118.74279635516226,-146.79801466248185,1
Single,Heterosexual,Other,247.90486152829124,-15.118200997833206,B,B,3.395441729617707,C,D,C,A,-132.30891365912004,-143.24560783945003,0
Married,Heterosexual,White,31.992712251451792,-135.7026482771891,C,D,-10.350582406566875,C,E,D,D,-39.93731027362284,-10.281844593311641,0
Married,Other,Asian,-56.448337745739884,-22.432325435388986,C,E,-6.251597564827721,D,C,A,E,-26.583757482186737,-70.8202557380073,1
Married,Heterosexual,Hispanic,-17.436776600797803,-15.016067580273193,C,A,30.07416207853834,C,B,C,D,56.84035893568856,-103.40597434373264,0
Divorced,Other,African American,-101.11258159107788,-121.84642757356328,D,B,-102.31934991443703,B,C,B,C,71.2256269360961,-63.47593320709064,0
Divorced,Other,Asian,46.856446413630984,58.78656283160218,C,C,-40.54648982821352,B,B,A,C,145.74691767190873,142.68006509925578,1
Widowed,Homosexual,Asian,148.17001971143097,218.1847525965029,C,B,49.13538891529362,C,D,C,D,57.08812735293483,3.9231790788474283,0
Single,Other,African American,135.82680247424983,154.50506077141245,B,E,6.789308327325598,D,D,B,B,-52.843001850474366,160.82929745989688,1
Single,Heterosexual,African American,78.12925981035546,-191.63439446890177,C,E,87.7246615683064,E,A,D,D,93.90596005731324,-124.20507379932954,1
Divorced,Other,Hispanic,92.43108099290846,169.26552130962796,C,C,-51.04840582700798,D,A,D,C,-67.65425597043362,-74.16730896637101,1
Divorced,Bisexual,Asian,-154.5413369646838,-73.07412499432363,D,E,163.4226801380775,A,C,D,B,-33.81250987453332,-85.41333168754319,0
Divorced,Bisexual,White,-182.1342458158697,-8.293141838793067,B,E,110.45926484640079,A,E,E,E,43.388146196626074,-23.207997464665045,1
Widowed,Other,Black,-137.55568335164878,72.88878148920381,A,A,1.636860671571616,D,D,E,D,-26.462772029571084,12.634773449641765,1
Single,Bisexual,Other,-120.20156970981381,84.84693623767986,B,E,47.63114075057891,A,B,A,E,-37.78487759049541,-145.9924664361452,1
Married,Homosexual,Asian,-68.7587475434109,-6.970382930626069,A,E,118.76957563951262,D,C,A,C,-146.23586416862756,-115.88744394897526,1
Divorced,Heterosexual,Other,176.97549943713278,57.63429432537909,B,A,212.0704056098738,C,B,A,D,-119.91320001903463,20.498097055247776,1
Single,Other,Black,-35.99168549798606,-37.842012758696264,D,A,-20.835023734283446,D,B,B,E,171.69960794864073,108.43930615916766,0
Widowed,Heterosexual,African American,62.80702564939493,-150.7408416629251,D,B,49.300538942699426,B,D,B,E,-121.29420338641081,41.09428440730791,1
Single,Homosexual,African American,11.58466519480554,26.260242023765105,C,E,-9.211410910172363,B,C,A,A,-65.73829781398675,-123.91828787642257,0
Widowed,Bisexual,African American,-177.81631095350602,75.17128586984268,E,D,138.72211317235875,B,D,C,D,-140.5647057838043,12.198391435602943,1
Married,Heterosexual,Hispanic,-58.1354473493972,-19.51219070199351,B,B,-219.90415485105487,C,C,C,D,89.7360278200546,-103.49027878981039,0
Divorced,Bisexual,Hispanic,-60.28978773402971,-85.2943941625013,A,D,-80.85892927527333,E,A,D,E,149.15764865137405,162.12992046945348,1
Widowed,Homosexual,Black,31.54916620806047,-112.91733666859413,C,C,-66.89996818219402,E,E,C,E,-76.04985412268009,8.328614123260435,0
Married,Heterosexual,Hispanic,28.832722890012043,-57.59657822124657,E,B,30.22867915543389,E,C,B,E,57.515659497077266,-139.58542706542633,0
Widowed,Heterosexual,Asian,115.47327507565693,-15.908553130537262,C,D,228.5719916452782,D,D,B,C,-50.179385678756006,-17.59687993001377,0
Married,Homosexual,White,-135.49763130533375,18.13506640193971,E,A,29.724588284964177,D,B,E,C,85.82333661755992,-0.2231448806075999,1
Married,Other,White,20.657801191311464,-58.428195438828304,B,E,-109.39612007634696,A,A,B,E,53.74101838224424,-67.4191847550501,0
Single,Other,Other,145.52498802191843,-6.763331164912628,D,B,6.038610672152908,A,C,B,E,89.80358684990367,74.13345674896836,1
Widowed,Homosexual,Other,110.92683610271963,191.11271427407667,A,E,50.6628765892216,D,E,D,B,-62.607210723431216,-7.711763178902224,1
Married,Other,Asian,-34.02789400762987,138.80061464368828,E,E,87.97916313499813,B,E,C,A,111.09240606137266,-112.30414812518048,1
Divorced,Bisexual,African American,91.61668161389353,-87.72788702398718,C,E,-21.50934720515112,A,D,B,A,88.94688596227147,49.61501611859416,1
Married,Other,Asian,23.577750811942924,95.74760988328609,C,E,-127.37488926072157,C,C,D,E,44.218485245754515,-101.66418015786091,1
Single,Other,Asian,80.09323538469037,89.5681614847976,B,B,111.98564031704453,B,B,E,D,-77.39138405883801,-149.6131768641863,1
Single,Heterosexual,Black,110.3843737036151,53.51910019751126,C,D,42.30349212269921,E,A,E,C,-15.748601612265,-131.46180666559343,1
Married,Other,White,62.10916649663989,-41.81112646441413,D,E,55.296206667274326,C,A,C,C,30.679270836957294,90.41092966624898,1
Single,Homosexual,Asian,137.25615447226207,-32.72490917315774,C,D,127.61199907552634,B,B,E,C,48.102918581925834,-122.04290278819805,0
Married,Other,African American,21.000976151397463,218.17195825191016,A,B,43.279652322812105,D,E,D,B,89.10315807857705,-38.91744443445391,0
Divorced,Bisexual,Asian,155.78475327908984,-44.91453051684095,E,A,98.61680507973742,E,C,B,C,-62.308212456267384,-35.78355317797426,1
Single,Bisexual,White,-65.61990700625825,-65.5266731306977,E,A,22.61286389803908,E,C,E,D,140.724581808964,20.651473201973168,1
Divorced,Heterosexual,Black,98.36709282139238,44.82483601404016,B,A,0.33224628250211,A,D,A,D,128.0262848228211,-22.384786886154686,0
Married,Bisexual,Hispanic,-52.007372767316596,96.71158611231874,C,C,208.21707880524687,A,A,A,E,131.28316926501503,-46.21089151970312,0
Married,Homosexual,Black,70.05857299170168,-28.154684944652814,C,E,75.39613320525753,A,D,C,B,58.27421107959228,-38.79717219192082,0
Single,Heterosexual,White,-85.67005277259938,-3.0220522721411234,B,B,-41.021446945799234,B,C,B,C,-4.861479982332024,6.844053867841499,0
Married,Bisexual,Hispanic,-67.98734908346714,-103.02363654050919,D,B,-128.0452655229018,B,D,C,E,111.97370571609511,-42.930394363011956,1
Widowed,Bisexual,African American,172.5475512930803,-37.791429345016034,D,D,33.81571945698582,C,A,D,A,-122.05539320384912,223.61323356678704,0
Single,Heterosexual,Hispanic,-28.911361076553398,-2.314017180332817,C,E,-57.76720981889333,C,C,C,E,8.341300672542044,-46.48717438968218,0
Married,Bisexual,Hispanic,15.506945025038052,-62.087571181460824,E,A,146.634316666238,C,A,B,B,25.11486965113238,73.43637946546791,0
Widowed,Homosexual,Asian,-118.2007009942352,9.638524198209113,A,E,-0.0209454628491244,D,D,E,D,242.11267748693098,62.87757350673756,0
Divorced,Homosexual,Asian,158.08941838184822,-83.56683522055292,E,A,-27.871227096732227,E,C,C,A,-4.771159704975174,186.56877106164387,0
Married,Other,Asian,109.1395802304304,12.99467345443221,A,D,86.16522142525136,E,E,A,A,-163.85547253504714,33.16141740826637,0
Married,Heterosexual,Other,257.40235390733244,21.286179822013903,B,B,-53.262014124834636,D,E,D,C,-13.996984276224492,106.10571600324492,0
Single,Homosexual,Black,-96.51860107829418,76.15438120587797,B,A,4.80714689642724,D,C,B,D,48.3002592181085,41.89166765826239,1
Single,Homosexual,White,75.38939479205028,3.95212084948812,C,E,41.28448872685582,B,D,C,C,47.49464954380975,-112.03609240068957,1
Widowed,Other,Black,9.307096101099098,68.6199478342014,C,A,-71.78995530906084,D,C,A,B,-186.92040636328144,45.002959232087,0
Married,Other,Other,-88.98544842302498,-216.15722840568418,D,C,-34.76745893419471,D,E,B,C,-66.80079327419465,79.11212248696195,1
Divorced,Other,Black,-142.99248221410537,94.39462672543438,D,A,12.374529741392033,A,E,E,B,155.35625116455827,-7.08669208314759,0
Married,Heterosexual,Asian,47.35069288828797,-96.31539519822581,C,C,59.081847822448765,E,B,C,C,-41.70836124764755,57.73785214639118,1
Married,Homosexual,Hispanic,-123.66671711242148,-32.993139497153884,B,C,175.66400106512336,A,D,C,B,-43.99870033796961,-166.84189910695565,0
Single,Heterosexual,Other,56.69363058702802,86.91954864397347,C,E,43.70717561450193,C,D,D,B,133.77864420504974,44.064121073731776,0
Widowed,Other,Asian,-96.45780557303826,91.34948647917679,E,D,185.01467182722925,D,B,C,C,23.56456506337353,54.836804076501025,0
Married,Homosexual,Asian,-49.245382040307184,-229.70410669444755,E,B,-161.74574759256367,E,D,D,B,-262.15911710316925,-13.453260999501046,0
Single,Heterosexual,Hispanic,74.67306310712965,-60.97976013976486,A,C,42.84354431224643,C,C,D,B,154.1685998067335,-17.08407698341375,1
Widowed,Heterosexual,African American,-135.4796962487456,106.49189483061309,A,B,213.4618530042904,D,B,C,B,-79.23046428499327,127.56381596314266,0
Single,Bisexual,Hispanic,304.85341453385126,27.565567239413504,E,E,134.50040746211465,B,E,C,D,193.95567103075362,103.79938925736107,0
Divorced,Bisexual,African American,-40.828439523816165,-14.410401467859742,E,C,115.49696836144057,C,C,A,D,-87.89235495938512,-50.17557621584048,0
Single,Homosexual,Black,4.950924186890582,-0.17870923680349823,B,D,1.6100458790513263,B,A,C,E,8.715367319200286,60.83455807737417,0
Single,Heterosexual,White,-73.07999751247449,20.952337080157655,A,C,-109.0321772604575,B,A,D,D,127.0100066386419,-19.720256961989673,0
Divorced,Heterosexual,Other,-17.913374297681777,-89.7253828813228,D,E,1.4944259305717917,B,B,C,E,-49.00989982494197,31.137478025479794,0
Married,Bisexual,African American,135.1912862593969,-27.98140977549608,E,C,-123.78168762785533,C,B,B,D,-207.80366137288095,-14.852546412636084,0
Married,Bisexual,Asian,-144.99813118543528,3.862038234193857,A,E,-47.08488917990509,C,D,D,B,0.2793339399988795,84.31605728328803,0
Single,Heterosexual,Other,-14.532252316628858,-72.8856670997104,B,D,17.814774553607027,E,B,A,D,117.9408735965097,26.583690697761693,1
Single,Bisexual,African American,32.03412402771449,-145.2166973872048,B,E,-93.33027328088961,E,C,A,A,-83.72658699814747,54.00909338174393,1
Divorced,Homosexual,African American,97.00364267065818,6.909032917158705,C,C,-72.5787304132773,D,A,A,C,-86.13564674082501,45.62735512720648,1
Widowed,Other,Asian,80.94663024397342,8.285753611646205,D,C,-98.37205457015536,E,C,E,B,111.28861601060069,-102.68409021037475,0
Single,Homosexual,Other,91.9162677628673,-11.021213998421263,B,D,35.18483228800049,D,E,E,C,48.50646379001162,-27.547046596823954,0
