race,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
African American,F,91.00182553705753,C,-10.692825548490578,-58.893280013717444,D,-5.625930263151363,A,-56.08752362985834,-53.420574250732656,-95.42800821495463,-30.18714352366952,0
White,Other,-67.70042563607073,B,-56.00540143714068,-16.3639656385194,B,67.77208414246283,B,112.28048733733678,39.667876571381186,-45.527068770825196,52.61103476677985,1
White,F,-80.11476336934109,E,-62.56960582613736,206.5508270077445,D,-35.71092718033957,E,108.10380800178095,-92.2706143747043,-139.16735861030554,10.58308696393963,1
Other,Male,219.22357294266766,C,-53.951919271410254,-114.17947109806774,E,-58.99914646272304,D,84.56079471948252,-121.03840160673398,-19.688117481452956,-210.24732908480354,1
Hispanic,F,49.60244705776645,D,78.24619868231139,-22.088753033957325,C,49.19256901096368,B,-114.44299604797817,78.16832691861487,-43.43356751289533,158.68024004322544,1
Hispanic,Female,-52.88763275697052,A,-281.1041770753146,52.379695585757126,B,48.55831324481912,E,10.156163020513514,20.290762761043155,127.82610493821822,98.21636042993718,1
White,Non-binary,-82.90660448285641,A,50.697263487730424,8.862409609960133,C,254.09055482725353,D,107.99312826956941,64.65431182203491,-49.56992168104421,100.67394691621332,0
African American,Other,2.297198193403711,D,-30.290324196642782,36.58173448913652,D,-52.068853764292335,C,19.72089882144402,32.48245365147958,-71.13355625351065,121.00380081710689,1
Hispanic,Male,31.775041796730534,B,4.719388019097234,-83.25713689944595,E,-15.780106180872549,C,-95.47124197595511,88.21260474643483,60.42364181263425,-35.630986743965266,0
Asian,Female,108.64832667855022,E,159.5950489751233,-24.02737142163933,B,14.437372936449957,D,71.89947358156213,94.33560201600018,75.19769130121068,57.84284016808826,1
Black,M,-146.64184250437987,C,75.97959911441737,96.37022234041316,E,212.1488920411857,D,60.87411400611633,64.7629418260905,-127.79221053625793,-26.536404569110367,1
White,M,-10.308738780505982,C,-136.79168709214574,-145.16655758150034,C,-9.779466982988033,C,31.270995485261572,21.873806643148804,-35.847749882863816,-159.32574602860902,1
Hispanic,F,60.68437533537102,B,14.985970429631895,-50.65293014684373,B,31.213203288497866,C,32.13816741506475,-52.034217722770414,39.51039823272708,55.25501928660239,0
White,F,-16.597677375074753,D,14.00249533791516,72.4713548771594,D,-132.8155014524857,C,-61.22701068233369,134.16922849113772,-12.156816035489621,-202.43103578610678,1
Hispanic,Female,-52.640205868819045,C,-103.57990991558957,-67.13017732780186,B,75.86855233367999,E,-6.027016358994313,-170.15309729359268,230.69861377923,11.072545824392733,0
African American,Non-binary,142.1671901180825,C,91.21862180080544,118.4886796801603,D,18.304260544051733,D,-113.91254517381104,-73.89536841879263,-164.26432666277063,-56.02001686708219,0
Hispanic,Female,48.36117520366409,D,-0.7570931268652435,-75.61262354393585,A,-1.2895758279704541,B,26.86757378996515,78.32488145579573,-88.88782938205719,7.387010907196425,1
Hispanic,M,164.23132231585114,C,-101.54707472996122,164.1272104055188,B,113.54900252302104,A,-171.3342756617996,23.943304419645568,162.703879139423,-131.00924813599977,1
Black,Other,123.39588314244875,C,-11.21372978280657,-32.54187857175639,B,57.98959003646175,E,72.56315049554237,-63.16119797656366,142.82671196211749,33.36493527130695,1
Hispanic,M,-102.43159945288933,D,33.22684669160575,-52.43181981884083,C,38.709432418578984,D,22.52424111964669,-126.43164543415506,-9.620836472095478,-100.52660089013227,0
African American,M,-25.416911406554753,B,135.62838556513302,40.46979295468398,B,-120.10538821614524,D,106.64025213555597,-10.401789055429763,-27.585946696876,-88.21921772671143,1
Other,Other,-13.0628683886643,A,121.09213448751571,-150.97470160628092,D,-89.6999503451628,C,146.78515290038084,69.58514022222612,-56.410747463043855,114.45063154885959,1
African American,M,-37.38798033796866,C,120.14763018044835,71.00929970750607,E,8.844104007523459,A,44.44699701581947,25.885446843650996,139.0193735374288,-134.87151156597804,0
African American,Other,43.76907340247228,A,112.56240668995513,-41.005347812705025,B,-1.6055239828136159,D,167.7002634091166,215.66819752573264,36.16120572989719,-13.987476961061216,0
Other,Other,65.91607584840885,D,-164.9605677668618,55.51119678852048,D,105.23899562502474,A,-180.87421377190438,-71.15455443984756,-23.770604772547898,86.54186028415208,0
Other,Other,124.57608655303144,A,-184.25285175324342,49.08406692766014,D,17.76100692815385,D,-169.39205401173595,41.78272300911933,109.15954166969858,100.8236553598844,1
Asian,M,-157.64842791678285,C,-130.97992025501676,-169.0033545668719,C,25.9632614836169,C,-113.57929405126286,112.91059771980893,-107.10826409566299,-24.38637618150786,1
Asian,Female,-3.1390110954528816,D,72.70775167585069,8.622721739062177,C,61.31378960831733,C,128.88387839195548,39.01872760712741,22.495799499228482,29.687752624865976,1
Other,Other,48.37003428661077,A,-31.86706855917888,-7.757503216444653,D,-49.471824237339646,E,-126.99889336901336,-37.09620829646981,-6.783476733640572,172.46285931350914,1
Black,Female,186.80393124063886,C,-12.192795180213595,-142.36329336395187,C,-15.32966878077161,E,266.294694079868,17.536111098712084,39.252876546123545,55.229870044291864,1
Other,M,202.57179375701915,D,120.01618785473795,76.25123343649936,D,16.095010788975898,D,-29.317410783404647,40.21124848095055,-125.24441319667518,71.41270026713592,0
African American,Male,-76.64043416714392,C,-215.07604387275515,49.56446907923828,D,81.86842437536099,C,92.35515217920836,32.99416114384831,6.1288977556310735,-33.65929663970902,1
Asian,Non-binary,12.071071708547215,C,83.13106380641099,36.30317462973341,E,69.73979883961402,E,-115.66169219979368,-262.7788487739958,76.17108761322207,-90.36017369119101,1
Other,M,158.77248433302015,D,46.73642467541796,180.15338949426862,B,-34.719927408919474,D,-7.414177333659061,-78.82199873758529,-111.51372988679407,170.3596094738978,0
White,M,-173.73907986862395,C,-76.3464247209251,210.15058805027934,A,-136.52287423456102,A,55.34375560986611,-29.60474340750206,40.927928984013114,-73.72891168389803,0
Asian,Non-binary,-67.34143265446963,D,-19.22194962783333,-183.95015612969644,A,106.73164136857581,E,179.77063694955723,-128.4249011305061,-134.93225870507348,1.6308298920837638,0
Other,Male,102.99979208859094,B,9.635932536179833,-111.74149332515898,D,-66.88962115573726,C,-53.58045723972641,-41.82591012495593,-110.8850630372311,133.08104405546473,0
Hispanic,Male,111.3240934591771,B,-62.64209405763075,47.276426137069464,A,-69.39897403198876,D,-86.93618415228015,-287.08876362759395,216.6894717822187,14.736907405247134,0
Other,M,-6.849373251716077,A,37.705356261846575,-93.04509518366511,B,141.67156477393402,A,-15.70955728966266,29.03677375660387,262.847826921874,58.6432674873332,0
Black,F,12.228020383357961,C,-35.256861473151126,-102.17411560736147,E,-103.09467947987822,D,16.10175895686608,2.19642078055798,51.11067674559061,82.27387104265668,1
African American,Female,-57.27772223838241,C,43.18480712201052,36.537859422173256,E,-76.275252625403,D,-1.7455754804041546,-11.374007404604358,130.0402411433374,79.53829666400883,0
Hispanic,Male,-50.66468374024189,A,-88.84508248114328,155.39199003231627,B,-14.013692793143957,E,5.987497135746674,-6.641431048756924,-52.70752507458843,39.76927180078337,1
Asian,F,5.526986315786427,C,102.43786160247703,-220.6499722195279,C,-89.64947520439965,D,-75.40310722825858,116.40120672678587,123.07844633931366,-137.47677795790065,0
Hispanic,Female,36.573165693727155,A,-32.57508626703783,-64.15749819744887,B,9.120138007928407,E,-44.93613797800625,-43.58518984555196,103.08106823284872,-176.74059553404726,0
Black,Female,110.20368529974793,C,-173.9162770370535,-85.55442253897978,D,176.29186004780388,D,212.05991811971288,-21.38472354553929,-70.22723166656456,51.09274283084962,0
Asian,Non-binary,-24.536842191192086,D,28.24612314106542,170.7483631642654,A,-149.71145697134668,B,-86.5725082272684,-49.14776034323354,-149.43918827283503,98.83608240461984,1
Black,Female,84.99510365600901,A,-46.65066797452407,-11.112317346375916,E,-35.64881141184222,D,-61.92464069170164,-6.6181243815468545,78.78756106335696,-84.95953833454318,1
Black,Male,144.69097901216293,C,-64.2397965666756,-92.00813823082693,B,-38.98672338427265,A,-33.321103367809,-165.683416521183,-28.367347143858566,-70.27214811362202,0
African American,Female,100.3289314973874,D,-45.03132816995079,9.9122399802356,A,-56.961178028993864,B,-139.03625303863404,54.47862259540991,-87.50444622781549,6.464128281524044,1
White,Male,-57.56111061683801,C,-6.010746112774551,98.58090738731718,B,-36.74650836336004,E,-17.51337644910866,-43.164485674170464,-30.77120386960412,-170.49857025422708,1
Hispanic,Other,164.70165805505584,E,124.41357271813305,129.30009314241363,D,63.31808195953006,B,25.06526058405205,-122.20640887750022,-0.7704067029593705,27.145613488646784,1
Hispanic,Male,117.32633954285592,D,-122.11564480824148,-71.60170331408307,D,27.28439865936279,B,-37.68573756982675,-45.74542996575341,9.211828656206347,-97.58608099138499,0
Other,F,-109.68647948061462,C,-29.550481705925534,58.40122623388929,E,52.01202552422235,C,164.55073096058814,-173.20288229293004,-151.05058559227655,-11.282932488143672,0
Asian,F,-49.62478144687631,B,-78.82719166528406,-43.42499191780543,D,1.5084316085927052,A,25.314641278749082,-33.515264100457934,-29.93733545320258,62.820952112938436,1
Asian,Other,33.045732194459845,A,58.85670483735812,-59.638743531597726,C,-61.887405231409964,E,41.88757542748351,123.17712201869469,64.61019276094203,-29.942915003023362,1
Asian,Female,99.89484721619247,E,-65.26052314201289,-75.2823764171799,A,18.29356620916608,D,88.30171516720429,130.15402232845784,-153.87709430223947,80.32238454268662,0
Black,F,-5.835698593580514,C,-118.67766350461733,7.425968478375704,E,49.46001938203667,A,-114.5902566100859,64.0478524889751,-3.120400211186412,-194.27049213087224,1
White,Non-binary,-14.336783583968263,B,61.08401886314707,-64.15897676378887,A,21.654135526911496,B,-28.6853513537831,49.68765377620634,-16.31828381276622,6.605404187369122,0
Hispanic,Non-binary,109.36281101902728,E,93.87415292078359,-113.7923365599109,B,-37.17793417148536,D,-84.86336749449782,86.79241994168194,33.34763422904221,-39.370088056182375,1
Black,Non-binary,120.41258258932083,C,47.99732071951304,-62.651141416089,E,151.91462998780446,A,90.9901974608522,40.99405621886445,63.186066688091614,126.80188827577005,0
Asian,Other,43.752170584445096,B,6.842681459997905,-155.01650977990258,A,92.97193565308675,C,80.60335471996174,57.24924106182784,-92.90625938895383,-19.121712236984948,0
White,F,26.191533173091404,E,-37.510066879534435,72.70298082600158,D,-29.522982590429482,B,-13.877741959499543,162.97653835297697,107.61249171537786,21.87442169773677,1
Asian,F,8.184869570156255,C,-37.5860344289933,-28.722089317622075,B,188.37202130467713,B,33.89738491177749,34.331890140980974,224.8104581072915,1.8250373116297711,1
Black,Female,-1.1917082797586587,E,-187.38955426076674,-24.892276019250716,C,-6.474623095817218,E,320.95830160173887,12.359991962202429,-91.40993557582068,68.3629329683652,1
African American,F,41.20965642880002,D,72.37931819172194,-41.74449556137642,B,104.08052198931654,A,10.556143739714626,149.46247743279383,54.613740616559426,-52.69456789838268,0
White,M,-47.153421041647455,C,42.962849061850626,26.918583509456685,E,-105.06793691456826,D,56.61406081993078,-124.84841670148641,-57.78371591894162,181.93759193112203,1
Black,M,95.71959139184132,E,88.41511279242702,-35.454979372377096,E,2.2715134401500374,C,170.99421139599664,-6.863199512479144,11.10347371974007,33.91727109279849,0
Other,Female,-158.82132950074924,E,-48.468138321461346,-10.052890091834646,D,-23.38600754325334,B,-29.173633972345943,-34.9116180310502,-156.42165514212434,-47.354978445646296,0
Black,Male,80.52866869382459,B,60.60538013332803,5.101686825850683,B,-105.03852375494746,E,-90.59932104143411,-38.312733585984574,117.66731207473404,-35.853408549756196,0
Asian,Other,-19.12136447189151,B,127.73019551901012,-88.49011254217889,B,-57.30716151296741,C,134.99597144994146,-18.677032099971143,-156.7664865394199,-22.426222209858484,1
Asian,Other,32.196713002522515,D,40.89779732305085,121.84750560605171,A,-178.93192898925628,B,108.99884127028953,36.49131715779127,40.21654176701553,-123.163021670284,1
Other,Other,117.20646911119618,D,-16.08882262091845,132.40271122175406,D,53.40358842540751,B,-16.340217884120328,44.00519244089799,-181.01251202452963,-131.44671447896621,1
White,Non-binary,-19.17449280938477,E,-99.16814100692442,100.9430949299635,D,58.570004773945826,B,-55.08821038907959,4.8316552283715435,105.07347381124556,-97.65005847451647,0
Other,Female,-156.91620323391467,C,-57.68682110677808,-7.969947797215,D,-48.231158204172274,D,153.67024967984847,65.00377419795363,211.91828405263468,56.11695428759229,0
African American,Non-binary,-1.1042627171967252,A,47.15316257875998,-98.18323843979373,A,130.96160041445887,C,-11.69873342702353,108.75442540925376,178.73158350689772,-114.34477599049369,0
Asian,Female,-66.1025499637265,D,-188.06534393576197,-191.25238301285285,C,-12.824135850277829,A,114.80808690773902,64.10535616826017,-47.96269796885075,-75.52011625553993,1
Asian,Other,85.97541690035455,A,-74.42208229101236,210.056590656131,C,-274.9204899165614,A,-4.136518325735987,-27.164373597258056,-77.75759892535932,-170.64966871138387,0
White,Female,-70.26376710307463,E,14.337762922896488,-87.24371035211576,D,-6.616345470793986,C,66.39710967538448,-74.23260868480071,-79.47200866252167,-88.08685706358655,1
Other,F,-117.14507887780627,E,39.58982706773575,134.1553481019881,A,33.719823515564315,D,38.29140522171319,-5.859526403387913,23.241581589224666,-53.82803181822817,1
Asian,Other,124.45500147677637,E,-93.29539467888617,-58.36855613239673,E,158.84909334853555,D,-36.07142215879782,70.79262751790296,199.647331920998,93.23992097750691,0
Hispanic,Non-binary,5.234850504342208,B,-199.49587383326894,-38.55821893711532,E,95.78620835633984,D,32.21592120815578,-84.7063604650649,-143.59247549783507,-118.47312131412595,1
African American,F,6.493964401868169,D,-183.13391845883808,72.15296741223717,D,49.26673707143061,B,-8.371869026477983,-195.81751084940947,-12.73662967008172,153.15031846179963,1
Asian,F,-79.91468689601449,B,-68.37443849204274,102.33851588150648,E,98.86918489356376,E,-99.87713955567541,-32.24076249750741,-88.57599467043109,33.85805765183329,1
Hispanic,M,-73.11705788160174,C,4.501381808380882,99.38097243260418,A,169.29208678761555,A,121.30734855162517,138.75179700217734,-43.32068020283965,46.61835652383627,0
Black,Other,282.13103598215326,B,-112.39261360640948,85.0872078893534,C,-24.04414358952293,E,74.74869897479746,149.27707929728973,-87.87955565470124,-177.33408746972862,0
Black,Non-binary,-114.37500457100708,C,42.04622096870177,19.908433748336826,C,-74.68935800056592,D,83.72960825864259,-207.58320580947483,-4.262917572602568,111.41362638275467,0
Other,Female,133.37208719275287,E,-112.50595299438035,-132.5591541579807,B,47.088463216364566,C,-122.82766606318667,-15.288189049458612,-12.105493884345037,158.4769535046993,0
Asian,Non-binary,-111.75397984209347,D,20.741898426838898,3.355734938818826,B,-52.93092348071426,D,-257.1720629146881,155.198425404814,12.609594093620096,106.38502752118306,1
White,F,-29.243992967154377,B,49.05335345594934,-57.927636962882836,D,180.2818285749042,B,-36.26174975659423,-48.416304873003256,147.35212995666927,255.34090055877226,0
White,Male,-223.8143731309319,D,-136.6984524839325,96.77784248857961,B,42.37777301667906,C,13.430692319927829,74.16164346283321,-93.55010975991709,17.060483549377206,1
White,Non-binary,-214.26322258015324,A,72.11810953721745,39.37857795392,B,125.6310532608124,D,-23.390282118269983,80.76252177956708,-44.191388749521884,-59.58549300047117,0
Other,Other,-121.74117058208107,B,-8.347414982903043,27.174322242850675,B,1.7846943462356837,E,157.74380726559562,40.815463627646096,2.7182223911203014,4.67846484271306,1
Other,Non-binary,174.2541129714795,D,159.35030294080372,82.92981920184897,B,-32.81301792593339,E,154.9221295842338,-152.6794576807976,-220.49534803284007,-131.6048680408559,0
Other,Non-binary,54.73695764133104,A,-109.81414849484328,65.44574771575698,D,-106.10085652875962,A,25.92737527263446,191.96148205430285,106.99334853818121,-38.81673665118987,1
African American,Other,7.227917958684108,E,-84.69830890420342,-245.79166846441433,A,45.52773682793945,B,234.21052396871454,-21.705334336066183,106.57491703210778,-44.318660000673034,1
African American,Female,-186.821310742117,C,-221.96686817881934,-182.78440732751292,A,65.61383966069943,A,-197.4508506996603,25.954212168583723,-45.431005147523045,-57.43077169024112,0
Hispanic,M,120.94099416506666,E,32.03845839858229,68.57991522575759,C,56.94762207050806,E,53.23092610100023,65.09289807788305,102.36250420668327,-21.085108532485982,0
Asian,F,57.62092274529945,B,-2.0285904676551123,-67.65510419137944,B,137.7882882283871,A,-234.00615563746734,163.00595327566938,57.46909892590429,85.96636606637612,0
Hispanic,F,150.37851459402933,E,-54.398487210326905,7.332180549718359,E,-8.267073932785236,D,57.31018555810286,-96.21617442780091,-134.45566375401407,6.46004214482275,0
Black,Male,-94.67928830884276,C,-15.928440114375505,58.61327556275552,B,-51.16803709251276,A,15.886901490565105,41.87039412338335,46.52120113019007,-15.683254790451917,0
White,F,32.164825891072745,C,185.87828722163508,-129.55938479827998,E,-18.089646533909782,C,-35.648831023894424,11.786038129721947,164.46813488471946,214.33133249004018,0
Black,Non-binary,8.958739605920776,B,33.004151089915126,39.68707166590063,D,79.69484659473454,B,-38.50452235940973,-95.21116320426995,-123.19971033742713,73.01499864187873,1
Other,Female,-59.11822060516835,E,176.3213556055745,-89.05047328378237,E,-54.6508041889563,C,-96.0982147071096,37.220507528467216,-19.782761285833327,-2.515334578897667,1
Other,Male,45.81890223451875,B,51.21052955559177,89.00452738322315,A,62.80159642744747,A,71.87789353293795,18.321907416817435,-112.68278760115149,-59.30967983184784,1
White,Other,-129.1941400273809,C,-34.06083503502606,-173.63614117555036,A,-120.79002328189144,C,106.33906767338188,15.881848832733148,-75.82349381172114,28.776646165755697,0
Other,M,-28.978597820139342,E,67.50631701694344,-47.3589494210719,B,154.80442793092718,D,28.27045690845667,51.59248024850057,69.8695235119456,17.61514667992222,0
Black,M,-46.56080150768587,C,9.405376327276272,8.661328086057448,E,-195.5967008227122,D,36.639125831799696,4.902593381335694,-94.96394925794986,87.33247855131282,1
Asian,Other,-182.14226571324804,B,-168.71761554645624,75.48051637481608,A,-44.99454567677511,B,68.08960799387819,-41.53014622009019,-123.310257599319,-26.159465558584323,0
Black,M,111.68663559173287,C,-83.56603652286502,85.94476459906542,B,35.92979061724204,C,-56.78642974485392,66.67925100087514,-69.41531038408193,-135.29641744157513,0
Asian,M,57.257322107865825,E,-57.21124216806609,-65.38614858818057,B,-62.34630442122968,A,109.32837777228788,23.41628236803434,-95.57867619400174,45.41649062435038,1
African American,M,35.320358668953055,A,157.0452720804972,-25.33843633169146,C,105.46369121873822,E,-39.666780188518516,-123.15186512322147,-172.81684821204914,7.346501115975308,0
Asian,Non-binary,-152.7670979568818,E,-99.49181830553484,-97.09118692088352,C,49.81310468750042,D,-167.24605995860603,-160.06225711270145,54.3704405180432,-100.85372189169661,0
Hispanic,Female,21.844118908962518,D,-23.93843178216277,-115.90820830527852,D,-9.726146395356608,A,-142.62027557668327,-19.71950699648581,7.774699158246796,-4.137628101222692,0
Other,M,-29.010480378845138,A,85.54860120869313,-131.6024962465082,A,128.2058191426386,C,274.8808836111009,-49.80231689365752,-32.21958070589562,122.5996926876642,0
Black,Non-binary,-13.565358616830611,D,-34.439047801544106,-27.761065280443827,C,146.1867707565509,B,62.21677728685046,-59.40304332701408,3.14056917928412,14.480038235214957,0
White,Male,-17.455110160034103,E,-70.96587165486262,-148.09204751749414,B,-36.18684206607876,B,-32.910847259743115,42.61914380255256,32.69555699115554,-117.44439938571342,1
Black,Other,53.15516064951507,E,-108.20652795144952,78.21027793696882,C,6.419425999404045,B,-134.0401328091947,48.95323577978404,108.11134224314074,-2.0739274106435466,0
Black,Male,-156.20791663692063,E,-168.63363500370392,133.3476370111893,E,-22.168365073805006,B,5.751879739976686,37.11641599473233,-72.69306967528915,64.28576655313393,0
White,M,-92.01736801600325,D,-128.81557241638654,160.0057855504081,E,-92.05629242070918,E,102.43709095432187,-21.312145059578558,-14.221648821928998,9.400899903198988,1
African American,Female,-133.1581818650208,C,30.171441283599748,-146.2540550674513,D,69.24200739880652,D,20.63246270618188,-194.8922365197693,50.55742327958141,-52.43320181637954,1
African American,Non-binary,-122.37983190913995,C,58.56507344678717,79.70628309220929,D,62.39591008038231,A,49.374541221360175,104.390927251262,37.19281376467073,53.378026299632474,0
Asian,Female,-84.4183739309441,E,-97.37202803114603,115.8174960109517,A,-78.54438009102623,A,122.811375054495,-127.97282567935282,70.22681418621386,-90.42540159260473,0
African American,Other,3.407117714998553,C,-39.29499072217689,80.22195857569055,B,-133.8135949130575,C,-167.25104803143773,11.024904790486941,-139.3683464242673,-51.15671087664019,0
White,Female,112.49637774693899,D,-186.3981969443631,-77.7633273092665,A,-88.53795490909717,D,-212.32478033346655,147.3769931931302,-4.528139099915349,-46.05882987797308,0
African American,Non-binary,-72.90682452294331,E,-32.67111469395461,16.772749854533906,C,77.77885280817004,D,20.452614368011993,46.0278571233322,23.777998559271307,24.98537674043308,1
Other,Non-binary,-107.64514364267654,C,-209.29812393044557,-167.8625444050353,B,23.07575068898887,A,-188.0102715833594,-31.22679898943339,-18.697303771213313,-77.99238629365364,0
Asian,F,15.415821722390266,D,66.65934311591056,-98.48737303533544,D,-38.25218110058038,A,-64.49934210356875,76.72246355968052,58.32073949957534,-87.44144609008016,1
African American,Other,-10.623533535607681,A,-13.130598981824656,56.26953175599223,B,104.1093299399041,A,88.15866171837719,19.982511318780322,-15.353966908310971,70.5139644084941,1
White,Male,-53.713638609846036,D,-128.81847400543933,-13.576315792686163,E,-118.8844659566573,D,-64.34376715490386,-90.89100261576267,-69.68539627818267,-161.81937512512553,0
White,Non-binary,68.4217017561174,A,84.3631186165509,-121.68329094602576,D,7.679621942212476,D,-29.389164089752352,160.60332406356613,121.15812116565357,-12.245505363906945,0
