AgeGroup,genero,sexuality,age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
51-65,M,Other,51,-0.4395096576302192,28.246923765619886,A,B,A,1.2850118561059074,C,-77.74593688778265,A,113.18758804161561,A,E,25.92897434783489,D,C,D,-171.50708968762197,1
18-25,F,Bisexual,76,124.5147139087286,0.9900156071999421,D,A,E,9.282279478051915,A,-137.30602409617902,B,-54.0073948814927,A,C,-93.95745712777904,A,C,A,4.134279863476509,0
51-65,Male,Homosexual,21,127.21983802420908,71.58597067272213,D,C,C,45.88515895018092,B,-53.83832327045943,A,44.37743678597125,E,C,164.80471631290627,E,C,E,-20.001238210925234,0
51-65,Non-binary,Homosexual,25,114.35665105889828,-4.547723857302797,C,C,C,46.879309145973856,E,23.46627293719775,B,-61.10858646209913,E,E,111.30928709053572,A,D,E,0.27611542578843135,0
36-50,Other,Homosexual,48,27.82764450834406,-260.2511950425174,E,A,C,155.1770654413034,B,75.29924067801966,A,-56.08107516129878,A,B,36.46549520727763,A,E,B,26.258281795637984,0
65+,Female,Heterosexual,23,95.65207351924218,328.33763717505417,E,D,B,-31.926983697199358,C,-183.5378612454054,C,141.24196777057264,A,B,-30.72863643057755,B,A,E,75.02517360092364,0
51-65,Male,Homosexual,68,97.47912764188973,112.42395559748518,B,E,A,-119.38822325745662,C,37.05376596238315,D,-22.320854061699755,B,A,-13.524468109263207,A,C,A,-82.97994555868331,1
26-35,Non-binary,Heterosexual,50,-111.78905453442694,49.61925177367334,A,C,C,-46.09481665766923,D,47.26043683316332,B,-42.48028861612842,B,C,-59.24747136845049,C,B,D,-116.97939310343439,0
65+,Male,Bisexual,63,-98.6072926768633,-80.11167128147324,E,A,E,-165.1119118510564,B,-148.08150299585736,B,12.623221429134462,E,D,-74.75828404749622,E,C,E,138.32478455360538,1
36-50,Non-binary,Bisexual,76,0.8230633940053171,7.130026938417293,A,B,E,-102.0961827072047,C,84.06734594861202,D,-91.62905490138908,E,C,79.78544850051075,C,B,A,197.13767458494092,1
51-65,Other,Bisexual,70,25.776078888541896,-69.96955698222533,D,A,D,12.040910436082646,E,172.46697733525545,A,-71.5905394776205,B,A,-16.04183673028298,E,C,B,-131.47498792434754,0
51-65,Male,Other,46,-166.69387099604427,-2.173291381397597,D,B,B,-17.73853975276348,D,186.15853939194253,D,-104.73541316559107,D,A,-3.313511011291643,D,A,E,35.38737461937405,0
36-50,M,Other,62,154.523132761818,30.88579459170363,B,B,B,-27.847829768778563,B,129.6425421216179,B,184.2922024224127,C,D,62.16247239951008,A,A,A,10.281029477581098,1
36-50,Female,Bisexual,22,171.80011685674253,72.63726870150914,A,C,C,81.13693475082276,B,-92.53412536201756,E,92.28070471131909,A,E,-149.2685341064546,B,E,E,29.26857955835481,0
65+,Other,Heterosexual,76,-29.165558475391524,-59.657355761743624,E,B,A,-117.83425963635014,A,-76.77038753394599,D,87.21831982050956,C,A,-159.36872809494267,E,B,E,-24.798675158219346,1
26-35,Other,Bisexual,43,-79.09626556870087,138.81337510132013,E,E,D,52.17361990952274,E,115.85136092965539,A,-47.22709996430463,E,B,99.0985663509963,B,B,E,-43.740247759270474,1
65+,Female,Homosexual,56,53.64832534164105,12.931781139618954,D,D,C,165.3578209798803,A,47.05291298804765,B,2.489485957041633,A,E,-55.5646224421058,B,B,D,-85.20551683314854,0
36-50,F,Heterosexual,33,-5.703692739963444,121.94547620556233,E,C,D,85.17025314594864,C,139.01057910448372,C,61.25129619845837,A,B,-127.39466641358736,C,B,B,119.92600141238614,1
26-35,M,Bisexual,74,7.453440786793916,76.45094377722096,D,C,A,-43.821871790739884,A,73.96394786132505,E,-204.31202343606833,E,A,144.56963467834711,A,A,E,-22.76942371641496,0
65+,F,Other,45,-113.55455257477409,136.41497984061027,B,C,A,113.41123742468517,D,100.473437173704,C,-27.698404642538595,B,A,105.4240206405566,C,A,C,-104.5655937376227,1
18-25,M,Homosexual,78,31.401418838230143,72.41778712309666,B,D,B,-68.94067493133448,C,-86.94941045028821,D,-45.03781171953907,B,B,21.808565502864134,A,C,C,-3.916973169541266,0
26-35,Other,Other,53,-66.71913317017824,-78.34315319394585,A,D,B,69.9200452369511,A,22.951133864436997,D,-23.116991331181328,E,C,1.8189199936928173,C,B,B,17.869611335975385,1
26-35,Non-binary,Heterosexual,50,156.139620916562,-22.55765367583382,B,C,A,18.484061266428238,A,40.37981113481608,C,50.72842150386037,C,B,-77.86342964167491,C,E,A,-193.30627870811102,0
18-25,Other,Other,78,56.91269932424466,-180.13646401342282,C,D,E,138.02353693022485,D,200.27225628552196,A,-129.39481890368532,B,B,-59.23184880732455,A,D,C,-76.0458718163519,1
18-25,F,Bisexual,36,-3.597502748134571,-55.70759200758896,C,C,B,-138.4559934220826,E,69.9018383297758,A,-166.1461462591555,B,A,83.85293591931597,E,A,A,49.42743097810601,0
51-65,M,Bisexual,42,-100.85276842777398,6.716632751982209,A,A,B,250.81451633460836,E,-16.384567054540174,D,174.06166825308455,B,E,-165.29673336445902,C,E,B,-21.24669451774006,1
51-65,M,Heterosexual,27,207.3742053345716,-24.01375117922906,E,A,D,-44.35104097496942,C,109.67864937058869,B,28.70055722416162,D,D,-121.64089740433013,C,D,E,-157.70942014081697,1
18-25,Other,Other,54,-170.8503470882067,54.40205374057585,C,E,C,107.40175004176604,C,54.21595848984069,A,36.61028572011524,D,E,4.876559263949972,B,C,D,24.059555872698656,0
51-65,Non-binary,Heterosexual,65,-79.3763758084906,-132.48641716741395,A,B,B,-125.47836186577375,E,-15.671801000319125,E,81.17893731230309,D,E,197.37036770787586,A,A,B,17.07224231856728,1
36-50,M,Bisexual,21,-164.72506139432107,49.47982789822101,C,D,D,-164.62320858591755,E,133.02349217512804,D,51.90114012393916,C,D,152.2996264967949,C,A,A,271.2229863307791,1
51-65,F,Heterosexual,41,47.99639910483297,-81.80305101461617,C,C,D,174.7573638187052,D,-301.60722609216486,B,65.09615665077533,D,C,112.55967028611526,B,D,D,58.389741889055635,0
26-35,F,Heterosexual,74,-31.132911948349136,-70.96221411055016,D,C,E,65.2628986879778,A,-6.432061516706879,A,-79.67800788126098,C,D,126.05952177514934,C,D,C,110.49594419592923,0
18-25,M,Heterosexual,71,88.67205034874303,134.84408716258824,C,D,D,-72.68764273726963,B,-18.684488155046093,C,-164.5033233486778,E,C,81.09722661683783,C,D,A,212.1686236914173,1
18-25,M,Homosexual,43,-46.767300868816605,33.8417346022015,C,D,C,49.028113877788954,C,153.6087755761503,D,-153.10824278284352,C,B,-66.56099779553675,E,E,C,-40.24565214927705,1
51-65,Non-binary,Heterosexual,28,163.26407758770506,37.967582796695204,B,E,A,0.2663448047598834,E,31.10077636070587,A,49.559890926281525,A,E,-62.99354894617388,C,C,D,-136.89519409780831,1
18-25,Female,Heterosexual,75,126.79510305325337,-141.433367440111,B,A,D,-31.04877990087653,C,122.74537317634066,E,98.34590746792271,A,C,91.9906027894185,C,A,C,118.9667409195945,1
18-25,Non-binary,Heterosexual,38,-147.19065504437472,-87.7338559439042,B,C,C,-9.582070824684296,D,102.10439724430962,C,-36.9036723580027,E,A,-16.035468917351007,D,B,E,-24.42786588645239,1
65+,Female,Heterosexual,22,52.528825051141695,-118.79107734330505,E,E,B,169.64852681325962,D,32.24237392508733,B,221.7078245292694,C,E,-83.54617909879472,A,C,A,-10.603964646945192,1
65+,M,Heterosexual,69,88.59062466449836,-86.15677473553525,B,A,E,124.32269248569287,A,-65.56565548879456,C,41.04222269466925,B,D,83.6097651911724,B,D,D,11.74376124706011,0
51-65,Other,Bisexual,34,115.3040615570619,-65.2398993823573,A,D,C,12.830045290455914,D,31.296243955155905,C,91.90692786699405,E,D,-46.454354292529345,C,A,B,32.377005579696345,0
18-25,Other,Homosexual,56,-60.01754998045116,-5.328368894500614,E,C,C,-80.4188508330389,C,29.29764195902591,C,80.18529545413085,A,A,-82.93908960125754,C,B,D,-43.96716239702631,1
65+,M,Other,35,-57.38970759260291,-166.88351958661133,E,A,D,-14.027032851115234,D,-13.488347049962691,A,91.04119401208708,C,C,-158.61911111959367,C,E,D,71.92373840075494,0
65+,Female,Other,73,114.17391908370737,13.11543385611068,D,C,E,-217.96552632676156,C,-109.92007448357701,A,35.84771558122407,A,D,77.1327219632592,C,E,B,-128.23192998022802,1
26-35,Non-binary,Heterosexual,69,-204.06283879137385,-105.52929592238233,D,E,A,-106.93074234529112,E,69.41102498772317,B,23.895367608873237,A,C,-39.72820538093932,B,D,D,-9.985488887770575,1
18-25,M,Bisexual,29,122.9891249408623,-89.93512958058845,A,E,E,-83.32236685687414,D,5.303232477391612,C,-70.68056065658706,B,C,-0.6528780235533462,C,E,B,196.5143008926775,1
18-25,Other,Heterosexual,66,-244.7244959284259,125.80914219684219,E,C,E,-133.96141218442637,E,-71.30520836319214,A,-157.18624862364007,B,E,-42.76094480617044,E,C,C,39.26787045796066,1
65+,Non-binary,Heterosexual,79,-5.915783634358119,60.931011665944354,B,A,B,-126.71805081716843,C,134.61855591494083,B,40.58155884428269,D,E,-31.331654383447184,D,C,B,-19.88578673719359,1
36-50,Male,Other,48,55.78686278879227,70.13680079325398,D,D,C,121.95124574732921,A,-47.913639311189485,E,-55.89886684854651,E,D,162.09458676493455,A,E,C,45.64908144832812,1
51-65,Other,Homosexual,23,-60.80968080471067,-89.99761619859748,C,A,D,-94.54977503790826,E,0.02061966209635492,C,-143.79555024357225,A,C,72.06953748371483,B,D,A,20.53915534102764,1
36-50,Non-binary,Other,76,-53.08209047271561,32.58594259528282,B,D,E,35.793960242444136,C,-117.75840444040402,E,-136.82016472719255,D,C,-105.46752850214835,A,A,A,-101.22278491352832,0
51-65,Other,Heterosexual,18,-10.945869019275856,6.312602109068887,A,E,B,128.19896781047976,D,192.60924414357348,A,102.37375591170823,A,A,-9.647749528524766,A,E,A,0.8003021529122323,1
36-50,Other,Heterosexual,45,67.79170928643663,-111.13445222835263,E,E,C,-120.23558576066664,E,-69.09263196101098,D,157.5592311945864,C,C,124.96594856502684,A,A,D,16.82811272271995,1
65+,Female,Other,79,-10.878938182029847,107.08086372590093,C,A,B,85.24652491975331,E,-79.03509864131918,B,109.9800890164,A,D,170.17754906004328,E,D,B,-58.6628155005444,1
36-50,Other,Bisexual,18,-125.64061100619843,-137.3114060473494,D,C,D,50.80559211781729,D,72.22174942773273,A,-97.57177903043929,B,E,98.80490159974393,E,B,D,-216.1035076085073,0
51-65,Female,Heterosexual,50,-33.810578726408465,130.63207900750388,E,D,D,171.34102632399046,E,-107.12327343506965,A,127.87402406087371,D,B,-112.05119756897466,A,B,B,89.50979624331924,0
51-65,Non-binary,Heterosexual,56,131.58572481988685,-156.94175084980165,D,B,D,-77.47368190413458,D,49.55372305463618,C,36.52453764621921,C,A,3.906295203278399,D,B,C,-2.928040758266904,1
18-25,Female,Other,78,35.16369463990987,-45.82408235726306,B,D,B,101.41127546367858,A,-66.90166181340612,D,170.25947019108585,B,B,196.86285217701672,C,B,D,7.266510238886342,0
51-65,Non-binary,Homosexual,63,126.24954103428065,-66.89818370711868,D,C,B,117.87481587848092,B,-46.37675727301357,E,-156.27900358412026,D,D,100.70065371809709,C,E,D,-163.94183101558767,0
36-50,Male,Heterosexual,48,7.412796314366399,-9.788945672963207,E,E,C,61.97163977930765,D,-33.08532474341116,D,-37.68941529622511,E,B,-86.61095630861745,C,B,D,-49.07482243876253,0
51-65,Other,Bisexual,22,58.5979848986961,-55.5149605615478,B,C,C,-185.35759408179635,D,-17.35501262935819,E,-229.63005272716944,D,E,-136.81724316295472,A,A,E,-30.61853369554197,0
65+,Non-binary,Other,37,-141.23757391892113,-106.68655490948595,B,D,A,-94.60573626714648,C,65.75326605899245,A,-107.57209996557494,C,E,90.94951361900033,E,C,C,-32.652248643888335,0
18-25,Female,Heterosexual,71,171.89231556031737,169.74738461308667,D,D,C,-176.4255373464689,C,-13.721916018526855,D,-54.58951794158787,B,B,-10.32916025985605,B,C,C,8.232554625791726,1
18-25,Female,Homosexual,48,114.79256768198587,-132.19133524418564,C,D,B,58.37453557465192,A,-28.20088354008185,A,13.147701755056348,E,B,-69.48266313733768,E,E,C,-253.06461983284132,1
51-65,Female,Homosexual,72,28.52779181830899,2.11263511329284,A,B,E,33.04569383258173,E,-79.93166738442964,D,-172.75664643917642,B,B,-34.18645796256052,C,C,B,111.96368801107293,1
65+,Male,Bisexual,76,-183.9522476257799,86.66214861018726,E,D,D,29.396585831403936,C,5.432307723202546,B,15.67240344014468,B,E,-149.96761056058776,C,E,A,38.73083877660813,1
51-65,Female,Other,37,-25.651791223697586,-207.8049369719662,B,C,A,91.78754697960112,A,59.66038689722618,D,-29.247080650298525,E,B,-7.574026866713539,A,E,E,-17.295397236346126,0
36-50,Other,Other,79,100.55709138590274,145.36723141096732,C,D,E,114.65471950001687,A,-65.56070402680801,E,-38.64030828883598,C,C,-27.54577785253007,E,D,E,47.669981551009265,1
51-65,Other,Other,20,55.30170313621018,-16.143190362642475,E,C,A,10.818498110662848,D,189.69943069180943,A,-25.739787805962816,D,D,-82.07771523724806,E,B,A,96.20010589599698,0
18-25,Other,Other,60,79.03159449939758,80.54706611975209,E,E,D,143.48416864893034,D,-120.54234000196273,E,23.252864309017657,C,A,180.63889694877574,A,C,C,-31.852364954914652,0
36-50,Male,Other,73,52.66114642606644,-188.77571720403498,B,A,D,26.649178854514016,A,86.89391138425174,A,-13.309015414021538,A,D,122.22071273016446,D,B,D,51.4610523773947,0
36-50,Male,Heterosexual,65,-31.113100189069957,4.60401742844366,E,D,B,-139.98702304756642,A,-42.100199884959224,E,48.849685131703055,A,D,2.359399315504701,A,C,E,-51.94700941577586,1
18-25,Male,Bisexual,73,234.4385294666429,-5.422563708783954,A,D,D,-49.313116263784856,A,-110.74532474899921,C,41.410195411261036,E,A,-42.06598223295806,D,D,D,6.3631427212161045,1
51-65,Female,Other,76,160.06737014900557,21.444445134081498,B,E,A,99.12709241122352,C,177.9923119574256,D,69.36212408049536,E,C,-247.47049340847505,A,B,C,9.54809377825259,1
26-35,Non-binary,Heterosexual,57,-44.448350464762655,-27.01554980646945,B,B,A,-27.351266756195052,B,51.71579199350022,C,-164.74195922903527,E,D,-89.59194609230443,A,D,A,-141.8695517587922,0
36-50,Other,Bisexual,57,-5.955202960832243,-19.0287635680407,D,D,A,-27.646711979934903,D,-21.69419221609015,E,54.17386905370638,B,D,14.954015475825866,D,A,D,40.53617826869389,1
26-35,Non-binary,Bisexual,69,-82.4866102290101,32.064194380457536,B,C,B,-90.45633141564777,D,108.01004121029007,D,17.932745110819937,D,A,-34.67202209567196,B,A,D,4.5099178242560125,1
36-50,Male,Other,69,31.23036694377193,26.975452471402505,D,B,C,-98.07822960300322,E,-0.16063551666093276,E,254.51437757517996,E,A,18.676913013957503,E,B,E,25.19184304541127,1
51-65,F,Heterosexual,38,86.79380636136868,48.07290488483573,B,C,C,137.75696235649843,D,36.35588218910753,A,39.79701234803756,B,E,86.35263990500017,A,A,A,-73.76251837109326,1
26-35,Female,Bisexual,48,38.84946689485187,-77.6223361553843,A,B,D,8.99297729856006,D,101.69553555170035,C,-32.10475704232859,D,E,-1.6527504495144907,B,E,B,-13.079032103091645,1
65+,Other,Heterosexual,71,11.671113731140471,41.54434291483742,B,D,B,-111.0679679758502,A,23.36400297272718,E,5.258493382958315,A,A,123.39368693926068,D,D,A,-215.81785794955795,0
26-35,Female,Heterosexual,28,31.302562807434555,86.23434896956074,D,B,E,-67.30436784944487,B,119.5142964330954,D,-116.85325593399392,D,A,91.55049502255497,C,A,C,97.83902199095563,0
26-35,Other,Homosexual,70,62.82601574190567,-25.795300042296205,E,D,E,-43.107476980805274,D,-154.6423079793452,B,-8.908555271975425,B,A,-38.494904023559776,B,B,A,-121.15815064080675,0
26-35,F,Other,66,-206.8256529085569,-68.26194843589252,A,E,D,-38.69748443110902,B,-58.2205629308525,D,95.32227317398836,D,A,-9.63937057904006,C,A,E,-113.64943921738981,0
51-65,Non-binary,Other,43,13.913821197249664,110.71662151095309,D,A,E,-145.00612675879248,B,-125.71649238734037,A,-148.60237236515806,A,E,-112.45118916604504,B,B,A,134.3032588336866,0
18-25,M,Bisexual,45,-55.43211780047874,195.06466507474843,D,B,A,-95.49243628786252,A,-16.905248689887742,B,-14.057230741454724,E,C,76.91541391888616,E,C,E,35.10958247380236,1
18-25,F,Other,55,8.788982438278813,50.361402395761026,A,C,E,26.24491514641722,D,84.96898823203159,C,69.97054550421181,C,E,-107.40297347036916,A,A,B,-155.62324286277536,0
36-50,Male,Heterosexual,75,-58.4653153540639,52.587788495230434,C,D,A,29.037493790172714,C,-269.26698274175556,E,31.5027725658459,A,D,-64.61965148294182,C,D,B,22.725351697405422,1
51-65,Non-binary,Homosexual,18,50.09651561390329,-105.47423108163233,B,A,E,-19.17421970986534,A,-19.270530099589205,E,-7.805929280533845,C,B,47.50718938649726,E,C,D,-132.6929970126337,0
51-65,Non-binary,Other,27,1.9629691746121254,43.16640831618868,B,C,D,-15.211042372087574,A,70.29103004030107,D,36.45557005095836,D,B,-61.860556647658626,E,D,C,-20.93271047464907,0
26-35,F,Other,49,101.40946626711518,30.87732651705982,D,C,B,-79.85464960508307,A,55.44233179739562,D,47.093060126845046,B,D,57.62500973158099,D,B,C,25.237153433800096,1
36-50,Non-binary,Other,45,65.02861444615229,289.4169946520348,B,D,B,233.217405502998,D,-195.78230208360335,C,47.28335003796824,C,C,-118.14870220613992,A,D,A,-120.19178746106618,0
51-65,F,Bisexual,67,30.56042752167944,-41.215044438769404,C,A,D,-83.42447412745051,A,15.859788722134821,B,186.45840569460356,B,D,121.39177599232428,B,D,B,125.2226808830321,0
65+,Non-binary,Other,58,-44.92174772900885,186.3350099707183,B,D,A,-53.72325873935237,D,112.18396015302903,E,-22.403748977399022,B,D,116.89281543330965,D,D,B,28.28621316910112,0
26-35,Female,Other,25,63.883621464349396,32.19032801362995,C,B,C,41.38515416031975,C,-4.717449223539868,E,24.64433738654519,D,A,-47.631640219271354,A,E,B,50.97182161953263,0
65+,Non-binary,Heterosexual,33,-43.595194438548695,-5.919861754964356,E,C,D,-80.43410701737776,B,84.06859283092952,E,36.05301793076025,B,A,-83.76938775851352,E,D,C,6.29123926416288,0
65+,M,Other,45,-18.664398429478197,130.08187156340335,C,C,B,92.04847516413108,C,-273.9728932027251,E,-24.950539115576056,B,C,210.54781289982517,A,C,A,-24.341771422382905,0
26-35,F,Other,54,-109.7469987383475,19.839375584547632,D,E,D,0.029653915103397863,A,21.6854607166033,B,102.72460112083567,A,B,-111.82171431063585,D,C,A,71.37751308493887,0
18-25,F,Bisexual,36,48.7786950968003,-38.20405852000396,A,B,A,98.38837087509863,C,-32.82749257692661,A,45.01798976742241,D,B,-118.70301355412423,D,E,D,29.45907698118228,0
36-50,Other,Homosexual,60,139.58356111530082,-195.18587724663493,C,B,C,-29.159931759422335,D,87.58678638560295,C,159.33198744651037,E,E,17.782583838449327,E,D,C,-43.83028961306006,0
51-65,Male,Bisexual,43,63.34099389047848,82.80480034229656,B,A,A,-3.888386149224923,B,66.43448106902014,C,-61.479272828952624,D,A,119.56189599708804,B,B,A,119.68050676280086,0
51-65,Non-binary,Homosexual,27,96.89321007714618,54.4085407360346,B,E,E,59.102342332614185,A,71.24223015788556,D,193.18536675052493,A,E,75.15123974582019,B,B,C,125.55371786315888,0
26-35,F,Bisexual,26,25.76666586253406,159.4867124980103,B,D,C,157.60834579399904,D,-189.36978746351053,E,39.32488707598861,B,E,97.91796201847805,D,E,C,-9.341253524925609,0
36-50,Non-binary,Heterosexual,36,-134.1912711585051,-85.80056439599217,C,C,C,-73.10751640540516,C,-3.1043786649358136,E,-7.569772786199873,D,C,78.58322109748518,A,D,C,89.55593126870546,0
36-50,M,Heterosexual,70,-107.84067094010435,38.46955350860064,A,E,A,23.505853054608455,D,-64.00635898822237,A,-203.70776255932208,C,E,72.90703602648996,A,B,C,-52.29842424927249,0
36-50,Female,Heterosexual,79,-88.16032172600342,141.83555173572233,B,B,A,-34.72733850706919,C,113.54027999384073,A,-48.98100389651757,B,A,120.51812576321805,A,D,B,-123.77325742434044,1
26-35,M,Homosexual,77,172.04084472496075,151.55644779041998,D,D,D,-97.87456769191891,B,-4.985518035369873,C,97.73755558274058,E,D,79.29390713803524,E,A,B,105.55577177748772,1
18-25,Non-binary,Bisexual,21,-4.182078838092773,-61.49179369137473,D,B,D,279.4628347852261,D,-12.219064148899575,E,67.42416962301331,A,D,-5.844494605059772,C,B,A,-121.96462629714931,1
51-65,M,Bisexual,39,-9.479019082068062,-28.18034476661031,B,C,A,55.605844626325464,C,23.580688680031695,A,21.590872815589414,E,B,-8.951512320491192,A,D,D,55.008588822623025,1
18-25,Other,Other,57,205.38804292662866,-86.33087068700095,A,B,C,-58.731823373685856,C,20.18274493824111,D,44.3763689705089,D,E,-111.04987474639441,E,B,A,-127.3692395002954,0
26-35,F,Other,45,-121.12494986942126,-258.69232252085123,A,E,B,27.351095392347247,C,115.43005099289651,E,-170.19354290695935,A,D,-82.30300106521342,E,B,D,-170.58956227911105,1
51-65,Male,Bisexual,72,-206.75988204410908,-129.13594610993272,A,C,C,185.22622181362016,B,106.99266681230239,D,118.98684838962976,C,C,73.23019038144261,B,D,A,103.70284368480738,1
65+,F,Bisexual,45,-61.90937858179317,-40.364792229620356,E,A,A,51.22969708306076,B,42.32591717035078,A,-50.516942486261954,E,B,-91.05552144508523,B,B,A,29.71054356615939,1
