race,religion,handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
White,Jewish,No,E,-1.8381066528742889,C,D,D,-61.55370998362146,-49.338341121594006,81.96647204260478,B,19.054697491757445,A,E,32.378006029589216,D,85.04070174425003,-122.45179831859583,1
Asian,Hindu,Mental,A,-0.2877409924836644,D,A,D,-99.7893670204012,121.65134051285558,-189.47797376364156,D,6.737373247495521,D,A,103.5806925376817,B,110.60485142477879,-123.2964349193153,1
Hispanic,Christian,None,B,-73.04279104511743,B,E,E,80.40982467016316,-43.314109697697454,2.600079808837674,A,178.63491956011222,C,A,-98.44705446226838,A,50.28972041135768,-181.82602940943852,1
Hispanic,Jewish,Both,B,4.980641225929587,B,C,A,1.123607192730797,80.89043087944857,332.87295320159313,E,42.26166217410901,A,C,-5.892347068597855,B,-90.96286912832052,-70.23934798642946,0
Hispanic,Hindu,None,B,-58.133940479177795,A,E,C,66.43803913358379,-170.1567538698403,19.86804526819528,D,-106.67460830509819,B,E,27.47171658201168,A,25.609334426192426,90.44414943611201,0
Other,Muslim,None,E,-77.8164883829146,C,C,E,-102.34176852871992,99.81903606907242,21.47273053607487,E,-118.93585852064889,E,A,1.7819929054817607,B,190.2678764629288,140.22829348699898,0
Black,Jewish,None,A,-37.45135609896103,E,B,B,30.8739425081816,105.31009832238252,-98.67289563508318,B,-114.38275154556072,B,C,-19.58976383315372,B,-136.94924003905865,-170.64191215420774,1
Hispanic,Christian,Physical,B,-22.960956450305144,A,D,E,42.77572061874968,-1.025884081388322,-202.93234544480114,C,41.1156768653054,A,B,28.7559632766839,D,76.75552061911378,145.75896330703065,1
Other,None,Both,A,-71.15877090707437,D,D,C,135.70263118745197,-125.22685168741748,-10.77061387727849,C,-62.96726216330026,B,A,-13.611352704648885,B,12.627525537919224,-279.9061377567081,0
Black,Christian,No,D,225.51820498558172,E,A,D,-61.32062417847231,4.870548442692999,-189.28761583755974,A,-29.45433109434176,E,C,-152.7477289042403,D,6.876567143512386,-249.218563977681,1
Black,Other,None,E,-38.34968138863376,C,B,B,0.5490659057527272,200.1364710838559,-205.80854535736347,E,-16.39630549971481,D,B,-174.9408575129336,B,96.3150890093531,-1.6017228690835545,1
Hispanic,Other,Physical,D,84.70597815741765,C,C,D,-53.027092706565305,-99.43626267173624,8.25533152723879,C,-111.92372393369719,D,C,156.52764668617576,E,-25.14896329959333,138.3839672663496,1
Black,None,Both,D,-102.04930063852504,C,C,B,-88.58304150128049,18.15590996236685,-160.3388267452748,E,-114.35432066899493,C,D,-126.80815251940754,D,-18.643984568414986,1.9769283608293515,1
Hispanic,None,None,E,119.11554877384667,C,B,A,-97.4459166787198,55.94438293358056,185.05727148090062,A,29.72298276866534,B,E,-19.244356388837005,B,192.9267030565986,50.9114267428736,1
Asian,Hindu,No,D,-158.04215916264098,C,E,E,-128.8972659208944,52.08908733337038,90.9918545603969,D,-125.08257371323528,C,B,66.31096277235213,D,-75.50199586190368,36.312135468401955,0
Black,Christian,Yes,C,118.03764584762162,C,A,B,83.52006415649753,70.14162107873273,-41.23853344259126,A,-70.98967086517945,C,A,32.89892430982717,B,-27.001703166407832,-75.14635225741178,1
Other,Buddhist,Yes,B,-77.0456668803645,B,A,B,12.833231975462924,-5.190803360581621,68.11496015749807,E,-240.77404101602502,A,C,69.29214961889701,B,56.39453170327656,120.74822808945973,1
African American,Jewish,None,B,99.4284310628511,A,E,B,8.345378320658078,45.90761803484615,80.88736629230148,A,-56.510297556594665,B,E,-295.00627430595875,E,-131.3045015361669,-104.79696450759934,0
Asian,Christian,None,A,124.27012227073834,C,A,E,46.92404711966891,14.029475538201504,106.89069659856827,D,25.518235015848813,B,A,51.135095250139884,A,103.43596335420966,-64.59647091457147,1
Other,Christian,Physical,C,60.79965342761589,A,C,A,-76.08461343429255,-140.2294339274667,52.754667675374556,E,-23.137674170447387,C,C,96.74529549813555,D,72.02792248487046,214.2941542825267,1
African American,Hindu,No,B,-54.60381852067201,B,B,D,-74.12910202316203,12.05576990689953,4.691973598708624,C,-73.75848990832165,E,A,3.504108701276712,E,-8.850603114653723,25.18331443360513,0
Black,Buddhist,Physical,E,98.98565672833598,D,B,B,-152.56595080754965,-79.0305247064663,7.51246973647978,A,-65.52578750682952,C,D,123.01824569190572,E,19.076036552069386,-52.51864690405663,0
Other,Hindu,Physical,C,-175.79328711016274,C,C,D,-41.747223861959085,-20.48562866493037,40.52458843844137,E,59.69248269633424,B,B,70.25991383629128,A,16.689148140260187,-96.84312462804134,0
White,Jewish,Both,D,-8.293896034074342,B,B,D,155.2506513547851,21.137484091071837,121.87387082973702,B,137.038816083808,D,E,14.697707443299436,E,-55.00494642431354,-13.563819810778845,1
Black,Other,Both,A,111.20238106874567,C,E,C,-12.85460747259561,7.512728627440472,16.59941061370333,A,142.57702026919856,B,C,-15.5167723884155,B,-142.90585738856382,16.409990013970127,0
Black,Christian,Both,A,67.17915687223915,C,D,E,-12.611207650306488,-72.00726051800258,-6.996308765892244,B,219.40363347686576,B,D,134.29888909030427,D,33.426148232028766,-15.252941306669381,0
Asian,Christian,Mental,A,48.69247827915051,B,D,A,54.439662918243826,-118.04201593705469,26.413820617247648,E,-164.85443152847375,C,E,41.45513588258088,C,-70.96720891152219,-121.86263809472493,0
Hispanic,Muslim,No,E,-25.6934021568678,E,A,A,7.015103016409284,42.30043604222956,-13.798207292886927,D,77.58105540841864,A,C,-133.89437682663052,E,-110.03283096412272,-129.45651568514913,0
Black,None,None,D,-41.83726715139428,E,E,D,78.64901958189326,80.68242736594283,157.72775125383623,B,26.542080902814714,D,E,121.7224749943551,D,-36.69778240541082,-26.516594733732628,0
African American,Buddhist,Physical,C,-85.66008774485312,B,C,D,-132.28798422243898,48.75255248411386,2.7442874305728395,A,-134.83651161438178,B,A,102.93716615380535,A,-176.53985828334763,9.448984096734229,0
Black,None,No,D,95.52134625193199,A,E,E,108.84733439148076,46.59257277145579,112.30791989831377,A,17.654103799229368,B,A,226.04172231838078,D,-111.42615456180253,-156.22778263191174,1
White,None,Both,E,42.87805914917417,D,B,D,21.595937579600964,2.319297450310716,111.63881634381912,A,-134.75483170725497,E,C,-255.32940025778578,A,-96.92394014669864,95.80340910850538,0
White,None,Both,C,43.34309048199449,B,C,B,-216.8703171122718,228.25798663072882,167.41045047068954,C,-54.17020580569882,D,E,199.73494900893328,E,1.9831180774020698,-89.03007032766679,1
Asian,Other,Mental,C,161.55296135861877,B,B,B,30.22765094975959,-34.047530568165016,244.39290569644453,C,72.93022661187413,D,E,-309.8154207861194,E,18.347599279517897,-1.077058732721926,1
Hispanic,None,No,D,45.905238481627094,C,C,B,-55.32271971726238,-104.63131575442992,-29.9594849604878,D,-37.47492722713609,A,E,31.350020667934835,D,197.20279601683902,-117.87735256914699,1
Asian,Hindu,None,C,24.647847731751803,E,C,D,4.227687237064233,-82.69898525380368,-86.0645844181959,C,59.87026452863211,E,C,144.95842686378165,B,-10.257763646087746,161.4424971980721,0
Hispanic,Buddhist,Physical,D,-49.786657736992765,B,C,B,196.9025179362125,-5.022487921408903,-22.850131459538726,C,16.576437088076666,B,C,-40.51592774269692,D,-30.634178847018738,64.20234775247428,0
White,Christian,Yes,A,-140.44861445039078,D,B,C,-130.8314347061734,-103.82082930885255,-64.11357022984625,B,-155.1790277936834,B,D,-118.07825509565706,B,196.04424243683135,110.90657405982334,1
Other,Muslim,Both,E,-65.81358053545392,D,E,D,126.56788466796536,45.66099716573855,-52.39128763423313,C,-76.18557612535191,B,C,-113.19735378802724,C,59.30156807606394,-208.95910214465388,1
White,Muslim,Mental,A,-129.6873125754052,E,B,B,3.6385943950052027,-34.39749042714314,81.86377984188702,D,-51.22637861935878,B,A,82.68430451143806,B,-95.5906293455822,138.62698399563263,0
Black,Buddhist,Mental,D,-83.08225351461385,C,D,C,42.13375944244881,69.73102977660548,-30.101072606517153,E,-8.392323684991572,C,A,46.643796898451996,B,95.74335432065762,61.842900491409225,0
Black,Hindu,Physical,A,-62.39528935741381,E,E,C,128.33072825767806,12.346350832089065,-89.02881852156348,A,3.87619034530733,C,C,42.675648667741456,B,-32.24750276959353,218.27585362876883,1
Hispanic,None,Yes,D,-66.97622213834494,A,D,B,-69.68398750019588,130.94830278502567,11.144160423984115,B,-5.218283844768469,A,B,-89.02844913089038,A,-150.52941258891087,8.039435050630571,1
Asian,Muslim,Mental,E,72.40352783954296,D,B,A,-11.217542363385954,147.2748435151284,70.23255113913159,C,110.40942204117414,B,D,56.32523978928299,B,85.05549882092885,16.886655865037984,0
Other,Christian,Mental,B,-21.871729172445512,A,A,B,-219.74291602166912,-71.80309839349385,-36.110533861717144,D,-114.13397418046347,B,B,60.51165260863181,E,52.58759625913353,-63.01109462548899,0
Asian,Muslim,None,E,-74.6416944904683,C,D,B,189.85497856879942,45.92179267418866,23.83954153104719,A,43.38468118322914,D,C,-51.80678365384581,E,52.64157788849311,118.81108862303158,1
Other,None,Physical,D,61.3858454461875,C,D,D,78.87994682239994,29.78865584771912,36.503938948632076,A,-6.706430156406933,A,B,-34.5729079009186,C,49.511468916646635,-138.61486263585928,0
Black,Muslim,Physical,E,-74.56779624241186,E,A,C,-30.638542089533093,-58.93619390197772,112.15011354277047,A,-226.72131324822828,B,B,-58.28263255823042,A,-168.413158423749,16.10717952499397,1
Asian,Muslim,Mental,C,73.13618286935011,D,C,C,-33.374931342067,-46.422062150998734,37.459403434699844,C,-13.262746208082751,B,A,53.358283377092974,B,-47.00258633089269,-140.71701750755201,1
African American,None,No,D,-151.80751346728385,D,D,C,-35.15012260732968,11.369027958246456,-10.40494671876136,B,138.90792870617986,E,B,-75.05844611782001,D,-31.79944846103694,-9.974907107625388,1
African American,Other,Both,B,-135.29846689356359,C,D,A,-4.205808934486599,179.2534462857874,-60.62118375608678,D,-87.35206101755524,D,C,-36.558674020005895,E,42.50824389340189,-72.62173736996999,0
Asian,Muslim,Yes,A,-53.704006926764606,C,D,A,31.697845382742013,-17.653140895384954,104.25752587228443,B,-1.8514780370427364,B,A,-55.685507646111446,B,201.0040135292406,130.1398375385143,1
Other,None,Both,D,-21.49061178642428,B,A,D,137.2178122219057,-5.483706338653502,73.52713796870381,C,164.15719358740606,A,A,-68.19570088979596,E,108.23381060351105,141.03788452426355,0
Asian,Hindu,Both,B,293.95539165430915,D,D,C,69.5062084059176,158.76176945798522,6.796087831365302,C,-114.93020952127013,A,A,11.754271659907445,E,-102.34159120308324,-336.6173599520942,0
Asian,Hindu,Physical,D,-175.13439150885122,B,D,D,82.06292018466073,-72.34238469502978,41.1497234648551,D,103.95713006139972,A,B,-117.57109567358013,C,-68.51462244141116,-81.59997594061286,0
Asian,Jewish,None,A,239.7913948389228,C,E,D,46.09943070689233,60.12461317952123,-32.767750452038946,D,184.25059271698137,B,C,25.679206133660422,B,73.69228181703762,-149.16800081351306,0
Asian,Hindu,Both,E,103.65473120088258,A,C,A,-0.5152794093101265,112.92624155197363,-122.00657723491419,E,-76.19875673890199,A,C,12.797590736966239,B,89.57003117850971,-16.03274907740379,0
Other,Other,Physical,E,-36.79497165343938,A,D,C,-41.149539045242676,-65.31984897374929,-121.02194053972642,A,114.14523737309068,C,A,-220.79028554535904,E,-53.06468320883084,-86.25899149650411,1
Asian,Christian,Both,A,-152.4364931521782,C,B,E,32.60486846754841,-89.23121950300931,124.42851724054316,B,59.05268456509939,A,B,-37.71123357339928,A,-33.4084586892917,-21.49216096113942,1
African American,Buddhist,No,B,-12.768934201252632,A,A,E,-168.7638690334281,1.0535204186120208,168.58863088674207,C,-137.82638532899324,A,E,-4.703793828102416,B,-33.12735352631043,159.8254433671841,1
African American,Hindu,Physical,B,56.672153712575735,A,D,A,-101.79200977310406,44.35871367353747,-73.3517185481711,D,40.62082755700921,A,B,51.52075458289678,E,-38.403578846003725,50.14875680327828,0
Black,Muslim,Both,D,-152.1180490722833,E,A,E,-53.13008874746086,15.817754579861493,48.881518705159046,C,216.4365540034842,D,B,-120.61969857106025,A,54.86750809287583,-138.21243899698268,1
African American,Buddhist,Both,D,-20.926218479646515,E,A,D,-7.120052961993608,-56.91410826598342,25.74151647910509,E,161.73684281290417,B,A,-90.52561541439236,E,-7.569258573997542,-30.10152235314963,1
White,Hindu,None,A,-73.55788418383446,E,D,C,160.17057695320034,-50.567497608762324,237.00010770258206,C,25.48199099301604,B,B,-44.1407805492921,B,-315.23238928798463,32.69298984746743,1
Other,None,No,B,29.279222356431088,E,A,D,-187.64061696289724,-29.22892982264199,-119.9993447331168,B,-14.965195003365167,D,E,-55.220740763944185,A,-300.4908264541251,92.83434974033315,0
Other,Muslim,Both,B,-167.40841027781383,A,D,A,5.895495153202525,-165.87753047154155,155.59714000848322,C,-57.33685504091688,D,B,133.6095381429143,B,-172.1405270930101,-137.9589728359996,1
Black,Buddhist,Physical,A,-240.48339782589747,B,E,A,82.74829577177717,39.644701611095286,76.80098679219915,D,-236.65647161507474,A,C,11.916755168700135,C,127.72237731202019,-59.84503820016754,1
Hispanic,Christian,Physical,C,10.288351252849754,E,A,A,210.8569245941331,20.87662829300652,2.005153722568498,A,183.65214756593414,A,E,203.49634553120367,B,-92.51937720226394,98.82741059332292,1
Black,Other,No,D,83.95237898227305,D,E,B,-80.43746261174648,-42.355687896081776,-55.766797489784324,D,34.32605841648362,E,C,35.884054869288406,E,-11.509310107115883,-75.13982024920851,1
African American,Hindu,None,E,84.36778599500207,E,D,A,48.190161911439844,-54.62017922385365,19.127693151320468,A,-55.54771821797807,D,C,10.794384505047626,A,65.39939566290352,-127.87681437948939,0
White,Jewish,No,B,51.705012244313174,E,C,E,-155.95286400064793,7.5723597199694614,80.60805399427068,D,-126.16092679247872,B,D,81.21376863236785,B,-10.588929571971486,-78.96077395976506,0
African American,Jewish,Yes,C,-69.7759851062566,E,B,A,44.40246093458533,-14.407978332175642,100.01053330440604,D,199.5067842283828,D,A,261.36451157136435,E,40.11429525488917,43.665513321714634,1
Black,Muslim,None,B,-101.785222030226,E,E,A,-69.72775487425825,71.51075413448096,-76.86072781226562,E,48.67358872381729,E,C,-131.8900247771397,E,83.50201472081649,-63.01470964759367,1
African American,Jewish,Yes,E,-29.03921732337703,D,C,B,42.95419582140711,53.05778173389746,52.982258661653326,D,-35.6310473088685,E,C,215.15645693308736,B,99.51416159147031,-149.89499977570097,1
Black,Buddhist,Mental,A,-140.09110331141278,C,B,A,-10.373924880044205,25.943485880758736,169.95100804140515,A,170.3718812788618,B,A,144.27074410046225,E,-104.0997346717091,72.00816901742424,0
Other,Buddhist,Both,B,7.938907752575779,E,A,D,195.45589354127537,174.09850711282144,47.63181903564477,B,-131.9923102384171,C,B,-103.03083036754295,A,-181.20989977799428,-97.40732423995163,0
Black,Buddhist,No,B,13.344740404819886,E,A,A,-86.34493218746438,7.60188765121448,-23.243266826460292,E,-342.9754719846164,B,A,-11.640604351866303,E,31.283789964178172,252.05220539811316,1
Asian,Buddhist,Both,D,-164.01842003237482,B,D,B,110.73520087819138,31.717274276996864,-124.15611521418768,E,103.92255946931097,B,A,-126.318107172846,B,-88.533063057614,225.97562829090316,0
Other,Hindu,Physical,D,-85.45984815284001,A,C,D,19.22553037392515,-105.9661162600144,144.04827817570037,C,-61.37849498134682,A,C,-121.33078054265086,A,-155.4466065433437,50.00483870158433,1
Black,Muslim,No,D,36.1592710609853,B,B,A,117.65643442230107,-166.63318083131767,-64.77099137064224,D,-26.2445096406084,D,E,131.96348449059002,A,102.88666031197246,-26.325387217142893,1
Asian,Hindu,Physical,D,13.193178762398897,B,A,D,-239.60283039483943,68.76377706212355,-101.50177867695052,A,-7.3333043721095335,C,C,94.29925305471384,A,167.69087124858646,-78.27318058579326,0
Asian,Jewish,Physical,C,84.937309215142,B,C,C,107.96811473023868,-226.54007135276117,100.04123526438602,B,16.788659123723853,C,B,137.1545312499474,D,-140.70200438083916,85.48708314649747,0
Hispanic,Other,Mental,A,83.57081260803413,D,D,E,-86.8405456043057,-82.60618373499673,-193.64401419024693,C,-76.95514561328555,E,D,-25.321456575021035,C,43.83480152056259,40.53033123844608,1
African American,Muslim,No,D,-91.04839773754611,B,A,C,78.14813630954654,59.07142434065917,-40.4919476901058,A,32.118337237212394,B,C,57.03136636884615,E,10.268705182175541,41.58115072078167,1
African American,Christian,Mental,C,-66.68962138598805,E,B,E,-138.91024978088882,-89.20651464366401,250.68665268344304,B,-34.56296478890385,A,D,-208.17929606338845,E,72.58166152394546,190.93261990367748,1
Asian,None,Physical,B,229.16241543910897,A,C,D,-14.904912952950406,110.56492911255273,13.08064560845249,E,3.4313346735449897,A,D,-75.70155526114655,E,190.79935821191992,-25.24587881467579,1
Asian,Other,Mental,A,109.2804591755141,D,D,D,93.44476376314071,-73.07163352057331,54.829453406131755,D,88.85100249654522,D,E,-46.64309255042539,E,-111.10877994671327,154.9278841312644,1
White,Jewish,Mental,D,-140.63962759527772,E,A,D,-45.034780274198994,121.57815071993763,-122.70647277518817,D,140.16962149898265,D,B,137.80895539453107,B,-145.00032323139774,-51.679874216689555,0
African American,Muslim,Yes,B,53.03036545864984,E,A,E,225.79796610968774,-1.7223627047329186,-15.483920831891067,E,56.72247291132532,A,B,184.05972571717453,E,-193.2596887975611,-117.68831133357043,1
African American,Buddhist,Both,C,15.192535076745251,A,C,E,-21.361564295578628,135.00721122759376,-90.76346614087379,E,-16.570447177442563,E,B,-141.36141113660855,B,54.82211857430174,40.056038644288535,0
Asian,Muslim,No,C,-172.3314425658213,C,B,C,-94.09845397415263,71.84425718468577,60.5278119792372,B,-22.310627073920582,A,C,-209.65613362311103,E,-30.70340827197937,97.2437546979571,1
Hispanic,None,Yes,C,45.134972946236,E,E,B,129.00883133319198,81.01644350857045,-28.3079800139664,A,-91.78720807181635,A,B,-54.492977386268926,A,-40.93373868763643,-146.50453498356245,0
Asian,Other,No,C,-174.21439665817022,C,E,E,193.2340872224329,-12.722070096698346,88.89236460439676,C,-142.2272894028773,C,E,36.671613894792635,E,34.86142069307377,-29.61352265548599,1
Black,None,Mental,B,-28.38709354372294,B,E,B,-59.370047595222985,-26.686672273452956,41.12785037570199,E,-86.06327005080102,B,C,-15.555576608762479,E,13.177049829339879,-57.10877821844027,1
Other,Other,Yes,E,-16.179172109530075,D,C,C,-224.4589222698548,25.31019890306438,-60.56181907058906,C,74.38708160799582,D,B,140.75312996663828,A,17.86992803159662,-192.11557901245268,1
Hispanic,Hindu,None,B,-113.88959935934093,D,A,E,72.82143519110437,134.11750765252387,152.82845277495545,C,34.75421103757693,A,B,120.54974976965536,C,-52.48542127662308,26.211058833347582,0
Asian,Jewish,No,C,-153.0544466438038,B,E,D,173.86826737200033,-0.7790074300698944,75.37067214131977,C,-50.897398048409634,B,E,70.97438424434527,B,-330.25429082378224,198.98118969369466,0
Asian,Hindu,Mental,D,-85.70079851260813,A,B,E,39.464153739883194,120.5183762209372,-117.85141273968304,E,96.05434356376001,D,E,-94.47014051276801,E,53.55625486588627,47.31417131320911,0
White,Jewish,Both,E,63.34645702430777,C,B,A,-218.47319891015835,-117.25512496895543,-101.15794678852974,B,-64.15467950335741,C,C,169.09802688371204,A,-145.32295505629028,38.69849958879925,0
Black,Buddhist,None,A,18.3216346533408,B,A,A,49.15270042524655,162.0405317978987,158.33927630052992,E,59.0945179676847,D,C,-67.50808735396205,C,-113.87335803532903,83.62449161994903,1
Asian,Muslim,No,C,97.79385655452421,A,B,C,103.13908629093329,-154.54802461287971,-30.978028790636102,D,-40.2480621641171,E,B,-147.59458096347996,A,189.97718535218294,-63.48492271931089,1
White,Muslim,Physical,E,-88.26493279912259,D,B,D,-122.13522243172828,-161.5549668787287,-170.74507625393989,B,-8.888941365736537,C,E,14.6593813747086,D,0.3805276447795803,90.17098912165402,1
Black,Hindu,Both,A,-28.12218618080435,A,C,C,-52.5246701784573,-120.1888949032984,77.57397591996151,D,120.65457822021732,C,C,24.168166180679695,A,20.113075578769195,-27.86083434946053,1
Hispanic,Other,Mental,D,47.31262973523876,E,E,A,-159.22729539200134,63.76314361475317,147.43016985096713,E,106.27959407575295,E,D,5.702958132216469,C,104.99733066219447,-33.194271952834995,0
Black,Jewish,None,B,14.75218774921756,B,B,D,43.90888354547059,19.836982732730466,60.65607051092605,A,-94.68089758214654,D,E,-12.180611097546358,C,-31.830413389049077,-90.94519995486456,1
Hispanic,Hindu,Both,A,207.17640925928714,B,E,B,-31.581647703357106,174.38677243949087,64.88287866436886,A,41.20286830461649,E,B,-202.14956562496508,D,53.89546204759627,-152.75038367248862,0
Black,Hindu,None,E,-144.76309873799212,A,E,B,52.46343896616258,-127.23032196588674,-10.287575926899235,E,151.09303046420322,E,A,-179.87755542184175,C,-15.139545726024615,-115.30011811213426,1
Hispanic,Muslim,None,C,147.82857564327162,C,D,A,131.38558086139295,185.92598171610024,97.37503942140985,A,29.519507533459144,E,D,-112.09221172483763,C,24.947370947235,69.06034801413782,0
African American,Christian,Mental,A,-53.388269743861784,C,C,C,-168.53139416834227,44.597773508168025,213.06991481686075,C,96.43169765161889,B,C,-39.635044329741135,C,-48.95027753040599,36.744818909669966,0
Hispanic,Hindu,Mental,E,-18.379713486772662,D,E,A,-61.488463993320444,83.05097606496615,-47.64452429505941,B,51.206370731846526,B,C,-49.26800186750111,C,-19.17767083410597,-6.226172103332627,0
White,Buddhist,None,A,-91.3268302281652,B,A,B,71.1341564387498,2.028137763781275,12.850394213680422,A,56.325585353028416,C,B,-38.67599180160124,D,4.757927796957303,-38.26599054412292,0
Other,Jewish,Mental,E,13.176909151710323,D,D,E,-8.664032911825338,-219.90141383343996,37.413695711284475,E,4.307778873447679,E,C,124.58915067616611,C,86.7877331271141,99.82612375622342,1
Asian,Jewish,None,B,23.991859161646996,E,D,E,-38.81644393740938,-243.90095380334412,135.28305382525897,B,-7.801137933000637,B,D,102.30544492558309,B,88.70519265115871,71.97440599443881,0
Asian,Buddhist,Mental,B,95.49694600309294,B,C,A,-8.646196197998671,46.45396920559679,185.7925267383892,C,-8.856812041823769,A,E,76.97788135757683,C,37.90702704035252,101.24109985341379,1
African American,Christian,Physical,A,74.88079844305435,B,D,D,98.83290967911384,-29.04626369695016,134.69222205801702,A,22.68291934736571,E,D,-69.29773035025207,C,-55.515614920831915,35.39080543035721,1
White,Muslim,Yes,A,45.18307127414493,D,A,E,-28.210815844449442,110.63330986421992,76.88886219507084,E,-187.5523666447029,D,E,21.11022599365718,D,106.4280789850812,-33.17812475851419,1
