SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Non-binary,E,-110.57782337044495,-130.82291582751571,-35.45635996736702,C,D,178.19226897819095,D,B,-311.67825776789863,1
Male,E,14.840443499793873,-29.780009004380837,86.82131058322274,C,C,-3.1506409702071516,C,D,-47.2146379410946,1
Non-binary,C,-5.298334737317386,-153.60602615022222,-103.18704935872225,D,A,0.677573375461302,C,E,-90.45825003369293,0
Male,E,-10.812817106293105,-66.81271855828248,-141.7520219042365,C,D,6.3824368834819065,A,B,28.65436782340489,0
Female,E,-40.17960812774529,-82.57765894651347,53.89504759432139,E,C,133.89237136239808,E,C,30.01365706011599,0
F,C,-93.00530604386495,76.67434122943305,88.57364078658038,D,D,28.433333831744168,B,E,-12.377287402008061,0
Other,A,-26.942039537345174,-95.9767633051804,40.877051503338926,E,A,115.60127081265334,A,C,144.66901133333187,1
Non-binary,C,-9.297222990414406,40.16359744816263,85.92211042133533,B,E,-113.21128324188501,C,C,122.3042897590912,1
Non-binary,D,-65.75890283557008,169.4773181574336,-92.46729878816086,E,D,21.54255379898035,A,D,33.86515578924777,0
Male,D,29.849616894996128,-63.88837204654736,-5.31027699888274,E,E,19.717406670569765,A,D,173.07474770715757,0
Male,E,98.88339539964363,-162.5456704939395,87.2555455305846,B,E,4.526205653578721,B,D,-50.49521157290271,1
Male,E,166.3138227538512,-26.60932249997041,135.97466805132288,E,C,-128.17774883065886,D,D,-99.66847965646697,0
Other,A,-34.046860751861566,31.654000276157607,136.66750752949503,D,C,-106.30909969161893,C,D,25.182453636479757,1
Female,C,83.38682683830731,-140.38395304959352,-46.07659609849751,A,D,-177.0938995541633,C,B,-95.51648548356488,0
Male,C,-136.3344624081664,48.89484297909758,162.5574833367884,A,C,-72.3051570451969,C,C,23.504196436756175,1
Female,B,132.3023009839307,10.916752829129244,84.27119416066333,B,C,145.06065921587944,E,C,-5.035747799695989,0
Other,C,52.192355866370185,-121.27132030244587,45.268515491027316,D,D,-133.01319814011077,C,A,-100.07163713941229,0
F,C,237.49280812065092,11.922619833732549,-90.0640303380749,B,C,49.804361456308705,E,A,-173.72627599503554,0
M,B,-51.81571001388235,80.41615224653188,-174.36487702302963,A,A,29.31205057160362,E,D,44.97677332161642,1
Female,B,-206.14129935876605,32.312083818945304,68.18149848562675,D,A,-158.48890946740897,A,A,108.34096843828544,1
M,E,78.96013590549919,18.03903568133097,76.38448890671117,A,D,-107.58354797398857,A,E,34.379823009542356,0
Female,C,35.40305467120406,53.20306899822367,-71.43507325512209,A,A,53.15940116042421,C,B,7.169634677174732,1
Non-binary,E,-34.821368496660696,15.60553339851087,-55.680319751048046,B,D,-81.52397487611721,D,C,12.348455971787201,1
Other,D,-27.066899824653913,19.598021082581912,-110.23062083656099,A,B,40.49616926191478,E,C,-15.325677690036233,1
Non-binary,C,-11.380659803478563,247.486964400174,63.48275927969645,A,C,-84.43511909735435,D,D,78.77135269725868,0
Female,D,-48.783528251470386,-9.034303916376102,164.01793909224236,D,A,20.59800154252853,B,B,-66.19257075317992,1
Female,D,-185.55170991034066,46.36029116528214,56.670247203618864,A,B,106.40475871930207,B,C,-48.638529846422614,1
Non-binary,E,-9.874270105016281,95.63623886127476,-10.142076842551932,B,D,100.5391827548419,A,E,-172.1511594618888,0
F,B,51.67474275760123,-29.28734667598144,-44.903937146871925,B,B,79.84278549989912,D,E,116.14137016987061,1
M,B,50.57647309797847,49.443031724907826,-82.0571684907343,D,C,66.7454070360018,C,C,147.43629491421362,0
Other,B,53.27836423405795,-52.542129399576645,16.903661640582268,B,C,-266.82567287882665,D,A,-38.00076433415579,0
Male,D,130.06763808692236,176.0110531328227,-88.32051120292547,B,B,-7.038514542515335,B,B,57.770504321668646,1
Female,B,-70.38665706816477,-35.956767342796745,-48.59544740973619,C,A,67.90953403680183,B,A,-105.33198847501386,1
Non-binary,C,233.615123420332,23.900717538855666,31.090810206486548,B,D,-45.538608601081194,D,B,16.712948779395536,1
Non-binary,A,81.5000303802245,-74.89157888572551,3.7049252948655154,D,E,-86.6927371905776,B,E,-86.96429726542667,0
Female,E,49.22520531063366,-128.025362720774,184.9656064893317,C,D,-12.510414290128391,C,E,-102.76216590201301,0
M,B,-104.87756961333925,-101.78048951965472,66.57434230091765,E,E,-189.33443910234297,E,B,-39.115274781661775,1
F,E,-24.20402117836491,-34.45007003657111,83.32641561012879,A,A,-115.78201410688793,C,D,-252.32995591652755,1
Male,E,158.101815071838,-57.981945601911654,91.35343527835978,E,C,-157.98506168711955,E,D,-76.47335118208935,0
M,D,-0.7755109480968415,-1.384885265092243,-99.46033145942145,E,A,-33.04933659988931,C,B,51.52624189244585,1
Female,E,-6.665946801982679,74.07263699558735,128.12182238372372,D,E,112.07111851719773,B,E,-17.07969323119987,1
Female,D,97.80485784554652,-8.218614370403301,30.506382959590827,C,E,139.66953165973933,D,C,-24.67721275942661,0
Other,C,182.42296620381694,39.809012373552186,-37.413863539135455,A,D,-178.7946989219354,E,D,-17.857241062806146,0
Male,A,-33.966304322818296,11.979135391870837,61.88019629139556,D,D,-59.9267502818656,D,A,94.96030794628557,0
Male,E,-49.73545681533862,69.2737934951833,-18.505789198228385,E,A,-102.68570998604454,E,E,-15.242954592392305,0
Male,A,-58.17181263205311,31.13680669365563,122.46296129319538,E,D,100.40122220796661,D,E,-45.65885325709797,0
Other,A,211.78191081450208,-114.31483989490636,34.746833504349105,E,A,-10.225577732821996,C,E,-139.05128760532176,0
M,B,-51.84333972878263,-37.219652279734476,-19.859974320926693,E,A,-48.29631286314463,A,E,67.95864010236602,1
Male,C,45.273904167622504,58.29445879863566,-81.71474796211919,B,A,171.70429043068108,C,E,87.95858349842032,0
Other,A,86.2148762958828,-12.00237566073162,-68.8125777469313,C,A,-144.59081878008544,D,C,70.68523527943721,1
Other,C,-3.916950723768696,112.3584822831518,54.58587001643208,D,E,222.00813207294163,A,D,72.3532095667666,1
Female,E,-79.36452116444461,-24.708735131147115,165.10918247399522,D,E,-43.762935081773556,C,A,70.16953918889486,1
Female,D,-100.25654503135144,-34.528523647918234,-1.48888028170361,A,D,-1.6363999124576207,C,B,8.07928978728673,0
Female,B,-77.63394999964275,-165.20713920804414,124.44668869563557,C,B,188.451003845184,E,A,-11.050737444485351,1
Other,E,32.42863990336931,-51.19989028683752,138.0447058938859,D,A,-147.27454003766775,A,D,-213.24508909153798,0
F,A,2.6237521352368542,-138.33814329611508,-15.665145644220093,C,D,65.76864896504826,B,E,-85.64175676286864,1
M,C,-245.06095429238343,-58.88674488296025,-124.0038324129614,C,A,-73.60857725107509,A,B,28.742160329886335,0
F,E,57.86733197692248,0.47861464528147085,-215.1871645384184,D,B,2.6687097174740377,A,D,16.766354609077787,0
Other,D,34.18856715015894,-24.94709451990792,-228.6942899927255,C,A,20.127879638944705,B,C,-31.16071473674218,0
Other,D,-170.1802549677529,5.056865091793003,-96.23390644845546,E,E,-25.427171202161908,C,B,-10.57049269950278,0
F,D,139.51163896524125,-114.14035259924262,-0.11561095166926323,A,C,-98.11888380635497,E,A,-17.507224898280487,1
Non-binary,B,-130.4662734228436,22.027133468050522,92.77818422134231,A,B,58.19740643659168,C,A,91.20365517626206,1
M,D,83.79793222183275,-241.39538440706616,92.80786952432311,E,B,151.28285728207373,C,D,-35.58086260965456,0
Male,C,-44.70481351375005,17.892972951016752,-42.207651215636254,C,E,-51.71632167920871,B,B,120.24986157468413,0
M,A,-4.640768954719612,1.9038618896031367,7.239475319211144,D,A,80.85282447389007,B,A,-87.7716812808518,1
Male,B,140.7095724868746,-8.29072505042415,-63.939544345152285,E,D,34.20169077652142,C,E,-24.333866208071566,1
F,B,-31.375816294680288,-94.16525964673946,20.87442087579506,D,B,46.786076263117025,C,B,68.69441254080266,1
F,C,-21.247511226030845,-57.943578183834,65.29899825861052,E,B,-3.2167114756749813,A,B,-73.19219968729568,1
Female,B,-126.90141718602189,40.092073184309065,113.23669356986812,A,E,-157.10797817753237,E,E,212.38168672025085,1
Other,E,-42.42886048123896,-1.4904666585659156,43.51481071938616,E,C,98.53908978169672,E,D,-151.1346257815553,1
F,B,95.25450214781651,-47.1540435417486,45.34431773967115,B,E,-38.2069324807632,A,C,-50.420695844284836,1
Male,B,-75.43193910981925,-171.24534711375102,-155.56449411610666,E,B,25.55222647100549,A,D,22.63349691206734,1
Non-binary,D,16.126395537370364,-5.9250443587526584,-71.46517730900976,D,B,-88.38414633973306,A,D,52.51168711793311,1
F,B,-138.38353552401992,67.32267464332962,-22.201755329833837,C,E,166.92723881298275,D,A,55.377126086441166,0
Non-binary,B,-44.031988302345944,-78.4272287362099,37.8518485447683,E,A,-18.358593244125107,E,B,-190.24764321322724,0
Other,C,-73.69410621699221,-35.50361449161327,49.784251202515605,C,C,-155.84487400532566,A,C,91.57766177655262,1
Male,C,-58.546251412314476,236.98203123252344,-8.559838059988376,B,C,52.91509174615988,C,E,-79.41909531579408,1
Other,D,110.90160538234196,119.62610764821706,-74.67973463553803,A,E,-132.9204486365032,C,C,246.83446995130544,1
M,B,-258.680297023105,-9.85110394294933,2.713388854099619,C,A,-0.14543723107541776,C,D,-199.81635324538928,0
Male,C,71.71284673380944,114.74567390764065,-58.33985689441571,A,B,-12.918356693995857,A,E,-36.22736667512694,0
F,C,24.301980173683972,72.75355392459662,241.46692010126506,B,B,-29.94802804209461,E,E,173.19290526363332,0
F,B,4.498758379804583,106.72685104700552,-20.475826354631348,C,A,-2.132972725188101,E,B,28.44574285409676,1
Non-binary,D,-91.333073244172,21.5261035717176,-100.15034510868924,D,D,-80.01030806258663,E,A,-158.3226088505082,0
F,E,-27.06731771179818,-76.71619239719814,-134.18189613165364,C,A,-153.34423556293711,C,D,-16.102537083418138,1
F,D,49.73010216624544,-66.03594245649042,-63.889780158475084,C,D,-42.49667656963451,A,B,159.6980333123915,1
M,D,172.42029523144723,-191.31168246341116,-70.99197870947901,C,E,-77.98910483354636,C,D,43.1918232412287,0
F,A,-138.40248067915266,9.946633340954593,-72.82869316880712,E,C,98.81267284467063,B,A,168.52625845090913,0
Other,C,-5.874569707937956,79.41776378694207,108.26582410519859,A,C,-83.56150328514516,E,B,95.9381919647418,0
Male,D,113.28060921496348,-55.47226487743665,53.91741314378188,B,C,16.2687260156026,C,B,9.261039749253367,0
Female,C,-21.65598411390354,-203.97077829719956,81.842950675423,A,C,-46.2358209985494,B,D,82.96406535967498,0
Other,A,-126.43058885769129,73.49698785490172,73.19659973831011,D,B,200.50336024102816,B,A,123.18722989364308,1
F,C,60.7410316418856,13.666171252895884,-115.23124239517226,C,B,89.46542302310954,E,B,36.96686716334385,1
Non-binary,C,-4.795666333388717,-36.982330619316514,6.016180753853079,E,B,-137.08908502888022,A,D,87.29247651929852,1
Non-binary,C,91.27007327992243,-64.3521315156605,64.13068192837908,E,A,43.82072116532825,D,C,-28.367152832882596,1
Other,D,51.391911692005685,16.764417897030096,-101.10701319618698,C,A,-120.17980268593102,E,D,134.63385612499889,1
Female,A,-62.472944637458106,111.74165896489355,19.29977838127939,C,E,64.88293255623671,B,B,-8.189523620067577,0
Female,D,80.55813783149604,-31.027111614298096,-123.63618403820232,A,B,-44.728098802102195,E,D,-113.10720351237022,1
Female,A,81.65124469349867,-78.60777041086784,43.138398229329134,D,C,167.69426337042094,D,E,97.7151577017465,1
Male,E,39.02826596474524,145.41770413094187,129.97060770858548,C,B,-77.91616371982924,C,E,-76.55374910705284,1
Male,D,-24.070196599218004,-148.16735585937846,102.62211557779366,E,D,-86.07115556884094,E,E,-34.431436187587494,0
Other,A,209.80845251378128,136.0488291574097,-99.83996857602891,A,E,113.42017349769766,C,D,-132.27293313874364,1
M,A,-126.39946549666033,-15.669515600981127,-23.391247593073377,E,A,75.14359633964459,A,D,57.66381564655715,1
Female,D,-61.317703963508954,111.33572423811925,-34.64341569080693,E,B,13.582225848916865,D,D,-116.60861479886057,1
Female,A,51.356149546920136,-171.77512217369178,-102.20095400306943,C,C,-36.60126774246314,D,A,-185.76050436330908,1
Male,B,70.363005154145,144.20051424100174,59.201055599239794,C,C,7.748974750655077,B,B,253.52444766781375,0
Male,C,59.54822085164844,40.08995195699978,-61.4384638245565,A,D,-145.0519513345299,D,A,-77.63987850282172,1
Non-binary,D,-100.33628076826682,-79.0780293156607,75.65349223443042,C,D,188.36953817528976,D,C,-204.46631582665128,0
Non-binary,D,14.38480677356066,4.941024494084054,-69.29624470833178,E,E,82.28764737081573,E,C,-2.2392808614743234,0
Other,B,-18.723006793543888,-22.305377661895957,-91.1185852210252,E,C,216.7356940346035,D,A,103.35495365943335,0
Other,D,-34.21383401232154,67.84234844177759,163.43124552220308,D,B,215.17303527762851,D,D,-78.69805159335414,0
Other,D,-9.52217562646835,110.01097458524491,-7.635194972874336,A,A,18.37724017160546,B,B,-34.801595327415264,0
M,B,-140.20768906696082,-91.87607032765467,74.7418032463023,B,E,-99.35105988961219,C,A,-90.80689065346608,0
Male,C,61.128184526902466,-87.0158308724956,30.791115480789056,C,D,9.112540581648693,C,C,57.35363621037827,0
M,B,-34.95185251708312,153.5532892198443,14.851435258978384,C,D,18.88339677192459,D,C,2.5798006311989368,1
Female,A,-56.811717672671804,-74.34849989903742,114.54271543920653,B,A,54.713013008435276,E,C,-84.65755935386767,1
F,C,67.50865510551982,86.40533206829583,131.2040152464798,E,D,-0.027763229559233077,A,B,19.900347096789197,0
Female,E,-62.773631638189784,24.49526634332435,-24.475159657756542,A,C,-43.398957470043975,E,A,-28.15377379265806,0
Female,D,60.94358450505645,10.316781094320723,-115.3576289851443,D,D,151.7406937955982,B,D,-37.12955345632914,1
F,C,4.343551300524229,-23.58597774111956,-52.78530339930935,E,E,121.10791764348232,D,E,-236.10269602193276,0
Male,A,25.441377914381707,-104.851697569853,-150.63372995776234,E,E,-70.27103494354327,B,A,-115.74747695535481,0
Non-binary,B,89.23974010573274,-53.5887085848029,-59.094002538672655,C,D,-4.935707064909853,B,E,-11.146039371958253,0
F,B,-109.50969025119126,-50.52492769211614,-66.71751685175497,E,D,-91.44924010138114,B,C,-0.8490793431448764,1
F,A,-89.74846325139711,-50.41298171581108,123.14292234172439,C,C,-30.49620452463666,A,A,-55.86294908133282,1
Female,B,29.793625947057773,99.69128726762088,116.25771937808962,C,E,44.19341549824251,B,D,-106.6977975545383,1
Male,A,-82.772894137657,-35.624275958759135,-60.73226975233693,E,B,-199.05814149002697,C,A,69.11481000513608,0
F,C,65.52254720133833,94.85699648390953,-35.08537661253493,C,C,107.53434769018952,B,C,66.42065136781184,1
Non-binary,D,-70.2753255513869,171.0891463335551,-172.75780366231803,B,D,-9.989230130410942,A,E,1.9406666087911564,1
Other,D,145.3702806652912,27.368429215689893,107.10268443989459,E,B,-55.515514307865374,B,D,93.96322062059795,0
Male,D,-10.138288324618035,6.946096392525787,-77.09639647116113,E,C,-0.9666392240104432,C,C,71.64025257960556,0
Male,A,-52.399851562031344,-83.64472492553533,80.72001682014867,D,B,-172.21991577431612,D,D,-148.52463200319852,1
Other,C,-20.840569945326447,-102.95354314501108,119.32583500657145,C,E,68.33338282001435,C,C,1.2380068146071144,1
Female,E,-49.82509532099364,50.77147810369242,241.8701592140073,E,D,7.212664733858374,E,C,-60.65587000574979,1
Non-binary,C,104.10942685137358,86.18093693829732,-8.47107378501191,D,E,58.228160017334275,E,A,112.56324324986811,1
Other,D,36.05787799316717,149.76477071787562,-88.3197430133633,D,B,126.49913259057006,E,E,210.98137417553184,0
Other,C,-28.489236230713416,21.464436591782736,-44.14752061803184,A,D,220.33136263919445,D,B,129.29879272335765,0
M,A,-92.91262178628456,-27.40955702841949,41.26685630252354,E,C,-5.676714921382811,D,B,-58.97268504728348,1
Non-binary,D,43.21780333359012,-120.6365113461051,22.856803757585926,D,E,-195.3337187209447,A,C,199.6615301824592,1
Female,D,206.90286626620207,-16.699892576133323,-79.51672196478717,E,C,106.09927650264169,C,D,68.1025922617534,0
Non-binary,E,40.830141703749995,-18.67702491171515,45.74125036388006,D,C,-41.2406708547222,E,D,65.08320540470109,1
Male,E,27.56256827232913,-39.89835409675344,11.403858264080418,C,D,27.43769088554672,C,E,-27.07166398811573,1
Non-binary,C,189.31690666681783,127.6789385223828,-142.19559577180837,B,D,-152.40968765977667,A,C,-115.68749988187312,0
Female,A,43.262767488875284,-27.09863087876671,-18.13511049317662,C,A,-50.11972024021003,B,D,86.23686361986465,0
Non-binary,D,-98.54039658999288,-122.15295030580147,-201.24899729962755,D,E,102.15397730843401,C,E,-127.34880404446017,1
Male,D,-9.656710988378398,3.623315005849348,-37.09861283446646,C,A,-36.593376674668576,E,C,209.84672039752442,0
Non-binary,E,123.74999310554067,301.5313890632144,70.99172965314719,D,E,35.16045116334936,D,A,-140.57141518411154,1
M,B,-31.922154407397308,-123.10067812237688,47.4345836760281,B,C,-14.261855592696133,A,D,-48.73006218144357,0
Male,C,-0.9261623747937607,235.07637873438486,45.42673496009721,A,A,-190.00966831754448,B,E,-26.87384838676473,0
Female,D,-79.52620480459348,-8.88189359345602,81.11099572739329,A,A,-58.565642071072276,D,B,57.23422706996533,0
Non-binary,A,-66.7537040204381,143.14184238967184,-66.62505999500524,C,E,-67.64169066851262,B,B,69.95174633817855,1
M,D,39.32128626920991,-62.50531721290589,-121.79649008463203,B,C,50.200443894612675,D,E,-16.5811714964521,1
F,A,-34.07152538322682,-167.2557274960703,-141.40409445995215,B,A,-58.466485577827555,A,A,-52.645921957610355,0
Other,D,-171.06760304587232,-63.16937484837587,-223.4274154767197,D,C,102.78645151250679,A,E,-64.1501486801425,0
F,E,100.15170089913869,8.495293160841513,-79.3759818128261,A,E,-37.095074981777486,C,C,130.12207748592175,0
Male,E,-90.90594188154577,-109.17261795175557,86.32355054146763,D,E,6.232602195595543,D,E,-63.12052114302451,1
Non-binary,E,127.50583806992641,-95.62596198261065,-203.3245560231571,C,C,-20.997832620202324,A,A,1.5050054651510836,0
Other,D,114.38646553139613,-100.91182105010597,-43.92735551243945,A,A,-111.53350482484699,D,D,-221.92276190242254,1
Male,C,28.820711936344985,-6.926782188314992,-180.31526528562802,C,C,60.85123219048826,A,D,76.42428296558823,1
Female,C,234.58271647696645,21.424075655402618,109.12301620337254,D,B,-0.44554064281647676,A,E,18.489571434711237,1
Female,A,-7.990901067671322,-38.18417153789538,78.54619279056627,E,C,0.2961655822987419,B,E,81.3552502908506,1
