sex,Age,nationality,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
F,29,Brazil,Homosexual,116.34293015355652,96.73089120633385,C,117.57130665164239,-198.6928814779454,123.00835467021827,-157.07912583434816,D,-48.592454368719,C,C,B,E,C,1
F,36,UK,Other,-213.11950781032917,-18.352443698641547,D,55.631039743625855,43.346521405361536,-179.3722666665003,66.32316771533304,A,82.228137332568,C,D,A,B,E,0
F,77,UK,Heterosexual,-74.17076291848844,-109.62573925888182,A,14.104312398244693,106.67953914559307,-84.27259259222174,107.92128297197294,A,-64.95089087717108,C,E,B,C,C,0
M,18,US,Heterosexual,-13.56226189791494,-56.608478524453,C,153.10804482248898,-4.724536806593475,13.59523663170214,-139.47706139784546,A,-19.930210362954032,B,C,A,D,B,1
Other,25,Germany,Heterosexual,180.51855803163943,-66.11232673377845,C,-256.4656430072812,-31.73995243785745,-31.1726456170356,-68.5392802308286,C,86.53729990036645,B,C,E,B,A,0
Female,54,Brazil,Heterosexual,31.477275069927323,-62.01575457748759,D,66.34372304687031,-126.97850481326071,-17.847360660098502,-33.7498859205678,E,-137.25933558012676,C,A,D,E,B,1
M,28,Brazil,Heterosexual,-62.54198535860836,81.3160179027683,A,0.6270895718726638,-74.74978859446479,-167.94800407020017,-20.942547248749488,E,11.29666299970606,A,E,B,E,A,1
M,40,UK,Other,122.05878942457818,-20.803971652680154,A,-124.64459932934247,39.39942034512581,-35.35506057901077,-18.12391857864109,B,-110.40838636544714,E,D,B,B,C,0
F,70,Brazil,Other,-128.31816781069642,-14.41593376957822,C,12.86082877730999,101.37739528469032,-43.16833646548588,-158.28805852018203,C,-169.73543312680405,D,D,C,D,C,0
Male,62,Brazil,Bisexual,57.87891446232663,44.3484123695276,B,46.490128525177965,-44.50660836980576,-24.789650540582507,-69.83919391323036,E,123.3409858839742,A,D,E,A,C,0
F,71,Other,Bisexual,2.8102048237204613,-219.27328562124256,A,114.53150746037237,-80.36784348129493,-15.605014859865877,-20.532527245674824,A,-108.71595418996816,C,C,B,E,B,1
Other,45,India,Bisexual,53.31629128969214,102.20768696444887,B,-77.50223985502252,-53.08658684314567,255.1893132400722,20.209872649546412,E,-42.42143169821759,A,C,B,C,A,1
Other,31,Brazil,Heterosexual,58.7417613756884,-228.12422899025924,C,-126.05424087247314,-76.76131039547363,-34.180510096505486,-21.758696174434977,C,6.806613400903395,A,B,C,A,E,1
Female,51,Other,Other,-23.709136905002907,-24.043347312884293,A,167.74793749804383,-68.33636467832561,-37.29144649232688,93.37653838401243,B,47.8881071941436,D,D,A,C,E,0
Non-binary,62,Other,Other,36.77501189114508,-68.6669131193057,A,-22.78782102202494,83.46453521583288,-47.64894959187858,50.30243412093191,C,116.50283657261681,C,C,A,B,E,0
Male,54,Mexico,Other,-251.06143721533033,-39.21302482193887,B,53.68304595325828,-123.699023112085,-26.46801809422201,75.92078684236425,A,9.99173102340377,A,C,D,B,D,1
Non-binary,74,UK,Bisexual,-146.88213856903675,-132.47341735124667,E,66.80568459788392,-121.02852485547419,45.92063821944175,-78.16429674979459,E,-144.8864592636225,E,A,B,C,C,1
F,26,Germany,Homosexual,42.92975701946402,72.39326643981846,C,-58.323582149313026,-124.68814508306876,-187.03886931532193,-91.98256278514937,A,124.1760921111998,C,E,D,A,A,1
Female,47,UK,Homosexual,117.02321576000263,-83.31376549913179,D,324.01554557827603,120.0773555986544,208.1103114509911,-21.584342273943662,E,85.58746673886624,E,B,D,C,C,1
M,78,UK,Heterosexual,-155.9022628975433,-47.05582670194768,A,104.91261755088442,-78.14379683994325,43.0621546661227,-71.45738141228975,B,-177.29069134684005,A,C,B,E,D,0
F,69,UK,Bisexual,-23.44060853246586,-89.28007466142643,B,33.55250994904248,-133.2598783733115,-233.22288210572734,-13.553065104563998,D,-26.0659888908775,B,C,A,E,D,1
M,23,Mexico,Bisexual,-88.5434626354857,75.01576208749114,A,-8.491876391301533,98.31917822320881,-3.9141846654150854,105.17556326287838,C,0.8597992609147984,C,C,A,C,A,1
F,44,China,Heterosexual,-95.49373136369775,5.401436614958987,E,111.27792011845183,32.27893121181629,113.23535520699517,22.837391760122706,E,-33.67246554906246,D,E,D,D,D,0
Other,29,Other,Homosexual,77.17032139081222,81.59894319036619,C,70.20490218086341,-82.32499989772298,105.85888653803634,-111.27072568999787,C,-12.479334750634774,C,D,C,C,D,1
Other,75,India,Bisexual,-79.82106239096318,-60.198767676519324,A,100.14512911164486,-73.58680154424346,116.86389226882001,202.16515092250938,A,-74.34310205400435,C,A,A,C,E,1
Male,45,China,Other,69.66829784779746,162.08944950007617,B,-284.83537423091667,96.6481187712601,5.911219692198171,27.745556785053914,C,141.67045697224506,C,A,C,B,D,0
Female,38,Germany,Homosexual,5.010319920638525,-36.47061908316554,D,49.762403835522875,30.232966949111113,-126.39891459807721,-47.35096755368225,C,-62.28532322411353,E,D,D,C,C,1
Other,62,Brazil,Bisexual,-151.07117068224298,-70.50320640664265,C,-124.34739154830459,-92.19662224924288,-52.1137171487718,-151.56566657860168,C,-3.259171211363533,C,A,D,B,B,1
F,44,China,Heterosexual,10.1836332094582,-80.15650315301713,D,95.67582994963031,-148.9254793475056,65.30125664861008,109.9818290270762,A,-76.84055305064996,E,C,C,B,E,0
Other,48,China,Other,-25.425454893468075,-197.15036315946267,D,97.36208908856135,22.820834435184025,115.4807994133075,-133.2500148612636,A,-190.89675893241264,B,D,A,A,C,0
Other,50,India,Bisexual,-100.74382261745139,-62.55496414223727,B,27.44866319034096,-149.9569663926483,189.76254708531332,28.560977755724238,A,-83.96088291494374,E,E,B,B,C,1
Male,72,Germany,Heterosexual,96.03068436477925,31.23469938281319,E,-47.93723523073699,-111.87611128297168,-11.543641626324856,39.86308647624332,B,134.7369397088172,E,B,A,C,C,1
F,19,India,Other,-94.04635890754447,-179.32574101070662,C,-18.02378978397265,-2.5468996578440315,-63.53323612560502,-6.224966230788642,E,-139.6468186700271,B,D,C,B,C,1
Male,40,UK,Heterosexual,-9.854975969936811,-66.66444244333782,B,-37.035510386024725,-41.67081756690447,-18.241073996044253,96.05136158258362,B,207.82870960703966,B,C,A,B,C,0
Female,20,Brazil,Other,32.656353238800875,-7.712019647614021,D,149.83955148023455,61.832518077501874,139.6712204685957,34.47032595413554,B,-57.199213614152825,A,E,D,B,A,0
Other,39,India,Heterosexual,73.70161297475696,-138.58961428074892,E,-5.189830303829858,-37.36688837620737,80.47298151179693,194.01411910525093,C,64.47835205086037,A,D,D,A,B,0
Non-binary,40,Other,Heterosexual,-125.1637960306935,6.108010534697546,B,-19.17186873363731,-102.93186486712654,97.93479175744295,-43.628680828463764,D,143.57074875384956,A,B,E,C,C,1
Other,49,Mexico,Homosexual,-142.67511912600222,57.69877476322438,A,68.30468720244575,-7.77689491024089,29.655660668894807,172.8335402042259,A,-42.573802925224804,E,D,A,D,D,0
Female,58,UK,Bisexual,-35.18154277837137,-89.25382012666454,A,-0.33029178517168906,-20.064216683961956,81.12757307820362,66.11503544553973,C,120.32406770669073,A,D,A,D,B,1
Non-binary,54,Germany,Heterosexual,4.297031072364107,31.36595413120662,E,-111.79994968081752,-162.63978550828023,1.4677128339813517,126.33835307775544,E,46.62818620920487,B,D,A,C,E,1
Non-binary,53,India,Bisexual,173.69887513090129,42.909061609315486,D,41.3178682348118,19.86084737477197,126.03036883313538,43.764682212058766,A,-40.43862948426024,A,D,E,A,E,1
F,77,UK,Homosexual,-172.5185095642009,104.76112585200528,B,-94.02671960214701,-101.01647126000121,97.98599273291741,43.21055288731348,B,44.97860098537034,C,D,B,A,A,0
M,74,Other,Other,104.84795441788177,33.80853141842095,B,55.19094431243102,-48.85573653930489,73.96075879775141,-103.83212774124289,C,-126.96267679652797,E,B,E,C,E,1
M,49,US,Homosexual,-177.956276431537,-322.7462228358467,A,50.276199552614656,20.104171579104786,-94.47246551029689,-29.044035630998177,C,-7.92486322494121,E,C,A,A,B,0
M,26,Other,Bisexual,121.99593452188617,-50.55020024517497,B,42.604103158082154,-203.88268624698563,-56.09093517541639,-14.451464793099536,D,-55.43160053353859,C,D,A,D,A,0
Non-binary,18,US,Bisexual,-18.686875215917755,-76.72645920024182,B,67.23674985039546,-245.81776894939068,-73.71046746301987,177.06583109277975,E,-153.84245068738167,C,B,A,A,B,1
F,18,India,Heterosexual,38.24343680151892,97.4791816782933,D,-130.1111734654935,-23.248457449038487,-138.4969978848477,-97.93708162992692,D,-78.60236092925955,D,D,E,C,B,1
M,70,Other,Heterosexual,138.69748709637446,-71.61404169866306,D,39.132256321023476,216.58255159436388,-105.49507104330414,38.439657151252504,B,84.50058956913819,E,A,A,A,C,0
M,71,Germany,Other,-69.10983388284762,-25.944955655963458,B,-149.28924008178285,-119.10084968260493,107.82673407081359,-69.16404753004505,A,141.48639786644546,B,E,D,C,C,1
F,75,Brazil,Homosexual,-20.355265352355737,-26.947882704326865,B,-80.37126696708381,-40.655937131412465,81.07637386560597,-38.50508554866421,D,-180.81115921149663,D,C,C,C,D,1
Male,21,Germany,Bisexual,-16.704908704639607,61.01913527998954,C,-38.53746139379203,29.519222802301385,-108.12658623986624,-29.380509602040227,C,59.31312459227619,E,E,E,A,C,0
Male,41,UK,Heterosexual,-87.70589958492062,-162.6852566617728,E,-8.497836837072374,-41.638762645917524,-180.187249430534,213.38464241707666,B,84.52760949178378,E,B,D,B,D,0
M,46,China,Bisexual,-44.06367668503156,121.63135565420677,B,-43.19316262879616,-24.407661946494603,-188.67149299761593,19.83067054692808,B,-19.421057691027833,B,B,C,B,D,1
F,56,Brazil,Bisexual,86.52866844778967,-52.27985387949884,D,53.514486342173754,142.28807902970948,-73.76813048736564,-43.87823846225003,A,-82.74703279302993,A,C,E,C,A,1
Non-binary,25,Brazil,Homosexual,206.684435658111,53.296327517013665,D,183.57140781345743,-28.04642304717216,35.53131754635305,-187.08759544730452,E,-19.641212028934007,A,E,D,C,A,0
Female,79,UK,Bisexual,-65.49573152434292,238.90304885372663,D,104.82743391927517,-64.20500300417521,-6.452863953822225,29.947232301215593,B,-40.77842266607586,A,E,B,D,B,1
Female,72,Mexico,Bisexual,-172.52179982165816,32.87076897291284,E,-57.74352236091208,48.499182310247264,119.40641624077908,-19.597809695310115,E,161.64691372823654,D,D,D,E,E,1
F,28,Other,Heterosexual,52.181024029358845,-128.59420806582787,B,62.96168509300399,-48.21443193695814,82.75724619124762,-155.52903081756165,B,31.721024990087198,A,C,C,E,E,1
M,56,US,Homosexual,86.20037285365387,66.7785325524693,E,-211.77824905892885,64.64572742678246,100.57337860448987,-39.933137688705834,E,-18.42496541958536,C,C,A,C,D,0
Other,65,UK,Bisexual,-93.23878120752714,118.02719342603562,D,-26.973128152820223,83.5596711645852,-54.92335212456937,-129.91829734924377,C,-62.086504505280246,D,E,D,A,A,0
M,35,India,Heterosexual,2.568234222049744,-52.39345571464117,E,21.72656345360426,20.66835350284396,-13.30594464747192,-13.353766677427576,A,-249.4095513633615,C,B,D,A,E,0
Non-binary,66,UK,Bisexual,69.27033955998951,52.74045148568586,D,-156.15418818953555,66.98663251693912,-146.81802404085875,44.81370907495661,A,45.63979738289679,D,C,D,C,E,0
F,27,Other,Homosexual,151.54943109417738,-130.77494832512193,D,-170.76094729949492,79.29182711186435,15.564618419675838,25.622387628541592,C,41.696283224197046,E,A,E,C,E,0
F,38,US,Other,201.8893312889563,13.014982326131856,B,67.01129478418754,-139.23051714665965,-46.728069561642364,-34.05130932185866,D,119.74228475358264,D,E,B,D,A,1
Other,60,Mexico,Heterosexual,38.14961832613527,-88.08138561184744,E,61.639631154614726,-16.104842452018026,196.750354117124,90.11455556774467,A,-85.21520178551336,B,A,C,D,E,0
Other,46,Other,Bisexual,37.728001108229606,84.39090467207116,E,1.6373690184187206,-91.25543531875151,171.1509958028413,7.593122639171098,E,-75.40057467023632,C,A,E,D,D,0
Non-binary,56,UK,Heterosexual,159.9532877828483,-135.54788957690508,E,-31.065030918370134,150.86096440461608,0.09618464555741578,-155.19791159331425,C,-38.264891818510414,C,E,E,A,B,0
Other,67,Other,Bisexual,28.973240878919977,88.65195109788543,A,41.44412494590347,253.1537476177815,-11.862451559778608,78.16612268874307,C,-77.28662840499392,A,B,B,D,B,1
Non-binary,26,UK,Other,142.5391286875095,-109.1641744936838,E,-103.21145573988586,86.96573110686643,166.4503121514596,-52.82822264627596,D,154.0909072654244,D,B,A,A,D,0
Other,38,Germany,Bisexual,140.92882305955564,-44.43770049323465,A,-122.06980766606902,184.17657120894083,-26.71425728983917,150.83923150995182,C,21.07431903852046,D,E,A,D,B,1
Male,47,Brazil,Homosexual,117.55798898257342,176.53282158063809,E,-43.21417835707728,-302.29301404979935,-98.55281984055144,-24.248488361286945,D,-157.21063360916233,B,A,A,B,A,1
Non-binary,41,US,Heterosexual,-191.86053254894372,186.27608212678865,B,130.7522409800022,-24.96052720041162,-19.46504239513106,2.58562434226675,A,84.17904361179342,A,C,B,A,B,0
Female,67,India,Bisexual,36.47985227368202,-0.15726251682561004,A,67.59249699801599,103.94226699095044,-107.23687240098714,-76.59109087853435,E,66.5782161992161,B,E,C,A,B,0
M,35,Germany,Homosexual,17.175620494134655,-95.61385829635789,D,65.06537016519098,63.63623633754108,35.78176387980707,-109.20652571693668,C,21.076705470292,B,C,B,D,C,0
F,74,US,Homosexual,106.99296824600944,146.92716699867384,E,9.46341032226616,-16.645473155734386,55.237258045283134,-77.50280563515601,E,54.88762472730433,D,B,A,A,E,1
M,37,India,Other,-18.557247724564427,-185.4379104245832,C,115.77708161842848,-16.559996589885365,26.157756411465478,-117.50877892525529,E,114.15009969874599,D,B,C,A,D,1
M,48,China,Homosexual,-2.5872981221704996,8.678520453543399,C,119.49661714602723,19.73233676858319,-68.89250255792193,-114.31752849581824,A,-18.224737842975937,B,B,C,E,D,0
Non-binary,35,Brazil,Homosexual,96.60986102535742,-21.470923043793118,B,79.7212120335847,-108.29598132452443,19.60001237454487,-205.5045294065292,C,109.21625962910866,E,D,C,E,E,0
F,44,Brazil,Heterosexual,38.91614368556043,-20.880843492224194,A,106.33106258909571,-81.49060590834578,67.1359706788979,-119.96578770408071,C,105.17556573872848,C,C,A,E,B,1
F,37,Brazil,Other,183.22479939158848,260.7580661849762,C,182.09362494426438,-163.27178175779912,-71.4116098229008,-58.25370798713927,B,77.1069599855879,B,C,D,D,E,1
Non-binary,23,India,Other,-115.43184420191959,41.71858114676657,D,60.20366614797087,-76.38287618921504,-31.871244583133667,71.8970100486183,B,23.813074226475216,D,A,E,A,A,0
Female,58,India,Bisexual,217.8828428603043,-78.37643202768916,E,-61.55745244911868,120.62564054578648,37.03499453326643,-64.42985714286206,C,281.6055648297721,C,C,D,A,E,0
Other,26,Germany,Heterosexual,146.48597336554215,-2.7415559369128255,B,193.77498816923347,-95.85466877208717,99.81042314779027,64.5541400814697,E,117.60958640811283,E,C,A,B,C,0
Male,66,UK,Other,-96.57671589288942,-31.690422967548248,B,-229.06738639814947,-217.7694085883598,37.716934728438176,-170.18128707370138,A,100.62003895647722,A,D,D,C,A,0
Male,50,Germany,Other,-11.118429877311064,-83.40602477823812,E,85.18274981396792,-83.82334976930409,97.20238213677113,-16.44575243868695,D,-31.61466139936992,D,C,B,C,E,1
Other,41,China,Bisexual,-16.02917447004579,168.63095095444137,E,57.719337591976064,-98.51639443543867,-11.7512132295619,68.80025684976037,A,-77.09781907932852,B,E,E,C,D,0
Male,22,India,Bisexual,32.96034520560952,-149.6926516427529,B,-19.373915112075125,8.327175493222366,22.502225669184746,19.71807725481809,A,-43.68450469909394,A,C,A,A,D,1
Male,43,Other,Homosexual,-95.50291906227417,167.1689058436489,A,-91.69662489710475,-74.48578877938955,78.64241385106962,34.46722311185498,A,-49.01647259655702,B,B,A,B,A,1
Other,47,Other,Heterosexual,160.47887426410324,-110.4993706323157,E,-36.79259053717095,34.20293031183033,-1.7271351759803741,127.8827416550798,B,-12.085337316441624,A,B,D,C,B,1
Non-binary,25,Other,Heterosexual,-80.0563422686508,21.047722451169452,C,228.7231852158779,-125.82128312630539,66.49010834337346,99.25650390246328,C,86.14267620369687,B,B,C,E,D,0
F,40,Brazil,Other,72.74060702038939,-114.90668316096051,A,111.96922088878874,-43.62449108190767,142.19197845234132,-22.800884767693695,B,35.55019684774767,B,A,B,A,B,0
Other,73,Other,Bisexual,56.91580012704285,-47.699056219231466,C,-189.4276482118959,-24.422323408699864,92.80238995248693,-36.35177492999471,D,-64.62337318103559,B,B,C,D,C,0
M,24,US,Other,-52.812274280624315,-141.74140231168207,D,36.67751410518103,195.7506835590374,-30.489922665629525,-23.881346026219035,A,-36.216428430914334,E,B,A,B,C,0
Male,35,Germany,Other,0.4355166894565465,-80.66244590703965,E,-147.7508886668722,-42.4308067576478,116.77603936323389,58.92572052480707,D,29.600796832963777,D,A,C,D,C,1
Other,64,Germany,Other,4.6356858299259045,75.55061662285598,C,-54.401585931553676,208.75562746847766,-93.37948467154341,175.8694790261523,A,63.57987639192262,C,B,C,B,C,1
M,68,Brazil,Homosexual,-7.190215011593071,154.1217090660313,A,45.13382051949561,-34.83282676504229,47.89008028854197,-116.478958958119,C,-161.03418017407483,A,A,B,B,B,1
Male,35,China,Bisexual,14.013937676798118,32.23005781199296,D,-277.7514989330832,103.80310980487755,120.97369760864711,185.428074846956,E,-103.29154017566837,D,A,A,D,A,0
Male,36,Brazil,Heterosexual,-30.559995362249637,-90.8909299056666,C,129.31350818917235,66.47350203667071,-75.75154953414717,-73.48576350194631,B,198.789455337276,B,B,E,A,C,1
Non-binary,29,Brazil,Bisexual,-65.25509276650648,123.54463381581928,D,-86.6506811961621,-6.0796089669141535,146.3781806815733,-14.446073132176613,A,-32.63400695349132,B,A,E,C,E,1
M,73,Brazil,Heterosexual,32.734622455286704,77.60970339433983,B,2.0616585148591073,81.12307613969179,34.689268897984746,133.17188494618432,D,110.3375067559018,E,E,A,D,A,1
Non-binary,47,India,Other,-11.580900743104204,71.265596076049,E,77.85493591038217,-196.4370262592397,-164.98858087855092,77.03149984109031,C,-40.00399582715231,B,E,A,E,E,1
Other,30,India,Bisexual,-149.21870926795367,7.307797943981692,E,-15.693358860335623,9.087766198773666,-8.781161424092792,166.57673005125778,D,-111.06487576863631,B,E,B,B,C,1
Other,58,Brazil,Bisexual,11.914639101623397,26.805659795149307,A,43.0655112862807,-91.58246651741806,75.49888326959295,-150.8786097991398,D,-350.57155484324954,C,C,E,D,D,0
F,32,Germany,Bisexual,21.917017343150302,-55.01143239593424,C,-38.57534703592386,58.13780287389765,3.257437628619276,-149.7787938003682,D,-53.00124719721859,D,A,A,B,B,1
M,64,Other,Other,-12.434064643528625,-16.765402922215273,A,195.00794553240243,-66.96511969964651,133.8764816691646,-8.944341085551406,B,-114.41020919005582,A,E,A,D,D,0
M,77,China,Other,-43.17887201131252,-33.762825736652,D,105.44316692754153,78.3910668870635,35.2451387985811,80.04750784937083,D,-74.21569509994936,C,B,E,C,E,1
Other,30,Brazil,Bisexual,106.92201043148187,-43.007713566798,B,22.498434078492743,-106.79859475893745,-242.66729160745732,-167.9872081768947,E,122.76310461361012,B,C,E,D,B,1
Other,24,Germany,Homosexual,95.08527389612284,110.74664010352242,C,-43.78087378312751,-83.50415048634225,24.651091877772206,93.58982464524045,B,149.71597364877002,C,E,C,A,B,0
F,40,Other,Homosexual,61.311294936609215,23.930264188763065,C,-24.253842770077462,-145.03749460111308,14.501153644984994,-12.017565537206483,B,-11.725684043012393,E,E,B,C,B,1
F,31,Mexico,Other,-214.15627702361832,-10.851312504933166,C,-48.65399795310141,-242.0616116873716,152.4116387703745,126.72357872686584,D,-104.47797894254434,C,D,B,C,B,0
Other,30,Other,Homosexual,253.1188498216217,-100.23256619193035,B,-23.883758568646172,-58.92566173426626,-18.925481791123403,80.381357592796,D,-39.34415445610823,A,B,A,C,A,0
Non-binary,36,China,Homosexual,-154.32206104117566,0.9647496352218919,B,-68.2592149722947,127.09798797024057,-22.176562803062087,-43.425484655209026,E,-19.94370333358455,D,E,D,E,E,0
Male,22,US,Other,-159.80247357946277,-111.72605931180676,A,-17.806171456525963,-38.261354088906224,-33.13054834597237,54.57259303659242,B,-70.70665738487833,C,E,C,A,E,1
F,76,Other,Heterosexual,-39.99320160738461,-9.315489706726684,B,111.47229321651793,177.26652980579942,-22.64643107832679,-34.862235679976784,A,94.9024967912557,A,C,D,E,D,1
Male,28,Brazil,Other,13.203270109533674,-61.05568868301584,B,-110.74771441956858,-171.89360844995218,318.95480978953145,-97.89289335711435,E,52.214741197876755,B,A,E,A,B,1
Female,33,India,Homosexual,8.340195115161428,67.40767582079945,E,-30.970014961749758,44.22316971955422,231.3171528248203,56.09073976093926,E,20.89770779289652,D,E,A,D,D,0
Other,22,Mexico,Heterosexual,-262.447635049039,7.633724883106849,D,-151.1894988045232,195.29014832126734,89.68358594738713,-10.077985623843553,C,77.55425542912504,D,D,D,C,E,1
Non-binary,34,Brazil,Heterosexual,45.9022008222544,26.828710197577433,D,25.297550805460922,109.54285035340962,-51.93668508309652,-217.83252470896687,E,-122.28284272335715,C,A,C,E,B,0
Male,50,Germany,Heterosexual,-15.0800463551768,-144.7274185630627,E,-9.12526890032654,10.065627033570625,-31.265814119669688,-91.59019778651239,D,72.6959301487192,E,A,C,D,A,1
Female,65,Brazil,Other,85.15114174168981,-53.145949282686,A,51.981667433643665,-85.89306015603432,-9.144653959000845,32.72440193131266,A,-75.71290638986675,D,B,E,C,E,1
Male,46,Brazil,Bisexual,-114.40429194082415,175.82365534352053,A,-6.690301478884088,-12.117081613217742,9.189924560744982,-187.98447553302572,C,35.85047192939864,B,A,C,A,C,1
Other,25,UK,Homosexual,-102.99250370370663,19.418324764888958,E,18.904462996842174,67.80899999353451,-110.00489275156554,-62.138451550860374,B,-95.96067685714054,B,A,B,B,A,0
Female,33,China,Heterosexual,-8.618550924646984,7.376795290590519,E,6.455065669922515,85.27373724075615,-39.05249876392078,63.359913757677475,C,-50.68932233642005,C,D,C,C,E,1
M,28,US,Homosexual,35.313720510254385,72.02200498561554,D,-43.64896581812145,225.37448176496602,-45.5152943519694,85.28268742506341,E,25.72272592027015,E,A,E,C,D,0
Non-binary,25,UK,Other,-15.0645506923867,-88.36499919556987,A,31.589599313799514,68.28863193679472,131.80202667240403,-71.10464808106578,B,142.42412379280722,C,E,D,A,A,1
M,64,US,Homosexual,-14.590401172948189,104.72106259909215,A,-5.516978825170947,-13.867671048110633,64.57770835949282,-67.92138315109642,A,91.9858703500527,B,E,E,B,B,0
Female,40,Germany,Homosexual,20.273039132272356,-161.1235873746552,A,-79.38977095449215,108.1354877296199,11.966884401795726,162.7480829761183,C,365.08860544438613,C,A,A,B,E,0
M,66,Mexico,Heterosexual,-143.44180262725766,169.60139773267036,B,-157.9168133400758,-27.784514996026317,-100.54612762257503,-48.844141346418844,E,-52.986843999355,B,C,A,D,E,1
Male,60,Other,Bisexual,166.31678447735797,109.00211700206677,C,52.39846344774692,79.885736776938,59.78296019821981,-27.766980187565476,E,54.307345031563415,D,E,C,A,C,1
Non-binary,67,India,Heterosexual,-35.36170785412175,140.45464744611022,E,48.47227242709388,-136.25738971280663,167.21154586241406,113.47724233334134,D,-39.756862570344964,A,B,D,A,B,0
