AgeGroup,Religion,civil_status,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
65+,Muslim,Divorced,China,A,132.74360727281618,103.51494137881187,-13.739900431572401,-31.187049784779653,B,D,1
65+,None,Single,Brazil,E,183.75400319638263,2.8139418902043074,69.36846007785216,-193.49823337306822,B,D,0
18-25,Hindu,Single,Mexico,A,-114.2710273386388,-94.92118644679631,47.39744166108082,-36.5554396032391,A,A,0
51-65,Hindu,Divorced,UK,E,-20.686771977966313,105.90998425590799,-8.661025320546187,-141.3430708427999,B,D,0
36-50,Other,Married,Mexico,E,136.07433712085472,37.4329597419225,-41.33673048927744,10.881997761529206,C,C,1
51-65,Muslim,Married,India,D,69.88653459716018,104.18714791430742,-29.165710817906394,-5.512736464794905,E,B,1
18-25,Muslim,Divorced,Mexico,D,-42.03379404669379,-11.676500035204667,-23.16735241516059,167.52099295966102,B,B,0
36-50,None,Divorced,Other,D,111.68262705297923,108.7566313572935,32.251459942411884,-21.72956807823016,D,B,1
26-35,Other,Married,UK,B,88.83428298411225,-39.62621545460271,-149.2819472327292,65.19865198886139,A,C,0
65+,Other,Divorced,Mexico,B,42.30290888372589,-57.2846285097602,-17.024499252483213,109.67401689837185,C,E,1
65+,Christian,Married,Germany,D,-35.84639858368037,-87.38934257469028,70.02346955569337,-128.14084399371345,D,A,0
65+,Hindu,Single,Brazil,D,27.8863752911061,-176.15583692136278,25.686824621514948,93.19457976085165,A,E,0
26-35,Hindu,Widowed,India,A,-77.98643011916238,42.232503301569594,107.74029698751855,-5.301069063918253,A,C,1
18-25,Muslim,Married,UK,C,119.30398010363845,-21.38929737275258,-44.967485246791526,34.480067173328464,E,E,0
26-35,Hindu,Divorced,US,C,127.41575933754181,-162.8984215320322,-52.64132795323116,125.90775505984465,B,B,0
26-35,None,Single,Brazil,A,57.06217408627591,204.78311330513446,-88.22555660394072,5.6187976795534755,C,B,1
65+,Hindu,Married,US,B,15.702874871413334,114.29908174384403,24.949091292754165,-1.2746083626072164,A,A,0
18-25,Jewish,Single,US,A,18.848326737465936,-79.87542057642332,92.80016182670748,233.99504808552553,A,A,1
36-50,Other,Widowed,Other,D,6.6064311545935075,107.32030706316506,117.52285443406987,27.013747678453427,B,E,1
65+,Christian,Married,Brazil,B,-129.60659587544973,-141.9669415593261,-17.365755153170422,-46.61757938844635,D,B,1
51-65,None,Married,Germany,C,-144.5995964912159,-12.113271532256368,-74.11963854290109,109.93210891883791,B,C,1
51-65,Hindu,Widowed,Other,D,-142.291269555667,21.77289681329791,49.292043278921916,90.89902954562363,B,D,0
51-65,Muslim,Widowed,US,D,11.359247698357239,-141.66044298189422,-143.88747924506998,-5.221183758717049,B,C,1
36-50,Hindu,Married,Brazil,B,-136.97004201435334,-67.43609710115281,-129.7627052213365,147.7891897070448,A,A,0
36-50,Buddhist,Single,UK,B,102.18383160811013,80.2776351251646,30.23140298920411,15.04012258662344,D,E,0
65+,Hindu,Widowed,UK,E,150.63315748288483,-76.78640607609208,-53.693755165600464,-30.231426457608524,B,A,0
51-65,None,Widowed,India,C,-81.79601171982877,3.343186214362085,43.267803603169845,46.579991950922,E,B,1
51-65,Muslim,Divorced,UK,C,-135.29191896369778,140.90468786981108,53.90727511347778,154.88486217359153,C,A,0
36-50,Christian,Single,China,E,-302.7596952258147,109.43891446784552,177.60923755340116,6.577568646806027,C,B,0
26-35,None,Widowed,Other,B,-69.19401134692174,79.65561375477702,-11.97365829359254,42.07340320694209,D,C,1
36-50,None,Divorced,China,A,-52.6252400978938,-1.7821273881014819,71.66680522315822,-227.36430240547057,D,D,1
65+,Hindu,Widowed,Brazil,C,-37.37387542296561,34.103636368689735,113.51523314267085,15.153141906671094,C,B,0
65+,Christian,Single,Mexico,C,105.18040509882194,129.27088314659778,87.11520694197378,-16.93211689271314,B,C,1
26-35,Muslim,Single,Brazil,E,-87.84275670031289,-72.68577926171376,119.5333938338288,2.6206365552119113,C,A,1
26-35,Muslim,Single,China,C,-81.12961312573157,-32.96372747132138,128.23635599750983,129.125044287492,D,A,0
36-50,None,Divorced,Brazil,D,58.402806607792215,29.663756867366832,122.00610820016271,67.23299197923214,B,C,0
65+,Jewish,Divorced,Mexico,A,144.6509042529017,-292.89681949991194,-69.28082122000447,-31.077197341130642,E,B,0
18-25,Jewish,Single,US,C,43.79846482505953,95.40823423633911,-95.97886452850908,-100.12678476843433,D,E,0
26-35,Muslim,Married,Other,D,-62.64163916988896,16.29682409681411,-146.47103408539596,89.04421172824289,B,A,1
51-65,None,Single,UK,D,-71.94207649049793,100.06286350292248,-23.287364517053543,115.15421100991891,A,E,1
18-25,Buddhist,Widowed,India,C,83.34733906407511,-69.77714727329135,-108.32001854102099,-44.537769299996775,A,B,1
65+,Jewish,Divorced,US,B,148.327766082407,2.615984386273742,-103.49619310535199,-14.964011740311387,D,C,0
18-25,Buddhist,Married,Mexico,E,64.12943134065702,-90.07345992848204,-121.25792729443671,-153.890703682597,D,E,0
18-25,Other,Single,India,A,-90.84129024204462,145.1666390492634,117.02762709952566,-16.360171613687253,C,A,0
36-50,Muslim,Single,India,C,-168.34130117599148,47.33468608385405,110.33385397804403,-22.693839193375286,B,C,1
26-35,Muslim,Married,Germany,A,22.245316767171353,67.10245266882595,-105.6379197308527,-119.2348266967706,B,E,1
36-50,Buddhist,Divorced,Brazil,B,-0.5625522061704655,35.75754495909484,31.72271938708221,182.67851135129442,E,A,0
36-50,Christian,Widowed,Brazil,A,-72.4132232164885,-38.312199108490184,94.5333188629118,-13.964900308224617,D,D,0
65+,None,Single,China,C,25.60048418876315,-132.05055614837386,-119.41778677641113,-123.53953234779038,D,A,1
65+,Hindu,Married,China,D,-115.39491419940148,121.0039951430999,158.57369140795765,149.55761263079575,C,B,1
18-25,Muslim,Married,Mexico,C,-43.64022183935792,37.18509377225413,25.574808187072435,94.85230132756067,D,B,1
65+,Jewish,Married,Mexico,A,-3.202928949027929,24.564448539012602,137.49926051313645,12.383955853591146,B,C,0
51-65,None,Married,India,A,85.59378609449823,-185.7748669574576,-55.199058812845294,-18.75050668721644,C,A,0
65+,Muslim,Married,Germany,E,-67.29470619550942,-16.32687102584269,-20.0494074749978,-160.9028913266587,D,D,0
36-50,Other,Divorced,Mexico,A,2.6339340965360054,-171.9571026863727,-58.95615597007321,1.985245346944832,B,B,0
36-50,Hindu,Single,Brazil,D,42.26912496808957,-108.03668285811968,-41.60551221566749,-63.614925670440684,E,B,0
18-25,Hindu,Widowed,China,A,-140.1326117516975,64.2273887520302,2.2691432968613565,-143.56599474958952,B,A,0
18-25,Jewish,Divorced,Germany,C,3.3301726791914255,107.01330188170826,-147.54721082887798,-43.5376531521399,E,C,1
65+,Muslim,Single,India,C,23.35523217627783,96.91273349861473,-17.464159277441482,113.21186385042014,B,E,0
51-65,None,Widowed,India,E,178.67869442234598,-137.26283048021398,-29.899855094210952,-148.10456759860213,A,C,1
26-35,Buddhist,Single,Germany,E,94.74704713183685,-39.212871521318895,-29.145445792127557,-99.89377137183357,E,A,1
65+,Muslim,Divorced,UK,D,-137.5707163260595,167.87443925393652,-15.163925413815784,8.574340808153705,A,B,1
18-25,Jewish,Widowed,Other,E,143.40001568879197,10.806052145331783,166.55289038473066,-38.08380042396791,D,E,0
18-25,Hindu,Divorced,US,A,92.63373856099344,91.99423880563191,-109.10782423665022,114.72945022034034,C,C,1
36-50,Hindu,Widowed,Mexico,E,-173.6226088918422,100.81107367172129,13.899734192928648,112.72329806270326,D,E,1
18-25,Muslim,Divorced,UK,B,18.986722829639767,-159.83629946531462,24.97291572562044,14.26135801087918,E,B,0
51-65,Buddhist,Married,China,C,90.93090092491003,13.447957380024622,31.517563380129594,38.38761522248396,B,E,1
26-35,Muslim,Divorced,Other,D,48.22458540829107,87.4379704764904,-137.12160474575063,-15.363919933149155,C,D,0
51-65,Muslim,Widowed,Brazil,C,-45.86915465416874,-80.31423242732937,-120.2419767840676,-36.72746491278394,E,A,1
26-35,Other,Divorced,Other,E,64.93518779266022,95.39897966458662,-23.417569776401066,-50.976399609312175,D,A,0
65+,Muslim,Widowed,Germany,C,-12.89135444958428,-141.90675780479665,1.5848366177138344,-87.25931390009546,C,A,1
18-25,Christian,Married,Other,D,119.00209745855747,41.73584583544211,-63.965280369167075,-150.4908400643196,D,C,0
51-65,Jewish,Married,Other,A,105.62498747037861,14.013114205146923,93.62743012402443,51.59073382522388,D,B,0
51-65,Other,Widowed,Brazil,B,75.7190774352501,67.65068402202998,87.49261242391509,-14.069159563326416,E,B,1
18-25,Buddhist,Married,India,D,-108.26748943416422,-47.47058746319208,23.204875238856705,317.72536745954596,E,E,0
36-50,Christian,Divorced,India,C,-18.625488052225347,-8.234482242003708,-119.47243889334855,24.181524512933848,B,A,0
65+,Jewish,Divorced,UK,B,-21.847693602930182,4.817075118750856,29.873610107423314,-101.72106260834819,C,B,1
26-35,Jewish,Divorced,China,A,122.31463702443308,37.72786447694746,-68.09188123562322,-26.49259611519933,D,C,0
26-35,None,Single,Brazil,B,46.6611702969002,-27.185421690674772,-227.54546161560842,-117.62499617852107,C,A,1
36-50,Hindu,Married,Germany,A,17.63682449422724,22.973813230104597,88.7605059160207,27.109475779038867,E,C,1
36-50,Christian,Widowed,Mexico,A,-113.30289590882612,-103.35298726049518,-122.57247211936439,48.801328253880634,E,E,1
51-65,Christian,Widowed,China,A,1.2575412141664586,-3.328234065408523,-104.54346629090922,25.29310930282248,A,C,1
51-65,Jewish,Single,India,C,17.908728582879593,-95.41841831737763,171.83180994270737,62.575000581882364,C,C,1
65+,Hindu,Divorced,Brazil,B,-13.339690451685682,-23.41915698560263,-28.078494270441535,147.07837084810802,C,D,0
26-35,Buddhist,Married,India,E,-154.39961737316133,-144.23448952707497,11.18430672029694,-2.322683751756385,B,D,1
26-35,Buddhist,Married,Germany,E,-7.996755163463836,-76.04180675640791,-91.94947164589966,16.222827133086817,A,D,1
65+,None,Divorced,Other,A,-25.562196130595176,-125.00945720361976,28.232815759728506,-118.87562419176435,C,B,1
36-50,Buddhist,Single,Brazil,C,70.21816110163203,-58.11265697287574,25.38206693855577,52.04711087806854,E,B,0
26-35,Hindu,Divorced,Other,D,150.4468451228582,-29.317971859872337,-67.38533404678677,148.34620956867332,C,E,0
36-50,None,Single,Germany,E,47.56956239444136,57.65042630505845,-73.30995444520717,55.32031203311939,A,A,0
36-50,Buddhist,Divorced,Germany,A,123.7032956684321,44.85353713157436,-61.90336314632168,38.21983330988308,E,B,1
65+,Jewish,Divorced,UK,B,82.45769875476223,-22.875195915533077,144.62797597111776,46.57519826842379,B,C,1
18-25,Christian,Married,Mexico,B,72.63926162344161,81.15868067384791,-119.63255133742948,-26.304895590997425,D,B,0
36-50,Christian,Single,UK,C,63.729808142822996,-96.65212822863283,49.79772868262541,-80.71694362132801,B,E,1
36-50,Hindu,Married,Other,A,-99.1726958743029,77.65272754366246,-32.719714431535614,61.50199065258687,A,C,0
26-35,Jewish,Widowed,Mexico,C,-73.19836009605243,83.84129246158513,48.73620898472574,-23.65635555036254,A,D,1
36-50,Other,Widowed,Brazil,D,164.98496662930233,207.7543402955407,25.46146621542168,128.0428084478646,E,C,1
51-65,Christian,Single,Brazil,D,-143.45387727220336,-124.85712816656076,46.93291308514045,239.46535618629815,B,E,1
36-50,Other,Widowed,Brazil,B,-109.21704204808529,-107.60671009427281,5.357010216554724,-24.349546860464688,B,B,1
36-50,Other,Single,Brazil,B,131.49763674985797,88.06597057324528,105.72948884029422,-27.92742308458369,E,B,1
65+,Buddhist,Widowed,Other,C,15.605326275332013,44.789933118731774,-28.75629177034018,142.05398230658716,D,C,0
18-25,Buddhist,Single,India,D,-188.26658384838566,-166.86738551566782,-99.45849767331201,88.94000182004879,E,A,1
36-50,Buddhist,Widowed,Other,A,-83.94998510689791,-81.49127129682077,-150.62808754530502,-9.074087200138834,B,A,0
18-25,Buddhist,Widowed,India,D,107.32541677514558,37.80913367429019,113.86864231685234,-128.28667026382814,C,E,0
51-65,Buddhist,Single,Mexico,B,-160.89029256373504,-134.78172444520044,-183.55842370202137,-116.40255459988424,E,D,0
51-65,Hindu,Married,US,E,16.79700702134575,-16.710946635491634,43.45920012103285,-19.480046460968385,B,A,0
18-25,None,Single,Other,E,5.263490545216743,-15.655445624646067,18.81189421539681,20.2265422359752,D,E,0
36-50,Other,Widowed,India,D,-117.29174861940021,-175.40926532278846,-77.99408864319696,113.35825036085454,D,E,1
18-25,None,Widowed,UK,B,54.46594889187445,115.8897920740259,-32.89760087041142,42.36548084955069,B,E,0
36-50,Buddhist,Married,Germany,C,-9.76098745189231,60.432914593199115,-127.94079409011529,-75.24200453735467,C,D,0
36-50,Christian,Single,Other,E,-46.754755412306906,-70.66574445128163,45.629033943622396,-67.77113328940149,D,B,1
26-35,None,Widowed,Other,D,-23.017381425158664,63.26852293229638,-289.7041868713022,-131.42289620156396,A,A,1
18-25,Muslim,Married,US,B,67.17311183001547,-144.8024944402473,2.7172288186971665,11.50836579476651,C,A,0
18-25,Buddhist,Widowed,US,D,-32.80643967248741,-30.969547436502566,-20.212918675186163,-31.507489498610987,E,C,0
18-25,Hindu,Widowed,India,D,26.77321868392862,-66.33160401945884,90.39273399716537,113.25512520552743,D,E,1
36-50,Christian,Widowed,India,B,53.743632597507904,-35.09300960014271,98.79364571298348,5.034050777821437,C,D,1
51-65,Buddhist,Widowed,India,A,-63.26748155449403,50.25430224511687,-112.0631762644382,-2.7094222968010873,E,E,1
51-65,Christian,Widowed,Germany,E,237.20710425598486,11.054652888580579,26.37737276850403,123.62320431909733,C,C,1
51-65,Christian,Divorced,Other,D,-30.195682814513862,-223.47601709126585,-72.4928510623063,-31.665624871701425,C,C,1
18-25,Christian,Single,India,D,137.72734307421374,19.99510724672809,-28.98034116950699,-81.0570729354931,A,D,0
51-65,Other,Divorced,US,D,-33.792606431106385,-46.84652529924144,63.661504119552056,91.18462317988268,B,D,0
18-25,Muslim,Single,Brazil,D,-173.38683408365156,-113.81152095193221,176.51169398746055,-40.08904238751718,C,C,1
36-50,Hindu,Single,India,D,-44.857750454461545,109.19638212240828,-14.784261022378425,-80.32284753894886,A,D,1
51-65,Jewish,Married,India,C,57.92979102115137,41.67745938304241,57.32940197528236,-196.27611635576147,B,A,0
26-35,Other,Divorced,Mexico,B,77.39897277879219,94.03688304981209,21.71745418021416,162.80405371190355,B,C,0
51-65,Hindu,Divorced,Other,A,-21.776936272071246,81.0092101710105,-3.0714074499108297,105.4532580193621,B,B,0
51-65,Buddhist,Single,Mexico,A,-188.11949919132914,5.577207133470258,-113.12225343673197,54.17916686150328,D,B,0
36-50,Jewish,Single,UK,E,-56.11155045547407,-91.84964533351405,-141.18813643937887,246.1242695568947,A,A,0
65+,Hindu,Single,UK,D,-8.711480626575506,-88.48293450074969,32.81285432610799,148.90630026202615,A,E,0
65+,Jewish,Single,Mexico,C,131.29115150120907,-40.900944194986586,-59.73142853084838,-234.72960899595864,C,C,1
18-25,Christian,Divorced,US,B,-127.25287894476011,23.63846566878989,27.80159571976169,123.05965269396756,D,C,1
36-50,Hindu,Single,Germany,E,13.548752943089845,21.566772042717787,-77.19307539482979,208.50620559799876,A,D,0
36-50,Jewish,Single,Other,D,65.63337730638874,-180.46779316635974,79.96231947699435,-134.34338063655892,D,B,1
51-65,Christian,Widowed,Brazil,C,-219.92732138464683,-155.71099385658255,28.77511395691969,-54.597388958508596,E,B,0
18-25,Jewish,Divorced,India,C,3.827738454383793,-96.6742940360676,62.136179566266726,-3.1043725790303953,B,B,0
51-65,Jewish,Divorced,US,D,-167.42679244017955,-55.05208538230666,-183.1579405654481,-127.7251721263477,D,E,0
18-25,Hindu,Widowed,China,B,-95.95325728334156,12.39053464966447,-29.859059877322036,-147.7740268875611,E,A,0
26-35,Hindu,Divorced,China,C,104.49888508792498,-168.87325254111835,-12.13916817780311,64.41731378723013,B,C,0
65+,Christian,Divorced,Brazil,D,-2.8008426658033057,35.42156362567719,-149.56153597799036,259.506298735781,D,E,1
18-25,Jewish,Single,US,E,16.421098257122683,-28.57572158293745,-0.7685560077910889,42.37104262384532,A,D,0
36-50,Muslim,Divorced,Other,D,-78.55996680235702,-133.52975315693087,215.61330121284664,79.38728818566351,A,C,0
51-65,Muslim,Single,Other,A,-27.518147844472573,27.084823264912743,-108.63725738039261,58.97959447244426,C,E,0
65+,Jewish,Single,Other,C,-5.455756835978572,8.380484740147592,-96.0987831130081,150.18767463477442,D,E,1
51-65,Hindu,Widowed,UK,E,17.187117753525005,123.26060085509019,-186.53401222926774,-142.28821953663225,A,B,1
26-35,Jewish,Widowed,US,D,104.20753437452737,-130.10958256028857,-126.06040468569113,8.470743697578245,E,D,0
51-65,Jewish,Married,Germany,A,-2.0765714769001122,-82.9750335814346,-123.37347899552202,126.40695185779849,C,E,0
65+,Other,Widowed,Germany,C,-173.23457883299363,-192.77826947805102,-23.74392100505188,23.23474907642654,E,D,1
36-50,Muslim,Widowed,Other,B,-45.19071473260317,74.0188241855643,-83.78302947201773,90.14373437319347,E,E,1
26-35,Muslim,Divorced,India,B,24.332531936443903,116.69458331251255,-32.03488387362364,54.00583136743424,E,C,0
36-50,Muslim,Widowed,India,B,59.89676036166788,64.3592139811359,-172.08595566828205,-207.04447011088197,A,C,1
18-25,Other,Divorced,Mexico,A,-37.22655615881267,-41.39463440289342,-32.2075675023292,-58.62724922545512,E,D,1
26-35,Hindu,Widowed,China,A,-130.05842872306152,-45.16378974087195,116.46536405193837,-134.47626469316967,B,C,1
18-25,Muslim,Widowed,Other,D,-59.586785050844625,-38.44428661049038,-48.961982022076306,-34.439792214529305,E,C,0
36-50,Buddhist,Divorced,Germany,E,87.57881334101172,-143.1522872272198,50.733432043946614,29.386033577629146,D,C,0
65+,Hindu,Married,China,B,147.70380314682038,-23.680224945396304,-37.47520609968606,-39.455946632844615,D,C,0
65+,Christian,Widowed,US,C,155.6340655541247,-70.97478365482695,137.742205202058,31.982071827663443,A,C,1
26-35,Hindu,Single,Germany,C,169.10176278728053,140.89942762915496,-46.45946937000702,45.287171387848865,B,A,0
65+,Buddhist,Single,China,D,175.439467799768,114.67124477166892,13.237663653800169,67.60151848817037,B,E,1
65+,Hindu,Married,India,E,-108.3023796374926,41.855749342950844,-32.657748025937245,-61.07316104255105,E,A,0
65+,None,Divorced,Germany,B,-93.60254174383705,-40.151004638720266,58.215750703627144,-11.115704677069306,B,B,1
18-25,Hindu,Single,US,E,-84.0731794611848,230.13072078011567,71.63775672197494,-11.646219670558654,B,E,1
51-65,None,Married,India,A,-183.56666740618502,45.07025563145047,94.48425676369604,182.98040867127236,D,C,0
18-25,Muslim,Single,Mexico,B,0.9530811302248757,-22.652718095386362,46.28355098122983,-13.861303917218699,E,A,1
36-50,Other,Divorced,Brazil,E,-61.7865008868259,-47.486856472140246,-110.81379521915305,49.91050007546829,A,D,1
18-25,Jewish,Married,Germany,A,26.772938846661848,212.1817551011139,-153.03350650707307,77.10795553760352,D,A,0
51-65,Jewish,Widowed,China,B,-103.31567213027526,-34.50983101108472,96.28934265305307,-5.637902284697066,A,C,1
65+,Buddhist,Single,UK,C,3.010100965916961,-102.96065913362764,9.857657573503712,-17.739980193839635,D,A,0
