religious_affiliation,married,ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Muslim,Divorced,Asian,-15.48297762099069,E,22.848244102523367,B,-59.29453108887239,C,A,A,56.355949855516215,A,C,B,101.6832643079591,-97.75483896750369,0
Jewish,Widowed,African American,133.61152717042842,B,87.75006004131143,A,-39.934118816691836,E,B,C,-147.01460294396117,A,A,B,33.43376481203149,54.74073506577124,1
Hindu,Single,Hispanic,71.93703835985683,D,-21.9795823660913,B,48.67207205171457,D,D,C,-66.72786337456343,A,A,D,-57.33122253131242,3.1629036266839314,1
Muslim,Widowed,White,81.73184970510285,E,-14.750571739391821,D,-245.10542372220834,B,C,C,31.37566184629112,A,B,C,59.315077183271406,-71.82942914406178,1
Hindu,Single,Hispanic,127.0673774979712,E,44.59314188251191,A,11.042992531999072,D,A,C,15.168001625059233,C,E,D,72.43860532563862,-13.720790074434852,1
Muslim,Single,Asian,3.02263214346193,B,11.238953839805319,D,70.90650952034115,C,D,A,58.71653802989844,A,C,E,-151.8357192271574,-86.88658384108865,1
Hindu,Widowed,Hispanic,-18.040575543824566,C,-6.67161319490294,D,-68.90581292404121,B,E,C,229.03683328303654,D,C,B,193.13807402689744,8.286343085548706,0
Other,Divorced,Black,91.82201339722307,D,0.5782650826474038,D,-151.32580700507364,B,B,D,77.58069637039243,E,C,B,9.428381174564416,-80.725800015712,1
None,Single,White,-20.206409059236766,C,-56.86653181595411,B,-12.2123611032702,A,A,D,-98.71248352174659,C,C,D,215.93756987438354,10.769673595294014,1
Buddhist,Widowed,Asian,16.69912301406019,B,205.3000653025549,C,89.65949125358983,B,E,E,-55.983884251845026,C,C,D,-3.143478091838353,-37.605388386053725,1
Other,Single,Other,-94.10522511623769,E,-76.99390536976811,E,-70.51085124824553,D,D,C,-53.08878472138496,C,D,E,-42.58404837803624,-27.11495969543401,1
Christian,Widowed,Black,-65.01031580382659,D,122.37193928542015,B,117.23123558557118,C,E,B,-87.38994143865862,E,A,B,-57.144138314203154,86.44284885258891,0
Jewish,Widowed,White,-20.40102274872999,C,-29.752212475789563,C,2.7193214623388178,C,D,E,-37.740179383498855,E,B,B,-2.141931295892993,96.73398245062394,0
Muslim,Married,Hispanic,-78.93656859823143,B,164.44598362331516,D,-53.70989661099698,C,C,A,87.56544837152288,E,B,D,242.68904537605914,-58.07871551726088,0
Muslim,Widowed,African American,32.74364548443242,A,81.43590512652415,D,-78.88796412341335,E,B,D,-89.4092574539828,D,D,A,146.47414127731085,118.85803534114274,0
Jewish,Married,Other,-20.621315536345165,C,-102.29969976109676,E,-105.35979315056396,E,A,A,160.7414941533138,E,E,A,-162.84949893616633,97.5907550428706,0
Christian,Widowed,African American,29.4607339959431,A,-78.82316884412592,B,-2.200800280192203,E,B,A,124.35325535399883,C,E,B,119.17884960803164,-2.4412503695803665,0
Christian,Divorced,Hispanic,8.008589947542829,B,79.82498200476768,E,54.86509405124396,E,A,B,-152.62355612199562,D,A,A,-8.336445251905591,-15.644447670969235,1
None,Single,Other,-53.88962195736583,B,33.06762410331817,B,-89.50771018915758,E,E,A,44.30788264356434,E,E,C,-49.325313063473764,4.44194356445882,0
Christian,Divorced,African American,103.73910012846017,C,-46.48741251959115,D,-73.14354159868046,E,B,A,-48.3208533626465,D,B,A,93.1964060194988,-230.2378929300514,1
Other,Divorced,Black,102.76410425839026,E,51.92016281297178,E,99.95970870081226,A,D,D,-16.94090549800657,B,D,C,198.55209958228482,-116.10011599819214,1
None,Married,White,214.1140317341624,D,-52.37768482768958,B,199.3513373867541,A,D,C,-63.678490766183856,A,B,E,1.1554396769973834,-82.36850677072802,0
Hindu,Married,Black,29.155378479548638,D,100.92715702711128,C,23.473524946715578,B,E,A,202.3559242730958,B,E,B,5.376787571214568,97.86995153480918,0
Buddhist,Divorced,Asian,-241.58669857285827,C,1.2584288104807129,C,-41.860263458826175,B,A,A,-210.57757441093722,C,E,B,-141.26412715866277,54.15914382891594,0
Other,Widowed,Black,62.603292314269524,B,-39.972979880515744,B,-33.87515693607567,A,E,B,-71.81809725225982,E,B,D,-46.779603880272845,-44.8251465915715,0
Buddhist,Married,Other,0.26837617531606744,D,-46.42493335954776,D,150.74469440107947,E,B,A,-66.36805066479404,D,D,D,-5.696083628190181,113.20605452459789,0
Muslim,Widowed,African American,-75.03114599947598,C,-4.247558189526203,C,75.67177872192227,C,D,C,-63.40183078292697,B,D,C,72.71562155720225,79.80841580095606,0
None,Married,Other,-37.33912169718524,E,-66.28151078777057,D,-18.559371764303023,E,A,B,-21.79849809160204,D,D,E,-137.44640216346218,103.56607934788225,0
Other,Single,White,190.6920906594439,B,95.61958733012786,D,-90.05396140888574,B,A,A,35.94663442057544,B,A,B,-28.88042159964722,-221.8105919793985,0
Buddhist,Single,Hispanic,26.576720135256977,A,66.85408904837985,A,134.1319746084942,D,D,E,-46.89622609271352,C,A,D,-134.07850634856862,74.22752315827566,0
Buddhist,Widowed,White,-17.27260344165193,B,113.03883549224093,E,-48.88194545025555,A,A,D,-135.47481832405705,A,C,C,71.71425754133256,81.72129260580515,1
Jewish,Divorced,African American,-125.22664389964184,A,-30.151033412521084,C,62.24154639228669,B,E,E,-39.097442407494064,A,D,A,-50.59157177859974,12.938974014558976,1
Buddhist,Married,Asian,-198.6720412354621,E,30.875216911238667,A,127.68783407024715,A,A,D,61.94811926767715,B,C,B,12.750209554451903,-153.26468370721403,1
Christian,Divorced,Hispanic,-107.36027419275138,E,98.92842555333183,A,217.9357057368807,D,B,B,42.17513093309321,A,D,E,21.599155301674124,191.20486869528733,1
Buddhist,Single,Asian,-92.43965110984404,E,-44.0770678126969,C,-27.367739040309058,D,D,C,116.40001850174313,E,D,D,102.33322623704541,78.20533216651046,1
Other,Divorced,Black,24.514156170966885,E,76.74906774492408,C,-245.5908489430816,B,E,D,-66.78317599110312,C,B,B,-32.00543573926888,-65.47819707393751,0
None,Divorced,Asian,-1.179362352645078,E,52.455732045299854,E,-62.185191658385655,C,D,E,-72.05836373257938,E,A,B,-77.90434855347742,-103.13564435726586,0
Muslim,Single,Hispanic,-23.368987606065733,B,-230.78811515245224,D,-2.5690355867653807,E,B,C,3.5202662108455622,A,C,E,40.84986631909404,-40.98540717736749,1
Buddhist,Married,Black,-153.24180609401947,A,23.245120039889244,C,-44.95856774624176,E,B,B,-21.785246906974383,A,C,E,-71.73375207838237,188.81348487064145,1
Christian,Widowed,Other,30.28841027589105,E,11.372038418131092,C,21.395551458078643,A,A,A,75.3146965143861,C,E,D,-40.9662761744283,-61.72296272968275,0
Buddhist,Widowed,Hispanic,52.47383355796592,E,29.195965451234308,E,-126.43831717023576,D,B,D,-41.06669405266608,E,B,D,-116.71740428342888,-9.255573533170885,1
Jewish,Widowed,African American,2.697027207337979,D,-79.29709670582722,B,127.67909474670596,D,E,C,-82.33675596059537,D,D,E,38.17673766455611,27.49816631307335,0
None,Divorced,Hispanic,-8.316582951256596,C,25.70895509490128,E,106.97940558934975,E,C,D,-206.1042838954579,C,C,A,-48.58812755141811,50.22875813504819,0
None,Single,White,0.5617943951906285,D,94.85764428008866,B,30.857334282253863,E,E,D,159.84507070384143,C,D,C,44.98146100740411,-28.47420127463365,1
Buddhist,Widowed,African American,-3.36153704709354,D,52.42461510951456,D,-112.73091666898709,B,A,E,-53.00360096713913,A,D,C,-5.538024695577556,78.48864988192867,0
Muslim,Widowed,White,75.86159952474894,B,145.99264194403224,D,-34.58628036910906,C,C,D,117.08484814868321,A,A,D,-153.31649192190048,-38.11479530771916,1
Christian,Widowed,Black,-40.18985380441755,D,13.817521777388645,C,-133.15014042174374,E,B,A,-227.7804253831943,A,D,B,51.912655512268365,-47.923324011707706,0
Other,Widowed,Other,223.92069842380434,C,-21.863786553323123,E,16.535265742397165,D,D,C,83.34755328189216,C,A,C,-35.49303316435113,-143.76611567664634,1
Hindu,Divorced,Hispanic,-51.48169349467495,B,-37.55814445279636,C,-16.309043841388466,C,C,B,-112.56058118214595,A,C,E,32.58551110510966,-112.18080756418935,0
Jewish,Widowed,Other,14.168325364142934,A,192.11948060847607,A,-56.892749015947885,A,B,D,-45.65833870137755,E,A,B,-10.534557433342377,-157.50899544022664,1
Jewish,Widowed,African American,-110.76874552332004,E,-14.989317132736293,A,-106.07643571707234,B,B,C,96.20860125497967,A,C,D,229.31237380995836,100.7363493309823,1
Christian,Single,African American,121.61992823492527,D,-66.16502064763978,E,-74.05167581116481,D,D,C,-87.10746990384663,D,C,E,110.95556542916832,-84.2051225078518,1
Other,Married,Other,292.7413644524118,B,114.37493273120627,C,-2.018589093819347,E,A,B,75.43322612687768,D,D,E,99.47351872838115,101.12701207090815,0
Other,Married,Asian,-79.18741683400188,D,-115.23807060508344,A,110.79225313184683,A,B,A,79.98496818793441,D,E,C,27.48393395638263,-188.21549854295267,0
Buddhist,Widowed,African American,-8.791938162903982,A,6.137085401514989,C,-67.30453464544625,A,B,A,-136.27775259268662,B,B,D,174.36856831581323,57.00325284791374,0
Muslim,Single,Asian,-57.05482331684887,A,-81.21286343069414,B,-63.73698772167429,C,B,E,-344.22006051238145,A,D,B,-114.97730402816879,-156.9973253087556,1
Other,Married,White,-95.27264565761509,E,41.50343851264287,B,-49.99019386126317,D,E,C,207.4363688390465,A,E,E,-97.69203682280619,15.777337738679059,1
Jewish,Single,African American,-50.604285133159024,D,17.98959883083554,A,-28.336939328599932,E,C,D,-8.693002601399147,B,E,B,-82.06345000937641,-121.73450631840146,1
Christian,Widowed,Asian,-69.10006604333306,B,47.85911807145367,D,2.2625426558348543,A,D,B,-154.67845464031245,D,E,E,-42.165382148591775,185.76499117374502,1
Hindu,Single,African American,-23.967635013864033,E,-185.85094956891993,B,217.7481609128656,C,C,D,62.98351633911321,D,E,B,-30.030671256427343,-6.5871840710334,0
Buddhist,Single,Black,61.28358831441758,C,-113.09031808558858,D,85.36443948296065,E,D,C,-22.04000153489029,A,A,A,6.603436368424413,-37.28260216525961,1
Other,Divorced,Other,-51.67840738937471,D,143.5165515842377,A,75.86334913758009,E,B,A,-31.111937788354965,E,B,B,-14.84403056359518,-151.8050244170619,1
Christian,Single,Black,6.161063840293104,D,-136.95127826541201,D,-123.4090999547369,B,E,A,-154.59494676354439,E,B,D,-79.19026125533367,133.86539873966552,1
Muslim,Married,Other,-100.54449196890228,A,-160.41902268227753,D,14.10610247562353,C,A,A,63.438672036586695,C,E,A,-24.43747510457797,159.33350656252435,0
Christian,Widowed,Black,79.05796155100032,B,-99.68659764324886,B,98.05251489910553,B,E,A,147.72189558669382,E,E,D,39.662705591922446,-93.2605315703244,1
Buddhist,Single,Black,52.51634204554526,E,22.971553438078196,E,-57.16147427670209,B,B,E,-78.41165415417343,A,E,B,116.44236333224566,15.609180222725344,1
Christian,Single,Black,-57.925507651423594,C,-53.099127183871474,E,-12.637651753092468,D,C,A,-58.85018395086815,A,E,E,-145.3289162270976,23.997049158811723,0
Christian,Single,Asian,-140.58279309856135,D,26.77245617731457,B,-11.555518815354594,B,D,D,-75.3576150198932,C,A,B,-9.530430427324418,-157.10317853978606,1
Muslim,Widowed,Hispanic,1.6420411291757242,A,-28.258842740542338,E,-8.444652501487324,E,B,B,92.65730269991313,B,E,A,17.85568552126531,-95.8212224307761,1
Other,Widowed,White,-18.683218569927586,E,-43.49191052209128,A,95.32915594360654,E,C,A,-31.377249246089473,A,C,C,-58.005509731893945,95.93957473273574,1
Hindu,Single,Hispanic,-116.80189347063252,A,11.429431529400382,D,57.303841815706626,C,B,D,-97.47092833303996,A,C,C,-98.06877980803696,172.45754807889298,1
Other,Widowed,Other,78.27237038414016,A,111.5648416008845,C,4.823383192999989,D,C,A,-0.17538716430535128,E,A,E,97.9836668958873,76.67533886737003,0
Christian,Single,White,64.11857820516028,A,-20.64777139187644,C,139.963786840353,D,E,E,27.816193241211835,A,C,B,42.537651618633575,-150.69521359730723,1
None,Single,Other,35.03535546760666,D,97.4436462547422,C,-132.09305544836923,D,D,B,-123.80469021324801,B,C,E,51.14833895133478,-76.7308373469766,1
Christian,Single,Black,-76.68331421863958,D,-167.0381306979767,C,87.15531472853286,D,E,B,102.93760358668433,D,C,A,-68.57426532401276,28.044662627361046,0
Jewish,Widowed,Asian,33.075310988950626,C,-35.464822972874074,C,3.3764430874935676,B,A,C,122.07449020362735,C,E,E,29.329603376083934,159.1154920705286,1
Christian,Widowed,African American,-175.67570357711713,C,-208.96626775245917,B,-110.05339925210794,B,E,C,-71.56193397110701,B,E,D,-19.958074795044865,57.35997297152107,0
Buddhist,Single,Black,-155.50448371861083,A,-69.78182724676753,B,-39.36425916435308,A,C,E,-215.75758533867196,E,A,A,-56.34152194813434,81.16249261381732,1
Buddhist,Single,White,124.47052641703237,A,6.930386819049382,B,62.5292068789711,D,E,B,-152.03130448651032,E,D,B,80.96318647117616,-60.17121303855155,0
Christian,Single,Black,-179.97959922351342,D,41.31028731248315,E,-54.47464585813731,E,E,A,-123.79513267159821,A,E,E,-29.464994641672288,12.71107677978382,1
Hindu,Divorced,White,-146.42436437958997,A,99.0734824344073,B,1.955570756017782,E,E,B,80.27198302082837,C,B,D,53.14905771881484,134.1638327708538,0
Muslim,Divorced,Hispanic,71.33471496800445,D,-105.53535773176111,E,125.12807062887556,E,A,D,-11.328312317050568,D,E,B,-53.669204705483175,30.90610884126612,1
Muslim,Widowed,Other,33.63318350889982,E,-20.994379509623958,E,-65.55774581239334,C,B,A,-50.244300237414244,A,A,B,-28.609013790102388,-52.837762858401675,1
Christian,Single,Black,113.14806803807826,E,97.90160700077077,D,-14.401325826999283,D,D,C,116.0767844479011,E,D,D,-248.6923380498469,77.1811663036305,0
Hindu,Divorced,Asian,-217.11132669642308,A,-202.53079026112994,A,156.30757989520424,C,A,B,-185.03245502690555,D,A,E,-2.213400994396255,-23.05969849181676,1
Buddhist,Widowed,African American,-18.97494445677924,E,23.502059814173766,B,94.95272041229602,B,C,D,-44.426564473608984,D,D,E,20.568796009948347,-56.83662033529554,1
Muslim,Single,White,-0.4090870656945767,B,-38.9724042470067,A,15.021331446828142,B,B,B,-29.137172771068787,A,C,D,-83.62279340980483,-4.856406552216589,0
Hindu,Widowed,Asian,103.81062276591537,E,-3.9193648228064966,A,99.98373624214115,D,C,C,47.06757734121597,D,D,A,-32.975684344805984,79.16927326911708,0
Hindu,Divorced,Hispanic,74.41276541346625,E,84.50432440786818,E,-108.29222877163073,C,D,D,37.490640115108874,B,E,E,49.88415377674741,-15.742726363040118,0
None,Married,Hispanic,2.541618795256054,E,-122.05478228156753,B,-28.337096991419102,A,C,D,-71.63536012659837,C,A,B,111.10287312126297,-141.99182825844895,0
Christian,Married,Black,-53.40228304137068,B,-13.287531511981317,E,22.324306284047164,E,D,A,-6.319231423489588,D,A,E,122.45277930096398,25.976621625685592,0
Other,Divorced,Asian,121.06080416948059,C,-8.257369549183764,D,-27.63600062301692,D,A,B,-137.43913535125023,C,A,C,70.73634290511018,41.227060806182735,1
Christian,Divorced,White,-0.49560746609513107,E,-236.01268072713194,C,64.7514389388047,C,B,B,-134.9325184981605,E,D,E,-20.48065765865115,20.20569190406459,0
Christian,Divorced,White,-89.7165931850118,A,28.282182537885163,A,-51.61566651066533,D,B,A,137.7343077754546,E,C,B,0.5205974426078203,-255.22292997372497,1
Jewish,Divorced,White,72.09030010874234,D,47.740916450148866,C,-48.47461247701204,B,B,A,47.350926342849334,C,D,D,-65.25240966226268,35.149264583580354,0
Jewish,Widowed,White,25.244414087326046,E,83.72739886238918,E,-35.44283728265101,E,C,E,-5.247923308862266,C,C,B,187.98802443865327,64.48820488561202,1
Jewish,Divorced,Black,-99.3245215714039,A,5.5045639881655,B,-31.0814326615641,C,D,D,64.1844083055193,C,C,A,92.97928744517573,54.891699101267655,1
Buddhist,Widowed,Black,-61.91231811162653,B,-76.86832877430159,B,34.89351997159048,D,B,E,-106.98941536312549,D,E,A,-134.35358512192664,32.57235679688695,1
Other,Widowed,Other,37.61911848115008,C,-21.134116424596527,A,-3.304341212676578,A,D,C,-106.32932110236779,E,C,D,-27.674107172711977,81.86293614909016,1
Christian,Single,Black,18.29455437523761,D,-83.31662880276029,C,-8.622567151606088,D,A,D,108.31378811009971,E,D,B,6.19986866680188,-128.44866035934703,1
Christian,Divorced,Asian,-116.11983877844084,C,194.38349432813632,B,-65.76896294473525,D,C,B,147.3037312815815,D,C,D,62.37760875907726,34.33966471613949,0
Jewish,Divorced,African American,-149.7343700878828,A,-70.42707510899744,B,13.602015452291116,C,E,D,59.71204972138625,A,E,B,131.17393077107647,-160.9727298772829,0
Other,Divorced,Other,29.840273988483133,D,-93.70108006739433,B,-53.41697084390694,C,C,D,-109.690059018129,B,C,B,45.06510670168594,94.95136755586695,0
Jewish,Widowed,African American,-70.04395698968835,C,190.8793775360979,C,38.09975647352842,C,D,C,8.335738185617258,B,B,E,-117.97899792683563,-93.80789214753823,1
Christian,Divorced,Other,-176.6068941070842,D,-146.71314502864905,C,7.220598761575683,E,D,C,-37.28077052474107,C,D,A,-102.93692918502069,10.64052039718514,0
Buddhist,Divorced,Hispanic,-25.256706668023632,B,107.3347275227984,A,-112.5939738722534,C,E,D,79.10813540096339,B,D,C,76.32803494197039,248.17881976286876,1
Other,Single,White,104.11412054265345,B,84.80702994444371,A,-87.54935068268523,B,B,B,-92.50799255891098,B,A,B,-16.864533917938054,-43.800093401308004,1
None,Widowed,Asian,-80.82784243300085,D,68.19982968146147,A,-18.56044568946237,D,C,B,-104.73794459235694,A,E,E,-140.10767268470624,-104.90665990153032,0
Muslim,Divorced,Asian,-70.2979214508817,B,28.432136401559394,A,-19.43284190940319,A,E,A,-106.15888273607064,D,A,C,89.17319262668526,69.03980391500197,1
Hindu,Widowed,White,-132.53488564907406,C,138.59290040397335,C,-136.86707491898494,D,E,E,-48.00585144411253,D,A,B,-134.2872588750258,238.2071297377804,0
None,Widowed,Hispanic,63.59378596000149,D,-84.00886731298885,C,11.49763088666245,B,C,C,130.23069741598147,A,C,C,-23.298649965369247,80.90080392978088,1
Jewish,Divorced,African American,-12.26036641505814,E,50.28474753975749,B,86.73474444008757,C,D,C,236.97155422312272,D,A,D,42.34224554324839,111.8478101895359,1
Christian,Married,Other,199.69331075490607,E,-17.753176043660183,A,-4.210005165882603,D,B,B,-162.26687661771874,B,C,E,30.44689989859865,-22.83996829658658,1
Christian,Divorced,Black,74.76898125532561,B,47.7871926859447,A,106.4804065838415,A,B,A,-75.25153092348941,E,D,C,-72.98744293036343,-9.628211890701868,1
Hindu,Divorced,African American,155.26357307143766,C,7.103520478126593,B,23.55642030278082,D,B,C,54.56847396141528,E,D,E,-149.0311871750578,66.57675206583036,1
Other,Divorced,Other,86.26963039048161,D,-67.32213803266507,E,-5.18920833375913,A,B,A,-45.42771642464072,A,A,C,-58.79875176283349,-21.654141048057298,1
Hindu,Married,White,28.699683648370893,E,64.54345542946531,E,-61.06958472311484,B,B,D,43.65058228571495,B,C,C,33.83757456139611,-10.892456365805472,1
Hindu,Widowed,African American,-66.7499460177136,E,4.053545532058543,C,13.3305183439173,A,A,C,-222.26276934108458,D,C,C,-17.115031518405196,12.99874405813502,0
Buddhist,Widowed,Black,187.55188130620525,A,-117.85771149069899,B,222.95645815764993,B,B,E,-58.89019162984466,E,E,C,-225.45739484640976,-25.859594098224793,1
Jewish,Single,Asian,2.854641316347974,A,22.51662549776792,D,-142.65665841853644,D,A,C,102.11370888730977,A,B,C,-36.17216917595579,-30.714440455044173,0
Christian,Single,Black,21.517128541100565,E,123.39413874247613,E,34.72712639146048,A,B,C,157.16091613966663,E,D,B,47.860293639627244,93.62560764705214,1
Other,Single,Black,-99.57936231409325,B,-73.71173266054907,E,-47.881531455541584,E,E,E,-50.674080502343834,B,D,E,44.210464068732115,-32.62515267360187,0
Muslim,Widowed,Other,-141.96631155050662,E,119.29755177210441,C,105.70277583827072,D,C,A,-73.85870863932192,A,C,E,-13.457386424914736,39.03919125583087,1
Other,Widowed,Black,176.92578385595132,A,18.503058869079027,E,-124.89386249840481,C,D,C,25.41467683677377,B,E,D,35.33212267581557,-17.383628068093124,0
Christian,Married,White,-21.861986529692505,E,33.43306713969733,A,-41.33829598298424,A,B,C,-105.26325629831912,C,D,E,65.53503452749369,19.43511703406381,0
Christian,Widowed,Black,-23.374823893324045,D,-112.03392689644322,B,-25.560643575149207,C,A,D,23.09938144869911,C,B,B,15.88386493176808,48.76248626178563,0
Other,Divorced,African American,144.86024923431088,D,65.69826861197511,C,-69.42560804930052,B,A,D,31.292140530007767,A,B,B,-139.02515351071756,-212.80989264042677,1
Christian,Single,Hispanic,6.692014617506086,B,-29.614575890348366,D,-175.89468521791818,B,E,E,19.968444832602046,D,B,D,52.83350464453614,-64.14721867694703,0
Other,Married,Other,-12.917241120795117,C,37.19305446471844,E,32.362612389640475,E,B,A,15.87177193507764,B,A,A,-135.96793630583664,179.58246036956825,1
Jewish,Widowed,Black,94.768068573302,B,-63.58599320687208,D,150.75675479492634,D,D,A,97.59818767226943,E,A,B,-83.79258636768918,-7.545000941977841,0
Buddhist,Married,White,-165.5916328210307,D,88.03530459565671,E,-24.214797572254383,E,E,D,24.446492261982165,C,E,A,77.05693794088002,-34.79325800154982,1
Hindu,Divorced,Other,30.596767098645778,A,-73.87396823330694,B,109.25564545237185,A,C,A,-13.144444445557783,E,E,E,-1.120220748432651,67.1752193488661,0
Buddhist,Widowed,African American,-218.47366174819948,C,-38.27953237072335,B,214.14763303475914,D,D,C,-49.53550583616548,B,A,B,-117.3826685486987,108.2219885137204,0
None,Widowed,Black,130.28393061750575,C,31.713768895785073,E,-55.72212419401461,C,A,B,-145.66557459431303,E,A,D,140.99869822841293,-50.48308442930913,1
None,Widowed,White,193.0621304771135,D,45.419980244890944,B,-38.7895592133682,E,A,A,267.4444773899089,C,E,A,-134.0534255060286,-131.2121856282887,1
Christian,Widowed,Asian,42.886651682387026,A,20.983333561418263,B,-144.94721485984016,C,A,B,-28.766440599034887,A,E,D,-104.73845447805168,249.5121397606651,0
Muslim,Married,Asian,-24.746930478604245,E,-11.565512129402915,D,137.7927853159254,E,D,E,99.51821575191406,D,C,A,-71.15818405165018,100.96535399570756,1
Hindu,Divorced,Hispanic,31.00289599034393,C,29.491196092991494,C,118.53683936619976,C,A,E,32.541873539619914,A,A,D,17.496960600703716,119.91491663578574,1
Christian,Divorced,Black,48.45850048574741,C,20.30496123832808,C,-12.708234468671137,B,C,C,-49.76727578040429,B,B,D,-163.04553129089135,170.4638390832106,0
