religious_affiliation,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Christian,Married,-122.54860125542977,C,E,-109.75277447728216,89.72679027530486,-55.025282758738356,E,-19.706720812671957,14.885718772098485,B,D,-123.10677312130932,59.591062180963206,A,C,1
Buddhist,Single,60.46101077601014,E,A,-121.2308357516642,-24.891785553772845,-99.4287507660093,B,-90.2117429144624,-6.790752205720644,B,E,12.769392562195122,32.007602394421895,E,B,1
None,Single,26.43190112066835,D,B,79.97863104208798,-61.66341937331066,58.63309968622944,C,-46.87596896343493,83.25061360382234,E,E,57.44602413292381,-109.80121642637735,D,B,1
Christian,Widowed,130.76522267626828,C,E,-10.7469538329795,-12.15730530542811,-4.306820897877493,C,168.442954783321,-7.495175447140983,D,D,108.40689025269145,-51.58761277692856,D,D,0
Hindu,Married,-9.476001477473423,B,E,-74.10008583306622,-311.88649403758353,46.827816943098185,B,34.49554052449063,-140.45523115962314,D,C,105.4058504753328,-149.136389649031,A,C,0
Jewish,Single,-89.86116261971448,B,E,-33.89389549413948,30.547072989083716,-178.84066722677437,A,-101.90599599712917,-77.44865576672704,A,C,-149.46339508135898,45.68519546462091,D,A,1
Buddhist,Married,-209.3101868095736,D,A,-1.63645461017389,15.365448786799064,-50.87291893375524,A,-17.791263814786333,-176.9351701009454,B,C,82.10709244264372,-195.25307456361287,A,A,0
None,Single,9.405221334567054,D,D,-95.52165780844683,-61.1842890018116,-134.9718054807648,C,-8.754850728030599,215.35876332542387,D,B,7.018705738979331,157.63466659437094,A,A,0
Hindu,Single,35.88582614124421,A,D,30.062266926755004,12.12150257949404,41.85290908745638,A,-68.5991250348448,-30.69445441866575,D,A,178.5102762829066,-4.795683257233516,D,E,0
Other,Single,58.2933781408589,C,A,89.02095169445265,138.1916174401579,-232.80824287408123,A,-17.06425778003985,101.35636097263954,B,B,18.996724651803383,-15.064283196835776,A,A,1
Muslim,Divorced,-219.6033862304835,D,C,117.30536372559774,-70.18296767880572,55.607578126132175,C,72.82250152317246,63.43577661914159,C,B,196.86454752414392,18.45269074257945,B,B,0
Jewish,Widowed,-167.22315509165614,B,C,60.3424898836349,-54.014869150520575,-103.12439795062878,B,-17.71038885611996,196.98475524665798,B,E,-29.710069607863865,-44.572824697371665,B,C,1
Muslim,Divorced,-72.52164935676979,B,C,166.99098663626418,-178.58566367877586,-59.91977806092308,C,-157.95087575423997,-156.29449263132764,D,A,24.580711248205983,-26.615437868057402,E,B,1
None,Divorced,51.99292517631877,C,C,-203.7198226296365,30.083432431011147,-105.39288837776022,D,-114.6194025456212,61.45772008449488,A,D,-95.33695052546453,-68.81401073626314,A,B,0
Jewish,Single,-16.847309201378177,D,B,105.59141017983833,-91.80655381572905,-111.10119503632592,B,-17.946476197231938,-20.8120779729205,D,C,6.973373198876585,31.439616434616102,E,E,0
Buddhist,Married,62.9648506205258,E,C,-25.117977438090968,-74.60450756000719,28.63287437121173,C,-99.03272994997846,39.50104008981947,E,D,-0.7672507290401611,-110.7751173239205,A,C,0
Hindu,Widowed,146.66888567102927,D,B,39.260362519477255,164.42601460046095,-114.23253151272594,C,146.90426537068973,18.147271353552068,D,A,-144.41302243073036,32.18470338441486,D,B,1
None,Divorced,105.96207591244442,A,C,-6.853465948303161,-13.133092377058059,-168.97974016530458,D,-223.88057771115365,84.77722708483805,C,B,3.329088631622644,79.9272471861657,A,A,1
Christian,Single,-46.26605092438819,C,A,-148.23128448546018,-156.5533979849809,206.57578698379012,E,0.6005496804393604,-42.07850636675523,B,E,-60.39714831669798,-113.51117554784831,E,C,0
Jewish,Single,117.35725984656852,A,B,-9.988848343290076,-11.703114369342984,44.413494610835066,B,-107.01252774671917,-12.899674024453702,E,C,-15.257460643106125,19.63468304677113,A,D,1
Jewish,Married,-62.137162005041525,C,B,-92.46102995480703,4.277713680908449,-28.163055924311774,B,-105.46470339431364,-50.67547153863804,C,E,28.5926774764774,-98.71816701471437,A,C,1
Other,Married,15.732441058743692,C,D,-127.52959558685795,136.69172635873693,169.41515493582048,E,104.32823825635276,-107.45467578647194,C,A,80.17400036820156,17.28951896776938,D,D,1
None,Single,-24.88149935905578,D,B,3.376744121137371,74.52264517164356,-100.41798820330243,E,-159.42542272068937,142.10582962461635,E,D,-65.78219055665792,165.65382625196588,D,E,1
Buddhist,Divorced,-129.15085345482495,E,E,145.41106571471957,-42.20240851164442,-15.169103878806684,E,312.94867581336445,-54.156561144109574,E,A,40.810248050580896,-55.772250796263556,A,A,0
None,Married,-103.39315234117743,D,B,72.85927440162232,26.65324902374814,54.754000498154824,A,22.478345947847227,-26.3242744744509,D,E,184.97644593507422,-125.27742559196508,C,A,0
Hindu,Single,36.33174378265475,A,E,-41.80238302985029,-74.74501558481103,-1.5788981911960134,E,-60.304802861322194,-22.66585581913708,A,B,157.43729369973937,-278.4363423514989,E,B,1
Christian,Widowed,25.805803911780888,D,D,-7.170477202295015,23.840907009414188,-82.22656683509291,D,-252.83082411079866,-153.9453482161397,B,D,44.362686775512685,125.45641891935784,C,C,1
Jewish,Widowed,84.68074890720875,B,A,-124.94043902625887,-111.50100558200894,-114.0248238159685,B,-7.039887373749138,36.531284530835734,A,C,-4.354859095178076,71.44107016436948,B,B,1
Buddhist,Divorced,81.94955707295338,B,A,168.50982573556684,42.28584831529273,-53.53311509811064,B,-116.30008486557037,84.32287860649711,C,B,-76.01683633578304,-36.96119918290742,C,A,1
Christian,Divorced,-44.06306945259971,A,B,-83.53302547449152,-77.32015281469165,70.11290999054567,D,14.500763630682883,-68.19174562289128,C,C,91.61854184249283,109.50959786615302,A,A,1
Other,Married,-118.45265267854026,A,C,-84.438434300424,-10.062650691214099,-58.85676486045001,D,-67.42103438713777,-209.42485579257473,D,C,-27.114279412549852,-113.1107149895731,B,C,1
Other,Married,13.603339431966683,A,D,-91.18288014579281,51.74586286250425,-104.50211093661888,D,-94.92452816154484,-276.1113779346126,C,A,68.09559609466885,45.703120029376606,C,A,1
Buddhist,Divorced,72.37462876401021,D,A,171.06822345318793,-33.03202843252198,50.961290934913265,E,-26.832266925557185,-155.5925855819192,D,A,-63.484090531925155,144.21414503581994,D,A,1
Hindu,Divorced,0.7573730177863374,B,A,19.36555544655766,16.79153979980405,-126.44232340754067,C,44.005700289754955,-151.26816532455402,C,D,56.525786670614174,14.874605436773331,C,C,0
Other,Widowed,39.10754984731243,E,B,-42.982748556461594,-82.60205788268664,-90.3914124997959,D,-83.3872846850329,-4.769286025104265,A,D,114.86903076452167,-122.52565016929664,B,A,1
Buddhist,Widowed,23.146128747586868,A,A,104.64050978191399,-77.92059113711414,-236.61055741833474,C,-66.7447456434445,-90.3981065322205,A,B,-81.21026274892164,146.68821408783322,B,B,0
Hindu,Married,-37.596062761845126,C,C,-9.30776080916265,-89.27493028172073,-154.95348154337444,B,63.30093242570287,-113.04897336321534,D,B,-24.083755033231906,55.981277708838526,A,A,0
Jewish,Married,-112.55949939808782,A,E,-48.1576991391403,-5.897567187169858,49.84963039047986,C,-70.79363158594116,-109.58271977340345,A,D,-10.436048931174954,59.871638565614795,D,E,0
Christian,Married,107.0434044240844,A,D,101.34997764782887,188.36123136626435,-108.74911989704566,B,-50.81811146666952,-234.91217422631286,D,C,169.7041003653198,-127.40687209476107,B,E,1
Buddhist,Single,-73.85027991896538,D,B,135.13967415053608,-46.509749337698366,34.72143298245881,D,181.32188289101288,5.235670855573398,A,E,-67.45572571882707,-147.08711069570575,A,E,0
Hindu,Married,-141.646963306345,A,D,80.7584689996163,97.85264800862164,-87.51626849848125,A,91.71801197066858,-139.83070746023537,D,A,57.05692481599712,-28.023267220723096,E,B,0
Buddhist,Single,110.97417112866393,B,D,-35.27294331919741,-128.27429618188552,49.399841664371486,D,-1.6545927299292624,108.3847446081266,D,E,37.49942809369148,123.36399084542195,B,C,0
Buddhist,Widowed,55.121950860793014,A,B,-191.168690496759,-94.11497197242525,66.11681708841711,B,-64.16431354432459,236.23329457885535,D,C,126.09110614976275,-52.34704824532939,C,E,1
Other,Single,20.66282203993766,D,A,-287.84598224947,36.623799152817085,53.375566855219205,B,104.90882103549566,-4.235061630415763,B,C,-110.14851636861039,168.32846087116138,B,D,0
Hindu,Divorced,178.4339675377834,D,D,-32.349275074128876,15.40392561478133,-121.76499725607177,E,-14.94301399298392,-48.358633351368915,A,D,-11.216816234216461,4.99429517771604,B,E,0
Jewish,Divorced,30.818944258908704,E,D,-86.99939030903667,-79.36502631049633,116.06886596653416,B,-54.09031429615734,-70.98885922847192,C,D,49.802685442775406,119.19811072184135,C,B,0
Other,Widowed,-69.00634540304134,A,D,139.18140459258348,-4.887080013071754,42.76431316109251,D,47.54344767925843,-35.24134375273564,B,B,0.9712839135728593,-63.69559967662944,C,A,1
Hindu,Married,86.68903086829222,E,E,-83.90375299561228,-53.91476074908626,-93.38384838580062,B,173.81706708392278,14.238655194819763,D,E,0.7710450018544585,-111.38556010183775,E,D,0
Other,Widowed,37.68816030603255,E,C,-34.75908451738174,-75.8514686892107,5.239503676534079,A,62.17363376063828,96.88794863589375,E,B,106.4181366500659,120.81492690951501,A,D,1
Other,Married,12.85168616581053,D,D,92.84248006476197,28.452698666424165,-47.33798620294234,B,21.42627134093278,55.232898952237555,E,B,-19.827076951755203,-113.58251190536319,E,E,1
Muslim,Married,-88.29356956075186,B,A,-86.49581189757211,117.22317888848161,53.10809985283919,E,-73.5113990371398,-157.89960994225035,C,D,27.73736927963999,8.302797167243057,B,E,1
Jewish,Widowed,-25.529653111789713,B,C,129.29732440907637,65.77849027507818,-147.44615638504985,B,71.39577480754647,-60.71629905762003,A,A,-38.2498406722123,-27.85414089510303,B,E,1
Hindu,Widowed,153.62167871237222,A,D,102.18600341913924,-3.6797134481065608,7.503829399377677,E,-23.93471843066799,123.79186029368657,E,D,-64.13338246427102,231.68233386602193,C,D,0
Muslim,Single,-111.78085853854598,D,A,-130.93741321589235,-122.24961704535689,49.2261671188659,A,31.410841965825576,-7.116830523152326,A,B,-45.83656736904534,56.51709400126751,D,E,0
Hindu,Divorced,-82.08264341350875,A,B,66.50610949365898,-157.3917112893666,15.841420223848187,A,-253.70112950917533,-94.81920080364897,C,B,31.323910468488915,121.92241257032374,D,C,1
Jewish,Married,-90.86355747061505,B,C,-117.01812105961784,-98.77179428343739,-38.39595483314216,D,-156.37083649739077,-44.69358286520457,C,B,-49.2852778579741,35.67977808693208,D,E,0
Hindu,Divorced,55.992882077448705,D,C,-131.42429242348524,-44.649253413631094,-120.94497211835214,A,48.05958244021237,-35.70257055584464,A,C,-109.39629540462138,194.65657242893278,A,A,1
Buddhist,Divorced,-54.692833564317056,D,E,-20.827917710206375,-78.4342961103357,-141.12311776225698,D,24.13598639725499,241.51207361810629,B,E,150.7943247146197,-31.49734758073286,C,B,0
Buddhist,Divorced,-44.63528976432536,A,E,-139.42419278631982,-134.69295032086924,16.31915066658459,B,-48.07769651257973,75.50755248681894,D,C,186.31041713881305,28.264699845569197,D,B,1
Christian,Divorced,20.84945666750625,A,A,-9.226222304433312,6.57688585452548,-11.277710925592462,A,72.73949543829667,-15.051021512183398,C,D,-137.51118190979633,-137.40658128202924,B,C,1
Hindu,Divorced,9.448795719654363,E,C,12.133602821962793,9.007622388764329,-35.879176129734795,D,36.50834874943259,-20.75141156299608,D,A,25.804488534255114,-8.760028140371002,A,D,1
Buddhist,Single,127.87310193220173,B,D,213.8943773833558,-87.52631387837087,-78.5347234621231,E,-127.79717077751036,159.2063621378103,E,D,34.161919465351446,260.10500673313567,A,B,0
None,Divorced,-11.674010777853798,C,D,-74.96979451311444,64.27637280570255,-66.71873105175756,A,-46.220438807878814,-102.09689140489671,E,C,89.67474459726591,107.3321288861483,A,E,0
None,Widowed,35.43065242131726,B,E,100.93941361524782,-6.9410152402207475,168.02656098718893,B,171.2233952479692,-125.15382288127026,D,B,-15.010727172027508,135.8053589913747,C,C,0
Buddhist,Single,-73.74299670241115,D,E,-135.1769467914971,297.59134387675675,-18.2957319571736,E,73.93464003753397,53.53320807767737,E,E,102.06390716127116,70.10119311710477,E,D,0
Jewish,Divorced,-15.850615947942126,E,B,115.22716116340754,112.68678460899501,31.592300735462963,B,84.57249661485874,-89.61245803304095,E,B,119.94550607615378,43.425157903943344,D,C,0
Hindu,Divorced,-46.25723208240407,E,B,96.90001924773156,25.406980681223455,154.65511132013904,D,302.64506821750024,125.87233057805014,A,B,-2.3197444548465516,-72.46040897884268,C,E,1
Other,Married,-100.1775545116054,A,D,163.0642405710278,117.03858205321107,-33.376383515250254,B,56.94109614449473,13.718886458406725,E,B,-165.1019837319466,-88.73162442016948,D,A,0
Buddhist,Single,-37.10894057219091,D,E,37.85327035819076,40.65230421339614,20.069581158082812,C,34.38396341960107,44.493267773974345,C,B,91.53772856174628,-57.093933541325256,A,C,1
Buddhist,Single,-163.87015157982285,B,C,37.88420436517054,-101.2914222623504,101.06880669141856,B,16.57181703547314,-132.652338765712,B,D,-120.70933348970038,-13.020621843248323,E,C,1
Christian,Widowed,118.87229439238641,C,C,-197.40101869090478,-189.01249049113017,30.238994949154407,D,-60.14601013274563,40.14083968168085,A,E,-127.67457303227894,72.31996138831053,A,E,1
Hindu,Single,-76.7325509652497,D,B,-21.591448648801133,-6.947434032714589,31.593679687792513,B,-17.54296979039508,-159.99592391045582,C,B,-97.35032314734676,91.68958938715016,D,A,0
Christian,Widowed,-93.82502641380646,E,C,71.7998324832176,96.81652864711687,161.68127788987908,C,-8.873162354139883,-86.4569559761075,E,B,-50.7548563941258,51.62471944767205,A,E,0
Muslim,Divorced,-60.769901573967154,E,D,-87.20657129266395,-189.7955261518185,153.63880660912093,B,-55.835162103731165,-113.98202003229343,A,A,-267.6647074647504,62.64809669552008,D,D,1
Muslim,Divorced,116.39340875650473,B,D,58.97502891687621,-14.763753758141842,188.11956319575734,D,19.39133194991774,-146.88519238177042,E,E,46.65542656978341,-18.199264271694496,E,A,1
None,Single,-130.34715061475237,D,E,-39.016246814624076,-70.59810676464258,36.31635211259493,E,111.66895206212214,105.45636298786494,E,D,-61.5757731286672,-52.53458019390885,A,C,0
Hindu,Married,30.56371275281923,C,D,242.7747315348762,-95.80607500909078,10.091166693596913,D,116.95581824051347,-41.78419690119319,A,E,15.629796896728578,-5.016284164079483,A,B,1
Other,Married,25.594575828335998,E,E,-126.57626455695818,97.28023904722924,-147.07008720346633,D,84.08573178507041,155.14476117780376,A,A,82.33374606700795,79.26307798982764,D,E,0
Buddhist,Married,50.03405177556958,B,C,-43.400396941247976,103.15925978517339,-17.437057532243557,A,8.73723323396166,30.058129902541538,E,B,-189.63763773751546,80.32964120795543,E,B,1
Muslim,Divorced,43.27623302523444,D,A,-45.38680323327029,64.56838728832726,76.30637217826693,A,-57.4738908971436,-54.28964610421119,A,D,50.228637325686655,-22.989774899374634,A,B,1
Other,Married,145.67835203176836,C,A,96.96218632023333,21.822460869828873,244.22900145226413,D,-210.24317303534065,106.77292660474879,C,E,128.89911062466751,11.252319498301974,A,E,0
Jewish,Married,-85.2144319789765,B,D,-77.13827603539576,-35.55092406026033,164.03335723447324,B,126.4810765161894,-44.017235593478475,D,C,22.23200657829585,10.153357276965663,D,C,1
None,Married,13.01997757064548,E,B,-3.3462078527290826,-143.00861846876936,-54.92485037504693,E,-38.86407398571414,-54.79372499952449,A,A,46.53383895772915,103.30738879158272,E,B,0
Hindu,Divorced,62.18972346519423,A,A,2.002957540832973,45.71765294400264,159.48140780842797,D,95.3443423407542,-81.43499754988916,A,D,94.77687900836165,-132.60870563921506,B,A,1
Muslim,Single,129.44465506865092,A,D,-76.32683518848695,-64.22590593330398,-27.50122947369323,A,-14.591021791555866,-13.862240535031248,C,D,-86.22721274602586,36.39075525362146,B,C,0
Hindu,Widowed,-109.01026677028408,E,A,-86.47915374697902,77.32625926835925,157.60365928233162,B,-108.77862484956276,66.70279129060461,A,A,38.704924429818455,158.87442665309297,C,B,0
Jewish,Widowed,89.71266439556803,E,B,-47.75757471949396,-58.86675477759592,82.604979339989,D,43.844766983058825,-30.330250151185812,D,A,-55.14495527247979,16.26790879007553,A,D,0
Hindu,Married,45.77274294383409,E,B,-228.42202158635274,-303.89059354637783,-18.414655670709234,D,-52.39737155146717,107.94079316601693,C,C,89.60125947038455,76.37917048050586,D,D,1
Other,Single,-27.04849793768759,E,E,-8.793687008828206,-80.8209262795345,-160.9458398001404,A,-62.18122468963022,-34.33480750430213,D,B,-173.83711294629654,103.42891895873116,D,C,1
Muslim,Divorced,142.59938316237023,A,D,28.01196791764486,-350.42647816241674,-70.36570790325369,C,-10.82980588339971,110.75042368946953,B,D,-41.63583039499228,212.0378177320291,C,D,1
Jewish,Divorced,-16.711962241518915,D,E,229.58397278622397,144.16603106802646,-58.63368644488462,C,131.27319418098708,115.62676147959596,E,B,-99.84339298283561,-42.14991635091662,E,B,0
Jewish,Widowed,-89.07848137397963,D,D,-214.46115157627088,182.07986783154738,-69.77294988492538,A,-136.5180831115322,-50.35542705382735,E,C,-172.65693460595125,10.602525846446856,B,B,1
Other,Widowed,37.3287025059278,E,E,64.32947791434387,220.67401355481783,-24.808690432779173,B,-146.37933283410877,-68.61530038590018,B,C,-9.056497555424317,-32.2768606933665,D,D,1
None,Married,87.36474957713595,E,B,115.81937036290519,-108.61430434599491,-26.750865559145034,D,43.47364755641686,124.2842222027249,C,B,-173.31085379484722,-125.83156800719497,E,D,1
Jewish,Divorced,29.996616230873258,A,D,113.53352451291356,109.11545558403044,55.02774519901635,D,168.4245502680034,-54.08374944507622,A,E,-164.87420119461515,19.495378680662096,E,E,1
Buddhist,Widowed,138.08177381092855,E,E,-59.485408607572886,-110.81263984366099,-238.48377514240758,C,-83.03975230097332,-85.35286852206634,B,D,72.21565273790253,25.667034312302867,C,B,0
Christian,Married,-73.78846819118456,A,C,-161.66535512585807,66.1708091251442,47.52439807258868,E,-45.497735888809224,-63.096470153313774,C,A,12.15443143755596,-195.0890971845366,B,A,0
None,Single,-105.93771596006138,C,D,171.98261836056204,-44.76824866714143,-61.87690722202173,B,-117.18818257111114,-65.13177098298286,A,E,178.87373460068733,31.83294029710688,B,B,0
Muslim,Divorced,-40.38455333373254,C,E,87.38831418426244,-28.773895130129535,-44.188535256150466,A,103.36306420746095,75.54235065833892,A,E,136.9683895360071,162.08353838095582,E,C,1
Christian,Married,-10.965443584836613,E,B,-33.68197333193568,-101.03553850087499,-79.75822405751126,A,-146.29702665411565,-62.620119589414614,A,D,112.17902774042392,-15.959578357598797,B,E,1
Hindu,Divorced,-135.44940391583435,B,B,-19.400068890766306,24.23361292283263,266.379487031135,E,-50.83021274547066,-118.1009569264742,A,A,80.80277906303792,26.09950584286019,C,B,0
Other,Widowed,-39.844183971646295,D,A,-98.6773805395092,-12.11638459420577,-59.683228600114624,B,-57.07920714618982,114.31190151688652,C,C,60.03624455708194,-43.24707653366997,D,B,1
Muslim,Married,-157.6696940902611,D,A,-27.13722326271591,-122.4551283708808,-46.741022996396694,A,2.4326149773804726,13.00644283974667,E,E,40.09970956888861,-48.74186472729923,D,D,0
Christian,Married,69.61815494536206,A,E,-37.41823115616833,-63.85519689706962,87.19104864198194,A,-124.11548337413862,237.82529869076296,B,D,32.91595671710137,180.75937135246986,E,A,1
Christian,Divorced,-151.932806013827,D,A,-234.89313422519533,-38.45309698525283,-206.0829659399935,C,-47.886240480289885,-131.48622094518686,A,B,73.6406866018473,40.63774677173207,B,B,0
Other,Married,139.0785162346804,D,D,66.18546204729022,188.19209156397358,91.09513613690385,B,-28.56526833544703,-81.84883372679914,E,A,-62.82387043365378,114.995749635577,E,E,0
Other,Married,-118.91512691495736,B,C,-12.319486924543357,-107.88715209229926,-71.69202708232957,D,-138.82588450660265,143.854681635995,A,B,-9.873389987673068,-154.35984868884256,A,A,1
Jewish,Widowed,0.65794827769907,E,B,-39.44658237001741,-68.78674550166166,34.53153752094521,E,104.17584750856051,-12.996794505996812,D,C,51.18967467126975,37.82433049244779,A,B,0
Christian,Single,168.45846026273838,C,E,-41.6241846797707,-81.39188618018834,-20.714859372756955,B,-76.92684705912114,-90.97892472019426,E,E,-101.73180147574716,-73.24684711480619,D,C,1
Christian,Married,-91.75777581805303,D,B,12.777212766982768,-162.85419702563487,-58.56119234826277,B,-62.32511797913123,28.418874209454824,B,D,75.28358687002722,235.29834402979014,B,C,1
Buddhist,Divorced,41.43070200701657,E,C,-140.30763358557257,-127.74532259306206,-145.77759333182354,A,-63.75879998469648,152.71949916705216,E,D,-65.88835521197839,93.93153930696178,C,C,1
Muslim,Single,-65.51696717667011,E,A,152.01717566780218,36.00858544548625,-146.6650466197204,E,-135.0275263096902,126.56168887784793,C,C,28.702295029142583,35.294097871843825,E,D,0
None,Divorced,-87.04830145508787,B,E,89.8177212426214,-100.95791563210383,-119.56361324395107,C,-55.602886697234446,4.905922070494217,D,E,-113.75470964609184,-72.30885240392688,A,A,1
Muslim,Widowed,-37.38759023848752,C,E,33.02391047182991,-229.57651866476726,117.90826819698898,A,-76.65263517107677,213.8355012049759,E,A,39.23849258930328,113.15729286456362,B,B,0
Jewish,Married,-118.21502059202919,C,A,21.791972320501756,-2.5028788893695464,211.4429780701655,E,236.2406720259962,-3.2582242321436548,B,A,-98.31817823062241,-36.49737409907468,D,C,1
Jewish,Widowed,35.689493012473136,C,E,-115.38236385895524,-23.704010934888622,9.325625296346232,B,-31.26824490199927,69.46313871393369,B,C,-172.10991355213275,91.43512084804516,C,A,1
Other,Divorced,130.46393755261218,B,C,-206.1368267901879,-98.03140137814715,-59.628885293522536,B,-105.21110144998393,-50.47947912381608,C,B,-128.1460427333298,161.5625522586426,B,B,0
Buddhist,Widowed,-82.06899930947729,A,E,14.507423285456717,-58.35429457708159,-156.112024108123,B,89.86925752521238,-8.480017440187547,C,B,-47.89051511852449,-134.44604735129923,E,A,0
Christian,Single,-218.70922055583773,E,E,25.337719298835143,186.7286878674295,19.285892344371458,C,144.72527796254923,107.0906313203898,C,E,-7.926684284043252,148.62867181704513,B,C,0
Hindu,Divorced,12.131621467764528,A,A,-166.994421216721,3.5026604477827754,-114.75334736884774,A,2.032140974502833,2.5328710455694377,E,A,-38.45892382448497,-35.797389603246174,D,D,1
Buddhist,Single,69.371158108658,B,B,74.6260533027724,-49.641295624518776,-23.658529371652207,B,54.58031041011182,187.7687027422013,A,D,-73.78314908404616,-11.456385281463323,B,A,1
Buddhist,Single,-57.095756406681275,C,E,-38.969536044619694,47.94212879080614,-75.42550715420799,E,38.26028365073053,-58.53313156657898,E,B,52.10078915426306,-49.30126193211504,C,A,0
Buddhist,Widowed,67.25012697386529,D,B,-92.41229198485938,-50.240288989258296,-90.25698115751003,B,119.92700477657681,20.043588009327493,E,D,-15.763931807079077,-115.57701492840513,E,D,1
Muslim,Widowed,-92.092985551965,C,C,-93.67999451950962,-162.60335364396582,95.32999916388918,C,130.51696912759465,299.92102034092596,B,A,127.07948394478079,159.0019987065905,D,C,1
Hindu,Divorced,-105.90183998482743,D,B,144.06680275656464,53.70101686394384,-113.50510496761032,A,-89.36962712827163,-68.32525388244001,E,A,28.243782017187076,-1.536829664968663,D,E,0
Muslim,Single,192.13385999626948,A,D,-24.366414820827696,-220.0708065568396,-252.00522678063254,D,8.449736314622994,113.96439076681253,E,D,129.95477744110227,-1.1280796339826307,C,B,1
Christian,Single,25.222542311745126,E,B,-63.28053561365516,-18.191905653053695,-19.08870044982413,C,42.783529595353656,-62.41024268534879,E,C,-126.21661591704934,149.8078822303944,B,C,0
Muslim,Married,70.5784096930081,C,A,-77.8054706986704,189.08232151701725,42.45222774490435,B,31.40283223741459,-33.49946879543996,B,C,-91.56019322816056,82.65992269704422,D,B,0
None,Married,-88.45945681082806,A,C,381.9119408885311,-105.75673012172813,-12.836359030116629,C,-47.97789126828803,-64.99926331332946,B,B,-68.92156767711168,-18.154485354466733,B,A,1
Muslim,Widowed,33.470784323145814,E,D,67.16386762843123,-28.3818869918907,2.24261747378963,B,-64.09999073071523,-184.64885361295097,C,B,-81.53350336367855,124.43914339758217,A,A,1
Hindu,Single,-2.3851462632743408,B,B,-112.23967429767589,77.94816116761343,-98.15098129734143,B,-31.843614445774453,-23.658006297416975,C,E,-92.82223526755614,-55.9877369815778,E,A,1
