age_group,sex,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
36-50,Female,Non-Veteran,E,B,4.594312711403647,38.432444663798535,-26.15621060508356,-34.72860856058118,C,129.80244866149485,-151.3713765262121,B,A,0
18-25,Non-binary,Veteran,D,D,103.84081893925912,-12.091952943629563,-22.385382784644367,65.84554165803992,E,264.5954882440388,91.4476807825179,B,C,1
26-35,Male,Non-Veteran,B,A,-81.28234406628782,112.58536445513083,-130.5161228440244,-8.083079252376997,B,-57.954787542126496,-11.049266153685927,B,B,0
18-25,M,Non-Veteran,C,C,-75.63911361276115,12.392068647080091,14.177163535895856,28.14522537146489,B,27.261551939723283,-74.48665020000801,B,B,1
18-25,M,No,E,C,-139.16038011510307,166.3851285328685,-124.48829340980431,-124.680988403072,C,57.29936501791969,-156.36832840035038,C,A,0
26-35,Other,Non-Veteran,A,C,-114.76608551263077,-19.744782512760324,-45.22166199450904,-42.64693599497949,C,141.9685860097491,2.6858452171894127,C,A,0
65+,Other,Yes,A,B,-5.270925218957709,15.10130331702119,26.231877984741388,-78.41916491006984,C,92.96719971647818,-1.4130074945476485,A,D,1
18-25,F,Non-Veteran,E,B,-1.5867849677802293,-31.666251457707638,94.7129783664043,194.1996368970563,E,-50.48408879658651,-110.13165576783439,A,B,0
65+,Non-binary,Non-Veteran,C,B,102.50959058994783,-77.21019040751061,-120.5986571846039,-21.20001723129094,E,-123.91752960759848,-92.6150424257776,E,D,1
65+,Non-binary,No,D,B,-181.01045574253916,3.3818196522888604,17.253689285084292,-140.1458095011643,D,-136.19111172355295,11.978126493206556,D,B,1
51-65,F,No,A,E,157.94514893794164,-170.27194650303258,-52.18195573185292,-82.11732488463976,B,-52.319048089804745,61.84715311023269,C,B,1
26-35,F,Non-Veteran,C,A,-251.5628871804352,92.56101031662628,-69.72608164918206,-88.99843237219537,C,127.47493685857789,-94.68404319338447,C,A,0
51-65,Female,Non-Veteran,A,C,80.78399136970424,8.501088854899065,-142.39205467968742,-140.04100304517377,D,46.3558487370467,151.79876525180862,B,B,1
36-50,Male,No,A,B,-68.76374601330564,6.788393189568111,31.14217401404539,46.03560824398088,D,-12.37842764453781,31.545947560411236,E,C,1
36-50,M,No,B,A,-152.37668072799042,55.51066624654042,-24.18484521555055,46.47999517530103,A,-156.7664814477315,-106.99687348001521,D,C,0
18-25,Non-binary,Non-Veteran,D,A,-166.2422414678297,-168.22667484869348,-82.07010391279434,-130.27720238943712,B,-48.3396943163495,101.92563633045685,D,E,0
51-65,Other,No,D,B,-34.87397087331654,19.973876442695538,-161.17927957380144,78.11584765756746,E,125.14927785062878,-42.87971793910357,A,C,0
65+,Other,Non-Veteran,D,E,38.92097194716666,-135.80699161445477,37.84636988980291,112.16031911328595,E,-187.62201948292602,-112.83649783437791,C,C,1
65+,Non-binary,Non-Veteran,E,B,72.94217600501301,-29.82791135270072,101.26428063131883,85.12180082486658,C,11.215127613069969,-92.20117206620426,C,E,1
65+,Non-binary,No,B,A,-44.213462515785665,-79.19851695255129,-21.499394593382924,102.15558387846482,E,-35.414425950701336,69.4919370093635,A,B,0
36-50,Non-binary,Veteran,B,B,75.106126262278,-66.31033528186589,81.20267341100592,-67.95112979310561,D,-42.82878952421471,89.83180756185209,C,D,1
26-35,Non-binary,Yes,C,C,128.5342133119839,-98.14447384009397,4.17637320230952,86.17086081614379,D,-106.52533393798518,59.87133480444794,D,B,0
65+,Other,Non-Veteran,B,D,-140.55887290699545,16.626805714841872,-116.76648853309568,-56.551311106883304,B,38.763743124409544,-72.34718010181811,B,A,0
26-35,Male,No,E,C,-147.87515273947892,65.10879037962876,-123.3577637419389,-106.4487298927075,E,-134.28068877229452,185.18360167678708,D,D,0
18-25,F,Non-Veteran,D,B,-74.99604084902447,61.562056426277444,-96.5459917066589,116.90173903526795,B,29.558893322033402,86.2923416151069,E,D,0
65+,Other,No,B,A,64.54366479758853,-16.130656750851603,195.44462362653894,-177.713444295383,E,46.949708122538624,-124.57628182327392,A,D,0
36-50,M,Non-Veteran,D,C,-248.12364123060036,54.05169608149142,-60.16038249674644,-18.580036839098298,C,74.85589427136638,-164.87172861841836,C,D,0
65+,Male,No,A,C,94.39405779284087,125.82807760334052,-50.14923855370831,-60.242965317365005,E,-72.75420003660057,0.27712914323893273,D,C,1
65+,Male,Veteran,A,C,-126.46894987319821,-88.30953697865593,143.8201781064251,52.461033076818495,C,-107.92423061714732,-33.23328067713271,A,E,1
65+,Non-binary,Non-Veteran,B,D,95.72773624134197,-4.258332133280277,-144.18575380192237,-1.1576805972877282,D,-108.76977244072282,-23.166319115607326,E,A,1
51-65,M,Veteran,A,D,-2.9382669495651266,53.6914723265777,179.38798499229017,211.30976554912704,C,-69.64598603031568,-45.66431725905238,A,A,1
26-35,Female,Yes,D,A,53.41751088733348,131.3100164275373,-36.75683581008214,151.75310184705876,A,65.51012572510452,72.64624873524419,C,C,1
36-50,Non-binary,Veteran,C,B,-28.428445732423363,-168.26782853898956,-103.13209303485145,-56.73780135506016,A,29.587743598839218,-48.06290973457903,C,C,0
65+,M,Veteran,E,C,-38.07162687156535,-145.70979562624518,134.73516952875235,-33.85039603291531,E,36.68845876445191,8.331378857477043,B,A,1
65+,Female,Yes,E,A,-1.9468450543205253,-132.08748703073312,61.93831832919723,53.73518920158523,D,64.81246627029273,-16.986194654346942,B,A,1
26-35,Other,Veteran,A,B,-4.548984564929947,-85.4222824933138,27.045717421952364,-100.39632583800886,C,-3.078386372299928,-82.43809523683971,B,B,0
36-50,F,Veteran,D,A,-17.534150227057427,-165.44126837499658,57.12759735104864,-80.73510749011572,E,74.6551613467356,73.21170731495592,C,E,0
26-35,Other,No,A,B,42.4023093684768,-150.0193144557083,-165.87807335200603,-79.88027911957847,A,-81.52061667796937,134.83447050287634,A,A,0
26-35,Female,Non-Veteran,B,A,19.9425313996965,169.12917227686708,-37.25641696962807,4.598042076751816,E,-268.82218646379266,-100.71213206889456,B,E,0
51-65,Male,Non-Veteran,E,B,-15.445664854613113,30.993128534440384,-46.38545443754259,-17.72858361986393,E,35.5569971967211,-81.41989523758879,D,C,1
18-25,Female,No,E,D,10.322677219508748,-80.72145300087418,-51.340914842584255,140.63727217274837,A,57.68175017078432,-12.847212147672025,A,C,1
26-35,Other,No,D,C,108.84223481943462,-44.16474420344285,47.8508241462746,-143.87875310829548,E,231.80511054624927,-43.627244339071105,C,B,1
65+,Other,Yes,B,E,-126.5575932070349,-105.63903322779926,38.19829972494258,-12.89027230983394,C,63.404553900539064,11.258673454633163,C,C,0
26-35,Female,No,E,B,-133.6970019939959,59.163870270087216,107.01218812906998,-95.83191015761858,A,-40.59017905193287,68.38522610410463,D,C,0
26-35,Female,Veteran,D,C,128.84198218270893,-142.7611656006062,-9.018602070838028,-60.86055154252021,A,-27.180034380461755,57.996335967123855,E,B,1
65+,Other,Non-Veteran,A,A,53.26991177735335,-38.38878348624527,-105.08644533329272,116.07296328856943,D,107.89801576411055,75.04633133006023,C,E,1
36-50,F,Non-Veteran,C,B,16.252175972394994,-25.377481069781,51.35468496154023,-141.66537724491798,C,180.07178253384845,38.32514874060905,B,D,0
18-25,F,Veteran,E,A,100.69641770906046,107.88285558777876,-183.00575546765853,38.140843317910445,A,-23.271422751511412,-18.526060163486967,E,D,1
36-50,Other,Veteran,E,E,190.12488651380036,57.13729482281741,21.009523403474283,95.7855924077649,D,65.93908305691217,151.0210541014301,C,C,0
36-50,Other,No,E,E,230.08249541499407,-160.79595352100938,56.104255303282535,39.150030309080286,D,45.838599686639014,-3.408768862821094,D,A,1
65+,Non-binary,Non-Veteran,C,C,-84.00794997661652,54.64926032472705,193.4971249485673,-10.476440386192731,C,56.31507354205536,-4.0723733540961256,E,E,1
36-50,Non-binary,Yes,A,E,14.013093095706653,-180.17151681841744,-57.904301837535854,15.373469290091474,E,112.05073009808702,116.79419072589153,A,C,0
26-35,Other,Veteran,B,C,126.53615968329144,-103.50834044138824,112.5681190960204,-62.0897470632244,C,-130.28440555212507,-7.693427213708021,A,B,0
51-65,M,Yes,C,A,21.23559892689969,62.19624615213384,-34.328983673712884,155.94164117438075,D,-89.44235363994821,19.817851759359737,C,B,1
65+,Other,No,C,C,10.553639305367746,-23.761718362584244,-9.422842704159045,105.54897256273006,A,-132.87800078744723,165.6407619961682,E,D,0
65+,Other,Yes,A,E,142.42397088408268,-117.89892095916076,-85.00552067608703,103.8890883548592,B,48.17941926743053,-34.76380773794773,B,B,0
18-25,Male,Non-Veteran,A,B,85.16451223319984,-44.23719636556745,34.06573138392759,162.96798311464497,B,19.65455184401417,30.62452909565757,D,A,1
36-50,Female,No,B,D,249.2091694887818,-112.48176776091283,95.046223924351,132.12476955303495,D,49.13666663030713,-104.15350984315697,B,A,1
18-25,M,Yes,E,C,-3.93256650231402,-71.70622942912466,-31.85308607876157,-53.21835989938004,C,55.303254058127806,112.34370301170394,B,A,0
65+,M,No,B,C,-17.516058306857595,3.248780506540255,74.31189689948118,20.52264227502381,C,-111.69579366930857,-52.46391593919591,E,E,1
36-50,Non-binary,No,C,E,-194.5580921749723,-163.42269650001643,62.0828775213076,-25.001074937475664,E,90.84107180714679,-63.29485092247897,D,D,1
18-25,Non-binary,Non-Veteran,B,D,49.67386561695651,61.47425211237832,-128.97890769478877,-248.44613051747112,D,10.05561801994146,9.771555197329356,B,A,1
51-65,Male,No,C,D,48.355328949210616,24.971654284715648,-34.20529965525232,-10.116065159282869,A,88.31246608480573,-178.19860595174978,C,D,1
18-25,M,Non-Veteran,C,A,122.83932637558867,146.02447150806591,165.83114736501074,35.010702745134516,A,-173.3108145380202,14.10682466049174,B,A,1
65+,M,Yes,D,D,-160.1154726143787,-109.38533031610493,67.0576967378233,92.7126567317452,E,144.5784345514919,-10.439656607811024,E,B,1
36-50,F,Veteran,C,D,56.20641038518164,-57.955347215689116,63.83021490876172,-215.09499828432826,E,-15.359569797712776,5.762587493934874,E,A,1
36-50,Female,Non-Veteran,E,C,-28.961302768123282,-22.37238964620272,82.65258491194078,47.71264329735579,B,69.43772877648242,-37.08978480355138,C,E,1
65+,Non-binary,Veteran,C,E,67.5134760703673,164.65040609293385,49.897306146107994,34.662759721946266,A,62.56551963387458,-85.12704380932539,D,E,1
26-35,Female,Non-Veteran,D,D,72.79414228780003,0.983733620906343,54.36886375398659,-82.05294307500031,B,-260.79755637186616,23.665617070850146,E,D,0
18-25,M,Non-Veteran,A,A,163.69464170727497,-61.17000204598955,56.837723825313816,-3.7279583500630022,A,100.38610365451119,-68.32466655207857,D,E,1
36-50,F,Yes,D,B,56.80542672011523,98.16908309750416,123.16816431862134,-157.3795258670087,D,218.35546384105368,-28.270080319475845,B,D,1
18-25,Non-binary,Yes,B,B,-54.6420603275314,26.416632707185077,104.86887609925111,77.77985734987297,D,-104.76667425813623,43.59803693911014,C,B,0
18-25,M,Veteran,C,C,-16.095351278523022,88.05119359245242,-76.13281586334173,-127.40473206533277,D,187.1198256886859,-52.12268162054916,A,B,0
51-65,M,Veteran,A,C,-1.0365639892562526,-38.26291098934125,64.15789436220885,-81.09701411620375,D,-77.52553725106385,-134.5245503140531,C,B,0
36-50,Male,No,B,D,-18.574490383301875,180.35375230122938,91.81515044458477,40.4201215336181,B,-156.55925241471033,220.66274068053465,A,E,1
65+,F,Veteran,E,C,-5.529479181939521,36.305374399821346,-91.8438295391649,9.918247450031005,B,3.746252214601446,-48.947522420839256,A,A,0
18-25,Female,Yes,C,B,-60.65754005754568,56.71064385740118,31.670042258306,-102.349783526117,A,-118.24232204264173,2.299513364386003,A,A,0
26-35,Non-binary,Veteran,C,B,114.26395577161237,81.17534897173941,-21.37493500492994,57.23965250965384,D,-121.72895745527256,8.933994365839249,D,C,0
18-25,M,Veteran,A,E,93.62693038898362,1.777057101733636,69.73894821457338,-111.21829065160517,C,-143.26910404913414,19.91884208650059,D,A,0
18-25,M,Veteran,B,D,17.845100724519806,-124.93400703414838,24.670887505411265,290.0147596322729,D,-142.0851299800699,73.7546693490434,D,B,0
26-35,Male,Non-Veteran,C,B,-16.133284037559005,32.0488700247303,99.39780471511799,29.024402074390753,E,-70.04864840608967,81.46816548661428,B,C,0
36-50,Non-binary,Veteran,E,E,67.92613234996557,-115.9772208020454,-58.57426049979826,86.86766625304173,C,143.88613323620928,34.98462615416507,D,D,0
65+,Female,Non-Veteran,D,C,-210.8887123228613,32.13608101478051,62.529466501098675,184.0015267342384,B,-50.33024252460741,94.41141637731633,A,E,1
36-50,Non-binary,Yes,B,E,105.3442113638895,49.188980678159346,30.48772701713101,-73.03812816935748,A,-18.422927640185076,-12.074630911614493,A,A,0
65+,Female,Non-Veteran,D,E,16.83620220413538,-55.026888401600004,-191.36604005036295,120.77860255568898,A,-187.9345058573078,-116.40028553697806,B,C,0
65+,Non-binary,Non-Veteran,C,C,-64.28300659176271,124.41651243270213,68.14444422631793,-66.42843016114526,D,187.978435706785,-104.60768211372189,A,C,0
51-65,Non-binary,No,A,A,157.91236475912999,-216.59370185836556,-65.9155726435728,-39.947794054025046,D,298.06590548951715,154.74357513517424,C,C,1
18-25,F,Non-Veteran,A,A,26.009555029382724,-54.76851883336771,-24.49477887826699,46.608792371002636,E,209.8648093149709,83.54319048820297,D,E,1
18-25,Male,Veteran,E,B,162.07241397323048,7.6031949505827106,-17.691362997647786,-106.29158241128675,C,60.75549570577405,83.07354997557654,A,E,1
18-25,M,Non-Veteran,D,A,-150.84816223794832,-84.85731622504481,-22.38759707533479,-141.23713528192187,C,-13.112156300802349,59.67314550438054,C,E,0
36-50,Male,Yes,A,C,8.480353117479849,-50.70364233679956,-116.43441204661127,-131.7394143737163,E,-0.15730173154583454,-178.48655895522765,A,B,1
36-50,Female,Veteran,A,C,-165.07067264041254,-37.93335771564125,-88.92267293650627,49.132568669003426,B,-163.4837225878051,18.871319748777708,A,A,1
65+,F,Non-Veteran,A,E,89.43923797408127,-59.86391225798206,-137.3161657311464,-120.80405855546647,B,9.271238324368422,105.22367893128165,B,D,1
51-65,Female,Veteran,B,E,-62.07185587527512,90.84799619185652,188.81621905784016,185.76715517827418,E,2.6073048457527124,-55.46649089612481,D,B,0
36-50,Non-binary,Non-Veteran,B,E,72.20494747233623,-124.22918656796374,-40.2317181839266,50.17925889384374,C,-28.505840287924705,19.511621985665506,B,B,1
51-65,Other,Yes,E,E,-10.044035016618002,58.30754155357754,160.61986530802534,31.78620636534206,E,86.26462403016681,-64.17575316420603,E,B,0
65+,M,Non-Veteran,A,D,14.76879541550341,45.86743237377583,-155.08731438746202,18.415154683519575,D,-51.471982513418,-90.78451065684996,A,D,1
65+,Non-binary,Yes,D,B,-75.61329079003018,214.92390048749596,-5.339637871998373,-73.08385631119954,C,-84.57280703220796,-62.10464967386439,D,C,0
51-65,Male,Yes,B,E,-11.978969696905832,-158.3527354808909,38.070011880577084,-27.226234395530074,B,-107.13258447438679,77.940615271354,D,D,1
51-65,M,Yes,B,B,27.822560269024084,-51.63154382635186,-91.98339198004368,187.14503558460052,E,-181.58743657350894,-53.60267828743981,B,C,0
18-25,Female,Non-Veteran,C,A,2.8457802513420467,-1.6237859167358422,-17.176025903809787,-29.258131919343484,D,-56.53702594563297,181.2584706022264,D,C,1
51-65,Male,No,A,D,-53.81628428789743,26.94578388028077,82.43976679479032,-58.58177830149742,B,219.0385071586996,-61.66637675145827,A,B,1
18-25,F,Non-Veteran,E,A,-28.004308735373723,103.90047590709321,61.4109720993932,-15.980610042658688,E,203.1388637446701,-133.48686216969955,A,E,0
65+,Female,Yes,C,B,2.7588712609857517,9.94500539679203,-7.231516097906283,68.60187096514905,B,41.27198556464215,46.97392103001321,A,D,0
18-25,Non-binary,No,A,D,-53.43285938254036,91.74596354860832,76.8165160797365,84.78245420570096,B,-114.98455259115194,-31.509049564202417,D,E,1
18-25,Non-binary,Yes,A,B,-6.593190505131781,99.95885257606182,-7.765849625745826,147.5800504186425,A,-1.4109413077920563,67.14746349268846,C,E,0
36-50,F,Veteran,A,C,138.73047247124174,90.70430016443244,99.46752380372386,-10.839104105017134,E,-20.635829228579208,65.37014506820069,C,D,0
18-25,Male,Non-Veteran,E,D,-128.0404714865314,22.734050852300296,66.90978663788883,152.12622146840005,A,11.337602543444874,160.51053911759936,C,C,0
51-65,Female,Veteran,D,B,-100.87127049333363,66.53561779824298,109.03809911933355,171.03322248879965,B,-131.30991409851194,15.33603463801065,A,B,0
26-35,Non-binary,Yes,D,E,95.22777964104769,153.58808544394284,52.43625021605206,47.804173472995046,B,-46.698416621221774,49.600662782096585,D,D,1
51-65,F,Yes,B,C,10.49794801859131,-63.50456913945758,-26.844216023141637,16.97731983159922,D,28.50169057264314,-55.15664358142628,D,C,1
36-50,M,Yes,C,E,-59.298347728129805,7.38431605667116,-78.03060803034711,-15.84680368431241,D,-146.56521872565628,23.883038195846403,C,D,1
65+,Non-binary,Veteran,A,D,5.874834051421742,134.78372156410526,-0.3334929382531648,-56.36867758696024,E,-59.77438826701918,125.52977363692818,A,E,0
18-25,F,Yes,E,A,-141.14464789505402,-25.115172052140565,25.191654636207613,-62.632141932041975,B,36.64050527276928,32.118148586796366,E,C,0
65+,Non-binary,Non-Veteran,A,C,81.39118933436998,26.892301636984655,-3.822047906535052,-274.03542885802545,A,21.077315467331452,-131.4471411106596,C,B,1
26-35,Female,Non-Veteran,A,A,-44.509114607091675,19.62179204484681,140.14852975065313,-22.170174008972452,D,129.91467314803145,54.87202747190489,E,C,1
26-35,Male,Non-Veteran,B,A,5.4614980572361365,-85.1942331271947,-39.85543797104742,-86.90220157612274,A,-62.12836115441392,83.82880881255191,C,E,0
36-50,Other,Veteran,B,C,8.89680438986726,-52.55952837021224,-46.672848828501365,69.14674774464882,D,-49.41520501969375,-40.29511025157007,C,A,1
65+,M,Veteran,C,C,28.562714764539287,66.33885651819334,-18.33227990450089,40.90953914083153,B,53.793256300085346,-35.9986367487839,C,E,0
65+,Non-binary,Non-Veteran,C,D,23.61800336959329,-70.64262308377495,28.782996053523945,-1.0627560554325692,E,-94.52770785135381,139.8340260326947,D,A,1
51-65,Other,Yes,D,A,7.303710279103455,107.36394884935827,103.08999925652901,7.624362442927096,B,10.639823593924454,-140.18445973388245,A,D,0
51-65,Male,No,A,D,124.13383379446246,-180.16606186171484,140.1254245078962,-188.71455724906806,B,40.759844252826035,87.46221609437842,D,C,0
26-35,Non-binary,Non-Veteran,B,D,119.35193489755875,-15.544779047067053,289.0453921169998,-40.66551199588814,E,-10.42776395307307,38.31900684001479,C,C,0
26-35,Non-binary,Non-Veteran,E,E,86.81078573980086,11.922882204029642,67.17924836189233,22.850990041834773,A,-66.84096560652675,-39.361022140404714,A,A,1
65+,M,No,D,C,83.1611511778179,80.7192656983358,-20.57526805894953,-44.527205805440765,C,-141.22570021884832,12.569744563391271,C,E,0
51-65,Female,Yes,A,D,58.66369859036268,-296.754617512192,89.81438878021406,-79.06472336327566,D,37.90715931401961,112.05524363486879,D,B,1
51-65,Male,No,C,D,47.54244983467644,-115.16327342218324,31.79455244154289,-161.82692479115994,D,-173.47510409106667,-206.6707976743824,E,C,0
51-65,Male,Non-Veteran,D,D,-57.99814718670597,-25.89901780680351,9.655092252903556,-95.04526866964954,D,40.84875331413481,131.2549864370055,A,B,1
26-35,M,No,D,C,-74.8949723423491,76.01351587280895,-74.60220134282821,-80.4740531221362,C,20.800631111663108,146.22075157095983,B,C,1
51-65,Non-binary,No,C,C,39.8137389505189,21.01331886846953,76.54779361760914,-164.93058489670636,B,51.16059697089543,47.96330607050223,E,C,1
65+,Female,Yes,C,C,-81.61309071940755,82.09043029804631,23.021368573855096,0.05148907897614797,C,278.35344782876115,62.22540347607429,D,A,0
36-50,Other,Yes,D,E,-5.244396096067485,-95.00005027535475,17.677894060212857,-60.33146796759994,E,262.28289588990253,-94.76723123213463,B,B,0
65+,F,Yes,D,D,34.09167650623286,-104.10996546431328,-137.37875988375404,-48.55548001308831,D,-50.870921537664195,-12.345113131178978,C,D,0
51-65,Female,Veteran,A,C,-219.6588155912201,62.25919335945266,-2.508728935564174,-30.010084964255977,E,31.437771814437376,153.24240238758148,E,C,0
51-65,Non-binary,Yes,D,D,-1.1323933680417473,-172.64918193628546,-67.40548756529176,51.272269276038905,D,-11.172751826924285,41.698051151532354,A,B,0
51-65,F,Veteran,D,D,-128.48295852295934,122.6399903385573,-169.5391953329888,34.494784362002676,A,104.23915968916093,-61.422883260925865,C,B,1
36-50,F,Yes,A,A,-234.92839105025655,49.17344524596914,-2.3318880541774263,-132.66504836490435,E,-85.16503500356635,-22.288043254015424,B,A,1
26-35,Female,Yes,A,A,-43.223106063633864,145.27545644840131,28.499298356315077,-116.12111613504163,E,-36.97767314804162,-117.44847589129519,C,B,1
51-65,Other,Yes,C,E,-83.91018791541784,-119.6818638676094,-202.62245204179882,-37.875397815684614,A,61.04708198761875,14.997010848408202,C,E,1
51-65,Female,Yes,E,A,148.73755119479165,42.60067340222237,-52.08517854287946,-71.6359322955173,B,-79.53210606171038,88.3615888704238,E,A,0
18-25,F,Non-Veteran,C,E,104.2912426747816,163.3964427284065,-29.14009259749344,-149.73498658171408,E,-52.62677920539688,135.82724260962075,C,D,1
36-50,Other,No,E,E,76.76393764035375,35.63428663224599,-136.72505775083724,-63.94376824535737,E,-3.2911741600928837,57.45406465836626,B,A,0
65+,M,Non-Veteran,E,B,-89.91621651234017,-66.61294934261068,37.70895512977195,144.466961466267,B,-202.09832372643325,-52.85353565322484,C,E,0
51-65,Male,Yes,A,A,22.68934049729218,-17.452356401837545,-43.91391675550684,29.140382285596118,B,257.7434073168336,-84.77348662676131,D,E,1
26-35,Female,No,C,C,33.31831583883652,-7.5933813416406135,-62.468376676722514,-79.33389800496407,D,165.89121979864697,-21.090311519437943,A,E,0
26-35,Other,Veteran,A,C,-60.06631573183908,51.1037771113939,-7.97423731665191,-87.61823154472658,A,-26.60170506340083,-70.89331979280844,B,E,0
51-65,M,Non-Veteran,A,A,-56.744292487323754,-26.473942897090126,197.41416133053863,49.65818146251753,C,-2.317064308028088,-7.763458072923074,B,B,1
36-50,Other,Veteran,D,B,-35.23604094935515,118.52042224060739,6.4661074008044706,64.779569613981,B,-16.406712230497654,-57.91460104559438,B,B,1
36-50,Non-binary,Non-Veteran,D,D,-51.989504683828734,107.549028380846,71.45156915684574,15.3763002787789,A,-86.24797839400712,115.69231341774342,B,E,0
65+,F,Yes,E,B,-15.24839830546902,52.36415108107547,42.830710061340284,-93.04601648689757,A,-135.84527117539088,-107.37346106016136,A,B,1
51-65,M,Yes,C,A,-131.1619987802471,-42.77997083581218,-165.06506073136194,233.3108155122786,B,-194.5668719769921,11.517392437835532,A,E,0
36-50,Female,Yes,B,C,-169.34967649625142,58.855788448769516,-31.18004058086094,-69.58286519313116,A,9.751456627861094,5.5731096053641656,E,B,0
51-65,Other,No,C,D,-26.660858598538535,56.98124147002416,-6.917657622420307,104.5251990490339,C,-6.750157727519403,-38.62932026274144,D,D,0
51-65,F,Veteran,D,E,-216.06881042998043,-22.246636032321998,-15.506413098097779,-89.42571394878934,A,-171.92237644642395,44.5453008254574,D,E,0
18-25,F,No,C,E,91.56901090697787,-102.95316897284148,-43.943551887403544,-11.349641452926043,D,-73.78918084640274,99.5894828254617,A,C,1
18-25,F,Veteran,E,C,115.05862912051552,-51.87486394197245,-10.221742062895892,-134.88304127887497,D,-88.4966163844684,77.72468517796895,C,B,0
26-35,M,Yes,E,B,6.901680734443307,-6.88433137830236,-38.46321211063197,114.01305900727098,A,-24.524098596167995,160.5968542396273,B,E,1
36-50,Other,Veteran,E,A,52.00637191216564,-85.50694043509843,161.8309378352039,-29.61874053778982,C,-1.8518155112045367,-31.84687979769267,E,D,1
36-50,Female,Yes,A,D,14.259539710019444,-59.61893987818866,181.10957805786913,104.65277139702138,A,-71.30198467801627,-50.6127051635362,D,E,1
18-25,M,Yes,D,C,58.99492173402764,28.250282950038258,-2.1148234411020472,90.13325092974338,A,113.31238544800864,-84.4380116471647,A,B,0
18-25,Female,No,D,B,88.84642517672343,-38.604087148588576,-27.532317903382985,212.00093676316297,A,-91.19068565278377,265.3714163966897,B,A,0
51-65,Non-binary,Yes,B,E,-142.56010237360374,46.68128303742362,-29.069826523559417,-95.50730305008605,A,-207.46541017400943,25.982389847786386,A,B,1
51-65,Male,No,C,A,-121.97441911227587,71.69083105029299,114.47676855757348,41.13212546645908,B,157.41566568979906,-53.19279634444799,A,B,0
26-35,Female,No,C,C,-62.405959449136496,-140.93267890526246,24.664150732626172,17.2020960067139,B,33.840918946982384,26.112737385660157,B,A,0
65+,Female,Yes,A,D,-75.04497211958883,31.743217303416937,-104.98681438707584,-105.7641404978914,D,-15.128943120120264,123.92254757391308,A,B,0
18-25,F,No,D,B,229.74180609703296,-23.721112178826356,68.53300078976281,-35.46281972467329,E,52.715254331954895,-9.909614567341814,D,A,1
26-35,F,Non-Veteran,D,A,-155.37829721849337,-6.550985453105626,-105.24559791221687,-117.7770462293799,D,46.38833701292049,109.5509788253359,E,A,1
51-65,Other,Veteran,B,E,-127.3943171623549,100.18215318557569,-37.599033032545826,99.61638982276746,D,61.13459016146062,-75.72217360666829,C,B,0
26-35,F,Yes,D,E,-55.02008557992358,3.5209117983716474,-110.81578767415914,78.90976741142235,D,-63.035286790527486,108.68147387001304,D,C,1
36-50,M,No,D,B,-82.64892612488556,164.46024768183128,105.83966225378614,91.64673984400507,B,-76.36629592353967,-70.80560703025489,D,B,0
65+,Male,Yes,C,B,25.14184861802863,82.024661102471,-114.69742543519072,1.0521813104839315,C,46.32858184637364,130.68011888111548,B,C,0
