civil_status,Veteran,age_range,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,target
Married,Veteran,51-65,Bisexual,E,E,-154.62382255309566,B,B,1
Divorced,Non-Veteran,26-35,Other,E,C,-68.9727823110716,A,D,0
Widowed,Yes,51-65,Bisexual,B,C,-26.21378170472874,A,B,0
Divorced,Yes,51-65,Other,D,C,-46.8511428054466,E,C,0
Divorced,No,51-65,Bisexual,E,E,-204.31706949272882,B,D,1
Single,Yes,65+,Bisexual,A,C,-78.3372398486637,A,B,0
Widowed,Yes,65+,Other,A,C,-47.13622794329012,D,E,1
Divorced,Yes,18-25,Homosexual,A,A,-52.07601497589881,E,B,0
Single,Non-Veteran,18-25,Homosexual,E,D,-57.83230179762139,B,B,0
Married,Yes,65+,Homosexual,E,E,-4.257440985339635,A,C,1
Divorced,No,51-65,Other,C,B,136.47397099804812,E,D,0
Divorced,No,18-25,Heterosexual,E,D,1.8658101166613767,C,E,0
Widowed,Veteran,51-65,Other,C,B,123.06371540575753,A,D,0
Married,Non-Veteran,18-25,Other,E,B,86.90424656622477,C,B,0
Widowed,Non-Veteran,65+,Homosexual,D,B,186.51798464370236,D,A,0
Widowed,Yes,65+,Bisexual,E,B,-4.115549172956097,C,A,0
Single,Non-Veteran,36-50,Other,D,C,54.649296399783445,D,A,0
Divorced,No,65+,Other,E,D,40.88643667031792,E,E,1
Divorced,No,26-35,Bisexual,B,A,143.51543696722254,C,D,0
Single,Veteran,51-65,Heterosexual,B,A,13.85990299794187,B,B,1
Married,Veteran,36-50,Heterosexual,B,A,96.19541257000152,E,C,1
Widowed,No,51-65,Other,A,A,-145.18664983309196,E,C,0
Married,Veteran,26-35,Bisexual,E,E,-154.12577331185284,B,D,0
Divorced,Veteran,51-65,Homosexual,A,D,29.17889392669218,B,A,0
Married,Veteran,18-25,Heterosexual,D,A,-131.02268475734874,D,D,0
Widowed,Non-Veteran,26-35,Other,E,B,116.53158897804975,C,A,1
Married,Yes,18-25,Other,D,B,41.283484794932505,C,A,0
Single,Veteran,18-25,Bisexual,E,D,-158.94890896782908,E,A,0
Divorced,Yes,18-25,Bisexual,C,B,145.00377149964677,A,D,0
Single,No,65+,Homosexual,D,C,10.708149909030887,A,D,0
Divorced,No,36-50,Homosexual,D,B,91.33033464109148,E,D,1
Divorced,Non-Veteran,51-65,Other,B,A,-52.2578166571546,C,E,1
Widowed,No,65+,Bisexual,A,C,-81.1955859506028,E,B,1
Widowed,Non-Veteran,36-50,Other,E,A,60.196306157775204,D,B,0
Married,Non-Veteran,51-65,Other,E,D,-47.70242020235698,A,E,1
Married,Veteran,26-35,Homosexual,D,E,197.79495998583337,D,B,0
Single,Yes,36-50,Homosexual,E,C,-82.82217404266825,D,C,0
Widowed,No,26-35,Other,B,B,52.558154474389504,D,E,1
Single,Non-Veteran,65+,Other,E,A,52.06378176638644,D,A,1
Married,Yes,36-50,Other,E,E,-94.6491340406102,B,B,0
Married,Yes,51-65,Other,D,A,1.399081525418226,D,E,1
Divorced,Veteran,26-35,Homosexual,E,C,-30.5811993352821,D,E,1
Widowed,Veteran,36-50,Other,B,C,26.253734560355706,C,C,1
Divorced,No,36-50,Homosexual,B,D,-87.51784191620224,E,B,1
Divorced,No,26-35,Other,D,C,81.61665298167196,D,A,0
Single,Non-Veteran,51-65,Other,A,A,27.637442150920204,D,B,1
Single,Non-Veteran,18-25,Homosexual,E,A,-140.26696414941512,B,D,1
Widowed,Non-Veteran,51-65,Other,B,C,-99.42017427768465,A,E,0
Single,Yes,36-50,Bisexual,C,A,69.74582009181222,A,D,0
Widowed,Veteran,18-25,Other,C,B,33.4998532752912,A,D,0
Widowed,Non-Veteran,65+,Heterosexual,E,A,61.3733141907212,B,C,0
Single,Non-Veteran,51-65,Homosexual,B,D,57.00591700820288,E,A,0
Widowed,No,18-25,Bisexual,C,C,-129.10861917565512,D,E,0
Single,Veteran,36-50,Homosexual,E,A,57.14780775292265,A,D,1
Married,Yes,18-25,Bisexual,B,E,13.563971038336744,A,B,0
Divorced,Yes,65+,Bisexual,C,E,-42.31996671592754,C,E,0
Widowed,Non-Veteran,26-35,Bisexual,A,B,-178.19923607961002,C,D,0
Married,No,26-35,Bisexual,B,A,-36.021112032350544,A,C,1
Widowed,Yes,18-25,Bisexual,A,A,-97.13307670454722,A,D,0
Divorced,Yes,65+,Bisexual,D,A,65.04218861542658,B,A,0
Single,Non-Veteran,26-35,Homosexual,E,B,-358.39168642483133,A,A,1
Divorced,Yes,51-65,Bisexual,E,C,-255.46423943343814,A,E,0
Single,Non-Veteran,18-25,Heterosexual,E,A,-7.349355256843356,B,D,1
Widowed,Non-Veteran,18-25,Other,E,E,63.6254904218877,B,B,0
Single,Non-Veteran,65+,Homosexual,A,B,47.34478352917087,A,E,0
Married,Non-Veteran,26-35,Bisexual,C,C,8.425079867201966,B,B,0
Married,Yes,18-25,Bisexual,B,B,-67.71087548243888,D,E,1
Married,No,26-35,Bisexual,B,A,-110.14119319016868,B,B,1
Divorced,Non-Veteran,18-25,Other,B,A,21.700926879514746,C,B,1
Single,Non-Veteran,18-25,Heterosexual,D,D,106.34229147056197,C,B,1
Widowed,Yes,18-25,Heterosexual,B,D,-81.65751523887258,A,D,1
Divorced,No,18-25,Other,E,A,-3.1413789213662295,E,C,1
Widowed,Yes,36-50,Bisexual,D,D,102.76271889564414,C,D,0
Divorced,No,36-50,Heterosexual,C,A,-56.14792171319408,D,E,0
Single,Non-Veteran,18-25,Heterosexual,E,A,157.6383090168391,C,E,1
Divorced,No,18-25,Bisexual,C,C,15.3275338105592,A,D,1
Married,Veteran,51-65,Heterosexual,B,B,-129.2095942001873,E,A,0
Widowed,No,51-65,Other,D,C,86.05705957020929,D,D,1
Divorced,Yes,51-65,Heterosexual,C,A,-84.7168183546978,D,E,1
Married,No,36-50,Other,D,E,57.932573609986314,C,C,1
Divorced,Veteran,36-50,Heterosexual,C,C,40.068025389842596,B,B,1
Married,Veteran,36-50,Bisexual,D,D,-47.06648078001784,C,E,0
Single,No,65+,Bisexual,A,A,98.27243065795227,E,E,0
Widowed,Yes,26-35,Bisexual,B,D,38.981193780992356,C,C,0
Married,Yes,36-50,Heterosexual,D,A,-63.97265621066924,C,E,0
Divorced,Yes,51-65,Heterosexual,D,C,108.77517368621015,D,A,0
Widowed,Veteran,65+,Heterosexual,B,B,131.7429471960788,D,C,1
Divorced,Veteran,65+,Heterosexual,B,A,-51.54817345012379,B,E,1
Divorced,Veteran,65+,Homosexual,E,D,-66.76928421626128,E,C,0
Married,Yes,26-35,Homosexual,B,B,76.93409507296211,D,C,0
Single,Non-Veteran,26-35,Bisexual,B,A,67.76794459516908,B,D,0
Divorced,Yes,51-65,Heterosexual,D,D,-4.6342466387844645,A,B,1
Married,No,26-35,Heterosexual,D,D,-124.15073457458388,D,B,1
Married,Veteran,36-50,Heterosexual,E,E,181.92145274281236,B,B,0
Divorced,Yes,18-25,Heterosexual,D,A,-34.6661499901297,B,B,1
Married,Yes,18-25,Homosexual,E,D,-0.8129971257030385,B,E,1
Widowed,Yes,36-50,Homosexual,E,E,-64.1873652637059,A,B,1
Divorced,Non-Veteran,51-65,Heterosexual,E,E,-41.91975450352703,B,E,0
Married,No,26-35,Homosexual,A,A,119.30329926439869,B,D,0
Single,Non-Veteran,26-35,Other,E,D,-30.475483976959282,C,B,0
Divorced,Veteran,26-35,Other,A,C,-95.5033495720202,A,D,1
Divorced,Yes,51-65,Heterosexual,B,D,-255.5278416059576,C,C,0
Widowed,Non-Veteran,18-25,Bisexual,A,C,63.95110725389526,E,D,1
Single,Veteran,65+,Homosexual,E,A,122.02868477635371,D,B,1
Married,Yes,26-35,Other,E,D,-59.670025849685324,D,C,0
Married,No,18-25,Heterosexual,A,B,91.98719808606214,B,B,0
Divorced,Veteran,18-25,Homosexual,E,A,-28.101503512353432,C,A,0
Single,Veteran,26-35,Heterosexual,A,A,-0.24257337661884046,C,E,1
Single,Veteran,65+,Homosexual,B,C,-2.3588909677502947,B,A,0
Single,Yes,18-25,Heterosexual,B,A,159.16547046298203,C,E,0
Divorced,Veteran,26-35,Bisexual,B,B,72.1068215836236,D,B,1
Divorced,Non-Veteran,36-50,Bisexual,A,B,52.56339119406787,C,B,1
Single,Non-Veteran,36-50,Heterosexual,B,C,42.48951706523922,B,A,0
Widowed,No,65+,Heterosexual,A,A,86.62567929709022,E,C,1
Married,Yes,18-25,Homosexual,B,D,-60.82923873439895,E,D,0
Single,Veteran,18-25,Heterosexual,A,D,90.07740816588608,D,A,1
Divorced,Veteran,18-25,Homosexual,D,B,0.6169171520947265,C,D,0
Widowed,Yes,18-25,Homosexual,B,A,-26.773500322376854,D,D,0
Widowed,Veteran,65+,Heterosexual,A,E,6.453730195846317,A,E,0
Single,No,18-25,Homosexual,A,E,28.27513656222207,C,A,1
Widowed,Non-Veteran,65+,Other,E,C,-84.01543905029328,E,D,1
Divorced,No,65+,Other,C,B,-22.939810859843785,B,E,1
Divorced,No,51-65,Other,C,C,73.6133352372755,B,C,1
Married,No,18-25,Homosexual,C,E,-150.1771990982217,D,A,1
Widowed,Non-Veteran,36-50,Homosexual,E,D,-91.16725188091127,E,B,0
Divorced,Veteran,65+,Heterosexual,E,C,-141.34066066724728,D,B,0
Divorced,No,36-50,Bisexual,C,B,78.70310369523793,B,D,0
Divorced,No,26-35,Other,C,D,57.71067298339657,E,E,0
Widowed,Veteran,18-25,Bisexual,C,D,-247.0141270122342,E,A,1
Married,Non-Veteran,36-50,Other,A,E,-10.705579675434091,C,C,1
Single,No,18-25,Heterosexual,A,D,-49.589570195760906,C,D,0
Married,No,26-35,Homosexual,A,D,-45.58460484995951,E,A,0
Married,Yes,26-35,Heterosexual,D,A,-5.762794399574931,A,E,0
Married,Veteran,36-50,Homosexual,E,C,-164.72286577277865,A,B,0
Married,Yes,65+,Homosexual,E,D,-56.18493987915796,B,D,0
Single,No,65+,Other,C,D,157.62809038774137,E,C,1
Married,Veteran,18-25,Heterosexual,C,E,84.10473332610049,D,B,0
Married,Non-Veteran,36-50,Other,A,B,148.64938460973997,B,C,1
Widowed,Yes,18-25,Bisexual,A,C,22.027640648752836,A,D,1
Single,Veteran,26-35,Heterosexual,D,B,76.74085991871316,D,E,1
Single,Non-Veteran,18-25,Heterosexual,D,E,-115.62999268234651,A,A,1
Single,No,26-35,Homosexual,C,C,-131.6837322611312,B,E,1
Single,Non-Veteran,26-35,Homosexual,A,E,30.704344847293235,D,E,0
Single,Non-Veteran,65+,Other,D,C,27.57268203717697,E,B,1
Single,Non-Veteran,65+,Bisexual,E,D,-22.81941381766752,A,E,0
Single,Non-Veteran,36-50,Other,E,D,-0.1508037787264708,A,C,0
Married,No,36-50,Other,D,E,87.82253707855094,B,B,1
Single,Non-Veteran,26-35,Heterosexual,A,C,74.26163626953507,D,A,1
Widowed,Veteran,36-50,Bisexual,A,B,21.274969215362393,A,B,0
Widowed,Yes,26-35,Bisexual,D,B,22.51743594291046,D,D,1
Divorced,Yes,51-65,Other,C,E,44.35481368741346,B,E,0
Widowed,Veteran,18-25,Other,B,C,-30.24704792747814,B,D,1
Divorced,No,65+,Homosexual,A,E,73.20764139306938,E,D,0
Widowed,Yes,36-50,Homosexual,E,B,70.58701002137985,D,C,0
Widowed,Yes,18-25,Bisexual,E,A,-40.97435251806825,E,A,1
Widowed,No,26-35,Homosexual,E,A,-11.786165108776345,D,C,0
Divorced,Yes,65+,Heterosexual,A,A,-86.4409667225123,A,D,1
Married,Veteran,26-35,Homosexual,A,B,172.74003910396803,B,B,0
Single,Yes,51-65,Homosexual,E,A,45.55343096359167,B,E,0
Married,Non-Veteran,65+,Other,A,E,-72.74499766088003,A,A,1
Married,No,65+,Homosexual,D,B,37.56830169888759,D,D,0
Married,Yes,26-35,Homosexual,C,C,18.557896536995695,A,C,1
Divorced,Non-Veteran,51-65,Homosexual,E,E,-3.1693986247692547,C,C,1
Married,Yes,51-65,Heterosexual,B,C,104.94985967489437,B,D,1
Divorced,Veteran,26-35,Homosexual,E,C,-146.96941270182927,C,C,0
Single,No,18-25,Bisexual,C,E,48.95044115721424,E,B,1
Single,Veteran,18-25,Other,E,A,-42.73132330687547,A,C,1
Divorced,Non-Veteran,26-35,Bisexual,B,D,-17.231429602993476,B,E,1
Divorced,Non-Veteran,36-50,Other,C,C,-66.31639763790155,C,D,0
Single,Yes,65+,Homosexual,E,D,28.459329235501436,C,D,0
Married,No,65+,Other,A,D,89.20769650379692,A,C,1
Widowed,No,51-65,Other,C,C,70.34439915915421,A,E,0
Single,No,36-50,Heterosexual,E,A,73.26659025865123,C,C,1
Married,Non-Veteran,26-35,Other,C,A,39.34686315562677,C,E,0
Divorced,Veteran,65+,Bisexual,D,A,65.46159862985567,B,B,1
Widowed,Yes,65+,Other,D,C,58.66278919152595,D,A,1
Single,No,51-65,Other,E,B,156.5149707019513,C,D,0
Widowed,No,65+,Other,C,B,-236.9376342332335,A,A,0
Widowed,Veteran,18-25,Bisexual,C,B,14.107108699449078,B,C,0
Married,Non-Veteran,18-25,Heterosexual,D,D,18.83979828646279,E,B,0
Divorced,Non-Veteran,26-35,Bisexual,B,A,-8.73233567404729,B,E,0
Married,Yes,65+,Homosexual,E,A,179.58993936561228,B,E,0
Single,Non-Veteran,65+,Homosexual,C,C,-69.58651321573191,D,C,0
Married,Non-Veteran,36-50,Heterosexual,B,E,-88.28975172065363,E,E,1
Married,Veteran,65+,Bisexual,C,D,-19.458287220838162,D,C,0
Divorced,Non-Veteran,51-65,Bisexual,E,B,-90.49300693454269,A,B,1
Widowed,Non-Veteran,36-50,Other,D,D,-99.40163697233247,C,B,0
Single,No,51-65,Bisexual,D,E,109.28928371593474,C,E,1
Widowed,No,51-65,Heterosexual,D,D,-132.80988105249875,A,A,0
Married,Yes,65+,Other,E,C,214.00717497681148,D,D,0
Single,Non-Veteran,18-25,Homosexual,D,A,25.318794492933748,E,E,1
Single,Veteran,36-50,Heterosexual,D,B,43.02022009057524,B,A,0
Divorced,Non-Veteran,51-65,Bisexual,C,B,-34.69758116862048,C,C,1
Widowed,Yes,26-35,Homosexual,A,D,187.72040686360367,C,D,1
Widowed,Yes,18-25,Bisexual,A,A,134.68991366712473,B,E,0
Married,Veteran,65+,Other,C,B,51.785134200660124,B,C,0
Divorced,Non-Veteran,26-35,Homosexual,C,A,-167.55443874678178,A,D,0
Widowed,Yes,51-65,Homosexual,E,B,-194.287287805093,A,D,1
Divorced,Yes,26-35,Heterosexual,D,C,138.30422377112203,E,A,1
Single,No,18-25,Heterosexual,B,C,-58.72565396526996,D,D,1
Divorced,Non-Veteran,36-50,Heterosexual,D,E,92.30322655618485,E,B,1
Divorced,No,51-65,Homosexual,A,E,-112.65153658047599,A,C,1
Widowed,Veteran,36-50,Bisexual,B,D,68.98404230751926,D,D,0
Single,Veteran,65+,Homosexual,A,C,113.9826379683308,D,A,0
Married,Yes,36-50,Bisexual,D,A,96.15312223147492,C,E,0
Divorced,Non-Veteran,18-25,Heterosexual,E,C,-113.81676770343854,D,E,1
Widowed,Veteran,18-25,Homosexual,B,D,-99.27797725588883,B,A,1
Widowed,Yes,36-50,Bisexual,A,A,-27.945927874639498,B,E,0
Divorced,No,51-65,Bisexual,E,D,122.48068266659331,A,E,1
Widowed,Non-Veteran,65+,Homosexual,D,C,-164.16415395874662,C,E,0
Single,Non-Veteran,36-50,Homosexual,B,A,92.80735871332776,B,B,1
Divorced,Veteran,65+,Homosexual,D,E,-50.309172200005115,D,B,1
Divorced,Veteran,65+,Homosexual,C,C,-51.24034718894372,A,C,0
Married,Yes,18-25,Other,E,B,66.90567476831275,B,D,0
Widowed,No,36-50,Homosexual,A,B,-209.2681294907211,E,D,1
Single,Yes,51-65,Bisexual,B,A,-24.647528005872825,E,B,1
Divorced,Veteran,36-50,Homosexual,A,B,-77.29604993987988,A,E,0
Married,Veteran,51-65,Heterosexual,C,D,67.8615811158241,B,D,0
Widowed,No,18-25,Bisexual,D,E,32.13276707885733,D,C,0
Married,Veteran,18-25,Homosexual,E,C,70.55274324869595,E,A,0
Widowed,Veteran,18-25,Bisexual,B,D,-54.80888651230998,C,A,1
Single,No,26-35,Homosexual,D,B,28.257975361871424,B,A,1
Single,Non-Veteran,65+,Other,A,D,-124.63758687079421,D,D,1
Single,Yes,36-50,Heterosexual,E,A,36.41758016755819,A,D,1
Divorced,No,36-50,Other,C,B,48.86988987606888,B,A,1
Single,Non-Veteran,18-25,Other,E,C,-79.99352823655686,D,E,0
Single,Yes,26-35,Bisexual,E,E,-9.832282964896407,E,B,0
Divorced,Veteran,36-50,Heterosexual,A,A,151.7570914750836,C,A,0
Widowed,Non-Veteran,51-65,Homosexual,E,A,34.72048847139432,E,E,0
Divorced,No,65+,Homosexual,D,C,-13.134113412759293,D,B,1
Widowed,Non-Veteran,65+,Homosexual,E,B,-77.68709170917641,B,A,0
Single,No,36-50,Other,A,D,-4.39387041784248,E,B,1
Married,No,36-50,Heterosexual,B,D,180.0722358679885,A,C,0
Widowed,No,51-65,Bisexual,E,A,-58.6161162554665,C,E,1
Widowed,Veteran,26-35,Other,E,E,-41.00261119017055,D,A,1
Divorced,Yes,36-50,Homosexual,E,B,-61.26966986694562,B,A,0
Married,No,26-35,Bisexual,D,B,-133.0366479612037,D,B,1
Divorced,Veteran,36-50,Bisexual,A,D,-146.82058460330157,A,D,1
Single,Yes,26-35,Heterosexual,E,A,-89.4644270556876,A,C,1
Single,Yes,36-50,Bisexual,C,A,113.34217198477891,A,B,0
Widowed,Veteran,51-65,Heterosexual,C,B,55.87654425532974,C,D,0
Married,Yes,18-25,Homosexual,D,D,148.88574621989744,C,A,1
Married,Veteran,65+,Bisexual,D,D,37.20299574272784,C,E,1
Divorced,Non-Veteran,51-65,Bisexual,B,C,-78.52667494559896,B,B,1
Divorced,Non-Veteran,18-25,Homosexual,C,B,-105.46870605966177,C,B,0
Divorced,No,36-50,Other,A,C,-21.690672247592975,A,D,1
Widowed,Veteran,26-35,Other,A,B,-214.61053623519902,A,D,1
Widowed,No,26-35,Homosexual,C,D,-0.9784456459305257,A,E,0
Divorced,Veteran,51-65,Heterosexual,C,B,-134.74257290187117,A,A,1
Married,Yes,26-35,Other,A,C,49.325404664979914,E,A,1
Single,No,18-25,Bisexual,D,A,40.4045631855119,A,E,1
Divorced,Veteran,51-65,Heterosexual,D,A,-14.999897944115162,B,C,1
Divorced,Non-Veteran,65+,Bisexual,C,C,46.90050647994429,B,D,1
Married,Yes,65+,Heterosexual,B,B,-85.30990722289864,D,A,1
Divorced,No,26-35,Bisexual,D,C,-102.31480121633984,B,C,1
Single,No,51-65,Heterosexual,D,D,-79.05232075808807,C,E,0
Divorced,No,65+,Heterosexual,C,E,-74.77894882408633,A,C,0
Widowed,No,51-65,Other,B,B,129.27533127453162,E,D,1
Divorced,Non-Veteran,65+,Other,D,A,18.968627633511428,A,C,1
Widowed,Veteran,26-35,Bisexual,C,C,0.24933501602860708,E,C,1
Divorced,Veteran,51-65,Other,A,C,-54.13996571970247,B,D,1
Single,Yes,18-25,Homosexual,D,E,-180.13620362082452,C,C,1
Widowed,Yes,26-35,Homosexual,B,C,5.36536087976877,E,A,1
Divorced,No,18-25,Other,B,E,-42.24192281562128,B,E,1
Married,Yes,65+,Homosexual,D,E,107.1510207152393,B,B,1
Widowed,No,26-35,Bisexual,E,D,-3.8289023692829662,C,D,1
Divorced,Non-Veteran,18-25,Bisexual,B,D,25.39636880659278,C,B,0
Widowed,Non-Veteran,65+,Bisexual,B,E,-81.39416599528406,A,E,1
Single,No,18-25,Homosexual,D,C,-4.406931670530647,D,A,1
Widowed,Yes,36-50,Homosexual,A,B,-25.39175716439525,E,C,1
Divorced,Veteran,18-25,Bisexual,E,C,-116.10692540958871,B,C,0
Divorced,Veteran,26-35,Bisexual,B,D,-110.12768563175248,D,E,1
Single,No,51-65,Homosexual,C,C,50.8310917977298,C,A,1
Divorced,No,18-25,Other,C,B,-104.46277471646319,A,E,1
Widowed,Yes,36-50,Homosexual,A,A,81.39918488722428,E,D,0
Married,Yes,51-65,Bisexual,B,B,-24.424478660445306,D,A,0
