nation,religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Other,Jewish,94.44455079431148,181.26768278460057,C,A,E,B,D,C,B,-112.44630684192332,46.43234741941878,B,D,B,144.6304933558419,A,133.8855039988008,0
Mexico,Jewish,-34.322465036732815,110.50750095483089,B,A,A,A,B,A,C,132.2301972882179,19.289855496027716,A,A,C,28.06034895546746,C,-33.818897432163126,1
US,Other,-167.27219694600893,131.40660270502585,B,E,E,B,D,E,D,-12.710079252047787,-112.96769564585449,B,A,E,-22.87051229076041,A,19.04595794458238,1
India,Hindu,-220.51141510599476,-45.95016646136021,A,B,B,D,B,E,E,59.56510925282944,-106.9535840476255,D,C,D,-104.148628257448,B,15.91943233980689,0
UK,Christian,234.78020086886642,-74.57202220847958,B,B,A,D,A,C,C,0.5913433184520261,3.3831811477826164,E,E,C,46.84408569751191,D,132.74373444033992,1
India,Other,-129.9105866354682,12.867632907202234,B,D,D,C,E,E,E,82.77206083110241,64.5359273921738,B,D,A,65.44356686404544,A,-37.50884339755321,0
Mexico,Other,144.874099418849,-41.73072107783713,A,B,D,D,D,D,A,-166.62420605481344,4.633939792590197,A,C,A,-47.81529465709809,E,167.01842617225975,0
Mexico,None,20.066884817549717,-17.8319601379183,C,B,E,B,E,A,A,9.794338311756135,104.35881616678222,D,D,D,-103.10643371266241,B,-68.87287401873495,0
Other,Muslim,-22.24329477140045,-0.3136665051846165,C,A,E,B,D,B,D,232.7752542745284,19.431681731611157,C,D,A,23.303790058561617,D,-70.32497116708919,1
Mexico,Jewish,18.954608537400645,-82.67058902966825,D,A,B,C,D,D,A,-106.12274602003491,132.06443170190104,A,D,B,-19.53126876667471,B,-75.63486317910898,1
Mexico,Other,-80.32426144089877,180.88909777963508,A,A,A,A,C,D,D,-179.26865506416743,65.53603562326457,A,E,D,8.421095787660727,E,-209.18037531625387,0
Brazil,Jewish,119.64668553492719,95.63394542040045,B,C,D,C,C,E,A,82.97458104847834,86.83928960493232,B,A,E,121.37307915189017,A,-148.5470994538396,1
Germany,Other,-80.73721049583406,-6.4889798523109565,B,A,B,A,B,D,C,28.837832830153282,173.87654754888737,D,C,E,-105.95969354549393,D,-101.86547838364564,1
US,Jewish,-51.85491257905211,161.03026428205996,A,D,D,A,D,D,E,70.72885309386027,-122.63349624348336,E,E,C,-136.17609533377603,E,91.58892942115993,1
India,Buddhist,38.468490025890894,86.28442179223481,E,A,C,B,B,D,E,-71.8720672954292,115.26872807346749,D,C,C,-92.3526198317635,B,-40.564809899654236,0
Other,Muslim,-129.2825808745116,91.32868175039725,C,D,A,E,C,B,D,-117.12236995193702,-67.77499154186948,D,B,A,64.41277658632207,A,70.87101026954286,0
US,Other,-100.94018382724406,-0.2707215103811573,B,D,A,B,A,A,B,58.294214226451224,109.86611094659541,D,B,D,-125.8063301421201,C,168.62588693920685,0
US,Buddhist,-172.65634454220015,110.8554793351614,A,E,C,E,B,D,B,-46.99415668945656,-180.91842176169658,E,E,D,-63.691730874219076,D,79.47410326745305,1
UK,Hindu,57.30148802505892,-37.70657500131276,A,D,D,A,A,B,C,-124.58823079991399,-19.59914508077358,B,B,D,-141.02177564910846,C,1.0008390041651838,1
Other,Christian,26.661779238594065,166.0063519903748,C,A,C,A,D,A,E,-67.65066738623011,-6.744929131469345,C,D,A,-1.9166816288453161,C,26.913860416199313,1
China,Christian,196.5511456039004,221.82655524274844,D,C,C,A,C,B,D,12.467935526342837,189.43769980659457,D,A,C,-119.90293762371257,A,-32.1473807881394,0
UK,Christian,28.38340454069422,202.31457718452495,E,A,D,A,C,A,A,-70.7771677813163,-145.88201216195446,A,B,D,17.958018629403576,C,61.08167211937966,1
UK,None,-48.22812231319015,-190.51650335327335,A,C,E,B,A,D,E,-13.655628619410173,26.881092476372125,E,C,D,181.94894571036428,D,-12.65863154731535,0
India,None,17.20459980558875,167.1163778624552,E,B,A,C,D,C,E,96.32771261968351,-162.38468164434562,E,A,C,26.849692566435294,D,152.00930697340803,1
US,None,-57.87413326474117,-70.53257610754784,C,D,E,A,C,D,D,8.451184269258823,110.23649732714374,D,D,C,-123.54620972315531,E,23.078618513678908,0
US,Jewish,-99.84798208686952,-37.76873797981395,D,B,D,A,E,C,C,-48.324984467331134,64.83604909395144,E,D,E,87.88580551189972,B,-23.04126470435927,1
China,None,-11.748009449336779,213.88772075198656,D,E,A,B,B,B,A,-153.64983589518133,-251.58413066019335,D,E,D,-81.34623410320638,C,125.04274298458581,0
Other,Muslim,9.329240787575769,68.42955260029765,D,D,D,D,E,C,A,117.47604591313687,0.6401627836058128,C,C,C,14.09840526201628,B,-86.96951115693629,0
India,Hindu,15.193277710605093,-126.7036213769613,C,D,A,D,A,D,E,-16.712047835907576,-23.16653265554042,D,E,B,179.81398204511032,D,-98.1584486931645,1
Germany,Christian,-54.251875030847465,30.37079087414823,A,E,C,E,C,B,C,-88.87821254574048,-36.73564858070272,B,B,D,124.20185377939048,B,-47.164117896017984,1
Mexico,None,78.44716310881911,-11.50613394495722,E,A,A,A,A,D,E,24.34602418351425,32.64049934635395,C,D,C,-60.7450606451351,E,219.02594673235208,0
Brazil,Buddhist,13.606077712337292,109.05483555311444,D,D,D,C,B,B,D,58.27835855873676,69.05456178196489,B,B,A,151.91967059123905,E,104.94115029911366,1
China,Muslim,-61.8115852864675,-43.88646347259355,D,C,E,B,A,C,E,48.57142953997891,8.8498710234646,A,C,C,69.99546162020769,D,-82.14840688629117,1
Other,Jewish,-105.41432955395705,-46.13121519422801,D,C,D,E,D,A,D,88.53285962031579,-94.21163325048802,C,E,E,91.48123911609039,B,-82.40916784268471,1
India,None,24.539349960894533,-160.32233206712147,A,A,C,A,B,E,E,133.62000327166768,-90.64904277647258,C,E,B,156.80775890046692,A,-75.26999712174455,0
India,Hindu,-148.84064262281638,-95.32298641743462,E,B,D,C,B,A,A,-34.38700248658435,-1.2157012697443632,C,C,A,130.91925270872147,B,-45.14797284789363,0
India,Christian,-60.008425114101705,4.649252233703674,D,C,A,C,A,B,D,-93.53439342282125,-18.604681420849563,A,C,B,93.53103370257652,C,102.36811022110778,1
US,Muslim,-79.26928957167223,57.40881135742334,D,D,B,A,A,D,E,72.52207510322273,-15.436889532680445,B,B,B,41.95949723127637,E,10.26308541249711,1
Other,Jewish,54.060581078146356,10.773711498263795,D,A,B,D,E,E,A,-78.47953353478043,-41.07605247745518,B,C,A,19.277392826285162,B,-224.5220143550371,0
China,Other,-36.61951430578843,67.73378539760078,A,D,B,A,C,B,C,-20.33227349760814,106.32428434461075,C,C,C,48.849724857086755,D,-167.19719100520223,0
Mexico,None,-97.85267343327571,-45.60401679062721,A,B,E,B,E,E,A,-68.26059832238963,129.81579271977856,E,A,D,151.37468895017622,A,54.918630733572435,1
US,Christian,-120.69746489714642,46.193105098066894,B,D,D,C,C,D,B,44.39894179175619,-94.68706442947966,E,A,C,11.939608357512515,D,23.783455570300642,1
China,Christian,-168.0157616362461,-22.44044525548268,E,C,D,D,C,C,B,-149.80016388656716,-130.68893415133192,C,E,A,7.73103844600786,B,25.33248355368316,0
India,Jewish,-139.0732099532515,32.28809098299665,B,C,E,A,C,D,D,67.69553447860632,14.14388679163005,E,E,C,-77.84542770497067,C,-93.72424158144341,1
US,None,175.14693164440285,94.35893600403655,B,E,C,C,E,B,D,203.61514157995856,-126.91439195787,A,B,D,-40.32508209347488,E,-12.678402520508083,0
India,Hindu,48.12452367021345,106.39411890484571,C,C,D,C,C,B,A,272.0568370557375,249.20453215304389,B,B,E,-153.66380708738947,D,-178.19467078373086,0
Germany,Buddhist,25.048989117335392,114.20449650901634,B,E,B,B,B,C,D,92.24799722377489,-47.05943686140436,C,D,A,-53.70869170277523,A,55.163144592633984,0
India,None,39.1119939106639,265.3661633586121,E,C,D,D,A,D,B,-20.267622353801006,97.58596174812195,E,A,A,-173.97388039481393,C,97.31178239141913,1
Germany,Other,139.98383332053746,117.8026300695304,C,E,D,D,D,C,D,-17.773778172774634,-29.56751744392071,D,D,E,35.8466130124221,E,-146.62750670498397,1
Germany,Jewish,-17.355299706461427,35.61498348010252,D,E,E,A,A,C,A,-177.6149115742161,26.389586400733055,C,B,C,-327.5738956977294,E,-3.9958685292902576,0
China,Christian,59.46210641789701,-1.7112792178513496,A,D,D,A,A,C,C,-76.38952391312858,-188.1235203869195,C,A,B,-52.986387358400435,D,-27.989821777951434,0
Other,Other,41.809143953733866,-107.13315971523308,A,E,C,E,B,A,C,78.14537564128987,22.01300388027614,A,D,C,-108.84135871949667,C,-133.13743696875224,0
Germany,Hindu,-174.76812161662446,-26.640191460677393,D,E,D,A,D,E,B,-26.694906961590313,59.241108826595934,C,B,B,-177.07654219121332,D,121.48102053989103,0
Mexico,Muslim,-200.6196892036113,14.667164040727384,E,A,D,C,E,E,C,-191.31142161033335,-109.5960189343312,D,A,B,-123.89569463899785,E,20.358259574776838,0
UK,Muslim,-26.09871569280397,-46.107747278123426,E,A,A,E,D,D,E,-12.284977475112324,-15.06918214925673,A,A,C,-32.16486419432644,A,-142.29578820471264,1
Other,Jewish,39.33930056959058,6.5843546799347745,B,E,B,A,B,B,D,138.86656786106911,87.56124538814097,C,D,E,102.24256853852745,E,58.32200950844746,1
India,Buddhist,27.891339976155738,106.28566949553652,D,D,C,A,E,B,C,177.69489164595288,112.31035351793035,C,B,C,18.6906442250832,C,-13.978436664472818,1
Other,Muslim,220.19003661040153,37.96618501271748,C,D,D,A,B,C,C,3.2207595274133296,14.221896697625322,B,C,D,107.2285217291117,C,-140.12319388683886,1
UK,Muslim,-30.27921732219762,-2.4448830646838946,E,A,E,C,A,B,A,-1.6330553906500966,31.242280211760853,D,C,E,278.2695697797414,C,23.03936028849572,1
India,Buddhist,-52.18323067143055,-63.950746096119936,D,B,B,B,E,B,A,-52.23981153108216,-5.000635909573585,D,E,B,35.818096192932444,E,62.82889070472958,1
Germany,Christian,4.2512071497278585,-163.19034147282903,A,D,B,E,C,A,C,-141.85965961059594,383.13560815988336,A,E,C,-47.967074883609,A,-36.844131113975806,1
Brazil,Christian,-67.72296888384737,-102.98523587164155,C,B,E,D,B,D,E,-85.1120787088588,-14.677255071659914,E,E,C,91.49323725029069,A,-205.1755681925762,1
US,Buddhist,-49.441769856230614,127.53583966452553,E,E,C,C,D,B,C,64.71834046735246,-205.77127277980463,A,A,A,31.8514510403208,A,71.44399772347118,0
Other,Christian,-9.826877384245329,4.202205806154542,E,B,D,C,C,D,A,18.595131919337103,-70.96444962953622,E,D,A,-46.32559630736359,A,60.75561274561703,0
China,Christian,-90.87910201930974,-40.506715405855076,B,D,C,C,D,B,B,82.25243915610497,-36.35062752672684,A,B,E,-67.48387933674015,C,-106.1585166387324,0
UK,Jewish,78.03507159842938,100.38049450343026,A,A,B,E,E,C,A,-77.86519318319611,-12.120015087806927,B,E,E,-66.25496694773142,B,8.999460163463903,1
India,Jewish,-128.07941357779876,98.05493183659932,B,E,A,E,B,B,D,-115.06999425570615,-95.34281430590251,E,D,B,-9.447364492182437,E,-101.03187614839908,1
Other,Other,91.34211739535597,51.827814392797144,A,E,E,B,E,A,D,179.18552532839868,-158.68117349431265,B,E,C,139.88730530823906,B,-55.3105854630075,1
Other,Buddhist,-67.71508337701749,-85.56697468898408,D,B,D,C,E,C,E,242.5602627235096,-56.260471330793195,E,B,C,100.81294981413494,D,190.23712902142861,0
India,Christian,-124.35366286195651,59.42228046061339,C,A,C,B,B,D,B,166.7061829415536,-155.80676140332713,A,D,D,63.760027998835426,A,-19.630905558664672,0
Other,Buddhist,-79.90871897667073,55.218427982171114,B,E,C,C,D,C,B,-96.12811899074084,104.50106194385079,C,E,A,-46.95210060781059,C,-3.4165442837186526,0
Mexico,Buddhist,-74.52113050279804,47.31576198259506,E,C,C,C,A,A,E,-140.33495672496227,68.69183343444027,B,E,C,85.04805636593993,E,-117.47542271798469,0
India,Hindu,10.727601531571159,-183.22174990123472,B,B,B,C,C,D,C,116.47556887031776,-26.02135697259667,A,D,A,-50.3618904393562,E,112.99195042044144,0
Mexico,Christian,10.293521971794764,-87.1911614269211,A,D,A,C,A,C,A,20.856066097293464,-19.51907481679707,C,B,C,123.34167278275834,D,44.57158402058292,1
UK,Buddhist,2.844167240344213,-76.59155479564185,A,B,C,B,C,D,E,129.06756570558673,32.72920567335286,E,C,A,105.01275347816514,D,7.460577474736768,1
India,Buddhist,59.994736550646735,-20.391250990116724,E,D,D,B,B,C,A,61.35008382320465,-22.464553051802692,A,E,E,-2.028332686799773,B,80.67668109371466,1
Brazil,Jewish,44.21832197714773,130.10307547940167,E,E,C,E,B,A,A,34.55097419729852,-74.92978170791697,D,C,B,-113.84531648226755,B,-67.93370590158017,1
Brazil,Buddhist,-27.85262003143803,-23.759622396265236,D,B,E,B,A,D,D,147.2665497501226,159.0736234229127,C,B,C,19.811362579942916,B,-19.258133380397858,1
UK,Other,121.55706654325668,61.112871990953046,C,D,A,C,A,B,A,-114.31442740318003,-46.510182585388485,B,A,D,42.0336019314449,D,20.11714348437531,1
UK,Muslim,-117.81005592890286,-162.45163314277292,C,B,C,A,C,B,B,-91.26154759280844,-0.06487201875708376,E,C,B,-42.160737576799015,C,120.60625976317574,1
US,Buddhist,14.833166749534302,-87.39849910461676,B,B,C,C,B,E,D,-28.23850655722116,-77.21616778578576,E,D,E,-182.04432602093067,A,-106.3283570119679,1
Brazil,Christian,5.715129725797701,-69.94882667237985,A,C,B,C,C,C,D,-80.16232796749857,120.51883941910984,E,D,D,-14.287176770599896,A,95.36340736165366,0
UK,Christian,-48.86970567385379,86.7269921587986,C,E,D,C,D,E,B,114.70386350374713,157.2066567816915,C,C,A,213.2888338573696,E,-67.23678535128876,0
India,None,-66.93488900652606,-115.80384653906155,C,A,E,A,A,C,B,242.6502658422212,-0.8962854721915248,E,D,B,129.6730086006398,B,29.018585620781252,1
Other,Jewish,51.21089981131865,-15.253403874303434,E,A,E,C,E,E,A,5.845172401329744,-161.8522040336311,D,B,C,125.68490243863921,D,94.39007777591122,1
Other,Other,60.069734789944086,170.14443645006557,C,D,C,D,C,E,B,20.97171142891288,-12.088773339355368,B,A,B,57.659906497937094,D,-7.700910024459655,1
Brazil,Christian,-52.51303245627375,-17.621056583944082,A,A,E,C,E,C,E,-157.21432212464404,28.128666876331117,E,B,A,-106.37747721001121,D,-253.36515306963219,1
Germany,Hindu,142.30516532924264,-25.683684829651803,A,E,A,A,D,D,C,-86.72157139220886,-71.35625822770197,C,B,A,56.9488262064734,A,-95.08621867954687,1
US,Jewish,-2.2924498394976176,-106.91286182732497,C,C,A,E,E,D,A,151.30209229060893,-16.882050100280768,A,A,D,-76.41256138715406,A,-101.10325911921079,1
Brazil,Muslim,-31.88292281534083,47.842600668591835,A,E,C,C,C,B,E,-62.118426742672085,-67.95759146632706,B,B,A,-126.77436932953074,C,-65.49075773126158,0
Mexico,Jewish,80.23167438101716,33.56127085272974,C,E,D,B,A,D,D,-20.30787142340339,52.789093177547116,D,B,E,-36.039056607145135,E,-115.8248616641377,1
US,Christian,-117.70449866377739,121.73385554091276,A,B,D,E,D,E,A,-126.67516297940008,13.95940340318204,E,A,E,41.96181302058574,B,-8.299194415496732,1
India,Muslim,-37.41861986050187,187.05367807990783,B,D,D,C,A,B,E,146.4654854831543,160.11720088440183,B,D,D,-19.44609101825203,E,46.055851397993386,1
China,Hindu,158.78180438938944,-170.79605350384855,A,B,B,E,D,E,D,-162.23759631777406,-7.314944969805323,D,E,E,173.95480218524392,C,-85.37795876955234,0
Germany,Christian,-58.684923831142065,149.11268739606712,A,A,D,C,E,B,C,-57.68079603707344,-91.06974602318667,A,E,E,77.98951005870609,C,59.72502973940501,0
Mexico,Jewish,217.84339925385638,9.45660071209631,D,D,D,E,A,D,C,104.31219885042866,117.84701766042392,D,D,D,71.11890202595373,C,177.9306018721283,0
Other,Jewish,-94.05616164760556,34.50736058258048,C,D,B,C,D,B,B,-60.30581679777993,0.8576874032640801,B,E,D,-57.03915717566373,E,-198.03729137055674,0
Brazil,Christian,130.99022203748828,84.01665179537676,B,E,B,A,A,E,A,-74.24757931090161,113.60869951936625,E,B,E,92.87176122625773,A,-141.93413915732745,1
Other,Muslim,-285.22035402806245,-96.25617310495403,E,C,D,D,A,B,E,239.5207359465929,48.17111787091679,D,B,C,-155.18925236700943,A,-8.896417253440864,0
Other,Jewish,-10.751415772429672,2.290283647463121,C,E,B,D,B,C,A,-0.9553292826809044,-32.98267085231168,A,C,D,270.7008069221677,B,-153.18675841949764,1
China,Muslim,-114.29448391173295,87.66794150201068,D,B,B,E,C,E,D,-98.69865011518311,80.06685403452167,D,C,C,-12.654736909267408,E,33.524622452345625,1
India,Other,24.362468825114586,7.627012258089631,C,C,D,C,C,D,A,-30.443769209886156,-32.85541040924388,E,A,C,-68.90903252586116,B,244.3296187632536,0
UK,Hindu,70.86724213196909,40.437552702917316,B,A,E,D,B,A,A,65.73853432270691,57.37396065643925,C,B,B,-142.31767451086114,B,-58.10600623769615,1
India,Christian,-111.51862715814613,-66.34427087870203,C,D,B,D,C,E,D,140.65321622608957,93.85616310868242,A,E,D,138.31891221935808,E,-76.03409299916603,0
Other,Muslim,-27.627966728995933,-41.47837916832159,D,A,B,A,B,E,E,-50.56281408586691,83.27377222552475,B,C,C,-152.48627506304166,C,-15.397436003496068,0
US,Christian,150.51198941655213,-12.194065856863475,D,B,D,E,C,E,B,-32.2116398830947,-89.06755110217809,E,E,D,-225.62515794321646,A,23.87675089217938,0
UK,Christian,-128.44574116708804,-104.56434034717721,C,B,C,B,D,A,B,27.219729023172867,10.18012128875895,B,D,B,-94.93915149680274,B,228.98954934767528,0
China,Jewish,-197.42151880838583,-53.451119668212044,C,C,E,E,E,C,C,112.92168899815405,217.23883821640513,E,D,B,169.2588811749232,D,143.47784383620882,0
Brazil,Hindu,-73.62153114386594,-251.12862996965794,A,B,E,E,C,B,E,-8.711337571197346,-27.448820097563104,E,A,D,-43.20245577900542,C,103.65516863374604,1
US,Hindu,-103.3711475283211,-116.44682020297262,B,C,D,C,D,B,D,-104.0644864116794,-60.91597096632281,E,A,A,34.35277542208925,E,98.06122695332601,1
Mexico,Christian,56.255627834884514,101.16559498824004,D,A,E,C,C,C,C,112.22731201087896,36.97580169927123,D,B,E,-169.90514637353405,D,66.81371988167243,0
Mexico,Muslim,-30.272186751275893,-139.89092863217087,E,D,B,A,C,C,A,-39.55143021698909,159.4466574216924,C,E,B,-184.5690374779258,D,-45.32201079810332,0
Germany,Other,-143.15677130781688,61.56097394895814,A,B,C,E,D,A,E,-245.36289282573276,60.40614403519887,D,B,D,12.66770033438413,C,51.30810513683949,1
Germany,Jewish,1.6045745816927335,183.26257941419388,A,B,B,A,C,B,B,-4.121129446342344,-195.35347811547572,A,A,A,-119.10660870368419,B,-105.74353660703207,0
UK,Christian,149.33244125358726,-54.12535971550738,E,E,D,C,C,B,A,-12.94743868811787,-207.23947653659084,D,E,A,5.076760680557553,B,189.49784818462945,0
Brazil,Muslim,81.02393378553192,-14.831591097378455,A,D,B,E,D,B,D,-59.52469078639275,-32.51081682010594,A,E,D,120.6482826127508,B,131.6629667007525,0
Mexico,Muslim,43.974208997520506,-54.120533939700366,E,C,A,A,B,D,D,40.52359451118332,45.96357278365096,C,D,B,59.49775509747419,D,106.11313473992982,1
India,Muslim,-118.81354293607995,-130.82105233333039,A,E,C,D,C,B,D,-53.746826780933034,29.016297101437203,A,B,D,-95.80603971465962,B,-67.64190580015547,1
Germany,Christian,-44.087447411270006,-255.3365279719516,B,B,C,C,C,B,D,7.728361184843596,3.0935055694594342,D,B,A,225.20834694862964,B,-87.11284747194978,0
Germany,None,-126.47976488028634,100.81681589053426,A,C,D,C,C,D,E,-32.5285148845277,-110.8576992766564,D,A,A,134.58992526311326,E,235.01582622314095,0
US,Jewish,116.96008097660835,-36.10055953484556,C,D,E,B,A,D,B,94.85927526152227,69.48391454805046,A,C,A,103.20983664789271,B,122.54969701928684,1
UK,Other,12.303167480375315,-54.934590716213236,E,C,A,C,E,D,A,-179.70234898350162,28.13747272766229,D,D,A,0.15893133564181952,E,37.64662799440111,1
UK,Christian,-84.45015392848046,3.3789098823009747,A,B,E,D,C,C,E,23.369585267373537,-165.1764612080328,A,B,C,157.78515794767935,B,32.72554030495504,1
UK,Buddhist,-15.336167791034333,-13.536801318750769,A,D,A,E,D,D,B,-78.65270567909558,-93.11106441888897,A,A,A,-190.21176374917104,C,215.2162689330999,1
India,Hindu,4.669913741889461,141.06576075036216,C,B,B,E,C,B,A,-15.610294591586024,-92.42096953422275,B,D,E,105.14538552580615,A,66.2496349726606,0
Mexico,None,-132.5336857898908,79.28290382733749,A,D,E,A,A,C,A,-48.85378757708537,-102.62464297020327,C,D,C,-115.38847488606075,E,-17.025592092384862,0
US,None,36.74196187161901,-146.21117936447797,D,D,B,A,A,C,A,-82.37400504477044,89.18434293529526,A,C,A,-48.28648466233037,B,278.88669764596375,1
Germany,Hindu,3.230895807583414,58.51676029695342,E,D,E,D,B,E,A,48.07907126606901,-95.25430713163688,D,B,E,-26.442466951146642,D,-103.16153892774305,1
China,Buddhist,66.65724896580882,-9.728866940235951,A,C,C,D,A,D,A,-296.0074775203553,268.6201753518803,A,D,E,192.118061080443,C,-109.74428305060897,0
Brazil,Buddhist,51.05003731892982,120.69082647655125,E,C,B,C,D,A,D,-36.96139619331216,-136.4244851537167,D,A,B,-69.05414762339076,A,73.89634458917756,0
UK,Hindu,47.03943221765357,-114.85795616612889,D,D,C,A,E,D,E,-13.856560971714526,-69.60795053978362,B,D,B,-66.7218227315906,E,203.78005139936187,1
India,Buddhist,145.3806507396974,-85.14711991884369,D,A,A,C,D,A,C,29.491509107474855,45.42078052609963,C,B,C,21.21385869655119,C,59.841801392355706,0
India,Christian,-98.91576187402195,34.16069087256688,D,D,A,B,E,E,A,45.52786272611958,141.6164047857091,A,B,C,-102.84567044179683,A,103.1722203403447,1
Brazil,Jewish,89.56566783875822,101.04580484322551,B,C,D,B,C,E,D,-54.38002753249177,30.212355692061756,B,B,B,25.59163437906482,E,75.52074485609874,1
Germany,None,-8.939628378359833,-56.603322794162544,C,D,D,A,A,C,D,-16.659323898815373,-60.03268470771103,D,B,D,-75.60033269557698,E,116.69761901509786,1
US,Jewish,-50.02566092911282,125.51770740939881,B,E,D,C,E,D,B,53.33589505477243,91.12556077001317,B,A,D,-159.2672873865175,A,118.13992317589815,1
Other,Buddhist,127.06350314611461,51.409892122167875,C,E,B,D,D,D,C,-22.663394806065465,118.8609857052203,D,A,E,85.70638907951698,A,-140.6159607419623,0
US,Other,-82.08975529378966,-69.81902067158812,C,D,A,A,A,E,B,49.47565617494413,64.27343644632361,A,D,A,41.12439889582213,A,132.51286709132344,1
Mexico,Buddhist,-50.30580887722586,147.76362354377656,A,D,E,E,C,A,B,-84.30181629600709,-95.93761572436041,E,C,D,0.4647405326013023,D,-11.036777922514114,0
UK,Muslim,-24.523780312601016,103.61748283243794,A,D,B,A,B,D,B,-95.76102880854367,-142.50583384733687,C,A,A,-52.14172681452206,E,29.518423220777684,1
India,Muslim,-68.2283599548541,-86.1366362065132,A,B,A,A,D,A,E,-83.97433026977805,111.31889550364721,C,D,E,47.98268007641291,C,-58.50602973575183,1
China,Buddhist,-74.02842341783948,110.21482599993124,C,B,D,B,B,B,A,-47.111636972643964,-99.2855869311557,C,D,E,-41.76621699388709,E,-26.43617537396757,1
Other,Muslim,-49.87982773854732,51.34375455344371,D,B,A,D,E,E,A,15.652871505904681,-227.64719524437075,B,B,A,176.88104671017138,C,-69.34834188437479,0
US,Buddhist,-0.5482531434589627,-62.81208249550233,E,C,B,D,C,E,C,-112.59283559399562,162.79119689929453,D,E,C,-22.590695459808178,E,-67.32074306905979,1
India,Muslim,68.97392089836555,-36.478600709681636,A,C,D,C,A,B,C,-141.4862010576396,52.27472030587155,A,C,C,-28.949393175611988,A,-3.0475917526023384,0
Mexico,Other,142.43318402756663,-61.97917171912846,D,D,B,C,C,E,E,-97.34202802078605,209.14320719184136,C,A,C,108.9622139163076,C,-113.16107158556822,0
Germany,Other,23.47004471595503,-3.7058662851178052,B,E,E,C,A,E,E,64.62952043849346,-66.98858705475432,D,E,C,-30.0726378425296,E,11.998776227013657,1
Germany,None,-30.557266079051836,106.25795536682934,E,E,C,D,C,D,A,-29.574142238193318,130.04620468168676,C,C,B,179.6617828568091,D,4.70804698444186,1
