RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Other,D,-69.69521161489686,23.02610674556945,B,B,B,B,62.385576780372546,E,17.672581460606672,8.060740758423298,C,E,E,B,B,A,E,1
Other,C,-54.66878085679444,37.510832651014525,E,D,C,E,-22.816703521226135,D,-22.0585606396606,1.9417930079786312,B,A,A,D,E,A,C,1
Other,D,-60.118624877700476,-158.52676409665284,D,D,D,D,88.0663735144634,C,-59.64645700518542,-89.67424859842241,B,E,E,B,D,C,C,1
Other,D,48.37969781751708,77.13659681745202,E,C,E,C,-98.61117685103363,E,-54.565331327196375,103.80023785088326,E,B,B,D,C,D,E,1
White,B,-58.81983265794323,-176.3917061199272,D,D,C,E,-38.58344306261474,A,-169.4979522817589,68.86937618448965,C,E,A,E,D,D,D,0
White,A,-126.37166377607325,12.959079588548825,A,B,D,A,242.90846290235595,B,4.831282658183939,-5.442462510891988,E,C,A,A,E,D,A,0
Hispanic,B,-8.00305323114852,-29.084233229198798,B,B,E,A,-213.623844401121,C,-117.82257161521765,176.55804879068648,B,B,A,B,A,C,A,0
Other,D,-98.70881491766127,-180.0756388583525,E,A,E,C,-46.72621054055017,C,209.31012654529576,-31.958925236930085,B,D,A,B,E,C,D,0
Other,A,-140.04239131265035,-3.71930525279347,C,B,A,E,44.45677072615879,D,139.63642720314488,132.4558808779454,A,B,C,A,B,D,E,1
Hispanic,C,-109.00424070047166,140.81911398952838,E,C,D,C,18.727571761391097,E,-69.30148833241736,206.14008290771974,B,E,A,C,A,B,B,0
White,B,-30.547792935811515,-21.715686001299964,E,B,C,C,36.46998011184002,E,88.48568641214457,89.14060765030332,A,B,E,A,D,D,B,1
Other,E,79.66096167709186,-99.3681937708073,A,E,B,D,226.10442064994163,E,-0.3133199603030804,-22.018033179588866,A,C,B,E,A,C,D,0
White,A,-132.22797115745337,-153.5419867150951,A,B,C,C,265.1304395370155,D,204.84597279785334,109.14621455341708,A,C,E,E,E,A,C,0
White,D,-5.765107461407384,-79.17778917862731,E,B,C,C,-74.88147959174404,E,-52.01522888157935,155.4231025433621,B,B,B,B,A,B,D,1
Asian,E,51.97828470932625,63.455494617454576,D,E,A,A,-67.12677034152678,A,-23.667423378667003,-238.45491870603345,D,E,A,B,A,B,E,1
Black,C,71.42279570319518,113.07052988478026,D,E,D,C,-156.6204628374787,B,19.26252268896237,54.804449430591305,E,E,E,A,D,D,E,1
Hispanic,B,-0.6307892564990722,150.7878621462331,D,E,B,A,-135.97244588358146,A,111.30618103509894,-49.57190632202336,D,A,B,D,A,D,C,0
African American,D,113.8504078065201,134.94695965824184,A,B,E,D,-27.511081178209913,C,-148.62865147633636,113.42418050676501,C,B,B,B,A,A,B,0
White,B,-141.03801068192348,-15.378930200202607,C,E,E,C,142.834646895721,D,181.60438168980798,-32.816560596462644,D,A,B,B,B,C,D,1
Asian,C,-106.90486818575873,-123.4713400946167,B,E,C,D,-10.16661351359663,A,-99.27409079512974,37.53069448990612,A,B,E,E,B,B,E,0
Hispanic,B,-100.67704011455582,55.55788696764178,D,C,D,E,140.75635194372055,C,-182.4603218342201,-67.4154686254022,E,D,E,E,E,B,B,1
Hispanic,E,51.49566992260907,102.74064482244529,D,A,C,A,-122.97650812959888,E,67.71471174676009,135.1409385220159,B,A,E,D,D,A,D,0
Other,E,-39.86427227754348,71.46883740162585,D,E,D,D,-64.0960646441877,E,152.12841128959374,-20.906821322640234,E,D,C,D,B,A,B,0
Black,C,27.460432610453083,-108.27680761304028,D,C,B,E,-50.47873179697966,C,-18.54559095208184,-63.836823938330326,E,C,D,C,C,B,C,1
White,B,28.221384379509235,92.00764196259314,A,D,E,A,8.61338086908595,C,98.21578450996947,81.61649334222726,D,E,C,D,C,C,C,0
Hispanic,B,129.40523516236343,-72.06698976001785,C,E,B,B,69.23198347999103,A,-57.26248346038791,-30.38700474082525,B,A,B,B,A,C,E,1
African American,D,177.3505059599902,-31.356459255572723,E,E,C,B,-305.4215204264485,D,151.891382871925,29.802609451855954,A,B,B,B,D,D,C,1
Other,A,140.71175574125533,-134.18852183954064,C,D,D,D,47.15398479315051,A,-93.6768744561384,-116.62183351780102,C,E,B,D,E,E,E,0
Black,C,-1.873711627908059,-5.82260695588086,E,C,A,E,63.810030193298296,E,123.4788606023998,120.9156600626474,C,D,C,E,C,B,E,0
Asian,D,-50.077884502387604,142.61223965823106,E,E,C,B,-168.47468811872622,C,38.03356246245612,70.81654122513524,D,B,B,C,A,B,D,1
Hispanic,A,16.292324898912376,-9.041314968917117,A,B,B,E,-52.87473849680262,C,120.20067390347864,308.26328723085743,B,D,D,C,C,A,E,1
African American,A,-125.78820475120534,-66.53353765212718,B,E,A,E,-125.49107056056616,A,-52.38152111710942,-34.332239088123515,E,A,E,B,E,B,D,0
Other,B,-38.36073879693259,-50.6890521726391,A,C,B,B,101.50533357450098,C,-83.33412851612306,-160.21808636299505,C,D,E,A,A,D,E,1
Other,E,-95.18776015111888,6.580467265517162,D,B,A,C,150.8249268971373,E,15.30666991100644,-1.7861157266910292,D,C,E,D,E,B,C,1
Black,E,-67.77500870803495,31.29823521373849,E,E,B,E,12.648407212669666,D,-39.442045699292386,-55.914671734492984,B,E,C,A,A,D,E,1
Black,A,-51.38496288240412,-21.309036915326093,E,B,B,A,-40.082639132535505,B,18.872961227084787,-170.87598231690782,C,A,A,E,A,E,A,1
Asian,D,21.11244433996268,-58.44981844469144,C,B,C,C,105.26634865854676,B,-21.828379411810335,-34.60518151663828,A,D,B,A,B,D,A,0
African American,D,-0.2931528343334207,187.75797955557337,A,A,A,D,244.6464922022109,A,-86.77467548780497,130.88570889671274,C,D,A,C,E,B,E,1
Hispanic,D,104.82014744795099,142.4251896749774,A,A,E,D,-11.964602580609487,C,-92.86613584610642,-83.47574290702792,D,B,C,A,C,A,C,0
Hispanic,B,-103.94124928470032,-209.48056736944704,E,C,E,A,67.30501259996954,B,-4.217547719529446,34.56517612736684,A,D,D,C,B,E,D,0
Other,D,-81.4190102204552,54.13920758170361,D,C,C,A,165.2395754973509,C,40.72996592508422,-36.81157239908166,E,B,B,D,E,D,C,0
Hispanic,D,29.00917915917961,-85.69348721944087,A,C,C,A,28.73504732639353,B,38.15219678257242,-152.81738876111382,C,D,D,D,A,C,E,0
White,D,69.04700399722995,-2.5168893669573666,D,D,B,B,0.6216111357767263,E,48.02045597473592,-56.70818152563655,D,C,E,D,C,D,D,0
White,D,47.08324444933897,91.70467200222909,D,C,B,C,-4.45047352020721,A,-191.81847482825546,-20.875445152162207,A,B,D,A,A,A,B,0
Hispanic,B,55.88447207615107,-55.49459015080124,C,A,B,B,-163.73503406629266,B,4.608115968435072,-65.21421663719529,B,E,A,B,A,C,A,1
White,B,-124.42645987605687,48.53867659505735,C,A,A,A,-52.95045617618971,B,-84.21508195002102,-7.6309523025779065,E,D,E,B,D,E,A,0
Asian,C,-75.1578308621648,-28.032624505283128,B,B,C,C,47.829575413814524,B,-88.8692067356444,-45.11015926303587,D,E,B,C,E,C,B,1
Black,C,212.35240526862157,133.74967926580132,E,A,A,D,-103.6438896831938,C,13.646201241735284,-122.65934309876263,C,A,E,E,A,E,B,0
Hispanic,C,206.60996903101662,10.871753718910973,D,D,D,E,8.85737390920794,D,8.773445373382378,20.117765481338022,E,B,E,A,E,B,C,0
African American,A,276.7257658967513,-33.12378724326005,C,C,E,D,-50.85258626399421,E,-91.13686755266802,99.8084624799126,E,E,E,D,C,A,D,0
Other,B,-377.0461688481572,51.04543548475336,A,B,D,B,-45.77450061334826,D,75.07850429116051,7.394416958369139,D,D,A,E,E,D,B,1
Black,C,20.011172206995433,-135.07254284545914,E,A,E,E,5.574129319254225,D,-128.3547638710986,-27.525745947886666,A,C,E,B,D,D,B,1
Black,B,31.3049160368094,82.76903449942583,B,C,A,E,-2.279200556556591,A,30.74742953219365,-83.89171289205576,B,E,B,A,B,C,A,0
White,C,-20.80839022138189,87.92501716471767,E,B,E,D,-35.41494295950906,D,191.9367677127785,104.67556170067145,A,D,B,B,C,D,D,1
White,D,32.56311014256707,-9.358674015967669,B,E,D,D,62.06397760069924,D,-118.66930756975738,-37.70567606447663,C,D,D,E,C,B,C,0
Hispanic,D,155.15628084536036,-72.09281754061786,E,D,B,B,-161.9229179660029,C,-93.43513262118644,-210.98997731496502,A,D,C,D,A,C,C,1
African American,E,48.70600764583381,-180.10316458067922,A,B,D,D,-37.572516118671615,B,-105.61733884863476,-87.30890194320357,C,A,C,C,A,B,C,0
White,E,113.60302017069732,-20.026898524196916,C,E,B,C,8.669755150311019,E,-115.40453444837662,66.85067287928456,A,E,A,D,D,D,B,0
Asian,E,61.798163366375356,-35.59000728992738,D,D,E,B,182.9006263430992,B,126.69409820334327,-128.43561786443064,A,B,C,B,B,C,A,0
Hispanic,D,-54.909776783560694,-165.68344517932752,A,D,A,E,10.173718137250829,C,-22.050124895822236,259.8153478025457,E,C,D,D,D,D,A,0
Black,C,-51.679326546727836,-51.63983195027968,E,E,A,E,-129.50572073429382,E,79.2569955421866,65.83118892156794,A,E,A,E,B,B,B,1
Other,E,140.37787973595198,-49.510131965238145,B,C,B,C,22.913053093018952,E,-136.45189539832472,-64.12839675851352,B,C,C,E,A,D,D,0
Asian,C,55.196488983199934,-190.44953724046866,A,E,C,D,19.33631670850756,A,4.271373447996245,57.343865839930466,C,A,A,E,C,A,C,1
Other,C,150.54292048596056,-110.19159027692692,C,B,E,E,63.41252193246041,D,-75.20880917754289,46.04173458092004,C,B,E,D,B,C,E,1
White,D,-92.97695687228259,-105.33534947740347,D,D,A,C,-66.72000419300304,A,-0.32492386847462046,40.2478262213737,A,D,E,B,D,D,B,1
Hispanic,C,15.945154407594517,-175.41841228993403,D,C,A,C,-63.04879252607334,D,42.27147661051658,-195.90954087316143,A,D,A,D,D,C,E,1
White,E,-77.15803401934704,-84.15245784809781,A,C,A,A,37.701950015651796,B,-198.63266487890513,34.59455724600528,D,C,B,B,B,B,A,0
Other,C,-13.860773769770402,217.23036811228465,B,D,D,C,103.68316410366694,A,52.79125421467879,78.17832004624901,B,D,A,A,D,E,E,0
Other,A,54.302018163304986,10.164945822276291,B,C,E,E,138.53172932038723,C,145.17670938391933,-102.46924409080032,D,A,E,E,D,D,D,0
Asian,D,-39.628236195341096,97.07882341865015,E,B,E,C,127.93550529404445,A,85.57248657234443,3.320939668857133,E,D,A,A,A,C,D,1
Asian,B,103.1810444376112,31.14663106027332,C,B,E,D,186.78935981874187,E,-146.4352295861435,-15.249530131786434,B,E,C,C,B,B,C,1
African American,E,6.2012294696645345,-137.42562597869744,A,D,B,B,96.09113559534951,B,-168.05505213705067,180.46799079410917,A,D,B,B,E,E,A,0
White,D,175.4850979358792,34.60273562540278,B,A,A,B,-116.65378612269583,A,76.72596996519555,23.103854159656837,C,D,D,A,C,E,B,0
Asian,A,87.96107253377976,113.50161672414434,E,C,B,C,21.77567581389559,A,-76.68252085144451,-76.01812423608047,E,D,D,A,C,B,A,0
White,D,-1.9989556070005736,158.67249151390575,E,A,C,E,22.872751172701562,B,-54.46681983482405,-180.3483693644237,E,A,A,B,D,D,B,0
Hispanic,D,-5.275185450135217,118.59838300462842,D,D,E,C,136.5363524886448,B,112.08033301381315,-22.4133148573796,B,B,D,D,D,D,D,1
Hispanic,A,-34.89694874227541,-79.356269210106,C,D,B,C,50.14872035080333,E,80.50683187186694,-97.69198790023749,A,A,B,B,D,B,B,1
Black,D,4.619542127044418,-86.70986033701172,A,A,C,B,68.53491011825854,D,178.2115923593373,-48.37680100041313,D,B,D,E,A,D,D,1
African American,B,-44.530173408390105,45.88972825289151,A,E,B,A,-45.55769728821304,A,-48.02959373139163,10.045034683568824,B,C,D,D,D,E,D,1
Hispanic,A,-32.8823010835609,53.84049398394109,B,C,B,C,-89.63458264976934,E,27.21822532844972,242.72899681421106,D,D,A,C,E,B,E,0
White,B,129.11354155750135,72.65372555558002,B,C,A,A,-59.16489910811664,E,59.79974533176098,122.86261898819673,D,A,D,B,A,A,D,1
African American,B,-14.243084097065777,-24.729798179619205,E,E,A,C,72.60212645787384,C,2.0132555538155557,23.996455833179155,A,B,A,D,A,A,D,0
Black,A,31.511903902522114,-58.027700916023626,D,D,A,A,-71.2969106840425,E,16.746845558422972,-175.2139525899838,E,C,B,A,C,E,B,0
African American,A,-38.523327940419335,38.23586105587081,C,D,A,A,60.54780682186812,E,245.80571360244522,-34.686453284763154,D,C,B,D,E,E,E,0
White,A,50.88233473975151,-128.22080085251565,C,E,C,D,96.80580002743099,C,32.87812512800446,134.1706485589266,D,D,D,A,E,C,B,1
Other,E,69.07236383857312,-29.63898472797512,D,E,E,D,-6.651829934463683,B,67.173790629261,-91.94666290497018,E,A,C,C,B,D,C,1
Black,B,60.44794773860643,-160.9504234795019,E,D,B,E,-80.70104572668845,B,14.000046869802835,37.65916460081766,B,D,D,E,E,D,B,0
Black,C,-13.666550908022579,-144.7340357600784,A,B,E,A,-120.9139773112107,E,-70.38509269161217,152.8522051772519,D,C,C,E,E,D,A,0
White,D,158.95814392966997,21.394606942904527,C,A,D,B,-143.18851797096647,E,-128.5438242861705,-160.22140111693452,A,B,D,B,A,E,E,0
Other,B,-64.7298902896312,50.88126896292234,B,C,E,D,103.24604101447798,E,-45.84613976595275,-14.897421138438736,B,D,A,D,A,A,E,0
White,C,285.80009322505055,-20.568085343600448,C,E,B,A,-249.59972353810426,C,-9.637915759198426,23.803507792595887,C,A,B,C,E,B,D,0
Asian,E,-284.026778289369,-107.85922183294068,A,C,A,E,-78.48981038847349,D,25.405354864423984,17.872032385561905,E,A,E,B,C,A,B,0
African American,C,-15.417406786569144,-26.10874994509072,A,A,D,E,-62.45428216168861,A,-39.59086598025826,-246.03384634980085,A,C,D,A,C,D,A,1
Asian,A,114.1858238219052,-83.47526639756116,E,A,C,E,-170.60579608396068,C,16.8589402032817,-197.65115984355427,A,E,B,D,A,E,B,1
African American,B,-46.716197688054564,11.78864462779751,E,C,C,A,-105.29366290057254,B,38.78252742637525,-0.8886536089805726,E,C,D,A,D,B,C,0
Hispanic,A,-55.164068533817535,-185.02359304537,A,A,D,B,15.680031140036244,A,-40.27892410766758,-13.00977709689374,B,C,B,E,C,D,C,1
White,A,18.16868492957312,-67.93584454765437,A,B,D,A,66.83766505292277,A,118.21525344787864,97.62254791362668,E,E,E,D,A,B,C,1
Other,A,102.29917637492483,-76.08720491243957,E,B,E,C,13.885255298888788,A,-25.78078065820437,-5.046176900306261,B,D,D,E,C,B,A,0
Asian,E,49.534636667372375,-5.568902331982971,C,D,A,B,144.97642067969286,D,133.88033459821455,-92.17751421556648,C,A,B,B,C,A,E,1
White,B,51.87813759078369,-223.6707776576944,B,E,E,C,0.3783882070498274,E,106.55163791093692,-1.4990464475587153,B,A,B,C,E,C,A,1
Other,D,-139.09797907169838,-57.210060254848884,E,E,D,D,-57.353444807009005,B,72.70178479257281,22.782783773918947,D,A,E,E,A,C,B,0
African American,B,149.34732902147866,-124.38616655918489,D,B,B,C,-26.05366500984595,B,-34.482996446138486,9.008089648452392,D,E,C,A,C,E,B,1
Hispanic,D,0.5449571824663458,-22.973991600504238,D,C,C,C,107.03194104350608,A,113.07407447295088,-0.12455229309489674,B,B,A,A,E,C,C,1
Hispanic,A,-101.29673040887559,-75.96026289362302,B,A,D,E,4.954345622066436,B,50.53221657839375,14.95455534250247,E,E,A,B,A,E,E,1
African American,B,75.66856787357801,52.377080478489034,E,B,E,E,-84.58155531998872,C,97.88831290100697,-150.95257241150875,A,D,E,E,A,A,A,1
Hispanic,C,-98.88863544782812,150.25970429527072,D,C,C,E,-15.143219724710063,B,27.462855537638887,23.948904843498852,D,A,E,D,C,E,C,0
Asian,B,-34.975950863578056,187.70670413894467,B,D,D,E,95.86606638310997,A,67.89368925179465,-113.09073786010231,A,C,B,A,E,B,B,1
Black,B,43.197341009631394,36.395057429456216,A,D,B,A,29.28477676546879,E,-12.076323398998648,-31.527806253209633,B,B,B,B,D,A,B,1
Black,D,-121.96640798649003,-99.10376831236486,C,B,D,D,-159.2111439062883,D,-12.009617964896183,-96.45327083887037,C,A,E,A,E,D,C,1
White,D,24.723467210187632,26.302143702184484,B,C,D,E,5.3279621817499905,E,26.17287841912827,-35.4537756282291,C,A,C,B,C,A,E,1
Black,D,-157.96040550084015,24.20116238033675,B,B,C,A,58.999156645514276,A,-135.5187957347444,-172.61114707869217,D,C,B,E,C,D,C,0
Asian,E,-63.014457657138145,-5.256019089609163,B,C,D,E,203.079509706426,B,60.97675553231793,100.32623410446324,B,A,C,C,E,B,B,0
Asian,A,-15.928287481826105,-73.38553559399344,C,B,E,A,-46.6746447414206,A,22.346847821029414,-155.25902205187225,D,C,D,A,E,A,D,0
Hispanic,E,65.954449445701,-8.054387675638445,B,C,D,B,185.97273434032456,C,-40.33567275270891,-61.086466826508726,E,A,E,C,E,B,E,0
Asian,B,20.00720234645532,-122.88995832227194,E,D,C,C,115.38938946630309,E,-44.63838668354046,-115.19098217555069,E,B,C,C,D,D,D,1
Other,C,-20.106154198941674,-115.841435938253,C,C,A,A,-24.27449355150994,B,-8.693303688637679,134.3392286883469,D,B,B,C,C,C,E,1
White,D,-45.81829407662623,-68.76711079226823,E,D,A,E,57.45856874572457,D,-100.39190253081472,27.89774043163304,E,E,E,A,B,E,B,1
Asian,A,-52.75196636138829,-94.87618611029241,C,A,E,D,-24.19340338956621,E,195.19329637229822,-171.83611220144144,B,D,C,C,B,C,C,0
Black,C,-104.10852644615731,192.12256801175002,D,B,E,C,-88.72268903235877,B,-8.702460232292886,-196.86909057901335,E,B,D,E,A,D,D,0
African American,B,142.84567933146323,-28.882281496592654,C,C,B,D,-20.393996267276616,E,5.163203481490588,-63.47089143317599,D,A,E,A,E,B,B,1
Other,B,-106.1340807293343,-85.99435488732863,C,B,C,A,134.54364083888416,D,-60.665220800352515,69.90725835120239,A,B,E,A,A,D,A,1
Hispanic,A,-87.7887460366608,81.96252184946634,E,B,C,D,-87.0633377423525,A,-142.49780716409677,13.485435875312971,B,E,A,B,E,D,C,1
Hispanic,E,23.96485986054899,-30.976975917890144,C,C,C,D,-45.11561779809407,A,-101.69098506856483,-76.27005670962315,B,A,E,B,C,C,A,0
Asian,A,8.68688530106854,220.56403496751474,B,C,C,D,41.53735405440539,E,67.10112311541063,76.54989684532147,C,E,C,C,D,A,B,0
Asian,D,-98.63777034344218,-81.54895361842057,B,B,B,D,45.02722318367905,C,32.524830414177025,42.475365346949985,E,C,C,D,C,D,C,0
Other,B,116.04563154852762,88.67585813132774,A,D,E,A,-70.1973325707083,A,-14.207315431368151,-45.400949648685874,C,C,E,E,B,E,E,1
Asian,A,76.19321705292627,-23.5958924799504,D,D,E,B,-61.1346938342913,B,-74.00869915531639,-168.09499886175973,B,E,E,B,D,A,A,1
Black,B,32.65237347535857,-126.65182804746584,A,E,D,B,58.62243540706073,B,115.49518849422937,100.2480398307779,E,C,B,E,A,A,B,1
Black,E,195.77795147071396,3.154874213119273,C,B,A,A,-9.342294979579762,D,-93.16841422048692,122.72797071174062,C,C,C,E,D,A,E,0
African American,C,-90.772377319864,-10.224555160763375,A,C,A,B,18.008883655719625,D,-140.79557290148367,-44.782401410047015,E,C,B,D,D,B,D,0
Black,C,-27.300853407256497,-24.61509455354296,D,A,C,D,65.23910124486936,B,55.358084303975694,-55.36643369875139,A,B,A,A,E,D,E,1
Black,D,-221.0791497383899,36.44279166618473,E,E,E,D,-48.564468918446906,A,17.35343665863595,-71.15702026718907,C,E,E,D,A,C,E,0
Black,D,-90.05948052691201,137.05806712528144,C,E,A,B,42.535176473110646,C,-177.5360503397964,-92.79007065594136,A,B,E,C,A,C,B,1
Asian,A,-81.315107403278,91.79240563800633,C,C,C,C,13.593189949208984,D,263.21915778119245,207.5754503362952,B,D,D,D,A,C,E,1
White,D,119.5925199318649,42.23495827915871,C,C,E,D,27.745191891010755,E,-61.180110750657455,-152.4448267122853,C,C,D,C,C,A,D,0
Other,A,-234.1515907833582,40.013405328823985,B,D,B,D,19.810618481437224,C,120.05927839619433,132.3380345551347,C,E,C,E,C,A,E,1
White,B,-141.1232533621638,79.33848124963447,A,B,D,D,-255.59494222541554,D,-106.99569611334915,-45.510020372606405,B,E,A,A,B,E,E,1
Hispanic,B,-95.46295324996782,-213.57114681072656,D,A,D,B,148.7048869426139,D,-125.19690603082358,107.12187748294497,B,E,E,E,C,B,B,1
Other,D,80.02523624905706,-64.30022645611241,C,D,E,B,144.9788724306214,E,-77.38701753383707,-121.38052306134712,E,C,E,E,D,D,A,1
White,E,190.485148493589,98.6555562584346,E,A,E,A,-95.46063239574293,C,-9.078677685965129,-102.96174202460303,A,B,C,D,A,D,E,1
Hispanic,D,173.1901759022911,131.62245841395043,B,B,C,B,12.581740871014805,E,17.797937161115478,-233.3003256674066,C,B,B,C,A,C,A,0
African American,C,89.9805415342196,51.26504770494075,E,D,B,B,16.824391081438947,E,-20.410934581519687,19.399421494780086,D,C,C,A,A,D,C,1
Black,B,14.553366500727424,-116.23888566347087,C,C,E,C,-133.80146004058196,E,-43.96172538315833,18.94481687920161,A,D,C,E,E,D,E,0
White,A,229.36672112660324,64.90724373880539,C,B,A,E,16.204104480490177,E,39.738989447972216,-2.1732049559202897,E,C,C,E,D,C,C,1
Black,A,-152.90796901672144,-69.67148244286763,B,E,A,E,-28.125079358747897,E,58.032441541919376,17.273916689353083,C,C,D,A,C,C,E,0
Asian,B,-122.7376555979743,-159.1585953643311,D,A,B,C,-42.41777587463263,C,38.87923690939808,46.77752282574251,C,B,D,B,B,C,D,1
Hispanic,B,59.04926693845838,25.705866819739427,C,D,C,B,-92.85243430876663,C,-59.98384552069162,-103.64399848887619,E,D,B,E,E,D,B,0
Asian,D,104.97552708373279,78.66784878660698,D,E,B,D,-111.01475490637121,E,-24.90686402219639,-48.101739710794156,C,C,A,C,B,B,D,1
African American,B,-7.954717059265228,-128.8389940454679,E,C,D,C,110.22788573802585,E,-199.09803007298146,-151.8857826336838,B,C,C,C,E,B,E,1
Asian,C,1.7907948190325353,-41.40776156660268,E,B,A,A,-30.613002997319754,B,-63.815776259246206,-19.526128775313417,E,E,D,C,A,C,E,0
White,D,-19.906855267900582,-81.55514891139954,D,B,A,D,184.2470173590863,B,-82.213168575724,-40.59858782909464,C,B,C,E,B,A,E,1
Black,C,114.20345630836934,21.479989634726383,A,B,D,A,-36.85619183105286,B,17.220174163938644,-138.77549236441894,D,C,B,B,B,B,C,1
Hispanic,D,168.1373941155668,-36.78129108683088,A,B,C,D,16.43836022923027,A,100.58908936145272,-166.16704528660628,B,C,D,A,C,A,A,1
White,A,-9.123238171468394,-165.19666709145235,A,B,A,C,47.558200233292034,B,-75.94723958881428,-209.82608865986694,C,B,A,E,D,B,A,0
Black,E,104.93156836753106,10.797703150979899,D,D,C,C,195.8282900491197,C,46.2287908911039,-79.45599734732554,C,B,A,C,B,B,E,1
White,D,21.57191727697441,-282.99300695199514,B,B,A,B,81.48261356079807,E,8.176450279746769,44.771303351907015,E,A,B,C,A,E,C,1
Other,A,39.46701935927257,50.31109237869615,A,C,E,C,29.85843489761818,B,112.59676967219063,-51.178898664955696,B,D,E,E,A,E,C,1
White,D,-100.48302465362067,11.936086686690729,D,B,A,D,115.42081631483876,C,-47.556373775310696,10.338385871287183,E,E,D,E,D,A,A,1
Asian,B,19.921150184171914,50.68073215486228,A,B,B,E,-55.6109964105965,D,-18.33352908098197,-15.64529710219432,D,D,D,A,A,B,E,0
Other,C,-89.64119206650267,160.69248143995839,A,B,C,C,-113.14787683990781,D,308.8881629331893,-210.88101005466294,D,B,B,B,E,D,B,1
Hispanic,D,99.6178672584596,-111.88717793978039,A,E,B,C,82.3314842461438,E,114.30490308025259,9.717526063983895,E,E,B,C,B,E,D,0
Asian,D,-51.16003925589089,-13.475702737655759,E,D,A,D,51.5225853356117,E,-54.29749486104154,105.95009537087527,A,A,D,E,A,B,E,0
Other,A,-140.41071127191168,-17.523561112460605,B,A,E,B,79.21751409698626,D,-24.87131942745291,103.19590982322823,E,A,C,B,E,A,D,1
Other,B,-50.94078876744229,-16.38858194131653,E,D,A,A,-72.14819216193236,C,-164.40072835261162,136.89712721370398,E,D,B,E,A,D,A,0
African American,D,-136.31422308801265,-13.463457213063853,C,B,A,B,-58.81093165775535,E,-48.4688341770131,80.56196878267589,A,C,E,C,C,D,C,1
White,C,-58.87336774184776,156.1472310571296,A,E,A,D,-221.5044291409728,E,146.60096310772002,-39.8587980559106,D,C,D,E,B,D,E,1
