sex,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Male,99,-213.6658927005884,-121.64935598669115,E,C,A,B,D,E,E,95.11213641416899,E,C,C,B,0
Male,55,-50.70424795398425,-7.1355828835209705,E,A,C,D,E,D,B,74.37102947010995,E,C,E,A,0
Non-binary,55,-8.838586849754062,168.57168376874338,D,C,B,C,E,B,C,35.79531921915179,C,A,B,A,0
Non-binary,36,-85.26124906402555,44.789835544894444,A,B,B,E,B,C,E,-92.7922724300594,A,B,B,A,0
M,59,139.71108666615163,-53.67596109133837,B,B,C,B,B,B,B,113.61868973728029,A,A,E,C,0
F,65,-36.47575488158828,155.6294160311037,C,B,C,D,B,A,A,-74.79033574444611,E,D,A,E,0
Male,21,90.79808060727326,-115.63956100464199,D,D,B,B,D,B,B,-53.97881952283959,B,E,B,E,0
M,94,134.9812306057576,-105.9540639972095,C,B,D,E,B,D,C,97.47369437746171,C,B,B,B,0
Female,64,100.15130933068536,-121.76487907014383,E,B,A,C,A,A,E,260.1910976288178,B,A,D,E,0
Non-binary,81,16.029028054099527,-285.14706386663505,A,E,E,C,E,C,D,37.73043502607022,D,E,D,D,0
M,68,-60.548581926337654,-76.28462996368592,C,D,C,B,C,A,A,-32.18251039867713,B,D,C,A,1
Non-binary,93,129.92680262742715,63.16701160714927,C,B,C,E,C,B,D,66.31286221388788,A,C,D,B,1
Male,37,143.6834018348929,-4.915418926561226,A,D,C,B,E,A,B,-16.499405485505267,D,C,E,A,0
Female,24,49.14908263313365,-70.22065376131135,C,B,C,B,D,E,E,-127.294139841202,D,A,C,A,0
Female,48,-69.82650859538046,-95.35281189627905,D,C,C,C,C,C,D,178.4623274594891,E,A,A,D,0
Non-binary,32,-65.17343456050483,-248.046472126335,B,A,C,E,D,B,C,-47.0474339656295,E,D,A,B,0
M,95,79.5788703907728,-74.2587887435503,B,D,D,C,A,C,A,-35.13756681748046,E,B,C,D,1
Other,37,-147.012230292297,-153.03203282056913,D,D,C,B,A,A,B,-111.65543027285855,D,B,C,E,1
Female,27,206.93255007385432,79.9947998067585,A,B,A,E,B,D,A,-78.82161509668272,B,D,A,D,0
M,58,-15.689414761126855,-63.51871764133183,B,E,E,B,E,E,B,112.40965254120674,D,B,C,B,1
Other,82,48.415144741256306,14.981898183221517,E,A,D,E,C,A,D,-211.37182694799804,E,C,A,E,0
Female,74,-29.67811480214781,-22.971340216815594,D,E,B,E,E,E,D,11.239457452644665,D,E,A,E,0
M,83,44.51851618967454,-160.81552001733752,B,E,A,B,B,B,C,-82.07771057074864,E,A,E,D,0
Other,59,39.55204234744037,-157.16992788255263,C,C,D,D,A,D,B,36.157580824239425,A,C,D,A,1
F,60,85.78355316438085,8.823641167542688,B,E,D,A,B,D,A,-1.863545929888748,A,E,C,C,0
Non-binary,64,188.78148133240157,16.34563435936985,A,D,E,A,D,B,A,-194.99113998409265,C,E,B,A,0
Male,69,-48.57148789147694,81.02414802244638,B,B,B,D,E,D,D,-11.022061168328765,C,C,B,C,0
Female,80,-68.19891496773425,-76.26372429081451,A,C,D,A,D,D,A,7.792362638680121,E,A,C,A,0
M,75,-151.7501322849298,112.54241999900843,A,E,A,C,B,A,B,-120.23942877559048,D,D,C,C,0
Non-binary,69,-6.904432818380868,83.40943789122622,B,D,C,A,A,B,A,-50.417683364439846,A,E,D,C,1
Female,64,51.251446923037655,-54.09522158590768,A,D,B,A,A,D,A,-136.04502183122864,A,B,E,A,0
Non-binary,84,-59.27322385066112,-113.02286504890502,C,E,D,B,A,C,B,-46.606090708545445,E,D,D,C,1
Female,41,-113.38487420174314,2.745058149920466,B,D,A,C,E,D,B,188.82024399486764,C,A,E,E,1
Non-binary,52,40.92305931368847,42.89109848037353,E,C,A,C,B,C,B,-97.74875728538771,D,E,D,C,0
Male,91,-78.91808311067155,-80.42070108616316,D,C,D,D,B,B,A,-98.91942890987802,A,E,C,D,0
Female,46,61.31286213614183,92.98081079813997,E,D,E,A,D,A,A,252.3954954159747,D,D,A,A,1
Female,96,-20.676438132512228,-28.17387580144084,C,C,C,C,E,B,C,-27.41516857691824,E,A,C,B,1
Female,56,55.63464530768726,-42.13079257921889,E,D,D,B,C,B,C,74.25502220103589,C,E,E,D,0
Non-binary,86,19.503814751780347,9.145985368640645,D,B,E,E,B,C,B,-214.3490043882138,B,A,C,C,1
Female,21,2.422247325090207,-151.8702437610131,C,D,D,A,B,E,A,-65.87360832785288,A,C,B,B,1
F,84,-129.04875164168828,-141.10801515529045,E,B,B,E,A,A,C,-68.95252889904471,C,A,A,C,0
F,97,-4.643231436536413,-47.81862340091826,E,C,C,A,D,D,A,-11.333059718663531,A,A,E,E,0
Non-binary,69,43.475929214264895,-28.722335888304958,E,B,C,E,A,D,D,93.02638950117984,E,B,A,E,1
Female,31,12.75980227316739,20.9019493991509,E,B,B,B,D,C,E,83.58828839015386,B,C,B,C,1
Other,49,5.1057606591678395,25.98931601403477,A,B,A,E,E,B,B,-132.88337004237704,C,A,B,D,1
Non-binary,31,42.500012277836916,-94.25128127557977,C,D,B,C,C,B,D,-39.11532378872953,D,A,B,B,1
F,95,-138.45047764917516,86.770929654753,B,A,B,C,E,B,D,62.39434005633606,C,A,C,A,0
Non-binary,80,-230.98487607804987,54.596639516908226,E,E,D,E,E,B,E,55.748732139052606,D,B,C,E,0
F,18,24.823299133864815,-103.50183263520518,E,D,C,A,B,B,E,-139.93047034811897,C,B,C,D,0
M,84,-15.041830348320948,-49.67076963018032,E,E,A,D,B,C,E,-169.5305447526916,C,C,D,E,0
Male,64,-2.4192534722131924,50.0473488559784,E,B,C,E,C,A,C,-180.42440636138767,D,C,D,D,0
Other,19,84.68882844454598,-80.7381031471667,D,C,B,C,D,C,B,93.93485638638515,E,D,E,C,1
M,40,36.65219195471549,-28.919162944428585,C,B,E,C,E,C,C,54.71368406831443,D,A,B,B,1
Other,74,49.6387150176493,53.8607202117215,D,B,B,C,A,A,B,120.92043622375161,A,C,C,A,0
Other,61,85.45243938878369,-91.78978755468749,C,A,D,B,C,D,B,-22.730672048701713,D,C,B,B,1
Female,75,288.81538405392274,-78.23729118188706,A,C,B,D,D,A,C,-115.94591807425016,E,A,D,B,0
Other,28,152.09028946063825,101.1579346540733,E,B,B,D,C,C,C,244.00820765507382,A,E,C,E,1
Other,96,23.286452261941143,-22.03708996349826,B,D,C,E,B,C,D,290.5659728800427,C,E,E,E,1
Male,58,-153.32782777905075,252.41715084783795,E,D,A,C,D,D,D,-5.059756988662184,C,B,B,B,0
Other,88,-226.16434852785622,135.43732924303808,A,C,D,B,D,A,A,180.49017078520802,A,E,C,E,0
Male,93,-83.66358649190056,20.085954699627884,D,B,D,E,D,C,C,14.639448896325902,B,B,D,E,0
Male,27,123.93569962799089,84.75858808765072,B,A,E,C,C,A,E,-218.5708310757061,A,D,C,B,1
M,18,64.48097326800803,-96.67218035378441,A,E,B,E,C,E,C,57.31854664977438,C,E,C,B,0
Female,83,1.809507559896194,-32.17811828991507,E,A,B,E,C,E,C,107.09388016255667,E,C,A,E,1
M,32,72.75222843540854,1.8973393474745088,D,D,B,E,D,E,D,332.58986514824664,D,E,A,B,0
Male,73,44.546675426828756,-4.145938457080485,E,B,C,D,A,B,D,-103.95552965402632,C,B,A,A,0
Female,81,-66.30103082996052,84.63546021728511,D,A,B,A,B,D,D,38.975986859333545,D,A,D,B,1
Other,84,-205.33215727224072,-37.97661194262044,C,B,A,B,B,D,A,-31.300856137805123,B,E,C,E,1
Female,89,-184.67613821110356,67.12213804110246,C,C,D,E,E,C,D,-71.35088830095036,B,C,C,C,1
Female,84,97.9217632467735,-24.142120641059897,D,C,A,C,D,A,A,16.059869884797386,C,B,C,C,0
Non-binary,65,-90.65357418175124,-67.12411665068261,D,C,D,D,C,A,E,-95.46291407286115,A,C,C,C,1
Other,35,111.63264500444778,-60.53959057561574,A,B,B,B,D,A,C,72.68529624705201,B,E,C,E,1
F,95,40.28010129649423,82.88738692644361,D,A,D,E,E,C,B,-39.19705887794171,A,E,A,B,0
Female,95,-153.84714212813972,-129.07998566489593,D,B,B,C,D,C,C,-248.57018321285076,B,C,A,B,0
M,60,-272.4878142174087,154.79672340941525,A,D,E,A,E,A,B,-50.50824042313838,E,B,D,D,0
F,61,-120.73586234162998,-157.08334785710437,B,A,B,A,D,C,B,37.30100929588906,C,C,A,A,0
Other,56,104.80904461825308,14.61086300034134,A,C,A,D,E,E,D,-45.507449523969804,A,E,C,C,1
M,90,-112.41846271526201,8.463708756100589,B,E,A,B,D,D,D,-205.12881706143835,A,A,A,D,1
Female,81,109.19095401602006,23.661609126667823,E,C,A,B,B,D,B,-8.428624034780293,C,A,D,A,1
Female,37,-29.03100515254663,-87.87846688769375,C,B,E,C,C,A,E,-55.73511766910721,E,C,C,C,0
Female,29,-165.2779700174906,110.57538820844816,B,D,A,A,E,A,D,105.27416414839519,B,A,C,C,1
Non-binary,74,23.875163259499892,143.5144418417525,C,A,E,E,E,A,A,97.88409336925716,D,E,D,A,0
Other,90,-6.075038443006564,-89.46423193720017,D,D,D,B,C,B,B,-138.48629510614617,A,C,C,B,0
F,26,-47.654509524837216,-93.77470206051427,A,A,A,C,D,B,D,108.40920414647961,E,A,A,C,1
Non-binary,20,-59.00362959721793,-115.98287184228768,B,A,B,E,C,B,A,-181.2126495457767,A,E,A,B,0
M,81,-111.392272784037,-139.66882104229617,D,B,B,C,C,C,E,-82.67658970830037,D,B,B,A,0
M,66,-102.81629423134217,-130.50510879397746,E,D,D,D,C,A,B,-31.92305384459638,C,A,C,D,0
Non-binary,27,38.10939796745841,-101.39456651342317,B,A,B,C,B,B,C,55.93345959291531,B,D,D,B,1
M,51,-11.184235071251084,61.61040094419842,E,E,A,C,B,A,B,-32.09459771754919,B,C,C,B,1
F,61,50.702106911101744,-44.596220407541004,A,A,E,E,E,C,A,162.55502036107023,C,C,C,E,0
Other,82,2.072494255922347,11.752197866450015,E,B,D,D,C,B,A,51.8049766800051,D,A,D,A,0
Other,28,47.06652646848625,114.7951268373889,E,E,E,C,B,E,D,120.33972811266835,A,B,B,A,0
F,53,-86.93109886472283,47.07273302916587,C,C,A,A,E,A,D,-93.51256827977186,E,A,D,C,1
Other,88,-76.70146642339688,-12.580338829799562,C,B,A,C,D,A,C,26.6782378621385,C,A,B,A,1
F,19,9.296068995648298,127.6522519296683,A,E,E,E,E,A,A,84.08904002448178,C,D,C,C,1
Non-binary,42,-78.1638689327652,113.71546365723208,B,B,B,B,E,E,B,-11.663578929940803,A,E,D,E,1
F,20,-0.4313300888746821,22.36134512933266,B,A,C,A,A,C,D,105.43495337519482,A,A,B,E,0
M,64,-165.3744069854876,104.08523251330055,E,E,D,C,E,A,C,215.75951418547626,A,A,D,E,0
M,94,135.04036757044986,122.42516577157491,C,B,E,E,A,B,C,92.57440058853476,A,B,B,E,0
Female,62,-12.605132163794488,-13.548617755515544,E,C,C,B,E,C,A,9.865529843018644,C,D,C,B,0
Non-binary,94,81.18746935681624,46.51168533033611,B,E,A,E,D,E,D,43.68926722310276,C,B,A,D,0
Male,65,-2.793373070946391,-7.880302451919498,D,A,E,E,B,D,C,7.657292516627143,B,B,C,A,0
F,80,-111.51461194475584,176.46638909179345,A,A,E,E,B,D,C,68.04307127030211,B,B,D,C,0
Male,82,111.34460801943395,-33.09202575022246,D,C,A,D,B,B,B,65.42134880376489,E,C,E,E,0
Non-binary,21,-67.67430981102841,128.72865308687125,A,B,D,C,D,B,A,-105.09779748082842,C,E,B,D,0
F,50,139.7710001011822,88.1852993389559,A,C,A,A,C,C,C,-10.949414293365601,D,B,B,B,0
M,30,-124.06532938591359,87.92056081457393,C,A,A,A,D,C,C,53.57008020123447,D,E,E,A,0
Other,29,147.48460937723848,-119.19812721646927,E,B,D,C,B,A,D,5.2980213534149945,E,C,B,A,1
Other,27,27.233203114741166,142.23243237785812,C,C,B,B,E,E,A,77.08323000771009,E,D,C,C,1
M,80,68.09730791569845,30.103782622239027,A,B,B,D,D,B,E,92.75705232052545,A,E,C,B,0
Female,56,97.7580095843573,90.93505631109413,D,B,A,B,D,E,C,91.36606255921272,E,B,D,C,0
F,95,170.43288241774178,19.089748485283327,E,C,C,A,E,A,C,-123.8339330540487,C,A,B,C,0
Other,54,3.7332560370207846,-67.6072799726776,C,A,C,D,C,A,D,0.07948789637062617,B,D,A,B,1
M,48,88.61305878188178,-43.26533824549772,E,D,E,A,B,D,C,-20.96435699977381,D,D,B,D,0
M,27,-274.3401829676889,-89.82997354106172,D,A,E,B,A,E,B,35.206774597818054,C,A,D,B,1
Non-binary,63,-176.73328685716334,286.3301295948147,E,B,A,A,E,E,E,7.746671266335779,C,C,A,A,0
Other,57,82.09106948571664,-145.26002405705384,C,E,E,D,A,D,A,1.4238947485656,C,A,C,B,0
Female,81,115.16732891948371,36.53010992647648,E,B,E,D,C,C,A,26.3328850488103,E,C,C,B,1
Non-binary,44,69.28311066877814,174.6951703383952,D,A,B,B,C,E,B,-14.333076968221448,C,E,E,E,1
Other,84,23.264002636883767,36.69176104917412,E,D,E,C,C,D,E,-25.854302994867574,B,E,E,A,1
Male,19,196.86616083904514,-6.170687811962421,D,B,E,E,B,E,C,13.11886826925569,A,B,B,D,0
Other,26,72.53740560010499,-39.40397447648572,E,C,D,C,B,D,E,15.38376963923145,E,B,A,E,1
Male,72,-204.47941596599782,59.110405083514216,C,A,C,D,C,C,E,87.26206493051501,E,E,B,D,0
Non-binary,94,20.253563007588077,42.53478127844861,A,B,C,B,A,A,C,-86.6039316951353,B,C,D,D,0
F,66,20.81550981450072,-57.93295510176705,C,A,C,A,D,E,E,115.70383210761636,B,B,D,B,0
F,32,-153.8516387461319,-2.434394370275935,C,A,C,D,A,B,B,141.98828035489427,C,A,D,C,1
Female,50,-97.82556806061775,-126.470266221128,D,D,E,A,A,E,E,64.2367496003343,B,C,D,A,0
Female,53,28.6705712961854,-35.073530994504296,A,D,E,A,B,E,D,7.4131735696813434,C,A,C,A,0
M,64,168.39385484651146,-90.46390597752342,D,C,D,E,D,D,E,-54.27702791919561,B,B,D,E,0
Non-binary,21,-15.912933035873941,-80.79953983656918,D,C,B,E,E,C,E,-94.45281862845029,D,A,D,B,0
Female,79,118.59935603485405,-345.4497159689135,E,D,D,C,D,A,C,17.802111624914392,C,D,B,E,1
Non-binary,90,-123.67920489887376,-22.989477734008535,D,B,E,E,D,B,A,59.08186687376914,A,B,D,D,0
M,46,31.30598663087863,24.843586020860254,B,C,D,A,E,C,A,-90.14908296713456,D,E,C,A,0
Female,83,-32.617073741162386,22.994391368670435,D,C,D,C,A,B,C,-111.73358216202094,E,C,C,A,1
F,84,54.347718940662034,36.75975987115016,E,E,C,E,C,D,E,-120.19872104352997,C,A,E,C,1
Non-binary,94,-66.04564294992637,-9.240373379460513,B,A,C,C,A,E,C,10.235585184305384,E,B,B,B,0
Male,84,-27.084394791018106,71.40395289954964,C,D,B,D,C,D,D,-81.27727706351932,E,D,D,C,0
Other,30,109.33407440623515,-111.16173171370396,E,A,A,D,A,B,E,67.87987330488468,B,E,E,E,0
Female,74,159.30472860075656,102.16679665488122,B,A,D,C,C,D,A,27.047632011464867,A,B,D,D,0
F,27,70.70190506931928,180.9123438105021,B,E,E,D,A,B,D,-157.95061711959295,E,A,C,D,0
Other,54,-60.19471870737242,-62.57358802861083,D,A,B,B,B,D,C,2.716104788217847,B,A,D,E,1
Non-binary,73,37.521008535639524,-163.15448927917453,D,A,A,B,B,C,E,0.5768967714390298,B,B,B,B,1
Male,97,22.563104796536294,-123.75505378473324,E,D,E,C,B,D,D,-7.6820337902838585,B,E,B,C,1
Male,71,226.37194194674834,215.6020077934348,C,B,E,A,A,D,E,23.738065192499313,C,A,E,C,0
Non-binary,24,-23.235895139439265,-6.812448729346861,C,B,A,D,A,B,B,63.53369271633157,B,E,D,A,0
Other,88,83.45989262203692,178.55572188788986,A,E,D,C,B,C,D,-40.16269186868418,D,A,A,D,1
M,93,-97.49719463103085,33.677731156461526,D,E,A,B,C,C,D,173.78790772420643,D,D,B,B,1
M,27,19.10822135474526,176.83758795723224,E,D,A,C,E,D,B,28.186080397832917,A,B,A,B,0
Male,63,-118.96706523557532,21.895137373507595,A,C,C,B,A,C,B,-37.39506487801489,C,B,C,B,0
M,77,15.172642131064693,-59.37705108545467,A,B,E,B,A,C,A,-133.46755602923847,A,A,A,E,1
Male,81,126.1975319063288,-34.25227216747274,B,A,C,E,E,D,C,18.69731620713723,D,A,E,D,1
Non-binary,77,147.08795486172096,-85.06535236938977,A,B,E,E,B,C,A,-143.31813585924655,A,D,E,B,1
M,29,138.55276821655073,-246.6342549315768,C,D,A,E,A,A,C,176.935394107756,E,E,A,A,0
Non-binary,23,110.25209896385569,67.32737359306253,B,B,A,A,C,D,C,-124.59636433347482,B,D,A,D,1
Female,28,80.03002342766571,4.540198678730711,E,B,E,C,B,C,E,-221.64516557690007,A,D,E,B,0
Male,46,133.99132275693788,-26.492586349701686,C,A,A,D,A,B,D,-15.77572914044382,A,E,D,D,0
Non-binary,71,-258.58236662850186,70.90544466355027,E,A,C,D,A,C,A,110.57994742141703,E,C,C,C,1
Female,89,-43.26454527297883,143.1090808515691,C,E,B,A,C,A,C,99.73576303207761,C,D,E,D,1
Other,98,-12.092964714791202,10.920662582959395,E,B,E,A,B,C,D,91.0447700759247,A,C,C,C,1
Male,26,346.05850277693605,38.2455308499426,A,D,D,E,E,E,D,73.60650906258351,C,C,C,A,1
Male,51,-28.05426800908511,-109.15869193122745,C,A,B,E,D,B,A,-21.676544570755212,A,D,B,A,1
Non-binary,33,-223.57904269633028,-153.17024945904268,C,C,D,D,E,B,B,-52.94224069382013,C,D,A,E,0
Female,19,48.175804298835374,-236.90563184606754,E,A,A,B,C,A,E,304.88824680032815,B,A,B,C,1
Non-binary,20,-36.37166853873624,-40.155768567815564,C,A,A,C,E,C,C,182.7670686560692,A,D,B,A,1
Non-binary,94,-292.99573258094483,-163.56875409056533,E,E,D,C,A,C,B,53.31850508166045,C,B,B,A,0
Other,34,5.105107107958041,11.868552922637946,A,C,D,E,B,A,B,-60.08106755163044,B,C,A,A,1
F,34,1.937003174487015,107.47013693283051,B,A,A,B,C,C,D,-46.52555421657303,C,E,A,E,1
Male,93,-104.52694075265782,-68.5609065081519,C,D,C,D,D,C,C,-64.62479420094796,E,B,B,B,0
M,50,170.07350262890898,-56.26353795491951,E,E,C,D,D,E,A,-126.80728031372209,E,E,C,E,0
F,61,-281.77215389055294,156.47628963883506,C,B,A,A,D,B,D,-3.3080152763761466,C,C,D,D,1
Other,79,-41.92241463517127,-12.720011409544307,D,C,C,E,A,A,D,-70.12705452702156,E,A,C,B,1
Non-binary,66,-27.65302439359132,74.00528568361526,A,E,D,E,D,D,E,73.49860277969066,C,A,D,B,0
F,26,3.821817532664263,-78.37326781155237,A,A,E,A,E,D,A,11.646621836508025,B,E,A,C,1
M,21,-69.51207370353237,112.51436531170127,B,B,D,B,D,A,D,99.18455546740947,E,E,C,D,0
Female,94,-34.735124687498406,73.38476970707913,C,E,C,B,E,C,C,164.88969184893162,D,B,B,E,0
Other,71,34.58880306244835,183.29603953679336,A,B,C,A,E,B,A,12.674223804641894,C,B,E,A,1
Non-binary,33,-46.17352316451889,-18.715433441201952,D,D,A,E,A,B,A,-64.4077054664896,D,D,E,B,0
M,96,-31.76682396276541,-71.09091125532612,E,C,D,D,B,D,A,-69.26449313063011,A,A,B,A,0
M,23,17.060211858884145,-61.7741378812768,D,B,B,D,D,D,A,-56.50015988266356,A,A,D,B,0
Male,72,110.07419325470565,-45.9913153378937,D,A,B,A,C,E,B,108.63628580238165,D,D,A,B,1
M,40,-9.113017514051272,168.14144527316347,D,D,B,D,B,B,E,-51.641870600436945,C,E,E,D,1
M,79,-127.71509366235546,52.732807181890706,B,A,E,B,D,B,D,128.1718732429515,C,E,A,C,1
Female,78,78.65322942909677,-36.926262908994865,B,B,A,D,B,D,C,-19.282267401042123,E,C,E,B,1
Male,70,12.778188855853687,-39.24111053374787,D,C,B,E,C,B,C,147.18096793477866,A,D,A,E,0
Other,62,-35.13831125443072,-76.83677652220749,E,C,D,D,A,C,E,-52.19763735153013,E,B,B,E,0
Other,23,-96.667126135218,-19.403972624565796,E,E,E,D,C,E,C,-166.76238032628515,C,C,D,D,1
Non-binary,72,-46.87605716593263,-11.502774270806858,A,E,A,E,E,B,B,111.65515595568269,B,E,D,B,0
Other,47,44.197795245370166,-220.74850429640554,E,A,B,D,C,A,D,-39.69948141377777,C,C,D,B,0
Male,88,-101.10734284621547,186.73823651475962,D,D,B,B,D,B,A,-82.36957683167357,A,D,E,B,1
Female,78,-1.8404423763284599,-30.76131756097694,E,A,C,D,E,C,E,-84.46164720019316,D,D,B,E,0
M,44,66.34948410019426,-102.08697535399487,C,A,E,E,E,A,A,-119.52993971419845,B,D,E,B,1
M,91,-67.89761981044148,43.049412568843366,B,B,A,A,A,C,E,-100.71838114916103,D,C,C,D,1
Non-binary,35,10.658459313207565,19.44799671510808,D,C,B,C,E,A,D,168.88118185802438,B,D,A,C,0
M,72,40.206427853306515,-12.336177193927057,C,D,A,D,D,E,D,47.67093461963896,B,B,A,B,0
Other,68,-35.43012609080157,188.87821741793653,B,B,E,A,B,D,C,-125.15853151230527,A,E,E,A,0
Female,27,-310.7638772587068,106.85125971374218,B,B,A,B,A,B,B,62.35256927680547,C,E,D,E,1
F,71,89.03164215597586,170.42139246061402,D,B,A,A,B,A,E,101.52673486323447,A,C,E,A,1
