nationality,military,orientation,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
China,Non-Veteran,Bisexual,Jewish,-208.9124671183308,-74.2744959364669,A,A,D,-118.94246534626774,-32.05607901191904,D,B,-92.27426016699532,1
India,Yes,Other,Other,-208.43946665945947,59.56318236950654,B,A,D,175.33824959869372,-38.53585963521662,C,E,-178.30595504676876,0
Brazil,Non-Veteran,Other,None,-23.059410381808675,106.94752097780022,E,C,D,40.056462261088626,44.01616544811174,A,E,99.78562583063515,0
US,Non-Veteran,Other,Muslim,-6.841927372018502,47.09914530460904,E,B,B,-25.686777975004517,-91.12069313729812,D,D,-8.60015916885238,1
UK,Non-Veteran,Other,Jewish,94.64445262425157,223.35014842242322,E,D,E,-75.59717198909435,85.94162719113461,C,B,141.07853194546172,0
UK,Yes,Homosexual,Muslim,52.74672459870794,-34.96279677441761,D,D,D,-77.21196245009924,68.49892219551597,D,B,-3.954665860265891,0
Other,Non-Veteran,Homosexual,Other,247.59311304434956,-139.2341651046641,E,B,A,22.187006281574735,118.77157612235311,A,E,44.83067234547266,0
Mexico,Veteran,Bisexual,None,12.15686812699433,-8.133572698804068,D,B,C,97.85177546042716,35.39403462243277,A,E,87.82153233420303,0
Mexico,No,Other,Hindu,59.33531807805627,-35.507377437629,C,C,B,-15.489334752076426,-15.933766655230745,C,C,12.571457222391134,0
Mexico,Non-Veteran,Bisexual,Muslim,-14.636450854689182,-84.46649460608927,D,D,B,177.10781601744057,73.63189855988782,D,B,-24.785189976939908,1
Germany,Non-Veteran,Heterosexual,None,-55.208404922479474,-15.138903387663547,C,B,C,132.66732298544684,-5.591121981378122,B,D,19.147780835514407,1
Other,Yes,Other,None,-93.0964088769506,-130.14319914179254,A,D,B,-2.328201499120347,102.05142105779426,A,B,153.17492429481138,1
Mexico,No,Heterosexual,None,-32.79690425549356,92.16655931372277,A,D,B,83.69635718411227,4.644658531765145,A,D,73.03269154316484,0
Germany,No,Other,Muslim,-142.1683362945916,36.49158550784832,B,D,C,-74.0617517860552,-79.9302254966683,D,C,-73.76467783070757,0
US,Yes,Homosexual,Jewish,-133.44788963427325,9.826385547721733,E,E,B,145.07529421030253,-125.59271944811394,A,B,11.009029210972773,0
UK,Yes,Heterosexual,Christian,-103.84190386665007,89.88210655498038,D,E,A,14.57338763610228,-180.70741516853604,D,E,34.1837658833784,1
Germany,Non-Veteran,Other,Buddhist,-38.50341260568001,-97.43044274839913,E,E,E,-102.2920811498634,-30.847403467365574,C,E,81.6284627255811,0
China,Non-Veteran,Bisexual,Muslim,34.67469262531048,-8.332743643998729,B,A,A,-194.33214846721972,3.955604345545674,C,D,-7.775587843839054,0
Mexico,No,Heterosexual,Other,7.11824551668625,114.40085422489707,C,B,A,-1.6546292613548574,-84.07690226265771,B,A,194.18054133520084,0
UK,No,Heterosexual,Muslim,11.213674742675192,-28.26507419331842,C,E,B,-121.19113865339652,-98.56009687768386,D,B,-10.36094813840748,0
US,Non-Veteran,Heterosexual,Buddhist,-20.09316267513679,88.06490247451023,D,B,E,-29.532165074657208,123.96990958626546,D,E,40.5207989787931,0
Other,Non-Veteran,Bisexual,Other,302.2647463826886,16.002195372348563,E,A,C,20.477285732613552,42.601001767568924,C,B,-189.22423099108255,0
Brazil,Yes,Heterosexual,Other,145.60619038850888,-28.575031491599606,B,B,C,-8.352883189127391,7.089047562754164,D,E,22.923179098211662,1
US,No,Homosexual,Other,114.85525303910578,156.33202150140124,A,D,A,-119.45700230031018,83.94747722162367,E,B,-131.18576878768542,1
Brazil,No,Heterosexual,Muslim,-59.11245599954502,39.7059093926462,E,A,E,36.28053535105488,-234.75540588970634,E,B,-32.45419400080099,1
Germany,Veteran,Heterosexual,Christian,4.9968304232513905,-59.115448387829694,B,A,C,101.58975268061101,87.85724812511364,E,C,28.583935605442,1
China,Non-Veteran,Other,Buddhist,1.2476729228695291,-122.5247304559155,B,D,C,0.7067698292486213,-281.83293456570266,C,A,13.299999330273574,0
Germany,No,Other,Other,-139.32265470092338,114.8967120656006,C,D,B,-60.792057134592646,55.492724597565676,B,E,9.569422799625475,0
Germany,No,Other,Other,-86.14635895913777,-40.31137813542979,A,C,E,50.205342607384566,-27.14179258527279,A,A,-41.13018937020912,1
UK,Yes,Homosexual,Muslim,-94.28594480409055,-94.6365745832917,A,B,A,89.54434525743554,-57.9815472503668,D,E,-94.66519281210519,0
India,Veteran,Other,Christian,-9.734150798184448,-111.41983892010307,B,D,C,-71.68872221953978,121.11899549648271,D,E,-50.15389714637247,0
Mexico,Non-Veteran,Heterosexual,Jewish,-3.096341989100709,-115.23221161313356,E,B,A,43.56271116260488,21.823589583404683,B,D,-126.96206029556436,0
Germany,Yes,Other,Hindu,4.517667588738812,-30.855948088105016,A,E,E,82.21495086629687,-62.09175422180853,C,C,25.067325513289674,0
Mexico,Non-Veteran,Bisexual,Christian,9.51262057851763,40.31613149704029,C,B,B,-145.6277867203297,-165.3387330424536,C,E,-8.662470572970554,0
UK,Yes,Homosexual,Hindu,39.10228172332149,120.80794342564565,C,E,E,126.95812382474418,125.0273271618343,D,E,-128.11769183110025,1
US,Non-Veteran,Heterosexual,Buddhist,-112.48724558104884,114.30529530641549,A,B,E,-83.57528654335921,50.54253342912912,E,C,-81.09523687204629,1
Mexico,Veteran,Other,Jewish,110.16724411794199,154.11426650913123,D,C,B,47.37150532925039,76.18800074909878,B,C,5.538388665452374,1
Germany,Yes,Heterosexual,Other,-5.409794152263524,-38.421454557577434,B,D,B,41.40534782313625,189.4845599993575,B,D,-25.584401116610845,1
Mexico,Yes,Other,Buddhist,-9.509333166701094,-65.56911610380008,E,C,A,16.1783256413646,125.06773752600114,D,A,98.36566003486612,1
Other,No,Bisexual,Buddhist,79.95589764954345,-14.322320966386485,C,D,B,139.65822161284126,29.211108651325706,E,B,-117.04289848528127,1
China,Yes,Homosexual,Jewish,182.29695441857007,-102.86415367003438,C,C,D,-73.39088809235767,58.76351007250331,A,D,68.954091710842,1
Mexico,Veteran,Homosexual,Buddhist,-42.532477328237874,36.77619132373803,B,E,D,263.9627930420116,-65.31844570197254,C,A,-62.36595924402945,1
Germany,Veteran,Other,None,74.02202902369478,-53.17431891557661,E,E,D,152.5833826747946,-39.621338942134436,D,E,-36.11625705202618,1
Brazil,Yes,Other,Hindu,-95.67520233167842,183.3500571331784,A,B,E,155.69827311082855,-38.54743125393097,E,D,-9.59859407318487,0
Germany,Yes,Other,None,34.94942578030436,86.19766528021464,E,C,B,27.101601382701805,23.635285112852237,B,E,-27.727841297114058,0
Mexico,Non-Veteran,Other,Other,124.39432326343972,-226.17060947292146,E,E,A,-2.406169532727245,31.17122920363822,B,C,-71.88061969047669,1
Mexico,Veteran,Homosexual,Christian,-87.34131660202475,-107.06165970345221,D,D,A,-259.50624418545647,57.38718547881675,C,B,22.812893422398126,1
Other,Veteran,Heterosexual,Hindu,-28.95395503631831,112.10199083160737,B,C,C,194.0652336412654,-90.13629737397204,B,E,-228.77117795440154,0
Germany,Veteran,Heterosexual,Other,35.99006642761806,-220.09650977078988,A,A,B,62.57582808507652,-9.328824673232889,C,C,139.88067462368502,0
US,Non-Veteran,Homosexual,Hindu,91.4383423130397,-34.19063017922563,E,B,D,-72.95338104144203,13.403432192252618,D,D,174.19021985336647,1
Mexico,No,Homosexual,Jewish,-28.318732570961448,-10.721484155782923,D,D,B,109.47486190806957,-83.6681272773149,E,B,13.341047270226728,1
Other,Yes,Other,Muslim,-39.51636989287431,-110.44488359157731,E,D,D,23.563688829098908,53.619815602402966,D,B,-94.85216609412267,0
India,Non-Veteran,Bisexual,Jewish,-67.56098900690675,-48.864000505057724,B,E,A,162.24418108160882,-72.3165907744346,D,E,42.091241905719166,0
Brazil,Veteran,Homosexual,Jewish,39.377591612854864,96.24710037047068,C,A,B,109.49505134747326,-48.439683021346895,D,B,-48.26643277742382,0
Mexico,Non-Veteran,Bisexual,None,171.44133661554318,16.82974442771182,D,A,A,44.709084153260285,-160.97981499420203,E,E,118.82015246869315,0
Other,Non-Veteran,Heterosexual,None,-175.9583015434063,-38.55688156389282,E,A,A,66.46822382207,92.36665989445329,A,D,-159.05139697329093,1
India,No,Homosexual,Jewish,58.94924096314104,93.31558208424569,A,A,E,-121.99866235874568,122.00957276884058,A,C,-96.15815946623256,1
Mexico,No,Bisexual,Buddhist,42.77445220524279,-42.24879929458397,C,A,C,-39.45155447068245,-14.218241728222777,E,B,-145.28602406145282,1
UK,No,Homosexual,Christian,34.3194832926023,10.290143804492262,D,B,A,58.94352306452865,-35.76039190296429,B,D,-50.1777048333289,0
Brazil,Yes,Other,Buddhist,-36.49647050764711,-69.83483862408372,C,E,B,62.06712790030795,-8.347400806865878,E,C,75.02540202322508,1
UK,Yes,Homosexual,Christian,-267.22979079580375,-137.9020644063695,D,C,D,-29.413890368600924,-86.84419353573128,C,B,144.08529852572224,0
US,Veteran,Heterosexual,Jewish,122.00569041282623,-35.14859147175865,D,D,A,-39.90344617141405,-66.99579404860002,A,A,-76.44442174019002,1
Other,No,Heterosexual,Other,122.32821203269295,-157.69760671109944,A,D,D,-51.78311749854958,160.32395838388763,C,E,-77.70118429713217,1
US,Veteran,Other,Muslim,206.5703044014411,70.17088461491419,D,A,C,-14.74319859878102,-82.84360283022134,C,B,80.94775087586774,1
Germany,Yes,Heterosexual,None,-57.00225591560296,-67.20520551384993,C,E,D,-100.63091992129583,98.82492264364579,C,D,21.819936928340137,1
Mexico,No,Heterosexual,Jewish,69.85072000062542,124.61127492706643,E,E,E,-91.26814314716401,25.171086000980015,E,C,27.229754357246616,1
Brazil,Yes,Bisexual,Christian,-3.1315924733822706,-18.20986648180572,E,B,B,14.361611735081963,-46.91927651707623,D,E,102.57942621667075,0
India,Non-Veteran,Bisexual,None,118.73382542103663,42.18101180930815,E,C,A,64.89437956694847,-51.826893519799185,B,A,32.21534937951573,0
Mexico,Yes,Bisexual,Buddhist,-2.134699236115017,3.5533244278251663,E,B,E,81.43227317810025,141.4908083083761,B,E,25.055721870548258,1
Other,No,Heterosexual,Christian,-31.90189468806382,69.07630054310367,D,C,D,-154.7971256980528,-100.46769162205722,A,E,-64.05300751669041,0
India,Non-Veteran,Homosexual,None,-41.434378187614364,107.22124420931188,D,B,B,28.721195330596274,80.71845661118458,E,D,-33.13107215345199,1
Germany,No,Heterosexual,Buddhist,113.22449715429512,-36.19373612963207,A,D,B,19.202737010233196,-0.027500565923111564,D,A,-120.38298261385219,0
Mexico,No,Other,Other,3.8678392405677484,72.7872120715792,B,D,B,-127.43500944956251,-4.569219141925304,E,B,176.0393017160487,1
Other,No,Bisexual,None,154.12392670774386,103.69937884071518,B,B,D,-90.87051031056998,-127.7447552118632,D,D,46.51080621576394,0
Germany,Yes,Bisexual,Other,-43.1639382653594,105.40740971195821,A,A,E,6.049888677679862,-129.1081037223499,B,D,-195.91505046966716,0
UK,Yes,Homosexual,Buddhist,158.2280194214286,-104.7287325588511,E,D,C,-64.40396745841184,-24.076939754755358,B,C,-70.46106555774104,1
China,Non-Veteran,Bisexual,Buddhist,16.097298437002298,185.3243817457488,C,E,A,-38.91704829791605,24.90898042833508,B,A,-114.14715999735098,1
India,Yes,Homosexual,Jewish,177.65080524427955,115.92895772778367,C,C,E,-186.53158579125636,-110.28917251702919,E,D,44.54225146925906,0
Brazil,Veteran,Homosexual,Jewish,-126.92975021387323,-143.69493220297588,B,D,C,169.27739022031625,15.528709853372838,C,E,52.69246340626245,1
Germany,Veteran,Heterosexual,Christian,224.93433198617558,-7.538307954185088,B,A,D,-101.01192270976857,105.99571297291357,E,A,-97.27092665448667,1
Germany,Veteran,Heterosexual,None,104.1600139670692,34.33067045793451,D,C,E,68.12495076583002,-88.28804348265234,C,C,-128.37184109818153,1
China,No,Heterosexual,None,275.640404748713,-81.67962126678583,C,E,B,-158.27722227179885,91.09621208210541,B,D,10.852835434915363,1
Germany,Non-Veteran,Heterosexual,Christian,-62.894465080194706,92.72002111089158,D,B,B,-21.262229154749747,70.85239405403313,A,D,142.5404012009138,0
Other,Yes,Other,Muslim,160.93967833635517,-51.06996713633693,D,B,A,-6.9828886888039925,-42.32667058063803,E,B,51.44684104698535,1
Mexico,Yes,Bisexual,Muslim,-29.506461574934477,-228.96988064630781,E,C,C,-96.11350409894376,49.7788242039763,D,A,-122.5834359420408,1
Brazil,Yes,Heterosexual,Hindu,27.79952860525661,-21.80366265141952,A,B,E,89.36663684831451,37.91126317948773,A,E,-53.953618212586385,1
Other,Non-Veteran,Heterosexual,Other,-91.62190126153045,306.38799271646366,C,C,D,-83.26345779749346,-210.21062762083477,C,C,-66.90104084554541,0
China,Non-Veteran,Heterosexual,Buddhist,49.87319577256294,5.6187191030609185,B,B,C,-95.24019237478497,-75.69905553395955,C,C,-155.33888763461857,0
Mexico,Yes,Heterosexual,Muslim,-5.544393526115346,32.83794719320326,B,E,C,-152.15223488513567,87.33985809623057,C,A,98.83778019097305,0
India,Veteran,Other,Hindu,-114.7492180735606,-114.34325358323562,E,B,D,38.82065745612403,-113.28289224251273,D,E,113.53830687656571,1
Mexico,Non-Veteran,Bisexual,None,-64.94470235359498,-16.437297160252225,E,E,D,19.139652500055348,28.029429915656333,A,D,150.65694679927654,1
China,Yes,Heterosexual,Other,119.18434613903415,-123.71919425919606,B,D,D,36.37293700862069,20.61538295948823,E,D,2.96246979117244,1
Germany,Veteran,Heterosexual,Other,-101.58992953396447,-37.72028273674549,D,D,B,31.3033663218443,41.141495954066336,A,D,-187.41898644419496,1
Mexico,Yes,Bisexual,Jewish,-159.12547742408861,183.14509224231125,C,C,B,-129.06098354249488,93.40169014707925,E,B,39.57223956726926,1
Other,No,Heterosexual,Other,-23.31536315537362,63.22074374893029,E,D,E,-0.06664931199760231,-78.33520648787577,A,A,20.991899573881394,0
US,Yes,Bisexual,Jewish,-119.06552142418836,-55.383692848900935,A,C,A,103.15494471019264,24.042049930092553,E,C,-198.32735801008093,0
Other,No,Bisexual,None,192.86554173759848,-35.79179591807314,D,A,E,6.0532218016424055,-110.13480648965827,A,C,-47.05990605153165,0
Brazil,Non-Veteran,Bisexual,Hindu,24.7386946550135,-69.07354465789886,B,C,E,8.344725910582577,-89.1831890236301,E,B,78.35720655379482,1
Brazil,Non-Veteran,Bisexual,Buddhist,-79.9393947278513,100.96630501007355,D,C,C,-201.4568717168956,320.90942589258356,E,A,25.418906160850373,1
Other,Non-Veteran,Bisexual,Hindu,51.67477987387167,-35.11638380111475,D,C,A,11.680806929272727,34.54170271771701,D,B,41.63613830090841,0
US,No,Bisexual,Hindu,-141.46687283916023,-75.91237680444397,A,C,B,-244.13110787947946,-101.2754568273127,E,B,41.3548830394832,1
Other,Veteran,Bisexual,None,-146.64202045881876,17.92058672006264,E,E,D,-96.35723773809943,-110.39757862485064,A,D,139.0106390062545,0
US,Yes,Bisexual,Hindu,-74.91486537700675,-74.21047788718028,C,C,A,159.70577293502964,-18.428152169996725,A,D,-12.374906874714526,1
US,No,Bisexual,Muslim,-12.617469097516393,106.21458573303786,D,D,A,40.100713598470286,140.6609361995111,D,C,209.93078307107527,0
Brazil,No,Other,Christian,22.221430526021052,-129.65336350270704,E,B,D,-58.43581140240851,-99.0432400501511,E,B,-98.32637432579745,0
India,No,Heterosexual,Muslim,101.70847714924251,91.88133961322124,D,D,D,-167.06240249549296,-56.30656727134754,A,C,-80.24976482025973,0
US,Yes,Homosexual,Muslim,81.88483975105083,-76.80175356536749,C,C,C,11.414153095509718,1.994762635683539,A,E,-171.21969717842677,0
Mexico,Non-Veteran,Other,Buddhist,64.71835194924948,123.08915400507333,A,A,D,-74.2279014515511,103.11175893924988,C,E,146.84053030413352,0
China,Yes,Other,Christian,14.295100233882966,47.953349563238085,E,D,B,-101.0206415264018,99.28372968923125,A,D,-244.65173450225097,1
US,Veteran,Bisexual,Christian,85.96476931412778,84.73112553043218,D,C,C,115.90208918928553,-29.27434281561712,E,C,-22.690837099466673,1
India,No,Bisexual,Hindu,-53.63307923843692,66.60763929091135,A,A,C,107.70948667284948,77.93560865795833,A,B,81.9154048858997,0
Germany,No,Bisexual,Muslim,-158.97397736978803,-32.19903552831862,D,E,E,-25.796863372052574,-5.715026403086981,D,B,-25.557028782946162,1
Mexico,Veteran,Heterosexual,Other,-194.11296022665647,10.828691959256092,B,B,E,-14.279272452784117,-286.6251774869685,C,E,109.79277912204435,0
Germany,Yes,Heterosexual,Christian,-89.3083753505309,-181.90623898002838,D,A,D,254.56444365063535,-57.93709082152092,B,E,-73.96403766411615,0
Mexico,Non-Veteran,Bisexual,Other,90.83377551782425,-44.207230032692934,D,D,C,16.51084388847718,-115.6623787993021,E,B,-126.88253565660419,1
Other,Non-Veteran,Bisexual,Jewish,57.38881910925795,-88.46487940337033,E,D,A,-6.730039853222139,-16.851365114335913,B,C,36.6281282105998,1
Brazil,Yes,Heterosexual,Buddhist,-42.24815330488546,111.65439051698488,D,E,C,58.16717589258047,-83.8384978001826,B,D,-65.87887568060685,1
Brazil,Yes,Homosexual,Buddhist,184.1596581071122,-59.71806072858518,E,D,A,84.99673360691273,-65.7717486857762,A,B,-67.68204716987846,0
Mexico,No,Other,Christian,-85.95253635237758,3.8490299535252612,B,C,D,-92.36856912063719,-66.52901940883508,C,E,-85.40216189101453,1
Brazil,Veteran,Bisexual,Christian,168.34319931454934,-43.605161590272736,A,D,C,89.75069867775638,-150.35306995478172,C,E,32.37057787678529,1
UK,Non-Veteran,Homosexual,Buddhist,-23.98483649937492,86.1241687335237,A,A,B,125.44292148545178,104.78894897335044,A,B,66.92630143747851,1
Germany,Non-Veteran,Other,None,-5.139595210392845,-24.89695982185215,C,E,E,-8.968975560179713,-69.89005189396296,A,A,161.82412025441837,0
Brazil,Non-Veteran,Other,Christian,118.47575076236869,-8.760138764075512,E,E,D,-122.51583577067728,-13.35410691472742,E,D,-29.387438683111135,0
US,Yes,Bisexual,Other,-148.10884642088857,-19.998395649527957,B,A,C,-133.9857662218049,110.00837290132282,A,B,93.12663634612025,1
Other,Non-Veteran,Bisexual,Jewish,-50.67931716392402,27.017061705509683,C,A,D,-91.3202626155241,-131.23451980491438,D,D,148.34089935596572,0
Germany,No,Heterosexual,None,98.38167311392837,-47.2435819712887,D,A,E,112.54832901132158,-136.26840156616535,D,B,92.85001909863186,0
India,Yes,Bisexual,Buddhist,32.53527641825304,98.51699674586096,E,B,E,-95.56607244084934,-125.53935880648939,A,D,90.98016711346388,0
US,Yes,Bisexual,Jewish,71.82596516984972,-82.52754632891944,C,E,A,85.593280158797,-10.533302195378367,D,C,-0.5820055266363704,1
Germany,Non-Veteran,Heterosexual,Hindu,158.22998896850947,10.51577261784499,E,C,B,195.76397760389165,41.424967741926224,C,C,48.37965990519222,1
Mexico,Non-Veteran,Homosexual,None,-38.79255963334729,194.86787375485662,D,E,B,-69.25813525876326,0.8029536291712446,D,C,2.7948130585799027,1
Other,No,Other,Jewish,-16.322690039822184,-142.73943764436413,B,E,B,130.52892146460815,-262.2479651750387,B,E,181.8698604819177,1
India,Veteran,Homosexual,Other,-35.13817277798919,82.62671459384654,E,A,B,257.2547377566578,81.40904281653567,A,B,-91.13920235884497,0
Mexico,Non-Veteran,Heterosexual,Hindu,225.16429952098176,-48.705302858690004,A,C,C,-51.076395578144066,5.9840108162861245,E,E,184.96727321766951,1
China,Yes,Other,Jewish,-91.25629407528531,17.064148772357623,D,A,C,-27.406198219105605,-92.00280198929141,D,E,27.369960598550968,0
Mexico,Veteran,Heterosexual,Christian,-81.03722568541384,0.3245325284543744,E,A,C,-55.84685592636646,141.93519263840508,B,D,-56.89124080862704,1
US,No,Bisexual,Buddhist,37.06978852462244,47.232727047000104,D,E,B,61.75228020596945,49.85105858384037,C,E,2.6506919410894887,0
Germany,Non-Veteran,Heterosexual,Hindu,-19.450617849984422,-27.125946751832075,C,D,B,-26.558233034075872,33.71098959758797,D,B,71.63745080007168,0
Germany,No,Heterosexual,Hindu,-23.267628852170738,-105.75134123164982,A,A,E,193.7942582457167,106.58882993023353,E,D,86.54383235924126,0
Other,Veteran,Heterosexual,Christian,31.76417625416207,27.73996819992279,A,E,E,-346.19275507326995,38.52860141005262,D,C,9.87730177773765,1
India,Non-Veteran,Homosexual,None,-87.30124118509646,47.78219300283323,A,A,E,81.45848377285256,-131.33213886265617,A,D,-58.894836709279375,0
Other,Veteran,Bisexual,None,96.73629355019963,97.37735888459375,C,D,C,126.55011630913164,133.98148370661403,C,D,58.13198629867785,0
Other,Yes,Homosexual,Christian,-25.783369925662676,-42.74394804027651,A,E,D,-93.64223287262872,84.58946269803747,A,B,-305.37218864940667,0
Germany,No,Other,Other,-9.380113160706099,25.673257618485714,C,C,E,-197.94487640791843,-200.28810889540424,E,E,-50.55231504444093,0
India,No,Bisexual,Jewish,-1.124079503585989,102.68259083387632,A,E,C,147.7935388599373,-61.22425473129438,A,C,118.07318983385689,0
Other,Veteran,Homosexual,Jewish,75.31124226871007,13.73210987274898,A,B,D,-15.227438864885265,83.71224509400238,B,D,30.82852317678538,0
Other,Non-Veteran,Homosexual,Other,-59.1272441722367,-4.783810209501587,C,C,A,71.24384216966486,-45.82438432043953,E,D,167.7948937678798,0
US,No,Other,Jewish,89.61644984065998,-44.028237808608516,B,E,E,-67.01226141597736,69.48597582710376,B,B,-42.539975517572785,1
Germany,Veteran,Homosexual,Jewish,-100.33009643074287,70.28074340099617,A,A,D,179.65341195268573,-78.63072829074733,D,D,-12.001294162910815,1
Other,Veteran,Other,Other,-233.2524867611672,-48.22098627863337,D,A,D,53.9345508907852,186.49114566054334,C,D,101.78656727192848,1
India,Veteran,Homosexual,None,-97.87476381660764,30.14148593708957,D,A,E,-116.9013044563777,2.05767238247155,E,C,-102.77556572372286,1
Brazil,No,Homosexual,None,-245.89318868104596,37.00977679728138,D,E,D,-50.40627926692436,35.0543628349753,A,C,-53.459214969976955,0
US,No,Homosexual,None,-35.29289992800236,148.92115567819278,B,E,E,140.2181028882727,-207.90882980617295,B,A,-84.69695253297036,0
Mexico,Veteran,Heterosexual,Buddhist,-91.27420966226155,-97.50183097144162,C,C,E,72.58809830122219,-67.51480670634109,C,E,16.976880145817027,1
Mexico,Non-Veteran,Other,Christian,55.291718267725464,-0.9390549071649691,C,C,B,73.41611709509195,37.974981306795144,A,E,74.59113147073103,1
Germany,Veteran,Other,Jewish,18.735500350706282,147.0257656045719,D,D,D,60.33308692800319,-112.60462871362147,E,C,-104.33204308072052,1
Mexico,Yes,Heterosexual,Jewish,-10.947187550629746,31.225543142642252,C,B,A,243.77101403246706,73.71535109483673,C,A,21.846048659439717,1
Mexico,Non-Veteran,Homosexual,Other,65.59435285165375,-124.23557177318149,C,C,B,-42.642155657542354,117.42453693963266,A,E,208.75959341296607,1
Germany,Veteran,Heterosexual,Jewish,-1.8477120385274621,-18.33511650780711,A,A,B,-61.980541932772645,100.59120023266135,E,C,-30.974081316229768,1
UK,No,Homosexual,Christian,-126.46818854182236,-132.87874320953122,C,C,B,169.74731230932323,-18.466285180421927,D,B,-62.052852980477866,0
India,Non-Veteran,Bisexual,Christian,-96.42413324984214,-19.733644631467946,A,B,E,-196.5674307223135,-21.33426262641804,D,D,28.31935451835615,0
US,Yes,Heterosexual,Buddhist,-180.8608214446159,-132.092202567666,E,B,C,-62.85028406330086,104.93234895782581,C,A,121.16377407707787,1
Mexico,Veteran,Heterosexual,None,-47.57945185572992,-59.50748435589581,A,D,D,26.318382778276007,92.15701831017486,A,B,167.08830544648163,1
China,No,Heterosexual,None,33.13926665311491,-79.70693043005225,A,A,E,108.69616121783466,93.42828903235262,A,E,79.3513734114003,1
India,No,Heterosexual,Christian,68.31741061860363,44.82696451187557,B,E,A,-28.00069134302396,52.51122710861581,B,A,-76.14076993641798,1
Other,Non-Veteran,Bisexual,Jewish,-13.465096555859299,-179.0789444690096,A,E,D,-160.0378113989838,-50.79031344336682,C,E,41.34087816512121,0
Brazil,Yes,Bisexual,Hindu,122.57467481682198,39.751733234866045,C,C,C,-43.03096304489253,-8.161559832037693,E,C,155.7668889350643,1
India,No,Bisexual,Jewish,-52.629552813216144,-154.75687125052931,A,E,C,-27.64718025452976,-4.134339513279446,A,A,-16.613073012897882,0
Mexico,Non-Veteran,Bisexual,Other,28.681401801202526,136.67902283135138,D,C,B,11.364027422203717,-96.00657869106362,B,B,-38.21824582801981,1
Germany,Non-Veteran,Other,Christian,104.98303228779908,-62.000799931492864,A,D,E,98.75990084464523,7.884556891754359,B,A,80.61895437426429,0
India,No,Bisexual,Christian,-38.282399064853934,-28.29921916195178,A,A,C,-116.51866635790167,143.22644428035304,C,A,-43.4192381905076,0
Other,No,Other,Christian,17.830352176439305,14.345464350978187,D,C,B,-53.909915353979954,-125.19502451318132,A,B,-113.01096989209505,1
Mexico,No,Other,Christian,45.139751882962734,-81.86524195986642,A,D,B,-62.45750072602553,117.17046643019926,B,A,-74.7307258263339,0
Other,Yes,Bisexual,Muslim,-76.39502167277037,-5.830247936920644,E,A,B,107.91428563975968,21.698160962178882,B,E,28.447284583314737,0
China,Yes,Bisexual,Hindu,-36.15372721323491,243.31395326111073,D,E,A,-113.87807529759122,132.95824126794776,E,B,-4.566794058084966,0
Mexico,Veteran,Homosexual,Hindu,-31.872461790588748,-49.682238964881975,C,C,C,-12.902163549538,3.9629314676794967,B,D,-121.6828614602528,0
Brazil,No,Bisexual,Other,253.8938443480072,86.42293373944413,E,D,B,55.10590631483543,-70.63179545807515,A,C,-9.266274285746135,1
India,No,Homosexual,Muslim,1.2182541095533503,134.30822769833907,D,B,B,-86.93849629815544,-83.03841202244982,E,D,75.6626284412309,0
Germany,No,Bisexual,Jewish,43.41993177045931,-125.73209110744801,E,E,A,-54.86210140680768,95.56834647563423,D,A,-195.80452213259477,1
