country,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
India,Yes,C,B,B,-13.304395599884005,-17.304393544423704,D,-69.27311022315334,47.26374544042273,5.1251621994220615,E,B,C,A,90.25679858529897,-71.6166826166785,-37.281383804590334,-112.64847535011826,0
Mexico,Yes,E,B,E,-33.67249964289589,-138.48558994554463,C,55.4627822587926,-49.62896778559105,8.823296058624313,C,E,D,A,-85.35399384024831,-6.52410033667045,-13.981983501624482,78.12109296904012,0
US,Yes,D,B,E,-144.7653818644194,-134.60843961452215,D,119.0300937836137,1.5149686878012987,18.654757901833584,C,E,E,D,59.59186186975134,-99.78717848675986,106.52051811666176,68.48687985199209,0
Other,Yes,A,A,A,31.39022667124738,109.56555988053265,C,-91.81368321461404,-81.44957739692657,-110.8598915272825,C,C,B,D,2.9322271644159255,-126.84834280383188,-19.89663771325415,38.580442479038446,0
China,Non-Veteran,B,E,B,155.19502435325583,40.882491286610076,A,139.82628037833527,-34.0470092049253,54.24042737094334,D,C,C,E,-71.76429518624616,16.072291656217207,-22.755335539827882,-76.56039883646359,0
India,Veteran,C,E,C,182.5232925933602,32.444249509533286,D,181.3535946768181,100.06342014781657,6.436632241937558,A,B,C,E,-111.47767337261662,-172.6463645641481,-60.94329681214325,19.57189805602154,1
Mexico,Veteran,E,A,E,-64.37182331909919,-83.74762738750296,B,-21.123871127141623,-131.4570066157095,125.76182013029037,E,E,C,D,0.5351485531433481,-88.08050998541836,-63.35413448628493,-6.346459828151743,0
Mexico,Non-Veteran,B,C,A,12.582630691952575,-176.86552867409736,B,37.6263602830484,-29.716707140088577,65.99492872966415,C,B,A,B,46.391147504197846,26.6833085509189,-143.169758115134,92.71771348639885,1
Other,Veteran,A,E,A,-95.90084820263549,-68.14045600347353,A,-103.8194605909697,-13.018015270693217,34.226585451282574,B,E,C,A,69.27109601357884,-5.761520380356546,35.58999789323821,89.60797259575153,1
Other,Yes,D,E,B,-35.818724645875264,-232.71379331197255,C,79.04513764652734,-57.22197615610716,-39.628125729134666,B,C,D,E,55.97365138226612,41.91108695498338,76.08558446814904,26.362563395819183,0
China,Non-Veteran,B,E,C,-27.97127808217818,20.889765919307255,D,3.76115810957667,-43.48224788086647,-3.637966257088375,B,A,D,B,-27.0584808038427,-129.7301530683905,13.564184197807352,56.245558811402155,0
US,Non-Veteran,A,D,C,-19.797414930291733,-129.16465372556942,D,-126.51158543647884,-54.4171359048063,-23.79454459418252,A,A,D,B,-67.42142005532455,-74.33961562122397,67.93990681749152,87.91354865907294,1
China,Yes,A,D,B,49.759641873437964,-234.66346148213577,B,-23.655176081277006,20.391658587700064,-34.486799141248945,B,D,C,E,-129.16441502461439,-98.45052627380826,-21.669486289111227,-118.86675261013278,1
US,Veteran,E,A,C,-33.8290276055411,38.57249322871718,B,49.03392796523017,-109.81135601460792,-5.981105939340463,A,A,D,D,-55.92451638357381,-31.775589807049414,-182.51541016070806,-41.4228043376826,1
Brazil,Yes,C,D,E,19.482673829079665,-170.77791596917115,B,-58.740004506899325,67.97774919240518,23.956890931552383,A,B,A,B,-195.17851821697664,3.4512391830975555,103.34078338621333,152.61485872479915,1
Mexico,Veteran,B,B,D,20.542400417595907,69.44800164192868,E,79.27966916803247,-14.6724123833093,-5.9332224850886375,E,A,C,C,-67.16758972346175,27.3634641451153,178.74033266324645,132.51526624373068,1
Mexico,Veteran,B,D,A,5.670546034488508,133.3676795841879,B,74.16076696793361,138.51477093035362,41.97534822160315,A,E,D,B,-163.97841146418634,1.5206600808192896,-93.44746872463567,-39.37357202258439,0
India,Yes,C,C,A,-144.80033297381928,-15.897825512729518,C,71.33390066640996,-25.717014768006074,-112.16477494265978,A,B,B,B,7.942393556513638,-42.70885353325687,17.05028416243785,26.951502737257986,1
Other,Veteran,A,D,E,-83.87625297776728,-119.40399721883904,C,-17.778749182219308,311.0766261302831,84.60339314098599,E,E,B,A,82.74522774707822,-152.85558685668795,-8.85030966711224,-118.95200052524835,1
Brazil,Non-Veteran,D,C,C,-288.38292331645755,-16.75514576199623,D,-24.755322399175483,-112.79014269232492,-127.71376878864602,B,A,A,A,-69.9846865782646,14.904022543588697,-33.554206346197965,-54.532221059391084,0
Mexico,Veteran,C,B,C,133.52744631046752,-138.30893666527913,B,48.622505725647976,-219.52410670061738,98.1307865063355,D,A,C,E,14.808310732063646,19.40959152335655,13.932151053615204,151.56010142875886,1
UK,Yes,B,A,D,116.02539608288814,112.97180686500117,C,-238.63263945703267,-28.517061907291506,13.315830676922403,D,E,B,A,30.002353764450113,-52.055287813130725,129.1922961693055,26.930107015803078,0
UK,Veteran,A,C,A,249.40461345859237,-21.597047181581512,D,95.94999097477375,149.11137053901308,-63.5116610164659,B,A,E,A,-223.89981581065138,52.4933032515112,-18.64054666762087,-12.48628962420116,0
Germany,No,C,E,B,-59.56746257567005,141.06806894150404,B,-31.551100968059647,-54.67277258493599,-21.09694372293457,B,A,B,E,31.415108121301234,-50.118446570303554,142.36476121838456,-16.81735180668306,0
US,Yes,E,E,C,-83.38623576070586,-57.25087437817435,A,224.91769439648291,-17.194705447466763,146.4239049457243,E,C,E,A,-39.65722778305211,-146.67420257300162,-93.60697617852843,87.6337684638539,0
China,Veteran,C,E,C,-77.91159117326323,17.748861201160825,A,34.69552316225631,-2.8760868716705477,180.2569912760046,B,E,A,D,8.25936076124786,-46.54428972021001,12.747549615696984,72.75285373463461,0
Other,Veteran,E,C,B,-106.19849560977703,42.15162219810848,A,-28.23517264764594,17.40283713527098,-177.7298673715062,B,B,C,A,-52.08513826437526,12.713919576754924,-98.32772679113427,31.182608251749866,1
China,Veteran,E,E,C,-170.33606287020794,62.79589569696027,B,-80.38441320207585,-153.47561607403284,-94.5942054443801,A,E,E,A,-40.188456675886265,140.46095520640216,-68.95306434383448,20.916543326577532,1
UK,Non-Veteran,A,E,A,-146.88720096652804,105.06832918207374,C,34.60462141820647,175.70893456365187,-99.99541459373582,A,B,E,E,40.313378573486396,5.211917915597731,-31.33432406128927,24.9666175051435,1
Germany,Yes,C,A,C,25.184212693839424,86.12566138180142,E,-30.212516490737755,-67.10816903812152,30.705755989435712,B,E,A,E,-34.81566718572352,118.9185224534284,85.45646113022,32.54199132537984,0
China,Veteran,A,E,B,0.8667655289698964,191.97449696705246,B,-138.066704121254,-118.9493587912046,96.03884716620892,C,E,D,A,69.69145708046771,105.79742578156979,19.38190604451782,-46.05360906703079,1
Other,Non-Veteran,B,E,D,-178.70923656397483,7.97569007655007,D,131.55913261779938,39.710127112143304,109.26311099179318,D,A,A,C,-48.24455003286602,96.74262502525006,161.51741829623901,72.15837488195608,1
China,No,A,C,D,-1.8398566270917922,4.0132862679133074,C,21.384338488268565,-113.39097259828341,20.589527883440002,A,E,A,E,-42.9771981579989,9.819988271227128,24.99620952207585,1.8054139314238506,1
Brazil,Veteran,B,C,B,-154.81451484368534,51.081507860504225,C,63.385619100301724,-44.876224252348365,-88.67686264151526,B,B,A,C,-25.50443414684464,-56.39058850035641,45.792466587065235,-63.003802811425814,0
Other,Non-Veteran,C,B,A,-66.92860252957954,113.06080615730971,D,-62.633712280860834,-135.11424571404783,11.198451911113123,B,D,E,A,71.21711632921225,-21.03405599807487,-85.35936191039936,-72.95726690387174,0
Brazil,Non-Veteran,D,C,D,148.8870108190739,12.483555309849956,A,-114.55514854321504,-117.68530521192278,-113.5499249653685,A,B,C,C,105.91623133257954,104.53440953979336,-120.14583200116098,-9.930623394444654,0
US,Yes,E,E,B,-13.12417094825013,-92.74422263938327,B,-18.731239370230586,18.658596904305448,34.2155359626657,D,C,B,C,-36.578383837042125,-23.79544488651041,-33.63905378180034,-85.67001763003516,0
Mexico,No,A,D,B,-9.749334724977277,41.31153905621133,A,-61.82269780529338,-20.432796527048524,-147.1294361282623,E,B,B,B,25.84842897505964,99.12881792314448,211.05211403217194,44.86797208979784,0
Germany,Yes,A,E,B,31.16032532852873,85.08514681012198,D,-118.83615403704499,85.55300607840672,-61.54552684342214,B,A,D,B,79.02010090943737,-145.45656515211715,-25.623937223610245,95.31481002281238,0
China,Veteran,C,C,E,-24.324982132264758,-109.51966854258531,B,-176.86169083652544,-242.2532150929666,5.165463078216854,C,A,C,B,160.9471135849589,-190.56927347805203,128.1381850898054,-76.91334421453226,1
Germany,Non-Veteran,B,D,A,116.23379586175997,-55.20984151219997,D,78.19839089068712,-73.27620051845552,182.02401462261656,D,E,A,C,-122.12889078498688,32.57627874571773,23.078443391021064,-104.87937416033222,0
Brazil,Non-Veteran,E,E,E,30.296420791129375,-112.1590261041167,E,100.65244551842396,-22.83030536592149,-57.3512749031179,C,B,E,E,34.74776978330257,21.595711864660693,-15.094791220167213,103.31972393305469,1
India,Veteran,E,C,B,117.5065390045154,4.429101850577176,C,35.1067315341882,-6.2362613332649826,193.35053934924647,B,D,D,D,-66.9926026127987,20.571806210274197,115.97945242130778,124.94204928860412,1
Brazil,Non-Veteran,C,E,D,72.14643432770366,-18.329615319280034,C,1.124353722751475,-237.44632907769682,23.586689382176097,D,C,E,D,-57.49941083093674,-20.90779574289934,79.7701889250164,-178.76159018261882,1
US,Yes,B,B,B,143.7458517858798,-99.71043920273138,D,-14.93893810983484,-99.39659749908843,-215.26227685451298,D,E,E,C,233.40705315667543,-28.205467140761687,-71.7401176188545,-33.85700477214417,0
US,Yes,A,D,B,27.82207853764418,-187.50502895694322,E,40.63792826530517,44.922595824648184,115.14267453323721,A,E,B,A,76.41289535733198,-62.232498394551115,-33.51025907327629,43.199948764360556,1
Brazil,Veteran,B,E,B,2.0476236311276557,-4.326496724983741,D,100.99506045665683,3.5498532882940372,33.7842658737952,D,D,A,D,22.298795794726587,68.31143287969391,-94.80206540017794,-108.51523966498166,0
US,Yes,B,D,C,-46.521894870532975,118.43243995838573,C,-74.76370780713857,-25.29926737269547,-29.76121164463415,D,D,D,B,-65.31291746885343,131.95799612751537,57.973496684741896,-4.722382954076514,0
Germany,Non-Veteran,E,C,B,72.84479530487431,52.30085834304542,C,-106.20641369274931,-36.251876922929796,96.72349298008692,A,D,E,B,-79.95923003302009,-69.73312572664769,-128.64134133351527,-129.34863931507846,1
Brazil,Yes,B,E,E,-27.74784802362235,141.86354787520713,D,2.7358212329795704,-94.05227815697621,7.186989560951649,B,D,A,E,-122.23505431642963,-10.798324466388056,-9.191976529734658,-123.67247185021543,1
Other,Non-Veteran,A,E,C,-74.84600404601514,-74.1338585659711,A,90.01155396378118,49.14539625162888,99.86633927888029,C,A,E,B,-271.2128854304426,-168.22634568525518,71.67220983319096,-83.50514229516054,0
Brazil,Non-Veteran,A,E,E,10.672896309754904,-13.997163971818024,A,-35.34286577000131,-7.741653780803055,-90.57748577634442,B,E,B,B,-35.528624715638,-160.79226725319063,-108.04113284120005,-12.498110526317072,1
Germany,Non-Veteran,C,B,A,3.410323999396139,0.9932392835054199,B,14.86193813721762,-55.76302712234672,43.86150169278798,E,A,E,B,53.34367109893508,24.621542648856092,26.151478266839657,153.53265529248492,1
Mexico,No,E,D,B,78.55570855748695,-123.50520056544705,D,26.766430428936356,-28.339932318994375,187.52389863361972,B,A,C,B,-51.69722481437886,15.155386893225106,-307.8772918240042,27.919641612746187,0
Germany,Yes,A,C,A,47.6837460242545,94.20580388336384,B,178.25836798049193,10.76625532551502,110.36484460103084,A,E,A,A,107.53626459621213,-23.89697732834644,17.207635132493106,63.19277480967867,0
UK,Non-Veteran,A,D,E,81.15014886839414,104.07601442638541,B,-128.26466652145612,111.16554719777108,-81.97571838901938,A,D,E,B,-168.47282173273476,-177.94530232672662,-17.667150595367353,185.15675696250324,0
China,Veteran,B,D,A,-62.058345150132546,3.480949658596356,C,50.79325396459522,-42.7737425375888,-149.0258868148069,E,B,E,E,6.285631552419159,94.63469438612091,61.61586930946671,-114.39286470011159,1
Mexico,Veteran,D,B,E,53.52790852179206,85.9723828200313,E,-35.83352385810956,-46.66126690309256,64.46286936627882,D,E,B,B,108.8159241726785,-39.577441408612636,192.94891571912427,-27.36467330550682,0
Other,Yes,E,D,E,-184.66659035050665,-30.733589390748918,C,-15.19286712417432,-33.48177374651864,167.60953770617638,A,A,B,D,-46.35459411474133,84.42720932799827,-141.1628035440418,1.818902879992237,0
China,Yes,B,A,B,12.117639016103254,60.60615951120234,B,-15.88801910859302,42.082323413863044,-2.3970621669575745,D,A,B,C,-117.20267948195308,78.05035344997613,-50.407752386884376,-190.18811233473042,1
Other,Yes,E,B,A,30.09553252227014,32.655803165665745,A,-160.11141492304654,-52.49001799245892,-174.24742898383076,B,D,D,D,85.30195966583308,-55.577587696098604,-75.2099936651397,-50.107345383762535,0
UK,Veteran,E,A,B,-53.59108055708634,50.826716145621795,B,311.6150416483761,-35.08631526174547,-174.87237621900675,A,A,E,B,21.067962940872768,6.972334252497875,43.08959777328482,26.199848702833634,0
China,Non-Veteran,C,B,B,9.698754597324644,53.33601692894515,D,-207.34022008705657,-8.824449152688906,-48.20960736268147,E,E,A,C,34.85978276433714,-36.198599668997325,0.31833364580229806,-57.987568351768836,0
US,Non-Veteran,B,D,A,-46.19837566546488,61.334555595546405,B,35.22144974919221,19.795662791421318,88.94417242218096,C,B,C,C,-49.46470828750142,-43.47290177796567,6.110211303666679,81.76601717591046,0
Mexico,Non-Veteran,D,E,D,-0.6894764013934986,-87.68340056007898,E,117.74327938139832,203.96120223164723,97.94675405302216,B,B,A,C,210.17334087294924,45.92970413326619,111.04076232623692,-17.269161897880984,0
India,Yes,D,E,E,-108.47569171246533,80.9498843015576,B,40.58880881186472,174.01049425659642,150.046787935193,D,A,E,A,8.042462938869518,-143.52365291095367,-146.6102740523316,57.79535734988942,0
India,Yes,A,B,E,-99.83097536811756,40.861644838144215,D,124.47978438633301,66.16680792418282,-26.121977127609824,B,B,B,D,-115.54169527408015,75.86386331471442,57.737707060248,241.17555078340564,0
Germany,No,A,D,D,-19.302276712544884,-33.45110065984077,E,24.637993389034037,104.53802104063547,110.16392439645988,C,C,E,D,-170.6962634126076,108.84015007565897,-12.753089607258467,-68.84007075009913,0
US,No,C,E,C,47.76819626101067,24.761984017189825,A,-67.29934843990745,93.80208798347496,35.618689575613644,E,D,D,B,99.42548676158009,-8.934987856906671,-168.55584387173135,127.54848580968259,0
Other,Veteran,B,C,B,53.72251711646828,84.72011962773121,E,11.20970798383583,-95.74866870973779,-4.230120136470484,D,A,D,D,22.88090041989614,-21.663939526358952,-152.82992057117758,-42.510176549785086,0
China,Veteran,A,A,E,125.98305040585961,169.13899637853774,A,-6.424079906223403,226.89479960379967,76.76690435462655,B,E,E,A,8.129048232639944,-159.73823586309274,-145.8251844017451,-127.0237012419114,1
US,No,A,E,B,104.9935370505655,-186.8072285848018,E,53.33694486511072,30.43371330329297,-146.56631490792037,C,B,B,A,73.95999393355706,-10.011160344151415,40.45057498185181,-112.3283868833074,1
Other,Non-Veteran,B,B,A,-31.85788199120289,86.39578853340872,B,-60.11214207448793,100.04911224768647,46.40419588189924,D,C,D,C,73.46037776815832,-48.784757280695196,21.357394547459478,-187.15942964491953,0
Mexico,Non-Veteran,D,E,E,-41.15719479157266,-24.142286739313267,D,-67.74501645455453,63.13844429546569,52.960072856990806,D,C,D,A,-100.92769349315292,-82.11963885461874,62.806843798810654,-172.15567358655758,1
UK,Non-Veteran,D,B,A,-115.44543450009492,-22.22341132988278,B,-30.24289004130613,-74.27649036225871,-16.96521455474339,A,A,E,E,66.45318793687584,5.0624011670974545,35.38577393752296,72.68396346646045,0
Brazil,Non-Veteran,A,D,D,130.3711068848721,-74.37774635267255,A,-138.2792335316331,102.21745232572863,57.24321264392519,B,C,B,C,-168.7286239554122,100.96531265183626,39.15463794406258,-23.008256483208562,1
India,Yes,E,B,C,-125.03345949081557,157.10976916444523,C,-109.51085556799434,-20.315611376089432,-114.58045747578302,E,D,A,E,-81.00388639814416,-16.538528139501167,-53.83166482651808,-10.519212665969032,1
Mexico,Veteran,B,E,D,29.4062862165904,-122.96148735822636,C,-73.66644693459196,-256.7847601399703,-62.54628581424772,D,E,A,D,-114.69545355339218,-8.225911568765994,-125.15975642149719,-64.57807398572326,1
Brazil,No,C,C,E,151.13595599430505,-179.98401255719315,A,168.44431344320083,-27.35531964558506,-8.641651135783093,C,C,A,C,44.84911548739359,-28.01308418666317,52.94536181273809,73.08732731384163,0
China,Veteran,D,A,B,-33.80645794360982,-10.46039711191261,A,-44.441656529741344,23.369004543692817,-189.1815782271395,A,C,E,D,113.21506816549646,56.962226515711876,3.5015813020358664,31.512281563224963,0
Germany,Veteran,D,B,B,158.48467572978444,-22.76481709866651,A,-228.1148451228042,171.4325425743104,-69.31218180615502,E,E,B,E,90.96357350831644,145.4801538473146,196.72479642674332,-123.71040015579038,1
US,Non-Veteran,B,E,C,97.60645200435849,-30.113477736789857,B,4.662691419483292,-47.00511098199796,-6.616246553483479,A,D,A,D,54.642546245762716,16.389545208613118,-98.71550623383978,69.64776219915606,0
China,Non-Veteran,D,A,E,-43.7835698600309,-39.489261248975225,A,124.18867676015499,101.37886169968469,250.79650962833543,C,C,B,E,-5.36158235522638,39.27429627642699,-202.9342448720345,2.2961630739140357,0
India,No,C,D,A,-21.97646737585423,-24.425929637597836,B,-87.20141547270983,21.260351969530866,-38.89345926672368,E,A,C,C,115.83219002706635,-50.962548876653614,83.7882736084789,67.6560974071747,1
Other,Yes,D,B,C,27.258277870437208,-19.59424107965609,D,-266.79132111711124,-38.982024863459536,-33.98194436449815,C,E,D,D,-14.5025595271038,-21.54173230050156,-67.30576587533346,-12.212413825262356,0
Germany,Veteran,E,B,A,147.14969515411894,223.05614223163047,E,-195.81424508605176,3.1776182826653296,97.43397361721279,A,B,A,A,-102.18625342144752,-41.55931095591381,-90.96810055735084,47.900609033401814,0
Other,No,C,E,C,94.30372478483265,83.4355960105478,D,-199.49759564860767,-0.325301947057457,-79.69208147637299,B,D,B,D,112.54933725737337,-136.93078751698965,-93.64332487049842,-150.73490015391357,1
India,No,B,E,B,-23.31571107087772,-39.84432513138471,E,25.590058803320996,-46.10441779029692,-58.566410456615195,C,E,D,E,63.72464767804099,-260.6911568619571,120.75355220563941,51.153979263061345,1
US,No,E,B,C,85.34867455984717,52.30858479060314,D,78.34722440414627,-122.1659398236371,110.02661042851219,E,A,E,E,-109.48454806846637,100.90685104479613,139.23894221858862,38.67919899823284,0
US,Veteran,E,A,C,-41.363251150695554,153.2000588251639,C,-117.14464989675626,-58.046163393054265,-3.3810309791781914,E,D,D,B,22.202544020364243,-44.21452810316623,-41.875303255910055,-252.4074586700324,0
Mexico,Non-Veteran,D,E,C,-124.5866367841005,-91.84404378854705,C,-95.1064798305803,-18.702007901741343,82.93441939363866,D,C,B,B,-111.59678758439699,16.543944176788486,12.650189644827265,-98.36382549170821,0
India,Yes,D,E,E,20.042568585736912,-76.3117453565503,C,20.718622797212145,17.539372851280174,159.59533485916623,D,B,E,C,-87.69968172328524,-124.19506256047481,233.41225892815947,18.874760303546225,0
Other,Veteran,E,B,A,-26.91174116079721,-27.48104509338078,B,-107.30460485477336,-33.575459908764,-62.03213420396786,E,A,E,B,-73.45027177232188,-121.03109197395952,-76.24787903253647,4.439629558599664,1
Mexico,Non-Veteran,C,C,B,-16.140182863375873,90.26135113271404,E,-40.317445110294884,-37.03743756080962,-138.45274388385292,E,C,C,B,-23.24355545361066,-213.08347367416764,19.258311475602408,-78.26058267061235,0
Brazil,Veteran,D,D,D,24.21602784566331,193.11928729668128,A,-53.42423171302087,29.43687267436712,-86.17193209151353,C,D,E,A,50.13086064374068,3.03243629543111,222.8077778013964,45.902038716982176,0
China,Yes,A,B,C,17.98538031279028,16.40675748228765,A,-7.198883172429281,174.21778932022198,-7.798688969221372,A,B,B,D,190.70091656363815,10.810650618229015,-12.4185068506651,-6.182041259974891,1
Mexico,Yes,B,B,A,-218.85935013849664,36.89899852303204,D,-80.47914551427256,-79.18789181952009,-45.11245674503244,B,B,E,C,-147.9213856385455,44.14791881925911,-146.96771459070294,101.0554318956717,0
US,No,B,A,A,64.46071526906594,108.81628369319489,D,-31.636683098984424,305.14502254849117,200.68342570999954,C,D,A,D,39.264128999118014,-25.299947234676402,67.96861938622901,-57.625988930029614,1
US,No,E,C,A,0.04834535762388752,94.2155242561027,D,-53.61258745185443,-20.37329964880195,42.38913740320863,D,D,B,D,-191.78791024171144,102.12376142873931,-9.022207173945162,132.04127081766663,1
Mexico,Non-Veteran,E,C,B,106.33918237385578,-22.037539372333253,B,-68.6021710232808,-62.825091590039946,111.83735432187885,B,E,C,E,-163.28994750921035,27.6463440795779,30.57118900788467,-38.41023990510159,1
India,Veteran,E,B,B,53.770131935007626,-62.451907789946716,D,-69.92595305220574,98.85542861540077,-88.33135876857042,C,C,A,B,-127.2986855269401,-4.087113976888449,127.99941417264647,34.211747334869735,1
China,Non-Veteran,E,E,C,-51.4811583618089,146.52456116312655,C,-209.95555434521353,-95.77968118492471,-96.2806303380853,D,C,A,D,66.07464172372059,50.74953756401115,-121.97789553324527,-71.74257681494143,0
US,Yes,E,C,B,8.485149438765468,60.37324910687472,C,126.23905604579231,47.81518943775973,-100.14122859972791,D,C,A,C,-214.7491186813887,159.755911999704,148.8249871771707,-63.375527983589805,1
India,Yes,D,D,C,36.66452393369865,29.11134312930521,C,117.239635962284,-60.46735764641831,39.97869834935372,A,B,A,C,52.73923027125852,173.83268836280595,-80.33088572098542,-61.67880307993659,1
Germany,Non-Veteran,C,D,E,5.867753046497811,-85.1748971194296,E,316.4823439244598,-10.983813953141311,-68.88579730589767,E,D,E,E,-9.263332068257702,-8.106392961669846,-71.6783036490995,-96.49768604642246,1
Brazil,Veteran,A,D,D,-121.15688014393051,92.42267275159425,D,54.93255909369537,250.78597770859892,26.33709676850699,E,B,E,A,-59.63907284743988,133.85824788981532,263.8092209796526,-49.714504749456665,0
UK,Yes,C,A,D,18.205797755596777,-111.15340228425441,B,-68.19068491496947,67.47836268706516,-166.24206007748376,D,E,C,C,33.933519882595355,-65.02879196040706,92.43808336486941,-9.78656766747638,0
China,Non-Veteran,D,E,B,99.05718991576884,51.03874190711672,E,-15.621559803546623,-11.385001954344146,-139.3033165533901,C,D,C,B,-92.1717988822041,-91.74694871177014,-95.41313424080228,156.14887165864806,0
India,Yes,D,D,E,-175.57700150428795,105.2899440031069,A,20.036080794202725,-6.822506749987162,-13.412697928229361,D,E,B,C,95.7136615034612,-67.9596660084544,-118.17233339068358,133.86841951969558,1
Other,Non-Veteran,D,B,A,-216.3509703531585,50.33760302552318,C,-67.42447037294652,-108.82573780460096,-62.82875447954588,C,C,D,A,159.73615760360437,-28.51752618555533,-35.57374696649457,31.485690206610208,0
India,No,E,E,D,-103.66619595291272,-19.88886347177669,C,68.39303150391333,232.9285179355966,-96.18932158630932,B,E,E,D,33.86941044969569,-30.912483413741104,-68.970009336766,223.1000467138081,1
China,No,C,B,A,-3.445428634749667,-98.39747935571019,B,-14.791854748683864,-27.578107429679804,19.98350532314453,E,B,D,A,-53.21431106383465,-222.65352125557834,-7.375163657602117,138.92023733699997,1
Brazil,Non-Veteran,D,A,C,164.16398320750233,-169.9725300342507,A,-52.03161842922006,-160.21882352240982,75.46428442085167,D,B,B,C,-254.2557310317465,-0.7377647102768806,-78.0841297406955,4.401689420713202,1
Other,Non-Veteran,B,E,E,110.1118727801772,6.203769491649984,E,96.3593118344003,-88.15214011203649,166.12819003558423,E,D,B,E,-65.76403329013404,9.463670012923876,39.01893391423226,-65.002974164793,0
China,Non-Veteran,E,D,C,69.61466199745419,-78.38928490324263,C,-6.726146060534706,187.22146876742872,59.565972742886096,E,D,E,C,106.9702623400479,41.96721942460246,-0.7599640424171433,44.4734985839648,1
China,Yes,E,A,D,98.06457856333854,37.30905648228517,B,130.46283651414817,-129.10622206105927,100.78528089248987,B,D,E,A,-57.4012500205147,125.08309835390732,63.97755994126463,194.29363955316344,0
Mexico,Yes,A,C,C,-71.30296405205817,208.39181846172048,E,-89.22820481610013,51.203049901908535,76.55716050114954,A,D,E,B,-21.317070491066545,71.17455737126461,-120.45470075224742,-72.51363679763143,0
Brazil,Non-Veteran,B,A,A,15.456885405738092,208.0847186015465,E,-43.96587364954676,71.18136546073993,-139.96928939239274,D,E,A,E,58.85051529120836,-60.23997343343801,-70.19543544236079,-128.98065086833589,1
Brazil,No,C,B,E,-18.16406233387825,36.938402537990775,E,4.969537703347098,-15.227920795452002,118.68483672240238,E,C,E,A,157.43766936434383,-46.37879329555638,-165.07151218875276,160.52618269394378,1
Other,Yes,B,B,C,-77.79360019830123,12.75649034527322,C,59.63679280538522,66.18043786894623,105.55031299144521,C,D,E,A,-61.26724320812289,-1.1895329028343993,11.651691261956012,38.97513063970795,1
UK,Veteran,B,E,B,-50.124601667818695,-2.435378964202313,C,-143.1137793300888,-32.8023425574501,18.096128682042057,C,A,D,A,39.53591107014412,25.082426457748646,-64.56410436021119,99.6048754077161,1
