age_range,marital_status,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
65+,Divorced,None,-56.01740807478516,E,B,A,E,35.907615302609834,C,D,C,D,E,B,A,-51.059214845819454,12.700251461532938,1
65+,Widowed,Mental,-159.6843711969418,C,E,B,B,-31.21652020335745,C,B,E,B,D,D,B,-12.973762899889726,-21.332177657783184,0
26-35,Widowed,Physical,0.4787520731379886,E,A,B,C,2.0356495507179844,C,B,B,D,B,B,D,-38.54973116325361,-140.11597107647282,0
26-35,Married,Both,-202.33476864558466,E,E,A,C,2.52660045538139,D,C,C,B,D,A,A,52.37827954332669,-213.20422126667006,1
36-50,Single,Mental,233.6482338928756,B,E,D,A,164.21958536584174,E,A,D,A,E,E,B,-39.30396848533571,157.25673612744205,1
26-35,Divorced,None,154.57993574561164,C,C,B,D,-62.07020570999588,E,C,A,A,D,A,B,-103.29374616594227,84.42326003832358,0
18-25,Widowed,Yes,128.1979395916988,E,B,A,A,36.87459983698769,E,C,B,B,C,D,C,-99.91987895448305,158.2816340379627,1
18-25,Single,Yes,-10.135381656931889,C,B,B,D,34.466051693860614,C,A,E,C,C,B,C,243.59525489668758,-12.245449075616811,0
65+,Married,None,0.6553981081834792,E,C,C,D,-78.22625526154738,A,D,C,D,A,E,B,118.04234464501752,6.229991570709496,1
65+,Single,None,-125.63191473373536,E,E,B,C,-108.64851338560084,A,B,C,A,C,E,C,40.711555184474335,-38.180753162772426,0
26-35,Married,No,-79.57645360772452,B,B,B,E,-100.64846362083786,B,A,C,A,B,C,D,103.41260481927847,-30.25946717555867,0
51-65,Married,Physical,-73.47272055905599,E,E,D,D,-53.205675691000955,E,B,A,D,B,C,C,-74.16531745704806,-51.03800775336305,0
26-35,Married,Physical,20.46718880078977,B,E,B,D,272.386463767166,E,D,A,A,D,C,B,-74.2423392367547,29.98393738052606,0
18-25,Widowed,Mental,174.73034117443106,C,A,A,E,-20.33772136050563,B,B,C,E,D,C,D,-12.9622015608478,-93.44454707399112,1
18-25,Widowed,No,16.813538054069895,C,B,A,D,-32.875234912553594,B,B,C,D,E,D,A,83.8697472673625,45.61120502939337,0
18-25,Divorced,Physical,107.70581499341374,C,C,B,A,132.38269223220587,B,E,A,E,E,B,A,31.912323726164853,104.98281593313527,1
51-65,Widowed,Physical,-3.1837742016078163,D,A,D,B,136.2535983515506,B,E,D,E,C,C,A,-112.42105048018772,73.94864894174371,1
36-50,Widowed,Mental,100.59437805288461,C,C,E,C,-40.066823369826366,E,B,D,A,A,D,D,38.66291068630445,-13.395926603067904,0
36-50,Divorced,Physical,90.57851943760492,E,A,B,C,-46.89705120818037,C,A,E,C,A,D,B,-191.25645173619688,-17.815042415203568,1
51-65,Widowed,Mental,83.0510544482871,C,C,E,A,123.43919570972174,E,D,E,D,B,C,C,-121.60224777441273,-107.65667643409394,1
51-65,Single,None,12.919064974142646,D,E,E,D,-48.76073235409278,A,C,E,D,D,A,A,-105.6281203146642,-151.30452290161998,0
36-50,Divorced,Mental,-48.960429863814085,C,D,D,E,-195.52771201045562,D,B,E,A,A,C,C,-38.343730055849775,226.17669312594762,1
36-50,Married,Yes,-57.806892955402056,C,A,D,A,-29.062474477222466,C,C,B,B,B,C,D,-15.158552443159193,-161.83802691234638,0
26-35,Divorced,Mental,-81.69961124694751,C,C,E,E,12.163258394333635,A,A,A,C,A,E,E,118.6036399990936,36.16114968934595,1
18-25,Divorced,No,60.408115849446666,C,D,C,B,116.45362294181851,C,D,E,B,D,D,E,87.54566337842212,75.93601604587143,1
26-35,Single,Physical,16.80818427109386,A,D,C,C,177.37026539595897,B,C,D,B,D,E,D,-9.601501783696175,34.60819208731703,0
51-65,Widowed,Physical,25.17245215903673,D,A,B,E,10.907232261471679,D,A,B,E,E,D,A,19.706779554100848,-5.149052259196054,1
26-35,Single,Physical,-70.18251670619163,A,C,E,C,-103.6101042496772,B,A,B,C,B,A,E,110.9976805312991,-157.96216233281146,0
26-35,Widowed,No,29.511504587532993,D,D,C,E,-99.5857226856519,E,C,B,D,D,B,B,-14.017417628461779,6.708551101671093,1
65+,Married,Yes,-159.27438714644597,C,E,E,E,96.90884336030871,D,C,C,A,D,B,C,171.64805119656995,147.12809858003456,1
51-65,Widowed,Physical,3.4414853610298572,D,C,C,D,40.28606071947649,D,C,E,A,A,D,D,57.47717296289181,-118.91628950574373,1
65+,Divorced,No,-85.56435898833679,D,D,D,D,48.85487580627543,D,D,E,A,B,E,A,18.299162175650096,-8.180822982327115,1
65+,Divorced,Yes,37.68687820079389,E,D,B,C,61.75608844878212,A,D,A,E,A,D,B,-94.48805261749003,-61.554929673859746,0
36-50,Married,Yes,-48.52106766832614,E,E,B,E,-39.35134170890621,E,D,D,B,C,D,B,151.80187173707716,55.23150472405036,0
26-35,Divorced,Both,70.80745884865411,C,C,C,B,-90.6218851303361,B,A,A,B,A,C,B,-79.59352633180426,-126.29908525078217,1
26-35,Widowed,Physical,5.95863911745031,E,A,C,D,-87.65483913838551,B,E,B,A,E,E,D,-52.99263107496559,-61.168352519886696,1
26-35,Single,None,65.62663998747608,D,B,D,C,65.71302955838696,D,E,E,A,E,A,D,169.42470701620314,139.03758482622885,0
18-25,Married,Mental,-90.17138236890662,C,A,C,B,30.01222390320603,D,D,C,A,A,C,C,87.6122862771988,-1.257012027653166,1
65+,Divorced,No,-18.822446845648887,C,A,B,E,27.901772292734705,E,A,B,C,D,D,C,39.82291370154857,-22.86570611602559,0
65+,Divorced,Mental,-88.80549315355447,B,C,A,B,287.1798872457867,D,A,C,B,B,E,D,74.81753317718885,44.9179149199972,1
18-25,Married,Mental,-19.556070720491,C,A,A,D,79.3089971488678,A,D,B,D,D,A,D,109.93621953065154,74.51342483286815,1
65+,Widowed,No,-121.56894162605754,C,E,E,E,68.33815986100723,A,E,C,A,E,A,A,-139.2011466904689,24.83256968355823,0
36-50,Married,No,118.53966944266017,C,D,A,B,190.5599165823398,D,A,B,D,E,C,A,-141.9360776388357,-26.910022040745147,0
51-65,Single,Yes,14.105957093971144,B,A,D,A,-59.06249147283636,B,C,D,C,E,A,A,22.342509570241052,4.297643974657583,0
36-50,Widowed,Both,30.142056286801616,A,D,A,D,240.0913787610626,B,C,C,A,B,C,C,-34.617793421578924,161.20216459795657,0
18-25,Divorced,Mental,-31.331443619154083,B,A,D,D,70.44629245588837,C,B,B,B,A,A,A,87.3917924175545,-83.03115478855855,1
36-50,Divorced,No,57.89928290091753,A,E,A,E,-125.56705067379603,C,D,D,D,E,D,B,122.90929904018108,85.00953655176853,1
36-50,Divorced,Physical,-4.6119750203463825,D,D,B,D,-37.41601245720196,D,B,C,A,B,B,E,86.43488982199877,77.8778011150427,1
65+,Single,None,36.70144400131659,D,D,E,B,75.64597838167603,C,B,C,E,C,A,C,225.58708224710014,81.05385210342298,1
26-35,Widowed,Yes,82.52607885209892,C,D,D,C,-65.36170105332751,D,A,B,D,A,D,A,76.79763883399782,-22.18644671541867,1
36-50,Divorced,Yes,2.194626913979495,E,B,B,B,118.81926855943763,D,D,C,E,C,E,A,50.48730503738879,-197.1909475459889,0
26-35,Widowed,None,160.9900444413696,B,A,A,C,-30.21118892513646,E,B,D,D,D,D,C,-112.2182605136154,-26.71668789378481,1
18-25,Single,No,-41.78097795667467,C,E,D,C,170.8654286065873,B,E,E,C,E,E,A,125.93784706128399,77.44582489573105,1
18-25,Married,Both,1.7039896020313805,C,B,A,E,-134.32373983088706,C,B,D,C,B,E,D,-29.46206787877544,58.75095987665734,0
51-65,Single,None,144.79383942634217,D,A,A,D,-82.40272015023363,B,B,D,E,A,D,C,-40.468236170204655,25.604303504040164,1
36-50,Widowed,Both,-141.41618074719247,A,D,C,A,-37.26045380155429,C,E,A,B,A,B,D,-151.5686703775694,-276.51446403002024,1
51-65,Widowed,No,18.4232213558533,A,A,A,D,152.3192520961479,C,C,E,B,A,B,E,-51.9552037295962,78.79812448455885,0
18-25,Married,Yes,128.8120262099972,E,D,E,B,-5.0392541883138815,B,B,C,A,B,A,A,-47.78694252251426,-16.962102389675643,0
36-50,Widowed,Physical,-32.66012760644612,A,D,B,C,67.76375838835258,A,A,B,A,C,A,E,17.973547649273794,96.49036257237206,0
36-50,Divorced,Physical,53.373064679973034,B,D,D,A,-87.18478005200471,C,C,B,E,D,B,E,-44.048533248397185,-35.225531319889484,1
26-35,Single,None,-64.41566971557802,D,D,B,E,203.44197175359602,B,C,C,A,E,B,A,50.821731766764266,174.70863359469473,1
26-35,Single,Yes,-52.49353981364921,E,D,B,E,161.3581928640111,A,A,D,B,D,D,D,-50.15831664954092,56.522313311800644,1
65+,Divorced,Physical,-145.04460764450425,D,E,A,A,-8.56482590938661,C,A,B,C,B,C,D,48.347520606580865,60.36166911979851,1
36-50,Single,Physical,67.01468597878429,E,C,A,D,173.67993433503693,E,C,D,C,D,D,E,11.877701587510485,-141.95110698047853,0
51-65,Divorced,Mental,-101.34178482945356,A,C,E,E,5.554018306458262,E,D,C,B,B,B,A,-94.52585778574019,-153.30744489350602,1
26-35,Widowed,Both,27.431917481559275,B,D,E,C,-22.89042728296726,C,B,C,D,B,E,A,-11.238698258980712,130.96757315880728,1
18-25,Single,Mental,-40.18030948111274,D,C,E,E,-55.26474251947868,E,E,A,C,D,C,D,49.777375869183494,-20.345799722766696,0
26-35,Single,No,-24.49928600620146,A,D,C,C,-165.24951644085354,D,A,A,B,C,E,B,5.72167909855604,-31.977850119286867,0
18-25,Widowed,None,-21.42832305845854,B,D,A,D,232.0939757508179,B,E,C,C,B,D,A,-74.33467580891843,65.88291463348448,0
26-35,Married,Mental,-165.51958208483327,E,C,B,D,5.0880858269237805,C,A,C,C,D,D,A,-100.35931590743921,-13.03103762907251,0
36-50,Widowed,None,62.72306745249095,B,A,E,E,-12.076179662785744,D,A,B,A,E,E,A,139.68448610450795,35.42350003022682,0
18-25,Divorced,No,-3.286423844842437,D,D,B,C,-11.872475248421953,E,D,E,A,B,A,E,-6.0871678323525815,-44.67804032196581,0
65+,Divorced,Yes,-37.28131398054536,D,B,D,E,22.049196675558218,D,C,D,E,C,D,E,-124.49774792455615,-3.86515778568211,0
36-50,Married,No,5.4275378164782015,D,B,B,C,-28.854740384326533,E,C,D,A,E,B,B,-159.8456278847404,-54.78751286962746,1
26-35,Widowed,Mental,62.44786120245623,E,A,E,B,58.21213124948197,D,A,A,B,A,D,A,-310.6253609629543,-29.436950340883865,1
26-35,Single,Yes,-29.00394520104236,E,E,B,C,-186.93031551913904,C,B,E,E,D,B,C,111.85105257373307,18.14893949107871,0
18-25,Widowed,Yes,-253.5317608689305,D,B,E,C,-77.54664228314006,E,A,B,B,C,A,C,-73.23527663795056,-99.63938805103444,0
26-35,Widowed,No,-54.368434042184745,B,D,D,A,171.5958580852772,C,B,B,E,B,C,C,200.7952013992137,-64.23410786375993,1
51-65,Widowed,Both,-61.359884455560234,D,E,A,D,-24.32618524199743,A,A,E,A,B,D,B,-126.27954610321109,4.814643946274979,0
26-35,Single,No,60.37308382741426,B,A,C,B,-58.70802532780214,C,D,E,B,A,D,E,68.35519889642325,-74.93362497305365,1
65+,Married,Mental,-34.21153178668608,D,D,C,E,29.473688927927988,C,B,C,D,E,B,C,207.35568666571763,32.29382519896221,0
51-65,Widowed,Yes,-39.148885156972945,E,D,D,A,-30.638491855951933,C,B,B,E,B,D,A,4.656512473779322,26.65201198267412,0
36-50,Single,Mental,189.69989734453344,C,D,B,D,-30.924337255690084,D,D,D,B,E,A,B,0.15165881692580382,-187.44334711419472,1
51-65,Widowed,Physical,41.449530369690386,B,E,A,E,40.9345950839415,A,C,A,B,B,D,C,4.532862526638335,-223.6546279296126,1
65+,Divorced,None,39.094557977616816,E,E,E,E,-11.756441628471524,A,A,E,E,E,B,C,-91.68755784710184,-30.717658050974844,0
26-35,Single,Both,-65.5907774795878,C,D,E,C,45.958796815000944,B,C,B,A,C,D,B,40.51148601632473,50.44878282107379,0
36-50,Married,No,-31.453372546337448,D,C,E,E,130.3872504436719,B,C,A,C,B,B,C,-5.127602948124788,21.571483359306114,1
26-35,Divorced,None,124.26138220616687,D,B,D,A,196.5765894974639,E,C,E,C,A,D,B,23.032975792562553,126.37119202342045,0
36-50,Married,Physical,87.77823405852382,D,D,C,E,137.08006719618308,A,C,B,C,D,B,C,132.89294318328865,-48.00061668628443,1
51-65,Divorced,None,-71.95920776052587,A,D,C,D,16.635079869507205,C,D,C,C,B,E,D,11.489636758320897,-25.682832477902668,1
36-50,Widowed,Mental,3.7406328494590078,D,E,A,B,-132.05996885008904,D,D,B,C,D,D,D,86.08417177333372,5.975061353461053,0
51-65,Single,Both,118.34098301411349,C,C,B,B,-117.7804735135663,D,A,E,D,B,E,C,-5.671303642586946,-93.25017784812816,0
51-65,Single,Mental,6.37385223753624,E,A,B,D,57.11012270145994,E,C,B,A,C,D,D,195.74986025548054,-173.3106417168464,0
51-65,Divorced,Yes,95.86807831911962,C,D,C,D,153.49262030378702,D,D,C,D,D,E,E,-62.43740715971261,49.23377173757012,0
51-65,Divorced,No,-19.056678519270832,C,B,A,D,19.83433085892548,A,B,E,C,A,D,C,-21.78627474869346,85.8376441559494,0
18-25,Divorced,Yes,44.94521847204812,D,B,C,D,82.4019346454675,D,D,E,C,A,D,B,-36.02295203662053,175.04738929246537,1
51-65,Single,No,200.69103409670436,D,E,C,C,-56.968032240682895,D,A,A,A,E,E,D,-34.97842169177034,-118.41544551759007,0
26-35,Widowed,Mental,132.30596853056312,E,B,A,D,-11.326778135580772,A,D,A,D,D,B,A,55.444704399490305,140.7391639562403,1
51-65,Married,No,-64.14872302818881,D,C,B,B,88.49402219190455,A,A,D,B,E,E,B,-11.590196202653194,18.450616026928017,0
65+,Widowed,Both,5.181218085831269,E,A,D,E,48.59921259548568,C,B,D,D,B,B,A,135.5353594641423,2.4133394478771963,0
65+,Divorced,Mental,-161.8444718640645,B,A,C,A,-44.04674773507886,B,D,B,B,E,A,E,-6.384551999257472,-134.5669205318205,1
36-50,Widowed,Physical,161.28740216862164,B,A,C,B,14.417773888823533,E,A,A,E,A,C,C,106.64459466194754,-18.72413878256926,0
18-25,Divorced,Mental,85.78510491767318,C,A,C,D,-55.106615547937125,D,E,E,B,E,D,B,26.246836579679172,105.55186031313009,0
36-50,Single,Physical,31.363144189676934,C,E,D,B,143.2698304241028,A,C,C,E,B,B,E,204.37948967314185,-114.10236561797728,1
18-25,Married,Physical,-60.614024678092626,E,C,B,C,24.893359688147825,C,A,E,A,E,A,C,62.32145015908905,-153.43270602775362,0
36-50,Widowed,Yes,-290.32935532142994,E,D,C,E,-112.23144544307134,B,D,E,B,E,B,B,-23.341094366512227,-26.636020433000446,0
26-35,Widowed,None,61.13431387604415,A,D,A,A,159.15069431292483,B,E,E,E,D,D,C,149.43357901299237,44.035737896160285,0
18-25,Widowed,None,-97.70019594470173,E,B,A,A,15.613430363097228,C,D,B,D,A,A,E,-61.58136197312856,-99.88197103768374,0
18-25,Single,No,-171.62078583701864,E,D,E,D,147.49236428876614,E,E,D,A,E,B,A,-55.66281294368854,208.40481434754432,1
51-65,Single,Yes,-79.01093569861649,C,D,B,B,50.45476107923385,B,B,C,E,D,A,C,168.08344928219995,-49.0045579268632,0
51-65,Divorced,No,87.20002607784416,A,C,A,D,-119.77029526888634,E,E,E,E,B,B,E,-226.84705220706118,21.658843013613183,1
65+,Divorced,Both,-172.6792933523237,D,B,B,A,-51.26663074018091,E,B,E,B,B,D,C,87.7878966930668,-131.24532624471234,0
51-65,Single,Mental,142.85589699360705,E,D,E,C,160.6202140338228,B,A,E,D,A,A,A,-40.11930117621405,-29.822998973826742,1
51-65,Married,Yes,-0.3843872143046405,E,E,E,C,43.76941089416957,A,B,D,D,E,D,D,-42.242393739833275,34.48066088136325,1
51-65,Married,Yes,-134.40959904111793,C,C,D,B,84.88409724633333,B,C,B,B,B,E,D,-73.36190519592112,41.57917534142471,0
26-35,Widowed,Yes,25.640254028582333,C,A,C,E,-54.97217953110947,E,A,A,B,E,E,B,204.59359078676852,248.5378146245146,0
36-50,Single,Both,-81.95514130793129,E,B,D,B,100.71364898963975,E,D,C,C,B,D,E,83.63675320922643,-128.90342446501995,1
18-25,Divorced,None,72.9701763308016,D,E,D,E,81.58398320404336,C,D,E,B,E,D,E,-130.5693651997186,-89.81945712390504,1
18-25,Single,Yes,33.94939694189363,A,E,D,E,-48.52537101674035,E,C,E,E,B,B,D,6.534583846137205,70.71183779760382,1
65+,Married,Physical,-56.755051755911346,B,A,C,B,-0.8261097819325661,B,E,E,A,B,C,C,33.91366599388495,80.2964098866524,0
18-25,Divorced,Yes,26.076583038162216,C,E,A,B,0.7546748455017547,C,C,A,D,E,E,E,-129.01585647665814,30.39650423219966,0
36-50,Divorced,Mental,-121.79677419318384,B,A,C,A,-75.25976500820929,B,E,D,A,D,B,D,-35.22270421388477,-83.30853562707692,0
65+,Widowed,No,-43.75674993203405,B,E,D,E,-59.59576357802815,B,E,C,B,A,C,B,40.193464714386224,-83.26579782364526,1
51-65,Single,Physical,90.387515942769,D,E,A,C,-1.5532347283520316,E,D,B,B,E,E,A,-110.31314726030506,-104.60322547759462,1
36-50,Married,Physical,42.154732254165,D,E,E,A,-118.37566426561403,C,A,D,B,D,C,A,-195.67105663957793,70.06319043183787,1
65+,Single,Yes,170.64841305950546,E,B,B,B,-110.04908104445745,A,A,D,E,E,C,D,-14.118581917075243,-186.36935053361182,1
51-65,Widowed,Mental,-21.507662453625663,A,E,C,D,-116.96412980669962,E,C,C,E,A,C,C,-68.93686760228603,13.91746050123851,0
18-25,Single,Mental,54.34847908433983,B,A,D,B,76.53584097693921,A,C,B,C,C,A,E,116.08736515871863,-12.804110896027488,0
65+,Single,Both,-6.4614599691717585,A,A,D,C,-74.37340347789196,B,D,E,E,B,C,C,-10.593913591969244,32.084628992127534,0
51-65,Divorced,Both,-171.19546663567846,E,C,B,A,-47.221022533163264,D,A,B,D,A,E,E,122.16687189991443,95.2906646719855,0
51-65,Single,Yes,-19.007503203976576,C,C,C,D,-124.54848750959012,C,E,A,B,B,E,B,-10.555206812643132,50.282510758376695,0
26-35,Divorced,Physical,28.309465009609692,E,E,D,A,-8.154290749131155,B,C,E,E,E,A,D,-183.5371973037651,-254.64029084487566,0
26-35,Single,Both,-103.9536976482804,D,A,D,C,-63.68683111364754,B,B,B,E,E,A,E,-50.383354452291826,-123.08636902332515,0
51-65,Widowed,Yes,70.82604429048698,A,A,D,B,176.9777351965435,D,A,B,E,D,C,B,-77.32652833554977,105.04043487900228,0
51-65,Single,Yes,-64.22403076656731,E,B,E,B,30.399531659326822,B,D,B,D,B,A,E,-115.15041652411806,167.73386551310045,1
26-35,Divorced,Mental,90.27615974768887,C,C,A,B,31.32884467736467,A,A,A,A,B,A,A,70.5415907808933,-0.18962429949308834,1
65+,Divorced,No,146.55854542747088,B,C,B,A,-72.75867868317566,D,A,C,A,C,B,E,-62.242660830864224,52.42912438244859,0
18-25,Single,Physical,-100.93282998947777,B,B,E,B,163.93481368480977,A,B,C,B,A,C,C,63.09503843622466,94.00181652424621,1
36-50,Married,Yes,-146.5019238640482,A,E,D,B,-33.50226508609495,C,A,C,B,A,B,D,175.066897316037,138.5493441123083,1
65+,Divorced,Yes,46.92246301634691,A,B,E,B,-35.405159053182125,D,B,D,C,C,B,D,-185.96059255191912,22.435681614787953,0
18-25,Divorced,None,-151.15154129737357,E,E,D,E,-16.510767635740066,C,D,D,A,A,D,A,65.21716645200797,60.563165045571424,0
18-25,Married,Yes,33.18826347097507,A,B,A,B,95.35033587100168,D,A,D,C,C,A,A,-8.404115213490428,-56.52580649373594,1
18-25,Divorced,No,70.19787862943735,C,B,D,C,144.6844418714691,C,C,A,D,E,D,A,33.9906484339903,-7.286555519499088,0
