ethnicity,country,civil_status,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Black,Mexico,Widowed,Male,A,160.87245562120685,A,D,-102.20931212531326,D,-64.59754834337524,C,85.79631265270802,C,0
Other,Mexico,Widowed,Male,B,-56.588481886539924,D,A,-83.70090040527323,B,-155.16046979077217,D,188.34366507921706,B,1
Asian,Mexico,Divorced,Other,D,-141.56339914596583,A,A,73.95815934504398,C,49.15568259984036,D,-119.24932991414319,A,0
Hispanic,China,Divorced,Other,A,84.98421941710204,B,D,100.20228831944335,C,-197.35571340842205,B,-67.39845161677766,C,0
Other,Brazil,Single,Non-binary,A,119.22353735895108,B,A,-113.80352508845138,E,2.827075519674996,B,185.59220897049394,A,0
White,Other,Married,F,B,8.33642114985206,E,D,-42.105547713215465,C,8.89983603836936,C,-124.74894199459033,B,1
White,Mexico,Divorced,Female,E,-64.95057635998414,B,E,-71.35229442955504,C,25.35251381140239,E,-39.41310081664923,B,1
Asian,China,Widowed,Non-binary,C,-74.9699800867357,B,C,67.83208747247943,B,-76.56957914432185,B,8.496927767135183,E,0
Asian,Mexico,Widowed,Other,C,-56.31507341065698,D,C,34.85555194876099,C,71.80731304704717,E,-37.39510024943101,C,1
Other,Brazil,Single,F,C,29.84650051918444,E,A,-131.56881418805918,D,-15.286839335086563,E,73.96218724617192,A,1
Asian,UK,Widowed,F,C,-64.03924327816594,A,D,-55.398866279019565,C,-52.177582555328705,E,67.27612940201003,D,1
Asian,Germany,Widowed,Female,E,30.26236627507519,C,E,-141.7682949038019,E,41.422226651569275,B,-81.57975622687287,D,0
White,Other,Single,M,E,109.98306762812784,C,D,34.75487390494288,A,-5.288794622672933,C,11.465726868874338,A,0
African American,Germany,Married,Female,E,185.86338221823158,C,C,-201.9864175423641,E,146.9106231099862,E,-58.77920314971835,A,1
African American,Brazil,Widowed,F,D,20.54862793116856,E,A,-47.66120883357853,D,166.79576281053104,E,160.82482802766995,B,0
Asian,India,Divorced,Female,E,-91.07937123055316,A,C,-134.78068994985492,C,-1.067824682252124,B,-32.178166685214286,A,1
White,Other,Widowed,Other,D,-189.06463802658493,D,C,-5.823857684466207,D,-90.38752406545554,A,44.62261856009743,E,1
African American,Other,Widowed,Non-binary,E,163.60068450245063,B,D,12.386181673969817,A,-126.44022502386751,D,-84.05090743485933,E,1
African American,Mexico,Widowed,F,E,-126.72510337584204,E,D,56.63701040933344,A,86.39923933998712,D,33.403968732638276,A,1
Black,China,Married,Male,D,-10.509025769215073,A,B,-44.470855533899254,D,84.25989894278692,E,-63.90614891374001,D,0
Hispanic,Other,Single,F,C,119.0999720534577,D,E,-114.22328959014936,A,220.3339238828653,C,8.585988016147118,D,0
Hispanic,US,Widowed,Male,D,-17.75144679747114,A,A,151.3164108419625,C,-84.12262659142678,A,-84.03696734923717,A,0
Asian,UK,Single,Male,C,56.976279901380565,E,B,5.0141202916662975,E,-36.61184009650024,A,-10.591349443512863,C,1
Black,India,Single,F,D,117.47923032877128,E,B,-91.1958477231833,A,-89.8285096022889,D,-139.58921988904555,A,1
White,Germany,Widowed,Non-binary,B,74.69951550286002,E,C,2.595485619745066,E,57.46022922614902,A,98.6470834828072,A,0
White,UK,Divorced,Female,D,-36.95830870015106,A,C,49.04673365879228,E,135.43104947905263,A,150.73914481815535,A,1
Other,US,Married,M,E,19.310938583621972,C,B,-25.223262313859134,B,-182.00016702501946,B,91.88355213411356,C,1
African American,China,Divorced,Other,D,130.64210824717338,C,D,-126.24646941028442,D,-48.07021688660061,E,-53.16235665900816,C,1
Asian,Germany,Divorced,Female,C,-149.7757543009431,B,D,172.58380458991348,A,23.501012989001175,D,-64.54376172283261,D,0
Black,China,Divorced,Other,D,245.21583786901832,E,B,-56.99001492597689,A,28.03059718853966,B,-49.72919805211872,A,1
Hispanic,China,Single,F,D,96.52409765130801,C,D,-131.08840940412153,E,191.75443088132502,B,94.25205795601444,D,0
White,Germany,Divorced,Male,E,7.8318776066477485,B,C,-67.60805011879305,A,27.84100987679028,D,14.87965430928584,C,1
Other,Mexico,Single,Non-binary,D,90.91121731400665,C,A,-54.39512705822265,A,186.69635573654244,B,24.08637928230967,D,0
Asian,India,Single,F,B,78.92489246327817,E,D,-60.307713345635605,D,21.377457018682026,C,-93.24473383024446,E,1
White,Brazil,Married,Other,C,-115.39299572830998,A,D,73.68713207743815,A,-241.32794641936246,E,90.56534370999319,C,1
White,UK,Single,Female,D,-57.45440598085595,C,B,120.13143343853616,C,183.11568237253323,D,-160.94624771160954,B,1
Hispanic,US,Married,Non-binary,E,-2.257213428014961,B,C,16.011239498003537,E,135.88455736991443,E,-91.45788647500635,E,0
Asian,India,Married,Male,A,-83.04700433900301,B,A,-134.89299170979058,B,-107.95069128929156,A,-211.18805884372316,A,0
African American,India,Married,M,B,55.8037154104498,A,E,235.04298125053182,B,-47.101029347678995,C,-91.08679213185376,C,0
African American,India,Widowed,Male,D,-7.6776722829279125,E,D,-75.58226910116763,A,96.76075472111019,E,27.252185034108933,E,0
Other,Other,Widowed,Non-binary,A,-120.1497826294226,E,D,-27.934377551241614,A,-116.97887994559977,B,29.59543350157608,A,0
White,Mexico,Married,Other,A,-175.27157080327694,A,C,-73.96268748131072,D,-88.49832629089373,E,-171.40275958912957,C,1
White,China,Divorced,F,D,67.8961331576754,E,A,-15.641490153058799,A,-36.420345588875755,E,86.37268291906405,D,1
White,Mexico,Widowed,Non-binary,E,-27.061103902765733,D,B,12.197363538453676,A,27.606256873855216,C,-172.84621001316063,B,1
African American,UK,Single,Other,C,-34.442947475018,E,A,31.8656873049674,D,-18.550085483447113,B,-106.65883083253777,D,0
African American,India,Divorced,Non-binary,D,-134.7061545141304,C,C,103.14423175076068,A,-26.32435807130883,D,-115.4777449600391,A,0
Other,India,Single,F,B,83.43216067512842,B,D,120.92391486791605,E,98.35261347875276,B,41.846537863395596,B,0
African American,Mexico,Widowed,F,B,-116.84955084443942,E,B,-41.12245466697353,A,-45.74535254833615,C,-65.2807575474072,C,1
Other,China,Divorced,M,A,-98.80886858337675,B,D,-225.99951666578391,D,53.59785458188037,B,160.68615853211818,E,0
Other,UK,Single,F,A,42.056957835711536,A,D,-53.400368001239926,B,-51.10298777910008,D,69.24610766018546,B,0
Black,Germany,Widowed,M,B,-60.80538345510285,A,E,-7.121024134092586,C,60.69712924277981,A,94.28300163432694,D,0
Asian,UK,Married,Male,D,196.24889570258597,C,D,-41.69167293457711,A,-279.49963711264434,E,106.79581307825757,A,0
Black,US,Widowed,M,D,-124.07197270041665,A,D,88.79118841387515,B,37.56471056146899,B,58.577837467772675,A,1
African American,China,Divorced,Female,A,75.23249062714515,A,B,137.2485262284596,A,-91.5465693553251,E,-34.98674447128332,D,0
Hispanic,China,Married,Other,A,29.30008358922947,E,E,58.43979799129875,E,-129.67413223743696,B,-10.51009192386838,A,0
African American,Brazil,Single,Non-binary,C,-56.04203430897542,B,E,121.24354736527658,E,103.44848550377475,C,32.22036972348912,A,0
African American,Other,Single,M,D,-17.090978490395827,E,C,-265.44081384999896,C,-120.2136200471223,A,75.58706626995317,E,0
Hispanic,Mexico,Widowed,F,B,-144.3143664457079,E,C,-7.206462742871138,D,47.916787099173966,A,176.57757031494137,B,1
Black,UK,Widowed,M,A,-65.49921263331942,A,E,-17.83493205247758,B,-95.66595858943963,E,-59.78200356754968,C,0
Asian,India,Divorced,M,A,178.22295491823604,D,D,-55.12105414909551,A,29.20814335011905,E,-65.4757747019575,E,1
Hispanic,Brazil,Divorced,Other,A,73.41117584229652,C,C,-162.404205936532,A,-91.4183852564324,A,230.5804200944531,E,1
Black,Other,Single,Female,C,-13.561965736889494,C,C,-98.89842158533429,C,-162.98472701578532,C,-76.04497068329988,E,1
Other,Other,Widowed,Female,A,-201.49231022633563,D,B,-41.27122279089292,C,308.3689813783811,D,33.509890060498726,A,0
African American,UK,Single,Male,D,-211.14287454802127,D,B,-124.38616727009419,E,-59.785561218230384,A,31.390592434381276,D,0
African American,China,Widowed,F,C,50.83329180975406,D,A,32.992108004729396,B,14.408195313554724,D,59.69587472192149,A,0
Black,US,Single,F,A,-125.27504203884922,A,C,125.13048389460101,A,-125.14743805142584,D,-28.676150992311744,D,0
Black,Brazil,Married,Male,C,-33.5448194203235,C,B,-103.78809635473765,A,-164.50205139387614,A,-12.635209597459166,E,1
African American,Mexico,Widowed,M,A,99.58611002352433,A,A,2.1529574900840958,E,-13.596634140718516,A,53.05799442772261,E,0
Hispanic,US,Divorced,F,B,-124.7904410941729,D,C,28.855980204514488,D,-52.20915425455759,C,17.998044911596445,A,1
Asian,Other,Widowed,Female,E,-38.05578808937011,D,E,77.34750117647039,E,61.98221218648058,B,-13.308286804242414,D,0
Asian,Mexico,Married,M,E,97.39279699491861,D,A,-11.499154373459657,C,-4.204791496207126,A,-124.32461777908061,A,0
White,India,Married,Non-binary,A,-68.16328789419701,B,D,12.647452529900125,A,-173.99798537413483,D,11.904351008614892,B,0
African American,Other,Married,M,C,-77.0054921419043,A,D,46.83063311233103,B,-12.584388102102913,B,229.18040459932138,B,0
Hispanic,China,Divorced,M,E,-40.852972688752146,C,B,131.58357701745047,B,108.23023137537614,E,223.20245240459448,A,1
African American,Brazil,Widowed,Other,D,175.5839299759527,B,D,-36.675662035782025,C,30.14317411530188,C,152.9249815430094,A,1
African American,Mexico,Divorced,Female,D,82.64354350275201,E,C,156.42046410920764,C,-87.18011087012542,A,9.387697349716321,D,1
Other,Germany,Divorced,M,D,68.18820011250497,C,A,-59.56708509141261,A,-129.1638036642384,D,66.1677949148143,D,1
Asian,China,Widowed,Non-binary,C,-86.5408373651303,B,A,-78.10944132779689,A,-63.75931030897485,B,-71.44272145992048,B,0
Hispanic,Germany,Widowed,M,A,28.497285294920026,C,A,-121.07160421837449,D,52.84616241804462,A,-69.90978518799025,D,1
Other,Mexico,Married,Female,D,-48.10934682511572,D,C,83.31240335065974,C,55.82134018182203,E,-47.45947756893529,B,1
White,UK,Single,Other,B,106.60058517406539,A,D,76.62857226317877,D,-67.67624865824365,C,-101.27830496031682,D,0
Black,Other,Widowed,Non-binary,E,109.6373353018143,E,A,-32.38775622999522,C,0.2753509147615445,D,113.93670615530182,B,0
Black,China,Widowed,F,E,82.18924011842181,D,A,124.99437496007013,B,-75.09304829550523,B,36.51106295965996,C,1
Other,India,Divorced,Other,B,-47.78011673076995,E,B,49.439430416267555,D,-0.8848109216846605,B,-163.96706788083196,A,1
Black,China,Married,M,B,-52.06090222340849,C,A,76.30243641272693,C,-85.45895109933242,C,80.67531810759603,C,1
Black,China,Single,Male,A,-163.6263928153114,A,C,0.918801667901539,C,-164.4067200418843,B,114.66959778175467,A,0
African American,Mexico,Divorced,Non-binary,C,-56.89796423236854,A,E,-65.21764498380243,A,64.51960853574667,D,182.16727618421012,C,1
Other,India,Single,M,E,-50.402758544944184,A,D,28.00786619842734,C,-156.02046770393807,C,-5.787567517536985,E,1
White,Other,Single,Non-binary,C,23.677939934993432,C,A,77.43748864276937,C,-70.52948323769267,A,74.6568390939785,A,1
Hispanic,UK,Single,Other,A,-146.6701894816853,B,B,17.375355757955766,C,-26.992584883711263,A,-20.958559385552306,E,0
Other,Brazil,Married,Female,D,-7.030913191156671,E,A,14.5163934542036,C,-32.452520016171256,C,144.76736525157975,A,1
Other,UK,Single,Non-binary,B,-53.73543903872237,C,D,58.12503545154476,C,-16.70595307317019,A,-184.16189223093102,C,1
African American,Germany,Single,Other,E,-157.04705612051976,E,C,55.659713239567786,D,82.12586037869409,E,-29.321316546235416,D,0
Asian,US,Married,Female,C,-109.0063105501231,B,B,61.96317327283568,D,-109.60880792638154,B,122.21174381439519,E,1
Black,China,Divorced,F,D,21.182416076629675,A,C,11.038952618939737,E,-10.508673660682701,B,25.420661793338745,A,1
White,China,Widowed,Female,C,0.8877047737289457,E,D,33.654640900638064,D,41.442708717270335,C,9.335736247170127,B,0
Other,Mexico,Divorced,Female,D,-8.925193154563852,D,B,-28.260398140717935,E,-102.99136811944483,D,81.40184955661698,E,0
White,US,Widowed,Male,B,81.0059152879919,A,E,-73.79448383795338,D,-104.55877199202929,A,114.36010150774989,B,1
Asian,India,Widowed,M,B,-270.3133419775383,A,B,-125.94659186295121,D,-75.9247223822149,B,153.99958704882738,A,1
Black,Brazil,Divorced,Other,A,142.72082725673417,D,C,-116.50938166903953,B,115.97451415724125,D,36.396223910070425,B,1
White,China,Single,Male,C,-27.887276117684635,A,E,92.97011050772865,A,-30.34947175724409,B,233.65404620853843,D,0
Other,Mexico,Divorced,Other,D,-84.4940868134577,E,C,-11.569038405766879,C,53.44211243772008,C,37.742400067796204,D,0
Black,UK,Single,Female,D,8.099425100324865,B,E,-109.21820954026735,E,-168.88940379119308,B,-122.31091600728574,D,1
White,UK,Widowed,Male,E,-89.7973829061458,A,D,-170.38139986321903,E,127.5848491777954,A,-29.357934968904086,C,1
White,Other,Divorced,Non-binary,D,-79.15730456022233,B,D,-181.7321615930323,A,-23.48831616030493,A,114.38549083056628,D,0
Asian,India,Single,F,B,-92.40622379905032,B,B,23.031228016355012,D,-20.66252779602096,E,177.3465899207464,E,1
Other,Other,Divorced,Other,A,-70.8519863253003,C,C,-12.246046050271417,D,-136.33272308215658,B,-63.77411709021992,E,1
Black,UK,Divorced,F,B,92.65201181061661,D,A,-72.52838764970524,A,90.2676931700032,C,95.21638505947047,B,0
White,US,Widowed,M,E,-114.365491888705,B,D,-40.60614773925016,B,52.79785409737118,C,53.30309745554107,B,0
Asian,Germany,Single,Non-binary,C,64.16040502327647,D,D,-66.93015432394742,B,80.7994090995196,E,217.69303122075686,C,1
Hispanic,China,Divorced,Non-binary,E,-104.33603671232783,C,A,98.07550059138254,C,-21.8759719256725,C,-17.632142211204293,C,0
Hispanic,UK,Widowed,Female,A,22.05923854604395,A,C,-122.10633002913531,A,64.13607906905267,C,-230.88553432940824,E,0
Other,US,Widowed,Non-binary,C,-107.61825177375985,D,B,41.607510637655224,A,-15.894755301486688,A,133.75817866876798,E,0
White,Germany,Married,Other,E,-86.1149015106723,A,E,-68.58988703518125,E,-99.08180744857667,E,-36.99561648509672,D,1
Hispanic,US,Widowed,Other,C,-124.18546320323595,E,D,123.4168389912124,B,-29.057295070002624,C,131.59194684034105,A,0
White,Mexico,Married,F,C,5.549505039164701,B,E,-38.76899235256704,C,-24.978127514467324,C,-153.23105279599045,D,1
African American,Other,Married,F,D,-25.748220775094126,C,C,62.91525548399982,B,2.577203242300772,E,220.26475273876275,C,1
White,Mexico,Single,Non-binary,B,-174.6157053417839,B,D,71.44853271210626,B,7.496609508856928,B,48.66579109805603,E,1
Other,US,Widowed,M,A,-6.1075908648319235,E,B,81.58005798172321,E,99.58987724212773,E,-256.3249555170479,B,1
Hispanic,India,Single,M,A,109.6946332803204,B,A,-19.446850029693916,B,-106.9637349301041,A,-170.94964846400808,E,0
African American,Mexico,Single,Female,B,-72.43075481955023,D,A,85.80888034697193,E,-34.71290538668059,C,-51.83041026177846,D,1
Asian,UK,Married,Non-binary,A,-11.032671181496987,D,C,-107.12231059211238,D,-222.0124590587112,C,-173.8678780849059,E,1
Black,UK,Divorced,M,E,-115.76157244542358,A,D,-149.74937990893972,E,-2.080896706338879,D,22.21692973403323,A,1
Black,India,Single,Female,E,-191.56844519841522,B,C,-110.58235866056798,A,128.72226207208385,D,-32.399334490793294,D,1
Black,UK,Widowed,M,A,12.150253677389385,B,D,-76.5309690918147,E,182.16418759894557,C,61.35902250847457,C,0
Hispanic,UK,Widowed,M,B,-145.67961064749295,C,E,30.282767770045588,A,113.13252843925609,B,86.00209701125814,A,1
Asian,UK,Divorced,F,B,-24.972375141371938,C,B,-132.0936055473781,A,63.79326668785452,C,72.29176569921249,D,0
Other,Mexico,Single,F,A,2.5104299422087815,B,C,1.560258002364651,E,114.61996175342752,E,207.9048241154514,A,0
Hispanic,Mexico,Divorced,Non-binary,E,-126.7684442961972,E,B,20.979244961343067,E,-91.22598982015985,C,-62.6210679996978,A,1
Asian,India,Married,M,C,-77.29473335708916,E,A,-17.829728854006184,A,-11.055282031427817,C,-22.60869362554888,D,0
Asian,UK,Divorced,F,E,-40.015444856805225,A,C,34.678833231991504,E,-35.31208518418055,A,26.654635370818465,D,0
African American,UK,Married,M,A,93.26431598898056,B,E,7.847289165336358,C,-53.58440978413687,E,100.66848961127563,D,1
Hispanic,Germany,Single,Female,B,-21.157674203752027,E,E,-54.00766453126591,D,61.318222951969446,C,57.41534319477514,A,0
Other,UK,Widowed,M,B,-79.09572124209464,C,B,89.67735003555283,A,93.4423416441618,D,-54.22512236225877,C,1
Other,India,Married,Non-binary,D,-136.05130893367397,B,B,-89.81530792915534,B,-65.85747903711659,C,11.855127545581427,A,1
Hispanic,Mexico,Widowed,Other,D,29.00432889832747,C,E,3.714104078373706,B,-33.59723959446173,A,28.149277798115275,D,0
Hispanic,Other,Widowed,Non-binary,C,170.18346034143357,A,B,33.14275755272886,C,-92.15593448445159,D,-18.489653476354334,B,0
Other,Germany,Divorced,Other,A,5.234566876253118,E,D,-6.039649144705744,C,67.23652954807778,C,81.6609062451565,B,1
African American,Mexico,Single,Non-binary,C,3.3948934704200657,C,B,-5.995440605634462,D,15.169326788232853,E,62.69453326040715,B,0
Asian,Other,Married,Non-binary,B,-173.84082721958802,D,E,-24.495856714182988,A,49.645999933228275,A,-1.1439816679294816,D,1
Other,Germany,Married,M,C,-61.78106885693334,D,A,-9.441399883923232,E,67.16780447165821,A,44.46254251825193,A,1
Asian,India,Divorced,Non-binary,C,-26.600526038169807,E,B,-285.8325481511808,A,209.0146433340347,C,173.58036722637374,D,0
African American,Mexico,Widowed,Non-binary,B,-80.045024384135,A,C,82.49637890485431,B,-152.16284286832172,C,-70.0422064566375,B,0
White,Brazil,Single,Non-binary,A,-80.99393209918078,A,B,24.196869395662727,D,149.09274257545465,A,30.922017464471725,B,1
Other,US,Divorced,Female,A,63.84013395677693,E,B,177.3844258986738,E,-31.157120957466738,A,111.5954293472739,A,0
White,UK,Widowed,Male,A,116.50529930373456,E,E,105.58471515248773,D,-53.00706228776919,C,20.805146679696616,B,1
Hispanic,US,Divorced,Male,C,-103.39720892888012,B,C,-213.49618072483344,B,2.967293591621446,E,-205.32871846122353,E,1
Asian,Germany,Widowed,F,C,-48.05933489062289,E,C,-49.921485687797265,B,58.455032835088694,A,56.818765285820184,B,1
Black,Brazil,Widowed,M,E,-291.1409378410927,B,D,146.12424021722242,D,89.03787696926464,C,170.56725580971363,A,1
African American,Mexico,Divorced,M,D,-34.92857527313642,E,E,48.55113599157949,B,75.40486326024694,B,5.818956948734203,A,0
White,Germany,Single,Other,C,20.135759489288635,D,B,21.21767293319583,D,-173.44121611271743,E,-176.32860045782837,D,1
Hispanic,Germany,Single,Non-binary,E,42.0240452657896,B,A,-69.43870142026776,D,-212.56733552693538,C,-90.31129348620061,C,0
Black,Mexico,Divorced,Female,D,-34.76381563898729,C,B,-5.996124533843168,D,-44.121492615282506,D,8.098510700628893,A,1
Hispanic,Germany,Married,Non-binary,A,-140.99563341074023,C,D,-57.037145095501685,B,-4.202504330055596,E,-133.42341426857308,B,1
White,Germany,Widowed,Male,B,100.77999280719756,E,B,133.47615807821106,A,-1.9970225114804154,A,21.991134514880162,A,1
White,UK,Divorced,Non-binary,C,41.141820346516965,B,E,6.1940246318577366,C,173.9197380968244,C,5.159730355837176,B,0
Black,Brazil,Divorced,F,C,80.733566472123,B,D,117.29549398868535,A,115.58740260685656,D,222.10324529798706,E,0
African American,Mexico,Divorced,Other,E,47.08139793807419,B,B,-11.051029775853888,E,-141.90930796482056,B,34.70496075957769,B,1
African American,Other,Widowed,F,C,-41.41244177429425,E,A,165.15879610961588,A,32.450081364660555,B,48.56684030387283,D,0
Asian,Brazil,Divorced,F,B,5.802271949206353,C,C,-93.94894996007052,E,-76.68129659124574,C,-14.831484440009673,C,0
Asian,US,Divorced,M,C,-24.416987727817244,C,A,31.541295657823902,A,-3.2324231176823806,C,13.89311969737922,A,1
African American,China,Divorced,M,B,-188.7437665580623,B,E,-34.24285039653282,E,-149.11848094285895,B,223.7473529861151,E,1
Hispanic,China,Divorced,Male,A,44.75568154580858,A,B,-76.34317488270753,E,161.3219278497583,D,56.60465650896236,D,0
Other,Mexico,Single,Other,E,86.48558326824775,D,D,-205.33211302580003,A,-91.35226492282558,D,-121.86211775119766,C,0
Asian,UK,Single,M,C,-14.406930835496414,D,C,13.039703366201477,A,0.1619143008902565,B,20.26913214679051,D,0
White,Other,Single,F,C,-33.116946836476565,A,C,36.83431660265023,D,203.5478010582795,B,-161.62013818871625,D,0
Hispanic,US,Married,Other,E,-99.40411773777863,A,C,15.51760994183521,C,-42.19103602389785,D,112.13896301432762,E,1
White,US,Single,Non-binary,B,126.37942884912792,A,C,-72.75004119668128,E,161.40768393899583,B,-157.2614155860237,B,0
Asian,Other,Divorced,M,B,-90.88878948217285,E,C,0.7930974257384635,E,68.45346809874991,D,77.50591796046103,B,1
Black,UK,Widowed,F,D,14.92614212403599,B,E,198.92343489589658,C,155.21925197059008,A,-38.45145301764526,B,1
Black,India,Divorced,Female,E,-34.05157480580066,C,D,-44.33252570648875,D,155.96895555674092,E,89.28788042533164,A,0
Asian,Mexico,Married,Non-binary,B,65.51057587646358,C,C,50.045376386947424,C,78.81360837714817,E,-6.838196417471525,B,0
Black,UK,Widowed,F,C,-84.42045262044175,B,D,90.75934001117157,E,237.3334000403831,A,51.143621145366744,C,0
Asian,UK,Divorced,Other,A,103.18131515460614,C,D,-30.265737408102733,E,59.78265681171291,B,-71.32357566582179,B,0
Other,India,Widowed,Male,D,71.39615359677951,E,D,99.6758033868188,C,-8.01404388242767,C,58.29438907287555,D,1
Other,China,Widowed,F,E,88.31007219524419,C,C,119.19231409111053,B,64.78382993138023,E,15.873326871148825,D,0
Asian,Brazil,Widowed,Non-binary,C,-47.082031265558086,D,B,-135.89563476413775,C,-177.59869422989138,A,-24.036246005447516,D,0
White,Other,Single,Female,B,-58.17682112573059,B,E,67.44388728668758,D,-14.673069099587629,A,143.2527565473184,A,1
Asian,Mexico,Widowed,Male,D,-170.4269098552828,E,A,-99.45854744812135,E,-66.74509174889556,C,101.68115619369429,A,0
Other,Germany,Divorced,F,D,-22.8008541099726,E,C,-121.49602344387824,A,-67.53843178300836,E,85.21201416400596,E,0
White,UK,Divorced,Other,B,190.84175471689383,E,D,4.181087232643707,E,-103.00965561840314,E,71.11935409814893,E,1
