military,anos,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
No,74,36-50,E,64.53226019750042,94.18105930986187,A,C,B,-297.21947923866185,C,B,E,46.54739588169852,C,C,1
Veteran,44,51-65,E,6.548567184794586,-55.131350573541184,D,C,B,-3.595736625807073,E,A,E,47.656935880105735,E,A,1
Yes,37,65+,D,-54.77301873435951,-19.511544542692004,C,D,E,-37.304415990422385,B,C,A,-50.67825501240879,B,E,1
No,22,51-65,E,-192.17432488876588,-28.015730473278765,B,B,A,-87.03857255904282,D,B,E,-63.33420992850354,E,A,1
No,69,18-25,E,211.23196347843236,55.35417867523664,B,E,D,39.06792548700451,B,A,B,-23.995465525466166,C,A,1
Yes,63,51-65,D,217.5858854761363,-27.760538243808004,C,E,B,186.9142324848622,D,A,A,-127.37513724878669,D,E,0
Veteran,21,65+,A,148.08055381077796,207.62989547851362,C,B,D,29.4479447387876,B,E,B,55.65085068124896,C,D,1
Non-Veteran,33,26-35,B,39.18896189765319,-12.826947167699323,A,B,A,3.6435467389895337,C,B,D,-72.35967501338415,D,E,1
Yes,76,26-35,A,42.99678612420206,88.27669446565454,C,D,A,63.33007741025829,D,A,E,65.69245737275358,D,E,1
Veteran,52,51-65,D,103.6704913825143,145.55067839321026,B,A,A,1.0457288016530126,B,D,B,-37.53876423258771,A,D,0
Veteran,68,36-50,C,53.1798873095977,26.11259148490047,C,D,C,-16.205642014049847,E,B,A,27.474064363798384,D,D,1
No,52,26-35,A,74.61417619528142,-34.41162250888575,A,E,D,-116.89272743958617,E,E,B,-140.14896055217164,E,E,0
Veteran,72,65+,D,-82.59662013659037,-153.295839076232,A,A,E,11.15862431567912,D,E,A,50.234815441632705,C,B,0
Veteran,38,51-65,D,-16.59802873449848,-88.0711596621715,B,A,E,-96.45502847994906,A,B,D,137.9621983446508,E,E,1
No,41,36-50,B,-91.24002162760648,-141.0851620097315,E,D,D,-191.87243492991058,D,B,A,125.68612162972308,B,D,1
Non-Veteran,61,26-35,A,26.976887664530846,49.37504552280056,E,E,E,41.36578361316555,E,A,A,28.857270169225142,E,B,1
No,18,51-65,B,-74.2442351105685,-98.67666997389807,E,A,B,-35.04396947350006,A,B,D,104.3147217628572,E,C,0
Non-Veteran,40,51-65,C,155.46743046949868,-357.72748560754604,D,D,E,-50.665128722111085,B,E,A,-5.935436116089653,B,D,1
No,35,18-25,A,-26.041876108387658,149.25504673272445,E,E,E,187.4356262316778,B,D,B,-123.53324452366775,B,A,0
Non-Veteran,28,26-35,C,26.2876396548377,-2.3739009432452023,A,A,E,45.15329032642666,D,A,A,-97.30119881780922,B,A,0
Veteran,24,18-25,D,174.11144817402925,148.80623228047466,E,E,E,-184.30076262895034,E,E,C,104.53586210319318,D,E,1
Non-Veteran,37,65+,D,-21.41072006094778,105.64451084745004,B,E,D,-64.93757633986486,B,E,A,85.40581560658087,C,D,1
No,71,65+,A,32.713637772374526,-69.62925021159788,C,E,B,170.47449960449208,C,B,E,-109.49302260131803,E,C,1
Yes,63,26-35,A,4.224959254376075,128.5773957761883,B,E,D,-76.55216950958655,C,B,B,-154.15620063237716,E,B,1
Yes,63,65+,B,-80.28565382906466,-79.71660385486376,D,E,B,-144.22746928058578,D,C,A,-72.5255050377315,C,E,0
Veteran,30,26-35,B,74.36495527184105,-238.30390523834404,C,A,B,-38.98335345751153,A,A,C,95.3635298655619,D,C,1
No,32,51-65,D,-67.04352581383175,-46.18693539688838,C,C,E,154.51535452491078,D,B,E,-100.60984032400017,B,C,0
Non-Veteran,34,65+,A,-79.46120326675245,-287.2171338180219,C,A,B,139.3032213025302,A,E,B,-38.81308860071575,B,B,0
Veteran,26,26-35,A,136.7496278482373,181.46620294139288,B,D,D,201.58189684497546,D,C,B,78.30234299565593,C,C,1
Veteran,75,51-65,C,-55.4019728696811,-151.78447278230902,A,B,E,-136.19888452938528,A,B,E,-215.41687090433558,A,A,1
Yes,74,51-65,E,65.56978601557245,-207.0433809829914,B,C,B,246.53439976988935,E,D,A,159.33253287487352,B,A,1
No,22,18-25,C,-72.81814016542154,78.55261395478117,A,D,A,-42.68914335056463,E,D,C,46.672302464041806,D,E,0
Yes,57,18-25,E,78.5230874922401,-59.2507399170226,A,A,A,181.3624633827198,B,E,B,24.711863143144758,C,E,1
Veteran,41,26-35,D,-124.56392295163216,76.8907684925578,A,B,D,-48.22990790468127,A,E,E,-24.06677585866892,A,B,1
No,23,65+,D,247.22681643190037,-75.81424200945283,C,D,D,-60.11928818104868,B,A,E,72.82293531589569,D,B,1
Yes,32,36-50,C,-67.53862818820777,196.3409727128269,B,A,C,42.0307519989646,D,A,C,-37.378256635706215,B,B,1
No,73,51-65,E,-39.449291874557915,41.09285336862612,D,A,A,-40.01891508295245,D,B,D,160.68258174188017,D,D,1
Non-Veteran,53,65+,C,62.57211455802987,101.61819294863352,B,E,D,122.00282420648722,E,B,E,-0.18202910866193503,C,E,1
Non-Veteran,57,26-35,C,20.67534393578009,-73.75740339577933,A,C,C,8.442078234480302,B,B,C,-221.7432263453459,A,C,1
Veteran,77,18-25,A,174.89573725787326,-114.72678175153195,A,E,D,56.38023772145194,D,C,E,132.16363548567972,A,D,1
Non-Veteran,27,26-35,B,75.48033310218617,-129.83868586918456,D,B,A,3.819154203900598,A,E,C,-44.856377996993864,B,C,1
No,37,26-35,E,14.637242539701065,113.13038391905341,E,E,E,38.670774981046634,D,A,B,108.65024606721327,D,C,1
No,49,51-65,E,-61.35642093393211,114.83247984159341,D,E,D,-113.04151231600974,A,B,B,-37.087616572714666,E,E,1
No,79,65+,B,16.961868427664285,64.96607262133509,A,A,C,6.601623764951671,D,D,D,28.729899914066458,C,A,1
Yes,31,51-65,B,-48.319175103405755,36.97264906989821,A,E,E,87.22334821003648,E,C,C,11.062939751814488,C,A,1
Veteran,21,51-65,A,81.30898941834552,-104.13695060703296,A,E,A,-17.82031487644149,C,E,A,0.8573829321370421,C,B,1
Yes,40,26-35,B,-32.69586397898356,29.88961498200766,D,A,C,-82.2551070243626,E,C,C,223.73212956435003,A,C,0
Veteran,43,26-35,E,-40.418951219326175,97.54591800823434,C,C,B,-174.28077477777623,B,D,E,-128.878658943835,A,C,1
No,25,36-50,D,-45.15723063420741,254.2083478230047,E,C,E,102.11039834646533,E,D,B,59.15391621916493,C,C,1
No,31,36-50,E,120.91492619380364,204.04185443898135,B,E,A,-157.97392313881596,B,E,B,103.64151825975918,E,A,1
No,73,18-25,A,156.0808433672746,-77.62120888783176,B,A,E,-13.11118033130846,B,D,A,26.286983981469696,E,C,1
Yes,21,65+,B,61.859281465103486,102.62053162533162,C,C,E,-43.40072085491884,D,A,C,42.26277978998016,C,A,1
Veteran,50,26-35,D,-1.0147694985046913,83.50712968219304,A,B,C,-105.83121660106988,C,D,B,-83.07532372707094,C,D,0
Yes,19,18-25,C,71.25340261499335,94.47130663392862,B,C,C,-2.4559079413827543,A,E,A,64.70621108619797,C,A,1
Non-Veteran,32,36-50,D,-151.04325507769212,68.40362263820691,D,B,C,55.50263183740355,D,E,D,52.40880071215804,E,E,0
No,54,65+,B,209.99681790089997,-113.17502996465782,A,E,E,65.78971609763332,E,A,B,-18.463154445425033,A,B,0
No,49,51-65,D,-86.75846307435997,80.29287535689016,E,B,B,244.83036725131618,E,B,E,57.24368465578182,D,E,1
Veteran,25,65+,C,104.30804220918355,66.42658566294347,C,A,E,-105.98347688018346,D,C,D,-81.3429761329898,B,D,1
Veteran,29,26-35,B,16.403823005388062,37.284279775163895,D,E,D,-126.60651785377107,D,B,B,-4.7842418657510075,D,D,1
No,63,36-50,D,47.43932957281081,-5.708265871364287,B,D,E,150.76348940528655,C,B,A,15.791316992476306,A,B,1
Veteran,30,26-35,C,-44.827163846766645,-144.36271167888287,C,D,C,-113.1417292873697,D,A,E,-46.23038567064784,D,C,0
Veteran,77,18-25,D,-33.267164212494166,-27.367290284317285,B,D,B,-40.938802264488515,B,B,A,-44.03504392544909,B,D,0
No,62,65+,A,-125.11755347800187,202.5119065342626,D,B,B,102.0275610332639,C,E,B,-54.842116562389485,D,B,0
No,46,18-25,E,39.9787530761227,-52.63196594956842,D,E,E,26.167320948823875,A,D,A,65.88960042204374,C,D,1
Yes,19,65+,A,-15.523857420261367,-95.06896631961331,C,C,A,-132.5807080954195,C,D,A,-173.67774110696885,B,D,0
Veteran,25,51-65,B,8.989566055702346,37.628764605335135,A,E,B,251.06812459402974,C,D,E,12.188282172004476,B,D,0
Veteran,18,65+,D,62.42485548107767,-137.71220998092218,D,A,B,-61.961094983806134,C,C,B,144.44159066420806,D,E,0
Yes,38,65+,A,-19.504386183753212,141.16354307302603,C,B,C,108.95603649095537,D,D,C,-50.98744267408802,A,E,1
No,63,36-50,B,61.60996732986559,18.11532753386912,E,B,D,178.2583739282218,A,B,A,-35.946968111776854,A,E,0
Non-Veteran,51,36-50,B,-97.80302314076327,-6.688286993405608,E,E,C,-33.10496193343339,B,B,B,-103.41488478400223,E,E,0
No,32,51-65,E,-192.33461141698166,-0.2549526719118775,A,D,D,-27.51472986846054,E,C,C,-94.09377693045934,D,D,0
Veteran,32,18-25,C,34.71497028801917,108.98884384033431,B,D,E,-74.34482766082546,B,C,A,7.552189387481385,C,B,0
Non-Veteran,45,26-35,A,201.72651208692432,222.76504500266233,E,D,C,-57.6162733257664,E,A,E,-138.14754993771191,B,C,0
Veteran,21,51-65,C,-215.82647986535795,31.764437291549307,D,E,D,55.19631289958761,B,D,E,-23.64946488386845,E,D,1
Non-Veteran,29,18-25,E,18.92615568962269,-99.72000871863229,A,D,E,-123.78492854534728,A,C,C,-132.45544950218851,B,B,0
Non-Veteran,41,65+,C,108.4775609287844,132.70825523908744,B,A,A,-54.348719480621355,E,A,A,-28.648926345427423,D,A,0
Yes,51,65+,E,66.36915751700754,-26.300833280575688,B,E,A,155.85589128499893,B,B,C,151.45438802181135,C,D,1
No,27,18-25,D,-43.25246321367059,-134.5240502274927,C,B,D,-253.4297069997952,A,C,C,-15.293171081060805,C,C,0
Non-Veteran,44,36-50,E,15.294802924733473,52.475340743115986,C,A,B,194.54406926107694,E,A,C,27.039556937384123,E,B,0
Yes,78,36-50,E,37.70372346158592,86.9344987285621,D,B,E,-89.68527231145559,B,D,B,201.11275553430056,A,A,0
Yes,69,65+,B,-124.16714165741907,-60.355193358092365,A,E,A,-180.21479377120338,E,C,D,-35.31850855231854,B,A,1
Veteran,47,65+,E,-74.25928413019896,195.93039314648493,D,B,D,-61.37373412249041,E,D,D,146.97300613374108,B,E,1
No,76,26-35,D,-26.536314711213343,25.707722204472127,C,A,A,19.187743048546224,E,D,E,-37.530071092866955,D,D,0
Veteran,46,26-35,E,-115.31978847447537,-67.55185373101695,D,E,A,-223.31126203106666,C,A,B,-77.12525491985247,A,C,1
No,36,65+,C,-40.263762121161726,63.0516274794569,C,E,E,-11.67519353665906,A,E,C,-82.14504654489464,E,C,0
Veteran,76,65+,B,-215.41566446487144,37.12443853580771,E,B,A,-136.05669106050544,A,B,B,-224.7008107772325,B,B,0
Non-Veteran,78,65+,E,-50.592186229870265,-90.51125605993585,D,C,D,198.78824981104043,D,C,D,15.527399409066655,C,E,1
Yes,22,51-65,C,-120.00180783806422,27.007200322246128,B,D,D,-30.256597476691088,E,C,D,-48.601427257678175,B,B,1
No,22,36-50,B,-34.68339697413873,-9.639880537322494,A,B,D,-28.402366028664634,B,A,E,-90.11473718265682,A,B,0
Yes,62,65+,C,161.79653445599214,73.5824187803164,D,A,B,87.38916651909544,A,C,A,51.03156220726744,B,E,0
Non-Veteran,35,18-25,D,109.53402854389272,19.53840717323563,C,C,E,-92.8320293597173,B,C,E,60.9262945370798,A,A,0
Veteran,47,36-50,C,-144.91804203471486,-79.16590647519402,B,D,A,-181.16592084792165,E,B,E,114.96949976664365,A,E,0
No,51,26-35,E,31.515542255338396,104.05692676288211,D,B,A,-210.6727007810612,D,B,D,-129.1456964514784,C,D,0
Veteran,36,36-50,E,306.9477077312434,-38.93258779037233,E,B,E,-10.065178288141631,D,C,B,-18.457525287525527,C,B,1
Yes,43,51-65,E,46.11497446684808,-107.98534855811582,A,D,B,18.179192646219175,D,C,A,-140.73809534921548,D,B,1
No,69,51-65,E,16.231477419563486,-125.95870330571057,D,A,E,-113.77579790030363,A,B,E,47.01572456262084,C,A,1
Yes,27,65+,E,30.797663540425386,183.89164947104823,E,D,D,-54.88364129653252,B,B,A,84.88370049001523,E,E,1
Veteran,76,26-35,B,-87.99872201306128,104.0802561099352,B,D,D,-66.27123318264489,D,A,B,-7.90303749092614,D,E,1
No,28,18-25,D,33.65002096292064,-55.827547138847244,C,B,A,45.62745279957948,B,C,D,-23.2367581733963,C,A,1
Veteran,69,26-35,B,-128.20502246608507,-148.40722507561446,C,A,E,-10.685483015016427,E,C,D,66.47189705058092,E,B,1
No,76,51-65,C,39.64036448386208,89.7803124609698,D,D,C,99.94673396494672,D,A,E,-54.58154674723895,B,C,1
No,68,18-25,B,-24.76765892745687,8.516847785409986,B,D,B,-118.19830651596033,D,D,A,-170.75132410154689,E,C,1
Veteran,44,65+,B,241.73439952411186,20.91563953980698,E,D,A,-10.285365250367343,E,E,E,-12.425224239731172,D,C,1
Veteran,63,51-65,A,-134.75793707974972,0.24983530101240883,D,D,C,59.77149245036145,A,B,C,-12.827019504241866,D,E,0
Non-Veteran,52,18-25,B,81.74729832523765,160.10034460013517,D,D,B,117.218961687979,A,E,B,5.388579609977858,E,C,1
Veteran,52,26-35,B,-37.81969186898776,-114.17280316174694,B,A,A,36.05869913315385,E,B,A,8.37009754393188,E,C,0
Veteran,29,18-25,E,5.367897327689922,-88.46676492876816,C,C,D,-68.32195733699966,B,E,C,-0.5555843453681433,D,D,1
Veteran,57,65+,C,-30.94144381225013,-67.5109619294238,B,C,B,2.214832240114824,B,A,B,-29.824477870708687,A,B,0
No,25,18-25,E,-91.81515482870044,20.896142004752694,E,D,D,-85.7402010265473,E,B,A,-87.15268362047243,C,E,1
No,71,26-35,B,261.32420273137467,-109.48106054320641,E,E,D,138.583260973154,B,C,D,136.30005143114357,D,D,1
Yes,36,18-25,D,-11.656293439188348,-8.338088439641231,B,C,A,-67.27683219431661,E,B,C,-31.400220605295477,A,E,0
Non-Veteran,44,18-25,C,44.318519051993306,39.66228904641112,C,E,A,61.98377131435857,E,D,D,-129.00111973186168,B,D,1
Non-Veteran,66,65+,D,-42.71679021501916,8.023378179028043,D,E,E,135.7701625301481,C,C,B,20.210217240406607,D,E,1
Veteran,74,51-65,E,-36.557681354740566,71.95357062462506,C,C,B,165.991034932013,A,C,D,175.37898910926333,A,B,1
Non-Veteran,20,51-65,B,-33.12350707008146,-16.81702324580187,A,B,D,94.47776598068435,C,A,B,93.91115736816313,C,D,1
Non-Veteran,28,65+,A,237.27344654925497,70.10405495594043,C,E,C,-108.93854697974363,B,A,E,29.30412029545449,D,B,0
Yes,57,65+,E,-157.99059532068068,143.27847307483142,C,A,B,88.86554762649959,B,D,C,-77.81431319152443,E,D,0
Yes,44,18-25,A,-111.80487868596494,-12.485809841669504,B,C,C,40.811667340844686,C,C,D,37.47441024564785,B,B,0
No,57,51-65,B,145.52658445863727,5.032858974625911,E,D,A,-2.5113985369684766,B,A,C,-206.736523155473,E,B,0
Veteran,72,36-50,A,126.19058142722818,172.43822320492566,B,D,B,-98.88660071702388,A,A,E,94.94001446149457,D,A,1
No,52,26-35,B,-19.55891414303344,-110.17519976002681,B,A,E,-73.03350485109016,C,A,E,-35.5814734089901,D,E,0
No,26,65+,D,23.209173113234193,59.77396809010735,D,B,C,-49.36566680739954,C,C,A,14.66569351457935,B,B,0
Non-Veteran,44,18-25,A,48.302653334678936,-43.970142304266304,A,A,D,50.03387444692827,B,E,E,-64.85684270438455,E,B,1
No,71,36-50,E,-39.61304711045412,148.04428807376726,E,D,E,-14.248488999641893,E,E,D,-2.4320742323116593,D,D,0
No,39,51-65,B,-96.2414531531688,66.72228688192703,B,B,B,27.597007930668543,D,E,E,57.17303915851459,B,C,0
Non-Veteran,78,65+,B,-0.6949745596378025,11.56475786789927,C,B,A,-189.2704037068933,E,B,B,-78.61910212935207,D,D,1
Non-Veteran,74,51-65,D,-163.86190981732497,-44.4406996313543,E,C,A,-191.44872266121808,C,D,D,72.80925549954206,A,A,0
Yes,77,36-50,B,-52.33023755482369,-53.84699543965205,D,D,D,-136.8034152205694,E,C,B,121.90640797753993,D,B,1
Yes,78,26-35,B,-97.6605616052644,-27.98167029223821,C,C,D,-51.384396124385326,E,C,D,276.15702907556295,B,C,0
Yes,40,51-65,A,29.967794697796744,13.245790013451519,C,C,A,65.69853824347004,E,B,D,53.410091206775725,B,D,0
Veteran,68,26-35,D,22.62838739435912,-233.63101388592554,D,D,D,-149.0693180417711,C,B,B,49.77460909163139,A,A,1
Non-Veteran,57,65+,B,3.9011338630861787,71.06254139196888,A,C,D,67.64571358494094,D,E,A,-67.19165073019295,B,B,1
Yes,77,51-65,E,-63.044896456436284,-73.32058380929438,C,A,B,-138.4954493849814,C,A,E,119.15755710353018,E,C,1
No,31,36-50,B,9.340993526714621,119.54886113797218,C,C,A,179.7630484546733,C,D,C,140.72512667472895,C,D,0
Non-Veteran,47,18-25,A,105.06345277402973,35.73820851940157,B,E,E,97.23327347214175,E,B,D,289.4788063924802,D,C,1
Non-Veteran,60,36-50,B,-40.11317774389703,-82.16984339864445,B,D,A,-55.33690846688258,C,C,C,-48.71803817473918,A,C,0
Non-Veteran,30,65+,E,15.199257835044023,-59.864798589503664,B,C,A,6.061639428175846,E,E,B,43.03641631033659,C,D,1
Yes,45,65+,B,-12.534646343155057,96.77540419374084,C,C,A,142.63523402229475,E,E,C,-15.35742586734493,B,D,0
Non-Veteran,53,18-25,C,-118.18432778830095,148.79140069701697,D,A,C,9.199305432468938,A,C,A,105.60746387963806,E,A,0
Yes,64,36-50,A,30.45649952046715,-85.45375203150576,B,E,E,-104.97725892464749,C,C,E,255.5637502722578,A,C,0
No,64,36-50,D,205.66168199059342,-56.802487734409326,E,B,B,-9.598341238181032,C,C,C,148.5483313296332,E,B,1
Veteran,65,51-65,B,-75.22204437464433,-19.374224990923576,E,A,D,-48.61219786521621,A,B,B,-122.64112526441755,B,D,0
Veteran,65,26-35,C,-3.2629729773756173,84.27197166653204,A,E,E,172.26902531921272,D,C,C,-38.22905114749473,A,C,0
No,72,26-35,B,-32.89120273770414,-51.95425843221309,E,A,E,-5.994476532180634,B,A,C,36.60867412341953,D,B,0
Yes,30,18-25,B,-95.02770736896414,55.01437131779704,C,A,A,-54.401592324206895,D,A,B,25.39954666475777,C,B,0
Yes,63,36-50,D,141.92023209499445,33.6931330560636,A,A,D,69.21222307120736,C,D,D,-166.5149546999913,B,C,1
Veteran,70,65+,B,14.857530237113142,24.514903299992135,B,B,D,-6.096692977345768,D,C,E,23.861862759251107,E,C,1
No,58,36-50,C,-88.70112655680231,9.374339530237378,C,C,B,-51.56123521408842,D,B,B,61.25192185090197,A,D,0
No,30,36-50,A,174.99269621486468,105.00309036174403,E,E,C,17.277074113372333,E,B,E,236.55718911849434,B,A,1
No,27,36-50,C,-227.11119557455305,-173.2954793645656,D,B,D,-98.82937353145643,D,D,E,-52.07706599894352,B,C,0
No,53,26-35,B,158.98815062454514,-73.24110300703975,C,E,C,-12.326801131221139,E,E,B,-242.61854524554104,A,B,1
No,72,26-35,A,44.48699388546713,84.48701172035976,B,E,B,-48.33803452261114,C,D,E,2.6616339383627774,C,B,0
Veteran,79,18-25,D,-121.09975682206684,-71.90548958102848,C,E,C,-76.32028787820263,C,B,A,-30.152271610961236,D,B,1
Veteran,62,26-35,C,-142.5904335286979,123.14246595538043,C,C,E,-105.14629301307308,A,B,C,27.690825104366134,D,B,0
Non-Veteran,27,18-25,E,-95.7315817209526,-99.87117074266905,C,B,B,44.66875409242716,B,B,D,4.305717080518998,D,D,0
Yes,19,18-25,A,133.1852710844531,-84.4404239306692,C,E,A,19.384165420601803,D,A,C,106.93815275645515,B,E,0
Yes,38,26-35,D,-111.61071807270089,35.811846161662615,B,A,A,23.200411739743092,A,E,B,-67.9057846572245,A,E,1
Yes,18,65+,B,-122.37008959169474,92.6546748571499,B,C,D,95.0870269307477,A,D,C,217.81118028240493,E,C,1
No,68,26-35,A,-57.43525997189774,-115.98484083859529,A,B,D,40.788775373757545,C,D,C,102.05061190697644,B,C,1
No,48,18-25,C,9.889849025959647,-21.987011420071187,B,E,E,-50.317622230095985,E,E,E,43.86088257147191,D,B,1
Veteran,42,18-25,D,53.222164866036024,-76.77331673055656,B,C,A,-171.0969829507272,A,A,A,-9.94310362653791,E,D,0
Non-Veteran,37,36-50,D,-9.213153473698355,-17.36955162274819,B,D,D,39.690696130379315,E,A,A,-122.64757813509802,A,A,0
No,64,51-65,D,-182.55511942567256,91.03023668834153,C,C,C,98.6759048799203,D,C,E,41.21150457578837,C,C,1
No,73,65+,C,-104.43262683191048,26.42473925048316,E,E,B,162.5285190957402,E,C,E,-186.18529378193244,A,A,0
Veteran,55,51-65,D,-21.07281505888879,-2.0822467865128114,C,D,B,143.11659049068314,C,B,A,69.89550564209738,A,E,0
Veteran,72,51-65,E,-76.67615895694097,-32.271411769215916,B,D,C,83.76903313010936,B,C,C,-192.43405915226543,E,E,0
Veteran,50,18-25,E,-31.260448328789913,120.6759775609788,A,D,A,138.59362454355505,C,A,A,4.761365316097617,A,E,1
Non-Veteran,56,26-35,C,6.6610423861477726,-121.29677556689735,D,D,C,-77.08174546712996,D,A,B,125.29953258450008,A,C,0
Yes,76,18-25,B,-25.200397767939638,54.280735192630694,C,A,C,78.43853117474751,A,C,A,36.74932591514896,C,C,0
Non-Veteran,23,18-25,E,335.1567120056062,-8.630264518281034,D,C,C,24.634920563904387,A,B,E,33.948098159744156,A,E,1
Non-Veteran,47,18-25,E,107.01201708145945,-100.93630600525981,D,D,E,-209.084573844797,A,D,E,0.8816504989337778,D,A,1
Non-Veteran,47,36-50,B,-81.56818966041406,-142.80997071081407,A,E,E,-54.66100733645048,C,C,E,78.57145734034687,C,E,0
