nation,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Other,Muslim,44.465944156483594,-52.71913822499915,151.2507291591207,124.6832327836233,D,-258.9786483006209,B,A,B,-141.82376341254943,-23.56281445062123,27.629867471814112,228.24828299020209,E,1
UK,Muslim,26.871834819205205,142.2719121160901,211.29225766837828,42.768206161944384,B,110.30413506240153,A,B,B,66.2439967400087,-61.345092590317286,-117.1279462264587,-68.9954169805252,D,1
China,Buddhist,-64.22900807753432,50.69753141043996,-40.109909597016376,60.83332843318121,E,-59.01210456251433,A,C,B,152.3580639107187,101.19232899618478,-213.17224552903292,-81.81687345938406,C,0
Other,None,210.4445174114503,95.48939843358744,48.20990886664779,25.172482919143658,D,-85.36130014290721,B,B,E,-74.7794421534302,-23.76927255603052,188.21645591672439,293.76190621658805,E,1
UK,Hindu,-126.09794680319438,-31.8437581127069,-39.09836415671443,-45.2673882812004,D,-123.52157223336431,C,A,B,14.666839326116646,244.79019694816282,-10.127689630980445,100.94821200298007,A,1
Brazil,Muslim,16.148006912608963,-17.15333156302316,-44.164385713579954,-8.84860577651185,A,-95.92413881495737,C,E,B,-23.97992267665165,-225.49951677345396,53.63757991436876,-1.4478485796579688,E,1
Brazil,None,100.41078767007873,39.92942348718259,-39.770788200189074,11.961600263088314,B,163.6819824845639,B,D,D,-81.94413079780345,144.93542080748665,-9.038049126779818,-31.16073476843787,D,1
Other,Muslim,150.4806845445443,53.47500835473178,-17.93836727000821,-113.78403145619845,C,64.87427473299695,D,D,E,-97.4171646944294,-158.40353182977114,57.13702618684412,-133.3226314107638,E,0
UK,None,-72.60880865419607,-171.40155903682557,-3.9831860403735666,-89.41957669947233,E,44.71838578065348,B,E,B,194.63369676629847,-32.055654543933855,-187.90060842173386,77.05265875215825,B,1
Other,Buddhist,-268.1106849881187,-45.80054866596586,-207.09293712572457,207.05581557730932,B,43.977742127900726,A,E,D,-180.0062527342825,-16.02058305868707,59.78821610554784,13.810370795672336,D,1
Germany,Buddhist,42.407470547218125,103.67644386442694,-27.19690283882421,-103.99195376358954,B,175.16475161916998,E,A,B,-30.394416484906163,-108.88943536744142,149.39469070181698,-126.33730830960097,A,0
India,Muslim,-162.8263412418735,-5.910875754873947,-43.26573379082696,-46.52336612345675,A,-78.88768654884664,E,B,B,-144.85310780335027,42.026777608370736,-128.5612380378693,-22.967007404893508,A,0
Brazil,Other,43.35064438156499,49.41617186373456,-162.82052900731733,28.88315308919446,C,-103.41821685165138,D,C,C,-124.61184560252853,-88.60503813108548,-71.40291380298811,4.39561681794873,D,1
India,Hindu,-4.220299765560106,37.54993480515597,98.79552866708337,-89.82661614717053,B,-256.63416639307826,E,C,E,-117.42621560858801,-101.3390076608794,122.14364087887142,146.58757715345533,C,0
Brazil,Buddhist,71.12992569276719,21.67247882438395,-70.01595580010671,11.52084312821249,D,33.8506118827282,E,E,B,-39.576266963318886,-33.02976476526941,-19.121913724671437,-5.236313484871185,E,0
Germany,Jewish,-106.63567835227181,-119.84597456262792,127.50007508584318,-63.702654819912944,B,-44.72262389572965,D,E,A,183.9392149949574,24.493354436548536,31.023173830292595,-9.775700795598267,A,0
Germany,Muslim,-44.333994856083855,-37.71100692172655,-39.10093115570337,0.7022733635595586,D,-70.0159216692068,B,E,D,4.65867378368072,-32.51865845135553,184.1066253480055,-40.62088589588245,C,1
Mexico,Jewish,18.819095675998987,-75.66135532370711,-72.2426470254908,-246.730525281956,B,6.551689719762827,A,C,C,1.40547473800892,226.72051314992743,137.40026152670242,-69.22829324165264,A,1
Germany,None,-152.9295807809938,-24.26292007970913,-70.40684683808338,169.9528311616971,A,-39.52751752633465,A,E,D,-94.92205588063499,-18.583128679714537,52.96632291691032,-161.08298740350816,D,0
UK,None,-3.6833636605978897,121.89775979790593,94.6764620940049,25.18855616181251,D,-29.85706611643204,E,B,B,66.08519671347179,-117.66761696613335,48.26114561887526,254.02270464812585,A,1
China,Hindu,-15.968312892005358,-54.195170363714105,-98.68319679297193,-232.77477353942578,D,83.78095678256179,A,B,D,135.519688099197,-51.41614244573549,14.065449996535742,-159.99810993614906,D,1
Brazil,Muslim,66.27078991369677,196.8045024455341,27.829364815995344,-73.62469082434811,C,50.057961961682295,C,D,D,47.98124351216714,-26.2382464639453,123.54205759805788,-5.652078011720159,D,0
Brazil,Other,39.06362109723235,110.42617358758137,-197.103936924934,123.79166412693704,E,69.26426003443206,A,E,A,91.6702811066842,134.57893600916674,-173.33411547898888,28.25601675059825,D,0
Brazil,Muslim,75.42343500803393,-1.4949699352112156,132.59534706829697,71.42949230740729,E,121.40670342689516,E,B,A,-20.771091431610536,58.34457425814015,26.759111372002014,-150.9978158670333,A,0
Germany,Muslim,-52.64266234447334,-109.81151355880772,228.78049206884486,186.78883358355128,A,31.447275928739877,A,E,E,10.958368649300377,60.156286987911336,1.004668072538427,108.46457591918444,D,1
UK,None,143.48894794722835,-96.7332382795907,-75.14412551976658,102.45484655680133,E,121.90507232065968,B,D,B,23.835541375934362,-6.406956839135777,165.97493404228473,-14.710241408148569,A,1
Brazil,Hindu,-247.48762209879146,-122.14090215742863,186.09629774223652,-9.58558004176658,D,-162.2176252758997,A,B,E,156.9676497550332,-20.233925944627753,207.53782404472614,-4.538284767552492,C,0
UK,Christian,64.04884715625201,30.770161137621272,-263.6169423556345,-20.717018484876707,A,-73.57573327328825,D,E,B,-71.13105320332025,79.88111048644735,-14.98962940632887,49.88223212947004,B,1
Other,Jewish,55.4585987777784,81.17768255448412,18.10239006801792,-48.9553413477256,B,-114.34667710077665,A,E,C,-10.859457678428628,274.8173846464209,73.92922160873154,-3.6873634657682492,B,1
Germany,Hindu,102.32676701749361,-108.95070951880793,94.11779019041148,-68.00536277130561,B,-118.0544166655877,E,A,E,-4.217215865346543,98.306106659303,-73.24591755101434,-64.16068600762634,A,0
Other,Buddhist,16.801003078977228,-72.35676147908107,-104.66292636187968,-5.722981133007548,E,42.43454729499133,C,C,D,67.09341748532408,177.64470784919965,-273.68767279726285,-14.017058767979815,C,0
China,Buddhist,-80.43349209250829,57.10538185041462,-76.89301860189299,120.77491877981406,A,-18.148215165887603,D,D,C,103.55381745188261,-153.47700954541625,144.96480856958343,68.10231657741673,B,1
UK,Hindu,-96.40690652049315,-102.10737410221296,43.469971286386425,15.985285505988966,E,-166.33741964635772,A,B,E,-49.9582678208589,88.45554216164973,6.108684129189627,-175.72783376558206,A,0
China,Other,73.97355079632717,-40.34040684798843,6.238069311507044,62.36877046066003,D,77.8511019663921,C,B,A,-30.72306943109379,-18.049470574839443,141.28620380085226,28.461458743200346,D,1
Brazil,Buddhist,-3.699094782004276,-93.0318185918118,47.037679392597234,56.24258026657849,E,-33.37305111052213,C,C,D,75.58837483957537,30.41150549555775,13.937700569054595,61.22165705972223,B,1
UK,Buddhist,158.35516077894593,-109.7375370892963,-83.31579660075445,204.2219952719047,D,-112.72076117788599,C,C,D,65.80438460630089,131.04970159143753,110.22330181732582,-5.299035527134473,A,1
Germany,Hindu,246.5056973591659,-10.098985537616057,132.89381491822172,-18.124490686173463,A,85.73731791661123,C,C,D,-29.872553404628356,95.38406396559486,79.60849656398261,125.61869273049933,D,1
Brazil,Other,-64.95601968336864,-108.12614011532544,39.49632142259958,142.2753350967664,D,7.01342394862953,D,E,A,50.7477959025506,60.92965419267911,31.589390408514355,42.10338374147899,C,1
Mexico,Hindu,-286.1133603896943,-56.67732253160529,-10.556526895192235,-6.174936272996523,C,-19.563264871630246,B,C,A,31.545695949846795,-0.9763451672726652,-81.86537407389528,119.04011134971351,D,0
Brazil,Hindu,54.4714579823516,-212.53027615884704,-16.345159924489003,-117.42952599002032,A,-116.65001334259124,B,C,C,-75.61820856096868,76.79470656788148,37.670002775679556,22.13139340551172,C,1
Mexico,Muslim,32.09175965217243,17.139066253159296,57.137797311475445,92.26044467713122,B,-59.29161565683634,C,A,A,94.35245221869623,36.942541293694426,41.98421671021738,-17.093758298595464,C,1
Brazil,Other,-28.139356749926915,17.248715371574814,197.73773278651186,-146.47514561386404,A,31.48421513514884,A,D,A,78.84207181409984,-26.806470074468024,73.20598978486666,-70.48602418417742,C,0
Brazil,None,-5.026612446773324,67.03068448915401,-93.99225096084592,32.90718298203445,D,0.969837475464529,C,E,C,61.02542159512559,-30.512704647100875,-100.28681056333451,-127.31376444039107,E,1
Mexico,Muslim,31.155308486513817,31.40136457098739,67.70673737945772,66.73572784843397,E,-115.20356614281258,D,A,E,243.90372769524467,154.0021679158143,-124.13623087141286,-145.01938310970735,A,1
Brazil,Jewish,-107.79241352059219,13.08226000129087,-21.820596808117465,149.39027863523148,C,36.302565169894066,E,B,A,151.2371730038848,-186.49227499316117,-29.781899913590166,182.98782322845827,C,0
Mexico,None,193.55520772485428,-43.08027367656092,126.0876641394072,38.11504024388808,C,-52.57560738211002,B,E,A,-52.585408169865424,9.853393719276783,-88.07777928887087,-34.98782008726501,B,1
US,Buddhist,-45.79631892882727,103.78888391648833,-62.178443148729166,156.7208380537996,E,22.695567757913025,E,E,E,191.73528279754578,-2.242891435482361,-153.8926764487343,-30.31286523803749,D,1
China,Buddhist,-114.92656289231378,61.44572315460398,11.216081341006328,123.88571882978965,E,-3.6222657550172785,D,A,C,133.37379817605043,44.144147709863944,93.28009553723636,-147.7510172438576,B,0
India,Buddhist,14.921320582137318,88.74113856234574,43.643146416997276,-129.14233781119066,D,18.529616000359937,A,C,A,9.376330948398245,-19.60483934918919,49.54298382859702,257.92596823793707,D,1
Mexico,Other,123.33165548278875,204.5757579307686,-32.87539759281418,133.3255377985335,E,62.23840751695538,A,C,E,-31.874894007160474,134.53372187116665,-93.19781793443916,58.035092845007554,A,0
UK,Christian,-57.461117392855684,2.1509251192978787,-156.92044008983046,-188.03615377642518,D,14.276111594481433,E,E,B,51.00823374261264,-58.951125759358035,53.5226737198924,86.13991050756913,D,0
Brazil,None,-111.89570449929992,-7.326938288850732,131.02083304276846,-90.9058213271131,B,27.2917457412682,A,A,C,11.346108445297647,106.0737630265695,61.70978619175942,54.63849382489248,C,1
Germany,Hindu,80.1183084536773,36.46477715909142,142.78566386276108,104.65404721945264,E,84.4472842370339,B,C,A,-6.472630256877804,205.1060764872262,60.921335890907876,75.25091768963173,C,1
US,Christian,-45.093599803534886,17.10348671467413,20.369798755919653,20.210710303325072,C,26.84312907967808,D,B,E,-3.8745633112779556,145.44575795889102,-131.97294218826372,146.8273940372869,D,1
Brazil,Hindu,76.56502589789287,209.293160751472,-253.22682739352396,-39.26512147247579,A,43.930712741655164,C,B,D,73.41521660047707,107.74822775070692,-34.38953063829519,79.93761426624748,A,1
Brazil,Jewish,112.50745339356499,69.64282642395581,-3.078238622562754,31.76204779870367,E,16.458799418150114,E,E,C,-161.6605082014263,131.29012718674136,-1.4495095698568863,102.50078291240318,A,1
India,Buddhist,-21.591957449413623,-120.32816517629055,-127.41261979405908,-123.84830193160448,D,11.488700609888605,E,E,E,-220.48943198978952,118.10940041152138,80.00183897960018,-79.304835084889,C,1
India,Christian,-1.7784176725885292,177.610096199703,-59.63221497605248,-48.421759497951896,D,-8.132936425854544,D,B,D,-91.59971939007261,-159.69195445318672,-84.75759993725414,29.56160908721472,B,0
Mexico,Buddhist,-70.80440909277826,58.66321212589073,192.8055295533266,62.54188549487989,E,-12.864772386095183,A,C,C,-104.71888433448329,-56.027109891326496,-2.35409938216593,61.150032714407644,B,1
US,Hindu,260.82771497249234,114.07114279756195,-145.52815040417417,133.52067574685697,D,-9.810249776428565,C,D,A,-94.71694397530538,-174.19453451847082,7.330111329812938,-46.14671122889834,B,1
Brazil,None,1.959543424211867,-190.90850799049812,55.64390970225129,-134.41317202140937,D,-24.207191913620154,D,C,A,-26.542730859995878,90.76629311664261,90.13942613496377,-15.599155214253258,B,0
UK,Muslim,-37.63836844653736,-114.61261424359328,-29.621277804527836,31.451077623772733,B,122.92821922889954,C,C,D,-30.314001327391804,-4.798632841634793,-85.57517819598384,-28.706210203866885,A,1
UK,Hindu,-12.550353273853815,153.04879499031972,-45.33595030014646,17.692971706833383,B,-12.049812931493662,E,E,E,-174.02626237207494,37.225272141637944,-3.432080985776018,95.83312864981615,E,1
India,Jewish,-38.05010502839215,-60.77741573250991,-130.04441621773088,28.27043956011388,A,-57.924454625903955,B,E,A,-150.00594063771226,-76.82856426056344,162.81955226768596,-171.91607219819133,E,0
China,Other,11.728762140276453,21.76787914767357,80.07469163841621,-117.47312864351065,D,-33.52577832758366,E,A,A,4.688075605629058,-20.461259336390814,-1.4661042962774906,-75.26730654636071,B,1
China,Buddhist,25.736092776070947,-103.44637149871095,-87.96505275212931,79.9794898674568,D,96.7581481609956,C,D,C,125.30531310698505,-69.77206376531882,78.0251244139885,-12.842562582554262,E,1
UK,Buddhist,-105.24924147157073,-75.26795745638526,8.361812718667812,54.06346154798941,A,-144.40447510736294,E,A,B,-114.83454311347647,36.96790315729596,20.52483998672785,47.74145290719237,B,0
US,Hindu,54.57209898101992,97.05935923659756,-19.74161583292691,-30.307439630556665,B,-84.73772048307112,E,E,D,-69.35931509453891,-124.95647467305824,-35.16030422056203,89.71785164736896,C,0
India,Other,-1.511697415316372,-14.043063557352898,218.1484830330283,-171.77829960501148,E,84.66150529391753,C,A,C,32.82527979320452,20.564986548046914,71.25874774238613,37.74069077201384,A,0
US,Christian,60.955101433557346,147.35034921326667,-57.75525773015702,-40.57810119181241,B,139.00321058285277,D,B,B,129.3413010315656,-70.30433840218221,232.3249348439464,-266.82069962007847,A,1
Other,Other,-100.89375829033,11.083571051494676,20.34044941602744,-28.665969852922267,E,135.55947577963488,D,A,E,91.59325529993187,89.18569495373885,-70.10055263393903,-20.0960216406361,A,0
Other,Christian,-106.02985585283655,-34.66356822480204,-83.82125354403802,-83.47495037676737,B,42.05794830865271,D,D,D,34.822401238033244,-46.46298826664985,1.2907877675009907,44.18505839075367,D,0
Other,Buddhist,17.128974789983058,-41.2022850142603,11.934515284283554,-133.78117349280387,B,-133.94834610220582,E,A,A,-57.55140071054482,83.3174749044872,9.164839414560932,-106.86447917292512,C,0
US,Muslim,53.88248820448895,7.938193996731159,31.471749195088584,-63.42283763834291,B,-62.54268235681902,B,B,C,-31.955270572806523,143.08864383517366,40.45327617313658,106.26797507662428,E,1
Germany,Muslim,-118.81517752052258,41.28466385075341,41.96571946463156,7.268840027985204,C,160.61457881469056,A,C,D,-38.093665168103165,101.86187744944934,29.467115988122995,0.17140445214649386,C,1
Germany,None,38.50307410608144,-26.17025363022623,128.9790009632704,-0.8553985149618382,A,119.65755029587501,C,B,D,5.8530464270561255,-7.553221026105314,116.10737857894937,116.39360615463323,C,1
Germany,Christian,-51.53361235455755,-14.517957164874923,8.889291340494305,-63.885329923540255,B,-4.918119014264144,C,E,B,138.76341640496898,-97.18578593862082,-21.147528659493418,56.10848426891493,C,0
Brazil,Hindu,-10.511090266311706,169.11312522884566,60.0636662830166,-141.60022928335772,E,22.571743198043883,C,E,C,-172.4535341633691,-14.185286010169937,52.273004551242444,31.013336742508386,A,0
China,Hindu,-313.7439007929232,182.046172129611,-124.63611285779245,122.65011136075594,B,92.44076779814682,E,C,B,97.2581720191288,70.5147148462711,4.7487493906077605,-79.10594721822365,A,0
Other,Hindu,-14.988169634005539,64.60004096318102,-55.922209627535004,-85.22235691509186,E,26.253425443500973,E,A,B,-9.499163147089535,-32.57482913061015,80.31339391102155,40.142344091295215,A,1
Brazil,Hindu,165.44493627704574,202.2024895833655,177.50859754296985,52.12979112322238,E,-10.12991775492395,E,C,B,46.596845668150365,-60.68629275891152,-127.12338919004806,81.5272864924215,C,1
UK,Other,110.42146419856418,41.9753647947381,-173.94667906078828,40.88934537988083,B,43.97636967420827,A,A,D,-77.97194333349904,49.79563938019384,-104.3491314179348,-175.31164621164925,D,0
Mexico,None,81.41868005025066,21.304329854332785,-5.359797188652747,52.04941827354621,C,-77.32154844358345,B,A,C,24.165115732074792,-36.74317966849035,9.138975636140993,196.0556570299737,C,0
Mexico,Jewish,26.50605863776818,91.86097247542362,18.93956444191124,6.277581223104438,E,14.942806848632847,E,B,D,-185.81779496588894,104.11186120960339,4.141044971060282,-29.25700946389273,D,1
Brazil,None,106.36802040957132,75.61307397088386,13.846725094761265,-63.62542378925076,D,111.33055219834749,C,C,E,88.4684647947094,-186.6613966720727,-17.996404129399465,-87.11665359710796,D,0
China,Buddhist,8.741194809110969,83.09846571832331,-47.472250441116536,-60.40382360076029,D,-56.31916694156482,C,C,D,-149.02353734724127,-78.52067078106191,3.885114582590412,108.16241586004742,B,0
Other,Muslim,-226.72390746722635,-111.17423157269495,65.79604490071695,213.2105432785612,D,-53.55906711430802,E,D,C,-77.60859557056014,-11.713045312344882,-197.83816565797582,-79.32774578705875,D,0
UK,None,86.53691570190969,-119.96824293215913,71.00482802472426,-116.60973351337982,C,16.01375455500385,E,A,B,31.32015277900413,-167.28891790193993,-2.839541942315115,155.4832246644609,D,1
Brazil,None,-198.342820272451,133.16392745956776,174.9381392906262,46.252127420498944,A,-0.7752249813009828,A,B,D,165.02213552197347,-26.820345186886975,40.75785273565556,58.34621702157489,A,0
US,Christian,-197.56348604052994,-155.2968282218742,-123.25932317752633,95.76407295446916,A,-190.64765960063085,A,B,C,-30.57775180441728,-31.826360791393387,69.12073521031996,-123.70853135565329,C,1
Brazil,Christian,11.483629397385025,54.92493794968865,-11.476801013301257,-27.392274007902483,C,40.86606482402079,C,A,E,-157.9175049265728,-158.97716807466705,87.02992519111385,14.017326137018134,D,0
China,Jewish,-55.16428610554376,137.972043824509,-52.58052174730107,10.895424540935817,B,-57.5364445975475,D,E,A,-75.93693269822906,92.05678352205268,106.21735844712713,-85.85360559156219,D,1
UK,Muslim,65.37673765800847,22.33554745057733,-25.23746271573777,138.9838743741,C,74.7863163196067,A,A,B,43.98959947017505,63.59208223625925,199.04288370920835,-120.5816001116413,A,1
China,Other,-29.837037126032023,44.70691418055127,44.23123199230734,38.87806918925309,A,41.302349678450604,C,B,D,-14.03317725218347,275.24700880558345,102.63784713509398,126.81110212000628,B,1
Brazil,Hindu,56.05425940110811,-128.29281253026835,-8.414633339662519,-169.7562917554366,A,87.4027133656166,D,E,D,-191.2700461061031,78.67800250029869,63.54244230183546,-32.76154807050398,D,1
Mexico,Other,-70.4949774079803,-155.28429924086694,-85.00080165020717,12.71982004166704,E,44.917582793520324,B,E,B,-4.247877783079841,-55.825192289147594,-73.14630767194863,38.51208603128871,E,0
Brazil,Hindu,157.81243296018664,197.46077188931744,8.824420709677245,-220.3636397090963,B,-180.4227215971863,D,D,C,50.05262186701292,151.19433328517493,97.26719874276581,-76.9380132637505,C,0
India,None,20.07462859534949,-40.96152895224994,-28.80335622542372,-59.64022362604696,E,-128.99405862706942,D,E,C,-126.73115934629016,-99.42994872958373,163.8043236147605,-89.09009281262146,E,1
Germany,Muslim,87.26638062713698,14.873322066942258,-12.573704276237915,105.51983957098518,C,188.22186765391663,B,A,C,17.00744450043343,67.51342533640386,102.12994145910392,-231.57340964744347,E,1
Mexico,Buddhist,194.4929631819817,167.25437093710298,-39.57342475282209,105.03258854700293,E,-42.01709567232106,C,C,C,66.8871584597047,-196.53067221892735,67.09528025681944,133.71388985607246,C,1
US,None,221.4871197890591,59.009825199055975,-40.544883349338484,-31.144133325380547,A,-31.70778334464046,E,E,B,-30.965616577204326,-62.46316924221803,-183.56519501321716,142.52385556799007,E,0
Mexico,Hindu,-87.54128991981281,-60.06320645944329,46.259200824933764,127.20218426298857,C,-61.997036185649904,D,B,A,-199.2847788014822,-6.103733853498906,-117.54966873812191,174.5000509619633,E,1
Germany,Other,101.02853421824946,7.927094694063603,20.22812903452372,142.83062672993964,D,-102.28600368027361,D,C,E,15.0800220847181,230.3583036583302,-70.96499154229029,-31.628911231482697,B,1
Other,Other,-295.6308202463886,52.65711603360913,51.00968156026555,9.709385893650559,B,47.68133015894249,A,A,D,-66.29357617514016,-39.43921534111237,10.047971203953015,142.85060794104618,A,0
US,Other,-104.12866183233072,136.1466953614665,-1.6901658892712768,-58.136018012618315,B,-202.31138353905044,C,D,A,140.09851351884313,35.90279016810119,6.021848281605478,137.2092626755749,D,0
Mexico,Jewish,-24.721280811996646,-109.46357594185223,-93.9883404412505,-21.170166244431876,D,-71.33269187619877,E,B,E,-62.07767080105461,50.39506961753861,-208.2847264995392,29.070216466426483,A,0
Brazil,Christian,15.593801793803937,47.302384709250326,-2.4720825485917293,-114.34136183496877,A,-113.49081686278896,A,B,D,35.70758542467337,-29.67465293467454,36.230277548357165,-91.28932218521977,C,1
China,Muslim,-3.932980603088739,77.15042209435815,-179.0651089865112,97.47029405491429,C,-75.26821298985797,A,B,B,-79.09671282031655,26.350548167309658,52.67673020308561,24.647491246921792,D,0
Germany,Muslim,-77.71427338854845,109.14676892866868,-71.8484881458788,-52.069317983734464,A,-10.360129066939965,A,B,E,-78.26107495079874,15.517300336733687,-20.474932322422845,-98.80464450723169,E,1
China,Christian,-48.01353494314585,-97.29734925803147,-45.791185422208336,-24.82287425898451,C,68.64359278541812,B,B,C,-6.044955715868883,-23.80245785843484,-81.17401204232408,42.5163633354361,E,1
China,Buddhist,-231.81568417318204,83.87049723003783,38.061485899140415,208.6478175028954,E,56.183978696258194,E,D,A,-122.91392642082735,-162.02538161029426,-121.084978386342,-35.98187378747712,D,1
Mexico,None,-98.51311255673455,-68.4535311117731,65.47158416909743,-10.606168502533155,E,160.37755540725144,A,E,D,-71.28786168526602,-305.86455746263266,186.97116221874356,-18.27956413105674,A,0
India,Other,-69.01701123673207,244.05588579355242,71.69511632079065,-35.30539461313108,A,-123.90181101570592,D,C,C,-19.346039756157314,-55.05110286134837,-63.495244991023455,-135.1292717653771,A,1
Other,Jewish,84.8071959668881,-112.29176212897056,-84.11290922674846,-22.32749447874676,B,184.41066596829864,C,B,B,123.23778190304246,94.43369411150614,-131.47692203426345,33.907962917511924,C,0
