military,SEX,Race,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,target
Yes,Non-binary,Hispanic,Homosexual,77.92404403677628,B,18.784653658672095,A,B,1
Yes,Female,Asian,Homosexual,100.19176302850283,C,154.5910973353652,A,D,1
No,M,Hispanic,Homosexual,-50.02190037215223,E,45.99422615362086,D,A,1
Yes,M,Hispanic,Heterosexual,-30.62468564024941,B,-20.464771668090005,B,B,1
Veteran,F,Hispanic,Homosexual,18.520300703732207,D,30.998643660663188,C,E,1
No,Non-binary,Asian,Homosexual,-4.32704397766996,D,-196.72715284786238,C,D,1
Yes,M,African American,Bisexual,106.96532909202496,C,163.04840088114213,C,B,1
No,Male,Hispanic,Heterosexual,62.092340092869506,C,51.15474941557995,C,C,1
Non-Veteran,Other,African American,Heterosexual,-27.825162930323337,C,-18.581876292402924,A,A,1
Yes,Male,African American,Heterosexual,26.87735512613046,A,-5.482291151269543,A,E,1
Veteran,Female,Hispanic,Homosexual,-4.988832280754832,E,83.4260992476689,B,A,0
Veteran,Other,Black,Homosexual,-100.8567211893647,B,75.32377783900725,D,E,1
Non-Veteran,Non-binary,African American,Homosexual,-287.26975503617916,D,-45.85657534243516,B,D,0
Yes,M,Black,Other,-272.518183485571,A,60.42486381043035,D,D,0
Yes,Other,Hispanic,Heterosexual,-128.7468510568732,C,-119.18966775676742,D,B,0
Non-Veteran,Male,Black,Heterosexual,-33.66309678523699,A,68.12597194480513,D,D,0
Veteran,Non-binary,Black,Heterosexual,105.75058131006013,C,-75.39109254431756,C,A,1
Yes,M,White,Bisexual,59.077418631881976,C,-87.0772626770545,B,E,0
Yes,Non-binary,Black,Homosexual,93.30155055385353,B,113.35382216020862,C,A,0
Yes,F,Hispanic,Heterosexual,-83.67939375565709,A,-136.86854376200006,D,B,0
No,Non-binary,African American,Bisexual,26.75997787228145,E,-57.6445507422797,D,A,1
Non-Veteran,M,African American,Heterosexual,54.549380919941484,C,77.90891985480758,C,A,0
Non-Veteran,Other,Black,Other,-98.98034752425383,A,100.97519202575786,B,A,1
Veteran,Male,Other,Bisexual,-76.55485913707928,D,-128.96114935249582,A,A,1
Veteran,Female,Hispanic,Heterosexual,-75.55207655873505,E,49.47073200298676,A,E,0
Non-Veteran,Female,Hispanic,Heterosexual,94.09863725862337,B,-167.35770849790364,A,A,1
Veteran,Other,Asian,Heterosexual,-94.0318179717776,C,-19.37845603582295,E,C,0
Yes,F,African American,Heterosexual,130.3897039659088,E,80.4325813057361,A,B,1
Veteran,Female,African American,Other,-75.3852425538483,C,25.644114364869097,D,D,1
Yes,M,Hispanic,Bisexual,-157.08057780838277,B,5.991346268949155,B,A,0
Yes,F,Other,Bisexual,-118.48334271838412,B,-52.55779847552979,E,A,1
No,F,Other,Homosexual,-94.14081365976831,D,-46.91761112587148,B,C,0
Yes,Non-binary,White,Homosexual,-9.54100501619112,E,214.18079642984193,D,D,0
Non-Veteran,F,Hispanic,Heterosexual,37.96536714380024,A,-105.66297815723327,B,D,0
Veteran,M,African American,Other,-145.84248649050045,D,-102.23986666411997,B,A,1
Veteran,Female,African American,Homosexual,34.4073452838043,A,-90.52518268209953,A,B,1
Non-Veteran,F,White,Homosexual,-49.13702341219205,A,119.3211410789098,C,B,0
Non-Veteran,Other,Asian,Homosexual,-205.29862642216563,A,48.3777946026404,B,A,1
Veteran,Non-binary,Asian,Homosexual,4.917415812408883,E,-4.156364496287941,B,D,0
Yes,Non-binary,Asian,Homosexual,50.95334796433389,B,34.10957167122873,D,B,1
Veteran,Non-binary,Asian,Bisexual,111.44577572231131,E,51.52365800215457,A,A,0
Veteran,Female,Black,Heterosexual,23.815603048979085,B,20.767039789074417,E,A,1
No,M,Asian,Other,8.211608828130412,E,4.045864476101613,B,B,0
Veteran,Female,Other,Other,185.21189679960412,B,-116.61276118150931,D,A,1
Non-Veteran,F,African American,Heterosexual,99.8788334631924,D,-1.331413814250455,A,E,1
Yes,Male,Other,Other,-87.86731589962028,A,-26.764249896626897,D,A,1
Yes,Female,Other,Bisexual,74.06718399181199,C,-16.185089855312377,C,E,1
No,F,White,Bisexual,237.59290078632276,B,100.43897960429074,B,A,0
Veteran,Male,Asian,Homosexual,64.0562594792636,C,-79.4340655513895,E,B,1
No,Non-binary,Hispanic,Homosexual,-118.24142672070803,D,37.69119003944343,A,B,1
Yes,Other,Hispanic,Bisexual,94.57334812146621,B,10.5405374962424,A,D,1
No,Male,African American,Other,1.1883308375424406,D,-42.4218005104697,D,D,0
Non-Veteran,Non-binary,African American,Homosexual,-196.98172495723787,D,-54.00132136489003,C,A,1
Non-Veteran,F,African American,Other,-78.06513822144245,B,105.98679333042529,C,C,0
Non-Veteran,Non-binary,Asian,Homosexual,143.55709376587473,D,-104.15579790587981,D,C,1
Veteran,M,Other,Bisexual,-6.921101914979166,E,-21.741046758326416,B,A,0
No,Female,Asian,Heterosexual,-115.50182872697063,A,134.59509747463906,A,C,0
Veteran,Female,Hispanic,Homosexual,78.49218380548815,D,161.6874833171299,E,D,1
No,Male,Asian,Homosexual,-99.53124017509346,B,-102.08190581354569,D,D,1
Yes,F,Black,Other,-60.000829196113706,D,-36.37365299669569,A,C,1
Non-Veteran,Male,Asian,Other,-48.181329005241395,D,29.715564134600385,C,B,0
No,Non-binary,Hispanic,Bisexual,89.91347230643457,C,160.98516462208204,B,E,1
Yes,F,Other,Other,205.5242898852093,D,15.678880100254878,E,D,1
Veteran,Non-binary,Asian,Bisexual,122.76134877536144,B,143.65970530739727,A,A,0
Veteran,Male,Other,Homosexual,72.17301070091779,C,-51.80869448518594,E,D,1
Yes,M,White,Homosexual,-20.75332982459867,C,15.13291944348528,A,A,0
Non-Veteran,Other,Black,Heterosexual,126.98861350493273,B,166.86484633345196,C,D,1
Yes,Other,Other,Heterosexual,100.13927485743505,A,-44.72230830372555,B,C,1
Non-Veteran,Female,Asian,Other,-169.56285087300787,A,42.71677134099637,C,C,0
Non-Veteran,M,Hispanic,Homosexual,207.39853275207184,D,139.11748215842147,D,B,1
Non-Veteran,Male,Other,Heterosexual,-63.44720226692875,D,-27.742180715482135,D,E,0
Veteran,Male,White,Heterosexual,18.812797969919906,C,101.5153720363141,C,B,0
Yes,Other,White,Bisexual,-0.12608555550286576,C,235.04534673507433,D,A,1
Veteran,Non-binary,African American,Homosexual,64.5154904111234,C,21.833043843179194,A,D,1
Yes,Other,Other,Heterosexual,82.88688401829519,A,87.33311026814371,C,B,1
Yes,F,White,Heterosexual,65.84929315622634,B,-87.43634099961095,E,B,0
Non-Veteran,Non-binary,Hispanic,Homosexual,-112.77184843295123,D,41.026356464235356,A,B,1
No,Non-binary,Black,Heterosexual,-17.987271608551183,B,57.378543697811516,D,E,0
No,F,Black,Homosexual,65.20476275832279,E,-26.36152241510981,E,B,0
Yes,Male,Hispanic,Homosexual,-163.6321014137434,A,-129.39919737572887,A,B,0
Non-Veteran,Male,White,Bisexual,10.996774969354982,B,160.5032641052048,C,B,1
No,M,Black,Bisexual,9.927055470224989,E,-151.78058195425754,C,D,1
Veteran,Non-binary,Asian,Bisexual,-10.206143644212526,D,-1.7757765409099175,C,D,0
Yes,Other,African American,Homosexual,21.273729942670684,E,-36.21652706426593,C,E,0
No,Other,Hispanic,Heterosexual,-126.46173573300712,E,94.83079962779073,D,A,0
No,Other,White,Other,38.59845563118521,B,-34.69886843704408,A,E,1
Yes,Other,Hispanic,Heterosexual,104.94265774350468,B,195.40655724501158,D,A,0
Non-Veteran,Male,Hispanic,Homosexual,178.74703740999536,B,-133.89791459653796,E,A,1
Yes,Male,Black,Heterosexual,50.30019331158982,C,-62.416150499219505,A,E,1
No,Female,Other,Heterosexual,-36.57319714745666,C,154.87304830541902,D,C,1
Yes,Other,Hispanic,Homosexual,-114.78962015679373,B,-72.00284562462805,B,B,1
Non-Veteran,F,White,Homosexual,53.87298380833627,D,53.73789254142306,C,B,0
Veteran,Non-binary,Other,Homosexual,27.863449913593875,A,-179.47747804092586,D,E,0
Non-Veteran,Female,Other,Homosexual,36.230770932890515,B,26.21244008272681,E,E,1
Veteran,F,White,Other,-172.68708923874334,B,-14.18797768095556,C,D,0
Non-Veteran,Male,Hispanic,Homosexual,-96.33407024248413,A,34.29175720516798,C,D,0
Veteran,F,African American,Homosexual,-75.16281550812921,E,117.06621054720965,E,C,1
No,F,Hispanic,Homosexual,10.956678214073188,D,55.591120544283314,D,B,1
No,M,Hispanic,Heterosexual,-97.49940559801966,C,-22.33223985208575,D,A,1
No,F,Black,Heterosexual,73.24205682473479,B,-95.39141905820571,B,A,0
No,Non-binary,Asian,Homosexual,65.52999092996784,D,26.92164134529537,A,C,0
Yes,Non-binary,Asian,Bisexual,224.1911636264093,D,-146.24301495634643,C,C,0
Veteran,Male,Hispanic,Other,-31.991786440338043,C,-47.430943919515116,A,D,1
No,F,Asian,Homosexual,-139.40737741990833,D,-203.55822864185674,C,D,0
Yes,Male,White,Other,-97.20721056337122,D,-67.9488789532451,A,A,1
Veteran,M,White,Heterosexual,-114.60461673069607,C,11.727345835742494,D,C,1
No,Non-binary,Other,Other,-180.12922373122257,D,104.3600823652332,D,B,0
Yes,Other,White,Homosexual,104.47919573451665,A,-97.92281780213989,B,A,0
Veteran,Male,Hispanic,Other,3.951018642236993,E,-64.70278273686596,C,D,1
Yes,Male,African American,Bisexual,141.9853890592663,E,54.582043977086784,D,A,1
Veteran,M,White,Homosexual,78.25930008215238,B,-68.11849595134792,A,C,0
Non-Veteran,Other,White,Homosexual,-5.12856884973007,D,-44.37754688735339,C,B,1
No,Other,Black,Other,184.44944732254646,E,-39.26109465323916,C,C,0
Veteran,F,White,Heterosexual,-91.48340455505357,E,27.81215324831021,A,D,1
Yes,M,White,Other,39.925181361929454,C,2.1213014780342703,C,B,0
Veteran,Male,Hispanic,Homosexual,13.699282985094763,B,-10.556816278399284,D,A,0
Non-Veteran,M,Other,Other,-33.87212718389582,D,-182.41855109296543,D,B,1
No,Female,Asian,Other,-12.044326864782285,C,67.19312008098022,A,E,0
Veteran,M,Black,Homosexual,-202.7301419807382,D,131.96581686025726,B,D,1
Veteran,Other,Other,Homosexual,-104.94959360317881,A,-143.85757666788632,B,C,1
No,Non-binary,Other,Heterosexual,-207.54345661092032,A,-62.27061624342895,D,D,0
Veteran,F,Asian,Homosexual,-9.199583620160574,C,-16.784511591272963,B,E,0
Non-Veteran,Other,African American,Bisexual,20.64112480420176,C,177.18497725999342,B,A,1
Yes,F,Asian,Heterosexual,-27.17879479769486,D,-26.6391171285926,E,E,0
No,Female,Asian,Other,-94.8162163442777,E,22.660371396981567,C,D,0
Veteran,F,White,Bisexual,-139.09110059278416,C,-57.517936562159186,E,C,1
No,M,Hispanic,Homosexual,10.01588998527739,D,-0.9656713901936873,E,C,1
No,Other,Other,Homosexual,61.599797256845235,A,110.21152501316058,B,E,0
Veteran,Female,Hispanic,Other,37.700793430824874,E,-37.358288630987005,B,A,0
Veteran,Non-binary,Black,Bisexual,15.02368579570857,E,23.01626080843816,C,D,0
Non-Veteran,Non-binary,Hispanic,Bisexual,-53.633204343575834,A,-48.62267253998806,D,A,1
Veteran,Male,Black,Other,125.82780639116126,E,106.8731202853634,A,C,1
No,M,Black,Heterosexual,52.06939397039794,E,172.07828583388797,D,B,0
No,Female,Other,Other,43.63257672432336,C,30.83775449327069,E,C,0
Non-Veteran,Other,Asian,Bisexual,14.057391014391794,E,64.45630306045315,B,C,0
Non-Veteran,Non-binary,Other,Other,12.008220867154101,A,92.75756375498321,A,C,1
Yes,Male,Hispanic,Bisexual,11.906910344037678,E,101.68924303860263,B,E,1
Veteran,Male,White,Bisexual,-99.7087111459604,E,-9.477249327774604,E,A,0
No,Male,Other,Homosexual,-36.63795712433349,C,-103.77078629285452,A,C,0
No,Female,African American,Bisexual,42.65391372756399,C,133.07929815558407,D,C,0
No,Male,Hispanic,Other,50.13962313196318,B,5.697274970225759,E,D,0
Non-Veteran,Other,Asian,Bisexual,-17.58058950591595,D,-19.335398657510584,A,E,1
Yes,M,Asian,Heterosexual,59.382150213640664,C,114.01769255200888,B,A,1
Yes,Male,Asian,Bisexual,-152.636092265158,A,-45.13922154529863,A,D,0
Non-Veteran,Female,African American,Heterosexual,-30.958482780388703,A,-15.851531158030108,E,C,0
Veteran,F,Hispanic,Homosexual,124.25955681687827,C,36.894931304189335,E,E,0
No,Female,Asian,Heterosexual,-47.179556449444746,B,44.04634368710915,D,A,0
Yes,Female,Hispanic,Heterosexual,-96.60083541485126,B,3.9901780188481997,A,E,0
Veteran,Female,White,Bisexual,-75.90780215798988,E,-143.1867058632974,B,B,0
Veteran,M,White,Homosexual,191.2934755006617,E,-110.55289960565024,B,E,1
Yes,Male,Asian,Other,-1.573319044864761,A,145.67756034840363,A,D,1
No,M,Asian,Heterosexual,6.58841141686687,D,-99.24632909391528,A,B,1
Yes,F,Black,Other,196.61510890026568,C,8.386787648921356,A,C,1
Non-Veteran,Other,Asian,Homosexual,166.0192694894372,D,-62.26109281961464,E,B,0
Yes,M,Hispanic,Heterosexual,-64.26249448827424,E,24.313446945341568,E,C,0
No,M,Asian,Other,19.587395098002958,C,-118.48233068354924,C,E,0
Yes,Non-binary,Black,Homosexual,-125.99282376722594,E,-204.2930240723544,E,C,0
Veteran,M,Black,Other,-81.16282669512695,A,8.259066405730367,E,E,1
Yes,M,White,Other,-35.646546950532915,A,13.322893196952684,C,C,0
Veteran,Other,Asian,Heterosexual,-195.95441793431746,D,64.8672700597157,E,B,1
Non-Veteran,Male,African American,Other,-1.7884534193924158,E,-85.12765919275614,C,A,0
Non-Veteran,Male,Other,Other,-30.311527640647906,D,196.33504460441443,C,E,1
Yes,Female,African American,Heterosexual,-20.652896779659162,C,209.2484640989522,B,B,0
Veteran,F,White,Other,-70.0262845209276,B,-36.68610406222126,C,A,0
Non-Veteran,Female,Hispanic,Heterosexual,-92.91478302167872,A,-54.453538053269234,C,A,0
Non-Veteran,Non-binary,Black,Homosexual,-22.484590424668575,D,67.72101866886408,E,D,0
Veteran,Other,Other,Other,35.40264136342723,C,24.213141941170775,A,E,0
Yes,Non-binary,Asian,Heterosexual,-52.43257629481918,D,-131.29476101438257,A,B,0
Non-Veteran,Other,White,Heterosexual,99.31561355085145,E,54.803013482421015,C,A,1
Veteran,M,Other,Heterosexual,143.93578964913166,B,-72.8595793082491,E,A,1
Veteran,Female,African American,Heterosexual,-70.58239794432866,E,-199.08219722519235,B,D,1
Non-Veteran,M,African American,Bisexual,-23.164164617388227,C,-130.22688486112534,B,A,0
Veteran,Non-binary,Other,Heterosexual,-175.76230073199503,E,106.88262065638723,D,A,1
Non-Veteran,Male,Hispanic,Bisexual,-27.387920116812747,B,-56.915794959864655,C,E,0
No,Non-binary,Hispanic,Bisexual,23.04687596956546,A,0.039042386370325366,E,C,1
Veteran,Male,Other,Homosexual,-74.62344871464548,B,98.16783654988788,A,C,1
Yes,Male,White,Bisexual,140.53420899138837,A,126.07510675965142,C,B,0
Non-Veteran,M,Asian,Heterosexual,66.52624472447783,C,-73.98729405860566,B,A,1
Veteran,Other,Hispanic,Other,176.8562702533995,D,-100.89288847582785,A,B,1
Yes,M,Hispanic,Other,-5.423176731754968,E,150.8750516231743,E,D,1
No,Male,White,Other,97.33972552064608,D,69.73484527440277,B,A,1
Veteran,M,Other,Other,-97.18143247318268,E,-109.10942656849689,C,C,0
Veteran,M,Black,Other,-137.41248636923336,C,73.62664423693704,B,E,0
Veteran,F,Other,Heterosexual,-62.62567844811999,E,-62.22694489425452,C,E,1
No,F,Other,Other,113.97500870917074,A,54.19456943692964,E,B,1
Yes,M,White,Bisexual,139.4473907050924,D,-93.28081424876657,E,A,1
Non-Veteran,M,Hispanic,Bisexual,109.12773109904315,B,14.990236922440655,E,E,1
Yes,Male,White,Heterosexual,-49.287756555328166,B,79.30608380804819,C,D,0
No,F,White,Bisexual,78.86356737161405,A,-140.19765701625929,A,E,0
No,F,Hispanic,Other,-25.98136503232491,A,152.9552236271926,B,D,0
Yes,Female,Asian,Heterosexual,-125.2033450006922,D,-99.46075891256785,B,D,1
Non-Veteran,Male,Black,Homosexual,-13.528249811121373,A,-100.11076243670456,E,C,1
Non-Veteran,F,Hispanic,Heterosexual,61.29716761806541,D,-46.63625874871865,B,B,1
Yes,Other,Asian,Other,75.31208792764829,E,-150.5060840170446,A,E,1
Veteran,Other,African American,Homosexual,7.935951683136719,B,-146.2658275740832,B,C,0
Yes,M,Other,Homosexual,-23.222727067329174,A,88.70374325682727,D,C,0
No,M,White,Other,-98.05254347770229,C,-41.02853774832476,A,C,1
Non-Veteran,M,Hispanic,Heterosexual,-101.30427259097468,E,-178.80989499307526,D,A,0
Non-Veteran,Non-binary,Other,Homosexual,-48.63003655698891,A,171.35385353309957,E,B,1
Veteran,Non-binary,Asian,Homosexual,-52.95480708573693,C,-138.94199424145518,B,B,0
No,Male,White,Heterosexual,-32.65957202405329,B,-12.157262205552291,E,C,1
Yes,F,Asian,Heterosexual,81.95966976416912,A,158.34801377726976,D,B,1
No,M,Asian,Other,-38.50604870995148,E,99.78081279031636,D,B,1
Non-Veteran,M,Hispanic,Homosexual,135.29257146025876,B,-129.5689231842008,E,E,0
Veteran,Non-binary,White,Homosexual,120.62896632049794,E,134.59473679476196,C,D,0
No,Non-binary,African American,Other,29.352651611007886,D,75.15686340037887,A,C,1
No,F,Other,Heterosexual,-93.10770941068964,A,146.3164343633946,D,A,0
Veteran,Male,Black,Heterosexual,-22.8609808000657,B,-0.36605399264561894,B,B,1
No,Non-binary,White,Heterosexual,-76.17841850029183,D,47.850156643334024,C,B,1
Non-Veteran,M,African American,Bisexual,-99.70855606354385,A,-37.81483315802814,E,C,0
Non-Veteran,Other,Other,Homosexual,7.358988447491771,A,13.196039078529253,C,B,0
Yes,Other,Hispanic,Homosexual,48.28393212783661,E,-42.45568892769861,D,E,1
No,Non-binary,Hispanic,Heterosexual,-50.99684597687436,E,163.18315303329751,E,B,0
Veteran,Other,African American,Heterosexual,121.51924315603266,A,-27.705609728840557,D,A,1
No,F,Other,Homosexual,-228.1545860929787,C,-54.548729016475676,A,C,0
No,Female,Hispanic,Heterosexual,21.134076336782837,A,168.79257064255674,A,B,0
Non-Veteran,Female,Other,Other,91.1275099848027,B,-179.5783939696974,A,D,1
Yes,Female,White,Other,177.21149319766616,D,-1.433754723922501,B,B,0
No,Male,Asian,Heterosexual,-158.52371374123635,D,-83.88313982521059,D,D,1
Non-Veteran,M,Hispanic,Other,-44.041298378654666,D,-62.423801755954756,A,E,1
No,Other,Other,Heterosexual,-62.68387331891635,A,-110.95949254654718,D,D,1
Yes,Male,Hispanic,Other,-50.209575988983026,D,-77.54960070164525,E,A,0
Non-Veteran,Other,Black,Other,-96.74335233393212,D,-139.08731472933044,D,E,0
Yes,M,Black,Heterosexual,-155.6850939389036,D,-83.91836452789893,A,B,1
Yes,Non-binary,Hispanic,Other,175.01391761574197,B,-148.1128150999965,E,D,1
Yes,Non-binary,White,Bisexual,148.4615837801877,E,78.90766447929562,E,B,1
Yes,M,Black,Other,-73.90163496190702,D,141.43778130447407,B,A,0
No,Female,Hispanic,Homosexual,-117.51866131915372,D,-158.97426171508653,D,C,0
Yes,F,Hispanic,Bisexual,-19.710686011687304,A,42.68991426453434,C,C,1
Non-Veteran,F,Asian,Homosexual,-5.104171067896823,E,-130.01773362306588,D,D,0
No,Other,White,Homosexual,122.64313686929633,A,-10.813919644718661,B,E,1
No,M,Asian,Heterosexual,8.869148546926082,D,36.46734404866201,A,E,0
No,Non-binary,Asian,Bisexual,-149.2497529508095,D,58.97736298310382,A,C,1
Non-Veteran,Non-binary,Other,Homosexual,148.3355132934694,E,-19.95248449593259,D,A,1
Veteran,Non-binary,Asian,Bisexual,-80.79693769323703,A,33.77021480155251,E,D,0
Veteran,F,White,Heterosexual,-61.564620966751114,B,66.69682982439207,B,D,0
Veteran,Female,African American,Other,-4.107905280128608,C,-20.462684656784198,D,A,1
Veteran,Other,Hispanic,Homosexual,-13.868151954171454,A,-0.17832003112005476,A,C,1
Yes,Male,Other,Other,46.014607704989416,B,-75.93531086892456,E,C,0
Non-Veteran,Male,Black,Other,23.146473303263498,A,-11.01243664924363,E,C,0
Yes,M,Asian,Homosexual,74.19906966787146,B,196.46244487892014,A,A,1
Yes,Female,Black,Other,-99.96112290799124,E,7.243865302998794,D,B,1
Veteran,M,Other,Homosexual,143.55266075849056,A,35.59811287766983,B,C,1
No,M,Black,Heterosexual,-124.41634912797437,C,83.03294298321615,B,D,1
Veteran,M,White,Bisexual,-116.3031395490241,D,123.8077011383639,E,E,0
Yes,Other,White,Bisexual,-43.8078487508644,D,-77.91708287705379,B,D,0
No,Male,African American,Homosexual,-128.53075482150865,B,-17.823346987399745,C,A,1
Veteran,F,African American,Heterosexual,-38.80605585740766,B,-44.63662517021732,D,D,1
Non-Veteran,F,Black,Heterosexual,-106.69555704902281,C,-110.97497537028424,E,C,0
Veteran,Non-binary,Hispanic,Heterosexual,125.0285356221053,D,82.20022333957768,E,C,1
Veteran,Male,White,Bisexual,111.29652940594798,C,-25.03238956511749,A,A,1
Veteran,Female,White,Bisexual,78.76605656007996,C,140.43227487752628,B,B,0
Yes,M,White,Heterosexual,65.21007164273313,D,-79.66891133692927,C,C,0
Non-Veteran,Female,Hispanic,Homosexual,-17.679914212588212,E,59.05619916008163,D,E,0
Non-Veteran,Other,White,Bisexual,113.19553859899216,E,-9.65296475024643,D,D,0
No,F,White,Homosexual,-34.247961084930154,B,129.17881734801875,E,A,1
Yes,Non-binary,Asian,Bisexual,-13.213734560488799,B,93.5448453760908,A,E,1
No,M,Black,Other,-145.65742573255287,C,-16.363131253331535,C,C,1
No,M,Other,Homosexual,104.76324607964598,B,89.54565382220831,E,A,0
Veteran,Male,White,Bisexual,79.38947367257822,B,150.4351255621166,D,E,0
Yes,Other,Black,Heterosexual,0.5274212165181364,E,32.23960921038372,C,A,1
Veteran,Male,Asian,Heterosexual,-134.43011150253068,E,-57.4235924183632,E,B,0
Non-Veteran,M,Other,Homosexual,-95.51722688453113,A,-44.213066033276775,C,A,0
Non-Veteran,Male,African American,Homosexual,-245.0720327045711,D,-15.24939090028096,C,A,0
Non-Veteran,F,Hispanic,Other,76.4996862093919,C,86.25502961614202,B,E,0
No,F,Hispanic,Heterosexual,234.40532549053876,C,-78.63633936391903,B,B,0
No,Male,Hispanic,Bisexual,85.78557490190445,D,81.9197065256044,D,E,1
Non-Veteran,Female,Hispanic,Other,108.11381659676509,C,-59.762149948686,B,A,0
No,Non-binary,Hispanic,Heterosexual,154.49352538011084,A,-131.91927423141067,A,E,1
