handicap,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
No,Mexico,11.114970616203838,A,B,57.434408731936934,D,-29.0613198159051,E,B,87.9081689201306,-52.4122156752453,-183.11956509661516,D,-79.90325017007619,E,A,1
No,Mexico,54.434534309275485,E,A,-0.13265634571292428,C,99.64093528840164,A,A,-37.686556590034314,-75.99802382473972,-96.33596090982238,A,3.424327313027549,D,A,0
Yes,Brazil,7.729706503250224,E,E,27.24925435331039,B,125.94411387957277,A,C,-34.96341564516936,-50.87158854760398,-42.31656736059675,A,33.47991013671792,A,A,0
Yes,Other,86.4729662484061,A,C,-7.669174143397754,E,-128.1306913283036,E,A,-131.95877885732114,-23.23691068281412,149.20853430593576,B,67.90289086281656,D,A,1
Yes,Other,157.24552461529439,B,C,23.6197831714819,E,-52.269470354835725,A,E,135.14782873527562,-99.20545899153554,-43.93777973975676,C,-34.069284944040355,D,A,0
Mental,Mexico,-93.04116994439204,A,D,9.594059674902457,D,-62.12867630610065,C,C,73.81986368517592,-78.75274449624617,-86.30420310863175,C,-44.65208369291388,D,C,0
Physical,UK,-50.198617560666705,C,C,-67.19959072597888,C,-47.841707320026,A,C,55.21393407251127,-158.0359816577811,77.36370371165127,B,147.96546585251042,B,D,0
Both,Brazil,-132.65259042212506,A,C,62.858565090286774,A,103.19089794950227,D,D,91.9619235117634,-222.9908660502216,-48.31017716543881,E,52.78314297125664,E,E,1
No,US,-84.35435987509452,C,A,-105.12335888607345,D,-10.885913757799797,B,C,137.00705201556332,-124.61754052064293,-66.09901360665869,D,-59.37972229580946,D,C,0
Physical,China,-206.73548151943558,E,D,13.1037907726922,D,44.70195270443809,E,A,54.7769050449096,-223.0954105346038,54.749919206522854,E,-44.95650951752278,C,C,0
Physical,Brazil,135.51523013622736,E,B,266.37909177590836,C,-0.6025703576290041,C,A,-150.16090722738787,-96.36761280589123,21.45297092495845,D,65.28848244220256,C,A,1
No,Mexico,-155.1448068856498,C,D,-213.3230765461403,E,-12.221479975239573,C,C,-11.031019896130363,-15.682665161994711,111.68916366711346,C,-107.11097915624555,A,A,1
No,US,-5.97670460991495,E,B,143.40771159791254,E,142.1172333181319,B,E,216.43117916551043,-157.72038501602663,-340.74648579142945,D,60.17987645280052,D,E,1
Both,Brazil,53.8483077548351,C,A,37.530180808709545,B,-112.23295924570571,B,C,-21.634964271448766,38.4977575711829,-71.5052763673931,E,3.085917050579395,B,A,0
No,Mexico,18.447067475201862,D,A,57.47513538436435,A,28.467428000289,D,B,-32.05596215146088,60.076021370386314,-65.76935771331226,A,-77.87655684593125,E,B,1
Yes,Mexico,33.46267833217254,E,C,-11.511441165683424,C,-155.9140236297511,C,D,44.188328178224666,29.280943646940155,10.001489874067191,B,68.7709288591295,B,B,1
No,Mexico,-78.4986999177751,B,E,-64.34681220630519,C,-134.02688607407887,C,B,-106.27602407252812,-56.29828624380341,17.619269585542774,C,-20.999697109518358,E,B,0
Both,India,56.65438032428322,D,D,209.25829402070343,B,-26.015354865704825,C,E,-92.88843598693012,19.356416242272804,-16.747565000197994,D,102.89408487438428,B,C,1
Physical,India,203.51403811199003,E,D,30.93960516294723,E,201.92284772562155,E,A,17.77629958728823,-28.15856084066992,169.8505372176902,E,26.596595030518465,E,D,0
Physical,US,-84.51984399444609,E,C,-36.515830287761005,C,-79.67882297065624,D,E,-26.24674495962816,-14.04413527522175,26.45376756798614,C,-122.84609939915687,B,E,1
No,India,-252.45746409433605,D,A,140.31520373585704,B,-216.96501110226848,C,D,26.581844218125493,-75.07848468111524,108.27921664711235,E,-152.84828328397552,E,D,1
Physical,China,47.42700507735928,C,C,-98.81874643214803,D,1.549888191243319,C,E,88.24265232846166,75.14302315262951,-104.23415595188455,A,-1.2605162606357248,C,B,0
Both,US,-71.09534970858712,B,C,94.61705039137689,D,83.25371339230527,B,C,21.137010957366893,188.06882110071314,46.29203915053628,D,76.83112564679865,A,D,0
Yes,Germany,35.590460270373995,C,D,-23.241894828747313,B,16.679401581387733,B,C,75.48272525753998,168.7965441072058,13.819195736685602,C,15.043642520266836,A,D,1
Yes,China,85.01892579755243,B,E,-101.05226498908728,E,35.36904559754979,B,C,122.3936025373745,-33.58426258787371,145.99201640500291,A,19.799690303548807,C,B,0
Yes,Germany,9.555550545257244,E,A,50.763832006154644,E,124.19738717767237,B,D,-298.90335757741474,40.251700424800084,50.41041688643778,B,83.76483741087604,A,E,0
Mental,US,-86.18219300381938,B,A,-20.5323103552336,C,26.359599172806725,E,E,70.25002118831179,-14.241873644107276,-31.375734866376,C,224.03686139066443,B,B,1
Mental,UK,37.17941869043047,B,E,-168.26827547932174,E,194.38769130118786,A,D,-209.15410856586035,119.77459921307852,-50.61689217280322,C,4.944147216917797,C,E,0
No,US,140.13998185867786,B,A,106.42416442227108,A,-38.08361412106814,D,E,-97.66360104347122,-66.8703509272701,49.48433901805818,B,-96.32934933155781,E,E,0
Mental,Other,-71.54730282403186,E,A,52.279164009093236,C,-97.10966886227698,D,E,110.41238736856897,29.83748549199981,-22.988303352503397,D,39.47019491004724,A,D,0
None,Mexico,-9.911336984844986,B,B,-199.10633365442706,C,85.5952835867141,A,A,6.50326438065383,-196.35119130185038,-214.1155905645443,E,165.37364312564367,E,C,1
No,Germany,93.10644309984545,A,A,100.5481936582737,C,34.4451559253861,D,C,-51.18297822172095,-12.249236812040651,-15.19829285644965,C,100.89441541324429,E,C,0
Both,Other,-80.76504006281941,C,C,-115.8949696377048,E,-14.72037408445344,C,C,-59.203694771428815,106.60838528946883,-18.2166038057426,B,-125.87352955133204,E,E,1
No,Mexico,-28.844840155465413,A,C,-73.04487215460786,A,-18.72859828571876,E,D,50.131472378448784,52.88990308785518,11.955469573044606,C,16.340868334386304,E,E,0
No,India,-74.05354776519903,D,D,-185.0806116537294,C,76.41279390960668,B,A,62.44550911297516,118.12404420208364,-149.30929372836397,C,-101.13788049031716,E,E,0
No,China,-9.240394452336549,E,D,57.375412403429934,A,52.09251045277007,D,E,-38.29527983878525,80.11187439430711,-88.18813903596178,B,-1.4711146870271408,A,B,0
Both,UK,-51.349815485563575,A,D,34.883292715944805,E,60.966778829753764,C,E,-38.716175679031274,193.60669409890906,-87.92938611489595,C,-48.05914613962041,D,C,1
Both,Other,1.5537794334112165,D,D,92.27979308135957,A,-79.84326866784514,C,E,157.1056920406957,-31.989221648946177,26.49178583365961,E,-158.4124541870773,E,A,1
None,US,68.87771393141645,C,A,-20.99116213783941,A,-7.3504380346454,A,B,-122.60387120864189,-85.18427974393101,42.00355542882814,A,118.1188735177361,D,E,1
Yes,Mexico,55.13015043052126,D,A,128.76363081897827,D,-3.2850158564209675,D,B,-30.237580007862608,-102.1480770819754,62.70885270250673,E,74.75015703251269,C,C,1
None,Mexico,59.063077889099546,A,B,57.741733829996214,B,-72.09002724082184,A,C,-72.24086365991174,-96.6877686359501,-10.529914479527976,D,41.73187444404328,B,B,0
Mental,UK,61.01702402391127,D,C,29.861153092117,A,-153.9548278900764,D,C,29.176437702898887,-30.076950510570448,-263.71792878363334,C,83.0456747959451,A,C,1
None,India,-12.237549341311224,C,A,112.51407394517008,D,49.22935691002866,A,C,179.1302856921531,87.3826307561927,-41.55888073177112,C,-22.566866696059083,A,B,1
Mental,Mexico,-37.63426622146561,B,D,161.73857070243366,D,40.813789653142216,A,B,22.522721081321816,10.575400263391218,-50.688594385484805,C,106.62999926192025,A,A,0
None,Mexico,42.26305027889558,B,B,-87.95150624750208,B,96.8305269591154,A,E,48.69783545106518,171.51827087408824,127.98112476811245,B,92.05878588658176,B,D,0
No,China,78.42393143608683,C,D,7.068191619090819,C,126.33170678879506,E,C,-7.678334460090354,42.899391750034326,60.7830876360249,C,-21.775392319516822,A,C,1
Mental,US,60.077442495020584,B,C,1.680766552998697,E,95.52047523098494,A,A,-3.062061597095599,13.903419924295187,61.78406974701728,B,125.66043917576802,D,C,1
Physical,Mexico,-22.334252859795807,D,C,-16.081502478680093,A,-0.7581009305648082,A,C,121.62933758062458,27.40110867576957,21.123925508888693,C,59.79745895498516,B,B,0
Both,Other,178.98373797664598,C,A,-89.37416847616173,A,204.42104615986244,A,D,74.82338687973296,20.22561949131016,-53.815098994456314,E,-56.34104300605235,A,A,0
None,India,-133.2540129726602,E,E,-32.508153441200925,A,169.32742028777866,C,D,-79.96736013550954,24.784060959784235,-195.55159533388405,D,108.24712122663986,D,C,1
Mental,Germany,-34.2358350428645,E,A,-141.65443173016098,A,-44.88711165882382,B,E,40.56923590363086,-251.63082548678366,94.15604278439031,B,-89.63366550678607,A,A,0
Yes,Other,40.94191713989845,C,E,-80.93669146717072,E,104.85296262278938,D,B,130.864936148419,-111.93244433178498,-173.12029906904652,A,16.420603352284253,C,C,0
Both,Germany,39.91423993188209,A,A,-92.51388160303313,A,164.85851996945368,C,D,-51.01894370643011,52.490233167686014,67.64770004043368,A,-50.49169922201402,B,B,0
Yes,Brazil,15.381704640680926,C,E,-12.760823518130538,A,105.61783259284367,C,D,-240.34616953966488,165.9091927562565,-3.75089666812594,D,-116.30426889104749,A,D,0
Mental,Germany,-143.076195831532,D,C,-161.1185592220059,E,33.82488607476857,C,C,-89.14038883168583,94.98835481557175,92.72526163459067,E,113.81374422553647,B,A,1
Yes,Germany,-70.07221874769549,B,D,-15.009951519778527,A,-106.22736393500081,D,A,94.21107646155384,55.25842795167583,-7.566629874829947,B,-95.866986962757,A,D,1
Both,UK,-126.93468558111287,E,B,-79.33427585717324,B,-126.35572808709179,E,B,-48.714893076393416,231.27061262073556,-276.69840274746457,E,-77.49337054803527,E,A,1
Yes,US,95.0942688162577,D,B,-143.51228374011464,A,-76.3548821055219,C,C,47.567403464991656,85.11411186401257,81.94484754333477,A,-62.06022951660313,A,E,1
Physical,Brazil,165.50037248911534,B,C,-50.89600057055368,D,-38.30874995887288,C,E,-80.04307882231069,-2.9256267716281195,103.73471305882107,B,13.708907490370079,D,A,1
Yes,Germany,-133.58845026485125,D,B,58.922616196952504,E,122.05300638221797,B,D,-208.0478608335532,123.60469984730962,-13.832254280339171,A,-53.45522963166499,B,D,1
Mental,India,173.17520913867097,A,E,-36.79436732937191,A,42.35563797101229,B,C,116.71712314318425,5.998439627580698,-166.56286458405782,C,-122.31873986449556,D,B,0
None,Mexico,55.21119689473346,B,A,-147.637492623828,B,28.411416035172692,C,B,76.99817178577439,-56.277291691287935,-40.51881624072113,B,-37.00056474684762,A,C,1
Mental,Other,57.004952658217654,C,E,-92.61733553721481,C,-47.12021397461565,E,D,-38.63572030194581,27.253144716486954,-7.002393519093595,B,125.54648292892266,E,B,1
Mental,US,159.17630089404875,E,E,114.84763412976811,A,-5.399382728436197,C,B,-54.42896540125539,-89.7238050957218,95.2506803641122,A,-26.845504425151663,C,C,0
Both,Brazil,-161.82454697833975,D,E,52.33492039406119,B,-41.2847889229442,A,E,6.72747230979681,68.13397591559382,-50.14940832738986,D,148.38700138579094,D,B,1
No,India,-151.50447273404242,D,A,7.693833172832313,B,100.07991136746,D,A,-64.18275841649307,42.00735308247499,54.64660487530529,E,94.63385078518634,D,E,0
None,UK,12.973158054414357,B,A,192.02286403386202,B,-72.25892968354567,B,E,-42.0367775192997,65.35496878704305,-41.51309137950878,A,-4.964769940627611,B,D,1
No,Brazil,-148.48126620070184,A,B,-21.90902883226149,D,29.609425111968946,B,E,-26.88485216004921,15.213576852590736,-3.7545405042909215,A,-178.17347967066192,D,A,0
Yes,US,191.61168025717384,E,B,34.90755711108133,E,-45.41096869101402,C,C,118.80755003449647,212.09551928450648,58.72243614190155,D,160.41458813178485,C,A,0
Both,Mexico,3.8410623495068186,A,B,-142.6045785455814,C,-101.5832729320489,C,C,86.09787613581423,44.57470373835269,-36.79267608061508,C,27.788993256580635,A,B,0
Both,Germany,-121.42072340895433,D,C,40.207167698812086,C,123.87468610642212,E,C,-73.72581496248031,-21.129068323514996,42.67469165236513,B,-58.577012146759486,C,B,1
Both,US,125.02621443285409,A,A,-5.752000685524206,D,-41.602084243590234,A,C,-48.645087225223286,14.260299914640004,-40.790225857905696,C,215.48671187291663,A,B,1
Both,Other,104.819278348694,B,E,-166.60551823257566,E,264.085087273624,A,C,53.47342053882914,148.0130441008869,-14.761487556957963,D,-105.05699271211961,C,E,0
Physical,UK,-41.00630166807253,D,E,-103.29470000008062,D,-143.18147109551276,D,D,125.60731585623392,-69.17674391000854,85.78355220075309,D,286.33747257989353,A,D,0
Both,Other,-48.581995851396506,A,A,153.05338718869882,E,94.8943226387474,E,A,-68.98185284285589,9.317765696271648,-32.151061860875465,E,-243.44174590395426,C,E,0
Physical,Germany,-137.5279795626847,E,C,-46.390005194475386,B,-50.76765985911847,B,D,127.25420304846836,198.0388239489205,22.342661777081442,E,129.17505546719107,E,E,0
Both,China,24.740509332745315,C,B,122.90701688963235,E,39.32807055100175,E,B,6.008781835997686,-89.46060630276851,-62.27526411532895,C,-237.2981350192156,D,A,1
Mental,China,81.73322900002645,C,B,-38.66198611996567,C,-3.5025882891808897,E,B,-303.09793444648244,-73.8777793013653,-125.6671977310476,A,35.717544330393565,D,B,1
Physical,Other,68.67718797601252,C,C,-55.83046770153687,B,-5.301883879207312,E,B,-178.3639337239717,-0.7735582702509595,-82.68338834965037,B,-302.3901067001345,D,A,0
None,India,2.14235760653173,E,E,96.52206833885177,E,-77.39536076718882,E,D,-39.14929878900544,-6.199784788734685,2.406800503215916,C,101.00107325361809,A,D,1
Mental,UK,-63.46349692805906,E,D,86.93627366510232,D,48.907381277730885,D,B,-37.66791071366802,129.23310035623743,143.0953583952041,E,147.2493454695994,B,C,1
No,Brazil,229.5527926349388,C,E,17.09832143755039,E,-209.63908912884256,A,C,-6.828366452148604,50.14355960825061,197.38529546253076,A,-31.376643294542628,D,B,0
No,UK,-27.219272695072803,D,B,-58.30143251125429,D,-5.953453701662044,B,C,-80.35990309864064,-104.36244771280381,127.30944605962958,C,-42.15839482686531,D,B,0
None,UK,34.333623328397536,B,A,117.3435704436943,C,230.68020550912016,A,D,37.76612619804682,-1.1666971730436504,214.1516016541733,E,9.580368077415399,E,E,1
Physical,UK,19.555000406016788,B,C,90.42746431289302,C,44.126809695470854,A,D,-142.38806926703762,-11.77771477061932,-89.15999518687777,D,-32.37528207080043,D,A,0
Mental,Brazil,-1.6226844979843593,C,A,13.566758152472627,C,39.17973218670293,C,B,142.45019279686744,21.181360340445973,-68.69209521574084,A,-67.79432192373467,B,B,1
Yes,India,-15.020007829093807,C,A,71.65825101416345,C,-46.918287590175545,D,D,105.32750454724035,-170.89428783083832,79.70877283586478,A,-60.30982149235139,C,A,1
Yes,Brazil,9.967671747751698,B,D,-227.7958720172314,D,174.67299869455547,D,A,4.556511560842772,-37.874721175956125,-31.829788589294967,E,-134.16719802171818,E,C,1
No,US,75.39274513287477,E,E,85.9877524775973,D,-43.76006712174088,C,D,168.8065411696124,-11.970281062841602,-62.97597985717097,A,-22.541574462855877,E,C,0
Mental,Germany,26.263473601166016,E,B,171.02358741714096,A,-9.883081831092204,D,E,-30.526652641207818,12.852988042911253,26.811444851918896,D,67.3611397030519,A,B,0
None,Germany,-25.872201336422368,E,A,-11.285320660232937,E,-55.911394368372754,B,D,-10.6662338700605,25.52047653781339,2.9244904106548573,A,-30.340217050077918,E,E,1
No,US,-23.182124235823267,E,E,-81.56446395324114,A,153.26281039733811,E,D,68.37107925588197,-44.70277199508853,5.161664984389787,C,105.11073818555259,A,C,1
Yes,Mexico,-7.975557884036559,C,E,71.8397978200563,B,-56.74149947781469,A,D,89.78440918406928,-29.220195628844387,-197.53941591289893,E,-129.2790828826042,B,A,1
Yes,Mexico,76.9798584180092,B,A,129.08153384862842,D,-51.149176739599376,E,D,-3.770279396270513,27.544870656585413,72.57119737532629,A,55.06094771228187,D,A,0
Physical,Germany,-97.83058114543637,D,D,-25.996812559452003,E,40.63905200304262,D,B,113.69488951081948,-50.90172507906042,15.750331709340179,D,-33.805181533500374,C,D,0
Physical,Other,-88.5038623945077,C,D,-1.8587341353031397,E,18.494110939851698,E,E,-37.31996308021671,108.2425837052185,172.0006355321138,C,-50.75759739553908,E,C,0
None,US,36.626907613338275,A,D,131.77921590901184,B,-23.030544010841314,B,A,-72.40720537309352,-109.01897529281257,-59.59868963135621,D,-230.5338848840106,E,B,1
Both,Brazil,74.76217983830232,A,B,-222.4080518955728,D,-44.83427718099579,D,E,102.59162980904328,-50.36763984841658,-134.30584806832528,C,9.024126594231808,E,C,1
No,China,13.807517098642036,A,C,16.182000868915598,B,-20.076974592906886,E,C,-165.66091334253701,162.8617117416759,-113.0932205592174,C,-55.31580692711029,E,E,1
Physical,China,23.768589568395196,B,D,-105.51617811204952,D,-108.72462392210895,B,A,93.3327899718088,32.29624526959011,-7.098738069559163,D,-1.6417102681880162,C,A,1
Both,India,-46.41118677343327,E,A,-63.754842598432134,D,111.4403595275507,E,E,85.3136027590589,-91.99944297402673,63.33634796987872,D,84.03527722769962,E,D,1
Physical,China,12.94944723904685,A,C,63.14545647172266,B,-62.930270317356594,A,A,57.07669273717764,29.776463818541547,90.17521345471697,A,5.795684527350053,E,A,1
No,Mexico,-63.61034459347869,E,A,14.822607020234106,D,-80.91995703227471,B,C,-3.1110431715579154,-61.7469205420756,61.2149415421215,D,-14.150888657124735,E,D,0
No,Mexico,-133.06412010002893,A,B,-30.13220311473961,A,112.57108720887798,B,C,102.41578687962098,58.98887790178171,232.96563015805418,C,-87.87788928751289,E,D,0
Physical,Germany,44.42237537935202,E,A,-89.30304987822716,C,35.73699022709923,A,D,-38.142309985404445,-39.27537899718845,-99.61264047386197,B,-55.03044486944895,D,E,0
Mental,China,13.540707135670226,B,D,55.70822835710337,E,18.96325868756251,A,B,-32.7506677078187,-16.68842949812534,-63.46267014689377,A,-74.55679077030008,C,B,1
No,Brazil,45.53862303299405,B,D,94.95590081866627,A,226.15899204748933,E,A,-45.05340946590051,94.41960282981026,62.4708121880591,E,-3.5947180837075954,C,A,1
No,Germany,136.85005455634217,A,D,-47.67607416560588,A,-8.648214118394677,D,D,131.80279989709223,-25.26209155064124,73.56662347789418,D,-5.312367972969413,B,D,1
None,India,14.207940691690554,C,A,-43.39830180639454,B,-193.7509685512378,E,B,-156.33825962127864,190.85164570662212,49.14292666804214,E,-77.21779257748807,C,B,0
Physical,UK,-76.72194526356009,C,E,-103.85847666003156,D,121.63266529330781,A,B,-38.66357312037333,57.15159840204092,-165.2146799168394,E,45.5535138928279,D,B,0
Both,India,0.5381017498613255,B,C,125.39819742546916,B,-182.65265320660987,C,B,-27.80323953770042,-15.436793336697152,-154.18867309102038,A,67.30190565601258,B,E,0
No,Brazil,-16.530574091080766,B,E,8.626996937769608,C,98.60486195428854,A,A,107.104122327048,-8.844405450796748,45.311763754750544,E,20.864580165430624,A,E,1
None,Other,15.078970895967636,A,D,-100.22927135185881,B,-139.565734080493,C,B,-12.9951541756084,-26.17617479742453,8.711962896178434,A,-74.4432334275843,D,E,0
Mental,China,63.90142926799667,E,A,96.31345341328745,E,-41.004869775717104,C,D,20.942235355128695,-56.268909525628096,-82.47061472757736,C,99.89494048868035,E,A,1
No,Brazil,-73.11837865380863,E,A,-139.58155155563904,A,11.996781029912148,E,C,-32.293583749350766,-34.89875939818759,57.13036240642507,D,43.26644668640196,D,C,1
None,Brazil,-44.13745680135541,B,B,-198.63050497559286,D,27.0607923817481,E,D,121.39301188645251,-139.8505696743409,83.14074790435455,D,-64.97791918879442,A,D,1
Mental,Germany,-26.741432116911867,C,D,61.26723638020385,D,10.883455008067143,D,B,148.75736075839635,24.055948404106946,-110.44061498319111,C,-82.99601367006841,C,E,0
Yes,UK,45.31458627768315,B,E,16.819752461102308,A,-11.70596471205068,A,D,185.297214518524,5.96415283332382,-66.79086977755887,B,-82.12157071147541,C,A,1
None,India,1.3233677722785826,D,E,-75.64863467368268,D,27.470156841128336,C,D,36.17424617051449,23.746865621755827,-115.19662567497153,A,83.36768966712582,C,C,0
None,US,16.229294837738088,A,D,129.74225593097304,B,104.65144341842438,B,D,3.9139138174160646,60.84365786681937,19.960042590990984,B,-56.45841799715791,B,E,0
Yes,China,116.40162272193942,A,D,-218.99625801584529,E,-94.96201671881353,B,B,-187.19098854635905,96.8719043637398,55.428921437543075,C,-56.84146517193906,C,A,0
None,Mexico,118.54416237630649,C,A,-81.242743756633,E,67.24926683463907,B,D,-38.49454932374717,-59.13550576115006,-92.36866524710157,B,19.541402194474223,C,A,0
Mental,UK,60.75388765185203,D,A,-114.14858566174865,E,-111.17208442319004,C,B,-205.29369268051377,3.852402179681579,163.5462072024859,C,20.934075591930235,A,B,0
