AgeGroup,genero,sexuality,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
65+,Other,Homosexual,Veteran,A,-84.16819639747844,B,74.37313565072056,E,B,C,29.349648061908688,103.56652096424128,A,37.441022328117555,A,0
65+,M,Bisexual,Veteran,A,-31.222506426625472,B,-75.56930299577772,B,A,A,116.89175152396783,-131.06576275472216,C,234.02096782627302,E,0
65+,M,Heterosexual,No,D,249.5199447883281,C,51.25829976945398,D,C,A,34.60036028921779,137.9088386096339,A,9.115698393859327,D,1
18-25,Non-binary,Heterosexual,Yes,A,35.68326012693684,B,7.220648583637058,D,D,D,113.1890934719801,-108.55055726113541,C,100.01506539414584,A,1
18-25,M,Homosexual,Yes,D,-21.66136559573113,A,-286.2129165858796,A,E,B,148.51518804507907,61.844675909285876,B,-110.99770850136122,E,0
36-50,Female,Other,Veteran,C,23.034858105950782,E,-128.27083308019795,D,C,C,-55.92791099972517,-92.19909868736032,D,-94.124596589329,D,0
36-50,Non-binary,Other,Veteran,D,-72.68725715837517,A,20.89359982112633,B,C,A,-51.08915719397791,-37.184452124420176,C,131.65638204369273,E,0
51-65,F,Heterosexual,Yes,D,34.24956268637902,E,-161.38936577541386,C,C,C,-115.8471672630436,-13.299913773850621,D,53.062777342285194,B,0
18-25,F,Homosexual,Non-Veteran,B,59.58674582756404,C,-28.73122055183115,E,C,B,-91.07984436555185,23.133971251713444,B,-31.771582249182632,E,0
18-25,Non-binary,Bisexual,Non-Veteran,B,-41.23108104035047,D,-119.97110095535295,C,D,A,101.46469356364145,-56.787798976596314,C,20.58438281705107,B,0
26-35,Other,Other,Non-Veteran,C,-94.93032856655775,C,-77.91905929905724,E,C,B,-10.3720451500842,74.92586767554539,B,-149.76241654049642,E,0
26-35,Non-binary,Bisexual,No,D,62.589174377820456,C,150.51826160966334,C,D,B,-23.99894623609066,75.43065955997166,C,21.776205676028347,B,0
36-50,Female,Other,Non-Veteran,E,-34.76009739444646,B,-105.48884451250966,C,C,D,131.7613091166041,-61.16479908921041,B,-34.56854008890729,B,1
26-35,F,Bisexual,Non-Veteran,C,44.59952628557639,A,0.6143613475744023,E,D,E,136.8919131936212,-70.0708239743887,A,126.89227413303772,B,0
36-50,Other,Heterosexual,Non-Veteran,D,-25.180312778634008,E,98.99576564558177,D,D,E,29.204501279907984,0.23150074895252745,A,-2.7297332008096413,C,1
51-65,Non-binary,Bisexual,Yes,A,-33.65711898568204,C,-52.314165798196676,D,C,C,-59.3587054668398,-100.95852909569672,D,8.70789552365056,B,1
18-25,M,Homosexual,Veteran,C,48.4001386421499,D,-44.893689253334855,C,E,C,71.83329114172976,18.492247756232345,E,9.749201059224987,B,0
36-50,Female,Homosexual,Veteran,A,11.052460523220654,C,-185.08743847050218,B,E,B,76.5119152089279,-8.381110029978684,B,134.53718155658268,A,1
65+,Male,Heterosexual,Veteran,A,-118.97281139054819,D,80.76631063218342,D,B,A,78.16477750274267,101.8069406383392,B,233.3979301166485,E,0
26-35,Non-binary,Other,No,E,-119.552982155226,D,-143.9384854821025,D,C,D,-53.64113093477032,-18.854446236783406,B,-13.64619570769316,D,1
26-35,Male,Bisexual,No,C,74.91431678570734,B,57.69736730574555,A,A,A,36.263486733775196,-11.393846903059174,D,104.19948856757608,A,1
26-35,F,Homosexual,Non-Veteran,B,24.008901531399506,C,44.88551063050104,B,A,B,134.27207776218322,65.42387295770162,A,-63.192331158523054,A,0
36-50,M,Homosexual,Veteran,B,-155.01495754899224,C,222.1171444332599,E,B,D,33.656595176192184,-182.43349824774035,D,43.803039755246175,C,1
51-65,Female,Heterosexual,Non-Veteran,D,-90.22374238683447,E,161.3471287926616,B,C,C,-124.04335466773017,-64.8417027485087,D,-101.18509207896025,C,1
65+,M,Other,No,D,23.448883488012648,B,54.071149918196134,D,D,A,-63.20751971186036,145.65497811813722,B,106.85697616886296,A,0
36-50,Other,Other,Yes,E,-23.902166684501978,E,-236.62658689693825,B,B,C,19.76322809724089,-79.90722235460699,A,-336.4648622549332,D,1
26-35,Male,Homosexual,No,B,-12.96929467095746,B,-175.94765185954748,B,E,C,130.32533309261385,52.373597271809544,A,69.86156645061487,D,0
51-65,Non-binary,Bisexual,Veteran,E,36.74991544211406,D,20.123337644532107,D,B,B,43.87220238329925,32.74149916551588,A,33.281944925164844,B,1
36-50,Other,Heterosexual,Yes,B,-2.1517550762513995,C,-47.700808299154055,D,E,D,-8.832994796365972,12.67856869118226,D,96.56854217600942,E,1
36-50,Female,Heterosexual,Yes,C,63.735593041284325,C,-71.96325343581428,B,D,C,191.08475260588426,128.51294711426192,B,-118.26477784586515,E,0
36-50,Non-binary,Bisexual,No,A,62.69669864374481,C,-147.13152664894773,C,E,A,128.57304534548354,-24.995651067431943,E,-153.120283985379,B,1
26-35,M,Heterosexual,No,B,-60.4984785186325,D,-113.2581893862977,E,C,C,16.3744547324148,-77.07782580404385,D,32.46175546606409,A,0
18-25,Other,Other,Non-Veteran,D,30.377583589925568,D,-94.49179484926074,B,E,E,80.75820082809632,-122.99730182318629,E,-63.30638888654762,E,1
36-50,Female,Bisexual,Non-Veteran,E,-57.52096786114112,B,57.91062178477119,D,D,D,290.4769571965985,121.58500238525613,C,151.31991255329623,D,1
18-25,F,Heterosexual,Yes,B,49.966873694413785,B,77.53821119251192,D,D,A,-5.93311435845289,18.60372876864689,A,57.17737338592072,E,1
26-35,Female,Homosexual,Yes,D,114.9801268569818,C,37.473747176916866,A,C,E,48.64808686016441,144.475622677435,B,-72.61802774148502,D,1
36-50,Male,Heterosexual,Non-Veteran,A,-24.994564685988255,B,78.77832307275769,E,B,A,-82.77290072272176,128.3072968117975,D,64.38969745791326,A,0
51-65,Non-binary,Bisexual,No,D,63.26145682312043,E,30.165319152714964,B,C,E,-155.27272554011572,-158.63243233693095,B,-136.6040655518839,E,0
65+,Other,Heterosexual,No,E,-35.105742743053625,A,-17.001212740939042,B,E,E,122.25289390958297,-172.4590795912541,A,-40.393744038208666,B,1
18-25,Other,Homosexual,No,E,137.55334962256168,D,57.787192770654386,A,E,B,35.55168714171898,146.52643032166935,E,98.08770359793205,A,0
36-50,M,Other,No,D,-133.61272573795546,C,-111.60415595096129,A,C,C,65.25887457617289,54.08965838075853,E,-10.729661716845476,C,1
65+,Female,Other,Veteran,A,-71.51919926051775,A,-205.3222224498288,A,B,B,127.75570519666388,-9.949969718855709,A,171.0082020752148,D,1
26-35,F,Homosexual,Non-Veteran,C,18.5722122017908,D,-1.5998515397934534,C,B,A,-14.178550378534457,-117.81318159889986,E,-69.50043426554093,E,1
51-65,Female,Bisexual,Veteran,E,73.99990409759857,C,121.03751307243023,B,B,C,68.6096657175233,177.41396275632877,E,-119.04144674701655,A,0
18-25,Other,Heterosexual,No,A,-98.41611920533667,A,-93.45120941777759,C,A,B,-116.60514827607453,-43.70314246748346,D,22.406223374937458,A,1
18-25,Non-binary,Homosexual,Non-Veteran,E,-59.23961326394009,D,-149.32313126735374,E,D,E,13.605994687056015,14.286860587843123,B,-50.6488411036427,E,0
26-35,F,Heterosexual,No,E,132.06000580332076,E,-36.894606591052586,E,C,E,-4.805038317709443,-30.535442571000686,A,43.383773151530555,B,0
18-25,Other,Other,No,C,145.90208890601616,B,-18.88257178611088,D,D,D,-3.8974978049945674,145.0852202935772,A,67.0281564865945,E,0
51-65,M,Bisexual,Yes,B,64.67274162265227,B,48.88210109214516,C,E,B,-118.62893446681359,-23.945021669057994,E,92.24698749594315,E,1
18-25,F,Bisexual,Non-Veteran,D,-44.55725720684535,B,-119.04826651831357,D,B,C,125.4356776521124,-103.41599393671996,B,-14.976030174461116,D,1
18-25,M,Bisexual,Veteran,E,-98.0147336862935,A,203.5692698327481,B,D,A,-80.88345162618631,-74.99432668824015,A,25.39478161822452,D,0
36-50,Male,Other,No,C,-0.7530526056330709,D,-10.854064803626597,B,C,D,-19.88575282149404,-90.46599633046924,A,-132.08075002826814,E,1
18-25,M,Other,Yes,C,-41.80067807668007,E,258.1500672754904,B,D,E,21.80564778412157,18.39720538384717,E,89.32854361771892,E,1
26-35,Male,Bisexual,No,C,-59.395888244972404,B,1.2456011029629355,C,A,E,-156.59225052805246,53.28555080167562,D,-46.755802837679916,B,1
65+,M,Homosexual,Non-Veteran,A,-172.63590740781532,E,232.67381918348758,E,D,E,-128.85777628794628,-36.49859416368484,B,-135.45546693134668,E,1
18-25,Other,Heterosexual,Non-Veteran,E,-139.5323302384144,D,122.13951253720677,A,C,B,201.19435037839554,287.64591046085064,C,8.584036518347924,C,1
26-35,Male,Bisexual,Veteran,E,49.18508463877869,C,87.26514227888777,C,D,E,-131.72681298475104,22.172214364912865,A,-81.88227600888624,C,0
36-50,Non-binary,Bisexual,No,C,-88.57468226372004,C,155.43739750549864,C,D,E,89.0846312435155,-83.22070046575264,A,18.614428285164504,A,1
65+,F,Heterosexual,Yes,A,54.22782503179534,E,-137.18950021696796,B,B,B,-73.57691232908404,-237.06338723254947,E,-191.15330543308147,C,1
26-35,F,Homosexual,Non-Veteran,A,98.25128602105629,D,-168.98139312173407,C,D,B,234.65439719126837,-142.24721692968927,E,131.59387056118192,A,0
18-25,Other,Homosexual,Yes,E,13.647343407726648,E,-77.71365946680154,D,A,A,-45.71168638068618,-195.10035351328497,B,11.773653977565901,E,1
51-65,Female,Other,No,D,-52.751630301093236,C,101.9013818719221,C,D,D,-34.58667629443454,-83.9948850987029,C,-11.066360395949346,C,0
18-25,Other,Heterosexual,Yes,B,44.90204106121959,B,27.01899258777185,C,C,C,36.62761827840294,-280.1097235943014,D,-36.49058485366773,D,1
51-65,Other,Bisexual,Non-Veteran,B,261.16543271535966,E,-40.607278758093514,B,D,E,-85.04023538049375,-147.39009315532968,D,-51.14339100981298,A,1
65+,M,Other,Non-Veteran,E,34.96035909516678,D,-6.165179188893486,E,D,C,-16.718261858311955,-15.632381419078477,A,223.04328770266818,A,1
36-50,Female,Bisexual,Yes,C,-111.21842783834023,B,37.7019176116157,B,B,A,-82.61762028938921,-28.273743917734855,E,-55.21974473375576,C,1
26-35,Female,Other,Yes,B,-26.339366082657527,A,-77.52003539445896,C,D,E,239.3073123291628,72.8365542671754,A,126.09098613506376,E,1
36-50,F,Heterosexual,Veteran,A,18.456151021696815,A,287.3449794131334,B,B,C,-25.82270509665852,-97.61742342245162,E,21.04083010359858,D,0
36-50,Female,Heterosexual,No,A,29.626488751150614,D,-2.252352684402426,E,A,C,-21.87353323484217,-45.87680466960716,C,-86.57986912693202,E,1
65+,Female,Homosexual,No,C,90.23268832115997,E,93.08643004465347,D,D,A,48.626652878357554,53.75100260880783,C,36.36342580487344,D,1
36-50,F,Homosexual,Yes,E,-22.970098723253997,D,12.016954351804499,C,C,D,191.68471129058779,-23.738964092698975,B,31.64423246389899,B,1
18-25,Male,Homosexual,Veteran,D,-146.62916554262003,D,33.828054858198236,A,D,A,152.18501050785628,-106.79939240941556,E,-101.61076686251072,B,0
18-25,F,Bisexual,Veteran,C,189.41989948584788,D,12.26061490002407,E,D,E,44.970107749643724,-90.5301214406739,B,123.36769859674483,C,0
51-65,F,Heterosexual,No,A,-36.04783626671762,B,237.39045420139786,E,A,C,57.48072445320258,0.8456842612777947,C,-59.406698172159224,B,1
26-35,Female,Heterosexual,Yes,E,-11.72977914495812,E,-109.80378833451121,E,E,A,-110.30679089545113,-144.67507693973272,A,-51.08863027223707,D,0
51-65,Other,Homosexual,Non-Veteran,D,-44.47783101986111,D,-38.538212037498695,C,E,C,30.707088352206146,51.70103275321289,E,107.44752841366298,C,0
36-50,Male,Heterosexual,Veteran,B,-26.268964623667006,D,16.853336918529713,E,C,B,7.676204330673407,-137.68439968823077,A,44.09475025302432,D,0
65+,Female,Other,No,C,-81.67593143600274,B,-56.52211704090472,D,C,C,49.46807978736943,25.912779312478612,E,22.316772898975515,A,1
65+,Non-binary,Homosexual,Non-Veteran,A,-74.62341124309448,D,-1.1198011684789484,B,B,E,56.041301036782954,164.7512109405671,A,-8.459778672329508,D,1
18-25,Other,Homosexual,No,A,-177.26940689645414,E,24.608227716939403,A,B,C,-210.55438014439437,20.560606016162904,A,135.28690748491528,D,1
26-35,F,Other,Veteran,C,-9.659356488129992,C,73.72900646604919,C,A,D,79.87254145026988,-25.800016348851564,D,115.86476301525666,C,1
26-35,F,Other,No,C,-69.52191915548329,A,-29.521370013908037,B,B,B,16.50135566782115,253.38670208926652,B,173.7848314605482,B,1
51-65,Non-binary,Other,Veteran,C,26.003039053866296,E,-79.4625674937488,C,A,D,123.79974890028569,-23.798202759829064,B,47.5387224254714,A,0
51-65,Male,Bisexual,Veteran,D,-61.88961505188823,D,-9.449247329476663,A,E,C,199.82548444399953,112.45117569294149,B,-21.66078374583108,B,0
51-65,M,Heterosexual,Veteran,E,-79.69494784698227,B,-65.72127331464672,A,B,C,44.26134377799327,25.261702190681845,C,-126.37803482260281,D,1
26-35,Non-binary,Other,Non-Veteran,B,9.945692619039392,A,-86.30192767446012,D,E,A,-162.89367476445778,-187.41144632905508,A,89.74458377461873,A,1
26-35,M,Bisexual,Yes,E,-48.82551608509607,E,5.210605421538679,A,A,D,-70.42668586200789,101.36828671585347,D,-0.7263903071324543,E,1
65+,Male,Other,Yes,B,-126.0612916369659,C,12.119430819185812,B,D,A,-0.7918802125668009,113.12245154073449,C,53.9761522656605,B,1
26-35,M,Bisexual,Yes,D,176.92439062358255,E,82.98036760562711,C,B,C,69.51695917715091,-28.59785567378949,B,-3.572572400318342,A,0
36-50,F,Homosexual,No,E,218.65181053778463,E,-111.64165865329882,E,E,B,51.01365268327769,-78.31173200859513,D,-88.65250729153344,B,0
36-50,F,Other,No,E,-85.14974759379041,D,119.63666258506267,E,E,B,-236.85812828148576,69.41378880844739,A,-91.08239252456609,D,1
18-25,Other,Homosexual,Non-Veteran,D,-70.42283241687223,A,-53.00912620542309,C,C,C,-133.10130389233274,7.160876072409261,C,-79.90926462744643,A,1
36-50,Non-binary,Bisexual,Yes,D,-34.01736457225636,A,-63.1107178766956,E,A,E,43.5973013827091,-80.33923094844437,C,114.64454882475135,B,0
26-35,Male,Bisexual,No,C,-8.873308378617924,A,156.50864456715396,C,E,C,181.63601435147288,-56.11453629271982,D,-118.53167086773698,C,0
36-50,F,Heterosexual,Yes,E,-104.4038893382577,B,-137.06602147618744,D,C,C,-161.95093327104567,-88.58412158758632,A,76.46186544004662,C,1
26-35,Non-binary,Homosexual,Veteran,E,164.45489101169701,D,-37.11616996675547,C,C,D,111.15096102671527,137.5748957100202,C,64.53400206243317,E,0
65+,Other,Other,No,C,-11.607912827155344,C,134.7093790167524,B,E,A,-35.207433495432134,50.80292754563068,C,-61.08934717600933,D,0
18-25,F,Bisexual,Non-Veteran,C,2.1563288798684086,D,-130.99809648344177,E,A,C,-4.611457005504169,-122.2777915323326,A,103.28561501257838,E,0
36-50,Other,Bisexual,Veteran,E,-39.439333765187385,B,-61.000676090806905,A,B,A,-71.06602185105892,8.970908325729148,C,26.17270719566364,A,0
18-25,Other,Heterosexual,Yes,C,140.00336559474724,C,-108.90463435794761,D,A,D,-22.347496091386738,-56.34221984851169,B,-111.28145027377292,B,1
65+,F,Heterosexual,Veteran,C,38.136305510039605,B,104.57162331616061,B,D,D,-18.03623367316472,90.05754210970558,B,87.7111950015166,C,0
18-25,M,Other,Yes,B,75.90076987358903,A,85.12042043458246,C,D,E,-176.1898104465437,49.67455866542484,A,-62.66753800582801,E,0
26-35,M,Heterosexual,No,E,-69.78605515039288,D,-113.26882421831772,E,A,B,-207.01550113877104,203.2844303012037,C,-67.37693769925744,C,0
18-25,M,Heterosexual,Yes,D,-131.93751659963303,D,35.74773892309331,A,A,A,-71.7307504470126,-155.48523206499593,A,47.88974069691746,B,0
36-50,Female,Other,Yes,C,39.127811266115856,C,-180.65866753450436,D,C,D,66.5635989507048,133.6922092946043,C,35.588373310587095,E,1
51-65,Other,Homosexual,Non-Veteran,E,-48.09613207633507,C,-110.98768518621529,E,E,B,17.913279291887537,45.39173965805403,B,177.36162416684783,E,1
51-65,F,Heterosexual,Yes,C,-196.5833652380123,D,121.79593979626249,C,A,D,-94.87677200729453,-17.63162144365817,A,35.0649376993103,C,0
36-50,Male,Heterosexual,No,E,-3.149615577989585,B,35.687860867681216,B,A,B,-35.50029431111283,-103.9523935094465,B,43.15305026110073,A,1
36-50,M,Other,No,C,200.65761159948536,B,-196.33306358263664,C,E,E,-165.85009431212117,-76.82984974825337,B,-52.26315925359146,C,1
51-65,Male,Bisexual,Yes,D,-55.25804709384855,E,56.19888723542515,A,B,B,60.50760270416495,10.29244817529026,D,85.17429323116681,C,1
26-35,Other,Bisexual,Non-Veteran,B,-69.81514810700419,C,187.56318749860012,D,C,E,-30.700764271332325,-83.65342385510716,C,-146.5425358536669,A,0
26-35,Female,Other,Non-Veteran,A,108.90308594986489,E,-115.08197895206962,B,C,D,109.4232887197467,9.318634424478969,C,13.29854385678915,E,1
51-65,Male,Bisexual,Veteran,A,-22.828159722025667,D,8.809320304467196,B,C,B,0.8328194631182454,-23.02621850820411,A,119.20649632399834,C,1
36-50,Other,Other,Non-Veteran,C,-91.52150137580881,A,28.47214510558702,C,E,C,-53.1514677231194,29.575464109952858,A,-61.29690207756793,B,1
18-25,Other,Other,Yes,B,-50.91564384921365,C,-176.32700190636987,C,E,E,-42.15162284215367,123.20829072816251,D,227.7238853055619,E,1
51-65,F,Homosexual,Veteran,C,95.2174213439596,B,253.542017075657,B,D,D,153.62249127249467,12.329631991825048,B,-61.19116411431034,A,1
65+,Female,Heterosexual,Yes,B,22.018860086089468,D,-90.66230461510443,A,A,C,-32.60362375092904,61.5384450676754,B,33.46309449615291,E,1
18-25,Male,Heterosexual,Yes,E,50.23386387739319,A,166.08528279114267,D,C,C,32.419268886167494,-76.0450367051497,C,-18.185330847923403,E,1
26-35,Other,Heterosexual,Veteran,B,180.35620916852574,D,-95.79226083346688,B,E,C,-31.377240002792778,121.13796469644392,B,-80.99482832826814,D,1
65+,Other,Homosexual,Non-Veteran,A,112.24174256780506,C,67.69434827465713,D,C,D,-183.55310169349522,-42.34889273561926,B,-6.259508581856375,E,1
18-25,Female,Homosexual,Yes,D,151.27927885012474,C,-75.51966639890682,D,B,D,51.81835338110098,129.49577855991345,E,-170.86495043347915,C,0
26-35,Male,Homosexual,No,B,54.16647605551699,E,67.3600357284733,A,C,E,27.68737426928268,45.082258242546736,D,50.86734661457057,E,1
18-25,Other,Other,Veteran,C,-49.27158054907875,B,-111.73559816301986,B,D,B,30.61054587739287,-141.29062569406082,E,-178.38988408584845,C,0
26-35,M,Other,Veteran,E,55.27953367140053,B,-174.67768389786596,C,D,B,20.956440961363857,-83.82348448078922,E,-26.280383555999393,E,0
26-35,Other,Homosexual,Non-Veteran,E,-10.375253360103297,D,-34.133435939429134,A,B,E,-105.41316377676253,7.363429979024838,D,14.897406343679709,B,0
51-65,Non-binary,Heterosexual,Non-Veteran,E,11.793057320434936,D,-76.8665250528074,D,E,B,-37.17068783490791,30.93272574652226,B,-32.57652058571403,B,0
26-35,F,Bisexual,No,E,1.2814733816809643,B,61.41098076214354,E,C,E,-23.427241685134632,81.07633996569324,D,-89.2174700831881,E,1
36-50,Male,Heterosexual,Yes,A,-231.72226412923897,B,154.7754286633014,A,B,B,-196.44186717243514,-25.58592197238311,D,130.7971597105153,D,1
36-50,Male,Homosexual,No,C,38.16539686108026,D,-57.676000123579826,D,C,C,114.6184197397167,138.75763865542524,D,-130.33517214432243,C,1
18-25,F,Bisexual,Non-Veteran,E,-117.03486756373202,E,-68.82588153400285,A,A,B,49.166240431334664,44.23872449225949,C,187.53698874961043,E,0
36-50,F,Other,Yes,D,-67.62129922893835,A,34.41427384071611,B,E,B,-9.305609056725684,192.43557210032242,C,95.30365108018147,D,1
65+,Non-binary,Other,Non-Veteran,A,-63.17863581870047,B,54.528318802567156,E,B,A,-81.46177808179957,47.153766325306975,A,-181.63111034952914,E,0
26-35,F,Bisexual,No,C,-85.25227504565454,D,160.27621074706587,C,A,C,132.10037512374984,-11.429978800447465,B,-105.0865286021113,B,0
18-25,M,Homosexual,Yes,C,17.27231841581341,B,122.59170699884106,A,A,B,-43.47186094964155,70.75092694887157,D,-73.88774342273734,E,1
65+,F,Bisexual,Non-Veteran,C,-87.94920947942893,C,-130.8627505699195,C,A,B,-71.84648974328803,-71.88504330142221,A,-72.1753580835931,A,1
