age_range,country,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
51-65,US,Divorced,-125.02269991360346,B,-112.92534951699982,27.52079091852398,-54.558861797229575,-26.520061137140942,-20.05675226181416,A,B,-83.03063892000084,1
36-50,Mexico,Widowed,1.047671432945863,A,88.38323474430895,-119.96117371199884,-34.22788727548001,-137.15495844369187,-82.447276621087,B,B,-54.188580752440615,0
36-50,Mexico,Divorced,-198.9331692022515,D,-31.045162844948415,64.78937793401131,-12.115564963201429,213.28811496443794,33.05413289693545,E,A,122.12583906487815,1
51-65,UK,Widowed,-46.0102552508459,A,-64.34657572266754,110.7440936533381,-20.729524822876762,33.49816417301349,2.8538645784589063,C,A,-135.1714173544016,1
26-35,US,Married,-16.507534812556525,D,-50.2525538000919,26.699429434383394,123.0618950240147,201.25481848265713,73.13690535531076,A,D,122.46755448447631,1
51-65,UK,Divorced,-137.36139575998388,B,-126.99850030792798,-61.333249012160316,-129.75739923699902,-117.38976830315005,-86.54936896454329,E,E,-104.52110771166141,1
26-35,Mexico,Divorced,103.40855120592298,A,-32.05745323515057,6.890386511595921,65.79998175433236,-87.55314449786015,51.36571971673287,C,C,94.38511410576852,1
36-50,Brazil,Widowed,29.055631078897736,B,105.25773356037584,45.810224219618284,86.68209938616262,29.507381795118313,200.1013457446196,C,E,-75.6648824676579,0
26-35,Germany,Single,-26.32681010342777,C,100.1741276720302,41.51297309889655,-83.84592420957952,-77.88568514016028,71.07300739315541,B,D,-218.98494791736454,0
26-35,Other,Divorced,287.47076088713095,A,-20.662503388070903,-157.36672895388216,143.86420066525088,-28.67759415283902,12.67249476722308,E,C,-25.896638841571836,1
36-50,China,Single,45.37651811926116,A,47.84648859833214,101.44554703727786,-55.64387344936078,-30.079803498298862,-58.03943026537923,C,E,-62.82497746590907,1
36-50,Brazil,Divorced,44.44987130748006,D,127.88532220640043,90.94487632306276,128.0170216664605,-89.63203131307412,112.68933129701502,E,D,14.384444534436522,1
18-25,Other,Married,-184.56444055192264,A,98.62977978133056,95.69508514344504,164.08816925694174,-45.91288767130829,140.40353733903302,C,C,103.92236338196315,1
51-65,India,Divorced,-89.70922598344544,B,67.09739718117117,-19.86321474538592,-113.83748177211864,25.589850130580217,24.842328361430155,C,E,65.31342588595395,1
18-25,US,Widowed,-124.96491949717074,A,-66.92914680873221,54.126412495600775,-14.852890705602832,-48.95989853459439,2.992482853608246,B,C,10.41991872134104,0
36-50,Germany,Widowed,68.21869962738941,E,-112.90337237844241,62.96384095204986,226.78053940043304,45.60788014426255,141.08321920884086,C,B,181.90014511641968,1
26-35,US,Single,26.803510076156943,E,-64.41235016355365,94.84449969584628,28.75064554079096,-67.87214806820239,-174.1548066656987,C,C,91.14378196636599,1
26-35,Brazil,Divorced,100.20099134468164,B,53.934968118478366,135.09374317683628,4.929305022715142,-195.1731373404644,-17.353470117471616,D,B,-124.9361327203967,0
51-65,UK,Single,-18.987046499062018,E,-135.41027673424085,-144.16255054156494,51.1587565943213,53.20491610065232,45.36762828054375,E,D,18.852762381351308,1
36-50,US,Divorced,-199.0094195968697,B,136.5755544375284,46.36367689300593,-106.38965269185687,79.13335891372562,152.48838859526415,B,D,-117.77067364174431,1
65+,Other,Widowed,56.4340400945021,D,-65.91288237322011,-48.75741498092283,-265.3124347565856,75.14952905440047,36.83351953942105,C,B,115.44423775226227,1
36-50,US,Divorced,14.253601604737142,E,-110.18379210660444,-116.05305176516718,-3.7793295894758563,142.44099126149726,-14.48886085121663,C,E,-47.12736961031102,1
26-35,Mexico,Divorced,5.366792995726428,B,-154.91380311282887,145.8632992908475,-28.260235401445293,0.8318435892332847,43.435822336265474,D,B,-96.62439238246525,0
18-25,UK,Widowed,-13.773611770949207,B,-30.66295868902465,-1.0818602541991502,3.0875083380522863,-144.56337360289132,-70.35196196919054,B,E,9.682759048295816,1
26-35,US,Married,217.43918205991116,C,-41.915482750144264,-93.38594094501086,0.62743012805008,41.047113506221386,-6.848224963258426,E,C,32.44316082196436,0
51-65,India,Married,-38.91342141074431,C,-220.94247716219888,134.77954488444394,-116.79264972935847,-68.18035037987742,193.6916390014195,D,C,-13.707764504976087,1
51-65,India,Divorced,76.82026564700564,E,71.0561135768384,-64.36213926674952,-18.042814690131948,-3.6042418265259393,-90.10585618922494,D,B,-93.52910951770079,1
18-25,India,Married,-102.0359629029612,E,37.00933806827444,318.00294845326715,119.65415041427192,85.07963686529145,-58.883946162600495,A,C,125.5204035521446,1
18-25,Other,Married,37.522746542344834,C,167.58325509820975,130.21437615816637,-119.87778352763712,44.207833677489575,100.26266358983847,B,B,12.4114770113593,1
18-25,China,Divorced,-51.07670095193725,C,-13.667574138878113,-91.05565168981265,-24.684710138336726,-26.438911235756752,-66.29904144888964,D,E,-44.707731871016726,1
51-65,UK,Married,19.606045155389232,C,17.03581506293104,22.02362110064841,31.54287176503218,-165.76099110423837,-14.688364676371862,E,D,180.48579793897142,1
65+,Other,Widowed,43.934951599433816,D,-43.292536715029684,-52.77328552626327,-176.4867945168559,-78.17806485524564,16.15266474199301,E,B,-0.4219248700461407,1
18-25,Brazil,Married,64.02726553670199,C,121.35018008609944,54.75037349729842,-271.7973353756888,-10.33565909194401,-77.9662506566033,D,B,3.2278699743777963,1
36-50,Brazil,Single,87.99485281293391,D,284.41730496995234,-125.28468949583393,34.60235976009955,52.00128303436632,-160.3565128791915,D,E,101.53057355024315,1
26-35,China,Widowed,87.35153115756042,E,-11.994838438166255,-7.348815072602706,-67.18521969665294,-96.65543840522429,-35.37471652927633,C,C,-80.46172513505064,1
36-50,Other,Widowed,-85.69406638656075,D,20.067438871979,177.86473256113857,-38.67415803563637,33.457284555379104,-65.55148001816745,B,E,-120.17615491274212,0
18-25,US,Single,-200.98272680518195,B,81.53152875218854,-63.84437066860177,-23.10827244318245,-78.83663210291374,-127.73259163615404,B,B,-0.44862043860474865,0
65+,Germany,Widowed,65.949543730535,D,19.56760647290792,112.37452880681538,-57.56555129193291,7.003314004293876,-30.652926862559475,D,A,10.279390029547363,0
51-65,US,Divorced,-28.31596772170062,B,213.77345868271814,81.46315389678412,-58.195503001415325,169.9854237245506,-34.603333142226575,E,C,-56.266031947095726,0
51-65,Other,Married,179.73772668748435,A,75.86717159299945,1.1906890138011752,3.8401765839777995,112.43260405180126,-94.83090961228943,E,A,93.3130356936351,0
51-65,Brazil,Divorced,72.26344798381801,B,249.55154959898366,85.07793748747665,24.033972621882018,-201.10012123646462,7.437843017915574,E,B,11.19262670200002,1
36-50,UK,Single,116.29664637884012,B,-11.993797934624409,72.34279001978432,-165.52271668842698,184.9388519570004,-38.69452309449216,C,C,103.13799599130617,1
36-50,India,Single,112.65203146426953,D,36.91126579650581,-79.96471620305202,-24.090265165083135,-69.13118565547659,-179.97201745351293,B,B,144.2980982317312,1
36-50,UK,Married,-146.04075784605405,C,25.053709584661565,172.90240967339733,-111.33732756166997,127.0865704225014,68.3025715348096,A,A,28.11639906495178,0
65+,Mexico,Married,-141.6011466020408,C,61.37801315945018,191.42249403936657,3.604111027473781,157.41056576181424,-117.87640183251713,A,C,95.52089240146685,1
65+,Germany,Divorced,1.1383388394662304,A,-13.617414580989484,33.072990878836166,-12.227914847921163,24.168293091524834,-156.2923898923384,B,A,8.030903750772893,1
36-50,India,Single,-62.66604744618256,A,-12.44997437596857,-277.81635937220517,-28.12442931472809,-94.81112169899633,-7.9620062722947695,A,A,-17.23126687827887,0
26-35,US,Single,110.28457958806067,D,17.35112940154574,39.50033663884652,106.8405389821361,-36.565865458133096,84.69890536134768,C,A,-46.313590237012356,0
18-25,Mexico,Married,163.9835726055684,A,34.09378087900713,-5.13160002449726,-74.7667537995495,-111.9210511135244,-75.24928295634918,E,A,-27.77001961775692,0
51-65,UK,Married,14.747069916143646,B,-98.82934673724834,-83.59376867396175,-161.26869213797215,-60.33749811954229,-68.052092079502,B,D,140.15644049920638,1
18-25,Brazil,Married,108.41841975484927,E,-43.83855259423886,-11.152674107710551,-65.81507051338964,-146.36326411070385,-8.496013342497047,E,E,112.01975958337111,1
36-50,China,Widowed,-0.4746751714814649,A,68.81683684701851,15.591613520462067,-132.0436555040216,-161.48878566738458,137.86009629077984,A,D,46.66272358049018,1
65+,UK,Single,-10.950108956026359,E,191.93344221954553,0.11373455548257609,-24.834240031223658,5.227720126281535,15.578555119918827,A,A,-138.73297509930813,1
36-50,UK,Divorced,-56.47301044234296,B,-66.3457609882918,-223.82885952469405,-47.80507518004108,-151.7026468047545,154.77719399239012,D,B,58.15597623245819,1
18-25,China,Divorced,33.921271745913316,E,-13.69588949171784,21.811736580030047,27.714763214882833,-47.49996236934232,-119.94430293151315,E,E,84.71921119158907,0
36-50,China,Divorced,70.20441640805954,C,-202.1119452725041,81.94794405402408,-49.69044912281387,84.47057831713423,51.746062787118504,D,A,72.49428300167317,0
65+,China,Divorced,229.04449065076528,E,-198.8383229936642,207.0454842456061,-63.30437304836608,58.06783914072356,115.85334628690227,D,A,-22.831287307351552,1
51-65,Germany,Widowed,-81.14136274657724,D,91.25207963155857,122.87912805084167,78.2865065265908,8.916961813564614,56.77466344144778,D,B,-22.290274045839826,1
51-65,India,Single,-30.057862282793057,B,234.0370063522834,-226.58991156979496,44.090652574320465,22.877613917363117,43.570597293516386,B,E,-76.34457141637169,0
36-50,China,Single,64.41831895672743,C,0.036799675583461366,-34.52592747493425,-11.757955003083657,81.16959073492988,50.57216532906158,D,A,-43.46975508034642,1
26-35,Mexico,Married,-85.76391972663878,B,33.24066850506007,54.2510220795027,80.94594259944434,35.63397140230999,49.89248725256664,C,E,65.16564301663664,0
26-35,UK,Divorced,-227.68215148825624,C,94.80000475306085,212.2689946453329,-128.49318407697433,-148.8714012413133,-182.0880968910461,B,E,35.26513205738447,1
36-50,China,Married,22.642711353454906,E,-113.52483358552318,42.41559609234289,46.25344794674803,82.70268673384612,13.019900518086496,C,E,198.9647836478411,1
65+,UK,Widowed,-33.842529736594955,D,47.308898626785044,77.85983461781515,64.24457542625123,-66.50175745632798,30.06211751866892,B,A,154.3448473206353,0
18-25,China,Single,192.43199022407936,B,105.68825928992194,-98.95328169282188,42.616010250018434,-151.66230649739572,11.079551977581854,E,B,-130.34830770414618,0
26-35,India,Single,20.693452086625623,D,19.376370612042095,151.70508029278486,227.34033236493235,-145.34222058225416,13.058518981823486,C,E,-41.11100925760887,0
26-35,India,Married,-109.55957053956907,A,-67.07317228020699,-14.787666947224116,123.41919073186376,-11.783896218486237,-43.14488975450313,D,D,-13.861138127226672,0
36-50,Germany,Married,-147.20875949711413,A,3.830032064579072,-178.88519554963372,6.987218059252445,130.47336077231554,36.953919109123156,A,A,77.87083845075638,0
18-25,US,Single,-144.10330858683855,B,37.004221020410164,-196.57427174797806,27.761247264780277,-30.87520590323976,97.84682150257333,A,A,92.8479372080076,1
18-25,Mexico,Widowed,-126.24506433260991,B,86.3810221279088,-137.79923298782103,-169.01419365713164,82.82219042705698,-146.808308736497,C,E,62.20819409019555,0
65+,Brazil,Married,93.94736738075173,C,67.31558991233463,-34.47245239532196,-58.64421782377253,-24.345216360613296,143.5221331365731,D,E,4.487934365756612,0
18-25,Other,Single,12.87550590025271,A,-65.77399467585732,-11.687625856566658,48.26879566163367,144.23270307645154,-42.490531035234845,C,A,-7.24211687400083,1
26-35,Mexico,Divorced,46.10556125356002,B,-184.50264508487112,-93.57109458201494,-96.11262817716602,-62.942001824721515,-39.58491742503892,B,C,-138.7924363064005,0
51-65,Brazil,Widowed,159.89019582437436,A,17.25630604793251,1.614858143891271,31.039041761647823,-124.45792643897144,18.942625832329018,D,B,149.5986142959885,0
18-25,Other,Widowed,174.18029398614266,A,4.128190974367734,32.610888829469,41.92124296733108,39.13448193115154,24.581493400264005,A,C,51.371672307415984,1
65+,Brazil,Married,30.366459174028122,E,14.283756255724109,-90.89187464910405,-126.04195620211034,-12.735036298000407,-97.8760377952148,A,E,196.9790146346908,0
51-65,US,Single,-16.814411499107603,A,-74.16300888284636,-4.455540280183218,-173.79803926486747,103.27344997380747,-71.9667547139217,C,C,-68.87824257387692,0
36-50,Germany,Widowed,3.24017665274475,B,142.4128307439546,31.487297322925674,-29.497134582442115,-2.3881158362797144,-150.9857708259343,E,B,36.57622880280227,0
51-65,US,Widowed,-122.51972438768175,B,-9.126428367470393,68.58541867249576,93.1560325970778,70.18525605703849,-83.37408461438368,C,A,-104.02836971656913,0
51-65,US,Married,70.06644143795363,B,-54.694514604564404,113.51558156603548,-24.864936275003217,-53.55418336156427,107.90209421042674,E,C,50.60889697272302,0
26-35,China,Married,86.24753154742211,C,-34.234759134369995,15.40495267384386,36.99346966458773,-11.64833635671869,158.8888076985653,C,E,-70.11969666169696,1
26-35,Mexico,Married,-81.17868404527847,B,25.224329512495924,189.35246546422863,-63.26941369239682,166.91157042068588,-116.38095432448527,D,C,-100.56727701451622,0
36-50,Other,Widowed,-44.876063661585505,C,27.760715190397395,-142.59433095023263,162.07532132017587,-53.149810390960894,85.25510075983034,B,A,-179.9476033580336,1
36-50,Germany,Married,81.03008011219394,D,95.39328556457286,-109.02784303094369,-29.00714890575155,-69.72342160464338,107.79369599572792,A,E,90.68888656870392,0
65+,Mexico,Married,165.29235050327424,A,99.29920958138723,-203.66626706668796,42.675466490299506,225.4422456368198,-217.68788256732822,D,C,-39.36913158795144,0
65+,Other,Widowed,38.35053489358494,B,31.14422188234189,-38.916302320608665,11.487093697398937,-68.93529511171953,-41.173541863537935,C,E,-10.148788645720547,0
51-65,Other,Divorced,101.34651477504208,C,-79.9294082732978,55.03266297736212,-50.2292822755448,-188.93985691250128,13.591795647241756,C,B,78.2666463790222,0
65+,UK,Married,-69.30039800019918,B,162.04455040104037,-31.27399663272041,33.09804381386156,9.627699408265189,-86.30898544365219,B,C,45.07616366564907,1
65+,China,Married,58.250807485779475,D,91.25803875262467,-129.0847903013945,-33.55625214036048,97.91115549257083,143.41252957654112,B,D,100.19148881843853,1
18-25,Other,Married,69.57033489026952,D,-47.57724424884942,125.39120259487808,26.556778321106012,-57.1409718046503,-4.515334831065496,E,D,1.0953697170436705,0
18-25,UK,Single,-122.5768217948864,C,-172.84681255148135,-41.962494036905426,53.13022045445812,17.176366392897492,-74.67602006865751,E,B,5.268838842756257,1
26-35,Mexico,Divorced,-6.424813390478411,B,75.93095771584298,182.14085459831207,-166.32789816329716,-103.82998098072929,-48.19539232952098,B,A,171.40582089586448,1
36-50,UK,Divorced,27.656676674774488,B,142.22049909218865,9.389348594107267,-191.74991218065898,-59.2066777494598,92.79411411254841,A,D,-119.11052684350662,1
18-25,UK,Divorced,19.053646919630626,E,-26.03345212985136,-80.51513350736101,-180.83786399072673,6.652289017143705,88.72702026944658,A,C,-123.07982045897063,0
26-35,China,Married,-6.7359307787141995,B,-176.37840736446287,-13.012712662695346,150.5254956878897,-200.85138657224135,-187.69630425139042,E,E,0.09248625906408575,0
36-50,UK,Single,-23.053244003443847,B,109.6722327328072,-115.22295595544672,59.673592135612495,-16.96529791880445,136.77742116405852,E,D,-30.46923081882205,1
65+,Germany,Divorced,-75.82895815335722,D,95.37679649094659,82.48533102543966,122.57803659518358,19.71944695947939,-21.398871885546043,D,D,-177.99062875091403,1
65+,Germany,Married,-23.246332113673894,D,-182.56935258714248,-26.8809871151169,126.53612525731764,-98.67566106151601,-97.83445613038504,A,D,-56.21053614040687,1
51-65,US,Single,78.6458748810949,D,-20.219907777346915,-225.85524883029754,-60.898806318057154,-117.69179911279966,-117.97840443756415,A,E,-212.69456934649762,1
36-50,US,Widowed,10.280640847988499,C,124.56779898958148,131.7880013907645,-51.45068944272543,-88.31835992436928,12.399461149087017,E,C,119.89677998994736,1
36-50,Mexico,Divorced,-47.33806911591927,D,-106.34064684025519,26.006801307000522,-8.702570218594948,43.18751281706244,29.337330475092553,E,A,-26.340590466647345,0
18-25,Other,Single,-23.22149981937021,E,-213.8510270612401,60.33782459217774,-2.2077251902764066,-22.28631595013978,73.41036588430586,A,C,111.23587605195773,0
18-25,Mexico,Divorced,76.57618256374509,C,-318.21864808135854,-101.44530189916333,120.44365983524197,-5.711506604454971,5.094063934168615,D,A,125.47963027560127,0
26-35,UK,Widowed,-19.55717796365926,A,123.15180612899485,-64.26208890656363,-80.18092776431975,-23.538052248209205,15.107310407476637,D,B,-31.626098974621637,0
18-25,Mexico,Single,-145.8060756540344,C,111.38883280122896,-25.2988837535653,92.90978403289412,-82.98738715086864,52.05628360037827,B,C,18.51289282904756,0
51-65,UK,Married,29.83414389129202,A,-103.48373122938621,-159.73835097663965,-122.11769807439208,170.07766199058403,97.37532040224197,B,D,-28.493701319150766,0
36-50,Other,Married,141.52265663629703,C,143.27144446827586,1.3587515024169594,-193.4403903385978,-6.919345290815482,-42.111082821679,A,B,-95.56804460177,1
51-65,Brazil,Widowed,-119.916594106738,B,-20.420070300254665,44.540239948241364,78.45648146933496,-151.9595907859806,-179.42382858770728,B,C,-182.6335069807141,0
36-50,Mexico,Widowed,3.13013160385102,E,-51.847987318689725,44.84731022335329,-131.47303846986713,-43.00832444443852,46.938547928175716,E,B,30.03840386265535,0
36-50,Mexico,Widowed,-117.4389385620797,E,40.257031567823475,1.2805535134308281,119.56260838025021,-141.43375349582138,-218.9327853219958,A,C,-12.670572282576758,0
36-50,UK,Single,-247.43871120804832,D,-132.99598064097125,36.59775661404981,168.96901102569768,-17.490440349846182,-59.473980158605656,B,E,-96.27099150199882,0
51-65,India,Divorced,-10.602452695690268,B,-17.099703934579487,38.186236204470994,20.318666615898483,2.197965365114368,-23.108357682206385,E,D,27.777867483975964,0
51-65,US,Single,-20.64229064378617,D,-22.01757881541014,93.81681701227062,-107.4957651249194,162.05657112726288,-84.90447659066719,B,D,208.37821951641442,0
36-50,India,Married,60.3503028345701,E,-12.436113462634085,154.88592996990545,38.24937382028471,-114.91038078188065,-62.65742530345582,B,C,151.44731323929003,0
65+,Mexico,Divorced,119.24981522656444,B,61.123735931337286,-147.45885495766998,22.55243144927813,86.62420616260928,42.06670373027155,A,E,-32.44561168331211,0
65+,Mexico,Married,-2.5043665360820584,D,116.25344529159261,-29.59280357429933,30.177417337822536,134.9064667051184,-46.30180371396959,D,B,-59.06390253876164,0
65+,China,Single,162.59602209202686,D,-56.031309999514825,-174.45717211276178,-128.96278065187474,-184.79517727205985,90.34220536041518,E,E,-42.648093706052,0
26-35,India,Married,16.01078639202747,C,-189.23095627884513,-113.12178572684344,119.94394725809543,-240.30309604181866,21.330434298329187,E,A,-77.83230752335788,0
65+,China,Divorced,67.46056643002079,E,50.1267654806522,-196.62193202624064,-23.03413885883207,49.65620706428988,51.12361125638918,B,C,170.91527253683205,0
18-25,India,Widowed,-38.49023612811019,D,-72.97552964675755,45.70453491892293,-16.448284142737755,104.79206944875476,162.25206622856948,C,D,-0.2820442032675068,1
18-25,Mexico,Single,-10.317565092034904,A,-95.20543846287966,62.43371924350733,131.6462875925144,66.3734929724223,6.863181206646803,C,A,0.5078694798074695,0
18-25,Brazil,Divorced,102.93743779027756,A,196.20460020575683,-112.10228472749955,-90.33908061177506,-11.104292099969264,-124.25848766907441,D,D,-155.21272116584174,0
26-35,UK,Married,216.5195795125452,C,-67.52978024866327,-31.483958827991827,-112.87339866962995,-94.73355541244253,1.8283880456774044,A,E,-73.83307515087141,1
18-25,China,Married,-52.298317137363725,D,-144.48146625696876,-112.56174754837525,-143.6414132541525,90.62428843351124,20.149130505278897,D,E,-133.02673496444396,1
65+,US,Divorced,54.03537118164186,B,157.897316640234,-73.7613215683683,36.45464896309546,-38.82196754913076,-169.8119556756307,A,D,-107.93830767833947,1
18-25,Brazil,Married,-36.4418608296807,C,53.658883997885766,-38.772535442300324,-134.009876552562,-77.63565916439457,6.394451644158925,E,D,17.78660596106595,0
65+,Germany,Divorced,50.76691829610911,C,-54.62927671464308,19.64082162125295,-6.379984607819635,3.335564204711984,-154.7290211458843,D,D,167.39105716384438,0
18-25,Germany,Divorced,199.69657943142292,D,64.16541607839467,148.11089768674088,-12.731261097606621,96.29640508215233,-16.976903890548087,E,E,-180.90615876931415,1
18-25,Mexico,Married,-45.51929823528805,D,48.33116517614437,105.06225293142879,-154.85267203103658,-9.558144611192757,105.49281709382565,C,D,-104.0682677139996,1
65+,UK,Divorced,81.10985894722495,A,73.18662930351312,69.75961906546213,35.793977047122105,122.62891526431704,37.08457762868756,B,A,104.81751519765179,0
18-25,Other,Single,111.37555091648903,C,-39.21477576740317,-142.49111163389205,115.51072591835205,-26.54797837192417,-128.66629415737444,E,A,-4.068149031490162,0
26-35,Germany,Single,-182.82312449750611,C,-74.4634139545434,-102.28187590989135,-71.33411749423324,-50.05084791219265,-111.6143730499571,B,D,-150.68797482566467,0
18-25,Mexico,Divorced,70.05921740464575,B,-59.64952404442656,-66.58181054950482,70.67939724319649,-101.5007079209675,-4.171204112062172,C,C,14.953078950565263,0
65+,US,Single,-42.14514178925576,B,-149.80348407700353,-119.64397672744185,87.75226736130722,-114.97416461657805,-143.95253744424932,E,B,73.63059566058737,0
36-50,US,Widowed,89.5302935734266,D,-86.17993430948532,-64.21553987452603,114.20904534143281,10.571529414914274,12.725716257427223,C,B,64.63885488534638,1
65+,Brazil,Married,-74.89057296100142,A,140.89269182529088,6.781812733709162,-166.8326149652459,-97.43150105999901,-19.86604918042144,B,A,-93.29743346607995,0
36-50,China,Divorced,30.7556617599279,C,-49.33621910315508,135.7163068950987,10.791116436205217,11.98744136035331,165.0616613441867,B,A,164.63813986169967,1
65+,UK,Married,46.14334065651165,C,56.2429433894737,-123.64037850864065,14.414207766447834,33.32431471860938,11.675873093279765,B,C,79.40445488919197,0
26-35,UK,Divorced,-125.45130376823064,D,123.46349604535776,45.909944012687916,65.03616404580923,146.09210511827027,71.75010507853418,D,B,11.921398817635033,0
51-65,Mexico,Widowed,-80.10982509541522,D,-51.339885672836374,-180.66530055733426,12.311571370297102,-84.70862954098881,150.51705718000716,B,C,-4.616627967662348,0
26-35,Brazil,Widowed,-9.262462776005204,D,-46.19194440588312,187.5719120524189,-73.32004569926454,-6.850729708086993,102.14438325650472,D,D,-154.93585357816343,0
18-25,China,Single,-50.33591734368129,E,72.99183327191213,-3.761752638716837,-187.21636052094058,90.76529133345915,6.153872526613076,C,D,0.9903049861204369,1
36-50,India,Divorced,-15.393472423572218,D,129.04991045714357,22.002731919362237,-55.43273643026922,-120.7406183530669,-64.40602437351586,E,A,94.04912947523027,0
51-65,China,Widowed,7.125605141129247,B,-98.44242544816449,6.00225622285838,-80.05081362838396,-105.7135854088172,23.448197011400104,A,B,126.1767746785919,1
18-25,UK,Married,-27.112349147158316,A,62.13047226277766,-63.11743462670684,-134.07718651042669,29.906559238497337,-71.85095264525698,A,E,45.719098056188386,1
36-50,Brazil,Married,61.69112856119173,A,-47.96538107868372,75.58607044064554,65.7178682924339,-81.4733052324976,68.26503437478891,D,D,-109.14283368473426,1
51-65,Germany,Divorced,147.295507077638,E,-79.54839749884027,-13.941857990837548,-125.52284207094286,124.60699377897444,142.3968534337819,C,B,1.0546634733379423,1
65+,UK,Divorced,-192.82863326741392,D,207.0271820942443,21.334568327102723,-10.027061593287472,66.93110103928538,-88.4111888291348,D,C,-108.44016880598957,1
36-50,UK,Widowed,53.04010758217783,D,-109.69811779583492,-107.18641759853402,-27.401922175686117,95.20271220220697,-140.81969103819893,D,E,116.64182410320274,0
51-65,Germany,Single,198.62179486990343,A,-148.27288709139114,-106.80004132679501,-33.32877835612561,-99.90191601127833,-65.39017512742774,C,E,-113.4321926780607,0
36-50,UK,Single,-57.63195885947546,E,-81.01907444901032,78.55925991301939,-121.64090065643988,67.09814692499661,21.23113392528581,E,E,24.522672784302845,1
65+,US,Single,-48.22845332209537,A,-15.230150696087986,107.35975708797855,-12.242952001159349,-43.00163390622783,19.86437117073831,A,E,61.457418501353835,1
36-50,India,Married,-27.342695333899194,C,-19.203147148387227,37.733638839564996,-30.52948347050811,50.22354270912079,141.22609320875483,C,E,-91.39203897360323,1
51-65,China,Widowed,76.52377638123757,D,80.10458247297188,192.11358722150717,139.7523453452665,105.78080495966597,42.79604512533863,D,A,19.09796043698585,0
65+,Mexico,Widowed,-109.77104257711179,B,-52.772779698637116,4.391414786584139,-32.90314162650567,-138.1913532966391,-79.74295246397728,D,D,-19.307066780442103,1
