country,disability,veteran,ethnicity,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
China,No,Yes,Hispanic,B,C,142.98818085001156,C,-64.36282734945023,202.84979927785253,-29.55277070436847,4.319564133815336,A,A,-10.645353389538602,B,6.209863190894593,E,B,C,C,1
China,Physical,Yes,Black,D,B,78.50873882177683,B,4.033064914496764,-79.78357623373412,26.09196336412179,-315.1616655454924,D,D,119.51620275531407,E,36.22357139384446,E,A,B,B,1
Mexico,No,No,Hispanic,A,E,45.225959262734264,C,58.38562602138906,27.38214562765097,61.42489839731952,-130.67156092514048,C,A,-83.1712074517348,D,150.31188296367816,A,A,A,B,0
Brazil,Both,Yes,Hispanic,E,B,25.08153680038368,E,-55.7935190489802,-134.94959988297452,45.32459260180279,86.44714524980225,A,A,88.65167582442098,E,118.69353864848622,A,B,A,E,0
Brazil,Mental,Yes,White,A,B,29.928959499407405,E,-114.63981644603194,-86.36204793623699,-24.36744176878485,-76.39576162207867,D,B,-27.18664875170399,B,42.76506931193806,A,A,E,D,0
Mexico,Both,Non-Veteran,Hispanic,B,E,-38.09065365352362,D,-107.86698827686922,-115.62631909365695,34.03199347732213,-18.83401392765157,C,A,-122.03009822214695,D,153.48089637362887,C,B,E,E,1
Other,Both,Non-Veteran,Asian,A,A,29.03755945369828,B,-118.59544181883119,31.271728837726236,-87.04397394037316,-35.44979094950058,B,D,130.5753797394756,B,-48.368139391244384,A,A,A,A,0
Mexico,Mental,Non-Veteran,White,C,D,-14.415263205566559,D,67.107839799686,60.470978427270815,-97.66491862792763,302.97777170173737,D,A,-62.190731490095,D,-99.74122230950535,E,E,A,E,0
Other,Mental,Non-Veteran,Hispanic,A,E,82.73329146686682,E,-168.5742666770717,122.70143536436191,-65.03359028162184,44.017434122537274,D,E,-156.83988425264198,C,271.54254010135014,C,D,A,E,0
UK,None,No,White,D,A,-68.46602511092655,C,-124.8020818575931,-71.4499923677701,-24.850999760058354,4.372458946483753,D,B,-101.8372485737161,E,-49.857396765971046,C,B,A,D,0
India,None,Yes,Black,B,A,-42.953472696278396,C,-130.86604543781547,92.41548569650512,150.517622414284,119.97316392038466,C,D,-41.462367551696964,C,150.536201541197,B,C,A,D,0
Mexico,Physical,Yes,African American,E,D,-85.77345420972694,C,-24.53180272648411,-61.81343834201536,71.58745996414811,-72.35884789922821,E,E,-27.25054245895006,B,1.5998588030303473,D,C,D,D,0
US,Physical,Yes,African American,C,B,-71.69739292061014,B,-67.39369537463561,-118.95429079535545,-72.2637935765253,55.39363317783936,D,E,-92.68489495830339,D,60.80363480232804,B,E,E,D,1
Other,No,Veteran,Asian,B,B,-56.20269587262862,C,-85.62554177470987,-11.610754853550183,-41.89709981168125,10.040342095386515,D,C,199.82968281487373,B,-135.32649536540225,A,C,A,E,0
Germany,None,No,Black,B,B,-107.12847473485554,A,57.05160770156345,105.5443283785249,6.478951930969903,-73.96599606338975,E,B,133.07797047221945,D,21.406063335306463,E,B,E,E,1
UK,None,Non-Veteran,Hispanic,B,A,-46.04282280587778,A,-9.028691980332498,241.63249781959198,62.384139511911854,46.965342242363114,E,D,-116.11842238544172,E,-5.156796821105272,B,D,B,E,0
China,Physical,Veteran,Other,E,D,104.8875077975074,B,-136.79132778556695,135.52567477985372,-4.637899668629672,-79.85199475768235,A,C,69.53757869707205,E,-111.49636992396736,D,D,D,D,1
Other,Both,Veteran,White,E,D,-101.94406414710124,B,-136.86340623450698,96.02205385420758,-169.1810994574406,77.32224505258426,E,E,-164.0301786922699,A,-92.11175071170842,E,A,B,D,1
China,Yes,Yes,White,E,D,78.50385035718877,C,89.14838575422486,-108.05187634846827,96.43736318259339,-63.29538871710262,A,D,-94.32418233470693,C,88.13196666300028,C,D,A,C,1
China,Both,Veteran,African American,D,C,-86.43981179111509,A,29.827392498912165,71.7755726166629,38.26732014840196,137.72406977334657,E,C,-35.78714636155446,A,-65.5859798457566,E,C,A,C,0
Mexico,Physical,No,Black,A,A,-67.5847314225664,A,-113.48233917765842,-162.29187040623106,115.75486250896942,-116.67814404349922,B,D,-108.51933818509629,C,93.55569535383924,A,D,B,A,0
India,No,Yes,Hispanic,D,B,-34.466118949897535,A,-23.931676516019863,-32.335957561785285,-119.33606030060318,46.25720310534556,A,C,158.66490607640625,C,-167.4867538519544,A,C,B,E,1
Other,None,No,Asian,C,B,349.382951686032,C,61.989275942241015,-108.80901123706201,-34.285086949393246,-68.66640856230015,B,B,168.18902369422707,E,72.32466028736475,E,E,E,B,0
Mexico,No,Non-Veteran,Asian,B,D,-5.145314217826487,C,-32.75231446999841,-38.12149387785035,58.12846390937955,147.6577736853312,D,C,-189.12492826633337,B,-26.754314879510797,E,E,A,E,0
US,Mental,Veteran,White,A,B,34.22152700268556,D,-70.32312614987218,-66.94369277527281,-48.910544436768205,49.270866610124386,C,C,125.48323383706278,B,-76.68216020424566,D,D,B,C,1
China,Physical,Yes,Other,E,C,85.14862773854396,D,77.8735949531345,86.84676808373544,3.25785055767708,-65.5664219718057,D,A,-196.42951855753003,D,139.20576825788623,C,A,E,C,1
US,Both,Veteran,African American,B,E,60.149882737960915,A,88.05047699567137,332.7401862967514,68.03365586829375,3.5175114236513054,D,D,-83.95310317250674,D,-100.0923191510869,B,C,E,C,1
Germany,None,No,African American,B,C,61.95024320467278,B,22.410790263670247,126.72836779275359,146.7684489529467,8.31567103119314,B,A,48.86367243099826,E,29.754575888134244,D,E,B,E,0
India,Both,Veteran,African American,B,C,-197.1538964037099,A,-41.36745301024226,-46.30104487033009,36.454289598959036,19.283756315728905,C,C,-106.05354202424837,C,99.92212898200567,C,E,B,A,0
US,Physical,Non-Veteran,African American,C,D,198.43683753733237,B,109.7984903818583,-149.42582001962518,-33.58862742559288,-45.959336845909036,D,A,-74.0545378263211,E,-36.50848518193174,D,C,D,C,0
China,No,Veteran,Black,D,E,38.80733052269342,D,-17.2573586134368,-200.71730012128995,-109.33168036497736,-13.97184042556435,D,B,-62.54082775593315,E,-129.11879687255825,E,E,E,D,1
Germany,None,Yes,Hispanic,A,A,30.128068353394504,B,47.97771570755985,5.391823348012871,130.40248089566137,-116.51217057095454,C,E,-199.78865366849354,D,143.95576813747493,D,E,D,A,1
Brazil,None,Yes,Other,A,C,-32.195123986676585,B,6.437622633439129,-65.86356082566981,49.84329099162203,-60.32732990457346,E,A,84.11433193329957,B,184.1242294373596,E,D,C,A,0
UK,No,Non-Veteran,African American,C,B,52.1910686258246,D,82.4109214205739,-24.59957727539084,-0.3244951603795045,-133.0366662577583,E,E,-93.25054041508591,D,-68.30081381568512,E,E,D,A,1
China,Yes,Yes,Hispanic,E,C,3.4500397145337836,A,-39.24127531581157,37.53102136030219,46.582905641034884,-32.145130089091985,C,C,-102.92447634874924,A,174.37031058577185,E,C,E,A,0
Mexico,Both,Veteran,Other,E,C,70.96172902156547,D,-262.2354564217953,-28.842260273145087,-115.0891223957085,-149.00214500371487,D,A,-59.835408878048945,E,-84.64658029877292,D,D,D,A,0
US,Both,No,Other,B,A,-6.081243175748067,A,-10.978082338376668,149.17457972687563,-123.08568133976567,-64.41824352716375,D,A,-130.20741130149787,E,92.97516426029104,B,C,E,E,0
Brazil,No,Yes,African American,C,D,33.69757380703989,D,-148.68703565309772,45.59075964154422,-88.4332697806781,-43.38265637302407,D,D,70.64832708517264,D,-21.41165366979968,E,A,A,D,1
US,None,Yes,Asian,C,B,144.36632092472576,E,169.41507325754813,-135.94456777906706,-177.48368223647552,-188.46957355780003,D,C,-18.915054513471492,C,-9.776731006675424,A,D,D,E,1
India,Both,Non-Veteran,African American,A,D,43.42787674345629,C,42.112165784968035,-83.93622014374769,-163.8616774136241,117.41573674434366,C,B,-32.523315718344556,C,-144.55783042880145,C,B,B,E,0
US,Mental,No,Asian,D,D,62.844125208963106,E,168.26010256411453,16.852157473165626,78.70854401072309,-77.767527439495,C,B,-81.59904383940311,D,113.525419271906,B,B,A,B,0
US,Both,No,Hispanic,D,B,39.92658138823532,B,188.6479161228846,-120.41888394113253,179.5668658093579,3.282554625127837,B,C,-215.48405755978402,C,-83.22267866879618,C,D,E,E,0
Other,Mental,Veteran,Other,A,E,52.165437072533116,A,-40.678289974616874,62.33165766261606,-1.1439185088939434,-7.910940765986031,C,B,119.96601444286034,A,-47.71133697553811,E,B,B,A,1
Germany,Physical,No,White,D,D,60.84323168034098,E,3.7391702061147383,66.46691619308108,-34.78287559811169,-35.953321989826534,D,A,-114.46543898747102,B,96.47661929840706,B,D,C,A,1
Mexico,Physical,Yes,Asian,D,A,102.97621871946386,D,-119.71291295953372,-138.4412369683113,33.91716964926573,26.37689735056174,E,A,-117.96131740145547,D,-28.248401457488303,A,B,A,A,1
US,None,Veteran,Hispanic,D,D,-145.83838963282858,A,95.35604611821695,92.80667115328885,177.00037493882445,-143.08709498444807,E,E,-46.234468441006406,D,136.0819756326832,B,E,A,E,0
India,Yes,Non-Veteran,Asian,E,E,-228.50470860881015,C,-20.566605437071786,-53.190444654300286,-103.29238066592832,121.22667265057956,B,A,140.93813735098436,B,-9.853781051875767,B,A,A,C,1
China,Yes,Yes,Asian,E,E,12.323669339712247,A,-68.09707790196084,-155.21768274027113,-133.0079870924265,-92.96950645896571,B,B,27.569261085991997,D,-109.17365516807118,C,D,E,D,1
Germany,None,Non-Veteran,Black,D,A,-65.3357175858744,D,117.56092116645105,-184.87471270908463,150.1569754922894,20.076682506738113,A,E,209.71285251207163,B,-9.876595485623527,E,C,B,C,1
US,None,Yes,Hispanic,C,A,93.09229431809995,E,-111.923411412417,113.27101197034544,167.06161485246542,59.01012326842417,A,C,-88.72741401440868,C,-44.6925181852869,B,A,A,D,1
Germany,No,Veteran,African American,E,D,9.672641682343146,E,10.905198053954496,153.930101932998,174.12297529408778,-92.78278988025191,A,D,76.23808572115067,D,7.387229102152068,C,A,B,D,1
US,Mental,Veteran,Hispanic,D,B,-39.729994075277176,D,-108.79266814050175,69.9938650222029,-236.2904897064455,33.96525011147526,B,B,-207.64174286936776,B,49.91373896474985,A,E,B,D,1
US,No,Yes,White,B,C,-106.38978285301903,D,10.432201781149926,-26.550092657669914,106.21849413334579,80.37388729523487,C,B,-63.8688438697705,B,8.949788721311927,A,C,A,D,1
Other,Both,No,Black,C,E,32.02267257447491,D,-29.678403980946545,72.30102382779087,-75.73990758621322,-60.62197295416567,B,D,16.865006550892375,E,-76.10206249371642,C,D,B,A,0
China,None,Non-Veteran,Hispanic,A,C,72.33419414745809,D,108.28279419509946,-29.63487628207833,53.60513408539639,128.3349076919672,D,C,-175.3361346776211,A,-205.25381262444648,D,B,B,D,1
Other,None,Veteran,Other,B,A,132.28484973191362,E,-87.36449718589381,-248.68401146566103,131.12316062808011,-34.328830636149036,A,E,-72.34396590464996,A,186.55990562480622,C,B,B,B,0
Brazil,None,Veteran,White,C,B,63.09298739226396,E,-2.203600495063712,-49.50114562204874,-110.01210552299084,18.844852237828036,C,B,-45.69420891331698,A,-114.11760177495623,A,D,E,C,1
Mexico,Physical,Non-Veteran,Other,B,A,-61.82006042209222,C,-202.29103630337212,-255.1540873201245,62.88336253684028,-78.83382535517563,A,C,99.59296790137942,C,15.267061423610983,E,E,B,E,1
Germany,Physical,No,Black,E,B,-35.06950282973171,D,181.97007457482644,42.66559256585511,38.07535751190466,-51.594082798104836,A,E,8.921608106467158,C,57.884419283536815,E,A,C,B,1
