Veteran,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Yes,Homosexual,E,B,-111.96220875244099,A,E,A,1.6423539631496769,E,-94.49794650987914,37.71896475484198,C,-25.66407521642337,0
Yes,Heterosexual,B,E,-25.726761089671502,C,A,C,-20.326363040648392,D,122.73976394088612,178.00964084472477,B,57.771958028202505,0
Veteran,Bisexual,A,B,-88.51945065451561,B,A,A,-76.39504166179017,C,113.7864396960047,-95.18157719717834,A,-13.503730854763809,0
No,Other,D,A,25.736385289743158,A,A,E,276.58555316524127,A,-79.15725581289766,163.23258335112095,D,3.4168952640592103,1
No,Homosexual,C,A,128.7893410736509,C,A,C,6.014523243329718,A,52.89142004320272,-11.242545473782473,D,78.02833642390273,1
Veteran,Homosexual,C,B,60.06117090911793,D,A,E,140.03612731095524,D,30.152861250311762,130.88472521077966,C,136.50897411055908,0
Veteran,Bisexual,D,A,14.627588892008708,C,B,C,62.796639081041995,D,-47.09380321360946,-99.36096354809703,D,1.2738769582491123,0
Yes,Heterosexual,D,B,-44.08998764076264,C,C,C,-20.90138475877913,E,-66.97604437916954,49.56275407114069,E,55.63440661343242,1
Veteran,Homosexual,E,B,-16.167480103577887,C,A,C,107.63418671225335,D,83.75149142058811,110.1831953322723,D,-166.3930809568797,0
Yes,Heterosexual,E,A,67.89061140113097,E,C,D,107.1908164450835,A,181.2077484594651,-170.0626720495629,B,-29.541787627189187,1
Non-Veteran,Heterosexual,E,B,80.92773234608433,B,B,E,-13.95264427300164,B,48.02043003121859,75.53736655347421,C,33.182460768451314,0
Non-Veteran,Heterosexual,D,C,254.4986648103379,E,E,B,95.07078705077107,E,-122.593971075738,192.64653925896263,C,41.32720829347195,0
No,Heterosexual,C,D,5.913110094009317,B,E,C,39.00484879634083,E,174.60815127524432,55.36693369591822,C,-39.71330610896839,0
Veteran,Bisexual,D,D,6.705222986415843,A,E,D,30.33673823911926,E,40.71943805770694,94.26885914901155,E,87.64113620015323,1
Yes,Bisexual,E,A,120.51597199507155,C,C,C,197.4547689694155,A,92.66830865721053,88.1188299255493,E,184.72414039636487,1
Non-Veteran,Bisexual,E,C,58.85055974608369,A,E,C,-36.81665748012294,E,37.95110919321614,57.1767335602854,E,29.16926141260219,0
Yes,Homosexual,D,B,188.4636949990204,D,B,B,-128.16353279158596,A,-198.86403656842066,-128.94513601282395,E,-69.79364864474468,1
Veteran,Other,E,A,13.869937692243854,A,A,C,50.68878023920803,C,4.962253806887073,-41.01911865041388,B,-111.20025367412698,0
Veteran,Homosexual,B,A,26.340457923863543,A,C,A,23.781931664534763,D,55.22683669802396,55.44133741146202,B,-14.387413460848464,0
Non-Veteran,Homosexual,B,A,-114.68930655555177,D,E,D,134.03669887843535,D,-24.399565414066227,-122.6696443517474,D,-111.56238065380559,1
Yes,Heterosexual,B,C,22.758158482057215,E,B,D,-110.32409119238424,B,113.98062107100284,-130.66378383183888,C,94.99578613373339,1
No,Bisexual,D,E,-3.192323645544922,B,B,B,20.14865064268253,C,43.392055006070755,95.05640112388161,C,-158.18676123091325,1
No,Homosexual,D,C,-76.217221512552,E,A,A,-189.70456839035316,E,-15.874870486961386,-0.4939880104524088,D,-168.26797911018153,0
Veteran,Bisexual,C,B,-6.83079311435996,B,D,E,120.5850880390766,E,-214.29535753977612,154.035520802701,D,-6.930493440083104,1
Non-Veteran,Other,A,B,-68.96369853197403,A,B,D,48.98955494397374,C,-111.87401119048252,78.70702127493567,E,49.03398779344937,0
Non-Veteran,Heterosexual,C,D,-33.46969215651959,D,D,C,-168.46084495114548,B,-134.0925192255722,-25.745890467457322,A,13.007106728604537,1
Veteran,Other,C,A,-132.2187262880239,D,C,D,15.553291840094415,B,-4.710317440867376,118.22458178898255,C,-65.92992631142845,0
No,Other,B,A,-133.17297650480566,E,E,E,-80.51831277683561,B,61.858387265552125,93.29344535022517,D,-39.72560045539769,0
Non-Veteran,Bisexual,C,C,-157.69481347579136,A,E,D,99.10097453729709,B,-32.45070935471489,-130.9909724539272,D,103.69420934152743,0
No,Heterosexual,D,E,84.88147356093585,C,D,D,10.78185666679171,E,44.4072259351014,217.43137106898308,C,26.88752475999786,0
No,Bisexual,A,D,-40.70658248792339,E,B,E,8.141138322408564,D,-38.93333145519324,83.24048036869648,A,-31.01792226624841,1
No,Heterosexual,B,D,-17.627163497090233,A,A,E,-20.139592721437758,C,-45.410703164383314,-111.5845778028221,B,110.4971908002736,0
Non-Veteran,Homosexual,E,A,-88.49848565856297,B,B,A,113.17810225493037,A,-6.898570934308307,-61.961077305007976,D,-36.64660550183318,0
No,Homosexual,A,A,-199.69248666732443,A,C,A,113.44528549139082,A,21.069559199542972,92.73621375129294,B,76.86443972620602,0
No,Heterosexual,B,C,30.70892583285982,B,B,E,237.7286114092498,E,134.31110125787683,62.94073534128868,A,256.0880254914132,1
Non-Veteran,Other,B,A,91.45058680243156,C,D,A,68.04579916926909,B,-30.240544505596624,56.40519076511621,E,-111.3201535698872,1
No,Bisexual,A,A,61.54674621945417,A,A,C,-67.45784298948027,A,3.4388170020610147,-74.08974224092584,A,-64.39895957156256,1
Non-Veteran,Heterosexual,A,A,-10.358806455156744,B,A,B,-136.20171430985658,D,-37.18998929997521,119.8909714599606,E,-35.541958751521406,1
Yes,Other,E,A,-199.51931706105967,E,A,A,32.98421133027883,B,-59.85151971350861,16.467075289348294,A,-17.18451890917941,1
Non-Veteran,Homosexual,D,B,-86.40070816814429,B,C,C,-41.953968430535575,C,5.310272459242925,116.35179441181963,B,-168.01492546075377,0
Yes,Other,E,E,140.71030703770532,B,C,B,38.23283831354989,E,-33.28896229947034,94.13938631597499,D,2.7886856867284813,1
Veteran,Homosexual,B,B,120.91141818826694,A,C,D,65.11743432309298,A,-121.62471477154644,15.713271301773663,D,-123.51883107197064,1
Yes,Heterosexual,E,A,-120.93309435050517,B,A,E,55.67850772681739,B,113.33742521402164,58.71263491724721,A,-52.07127155805969,0
Non-Veteran,Homosexual,A,E,5.225653633036626,D,A,D,-17.48123684227202,D,-64.36758175688063,-143.69662802700637,D,130.44772215535977,0
Non-Veteran,Bisexual,D,D,36.392100482423544,E,B,D,127.65407699101227,C,58.010781712602885,37.81162477135437,D,107.80305781172372,1
Veteran,Heterosexual,D,E,-29.298044109063824,A,A,C,-197.84807902255358,D,12.163481335299888,16.14668227401986,E,-47.63979958808507,1
No,Homosexual,B,A,93.68495053494644,A,E,E,53.681148446577666,D,68.68682882843551,113.09738474296473,B,71.57898190018183,1
Veteran,Heterosexual,B,E,-62.16618330485052,E,A,C,-122.07219222768302,A,-35.87237125072524,137.92663529001615,E,15.619054376475287,0
Non-Veteran,Bisexual,E,C,78.4792055821653,B,C,D,130.61644459932197,A,49.330834641847225,-83.99788519789165,C,-13.999932975995872,1
Non-Veteran,Homosexual,B,E,44.93125512882664,C,E,E,30.537660635506597,D,44.98936434847478,-5.122159343176862,C,37.77530137509714,0
Non-Veteran,Homosexual,E,C,49.636902617104525,B,E,E,-198.5107631450435,B,-37.96778947589366,-72.05751405723689,D,-43.08146958799959,1
Veteran,Heterosexual,B,C,55.83141759615915,E,D,D,-60.67585043639097,B,8.256497689691834,-74.94792995744614,B,101.75017014636755,1
No,Other,A,A,79.95662441691161,A,A,B,-61.75699923544736,C,249.41616626610946,-112.39784232431644,C,-60.148159509557594,0
Veteran,Homosexual,B,C,56.09152985850855,D,A,E,19.87166613747354,B,-58.790299549358174,-102.43697654633668,A,62.81223792020377,0
No,Homosexual,C,C,-7.593190361052707,C,B,C,115.81468913578634,E,92.43829791177922,132.49116683686375,E,8.56329703638974,1
Non-Veteran,Homosexual,D,E,-90.82928983975789,E,C,A,14.93256121189765,B,9.520383049776171,70.28384653455304,D,-218.914382929632,1
Veteran,Heterosexual,C,D,3.6076361434038375,B,D,A,204.85420710356757,D,7.776163272406149,42.70635393587935,E,39.68063517857196,1
Yes,Bisexual,E,B,188.77478953567916,B,C,E,-84.15345152461761,A,-129.67919701183573,54.48770155730168,D,-25.801436852451694,1
No,Bisexual,D,E,-10.284672726230166,D,D,B,93.17280034476447,E,48.25404779406525,92.86995617387569,B,-115.21514508820991,1
Yes,Bisexual,D,E,-55.48830238090433,E,D,D,-38.77802528826224,A,30.89120334276762,-196.9133099770086,E,-150.39240307908122,0
Non-Veteran,Bisexual,C,C,-86.0911453368601,E,B,B,110.1026339046911,A,-187.66360683946644,54.3163417353613,C,209.70019623422638,0
No,Bisexual,B,D,-21.716708634099106,D,B,D,-3.0951758238712292,B,-87.34762147262273,28.09107126583261,A,-49.55257760469673,0
Non-Veteran,Homosexual,E,A,-53.62796814160041,D,C,D,89.56215699882922,C,-105.39634944738519,-29.928239789345522,E,13.446490554956783,1
Veteran,Homosexual,D,D,-122.5654430677977,B,A,C,147.489606427062,C,-251.13870634552353,53.417462039252186,B,-19.526095144501294,0
No,Homosexual,B,E,-184.64038946312343,E,C,E,-93.14541394492578,A,-139.83566446763825,-50.26974194019248,E,-124.22298676484812,1
Veteran,Bisexual,E,E,94.49472833676141,A,C,D,-37.75521203125118,B,89.3195715303956,-146.5405297361378,A,-30.980456169855657,0
Yes,Other,E,D,53.436858216956296,E,A,C,-40.43782996047833,D,-55.28541473959855,37.358330716524435,D,5.75964068840918,0
No,Other,C,C,133.9054338079684,B,B,C,-81.53067305013751,D,-85.68353009485556,147.0574734902672,E,-14.848106767929517,0
Yes,Homosexual,A,C,-34.692856829013415,B,C,B,8.37279042751803,B,16.888383915710463,17.767386409058076,C,-108.83633061592799,1
Veteran,Heterosexual,B,D,45.17004383522879,E,E,D,90.25382906434297,C,10.023595088473947,45.54129257206009,E,-64.11763942611168,1
Yes,Other,A,D,-185.19483327056363,C,B,D,111.2401329982276,D,-43.5053521972009,-120.20033862955582,D,18.633905939987695,0
Veteran,Bisexual,D,D,-57.8565783160422,C,B,C,-47.423862954907726,A,2.463816657618011,176.9892486099487,E,152.54382789871556,1
Veteran,Bisexual,B,C,91.91337365772182,D,B,C,69.42296511334824,C,-6.467128451032633,71.83051764194894,A,48.91077277423751,0
No,Homosexual,E,D,-19.12168345154631,E,A,A,62.20516081287154,E,-6.5697371348642495,68.07532733546628,B,100.28854018924768,1
Yes,Homosexual,E,D,102.74017553423711,A,C,E,-58.76688000057062,D,-2.755556729104143,14.063487376377207,A,-70.16883559633833,1
Non-Veteran,Bisexual,B,E,215.31867674103756,B,B,B,49.62675808165109,C,-109.77824257113076,75.12396320210023,D,-133.0356795328411,0
Yes,Bisexual,A,D,-11.945270404202555,C,D,B,17.493671916766342,D,-27.99059772439319,-93.60658239489817,E,179.2262373798968,0
Non-Veteran,Bisexual,D,B,-4.766360809829058,D,E,C,130.11156512693736,E,44.64758463676543,46.60817840469546,A,-92.82442032344927,1
Yes,Bisexual,A,B,-104.288953919898,B,C,B,-206.79407479926476,E,36.452987091164864,156.6183075823827,C,-33.28606878646906,1
Non-Veteran,Bisexual,D,A,60.29174236048272,C,A,A,-45.72968253408099,B,-30.61415762776562,-35.78483870655233,C,118.57790277454794,1
Veteran,Bisexual,D,B,46.052832544506714,B,E,B,128.0946367297356,A,111.6576473164782,-72.54600833535801,B,-157.9389495708504,0
Non-Veteran,Bisexual,D,C,-3.4270175552854143,C,C,E,-16.26069751482974,C,-3.4837137895159236,-88.08870891592994,E,6.38324846523359,1
Veteran,Heterosexual,C,C,-90.23876876129869,C,D,C,-3.3520592338881836,C,105.90189192231743,70.68753931985022,A,82.24344806528057,1
Yes,Bisexual,B,A,-40.471105848009756,D,C,B,-13.529079253026563,B,19.406756085434036,68.84434729228246,D,147.09255530530234,0
No,Other,E,C,126.78466215819735,D,A,C,-42.636021381937994,A,66.05133894457144,64.83997391699509,D,86.35608791822685,1
Non-Veteran,Heterosexual,B,B,30.253940019270143,A,D,E,-5.9663033402780075,A,-66.59990384595329,35.12743621740994,D,101.95648725548094,0
No,Bisexual,C,D,78.33886074477876,D,A,C,90.76505953943943,E,48.843451524803186,-51.96987170118901,E,81.24071716114993,0
No,Bisexual,E,E,64.3928298806263,E,E,E,-51.23935191478358,E,75.7417274782962,45.623835198551824,C,-65.11003983204475,0
Veteran,Heterosexual,A,E,87.47491871159149,D,C,B,-48.93462817139009,B,-0.6638818410833872,-9.605874839674845,B,-149.39256802085228,1
Veteran,Heterosexual,A,B,-69.50122480319347,A,B,E,32.057937715259406,E,59.820594177027,-138.73455280014787,B,-119.70291563602306,0
Yes,Heterosexual,C,A,4.057370059103695,E,D,B,-0.4163701875848704,A,36.41096984229916,-55.92393351723253,E,-132.4384543859789,0
No,Bisexual,E,D,82.44621310528262,B,B,B,-35.74933966688668,A,120.8642311776495,-227.41665233346146,B,13.363625195695834,1
Veteran,Other,D,B,294.2023703848592,C,E,E,-120.03820803668141,C,-92.07579005930126,-109.91259433730474,D,-20.671402966942548,1
Veteran,Other,C,A,58.72977973495009,B,D,C,-16.165859142728962,A,-237.03383759271378,95.28598997385063,D,20.935596066590524,0
Veteran,Bisexual,E,B,91.28480524225515,C,C,C,-17.3005651061887,E,-108.63295853926398,-73.96623370843307,C,124.23083073055477,0
No,Other,E,D,-142.2282547006205,C,C,A,-142.49268268106195,E,99.55745313353931,-20.027518181101186,A,41.43724193398492,0
Non-Veteran,Heterosexual,C,D,-62.47457414987772,B,E,C,238.81711511903063,D,-179.23124774314056,-55.93189341544801,A,93.2755615686793,0
Veteran,Homosexual,E,E,79.3983957561707,D,C,C,69.62954174236773,B,66.54838897948238,-21.051273452048726,C,-10.357438791698465,1
Yes,Bisexual,E,E,59.78373268109022,A,E,E,127.70636049998664,C,-82.85771462422873,172.8374757374799,D,-83.41404730672976,0
Yes,Other,A,C,53.378244624308266,C,C,A,-67.9748728556895,E,213.61064791371388,-41.49761846740443,E,65.55226855548244,0
No,Bisexual,A,D,3.904230096461577,E,B,D,12.295275791609415,B,46.48740146589448,161.8049302665169,D,-44.778599976110755,0
Veteran,Homosexual,C,E,-19.02989012986329,C,E,D,27.32767482482283,A,83.52111541185727,121.08447276001438,E,25.076566765719594,0
Yes,Heterosexual,D,D,-175.5046502623652,D,D,E,-73.22908088602568,C,24.285045910596704,247.3849956079601,C,-6.256780794811563,1
Veteran,Bisexual,B,E,-127.51810862361314,B,B,B,-57.606071099466426,B,-4.2892770420197905,8.88375452853585,D,106.67128826655619,1
No,Homosexual,B,E,112.20933441868091,C,B,B,45.022710199533016,B,48.9429893845161,-98.23663871052517,A,37.66817648031277,1
No,Bisexual,C,C,72.09679418117366,B,C,A,-117.13881153756802,C,-28.037373367738915,48.73198943553486,C,-50.30487939050877,1
Veteran,Other,A,B,23.88963502573883,B,A,A,80.78412369700033,C,135.66649552659646,75.92926807326751,C,61.98960013834412,0
Non-Veteran,Heterosexual,D,A,-43.9990412619767,B,D,C,15.109277260095652,A,2.334363234489679,-82.29066300331728,C,32.85080889273054,1
Yes,Homosexual,D,C,-86.12098371665998,D,D,A,-11.197956081788597,E,-5.793582248167856,-189.196958920214,A,88.58601975128111,0
Veteran,Homosexual,E,B,56.03275928141106,C,B,B,-217.19713572322328,C,-131.12744819102323,86.49279819870304,A,57.60247373890051,1
No,Other,D,A,-79.75786506345108,D,B,C,128.93751887672326,A,-118.22500256606902,-86.38300410199257,A,-192.402524057794,1
Yes,Other,B,B,20.270725207127757,C,B,B,13.69994098968022,B,-87.11288140138389,-0.3623857648410273,B,46.07349022849247,0
Veteran,Other,C,E,-127.07625765910315,B,B,C,-37.77886612328859,A,32.34751417353821,87.88202139718423,D,-115.21946477446417,0
Veteran,Heterosexual,A,E,91.07618159310962,A,C,A,-68.12219420034256,C,108.41332700287252,-183.8262246751483,E,-85.28048565995694,0
No,Other,E,C,-114.3883054875058,D,E,C,-139.22531255379772,D,211.22190719482688,-135.03147912079106,C,-138.50038546372676,1
Non-Veteran,Heterosexual,D,B,-71.5993496911566,D,E,A,-22.751000994828928,A,9.758290969315354,-129.07545490439162,B,-137.0407572804495,1
Yes,Other,B,C,-231.07584006191493,E,E,A,-16.142077340371173,E,-55.55737332290229,-58.799236759643335,C,-118.32091969892396,0
Non-Veteran,Heterosexual,A,C,-78.52219159964791,B,C,A,-130.52176401647307,E,53.30571492983173,-139.77899226501108,E,85.96288414961496,0
No,Bisexual,D,A,-48.86326515108182,E,B,E,-134.88137955056044,D,29.27981944542658,72.81673833253033,B,-48.01626054963206,1
Yes,Other,A,A,-88.36173663496777,A,D,A,15.293918374384205,C,-117.52344030115162,-144.1687008424752,E,153.5995844958044,1
Non-Veteran,Heterosexual,C,B,-16.86947554954297,D,A,D,56.87512723388824,E,0.5829851859313414,-79.55072949870926,B,-188.95834157936343,1
Yes,Homosexual,E,A,208.18259437052512,D,A,A,-50.94166597647718,D,-213.5916395103814,35.627863739662786,B,-107.62108734109069,1
No,Bisexual,B,D,-89.49755052870094,C,D,D,14.193022472349304,C,132.2621364735286,-8.518614088463764,E,-141.30121421867818,1
Non-Veteran,Other,A,B,-98.58148971618886,E,A,C,-93.39233880631296,A,73.0154040042658,130.36477724671764,B,-85.00260455390257,1
Yes,Homosexual,B,D,277.5513276955168,B,D,E,-88.04734584601898,A,-49.9697394461555,194.1684927254975,A,-139.12034544948426,0
Veteran,Bisexual,D,A,67.96233896742093,D,B,C,95.66947333855619,C,-5.43960620948922,-0.29805989467535193,E,7.241496964487348,0
Yes,Bisexual,E,E,1.5432006293511826,A,E,A,46.56650437613564,D,6.044613583361032,131.74954581814336,C,91.82232504946064,0
No,Other,E,A,76.52140058754334,B,C,C,-60.69030831928506,B,-14.362490153322813,-16.2599483187187,A,77.18485149722292,1
No,Homosexual,B,E,10.572275782644724,B,C,B,-120.95764882742415,A,172.29062928692807,67.14731275958427,B,148.4404171928875,1
Non-Veteran,Heterosexual,D,C,-1.5565572227820406,E,C,D,-10.685526703900702,C,108.51116194727577,-43.79736224535626,E,-71.84429866412697,0
Yes,Bisexual,D,E,24.90334092073514,C,C,C,77.01357098647978,E,38.665417984195344,88.8226351436369,B,-26.180973360300065,1
Yes,Heterosexual,E,B,-10.9109067956241,A,A,C,-54.563138933872615,E,-223.21749372331183,-172.694886572777,D,-75.80204619536408,1
No,Heterosexual,D,A,-47.85801983977398,C,C,A,-163.6100916711759,C,282.3930053259675,31.553769985729318,C,11.55711978341822,1
Yes,Bisexual,C,E,-167.72145916355367,A,B,B,110.12736129538855,C,-46.94431609874536,-121.2291418670125,A,185.2822644801848,1
Veteran,Bisexual,A,E,13.423689911460832,C,B,D,91.16763996567607,D,-81.39701221114758,-21.801392262681563,C,-81.17062597476549,1
Non-Veteran,Heterosexual,D,B,-131.27797961288826,E,B,B,175.32060844009393,E,162.10341441396508,-13.62608679086083,A,158.62476002368695,0
Non-Veteran,Homosexual,A,C,79.64532941263626,B,D,C,-81.31920613434316,C,-18.88423413304286,-116.87547488635408,D,-33.96468665497412,0
Yes,Other,C,B,-96.2720857200804,D,C,A,19.88887433111578,D,-64.99437089821592,-82.2158620569835,A,245.82627443139606,1
No,Homosexual,B,D,31.482459838694904,E,A,A,-44.66084056281045,A,-147.91728550825894,124.17040959085651,C,-28.811961486741033,1
Non-Veteran,Bisexual,C,B,165.80818752794738,C,B,D,-13.846396523964469,A,35.20227024738134,-172.6473717248453,D,9.451127795703002,1
No,Bisexual,A,C,-47.68979424304647,B,B,A,-139.63809965274305,C,-189.27408865766992,-37.88341176872917,A,-103.1601891240725,1
Veteran,Heterosexual,D,D,51.99237847388065,E,A,D,-154.02184670463058,C,237.83255275206292,49.90127466383088,B,-103.28850170228591,1
Non-Veteran,Homosexual,D,A,91.93920977511561,B,B,A,-186.7733457268317,B,-58.62725272420561,-46.03817175881481,B,27.92710019068121,0
No,Homosexual,D,D,19.71146158147351,B,B,D,3.2910366890870035,B,116.6404080548169,-258.7276334450468,D,92.5030119354485,1
