sex,Veteran,nation,race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Other,Non-Veteran,UK,African American,-68.15629035911948,-9.946899573483686,77.07809005641172,-128.5530950446947,E,A,D,1
Female,No,Other,Asian,-50.51778288330537,-85.97511825675483,8.070724002187154,77.42345569337097,D,B,E,1
Other,Yes,China,Other,36.48878477131803,-42.71176050848553,-0.39325252452641285,58.002932738352285,B,D,E,1
Other,Yes,Mexico,African American,40.06342411107251,-207.07400458254824,74.99182569368024,-118.68842122566761,E,A,B,0
Non-binary,Non-Veteran,Germany,African American,-14.86587356778747,-159.53847510298286,-150.40483684778883,-20.516200322942176,E,A,C,1
F,Non-Veteran,China,African American,-87.59937024711554,89.65572496177877,194.83115997907524,27.471020556086984,C,D,D,0
F,No,Other,African American,-254.0091208982629,138.37251373406357,-8.719733364483954,-19.099798444293707,C,B,A,1
M,Yes,Germany,Hispanic,3.3448609528114237,46.152988111607044,-143.92734740637331,-4.332094774818098,E,E,B,1
Non-binary,No,Other,Black,146.66203888671842,-6.5148964935783455,-91.54173061899684,24.523763844920637,A,C,E,1
Non-binary,No,UK,White,-113.72633239395378,16.85867187793194,-4.762807224766972,128.34476778828338,D,D,C,0
F,Non-Veteran,UK,Hispanic,40.361385326905605,-31.561300678330472,-151.8345716061643,167.55908093094587,B,A,D,0
Non-binary,Yes,US,Hispanic,50.45111650132147,8.303700568743903,-108.21638382987074,-76.31842341916474,C,C,C,0
F,Veteran,China,Asian,-94.23874963503988,-224.89870587431534,162.60688286361048,-99.33687692208065,D,D,E,1
Female,Yes,Mexico,Other,-7.518297708688661,-96.98633460945375,37.39892712986892,92.10055070782155,C,A,C,1
Non-binary,Non-Veteran,US,Other,-83.01045211518205,208.5356722574459,-20.82429421288255,-58.13582296491829,E,D,E,1
Other,Non-Veteran,UK,African American,-167.84392283868232,-132.49505763195748,122.71156190714404,-65.33248909330591,A,D,A,1
Other,Non-Veteran,Germany,White,23.713018098218562,68.16301589537291,95.50629009304605,-125.1599056514522,B,C,E,0
Male,Yes,Other,African American,57.97051281639899,91.92692070623319,75.4149339739817,-12.955309059388886,D,D,C,0
F,Non-Veteran,India,Other,-86.53294804979296,-166.12200895312,77.27805939930495,41.106756242540946,E,B,A,1
Male,Veteran,Other,Other,18.59759713416482,-115.68100647290306,41.47430413162621,189.56046060992583,B,D,C,0
Non-binary,Non-Veteran,US,Hispanic,46.12682333659079,47.62767366858362,-45.17218220594864,-40.31355602228117,B,B,B,0
Male,Non-Veteran,India,Hispanic,-194.36174996721778,-90.08004810153331,77.08322394248682,-113.30855501890491,A,A,A,0
Male,Yes,US,Hispanic,139.23059164299286,39.329768422941505,26.80790338452543,-93.73880198350223,E,B,B,1
Non-binary,No,Brazil,African American,238.50182206931768,124.11615237763516,2.382808337365403,34.435252722164606,D,A,A,0
Male,Veteran,China,Other,100.27054791546671,-87.30492671209848,109.05495228751407,46.67465930687694,C,A,D,1
M,Yes,UK,Other,60.501292821620304,-29.92476129646341,40.54105383504515,-85.02469746466727,B,A,E,1
Non-binary,No,Germany,Other,-62.21644862820517,5.903179871685749,-101.30605822426179,155.2712104204974,A,B,C,1
Female,Yes,China,White,-25.996237141289917,-103.74125962506847,2.004879933472633,-86.4357259843055,C,C,C,0
M,Yes,Other,African American,177.32597609052337,25.86509353054677,-149.44013866699558,-68.07644109096157,C,E,C,1
M,Non-Veteran,India,Other,142.8562138504581,-105.26264204139844,42.49258655637729,163.13864520718536,D,B,D,0
M,Yes,China,Hispanic,-33.65478616631255,-47.141157643606334,27.42700533534758,64.61947221818664,A,E,B,1
Female,Non-Veteran,China,White,-8.46386736958024,-108.7367689712331,38.75236023296529,127.89170325660373,D,D,B,0
Non-binary,No,China,Asian,22.030660760407052,90.5279727904765,-2.160187421502967,50.561036521956574,D,E,A,1
Male,Yes,China,Black,-47.73040691121629,-74.62637040333529,-20.535847866537242,-25.90900981521583,D,B,E,0
Non-binary,Yes,Other,Black,-167.19365314973885,60.30839149369266,-38.8450133705652,-4.155400365926101,C,B,E,0
Non-binary,Veteran,India,Asian,131.73664762375032,-31.97193974883172,25.549251558346285,115.79895917294655,D,B,C,1
M,Yes,Brazil,African American,-51.238908195740564,9.11211939258743,25.410479746439723,72.82452064239756,C,A,C,1
Female,Non-Veteran,Other,Hispanic,-72.82648406461169,29.622870718144174,21.76773397931554,-95.0632777747343,B,E,E,1
F,Yes,Germany,African American,286.4319901164658,83.7588476811865,54.92740758472709,85.30978188450098,E,D,B,0
Female,Yes,Mexico,Other,144.78527028395956,25.420914707448865,-2.7976571959508028,56.39890541756421,A,E,B,1
M,No,UK,White,-183.06495957256848,60.39073366758762,-12.572316981950598,-68.07514688031097,C,A,E,0
Other,Veteran,India,Hispanic,-47.574858887362765,-51.80388539813647,70.18923265000532,-22.872703415356106,B,A,A,0
Male,No,Germany,Hispanic,-71.97290707352728,125.76826150265772,-12.098411597378849,21.468183542175133,E,B,B,1
Non-binary,No,Mexico,Hispanic,92.67020563857831,36.78942827353422,38.80583817812498,192.72019588904806,C,C,E,0
Non-binary,Veteran,China,Black,67.40840869082744,62.72613177957508,-115.50418467323496,137.9273935131008,D,B,A,0
F,Non-Veteran,Other,Other,-119.70777662772905,126.50058948835957,-49.20931679241637,-72.53117740786608,B,C,B,0
Male,Non-Veteran,Mexico,Other,-41.82132027097225,-33.69812070246378,65.43301940398159,118.2639518123824,C,B,E,0
Female,Yes,India,White,4.097559224923929,47.90881353949163,-128.05880677016646,113.40132423016644,E,D,A,1
Male,Non-Veteran,Brazil,Hispanic,98.41474081949556,33.541547045022554,-102.17185386237668,90.81158295127439,A,A,C,1
Male,Yes,Other,Black,-99.04295735296327,182.51516440444263,-59.82762352178602,-60.608669448520615,D,E,D,0
Female,No,Mexico,Hispanic,72.71659879481422,-160.03936044535615,216.1116666195391,40.02338493375605,A,A,E,1
Male,Non-Veteran,Other,White,-80.47315179114682,-128.6155226660223,38.26377411412949,132.74207270265924,C,E,C,1
M,Veteran,Brazil,Other,-38.2097204420809,-102.96966125655157,133.04627575591525,-27.965458788143938,B,E,E,1
M,Yes,UK,Other,184.62352587871217,26.531579700102924,16.195793638041426,-2.8280568961573116,C,E,C,0
Female,Yes,Mexico,Hispanic,14.327256676433677,-148.7107803427907,24.460252980692076,5.086852701280058,D,E,B,0
Male,No,Mexico,Other,-78.28271871015814,36.933553939047705,45.880393426614944,-134.59347103433956,B,A,C,1
F,Non-Veteran,India,Other,97.33020740791687,-9.210262109274355,98.56925107868642,17.655123177614463,E,C,A,1
Non-binary,No,China,Asian,111.03122329783355,44.08228753020265,85.2922945884758,-43.19251851941795,C,B,E,1
Female,Yes,Other,Other,106.76454995800384,-10.770226365731233,-63.35423012314656,-98.02533919808238,A,D,E,1
Other,No,UK,Hispanic,34.13069959909765,102.1375175610607,-63.628470433667275,284.0465951655415,C,C,A,1
Other,Yes,UK,Other,32.84315922005786,30.490487953167722,-28.37395221791597,114.25510232577707,A,A,A,1
F,No,Mexico,Black,-121.7422161730684,63.21112144065679,-114.79397527057667,-111.7505800416152,B,C,B,1
M,Veteran,Mexico,White,229.43672202272344,82.37879503485885,115.18792825471722,72.67354942171966,C,C,B,1
M,No,Brazil,African American,250.18154383261466,-120.87707727495716,70.00142709439663,5.079704871142696,A,E,C,1
Other,Yes,India,African American,80.56806431280802,4.260156440338183,-164.12984475180352,-178.20778253941342,A,B,A,1
Female,Veteran,China,Other,25.211034440839665,135.32314616667793,-36.20933247638758,-75.01035189972531,D,C,E,1
Other,Veteran,UK,Other,77.25995127692737,-157.87147585494662,-76.89007192489849,-7.471261214905287,C,A,D,1
Non-binary,Yes,UK,Black,29.382337185022404,-23.198444014329507,-83.48835169473584,111.60922367804409,B,C,B,0
Male,No,Brazil,Other,3.959169168517572,-15.202759866314224,39.93431883253303,-32.189610749487436,B,A,D,0
Non-binary,No,Brazil,African American,-181.43059050607002,122.39912926174372,91.49876216229113,-45.123210585981795,C,A,A,1
Non-binary,Veteran,India,White,142.76988047000663,-53.360671744748544,114.46401852205778,61.19264468491763,D,B,A,0
Female,Veteran,Other,Asian,-78.37007977514865,130.48519507448788,-83.01397798957115,117.36007372520785,C,A,E,0
Non-binary,No,Germany,Asian,-94.77615666853995,-366.6357013183345,-61.25493719522744,-212.46973962762357,C,C,A,0
Other,Non-Veteran,Brazil,Asian,-156.00230079374086,53.72768452442169,-29.8629379392634,-18.08841405316089,B,C,C,1
Other,Veteran,Germany,Asian,140.82232752807545,64.28316638774326,45.63999270254583,-22.30896096139984,A,A,B,0
Non-binary,Veteran,Germany,Black,-42.41372648499524,101.3442283449863,49.788979380346156,-41.86688720519545,A,E,C,1
Other,Veteran,Brazil,Asian,-42.78866685067479,-151.16625072550247,-101.4839184077795,-126.22204127207849,C,A,E,1
Female,Veteran,China,Asian,-153.9536936282055,-157.50537531853863,-142.2210758620322,-128.01740488902,D,D,A,1
M,Non-Veteran,Mexico,Hispanic,-1.1033001621683987,-31.130823429945288,-43.09314660928492,131.0570710196802,E,A,E,0
F,Non-Veteran,US,African American,-73.45539931250778,-92.00771079462459,-20.814258405727582,101.13780864184622,D,B,B,1
M,Yes,Other,Other,99.27585139317769,100.36583858199593,6.222204076190138,-40.58636947922494,C,B,E,0
Non-binary,Yes,UK,Other,-67.78268649284666,49.32547722491468,136.6000481013394,20.73941951287825,C,E,B,1
F,Non-Veteran,Mexico,Hispanic,-68.99946083047249,24.547749140200096,28.773569542947406,24.5349253281669,B,B,A,1
Male,No,China,Black,-11.599798451349653,92.5625798039797,-120.33113437565808,30.693784490819382,A,B,C,0
F,Yes,India,Black,-75.90959550680441,21.913457045152175,28.032048995173604,70.96291290213915,D,D,E,0
M,Yes,UK,African American,-131.9829417214922,-170.33260803726833,42.7839565409224,28.987086961539728,E,B,C,0
Non-binary,Non-Veteran,Brazil,Asian,27.33026139344022,80.72189815070573,14.027789721843737,-53.626233881837884,E,B,C,1
M,Yes,India,Black,136.6729234188614,-57.7565978600155,-46.50502010195483,-110.2063156680896,B,D,B,1
Non-binary,Non-Veteran,US,Black,-40.34407102122438,-185.70409207067945,-15.188121515325484,7.899009997837006,A,C,E,1
Non-binary,No,China,White,-153.39391501124112,68.34827656697935,-148.30862170199956,126.45714983242522,B,D,E,1
M,Veteran,Mexico,White,109.69477247334207,-50.94215129407641,-139.48043408791048,-30.287944515710425,D,D,A,1
F,No,US,White,23.186818033021357,-59.55991193379971,-8.658082124873955,-23.474562168350616,E,E,D,0
M,Yes,China,Asian,69.30024941559306,174.12042910511875,112.41458304651609,79.42042628647287,D,C,A,0
Other,Veteran,China,African American,-124.09990015678693,-38.12500530484949,7.205602002161501,-117.40780294563721,A,C,A,1
Non-binary,Veteran,Germany,White,-135.9252438439047,19.895554642808698,73.29504312030083,76.01190935217898,B,B,A,0
Other,No,India,Asian,1.5274814044699245,184.67741061297608,-25.16911791749398,-12.218487011696686,B,A,B,1
Non-binary,Veteran,US,Asian,111.39168467991247,123.58550425408221,69.36226518308021,-3.221431246324559,D,E,A,1
Non-binary,Yes,India,Hispanic,1.7101028789862611,7.559299035153927,45.11032454727859,78.70542769513554,C,C,E,0
Male,No,China,White,0.38201061453049456,-161.23750356844715,151.6692696018262,-56.45413282867162,A,C,C,1
M,Non-Veteran,Mexico,Asian,-54.23185057800296,140.85958370895943,-41.784908524450266,48.711848112364876,A,B,E,0
Male,No,Mexico,African American,48.93584828809489,16.664654606606877,59.404973983168716,-55.53637993931222,E,A,A,0
M,Veteran,Germany,White,88.19931045761186,-157.81028521940675,7.8684858232498485,123.97483050252596,D,C,C,0
Non-binary,No,Other,White,-70.44254592673994,72.87839435788118,-108.32009628822749,-56.04264984727727,A,A,B,0
Female,Yes,Mexico,African American,-154.2618474381154,-31.306703494355503,-101.72070612730697,85.98671570294148,D,D,B,1
M,Yes,Brazil,African American,127.40304344087046,156.551903978547,92.27925369473407,-68.25749889269585,A,A,C,1
Other,Non-Veteran,Other,Black,-143.81337645421354,-107.98436629910024,-4.459791393334745,47.85332204664724,C,A,C,0
Male,Veteran,Germany,Black,69.18923797857913,-17.780889834701004,-22.104716874933764,-154.5699453617506,C,A,E,0
Other,No,UK,Other,80.28339730870174,85.53357738123682,22.279156697925213,-181.12561078605756,B,C,C,0
Non-binary,Veteran,US,Black,28.913175813289428,-7.679775004892537,-69.08980766785623,60.34911827293873,D,B,C,1
Non-binary,No,US,Hispanic,-162.0466512905574,-64.56343575847836,-150.11486460384563,236.93239203125515,E,E,A,1
Female,Veteran,Mexico,Asian,23.660016052486895,173.16496089354752,15.122502493453435,-132.46205336397034,C,E,B,1
Non-binary,No,US,African American,112.15274166304796,-198.11714614732665,-63.260707869293554,-116.82481128953872,C,D,B,0
Other,No,Other,Black,4.620916910324138,20.839333493551393,-81.38879276317618,-243.5878565755722,B,A,A,1
Other,Non-Veteran,India,Asian,-57.90234377929278,132.5768041499896,-31.524144332040212,-65.34049585655207,A,A,C,1
Male,No,US,Asian,23.277458501157536,-6.72946503138477,120.2837900358452,12.50127061360868,C,E,D,1
Female,No,US,White,-122.41386774870624,64.59591856610025,86.29304405556871,161.24660201003087,E,A,E,0
F,No,Brazil,White,2.9001154310465824,-71.7197733945653,-214.87842066576985,-41.69906792548116,C,D,D,0
M,No,India,Asian,-22.195079832764605,-166.83481714431653,-78.31699713131806,-87.12431680918733,A,B,E,1
M,Yes,Other,African American,-56.9282249884272,-29.775527466858936,130.04160132155775,24.051223945450413,C,E,A,0
Male,Yes,Other,African American,-108.27837757772723,-75.20031870978394,-23.527937108846718,-25.22487014940063,A,D,A,1
F,Yes,US,Asian,16.168177978485236,-107.90580945672514,-71.08141619113955,134.0313737146863,E,C,A,1
Female,Non-Veteran,Brazil,White,-144.51100805257323,173.32343467909553,-32.194344794415464,-70.02427078152425,B,C,B,1
M,Non-Veteran,UK,Other,-49.581748400587976,52.23794694843675,-70.56081053307847,13.782905838360232,B,D,A,0
Non-binary,Yes,US,Other,62.46635537875913,30.874255644245746,156.11451943654976,107.3565843381674,B,D,C,0
M,Yes,UK,Hispanic,-31.03763566478106,148.62510390353154,-87.21325557006567,-40.378158326839184,B,E,B,1
Non-binary,Veteran,India,African American,97.7218465296903,82.3932771580413,-160.91751269645357,27.45490511266609,C,A,C,0
Male,Yes,China,Hispanic,198.2692766403433,29.212649273513584,32.53104746562272,-45.346393592869674,A,A,A,1
M,Yes,US,Other,16.921975912112295,-1.7645105718556282,203.1523770644192,-129.1266901482501,E,A,B,0
Female,No,India,Hispanic,-56.39623235908539,-122.30558871170668,94.15521178443511,-106.23529920120178,B,B,E,0
Female,No,China,Other,134.62128420931435,85.45979618040181,0.6316006591337079,91.54190165857621,E,B,E,0
Female,Non-Veteran,Other,Black,21.53546967706152,-5.873057269942485,-106.34741562540107,-88.16889077096364,C,C,B,0
M,Non-Veteran,US,Black,-58.27964212059856,-10.190281762172711,25.69396759907282,-13.393312500981096,E,C,E,0
Female,Non-Veteran,Other,White,-125.47865321662704,16.030535303875233,80.50611898519013,87.86910135124593,C,A,D,0
Male,Veteran,China,Other,-23.80269018639161,98.73164543433019,-4.1769854364555306,124.58146112371793,C,E,D,0
Female,Veteran,Mexico,Asian,17.37705618731881,2.7772229385739124,38.958956420562515,26.473423932023938,E,A,B,1
Female,Non-Veteran,India,Other,70.42087357690208,-140.5352525478424,8.168447172755528,190.80928719541623,C,A,B,1
F,Yes,China,African American,78.53979144962375,109.17340309649886,100.31312083018635,-121.8686177462535,B,D,C,0
Male,Veteran,UK,Hispanic,-100.40354984508564,18.053543213723984,25.230417596227984,-113.28439552694545,B,E,E,0
M,Non-Veteran,Germany,African American,-36.62640896263708,-87.57958607257842,-165.24015654865548,-95.81243100764745,E,C,A,1
Non-binary,Non-Veteran,Mexico,Other,-13.702258980700055,-56.847866859771756,2.6828681630659705,-7.770586395962067,A,A,A,0
Male,Non-Veteran,US,White,13.76936216465167,-79.4840815456011,-288.7706355984346,14.062499025638964,D,C,E,0
Non-binary,No,India,Black,-50.648831043837006,-93.29576318783654,-70.44927425626068,129.8348024662357,A,D,C,0
Female,Yes,Germany,White,-42.46118039427167,16.033768895412635,-111.91923803553372,28.336687656284393,B,C,B,0
F,Yes,UK,Black,-14.24457540758484,173.3244945876411,143.4500620917754,-247.54067817169164,B,A,B,1
Female,Yes,UK,Hispanic,-83.59606590971708,-7.704131476776394,201.1715173458681,71.24463326254651,B,D,A,0
F,Veteran,Other,Asian,-87.0681623512817,63.51970440276226,41.732999208305024,-10.628662433206078,A,D,D,1
M,Non-Veteran,US,White,-68.57271335313604,21.58017008740366,-54.319554906823406,-162.85834906105134,A,D,B,1
Non-binary,Veteran,Other,African American,105.4544270603819,18.350679596827806,30.447840529027005,145.84291340479635,B,D,A,0
Female,Veteran,India,Asian,-95.60507792564067,34.954488329526725,50.10940988215966,-66.57360185199508,C,C,D,0
Male,No,Brazil,White,-178.22701569738751,82.23172716417253,-111.84369252138207,57.91071615989214,E,B,E,1
Non-binary,No,China,Hispanic,-41.65170601790293,-70.65232095403073,22.503530572107348,18.49403696438342,E,E,E,1
M,Non-Veteran,Germany,Other,-6.562561075964505,18.423521288190944,-242.17146552873245,-175.32046386900336,D,E,C,0
Non-binary,Yes,Mexico,Other,201.34420561115854,-67.84534876050579,-45.11607589577354,10.884610837800219,B,D,D,1
Other,No,UK,White,-94.1366926703884,78.67394662216088,-94.8971414757425,-87.41065760928961,A,E,D,0
M,No,Other,White,84.13963374427765,155.07460889941217,66.38520904660726,-12.965142324701487,C,A,D,1
Female,No,Other,Hispanic,-117.70222211349414,18.190658165851996,-24.162980172337285,110.23096133462855,E,B,D,0
Female,No,US,Hispanic,112.9296560995407,-118.58700255611114,134.28038604356578,44.62612531893466,B,E,A,0
Other,Veteran,China,Other,30.464026780909343,-84.91822193192581,-30.40691329657793,15.686275815487486,E,B,B,1
F,Yes,Mexico,Hispanic,121.36178724513607,-182.53308599989236,17.973058125634054,-27.712445382173893,C,D,C,1
Other,Non-Veteran,Mexico,Asian,64.15525561892173,-95.94299992187413,-135.02452466644445,-95.45173136471303,C,E,E,0
Female,Non-Veteran,India,African American,-18.46166377867385,16.724108889661213,-262.4535935920003,22.338979364341156,A,B,E,1
Male,No,US,White,27.224477730575693,221.45678219016293,-166.29683474156408,-100.40345145427992,A,B,A,0
F,Yes,China,African American,19.317912330278254,107.76393110212084,-38.24012562645518,96.12075097681772,B,D,E,1
Non-binary,Non-Veteran,UK,White,-51.522442868791785,-111.44313066883318,10.23745524975452,-51.55211283869242,D,E,A,0
Other,Yes,India,Hispanic,55.302370847834695,102.45152906664545,-156.76393933071697,70.26636463364765,A,D,E,1
F,Non-Veteran,Germany,Other,61.06785664027793,65.4063285751618,-161.38302841749643,54.871020964335685,E,A,A,0
Male,Veteran,UK,Black,-99.1241218635982,68.25561918969973,-28.390356416069633,53.05763522135538,B,D,A,1
Female,Non-Veteran,Brazil,Asian,67.24282856494878,-177.53120507551364,-66.59301906119082,-226.4766745274799,E,E,B,1
Female,Non-Veteran,Other,Other,-77.3840691915553,-39.759817247889636,-71.14328496063804,39.17400740889475,A,E,B,0
Male,Yes,Mexico,Hispanic,-95.5973662333829,4.497068580437863,164.0918692022044,139.35677282257745,D,A,D,0
Female,Non-Veteran,Brazil,Hispanic,6.573772230781982,76.19949503749771,-130.46657905869955,-18.49832189946602,E,B,A,0
Non-binary,Yes,Mexico,African American,16.14166202535185,103.9552268960421,-74.42122265420116,-34.03493015298468,B,D,C,0
Non-binary,No,Other,Other,-62.62200608890398,-34.107181405315785,43.15188836823918,-77.80915680866005,C,E,E,0
Male,Yes,Other,Hispanic,111.29731206521684,-44.77698700470392,8.941458879721315,9.141791311069536,A,C,B,1
F,Non-Veteran,Germany,White,-26.948038890274397,47.89606205603103,-167.97223407629536,-148.95520819434677,B,D,C,1
Male,Yes,US,Asian,158.15794164245523,-100.02259352008218,-26.079148738381292,-59.26404669247236,E,C,E,1
Other,Yes,US,Black,18.422018081527177,-78.81987206455769,168.49467362671697,-5.017262826929709,D,E,D,1
Female,Yes,UK,African American,-34.369371853196476,-15.997075358419869,-171.7458395968884,59.99946943535831,E,C,B,1
M,Yes,Mexico,Black,91.27875701768436,-114.53144778263969,190.71129924159035,95.1425726086905,E,B,B,1
Other,No,India,White,19.366464256278114,-65.76543152127687,116.51400375887313,-44.41793604264292,C,A,D,0
Other,Veteran,Other,Other,-149.9552201575112,-136.40191126105344,65.00892249667494,197.4247280690505,B,A,A,1
Other,Yes,US,African American,58.02965156051828,40.27665847126416,113.86143606341032,-114.7215753788462,A,A,D,1
M,Veteran,Brazil,Other,-161.70786200844594,-22.659714256334507,4.439577978328357,20.65382693512849,B,B,A,0
Other,Veteran,China,Other,-126.47940540486147,-18.025986579396278,-172.11908234345853,-139.69337150953075,C,C,A,0
F,Non-Veteran,UK,Black,-31.025215800607448,-69.83524147827774,-50.45504845533079,7.2886706388367655,B,B,B,1
Male,No,UK,Asian,69.20131943305636,12.57124885502964,77.09300641722088,44.06318038450798,B,A,D,1
M,Veteran,India,Asian,85.90257972131367,129.36838420260065,18.115115815121314,48.44049686978501,A,C,B,0
Non-binary,Yes,Germany,Other,107.89343347425546,103.1216538817099,210.3121863961054,-52.54583232102059,D,D,B,1
M,Yes,UK,White,56.9854047902108,18.980853728793274,84.05954411693808,238.00417583931153,C,D,D,1
Female,No,Germany,Black,-55.06986353289,-5.8414758023932505,-28.211492295095088,-35.01812515376791,A,A,D,0
Non-binary,Non-Veteran,Mexico,Black,51.73940900675803,145.3674698964792,55.14153403524431,67.19977217594828,C,A,A,1
F,Veteran,UK,Black,140.3974129760303,-28.0533432336054,-62.24466650277923,-59.564314292958365,A,C,B,0
F,Veteran,India,White,-24.67284784256422,-76.97401448331355,-37.9759756727705,99.13693380298072,C,D,E,1
Non-binary,Veteran,Mexico,Asian,-172.030895441702,-90.95952023129594,32.13213294696183,-164.95731204227394,B,C,A,1
Non-binary,Yes,India,Black,15.99974648910668,100.99537582110771,142.28103551642423,76.64072016577441,B,E,E,1
F,Yes,UK,African American,60.43787229246021,132.43364253469838,32.209098540286675,79.3430456702449,B,C,D,1
Female,Yes,India,Other,146.67918333857776,-29.62849034479077,-51.12283632034723,175.047270550039,A,D,E,1
Other,No,UK,Hispanic,94.0949147573559,-99.9003806017974,-28.89953357389808,-47.36941427084149,B,B,A,0
Female,Yes,Mexico,White,100.34571703716286,69.7214059467814,34.12155552462765,-52.814145457319796,B,B,E,1
Other,No,India,Black,74.59841634712541,49.729198345290584,68.03284433386466,-30.2576246900954,E,E,E,1
Female,No,UK,White,199.89278606117546,-79.87967144181042,-9.341464267587094,-135.24329435155272,E,C,E,0
F,Non-Veteran,Brazil,Black,-118.51908202820466,-51.5111200434142,-91.53577883661491,54.2499557794456,B,E,C,1
M,Veteran,UK,Other,-111.41288516917733,-210.30008835482974,-173.2667758647251,-55.71616712060362,E,C,B,1
F,Yes,US,Hispanic,-130.73038912949997,39.34852731365931,-53.322529893239334,52.77591283230486,C,A,A,0
Female,Veteran,Germany,Other,-32.02814796116085,-108.10002192168851,78.05319057809729,10.335113372804782,D,C,C,1
Other,Yes,India,Other,-10.631235732385166,-32.675558789152845,57.15246777310756,-70.9584194427529,B,A,B,1
Other,No,US,Hispanic,-94.32117225352178,97.70618697520504,32.248065828391326,-21.146538658047838,A,D,E,0
Other,No,Mexico,Black,-43.24220662403864,-70.29420364622628,-60.826263476938124,58.90131026312096,B,C,D,1
M,Veteran,China,Other,-0.5072948962065326,53.89537674867493,-153.21301597289155,46.70330524931784,B,E,A,1
M,Veteran,US,Asian,-36.72149937324458,26.903122475656026,-65.23186513669356,59.11372772851939,E,A,C,0
