RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Other,A,113.7670553288999,C,31.7306816546819,79.44963574810376,5.687609371281881,-81.494120111483,33.948826808756245,A,A,C,-6.47537645475644,0
White,C,52.02896550477514,B,44.579391268253914,261.935993929326,27.71047776200505,-78.59712524754114,-55.34520129374819,D,A,D,42.49685733831637,1
Black,D,33.04162944177638,B,-45.39370263535611,-21.990699634548974,-55.43831476096568,231.0532084744913,12.411591152949539,E,A,A,-122.08306318342544,1
African American,B,224.59042117734538,B,191.52979756923935,26.80390234523336,-39.919299620377785,55.968536088219665,85.72234690626253,B,B,A,-9.284845052438957,0
White,A,-22.176662828545602,B,52.30441219022157,-70.03425620590266,0.696459463309665,-239.55821062464318,-42.60938360627505,E,D,B,153.00431808220623,0
Asian,D,-47.228650986105194,B,180.5708794208003,-56.32279647989725,-59.369657348335416,-140.92122631102487,32.127673366649105,C,E,E,-132.24555152175185,1
Black,A,-73.0571384206186,B,-36.61433836715616,-35.37159747036496,-69.56006812520033,-107.64474858307327,-151.76687638015838,B,E,C,-33.21160725356771,0
White,D,35.555365069300976,D,-4.605985656224361,41.199994273838925,-131.55160851660685,-54.846059760889744,22.21384603057332,E,E,C,-9.650551651699429,1
Hispanic,E,-184.96071452278488,D,-72.30136509597746,119.54922730282843,48.25890549699835,11.214457260917555,-119.42809574668706,A,A,B,100.92298946157594,0
Hispanic,B,-32.674302208766974,A,-23.075789428123713,-91.71877121132961,-110.1189943582845,-39.19306053793789,-80.17761764137454,E,C,A,87.39055778471047,1
Hispanic,E,-17.884907224938797,D,81.81608921552429,-25.981614555069566,-93.82534942339275,36.85118446818089,133.89580473824515,E,D,A,-100.05170378588544,0
Hispanic,A,-40.717597178996414,C,-1.2437516532249946,-45.9471013460999,-63.15996131485889,17.303666997932773,102.75992468804,A,E,A,-33.7412328550217,1
Black,E,76.41723053804978,D,72.29260748864563,125.08475578231013,42.97303505650139,215.60721445163438,49.10587244248386,C,A,D,-83.21021432493193,1
Other,B,139.9869164703432,A,-127.13840726803976,81.94092203154418,20.81468122449086,-23.34582290084261,126.58211544979967,D,A,B,16.338612202057906,1
Other,E,-60.83530571469302,C,77.7544769627872,9.20776860721031,-26.931905968582736,-3.616284845818484,15.328852541474205,B,C,E,116.3829662823469,1
Black,C,-98.2556040667222,B,41.19086672045047,-87.32478633444921,-147.42859035436388,-189.38498370822506,-188.0879691207712,E,A,C,37.90305259347756,0
Black,B,-52.064812193551624,D,43.24433844590691,-131.72472568599852,90.07841516001727,129.99824930599993,100.3682437550329,B,C,E,100.37268438116638,0
African American,C,72.77520156553494,B,-111.96689242164322,39.72982939251584,-137.5649568521619,68.20383780614928,-28.709609410884855,C,B,C,-37.35334800152297,0
African American,E,116.6876741922191,A,54.63464643070542,126.58503333031732,-190.3901930474484,165.67453224449474,87.28015566709915,E,A,A,-48.86360846300778,0
Other,D,-40.68402438643331,D,-48.81556428670006,93.0109009212973,-213.9691930878115,254.35634591066818,-6.132561275543752,B,C,C,137.60352725197848,1
Black,C,-141.15257257796384,D,10.320289890353935,65.48881978457489,-45.53109331379099,102.20793181463664,15.219829291150575,B,A,B,119.14162951671531,1
Other,D,-141.5681208232671,B,19.810868807806397,22.390145583256686,-75.73793549624531,-56.98386520245109,-18.131439061174877,B,C,C,31.34585350952404,0
Hispanic,D,-175.52827708228028,D,-175.86071523750505,-69.88081370435187,-115.34504057474028,-10.359377043822672,-104.22930184736197,A,E,A,-3.4984132035504176,0
Black,B,-74.87132031376647,C,-141.96557011025493,-49.223182927661604,-112.88563270648649,-143.2963670445261,-91.53188575593445,E,D,A,108.65809735728548,1
African American,C,233.7711230370497,D,-109.97995506319418,37.61818496754772,-26.262359023567498,-55.726126490767314,222.74922137212897,D,C,E,43.54712975304717,1
Black,B,-41.098482147023965,B,12.72483588809171,77.48600381264559,-52.236334541371576,51.334528063251085,112.56019018823771,E,A,B,-10.337604762777993,0
African American,C,58.865994452530124,E,24.134456048329966,2.137299427431858,-229.28051317105562,26.927785190205395,2.682693354170637,D,E,C,-61.99393114529651,0
Hispanic,C,103.48597684408712,D,103.14182924810868,119.12501659555588,-134.2755041792447,-117.68877643569073,-89.3782115025461,D,E,C,214.94628011732934,0
Other,E,-84.24707916115015,A,84.61370550540936,61.61510778776219,62.69764263505911,-6.225567243847251,-75.1981972193356,B,C,D,-95.94722806556209,0
Hispanic,E,30.421128110633017,D,-51.963530576223036,35.7082691141189,24.59085410540463,80.45122305374716,-65.27333991046615,D,C,B,131.8696131744759,0
Black,C,94.54458634536978,C,-2.9921930814339524,13.883587406815915,-42.8113587332372,173.54889942279905,-207.78478991387098,E,D,B,-110.28364468998232,1
White,A,187.93939718711593,A,22.344464587743428,-71.33900715583448,-171.190521921774,-8.479612527047406,97.84447311251324,C,E,D,63.48235451446913,0
African American,B,-157.05810389556584,C,11.495586427014764,-20.52019677758132,40.02427763858741,2.705185353920454,-51.08531392276716,A,E,D,-141.1183859258122,0
Hispanic,B,19.901051002452995,D,-113.64417133733693,-39.452814385092225,113.33530535760144,56.43850956144837,40.54399987548808,A,A,E,-102.76709692342956,0
Black,E,95.38697991384021,B,-58.59354292641225,76.72993241653823,57.063639797017494,27.21312526756609,138.8044096748788,A,E,B,115.37588238571954,1
African American,A,-17.01681272842083,B,-114.67446714714131,-126.73677863778909,-64.96515518234015,-18.609146348058985,95.68666782870959,D,E,B,-5.175676068593487,1
Hispanic,D,16.17119986971501,C,65.5733307900633,73.60364112265782,-7.17417505825235,137.54390121807495,-16.561629222782408,B,E,D,191.07957228166424,1
Hispanic,A,-167.51447539753315,A,-98.07167339408691,17.036406839282105,202.46188075203494,-66.92501418600352,-41.199203123046196,E,C,A,-168.06549981559036,1
Hispanic,E,-140.14428031383358,D,-39.999159073949116,-148.1487679635776,18.546747544711994,-82.37159296918385,30.192663828518075,D,D,B,-36.06835195831265,1
Asian,C,50.23992627943653,C,-32.27144189173877,71.65483972723374,52.36920877413426,43.90452196566056,39.0252627087902,B,C,C,176.24707765665121,1
White,C,50.0315878136566,A,-71.51576403870834,24.43902609211152,-39.463034390159116,57.412267202218594,25.86847294659902,E,E,A,-168.27667449350577,0
African American,E,16.021750097493097,A,239.15551215724702,78.83481012622255,15.418746731466781,-114.56172640678959,-140.7946139690748,E,E,A,-30.32294783731938,1
White,C,6.61136903278475,D,16.400557535228963,148.09192666869055,-100.0045801329442,-85.75661886159217,114.16781028974069,C,E,B,-120.39028165317222,1
Hispanic,E,83.30926576783952,C,-11.751350418217255,-8.92623172317296,-6.476157497684774,-20.94443495311129,-7.502777707187677,C,B,B,-97.01142375831891,1
Asian,D,-26.090406732469308,B,-133.73430246208608,109.17517669340681,-81.59190845218318,-112.92345608995755,182.34523877939102,B,B,E,-165.85580558835585,0
African American,D,55.134457975971216,B,153.9979053903015,36.17377117748035,-149.71813643704706,129.183969354619,62.98905682358814,C,D,A,-191.8687674773525,1
Other,C,49.66230510040639,C,24.147941824647003,-162.9383200226323,-82.92797694820433,131.17435866901258,-36.58181156078178,B,B,E,65.77521245569392,0
White,B,-6.863798966594087,E,-256.15276589100597,113.40545438549027,-112.4490068503869,105.2449972620393,28.062242484642603,D,B,C,83.94632988627343,0
White,B,70.86038698686534,C,-184.34717190536165,151.63043677358934,-33.10388935069881,226.01197947659904,13.089585595257835,E,B,B,-29.339806454180195,1
Black,A,-136.21223223163472,D,14.87644680367988,-25.893213809819926,120.1827409879336,74.49430047907393,17.756620768132976,E,A,D,119.74976705320968,0
Asian,B,-186.79683916202464,E,-25.510609708362246,192.07156993916354,-12.592059117150608,45.75655152430787,73.1866270509697,E,E,C,-89.04698945294946,0
Other,A,-192.28670173695798,A,-84.3766245107838,-94.91818737188336,48.70885606208318,11.869311624363494,-7.061552681566598,A,D,D,111.42079975666756,0
Asian,E,-32.416993473966,C,-160.93847414071087,-212.40521816130405,41.66939351256494,73.05446662378512,30.28129782854549,B,E,A,-8.02371413726418,0
White,E,26.966702247291163,E,-80.29625745887982,154.67921039350446,-49.57998629968288,-122.60869686514803,27.509760431008722,E,E,C,14.49528612400497,1
White,E,62.084576845986675,A,141.97088106224984,3.980769650932334,30.653365679834454,270.1901795609119,19.66767467045712,E,C,B,38.08730211650588,0
Black,B,55.63878604309347,B,-32.48375866501874,127.93698773964226,22.607082645728564,85.15983834129862,-104.88361950451983,D,B,C,112.72555631924901,1
Asian,A,-123.32936073295156,E,-3.7888473357275942,3.34194821017857,-110.14729319407802,64.75140364521008,-46.51521057035773,C,D,D,-83.58501454630019,0
Other,D,48.59853925654077,E,-34.779505616055175,80.5106117882573,77.47261975782567,64.04065479364593,36.34976844086409,A,D,C,-55.376561718707904,0
White,B,66.13440994986603,D,-174.77483688280728,93.90135059933911,60.7128534099236,101.73710767570124,69.55866992074544,C,D,A,-114.28182977748862,0
Asian,B,-125.20354210046769,E,-64.65487851794495,-63.51906399597082,-10.63449269005801,94.09262738820456,-33.98323932841687,D,B,E,-127.36206026790235,0
White,B,-41.0800161174545,C,211.71815917735785,102.83694312381509,-202.44270371180284,-125.38070641803488,3.9209187319613785,E,A,E,66.87980552257201,1
African American,A,239.3283438289687,A,18.92475602980591,104.93170631223276,130.30157253060958,-152.13277663694504,32.352658408026585,C,A,A,-16.569513052194008,0
Asian,C,-67.25994167447057,A,13.765415862363472,43.732027098235285,115.94905858569095,2.973524208863533,23.955166934943378,B,D,C,-47.703362664905576,0
Asian,E,98.27148038906749,E,-297.13609785026904,144.79011659571222,37.95362641014069,-200.0957254681848,-12.661026218672017,C,C,C,-202.48459177994255,1
Other,E,-50.769691163241035,A,-20.891576576167896,81.32744263840837,-79.30932913837043,-82.5440987455576,-2.3768323615878995,D,D,C,-42.30377232168062,0
Hispanic,B,25.364976463018042,B,-86.41500469435859,-31.7679723063718,-3.710790305414092,-114.89673290742037,-96.63184033418372,C,C,C,32.59474428860927,1
Black,A,141.05350076507892,A,22.04841378249163,-59.01821953073526,200.8887334336976,42.0524488396594,59.18843914388439,E,B,A,258.5931362438869,0
African American,C,0.6167374522425366,D,-197.81136669186031,-105.19131317182743,-121.25251095967826,-72.94010041758538,7.651948605423151,B,E,E,-61.93610233979187,0
African American,C,32.90985472624261,E,58.35634485207163,57.056120776367095,149.56886716284527,237.9521955820648,47.75002569881022,E,E,C,-51.819306375232976,0
White,A,19.469942854672272,A,-65.52234549659525,96.62018928759738,-10.183638925116329,180.62080177658578,-56.254828197152285,E,C,C,-60.370534078807545,0
White,D,140.93433560034026,B,-42.34271370382882,-86.935864326022,87.16608082715746,37.809329705526075,-8.857578989514755,D,E,C,67.27310637211603,0
Black,E,-31.068302619765504,A,-77.00807297936389,28.63721121566004,77.46738557911681,44.19871113062516,98.21417798161052,D,E,D,68.23070956886656,0
African American,A,-131.392968325662,A,-35.047424670798264,-14.756945811535168,41.56553458125967,37.622627126344725,102.12391023267415,E,D,E,-51.74838763497307,0
Other,A,-15.501391598525235,C,-61.78718878796852,-10.751107192637244,127.90590182041541,130.41751068059213,26.705640588751635,A,D,A,-39.53963635051184,0
Other,E,-0.13822048246933255,B,79.66875068218202,-206.3275536172098,76.52242880773956,-9.392446697097103,-66.97010756401382,A,D,C,15.295450972292654,0
African American,E,-58.9141758743511,D,92.20743952832743,-152.3899741838827,28.62739803082433,-14.027558840912086,-104.60923680798612,D,B,B,84.82903482126204,1
Hispanic,D,-10.351992348614814,D,-130.85472608181576,27.07155318033239,-92.46233653236727,81.29578639595115,-149.46468376764886,C,E,D,-22.585979944431102,0
Asian,C,-40.092525286115446,A,42.49972715587324,125.1834127519086,-49.51006586939781,43.12997810691469,-69.8945350788845,C,E,B,-82.12069444544744,1
Other,E,-6.687045310846501,B,46.765850987271776,-38.66756355120902,37.961633593301805,181.8820679640602,46.25989756100365,D,B,E,-89.74941587549995,0
African American,E,-9.995313958739242,E,16.89506111070115,-32.46276303014743,14.20686110047086,-185.1187020116632,-46.928558409195794,E,B,B,-135.2602572334846,0
Asian,A,-41.17822421040769,C,-36.20454991799924,-13.632988427572176,98.89665549317994,72.90393242384258,-16.372302076632,A,B,A,-121.33326530956,1
Hispanic,A,5.434204694990091,B,-2.1566221757815875,267.07962514406375,85.08913632136324,-55.72408147718213,1.7636976026147726,E,A,E,-103.7063995461952,1
Asian,B,-41.7412830770753,A,116.34666379504885,148.56006198966224,-82.86097710392643,6.432658854468516,-73.82253415285767,B,B,E,-85.5514921506234,1
African American,C,-62.141669706262945,D,4.642080782985566,-63.96060472147958,125.26981774624393,-116.29284278576864,115.75490230985169,B,D,B,-83.32385274804714,0
Black,D,49.35316463773324,D,17.857066534721582,8.207581890634303,197.20974870949158,27.041601415883736,-21.92113597144148,B,C,C,116.62320988444867,1
Asian,B,144.212947384287,E,-32.112145085632285,231.66238550506594,21.65126372000211,44.883483720497644,122.07644890875797,D,C,E,5.63312055354084,0
African American,A,9.983702696965079,A,105.22208138067175,26.674823166960522,-68.54641964951266,155.70972500910594,-42.225714847172284,E,A,B,37.960843253017735,0
Asian,C,-51.96422295532492,B,-83.28495497358477,-153.99057388073305,-68.48521479792339,56.65694282231388,-128.94543890882574,B,A,C,77.57560539131855,1
Hispanic,E,-204.71545278127485,B,-123.58420845110325,110.8056542516598,110.08749501941814,17.40854426945961,26.99670086826309,E,B,D,-67.16387945957104,1
White,D,-29.56914388368257,A,-27.175759681551824,127.77800685275342,-33.70342900256153,35.48005113023355,-282.8659163048714,C,B,C,89.05870317749314,0
Black,A,-138.84085112644442,C,-246.10149549136074,-186.69279841464953,110.93924352707194,-120.30110743010826,8.697044742078717,C,B,D,-22.253268333030608,1
African American,B,-4.187060609178702,A,-56.61942139891908,-186.65720287383772,80.77393365346926,-59.856457914631314,-90.37524910654572,C,A,E,167.93001231285785,0
Hispanic,B,136.78782167484783,D,146.24695839368238,-87.2763203758334,-102.53201257010403,40.93484504162905,-21.568102198650795,D,B,D,49.71618170439677,1
Hispanic,C,-80.90217703318928,C,127.4656093027299,-31.242688950765075,-5.1256179277866085,171.99798741643954,-25.005437197105806,A,A,E,-165.13025673957657,1
Hispanic,C,87.76334298828857,E,46.59703847695019,71.1191582036726,75.8975888413008,230.21693775805767,3.608146936700704,C,E,E,147.2046038304724,1
Hispanic,A,45.924349324459065,B,-73.5723799609925,30.51979011042431,-60.0813418654198,7.464086387389303,-161.62810948037568,A,B,D,26.737242117918907,0
African American,B,-77.81578270827096,C,-29.7111255039143,34.89791617886905,-48.88629636902163,4.080607063535949,86.02985654209273,C,C,A,32.63936911701479,0
Hispanic,E,8.553977446235022,B,-101.5677535429924,-56.46336852755163,2.669070428490333,27.131068827608296,66.87193907167949,C,C,C,17.270390360193684,1
Asian,E,43.365898416353986,A,-104.54764145384621,-142.89560650330296,102.22772670532194,-43.46011191796156,85.94210557503332,E,A,D,6.77135681468008,1
African American,C,-63.921590754556824,B,-21.87813391182742,-19.716106461228808,-76.17310017434035,-98.17500120056356,-163.08959908343292,C,D,B,-10.42254213029021,1
African American,C,82.9168872231654,C,-162.18311391182107,133.9012232739531,155.77076931189342,-40.15011778745553,11.709528841441207,D,A,C,-131.2255411122676,0
White,E,-91.73001718134853,B,41.331556602916265,2.809296921957442,-122.9080926110426,28.040230518988622,-97.11790710960723,D,C,D,165.5203862710169,1
Black,C,60.62999044076448,E,-59.764506026081555,-40.674653688144225,-212.66178550117485,-41.802760418094394,5.460792421634484,C,D,B,-72.84853982288946,0
White,A,0.2507994645463117,D,17.302604862111487,-288.87616846333924,-34.46763495816566,-123.3797034539292,202.48838721517384,C,B,B,11.008403539504384,0
White,C,-116.8757323974427,C,10.750404906729083,62.504527029032616,174.15916822867996,-104.6586350718569,83.95764742983819,C,A,B,-151.40712520660352,1
White,C,-51.01990606840198,B,132.62191426024697,-0.31992810910866276,-13.671788628967397,-174.7571916591761,-119.50657547386827,E,D,D,-59.25137203501081,1
Hispanic,B,-136.91519108919817,B,-68.35025475004718,-144.85420157859843,-130.2776057391909,109.18741065191158,-38.215262245084595,C,B,C,165.6907026218152,0
Asian,E,-161.3590820940245,A,-118.28154909905531,24.36846038502177,183.60518757030098,-79.0051079672909,99.14784320097083,E,D,B,-53.108827811284556,1
White,A,62.68940160056237,C,107.63929791642799,24.639802624851622,6.760095526031938,25.15401006846723,64.99355491941381,D,D,C,-29.823918006619106,1
Other,E,-47.899505156345,D,128.12855482859277,26.642009261964322,-84.18365250184566,140.39517798996144,-190.86550569607348,E,E,E,144.97797489839647,1
Black,C,1.5387644802666758,E,-118.78395667384962,-10.853099017379762,221.3014469142324,-323.93899334703184,69.76160279554495,D,B,D,-84.33965738984746,1
White,C,111.09145747765898,C,-23.903812881827406,-35.30263914388361,84.10296816860973,-88.90514333946601,31.058223344906583,A,A,C,106.43709085223381,1
Hispanic,A,-99.37527642005732,C,110.53371139377506,-197.0638933363148,13.219628026142685,160.70215566366466,-106.03943605611599,E,A,D,-101.2371355036211,0
Other,E,-40.6095429422559,C,-7.115097739881178,-44.05849606993033,-49.50892587229039,-105.15294890413264,12.196012264426223,E,B,E,4.86863685774103,1
Hispanic,A,104.24974621473248,E,254.7352266011804,122.08185569774312,-122.84469028751313,-66.52505463561891,1.27141211828336,C,E,D,42.52304961267475,0
Black,D,-54.59724009708401,B,-39.81288199065056,-107.76692270920205,-4.716493117768358,-169.82376169127855,47.17874749188902,D,D,E,-14.497188769668105,1
Black,C,0.048810114262092474,E,138.14342419468298,68.11131113108549,72.00423034441728,-6.246491181993177,-119.54398001212418,B,C,E,-185.27645224054504,0
White,C,-16.396602348089413,A,-65.43671524818258,-47.17557142517293,-81.0763814767425,-69.82437771293202,-10.258297265652153,E,B,E,-37.9977886532891,0
Hispanic,D,4.17793047456925,B,49.14032930666443,49.47593699212703,157.9904790340214,-16.70739696986543,-70.57900529053512,B,B,C,-37.14619020223647,1
Hispanic,C,16.929449799014538,B,69.11813014443015,121.27180440572798,-101.72358371104497,108.177280487573,3.729525898703572,D,D,B,-37.48323536693179,0
African American,C,-12.67788739448757,E,-37.2185600744362,250.54328040435294,8.51945997170019,-125.15398171480669,-32.19895867695959,A,A,A,-23.043206200409834,1
White,D,-63.31369398166697,E,155.9492580030608,-120.49932650337894,-40.32276445894889,-27.567838209054653,-140.80715251682662,D,E,B,-53.269963002050126,0
Hispanic,D,49.03812998336412,D,-31.034841691076625,9.747431055902341,-134.16063476531437,8.176028255639967,-214.23013444715914,A,B,A,-22.090926227659743,1
Asian,E,58.712688224074114,C,-119.20589567220783,-124.31356175438908,86.01161121331428,46.52221829352048,57.77678385741291,C,B,D,71.87648624099337,1
Hispanic,E,-34.701235549725716,A,-151.1999527982965,14.188810145555086,7.379458561356607,-104.24780007676489,148.6214803059737,C,C,C,21.809334265017096,1
Asian,D,61.587812389746446,E,-124.53404485027366,170.5843980022512,46.64285389033962,20.306381941039223,-0.7443599726097332,C,E,B,-70.37099305314047,0
White,E,204.21215570863177,B,81.06147621096184,-94.79577751138805,31.951560165197833,-134.397834103714,-237.48253253836248,A,C,D,154.79246582726424,1
Hispanic,C,78.8622547790439,E,-87.9168084016395,-189.45567932957914,-33.295595180397655,-231.18851248547162,44.11644394660843,A,A,A,-87.04019627924899,0
African American,A,-148.60616726099977,B,-76.3494053418291,-50.9508452616647,114.1864936495427,-16.861295388865713,-3.7527961499580056,E,D,C,69.73952429602393,0
African American,E,126.34914433896513,B,7.319527312547616,-5.399189215886449,113.24010030602123,70.46378991743495,-134.7219991710412,A,A,B,71.63089594715123,1
Black,C,-246.6029567190317,E,-35.99156955845991,80.39651253197508,-132.44802898344858,12.224414912750722,-93.19868703866054,D,C,E,25.822917724968015,1
Other,B,-22.372815182580236,E,-72.12920768457903,-55.07418562994314,94.82999488674089,14.147131072484036,-96.24899663654585,C,B,B,23.93016568481691,0
Hispanic,A,-189.71357545886542,D,198.47127737215254,69.74112010909272,-20.668393771048514,22.154794709443046,95.81617719551248,D,A,D,-165.44694189480867,1
White,B,15.359085775800496,D,113.40608833784323,-28.3903111846991,-85.63184866334548,-137.96239627704614,203.17759409079378,A,E,E,89.48646134889485,1
Asian,D,12.078925839754277,C,-67.1560515664484,-10.993669195844879,-75.2664801432247,87.79832912184756,70.69619380274645,A,A,C,-141.662325266243,1
Hispanic,B,-62.49252955831188,B,40.47473722252697,126.13651353198141,41.1096007167781,50.71354586321702,46.36279224499335,E,A,E,35.64350691512183,0
Asian,E,103.90743543781255,E,38.37262903253372,-46.071276071106354,47.06548412300859,-19.85557399698356,-242.8010134070811,C,B,A,-9.782726698238433,0
Black,D,171.23395026633787,B,-160.3046128106772,-82.13408339042839,142.3402324173938,-28.86496527602348,3.3398865757530602,A,E,C,-34.191802139622695,1
African American,E,16.739986508308636,C,190.77835677680565,61.522136296312766,-42.05245745973609,34.15431219588789,-0.07843411686210568,C,C,A,-50.04319663085437,0
Other,A,-131.03090567011589,C,-90.72780965821845,93.38825914237084,159.14338491566147,-116.49339396027739,-64.43516846959496,E,A,C,4.435644060385566,1
Other,D,21.38988930109329,E,-20.1299270059527,-103.9354494294657,-53.343498908592046,-247.45511221710714,153.88074200628213,C,A,D,-8.631859001345884,0
Black,D,33.083400890578716,E,-100.26919236276468,-74.30310126100781,42.07580499070878,20.37978059058502,-91.19246047353712,D,E,C,-39.82553222161356,1
African American,A,-120.3494968482286,E,-39.59310823430487,-88.53314453018402,-85.2914054006639,125.99293367775546,-76.28385263649537,E,E,B,82.15247497775032,1
Asian,E,-224.55526610156235,D,-210.60252003816942,43.70296278353453,-27.16355660516367,-190.1940083942298,-49.52126795729333,B,C,C,-94.59564964486056,1
Other,A,21.177649327701292,A,48.0003620212863,-137.59383525894543,-63.70567053517442,-29.399973800979705,48.14313353188117,E,E,E,25.631296250647118,1
Hispanic,C,-174.5787336676129,D,144.97558917193757,109.59954878743461,116.29230446005307,-80.42771452791928,105.56103202480296,E,B,A,43.39080886266887,0
African American,A,-52.11720107952181,D,-78.47928341045277,180.30292688112854,-88.88594919266349,30.81358223551141,62.68545418417284,E,A,A,146.5247330802529,0
African American,A,1.8769971932973681,D,37.768923866701776,-134.10906306465768,-86.31628829882446,59.4124957140183,9.115252508820495,C,E,B,133.03509637731642,1
Hispanic,B,87.54207775408156,A,-67.09812797776551,50.1039769265741,-90.0109516948181,54.06696532809377,70.44192507709988,C,C,D,-182.03461716793694,1
White,A,11.888771416294682,E,105.41207413643376,24.068567831581205,103.18180306352156,69.06014048022982,-29.396390463173006,C,B,C,-90.28471217280483,1
White,A,182.7988654607464,B,-125.5601364236088,-64.63388554397406,51.73128670860847,126.84309392339925,-125.1631122766107,B,A,C,107.5906810582736,0
Black,B,-70.55900690143505,A,-51.42178153179473,45.53371130473479,-142.14980868078388,-45.307375124271026,66.66754660083214,B,A,E,-42.76108766979109,1
Hispanic,B,-7.904314413302169,A,84.75989386930462,55.55186862308887,75.02573899914998,14.30941708519552,121.71029362546366,A,B,C,65.5983207218701,0
White,E,-32.23299825997895,D,159.2194294323457,86.63002744880859,-6.376960196204173,-169.60891356969643,36.6250293086635,A,C,B,-28.71406046220572,0
African American,B,136.2497073036958,C,35.782719679373145,-71.04869585829246,-53.98492070275708,16.216049437807545,-20.21587410794382,D,B,B,-55.98506051189097,0
Asian,B,-160.93831279989433,C,-158.12787985627332,37.036606727157626,62.60162167700809,-104.16105076295253,64.07260042506452,C,E,D,100.24109310020354,0
White,C,2.6765695851844256,C,78.17736149741373,-96.06117508498275,-117.23322693396996,-3.9015150104700815,-129.9509271629043,B,A,C,-134.69095286662983,1
Asian,E,86.18386792030151,C,-79.63353721421622,74.19257119377674,-153.3895580110302,-116.10439182779353,83.83679459496594,E,D,B,-132.01489650871844,1
White,A,-67.40582621065249,C,159.56416862407357,-38.51363426268225,-63.26974219639369,-24.328235085798113,-88.29396999130955,A,C,D,-14.258530669681477,1
