RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
African American,-45.34506906774283,63.74890079017042,B,D,103.85861239727127,E,38.89790995284048,E,B,B,C,51.86386652125583,-27.89048167442235,D,33.48365924817952,E,265.8635398702049,D,0
Hispanic,63.854996584276755,-59.82423576606397,D,B,197.6015296107983,A,-156.0223195088749,A,E,B,D,108.21208747685273,73.693663396436,E,54.73603491053842,A,151.50962860237053,D,1
African American,-4.134081492807361,-5.04294328739913,A,B,-124.27800100408118,C,113.0621666820264,D,C,A,A,-23.052553657062884,-108.38564306725505,C,-93.07618465769588,C,204.86801254599723,D,0
African American,-92.81326592765346,27.745882994262626,A,B,-109.71114464114964,E,156.61380410220883,B,B,B,B,-183.99456549887512,-115.0046434015444,A,129.26431477107863,D,-43.65714034908906,A,1
Asian,-55.04451781061505,-112.32933021228327,A,C,1.8224780268691294,A,126.7101933444085,E,E,C,E,80.72447702941201,-66.53673785391003,C,-115.86107561828646,D,72.89888410091424,C,1
Hispanic,-85.73285991792292,-89.12982715748029,C,A,-20.638844116619705,D,-85.1253112606895,E,A,B,B,8.488134546584282,-63.736064579225385,D,-130.95365491341812,E,-34.605604007050786,B,1
Other,-4.22039775189828,-67.20621575355538,D,A,-50.58848422176564,C,-14.470411523797782,C,B,E,A,-27.794655101549527,-17.52714129254851,E,-117.69630181917643,A,-41.430972113037754,D,0
Other,-83.27145965316478,-134.32678216845858,C,E,34.66125645902729,B,-120.078654596532,B,C,B,D,62.88465084820374,207.72690032905095,C,6.585952307342809,B,22.513709818969456,C,0
Black,20.591970757327076,97.44902442953138,A,C,-1.5396636610410013,D,89.35258177604871,A,C,E,D,23.592685613690673,-30.978273269432616,B,15.238126055578533,D,13.8236701819569,A,0
African American,-30.455615690802045,-99.17940212013097,A,C,9.312165384241009,E,53.49684196145391,A,E,A,A,-70.69405061255839,29.230466786174713,A,220.5062430670752,D,78.33551092875013,C,0
Black,-26.196646565400496,-105.27038092984375,D,E,-47.27373243705714,E,82.82603788824959,D,C,C,B,-126.94123014663523,240.17705907092392,B,25.725075038369084,E,-48.796598134531266,C,1
Black,-2.9976746547979753,-159.72246001786758,C,B,77.79051049578035,A,57.17284475339815,C,B,B,B,-81.74791122776107,-80.41571024042584,B,-118.68451076295554,B,-13.376685905000677,B,1
White,101.14634612302393,22.456961543479164,D,D,-171.89480040231655,B,-81.64068507558028,A,D,E,E,-247.7389580275635,53.18910895668315,C,-32.49993909512292,D,37.437421777993826,A,1
Black,-8.517838447544673,-138.22376195828238,D,B,-220.8303719739471,E,-83.59521511118419,C,A,C,C,-19.697354395337367,-76.03289154857814,C,-129.2894452711362,D,9.760159810609881,E,0
Black,-228.5810353171835,38.033572170692345,C,C,75.6991734033164,C,-139.97990968140783,D,E,D,A,28.977964822290026,-61.292920653827,A,-177.8263278096883,A,-55.39230252967878,D,0
Other,-65.8210444801827,61.25343551538964,B,C,13.9466624428561,C,234.1002649518444,E,C,C,D,-10.813086726010008,-89.74889324787377,E,-117.47332121648222,E,73.78660627042046,C,1
Asian,79.42974168872742,13.468387660723986,E,B,-128.30806203069275,D,66.08360533272358,D,E,C,A,-141.92765140072456,-49.68547044854855,E,22.48304635513205,E,133.63624060637287,E,1
Black,-178.32161768593494,48.64590655701336,B,E,151.14428647795995,C,-91.08699250673293,A,D,D,D,17.30037453452366,-103.02546314103309,D,-80.62669533813892,C,-122.42755312928139,B,1
Other,307.7679199550209,-0.9692334328342165,C,A,0.8816495806118707,D,-45.805349457149255,D,D,A,E,-14.704175074189946,146.62699853625907,C,-118.11397735172582,A,57.42164442413774,C,1
Hispanic,222.83200562572856,-24.82605383398326,B,E,96.00634269736665,E,-1.2146562226806374,A,C,E,E,-241.22448375434053,-45.4863515857134,D,79.02387272404022,B,-196.6615602804061,B,1
Asian,-0.7873186309251292,-37.34086379666567,E,C,-94.47082580411029,A,-151.95393716768842,A,C,D,C,-14.283440249825444,21.311637121719027,D,-27.629479847082177,B,59.52610539112394,D,1
Hispanic,25.96990461886481,31.944543160973637,D,D,-76.96253892330948,C,-119.87005707614153,A,C,C,E,-3.3905864973056485,-5.542317988362623,E,5.756605634725035,E,-72.19886989686638,A,1
Other,172.04521939890887,-41.05220432593172,B,E,-207.7338764179385,D,213.41648036123152,E,D,A,E,102.47323324853934,144.92986685430807,D,-115.58002014627353,B,-35.924952388257026,D,1
African American,-123.62782507464065,190.75113494329247,D,B,-8.511230468949728,A,-92.7887817082082,D,C,C,D,-32.793105396553614,138.00812378509758,C,-100.15118482317806,C,127.14774190018659,A,0
African American,-52.23260353968476,50.435672232519266,D,E,48.169965647487,E,47.276889531038876,E,C,D,B,-135.29648344047806,-94.74586661839362,A,50.30853982813615,B,41.97463013213526,E,1
Asian,44.024649967026406,235.7544444471558,A,D,-10.582384447207723,B,81.51849438811442,B,B,E,A,47.01769532953902,-131.7302288898211,E,147.92632715373284,B,-20.52958397902237,D,1
Hispanic,122.29419939650583,159.12199717995404,A,D,-92.29988896209652,E,83.65114593162752,D,C,B,C,-130.43394237688597,125.74833344923854,B,77.26657881072451,C,-115.75552538849736,B,0
Black,35.40244317754011,192.51614068905957,C,C,18.720911261645508,B,83.54837979899844,B,C,E,B,-12.597518996011148,-76.62693647502257,B,14.347598917690776,B,-39.29772801099312,D,0
White,-140.69973031893252,237.25602015514858,A,C,-81.77130461380399,A,71.16468760290152,B,E,D,E,62.54004599424696,241.82490848143146,B,34.448095151434565,D,102.20624476108449,C,0
White,-59.795168553787846,-40.03593902545883,E,D,105.27789054517001,A,118.15147578801974,E,C,D,A,-24.41659591762634,-5.566423468181996,C,42.12906258568781,C,29.252509451630704,C,1
Black,104.01357479163373,35.82538312342202,D,A,-49.36639234323408,B,-127.31040729377168,E,B,D,E,-2.287639013972296,34.33257015018628,C,157.42548298338326,D,-91.75799989700627,A,1
Black,-153.7427626787744,76.19465568432638,A,B,81.96279216247989,A,-39.04727532015271,B,A,A,D,-62.660350789885044,-1.2462695335501595,D,-114.12355610425311,A,205.1554868183124,B,1
Asian,107.33870731625032,122.02186270720641,A,E,36.7800977509784,C,17.77913619493002,A,E,C,D,-99.8803264318202,67.52566048467216,B,44.37692880798394,B,54.324154140679525,D,1
Hispanic,-28.634542744607185,-182.61608675368691,A,B,8.786259174532589,A,47.842332709499225,E,A,B,D,-5.629634117937867,73.00643748688323,C,-62.04467606709273,B,92.53642178920997,C,1
African American,26.48526046396313,100.04482938246764,C,C,-41.71987903862659,D,49.258657402124086,C,C,A,C,-200.50462508247423,53.41118381550049,C,74.37178623626434,A,32.08220409908763,E,1
Other,31.19162877353146,-62.13989366820234,E,B,7.627059864604859,D,-143.1923831467642,A,B,D,A,-10.433915455299308,-300.951203986686,A,-55.74910042302271,C,21.3165082144143,B,1
Black,-56.007680336567,8.49242253912851,E,E,-53.832761329195954,C,-76.76635469070571,C,B,A,A,-311.71231485484554,-13.123266740726965,E,16.289443183856424,B,116.56542111975352,C,0
White,37.48458093861244,108.21769568087689,E,C,216.82099561576692,C,-156.44053472027116,E,E,A,E,144.53946387205636,-193.28651424384202,E,-21.14313183920877,D,-12.885321947781724,B,0
African American,-120.18071226857985,62.9159515985699,B,E,42.480496571785935,D,-89.4567861414227,E,D,C,D,59.53044334685886,-142.2419759767937,A,28.187861876948915,E,-40.625675882555775,B,1
Black,111.74947181595456,-12.406012886518429,C,D,112.70343187431307,E,34.0737333295667,C,E,A,B,-61.79590590442985,98.127617654971,C,47.79191063367665,C,95.30555313101597,A,0
Other,107.30428819531801,-27.89413023129726,C,E,128.35420274665222,B,-147.98819384357247,D,B,C,C,47.11601227963718,81.60323639844823,D,111.69140537470703,D,87.82530772167921,B,0
Other,-24.187248594932612,139.14924729920762,D,C,-14.799986028564538,D,1.5003274821440789,D,B,C,D,46.72858847908232,64.59638551448973,A,48.01504199175308,E,-43.77327182004334,E,0
Other,111.68599939396908,12.982995488841448,B,C,-79.87060571209298,B,150.47139177898546,C,B,C,D,-138.0812911248991,61.184714508629035,C,-11.084893640759343,C,44.65574863157508,D,0
Other,-10.34579734613746,-41.824029313633496,A,C,71.12501324898366,B,-127.12864880777897,B,B,D,D,-14.710046058592937,76.96208193437008,A,-21.746320046478587,A,-20.596850743585232,C,0
African American,32.88462269059177,10.323478633482374,A,E,-76.11245209076137,E,60.85538488274849,C,D,C,A,56.7320986237176,-83.48141664259472,B,77.99023461446282,C,-43.31256878880702,E,0
Black,-17.302806901812023,140.1984940605974,E,B,-16.38237919553563,D,188.3141523262552,A,C,D,A,-139.9809014495005,-47.74294430775477,C,94.10301292962508,D,-85.13871903290338,C,0
Black,-55.021200746978316,-72.9567568310664,D,D,-91.22031974927017,A,154.90771660630733,B,E,A,E,-143.8473034673354,-47.979446069198204,D,-41.15113787088303,A,-20.932102267931395,D,0
Black,8.902736866383917,-42.383878697568484,C,B,110.62937896975005,B,61.81266666368818,D,C,A,C,-35.87855465990866,58.54548275644318,C,-96.40255993732286,D,-6.353247641980812,A,1
Asian,67.18334921426941,65.0780487841267,A,A,-79.36503763470145,C,201.54360200942185,B,C,D,A,-11.028860996266022,36.9271817257347,A,-180.49779571921215,D,-151.39218131362168,B,0
Hispanic,16.055331067744387,12.040895516461166,E,C,55.19243811525938,D,-14.941158978571451,C,B,B,B,-69.89405326840517,6.604733651521366,D,-51.34254186761814,C,161.40693762551882,C,1
Hispanic,-49.0409216632317,12.426855715495448,C,A,138.1536023997403,B,10.204745000438507,C,D,C,D,156.2051577415633,-34.16732726185877,E,-15.144813234139013,D,154.91234405733877,D,0
White,-4.117519535795721,70.21193147048359,C,E,-86.6682315603289,E,-123.30673659087981,E,A,C,E,-81.64039547270657,-124.90852734210769,C,150.72766386068875,D,50.72803787213937,E,1
Black,2.1607322542657013,36.893955698082316,B,C,23.134443936431175,E,23.342491714582273,B,B,A,B,-130.63666152446532,185.84304203738387,B,-168.61692435652918,D,55.5564818719397,E,0
White,-162.7437619133252,87.74390782737603,A,C,30.840586055197942,B,-9.683845213909944,A,B,A,C,129.8791194805134,-103.7783435387794,E,-84.0353687150183,C,-54.711721389478406,D,0
Hispanic,-68.69324020171985,-15.68609882256007,A,B,-52.94355206386718,A,21.656003150559453,C,A,E,D,-55.87045944083221,-15.077200659938065,B,121.47093064846209,C,78.64000737561956,A,1
African American,47.394920210501986,-197.71069911220297,C,C,-11.337683904827264,A,-24.592637377929353,B,B,D,B,-46.72031630039529,81.6850418021326,E,-32.08731662755771,A,-118.33725258357353,E,1
African American,62.0389703899612,56.42125620958897,E,B,-236.230098098978,A,36.18887869501037,D,B,B,C,63.73517038086401,-35.00473610784386,B,13.633752674480885,A,-69.86119015946628,E,1
African American,129.03335840296182,-72.53661977078136,B,E,11.95501478841123,B,29.607029081184848,C,A,B,E,15.717239439099712,34.69660145383861,E,10.26846368150295,A,-81.30049868632604,D,0
Hispanic,-139.12335806784552,98.07813727004606,B,C,-45.855716533281544,A,47.14763343941141,B,D,B,E,87.83339213742154,114.29402671686957,A,87.58202416234958,C,36.06815779719809,B,1
White,-61.04976898820419,-29.90870647906742,A,A,-61.827048087397685,D,-17.207190096506785,C,C,E,A,-60.345950652912464,48.49702945050577,E,39.03634944190466,E,81.26462703405555,E,1
African American,46.59709651696604,11.413435470624202,C,E,149.4231892348618,C,-173.31408451489867,A,A,B,C,-89.38278437254776,51.52564040624682,C,-103.98173431894465,D,197.72828356429656,E,0
African American,83.91061818363411,115.80097239325875,E,E,-116.07312214278018,A,-98.04547846931175,C,E,C,C,-21.96074468375568,-11.868134562684046,B,-6.205496403951022,C,38.86159130847786,D,1
Other,97.3303006076969,50.56671053743792,E,D,67.95050901644532,B,-231.78706121710388,C,D,A,D,87.07403610371824,-193.97564771565322,C,134.14701959929104,C,-48.772869673930614,A,1
Asian,217.9442625064811,199.41559951456597,D,A,180.92315675185426,C,12.895919712504119,C,B,B,E,83.58190778520377,-113.51371050968481,D,-94.320248255889,A,47.73007545601124,B,0
Black,-91.88410470531012,0.2649326630323918,C,B,-201.7080393917924,C,-24.99453733888076,D,B,D,D,-51.52697627832242,-48.048520015860184,D,45.29009746890841,C,34.884684796722766,E,0
Hispanic,56.809708913869116,24.563809334771143,A,B,-77.84448770806367,D,141.3697524824173,C,C,B,C,-38.577372500724636,93.52314316118678,B,-215.49388569423766,D,-89.42237525015531,D,1
African American,-52.65256126973015,-192.77166558484615,A,B,-28.99264534419499,C,-298.2963391939727,C,E,A,A,44.15951302798241,35.92079832799791,A,-20.75330788395392,C,21.886543523779924,B,0
Other,63.355572983647676,172.60107722563734,D,E,183.5429825888631,B,-65.6375101064747,C,E,E,C,-42.55978112108876,136.51835347911526,A,64.18948595159566,A,148.25261127616912,E,1
Black,34.90859822104712,114.49010618770919,D,E,128.44388284652894,C,-35.44573580703647,C,D,A,D,111.92128349416528,101.94531904075204,B,-2.9540505279984743,C,185.97915173469514,B,1
White,-341.8302369896391,8.188950317162906,A,D,-36.74315232188195,E,-12.623125798183565,E,D,D,E,67.29971175020566,-107.37832418240222,B,-98.70571432797234,D,97.86619064724297,E,0
Asian,-112.6897065195525,-116.17366633221084,E,A,36.74247262987949,D,38.83846902939299,C,D,D,D,-137.5577525039788,-31.179419954097582,C,-41.74024452067038,E,-171.21139413630763,E,1
Other,-126.44804816486142,12.216020499277194,A,D,-5.263511678404456,E,-87.4578594590198,D,A,E,D,99.37788038499265,-96.25114932581442,C,-173.31837393197813,D,11.974800198835519,A,1
Asian,-107.91302671923,270.82378675595464,E,C,-5.319666274510217,D,19.94033665717348,A,E,B,B,-18.183797140919808,34.98089922562045,D,-131.60633595157017,A,-215.13185222435857,A,1
Asian,28.231975714790845,155.76111681980916,B,B,-106.75795761614133,A,-172.80107294715833,C,D,E,B,57.08383075820067,-88.51822996304794,B,118.41150479105218,B,-41.72560072535291,C,1
African American,127.93670060845047,82.2986680543127,B,B,31.79403647810597,D,19.55994559109408,E,C,D,E,-119.8243404676339,73.91666381505306,B,-3.032087473293766,C,110.34763534540375,A,1
Black,13.198198573515393,195.0108224932134,A,B,-19.110397735139934,B,60.98676395501628,A,A,E,A,-31.607474294634724,66.0024423177108,D,51.835155668973286,D,51.711921692358644,D,1
Black,110.27120479699597,45.63168955438583,A,D,108.09652065639102,A,7.199515380420488,E,A,C,E,-75.50160681767237,-109.61083086526604,E,-22.18470559020737,A,93.62194964102085,D,1
Other,27.97320244027326,-76.6599803858244,E,A,148.2970413670602,B,-19.133562333317624,E,A,B,C,44.373483300582755,25.851790281045744,C,112.82638707563251,A,30.64618270380839,C,1
Other,-118.50839492640743,8.680796114158905,C,A,49.79680097570438,A,65.20216656066596,C,E,C,D,-60.16306244305659,34.936919752485025,B,2.4376481988035317,C,30.675126990755725,A,1
White,88.29138951257424,26.47746251563796,D,C,-201.09009789008905,A,61.88014903649675,B,B,A,D,258.0906478909671,16.93128523080695,B,114.8414157786938,E,112.69482934672558,E,1
Hispanic,118.92139730347549,45.2190968223707,E,D,-24.14237046985076,A,-3.6235810850352554,D,D,E,B,-173.77680088901923,121.90165132290738,A,151.5869076147042,A,60.08491660875487,C,1
White,-129.58862368493865,-7.439308849049501,D,D,-92.6934860352582,E,-60.33593118917165,A,A,A,E,-34.556395563453776,-167.54422982786502,E,122.27293769425935,A,-58.25493984678584,A,1
Asian,71.50338882333219,109.42444648161191,C,D,142.58939197850637,C,-105.04493782717017,E,D,E,B,-96.64989098331446,-214.00406150996386,D,214.96946707336545,D,71.54294622417905,C,1
White,-122.67393973658123,-107.40642718788773,D,E,86.33383383656566,B,-109.58088748310632,D,C,D,A,-3.634233758018371,91.21997341741336,D,8.479208710933413,D,74.08803971283515,A,1
Asian,109.8999446063709,-75.51068584241762,C,B,83.5016827325903,B,14.843972005402078,D,C,E,B,98.78494251242714,-98.89311416545054,B,26.248580388735697,E,-30.668228514815425,C,0
Other,-13.61282990179432,-198.95288965658006,B,A,6.847331684953289,A,-101.50151396882625,C,A,B,C,108.87505462861348,41.54359239165538,A,235.66796211726663,A,67.72797887908159,C,1
Other,145.53621045264765,-43.074891332659185,C,B,27.21058803760945,B,142.41901878192533,E,D,D,E,-109.63773958023326,-132.97685364784505,C,-137.9672044745025,E,-24.38378001598692,D,1
Black,-105.62361396516438,-60.3703308342347,D,A,209.37615504003358,A,23.58619513723238,A,D,E,B,-79.77526445260831,-100.50067147111746,C,65.79749963372096,C,40.0850738759934,D,0
Black,-132.53765359380833,37.038347223137066,D,E,58.528171515049735,D,-167.56421568105583,D,E,B,B,-41.54847533383684,-70.05541413293517,B,84.5997038903326,B,174.9020714460957,C,0
African American,79.41337546533545,-15.899974123049141,C,E,116.35033792884299,C,-48.596441451564296,A,D,B,A,61.596836174841606,-69.95596805314534,C,-39.19942379012354,B,-49.53826751820734,E,0
Hispanic,86.81505253461992,-32.161957190391846,A,C,73.06451982712146,A,71.154587475468,B,D,B,D,42.3422754740384,-248.36575906873315,E,125.06564471944499,E,43.40096266752004,A,0
Asian,50.2932297507995,141.38258390428985,C,B,60.46985684204692,A,-26.597841309143117,C,E,A,D,139.45537001031605,137.5828191632839,C,-133.84997433933805,D,-36.20110891946614,B,1
Hispanic,177.23830821286307,-6.429811323389795,B,D,-93.45249166935551,D,60.54473365167789,B,D,C,E,-21.890922065393944,8.88253290859964,A,147.068301212404,A,0.44192040010045675,E,0
Black,99.84348069479853,97.17793329467898,A,C,-17.958911332345675,C,-76.91467888516537,E,C,B,A,-5.358596200069235,-107.12496285284362,C,34.82835551258769,A,9.11969253303566,E,1
Black,-67.50032247680107,-105.05424151237854,B,B,-43.81110566058971,B,111.76361974626656,D,C,E,D,149.42386448865963,54.46797222321072,B,-7.370025950871412,A,133.08603340534597,E,1
Other,71.00829684143619,-101.48852494898426,E,A,98.11378642802006,C,-4.5572264249791345,D,A,B,A,-75.07010652489183,-64.56424038889155,E,59.63741252065472,D,259.8093191655353,C,0
African American,20.718500904094753,53.84308341475719,D,D,122.7966634801668,B,-129.10284056434617,C,C,C,B,-207.37814837107825,163.28829294622778,E,50.85082115655665,E,37.81076453945618,E,1
Other,-120.6632238739425,123.78457282322914,E,D,-57.91254991992994,C,-7.725007874761622,A,A,D,E,-10.173042753467417,-36.354751841873714,D,-39.26422172725884,C,-12.833961824033072,D,1
White,-38.22382726829825,104.0077364024699,B,B,-7.4320731552723185,B,137.59773148926448,C,D,A,A,-53.91302878418792,-87.24626949391775,C,-32.945982130819736,C,17.78857879803144,B,0
White,-59.00062281324207,225.9602107669148,E,A,-6.87239555925308,E,237.73450692412123,E,D,E,C,15.116189173301725,-7.2186603452616005,A,61.76849911510245,B,-104.92936891965601,E,1
Other,19.14923881220233,81.56915715861224,E,C,-87.35113836491692,E,32.369963967309694,C,B,E,C,-87.9209621714068,-6.299578499049055,A,-243.2389307983985,C,143.63078610587314,C,1
Other,-5.706573804591774,-25.29915370484747,B,D,-102.76874752163047,D,-71.40021594993642,B,A,E,B,-2.9009153945942403,-200.90265443471358,B,11.784401128958184,B,89.94522621772624,A,1
Asian,-25.739030961807423,-51.13746292541934,E,D,78.92849962963074,E,57.454936305294304,D,D,B,D,47.00000658410516,-4.732073349833103,E,-10.415856752800703,E,-12.75088132575847,D,1
Black,74.90145407613478,-90.40183926285967,A,D,110.29958782645497,A,-48.359086800982276,C,D,D,B,137.00951917973748,184.5964897352593,E,-28.18646369224338,D,71.98677391381409,C,0
Other,174.75191421698685,107.41300437194725,B,B,45.926134322412835,D,-68.31544936748605,D,B,B,A,-2.48662624336321,-23.636845732928123,B,117.95476203115965,D,96.49431069618035,B,1
African American,-90.000113148241,-45.93159026235932,E,D,28.77877817608211,B,34.42157954573295,D,D,C,B,-18.596485262239877,-115.74082043758031,C,-46.72575900753147,D,-223.6130977257434,A,0
Asian,-111.56246680038315,-112.60729336132351,D,A,45.583019595054296,B,1.4279488514104761,C,B,A,A,-83.32566469686095,-28.77406074497563,A,36.55518959240139,D,-19.629831026679103,A,0
Other,18.669120480037048,-11.514927469236286,B,D,-306.2182157685416,D,-7.194217320904861,D,D,E,C,-33.39041273647784,42.1787838959152,B,-128.68603932896306,B,-48.43309615472075,E,1
White,3.4188971795774092,77.8112705949884,D,C,-4.385552682738143,A,-103.4938239940262,B,D,C,D,-285.3769237050741,83.37695741308413,E,64.61991257810227,C,82.97568285902148,E,0
White,13.946336814311817,70.2639758093462,D,E,-58.61331560512042,C,69.63169678918545,D,B,B,C,-91.58622645638265,-136.9270639088708,D,69.38909243655338,E,-203.41238194062763,E,0
African American,107.79991304834617,230.55410069978737,D,E,-29.834851720417998,A,-8.865113106182754,D,E,E,D,-97.5830081713497,-4.65217924255403,B,-51.29074727277665,E,-149.87395681752412,D,1
Asian,173.05619857775724,-211.9072600454648,D,E,5.666233241495308,E,18.909796611856432,A,B,C,B,-91.21239094104014,-18.219052699659702,E,-15.687431342981231,B,-18.052198882579663,C,0
Other,-184.85971110875926,58.731107246262795,D,A,-63.981023078435975,E,57.519366297904305,E,A,A,A,32.76749133799444,-16.800402189038614,A,-52.90151790696621,D,2.363977884009988,C,1
Asian,114.12603336733105,-133.60667551450746,D,B,30.37165776197407,B,38.60101800540934,B,C,E,E,-251.1847916713625,84.83705423878291,B,-224.80462861281336,A,-33.52460778540353,B,0
Asian,92.31130935551148,-49.597401865850834,E,A,89.86794720595405,A,91.529197017913,D,B,B,B,-37.601592123732495,-130.26189610062048,C,38.831009567208454,D,-97.25272564861608,A,1
Asian,-30.97589510235291,94.65399852401637,A,E,-34.50202122804224,C,41.775251553823765,A,B,E,E,8.510935206714285,105.59557779969685,B,7.465322011660967,B,25.50824000163991,C,0
Asian,-62.90729531904121,148.78997026073483,C,C,25.631680794367135,A,41.22629079314935,E,D,B,B,-53.54503011144327,2.405148117843189,B,95.03066226118817,B,62.553401173395415,A,0
Asian,75.64887773638789,30.65844290670116,A,C,57.917841224873825,B,5.916534647509102,A,D,E,D,105.63366131605119,-13.009436667911991,E,35.16310099895574,B,-37.73781825321677,A,1
Hispanic,34.10383947185001,-41.27233688347405,B,E,51.917402104714405,C,-159.97167296525882,E,C,B,A,4.27332383003302,164.10359354462304,D,17.2874616034558,B,-51.147147097911336,E,0
Black,91.04629658306278,-138.47013678713742,A,E,-36.302461506923564,D,-9.503801293651543,D,A,E,B,102.08190477856883,-164.09338142813138,A,-63.804640693624535,A,92.55166398079031,E,0
Other,14.194890014995401,139.59261542665672,D,E,12.04328854925503,B,135.02377832529484,D,D,C,A,29.44800218740871,183.55565263022262,A,-50.73061308777642,E,12.129261731146117,D,0
