age,religious_affiliation,civil_status,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
47,None,Widowed,F,D,5.956363847303407,C,B,B,-108.8345262357187,D,0
86,None,Widowed,Male,A,71.82505778390812,E,C,A,20.407823508718963,C,1
66,None,Widowed,Male,C,31.74633780538934,A,B,E,118.02012226783773,B,0
48,None,Divorced,Male,A,-45.86141678371506,E,E,E,48.51707584355923,C,1
20,None,Widowed,M,A,31.9979033706229,C,E,B,-187.4563981134004,C,1
33,Other,Widowed,F,A,17.408207673133507,B,A,E,-133.00102592514605,C,0
65,Jewish,Widowed,M,E,-85.4688650688274,B,E,B,-24.470920978127182,D,0
47,Hindu,Married,Female,E,-83.05648776761164,C,A,A,-5.823902878468505,E,1
92,Muslim,Widowed,Non-binary,A,-122.19427244716977,A,C,B,-35.400907293023934,A,0
27,Christian,Single,Other,A,-136.20426935182695,B,C,E,44.75871437260386,B,1
27,Muslim,Single,Other,A,80.77834032512492,B,C,C,-60.92690904063417,D,1
22,Other,Widowed,Female,B,47.46097197757273,D,E,A,26.002141944098355,B,1
18,Other,Divorced,Female,B,53.07061156982441,D,D,C,-122.71381434389914,B,1
89,Jewish,Divorced,Female,B,75.09765722101251,C,B,C,170.50797050798954,D,0
76,Christian,Divorced,Male,D,8.219922468032241,C,E,D,26.256296495660653,B,1
96,Other,Married,Other,E,125.65043139701366,B,D,E,-147.78881218285463,B,0
74,None,Married,Other,D,-62.33441035407369,E,E,C,150.25793104190123,E,0
38,Hindu,Widowed,Female,D,-137.80089454487566,D,A,E,-38.76141401479602,E,0
45,Other,Single,Non-binary,D,-9.316646735137729,C,A,D,48.68806171961296,C,0
65,Christian,Widowed,Male,D,177.0478895563401,B,C,B,19.24751491810979,B,0
39,Muslim,Widowed,M,B,-53.13506257238363,C,B,A,102.60473845079288,A,0
79,Hindu,Single,Male,D,-74.18344974125026,C,C,E,46.995189928851296,E,0
63,Christian,Married,Non-binary,C,-4.201610385760802,C,B,D,130.83536384250934,D,0
76,Buddhist,Divorced,F,E,-78.40506580841824,D,B,B,-21.377470094829896,C,0
46,Christian,Widowed,M,C,80.36757249474272,B,B,D,-70.07314229466597,B,1
84,Hindu,Widowed,F,A,118.98309498929524,C,E,B,-44.01246336819589,C,1
95,Muslim,Divorced,F,D,-203.90030405753063,D,D,C,103.68928860863522,B,1
45,None,Married,Non-binary,E,-152.54006757027864,B,B,D,84.24411598423899,B,0
19,None,Single,Female,B,-16.367241844478436,A,B,C,112.92602837069778,C,1
92,Other,Single,Male,E,38.534930256778004,C,B,A,37.21537958502658,D,1
21,Muslim,Single,Other,E,-31.024967727012292,B,B,D,-34.10764638388207,A,0
66,Other,Single,Non-binary,C,-32.18092038253196,D,A,D,95.48758518102905,E,0
38,None,Widowed,Male,C,76.37907597808223,A,C,A,-54.662511105746816,E,0
36,Muslim,Widowed,Male,E,96.83832517494054,D,A,A,-67.80711181585784,E,1
86,Christian,Married,Other,D,42.047452957201195,B,D,C,126.5890571488033,E,1
74,Buddhist,Divorced,Male,B,6.665578226102821,D,E,A,-84.5211916084427,D,1
41,Other,Single,M,B,-49.00583173135162,B,D,E,29.166747107901376,C,1
69,Other,Widowed,Male,E,70.87542128253511,A,C,E,7.941357444078855,B,1
56,Hindu,Divorced,Other,A,148.47141972048033,A,C,E,15.005185805380867,D,1
52,Christian,Married,M,D,-2.502435266978821,B,E,E,-158.2907273303402,A,0
28,Christian,Married,F,B,41.65672342990688,B,D,C,-52.4560841272249,D,0
87,None,Divorced,Male,E,-89.1007107377886,B,E,A,-112.3611980893142,D,0
26,Other,Divorced,M,A,66.68242092466518,B,B,A,-102.05709540088048,E,0
91,None,Single,Male,A,-101.12032989541208,E,C,E,-21.28182518433604,B,0
44,Christian,Divorced,Non-binary,E,-17.645138936343095,B,B,E,-40.61454018955259,D,1
26,Jewish,Widowed,M,D,-51.99444120170293,B,A,E,-6.053378944059754,B,0
78,Buddhist,Married,Other,A,23.311010221878597,A,E,B,26.053029946637768,C,0
88,Jewish,Widowed,Female,D,137.12510072441665,A,C,E,-86.14448664029372,D,0
82,Hindu,Widowed,Non-binary,A,15.318196260698697,D,D,D,83.61919858508902,B,1
83,Muslim,Married,Other,B,-23.78629227365858,D,A,E,-57.59936315972212,D,1
28,Other,Single,Non-binary,C,-55.65931652165194,E,D,A,137.4193216205997,E,1
26,None,Single,M,C,-6.902938295328193,A,B,D,60.85284311130309,A,0
88,Jewish,Divorced,Non-binary,E,-11.24352983442416,A,E,E,26.77606630381129,D,0
97,Other,Married,M,A,192.23098799840446,C,B,B,0.4963013160196676,A,0
24,Muslim,Married,Other,D,89.30861655020615,A,B,B,-14.431658646078763,C,1
48,Hindu,Widowed,Male,C,-104.16348547172535,B,A,A,140.62049991397936,E,0
69,Christian,Widowed,F,C,-114.29298693713999,B,E,D,60.443769247464715,D,1
45,Other,Divorced,Female,D,-92.67810889628817,A,B,A,-33.47011855555085,B,1
28,Buddhist,Married,Male,C,-29.49159924715048,A,E,D,71.82278841296123,E,1
98,None,Divorced,F,B,-24.001748768820498,C,B,C,-125.15227303485985,C,0
83,Muslim,Married,Non-binary,C,-43.764670281547374,C,E,A,-7.565420107591814,C,1
37,Buddhist,Single,Male,E,-153.0766375965961,B,E,C,-48.08393148585724,D,1
46,None,Married,Male,C,-24.23552280377035,B,E,D,76.71273301282814,C,1
30,Muslim,Single,Male,C,6.511660567660098,D,B,D,-222.99919793817602,E,0
93,Jewish,Married,Non-binary,D,-90.2322743154582,A,E,D,58.07456400360792,D,0
38,Muslim,Divorced,M,A,43.47062348731956,C,B,A,-30.854555764565806,A,1
88,Christian,Widowed,Other,D,-2.3581897057120815,A,B,E,-67.36319294970816,A,0
95,Jewish,Divorced,M,B,5.025847289430219,C,B,D,3.0727605791757173,E,0
94,None,Married,M,E,-75.71176122822133,A,D,A,43.67110530891113,E,1
25,Muslim,Divorced,F,E,-46.06660986955895,A,C,E,14.023697699636845,D,1
53,Jewish,Divorced,M,A,23.615139159669816,A,C,B,-209.33816566142002,E,1
74,Buddhist,Widowed,F,E,46.696325054763776,A,B,B,5.047523874866123,C,1
43,Buddhist,Widowed,Non-binary,E,-89.18839770397618,A,D,A,-208.09348083048724,B,1
86,Other,Divorced,Non-binary,E,-92.01759628866871,C,A,B,-52.8667969062508,B,1
52,Hindu,Divorced,Other,A,207.5780934177291,D,C,E,-23.501539583977355,A,0
87,None,Divorced,Other,E,82.47453445979842,B,B,A,-18.60444948163002,E,0
96,Christian,Single,Other,E,235.80629116440335,B,E,B,50.59035319915336,D,0
57,Buddhist,Married,Female,B,204.26963333131752,E,C,A,102.21256471383977,E,0
70,Other,Widowed,Non-binary,D,-85.94584661747818,C,E,B,-23.869665360797374,D,1
37,Jewish,Divorced,F,E,-154.7081065310384,C,D,E,-184.36192488451653,B,1
80,Christian,Divorced,Female,E,4.3312845386326995,D,E,C,150.19829559965856,A,1
24,Other,Divorced,F,A,178.01420252838292,B,C,C,-45.35706080978753,C,1
21,Christian,Single,Female,B,74.80064534470554,C,A,D,-193.16004724539658,A,0
41,None,Divorced,Female,A,-139.55874650718522,B,C,A,-92.3072796416302,E,0
34,Hindu,Divorced,Female,C,-88.81436799028275,C,A,B,-148.58387744548045,A,1
64,Other,Divorced,F,A,-126.48769391495973,D,E,E,40.21526839567104,C,1
24,Buddhist,Married,F,A,-120.07351362690648,B,B,C,18.314884525981086,A,1
89,Buddhist,Divorced,F,B,27.569618191217714,B,B,C,-97.83846662282197,A,1
53,Buddhist,Married,F,E,-19.731234232674435,B,C,B,54.589772019556726,B,1
35,Other,Single,Male,A,-46.88555960283275,C,A,E,-36.20072748480301,D,1
28,Buddhist,Single,M,D,-395.2047227904909,A,E,C,-92.10649671860209,C,0
24,Jewish,Married,Female,C,47.40710750253277,B,D,A,145.85477203197587,C,0
69,None,Divorced,M,A,21.75657406757381,D,A,C,26.72509491639917,B,1
54,Jewish,Single,Male,D,154.56711195428167,C,A,D,16.348676940772297,B,1
83,Hindu,Widowed,M,A,100.21286533993809,D,B,A,-45.820813788319754,A,1
73,Jewish,Widowed,Non-binary,E,-15.592216851169031,A,E,C,3.185650303086603,D,0
30,Muslim,Divorced,Non-binary,B,57.08850875481715,D,B,C,-45.04141832897162,C,0
64,Buddhist,Widowed,Other,B,112.66832064229332,C,E,C,109.20302221057649,C,0
98,Other,Widowed,Non-binary,D,123.45898874525558,B,C,A,-25.503171434859333,D,0
21,Hindu,Married,Non-binary,E,16.74906619717412,A,D,B,20.687975637484378,C,0
43,Muslim,Married,Non-binary,A,82.17993992747347,A,B,B,-29.369337878323705,A,0
32,Christian,Divorced,Other,B,-140.4297791346536,E,D,C,-165.28259589444534,E,0
61,Christian,Divorced,Female,E,-58.80588360240282,C,A,A,-19.91236628948898,C,1
90,Christian,Married,M,B,62.82075515627594,A,D,B,-100.49014448158256,B,0
54,Christian,Married,F,B,-159.65918872849866,C,A,C,46.87759335457089,A,0
70,Christian,Married,Non-binary,A,-90.37913508637102,C,C,A,-9.847156804107401,E,1
49,Jewish,Married,Other,C,81.3575155008316,D,C,C,36.97610955467066,A,1
53,None,Divorced,Non-binary,A,198.68691555483423,C,A,D,-211.76679961718037,B,0
55,None,Married,M,E,-95.92812320787813,E,D,B,24.81567520543732,A,1
28,Muslim,Married,Male,E,-122.08110402656844,E,D,E,178.89133923448432,E,0
81,Buddhist,Married,M,D,23.61831249022671,C,D,D,-38.33751510891405,A,0
47,Buddhist,Divorced,Male,E,-100.43187639112465,B,A,E,10.849309602052903,D,1
82,Muslim,Single,M,D,23.72694526833451,E,C,B,-6.202607784874543,A,0
63,Buddhist,Single,M,D,22.709817388704376,D,A,C,71.93519947354386,D,0
59,Other,Married,Other,D,68.93073626365715,E,A,A,-126.66630585042782,B,1
84,Hindu,Widowed,Other,D,-28.942982990519937,E,A,C,-24.622678847103487,D,0
71,Muslim,Single,Male,D,-70.39562530656285,B,C,A,-4.151940575094316,A,1
29,Jewish,Married,M,C,-123.26026652724468,B,E,D,52.02428174051733,A,0
46,Buddhist,Widowed,Non-binary,E,41.784620436300365,B,B,E,1.0818851206975466,E,0
49,Other,Widowed,Non-binary,D,-40.28870017579026,B,B,A,180.39467243784193,D,0
85,Jewish,Divorced,Other,B,-95.81135072561521,A,D,B,-114.91133153419287,D,1
81,Muslim,Single,Female,D,-4.103837868373248,C,E,E,9.535663897617095,D,0
27,Other,Single,Non-binary,B,-100.3349663863469,D,A,A,65.36984617725992,B,1
24,Christian,Widowed,Other,C,156.50476932552877,B,E,E,-58.82175472054713,D,1
74,Muslim,Divorced,Female,D,-43.14062791446904,C,B,D,144.66923671631105,E,0
42,Hindu,Single,Other,C,84.0437329435091,D,A,D,44.71232381751765,B,1
85,Muslim,Widowed,Female,D,32.53765208659969,D,D,E,-173.32408893248527,A,0
87,Hindu,Widowed,F,D,120.06809927145603,E,C,E,91.4127678308373,E,0
32,None,Widowed,M,A,51.108765160836015,A,D,E,-89.46094109971324,B,1
57,None,Single,M,C,-33.305160360907884,A,B,C,-54.015005676348515,D,0
90,Other,Single,Other,C,159.67759791835812,C,A,D,15.078999273188396,B,0
42,Christian,Married,Female,A,-24.847135905892245,B,A,B,-78.22459757940882,D,0
62,None,Divorced,M,D,61.63792842401347,C,D,E,-88.63235028351593,C,1
97,Jewish,Divorced,Non-binary,A,-6.419025501477159,A,E,E,-73.99392142351894,B,1
22,Jewish,Single,M,D,41.94966850053803,C,B,C,135.5004211625307,E,1
96,None,Single,F,B,-208.92849378160832,A,E,C,23.028763949827077,B,1
61,None,Divorced,Female,A,32.12463725321037,D,C,E,-51.0797097393385,C,0
52,Muslim,Divorced,F,B,59.226379210484545,C,E,A,114.11421479171764,A,0
18,Jewish,Single,F,B,-37.56914728745425,C,B,B,-46.07918856237152,A,1
54,Other,Married,Male,B,-85.97418986237896,C,B,A,81.03573532791165,E,1
52,Christian,Divorced,Female,A,-58.50202557063029,E,A,D,91.10414740712508,D,1
93,Hindu,Single,F,A,87.6152964222539,A,D,D,45.09100423052403,B,1
73,Christian,Widowed,F,A,-11.052981499876353,A,B,D,-34.300638913274874,D,0
48,Muslim,Divorced,M,C,-70.11635373566445,B,D,D,-4.278384267346589,E,1
67,None,Married,M,C,67.15390548186942,A,B,A,-133.65975112891527,A,0
92,Buddhist,Married,Other,C,-71.33538384659566,D,C,D,70.18976409070828,E,0
59,Buddhist,Divorced,Other,A,-50.49783286076408,E,D,D,10.392061709458225,A,0
88,Jewish,Single,M,E,5.099720384784531,D,E,A,117.62913356906152,E,0
52,Hindu,Married,Other,E,61.34988669260677,D,D,C,-27.683404838611814,A,1
98,None,Divorced,Male,D,53.50219255432814,B,A,E,-114.400898368048,A,1
79,Jewish,Widowed,F,D,41.58104150883243,B,B,E,-104.35103887076464,D,1
19,Other,Widowed,Non-binary,A,-36.76559988287328,E,D,A,-81.4630655871659,C,1
93,None,Married,Male,E,-94.30314807422594,B,D,C,-56.578628297171676,E,0
66,Christian,Married,M,E,19.888954564347408,E,A,C,40.35652339015422,D,1
22,Muslim,Married,Non-binary,B,98.05478050171226,A,E,B,155.24299942793922,B,1
54,Other,Married,Female,B,27.096852186268766,B,B,A,-21.360834296168466,E,0
54,Muslim,Divorced,Male,C,-82.12996054013067,A,C,A,-68.2619557626672,A,1
56,Buddhist,Single,Other,B,-121.9539453361295,B,A,B,65.068566354336,E,1
66,Other,Divorced,Other,B,51.50875122863998,C,A,A,-102.25200492704616,E,0
79,Muslim,Widowed,Male,A,-148.55318296749255,E,C,D,75.75828942248755,B,1
21,Buddhist,Divorced,Other,C,29.591995330383746,A,D,C,-17.810445830017212,B,1
67,Christian,Married,Other,E,-26.27782503850071,E,D,C,87.79203844278237,C,1
35,Jewish,Widowed,F,B,-122.74723928833949,B,A,C,-64.96606390971834,E,1
61,Buddhist,Married,Male,B,162.72761704484233,B,C,E,6.476638064914332,A,1
43,Christian,Single,F,A,-36.45854127612786,E,D,C,99.09205138995722,C,1
75,Hindu,Single,F,A,238.4021576119966,B,B,C,-111.93528760852635,C,0
87,None,Married,Other,E,-29.222802936820592,A,E,B,-155.15274008554377,B,0
82,None,Single,F,C,34.84220982711854,C,A,D,28.69296260511012,C,0
21,Jewish,Single,Female,B,47.71436168287126,E,B,B,-101.96383302965455,A,0
23,None,Widowed,Female,D,-68.36138169976044,C,C,D,63.30187984660375,C,0
22,Muslim,Single,Female,C,-32.183493078856905,E,B,E,97.71450173720211,A,0
18,Jewish,Single,Non-binary,B,35.08633371612962,C,E,A,-68.06531909843359,B,1
87,Buddhist,Divorced,Non-binary,B,-160.50244708622608,B,D,D,3.7626325753308003,E,1
25,Buddhist,Single,Non-binary,C,32.877839286955115,A,D,C,-82.46804040403741,A,1
58,Muslim,Divorced,Female,B,63.87047960300375,E,A,B,29.714366984775754,E,1
22,Buddhist,Divorced,Male,A,-19.30111455954153,D,A,E,100.64282289418816,C,1
47,None,Single,Non-binary,E,-9.407150770640271,C,E,D,69.5545602740412,A,0
69,None,Single,Other,E,81.15645649837876,D,E,E,-98.59923246901874,B,1
82,Buddhist,Married,F,B,-13.946893349262904,B,B,B,-224.90217988074713,B,0
74,Muslim,Widowed,Male,B,183.77951890166543,A,B,E,-92.01660466147679,E,1
18,Hindu,Married,Non-binary,A,22.464956001615406,D,A,A,-86.42395257246778,D,1
71,Jewish,Married,F,A,73.30036862271831,D,B,B,37.99481231031556,A,1
90,Christian,Married,F,D,30.830990546340214,A,A,A,197.85636981574427,E,1
67,Muslim,Single,M,C,-15.697977665542446,E,A,D,-26.724205293962044,A,0
90,Muslim,Divorced,Other,D,133.7069368557317,E,E,A,16.47052216358294,B,0
61,None,Single,Other,B,114.95689850010666,E,E,D,-27.479181551848832,E,0
69,None,Single,Other,B,-210.75283479333012,D,A,C,100.69600462162258,C,0
31,None,Married,M,D,135.01803669365887,D,C,C,25.467631645760587,C,1
58,Muslim,Single,Female,D,53.89754582293833,D,B,D,-54.19867008056297,D,0
26,Buddhist,Single,F,D,-43.05907452301071,E,C,A,91.4059737963637,D,1
31,Other,Widowed,Female,E,160.7631714939313,B,B,D,26.128572827521936,D,1
23,None,Widowed,Male,D,-17.723512911107335,E,B,D,278.0744720195302,D,1
30,None,Divorced,F,B,-18.45351579294776,A,B,B,-19.145862481865084,E,1
75,Muslim,Divorced,F,B,-192.07292253784246,E,D,A,56.807564066250904,D,1
56,Hindu,Single,Non-binary,C,-9.767055966257828,A,E,D,146.7368871323301,B,1
96,Buddhist,Divorced,Female,E,-8.709095539790159,B,A,E,-82.89671189499931,E,0
83,Muslim,Divorced,F,E,7.103045422826085,E,E,B,-5.619524271438982,E,1
67,Hindu,Divorced,M,E,37.27082968776595,E,E,B,61.309460835158546,B,1
51,None,Single,F,E,-113.96897706488029,E,A,C,108.63913754861908,E,0
63,Muslim,Married,Other,E,20.22529829398312,E,D,A,34.794356270882886,B,1
46,Jewish,Divorced,M,D,-92.47304215629232,E,C,A,-148.49384333581477,B,0
20,None,Widowed,Female,E,122.12899462968596,B,A,C,1.5297608515104417,B,1
72,Hindu,Divorced,Female,B,15.499075587214092,C,D,C,-72.32522832674793,C,1
79,Christian,Married,F,D,-104.91145581173053,D,B,C,56.104142715053705,A,0
78,Other,Single,Male,D,37.351851835463776,D,C,A,-91.27318462723551,E,1
35,Christian,Married,Non-binary,E,-47.83402910086312,C,B,C,127.15840050257503,B,0
52,None,Divorced,Female,E,-151.47539484871245,D,A,B,-249.76535382274773,D,0
50,Other,Single,M,D,20.96772153516863,D,A,D,-33.50995808099609,C,1
98,Hindu,Divorced,Non-binary,B,17.188359155934734,A,A,B,-41.15777004974459,A,0
85,Muslim,Single,Female,D,109.155294630145,D,D,B,-70.2625060652202,C,0
25,Christian,Married,Other,B,42.045831089777,D,E,C,-28.683671926919622,D,1
20,None,Single,F,E,-196.47186221409316,A,A,A,16.10425687228833,E,0
89,Other,Divorced,Female,D,95.71401594141982,E,C,A,-127.1319614430023,C,1
35,Buddhist,Single,F,C,-100.15859305715212,E,B,C,-40.5448782733608,C,1
70,Hindu,Divorced,Other,D,-140.22502502260954,A,E,A,24.638233961242324,B,0
71,Muslim,Widowed,F,E,-14.293469107896007,B,B,B,1.4219918401467284,A,1
21,Jewish,Single,M,D,-161.0585855695551,B,A,B,20.982080938348574,D,0
43,Other,Single,M,E,-125.6660256082678,D,C,D,-121.73615517322006,B,0
76,Muslim,Single,Female,E,-84.75001264371065,D,B,E,0.6667899027299221,A,1
21,Hindu,Single,Non-binary,A,-20.573952694168597,C,E,A,-116.94864271780241,A,0
90,None,Married,F,C,15.614397305781988,B,E,E,-37.53505211997927,E,1
45,Jewish,Divorced,F,A,-122.92021468802055,D,A,E,-149.68874588428076,A,0
52,Other,Single,Other,E,49.6450934157731,A,E,C,135.7619366866266,B,1
74,Muslim,Married,F,A,90.70939666289955,D,C,E,-118.0165152844328,C,1
73,Buddhist,Divorced,Other,D,34.77996813977266,E,B,D,-43.39861912511716,C,1
96,Other,Widowed,F,C,-97.24408093509133,C,B,C,-77.73025881416491,C,1
18,Other,Divorced,Male,D,-112.24930162293742,B,C,E,-197.83301944627755,E,0
20,Christian,Widowed,Male,C,43.36289334797046,A,B,E,-147.40264016029874,A,1
82,Jewish,Single,Non-binary,C,-19.7979867319005,C,D,B,-79.17148637420752,A,1
42,Muslim,Divorced,Male,C,-134.38049844150493,D,D,E,189.98785113571032,D,1
95,Jewish,Married,F,C,-138.43367088269258,C,B,E,85.20900167066995,D,1
37,Buddhist,Divorced,Female,C,-93.5353429790571,D,D,B,178.6270312275969,C,0
67,Hindu,Single,Female,A,-20.588949093353502,E,C,C,106.89062225960267,A,0
37,Other,Widowed,Other,E,6.903816980086786,E,B,E,221.75970145232537,A,1
66,Christian,Married,F,B,174.69014697052137,C,A,D,-48.4487098261918,B,1
43,Hindu,Single,Male,C,-65.13141755073404,D,C,C,4.073595433446863,B,1
48,Hindu,Married,F,B,-36.736023015623196,A,A,B,-197.21363040454648,E,0
44,None,Married,Female,C,62.39184032939355,C,A,D,-89.0888389455028,A,1
61,Buddhist,Single,F,C,-199.26485301020327,D,C,D,52.965081090998275,E,0
69,Jewish,Married,Female,B,-18.14035397458377,D,B,A,63.52387000152385,B,0
31,Jewish,Married,Male,A,-43.575360870651394,B,C,D,-84.9281575974933,B,1
25,Jewish,Single,Other,A,-94.14145457554324,E,A,A,29.069905221453475,A,1
49,Muslim,Single,Male,D,-38.12408877088433,A,D,B,-122.1846647136696,D,1
89,Buddhist,Single,M,A,-43.12439893487204,D,D,E,132.89226622293035,B,1
79,Christian,Single,Non-binary,C,-78.16670753790657,A,E,A,215.42505543140228,D,1
44,Christian,Single,Non-binary,E,120.47884916021229,B,B,E,124.47339881190315,E,1
56,Hindu,Single,Female,C,-150.39469248478247,D,A,E,28.46535680377333,A,1
58,Muslim,Single,Other,E,-83.43808930275468,C,E,A,61.97521298975366,C,1
90,None,Married,Female,D,84.70498080199064,B,D,D,210.3848012448464,A,0
28,Other,Married,Female,D,-13.555662300302174,C,B,E,34.80971703717654,B,0
65,Buddhist,Married,Female,E,-209.01795764794414,B,A,B,-66.29289422680932,A,0
95,Christian,Single,Non-binary,E,-23.27855891164928,C,D,E,43.86842311759872,A,0
84,None,Married,M,B,-28.40377225630844,E,D,B,-79.19703119842187,C,1
73,Other,Divorced,Male,E,-95.62059156879783,E,C,E,-9.309726657092519,D,1
86,None,Single,Female,C,-21.82675004720332,D,A,C,54.401606416512124,C,1
49,Buddhist,Widowed,M,C,-97.54939234234341,B,A,A,10.215354220276792,A,0
57,Hindu,Married,Other,D,-76.41059831230427,E,C,E,63.24815338076314,B,1
49,Jewish,Single,Other,B,65.40571452807819,A,A,C,-33.876340034906285,B,0
58,None,Married,Female,C,-53.66822756560576,D,D,A,30.12501338331839,C,1
21,None,Divorced,Female,B,-98.61718533719433,A,C,E,64.58615001835868,B,0
95,None,Widowed,Male,B,233.54562730218387,B,E,C,112.82726212918159,E,0
24,Muslim,Married,M,C,11.780621837981817,B,A,E,-189.98618894064128,B,1
65,Jewish,Married,Non-binary,B,31.185770732026164,B,C,B,46.303146494310674,E,1
41,Muslim,Married,Non-binary,E,-174.5019760501773,E,C,D,-181.17662498795625,D,0
84,Other,Widowed,Female,B,-27.794785096209857,C,D,B,26.30338795739524,C,1
25,Buddhist,Married,Non-binary,D,-14.887368325570838,E,B,B,-21.62935035306163,E,0
24,Jewish,Single,F,B,-37.57586146810581,C,B,A,179.67139309883927,C,0
73,Other,Single,Other,A,63.64079920245273,E,A,C,-31.226539658798096,A,1
60,None,Divorced,F,A,227.9250680231555,A,E,E,92.46235679623508,E,0
94,Buddhist,Single,F,B,70.13444385593431,B,E,A,151.569478998854,A,0
91,Hindu,Married,Other,B,-111.12853261612696,B,D,B,-5.9187274337410924,A,0
33,Jewish,Divorced,F,E,-32.35308536923884,D,C,D,90.66427105691147,D,0
60,Muslim,Married,M,E,140.10915484344676,D,C,E,36.77862950168154,D,0
55,Christian,Single,Female,C,-89.94123731094709,E,E,C,-80.35193649405407,B,0
29,Christian,Divorced,Non-binary,A,19.14772131196079,E,C,C,-10.071146197367597,E,1
29,None,Married,Female,D,81.17507971666728,B,B,C,29.472434988500222,B,0
73,Hindu,Married,M,C,95.15381187187978,C,C,E,-5.614619307702624,D,0
96,None,Single,Non-binary,B,-72.88618234584399,D,B,E,-82.45405961685508,C,1
26,Other,Married,Other,D,-57.10739569631568,D,E,B,74.9333333160465,C,0
86,None,Widowed,Male,A,-71.94478486132134,D,D,C,4.438341728674838,A,1
87,Buddhist,Single,Male,B,-47.81967188905947,E,A,E,41.96634121768237,C,0
53,Jewish,Single,M,A,-59.699361038946144,E,E,D,-83.69198915645495,C,0
91,Buddhist,Married,F,B,132.79001861263717,B,E,D,94.19994853673029,D,0
85,Buddhist,Married,F,B,-76.03721394715038,E,C,D,4.209659657941301,C,0
40,Christian,Widowed,Non-binary,A,-167.04018751103968,C,D,B,56.28925770682657,E,1
94,Buddhist,Married,F,D,91.35630984526186,A,C,B,-50.291750634052256,B,1
44,None,Married,M,B,-78.33201808491154,E,E,D,85.85287270690792,D,0
77,Other,Widowed,M,C,-135.17429680135157,B,C,A,-53.302590183536495,C,1
78,None,Single,Female,C,85.68022677997085,D,D,E,78.10174938621905,C,0
29,Christian,Divorced,M,E,-55.084903274297425,E,C,D,372.3098497706371,A,1
21,Buddhist,Single,Non-binary,C,53.78032689413516,E,C,C,-17.32770138027999,C,0
85,None,Single,F,A,91.1243535532978,E,B,C,-54.58902353094032,A,0
59,None,Widowed,Other,E,23.344423045805218,B,D,A,-78.74999724556807,A,0
55,Hindu,Divorced,Male,C,-201.3615356864564,E,E,D,-81.34805445160602,A,0
84,Buddhist,Divorced,Male,B,-207.25906420466217,E,C,A,30.26833928949631,A,1
77,Other,Widowed,Female,B,-168.59842967376898,A,C,A,156.59076312305834,D,0
74,Christian,Married,Female,C,16.622571828023478,B,D,D,3.13586674694022,A,0
83,None,Widowed,F,C,-210.06422694016783,A,D,B,-99.52194162506332,E,1
24,Christian,Single,F,C,-25.921968543278677,A,C,A,245.2963195826958,C,0
55,Buddhist,Divorced,Female,E,-15.535487982604055,A,A,A,80.1672087827175,A,0
54,Hindu,Widowed,F,B,-1.2934995929467061,E,C,A,-83.825411536555,B,1
26,Jewish,Single,Female,D,-78.39003049366544,D,A,A,16.08469058707067,A,1
47,Hindu,Divorced,Non-binary,B,-191.33396847574454,D,B,D,-93.48365840367629,C,1
92,Buddhist,Widowed,Non-binary,B,79.38114380558467,A,D,E,8.054458276621498,A,1
