disability,SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
No,Male,A,B,-2.0636821588764556,-72.11220676981935,-136.43462413292,A,B,B,D,-61.243398357655664,E,1
Yes,Female,B,E,-127.2867801385815,113.80357923664286,-92.26404565030272,D,E,A,A,-111.83794429388865,E,0
Physical,Male,C,E,21.32180222780992,11.149049733135648,70.0927790667378,E,E,A,B,103.47078849026916,E,1
No,Male,C,E,32.799055645674244,91.25091629398815,-40.566246649613326,D,C,A,D,-4.324077866425015,D,0
Both,Non-binary,C,B,7.992703326008489,28.004110311970244,-71.92741213675794,C,A,E,C,140.02831387382605,A,0
None,M,C,E,150.54293977156073,28.869176291515302,109.18362497468542,C,D,D,C,46.73703814201944,C,0
No,Other,B,B,21.491775309616056,59.92839419850606,29.034917525188042,C,E,B,B,36.60776986531875,D,0
Physical,F,B,B,116.91020915890695,-7.006810515227933,-16.42243213172874,C,C,B,C,-20.348617178971303,B,1
Mental,Male,A,D,70.39370946039713,29.015864210856492,161.66607235887042,A,E,A,E,49.88907324048093,E,0
No,F,D,B,-36.44497324264853,91.63960741368133,-49.72706118294912,E,C,E,E,-109.3841666837764,E,0
None,F,A,D,-9.923061848982842,148.22186832079564,-76.77650405962916,E,A,B,C,242.9954493833041,A,0
Yes,Male,B,B,28.967623507957853,-124.65079206367304,-133.3525240625655,B,D,E,D,69.8285264434979,B,1
None,M,D,A,4.542067642631337,119.37986674246403,110.62383985875198,A,D,E,B,52.05421085503568,B,0
None,M,E,D,-61.33279270427301,12.162303892217833,-196.0406265113094,B,D,A,C,54.464166023126445,C,1
Yes,Other,D,E,-8.725094851645448,103.1804109653432,79.61868386858806,E,D,D,C,-95.26722612727329,A,0
Physical,Male,D,A,80.40965847866663,-27.027892428783456,141.80425865589754,D,D,B,B,67.04032118852874,D,1
Yes,Non-binary,C,A,-8.724846287298186,-61.477292445222595,-35.97186011093266,D,C,C,A,37.29806260925213,A,0
Physical,M,B,E,-93.49631092547519,54.34281768125645,-35.11883871666677,C,A,B,D,-46.58583091621688,D,1
Both,M,C,B,145.42840615108267,-116.38062696275607,-133.57932543829966,D,E,C,D,-70.336091101197,A,1
None,Female,B,A,132.4128954143955,91.78188766598196,-157.06387183127802,D,B,D,D,-116.22958072779291,A,0
Physical,F,D,B,26.533587349306924,198.12145070824977,-76.32526498601612,E,B,D,B,30.0377376084745,C,1
Mental,Female,C,E,-127.55317232516519,11.254593185764305,68.17546699445919,A,D,B,D,52.033206396069865,E,1
None,F,D,E,40.78998308145135,63.111857108679814,-70.6108712283113,C,B,B,A,-17.70174564118289,B,1
None,Non-binary,C,C,-116.55128233047374,66.52192706909061,117.86381629081023,C,D,E,A,48.3246952051409,E,0
Both,Other,E,B,-16.723848207179078,13.028759622288035,-66.89933937833668,D,C,B,B,-89.71703960616101,A,0
None,Female,E,D,-31.182080763607562,-37.66256118940885,37.43730109605249,E,B,A,C,29.229881395855912,C,1
Physical,Female,B,D,-41.89205445804923,-150.7836302093011,22.77047853936103,B,B,D,B,-13.231967686359164,A,0
Yes,Male,A,D,-19.0926647533162,-217.72758469083425,42.581507290363355,D,B,B,D,93.5894268512059,B,0
Both,M,B,B,4.994571830032884,-109.19919412121956,-158.33379659896977,A,B,B,D,-92.08282168003056,E,0
Both,Other,E,D,216.66812184602898,30.396496499705027,64.7864928564424,A,C,E,C,35.14683562378217,C,0
None,Other,C,C,-79.15423381650363,142.85349345729455,7.295660346925133,E,C,C,E,-129.21828849610094,A,0
Both,Other,E,B,-259.50994687302375,-53.52067029281981,14.663861847391985,A,A,B,E,51.74642441110282,E,0
Mental,Female,B,A,146.28713937195576,-125.75061784723675,13.604147992782591,C,A,E,E,114.41028559615273,A,1
None,Other,B,A,-94.57621368675474,-137.45847695173862,-113.56294508988059,E,B,B,E,89.03251484553937,A,1
Physical,Other,D,D,108.00277034422554,-151.55324609537112,49.41511341429963,A,C,E,D,27.168805905914823,A,0
Both,F,C,D,-21.972036151413572,-46.787330204105025,-42.00913214673265,E,A,C,A,-27.129031021249272,E,1
No,Non-binary,C,C,47.60575687249874,-86.45052976738025,1.6182746656556064,E,E,A,A,4.322473460398148,A,1
Physical,F,B,A,58.94052566489475,-83.40182368023416,-55.67434230299321,C,D,A,A,-11.579083840626328,D,1
Both,Male,D,D,-10.044996225049223,-53.28678512972706,28.858187925164998,B,D,A,E,6.917373675699122,A,0
Physical,Male,C,D,-85.30380744347256,-22.840950273855242,-20.580237073459376,C,E,B,B,71.19552596340894,B,0
No,F,A,E,55.77780971463999,2.3581323713643365,-49.81461331225014,B,C,E,C,-180.81203010109527,C,0
Mental,F,A,E,-2.637590811807288,-63.715979484869365,-57.42401149378337,C,B,D,C,36.40718903865297,B,1
Mental,Non-binary,E,E,-10.448192003427307,231.95052703559708,-221.50715527632147,D,A,C,A,-46.33104502952213,E,0
Mental,Other,D,B,19.645604646981283,73.9433989066813,-121.8303842522143,C,D,D,A,94.57807239776267,A,0
Yes,Male,D,C,22.042444365978508,180.75011815694694,152.62647717098554,A,B,E,D,-101.0845734747263,B,1
No,Female,B,B,48.003431166107845,59.15003162502539,159.23247546143224,C,D,D,E,93.92807013863019,E,1
Both,F,C,B,31.807967868467525,183.1797745026063,-137.53044482585105,B,B,A,B,-175.67202921205464,C,0
Both,Female,C,D,-122.69157998988844,-25.004228235205712,118.94572562542156,D,E,A,C,-0.724042079805881,D,1
Mental,Female,D,B,69.79391726494711,55.76579840226188,-149.9283695200203,A,B,C,E,76.23597597802319,E,0
No,F,A,B,129.48274770179614,83.81367935888969,-17.32365670193157,B,B,A,B,39.43435708654478,E,0
None,Female,A,C,44.645903231733456,117.08035951940228,-57.16380483320622,C,A,D,B,-44.594290330882636,E,0
No,F,A,B,-173.61798193970918,-51.44537672762331,-12.945171493898943,D,A,E,C,-58.426502794570325,B,1
Mental,Female,D,D,-83.37426214898697,-117.68699811576707,88.08740125108908,D,E,A,E,-9.512169935785385,D,1
Physical,Other,E,A,4.888924599391556,-87.6685389194185,37.26344986842075,E,D,E,C,-113.30148649426694,D,0
Both,F,C,D,-20.613478533272467,-207.8168725149164,26.701211040179977,A,D,C,A,184.37017065579394,C,1
Mental,Non-binary,A,B,-85.86047424006344,-111.99079220574184,87.6729965450957,C,C,A,B,-114.63352562810036,B,1
Both,Other,A,B,-51.54407080714164,135.5438688915983,117.64180181520842,D,A,D,A,-63.92736299102769,C,1
No,Non-binary,E,E,-104.45856990371966,29.22990203498348,16.297811558287385,E,C,A,A,26.66983097575931,E,0
None,Non-binary,D,E,32.44421527681457,67.75002241369033,-90.43139915749741,A,C,D,A,-114.44712180432795,B,1
Physical,Male,C,C,117.8277479378784,187.6104155097196,116.43862983006055,B,C,A,B,32.007289769198586,E,1
None,Other,B,D,167.1290746253875,135.59236127520575,89.93143177419537,A,B,B,E,97.58944222979419,A,1
Both,Female,A,D,-10.233760985311832,-17.89215159185077,-202.85524760742857,E,A,B,B,-49.72127550475393,C,0
Yes,Male,A,E,134.3488610205265,63.098444583463476,117.91050879767147,C,A,C,A,-40.947091400420064,D,0
None,F,C,A,13.848149122052122,90.1763637335118,12.044140350459207,E,A,E,C,43.26583635088121,A,1
Mental,M,E,C,-199.39288520065256,5.997195371463236,85.06338865026383,B,E,D,C,-157.2102385548729,B,1
None,Female,A,D,-42.327064630957565,-126.81475236613116,-240.14025293598684,E,A,D,C,-75.27673538086206,B,1
Both,F,D,D,-154.4591966787432,-56.273300148207326,-205.38294277976124,E,C,C,D,-38.363100297777756,B,0
Mental,Female,D,A,-130.47479534886827,46.5797862845756,-28.55057718221092,D,B,D,D,63.65722821222095,D,0
Physical,F,E,E,-37.11416671007991,42.03284918000924,4.532343028042506,E,D,C,C,-254.00662873016668,B,0
Mental,M,C,C,-78.69827491603391,61.0138438602707,71.67003440838229,C,D,C,C,-133.1079185872474,C,1
Both,Female,C,A,106.00664351741567,-11.968606314967175,194.96582760811032,E,E,E,B,128.0055272221153,D,0
Both,Female,B,E,-120.38782232271434,227.57452677916285,100.60639679263328,C,A,A,E,30.253325900750465,A,0
Both,M,D,E,54.243927653258424,44.39928013544158,-25.846986605694166,E,A,A,D,-189.0870191143351,C,1
Both,F,B,B,88.52129354281467,75.93763269711434,80.8669662385859,E,D,C,C,120.72059387300573,D,0
Physical,Female,B,C,-33.58855620619525,-103.87492386845034,0.8472094306909419,C,B,E,E,75.26066741284879,A,0
None,M,B,D,-158.00162518219324,-44.62541077641905,20.019463556603593,D,C,C,B,-161.24713993974663,C,1
Both,F,D,B,113.22725530004209,-110.03862094684793,4.23263283242016,B,E,D,C,58.8367375073943,E,0
Physical,Other,A,C,178.7632745512275,122.33789277446643,-6.810913923131626,C,A,D,D,93.4602006269816,C,1
Mental,Non-binary,D,C,-28.01087147501716,80.00622951592399,101.42661008079659,E,E,E,B,182.3774872130579,A,1
Yes,Non-binary,D,C,-8.891401652360765,19.902036045923836,83.99928154361305,C,D,C,B,-154.04237753570266,D,1
No,Non-binary,E,A,-215.52976235929515,-178.44546518350458,-78.97951977910648,B,C,A,B,-24.925525275429134,C,0
Mental,M,D,A,147.4947935152893,-186.42639828229665,63.302496712008136,E,B,E,D,40.789352318079416,D,0
Both,Other,A,A,77.97537536150818,-106.30547672615127,40.51523107828358,E,C,A,C,-18.742816414182663,A,0
None,Female,A,E,-68.72710385995931,-179.17026589240777,-43.4033777220309,A,B,A,E,126.61615834939661,B,0
Yes,M,D,D,-10.583706055875371,-107.40431377839406,-47.60528348551536,A,A,D,E,5.9430817219219865,A,0
Both,Male,C,B,-46.200069913137355,10.035733994154233,33.35693465129083,C,A,C,D,173.29534263944944,D,0
Yes,Other,B,C,250.99928343208552,-229.11842195147906,-165.94955214147106,A,A,B,A,-192.5489092981297,A,1
Physical,Other,B,D,137.75277579720085,147.31505571844045,-69.44333667340538,A,A,C,B,19.476711864366596,A,0
Physical,F,A,C,156.54962120635264,-226.67703980960968,88.77386265315732,D,B,A,B,62.66476352385407,B,1
Yes,M,C,C,87.74825350452976,8.46222806224503,-86.42881396690657,C,B,C,B,82.83655879953588,B,1
Mental,F,E,C,15.497101272306763,-58.924429986057056,-4.436088284434083,D,E,B,B,47.971600244427016,A,1
Mental,Other,E,A,-77.06814091968472,-10.666004617519922,166.00731108898762,A,D,A,E,45.51726771444498,E,1
No,F,E,D,-95.7656852093644,-130.11000581271023,-114.74488818135615,E,B,A,D,95.57158665807945,D,0
No,Female,E,A,-99.66698572423252,-131.93896880115238,-106.9810223689338,D,C,A,C,-34.248935540270494,A,0
No,Male,B,C,61.43257682125491,156.4964456037975,63.343529968731715,D,C,B,C,29.458530480709662,E,0
Both,F,E,B,44.401259153094,-158.80407510665833,-48.02312843288556,D,B,C,A,233.6332601340309,C,1
Mental,M,B,D,-87.77981278438524,-134.6327551689527,28.278752344080623,B,A,D,D,32.45813565663962,C,1
Physical,F,A,E,-184.04026500855753,154.82013473773603,62.518183158886444,C,D,D,A,-27.286270145019646,A,0
Physical,Male,B,D,55.3197770257743,-273.5927416839319,111.54807376406957,D,B,B,B,-53.71339351764545,C,0
Both,Male,D,D,-4.7374023629916975,-76.13285732508594,94.3413293041708,D,A,C,E,-163.7427060742441,A,0
No,Male,E,A,2.102521675228938,-65.43419275613515,42.22440638484494,A,D,B,E,-95.37754855801144,E,1
Mental,F,E,A,-210.15077532111457,-31.691554148170088,-56.59218528001701,E,A,C,A,-4.967047729541389,D,1
No,F,A,E,88.7644960458584,65.40362737543961,-131.3853073348777,B,D,E,A,-120.40072687929128,C,0
Mental,Male,A,D,100.35741549107411,-115.63753047429437,-80.14066642008719,A,B,A,C,-61.67000690770872,C,1
None,M,D,B,17.046585391454748,81.95137538742613,-38.25294810757616,C,B,B,A,6.521127134272275,E,1
Mental,M,B,D,-8.03468928977739,-111.899323203195,-233.62108563494223,A,C,E,D,23.847823039258973,B,1
Physical,Male,C,D,-53.443929172526175,-162.61041751675828,-156.06584677515707,A,E,C,B,60.131639736781096,B,0
Yes,Female,B,E,39.39935255789961,-63.71291919242971,-16.810753811896852,C,D,D,C,-98.70909073086082,B,1
No,Male,C,B,177.6784767985836,-21.310729175013808,210.0265897729474,D,A,B,A,45.94954057209199,E,1
None,F,C,A,9.258119055101867,-107.81009097555898,-47.3099541773226,D,A,D,B,92.74140474653689,C,0
No,Non-binary,C,E,-219.12873603102466,55.171966446200415,76.99845429393217,A,A,E,A,165.41056443562348,C,0
No,F,A,D,101.26542134174818,-23.27572806267561,-126.28865245591552,B,A,B,C,-24.600968358671622,B,1
Physical,F,E,E,-59.120220700524925,214.83449718733732,86.5212731224806,B,C,D,C,6.673922289899617,D,1
No,M,D,C,-24.06031813763668,-61.14651257684982,-51.224378559134024,C,E,D,D,-93.83199616432948,C,1
Physical,Female,B,D,96.04709616734777,20.671352306968583,33.63599315111286,A,C,D,E,-96.74093036433088,D,0
None,F,D,E,-27.61207024021253,-86.95980468972566,-87.4129381845713,B,A,A,E,106.79849786913829,D,0
None,Female,C,D,53.959454575559505,84.73972432369663,-19.352625401585076,C,D,C,A,120.2335376690876,B,1
Mental,Other,D,A,198.95840994764004,363.33014022871265,38.15122056684632,B,D,D,E,75.61184362134897,C,1
Physical,Other,E,D,2.719954976401359,14.60366981496952,85.49811607983673,D,C,E,D,101.62639073817006,A,0
None,Non-binary,E,C,-132.7532348924817,-2.183435431243388,-124.2577203951837,B,E,C,E,35.06167805656119,A,0
Both,Female,A,B,-103.31809511374128,-56.11273746704435,-126.76740898505527,A,E,D,B,-7.6717204806503165,E,0
None,M,C,C,73.47194039492574,-136.5586339553988,84.38997221760043,C,E,A,B,-36.2668609960769,A,0
Mental,Other,A,E,-130.9657112729897,283.84973945099546,43.257140868299345,C,B,E,C,-22.412503272707283,B,0
No,Male,E,A,4.7501585606615,111.1948786733114,0.9841938280116866,C,E,A,D,-30.86779759416575,E,1
Mental,Non-binary,A,D,-36.904668388381495,-81.77226118028747,-66.0234041494414,D,A,E,B,203.3679682129685,E,1
Yes,M,B,D,94.30836608079626,87.24899351305044,34.11021894157117,A,D,C,B,80.14262546712305,E,0
Yes,Other,D,C,-84.62347877198411,-39.77716533698176,12.74095343608207,C,B,C,E,-15.714142290560257,E,0
None,Female,D,B,-239.26904808692169,-49.48108956867945,-91.97901755077046,A,E,C,E,-72.27916367198375,D,1
None,Female,D,D,-50.60125285477961,-17.577536444483773,253.8710017443929,E,E,A,B,157.70819480982243,B,1
Mental,Female,C,C,-28.928328742072974,197.58707301545806,35.37304821097296,D,B,E,B,-132.43094469441655,C,1
No,F,D,D,-6.54016171802603,-154.02839753187024,68.47675599183866,A,B,C,C,65.23929856159198,E,0
Both,Male,B,E,-93.3526848608365,57.9556394421183,-44.35523347275064,A,B,A,A,-151.9926355642825,B,0
Yes,Male,C,E,147.18686681150228,-9.58662922564108,-27.565320744623612,C,B,D,E,172.42111522108874,C,0
Both,Other,A,B,113.24972509231557,-17.39740793284868,-91.01378095887902,B,C,B,B,143.20493232525357,B,1
Physical,Non-binary,C,C,-58.113623709600624,-36.66246408201196,53.00972820219957,D,B,E,B,52.933197223714245,C,1
Mental,Female,B,D,77.35757339076828,-194.5542393717298,-54.70874634754295,D,A,C,B,10.840808832060889,C,0
Mental,Other,A,C,-155.21990022901184,83.90651972813261,193.85699330132113,A,E,D,D,-0.9871275790672065,B,0
Yes,Male,C,B,63.06090417641561,-24.101693228737087,168.21638799908317,E,A,A,A,-52.599599320036184,D,0
None,Male,D,E,158.26495974273388,63.35590255965619,-125.99143330851825,D,E,E,B,163.63100980029682,C,1
No,Male,A,B,92.89000105372023,-4.454568430508907,33.83659889867745,D,A,E,A,227.71730601739418,A,1
Physical,Non-binary,C,E,85.45610603701061,21.568010333894012,-50.42750135222636,E,B,D,A,14.17908433400942,D,1
No,F,B,C,53.757727945076105,17.828200710138255,44.76745703916935,B,A,E,E,44.51865023223974,B,1
Physical,F,C,B,59.77367441199664,-126.08472688397285,-40.81986164589459,B,C,D,D,206.7372244869657,A,0
Yes,Female,B,A,36.85281187303543,-194.1037749873317,-77.2900432474335,B,D,B,B,28.883642220549905,C,1
Mental,Other,B,D,62.13244486859186,59.630790177576145,-43.60570800939622,A,B,A,A,-142.09045239732183,C,1
Physical,Female,B,C,-96.83181934483643,-91.60123499267134,54.06076857818349,E,D,D,B,17.68229322190783,A,0
None,Non-binary,D,D,14.384384664442978,-137.55200625031696,168.2312482596534,C,D,A,C,126.08818143888219,E,1
No,Male,D,D,22.676816576662485,-92.19488972234714,48.860386887020766,D,C,B,E,54.82943106187478,A,1
Mental,Male,E,D,-10.961379933964587,-152.67436805863943,27.3715744367952,A,A,D,A,117.29199925594023,E,0
Mental,M,D,C,-157.74941186405655,-95.70465973036399,-45.53131277438568,B,E,C,E,-127.09619289878079,B,0
None,Non-binary,C,C,-51.25448711642143,62.51469757995143,-192.64460004001134,A,E,C,A,20.479201661143815,E,0
Yes,F,C,C,55.89246064357979,-203.8411081276982,-108.83810459025676,E,C,D,C,234.07093302131835,C,1
No,Other,A,E,259.12254494551,88.94532665432703,-101.5573343830082,D,B,E,E,-12.076633435481101,A,1
Mental,F,E,A,32.50144536081404,31.029768447283786,13.184264109208854,A,E,C,C,-57.443718451629714,D,0
Physical,Non-binary,B,D,-49.25651626489208,54.351413855341725,-130.72502922621345,A,A,A,D,49.972412191009845,C,1
Both,Non-binary,E,A,58.35828718066103,5.613731050923066,-92.0454399100342,B,A,E,C,-57.63209785973109,D,0
Yes,Other,A,D,-90.261482899638,-64.49028909115464,160.19442805615682,B,E,C,C,270.05388085939114,A,0
Both,Female,D,E,-42.86245766110345,95.02239105589332,77.21877779855352,C,D,A,E,26.15065889721827,A,1
None,Non-binary,A,C,12.624427514922465,-75.72080265861844,81.92636049263633,E,D,C,A,11.857890920605488,E,0
None,Other,C,E,92.32535486397511,-4.361954275930686,87.53028116009287,A,C,B,B,-38.14064677855907,E,1
No,F,E,A,-41.664587571854426,-11.803643961436752,15.783664817306908,E,A,C,E,-115.80272492379586,C,0
Both,Non-binary,D,B,0.8952561850796946,-102.13103369944972,-79.92991080784478,D,D,A,C,92.69409082261039,B,1
No,M,E,E,-153.43191311098312,-58.19281736758784,-47.86221730741469,C,A,C,E,72.57240641355526,A,0
No,M,C,C,-64.74502280883559,-179.66581677299905,-138.489416650975,A,E,E,A,-71.17513558895098,D,1
Mental,F,E,B,79.75670607271435,-107.38922166574343,105.64335419476446,A,D,E,B,-52.70470492219419,D,0
Mental,F,E,C,-63.21098699810569,-55.202013762532246,-33.589064575565125,B,C,E,A,-75.70371275600097,C,0
Both,Non-binary,E,B,36.58146605495416,62.74742252677369,60.45076252780659,B,C,E,A,61.77066643730539,D,1
No,Other,A,A,106.54893864475898,-124.28947550476666,-122.16772772219588,E,B,B,B,-95.42214899849832,E,0
Mental,Non-binary,B,D,127.29888976957263,76.50677121413472,139.60660179913071,A,B,B,C,-49.30642995228652,C,1
No,F,E,A,-136.7713006011523,-176.76892836406236,108.761450564276,C,C,C,B,115.92749145068075,B,0
Both,Other,B,D,62.8632420852077,-55.84483208449657,6.601324190529427,B,C,C,C,-22.847664548857278,D,1
Both,F,E,E,-19.12757859833446,85.68820031444206,34.73947608128131,E,C,A,B,-114.29776548463684,B,0
Mental,M,D,C,7.9059288504164345,106.85810766756256,-33.549392940248765,C,C,D,A,83.23143397220551,C,0
Both,F,D,E,-62.58439168651502,76.03109119688662,113.38568212512065,C,D,B,D,-84.16078055063205,A,1
Yes,Other,C,C,34.763260195692595,66.1610406066134,-5.152964438628375,D,E,B,C,-8.240165757453205,B,1
None,Non-binary,C,B,-68.96445440873467,-23.471278097960692,16.675302675780973,A,D,C,C,158.88913072897154,E,1
No,Female,D,B,-47.485489263208,35.893617907724604,112.45864120498183,C,A,C,A,41.452306244967026,A,1
Mental,F,D,E,2.3876279757601813,-67.99235507214215,-149.3389461275235,E,A,D,A,-17.096175188866187,C,0
Both,F,A,A,166.31585321033427,95.93158977133972,179.65718661105453,C,E,B,C,172.82679616924526,C,0
Yes,Other,B,C,-33.65218694484264,-123.83619422963017,77.88710286814259,E,C,C,C,133.10712745224959,E,0
Mental,Other,E,E,-46.954611157456696,-103.40218440519557,-14.895461778772813,C,D,A,A,60.962389262229664,A,1
Mental,Non-binary,E,C,-236.17869304224791,138.90701588006596,103.56058735109728,A,D,A,E,-9.005008847301728,E,0
Mental,Male,E,E,-37.4416918840782,56.304220398552076,-134.51812403537357,D,E,B,E,63.760980752290244,E,1
Physical,M,C,C,-46.58982822557062,-140.74593075157017,36.787471186855505,D,D,C,B,-9.544855606133646,B,0
Physical,F,B,C,-24.942744590683095,18.68675141796108,113.42165010876408,A,A,D,D,77.12707108268019,C,0
None,F,E,A,81.96908660748272,-159.7432796431858,37.13185882671651,C,A,A,D,52.88155513165882,D,1
Yes,M,D,B,-11.898747351498914,185.65239231448285,16.947007216113096,C,E,A,D,35.471989705549746,A,1
No,M,E,E,58.389106286007284,-24.676227297233055,188.60467142801537,B,B,A,B,-18.001641351605002,A,0
Mental,Non-binary,B,D,43.63865612789062,276.0027718853431,107.50447596440291,E,C,C,D,-171.74574673743544,D,1
None,Other,C,D,-65.96623653722423,74.77202437512524,29.778699594191217,E,B,C,C,-103.04651091011566,D,1
No,Male,A,C,177.0595333673142,41.81383620899879,97.55300954356791,B,D,A,A,-15.447650072461036,E,0
Both,Male,E,D,228.44520989599752,-53.653833738193015,-67.58073438079266,D,E,A,E,141.62373161379062,A,0
Physical,Female,A,D,-21.993119802702434,57.34345568305361,-138.36424808202082,D,A,E,D,44.326898977136686,C,1
Mental,M,D,C,-31.961561206189522,-32.1785702861477,83.60825312485441,C,D,E,E,95.08247765972037,E,0
None,Other,D,C,-53.05575670127267,-244.23900830836325,107.58069217104878,E,E,A,D,-195.08548744618562,A,1
None,Female,C,D,211.93997780792856,-27.326734337302433,-102.30902048252707,A,C,D,C,78.0309404256463,D,0
Yes,Other,B,B,165.5886511839062,-49.50829076615176,-2.930529398398286,B,D,A,C,37.93928153932585,D,1
Physical,Other,C,E,-61.91639149618291,-151.32754512942427,87.09207799503048,C,A,B,E,-8.448620059565492,C,0
No,F,E,D,52.47464663303835,-78.56617854934902,46.80703082243948,C,C,E,C,-184.0203234829247,D,1
Both,Female,E,E,29.07415094424819,-104.99293418363649,-112.1087516819775,A,D,C,B,-116.53419270719729,C,0
Mental,Female,A,A,122.05713088428479,-281.8864086699955,-144.5332461617858,C,E,D,D,175.97650260962712,D,0
No,Other,E,E,157.50261121510854,142.8521931384471,42.14823172545009,A,A,A,B,-125.94661107302767,D,0
Yes,Female,B,D,114.22825606686821,-25.10403195892349,-14.800748030539928,C,D,E,C,-200.4274887696131,E,1
No,Other,C,C,61.66190946194388,130.76922773028983,-109.03573328957614,E,C,D,C,-232.43742972338555,E,0
Both,Non-binary,B,A,-122.32184916492486,60.79820690071875,-107.42397104711439,D,C,E,B,158.25254115820297,B,1
Yes,Male,D,A,-129.54994179401206,154.31124201105325,73.37538370249199,E,C,A,D,92.19277811677937,A,0
No,Non-binary,C,C,-186.77405423155605,-106.26844460660583,78.31386037512684,A,E,D,E,-30.28562453930655,C,0
No,Non-binary,B,A,-25.655900444737085,-34.80095862670114,-44.63144581198133,D,E,D,B,10.499694275131127,A,0
Yes,Other,E,C,96.07272090528582,58.64247484139078,-146.05037446332074,A,C,E,C,-35.18519396244415,A,1
No,M,C,A,95.57318264362982,53.906783624119804,-9.6913141468208,B,C,C,A,98.4337402811575,E,1
Yes,Other,B,D,139.44205147098566,92.5126360612342,118.50043014167532,D,C,D,C,116.48062903526825,A,0
Mental,Other,C,B,52.328596022272556,-141.55218675388411,-90.83744757934912,C,E,D,D,-12.287150109953838,C,0
No,M,B,A,23.94468993510924,158.86690471879956,-46.24783015598277,A,A,E,D,99.53249697811528,D,0
Both,F,E,A,102.25959626067124,-145.86126248644155,155.40623015552512,E,E,A,C,25.892254301519984,C,0
No,Non-binary,A,B,8.474059538651119,-105.20474588335172,-39.24395008938376,B,D,C,D,-154.70886016978667,D,1
