disabled,nationality,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Physical,Brazil,97,9.238213139676853,A,118.67979023937644,D,-96.17121368702475,C,51.6487906736988,C,-138.74244668962464,63.77087402207769,0
Mental,Mexico,99,110.2086000672234,B,-82.52949900151702,C,-33.61760784459381,A,-23.365704589856527,A,-79.79289920113382,-24.91819870560912,0
Physical,India,57,67.22960067372274,B,85.6692187167857,E,79.55010091543112,A,4.743392644168471,D,-41.2657578770175,-1.4019844235258492,1
Both,US,21,51.62054459742694,E,-175.63558818267975,E,-50.986168044367744,E,134.71860756141768,A,-84.23960981200716,-11.068937092864696,1
Physical,China,34,-160.02062793082212,D,-128.5620897039651,D,305.02526332621176,D,-98.16995396148283,A,-69.55754802586088,46.848657972673905,1
Physical,Mexico,39,51.286149210187325,B,51.97979719671194,E,24.738128159674382,D,-1.648257821177321,A,95.09438289209633,8.376468497292445,1
No,Mexico,60,32.135347750922044,B,-155.72323976677828,D,-68.16887655256791,C,95.97771883631697,B,-157.1420696882502,39.41319519046992,0
Both,Other,55,-15.780037186811999,A,36.84340665371282,E,-65.51854236572872,C,146.03115766894786,B,-92.13843609528037,-38.94546643063998,0
None,UK,41,34.190303815766214,E,-0.3313076467625365,E,35.70572278069239,C,-1.8352640940028055,D,19.704175707603028,-0.5935527012494092,1
Mental,Brazil,30,192.68242564577054,C,77.32954603607287,E,67.35892836630595,B,-114.81843854091332,E,65.70516195160138,-171.6813580930964,1
None,Brazil,64,104.43932095001647,D,-71.07710656723822,B,-3.4004264532811925,B,-40.320848535232145,E,6.043635930800863,68.82186399244023,0
None,UK,46,-60.23525653677999,E,-31.361853448440424,C,140.70534463421595,C,-55.30500024507234,E,-59.57405723196298,-70.92988710291559,1
No,Mexico,24,-6.627718353338874,D,88.56064536834148,E,187.64832656711664,E,-105.46087985598756,A,48.807615015880415,34.13493988266235,0
None,Germany,77,33.33892319931,A,0.6002965452094293,B,65.56577894356425,B,-71.10205177041375,E,29.364656509787153,41.64933843445214,1
No,UK,94,-39.53694670008602,C,106.05783859924836,A,-116.17132334528873,A,-22.45818195904957,B,161.95947249721922,60.980336783543564,1
None,India,61,-17.673748391313662,D,-101.37020226411646,E,90.9171470894332,A,-53.250946539143925,D,60.06302839403082,229.28386903388534,0
Yes,US,39,62.89639028151053,A,212.82772791358107,D,54.49668038355489,C,8.286072590047008,E,-38.413963717441895,23.920311081829638,1
Both,China,85,5.018853504187656,B,-167.76518423521847,B,14.636807906219243,C,-109.55411334786235,C,-138.9449785633654,69.89494187172862,0
Physical,India,36,-12.014772047728286,B,-76.52853554523233,C,25.817862643646443,E,4.331165267545832,A,-7.481745200139659,-164.98001195795484,1
Both,US,86,-25.05080035913807,C,-26.69733827462909,E,-145.50059054421996,B,32.581603671174804,D,-135.07373494784568,99.42588336072455,1
No,Other,35,95.87212039770682,C,-147.37271849528776,D,161.1659299381582,B,-82.84545525439876,E,8.644408201591565,56.43352736555239,1
Both,India,39,24.760854105303647,C,-166.4286643190191,E,24.6517333901856,C,79.95332333038122,C,-12.516233521045168,86.00993202305395,1
No,Other,63,-12.69408770313156,C,-43.269249313392194,D,112.41252586790102,E,-36.448788947083855,A,-91.98978142016443,80.01053823923311,1
Yes,Other,90,-132.7277335401405,A,-107.54484164287427,C,17.360758228134596,C,9.856833984552098,A,-17.39222277477124,-103.13763784338681,1
Mental,India,86,-148.37174832195117,C,19.167627907684096,C,60.531507745143564,A,38.260205646826,C,-126.14391051862206,-222.95220922899856,0
Mental,Mexico,31,121.57379221260638,B,-38.35603593347572,E,32.52068336762393,B,47.10184547975792,D,-21.569917900287805,-3.095687323312329,1
Both,Brazil,80,78.45646552859696,B,-208.27704309610385,E,27.590279173434144,A,-15.285475762838052,D,-124.78773433210633,110.16611869185671,1
Yes,India,33,-81.40470797682589,E,10.704221843133396,C,-131.38186123106607,E,23.018220416899435,B,40.79561578485127,28.911053916029882,1
Mental,Mexico,84,-118.26149069089989,A,43.016210863725945,B,-70.62063884460936,D,-57.92186734443811,D,47.389019014430666,-131.37719518379515,0
Mental,India,99,88.17311696442634,B,-98.73660646416744,C,87.29065778547039,D,-61.74260094871544,C,-77.58814611921426,-139.36384894731663,0
No,US,37,-197.66777037069738,B,-0.7376231112466466,C,-127.70886676763953,C,-90.71666711939336,D,-115.13082009072681,42.00651807854654,1
Both,UK,80,142.5174242879005,E,-56.064965186767765,D,53.358384827194094,A,-19.436500732960816,E,-174.7697073245016,-77.23701858124656,1
Physical,Brazil,73,-66.93419494025343,A,-18.941616742069193,A,-53.65809035366122,D,-110.7329189691112,E,-243.55234184463538,-8.710954799609025,0
None,India,97,-222.47243672060256,A,50.32028730672838,B,18.307890645092236,C,-26.90358145960086,D,26.65216279164932,-66.66743907512068,1
Physical,India,37,-201.09146025304034,B,86.36569832074728,A,8.869056574178419,C,26.05450362117819,E,9.7523913256691,30.87405978361103,1
Physical,US,45,159.60742408679562,C,-32.442244956413155,E,-1.6830289977000528,B,66.0834538356083,C,13.66929162270147,-130.25573867962004,0
Both,India,52,33.921697585085184,A,-45.40155734086076,C,-59.731582642918156,B,-56.85474948476744,E,99.23733181902364,16.390421831568986,1
Both,US,49,-25.515067145968786,C,53.35756389079125,C,142.88283052332898,B,41.304509953067836,B,155.45883055573034,135.4505667232474,0
No,UK,56,62.90460810531056,D,-116.40595774322331,E,-72.1102730336999,D,147.40549354435407,A,85.83004384772744,71.71303347906822,0
None,US,44,-66.15361735255723,C,55.42939858835766,E,178.42046357395515,B,81.57806644152534,C,68.04016244056206,99.3376674053436,1
Yes,Mexico,87,0.05815344144857756,D,-145.43614991281285,D,-16.932320359491438,B,-25.82217874329704,D,-3.2401379215717854,-73.70344755094543,1
Yes,US,93,-144.8007837775092,E,-64.26073132177564,A,-137.90266967551582,A,-0.5818800438614763,B,109.91783638075245,60.691215638039594,1
Both,US,32,106.74922507512844,E,45.139315376811645,D,-84.68632643643794,A,-22.03339515206417,B,-27.878157261612674,-146.7270791960428,0
Both,UK,50,97.97052571192177,A,-48.22099720653147,D,0.4961121195168538,A,-61.52964654469469,A,40.52400985298482,-197.65877381250505,0
Physical,Brazil,77,-178.88649563912938,D,141.40673072795167,E,0.24542614107881472,E,-153.74163184517724,C,118.61549929773503,125.79958719860818,0
No,Mexico,33,-107.02062779570657,A,-15.86800664044199,A,-123.31973854167173,B,-183.20614785212135,E,-45.579461992738494,-1.258828800890276,0
Mental,US,39,14.584615445522603,A,136.82019205086505,E,10.160870233686744,A,-95.66060059282415,C,-86.52357219702547,-23.660796060215304,1
Yes,China,18,-184.16013639636424,D,50.04717207012979,A,-39.815350264398695,B,-63.520990535392485,A,-69.66555335408859,-29.429741201929048,0
None,Mexico,45,4.436223230334967,A,169.00984917058602,E,95.09011047948415,D,-62.543286056074464,C,162.3202894713658,87.31828088325551,1
Mental,Other,80,97.22413691148923,A,-189.37881468607057,E,-260.4698687380332,D,25.14693329861427,C,103.24258643219817,-24.768345158515917,0
None,Brazil,82,130.13953418974342,C,-54.14904720015502,C,-56.29554296529762,E,-0.7218473710459826,D,-69.45336938000929,-23.998618313609317,1
Both,India,47,44.775893366628274,C,-34.31997706190862,A,67.62441570521538,D,-77.02592259000244,D,-52.43905973954023,12.261414090135958,1
Mental,Brazil,48,100.97491621051707,D,-209.08139843756263,B,-61.6834850352011,C,66.60875603036477,B,18.46239024946625,-28.9685078766509,0
Mental,Mexico,75,-31.101361330558923,B,56.51167023693343,E,-109.45269755798618,C,-172.80030659446393,E,44.35563141176049,-90.82433812737978,0
Both,US,73,28.45872963813447,B,-150.43738057532317,A,-24.78978540385868,B,41.322743958833584,C,-157.5555870010376,-137.22157233945578,1
Mental,Mexico,59,-45.410939484763006,C,12.709975919214209,E,-82.10376200331558,D,-58.21794830524658,C,-112.77374490667866,27.10632871289622,1
None,UK,47,48.07409013047776,C,-60.250885933025344,C,-14.22504731583989,E,-118.86823752433473,A,-124.09278775015167,-18.047882899584643,0
Yes,Germany,85,-36.2320367824971,B,84.7855186981584,C,-12.38284979803652,E,-44.855558661850715,D,89.75133457597161,-47.17171107420171,0
Both,Other,18,-58.24743810201743,E,-15.086461177679212,A,120.17942051356292,C,-8.199603943527976,C,-138.71004818216878,-164.29975556564753,0
Yes,US,44,168.71197669664141,E,13.95327477930716,D,17.86632835408887,C,-173.36946715950842,D,83.87764691870936,33.472117247094914,1
None,India,21,46.591371896690546,E,-16.65801302265662,A,277.3876391142624,B,71.98260233331978,A,80.93338412702802,28.301085347554718,0
Physical,UK,93,-104.4778351325943,E,-50.216191553020714,B,-253.8717754208035,B,-255.8758611470861,D,194.18436261548112,20.279510691242486,0
Both,Brazil,91,-146.00402987733304,E,-88.53949947714669,A,-47.00881597889503,E,-41.03834514849519,C,117.71285468551463,57.80398784373543,0
No,Other,53,82.84603669807777,C,77.55819502692604,D,-64.98871409632777,D,-30.93417514147608,D,-99.41417643029115,-54.23386217750986,1
Both,Other,56,86.71330922179378,E,84.6632153700391,B,191.01046053890826,C,5.408937455736808,D,68.17705360528778,105.10722960354839,0
Both,Mexico,52,-76.9801919895218,E,102.18427879979204,B,-57.93244627923412,D,42.99488978861748,C,-22.00546876685551,-55.61861739654036,1
Physical,US,58,-36.67313096504487,B,3.3788783243541025,A,-44.972878849104,E,-96.59304856173256,B,84.04412755727033,60.30448523554629,1
Yes,Other,47,-248.59927007718494,A,121.14302060385822,C,-27.75089671675782,C,126.01757280612493,B,66.28946097960012,48.23369620928445,1
Physical,UK,64,86.95204495575659,D,155.85483881467746,A,-91.43851380779135,D,33.18030770613463,E,-41.606190715315385,31.57938547537689,1
None,Other,52,-39.009232234511806,A,-103.81729514485956,D,-94.75359791451775,A,12.791056077000661,A,-27.653726092995946,137.4664320317157,0
Yes,Other,55,69.5929645359409,C,-17.71439717332452,E,50.438144190597825,A,-61.119464701978366,C,-136.40431438163057,-29.88168516203547,0
Physical,Mexico,72,-124.7577425118684,C,-48.53684043297257,A,-268.0031457757103,E,17.680002493825118,E,11.846763611202068,-42.86585506346095,0
Mental,UK,37,-156.48102417757266,A,44.219694021479235,C,68.27604370919154,D,-74.98444580482693,E,-18.370762472858857,106.8871711894551,0
Physical,UK,51,-188.78426155634423,D,-57.868608943313916,C,-144.89858035138758,A,-144.9168459559438,C,-11.629461845519947,-134.0648133489811,1
None,India,55,21.316818671650694,A,-225.44474028338897,C,-46.20378998138614,B,-14.927657448471749,B,-14.394440399931735,-82.81784064497546,1
None,Mexico,42,-116.54950672244291,B,23.219022405793083,B,-28.76505811717166,E,-104.50951369442237,E,117.38163485401437,23.836256946843726,0
Yes,Mexico,19,-21.976574003111985,C,-191.20663664503027,B,-7.560911024891808,D,82.49438913448262,E,-49.94673110613167,-19.24989914560694,0
No,India,45,-119.39064116949176,D,14.40322774757199,A,18.331264401943912,B,-55.90351056486396,A,-95.36418853358761,98.86263402904603,1
Yes,Brazil,27,62.53307100451395,C,57.596610473658714,E,171.42484068706753,C,79.9962678112462,C,56.957409903694334,-88.1547968440254,1
Physical,Brazil,99,0.9570167788900269,A,58.119733627349426,B,-299.8903393994967,E,77.31039056979957,A,44.15259547668733,34.2019267049374,0
Physical,China,57,194.04505931729688,B,4.673566516685488,D,238.0326447555953,A,-28.201159614686087,E,67.81300637359529,-78.65182210054574,0
No,Brazil,50,122.35849629065842,D,9.51967182965556,C,-19.11044156169647,A,-9.142997300993985,D,45.471662102162306,289.42382808269696,1
Both,Other,75,44.96748144988735,C,-17.712092927990856,C,-110.69265192188507,A,33.052810594227495,C,-21.269610995732563,-30.122617952531595,1
None,Other,19,-31.469797366985304,D,234.39422622603502,C,8.449512127395623,E,-10.724797448516565,D,-59.63122522613108,148.4851209013198,1
Mental,UK,79,-70.78999258971893,B,-70.23227454296931,D,-146.16485801072196,A,48.29808141498396,A,12.21328431443595,167.2815068952634,0
Both,US,97,42.42734987520937,A,-236.6393062386721,D,20.246100240294332,D,16.568222943432918,E,43.674692935160316,19.228133431939764,1
Mental,Mexico,66,58.17608207889094,D,62.51431437929021,B,-15.644097314497518,D,-63.06790326301876,D,-165.59770279521595,38.80693488135425,0
Both,India,99,-64.22742443284886,A,-22.373141357761643,B,176.81720462342386,D,-49.63068973866255,C,90.78923473164048,-110.14840905830607,1
Yes,US,90,-164.14179662548472,A,-58.8600402888235,A,14.255180930373697,A,94.83397456805454,E,39.987692252656984,103.08184893834944,0
Physical,India,67,-159.13659899438593,E,246.0048902220236,A,-86.36034540580016,B,-76.4821696113653,B,155.9642716773532,24.825304159027024,0
Yes,Germany,53,-211.8301572256808,B,-42.53333491872663,D,155.2267985977294,A,-35.66102722453118,D,191.96983880442951,131.2931805867317,0
Mental,Germany,56,-52.72172772838486,B,125.63332011163455,D,43.64096122246807,C,-30.79839169856295,B,-11.850176580164897,5.182833391183837,1
None,US,78,-134.09421987666627,D,-45.865937757899395,A,52.24729320548547,E,188.13126151726215,E,-51.49197147950903,-105.12330501503844,1
None,US,43,-100.67302448687856,A,-18.749624223209565,A,30.248665475451475,A,-157.09852290065086,C,81.75389225989662,-22.298483094191294,0
No,UK,70,59.35836901278344,C,-117.17760526853225,E,-81.48888701028409,A,41.96821160353574,C,108.49896510319263,-15.491804353661811,0
Mental,Other,46,26.268199887477966,B,-117.52354696212801,C,46.57278901065968,B,-155.79146723827128,D,-25.06226034836649,-70.13154992158752,0
Physical,China,57,-7.745222539367982,C,-24.15433876063009,A,40.43892021296962,A,120.46026788071768,E,-175.49524932341492,-55.070368531568334,1
Both,Mexico,75,11.802251699156683,A,35.95200739507571,A,21.033335363221486,B,88.67381042186888,C,-95.31015390323212,-14.50953202652318,1
Yes,India,54,18.002309944835883,D,154.00024386620856,D,18.597584502949836,C,-37.89913078781903,B,-180.3059352174709,11.144149987284077,0
Physical,China,36,-84.57138679650957,A,106.0033828948211,E,68.23431874178478,A,-214.07611279810243,B,-85.04895553963108,-113.83638440337211,1
None,Brazil,82,-7.237103253980654,C,122.63492844070495,D,56.93518097547917,D,-61.48814417649323,B,-51.44796084985405,94.51176000698712,0
Both,Other,19,-70.50536655807358,B,-67.44392032043444,A,-80.43100546165188,B,-23.76191499401575,A,-21.100027360944836,-107.10300398115542,1
Yes,China,62,-16.48815321686353,A,-127.4675668426649,A,-54.410494060992086,D,15.237563949163437,D,-276.9090857465477,41.94615870008942,1
None,Germany,96,-92.72113894707253,C,18.44064480254506,C,-41.80295954034328,B,210.94229508107043,D,-98.56600789096413,101.27716977794432,1
Both,Brazil,41,131.28047303034595,A,-9.169491662211575,E,-39.34428575796504,C,135.3067418157589,A,54.569120550472526,62.15068238188126,1
None,US,66,-6.0629205013260306,D,-13.926504346392532,B,6.301041877784891,B,10.128251459917145,E,-202.9309659771504,84.49585245289695,0
Both,China,91,125.98593136135428,C,-85.51630605815733,C,29.97833506384051,D,-35.513434676180054,B,62.2985405541444,-73.01723139650414,1
Mental,Other,78,69.86570867017399,E,209.4476754025875,E,56.246195936952084,A,-59.253030838877365,A,-66.41590678637088,-85.26392792346698,1
Mental,India,21,-65.41470468828747,E,-142.1734655954232,E,-11.834731200451047,B,-118.297272858362,E,200.95601075572623,-86.06433704190106,1
Physical,India,27,-204.1802504103773,A,103.06116751465466,A,-139.89024915847995,D,-50.38321764399786,D,-2.2105377232721137,-52.92657961349302,0
No,Mexico,78,-223.54754466486514,E,-53.34258588316284,B,-76.94549375599081,D,216.5260843229138,C,12.331408434051525,47.867017543631974,1
Physical,US,73,119.15926617830317,B,-71.18554660552495,B,39.06622724035769,C,-58.984994996492546,C,-115.18174271683515,-79.4391674197544,1
Mental,UK,29,112.77836181682044,A,-125.64952077379252,B,-368.94933038266424,D,39.35399903900254,A,-11.2018952541156,116.66045817851445,1
Both,Other,69,124.54662063623103,B,127.34502928652714,D,27.12778754915306,D,-40.67552023090547,E,100.43197275773848,181.48856280752983,0
Physical,Other,30,260.2284754312938,D,124.20280044007252,B,13.954284209688113,E,-43.620687797048824,C,-35.545810963060774,-103.71073540443629,1
Both,Mexico,93,-135.57069893717457,A,23.502504945537915,D,-161.72717165448228,C,-85.85117435708995,B,-103.32057765196576,132.50333804082882,0
Both,Brazil,30,57.2005893774204,D,60.25426565528208,D,-3.715375646004737,B,48.04447983089593,A,-160.39398463068196,204.27357242403383,1
Yes,Mexico,41,-45.33558705041468,B,64.74432208259539,B,-139.0373855528242,D,11.009895611096269,C,0.836532565952079,100.69918602946,1
No,Germany,37,7.1918569034334245,D,39.862471515902456,D,-127.15856596702235,D,23.547525451852216,C,150.99637125244362,-130.87046218092294,1
Yes,Germany,45,115.9786482208897,E,162.12972809584093,E,19.743955645664478,B,107.27793380155406,E,-109.17815090190885,19.054942130586237,0
Physical,Mexico,34,-23.207905506670663,C,11.684674257307757,E,45.1910533724808,B,-12.456293705270493,C,98.1923651879818,1.2417204871555065,1
Physical,US,18,85.42174769681043,A,-246.29494158333515,C,222.8862023583495,C,26.520568433549386,C,-8.466997845165876,-47.14828490572441,0
No,China,89,78.71597174736756,E,-79.40457530909265,B,-96.81641630178748,E,-51.82632567166077,C,146.11846224877397,236.36597056969978,0
Physical,India,91,-51.45993402200021,E,45.5586918880631,D,2.0927291654499207,A,38.83985028306304,D,1.6494941896026558,241.63569054104804,0
Mental,Other,27,49.689606125615704,B,166.25847782399353,E,17.982032440186774,D,-158.01515277157876,A,17.845210354530646,67.28056628317526,0
No,Other,29,6.86440912065162,D,192.85300362555512,A,60.948595836718255,D,95.05177213956402,D,155.5311665494054,212.88663819694727,0
Physical,India,40,39.2804836638145,E,-22.61828649044301,E,-50.74089213208764,C,76.8167190412188,A,-13.733539923194197,5.884881284587794,1
Both,UK,34,-75.91792514376624,C,94.34249941493866,A,3.521913656617046,C,-135.01181269357602,C,8.667184051873647,191.34468971374307,1
Physical,Brazil,84,251.66923160909684,D,-2.5470034412513476,A,98.53849675017014,D,-43.99826112345596,A,-98.72164087585291,33.812758257781596,1
No,China,31,54.048683615656,E,-212.2627280188957,C,-39.305000050972325,C,16.8565322109399,D,-97.72673846385305,-152.3083997190952,1
Physical,UK,72,27.882203815666895,D,45.0930812956922,C,-55.761246486125174,E,-129.20311410144808,C,-51.74456511435513,-48.905153622168996,1
Physical,Brazil,23,-68.59435805796305,B,172.31459496741823,E,21.1933238670587,B,-0.3951080012274239,C,33.32191242459459,48.767480571901736,1
Both,Germany,28,33.19222397598425,B,87.44476238674321,E,54.41755135254801,C,4.704630523928887,E,20.95062933272791,-82.32575501306584,0
Physical,US,87,-27.518422443077455,A,33.75256090814426,A,-26.831962981630536,E,-64.71074696981088,D,41.49242447738152,86.07924710271277,1
Both,Germany,77,23.794249686835148,A,142.70688709555347,A,-36.82036032649493,B,78.26007936620196,B,167.50232698170265,170.71299388562073,1
Physical,India,31,-174.55799870380747,E,-125.81552645868179,C,18.094409009687737,B,20.024977645046388,A,-33.469535324587206,34.14782586418178,1
Both,Brazil,21,49.39569016619569,C,-57.49850092174636,A,13.712322671650576,C,38.474867091530854,A,-3.7127559825494565,-77.97753559695336,1
Yes,Brazil,34,-114.07998796786364,B,-99.21453545519469,D,39.503889375616744,E,-30.000985962630843,A,18.708788028010336,30.83989817917434,0
No,China,86,-231.95536695954223,C,-9.32967107395136,E,79.01672290299734,E,55.04877164501883,D,-69.92275120100977,31.91900872139414,1
Physical,Other,85,-10.619557196303669,E,-16.50312019395831,D,159.22444061652195,A,-17.06727347336076,E,-30.793148581817302,-88.09617429979801,0
Yes,US,39,1.2654125257948399,C,44.01965440572811,B,14.81625310216346,D,-6.70091478653956,C,111.2901776672604,-103.78394772699238,1
Yes,India,63,-35.161988710016026,C,-40.66684265744316,E,-32.266586397418266,E,118.8867048802648,B,-139.03531687582327,120.11930938652544,0
No,US,51,52.6151643993524,B,120.95409112232156,A,-100.39993291783344,B,31.584138635640997,D,35.49456726308068,-19.157702883609208,0
No,China,41,139.8470787757301,D,-192.99185522127127,B,35.30428181998845,E,145.06157802138893,C,13.069936924551387,93.49470143869854,1
No,Other,46,-45.386141811294316,A,23.82817420543148,C,9.893483859056017,C,-8.260794086012488,D,-129.7970734963094,0.9107225552280261,1
Mental,India,39,77.64169555938064,E,23.01807583516052,D,-126.7414852841146,E,-53.670585264041534,D,-116.59462969069074,-141.15468922529868,0
No,India,34,96.0155524047764,D,74.33198624217478,E,-55.046672137890454,B,15.437887436846031,B,-60.2383068634342,-30.02482098094091,1
None,Germany,72,49.88531870562017,B,-233.3312795776541,B,68.04075020406685,D,-22.55933760715563,E,131.77265280307512,11.63724849881933,0
No,Germany,59,145.5090478021671,D,138.00468610393926,E,-66.00888786165905,C,-75.37231000038427,E,-66.696917026331,10.761914400125915,0
Yes,China,40,104.86669182211187,A,-106.01987736673001,B,67.62678382205071,D,-46.57881570099231,A,-90.38600868051275,-253.6275162076175,1
No,Brazil,72,-23.79292668387017,D,63.42258305451441,D,28.296175947284258,D,-158.28779978787784,B,-37.734552204782794,-173.90796641912968,1
None,China,31,82.13232792061123,E,-160.48670119213787,C,-288.17465054003003,D,73.16494354218902,C,-89.68046906810272,-119.24582616885944,0
Mental,US,78,-63.78227700165458,A,-27.689284262526847,C,-67.03992570937616,D,53.87932456158613,E,-167.22185511308123,75.00952946820092,1
Yes,Mexico,63,4.791643575643867,B,-19.27608818111212,C,112.49858290820525,D,-23.95787795252163,C,-84.29697437578787,-63.60332108349773,1
Physical,Germany,32,67.12454947874626,C,126.76538423236303,A,-6.24830223196941,C,56.5839022157991,B,-80.36771714433054,112.25752431950775,1
No,Mexico,90,98.8381821977485,E,20.47024019206719,C,-12.524707351914657,C,-92.89783361562064,E,22.54624646283561,-123.5223871710309,0
None,China,62,36.016764885854045,D,167.61042795988615,E,3.362914561259753,D,-30.670728533890934,A,76.74053670057874,50.95167728721448,1
Physical,Brazil,74,-119.38343054473111,D,41.61638922910761,D,-33.36912156575324,B,-5.0714843640671425,A,18.45743862738519,-28.88715053652463,0
Both,Mexico,85,71.855140237354,B,-36.317676424549056,A,-160.61361380131768,C,44.92649257568306,B,-10.180057813717044,-77.50807607515216,0
Yes,Germany,20,-66.77416705713698,D,41.216219954449954,D,-48.37850020435196,D,100.40373133365588,E,-74.69440187458756,-36.844909726489874,1
Both,UK,89,19.361746021873596,E,-53.7492501624404,A,-22.437743402699347,E,-67.28963339261011,B,80.8184973234088,-219.54448053358792,1
Mental,Mexico,50,-22.24502386472798,C,-64.36981198031746,C,-36.826393741056556,B,70.2912040399433,A,24.62694308950882,-65.16240335434608,1
Both,Other,88,270.3417574936007,C,-8.305491177187616,A,48.01397157388212,A,-119.6547298267659,E,29.672488548223203,20.518924100967357,0
No,Mexico,45,11.39296433794032,E,37.19890817347382,B,179.93446507591207,C,-80.21631432937156,C,22.280285274849106,139.87733817682923,1
Yes,US,85,36.149828163134245,C,65.76032965865645,A,2.135326648944234,A,-143.252697773123,B,-107.19713187030263,-42.9738374036869,0
Both,US,44,-25.227150884123557,E,-181.24088478112415,C,56.653348601044264,D,2.432083055942238,B,-19.283944354405296,186.14308917490877,1
Mental,Other,68,115.08985676543529,B,51.18185624528603,D,-55.16275395874241,C,-12.102121451590344,E,14.690537584970151,64.98552493061607,1
No,India,79,83.9644949382146,D,74.9734860388745,A,52.69935932376678,B,-130.55017091468363,E,16.05569257054677,-53.94222617706642,1
Physical,Mexico,78,-28.303574996499307,C,-105.09067473276315,E,-4.984380620438985,A,-73.45850418867474,E,23.514258056128405,248.25305969951174,1
No,Other,53,36.98182640793654,D,-53.31501009345817,C,58.357713557038416,A,-248.7856763362725,C,6.336598944610072,-75.22790152457875,1
Both,China,81,-18.975346193133312,E,150.69023703962597,D,-56.744622289751675,D,-191.08298071033138,A,37.86853457383152,-4.451582032792489,1
Yes,UK,40,-16.797550169140926,B,64.51153214429844,B,-132.73813418762538,A,61.042736426962804,C,-90.46571355356942,-70.18419480587255,0
Mental,China,93,-210.53026669266558,B,53.66850197367601,E,11.11357696335272,C,91.3645495234206,C,-95.31720974945257,71.03445532042252,1
None,Other,96,13.073282951975267,B,-81.47916346784956,D,1.150297430372095,E,67.60303103906779,D,-160.49408460440105,-136.45641402888776,0
Physical,India,51,62.89510719218699,D,15.029355601572611,D,41.09573892676557,C,-62.560062027623886,A,-209.805655359671,-26.350241306735246,1
None,Brazil,28,137.5333992422157,D,-30.437077419674463,D,-50.82128172443182,E,-53.521917390806486,E,172.05267110095085,-126.1063227817308,1
No,Mexico,39,44.89033795513711,D,-22.19432711891762,C,101.17381235307697,B,86.038532371272,E,-88.53680483726025,-97.74581269412259,0
None,Brazil,93,-13.446829316356423,A,-111.03415113442563,C,-266.3552472273024,A,-112.05371950013254,D,85.83880341442323,127.55338385990763,1
